Ac9h4d3c2s 
Qc9s5h5d4s Ts8h8d4h3h QhJc8s8d3d 9c6s5s4s3s 
Js8c7c6d3c Qs9h5d5c4h QdJh4h3s2c QdJs8h8c2s 
Tc9s7h5h2h Qc7c5d5c3s KcTs4s4h3d Jd8s6s4h4c 
Jd8h5c4s2c KhJc8d5d2d As7d3h2s2c Td9s7h5c2h 
AcTc4s2h2c Th8h7d5s2h Ad9h6s6h3c QdQc9h3s2s 
Tc9h6s4d2h Qc9d5s5d4d 6d5s5d4c3d 7h7d3h3d2h 
9d8s7d4d3h Qd6d4d3c2c Kc6d6c2s2h KsJc6c4h2d 
9c8d5h4c3c KsTd5d3d3c KcQs7d7c2h Ks8s7d4c2h 
JdJc6c4c2s Ac9h7s4c2c Kd7d5d3s3c Kc7h7c4s3c 
Ah8s7c5c2c Ad8s6c5h2c Jd9h5s3c2d 9d5s5c3d2c 
Js7h6d2s2d Td8c5c3h2h Ac8c7c4d2c Ad8c6h5s2s 
Tc8d7h4s3s 9h5h5c3s2s QsTc8c3h3d Ac9c6c5s2c 
QdJs8c6c2c KdTs6d3d2h QcTs5h4h2h Ac9c7c2s2d 
7s6h4d4c3s 7d7c6s6d6c Jd9s8c3h3d As7s6s5s2h 
Kd8h6d4d3c Th5c4h3c2d Kc8s6d6c2c Kd6s5d3d2c 
Ah6c5s3c2s 8h7h5s3h2s AcJs7d3h3d 9h8c7h4h3s 
QhQdQc9h7c Kh9s8c6c2d Jh7s6c5d2h 9s5s5d4s2d 
Jc9d5h4h3h AdQs6c4s2s Qs5h4s4c3d Th6d5d3c2c 
Ts8s8d5s2s JsTd6h4h2h Th8d7h5s2h Kd8h7h6h3s 
TsTc6h4d2d Qd8s7h5s3c 9s7s5s3s3c Th6s4s2h2d 
6c5h4s2h2d Kh8d4h3d2s Kd7s4c3s3c Qh4h4c3d2c 
Tc6h6d5s3d KdJh9c2s2h Ts8d8c7h3h Kc7c6c4s3c 
QsJd8c2s2h Th5h4s3c2c QhTc7s6c2c Qh6c4h2d2c 
Js9s3h3d2d KdJh8s8h2h AdTd4h2d2c QhJh8h4h3c 
Jd7c6s5h2d KhTc7s4d2c Jc9s9d6h2d AhKd7c4c2c 
AhQh5h2h2d Qd9d6s6d3d AdKc7h4h2h QhJh5c2h2d 
Qc8h8d5c2c KsJs7s4h2c KhJs7s4s3s 7d5h4c3s3c 
KhKdKc3h2c 7d5h3s3h2s Kh9c6s3s2c ThTc6d5s2d 
Kc9s9h8h4h Kh7h6d3h3c Td8c4h3c2d 9s8c6s4d3s 
Ah9d4s3h2c ThTd4h2s2c Ks9c4c2s2c KcTh4h4d3s 
Qd9d6d5s2d 9s8s3d2h2d KsTs8d5s2s 9h6s6d5c2s 
Jd6s6c3h3d 9d4h4d2h2c Jd9d3s3h2h QcJs4s3h2d 
JdTs5h3c2c 6c5h4h3h2s Tc8d7s5h2s QhJs4s3c2d 
9d8d6c4h3d Td5c4c3d3c 8c6d5h5c2c Ks8s5s5h4s 
Jc8h5s4h3d KhTs4d3s3c Jh8c5c4d3s Td8d5c3d2c 
Tc8c6d4c3c Ks6h5s3s2c 6c5d4d3d2h Ac8s8h6h2d 
KsQc8s4s3h Th8h5d4h3c 9c7c5c3h3c Qh7s6d4d2s 
Jd4d4c3s3h AsKs9s4h2s AhQs8d4d2c 9c4s4c2s2d 
KdQh8s5s3s Jc8d6s6h3c Qh9d8h7c2h 7s5h4s3s3c 
As7h6s2s2d Tc8d5c4s2c Jc7c6d4c3s Jd6d4s4c2s 
QsTs6h6d2s QdJd9d7c2d KsTh7c4d2h Qc4h4c3d2h 
9s8h5h4c3d 8h8d4s2h2c QcJs8h8d3h Ah6s6h4h3h 
QdJh9s3d2d Kc7d4s3h3c Qc6d5c4h2c Qs7d7c6h3c 
KhKdKc7c3d Kh9d7s6d2c JhJc8d3s2h Ac7c6c5h2c 
Jh8h7h7c3d AsKc4h3h2h Kd9d5s5d3h Js8c7h4d2s 
Qd8d7d5h5d 9d5d5c4c2d Js6c5d4h3h Js8d7s3c2d 
As8s4h3s3c Jc6s5d5c3c Kc9s8d3s3d Qc9s7s3s2c 
AcTh7h7d2h Qd8h8c3c2d Qc9c4d2s2d Js9d5d5c2h 
AsTc7h6d2d Kc7s7c4d3c Qc9s9d2s2h Kd9s8h5s3c 
Jh8h6h4s4c Js7h5s3h2c 9h6h5s5c2d AhKc3s2s2d 
Qs8d4s3s3d JhTc5d3s2s 8s7h6s4s2c AcQsQhQc9d 
Qs6h5c3h2c Ts8d5h4d3d 9c8h6c4d3c Ts8d7s5h2s 
Qd6c5h2h2c KhQh8s8c2d Jh9d9c4s2c AhTc6c4d3c 
Jh7c6c4s3d 9c5h5c3s2s QhTh7s4h2d Ts8c7s7h3s 
8s6s5h5c2s 7d6s4d3s2s 9s8d6s4s3h Tc6h4h2s2c 
Qc7c5s5d3h KsTd5c3h3c 8d7d6h4d2c 9c8h7s2s2d 
Qc8s8h6d3d 9c8d6s6d2d AcJh8h3s3h Kc9c5h5c3d 
7d6s6h4h2c AcJh8h6h2h Kh9h3s2s2d QsTd7h7c2s 
TsTd6h5c2h KdJc4h4c3c Qs9s8s7s3c 9c8d7h2s2h 
Td8c5c4s2c As7c6d5d2h Kh9d8s8c4s Ks9s7d4s4h 
JcTs7d4h2d 7s5d3h3d2h AcQc5c3c2d 9d5s4h3h2s 
Ac8h4c3d3c Qd8c7h5h3s Ts9c8c4c2h 9s8h5s5d2c 
QhTh4h3d2s AhTs9s5s2s Jc7d6d2h2c Qh6s5d2s2d 
Kd9s8h4d3c Kd9s8h6h2c Kh9h8s8d3h Kc9c8h6c2c 
9c6h4s3s2c Kc8h8c4s3d Qd7c5s5c4c Qh9c5d5c4c 
Qc6c5d4c2h Td8d8c3h2s Jh8d5d4c3s KsTs5s4s3s 
JsTh3c2h2d Qs8h5s4s3d 9d9c5s4c2h KdJh8h4s2c 
JhTh4d3h2c 9s9d4h3h2d 9d8h6s6d2d Jc7c5d4c3c 
Tc7d6h5c2s AsTh5c4c2d QhTh7c4h2d 9c8s8d4h3d 
8h7d5s2d2c Td8c7c5s2c KhTh5h3c2d Ah7h6c2s2h 
KsJd8d3c2c AdQh5s5c2c QcTc4d2s2h Qc8s4c2s2h 
8s6d6c4h3h Jd8h6s5c2c Tc7s6h5c2d Td8d7h5s2d 
QsJh6d3s2c Ts4s4c2s2c QsTs8h3s2d Qs7s6d3d2h 
6s4d3d2s2c Qh9c6s6h2h Jd7d6s4d3c QsTh8c3d3c 
Kd7c5d4d3d Ac5h5d3d2h JdJc5h4s2h Qs7h5s3d2h 
AcKh9h4h2d JsJd8d3c2h Qc6h6d5d3d Qc9h6d5d2d 
Qc8s8d6h3h KsQd5c3c2h KdQs9c8c3c Jd8s8h7s2c 
Tc9c6d2s2h QdJs8h8c2h KdTd9h3d2d QhTh5h3d2s 
Qh9s6c5c2c Ts7s6d6c3s KhTh9s3h2h KsJh9c6h2h 
Kd9d5h5c3d Jd8s7c5s2h AsTd3c2d2c Js8d8c5h2h 
9c7h7d5s2c Kc9s8c7c2c KhTs7c5s2s JsTh5h3d2h 
KsThTd3c2c 9s6c5c4h2d Jd9h6s4h3c As8c7h5h2h 
Qc9h6s5s2s Ad9c7h3s3c 9d7d5d3s3d Ad9h7s5s2c 
Td8h5s5d3d 9d8h7h6h2h KsQd7c4h2d Js9h9d4s2c 
TsTh9s3s2s Jd8s8h7h2c QhTh6s6d2h JhJd6h4h2c 
AdQd5d2h2d Qs6d5h5c3c JhTh7h5d2h 9s8d8c4h3c 
KcQd7d6h2d QcTc8c3d2h Js9c5h4h3h KsTs5c2s2h 
Qc9c5c3h3d 9d8s8h4d3c Jh9d8s4d3c KsQs8h4s3c 
Kc8d7d6d3h Ks7h6c4c3c Qs5d3s3h2d Kd9s8c6c2h 
Td8h5h3c2c AdKc6c3h2c 5s4h4c2d2c Jd8s7d6c2h 
Qd9d4s2s2c JdJc9s3h2s AhTs6h2h2d Qd6d4d3h2h 
AcTd4h4d3s Ac9s7h7d2s AsQd7h5h2h AhQs6c5c2c 
Qh6d5h4h2s As7d6h5h2c JhJc8d3s2c Ad9c4h3h3c 
Qh8d8c5h2h Qd6h5s5c3s Ks8h8c5s3s 9d6s6c5s2h 
KcJh8s8h2h Tc6d4d2s2c Js7c5h4h3h KcTs8d5h2d 
Ah8h5h4c2h JsJd8s3h2c Jh8h7c5d2h KsJh8h6c2h 
Qc9c8c5s5c KcJd9d4d2h 9s7s5s3s3d Ts7c6s3d2c 
Jd8h6h3s2d 9h9d6d4s2c AcQc7c6h2c KsQc5d3d2h 
Jc7s6s4d3h Qh9d5d4s4c 9s7h7d5c2s Qs8d4h2s2h 
Qc8s8d6d3d Qs9c6h2h2c KhJs5c3d3c KcTs8h5d2h 
KcJs7d6h2s Qc7c5h3s2h Ah8s3h3c2d KsQh5s2s2c 
9s6c4h3s2h Tc8d7s3c2d 9h8c7d7c3c KsTc5h4d2d 
Ah9d8c4s4c Jh7h7d4s3c Ks8s7d4h2c AdKs4c2h2c 
AdTc6d2s2d AhKh9h4d2h Jc8d8c4s2h Tc9s7h7d2c 
8s6c5h5d2c Ks8s8d3c2c AhKd6d3s2d Td7c5h3d2c 
Qs7s6h3h2c Qd7s5s4h3c KcQh9c3d3c Qs8h7d5d3c 
Jc9h6s5d2d Th9d8d4d2c TsTh6d2d2c AsKd9c4d2d 
Qd8d6d6c3h Qd9h6c4h3s Kd9c8s5c3h 6s5c3c2s2c 
Qs9c5c4h3d QhJc8s8c3c Th9s8c3d2s Ah7c3h3d2s 
Kh8c6c3h2h 7c6s6c2d2c Ts9s5d5c2h Ad8h7h6c2s 
9h8d5c4h3h KsTs4h2d2c AhQs5d5c2c Jh9s8d4s3c 
QdJc7h3h2c Th9s8d3c2d AhJh7s3c2h 9d8c7d4d3h 
As9d6h6c3h Ks9h8d4c2s QdTs9s7s2s AdJd7c3h2d 
Qc8s4c3s3c Jd9s5s5c2h Kc7d4h3s3c Ts9d8c3h2c 
KcTc8h5c2c KdTd5d3c2s 8h8c7s4s3s 8c5s4s3c2s 
Ac8c5d5c3c Qh8s8c3c2h Th8s7s5d2s 8d8c7s3s2d 
Qs9c8s6s2s Th7h6s2s2h 9c5d4h4d2h Qc6h5h4s3h 
KdJs8s4h2c Jd9d7d3s3h 9s9d6d4d2c JcTc8c3h3c 
Jd8s7s5h2c KcJc7d4c2s QhTh8s2h2c Ac7s6d5d2h 
Ac8d6s5h2h Qd7d5s3c2s AdJh7s4c2h Jc9h6s2s2h 
5h5d4d3d3c 9h7s4s4h2d Qc6h5d4d3d Qc9s9d8h3h 
Jc9h6d5s2d Kd7s6c4h3c Js8s7c5h2s Ks8d7h5c3h 
Qc6h6d5s3h JdTh7s4c2c Jh8s5c4c3d Jc8c5d4h2c 
Jh8d6s5c2c Qd4h4d3s2h Js9c5s4s3s 9c8s8c4d2h 
KdTd5d3h2s Qc9d8h7s3d KsQc9h5h2h AhJc6s6c3c 
Tc7s4s3h2c Ts5d4d3h2s 9c8c7s3s2s Jh7c5h3c2s 
KcQc4s3c2h Kc8c7c5s3c AsQd8c4c2h Tc8s8h5d2d 
Ts7s5h5d3s Qh7h5d3s2d As9s9d4s3s Ah8d6s5c2s 
Jh9s8h3d3c Kc9h9d5h3h KsJs3d3c2h Jd5s5d3c2c 
KsTh8s3s3c Kh8c7s5d3s KcTd7s3h2c 9d8d7s3s2s 
AhQc6c3d3c 9d8d6h6c2d AcTh7d6h2h Ks9d9c6d2h 
Th9d6h4h2s QhTh8s3h3c Tc9d6c4c2s Jh6d6c5s3d 
KdJd3s3h2c JsTh4s2s2d QcTs4h3h3d 9d8h7s3d2s 
Ah9c4s4c3s Tc5d4c3d2s Kh9h8s8c3h Qh4s4d3h2s 
9s6s5c4h2d Kd7h6s6c3c 9d8s5d5c2d Tc7s4s4c2s 
9c8d6h6d2d Ad9s7c5c2h 9s8h7h7d3h Jc8s5h4h3d 
KdJs8s4c2h Js6s4d4c2c KcQc8c6d3c Jh9h7d3h3c 
9c8d7h7d3d Qh9d5s5d4d Kd9d9c3s3d JdJc8h4h2h 
KhTc7h5h2h Ad6d5d4d2h Js7d4s4d2c QcJs8h8d2d 
Ks8d4d3h2s 9d8h7d4d3c Js8s7d5c2s Kh9s7d4c2h 
Qd9h3s2h2d Jc9h8d4h3s AsJh8c6d2c Th8c5s3s2c 
Js8h6d5h2h AsTd7c6h2h Jd7h6s4s2h QdTh8c3h2s 
8s6h6d4c2s AdKh4c2s2c KsQh7h5h2d Th8d5s4s2s 
Qd8s7s7c4s 8d6s4s3d2s As9d4c3d3c JcTs4h3d2s 
KdJd8d6s3d 8h7c6c4d2c Js6h6c3s3d AhKc9c4c2d 
As9c7h5d2d KhTc5s4d2d Ac8d6s6d3h KcJh7c3d2s 
QsJs5d2s2h QhJs8d7d3d Qc7c5s3s2s Kc8h7s5h3h 
KsKdKc7d3s KcQc8c5c4c Ac9d8h4s4h Td8s7c4c3h 
9s5d4c3c2d 9s8c4s2h2c Jh6s5c4d3d QdJc6s4h2s 
As7s4s4d2c AsJd8d4d3d KdQcJc7c2c 7d5h5d4c3d 
Jc9d6s5s2s Jd8c7s6h3h Ac9h8h4s4d KcQh7d4s2h 
Jh7c6s2s2h Kc8s5h5d2c KhJc9c2s2d JcTs8d3h2h 
AsTh7d6c2c QdQc9d3d2d Th8h7c4h2s Ks5h4d2h2d 
Th7c6h3s2c TsTc6h4c2d Qh9c5h4d2s Td8h6d5d2d 
Jc9d5h3s2c Tc8s4c3d2d Ac5d4h2h2d QcTc8h3c2d 
KdJc8s7s2s KcQc4c3h3c Ts8c6c4c2h 9h9d6c4c2s 
Jd9s8s4c3h KhJh7h4d2s Ts8c7c5d2c 7s6s4s3h3d 
Kh7s4c3h3d 8s8h4d4c2d Js8h5c4d2c Qs6s5h5c3s 
Js9s6s6d4s Th8h8d3c2s KcJc5c4d2c 9h5s4d3d2s 
Qd9h7h7c4h As9s9h4s3s Ac8h8d5h2h Ac9s7d4c2c 
Qd8h8c6d3d AsQh8d4c2d Td8d5h4d2c Kh5h5d2h2c 
9c6d4c3h2d 9c6h4c3d2d Qh8c6d4h2s 9s9d6c4c2h 
Ts8s5d4s3h 8h6s4s3h2h AsTd5d3h3c JhTh4d3h2s 
Tc7d6c3s3h Kh9s9c5c3c 9c6h5s5c2d Jh6s5s4s3d 
Qc9d6h5h2s Td9s7c5h2c Jh7d5s4s3s 9c5s4c2s2d 
Ts8s6s3d2d Jd8c7c6h3c Jh6s5d4s4c Qc8h7s5h3d 
7c5s3d2d2c Qs9s7d4d2s Th8s5d4s3s Td9d5s5d3d 
Qd8s4c2d2c Th7d5d3h2c KdJc8c3s2s Qc8s8h6s3s 
Jd5s5h3s3c AsJc6h6c3c Ad6s6d5d2d KdTs8h5s2s 
Jc9h8h4d3s Jc8c5h5c3d 8s7s5s3h2h Th6c4d2h2d 
Jd6s5s4s3c KsJc9d2h2c ThTc7h5h2d Ad8d4c3h3d 
Qs8d6h4s2c Js9c8h3s3d Jd6h5d5c3d As7s3s3c2c 
KdTs5s4c2s Kh8h8d7c2h KdQh7h5h2c Ks9h8h7h3c 
Ks7s6c2s2c Ts8h8d5c2c Qd7h7c4s4h QdJd7d5c2h 
9h7c4s4h2s Ac9d6c4c2s Qs6d6c5h3d Kc8s7d5s3s 
Kd9s9d4h4d 5d5c4c3h3c Ks9c5d3s2h Kc8d7s5h3s 
Ad7d4h4d2c KdTd8d5d2s Ts9s6h3c2d Qh6s5s4d3s 
Jh8s6s3d2h Jh9s3h3c2s Js9h7d3d2h 5h5c4h3c2c 
Kc9c7d4c3h KhTh5h4h3h QdJhJdJc8c 9d8s7s5s2s 
Qs7h6d4s3s Jh8h6s4c2d Jd9h9d3c2s QcTc7d5c2h 
JsJc8c3d2h As7d6c4d3d 9c8h6h4s3h Jh8c5s4d3c 
9h5d4c3d2h Qh8d6s5s3s JsJh7h5h2h Kd9c3h3d2c 
AhKs9s4s2d Js9c3c2s2d QcJd4h3d2s 6c5s3s3c2s 
Jd9c4s3c2s Qc9d5c4h2s 9h7h5h3h3d Jc6c4h4d2d 
Qc5c3s3d2d Kc8c4h2h2d 9c6c5d4h2s JdTh4d4c2d 
Td7s5c3d2c Kd8h4d3h2s Js9c7d3d2c KdQd4s3d2c 
Td8s6s6c3s Qh8s8d4d4c QcTc7d5c2s Jd8s7h6s3s 
Ad9c7h5h2s 9h6h5s5h4h KsQd7d5d2h AdTc9s3h2h 
9h8d7s3s3c 9c8s5h5c2c Qs8c7c4d2d Jd9d8d6c3d 
Td6h6c5s3s Kc8s7h4s2h 9s8d6s4s3c KsQh7c4d2h 
Th9s7d5d2d Td9s8c3h2s 9h8h6s4c3h Th7h5s3d3c 
Td9c6s6h2c AdJs7s7c2h Jc9s5c4c2d QsJd8c6c2c 
KcJh8s4c2c Qh7c4h4c2s Qh9h5h3s3c Tc8s7h7d3s 
QsQhQdTh6s JcTc8c3d3c 8h5s5d3d2s 7h5s3d2h2d 
As9h6d6c3c Qh5c3h3d2d AhTd6s5c2d 9s9c5h4c2d 
KdQd4s3d2h KhTc5d3h2h KcTd8d6d2d Th7d6s5h2c 
9d6s4h3d2h AhQs9c3d2s 6d5d4s4d3h KdJh7c2h2c 
Kh7c6d4d3d Th6s4d2h2d Ac8d4c3h3c Jh8d7c6s3s 
AhTc7s6d2d KcTs5d4h2h Ad8h8c6h2s QdTh7h6c2h 
Qd9s7s2s2d Kd7d5h5c2s Ts5h4h4c2c Ah9c3h2h2c 
Kd9d5h5d3s 5s4d4c2h2d Td8c5s4c3c Ac8s5h3h2s 
ThTc6d4s2s 7c6s6d4d2h 9d8d4d4c2c QhTc9h9d9c 
QcJs8s8d2s 9c5h4h3c2c JdTs4d3h2d Kh9d9c8s4s 
Js6h5s4s4c 9c8h7h3c2c 7s7d5c4h2h Qd8h8d5c2d 
AdThTdTc9s Ts8s7c4s2d Qd8s8h5s3c Kh9h5s5h3c 
Th9s7c5c2c 7s6s5s4s2d 5s5h4c2d2c As8d4s3s3c 
Jd7h6c5d2s KdTc4s3h3c Th9h6h5h2s Jh8h8d3h2d 
KhJd9d4d3d Qs7h7c4s2c 9h5s4h3s3h 9d9c8d7d2d 
JsJd8h3c2d 9s8h5s4c2d As7d6d4h3d KhKdKc9c2h 
Ad9c7s7h2c Jc7c5c4c3h Jc9s8d3h3c Qd7d5c3s2c 
Kd7h6c4s3c Qc9c8c6h2c 9c5s5h3c2s 9d5s4c3d2s 
9s9c6s4s2h Kc9h7s4d2c Ts8h7d4c3c KdJs8s6c3s 
9h8s8c4d3c KdQd8d8c4d Jc8d6s5d2d As6d5d5c3d 
Kh9h8h7h2c Qh8h7h5h5d 9s9d4h3s2h Qs9d5h4h3c 
KhJc7d5s2s QdJc3s2h2d Ks7c6s4s3s Jc6h5d4c2s 
KsTs4h4c3s Qh7c5h3s2c 9h8s6h6c2h 8c5h4c3h2c 
8s7c6c4d2c JsJh6h4h2d 9h9c4d3c2d Qd8h8c5c3s 
Js8d6h4d4c 7h6s4d4c3h Ts9s8s4s4h Ad8c7c4h3s 
AcJh7h6d2s KcTd5s3c2c QhTc6s6d2s Kd7d6s3h3d 
Td8s5h3s2h Ad8h6s5c2c Jd7h7d4c3s Kc9d8h5s5h 
6h5s4d2s2c 9h6h5s4h2c Ad9h6d4d2c Js9s7d3s3h 
Qh9d8c7s3d Qh9c7h4h2c Ad6h6c5c2s Qs6c4s4d3h 
JhJd8s3c2h Jd6c4s4d2s Th9c4d3s3d 9c8s6c4h3c 
Td9h5d5c2s Jc6h4h3c2h Tc8s8d5s2s Kc6h6c2s2d 
Jc8d6s4c3h Qh7h6c2s2c 7d6d3s2s2c Qh7s5h3c2s 
Ad8d6c4d3d Jd9c6h5s2s AsTh4h3c2c QsTs4d3h2c 
Kd8d4h3s2s AcJs8d6h2d KdQhQdQc4c 6h6c5h3s2d 
Qh9d5s4c3s AsTs4s3s3h Js5d5c3h3c Js6c4h4c3h 
Ac7c4h4c2s AdTc7h7c2c KhJc4s4c3c Ks8h7c4h2c 
Js8h5d3d2h Jh8d6s3h2d Qc6d5h5d4d 6s5d4h4c3h 
KdQd8d6s2d 7h5h4d3s3c Qd9c6h5h2s As7h3s3c2d 
KcJc7h4c2d Kc9s7h4d2c KcQh8s5s3s KhJc7s6d2c 
Ah9s8d3s3c Jh9h7h7d3h AhKh6h3h2d Ac8h7h4s3d 
As9c8c6d2c Kd6h5s5c3h QcTs5s4s2s Tc8h5d3h2d 
Td8h6s6h3h Jh7d6d4s3c Td6h5h4h3s Td7s5h5c3h 
7s5s5d3s2d AhTc3d2d2c Jd8h6c5h2h JhTs6d6c2h 
Ts7h5d3s2h Kc5c3s2s2c Ks4s4d3s2d 6h5d3d2h2d 
Jd8c7c3d2s AdTc6s6c3c Th8d7s4s3c KdJs9s4s3s 
Qd8h7s7h4h Qh6s6c3h2s Kd5h5c3c2h Kd8d5d5c4d 
AdJc6h6c3c 8s8h4d2s2c Js7c5s3c2d 8d6s6h4c2h 
AsJs9s6h2s Th8h7h6h2c Kh8s5d4s4c Tc8h5s3s2h 
9d8h8d4s2c Qh8s8d6c3c Qs9c6s4d2h 9d7d6d5d2s 
Ac9d7h5s2s JdTs4s3c2s Ah8s8c6d3c Js6c5h4d4c 
7d5c4d3h3d 7d6d3h2s2h As9c6h6c4c Ad9c6s6h3s 
Js9d7h4d3d Qc7s5c3d2s Jc8h5c4c2d Td7s4c2s2d 
Ah8c7s5s2s JsTs4s3d2c QcJh5h2h2d Qs9c8c5c2d 
KhTc9d3s2s Td7s6d3h3c QcJh8s4s2d Td6s6c5h3h 
QsJh7d7c3h AhQh5h3h2d KdQh8s6c2c 5h5c4c3s3c 
Jc7s7d6h3s Qs9h6d5d2d Kh9c8d4s2h 6h5d4d3d2c 
KsQs7s3c2c Kd9h8s5c3c Qh6d5c4c3c Js8c7h6d2s 
JsJc9d3h2d Qh9c6h6d2h Kh9c5d3h2s Qh9s7s2s2h 
KhKdKc3c2d Ac8h8d5d2d 8h8d7s3s2d Jc5h4c3d2h 
KcJc8d7c3c Js7d7c6h3d JcTd4c2h2c Jc8h6d4c3s 
AcKd9h4d2d Ad9c6h6c4c Ts8c7s3h3d Td7h5s3d2h 
QdJs8h8c3h Js6c4d4c3d Ac9h6s6d4h KhTs6s4s2d 
9d5h4d2h2c Td6s5c3h3d 9d9c4h3c2h Td8h7c5s2s 
AcQc6c3d2h QcTc5c3h2d Kd9s3d2s2c Ts6h6c5c3d 
6c5s5h4h3h Kd4s4d3d2s KhQs4s4c2s AdJsJhJd2h 
Qh8d7s4d2s Ks9c8d7h3c AhTc3s2s2c Jd9h6c5s2s 
Qd9h5s5c3c KcQd7s7c2h Td9s4c3h3c Js8s6d4h2c 
Kh9c7s6c2d Qc9d8s7h3d Jc7s7c5d2h QcJd8d4h2d 
Jh6s5d4h2c Ac9d4h3h3d KhTc6c4s2c JhTs4c3d2s 
Qc8s4d2d2c KsQd8c5c3c Jd8s5d4d2c KdQh7d7c2s 
8s7c6h4h2h Tc7c6c4h3c 9h6s5s5c2d QsJc8d4h3h 
Kc9c7d4s4c 9d8c6c4c3h Jh8c7s6d2h Qd6c5d4d2s 
KsJd8c7c2c 7s5c4s3s3h TsTd6s4s3s QdJs7s3c2c 
Qd6s6h3d2h TdTc5d4d3d Qd8h4d2h2c QsJd8h4c3c 
9h6s5h5c2d 9s8c5d4h3c Qh6h4h3s2s Qd9c3c2h2d 
QcTh7d6h2h 9h5s5c3h2c 7c6h6c2d2c Kd9c8h5s5h 
Td8d7h5c2d As7h7c4h3h QsJd4s4h2s 9h8s6s3s3d 
Kd8d5s4c3d Kc7s6d4d3d Jc9d5c4c2h 9h8c7s4d3c 
Qc9d6h4h3s AhQh6h3c2s JsTd4s4h2s 8c7c6h4c2d 
Th8h7c5s2h Kc8h7c6d2c 9h8c6h4s3h AsQs7s6d2s 
KsTc8s3s3d Tc7h6c3d2d Qd9d5d3s3h 8c7d5c2s2c 
Ts8c6s5s2s Jh7h5s3s2s 9c8d4c2s2d Tc5d5c4d2c 
Qs7h7d4s2d KsQs7d4s3s AsQs5s3c2s Kh9c3s3c2h 
Ah8s6d5c2c Qd6c5s4s3s 8h7d7c3h2c 6h5s5d4c2h 
Kd7d7c4h3d Kc8c4d3h2h 8c6h4s3s2h Tc8s7c5d2c 
Kh9c8c5s5d 9c6s5h4c2d QsTs8h2s2c QdTd8c2h2d 
Ks9h8d6d3d 8d5h4d3h2d KcQs4s3s2h Ts9s5s5h3s 
JcTd8s3h2h Tc8c5d4c3s Kc6s5h5d3s Js8h7c6d3d 
9c5s4h3h2s AcJh7s7h2d Tc7h4h4d2c AhJc7s3h2h 
QcJs8s8h2s AdJs7c5c2c Ts8d7s7h2s As9h7d4s2s 
Jd6h5s4h4c Js9s7c3s3d Th8c7s5d2d AcJd5h4h2s 
KdQh9c4s2h Jd7s7h2s2d 9c7c4h4d2d As9d9c3h3c 
QhJs3d2h2c Jh7d7c6s3c 9h8s8h4d2c KsQcJc7c2c 
Ad9h8c3s3h Qs6h5h5d4h AdQh9c6s2s Qd5h3d3c2c 
JhTs5s3c2s Kc9c3d2s2d QcTh6s6d2d KsJs5d5c2s 
9h8s7h4h3d Ks9c8h8d4d ThTc9d3d2d Jd7c6c2h2d 
QsJc8d2s2h KcJs8s6d3s Ad9s6s6c4s AhJs5c4c2d 
Th8h5d3h2d Td8c7h5s2h Qs8s5s5d4s KdTd5c3s2d 
Ac9h4h4d3d Td9d8s3d2h Qd6c5s2s2c Td8h7d3h2h 
9c8d5c4h2s Ks9h9c8h4h Ac5s5h3h2s Jh6d5c3d2c 
JsJd9h4h2h Qh7c5c2h2c Qd8c7s5s3h KsQs7s4s4d 
9h6d4c3h2c Kc8c7s7h2c Kc9s8s6s2d KsJs3h3c2d 
Qc6d5d4d3h 8s6h4h3d2s Ts8h7c5d2d 9s9d4c3c2s 
Td8d5s4d2h 9c6c5d5c2s Qh8s8c6h3h KdQs6c3s2h 
Kd7d7c4s3d 7h6c5d5c2s Qh8s7s4c2c Qd9c7s7c4c 
Jh6d5s4c3c QsJd7s7c3s AcKh3s2s2d Qh8d7c4d2c 
9h9c6h4s2d Qc8h5c4c3s 8d7s7d6h2d Qh9h8h7h3d 
Td9d6h3s2c Qs8c7d5d3h JsJd7h4c2d JhTs7s4c2s 
As9c4h3h3c 8h6s6d4c3c KdQd9h6d2d Qc8c6h2h2c 
AcTh5d4s2h Qh6s5s4s3d Jc8h6d4s4h Qc5d3h3c2h 
Jh6d5h3d2h Qc8s7s7h4s QdJc9h2s2h Qs9d9c7h2s 
9h6c5h5d2s Kd9s9h8s4s QdTd7s4d2c 9d8h4d2s2h 
Ad7c5c3s3c Qc7c6h2h2d Jh7s6d5h2c Jh8c7c3h2s 
AsTh6s2s2c Ks8s8c4d3h Jc5h4c3s2h AdKd8d3d3c 
AdJc5s4s2h Ks8s8d3h2h KhTc8s5c2c QcJd5d2h2d 
AcQhQdQc9s Qd7c5c4h3s Jh8c4h3d2c JdTh4h3c2h 
Td8c7s3d2c Qd7s4d3s3d Qc9s6c4h2d TdTc8s4s3s 
9h5h5d3s2s Ts7h7d4h3h Js9h7d4c3c Tc8d7s7h2d 
Ad8s6s4h4c Ts9h6d4c2h Ad8h6s6h3c 8h7h6s3s2h 
Js6s6h3d3c QsTc4h3h3d Qs6d5d4h4c Kc7s7c4h3c 
AcJh8s8h8c Js7h5c4c3c Qc9d7c4d2c Jc5d4s3c2d 
Kd8d6h6c3d Jc8h5h4d2h Qd5s3h2s2d Jc7s6h4h2s 
Jd5c4d3s2c Kc7s6h6d3h AdKs9h4s2s KsJs6c3h2d 
