Tc7h6c5h2h 
Jh7d7c6h5h Qc9s9d3c2s Kd9s8s6h6c Jd9d7c6d2c 
ThTd8d6s2d KcJs4d3d2s Td9s8d8c2d 9d7c6c4c2d 
KsQh7d6d3c Kd8h8d4d3h KsQs7c3h2c 8s7c5d4s3h 
9s8s5h3h2d 7d6s5c3d2c Ac6c5d4c2h AcJc9h3d2c 
QcJh5c4d2c KcJhTc3c2c Kh9d7c5d3s AsJh9s6s3s 
QsTh9c3d3c KsQc8c4d2d Kh8d7s5h3h 9s9d8h5s2c 
QdJs8c5h3h Qc9d7h4h4d As9h6d5h2d JsJh9c4d2h 
Kh5c3c2s2h Th8s6s5d3c Ts9s5d3d2c 8d5s5h4h2s 
Kc6c4d3d2d Qs8c7d5c4c Ks9h9c6d2s Qs6s5c2d2c 
Kc9h6h5d3s Th9s5h5d4c 9d8c6s6h4c KdTs6s4h3s 
KsJd7h3h3d Jh9d8d4h2d Qh9c8c4h2c JcTc9c5h2c 
Jd7s7c5s2c As8s7d3d2s QcTd6c4h2s QdJs6s4s3h 
Kh9h8d6h2c Ts9d4c3d2s AdKd9c2s2d 8c6d5s5c4c 
Qc6d5h3d2c Qc9c7h5c3d Qd9d8d5h3s Jh8d7h6h2d 
Kh9h6d3c2c AcJh7c4c2s KhTd8s4h3h 8h6d5d4s2c 
Td9d5d4c2c Kc7s7c5d3c TsTc7c3h3d Kh9s7d4h4c 
8h6c5s4d3h Js9c8d4c2d Th9d6h4s4c JsTc8h8c3c 
KcQh4s4d3h 9s7c5s4d2c AsTd5d4h4c KhTh8d7h3h 
Tc7c6h4d3s TdTc8d6s2d 9h8s6h2s2h Qh9c8s3c2h 
Ac8h5c3s2d Jc9h6d4c2h Td8c6c5s3h Ad5h5c2h2c 
KcTd9d8d3d AhKh9s2h2d QdJd8s3s2s As8s7c6s3s 
Qh8s5d2h2d KhQh8h5c4h JdTh7s7h3h As9h4c3s3d 
AcJd8h5h2h As9s6s5d4s AhJd8d7s2d Qd7s7d6h2h 
Kd6d4s3s2s Th9h6h6d3s 9c7d5c4s2d AsTc6c4h4d 
JdJc9h4c2s AdQhJc7c2c Jc8h6s3s3c AhTs6s4d2d 
Kc7s6h6d5h Td7s5s4c2d Th7c5s4h2s QhTs6h5h2c 
QhJd6s4c3s Kd9s7h5h3c QcTh9d4c2c Qs8s6c4c2s 
Qh8c7c5c4s Qs9d9c8h3s Qc9s7d6h3s 8h6d5s4c3h 
7h5h5d4s2d Td7h6s5c3s Kh9h8c6h2d JcTd6c5s2h 
8h7d6s5d2c Qd9h6s3h2d 7h5s4h3s2d Kc9s5d4c3h 
Ah9s9d4h2c Qd8c7s6s2c 9s8h5c2h2c Qc8c6h6c2h 
Qc7h7d6d5d 9s9c8c4c2s JsTs8s7s3c QcTh6d3d2h 
AsJh9s7s2s Tc7h5h4s2c 8h6h5s4h3d Ks7d5s2d2c 
KcJd5h4d3d Td7d6d5s3h QdJs8c5c2h AsQs5h4s2s 
QsQh9d4h2h 9s9c5s4d3h Kd9d7c6h2s Qd8h5d2h2c 
Th8h6h4d4c KcQcTc5c3c QcJd7c4h2h Jd8s6c5h3d 
8c6s4s4d3d Kc8s6h5c3c AsQcJh7h2h 9h9c3h3c2d 
KdJsTd6d2d KhJs9s8s3d JhTd7c5h2s 8s7s4d4c3d 
Th9h5c3c2s Tc8h5s2h2c 9d7h6h6c3s Js9d6s4c2d 
Jd7d6c5c2c Tc9d7s7h4d Jh9d8d7c4d 9c6c4h4d3d 
Qs9h4s4c3c AcTs8s4h2d Qd5h4d4c2c AdJs7d4d2c 
9s6s5d3d2d As9h6s5s3s QcJc6s2s2h Kc8c7d5h2s 
AcQh9d6s3s Ks9h6s4d4c AdJs8h6c3s Jc9c5s4h4d 
As9d7h6c4h QhTh6s3s2h AsKdTc3c2c 8s5s5h4h3s 
KdTc6c4s3c KcTs9d7d2d Js9h8h6h4c Kd7s7d5c3d 
QdTc8s8d3d Ah8s5d4h3h AhJd5s3d2s Td9h8d8c2d 
Jh7d7c4c3d Ah7s6c3s3c JsTd4d4c3h 8c7s5c4d3h 
7h7c4c2h2c Jh9s7c6c4c Th8d6c5h3s KdTd8c5h3d 
Jh9h7h6s3c JsJc7d5h2s 9s6d5h2s2d 9s7c4s4c3h 
Js7h7c4h3c Ks8s6h4c3d 9d7s5s2h2d KdTc7d6h2d 
Jc9h9d7h4h Kd9s9h7d4d AdKh8h8c2h QhJh7s7d2d 
Jh7s6s6d5c KdJhJd5d2d JsTh8c2s2d Js9s6h4d2h 
Ah6h5d4h2c 7c5h5c4d2h Qh5c4h3d2d AsQs7d4c2s 
KsJs4c3s2c KsJd5h4d3d QcTh9d3s3d JsJd5h5c2s 
Ac8h8d2h2d KsTh9d7d2d Ac8s8h2s2h QsJc6d4h3d 
QdJd5h4d2c JsTc7d5s2h AsTh8d5c2d 8d6c5d3h2h 
Js5c4s3h3c 8h8d6c5c3c Ts7c6d5h3c KdJh4s3s2h 
Qs8s7s6s6c 9c6s6h5h4h Jh9c6h4s2c QdJh7s5c3c 
KhTh8h8d2s 9h8d7c5d2s KdJh7d3c2c 9h8s8c6d3c 
KsJhTs6s2s 9s9h5h5d2c Jd8h6s5c3d Tc9d5d4h2h 
Kh8c4s4h3c 7c5s4c3s2d Ad9h6c5h2c KcQc8c5s4c 
Kc9c7d2s2d KhQh9h8s2d KsQs7c3c2h 8d6s5s4h2c 
Kc8d6h6d5s 8c6c5h4c3s Jh9h6c5h3h QsJc8h7d2s 
AsKd8h5h2c Jd8s8h4h2s 9d8c7d4h2h Ks8s6d4c3h 
KsJc7h6c3c Qh9d9c5c3s QdTd9d6d3d Ts9s8d5s5c 
Js9d8c5h5c As7c5d4d3h KhQd5s5c2h Ah9h6h5d4h 
Kh7c6s2h2c QcTh7s7d3c Qc5h5d4c2d 9d9c4h4c2d 
Qc9s6s5s5h QsJh8h5h2d QhTh9h6h3h AcTsTh3c2c 
KhTd8c7s2d QsJd6h4h4c 6s5h4h3h2s Jd9d6h5d4d 
Qd8c7s7h4d Kc7c6c4s3h Js7h7d4h3d Ac9s9h7d4d 
QsTc7d7c3h 9d8c7c4d2s 9h9c6c4s3d 8c5s5c4s3c 
Th9d4d3s2h AhJh7h6h3d Th9h9c6h2d Tc9d5s3c2s 
AcQh6s5d3s Tc7s5h4d3c KhQh9h6d2c Ks8d6d6c3c 
KhQh7h5c3h Tc8s6s5d3h 9h9c8d5c2s 8h7d5h4h4c 
KcQd9c8s2c As7d6h5d3d As9h5s2s2h Qc9h8d8c4s 
AsKd9c7h2h ThTd7h4s3c Jc9d8c6s2h Kd7d5d4s3c 
Kc8c6h6c4d Td9d8c5h5d Kd7h7c4h3c 9s9h8d3h3c 
Ks7h7c6h4d AdKsKhKc3s KhQh8d6c3h AdQd6d4h2c 
Kd9h7d3c2h KsKdKcQsJh JcTh6d5s2c Ks9d7c5h3d 
Td8d6c3c2h 7s6s6h5d3s QsJh9d7s2c KhJh9c7d2h 
AsKd5d2d2c Kd9s5h5c4d Qh9c4s4h3c JsJc7d6h3h 
KcQc8d3d2h 9d7h6h4c2d Ts8s8d3c2d 8h8c6s3s2h 
Jc9s5d4d2s Jd9d6d5h5c 8s8h5h3d2d QdJhJc7s3s 
JsJd4h4c3c Qs9h7c4h4c KhJsTc3d2d Qc6d5h3c2h 
Kd8h7d6s2c Jh9s9h3h3c 9h9c8d7c4c Qc9s5c3d2d 
Qs8h6d6c5h QhJc9s7c3c Kd9h9c7d4d Kd7h7c4c3h 
AcJsJd3d2d Ks8h5h3s2c Td8h8d5c3s KhJc4s4d3h 
JsTs8s6h3s Qh9d9c8s4h Ts9h8d8c3d Jh5c4h3s3c 
KhTs9s5c2d QhTh7d4c3h Qh8s7c5s4s QdTh6d4c2s 
9h7d6s6d4d Ts7d6d5d2s Qh9s9c5s4d As9s6d5s2c 
5d4d4c2d2c Qs9d6d5d5c Jc9s8s7h4s KcTs7d4h3s 
Ks8h6c5s3s Qc9s9d6c3c KcTc5c3h2h QdJh7h4c2c 
9h6d5s2h2d 8d7s5s5c4s AhJc9c4s4d Jd7h7c6s4d 
Kh9s5c4h3d Ad8s8c6h4s Kd8h4h4d2c AdKh5h3s2h 
9h7d6h4s3c Js6s6d5c2c 9h7d6c4h3s Qc6d4s3s3c 
Jd9s9d8d3c Ks8d6d6c5h Ac7c5c4h2d Th7d6c5s5d 
Ad9d5d4s3c KcJs9s6d3s Ts9h5s4d4c Qs8h8c6d4h 
QdTs3s2s2d 9s9d7s3s3c KsJs8c4d2h AhTs6c3d2h 
Ad8s5h5d2d Kc7s6c4c2s Ah9d7d6s3c QcJd7h7c2h 
QhQc8c4d2c TdTc8c6s3c AdTs7h4s3s Th7c6d5s5c 
QsJs8d3d2d Ad6s4s3d2d Th8h6h5s5d JsTh5s5c2d 
QsJc7c6d3h Qs9s6c3c2h AdQd6d4h2s JhTs4h3d3c 
QcJs9h7s3s Ts9s7h4s4c Jc9h8d6d4d Td9h5d4s4c 
Qs8d5c4c3d AhJd7s6h2h KhJh8h5c2s Kh9d6d5c3s 
KhTd7c5c3c QhJd6c3s3h 9s8s5c3c2h KdJc7h7c4c 
Kh8c7d6h2s KsQs7s5c3s Ac7h6s5d3s Kc7d6h5d2h 
Kh8s5h3s2c Kc9d5s3s3d KhQh8c3c2d Jd9d6h4s2h 
KcQc8s7h2d 9d8h8d4h2d 8s6h4h4d3s AsTs6s5c3s 
KsJh6c4h3d Ah8c5d4c3d AhTdTc4c3c 9h7d5h4s2d 
AcQs5h4h3h Qh9h6c3c2s AsKs9s5s2h Th9s7h7c3h 
Js9h7s6c3s Jh9c8h6s2d JdTs9d4d2d 8d8c5h2s2d 
QsQh6c5d2d Qs8d7h5h2d 9d9c7h4s3d Ks8d7c6s2h 
Jd9s9c8c4h Qd6c4h3h3d AdTd6s3c2h Tc9s5s2h2c 
8d7c6c4s3h Ks9h9d8s4c Ah9h6h6c3s As9d9c7h4h 
AcQc9h5c2c 9d9c6d5s2d AsQc8s6s3s KcQcTd8c2c 
KdQs7h5c3h KdTh9s7s2s JhJc4s4d2c Jc7s6c5s2s 
Tc7d5h4c2h QhJd3s3d2s KsJc5c4h4c QhJh7s7d2s 
Jh8c7h6h2c QdQc6c4s2c Jc9d8s4d2s 9c7c6h4h2s 
AhJs5c4d3s Qs8d5c4c2d Ts5h5d4d3s AhJh9h8h2h 
KhJs7d4h3h JdTh6s2s2d AsJc5d5c3h KsJh9d4c2s 
Qc7s7c6h2h Jh7s7d5s2d Jd9h9c8c4s Qs9d7s6c3s 
QcTh6c5c2d AdKs9s4s3h KhJd7s6d3d Tc9c6s6h4c 
Qd6s5h3d2h Qs9d8h5c4h QhTh7c4s4h 7s7c5h3c2h 
JsJd9h4d2c Ks6c5d3d3c Tc9d8h4s4c KhJh4c3h2c 
Ac8c4h3s3d Jd9c5s5h4d Qc8h7h4h3c QhTsTc4h2h 
Ts8h4s3h3c 9s9c4s4c2c KhJd6s4h2c 7c6d6c4h3s 
QhJdJc7d2s Ts9s8s8h2d Ts6d5d4d2s KcTd7c3c2d 
QcJs9h6s2d 9h9d7c4c2h QhTs9s5s2c QhJc8s4d3h 
AcKh9h4h3d QdTc8c4h2s Kh5d3d3c2h KhJd4c3c2d 
Ks9s4c3h3c 9c7h5s5c4d AhKh9h8h4h Ad9h7c5s3s 
Qs8h5d2s2d Ks9s8h6s2c KsQs8c6s3d JdJc9d6h2d 
Jh8s6h5d3c Jd9d6c5d3d Th6h4s3s3c Ad9d8c4h3d 
QcTs9s7d2s Ac6h4h3c2c QdTs5h2s2h Th9s5s3s2h 
Ac9d8s7s3h Ks7h6s4d3s As7h6c5h3h Jd6s6h3s3h 
AhJs9c4s4d JsTs9h5s2s KdJs6h3d3c Qh7d7c6c5c 
Th7s6h3s3h KdQc7c4h3s 8c5c4h3h3d Ks8c6d6c3d 
AsQs7d4s3s Js9d8s6c3h Td8h8d3c2h QdQc8h7d2d 
Qc9d6c3d2h KcQcTc4c2h QsTs7c4s4d Jh8s8h7h4c 
Js6h6c4c3s Qs9s7h5s3c 9h9c4h4c2c 7s7c5d3d2c 
AcKd8h6h2s JsJc4h4c2d QhJc9s7h2d 9h6s6d5d4d 
9c7d6s6h4d 7h6c5h3s3d 7c6d5s3c2s KhTh5h5c3d 
Jh9h9c8h2s Js9d5d3s2d JsTd8h6c2h Ah9h9d4s3h 
9d9c7d6d3d JsTd6h2s2h QdTd9d5h5d JhTs5s4s2c 
Qh9s7s6s4c AsTd6d4h2h Ts9d8d7d4d Tc9c8c6c3h 
Jh9s9c8c4d AsKs7c6s2s Td9s7h7c3d 9h8d7s6s2c 
Kh9d6h4s4c Qc8h5s2s2c Jc8d6s6d2s Td8s4c3d3c 
9s9h8d6s3s JsJc9d7h2d Qh6h5s2s2c Tc9s4h3s2c 
Tc9c8c7d4c KhTs7h6d2h 9h8s6d6c4s Qc9c7c6s3h 
8s7d6c5d2h 8h8d4d2h2d AdTsTh4h3h KsJh7c6h3h 
Td5h5c4s4d Jc8s7h4h3s AhJh9h7s2h QhTd6s6d3d 
Jd9h8s6d3c QsJc7d5d3d Qh9d5c4s4h Td9s7d7c3d 
JsTs4c3s2c 9d8d5h5d2h KsQhTh3h2d 8h7h6c4h3s 
TsTh9h7d2h 7d6d5c3s3d Qs8c6c3s3c Kc8h6d5c3c 
QsTh8d5c2h Td9h8s8c3s 8s7c6h5c2d Ks9s8h3c2c 
Qh9d9c3h2d Th9s6c4c3d As7h7d5c3h QsJd8s4h4c 
TsTh7s3s3d AcQh4c3c2d Tc7s7c2s2d Ah8h8c4h3s 
Qh8c5s4s3c KhJs8h6d2c Ah9c6d5s5c Kc8c6d6c4h 
QdTh9s3s3c KdTs8h7c2s KsJc9s6s2d 9s9c5c3d2d 
AdJs6h6c2d QcTc3d2h2d Tc9h7h4d2d JcTc8c7h3c 
7h6s5h2s2h 9d6d5s5d2s QcTd7d5d3h As8s7c3c2s 
QsTh6c5h2d KsJd7h6h3c QcTc5h4c3c As9s9h4d3s 
Qc9h4d4c3h Qc7s7d6d2c Jh9h9c8h3d Ad8s6s6h2h 
Jd7h7c4c3h Ks9s7s5c4s KcJc8c5d2h Ah7c5s4c2s 
JsTd6s5h2c 9c8s7d5s2h KcQs9s7h4s QhTc9c3s3d 
AdKcJs6s2s Th9s7h4s2s 9c6s5d4c3h Qc8s8h5s4d 
9c8s7s4c2h Td9d5h2s2h AhQd9d4s4c KdJc7s7c4c 
QhTc8s5d2c QcJd9h7d3d KdQh5h4h3h TsTd9c7d2d 
Jc7c5s3s3c 9h9c5d3d2c Th7s7h4s2d KhQs8d5d4d 
AdKd6d5d3d 9s9h8s3d2d Jd9h8c6d3s KhJc6d3s3h 
As9h6h3s2s KdQdJd3d3c Tc9h8s4d4c JsTh8h8d3h 
Kc7h6d2h2c Kh9s8d8c4h Kd8d6s3h2h AcQh6d2h2d 
QdJh9c7s3s Kd8h5d3h2s Qd9h8s5c4s 9c7h5c4d2d 
JcTc8c6h3c KsTh7c5c3c KdJdTd6s2d Ah8h6h6d4h 
Jh8c7c4d3d QsTc9s7d2s QdTs7d4c3d QdJh7c6d3d 
QhJd9s7s3s Qc9h5s4d4c Td7d6s5h5c Td9s7d5d4d 
JsTc8d2s2h Ac8h4c3s3d Jd9h9c7c4c KsQs8h6s3d 
TsTc8c4h3d Qs8s7c5s2c Th9d7s4c3h Tc8c7d4d2c 
Kh9c7h3d2d AhKsJd6d2d Jh9d6c5c4c Th9h5d2d2c 
Ks9h8d5c2s AcTh8h4s2d AcTsTd4s3s AdKh7s4s3s 
KsJs9d3h2c JdJc9s4h2d 7s7h5s3h2h Kh9c8s5d2h 
Th9h6s6d4h Kh7c6s5c2s Qs9s8s5h3d Kh8d6s5h3h 
Ah9s8c7c3d Qd9h7c6s3h JcTc9h5c2c Qd9s9h3d2h 
AhJh9h4h4c KdTsTh8c3c Kc9c4h3s3h Ad8c6c5h5c 
Js6s5h5c2c 9d9c6d4s3d Ts9s8c7s3h Jc9d9c8h3c 
KcQd7d2d2c Jh9s8c6h3d QdQc9s4d2d QcJh6c5s2c 
Td7c6c5c2d Kh8d6c5h3h JhJc4s4d3s KhJd7s4h3h 
AsTs6h5s3s 9d8c7h6h2s Kc9s6d4h3c Th8d7d5s5d 
Ah9h8h7s2h Jh9h5c4h2c Th6c5c4c2h AdQd9h5d2d 
Tc9d7h7c3c QhJh8h8d4h Ah9c8d7d3s KcJc9c7s2d 
KdJh9h6c3h QsTd5d4h2c Ah7h6c3c2h Ac7s5s5d4s 
KhJh9h7d2s QcJc7s6c3h QcTh7s5h3h As8s8h4c3s 
TsTd3h2h2d Qd7h7c6c2d QsJc6s5d2s QsTd8d5d3h 
KdQdTd4c2d Th7c5s5h4d Kc9h6s5d2c KhQh7d3d2s 
QsTc4d2d2c AcKs8d6h3h Jh9c5h3c2c 9c5s5h4d4c 
QsJc9d6c2h Td9h9d7s2d Qh9d4h4c3d Kh7h7c5d3h 
AdJsTh6s2s Kh8c7s5s4s Ac9c6h5c2d 9d8c6d5s2d 
KsJs9s8s3c Jc9h8h6h4s QdTc9s5h2s Jd6h6c4h3d 
8s5d5c4d3s Tc7d6c3d3c 7d5h4h2d2c Td8d5h4s4c 
Ts9h6c4c3d Kc7s5c4c3d Kc9d6d5s5h AhTs4h2d2c 
Tc9h5d3c2d Kh9c6h4s3d QhTd7h4s3h Ac9s9d4c2h 
Ac9d7d6h3s Kd7c5h3h3c Jh8d7h4d2s Kc9d5d5c2c 
Jh9s9c2h2d QdJc7s3s3c QcJc8s7h3d AhJc5c4s3d 
QsJh3h3d2d Qh9d7d4c3c Kh8d7d5s2s Js8s7s6s5s 
JsJh8h4c3d Jc9h9c6d3c Kh9s7c6c3d KhJsTh6h2h 
Th8c4h3s3c KsQs8c7h2d Jc6c5h5d2h 8c7d6d4h3s 
QsJhJc7c2d Td9h6h3h2d Ts9h8h7c2h 9h8s7s5s3c 
QcTs6s6h3s KhTc9c8c2c Th5s5d4h4c 8d7c5h5c4c 
8h6h5c4h3d AdQd5s4d2d TsTd8d5c2h AhTd9d6d3d 
Kc9h7s4d4c Qc9h5c4c2h Th8c6c5s3d Jd7d6h5h2h 
Ks9h6d5c3h KcQs8s6d3h AhQd9d7d4d KcJd8c6s2h 
Qd9c6h6d4d QdJh6h4h3c KcQs7s2s2c 9s9h8c4h4d 
Jc9c5s4h3d AhTsTc4s3s AhTc8c7c2c Qd9s9h5s4c 
AcQh6d5d3d 9h6d5c2h2c KhQs8c3h3c AhKh6c3h2d 
KhQh8s3s2d Tc9h4h3s2c KdQh9d8c2d Td9s4s3h2d 
Jc7h5d5c4s Qh5h4s4d2d QsTc6s4h2d Ks7c6h6d5d 
8s7c6s2s2c KsJh7c4c2h 9d6d4s4h3s JhTc6s2s2h 
Ts9c5s4h4d Ks9s9h7s3c 6c5s5d3h3c Qh6c5s3h2s 
JhTc7c3h2c KdJsTd3d2d KdQc8d6d3h Tc9d4h3d2c 
KhTsTd4c3c QhTs9s5s2d 6h6d5c4s3h 9s7h6h6c3d 
9d9c8c3s2s Tc9s8c5c2h Kd9h6d4s3c Jc9s9h8d4s 
Qc9d6c5s2h Js8s7s7d4h 7d6h6d5s3d JsJc5s5d2s 
KcTs8h4c3c 9s8c6s4s2c AdTd6h3c2s 8s6d5d4h2c 
QdJs9c7h3h Ts8s8h5s4s AhJc5s5h2h Jd9d8h3c2c 
QhTd7h4h4c Qc9c7s4s4c 7c6s5c3s2d 8s8c5d4d3h 
Kc9h7c3d2d Ah9h9c4s3h KsJd9d6c3d Qh9s9c6h3h 
Td6c5s4s2c KhQd8c3h3c Jc9s8h6c3d Jd5h4d3s3h 
QdTs5s4c2h 9c8c6d3d2s Kc9c8h8d3s Ts7s5h4h2d 
QhJd9c7h2s Jc8d7h4h3d Kd7s6h5c2d QdTs6s6h3s 
7d6h5d3h2s 9h7h7d4d2c AhJd5d4s3c 8h6c5s5h4h 
Kd9h9c8h5h AhJc5s5c3d QsTsTd7h2s Qs9d8c5h4d 
KdJh7s6s3c QdJd8s5d2c Jc8s8d4s2d 9s7h5h2s2c 
KhJs5s4s4c Kc9h7c6c4c Th7c6c5c4c KhQdJd4d2d 
KcQc7d3d2s AcJh7s6c2c Ts9s9c7d2s AcKsKhKd3s 
Js9s6d4d2d KhJc7d6c3c ThTd8c7h2h 8h8d6d5d2d 
8s5d5c4c3s Ac7c5c4d2h KsQhJh7d2c Qs8h5d4d3h 
Ac8s5h4c3c Ks9s8h5s4c 6h5c4h4c2h Qc9s8h5d4h 
KcJs7s7d4s KdTs7c5c3c AcKhTh3h2h KhQs7d6c3d 
Jd7s5c4c2d KsJd6c3s3h Tc8d7c3d3c Td9c7d3s2s 
AcTc6d5c3c 7h7d5c3h2c KhQs9d8h3h JhTd7d3h2d 
5s4s4h2s2h 7h6h5h5c2c KdJs6h4s3c Kd9d7s6c2h 
Td7s6c4s2d Ks7d6s4c3s KdQdTd5d3d Kc7c6s5h2d 
Jd9s8d6h3c AdKs5s2s2c AcKs8c4c3c 7c6s5s5d3h 
Qd5s4h4d2h Qh9d6c3d2h KhQs9c8h3h QsJhJd7d2c 
9d8c7h5d3d Js7d7c3d3c JcTc7h6d2s KsQhJc8d2d 
QdTc7s4c3h As8s6s4h2c QdTh7c6d2s AcTs4c2h2d 
Qc9d7s6d2s Js7d7c6h4s Js8c6h5d3s Ac8c7d3d2c 
Qc8s7d6d2s 7c6h5s3s2h Th9h8s5d3h Ts7s6d4c3h 
Ks9h7d4s4c QsTsTc7d2s Ts6c5d5c2s 9s8s5s5c2c 
8d6d5c4d3h 8h8d6s3s2h 9s8c7s6s3h Kc8h7h2h2c 
QdJc6c5c3c AdJh7c6d2d Qh9s6h5d2c KsJh7c6c3d 
Qs9d9c3s2c Th9h8h7s4h KhTs9d7d2c QcJs6d4h4d 
QhTc6s6c3c Th7s6c5s5d 9c7d6s6d4d Td6h5s5h2d 
Qc7h5c4s2s Qd9d5h4h2d KcTd8h6h3s Tc9c7s7h4c 
8h6d5d4s4c 7s6d5s3h3c Ks9h9d8h5h Ac9c7d3h2s 
AhTd7c4d3d KdTc3d3c2d Td9d8h7d3c Ts9d9c8s2s 
QdTs7s5s3h ThTd8h7h2c QcJd8h7s2c KdQs8c7h4h 
KhTd6h4s2h Tc9c5d3d2h JsTd7h7d3d Td9d5c3c2s 
KdTc7s5s3s Qd9h6s3s3h 9d6d5s4s2s QhTd9s3s3c 
KcTh6c4s2c Tc8h7h5h5d Tc6c4h3h3d Kh9h8s3d2d 
As9c8h7d3d JhJd9d7c2d AhTc9d3s3d Tc8c6c5s5d 
AcTsTh4h3h QhQc6c4s2c 9d8s7h5s2c Kd9d4h3s3h 
8h8c5s4h3d Ac5d4c3h3c QdJc6h3s3d 7s7c6h4d3h 
Kh7s6d5d2s QsJh5s4d2s Ks8c7s6h2d JhJc9c6d2c 
9d8s6d2s2d TsTd9s5s2h AcTd8s5d3d AhKh9h9d2h 
KhTsTd8c3c AsTd8d4d3h AhQd8s4c3d JsTs9s7s2c 
Ad8h5c4h3c AhKhQh8h3h Qs6d5c2s2d 9s7d7c2d2c 
ThTc9c7d2c 9h6h5d2s2d TsTd7d4h3c QsTh9h5h2c 
Qd7d6s5d5c Kh5d3d2h2c ThTd8d6s3d Qs9d7h6c3d 
9c8h5d3c2d Ks9c7s6s3s TsTh8c7s2s Qc8c6c4d2d 
JcTc8h2s2d QhJh8c7d3s Kd8h4s4d3h AsTh8h4h3c 
QdTh5s2s2h KhJh9c3s2d 9h6s6d5s4s Qh9h8h5s3d 
9d6d5c4d2c TsTh7c3h2s 7c6h5c3h2s AhJd8s7s3s 
Jd9h7s6c3c QsJd7s7d2s Ad9h9d4s3d JdJc4s4h3s 
Qd7c5d4h2h Kh9h8s8d4c Td7s5h4d3c JhTs6s5c2d 
KcJh8d4s4c Ac6s6h5d4h 8d6c4d3s3c Qs5h5d4h3d 
9s9c8d3d2s AdQc8s6s3h Qh9s4s3s3h Kc8d5c4s4h 
Jd8d7s7d4h Kd9c6s4h3d 8d8c5d3s2s AcQs7d5h2s 
As8d7s3s3c Jd9c5s3d2s 9h9d7s4s2h AdQc7c5c3c 
Ad9h4c3s3d Ts9s6s6h3d KsJd7c3d3c QdTd7d5s5c 
8c6s5h5c4c QcTs7s5s3d QsJd3h3d2h 7h6s5s5d4s 
KcJs7s7h4s 9s9h5s3c2c AhQc7s6d3s Qh9h8h5s3c 
Qh7s6s6c2h Qs7h5s4d2d Qs7h5d4s2h QsTc5c4d2h 
Tc9d9c6c2h AcKc6s3d2c KdQhJh7c2s As9d6c5d2c 
Ah8h5d4s2h AsQs6s4c2h QdJs6c3h3d Td9s7s4c3h 
JcTh7h3c2h Ad8d5s3s2d Qh9c7d5s3c KdJh9h8h3s 
Ac9d7h5s3s AdTc8h5c3c JhTs7s3h2s AsQh5d4c3d 
Ad9c8h7h2s KsTs8s8h4s AhQh5h4h2d AhKc6s2d2c 
As8h5d4h3d AsTd7d4d3c Kh9s6d5c3s AcKsKhKd6d 
9c7h4h4c3s KsQc8d5d4d 8h8d6c3c2d 9s8d7d4s2c 
Jh8s7s5d5c Ts9h8d7s2s Kd9d7d6d4c Kd9d6h3c2c 
QsTs3h2h2c KdJh7s4d3d Kd9c8s8h2d KhQdJd7s2c 
QdTc8c5c3h 7s6d5c3s2c AdJc9h7h2s QhJd9c7s3s 
QsTsTh7d2s Ts9d8d7c2d Qh9s6d3s2h AsTh9h5d2c 
QsTs5s4s4h TsTc7d4c3h AcQh6d6c2c QhTh5h4s3h 
Ac5s4c3d3c Ac8d4c2d2c Qd9s9c6h3s QhJh7s7c2c 
AdKs7h5h2c Kc9s6s5h3d Ts9c5s5d4h Qh8s7c6c2s 
7s6c5h5d3h 7s7c5h3s2h Qd8s7d5h5c Qh9h5d2d2c 
KcJh6d3s3c Qc9c5s4s2c 8d5d5c3s3h QsTc7h6s2d 
JsTs6s4s4d Th8h7s5c3d Qs9s8s5h3c Ah9h9d5c2h 
Jc8s6s6h3h Tc8s8c3h2s ThTd8h5s3h KhTc9s7s2s 
Jd9c7d6s3d 6c5c4s4d2s 9d9c8h6c3c TsTd9d7c2d 
Ks9d6h4c3s AdKd6s3d2h KdQc8s3s3d JcTd6c5h2s 
AcQs6c4h2c QcTs9s5s2h KcQs9c8d3c 9h7h6c4c2s 
AsTd8d4c2h KdJs9s9h2s Js9s8c3d2d Ks8s7h4s3h 
KhTs9s8s2s 6s6h5c4d3h KsJd9h9d2d QdJs9h4h3c 
9s9d7d3h2s Th9s5s2s2h Kh9c7c4d3d 9h8d7c5h3h 
9h8h5s5h2s QsJc9d7s2h Js8s7h4h3h Td8d4c3s3c 
Qh9h8h5d3s Th8h7c4c2h Kc9c6c5s5d Kc7h7c5c2h 
AsQdJc7c2c Js9c8d5h5d KsJsJd3s2s Qh6c5d2h2c 
Jh9h6h5d5c QsTc9d4s2s KsJh5h4h4d AdJc9h4s4c 
KdQs7c6c3h Th7h5s4s2d KcJh8d5s3h Ks9d5h3h3d 
KsQs9s6c2d Jc8h6s6h3s Kh9d7h6h3h AcKs6d2s2h 
Jc9d5h4h2d ThTd8h5c3h Qc9s8h3s2c QcJd8s5s2h 
AsQc6d5h3d KcQd9h6h3h QdTh9d7c2d Ks7h5s4s3d 
QdJd5s4d2c Qh9s9h5h3c Jh7d6d6c5s Qd9s7c4s4c 
Td8d4h3h3c AdKsKhKc7h QcJh7d5s3s Tc8c6c5h5d 
Jc9s5d3c2d TdTc7h5s3h AdTc6c4s4h ThTd7h3s3c 
Js9h7s6d3s AsQd6h5c3h Jc9h9c8s3c Qs9h8c3c2s 
Ks7d5c3d3c AdKsTh3h2h Ah8c7h3h3d KsTd7h5h3h 
