AsQc9d6d2c 
7h6h5s5d4d Jh9s6d5s5d As8d6h5d4h KdJd6s5d4h 
KsQhTc6s2d AdQd9d6h4s AcTc7c4s2s Jd7h7c5c4h 
KcQdTd9s4d KcQd9d8h3h Tc9h7s7c3h AdQcTc6s6c 
Td7c6h5d5c JdTd7d4s3s Qc6h5d4h3c AcTc7s5h3c 
KcQsJc7c4d Jd9s9c2d2c QdJs8h8c6d Ah8h5c4s4d 
AhQh9c7s4h KdJh9s7s7c KdQhQc7s3d KcTd8d7h5s 
QdJc9h6s6d JcTd9d3h2h Js9h8s6h3c Ks8h6d5s2d 
Qd8d7c5c4d QsTd6h4d2s AhTh7d5s3h AdQd9c7d4s 
QsQdTc5h3h JhJd8s8c4s QcTsTd7d5h Jh7s6s6d5d 
AhTh8h6s5h Tc9h8s6d5h QcTh8d4h2c KcJd9s8h6s 
9s8s6h5d2h QdTd9d6s4c AhTh6c5d4h KhQc8d5c3d 
JhJc9h3s2c AsQh9c7s4s KcQhTh3s2s KsQhTc5d3c 
Qd9h7s5s3d AsTs6c5h4s QdJh8h7c6h AdJdJc5d2s 
KsJh7c4s2h KdQs7h6d4d AdTh6d3s2h AhQh8d4d2h 
Qh9c8d6c4d Ts6s6h4s4h Kc9c7s5d4h Kd9s6s6h5h 
QhJd7h4s4d JhTh7d5h4c JhJc6s6h2c AdTsTd5c3d 
AhJs9h4d4c Kd9c8h8c4d KsKc9c3h2d AhQd6c5s4d 
AsKdTh5d2c AcJh7h7c2c Jh9h9d8s6c AhKdTc5d2s 
QsJh9h3s3h Kc9h7h5c2d JhJd6d6c2h AhQd9h8h2s 
9d7h7d4s4h QsTh8c5c3h KhQsQd7c3h AsKsQd7s2h 
QsTc7h6c4d AhKd8s5c3d 8s7c6d4s4d KcJc6h6d3h 
AsKdTh4d3d As8h6s5d4s KhKd4d3d2s Jh7s7d5s4d 
QhTh9h7s7d Th9c8d8c2h TsTh7h7c5h KsQc7s6s6d 
AdJd9d8h6d QsJsTs7h5s Kc8s7c6h5c 9h9c8h6c2s 
QdJh8h6h3d Th8d7h6d3c AsKc7h5h5d AcThTd9h3s 
AhJc8s5c2s Td9c8s8c2d Td9s8c6s5h Qd8h8c5h4c 
AhKcJs6s4s AcQc9d4s3h KcJh9d7s7d AhKdQc9d2d 
KdJh8h8c4c AsJh8d4c2s 7c6h5h5d4d Jc8d6c5s5d 
Kc9d8d5s2c 7h6c5d5c4d Qh9c8d7c6s Jc9h7d6c3d 
AcKd7d4h3s AhJd9h5h3s 7s7h5d4d3s Ad9s7d5h5d 
KhJd5d4s3s KcQhTh3d2d 9h9d6d4h3s AcKc9s5h3c 
QdTd7s5s3d KhTs7d6d5c AsJc7s7c2s AdKs9d8d2h 
Kh9d8c7s6c AsJh8c5h2c Ks8d6d4s4c QsJh7h6d5h 
JhJd7s7c5s JsTsTh9s2d KcTs7s3h3c JdTs8s7s4h 
Th9s8s8c4h Ac9d8c5h5c KsQd7c6h4d Ad9d5c4c2s 
QdJhJc9s3d AsKhTs6s2c Jd9c7s6c4s QhJhJd9h4c 
AcJc7d5c3s KhQcTc9s4c AcKd9s6s5h AhKhJc7h3h 
AdQh7s6c4h JcTs8s7s4d AsQh7c5d4c AdJcTs6s4s 
QsTh9s9d4c AcQs8s7h2h AcTc9d6s3c KcTdTc9c5h 
Ks8d6s5c2d AdQd6s5d2s QsJh8h7d6h KdJs8s4h2d 
Kc7d7c6h6c Ks9c5h4s4h Ad9h7d5s5d AsJc6s6d5s 
QsTs9s6h4c AhQhTd5h3h QsJd9s9h5c AcQc9c6d4h 
As9c7c3d2s AsQd7s7h3c Jd6s6d4s4h KcJs8h6c4d 
JsJdTd8d5d AcJhJc5c2d Jd7d6s5c3s KhJh6h5s2s 
JcTc6s5h4c AsKsTs6s6d AdTc8s6c2s KhKc9c7s2c 
AsKh6h4d4c AsJc6s4h4d AdQd9h5c3d KcJsTd6h4h 
AhTh8s5d3h JhTc7s7c3s Ah9d8h5s5h KsKhQd3d2d 
AcJd9c4s4h QcJd8h6c2h QcJc9d9c3d AhQd8s6s5c 
Ac6h5c4s3d Qh9h7d5d4h KsQhJh6d3c Th9s6h4s3d 
KsQcJd9d5d AdKsTs6h2c Kd9d8c5s3s JsJh9c7c2s 
Ah8d4s4d3h AdKh9s3s3h 6d6c5s5d2c QcTsTh7s5d 
Jh9d8s5d2h KcJd9d4d4c QhJc8s7d6s Js9d8d7s3h 
Kh9s9h8s2s ThTc5s4h3c 9s8h7d6h3s QhJsJh7h2s 
9s9d8h7d6d QhQc4s4c3c Ts9s7s6c5h QhJc7s6c5d 
Ks8s8d6h3h ThTd5s4d3h AcQc9d4h3s AcKcQc6d3c 
Ts9h8s8c6d KcQcJs7s2s AdJc8d7d3h As8h8d7c3s 
AcJh9d7s7h QhTs9c8d2h JhTh9d8s4c KdQcTh9c2c 
Tc7c6h5h5d Ah9d5h4c2d AsJs6d5h4s JdTd7s5d4c 
KhTs9d7d2s QsTs7d5c4h AcQcTc5c3d KdJd6d5s2s 
KdTdTc3s2s 8d7s5s5h4h QcJs8d7c2s TsTc9h7d5s 
QsJh8s8c6s AsQs9c6h4s 6s6d5c4d3s JdTs9s7c3h 
JsJd8c7h4s Jd9s5d5c4c Th8c7h7d6s Kd8d7d6h5s 
Ac9s8s8d4d QsTs9d7h4c KsJhTd3s3c KcQh9h2s2c 
KhJhThTd2h QsTh8h5d3d QdTs7d6c4d QcJd7s6h6c 
KhQsTs3c2c KdJc9s5h3d Ah9d7d4h2s AhQc8s6s5d 
KsJhJd9h5h KdQh9d3h2s AsJd9c5d2c AcTs4s2d2c 
JhTh8h7c5h KdJd7s5s2s Kh7h7d6s6h KsQh7s7h3h 
Jd9c8c7d3s JsTd9s8c3h QdTs8h6c4c KcTc9c4s3s 
AcQc9d6s2h Ts9h8h6s2h Ac7s6s4c2s AsQs7s6h5s 
AdQdTh5d3d Jd9h8d8c4c QcTs9d5d2s QsJcTh7d3s 
Ac9s7s3d2c QsQh4c3c2h AdKsQs9h2s AsJc8s5d3s 
KhQc6s5s2c QdJh8d6c4s KdTh7d5d4c Jd7h7c6s6d 
AdTs5d3c2c QsQdJs6h2c AsTc8c5h4d QhTs9h9c4d 
Td6s6d4s4d KcQd7d7c3c KcJs5h4s3h 9s8c7s5h3h 
As9h9d6s4c AcKc8d5c3h KcQcJh7c4d Tc9h8s8h2c 
ThTc5c3s3h QdTd9d7s7c KcQsQd9s2h KcQdTd8h5d 
AcTs6d4h3c JhTd9d8s5d KhJs8d8c7d AcJc9c8h6c 
QcTc5s4s2d AcTc9d5c3s Kc8s6d5c2d 6h6d5s5h2d 
QhQcJs8d3c JhJd7d6s4c KhKdQs9s3s Td7c6h6c4h 
KhJcTd5d3d AcKhQh9s2h 9h8d7s6d5d QsThTd8c5h 
QhTdTc8s5d AdKdQs7d2h 9c8s7s6h2c Jd9c8c7h4h 
AhKsTc4s3s AsJh9s5s3d AdQhTs6s6c KcQcTc6s6d 
QsJh9h3c2s QdJh8d7s2h QcJd9s9c5h QhTd7c4c3h 
AdJs4s3d2s JhJd7c6c5s JcTd7d7c2s Jc9d8h6d3c 
QhQc4d4c3c TsTc9c4s2d Qd8d6c5h3h Kh9s6h5s3h 
Qs9h9c8c3s KhQcJs7s2c QcJs9s2d2c AdJs8h6s5c 
AhKdTh8h2h Jh9s8d7h2s AcKdJc3s2c AcKs8d5h3s 
Jh9h7s6s4h Td9s9d7s2c KcTc5c4d3d QsTh8c6h4d 
KhTs7c5h5d KsQh9c6s4d Qh8h8c7d6s Th9h8d6c5h 
AsQh9d6d2h KsTc9h7h2c KsQdJs7s7c AsQhJh4h3d 
Kh9c8h8c3s AhQc6h6d3s AdTd9c6s3d Qh9c8s6s5d 
JcTc8c7c4h AsTc7c6h5d 8s8d5s5h2d Kc9h8c5h4c 
QdJh8c7h2d 9d9c8d6c2s AdQd7c6d5d AhQs6h6c3d 
KhTs8h6c4h AhTc3c2s2h Ah9c8c3h2c AcJd8c7c3s 
QsJc8h8c7c Jh9s8d6s3h AcTh7d6d3h AcKd5s4c2c 
AdKs8d8c2h AhTc7s6d6c 8h8c7h7d5h 9h8h6d5c2d 
AsJc9c7h4d QsTd8h4d2s Js9c7d6h5s JcTs7d6s4h 
9h7h7c4s4c KcQd6h3h3c KhTs4s4c3h Ad7h6s4d3c 
QdTs9s6h5s QhJd9d3s2h KdJh5h4s3s Qc9s9d8c3s 
JhTd7s6c5c 9s9c5d3d3c AsQs9h6c2d Ad9s9d5d5c 
Kh9h9c7c2s QhQdTh7h3s Td9c8h6c5s KhQd9h3d2c 
JhTs9s8c5s AhKc8d5s3c AhTs3s3d2h AsTc9h4s2d 
AsKc7c4h3d JsTd9s8c2h Td9c6d4d4c QdJdTd7h5d 
QdTd9d7c5h AdTc9s7c4h QhTs6d6c5h AcJh8c7d3c 
JhJc9s7s5s AcJh9s8d4h TsTh7s7c2h ThTc5h5c3c 
Kc9h8s8c2h AhQcJc4d2s KdQhTh6h4h KsTd6c5s4s 
QdTd5c4c2h AsJh9c5h2c KdTd7d6d4c KcTs8c6d4c 
Jh7c6h5s3c QhTh5d3s3d QdTs6d5d4c 7h7d5c4c3d 
AhTs9d9c5d QcJd7h7c6s Kh9s9h7s2d Th9h8s6c5h 
8c6h5h5c4d Js8c7d5s3d QdQc9d8d5d AhQh9c4d3s 
7s7h5s4c3h AdKh7d4c3d JsTd7s7d2h 8h8c7c5s3s 
Ah9s8c5h2d AdKh7c6c4s KhQh7h6d6c AsKdTc5h3c 
QdJhTs9s2s KhTsTh9h3c Kh9h7c5c2d AdQd8s4s2d 
KhQc7c5h2h AhJc3h3c2c KhQhJh7d7c QhQc4s4d3h 
AsTd9h9c5h Qc8h7d5d5c AcQs6h3h2c Js7h7d5d4h 
QcJcTs8c4c QcTc5s3s3h QdTs9c8d5d Ah8d7h4h3d 
9d8d8c5c3h TdTc5d3s3c AhKcTh6h2d Th9s6s4h4c 
AcKsJh8h3d QhJhTc4s3h Tc8s7h6d6c QcTh8d6d4s 
8d7d5s5h4s AhTs9d8c4s KdQcJh6h4h Js9c8c6h3s 
Qs9s9d7h4h KcTc6s6d4h Qc9d8c5d3s KsKc9h8d3d 
KsQcTh4c3d ThTc8c6d4s QcThTd3h2d AsKcTs6s2h 
Qd9d8s5s2c Qd8h8c5c4h QsQhTh8h2c QsJd8c7h5d 
9s9h5c3s3c QsThTd8c5d Td9c8s6s5h KsTc8c7h5d 
AdTd7d4s2s QdThTc8s5c 9s9c7s7c2c AhTh7h4d2d 
Ac9s8c3d2d KsQsQh8d3c JsTd6c5s2d Tc9c7d6c5s 
Ah7s7c6c4s KcQh9c3h2s KhQs9s9c7s AcJd4h4c3s 
JhTh9d5h4c KcJs8s7d5h AsKdQs7h2s QcJh8s6h5h 
Th9s8d6c5s AhQdTd9d2d Kh8s6d4h4d AcKh5s4c2c 
QcTd9s8h5h QsJd8s7h5s TsTd5d3s3c AsQcTd5h3d 
7d6h5d5c4h KhTsTh9h3d Ts9c8h6h5d KdQsJs7h4c 
Kh8d6c5h2c AsKh8d5c3h AcKs7s4h3d Js7h6s5d3h 
Tc9h7h7d3c 9c7s7h5h3c AcKc7h4d3c QdJcTs4h4c 
9d8c7c6s5c AcQc7d7c4s As6d5d2s2d KsTc6d5s3h 
KsJsTs8c3h As9c8s5s5d Ts9s7s6h5c KhQd9h3s3d 
QcTs7d6s4h AsQc9s5s5d KcJs5h4h3s AsQs9c6d4s 
TsTc8h8c4c Kh8c7s5s4c KcQs6s6d5h Jh9h9d7d3h 
KhQs7s5h2h KdTc7d5d4h KsJc9h4s4h QcJh7s7c6d 
KdTsTc9h5c Ad9s8c5d2h JhJcTs4h3h QsQh9c8d4h 
Kh6h6d4s3d AdTs6c4d3h KdJc9c7s5c AsJd9h8c4d 
AdQd9d7d5c QhTc6h5s4h 9s7s7h4h4d AhQs9h4c3d 
KhJs7h4h3s Kd8s6d5c2s QcTsTd8h5d KsTh8s5h3s 
Ts9s6s5d3d KdTs9h6s5c AdJs7c5s4h Th9h7h6c5d 
QhQcTc8c2s TsTd7d7c4d KdJs8d6c3c KcQh8d7d3c 
KhJhTh8s3c AdQh8s8d2c Qc9s9d8c3d KhQd9h7s7h 
Jh9d8d7h3c KsKdQh8c3h KsQhQd5d2d QdTh8c6s6c 
AcJs4d4c3h AdKd7s4h2c AdJc9c7s4h KcQd9s3d3c 
Ad8h6d5s4d AcTs3s2h2c AdJsJd5d2h KcTd7c5c4s 
AhQc6s6h3d AdJs8d7d3h QcTh9s3s3h JsJh7s5c4d 
AhQc6s3s2h QsTh7h6d4c AsQcTh7h3d KcTs9s6h5d 
QcJh6d5c2d AsTc7h6d4c AhJd9c8s4d Ks9d6c4c3s 
Qs9s8d6d3d AhQh7h5s2s KsTs6d5c4s Qd9d8h6c2h 
KsQcJs4s3h Td5h5c4h4d JcTh7h7c2d KsJhJc6s4s 
QdTh8h5d2d JcTh9c5c4s KdQhTs5c3h KdQc8d5c3d 
Kh9d6s6h5c JhTh9d5h4s JsJc9h5c4c KdTd7c4c3d 
Td9d7d6h5c Jc9s8c6s3h KhTsTc7c2s JdJcTs5d2h 
Qd9s9h6h4s QcJs7s6h5s Td9d8c6d2c JsJd9c6d2c 
AsQd4h4c3s TdTc7h7c2d QcTc5s5h3s QcJd5c3d2h 
KhQsTd5d4d AcJs8c5h3c Kd9d8s5c3c KdQsQh5h2h 
7h7c5h4s3c KdQhJd4d3s KsQcJs4d3s Ad9c7d5h5d 
QsJcTs6s4s Qd9s8c6s4c AdTc6c3d2s Kc9s7c6d5c 
AdQh7s5c4s Qs9d9c8d3s KhTs8d8c6d KcQh8d7s6s 
QsTd9d6h5d AhJsTd5c3c KcJs5s4d3d Qh9d8s5h2d 
Qc9h7s5s3c Kc9d6s6c5h JdJc9d3h2c ThTd8s8h4h 
Kh9h8s5c3s AdTh9h9c5s QsTs7d7c3d KsQc8s4d4c 
JdThTd3s3d AcQdQc8c3c KcJh7d4c2h KsQhJs4d3s 
KsJsJh5s3d Td9d8h6h3d 8h6d5s4h4d Ac9h7s5s3h 
8s8d5d5c2s KhQdTc9d3d Js9h8c5h2s AcQs8h6h5d 
AcKd7s5s5h KhJdJc9s5s AhQc6s6d3h Ts7c6d5s5c 
8s8h7h5d3d Jh9c8c7h3s KdQs8h7h3d Jd9d6c5c3c 
AhTd9s9d5c KcQdTh8s2c Js9s8d7s4d Js7s6c5h3c 
AcQs7h6d4s AsJd8s7s3h KcTh7s7d5c KhJc5d4d3c 
Js9s8d7d2c KhTc5d4h2d AcKd8c7h3c KdKc9d7s2d 
KcTs8h8d6d KhJh9c6d4s Kh9h8s5s5c AsQh6s6c3d 
JhTs6d5c4h KcQs7h6d4s KsJcTs3h2d Jd9d9c8h6s 
KcJd8d7s7d Tc9c7c6h5d KcQd9d2s2c JsJc8d7d2s 
AdTd7h5s3d AdQdTc5d3d AsTh9c7h4d Jd9s7c6h5d 
AdKhTd6d2s JhTs7s7c3c 9s8s6c5d2c 9d8d6c5h2c 
AsTc7c6d5h KcQsTd8c3h AhJsTc5c3c Ad5h4h2h2d 
QhJc9c2h2d KcTs5h4c2h Qh9s8h5c3c AcTc7h4c2h 
Th5s5c4h4c 9h8c7h5d3d KcQdQc3c2h Ts9c7d4c3s 
JhTh8h7h4d Jd9s7d5s3d JsTd8d8c3c QhTc8c4h4c 
Tc9d8s6s5h KcQh9c7d7c Ah7s6h4d4c Jc8s8c5s3d 
QdTs9h5h2s KdQsTs6s6h Qh9h8d6d3d Ah9d7d4h2c 
AcQc9h5s3c KhThTd5h2d Ts9d7h7d3s QsJd8s8c6s 
AsQs9s7h2h 7d6d6c5c3c JhTd6h5c4s Js9s9d8c6h 
KsTs7s6s4c KcQhTs5d3h AcTs4s2h2c AdKhJh6h4h 
AcTh9d5c3c QhJc9s9h5d QdQc9s8d2h Jh9c8h8d4d 
AsKs8c5s3d Jd9c8c7d3h Jc9c8h7h4h 8h8c6d5d2c 
KsJh6s6h3s Ac8c5h2s2h AsTc8c5d4h AcJc9s6s2c 
KdQcTs9c2c JcTc9s8d4h AcTs9s9h6s 9d8h8d5h3c 
AdTd7h6d4d TdTc8c6s4h QsQhJc8d4c AsKc9s8s2d 
AcQdJd4d3s KcQsJd9d5d QhJdTh9h3h Th9s9c7d5h 
Qh8d7d6c4c JdTsTd3h3d Qc8c7s5s4c AsTc6s5s2c 
TsTh8s6s3h Kh8h8d6h4d Kc7d7c6s6c Qd9c6d6c3h 
QcJd8h7s5d Jd7h6d5h4d KdQhTs9s4c Kc8d6h4h4c 
AsKhTh4c2d QdTc6d5s4d KdQs9h3s3d AdQc6s3s2d 
TsTd7d7c2s JhJcTd6d4d KcJd8d7h7d QhTs7c4c3h 
QdTs8h6h6c AcJc4s3h2h Td9d8c6s5d KhTh8c4s2c 
KdQc7h4h4d QdJh8d7s3h AsTd9h8d2c AhJsTh3d2h 
Qc9d6d6c3s ThTd6h5d3d 8s8d6s5d2d KdQsJs9c3h 
KdTc8d6h4d AdJcTs5s3s QsJdTc7h3s KdQsTc9s3s 
Kc8h8c6s3s QhQdJd9d2s AsTd4d2s2c KhQs8d6d2s 
KhQc9h3c2s Kh9d6s4s3h QhJhTd7h5h QhQdTc4c3s 
KcQsQd5s2s Qs9s9d6s5h QcJh8d7s5h QhQd7s5h2s 
KsQc7h4s4h Js7s6d5h3d Ah9s9c6h4d AsQc9c8d3h 
Jh8d5s4h4d AcQd9d8h3s KhTd9h6c3h QsJsJh2s2c 
Tc7d6s5d5c KdQhJs7d4d 8c7s5s5d4d Jd9c8h5c2d 
Td9h8h8c4d KdJh8s6d4c QhJd7s6h6c 8h8d6s5s4c 
KhKdTc3c2s QdTh9h6c4s 8s7h6h5c4h Ad9h7c4s4d 
AcTh8s6h2s AdKhTc5h2s AsTc8s8d3s AsJdTh8h2h 
QsJc6h5s4s AsKdJc8c3h Ac5s4s2s2c AcJh9h7s4d 
KsQh6h6d5c Ah9h8s6h6c Jd8s6s6c4d AcQhTd5s5d 
Qh7h7c5d4c 9s9c8s4d4c Jh9d8s7h2d KcQcJd7c4h 
AdQc6h5s4c 9d8s7c6s3d KdJs9c6h6d JsTc8d5d4d 
QdTd7s5s5d JsTs9h5s4d ThTc9c3h2d Kc6d5s4c2s 
Jc8h8c5h3d QsJd6h5s4s KcQd8h5d3h JhTc9c7d3s 
Jh9s8c6h3c Ks9c6h4h3s QsTsTh5c3d KdJh5h5c2d 
8s6h5c4s4h Ks9c8h5s3h AcQh4s4d3c QsQhTh7h3c 
Qd7d7c5h4c QsJd8c6s6h QhTs8c6d4d QhQc9d8h2s 
KhJd9c7c5s QcJc8s7c5h QsJhJc7s4d Kc8s7h7d6c 
AdKc7d4h3d AhJd8h7c3h Kc8s6s4d4c AsQh8d6d5c 
Qs9d8c6d4c AhKc9d6d5s Qs8s8c6s6h TsTc7d7c5c 
As9d9c7c4d QsTs9s7h5d KhTh9s6h6c KdJs5s5c2d 
KdJsTc3h3d Kh9c8c5h2d Kd8c6d5h2c QhTd7h7d3d 
AcJh6d5c4c QdJc8s7c2d KsJc8d8c4d KcJd8c6h3h 
Kc8h7s5s4h KsTdTc6h4d 7d6c5h5d4c JsJd7d6h4c 
Td9h8s7h2s JhJcTd5c2s AcTs7h6s4d AcKc7h4c3s 
QsJcTc5h5d KsTd6s6d3s AcQs9d4h3c KhJs8d8c6h 
Ad9d8c6h6d 6s6d5d5c2s QdTc9h8s5s AcJs6c3s2d 
QdJs9s3c2d AcQdTh5s3h AdKh7s6c4c Js7h6h5s3c 
KsKc9h8d2d AhQh9s6d2c QcJsTd7c3h AhQh3d2s2d 
Ks9d5h4s4h QdTd7s5h4c JhTd6c5h2d KhQcTd9c3c 
JdTh7s5c4s AhKhQh7h7c AhQc9h7h4s AhQdJh9h2h 
AsTc6d5s4s QhQdJs3h2c Qh8h6d5s3s Jh8h8d7d4h 
KdQc7s6h4c Qh8h8d7c6s KcQdTd3h2h Kd9h6s6h5s 
KdQsQh5s2s QdQc4h4d3d JdTd9s8h4c 7h7d5h4c3d 
QhQcJh6d2s AdTh7c6s4h QsJs8c5s3c Kd6d6c4s3c 
Ks9s8c7c3c KcTsTh6d4h QcJd5h4c2h KdQc6h5h2c 
Qs9h8s8h2c Ah6d4h4d2d JsJc5h5c4c QsJd8s4c2d 
KdQc9c8s3s Jd9s8s6c3d QsJc8s7h5s KsKhTc6c2c 
KcQd8s7h6h AhKd9h5c3h QdJhTc4d2s QdTc8s6h4h 
Ad9h8c4s4d KcJh9h6s5d Td9d8h7h3d QdJc8c7s6c 
Ts9s9h8h2s KcQhTc8d4c TsTc9d6c5c Th8d7s4s4h 
KcQc6c4d3d 9h9c8c7d4d AcJc7c5d4c AhKcTc4d2s 
JhTd7d5c2h AdTh4h4d2h QsTc9h8d2s As9c8d4s4h 
JsJh6d5s4c QcJh8s7d6s 9d8c7s6s3d KhQs8d7c6c 
AcTd3d2h2c AcQh9s7c4c KcQh6d5d2h AsQd9d6c5d 
KhJc8s6h4d KhTc8s8d6s QsTd8h5h3d AcJh6d6c5c 
Ah8s8c7d3h KhQs8h4s4d KcJc9d8c5h AhKsJc8c3d 
Jh9h8s7s4s QhTs8c6d6c KcJs8d7h6h TsTc9d7h5c 
KsJh8h8c2s Qc9s9d6d4s QhQcJh9h2s Ah9s7h5h5d 
Ks6h5c4h2s AsJdTs3c2s QdJc9s9d5h AsQh6s6d3c 
Td8c7s4s4d 7h6s6h5s3s AcQh7s5d4s Kd8c7d6s5d 
KhQd8d8c2h Ks7s7c6s6h AcTc9d5c3h JdJcTs4d3d 
Th9c8h5s5c KcTd9h8c5c AcTdTc5s3c AcTh8h6d5s 
KsQh9h9d7h Tc8s6h4h4c 7h6d5s5d4h AcQc7h7c4s 
ThTc9c3h2s Ad8d7s6h3c KdJh8d6d5c KsTh6d6c5s 
JsJhTc5s2d 8s6d5h4d2s AhQh7s7h4c Jc9s9d6h6c 
JcTd9h6s6d JsTsTh6s2h AsKs9h5s5c Tc9c8h7s2s 
KsQd7h7c5s AdJd7c5d3s KhQsJs9d3c AcTd5c3h2h 
QsQhJh5h2d KdTd7h4h3d Qs9s7c5c4s 8h8c7h7d4s 
QsTs7s6c4d Ks9s9c8c2c AhQh9d4c3s KdQs6h3h3d 
Jd9s7h6d3h As7h6s6h2h Qs8s8h7d6c KhTh9s8c4d 
KdQsTs6s6c QsQc4d3d2s QhJd9d2s2h Ac9d9c5h5c 
Ah9d8d7c6d 8s7d6s6d4d KsTd9h8s5s QhJd8s6h2s 
Ts9s8c5h3h AhJsJh5h2c QhTdTc3d2c 7c6s6d3s3c 
AsTd7h6d6c KdJhJd5d3c JsJc8c6d3d QsTh8c6c4d 
AdJd8s7d4d AhQsJs7s7c Qc9h9d7c4d JcTd7h6d4s 
Ad9h8d4d3h Td9d8h7c2c Ac7h6c4h2h KhQdJd6c3s 
Ks9c8s5c4s AhKdTs4d3d TdTc8s5d2c QhTh7d5c4s 
TsTh8h6c4d Th9s9c7c5d QsTs5h4h2c 9s7h7d5d3s 
Ah6s4s4h2s Ac9h7h3s2c QsTh8d6c4c Tc9s8s8h4h 
AdTd9d8d4s 9s9c7s7c2s AdKsTs4c2h AcQdJh6h4h 
AsTs8c5h3s QsTd9c7s4h KhQd4h4d2d AdJs9h7c6c 
AhKcJd8d3s KdQh8s7c6c KhQd5c4s4h AcJc6d5s4c 
Kd8c6c4s4d AdTc6h4s3d AhTh7c5d3h Tc9c8d7h7c 
AcTh7s6d4h AhKd9c6c5s KsQhJd9c5c QcTd9s7c4h 
QcThTd5c4c AhQd9h4s3c Tc9d8c7h5s QhTc9h9d4s 
Qh9s8c7s6d QsJh5c4s2c 9s7d7c6s6h KcTh7h3d3c 
KdKcQs9s2s KhJcTs6h3h 9h9c8s5h3c Tc9c8d6s5c 
Qc9d8c5h3h AhTc9s4c3s KdJc8s8h7s AdKs8s6s6h 
AdKcTs5h3s AcQsJh6h4h Ad9s9h6d4c QcJd8s7d2c 
9s9h8c6d5s Th5s5d4s4h QhJh9d5h2d QdTs9h6d4d 
AhTsTd9c5c KdTs6d4s2s TsTh6c5s3c AhKd7c6c4s 
KdTs8s7h5c As9d8h4s4c KhQdJs7h4h KcTc7c6c4h 
Kh9c5h5c4s QsTd8d5c3c JhJc9h7s3d AdQcJc7h7c 
AcKsTs6d2h KhQc9s6h4d JsJc9h5s4s KhKd3s3c2s 
KdQh5h5d2d 9h8s7h5d3d KcQcTc6h6d JdTc9c8h5c 
AhKd9d9c5d Jc9s8s6d3c AhQcJc7d7c QdTc9h3h3c 
AhKhTh8h2s Jc9c8h5h5c AcJd9s7h6h Kd8s6h5d2h 
Th9d7d7c3h AhKd9c7d4d KsTs5s4d3d KsQd9d9c3c 
QsJs7h6c3h AdQc8s8d2h Ts5h5d4s4d QsJd6c5s2c 
Tc9s8s8h2c KcJh9s4s4c JsJd7h7c5h JsJc6h5s4d 
AdJd9s9d3c KcQh9c7s7c Tc9c6d5c3d Kc9c7h5h2d 
Qc9h9d8c3d QdJs9h6d6c QdTc9c6s5c AhJsJc9c2d 
Jc9c8c7s6h 9s8d7s5c3c KcJh4h3h3c KsQh9c7c2s 
As9d4s4d3h AsTs6s4h3h JsTh7c6h4d QdTd8c4c3c 
Qs9d9c6d4c QhTdTc5h4h Kd7s5s5h3d Jd9h5s5d4s 
QcTc7s5d4h Jd9s8d6s3h AsQsTd5s3s Qh8h7d5d4h 
AhKd9h8h2s KcQcTc6h3d AdTh7s6s3h 8c6h5h4d3d 
KsQd9s7s7h Ac9d5c4s2d 9c7h7c4h4d Kh8d7h6s6c 
KhJdTh6h6c Td5s5d4s4h Qd9h9c6c4h KhQs8h6d5h 
KdQd9h4h3h JhTc7h5s4h AsTd9c4s2h KcQd8h8d2c 
KhTc7s7d5h KhTs6c5h3d KsJh8h7c5d Ad8c5d4s4h 
QhQd8d4c3c TsTd9s4d2c QsJs8c7s5d QdQc9h8d2s 
KcQs8h4c2s JsTd8h6d6c 9h9d7c6c5c KsQh7c6s4s 
AhKh8h8d5h KcJd6d4d2c KcQs7c6d6c Qd8s6s6d4s 
Ks8h6s5d2h Th9h8d7s2d Jh9c5s5h4s AsKc9h6h5d 
AcTsTd9s3h QcTh7d4d3c AsTd4s3d2h AhQdTc5c3s 
JsTsTd9s2c AsJs7s5d4s Kh8s7h6d5h AsQs9d6h4s 
QhQcJd8s4d KhQsTc8d2h KhJc5c3d2h Qh6d5d4h3s 
KcQs9h6c4d AdTh6c5d4d JsJd8h6d4c Ah9c8c7s6c 
As6c5c2s2c KsTsTh4s2h 8s6c5h4c2s AsQc7s4s2c 
QcTc7s5h4d AsQh9c7d6d TsTh6d5s3d KcTdTc4h3s 
AdKd4c3d2c QdJd9c5d2c QcTd8h6s4s Kh9h8d5d5c 
KdJhTs8s5s KdTc8c7h5s 9s8s8d5s4d AsQd9s7s3c 
KsJs8d6c4h KdQsJd7d7c Jd9h8h7d4h KsJc8h6s4d 
QdTc9c7s5h KsQs9s7s6h AdJh8s5h2s Js9c8h7h2s 
KsTh7s5s4c Qh9h8s6s3s QhJc8d7c2h AsJd8h4c2s 
KhJcTh6s6h Qh9s8d5h5d AcQsTh5d3h QsTd8d7d6d 
KhQd6s3s3h Ks9c8c5d2s JhJd8h6c3c QsTd9h7h5c 
AdKhTd8d2d KsJh7c4h2s As9h7s5s5c KhQc6s3s3h 
AdTd6s5c4d KsQh9d7d2s KsQh8c7d6d AhJc7s5c4d 
JcTc7c4s3s KdQh9s9d6d Js9c8s7d2c Js9h8c7d6c 
KsQd7s7c5h Kc9h8h5c4c KdQs6s6h5c TsTc8h5c2s 
KsKd6d5d2d AsJc8d6c5h KdTd9d8c5h AdQdTs5d3d 
