AhJh8d6s6h 
9d9c7s7d2c Qh9d7c5h5c 9s9d6s4c3d AcJsTs8d2s 
QsJd4s4c3d KhQd9d8s8d QdJsTc8h4h 8c7d6c5d5c 
KhJsTc9d5d AdQd6d5c2c Ks9s9h5d3d AcJc9h5c3d 
QsJdTc5d3d AcKs9h6s6d Ah9h8h7h5s KdJh7d6h2c 
KsJd7s7h3h 9s9h8h6c3s Qc9h7d6d3c Kh8h7s5d4c 
AhTh5s5d2s JhTh9s6d5h QdJh9s7h6h KcJh9s6s2c 
Kc9d9c8c7h AdTh9s5d2c 7s6s6d5d3h JhTd8h4h3d 
JcTd7s5d4h AhQd8h6s2c AsKc9d8h5d KhQdTs6c3d 
AcQc9h4h2h Td9h8s7d3s AdKd9c6d2c AdTsTh7h5h 
Th9d6d5s3s JhJcTd8h2s KsTs8c7c2s Qh8s8h7c4c 
Ah9d7d4h3h KdTh9d6s6c QhJdJc8s5s QsQhTs9s4s 
Ac8s6c5c4h AhTc9c7d2d ThTc9d6c2d QsQd9c7c5c 
8h7d6s6d4h KdQc9s7h7c KcJh9s8d6h As8s8c5h4s 
QhTh8c7s2s AsJh8c6s4s AcJdTd6s2s Qc9s9c7s3h 
Jc9s8h7h6d As8s8c5s4h AdJd8c6h4d Ah8d7h7c4h 
TsTd9c6d5h Th9d8c7h3c KsJc9d6d2s KhTd8h6s5h 
QdJh8s7d3h JdThTd5s3c Kc9s6d6c3s KcQcTs7c4h 
Qh9h8c7c4c AsJd8h7d2h TsTc8s8h5s AsQs5d4s4c 
QhTsTc9s2d Th9h8s5s4s JcTs9d7h5h JhJd9h7h6h 
Jd9c8h5d3c AhJh7s7c6h KdQs8d8c7d KsKh5d4c2d 
QcTc7s4s3d AhQd9d7s5d 8s8d7c6h5s QsJh7d6d3s 
AcKhTh4s4h JsJh5h4s2c AdJc7c6h5s AdKsTs6h3s 
Jh8c7s6c4s Ac8s7d7c4c As6c5c3s2d KdJh9c7s5c 
Ad8s7d7c3h QsJh5s5h3s KhJd6s5h5c 9s7d6s6d4c 
JhJd5d4h2c Tc8c7s7d4d KsKdTh8h2h JhTs9c8s5s 
AsQs9h5c4s KdQdJh5c2s KsKh5c4c2c KsKd6h3d2c 
Jh9s9h7d3d Jc9c8s7h3h Jh9c8h5c4h AsQcJc9h4c 
JcTs8h6d5h KhKcJc9c2c 8d8c7c6d3s QdQc9s5h3c 
QsQd8d7c4h KsKd8s6c2s JhJc5c4h2s Qd9d7c6h5s 
AdTh9c7s5c JhTsTc9d5h AhQc8s8d6c ThTd8h7c2d 
AdTh9d6d4s Tc9s8h8d7d AdKc5h3s2d Ah9h8h7h5d 
KdTc7h4c2d KhTsTd7h5h AcQc9s5h4c AcJhJd5d4d 
Jh9s8d7d4s KhTd6h4d3h AcKhQs5h2h QcJh7s5s5h 
Qd9d7s6h5c KdQdTs7h3c Js9h8d7s6s KcQcTc8h5d 
AdTh7d4d4c QhQc9d7s5d Jd9h8c6d5s KsKdKc6s6d 
QcTd7c6h5c KhKdQs8c4c JcTsTc5h3d KcJhTc5s5d 
AsQdJc7h7c 8d8c7c6d3h Td8d7c6c3s ThTd7c5c3d 
KdTd7d4s3s Ks9h9c5s3h KhKd9c6c3c KdQhTs8c4h 
9s9h8s6c3h KsQs9d5d5c 6s6d5s5d2h JsTc8h5s4s 
KdJhJc8s5c Kd9d8s7c3c AsQh8c6c2h Ad7s7c4d2c 
AsQcTh4s2s Qs9s7d5c4c Qd9h9d6h3d AcKd9d8d6d 
AcJh6c5s4c KcTh7d5d2c AdJd4h3h2c AsQcTh8d2h 
Ah7c6h4c2d KsJh9s5c3d 8c7h7d6s6h AsTdTc8d4d 
Qd9s6d6c4c Qh9h9c8h7s Jd9s9c8h7c QhTd9d6s2s 
KcQhTd8d5s Jc9h9c7s3s TsTc8d6c4h AdQsJs7h4s 
JcTc5d4s2d JhTc7s6d4c KdQcJh9c6c KdJs9c6c2d 
Ac8h7c6c4s Ad9h7h5s4s Jd8d7c6d4c 9h7h7d6d3h 
Kd9s8d7h2s QsTs8d4d2h KhQh7d5d3h AcTs9c6c4h 
AcKhJs9d4d 9d8h7d5s5h AsQhJh7d2d KcJc7s5d2d 
AdQc6h4h4c AdTd7c3h2h Ah6c5c3h2s JsJcTd8s2h 
TsTh9s4c2h KhQc9h9d7h KdJd8h8c6s AsJc8d7c2d 
QcJc9s5s2s Qc9d6s6c4d KcQcJh5s2d Ks8d7h5s3h 
KdJdTh6d6c TdTc8d3s3c 8s8h7h7d6h ThTd9s6c5d 
9d8d7s5s3h Ts6h6c4s4h JhThTd8h6h QhTs8c6c2s 
Ah7s6h4s2d KsQh8h6s2h Jd9c7d6d4c KhJdJc6s6d 
JsTs5d4h2h JsJc5s4d2c KsQdJc7c5c Th8h7c6c3d 
AcKc5h3d2s Th9h9d8d4d 7c6d5d4c3d AcJc5h3h3c 
KcTdTc6s3h AhKs8d6c5c AhKhJh5h5d TsTh8s7d2h 
QhTc9h4c2c KsJcTh7c4c Td9s9h7c6c As9h6d5c3s 
KhJc6d5s5h AcQdJs7s7h AdQh8h6s5h JsTs9h2s2h 
Jd9s7c5s3c 9d9c8d6h3c Qh7s7d6d5s Jc9h7c6d5s 
Td8h7s7d4h 7s7c5d4c3d JhTc9d4d2c KdTsTd6d2s 
9c8c7d5d3h Ad9s7s4d3d KhJd7d5c3c QhJc9h4c3c 
KcJhTd4s4c Th7c6s6h5s AsKdTd6h6d AdJdTd8d2s 
QdQc8c6c4h KsKcTd8d2d KdTs8d4h2s AhQcJd7s7d 
QhJc8s7h3c AhKs7c3h3d QhJd8s6s3h 7d6h6d5h3c 
Ac5c4h3s2s KcJs7s7d4d KhTd8h6c5h Jd9h7h6c3d 
Ad9c6s6d2c AdQh9d4d2h QsQd9h6d4d ThTc7s5s3c 
KdQd9d5c3c JsTh9s2s2h Ac8d8c4h2h Tc9h9c8c7d 
KsJc7h6h5d KcQdTs8h4d AdJd4s3c2s AdTsTd6h2c 
AcQsQc4c2c Th8h7d6d3c Ks9h8c7s3c KcTc8d7d2c 
Ah8h6d5d3h Jd9d8s7h3h Qs8s6h6d4h KdKcJs7h3h 
AcTs7h3s2c Qs8s8d5d4d AcTh9c5c3d 8c7s6s4d4c 
KhTs8s5s2h AcKh9s7c3c AdKh6d4d4c Th7h7c6s6d 
KsKc9c4d2h KcJh7h5s3s QhTdTc6c2d AcKc8h8c2h 
AdQdTc5s2d Th9h7h7d5d KcThTd8h2d KdJsTs6s4h 
JsTs9d2s2d JsThTc6s4s QcJdTs5d3d KsQd8c4s3d 
JhTs7c6d4h AsKd9h8s3s JdTc8h5c2h QhTc7h6d5h 
KdJsJc6h6c JdJc5d4d3c KhTsTh6c3d JsTd7c6h4d 
AcTd7s6d5h Jd9h9c8s7h QdJc7s6s3d QhJsTh5d2c 
AhKhQh4s3h JhJd5h4h3d AcKd5s3h2c AhKdTd6c3d 
KhKc6d3h2s KhJhJc7h5h QdTdTc9d7d QhTs9s6d2d 
KcJc5d3s3d TsTd8h5d3s As7h6h5c4c Jc9h9c6d3d 
9h9c6h4s3c QdQc7h6h5h AhJsTh7h3h Ad8d7c5c2d 
AdJd9s5d3c Jc9s8h5c3s KsKc6d3c2h 8s8d7c5s3d 
JdJc8d7c2c Ac9d8c6c3d JcTh7d6s4h QsQcTd9d4d 
AcQs9c7h4c QsQdJh4d2c KsQdTc6h3d ThTc8d2h2c 
JsTs8d6d3s Kd9s9d5c3c AdJhTh8h2c JhTh6s5s2d 
AcKc9h6d2s QhJsJd8c4h Ks8h6s5d2d Kd9d8s5s4s 
KcJsTsTh5s JsJh5h4s2d KsQdTc8c5h Qc7s6h5h3c 
As5s4c3c2h KcQh6h5d2d AhJh4c3s2c AsTh7c6h5d 
QhJh8c7h6s Ah8h8d5s4h Kd9d9c7h5s QsTc8s6s6d 
Ad9d7h5s4d QcJh9c4s2h QhJc7h4c3d Qd9c8c7h6s 
KcTs7d4s2c QsJd9s4d2h Tc9s8s5c3h AcJs8d7h6d 
AhKh8h8c2c AcJd9h7d6d AsKs6c4s4d AsQhQd4c3c 
JcTc9s6h5c JsJh8h4s2c JcTh6s4s3c QsTd8s6s6h 
JsTd7h6s4c AdQs9d3c2c QsTd8s6s6c QsJc8h6s3h 
QcJh8d6c5c KdQd6s6c3c KsTc8c5c2s AsKs9s8c2h 
Ts9d9c7d6d JhTs8h6h3s AdKd9s6d4c Ah8d7h6h4s 
AhKd9s8h3h AsTs9h8s4s QdJc9d4s4c KsQh8c4s3h 
Kd7h6d4c3c AhJsTs8s2c JsTc9c6c5h AcJh8d7s4h 
AhKdTs5c2d TsTd9h6d5c QcJhJd8s4c KdJs9d5c3h 
Td9c8h6s5d QhJc8h4c3d KdQd9s5s3d Qh9h7s5d4d 
KhKdTs4c2c KhJh8c7c2d KsTd9d7d7c AhKsJd9c4c 
QhJhTd5s2c QsTd7h7d3s KsTs9s8s6c QcJc5s4h2s 
KcTd6c4h2h KsJs9s9d8s QhTd9s6h3c JdTd8d6c5s 
AsJs8s6c4h QhTh9d4c2c TsTh7d5d3h JhTs9h2s2h 
TsTh8s7h3d KdQdTh8d4s AhJc9c7c6s Kh8c6h5s2s 
KcQcJs5h2d KcJs7s6c2h AhTs8s8c5d Kh7h6h6d4d 
As6d4s4d2c Js7s7d6d5d Kc9c8s7h5d JcTsTc9h3c 
As6d6c2s2c Ts8s6h5h5d QsTsTd5d2s QsJs5s5d4d 
Tc9s8d6h5c Ad9d8h6s3c JsJcTh8s2d Kc9h8h8c4s 
8h8c7s7h6h AcJs9c5d5c QsJcTh6d3c AsJc7c4s2s 
KcTc9h3d2h AhQd6d2h2d AhJhTh8h2c Js9h8c7c6d 
QdJd8c6c3h KhJs9s7h2h KsJc9h8c3h QhJc8d4c3h 
Kc8d7c6d3h KdQh9s7h7c Jh9c8h5s5c AdJh9s5d3d 
KdQdTsTd5c TsTh8s7c2h AhJd8s7c4d AdKd6h4c2s 
JdTc9h7c5c JdThTd6s2s 8s8d7s7c6s Qh9h9c8c4d 
KcJs5s4c2s AcKs9s7h4s KdJc9c3d3c AsQsTd5c2s 
As9s8h6c3d QdTc9s6d3h AhKs7c4d3s KsJcTdTc5c 
QdJs8c6d5d KcQc8s6c5h JhTd8c5h4h AhJc8s7c6c 
Qd9d9c8s4c KcTs6h4c2s JsJhTd5c3c AcJc8s8h4c 
AhQcJh3d2h 8h8c6c5c3h AcQs8h6h2s 9s9d8s6h5c 
JdTc9s6s5h Ac7c6c4s3s KhQcTh8h5s JsTs6h5h2c 
QhJsTc8d4d AcKs6d3h3c Jh5d5c4h4d AsKh9d5s4s 
Jc9h8c5s5h KdTc6s4d2c AcQsTs6s5s KcThTd8c5s 
AhJc8s7d6s AsTs7h3h2d KcQdTh9s4h Js8s6h6c5h 
KsQc9s9d7s QdThTd8s5d Th8s7h6c3s AdQhTc6h3s 
JhTs9h6d5h QcJsJc5h3c AcTc9s8c4c KcJc6s4d3d 
As9s7d5c4s AdJh7d6d4s AcTh9c6c4d KsQs6d6c3d 
Ac8c7d2h2d KsJc8h6s5s KcQs7h5s4d Ac8d8c5h4c 
KcQhJh8s2s KcQdQc6c4c Kd9s9d5h3h 9d9c8d6c4c 
7s6c5h4s4h JsTs8c5c3s AdJs6d4h2h 8h7c6c4h4d 
KhJc9h6h5d KdTs9c8h4d AhJs8c6h4h Qd9d7s5c4c 
KdJsTh9c5c KhJhTh6d2d QsQd7s6d2s Ad8s8d4h2h 
KhJdTh5s5c Tc9h8d7s7c Jh9d9c7h4c JsJc8h2s2c 
AdQd9d7h4s KcQhTh9h4s AcTc8c7c6c Jh8h7s6h4s 
KdTdTc6c2d AsJs8h3h2h Kd9s9h5d3s AsQd8s6h2c 
KhTh7h5c3c KsJcTh8d2s AhTh9c5d3h KhQhJd5h3c 
JcTc9d4d2c KdJc9s8c3s Jc9s7d6c3s AcJsTs6d2d 
KcQsQh6s3s QhQdTc4s2h Kh8c6d5d4c KdJsTsTc5s 
JhTc7d6s4c 9d8h7d5h3c Td8s8d6s3h QsThTc9c5d 
KhQhTs8h4d Td9c8h7d3h 9s9d8d6c3s JcTsTh8c4d 
JhTd4h4d3c AhJh8h6c4d Ah7d5d3h2s AhKsJc7s2d 
Kc9d8d8c2h QcTc9d7d2d KdJcTc6c4h AdTs9d5d3c 
AdKsQh5s2s AhJs9h4s2h Js9d7h5h5d Ah9s8d7h4h 
9h9c7s7h2c As9s7h5c4s AsKdQh5d2d QhQc9d5s3h 
Qh9d6h6c4d Tc9h7s5s5c KsKh6s3d2c QcTs9s8h5d 
7s7c5s3d3c Ac9s4s4d3c AcKdQs5d2d As7s6s6c5d 
KdJh9d6d5c QhJc6h4s3s KhTc7h6s2s KhKc6h4d2h 
9s9c8c6h3s KcJs9d6d2c AdQh6h3h2d 8h8d7h6s6c 
AhJd9c7c5c KhQhTh4s2s KsKc9h4s3s KsTh9c7d5c 
Kc9s9d8d2c AsQs8c2d2c Tc9d9c8d4d JdTc9h9d5s 
AcTs5c2s2d AhJc7s5d4c AsJs4c3c2d AdTh4h4d3d 
Jd9c7c6s3d AhTc7d3c2h Ac8d8c5s2h 9h9c8s5s4c 
AcKc9c8h2d QsTs7c4d3d KsTc8d6s5s AcJhTs4d3h 
KhJcTd8s2h JhJcTd9h2h AhKcTs8c2c QsJd8c7d3s 
AhTsTd8s4s As8c7s7d4s KcQs8d7s7h Ts9s7d5s4d 
Tc9c8s8h7d Ah8h6s6d4c Tc9d9c8c7s AhJsJd5d4d 
AhKh9d6c2s AcJh8d6c4c AdQs8d8c3h AsKs9c6s4h 
KhJs8s4h4c 8h8d6d5c2h AsKh6h6c2c KhKd6s3h2c 
QdJsJc4d3h Ah8h8d5c2s 9c8c7s6c5h Qc9s6d6c4d 
Ad9s8c7h6h KcQc8h6c5d 9s9c8c7h4s JhTsTd8d5d 
Ks9s9h8s7d Kd9c8s7d3s JdTd9c2d2c ThTc8d5h3c 
KhQsTd9c4d TdTc6c4s3d KdQcTd8d5h AsTh6h6d4d 
As9c7s4d2c QsJs5c4d2d KdQcTs9h4s QcJs5d4d2c 
AcKsTs4s4d JdTd5s4c2s 9s8s7c5c3d QdTh8d5h3d 
KsTh8s6s2h AdJd9d7d6h QdJs7s7d4s KdThTc8s4d 
Js7d7c6s5c KhJd7h6d2c KsThTc7s5s KhQsJh5h3c 
KsKd9d4h2c JcTd6c5h2d KsJs7d6h6c Jh9h8d7s3s 
AdJs9d5d5c AdQs7h5c4s AhKsQs6d2c 9h9c6s5d5c 
KcJc7s5d2s 7s7d5h4d3h AsQh7c3s2h Ks7d7c6s3d 
KdQsTc7d4d AsQhJd9h3h Kh9s9c8c2h KcQh7h4h4c 
Jc9h8c7c6d AhJd9s7d2s QhQd9s6d4d QsJc9h7c5d 
JsTd8d8c6d AdKc8d7d3h Ac9s7s5d4d TdTc9d7s5h 
AcJd9d8d6s KcJc7c5h3h AdQcTc8c2h KsJs7s5c3c 
JsTh8s5c4s KsQsJh4c2d QhTs8d6s2d KdQcTd9s2d 
Kd9s9h6d5c KcTs6c4s3c QsQh9c5d3h AhJd6h4c2c 
KsJh9h3s3h KhQhThTd5s JhTh8c6c3h 8h7h7d5s3s 
AsTd7h6d5c KsKh9s4d2c Ts7c6d6c4s KdJdTd7d4c 
QdJd8s6c3s KdJdTs5h5c KhJd9s8c6d Jd9d8h6s4h 
9d9c6h5s5d AdKd9d8s2c AhKdQd9d4c KcJhJd6s6h 
QcJc8s7h7d QsQh8s7d4c AdKh5s3c2d AdTs4s4d3d 
QsQdTh8c3h AcKsTs4s4h KhJcTh4h3s QdTs8c7d2c 
Td9s8c6c2s JhTs9h5c4d JcTs9h7c3d QhTd9d3h3d 
9c7h7d5c4h Qh9h9c7d4c AcJh3c2s2h QhJd7c6c3h 
TsTd8h7d5c QcJd7h6h3c Tc8h7c6d3h Kd8s7d7c6h 
KsJhTd9c4d 9d9c6d5c2s AhTdTc7c5c 8d7h7d6h4d 
8h8c7h6s6d QcJc5s4d2d JsTc9s9h5d AsQdJd7h3c 
Kd8s8c7s5c JhTc9d7h3s Ts9d6s5d4d JcTc8d6d3c 
QsJh8c6c3s AcQc8s3d2s AdKcTh8c2c KsJh6d5s5c 
KhTd6s4h2d JsJd8h6h3s AsQh6d4h4d AhQsJh3h2d 
AdKd7h6s3d Ks8s7h5c3c AdTs8h7d2d JsThTc8h5h 
AhTc9h5h3s AhTd9c8d5d JhTs7d4s3d AhQs7c5d4s 
JdTsTh7h4h KsQd6c5h3s Ad9h8s4s2d KdQhTh4s3c 
AsJs7h7d6s KsQs9h9d7s Kh6h5s4d2s Kc9d6h6c3d 
AcJhTs8h2h KhQcTs7d5s QhJc9s7c6c QhJd6h4h3d 
JhJdTs9d2d KsJsTs7d3c QsTd9s7c2c KsQs7d4d4c 
8s8h7h7c6h KsKh6c5d2c QdJsJh8c5c ThTd9s6d2s 
JcTh9c5s4d QsJh7s5h3s JsTs6s5c3c Th9d9c8d3c 
JcTh9c3h2c Kc8h6d5d4h Jh9c8s6h5d 9h6h6c4d4c 
AhKcTc4d4c QsQdTs8h3s QsTh8d8c6c Th9h7h5s4s 
Ah8d6d4h2d AdTh9c5d2s KhTsTd8d2s AsQhJh9d4h 
Jc9s8h8d7c AcKc5s2s2c AcQc9c5s4d AdQc8c6s5c 
Kd9c8d8c2s JdTsTh8s5s AdQsJd3d2c AcKs6c4d4c 
KsJhTs4d3s Ts8s8c6c3d QcJh5s4s2c AcKdQd4h2d 
AhTc5h3d2c KcQhQd9s4h AdQh7d4h2d KdQcTc8c5s 
AcJsTs8s2d AhJd8h3d2d KdJd9h8d6s KcJhTs4d4c 
QsQc9d7d5d AcJd9c4d2c Jd9h8c5h3d Ac9c8d6s3h 
QhJcTs5c3c QhJhTc5d2s 7c6s5h4h4c Td7c6d5c3h 
Qd9s9d6s3d Qc8s8h7h4c AdKdQd4s3d Td9s8d6h2h 
QdJs5c4c2d TsTd7s4d3c AsKc7c4d2d KhJc8c4s4h 
QcTs6c4s3c Tc9c7s7c5s KhJh8s5c2s QhJd7d6h3d 
KsKd6d3h2c Ac9c6s6d5h QhTh9c7c2c AsJh9h7h6c 
QhJs9c8s6s Qd7d6s5h3h KhTd7d6s5c TdTc9s6c2s 
AhKh6d4s2c QhJc7h4c3s KsQh7c6h5h AcTc5s5d2s 
TsTh7s6s3h Ts9d8h6c5s QcJs8c7s2d As7d6s4d3s 
ThTd8c5h3d KsJhJc4d3s JsJd8s4d2c KsQc6s5d3h 
AsJh9h7h6d AdQd8d6s6h Th8s6s6d4d KhJcTc9c6c 
AsQs9c5s4d JcTs8c5d4c Ts9s8c6d5h KdThTc8d5s 
QdQcJs7c4c Th7d6s6h5s KcJd6s5h5c KhTc7c6c2h 
Qh9s8s7d6c 8d7d7c6c4d Ts9d9c8d3c Qs9d8s8d5s 
QcJs9h9d7d JcTs6c5d2s Qd9h9d7h3c Ah8d5d2h2d 
9h8h7c6h4c JsTsTh9c3s Qs8s7c6d5h JsJcTs9s2d 
QdTsTc9s5h TsTc7c5h3h Qs9s6d5s4d KsQsJd5s3c 
QdJs8h6d3h JsTh7c4h3c KsJs5h3h3c AsKd9c8s3s 
9s9h8h6d5c Ks9s8d8c6h QsTc8s8c3c JsJh5s4s3h 
AsTs9s3c2c Qh9d8c5h5d AcTh9s7h5h Tc9s9h8h3s 
QsQd9h8h5h Ac9d7d4c3c KhQd6h5s3c Jh9s9d5s3d 
AsKhTh6h6d Th9h7s5s5c Td7s6d6c5c QdJh7d4h3s 
KcQcJc4s3d Qs9h7c5s5c AsJs4h3d2h KcTsTh8s6s 
8h8c5h3d3c Tc9d8h6s5c AcKhJh6s6d KsTh7h6c5d 
AhQd7s3h2d Jd9c5c4h4d QsQh8h7c2c QcTd8d4d3c 
AdKdJd5d5c JhJc8c2s2h JsTsTh7h2h JdTd6d5c3c 
Td9s8c5c3d TsTh5h5d3s KsJs6h4d3d Jh9s9c7h4c 
AcKcQc8c4s Ad5h4s4d2s QsQh7d6d5d As8s8h5c2d 
As8s7d5d2s Ts9h7c5h3c AhQc8s6s2c AsTc8h7h4d 
AcJcTc5c4c KsQcTc8c5d JsTc6s5h2c Ad9d8d7d5h 
Ah8s6c3h3c Th8s7s7h5h AsKcQd4d2h AdTc7s6c5h 
As9d8c4c2s KsQh7h5h2s QcTc7h7c6d QsJhTc5h3h 
JcTsTc8c5d AcKcQh8d3c KsKh9d6d3d AdKsTc8s2s 
AsQhQc3c2d QhTc7h5d4s AhKs9h6d4h AdQs8h7s3h 
Qs8c6s6h4c AdJc6d5s4d Ks9d8s8d2h AdJcTd3d2h 
QdJh9c8s5h AsTdTc7h4c 9c8s7c6h5c Ad9s6d6c2s 
Ah8h7s5s2h Kd9s9d8c2s JdJc7s3s3c KdTsTh6h6c 
QcJs8d6d3c Ah9h6s6d5c Ad9d7s5c4d QdJh8h7h6c 
KhQsTd8c4s AsQh6c4h4c AhKd8d7c3s AsKdQd9d4h 
Jd7h7c6d5h As9h8d6s3c JdTh7c6d4s AhKs9d4h3c 
Td9d9c8h7d KsJc9c7s2s KcJsJc7c2s KdTsTh6h5c 
KhTd7h7c4s JdJc7s3s3d QhQcTd9d4d KsJs7d5c2c 
Ts9c8s6h2h KhQsJs8c2c AsTdTc7h2s Ah7h6h4c3c 
KdQsTd9h2d JhTsTc8h4d QhTs9h4c2c JhTd9d6d2h 
KcQd8s8c7c KsKh9c6d3d KcTs6d4c2s AcTh5h2h2c 
QcJhJd7d2c KhQcTs8d4c KdJsTd7h3d Td9s9h5d3h 
KcJs8c7c5h QcTd9s6c3h 7h6c5d4h4d KsQsTd7s4h 
Kh9h8s7d3d Qd7h6s5s3d Ac8d6s3s3c AdKs9h8d3d 
KdTsTc7d5d KsJh9d8c6h Jh9h9c6s3s QcTc7s4s3h 
JdTh4h4d3s Jh9s8h7s4s AsTd5s3c2d AdQc9h7s2d 
QsQc9h8h5h Td9s8c6h5d QdTh9c5d4s QdJs8c4d3s 
JdTh9s8h5h KcQc9c8c7d JsJc7h3s3h AdJc9s9c5h 
KhQhJc8h3c KcQdTd4s3h Kh7s7c6h3c Jc9s9h8s4c 
AdTdTc9d6d AsKs9c6d2h KcQc8d7c4d JcTs9c2s2c 
QsQh9d8s4c Th9s8d8c7s Ah7d6d5c4c 9s8h8c5h4s 
QhJc7c5d3d KdQc7h5c4s QhJc8d6d3h Ad9c5s5d2s 
Th9d8h6s2s 9s8c6c5h3s 6d5d5c4s4c KhQhJs5d2c 
Ah9d7c5d4c KhJd8d4s4h JcTc8s6s3c KcJsJcTc2c 
KdKc8d2s2h KcTs6s3d3c AhKd9h6s4h AdJcTc8h3c 
AcQsQd6s3s Qh9h7c5s3s 9d9c6c5d2h JsTsTc6d2d 
TsTd7d4s3h Qh9c8c6h4h Jd8h7s6h4s KcTh7h6d5s 
AcQc8s2s2d AdQd8d6c2c AsTh9c7h5h QdJd8c7d6h 
QcJh8d5s4c AhQdTd8d2s Jc9d7s6c3d QsQhJd7h4h 
TsTc9h6s2h KdJsTh5s3c Kc9s7d7c3s QsQhTd8c3d 
AcKcJc5d5c AdKc8h3h3c 9d9c8c5d4d JsTh9c8s2d 
Ah5c4h3d2d Kd9d8h8c6s AsTd4d3s2h JsTdTc9h3c 
Ah9s7c5s4c KdKc6d3h2s AdQd8c3s2c Qh9d7h6c5s 
Kd8s6d5s3s QhJdJc7c2h Jh9h9d6c3c KhJhTs9h5h 
QdJh9c4d2h QcTh9d7h5s KsJs9h8s6c KcQhTc9d2c 
Kh8d6c5c4d Qh7s7h6d4s Jh9s8c5h3s 9h8s6s5c3h 
Jh9c7c6d3h AsKs6c4s4h AsKd7h5h4c Qh8d6h6c4d 
Js9c7s6h3c QhJdTc8c5c AcKs5h3d2c TsTc7c6c3s 
Th9h8s8d7c AdKh9d5c2s Kh6h6d5s5c JcTd9h7s5s 
Qd9h8c5h5d AdJd8h6d6c AsJh9s4h2s Kd7s7c5s5c 
7h6h6d5d3c As9c4d4c3s AsQs6s5h2h Ks8d7s7c6h 
KcQc8d6h3h JhJc5h4d2c QcJsJc4h4c AdTc9s7h5s 
AhKs9d5h3h KhTh7h4s3s AsTs9s5c4d 8s8h7s7c6s 
KdQdTd6c5d JhTsTd8s5s Ac5d4c3s2s ThTc8d6s5d 
Kd8s8c7c5s AsTs9c8s4s KdThTc8h6h KsQs7s5d3d 
Ad9s9c5h4d 7s7h5d4s3d AcJh9d8d6s JcTh8d5c4c 
KhKdQh4h2h 9h8c7s6h5h QsJdJc7c2s KhQcTc4d3s 
AhKc9d5h2s KhJc7d7c4d As9c6s6d2c KhKc8h3s2s 
KhQd8d6h2d AdKd9d8h2c QcJhJd9d5d Qs7h7d6d5h 
AcJc9s5c3d KcQd9d4c3d KdTs6h4d2s 9h9d8h6s5c 
As9h6s5d5c Ks8s7c5d3d Ts9s6h6c4c Tc9h9c8s3h 
AsJhJc9h6h KsJh9d8h3d Ad9h8c7d4d KdQd9c5s5c 
QdJd9h5s4c AsKsQc9s4s Ts8h8d7h6c QhQc8c7s4d 
Th8s8d7d6c Kd6h5h5c3d AsTd8d8c5h AsQh6d4c3s 
AhKdTc5s2d Qd9s9d8c4s QhQdTs4c2d JhTdTc9s3d 
Kc9h9d5d3c 7d7c5c3h3d Qd9d7h5s3s AcTh8s6h5d 
AhTs7c3s2h Ah9c6s6h2c KsQh8s8d7s AcQs8c6h2d 
AdJhTc6h2c KhKd6d4c2d Qc8s7h5s5c QdJh8d8c6s 
AhJc8d7c2d Qs9s9h8d4h AdKhQh5s2h KhQsQd9c4d 
Qc9c6s5c4s Jd9h9d6h4d AdKdJd9c3d KsQcJd8h5d 
9s9c8c7d4s Ah6d4h4d2s QsJs5h4d2d Tc8d6c5d5c 
AsTs5d4h3c AcTs4s3c2d AdKh9s4d3c AsKh7c5c4d 
QdJh8d4h3c Qs8s6d6c4c Ts8c7s7h4h KdQh7c6h5h 
QsQd9c7h5c AhQdJs9d3d AcJs9c7c6c KsKh6h4c2h 
AcQsTh6s3d KcQd6s5h3c QhTh8s5s2s KsQsTs4c2c 
QsJc7s7c4c KcQh6s5d3c QsQc8s7h2h AsQc9s4s2c 
AcQsJs8s4s AdJhTh8s3h 9d9c8s5s4c AcKs6c4h4c 
JsJc9h6h5d QhTsTc9s5d QhQd6c4s4c AdJc9d7s3d 
QhJs9d7s6s KcQc6h6d3d QsQhJd9s3s 7h6s5s4h3s 
AcJc4h3h2d KhQdQc3s2h Jd9s8h5d3s AcQc8h2s2h 
KsJd7d6s2c As8s7c4c2c AcJh7c6c4s AcKs8d5s4s 
KdQsQc6s3s Ah8s8h4d2d Ad7s7c4d2s AhQcTc8c2d 
KsJc8s7d3d Jd8d7h6h4d Jd9d9c7s3s KcQcJs5c3d 
AcJhTsThTc AdTs5s2s2d KsTh7d4h2s QdJs8h6d5d 
JsTd9s7c4h 7s6c5h4s4c Qc9c7s5d4d JhTs7d6c4s 
AhQcJc7s3d QcTs8h6h2s KcQhTs7d5s Kc9c6s5s4c 
KcTs8s7s7h Qc8c6s6d4s AhTc9d8s5s KhQcTd9s4d 
Ah7c6h4h3c Js9d9c6s4d AsQh9s3c2c Ks6d5d4c2s 
JcTdTc6s2s AsKs8s7s4d 9s9c8c5d3s QsJc5d4d2s 
AcQd8c4h3s 8d7c6s5s3c KhQhTd7c3s AdKs8d7d3h 
Jh9h8c7s3s AdQh9s9h6c QsJhJd8c4s Jh9d9c5d3c 
JcTh9d7h4s KsJc8c7s3c TsTh9c6s2c KhQs9s4h4c 
QhJsJd7h2d AcQsJs9s4h As6d5d3s2c 9h9c8h6s3c 
8h8d7d6s6c JsTs8c6c3c KdQs8s6d2s Kc9s7h7c3s 
