QdJs6h5h2c 
Kc6s5c3h3d Th6s6c5s4d Ad9s4s3s2d AhTc8s4s3d 
QsQd8c5c2c Qs6s6c5d4s AdQc8s8h3c QhJh8s4d2c 
Js9d8h5d3d Qc9d4d4c3d KsQh9s6s2c KcTd8h5s3d 
Qc8d6s5h5d Tc7s6d4c3h AdQh8h5h2s 8s6s4h2h2c 
Tc7h6s5h3d As9h5h4d3d Kd6s6h5h4c QsJd6c5s2s 
Ts7h6h5h3c 9d8h5d3c2h AsJc6d5h3h 9c8s8h7d4c 
9d9c6c4c3s QcJh7c3s2h AcJh9d7h2h KsKhKcQcTd 
Ts6d6c5c4h 8s7h4c3s3h Th7c6h5d3h AhJc6c4s2s 
Th7s7h6h2s KsQs9d5s5h AhJc9s4c3c Qh9d7h5c3h 
Js8h7s5s5c JdJc8s7d3d 8d7h7c5c3c Ah9d9c8c4c 
QcJd7c6c3s 9d8s5d3h2s Qc8s5s4h3h Kc9s8c7c3d 
Kd9d9c6h2s 8s8c6c4d2h QdJd6d4s4c 8c6d5c4c2s 
QsTs4d3s2d 8d5h5d4h3h Qc9s7c5d3c Kh9s9c3h2c 
Tc6h5s5c2h 8s7s4h3h3c QdThTc7s2h KdJc7s4h4c 
KcQc8d3s2d Qc8s6d5h2c 9h8s8c7d4h Jh8h8d2h2d 
8s6d6c5d3h 9c8d5d2d2c Kd8h8d4s2s KdTc8c7c2s 
8d7c6h5s2h Ad7c4h2s2d KdQc5s5h3s Ts6d5s4d2s 
AcTh6h5d3s Ks9d7d5h3c QdTsTd3d2c KdJh5d4s2d 
AhKd4s3s3c Ac5c3h3c2h QsTs6c4s2d QsThTd5d2d 
KhJs5s4d3s 8s8c6s4d2h Td9d4h3h2c JsJc6c3h3c 
KdTc6h6c3s 8s6d5c4c3h Ah9c7d6s4s Kc9d7h6s2c 
Td9s7c4s4h AsTd6h5d3c QcTd7d4s3d Js9h8h5h5d 
9h7d5d3s2h Ts7d6c4s2c Jd8s7d5h2c 9s7s7d6s4h 
Qs9s8c6d3s KsQh8d7c3s Tc9h7c3s3d QdJdJc7d2h 
Ad8c6d4s2d KdQc6s4d2d Th9d7s2s2d QsTs8s8d3c 
Jc8d6h5s5h KsQs3h2s2h Qs8d6d6c2c Ah7d4s2h2c 
QcTs9s3s3d Jc7h4h4c3s Ad8d5s5h3d AdKh7h4c2h 
KsTs8d5c2s Jh9s9c7d3d 9h8d5h3c2d 9h8s6h3s2c 
KsTh9h6h2c Ks8c4s4d3d Ts9s4d3d2h JsJc8s6d3s 
AdQc8c6c2h Kh9s6s2s2h KcQc8h5c3s KsQd9h9d2c 
KhQs7d3h2d AcQd9c4s2c Ad8h5c4d2d KsJs9s8d4s 
KdTh7h7c3s AdTc8h6h2s Js9h8d7d4d JhTh7c2h2c 
KcQh4s3c2d 9d7d6s4c2c 9s6c5h5d4h Td9h7c2h2c 
KhQs8c7h3d KhJc5d4c2s Qd9d6h2s2h QcJc6s4d2h 
Ac8s6s5h5d Jc5h4h4d3c Ks8h8c6d4c Th7s6h5d3h 
8h5h4d2s2d Jh8h6d5s3c Ah9d5h4s3h KdQs8h5d3d 
QcJh9c3d2s 9h8h7d6c2s 9s9d6d4d3c Ts7c6c5c3d 
AhQd8h3s3h Ks9c7h6d3d Kd9d5h3h2h KsJc9h8d2h 
JhTd8s4c2c Jc9c8c6c5c ThTc8d6d3s 7h6s5s3s2h 
9d7h5c2h2d AcQs6h6d3s 8c7d6s5h2s Kh8d7d5d4d 
Ac9d8s8h3d 9h7c5d5c4s As6s4c3s2c KhQd5d4c2d 
Ac7d4s4c3c Jd8c6s5d3h AcQs7d5s2h Th9d5s5c4c 
Jc9s9d6c4c KsQs8s5c3d AhQc6c5d2s Kc7s6h5d3s 
Js7d7c5d4d Th9h8h8c5h Ah9h5d4s3h 9s9h6h6d2h 
Ac7h6d5s3h AcJc9s6c3c Qs9h6s4d3c Tc9s6h2h2c 
8s7s4d3h3d Qh9s9h3d2d Jh9d8s6c3h Qs8d7h4s2h 
AdJc8s8c3c Jh8h5d4s4c QsTd9d3h3d Qh5d4h3s2d 
Qs9s7d5s2d KdTc7s7c3c KdJd7h4s4d 9s7s5h3d2h 
QsJh9s3c2d KdQs7h3d2h Jc8d7c5s5c KhQc8d5c3s 
9h6d4s4d3h Kh6h6c5s3h Ah8c3h2s2c AhJh4h3s3c 
KhQs8h7d2c KhQh8h5d3c KhQc4d3h2s Qc7h6h3h3c 
9h9c6c4c3d 7s5h5c4h2s KdJc7h4s4c AsQs8s6c2s 
Jd9s8c5c3c Jc7s7d5h4h 9d8s8d5h2d Kd8s7h6h2s 
Jd9h9c6d4d KcQsJc3c2c KhTc9c6c2s Ac7h5c4c3c 
QsTc9d5d2h Td9h5s2s2d KcJd9c3h2s 9h8d7d5c3d 
KhQc7d5c2s Ad9c5c4h3h AhKd6c4d2d Td8c7d5h5d 
Th7s6c4h3d Qd6s5s2h2d AdQh8s4h3c AcJh7d4c2c 
KdQs9h8d2d AcJh6s4h4d Kh8d7h5h4h Kh7h6h6d3s 
Jd9s8s8h4c QdTh3s3h2s 9c8s5c3d2s KsTc9h7d2d 
KdTsTh6d2d ThTc8s5c2d QsJc9s8s3s Qh8c7c6s6c 
QhJc8s8h2d Jh9d8d5d3s QsTh4d3d2h KdTh5d4c2d 
9d7h6h2d2c QsQd7h5s2s KsTs7d5s3s Kh7s6d5c3d 
9d7d5s5d4h Qd9c8d7d4s 9h7h6c4d2d Kc8s5h3c2h 
Qd5d4h4d3h Ah9h5s4c3h KdJc9d3s2h Qd6h6d5d4s 
QsTs9s6s2h KhTh9h7s2h KsKhKcQhTd KsTh9h6h2d 
As7h7d6d3c AhQd8h6h2h 9h6c4h4d3c AhQh4h4d3h 
AhQs8c5d2c JsTd7s4c2h Td9d5s4c3h KdQd9d5s2c 
9s6s6d5c4s Qc9h9c3s2s As8h5d5c4d JcTh7s5d2c 
AhKd6s6c3c AhJc6c5c3s Qd8c7h4d2h JsJh6h4h3c 
Js8s6d5h3c 9s8h8c5d3h 9d7h6s5c2d Kc8c5s3h2s 
As9d7s6s2h KhQc9c4d3s As8s7h4c2s 8h8d6c4s3c 
Ad9c7h3s2d JhJc7c4s3c QdJc9c6c3c Js9d7h6h3h 
TsTc8d5s2h AhJh6c3s2d KdQd8c5h5d Kc8s7h6d2c 
9h9c8h6s2h JcTsTd6s2s Tc7d4s4c3d Th9h6h5h3d 
8d7d6d5s5d QcTc9c3h3d Jc5s4s4h3c Js9d8h6d4d 
QsJs6s5d2h KcTsTd7s2h Tc7c5d4s2d As7d4c2s2h 
Ad9h5c3s2d AhJd8c5s2c Td8d6s5c2h KcQs5s3s3d 
KcTc8s5d2c KdQc9d6s2d QcTc9s2h2c 8s7d6s4h3c 
8h7s6d4c3d AsTs6s4s4h Js6d5s4h3c Tc8d4d4c2h 
Qc9h8c3h3c AsQd5s2s2h 9h9c6s5h2h 9d8s8h7d4c 
9h7s5c4c2s 9s8s8d4h4c JdTh9d5d2d JhTh7h6h3d 
Td8h7s6d3d 8s6d4s3s3d JcTs6d4h2c AhQs7c5s2d 
Ks9d7c5c4c 6d6c4c3h2d 8c6s6h5s3d Ts9h8h5h5d 
QdTh9s5s2c AhQd6d3c2c Jh8s4s4h3c KcJs7s6s3d 
Jh8h7h6h4d KcTc8h5d2c Kh9c8h7h3s JcTs8d4h2h 
KcTs5c4c2d Ts7s6c5h3s Jd9h8d8c3s Tc9s8h5d3h 
As9s8c4s3d QdJh8c2h2c QdJd8h4s2c 9h8s8c5d3c 
QhQc7h6h2s AdTs8c6c2h QsTs8s6s3d KdQs9d6h2d 
Qh9s6s5s3c 9h9c6s6c2c Ks8d7h7c5d Js8d7s5s3h 
Js9h7c6c3d 9d9c6d4d3s Ah9c6d4h2s KhQs9c6d3d 
AdJh7d7c2d AdQs4s4c3s Ts7s6d6c4s KcTh9d5s5h 
Qd8c7c4d3d AdQd5s2h2d AhJc6s5d3d QsTd9h4h2c 
AsJc9d4d3h Ts9s8h5s3c Kc7c6h3h2d 9h5h5d4s4h 
KcQd9h7d3d Ts7s6d5s2d 9d8d7s4h2s Td6h5d4h2d 
Jh9c8s5h2h QdJh6c3h2c KhQc6s3d3c QsJs6h6d3s 
Ks8d7h5d4d QhTc8h4s3h Ts8d7h5c3s AcQc9d4c2s 
JdTc7h5s2d AdJs6h4s4c 8h7h5d4h3c Th8d7c4s4c 
QhQc7d5c2c KsJsJhJd9h 9d9c8h8d8c 9c7s7c6c4d 
QsQc9c4d2c JhJc8h6s3h QsTsTc3s2h Ah7s5h4d2h 
AdKc9c4s3c 9d9c8s5h3h AcJs7c4h2c As9s9c6s4s 
QsJh5h3d3c QsJd6s4c2h Ad9h5s4s3h AsJh7s4c2s 
AcQd8s6d3d Kc9d7s3d2c 6h6c3d2h2c Ts9s8h6s3s 
KdQs9h6d2d KsTd7h4h4c Ad7h3d2s2h Ks9h7d6c2s 
AsTs4d3s3h Ks6s6c2s2c AsKh9d4h3h KhQh9h6h3d 
KcQs9d6c2c KdTc8c6h2s KdJh8s5h5c 8d8c7d6h3d 
Jd7h6c5d3d Ad8h5d4s2d As7d6d5d5c KcQh9s5s3s 
KhQc8d7s2h KsJc8d5s2s AdQc4s4c3c Qh6s6h5c4h 
Ts9s7d5s3s AhQc7s6s3s KcQdTd7h2d KdQd6c3s3h 
KsJc6c5d2h JsTd9s5s2s Qd9d8d7c4h QhTs9s4c2s 
Ac8c3h2h2d Jd8h7h3s3d JhJd8d6d2s Kd7c6c5h3s 
Tc9d6s3c2s 9c6d6c5h3s 8h5h5d4d3d 7h5s5d4h2s 
KhJd5s4c3s Qh9s7c5d4d AsKc6h4h3h Kc5s3s3c2h 
Th7c5s5d4s AsQd9d7d2h Ac8h6c4s3c KhJsJd7c2d 
Ts9c5h5d4d Td8d5s2s2h Tc7c6s6d2d Ad8h6h5s5c 
AcTs7d4h3h Jc7d6h6c4s Td8d6c4s4d JsTs3s3d2d 
AhQs8d7c3c KsTd7d7c3d Ks7h6h5d3c QhTs8c7d2s 
QsJc9d4s2h As8d6d5h5c Qc8h6d5s5h KcJh9s7c2c 
Th8c6h2h2c QsTd6h4d3d Ad9d8s4d3c 9d8d8c5d4d 
8s7h6c4d3c 9h8h6d3c2d AhTc5c4d4c Qd9d8d6s3h 
KsQh8c7d2s JsTs7d3h3c 8c6h4s2h2c KsJs7c4s4d 
KcJs7s4h3d Ac8c6d6c2h TsTc6s6h2d QhTd8s7s3c 
QdTs9c4h2c KdQc9s8d2d Ac5c3d3c2d KcQd7s5s3s 
Ad6h4c3s2d KhQd9h6c2h 8d7h6c5s2s Jd8s4s4d3h 
QsQh4s3s2c KhTh8h8d3s Qh9s6c5d3c AdTd9c5d2d 
KhQsJd8d2d 9h6c4h4d3d KcQh9c4c3d Qc5s4s4h2c 
Ts9d5h2h2d KdQh6s5h2h QdTh8d4s3d KdQc7s4h3c 
KcQhTd2s2d JsTc8h6d2d QcTc7c4d3h 9h9c6c4c3s 
QhQd7s5h2h As9s5s3h3d Kc9h9d5c2s 9s7d4h4d3s 
Jc6h5c4d3s KhQd9c7c3s KdQs7c6h3h TsTc8d5c2h 
Tc7c6h5d3c 6c5s4c3s2s Ks9c7h6c4c 8d8c6c4h2s 
Ts9s7h6c2d QhJsJc6d2d Tc9d4s4d2c 9s9h7h4d2d 
Qh9d8h7h4s Js9h8c5s2s QhTc9d5d2s AhJs8c7d2d 
8c6h6c3s3d KhJd9c8d4d Tc8d4d3s3c KhJd9s8c2s 
QhTsTh3c2h Ts9c8d6d2d Qs8c6h5d5c KdJc5s4c2h 
JhTsTc6c2c QdQc7h4h3s QdTc3s3c2s KsJd9s3c2h 
AcTh8h6s3h 8s6c5h3s2c KcJs9d5h5d KcQs6d3s3h 
Jc9d8s5d3d 8c6s5d3c2d As8h6s4d2s Qs9h8s7s4c 
AcQd8d6d2h AcJs9d6d4d Th9d4s4d2h AdJh5s5h3h 
QsTc9s3s2d AdQs5d2h2d Ks6h4h3h2s Qc7h5d4c2d 
Td8c5h2h2d 8s8d6c4h3h 9h6d5c3d2c Td6h4h3s3d 
8d5d4c2s2c 9d9c7d4h2h Kd9h4h3h3d Ks7s6s6d3c 
Qh8h7d5h4h QhTd9d3d3c 8d6c4c2d2c QsThTc4c2c 
QdQc7s7h2d Ks9d7s4h3c KcJs8h8c3d Qc8d6h6c4c 
AsTs6h4d2s AdThTc7s2s JhJc6s5d2h Qs9h7h3s3h 
7d7c5h4h3h Qs7d6d5c2c Qd8h6d5s3d Ad9h7c6h3s 
KdQs5s4s2h AdKc6d3d2h Ks9d7h6d4d 9h9d8d5s3d 
KdQc9c8h2c Qd9d8c6h3d Ac5h5d4c3c 8d6d5d3c2c 
Ks9d7h3d2s Ac9s6d4h2c QcJh8s7h2d KsQh5c2s2d 
Jc7s7d5d4d Js9d6h6c4s KcQh8s5c3c Ks7c5d3c2s 
KhQd9c8h2h 9s8h5s3d2h QdTh9d3d2c QhJd8c2d2c 
JdTc8d4d3d AhJdTs6c2c Kd9h6s5c4c 6d5s5c3d2c 
6h6c4d3c2h AhQs6s3d2d Td9c4h3d2h JhTh9h5h2d 
Ks8h7s5s3c KsQd9c8s2s 9h8d7s7c4h QdJh6s3h2s 
AhJd9c4d3d KhJhJdJc9c Tc7c6c5s2s 8h5h4d2d2c 
KdTh7s7h3h Ts9c8h5c2d KhJc5d4s3d ThTc8s6d3d 
Td8s7h4h4c Jh9h8h6h6d AdJc9s4s3h Th8s6h5c3d 
Ac6s6h5h4d Td9h6s4c3h Kd9h7s5s2h Qc9s7c5h5d 
9s8c7c4s2s Qh7d6d4h2s AhJd8s7c2c AsQc8d4c3h 
Td7s7h6c3d Js6d5d4s2s Js9s6d4c2c Qh7s6s5d2d 
AsTh8h6c3h QhJh5h4s3h Jd9s5d4h4c KhQh9h5s2d 
KsJc7h7d4h Kd8c7s6s2c AhKc6s6d3s Ks9h7h5d2d 
Th7h6h6c4d AsKc9h4c3c QhTd7s5c3c As8h6s4c3s 
Qh5s4h3d2s JsJc6h5s2s Kh8c6h5s3h Jd9s8h5d2d 
AsJd8h3d2h 9s6s5s4c2c Qc6d5d2s2c 9d7s5d5c2s 
9c7c5s2s2c 6h5h5d3d2s TsTc6h6c2d QhJs7c3h2s 
QsJsJc7s2d 7s6h6c3s3d JsJh8s7s2d Kc8d8c4h2h 
9h9c7h4s2s QhTs4d3d2s Kc9s8c2s2c KhQs9c5d3d 
QcJs7h3c2s QdQc9s3h2d KcQs6h6d3s KhTc6c4d4c 
Jd7s5h3s3h QdTs9s4s3s Jd9s8s5s5h Td9d6d5d3c 
QsQc7c6c2h KcJh7c4d4c As9s9d6c2s KdTd9s6d2d 
AdKc9h4c3c Th9h6c4d3h KhTs7s4d3c Jd9h9c7s3s 
AdTc5s5c2s 9d7c6h4h2d 8h6s6h3d3c AhQc8s3c2s 
Ah9d7h6h2s Ad9h6c4d2s KsQh8c5s3s Ah9s5s4d3d 
Kc9s7h6d3d KcJc5s5d3c KdQc8s7h2d AdJc8c5h2c 
Jc8c5h3h3c Ad8h6d4c2d KsQd9s6s2c Kc8h6h3c2s 
Qd9d8d4c3c 8s7s5c4s3d Tc7s5s4c2d JsJd8d7d2h 
KsQd9s6c2s AcJh9s4s3d KsQs7h5s3s KsQc5c4c2h 
KhQc5s4s3s Ah9d4h4d2h KcTs8c5d2c QcJc6c5d2h 
7c6s6d5d3d QdTs7h2h2d KsJs9c6s2d Qd9h7s5c4c 
KcTc8d4s4c As9d5c3h2s QdJs7c3d2s Jd6h5h4d2h 
KhQd8s6c2d Qc6h6c4s2s AhQs8s6d2s KdQc5c3s3c 
Tc7c5d4h2d Qh9d7s5s4c Th7c6d4h2d Qd9h6d4s3c 
AcTs9c4c2c Kh7h5h5d4c 9h8c6s5d2s KhTh7d5h3h 
Ac9s9c6d2c KsJc6h6d4d Th9h7c6d2s Kd8c7s6h2d 
QsTh9h3h3c Qc6h6c5s4c QsTs9d2s2h 9s9d8s6h2s 
Ad8c5s3h2d KsQs9c8s3h Js6s6h4h3s Jc9h7s6s3d 
KcTd6d4d3s Qs9h7c5d4d Tc9d5c2h2d KcQs5d4d3d 
Ts9h5d2h2d Ad9s9c5h4c Kh8h7s4s2h AsKh6d3s2s 
Js8h7h5d3c Jh9s7d6d3d JhTd9s3c2c Jh7c5s5h2c 
Kh8s8d6c4s JsJh8c6h3h QsTs9s3d3c Th9s8s8c3s 
Tc9h8s5d3s 9s9c6d6c2c AsKh6d4h2h KhQc5s5d3d 
Ts7d6s5d2s 9c6s6c5c4h KhQsQh7h2h QcJs7s6d3s 
KcTd8d6s2h KhTd9d6d2s Ac9d8d6h4s 9h6s6c5s3d 
KdQs9c7c3h Jh8s4s4h3d Qc9d6s3s2c JsJh6s3s3c 
TsTc8h6d3d 9s6h6d4d2s JsJh5c4c3c Ks6c5s3h3d 
Ad9c8d2h2d QhJc6d5h2h Kc9h8s6h4d Ts9c6d2s2d 
QsQc3h3d2h Qs9c7d6c4c Js8h6c5d5c QsTc4h3h2c 
QcTc7s4c3h Jd8c7s3s3d Ts8c5c2s2h JhJc9s4s3s 
KhTc6s4d3c 7s7h6h4h3c Qs6s6h5c4s Kh9h7d5s2c 
9c7h6s6c4c AhQh5d2s2h As8d5c4s2s Qh8s8d5s4s 
Qd8s6c5s5h KsQd9c5c3c KdJd9d6h2c Ah9c5c4d3d 
9d8s8c7s3h 9d6c4h4d3c KhQd8s5h3h Tc8c4h4c3h 
Qs7c4s4d3d KsJc9h7s2s KhJc6h5d2h Qh9s9d6c4c 
QcTdTc3h2c Td9c7d4d2c QdQc7s7d7c Tc9d7s4h4d 
Ts7d5h5c4c QdTc9c4h2c AdTd5d4s2c 9h8s7c5c3c 
9c8d8c5s2c Tc9s7c3h3d 9s9d6c5h2h KhTsTc7s2d 
AhJd9s4s3c QsJc8d6s3s 9d8h6d3h2s KhKd9h3h2h 
AdTs3h2d2c 9c8s8d7h4c Kc9c6s6c5c QcJc9c8h2c 
KcJc9c8s4c Kh9s9h6d2c Ts9c7h4c2h KdKc7h4h2h 
Kc4s4c3s2d Kh8s4h4d3d Ah9d5s3c2h AhQs9s7s2c 
Ad7d5d4d3h AdTs7h4c3h KcTs9d7h2h 6d5h5d3h2c 
9s7s5h3h2d Kc9s8h6s4d 9h8h8d7c4h Tc8c6s4d4c 
9c6h6c4d2h KcQd8d5d4d Qs5d4s3d2h KdQc6h4d2d 
8d7s4h3s3d Kh8d7d7c3c Td8s5s2h2d Tc9h4h4d2d 
JdJcTd6d2d Ah5s5d4s2d QhTc8d7s3d Kd9d7h3c2h 
Ac6s5s5h4d Qc7d4h4c3h Ac9h7s3d2c 8h7c6h4d3s 
QsJs9s8d2s AcQs6s3d2d JsJc6s4s3h Jc7h6d6c4s 
AsJd8h5c2h Jc6d6c4d3c Qh9d9c7s4c KsQd7h3s2h 
Jd9h9d4s3c JsTc6h4h3h AhTc9h4h2h JhTsTc7d2d 
QhTd4c3c2d AhJd8c3d2c Ad9h8s7h2c KhTd6s6d3c 
JcTc9s3c2h AhTh9d5h2h 9c6s5d3s2d KsQh9c5c3c 
9s9d8s7h2c QsQd6s6d6c 9c8h8d6c3s 9d6h6c5s4d 
Ad9s9d8d2d KdQh6c3s3h AsJc5d3d2c 9s8h6h3d2s 
9c8s6d5c2c 8h5s5h4s3s 9s8d7d5c3d 7c6s6d5s3s 
JhJc7h6h3h Jh8c6d3h3c KcQc9h5d5c Qs8s6d5c2h 
KdQs8h5s3c JsJh8h4c2d KdJs9s7s3s QsJh9h4c3h 
JdJc7c6c3c JcTd9d5d2d QdThTc4h2h QhTd9d4d3d 
QcJh7s5s3d QdJc9d6d2s Ts7c6h4s3d Ts7h7c6c3d 
Ac9c8s4c3h KcQc9c5c3h Td7d6s6d4h Tc8d6h4s4h 
Qd8c7h6h4h Qh7h6h5h4d QsJd8h7d2c AcJs5d3d2s 
TdTc8h5c2s KcQs9c6d2c Qc8d7s6h3c Jd9h8c7c4c 
AcTs7h4d3d 9c7c6h4d2d KsQc9h7c3c 9c8c5s3d2d 
As8c6s4s3d KcQd5h4h3h KsQs6h3d3c Kh6d6c5d4s 
Jd9s8h5h3h AhQh9c4h2d 9c8d6s5h2s AsQc6c3h2h 
Qc9c8c6d3s QdJh8d8c2s QcJc5c4d3c Qs5d4d3h2s 
As6c4s3c2s QdTh9s4c2s Ts5h5d2s2h Qd9s6h5c3h 
AcTd9s5d2h 9c6c5c4d2d Ac7c5c4c3d Ks7s7c6s3h 
6s4s4d2s2d 9h6h6d4s2d KsJc6h5d2c QcTc9c3s3h 
QdJs8h8d2c Th8d7s4s4c JsJh8c4h2d JdJc6s5d2d 
AcQs6s5d2h QhJs6d5h2h Ks8d6s5h3s Ah9s8h2h2c 
Th9d5s5c4s QhTh6d4h2s KsJd8c5s2s Ac9d7h6d3s 
Ad7s5s5c2c KdJh7d4s4d Qs6h6c3h3c AsQcJd6d2d 
KsTc7h4h4d JhTh9s3h2c As9c6h4s2d KhJsJd7c2s 
Kc9s9c6h2d KcQhTs7d2s Ks8h7d6h2d KsQs7s6s3d 
Jc9s5d4h3c Ad6c4d3c2d Th7s7c5d4d 9h7s6s2h2c 
Qh9s6h4d3c Qs5s4d3h2h Qd6h5h2s2d Ac8d6c4h3c 
JhJd8c6d3d Kd9h7s6c3c KcQs4d3c2h Ac8c5s5h3c 
9c7d5h5c2d 8s5h4s4h2c Js9s5s3c2c As5s3s3d2d 
KsTh7d4h4c QcTs9c3c2h Ac8c7h4d2c Ts8h6s5c3d 
Jh9s9d3h3c Ks9h8s2s2h Jh9s8s8d4c 9d7s5c4c2s 
Ah5s5d4h3h KsQc7h4s3s AcQh8d7s3d Jh7h5c4s3d 
7s7h5s3s2h 8d7c5d4d3s Tc9h6c4d4c Ks7h6c5d3h 
AsQs9s4d2c JhTs8d4c2c Kd9s7c4h3d QdTh9h3c2s 
Ac8c6c4h3s Kh8d7h5h3s 9s7h5h3c2s Th8c7d4s4d 
Kd8h7c6h2c Td7c5s5h4h AhJc9s6s4s 6h4s4h2s2h 
8d7c6h4d3s Th9d7c4s4d JhTh7h6h3c AdJc7s4d2d 
KhTh5s4h3h AhQh9h4s2d Jc8d4d4c3s Kh9s7d5d2s 
QhQc5s3c2c Jc7c5s4h2s AsJh6h5h3d Kc5h3h3c2s 
TsTh8c5s2d JcTd8s4h2h Js9c8d7d4d Td9d8h5d3s 
Ah9c7s3d2h Ts6c5s5d2c Kh8c6c3s2h AsJs7s6h3s 
Ts6s4d4c3d Qh9h6s2s2d AdTs5s5c2c 6s4s4h2s2h 
9s9c8s7h2d KcTh8c4c3d TsTc8d6d3h Qh9c7h5s3h 
QcJh7c4s3d QhTd9s4s2c AhTc8s5s3s Kc9d7c4h3s 
8h6d5h4h2s KdQs7h5h3h Qc9s9h5h4h As7h7d6h3c 
JcTd6h4h3h KdTh8d5c2d 7s7c6s5s3s As9d8c6h4d 
AdJd8d6c3d Qc8s6s2s2c QsTd8c4d3h KhTh9s3c2h 
Jh8h5d4h4c KsTd6d4h4d KhQc9s6d3d Ks9s9c7d3s 
KcJhJd8d3d 9d9c7c4h2h AcQs8c6c2c Ts8c5h4s4d 
Tc6s4s3h3c AhQc8s6c3c Ts9c4d4c2d Kd9s9d6c2h 
AdQs4s4h3s Ad9h8s5s3s QdTh9s7s2c Kc9s7d6s4s 
Jh9h7s5h3h JhTd7h4c2s Kh8d8c6s4d Jd9s8h7h4h 
KdTd8h5s2d QhQc5d3c2c KhQc6c4d2s Jh9d8s8d4c 
Th6c4h4c3s Qh7d5c4s3h 8c7s4d3s3c Ts9s8c4s4h 
Qs9h7d5c4c KhTd8c6s3c KdQcJd7d3d KdJc9s9h2h 
AdQh7s2s2h QcTc9h2d2c Jc9c5c3s2s KhQh9s8h3c 
Qs8h8c3s3c KsJc9d5h5d 9h9d8h6c2h Ts8d5c4s4h 
KdQd8c3s2c 8h8d7s6h3h KsQc6c4h2d 6s4s4c2s2c 
8c5d5c4s2s KcQhJc7d2c 9c8h7h4c2c JsTc7c5h2d 
AcTs9d5s2h AhQc5s5d3s Ad5d4c3h3d 9s7h4h4d3d 
Jh6d5d5c2h Js5d5c4d2s KcTh5s5h2s AcTh9h6s2d 
KsJd8h5s2s KsJc9s3d2h QhTh9c2h2d Kh8s4s3h3c 
8s8h5s4s3c Ts7s7h6s2h QdTc6d4d3d JdTd9d8d2d 
Kd9s8d7d3h KcQc8h3s2h Ts8s5d2d2c AsAdAc8h2h 
Kh9c8d6d4s Qh9h8s4h3s Tc9c8s4d4c QhTh9s2h2d 
KcTh8d6s3d 9c7h4s4h3c JhJc8h7h2d 9c8c7h6s3c 
8d5h5d4c2c AsTc6d5c3h Jc9d8c7h3c 9h6c4s3s3h 
Qd9c5d4c2d Kc9s7h6d2c Qs8h7d4s2d AsQc6h6d3c 
AsTc8c6d3c Qc9c7h4c3h QhTs8c7d3c 8s8c5d4s2h 
AdJc9s7h2s Js9d8h5h3h AcQd8s8h3d Kh9h9d5h3c 
9d8c5c4c2d KhQcTd2s2d KsTh7h6h3h 7s7d5d3d2s 
Td9h5d4c3s Th7h5d4s3c 9s7h5s5c3d 9h9c8s6d3d 
QdTh9c7c2s AsQh5s2s2c KdTh9c7s2s QdTs9h5h2c 
AhKd6d3s2c Qh8s8c5c4c QhTs6d5h2h Kd7d6h4d2h 
Qs8s6s6h5s Th6h6c4c2c Tc8c5s2s2h QsTh7d5c3c 
Tc7c6d5h3c AsQh5d5c3d Qd6h6c3h3c Ks9s9c6d2h 
JsJh7h4h3d Tc8c6s6c4c 9s8s7d4c2d KhQc8d5h3h 
KdQsJd7h2d Ks8c7s5s3h Jh7s5d3s3d QcJc6c5h2s 
KsJc7s4s4h Qc9d6s5s5h KhTc7d4s4c 9s7h6d6c4s 
Ts9c7c4h3c Kc8h5d3h2c Ac5c3d2d2c Jd9s6c5c3c 
KcTs8c4c3h Qd9c8c6h4c QsJs8c7h2d Qd8c6h6c2h 
QdJdTd4d2d 8h7h7c4h2c TsTd8h7c2c Td9d5s5d2s 
Kh8s7h5h3d Ac9c8h7c2c KdQs6s4h2c Ac9h8d5d3d 
QhJh6d4c2s Jc9s8h5h3h 9d8d5s3h2h Ts9h5c2h2c 
Ah7h5c4d2h Js9d5c4h3s Td9s7d3d2s QhThTc3h2d 
KdJdTd3h2d AdTs8s6h3s QhTs9d4d2c Jd9h8h5h3c 
JhTs7h6h3h Jh9s8c7c4c AhTc6d4s4d AsTd6c5d3h 
Ts5s5h2h2c AhJs9s7c2s Qs8h8d5c4h AcJc6h3s2d 
Ks7h5d3h2s As8s8h7s3s AdTs6h5s3c KdQcTs7c2c 
AsJh8s2s2c KcJh6d5s2h Th6s6h4s2d 9h7d5d3c2h 
9h9c8d2s2c Ks8c4d3s3c QdTs8d4c3d AsKd6s3s2c 
Ts9s8s5d5c QsJc8s8d2h AcKd6s6h3h 8h8d7s6c3d 
Tc7s7h5c2h Js7s5h4d3c Th9c8s7s3s KdQs8s3d2s 
KcTh9s7d2d Qs5d4h4d2s Tc7c6d4h2d 8h6d4d2h2d 
Kd9s9d7c3d Ad9s5h3c2d Tc7d4h3h3c KhTd9s5d5c 
9h8h7d6c3h 9s9c8s5d3s AcKc7c6c2d Qd5h4d3c2h 
9s6d4d4c3s AdQc6s3c2s Ac9d5h3s2c 8h7h5s4h3c 
8c6h5d3c2h KdTs8h5s5c KhTc9c5c3c Th7h6s6d2s 
Kc9s6s4c2c QsTs7s4d3h 9h9c6d2s2h Qs8c6s5d3s 
Kh9h7d5c2s Jc7h6s6d5s AdTs6c4h4c QsJd9s6s2c 
7s7h6h5h3h JsTh6c5h2d Ac9s7d3h2c QhJd6h4c2s 
