JsTh8c4s3c 
As9h5h4s3h AdQd7s4c2c KdJs8s8c7h Ah9c8s4c2h 
AcTs9d9c2c Tc9s7s5h3c AhTh9h5s2s AcKsJc8c2h 
AsJc9h9d7d AcJd3h2d2c AsKs8c4h3d KdQd7d6h5s 
AsTc9s9d2s KhQhQc6s3h JdTh9d3c2h AsJc8s4d3h 
AsTs9c6s4h KhTh8h6c4d KdQsJc8s5h QsQc7s7h4d 
AhTc6c5d4d Js9h7s6d4d KsTd7s6c2d Ac9s6c5c3s 
ThTd6h6d3d Th9c8s8c5h KhKc3s3h3c AdQc8h5s2d 
QsJdTs9s4c KsTc9s9d6s Qc8h7h5h4c Th9h9d8d4c 
Qc9s8h8c7d KhJdTd3s2s JhTc5h3d3c KhQdQc8h4s 
AdJsTh6c5c Ad9c7c6d2c KdQcJs6h5h QcTd9c5h2h 
9d8c7h5c4h Ac9c7s6h2s 9h7s7h5d4s AcKsTc3h3c 
QdTh5h4s2d KsQsQc6d3s Qs9d7d6h3s JhTd6d5h3h 
KdQcJsJc4c AhAdAc8s2h QdJh9h6s3s JsTc9s3h2c 
9s7s6d6c5d Jh8d6d5s4s AdTd9d8d5c AdTc9h9d2d 
Kd9d9c7h3h AdQhJd2d2c Td9s9d5h3s KcTs9s8s6d 
Jh9h9c5c3h Tc8s7d7c5d KcQdTs3s2d JdTdTc6h5d 
9h7d6c5d3c Jd9h7h6d4c AcKcJc9h4c KdJsJh8s2h 
JcTs5s5d3d Ah9c8s4h2s AdTd9c6d4h KsTh7h5s2d 
Ac7d4d3h3c KsTd5s4d2h AcQc6h4c3h QdTdTc8h4s 
KhJh6d5s4c JsTd9h8s5c QdJcTc9c6c JcTd8c6s5c 
AcKd9d7s7d 8d7h7c6d4c QcJsThTd5h KcJc9c5d3d 
7s7d5d5c3c QdQcTd8d5d AsQh8h8c5d ThTc8c6h2d 
Kc7s6h5h4s Ks6d5c4s4c JcTh9h7d2d KhQdTd8c4s 
QcTh7h5h5c JcTc8c7s5h Ks7c5s4h3h AhJc9s8c5c 
TsTc6d5d3s KhQdTh9h5s KdTdTc8h4s Qh9h7s6c4s 
QdTh9h3s3d QdJsTs7s7h JdTc8s6d4h AdKd5s5d2s 
Th9h7s5c3c QcJdTd6d4h Kd6d5s5h3s AsQh8c7c6d 
JhJc7s4c3h As8d7d2s2c Ts9d8c5c4s AhJc5c4h2h 
AsKh9c5c2h AdQh7h2d2c AcQsTs9s2h AhTd7h3d2c 
JsTc5h5c3h KhJs8s5h3s QsJd9c5c2d AsQsJh8c2s 
QhTh7d7c4d Td9h8h7d4h AcTh8s7h4d AdJcTd4h2d 
QhJhTd3d2h JsJc5s5d2c KdQs9d8d6h AcJc7d6h2d 
QdJd9c4c3h JdTd9d8d8c Kh7c5h4d3d QhJh5c4c3h 
QhTd8c4h3c AsKh8c4c3h 8s6s6h5c4h KdJdTd4h2h 
Tc9d8d6h2c 8s7h7d6s4d AdJhTd7d2s 8s7c6d6c5d 
Ad8d6c4s2s KdQh9d7h3d QdTd9h6h2h KhQdJs8d5c 
QcTc9c6s5d AcKh5s4c3c Jc9h9d8d7s QsJdTh7c4d 
QsTd9c6s4h QcJhTd7h4s Ts9c7c5d3s Kd7s7d6c3s 
JdTs9d6h5c JhJd9s9c4h Jh9s9d7d4h QhQdTd5s3d 
Tc8h8c5h4c KcQh9c7h3c Jh9d9c8c7s AsTd7d3h2s 
Qh8c7h6h6c Ad8d5h5c2c AsKd9c7s4s AhKdJs5h2h 
Tc9h8s8h5c KcQc7c6s5h JdThTc6d2h JhTd8s6c4h 
8h8d7h4s4d Kd9c8c6s2d KdJdTs5h2c KhTc9s5c3s 
AdJd9h6s3c Qs9h8c5h4s Jc9s9d8h7c AhQc8s5c2s 
AcJd5d4c2c Kh9s7s7h3d 9d9c6d4d4c JhTd8h7s4c 
QdQcTd5s2h 9d8c7s5c4s JcTsTh5d5c AsKsJh6s6d 
AsQcTh8d2c KcQs9c8c4s Ah9d5d4d3h JdJc8h7h6h 
AhTh6s4d2s QhQd7s3s3d Td8c6h6d5h JhJcTd7s4s 
QdJdTd7h6d AcJs9d8d5d AsKh6s5s4s Ad9h6s4h3d 
Qs9s9h6s4h KdTs7d6h5d KdTs6h5d2s AdQcJh7s6s 
Ac6h4d4c3d AcKh8d6s2c KhJc9s9d7c KhTh6c4c3h 
8s8d6s6h5c As7s5d5c2d Jd9d7s5c3c QsQh8d8c4s 
JcTh9s5s2h AsJdTc6s3s JsTd8h8d2s Ac8c7h4d2d 
QdTs9d6d5c QdJs8c5s5c KhQs9s6s2h Ts7d6s6c5d 
Tc9h9d5h3c JdTc7c4c3d Th9c7c5h3d Qd9s9d8h7c 
QsJdTc7d4h Ts8d7d6s6d KdQc9s8h7s JdTs9s8c5h 
Th7h7d6s4s AhJdTs5d5c AhJh9d6c3s ThTd9h8c2c 
AhKd9c8c5s Ts9d9c5d3s JcTd9h4h2c JhTdTc5d4d 
JsJd9s4d3d QsThTd6s4c Tc9s9c8s4d KdQc4h3c2d 
JsTh5h5c3c Js9s6h5h3c Ts9d7s5d3c KsQd7s6s5h 
Jc7d6c5s4d KhQc7d5c3d AhKhJd3h3c QdQc9h9d4d 
Tc9h9d7h3d AsKsTs6h4s KdQd9c6s2c AsKh7c4h4d 
QdTd8h5c3c KsJsJh8s5d KcJh8h7d4d JsTh8s6d3d 
Kc8d7d5s5c JsThTc5h5d QdJhTd7s2s AhQhJs2h2d 
Js9d7d6s6d JhTsTd8c5h Qc9s9d7s7h AdQc7c2s2d 
KhTd8s7h5h 9h8h7c6s4c AhTh8h7c3d KcTc9d5d2d 
Js9h8d5d4s ThTc9s8s4c AhQs7s3h2d KhQd8c7c4d 
Kc9h7h7d4c KcQhQd9c3s AsKs6h2h2d Ac8d7d2h2c 
Kh9h7s6s3s Ah9s7s6h2s AdKhTd3s3d QcTh9d2d2c 
KcTd6d4c2s Ah7c6c4h3h QsJdJc5c3h KhQh7h6s5c 
AcJc9d9c6h AsQhTc4d3h AcJcTc5h3c AsJc8h7h6d 
AcQs8c6h6c KhQhJc9h5d Tc8s6h6c5s ThTc6h6c3h 
AdTh7s6h3s QhQdJs8s5s QsTs7h6h3h QsJsTs9d5c 
KcJcTs5h3c AcThTc6c4d AdKsJd8d2h KdQcTc8h4s 
JhTs8d6c4h KsTs9d7s5h 8c6s6d5c4d QcJsTc7d7c 
AsQhJh6c4h JsJhTh4h4c 9s9d6s4s4d Td9d7c6c3d 
AcThTd8d6d AcTh9s7h6h Ks9h8s5d4d AsQdQc3h2d 
Td9c7d5c4d 8c7s6c5h3h 9s7d6d6c5s Jh9s7s6h4d 
Qh8d6d5s5h QsTs8d5s5d Ad9c7h6d2h KhJh9d6d4h 
Ac9s8s4c2d Kd6d5s5c3s KcJd8c5h3h TsTh9d9c5c 
QcTc9c7s3s QhJh6s4c3s AsQcJs6h3s JdTh9c3h3c 
AcTc9s4c2s AcTs9s6d3d AcJsTh6d5d QsJh9d5d2h 
9d8d7s6c4s As9h7h6h2s AsKs8s6d2d AcQh9s6h5d 
QsTs7h7d4h As6s6c4d2c KhTc8d7h5h KhQd9h5h5d 
KhQs9d5d3s Kc8s8c7d6h AhJs8c7c3s Qs8s7d7c5c 
QcJd9s9h7c KcJc5h4h4c As7d6d5d2s AcTd5h5c2h 
QcJd7d7c4c AhQcTd4s3c AsQh6s4h2s KhJhJd8h5s 
Kd9d6s6h4s QhJs5d4d3s AhThTd6h4s Ks6s5h5c3h 
Jc9h8h5s2c QsQcJd9h2c KhTd8d4h4c QhJsTc6s6d 
QsJs9h8s6d Ah6h6d4s2d 7d6s6c4d4c KsQhJhJc3h 
7s7c5s5d3d KcJdJc5c4h Ad7h4h4d3h KdTc8h4c3d 
KsJcTh9d3h QsJcTc7c6c KsTh7s6d2h QhJc9d8s6d 
KhQcTd7h5h AdKc9h7d4d JsTd8d8c2s Kd9s6s6c3d 
9s8s7d6d3c Kd8d8c6c5d AdThTc8c6c QsJh9c7h6d 
JdTh8d7s4c AsTh5s5d2d 8s8h6s5d3h QcTd9d8d6d 
AcJhJd4c2s QhTh9s6s2s KhJd9s9c7d QhTs9s3h3d 
KcJcTd5h3c 7s7h6d5s3h QsJc9s5c2c Ac9s8s7d4d 
AdTh8s7h7c KcTd7s7d4s AsAhAd7s2c Qd9s9d6d4s 
9h8c7d6s5h Ac9c7h6d2h Ts7s6c5c4c Ac9h7s7c5c 
Qc9s9d8h7c QdJc9c7d3d Th9h9d8c2d JhTs9h6s2s 
QsTs6h5c4d JdTc8h4d3h AcQh8h7s4d KsJs8d5c3c 
QdJh9h6c3c JhTsTd9d6d QsTs7h7c4c KcTs9s6c2c 
KcQh7c5d4s Tc8s6s5c4c QhJsTs6c4s Kc9d9c7s3s 
Js9d6h5h4s 9h7h7d5c4d KhJsTdTc6d KdJh9d7d5c 
Ac8c7c6h4s 9c8s8d7s7h Qc9h8s5c4s Ah8c5s5h4d 
Kc9d7d7c3s Qc9h8c5d4d QhQdTc9s3c AcJd9h8h5h 
QdJdTd8d7d Qd9s8h5d4h Ks9d8d7s2c Th9d7h5d4h 
KdQc9c7s6c QhJsTs7s5d QdJh9s7s3h KhKc8s4d3c 
9c8s7c6s6c Ac9d8h5c3s Jd8d7s7h5s AhQc8c4h2h 
JcTd8h5c4s KsQh9d5h3d Jh9s7d5h3d QsTsTh9c5d 
JsTd8d7c3c Ac8d5d2s2c AcTh8d5s2c KhQs9h8c3c 
AcKh9s4s4h Jh9d6s5s4h KdQc7d5h4s Kc9d7d5c3d 
8s8c7d7c5h AdJd8c2h2c KdQh8h6c5s AhKc7c3h2h 
AhTh9h6d2d Jh8s8h5s5h TsTh6c5c3h 9s9c7s7h5d 
QcTs7s5s5c QsTd8c4s3c As9s6h5c4d Jc8c7s6d4d 
Qs8d6d5s5c KcQc6h4h3h JhTs8c5d4h KhQc7h6h5d 
Ac8h6s4c2h AcKdTh7h3s QsQcTs5h3s JsJh4h4d2s 
Ks8c7c5s5d KhQhJhTh3c QdTd7h7c4h As8d5s5h4c 
KcJs8s8d7h AdQh8h8c5s AcQh9h8d5h KsQhTc9h2d 
QsTs8h7c2h AcQsJs6h4s KhKd8c4d3s QsJcTd7d5d 
JhJdTd4s3c Jc9h6s5s4c ThTd9d8s2s QsQhTs5c3s 
KhJsJh5h4c AhTs8s8d6c 8d7h6h6c5d QsJhJd5d3c 
AcQs9h6h3s AdJdTh5d2s KsThTc4h3c QsTsTc9h4d 
KsJsJc9s5d KdJd7s6c5d KcJc9d7s7c Ac6h5h2s2c 
Jc8c6h5h4c KcQcJcTc4d AcQdJc2h2c Kh7s7h4s4c 
KhKdQs8c3h KhKd8c4s3d Kh9h9c8c4d QsQhTc5c4c 
AsJhJd9c5c ThTc9c8c4h Tc8h7h6h6c AcKsQd2s2h 
Td9h9d7c6d QdTs9h4s2d Ts9s9h7h3s KhQd9h9d2d 
JsTh5h4d3d QdTs9h9c6c QhJd8c5d5c AhQh7c4s4d 
8s7s7d6d5d AhJh9h9c6d KdQsJd9d5c JcTd8d7c2d 
QcTd8s8d3c JcTc9s4s2d AsJc3h2s2c JsJd9h6d5d 
AsQcJc5c4c Qc9s6s5s5c AsQd7d6h5c AcQsJc6h3c 
KhQc9d6h2d KsJs7h4d3h JhJcTd8s5s AhJs8c6d3h 
JdTs8d5c4h AdJs6d5h3c Kh7h7d5d3c Jc9h9d5c3h 
JhJd8s8c5c KcQd7h6s4c AhKhJh8d3c Kd9c6h6c3d 
JhJdTc7s4s AhTc8s7c5c AcJc8d4d3c Qd9s9h7h7c 
KsJsTd5h3s JsJh8d8c5d 8h8c7c4s4h 9h7s6s5s4h 
QhTsTc6h4d JdTs8c7s3c QsJdTs7h2h KcQs9d7d6h 
KhQsJd7h4c AdQs7s6c5h KsJh8d5d2s KsQdJh6c3s 
As8h7h6c4c JhTs8s5s3h TsTd9h8h4s Kc7h5c4h3s 
AhJh9h8s4c TsTc9c7c4s AhJs7h5h2s KcJd9c7c5s 
Ah9s8c5h3d KdQh9h6h2d JsTsTc9h3d QsJd9c6d2s 
QhQcTd8c2s KdTd6h4h3d 8h7s6s6h5d ThTc9d8d4h 
QcJhJd7s5d JsTc8d4d3s JsJd7d4h3s QsJhJc7c6c 
KsJs9d7s7c AdTs8h5c2d Js8s7h6d4d KcTh5h5c4c 
AsKsQh6s4s QhQcTs7d3c AhKhJc5h2d JsTh5h3s3c 
QsJsTc6h6d JsJd7h4d3s AhTs5h5d2d QhTh8c5c2d 
AdKcTh7h3s AsTc8c7h4d AhQcJh2s2h QsJhTh7h6h 
8h7h6d5s3d JhTh8h7s7h Ac9d6d5c2d QhQc9d8s5s 
Qs9h8h6s4h Ad8d7c4s2s Qs9d6h5s5d JsJh7s5h2c 
Ah9c7d6h2d KcJd4c3s3d AhKdQd3c2s AdTh6d4s2s 
Ah6c5c2h2d AhTc7c3d2h AhQc8d7d6s 7h7c6c5d3h 
KsKd9d8c2d AhQh9c7h2c 9h8d7h7d6d JdJcTd4h4d 
KdTh9s8h4s QhJd9s7d6c Ah6d5h5c4s AsKs9d8s5s 
AhQc8d5c2d Td9h9d8h4s JsTs8s7s7h Qh9c8d5c4h 
JsJcTd9d5h Tc8h7h7c4s QhJsTs9s3c KdJd6c5h4s 
ThTd8d6h2s KdQs9h7h4s KdQs5s3d2h QhJc9s8h5d 
Ks7h6s6h5h JsTd7s5c4h KhJc9h6c3h AcJs9h4c3d 
JhTdTc8c4s KhQcJc3d2d Ac8s7h4h2c AhJs9s8s7s 
AdKh6d5d4d Kc7h6h6c5h KsKcQs6d2s AdTs9s8s6h 
ThTc7s7h4d KdTd9h7d5s JhTs8c7d4h Ac7c5s5d2d 
KhJh6d4d4c KsThTd4h3d QdJc8h7s6c TsTd9s7d2c 
QsJhThTc3h JhTs7h6s3h AsJs7d7c2c Th9h7d6d3h 
Ah9d8s5h3c KhQsJhTh4h Ah9c7h6c2c AcKdTc3s3c 
AhKhJd5h2c 7c6s5d4d3c Tc9h9c4d3h AdJhTc5c3s 
KdQcJs7h6h Ad8s8c2d2c KdQh8s7h2d AhTc8s6d2h 
Ad9s9d8c2h KdQhJd6s3c AcJs9h9d7h Qs9d8c5d4s 
KhKd9d8s2d AhKhJh8d3s KcQhTd7d2h AdKs9h7c4s 
QdQc7s7c4h JsJc9d5h5c QdJdTsTd7d QdQc7s3s3d 
Jd9c8c5h2d Jh7s7h5s4d QdJcTs7s5s AsQcJs6d2h 
TsTc9c7s2h KdTs9s8h3h AsKc7h3h3c 7d6s6h4h4d 
Ah9s8d5h3c KhQc8c7h2d KdJs9h4d2s Js9d8d5c2s 
AcQc9s8c6c AdKc9s4s4c QcTd7s5c3s 9h7h6d6c5d 
KsQd9s7d3s KdQdQc7s3h KsJc9s7h5s Kd8h8d7h4h 
KcTs6s6d4d Qc9s9h7s7d Kd9s7s7d3c AcKc9c7s5c 
KdJhJc9d6d QhQc9s9d4c JsTd8c5s2c KsKcQc8h2d 
QhTc9s9d6d QdJd9s7h3s KcTc7s5s3c 9c7s6s5d5c 
KhTs7h6d2s KdTh9h6d2d 7d6h5s4h3s AsKdJs8s4s 
AdTd8d6c2c KsJc9c4s2d KhQs6d5h2d AcQs9c4s2c 
Ks9c7d7c4s Qd9d7c6h4c 7d6c5h4d3h JhJc4s4c2h 
9s9h6h4s4h JcTh8d6h3d As9s7s7h5d JhTh8h7s5d 
QcTs7s5c3s Th9s9h4c3s Jh9c7h5d3d Jd9s9d6s3h 
9s9c7s5d3d AsKcJs6d3s Jh9d8s6s4h Qh9s9c7s7d 
AhTh6s5s2s Kc9h9d7d5h 7s6d5c4c3s Jc9s8s8c5c 
7c6h6d4d4c QsJh8h7d4d Qd9h9d7s6c 9s9h7d6s6c 
KhQdJs7h4c KsQs7s6d5h AhKcJh6d3h AcTs5s4c3c 
QdJhTh9h3c KdTs7d6c2s Ac9h8h4c2s Ah9h7d6d2d 
Tc8h8d5h4c QsJd8d7c4c Jd8d7s7h5h Jh7c6c5c4h 
Jh8s8h6h5s AhJh8c5s2d KsQcTh9c2d JhTc9h3s2c 
JcTsTd9s6s AsTc6d6c2s KsTsTc6d4s As7c6c4s2d 
QsTsTc8h4d KcJdTc8s3h AcTc8d8c6c KhQs7h6h5d 
AdKs9s5c2c Qs9c7c6s3h As7s6d5c4s AhTc8d7d3c 
QsJdTh9s4s QsQdTs6s3c AhJh9h8c3d JcTh8c5d4s 
Ks7c5s5d4d AdTd7s3s3d AsQc9c7d6c JdTh7s5d4c 
KcJcTc7d5c KhQhJhTs5h KcTh5c4h2s KcTdTc8s4h 
KsJdTh8s2c QdTs9d5c2c Ah8h7h6s3s Td8h7h7d4s 
Ac9s7h7c5c 9c7d6h5d3h QsJcThTd2h Kh7d5s5h4s 
As8c5s5d4h Jd9s8h6h4d QcTc8s7s2h Kh9c7h6c4h 
JsTd6d5s3s AsKdJh9c3h KhTc7s7c4s QcTs8d6h5s 
Td8h6s6d5s QsJh9c6h3c KhKc8s4d3h QsJsTsTc6h 
KhJd9h7s5h AsQs9h3h2c AdJh8s7s6c AdTsTh8h6h 
KcJh8h7s4s 8d7s7h6d4s JdTsTh9h6h AdJd6d5s3s 
JdTh8d6c5d AhKdJh5h2c Td9h9d4c3h 9d9c8h6h4c 
KhJh9c7s7h AsQs8s7d5s Th9d8s5s4h Js9d8c5c4s 
KhKdJd8d3s Td9h8h7d2c AcQhJhJdJc QdQc7c6s4c 
Jc9h7h5s4s QcJdTc9c4h 8h7d6s6d5h Kd8c7h7d4c 
KsThTd5h2s Ks7d5d4s3c JcTd8c5d3d 9s7s6h5s4h 
ThTc9s9d5s AhQs9h8h4d Ac9c8d4h2h Ah8h6s4c2c 
KhQcTs3s2c KsQcThTd3s KsKh8s6d3s JcTc7c5s3s 
Ac8c6d4s2s KcQcJsJd2c KsQc8c7s2d KdQdJs9d7d 
Kh7s6s6h5s KcQs9h7h4s AdJc7c5h3h AcQhTd5s4s 
QsJc9h7h3c AdKh8s6c2d AsKdJh5c2d QsQcTh9d3h 
KhTs8s4c2h Tc8d6s6c5d KdJsTc9h3s JsTd9c6s4h 
JsTc8h5d4s AcJdTh6s5s 8s8c6s6c3s AdJh6s6d4c 
AhQdQc4s2d AdJd7h4c3s Ks6s6d5h3h AcKsJs4s3h 
Th8s7s6s6h Ac7h6h6c3c QsJs9c7h3c AdKsJh9c3h 
QsTd9s5c2c Kh7d6s5s4d Qh9s9h7d6c AsTh7s3h2d 
QhJh9d7h6s KcQd9s5d3s JsTc5c4s2h QhTd8d5h5d 
Ah8h5s5c2c Jd9s7d5s3c QsTs9h5h2c KsKh6s2s2d 
Ks6d5s5h4d JcTc9c8s8c AcJh9d8h5h JsTc9h8s5d 
7c6h5h4c3d AcJs9c5d2h 7s6c5h4h3s JdTh8d6c3c 
ThTc6d5d3h AcJh8d7d6s Ad9d7s7d3s KhJdTc9c2s 
KsTh8c7s5s JcTd6s5d3s JsTc7c4c3s QhThTc8d4s 
KhTsTd5d2h AdJh5h4d2d Kc9s8c5d4d AdTd8h4d2h 
QdTs9c7d2c QdTc8h4h4d Jc9c7h5d3h JsTs7h5h2c 
AsQdJsJdJc KhQdJdJc3d Kc9h9c7d3d AsQsJs8s5s 
KsJs8h7d3d JhTs9c4h2c KcTc8c6h4s QcTc9h4h4d 
9s9h7h6h5d JdTh9h7h5s QhJc7h5s3s Ah9h6c5s4d 
AsJhJc3h3d QdJs5c4s3c QdTh8s4d3s JhJc7h5d3d 
KhKd7s2d2c JsTc9c8h5d AsQhJh6h4c QdQc8c4d3c 
Td9s7s5d3h QsJdTc7d2c Qd9s9d7c6h AsKdTc8d3d 
TdTc8d6c2s JsTs8c7c3s Kd8d6s6h4h KdQd5h4s2h 
Tc9h9c5d3h Jc9s7s5d5c KsQdJh7h2s KdKc8s7s4s 
Th8c7h7d5d Th9s8s6d2h KhQc9c5s3s QsQd9s7c5s 
JcThTd8d4s JdTs8c6d3c KcQsJc8c5d JsTc9h5c2h 
KcTh9h4h2c Ts9d8d6c2s AdKsQs7s7h KhQd6s6h5c 
Tc9s9h2h2c AdQhTh9h2c QsTc8s8d3c QhQd8c7c2d 
KcJhTs9c2c AdQh9h8s5h QcTd8s8c3d Qh9c7c5h4d 
AhTs6s6h3h QhJsTc5h3h KcQdJh6h4s AdKcQc9c6c 
Js9c6d5s4d AsThTd8d4c Th8d6d5h4h JhTs8s8d2h 
AcQsQh3d2s 9h9c5c4h4d 8h7c6h5s3s Ah8c5c2h2d 
ThTc9d8s6d Kh6h5d5c3d AsJs7h4c3d QcJs9h6s2c 
KcQc5d4h2d Jc7h7c5h4d Kh6s5h5d3s Kc6h5s4s4c 
AdTc9s7s7h QsJc8d5d5c KcJd9c5d5c KhTsTd9h2c 
QhTsTh5s2s QdQcTs7h4s AhKs8d4d3s KhQdJh6s3c 
QsTd8s5c2d AdQh8s8h5c QsJdTs9s4h QsTh8c5h2s 
AsAhAcQs2s QdQcJdTd3d AcKhJc6s3c 7d7c6h5c3d 
QcTh9c3s3h AhKcQh9s2h AhJh7s4h3s AhJdTh8h2h 
AdKsJs4s3c AsJhJc9d5d JsJd6d5h5c JhTs9d6d2h 
Jc9d6s5s4c Jc8s8c5s5c QsJsTsTd4h AdTh8h3d2h 
AdJd9h8c4d QdQc7d4c3d QdTdTc9s5h KdQdJd8h5s 
KsQs8s7h6d AdTc7d3c2s JsTs7s5h3h KhQd9c8h3c 
JdJcTh6s5s AdQh9s6s3h KhQc9d5h2d Td9h7h5d3s 
AsQc8c4s2s AsKs9h3c2c Ac8h7h6s4s QsJsTsTd6c 
As8s8h7h3s KdJc4h4c3d Kh6h5s5d3s Qc9d7d6h3c 
Kd9c7h6h6c JsTh5d3s3h AsQcJs6h2d JdTd6c4h3c 
JsJhTc3d3c KhJsTd9c2d Jh9h9d5d3h Ah9h7h7d3d 
JsTc8s6c3c QhTs8s6h3h AhKd6h6c4h QsJhTh8h5c 
KsJdTs8c3h KhQcTc8s4d KdQc8s7s4c KhKc6h2h2d 
KsJcTd9d2h AcKc9s3h2h AdQhTs8c2h KcTc9h5s2s 
Ts8c6s6d4c AcQhQd6s3h Jc8d7c6d4d JcTd8s4s4d 
Ts9s9d8d4c 7d7c6h5d3c AhJd7s7h6h QcJh9d6h3d 
QdTsTd5s2s JsTh8c6h3c 7d6s5s4d3c QsTh5h4c2s 
Ks9s8h7c4h Kd9c8s7h5d KcJc6s5d4h KdJsJc8c2s 
AcQd8s5d2s 8c7d6h6d5c Qc9s8c5s4s Ad9s7c6d2c 
QdTd7s7h4h Qs8s7h7c5c Th9s7h5c3s QcJdTsTd3d 
KsQd7h5d3h Qs9h8s8c7d AhTs8d6c2h KcJdJc4s4h 
QdJhThTc6h AdJh8c7c6s Th9c8h8c5c QdJhTc7s4h 
KsJs7d6c5s AcJs6d5c3h AsKs9d8s4h KsKcJc8c3d 
KcJs7s5h2c As7h4h3s3c JhThTc6s5h QhJdJc5c3s 
Ad6s5s5d4d Ad6c5c2s2d KhJs9c4s4h QdJd9h8d6s 
Th9s8d5d4h QcJc6d4h3d AcTc6h4d2h JsThTc9h4d 
AsQs4h3c2c QsQc7h7d4s Ah7h6c5h4d KsTh6s4s4h 
AsTc6h5s3d KsJd8d7c4c AsKdJh9h6h AdKsQs9s6s 
JsThTc5d5c JdTh5h4c3c AhKcQc6c3s Kd9c7d7c3h 
JhJcTh4h4d AhQc6h5h4d AhQs4h4d3c KdQs8s6c5h 
QhQc9d7c2d AdQs7s3d2c JsTc8s7h5s KsQcTs9s5d 
9s9c7c5d3d KhJdTs9c3s QdQcJh4h3s Ac6d6c4h2d 
Ac9s8h4c2h AhKh7c6h5h KcQdJs6h5h Qc9s9c8d7h 
KsJd5d4d2s AhTh9d6d2h AhTs6s6d2h JdTd7s4s4h 
AhQhJs8d2h QdTh8h6d3h 9d9c7d5h3h AhJd6c5d4c 
AdQh7d6d2h QsJcTc6d4c Ac8d8c7d3c As9s9d6s4d 
Js9d9c8d7h AdQs4d4c3h AcJsJh5d4h KdJsJc8s2c 
Ah9h6s5d4c KdJh9h5c3c AcJc7s4c3s QdJsTsTh6s 
AsJh8c6d3s JhTc8h7s5h Kd8d8c7s6h QsQcTd9h3d 
JcTh9s8h6h KdJh9c4d2h QsTd8s8h3h As9s9h8c2d 
Th9s9d7h6c KcJs9h4c2s QcJsJcTc5c AdQdTc3h3d 
AcJd9h7c4c Ac8s7c5h3d Tc8s8h4s4c AsJs9s8d3h 
Ac8c6d5c3d AhJd8h6d2h 8s8c7c4s4h KhQsJd7d2h 
QsQh7h6d4h KhKc7s2d2c KcQc8h5c4h Ac9d7h6c2h 
AcJs6s4c3c TsTh8s6c5d JhTc9d8c6c QhQd7h7c4s 
Kd7s6h5h4s QsJhTs9s4d QsQc8d7d2c AcTsTd9h6d 
AhQcJhJdJc Ac6h5s5c4d AhJs9d9c7c KhJhJc9d4s 
QcJhTc7s2s KcQs9d8s7s AcJsTd5h5d QsTc8h5c2s 
Ts9h9c7h3c QsJcThTd2d JsTh8d7h3d QsJs9d7s6c 
JdTh9c6h5s Td8s6s5d4d JdTdTc6h6d AdKcJd6s3d 
AdTs6s5h4h AdQhTh9h2s TsTh8s6h2d 8s8d7c4s4c 
AcKd8s4s3d QhJdTs9h4h KhJc9h8h6d KdQd9h6c5d 
AhKc7c6s4c QdTd7h7d5h AsQsJc8h2s KcQsTh3h2s 
AsTh8c7h5h JsTd5c3s3d Td9h7h5c3d ThTc9s9d3h 
QsJsTs7c6s QhQcJc2s2c QdJd9h5c2h Jh9d7c5h3c 
Qc8h8c6d4d TsTh6s6h3s QdTs8s6d3d QhJsJc5d3h 
Kh7h7d6c3d Ah6d5s5h4c KhJsJc9h6h AsJc9h8c5c 
KsQhQd4s3s KhTc9h9d6h JsTh5h4s2d AsJdTs7s2h 
AdKh9d8s4d AsQc9h8c5c QhJcTsTc6c AsThTc6s5s 
QhJsJd7s6s JdJc9s6d5d KdTd9s7d5c 9s8s8h6d4h 
AhTs6d5h3c Js9d7s7d5s QcJcThTc4d KsJc9d4s4c 
AsQdJd7h7c Jd9s8c7d4s AsQsJh2s2c AcKs5h4c3c 
7h6s5d4h3d Ks9d7c6d6c Kc7s7c4s4d KhJcTh8d3s 
KcQc7s7h6d QdTs8c5d3c Jc9d7d5h5c Ac8c7h3h3d 
KhJd8c7s6d KdJs9s5c3c KhTs8s4h4d Qc8h8c5s4s 
JdTsTh9h4c QhJcTsTd5d KcQc9h6s5c AsJs8d3d2c 
As7c6c5c2s Ah8d7d2s2h AhJs6h5d5c AsKc8s6s5s 
KdQh6d6c5s AsAdAcTh6h AsJsTs7s3c KcTc7d6c4s 
JdTh8s8d3h 9h7h6s6c5c QsTh9s7s7d AhKd9s6s2d 
QcJh8d6c2h QsTc8d8c3s Kh9c8c7h2d KcJs8d5d2c 
KcQh8h6d5s 9s9d7c6s6h Ac9c6d5h4s KcQcJh9c5d 
KsQdJc7c2s Kd6d6c5h3h AsQd8h8d5c JdJc9h5s5d 
KdJc9c8s6h KdTd7s5s3d KcJd8d7s4s AcJcTc7c3d 
AdTdTc6c2d AcJs8s8h5d KsQhJs8s5d QhTsTh7h6h 
KsQh8c7h2s AcJc7s7h2h Th9d7h5c3d QsJd9s9c2c 
AsTd6d5h4h As9s7s7h5c AcKh9s7c4c KhTs8d7s7c 
KcJdTh9h2s Ts9s9h5d3h AcTd8h5s2c 8d8c6d6c3c 
AhKdQc3s3c JdJcTc4h4c Kd8h7d7c4h Ks8h7d6d3s 
JhTd8c5s4h Ad6c5c2h2d AdKcTs8c3c Th9c7h5d3c 
KsKcJs8s3d QhJc8s6h2c QcJsJh7s6s KcQdQc7s4c 
