AcJd8h4h2h 
Qs9c8d7c3c 8s8h5c3d2h Ad8d6d4c3d Kc9h8s6d2s 
Ac7h5d3h2d Jc9s7h4d3h Qh8s6c5s2s Ah8c7d4s3d 
Qd9h6h5c2h TsTh8d3c2h 8d7c6s6d2d AdJh6s5s2c 
Qd8d7d5h2s Ad9c5h2h2c 8s8d5h3c2d AsQc4d4c2c 
Jc8s8h2d2c Th8h5s5d2c Jh8c7s3c2h AcKc9c2d2c 
Th7c6s3h2s Qd5h5d4d3s KsTs8s4h3s Qs7h6c3s2c 
AcQc4h3c2c Jd8h8c6c3c Kd6c5c4h2s 8d7h7d4s2c 
AcQd8d3s2h Td9d6d4s2h As6c5h4c3c Kh6s4c3d2h 
6h5h4s2d2c Qh9h4c3s2s TdTc7d2h2d Qs9h6d4h3h 
KsJd9d3c2h 5d4s4c3c2d Jd8s6d3h2s AhTd4s4c3d 
Ah9s7s3d3c 9d6s6d4c3h QsTc7d4s2s KcJs5s3d2h 
Ts7s5s4s3c Ts6s6c3h2h Th6s4s4d2d Js8s5h4s2d 
QhJh8h6s2h Th8h7s6h2h KhJs9s3d2c Kc9d8s7d3d 
QsTh7c6d2d 6d5h4h3h3c Ac9d4h3s2c Js8s6d5s3s 
KsQs7d3s3h Td5h4d2s2h Jh7d7c6c3c KdQs6h3h3c 
Kd8h6s2s2h 9s6h6d4c3h AdTc8c3s2h KcTh8c4c3c 
9c6s6d5h2h Qc9d6s4d3d Td8c7h2s2d KsJs4s3c2h 
9c5h4c3h2c Qs9h6s3s3c Jh9s8c4d4c Qs9h5s3s3c 
Tc6c5d5c3s AdJc4s4h3s Qc7s6h3s2c QdJc7h5h2s 
Js8h6d3s2d JsTd7c3h2s Tc6h5h5d3s Td7h7c3d2c 
Ac9s4c3d3c Ah6c5d4c2s JsTc4h3c2d 8d8c4d3c2d 
Jd7s6d4d3h QhTs7c6d2c AsJh4h3h3c 6d4d3c2h2c 
QdTd4c2h2d AhTd5s3s3c AdKd9d2s2d QcTd8d4d2d 
AcJh5s5d2h Jh9h6s3d3c Ks7h5d2s2c 8s8c4c3s2c 
Js9d7d4d3d Kh5s5d4d3c Ts9d6s5s2s Kc6c4d3h2s 
Kh8h7h7d3s AhQs5s5h5d KdJh8d6d3d Ah7d7c5d2d 
KhJd8d4c3d Js6d4d3s2h QsJd7c2d2c Jh9d7h6h2s 
Ad8s8h6h3h Ad5s5h2h2c Jc6s4h2s2c Js8s8h4s3c 
TsTc7d4h2c Qh4s4c3s2h Jd7d5s5c3d Kd7h7d6d3d 
Jc8c5s4c2d Kh9d5s3s2d Th9d7h4s2c Qs8h8d7s2c 
Qs9c8c7c2h Js9s6h4c3s KcJd9h6s2s 9s7s7c5d2s 
AcQc6c4s2c KsTs7s5c2s AdKs6h6c2c 9c8s5c4h2c 
Kd8d7s3s2s KsQc9h7c2c 9c8s6d4c3c Ts8h7h3c2c 
KcTd5s4h2s Ks8h7h6d3h Tc6s6c4c3h Kh6c5c4s2d 
Kd8s5d4c3d KcJh6s6h2d Ad9h7s4s3c JhTh6h6c2s 
Qc7c6s4c2s Js6d4d3h2s KhKdKc6c2d 9h8s5c4c2d 
AdJs7d4d2d Jd6h4s4d2h Jc6c5d4h2s Kc5c4s4d3c 
Qc8c5s3c2s 9h8d8c4c2s Kd9c8s4c2s Ks8c6h4h4d 
Ac9h7h3s3h KcQd9s7s2h Kh8d7h7c2h 8s7s5s4d2s 
KcTs5c3d2c Qc7d6s4h4d 9c7h7d4d3d 9d7h4c2h2d 
Tc8s6h6d3s KsQc9c4h2c Kd9h8h7c2h As3d3c2d2c 
8h5s5c4c2d KsQc8d4s2s KsQd9c4c3c Ks6h4d2s2c 
9d6s6h4c3h Qc7s6d4h4d Jc9d4s3h3c ThTc5c2s2c 
Th8h7d3s3c KsJd8d4c3d ThTc7d4s2c 9s8s5d4s3h 
AcKc9c2h2c Tc9s4h4c3c Ks9s9d4h2c Ad9d6d4d4c 
Js9h4s4d3c QhTs4s3s3d 8h7h7d4h2s 6h4s3h2s2d 
Td9s6c4s2h JhTs6d3c2h Qh8c5h4h2d AcQhJsJhJd 
AcTs7h6d2h Th8c7d5c2c Ks9d8d5c2h AsTd7c4h2d 
7c5c4h4c3d Qc7h5d4h3s Td8c7s7h2h KdQc8c7h3c 
Qd9d9c4h2s Qs7h6c4d3c AdJs9h6c2h Qc9c7h6c2d 
AcJd9h6s2h Jh9d5d4d2c Kc9h5s4h4d KhJd8s4s3c 
Kc9d6s5d2h Kh8d5h4h3s Ks7s6s3c2c Js8h6s3d2h 
Jh6h5c4d2s KhJh8d6h3h Kd8h4d3c2h Kh9d6s5d2c 
8h6s6d4s3s Qs7c6d3s2d Qs9c8c7d2c AsQd8h3d2c 
Js8s7d3c2c Kh9c8s4c2s KhTs8h4h3h Jd8s7s3c2d 
Qh8h7h6d2s 6d3h3d2h2d Jh9c6c5d2c QdJh6s3c2d 
QhJh3s2d2c Jh7c6h5s2d Qs9h9d6d2d Td8c6s6c2c 
Ts7s6h5c2d AsTh6h5c2h Jh8h6d6c3s Jc6d5s4s3s 
7s6c5c2h2c Kh9d9c8s2c 9s7c6d6c2h Jh8c6d3h2d 
Ts6s5c3c2s 8c5d5c3d2c Td8c7c3s2s 9c7s4h2s2c 
KdQs9h7s2s Qh8s6d5s2s KdTh6s4h2h Qs7c6c4h2h 
Ad9c7s4h3h Qc7s6s6d3h Qs9d7h7d3d AhTh5h4c2h 
KhJsJhJc7c Td9s9c3s2s Jh9d7s4s3s Jd9d5d4s2c 
7h6s5h4h2h Qs7h6h2s2h QcTs9s3s2s Jd7d6s4h4d 
Th5d4c3c2h Kh5s4h3h3c Js7d6s4s3c JhJc7d4c2s 
9s8c5s4d2s TdTc7h5c2c KcJd5h4h2h TsTh7c4d2s 
QdTc7d3h3d QcTs6c4c2c Ac8h7s4d3s KsQh8d5d2c 
Qh9h9d2h2c 6h4h3c2s2c Kc9h8h7h2s KsTc6h3h3d 
7c5h5c2s2c Qs8s5s3h2h Kc5d4c2s2h Ts7s6s5h2d 
KsQd8d8c2h AdKc8s3s3h 9d7h7d6d2s Qs8s5d4s2c 
KsTh7c4h2d KdQd4s2h2d Jc8h4h4d2d Jh6d4c3c2h 
Td8d6h5d2d Kh8h4c3c2s AhTh8s3h2h AsJh7h5h2h 
As7c6c5d2h QhTs4s3s3c KdJh8s4h4c Ac9h7d3s3d 
Qh9c8c6c3c Qc6h5d3c2s KcQh6c3d2c Jd9c8d6d2d 
AsTc8d3h2c Qd7d6d4s4c AdQd7h3d2c Ts9d4h4c3d 
Qs8h6s6d3s Ks5s4h4c3s Th6c4c3d2h Ks9d8h8d3c 
8s6c5h5c2c Th9c6d4s2s Ad8s5s5h3c Qh8s4d3h2d 
Jh8d7c5s2c 8c7s6h4s2s Td8c6s6h3c KsJh5c3h2d 
Kc7s6s4s3d KsKhKcTs7d QcTc7c4s2d KsTh9c3h2h 
Ts9c8d3s2s QdTd7d4c2s Jh8h8c7s2h Qs7h6s3h2d 
Td8s7c5s2s JcTc7c4c2s QcJh8c3d2s AhTh4h3s2c 
9d8s6d4d2c Ad8d7d3d3c KdJh7h6h2c 6s5c4c3d3c 
KcTd9h3h2h Th5h5c3s2c AdJd9d3d2s KhJd9s3h2h 
QhTh7h6d2h Jc7c6h4d4c 6h5s4c2d2c As8d5s3c2s 
Qd8d5d4s3c 7s7h6c4c2d Ac9s7h3h3d Qd8s6s5s2c 
Ac7h5d3d2h AsTd9d3d2h 9s9d8h4c3d Tc6s4s3h2c 
8c7c6c3h3d 8d6h6c4d3d 9h8s8c4c3d 9h8s8h3c2d 
6c4c3d2s2d AsTc7h6d2h 9d6c4s3s2c Tc9h9d3h2h 
8d5s5h3d2s Ac9d7h3h2d KcQs9d4c2c Qd7c5d3c2c 
Jd8h8c7c3s Ah6d6c4s3d Th7d6s3s2h JcTd6h3s2c 
Kh6c4s4h3h AsTd5d4h2c 9s6h5d4d2c KsKhKd8h4d 
Ah6c5s4c3c Jh8h6s4d3h Kd8d4c3c2h AsTs5s4h2s 
Kd8d5d4c2h Jc6d5s2s2d Jc8d7h4c3c 9c8d5h4h2s 
AcTs6d3s3h Qs8h6d5h2h QsJs8h3c2d Js8d6s3h2d 
9s8d7c4d3h Tc8s7d3s2d 7c5s4h4c3c TdTc7h5h2s 
Ks9h5c4h4d KhJd8c2s2h Qs7d5c4h3h Jh9d7d4d3s 
AsTc6s3d2s Tc8c5h4s2c Ks9d8c6h2c AhJc6c3s2s 
9h6d5c4c2s Jc9d7h5d2d 9d8h6d4d2c Jc9h5d4c2c 
Kh9d6c5d2s Qc7h6h3c2s Td8s7s7c3s Js8d6s5s3s 
Jd7d6s6d4d AsTh8h3c2d 9h8s5d4c2c 9d8h6c4c3c 
AsTs4h3s2c KsQsQhQcTd Qh8d6c5d2d Th8s6s4d2s 
QhTh6c3s2h Kh6d4c2s2h 7d5d5c2s2d Kc6c4s3d2h 
AcJc8c2s2c TsTd7h4c2d Kc6h6c4c2s QsTh7s3s3d 
Th6d5c3c2d Ks9h9d8c2c Kd6h4c2s2d KsQc4h3c2c 
Ks9h8d6c2d KcQs9s3h2d KsJd8s3c2h 8s8h7s4s2c 
Qs9c5s3s3d Jd9c4h4d3s Kd6d4c3s2h Js9d6h4c3c 
9c8d5c4c3h 6s4c3s2d2c Jh7d5h3h2d 7s7h6d4c2c 
Qd6c4c2d2c 5c4h3h2d2c KhJs5s3c2d 9d8s5s5h3s 
KdQh8s5s2c KcJc7s7c3c Kh5c4h3h3d QsTs5d3c2s 
Ac9c5c4s3c Qh9s5h3h3c Jc9c7d3s3h Qs8c6c4h3d 
Tc8s7d4s3s Ks8h6s3s2h AsTc8h3d2c Td9h8d3s2d 
7s7d5h4h2h KsTd9s3s2s Tc9h8c3d2c Jh8s7d3s2h 
KdTc5d2s2d Qs9c7d7c3h Td6s6c5c3c 5s4d3c2s2d 
KdQd9d4h2c Qh8d6d5d2c Qs7d7c5h3h AhQs7s3s3d 
7d5h3d3c2c KhQd8h4s3h Td6d5h3h2d KcTh7d5d2s 
7c5c3s2s2d KdTc8d4d3d Ts6h4d3h2s KsQh8c5c2d 
As9h4s3s3c 9s9h4h3s2s Kc9s6h5s2d AsQs5s4s2s 
6h6c5d3c2s QdJs3h3c2d JsTh5c3c2c Kh9s8c5s3s 
Tc9c8c3d2h JdTd6h6d2s KdJd4h3d2c KdQc5s5h2h 
Td6s5c2s2c KhTh9h2h2d Qs5s5h4s3c Jd8h5d4s2d 
Qs6s6c3s3h 9h8d5s4c2c 6d5s5c4c2c 9s8s6s6c3s 
5s4d3s2d2c 6s5d4c2s2h Jh9h7d6h2c 8d7s6c4s2s 
Jd9c4s4d3h Ts6d5d4d4c Js8d5s4h2s Kd6h6d4d3d 
AcTd9d6d2d AcQh6h4d2h 8c7h6h2s2h AdJh6c4h2s 
AcKh9h3h2s AdQd4d3h2d Ah7s6s5c2d QhJs5d3c2d 
AhQh4h3d2h Qc8h6d4s3d Kc7h4d4c3s KdQs8h6c2h 
Qh9s8c7s3s AdQc8c3s2h 7s7c6d4h2c 9c6s6d2h2d 
8h7s6d2d2c Jd8h5c4h3h Kh9c8d8c2s 9s8d5h4d2c 
Js8d7h5h2h Qc9s8c4h2d QdJs6h4c2c Ah9c8c4d4c 
Ts7c6s3c2d Js6c5h4h3h 8d7h6c4h2h 9c8s3s3d2c 
8d8c7d4d2h Jh8h8c6h2d 8h7d6s4d2d 6s5h5c4h2h 
8s6d5d3h2c Ks6d5c4c2h Ac9d7s3s2d QhJs7d4d3d 
KcTh5d4s2d Kh9c8s7s3s QhJs5s2d2c QdJh5h2s2c 
As8c4h3h3c AdTh7c4s2h 9s7d6h6d2c Tc5d4s3d2c 
Tc8c5h4d2c Ad8d6d2s2h Ad7h6s5h2c Qs9d8d6d3d 
Tc9s6c4d2c 6s4d4c3s2c Jh8s7d5c2s 6c5s5h4s2s 
Jc6c5h4s2d Jh6d4d3h2c 9h8c3s2h2c Qc8h7h6h3s 
Jh8d6s3d2h AdJc6h3c2h JsJc4h3s2d Js6c4c3h2s 
6d5d4c3s2d Qh6c5s5c3d Th8s8h7h3h Jd8d7c4h2s 
JdTs6h3c2d 9h5c4c2s2h Th9c7c6c2c AcTd8h3d2s 
Kc9c3s3h2s Ks8h7s4d3s Kd6s5c4s2h AhTd5d3d3c 
Th6h5d2h2d AdQd9d2d2c Qs9s7h6s2c Ts7c6h3s2h 
KsJs5h2s2c 6s6c5h3c2d Ah8d7c4s3d Ac8d4h4d2h 
Kd6d5s5c2d Ks6h4c3d2s 9h7s6h5h2h Qd9h9d8d3d 
Js8d5h4d3d Ts7h7c3s2c Qs8s7s6c2d AdJs6c4h3h 
KsQh9c4c3c Kc9c8c7c3d Js9s8d3c2h KdTh9c3h2h 
AcJh6d4s3s Tc8h3s2h2c QsTs6s4h2s QhJd4s3c2d 
Th9h8h3c2d Jd7d5s5h3d AdJs6s4s3h Kc7c6d6c3c 
Jc6h4d4c2h Qs8h6d6c2s Js9c4h3s3d AdJh6h3c2c 
Jd8d6s6h3c Qd9s9h6c2c AhQc4s4d2d Ts9h7s5s2s 
6h4s4c3s2c 7s5d3s3c2c JsTs5s3h2s Ts8h5c4c2d 
Jh6d4s3s2h AdQs8s4s3s Qd9s8c7h3h AhJd6s3d3c 
AdJc4c3s3c Qc8c7c6h2s Jh9s3h3d2d QhTs5s3d2c 
Jd8c4s4c2s KdThTc3h2h As9h7c5d2c 9s8s8h3d2c 
KhQc3d3c2s AsJd6h4h3c Jd3d3c2s2c Ah9s7d3d3c 
QhJs7c5c2d Ks6h4s4d3s 8s5c4s3s2c Qh8s6c4h3h 
KhJh7h5d2h 9s8h5h5d3h AsQh4d4c2c QhTh5s3d2h 
Jh9d7d5s2d Kc9s5h4s4d Kd9d3s3c2c 9h6h3d2s2d 
Ts7d6d5c2h Kc8s7s6h3s KcQh9s7h2h Kc9h5s5h4d 
Kc6c5d4c2c Jc8h4c3h2d JdTc4h3c2c QdJc9c3s2c 
KcTh6c4c2c KdJc9s3d2d Ts7s5s4s4h Qc8s6c4h3c 
Tc8d4c3c2d 7s5s4c3s3h Qh7c5s4d3d Jc9c5s4d2c 
Jd8h8c7s2h Kh5s3h2s2h 8c7c5c2h2d Kd7c6c4c3h 
Ks7s6s3d2d AdJh7d3d2s Jd8h5s4c3s Kc9h6s3c2d 
Ah9c5d5c4c Tc9h4d4c3c KcTs6h4d2d Ad9d5d4c3d 
AsTh6d3h3c KsJc9h4h2d KcJc7d4s2c Ks5h4s2d2c 
Jc8d5d4h3d Qd7s6h3s2d Tc6h5c2h2c 8s7s6s4c2d 
QcTh8h2h2d KcJd5c2s2c Tc6d4h2d2c Th6h5s4d2c 
Td9h5d4d3d Ad9h9c3h2c Tc8c7d3d2d AdKh9d4d2d 
Qd8d5h4d2s Th7d6s3h2s Ts9s7h6s2s Ks8c7d5d3h 
Th8s3h3d2d QhJh8s8d3h QcJh9d4d2d KsTs7s5d2s 
9d6s4c2d2c Qd9h9c6h2h Td6s4c3c2d 8d6s5s3h2c 
Kd9h6s6c4h Ks8h7c6c3c 5h4c3c2h2d Js9s5c4s2h 
Qc9d4d2d2c Qd9c7h7d2s AcTc6s3d2c AhQs5s5h5c 
AhTh6d3h2s Td9h5c4d2s 7s5s5h2s2d Td6c5c3d2c 
Qd7c6c4h2h JdJc5h3d2d QsJh4h4c2h Qh7d6s4s4c 
AhJh6d6c2h QsTc5c3h2d 6c4s4c2d2c KdQd6d4d2s 
9d8c5d4s2d Ts5c4s3d2d QhJh7d5s2h QdJc8d3h2s 
Jh6d5s5d4d KhQh9h5d2h KhTd7s5s2c KhQh9h9c4h 
Ks8s5d4h2s Qd5s3s2d2c KcTs8d4h2d 9d6d4s4d2s 
Ks8s5s4c2d Ah8d7s6s2c AdTh5h5c2s Ts6s6c5h3s 
Kd8d7s7d3h QsJc5c4c2c AdTc4s3h3c Kc9c8c7h2c 
Th8d7s7c2s Qc9d3h3c2h Jd6c4h3h3c QsJh6c3d2s 
QcTc8c3h3d KsQd9d4h2d Kh9s6d6c3c 9s8d7h4s3c 
Td9c7c6c2c Ks9c8h8c2d KcQc9c4s2d Qc8s6d4s3h 
Qd8h6s6c2d KsTs9s2s2h Th7c4c2s2h 7s6c5s2s2h 
JdJc7d2s2d 7c5h3s3h2c Th6c5d5c3s KhTh5h3h3d 
Qh8h7s7d3c 9h8d7c4s3h Js8c4d4c2d 9d6h5c4c2s 
8d7d5c4d2d Qd9c4c2d2c AhKd6s6c2s Jc6d4d3c2h 
8s8c7h4d2d KcTs9d3s2s As8s7s3s3d 7s5s4s4c3h 
Qh9s8d4h3c As9s9d3h2s Ks9h4d3s3c Qs8h8d7s3c 
9s7s6s3s3c Qc9c4s3d2d AdJc5h4s2s Qc7h6c3h2s 
KsKdKcTs7h Js9s6s3h2h Ac9d8d4h4d 8s8h4d3d2s 
KcQh8s6d2s Qd9c5h4s3c Qc9h6s4d2c KhJc6s4d2c 
Th9s5c4c2d Tc9s6d2s2h JsTs6s4s2h Jd7h4d2s2h 
Jc8c7d4h2s 9s7h6s5s2s Qc9s8d7h2h AhTc9c3c2s 
AcQs8s3s3d KsQc8h5d2d KsTd9h3d2d Tc9h7s4c2d 
AhJc6d4d3d AhJs6s4s3c Th5h5d3c2d Qc9h9d6s2s 
Tc9d5h4c2s AsTc6d3s2s 9s7c6h6c2d 9c6h5s4s2d 
Kh5d5c4c3s AsJh6d4d3c Ad8h7s7c2h AdTd6c3d2s 
Td6c5s5c3h 6c4s3h2h2c Tc9s7d7c2c Js8d5h4h2c 
Kd5h5d4c2d KsTc3h2s2d Qh8h7c3h3c Qc9s9c4d2h 
Kc7s7h4c2d AhJd7h6h2h Qc9s6s4h4d Qh9d3s3h2s 
Ah9d9c3c2d Qd7c6h6c3s Qs8s5h3h2s Qs8c7s4h4d 
Kc6c5h4c2c Ac7s6s5d2h Kc9h8s6d2d Qc9d9c5c2c 
KsKhKd6s2h KhJs9d4d2c Kc6c4h3s2d Ad9c7h3s3h 
Kc9s5s3d2d JdJc4h3c2s 8c7s7h4d3d Tc9d8d3s2d 
Ks6s6c4s3s 7d6s5s2s2h Kd9h3s3d2s AsJh7d6h2c 
KhQs8s8d3c Js8d4d3s2c Ad8s6c5h2s Qs8h7c5h3h 
AcTs4h3s3d Jc8h5s4h3h AhQs9s4s2c TsTd8h3c2d 
AhTd8d3c2s AsTh4h4d3h Tc9d4d3h3d Tc6s5d3d2s 
5h4c3h2d2c Kd8s7c6s3s KhTd7c5c2s Jd9h5s4d2d 
AcJd6s6h3h Kd8c5s4d2d Ks5s5h4d2s 7s7h5c3s2d 
8s7h5d2s2c 9h7h7d6h2s 8d6h6c4h3h Tc9c7h6c2c 
AsKh9s4s2s KsJsJhJd8d AdTd6s3c2d KhQh7d3s3h 
Td6d5d5c3h QhJc6s4d2d 6h5h4c3s2h Td6h4c3d2h 
6d5d4h3s2d QcTh8c2s2c Jh8h7c4h3s Kc5c4s4h3c 
Tc9c5c3h3c 9c8c5c4s4c Ts5h4d3d2s Qh7d6d2h2d 
Kh9s9c8s3s ThTd8s3h2h KcQs6d4d2h Qh9s9h2h2d 
9c8s5c4c3h Js6h6d5s3c Td5s4c3s2d Th9s9c3h2h 
AsTh8d3c2h KhJs8d4d3c Kd9d8d5c3d Js9s8s6s2d 
AhJd7c6s2d KdJsJdJc7s Td9h8d3d2c Td8c3s2d2c 
AsJc6c3h3d QsJc7s5d2s KcQc8c3h2h Td9h6c4s2c 
AsTc5c4c3c Js6c4s4d2c 6h4c3d2h2d Ac9h8s3s3d 
Ah9h5h4d3h 8c7s7h4c3d Ad6s6h4s3c Ah9s8d3d3c 
KdJd5s2h2d AcTh9d3d2s 8c6d6c4s3c KsQd8h5h2c 
Td8s7c2h2d Td8s7h3h2s KsJsJhJd8h JcTd6s3h2c 
Th8s7d4h2c Tc9d8h3c2c Kc8c5c4d2h Kc8s7c3s2s 
9s6d4h3d2s Kd8d4s3s2c Kc9s5c3d3c Ts7d6h3h2s 
TsTh7d5h2h Th9s7d2h2c AhQc7h2s2h JsJh7d4s2c 
Kh6c5h3s2h Jh9s7c4c3c 7d7c6h4s2d Th9s8c3h2h 
Kh9c5h3s3h Ts9s8c4s3s Js8s5c4s2h 7h5h4s3h3d 
As8d5h5d3c AdJc6c3s3h Ks5h5d4d3c AcQc4d3c2c 
Tc9s7h7d2s QcTc6c4s2c Jh6s5s5c4s Tc7c5c4d3c 
8h7s7d4h3h KhQsQhQdTc Ac9c6s4c2d KcQd6c3h2c 
Jc9c8d4c3s AsTs4c3s2d Qs8h8d7c3s KhQc8s6d2s 
Ah9s9d3d2s KhJd9c3h2h Th8s7s7d3s 9d6d4h3s2h 
Jh8d6h4h3c Ts8h7d5d2d JdJc7h5h2h Jc8c4h2h2c 
Td9c7h2s2d Ad9s9d3c2d Qc7d6h4s4h 8c5s5h4s2d 
AsJc7d4c2h Ad9c5h3h2c KdTc8d2h2d 9c7s7c5d2c 
6h3s3h2s2h Kd8s5d4h3d Ac8c6c2s2h Jh8s8d7c3c 
9h6c4h2d2c AdQh9h4h2s 6d5d4h2s2c AcTd8s3d2h 
Tc9d7c4h2s Tc9c4d3h3c Kd9c8s7s3s Qs9s7d6s2c 
Tc8d5h4s2d 7d7c6s4s2h Js9d3s2s2d JdTc4h3c2s 
9c8d6d4h2d AcJh6d3h2d Kd6c4h2s2d AhKs3d3c2d 
5c4d3d2s2c As9h9c3c2h AsThTd3h2h 8s6c5h3h2d 
6c4h4c2s2c Qs8d6h4d3c As9c5d3d2c Js9s6s3d2d 
KsTd5s5c2s TdTc8s3h2d AdTs8c3h2s Qs7s6d4s2d 
QdTs4s3s3h KsQs8s5s3c 8h6c4h4d3s Td9c7s7h2c 
Ts9s5s3h3d KsJh8d4h2c Js7s6c2h2c 6c5h4h3s3h 
Qd8h7c5s3c Kc9c3s3d2d 9s6d5c3s2h Jh8s5c4d3c 
Ks9d8c6d2d 7s7c6d4h2s Ks9h6d6c3d KcQh8c4d4c 
AhQh7c3h2d 9c8d5s2h2c Jd9d5h4c2d KdTs6c3h3c 
KsQd7c5c2h QhTh6s3c2h 9c6c4d3h2d 9h6d5c3h2s 
Kc7c6c3d2d Ts9d7s7h2s Th8h5h4c2d Ts6d4c3s2d 
JcTc3d3c2h AhQc7h2h2d QhJs7c4d2h Kh5d4h3s3h 
8d6c5c3h2s AdTd4d3c2s Td8h8d7d3d KsQd4d2d2c 
Kc6h4d2s2c Kd5d4s3d3c QdJc7s4h2d Js6d4d3c2s 
8h8d4d4c2d QdJs8d4d3d Ah8s8d3d3c Kh9c6h3s2d 
As9d4s3s3h 7c5c4h4c3s Js7c6s4s3h Td8d5s5h2c 
Jc9d8h4s4h Tc8h6h5h2h Jh5s5d3s2h KdQd9s9d4d 
Td9s7c5s2s Qd8s8c6s2h 7h5h4s3h3c Ac9s3h3c2d 
Kc8c6s3h3d Qs8s8h3d2h JhJc7s4c2d QsJh7s5c2s 
QhJd4d4c2d KcTs7s7h2d 9c5c4d3h2d KsQh7c5c2d 
Td7d6d5s2c Kc9h3d3c2d 9c8h7s7d2h KdQd8d5d3c 
8s5d5c3s2d Td9d6c4d2h QsQdQcJdTh 8d5s5h4h2c 
JcTc7s3h2d Jc8d8c5c2c 9h8c7s7d2c 8c7d5d4d2d 
Qs8h4d3s2d Ac8c6c2s2d 5d5c4d3c2d Jd9h7h4h3h 
Ks9h8s6s3s Ks9d5d5c4h Jd8c7h5s2c JhJd6s6c2s 
9s8c5h2s2d Th6h6d5c3h Jh8h6s3c2c Jc5h5d3h2c 
Th9d4s4d3d KdJh8d3s2c KdTd7h7c2d AdJs6s4s3c 
Kh8c7d4s2h 9s9d8c3h2s Ts9c8s3s2d 7c5c3h2s2h 
7c6d5h3s2c KcQs6h3h3d Jd8d6c4s3d Th6h5h5c3d 
Kc9s8h6s2s Tc9c6c4d2s KdJc5h3c2s Kc8s5c4h2c 
TdTc4s4d2d Kc9c8s8c3c Kc7h5h5d3s As8d5d5c3h 
KsJh6h6c2d Ts6h6d3s2d Ks9s7s7h3s Jh9h6h3c2c 
KsQd9d4c2d 6s4h4d3s2h KcTs6h4d2h 8d7d5h5c2s 
KdQh9h3s2c KsJc8h8d2c Qh9d6s4c2h 9s8h5d4d2c 
KdJd4c3d2h Jh9s6d4h3h Ah9c7d5s2d KsJh9c3d2h 
Tc8s8c7c3c 9c6h6d2s2c JcTh6s3d2c Kc6s6h4d3h 
Jh6s5c2s2c Qh7s5h3s2s Jc9h7h5d2h Jd8c5h4s3h 
KhJs9c3d2s Th9s6c4s2d Js9d7c5h2h Kd9s8s8c2h 
QdQc7s3h2d Jc8h5d4h2s KsTd5h4c2h Qs6d4d2s2d 
Qd8d8c3s2c Ks8h8d4d3h Kd7c6d3s3d 9h8s7h7d2h 
8c5s5d4s2h Ah9d8d4s4d Ks9s7s7c3s KhQd8s5s2c 
Ah9d8s8h8d Js6c5s2s2c KdJd8d7s2d Ts8h3s3h2d 
Js8c7h3c2s 5c4h4d3h2c Jd5s5c3c2d AhJd7s4d2c 
AhJs9d6s2s 9h6h5c3d2s Qh7c6d4s4d Kc8h7s4d2c 
Jh9h6c3s3d Kd9h8c7h2h QdTh5h3c2s Kh8d6c2d2c 
Tc8c7h6c2c Kd7h5s5c3s AhTd6c3s3d 5c4d3h2d2c 
Qs9s9d4h2c Kc9s8h6d2h Kh8c7s5s3d AcQc7d3s2c 
KcQc9c4h4d QhJh8d8c3h 6d3s3h2s2h 9s7h7d5h2h 
AdQs9h3s2c Jc9d5d3s3d AcJh6h3s3d JcTs4d3s2s 
AhQh8h7h2h 7s6h5d3c2s Kh6d4s4h3h Jc3d3c2h2d 
Jd8s6d4d3c Qh9d8c7s3s Qc7h6s6h3d QsJs7h5c2s 
9c5d4d3h2h QhTh5s2h2d Ks6h3s3h2h Kd9c5h3h2c 
KdTs8d4d3d Kd8c4d3h2c 7c6h4h3h3d QsQh7d3c2h 
9d7d7c5h2d Tc9s9h3d2d Kh8h7h4s4d Ks9c6h6d3c 
KdJd7s3h3d AcTs6c3h2c Jc8d7s5h2h 7c5s4s3h3d 
Ks8d5s4c3s KhTd7d3s3c QcJh4s4h2h KdJh7h6h2s 
Kc9s3h3c2h Qs8s7s5d2c Qd9c8c7h2c Jc8h6c3h2d 
AcQs5s5d5c Jd7c5d3d2c KcTs7s3h3d Tc9d7d6d2d 
As9d7h4c3c Ac7s5h3s2h 9h8c5s2h2d Kd8d5s4d3c 
Js8h8c7d3d Kc8d7c4s3c Qs8s7s7c4s KhQc9c4d2c 
8d7d5s5h2c 9s6s3c2h2c AhQc4d4c2c Ts8s5s4h2d 
Jd9d7s6d2h AsTd6s3h2s Td8d6d5s2d KhJd8s8c2d 
9h8s8d4d2c QcJd5d4d2d Qd7s6h4h4c Jh8s8c7d2c 
Qs7h7d5h3c KcTd6h4s2h Qd8c7c2d2c Js8h8d4c3s 
Kc9d6d3s2s 9s6s4h3c2h Qh9h7c6h2s JsJd7h6d2d 
Kc9h9d8h3h ThTd7s4h2c QhTh7h4s2d ThTd5s5c2s 
Ks8c7s3c2c KhJhTh6h2h 9h6s6c5d2d AsTd4h4c3d 
Td8c5s5h3h KcQd8d6d3d Jd9h7h6s2c Js9h6d3h3c 
Qh7s6h3s2d Jc7d4s2d2c Jd8d6h3c2c Kc9c6s6c2h 
Qc7h7d5h3s AsJh9h6h2c Jh9h5s4h2d Jd8h5s4h3h 
As8c6c5d2c Td9d6h4d2s 8h8c7s4d2d 7d5s4d4c3d 
Td7c6h3d2h Qd9s7h3d3c QdJs5c3h2c Td9c8c3h2c 
9d6s6h2h2c Tc6d5h3h2d 8d6d4s3d2s 7c6s5d3h2c 
