Tc9c8s8h5d 
As8c7h5c2h QsTd7s5s2d KdJcTc4s4c Kd8c5c4d3d 
QsJc7d5h3c KdTd4s4h2s KcQsQc3c2c TsTh9h2h2c 
Qc8d6c4d3d Qh8s7d5d2h JsJh5s4c3d Kh9d7d3h3d 
KdQh8h6h6c 9h8c6d5d4d Ks8s8c4c3h QhTc9h3s3d 
TdTc4d4c2d QdJh7c5s5h QhJd8c7c4s Qd9s9d5c3h 
7s7c5d4c2d KhTc9d5s4d KcTc6s6h4c Qc5h5d4h3c 
9c6c5h4h2d AcKh9c4d3c QhQc5s4s2d Jd9s7d4s3d 
Td7d6c3s3c Jh8d6d4c3h Tc9h8c7c5c Jc8s8h6s3h 
Jh7d5c3h3c Kc7h5h4h2c QhTc7c4c2h 9s6s5s5d3d 
QcJs7s3s3c Th9s9d5c4d Th9d7s6d3d KsQs9s7s5h 
QcJcTs6c2h Jd9h8c6s4d Qc9s8c7s3c KsQhJh4h4c 
Kh7d6c4c2h AcKd8c4c3s Ts7h7c5s5d Qh9s6c5s2c 
QcJs7d4s2c Td9s6c5d4h QcTh6s6d4s Ah9s8c5h2h 
AsJs6c3h3d 9c8h7h5d4h Qd9s7h6d3c Qc9s8c4h3s 
As8d7s6s3c QcTh7c6s3c AsJc9h9d4c Ac9s4d2d2c 
KhQc7s5h3h Tc9h8h6d3s QhJd9s6h3h QhJd7s6c4s 
ThTc9d5d3s 9h8c7c5d4c As8d7d5h2h Th9c5h4c2d 
AdQd6c4d3s AcJs8h6d4h JdTd9d8h2d JhTs8c6d2h 
KdQdJs7d3h 8c6c5s5h2h Kc9d9c7c2d AcJs9h9d3d 
JsTs7c4c2s AcQc8d5c3c KcJs6d2s2c TsTc9s8d4s 
KcQc3s2s2h Ks8h6s3h3c Ac7s7h4s4d Ah7c6h4s2d 
AsJdTh4h2h KdTd9s5h5c AdKh9d4s3d QdTh4h3s2d 
Ad8c7s7h4s AcKh9s7s3s Ts9d7h5d4d 8c7s7h5h2c 
Ah9c6s4d3h JdJc9c8s2c QsJh7h7c5h AdJc5h3d2s 
KdTh9s5s3c KhJdTc3d2s KhQs8s7d4c AdKdQc6d2d 
Tc8c7c6h4c Kd9h5h3d2s 9s9c7h5s3s AcQh9c4s3c 
AdKd8s7d2d QsTs9s6s4s AcQhTs4h2h Js8s8c6s5h 
QhTd7d6c2c JdTh8s6d3d KcQs8s3h2c Td9c7s5c3h 
TsTh4s2h2d 9s8d7s4c3c JsTs8s7d2h KcJd7s7c4c 
QdQc8c7h2s AcQs5s3h2h QsThTd4h3c Jh9s7s6s5s 
KdJd9c3c2c Qc9d6s5s2d 8c7c6h2s2h Ts8h8d4h2s 
AcQh9c7s2c AcJd8c3h2s QhJd9s5d5c Qd8d6h4h2c 
QdTd8d6h3c Ac9h4c3s2h AcKh8c3d2s QdTh9c8c2c 
JsJd7s4d2s Kc8s8h6d5h KdQs8d3s3c Tc7d6c5d2h 
Js8c7s7h6s Qs9s9h5c3d AsJs8c4s2d Qc7s6d5c2s 
8s7c5s4d2c KcQc3d2h2d AcKc9s6c2h Js8h8c5s4s 
Qh9s7s6h2s Qc6s6c4d3d JdTd8d7h2c AhTh7s3c2d 
KdQs7h3s2d JhJd9h8c2h 9d8s5s5c3c Ac8d7c6c3h 
Kd6h6d5s4d 9d8h7c6c4c JdTh6s5d3d Tc9c6d6c5h 
AcKd9c3s2h Js8c7h6s4s TsTh8d7d4d QsQc9s6h2s 
8d6d5d5c3c Ks9s5s5d4d KdJh4s2s2d TsTd9d2d2c 
AcKs9s4h3d Ac8d6s6h2c Td9h9c8c5c Ad8s7d6d3h 
Tc8c7s7h3h Tc9c6h6c5d AdJsJc7h2s Kd9s8h8c6c 
Th9h6c4c2s 7c5h5d4h3c KsJsTs5s2c AcKd6c4s2c 
KdJd8c4d3c Ad6h5d4d3s Qd8s7c6d4d Qc8h8d5s4c 
Ad7s6d4c2h 9d8d7h7d5s QdJh9d7d4c KsTd9h7d3d 
Js8s7c4h3c AhJd9s7d3d Js8h7c6s4s Ac8d7h5d2h 
AcQc8s4d3c Ac9c8d6c2h Td9h8d6d4d JdThTc5d2d 
Ks7c6d6c3d AdQs9d4c3d Ad5d4h3s2c Qs9h6c4c3h 
QdJd9d8h3s QhTh8h6h5h Ts7s7d5s5h 5h4s4d3h3d 
QdQc9d6s2d Jh8s7h7d6h QsJh9h9d3c Tc9h7h5c2c 
JcTs8h7d2s QcJh7h6c2h Qh6s6h5s2d Ks7h5d4d3h 
AdJd8d6h2s Qc9d9c6h3s Ah6c3s3h2c 7h7d5c4d2c 
KhTd5d3h2d AdTs9d5d3d QcJs7d4c2s 9h8h7s6c4h 
KdQd9h8c2s QdTc9c5c3h AhKd5s2d2c KcQhJs7s3d 
QdJd6c4s3h KdQs6s5h2c QcTh7h6d3h KhQhJh5h2s 
QcTs9d2h2c Tc9h9c5s4c AsJhTh3h2d AdJs6s6c5h 
AsTh6h6d5c QdThTc5d2s Jc9h7c6s4d Qh9d5d4h2c 
Ks9c8c5h3h KcThTd5h3s JdTc8s6h2d QsTc6h6d4h 
Td9d8c4c3d QsJc9h8h4d Qd8s7d5s2s As9h8d7c4h 
KsQh9s9d4c Jh9c7h6d4s ThTd7h5s2s KhQc8c6d6c 
KsTh5h4d2d Kc9h7h3h3c Jd9c7s5h3d QcTd4s2d2c 
As9s8h4s4d 7h7d5s3d3c QcTs9d6s2h Qc9c7h7c3h 
9h8c7c3s3h Ac9s4c3h2s KcTh9s9d5h Td9s9c8c5c 
Kd9h8d4s3s JdTh9d6d3d JdTd8d7c2h Ad9h7d4d4c 
Qs9h6s4h2d JhTs5h2s2h Ad8c7s6s4s Td9s9h5s3c 
KcJc9h6d3c Ac7c6h6c3d 8s8d7d4h2s QcJd8d5h3s 
Qc9s9c6d3h Ts8s7c4h2c JdTd9d4s4c Qc6s5h4h2c 
JdTc6h5d3d Tc9c8c7h4s AhQc7d5c3c Kc9h8s8d6s 
Ks5c4d3s2d As8h7d5h2d QcTs7s6h3s Ah9s8h2d2c 
JhTsTc8h3h Ts8h7h7d2s Js9s7h6c2h AsThTd5s2s 
Tc9c7s7d5c AhKs9c6d2s KdTd6c4h4d Td8c7h7c4s 
JhJc6d5h3h QhTc8d7s3h QcJc7c5c4s Jh9c8d5s5h 
Ac8d6d5s2s KcQc6s6d3h Jd9d5h4h2c 9d9c5s5h4s 
JdJc9h5d2s Js9c4s4c3d QsJd9h5d5c JdTs6s6c4s 
As8c7s6d3s AdKs3s3c2h QcJs9s6h3d Qc8s5c4s2h 
Qh9h9d5c3s KcQd7h3d2c AdQd7s5d3d AhQh6s4h3d 
AdQd8h4s3d QsJd3s3h2h Ah9d8s6d2s QhTd9d7s3d 
QcJc6c5s5c As9c6d4h3s ThTc7d4c2h Qc8c7d5h2h 
KcJs7h7c4c AhQc7d6d4d KdJsJc5d2d KhTc8c7c5c 
Tc8s8d5h4h KdJh5d4s2c Kc7c6s6c5d Js9d7s4d3s 
Td9s7c5h3d 8d7d5h3h3d Qs9c7s5h3d Qh8d7d6d5c 
Ah8d4d3c2h AdKh9s6s6c Ts9c8h5c4d KdTd9d6d5d 
AcTsTh6d4d JdTc6d4s3h Ts9c7c4s2h Th8s6h6c4d 
AhKc9c4s3d AdQh7d5d3d 9c8h5h4s3c AsQcTh4d2h 
Ac6d3s3c2d Qs8d7h5h2s QsQd9d6h2d JsJd7c6d2c 
9s6s6h5d2h QsJsTd6s2h KcQh6h5s2d QsTh8s7c2d 
Kc9c6s4s2d AcThTd8d2d Jd6h5s4h3s Js9c8c5d4c 
Kh6h5h5c2c Th9d8d6c3s QsTh6s4s3d Js6h5h5d3s 
QdTc8d7h2s Tc8h8d5d4d KcTc6h3h2h 9d8h7s7c5s 
9c8s5s3d3c JhJd6c4s4c KsTc4s3s3c Jc9h7s3s3c 
QcTh8d7c3s QsQh7d3s3c 7s7h6d2s2h KdJh3s3d2s 
JhTdTc5h2h Tc9s8s6h3d 8c7s7c6c4d 9s9h8d6c4c 
Td9h8d3s2s Jh8h6h5d4s AdTc6d2d2c KsQc7s4d3h 
QdJsJh8d3d Qs8s7h5c2c Ac9d8s4s4d Jd9s6d5d4c 
Kc9d8d5s3s QdTc9h4s4d AcJdTd3d2s 9h9d8s5d4d 
KsTd9c5h4c As6d3d2s2d 8s7h6h4s2h Jh9c7d4d4c 
KdJc7d6d4d JdTh8s4h4c 7d6h6c5c2h AdJh8d4c2d 
Qc9h7s5c4d Tc9c7d7c5s JsJdTs8s2s QsJc8c3s2h 
Jd9c8d3h3c 6h6d5c4s4c JsTh8c6s3s Jc9s9d4d2c 
Tc9s6h5d4d Jc8d5s4c2s QhJs7d4s2h As7d4s4d2s 
Ad9c7d4d2c Qs9d8s4h3d 6s5h5c4h4d Jd8h5s4h3s 
Ks6s6c5d4s KcJhJd4d2s Jh9c7s5s3d Ts8d8c6s4s 
KhJs7d4h3c 9d9c8s6h4s Qc8d7s5s2c AsKd6d6c3d 
8d7d6s6c5h As8c7s6s3d Qd8c6s4c2d TsTc8s4s4h 
QsTh4d2s2h KhTs9d5d3c KsJs7c5d2h AhJs8c7d3s 
KcJd7h5s5d QhTs9s5s3c Jh9c8s5h5d JhJc6d4s4d 
9c8h5h3s3c Jd9c8c6s6h QhQdTs4c2c Ah9h7s4h4c 
Ts8d7h7d2s Qs7s6h5s4d Ah9d9c6h2s Ts9d6c5s4h 
Ad7h7d4c3d KhJs8c5d4d KdJd5s5c3h QhTsTd5h2c 
Kc9h8d4d3c Ad9d8c6h3d AdQs9h8s2s KcQdJd4h2d 
QhTd8h7c2s Td8c5d4h3h Js9d9c4d2s AdJc7s7h2d 
AcJc6h6c5c Jd9d7h6s3c KhJc9s8h2h QsJs9s8d3h 
KhJsTs7s3s Kh9c8s4h3s KcQd7c6c3h AsJh8h7c2d 
Jh8s7h7d5h KcQc7s6c2s Qs9c7d5s4h QhQd5h2s2h 
Jh6d5s5d4s Ks8d7c5c3d Qd8h6s5h2s QhQc8s7s4s 
9s8h5s5h2d JdTd9d8s2d Qc9d9c5h3s Kd7d6d6c5h 
Kd7s5s4s2d 9h8h7d7c6h Ts9s6h5s2h 9s9d5h5c4h 
KcJc7h5s2d 7h7d6d4c2h TsTc7d4c2s Ah8d7h6h3s 
9d9c7h6s3h 8d7h7d6d4s KcJh8h6d2d Tc9c7c5s4h 
Jh9s7h3s3d Ah7h5s5d3h AsKc8d3s2h JsJd9c7c4c 
AsJh8s6s2d AhTdTc6s4s Td9s4s4c3d Jh8s8c6s5s 
KhTsTd5c2h AdJc6s5h4s As6c3s3h2c Kc9c5s4h2s 
QhQd5d2d2c 6d4s4h3s3d Td9s9c3h3c AcQs9d6h6d 
AsJhTd4d2d KsTs6d6c3h 9s9c8s4d3d Kd9d6h4h3d 
QsTs9s7d4s Kh9h6h6d5s KcTs5s4h2h KsQcJs3s3d 
KhTh9h6d2c QcTd9s9d4d AdKd9h4d4c Ks9s8h6s5s 
KdJs9s5h3s Kc7d6h4h4d Qc9c7h6s2h KhQd8d3s2h 
Ts9c6d4s2c Jh8c5s5h3c 9c6s6c5d2s KcJsTh3s2d 
Ks9d8h8c6h QsJsJc3s2d Qh7h6s5h4d Ts9d7d5s2s 
KsTc5c4d2d Th6s6c3s3c JcTh6c4s4d Jc6h6c5s5c 
Qc9h5h4c2s Td7s7h6h5c Kd8s6d3s3c Jc9c8d4s3d 
KhQs8c5h3d JdTd9d8d2h 9h9c8h4s3s QdJc9d7d4h 
Td9c7h5c4c AhQs9d3c2h 8s8h6h6d2c Ts9d9c3h3d 
Qh9c8s4h4c QsJh9s8s4d 9h8s5s5c3c AcKc7d4c2s 
Qs8d7s6d3s 7s7d4s4d2c Th9s7d6s3s Ad9c4d3c2s 
Qc9d7s6c3h KdTh9s5c4s Ks8c7d5d3c AhKsTh6h2h 
As8c7h7d4h KsJc8c3s3c KsQc9s8d2h AsQh5c2h2c 
KdQc7h3d2c AhKh9d3h2d Ac9d8s7h4d Qd8h7c5c2d 
AsKc6d4s2s KcQh8h6s6h KcJh7h7c2h Kh9h8s4s4c 
KsQs6s6d5s Tc8d7s5s4s KdTd4s4c2s QdTs4h2s2d 
Qh8c7s5c2h Ah7s7c6c5d Kc7h6h5s4d Tc9c4s4h3h 
AsQs6h4s3d QsTs8s6c3d AhKs9h4c3h AhKh7c4h2d 
KhQd8h6c3s ThTc6h4h2c Jh8d8c5h4s 9h9d4c3d3c 
JdTs9h4h4c QcTh9d2s2c QsQd8c5s2s KhQh6s6d3c 
Qs9s8s7c3c Th8s8c5d4d AsQs8d5s3s 6d5s5d4s2h 
QhJsJh7h4h Qs6s6c5c2d Ts9s7h5d4s Js6c5d5c4d 
KcTc7c4h2h 9d8h8c6h4s TsTc7c5h2h KcTsTh8h4h 
Tc9s7s5c2c Td9s9h8s5s Kh7c6d6c3d Ah9d4s2s2h 
Jc7s5d4s4d KcQd4s3h3c AhKd9s4c3d 9h9d8s6c4c 
AhTd9d6d4s Qh9c5d4c2h 9c8h6s4h3c KcQhQd6s2s 
KdTs5s4c2c Jh9c6d6c5s AhKd6c5d2d QcJdTh6h2s 
Qh9c5c4h2d AsKh9s3c2d Jh7s6h4c3s 8s7s7h6s4c 
AsKsQs6s2h Ah8d4h4d3h KcJh9s6h4d KcJhJd5c2c 
8c6h6d4s4d Kh8s7s4s3h AdQs7s7c4s AhTh6h5s4h 
AcKdJs6d2d Ah8d4d3s2h KsQdJc7c3h Qc8s7s6d5s 
8h6d6c4c3h TsTd9h7h3h Kh9h6c4c3h Ac8c7h5d2c 
KdJh7c4d3s QcTc8c6h3s AhQc7h5h3h AsTsThTc9c 
Ts9s7s5d4c JhTh8h5c3d Kd9d8s6d5d Ks9s8h4h4d 
KcQs8h7d5d 6s6d5s3c2d KsJdTd7d3d QcJh7h6h4d 
Kd8s8c6h5c Jd8s8c5d4d AhKc4s4c2d QcJd7c6h3s 
QsTd5d3s2d Jd8s5d5c3s AcKs6d5s2s Qd8c7d5h2c 
9d8c7s6s4s KcTsTd8s4s KhQhJc3d2h AdKc8s8h2c 
Ac9c8d6s3c Kc9d8c4s3s Ad9c8h7h4s 8d7c6h5s3h 
KsQh9d4h4d QsTh9c8c2c Ks5h4c3s2h Jh6d5s4d3s 
QhJc9c7d3s Js9h6h6c5d JsTh8d6c2s Jd7s7d4c3s 
AhJs6d5s4s AdKsJc6s2s KdTs7s5c2c 7s4s4d3h3d 
AsThTd8c2c AcTsTh8h2h QdJd9c5s5h AsJh7c6c4c 
Kh9c8c7d7c 7h7d5c3s3h Jd8s6s6d2c Qd7d6s5c2c 
Th9h5d4d2c Qs9s7s7h3h Jh9s5s5h2c QcJc6c4h2h 
Qc9s7c5d3h Ac8s6d5c3c Tc9s9d3h3d KcJs9s5d3s 
KsQs9h8c3d KhJdTc8s3s Th8h5c4s2s Tc6s5h4h3s 
AsKh9d6d6c JsTd8c5h2d As6c3c2s2c Ah6h5h4c3d 
JhTc8d6c2s AdQc9d6h2d Kc6d6c5s4c QhTh9c5d2s 
8c6h6d5c4s Qs8s7c5c2c Ts9h7d5s5c AdJs7c6c4c 
8s7d6h5c3h KdJs6s6h4c KcQd8h8c3h QsTc8h7d2s 
KsJh9d8s2s Ts9d6h5s4c Ts6h6d3h3d AdTd8d5d3h 
JcTc5d5c4c Js9c6h6c5d Qs8d7d7c3s QcJd7h6d4d 
Kd5h4s3d2s Th9d7s5c3h Kc9d8c4h3h Th8h8d5s5h 
QsJd7s6s2d QcTs8h6s2d Qd9c7d5s3h Qc8h6d6c2d 
Kh7h6h5s4h QdJsJh4h2h QsTh6s3c2c QsJs9h8s2c 
Kd9s8c5s5c JhTh8h7d2c Td9s7h5s2h AsQc6s5s2d 
QdTs7h6s3c AdJs7d5c2d Qd9s6s4d3d AdQsJs5s2s 
QhTs3s3h2d AcJd9s7d3d 7d7c5h3s3d Js8c7h4h4c 
AdQd6c5d2h AdQd6c2d2c Qc8d7h7d3c JcTh7h4d3s 
AhQhTh4h2s Js8c7c4s3h KhTh4d4c2c Qc9d7h5c4s 
Qc9s8c6h3d Kh9h6s4s3h Kd8s7d4h2h Kh9d8s7c5s 
9s8s7h5s4c JsTh8c7d2h 9h8s6s4d2h Jh9h7h5c3d 
Ks8d7s6s2d QsJs7s5s4c As6s5s4d4c AdJc9c5h3c 
Td6d6c5c3c Jh7c5h5d3c As8h7c6c4c JsTd6s3d2c 
TsTd7h6d3c QcJs9h5s5d KsQsJs6s3d QhJdJc6d2s 
Th9c6s6d5d KdJd7c4s3h QhQc8s5c2c QcTd9h9d4d 
AsJc7d6h4d QcJc6h4s3d Jd9s8h8c5s AdQsTh2h2c 
Ac8h4h3d2c Kc9c7s7h5c Js8s6s5d4c Td7c6d6c3d 
AdTd7s3h2c JhJc9s5h2d KcQsTs8s3d Js9s8h4c3h 
Jd8d7d6d5h Qh9s6s4h3h AcJd6h6d5s Js7s7c6c3c 
AdJh6s6h5c Jh9s7h6c2s AsTd9c5h5c KdQc5c4h4c 
KcQh9s8d5s KhTd8d7d5d Qh9d5h5d2c QhJs8h3s2c 
KsJd7h4s3c Qc9h9c4d2h Th8c7c4d3d QhTh9s5d2c 
Td7s6s6d3d As8h6c5s3s Tc9c7h5h2c AcTc7c5d2h 
9d8s7s4d4c As7h7d6h5c Jh8d5c4d3c Kc9c6h4h3c 
KhJc7d4h3s AcJdTd6h2s 8c7s5c4h2s Ah7c6h4h2c 
AsKcTs4s2s KcQd8c3s3d QhJh9s8h2c 6h6c5c4h2h 
Js8s6s5h4d Ac9h9d6c2s AdJc6h5c4c QdJh7h6h2d 
AsJh9d9c4h AsJd8c3s2h TsTd7h4s2d Ks8d7d5s2s 
AdQh9d6c2d KdJs9h8d2d Tc8s6c4s3s 8h6d5c2d2c 
Tc9s5c4s2d Tc9d9c3d2d Ks6s4h3h3d Kd7h6c4s3d 
8d6h5c2h2c Kc5s5h3s3h Ah9c7h4h4d Ks7c6h4d3s 
7d7c6s5h3s Qc6s6c4h3h KhJc9h6h3s KdJs3d3c2c 
KcJh9d8c2c AhTh7s3h2s 9h8d6s4d3h AcTh9h7h3h 
Td6d6c4s4h KdJc3h3d2h QhQd9h6s2h 8h8d7d4c2h 
KsQd6h4c3d KsKdKcJsTh JdTs3d2s2h 8d8c7d4d3c 
Js8h5s5c3h AcQc9c7s2d QhJc7d7c5c AcKs9d6h2s 
KsJs7h4d3c QhJdJc4d2d 6s4d4c3s3d QsTs6d3h2h 
KsJc7h5d5c AdJh9h5c3h KsQd7s4h3c 5d4s4h3h3d 
AsKc7d4h4d JhTd8s6c2h KcJh9c6c3d 8c7c6d2h2d 
Jd8s5s5d3s QhTs8d7h3c AdJd8h3s2c Kd8s7s4s3d 
QcJh9c8c4s ThTc7s6c3d KdQs8s6s6c AcJc7h5c2s 
9c8d5d5c2h JhJd9s5h2c AsQd9c6h6c AdJd6s6d5d 
AhJcTc3c2s Qh9s8c6d6c QsJc9h6c4c Ad9d8c6d2s 
JcTh9s2h2d AcTs8h8d3s 5d4h4c3h3d KsTh3s3d2h 
JhTd6h4c3s KdTd8d5d4s KsJh7c5h5d Qc8s7h5h2c 
KhJd9s6d4c KhQcJc7c4c KhQhQd8h2c QhJd9h7h4c 
Kc8d7d4d3c AhJc7s6s4s QcJs7d6h4d KcQhJd7d3s 
Ad8h7s6s4c 8s7h7d5d2s KdQh8c7c5c JdJc6c4c2d 
Jc9c7c5h3s AdQcTs4c2c QhJd9d7c3s AhJd9s9d2c 
Kh9d5h4d3h KhQhQc9h2h Ah8h5s5d4h Jd8c7s6c2d 
AcJh9d8d3d Ts9c8c6h3d Th9d9c3s3c Qd6h6d5h2s 
TsTh7d6s3c As8d7c6c4c KcTsTh5s3d KsTd7c5d3h 
As7s7c4d3s Jh9h7h5c3s Qh9c7h5s3d Ad7d6h4c2s 
Kh7d6d5s4c JsTh7h6c3h KcTs5c4h4c AsQc6s5s2h 
Jh8d5s4h2s Qc8s8d5h4c Qh8d7c6h4h JsJh7s4h2s 
Qc9h6s4s3h Qd8d6s4s2c Kd9h6d3h2s AcTc5h5d2s 
JhTs8d6c2h Ts9s7d5d2s AhQsJc7d2s KsJc6h5h4h 
AsJd9h9c3c 7d7c6h2d2c As9h4s3d2h Qc9d8d4c3h 
JdTd7d6h3s QdJc7s6h4s AcJh5d3c2s Jd8c7s4s4c 
Jh8s8h4c2s AcTc6h4c3s QhTd8c7h3s Jh6s6c5s3c 
KcTc6s4d4c KcJs9s6d4s AhKh9c4h4d QdJsTc6c2h 
KcJs7d5s5h JhTs8c6d2s Jd8d7c6d5d JhJc9d8d4s 
Qh6h6c4c3d Kd7h6d5d2h Kd9c8c5s3s QcJsJd6h2s 
AcTd8d7s3d 9d8s7s3h3d KhJh7d4s3c Ac9s8h6s2h 
KdTh8c5d2s Td8d7s4s2h QsJd8s3d2c AsJd9h7h3h 
Kh8s7h4d2d 9h6s6h5d2s Js9d8h5s3c AhTh9h3c2s 
QdJs9s9c3h AcJd7h6s4h KhJsJc6h2d Kh8h8c6c3h 
Ad8d7h6c3d KhQdJh7h3c QhJh8d5h5c QsJc5h3c2h 
KhQs9c8d5c 7h6h5h4c2c 8h5s5h4h4c AhKd8c6d3d 
AdKc4h3c2s 8s6h6c4d4c JhJcTd7c2c Qh8s7d6h2s 
6h5s5d4s4c QhQc7s3h3d Js9s5h4h2d KsQd6d5h2c 
8c7h7c4h3c Ks9s6c4c2d QsTh9h9d4h 9c8s8h6c4d 
JhTc6c5s5c As9h5d4h4d Tc8h7h4d3d QsTd6c5h5c 
AsJc9d5h5d Ts9d6c5h4h KsTdTc8c4c As7d7c6h5h 
AhJcTc6s2d KdTc7s5c3h QhJhJc9h4h QcTc6d3h2h 
AhKdTh6h2h 7s7c6h2s2c QsJh7h6c4h QdJd7s5d4d 
KsKcQh7d2d Qs8s8d7h3d Th9h6s6h5c QdTd9d7h4d 
Ts8d5h4s3h AsQh7h7c4h KhJs9s5c3s KhQhTh4d3h 
JsTc6d4s3h AcQcJc3c2d QsJc7h7c3h QdJd6h6d5d 
KdQc6s4h4c AsKs9c4s4d 9d8d7s7d5c Th7d7c6d5s 
9h8c6c4h2d KhTc7d5c3s Ah8d7s6s4c Ks6h5d5c4s 
Jh8s5d4h2d KhTc9c5c4s Ad8s6s5h2h Js9h8c5s5d 
QcTc6h3s2s Kd8c6s3d3c JsJd9c7d2h QsTd7c5c2d 
AcJd8c3s2h Ad8s8c7s4h Jd8s6s6d2h Ks9c8d7d5d 
JdTd7d6s3h JsJh9c5h2d AsQs8s8h3d AsQhTh6h2d 
JhTs7s6d3s KsQs6s6c5s 8h8c4s3s3c QhJh6h4s2s 
QcJs8s5d3h KdQc8s5d3h Ts9c5s4c2h TsTd7h7d3d 
AdKd8c7d2d As6d5s4s3h KsQcJd7d3h AdQd6h2h2d 
KdJsTh2h2c 9s9h8c6d4d AcQsTh4s2s Ah9s8d4s4d 
Qs8c5s4c2h QcJc9s6c3h Jh8h7s6h5h Td7c6h5s4h 
KsTd6d2s2d Th8d7h4h3d Kc9h8s7s5s QhTh9d5c2s 
KsQsJd9s4s AcTc7s3h2d Ac9s7c4d4c Qh7d6s5h2d 
Th9h6s4s2d Jc9c8h6d4s QcJh7s7h3s QhQc9h6s2h 
Qc8s7h6c4c Ks8h6s5c3d 8c6s5d2s2d KhJhTh8h5h 
As8h7h6d3d AcTh9h6h4d Tc8d6c4c3d Jc4s4c3s3h 
8d7s7h4d4c AdQsTs6s2h QdJsJc6h2s Ks9d8h5h5d 
TsTh8d4d4c Jd9h7c6d4s QsQh6d4c2s Jh9d7d6s2h 
Jh8h6h5d4c Ts9h7c5h2c QhJhJc3d2h AhTh6c5h4h 
QcJc9c8h4d AdJc9h7c3c Ah7s4s4h2h Jc8s6s6c2h 
QcJc6s6c5c KsQs9s7s5c Tc9d7d4c2s 9c8h7s7d5s 
Kd9d6d5s4c Tc8h8d4h2c AsKh9c7h2h KsJdTc8h3h 
Js9h5s5h2c 9h8s7s4h4d 6c4s4h3s3h Td9c6s6h5h 
Ks8c6s5d3h Ac9s9d6c2h 5h5c4h3s3c Qs6s6d5d2h 
QhJs7h6c3d 9c8s7s4d3c Ts9c7h5h2c 8s6h6d4d4c 
Tc7s7c5d5c 9c8c7s6d4c AdKh9h9c4h Jh9d7d6c2h 
8d7d7c4s4h QsTh6h3s2h 8d7h7d6d4c KcJd7d5d4d 
9c8h7h4s3c Qh9h6h5d2d Ks9d6s3d2c QhJd3h3c2c 
TsTd9h5c4c KdTh3s3d2h Jd9d8s6h6d KcJs9s6h4s 
Th9c7h5s5d Ah8c7c5s5d KcQs6h4s4d Jd9d8c6d2c 
Th9d6c5s4s JsTs5s5h2h AdTd7d5s2c Kh9h5d4s2d 
QsJsJd7s4s Ah9c4d2h2c Jc8s8c6c5d TsTd6s4d2s 
Jd9c6s6c5h KsTd5d3s2d 8c7h6s5d3s AcQh9h5s3h 
9c8c7c5d2d TdTc7h6d3s 7s6c4s4d3d Qc7c6h5d2d 
KsThTd5c2s KhTs8h5d5c Ks9h8d4d3s Kh9c8c7s7c 
Jh9h8s6d4c Qc9d6s6c2s Kh8s8h5h3s AsQc8h4d4c 
ThTc7h6c2h KsJd7s6s4s 8h7d6d5c3s QdTc8d3d3c 
Qc6s5s3s3c KcJdTs7s2h Js6s6c5s5h JdTh6d4s3c 
TsTh5s4s2h Qc8c6s4s2h Js8c5c3s3h QcJd7s7d3s 
Qd8s5d4s2h JsTs7s6d3h QdJc3s3d2s AsKd7c6h3h 
JhTs8d6c2s Jd7h6d6c3h KhJd7c4s4h JcTc6d3d3c 
9h8c5c3s3h Kh8s6h5d3c AdTd8d5d3s Jd9s7s7d2h 
JsJh7h6h4h KdQc8d6h3s Jd9d8c4h3c Qs9c5c4s2d 
9d8c5d5c2h KsQcTh4h3h JhTh8d5h3c Th9h6d4d2s 
Th8h7c4c3c Ad7s5h5c2d Tc9s9h6d3h KdTs9d7d3d 
KsTd6d6c5d AdKc3h3c2s JcThTd5c2c Ts8s7d4d3d 
JhTc7s6h3h AdJh9h5s3h KsQsQd9s2s Th7s7c6c5d 
Th8c7c5s2s Ad4h3d2s2h TdTc8h7h4h Ts7h6s5h2d 
Jd9s8c5d3h Ah8d4c3c2h Jc8h8c4d2h AcKc7h4c2d 
KcQc7c6c5c AhJh6d4s2c Jh9s8h3s3c AdQd7c5d3d 
AcQh7h7d4h QhTd7d6s2s Jd8c7s7d5d Qs8d7c5c2s 
JhTh7s4s2h Jh9s6c4s3c Ah9d6s4c3h Ts8c7d5d4d 
Jd8h7s6d4d ThTd8h4h4c QsJh7h3s3h 8s8d7d4d4c 
7d5s5c4s3d AhQd5c2d2c Jc7s6h4c3s AcKcQc6c2h 
Ts6s6h3s3h Jh9s7h5h4d Tc8s7s4d3d Js9s7d6c3h 
Qh9c7c6h2c AsKsQs6c2s AcTd4h4c2s 8c7c6s4s2s 
JhTd7d6c3d AdQc7h7c4c JcTs6c4d3h Jc6s6c5d5c 
AhKhQh8h2c AsQc7d5c3c KhTc3s3h2c Td9d6h4h2s 
Qc9s9d8c5c AsQh6s5s2d KsTd9h8c4d Jh8s6d5s4c 
Tc8d7d5h4d Qd8h6s4s4h Qh9h6h5c2c Qc8c7s6d2d 
KdJd9h3h3d KsJc6c2s2d Js7d6s6c3d KhJhJc9h4h 
QhJd7s5c3d QdJd9s9h3c KcJd4h2h2c AhKh9s4h4c 
KhTc9d8s4c 6d5s4s3d3c Jh8c7h7d5h 7c5s5h4s3c 
QcJc4d3d2d 9c8c7s7c5d 8s6d5h2s2h Qc9h5h4c2d 
Ac8c5h2h2c Ts9h6d6c5h QdJh9d8d4c 9s8h7d6s4s 
