Ad9c6h5s5h 
Qc9c6s5d2h KhJs7h5d2h QdJd9d4d3c Qc9c8d5h5c 
Td9c5h3h2c 8s7c4s3d3c Jd9s9h8c3s 8h7h6s5h2c 
Ks9s7h3h2d AcQh8d4h2s KhJs5d5c2h Ah5c3d2s2h 
8h6s6c5d3c JsTh5d4d2d As9d8c7d3d As8c4d2s2h 
Kd9c7c6s3c AsQs3s3h2d Kc9h7s6s4s Jh9h4c3h3c 
AhQh8c2h2d Qc9s6h6d4h QsTh5d5c3d Th9d5s5c3h 
Th7h5d4s2s Ts9h7d6c2s KhQs7h5c2h Jh8h6h6d4s 
Kh9s7s6c3s AhJd5s4d3d Jh9c8d7s2d Ts7h6d4c3s 
8c7s7h6d3s Qc9c8c6h2s Kd9c6h5s5c KhQcTd4s2s 
Qh9s8s6c3d Js9c6c4s2s As9s8s7s2h Js7s5s4d3h 
QcJh9h8h2h AdKh6c3h2s JcTh8s4s2s Ac9h8c5c2c 
Ts8d7h6h2c QhTh8s2d2c Ah9d5c4h3h 9d8s6h4d4c 
KdTh9h5s5h Qs8d5d3s2c KdQc9h7s4h Js8s6c5h2d 
TsTc6c3s2s Tc9c8s4h4d AcKs7d4s2s Jh8h7h5s3c 
Qd9d8s7d4c Ks7c5h4s3s QhJd8d8c2s Ts7h4c3h3c 
Qc8c7c6c4h Js5s4h4c3h Jd9h5d3h2d Th7c4s3s3c 
KcQc6c4h2s Kh9h6h5h5d AdTd7s2d2c 8s8d6d3s2s 
ThTc5s4d3h AdQd3h3d2c KdTs6h5h3h AdJh9c4s3c 
Jd7c4s4d3s 8s7h7c5h2d KsTs8s6s3c AhJd8s6c2d 
KdQc6h4s3s AdKs8c4s2s 9d9c7c6s2h QhJs7s4d3c 
QsJc4c3d3c Jd5h5d4h3h Kh8s6d4c3h KhTc8s8h2h 
KdJc7d3c2d Ah9s8c5d3d Ts8s7s4d4c AhTsTc5d2c 
Js8s6s4h2h Kd6s6c5c4c Th8d5d5c4s Ac8d6s4s2d 
AsJh9d4d4c Ad4c3s3d2h KsJs8h5s2c Ac9h9d6d4s 
Th8h4d4c2d TsTd5d3s2d JsTs6h6c3s As9h7c6h4h 
Tc7s4c3s3d KhQh9s9h2c 8h5h5c4c2c Jc8c7s5h3c 
Td8d7h7d4d QcTc4h3s3c Jc8c5d3s2d Ks9h5d5c3s 
As9h6c5c2h Jd9s6c5d2h Kc8s5d3c2s Qc9h5s4h2s 
Qs8h6c5d3d Jd7s5d4h3c Qs5h4d3s2d 9h9d5s4h3h 
9c6s6h5d3s KcQd9d6d3d 8s7s6c5s2d Th8h6h5c3s 
Td9h8d6d3d KdJs8s5c2h KcJsJh8d2d Kd8d5c3c2h 
Qh7c6s4h2c As9d8h7d3d Qs8d6h5c3c AsJc6s4s2d 
9h8c6c5c3c 8d5c4d3s3c Qd8s6s4c2c Kc9c6c5c3d 
9d7c4s3d3c 9c8d5d3c2c 8s8c6c4c3d 7d5h5d3h2c 
JdTsTdTc9s 9d9c3s2d2c Js8s7h6d3c QsJs8d6s3c 
Th6d5d3h2s Ks9d6c5h5c Jh8d5s2s2d 9c6d5c3c2d 
Th9s7c4d3c 9d6d5h3d2h Jc9h6c5d2s 7c6h5c4d2s 
9d8h5h3c2c Jh5s5c4c3h ThTc5h3s2s JsJc9h7d2d 
KhTs8d3s3d AsJd6h5d3d Qc9c7s7d3h AcJsJh6s2d 
AhQs7s4s3d Ks8d5s5c3h Ac8h7c3h2c Qd9h6s4c3d 
KsTd5c2d2c QsJc7h7d4h 9s7h5h3s2h AhTd3s3c2h 
JsTs8s6s2h AdQd4d3s2h Ac7h7c4d2c 8s8d7s6h2c 
KsQs5s5h3s Kh7d6s4h3h Ts7c6s5s5d AhQh3h3c2s 
AcQs9s7s3s AhQh9h8h3h KsJs5s4s3d Jh8h6s3s3d 
Kc8h6d4s3c Kd7d5h5d2h 9h7h7d4s2d QsJh6d5h2h 
Ks8h6s3c2h 7d5s5h4h2s JdTdTc6d2d QcTc4s3h3c 
Kh9c7d6d4d Jh7h6c5c2h Ks8s7s5c3h AdTh6h4h4c 
Jc8d6s6d4d Jc9d7h4c2h Kd5h4d2h2d 8s5s4d4c2c 
Qs8d5h3d2s Jc9d7s4h3c JhTc8h6h3h QsJd9s5s2s 
9s9d3h2s2d 8s8d7s5h2c 8s6c4s4d2c AcKd6h3d2s 
Ac9s8h5d3h 7h6h4s2s2d Tc8s7d4s4h 8s7c4h2s2c 
KhQhJs7c2h JhTh7h5d2s 9d8d8c7d4s Tc6d4c3s3d 
Tc9s7d6h2c Kd9h7s5d2c 9c6h5s5c4d Ac9s8h7s3s 
Kd9d8s4s2d Qs7h7d4s4c JdJc8d4d3h KhJh9h8s3h 
KsQsJh7c2s JhTs6d2s2d Th9c6s4h3h Kh7s7d6c4d 
8s7h6d6c3d AhTd5s5d3c 9h8d6s6d3c Qd8s5d5c4d 
Jh9c4s3s3c QhJc8c6d2s 9c6d5h5c4s 9c6d6c3s3c 
KcQc9c8c5c KcQh9s7d4s QsTd9d4d2h Qd7c6c4c2d 
Ks9d7h5d4d Jd9d8c7d3s 9s6h5c4c3d Th9d8h6h2h 
Qd9s8h7s4c QhTd6s6c3c Ad8h7h6c3s KhTd6s4c3c 
Kh9h5h4s2s ThTd6h3h3c KcTd9d7d2d QhTs7h3s2s 
AdTh9s4h2c Kc4s4c3h2h As9h7h5h4h Ah8s7h2h2d 
Qh9s7s6d4s Qd9d8c7d4h Qs8d5c3s2d Kc6h5c3s2d 
Ts9c8h5c3c Qc7s6d4c2s Kd7h7c4d3s KdTs8s7c2s 
9s9h7h4h2s AhJc7c6s3c Tc7h4h3s3c Kc7s7h2s2c 
Ac7s4h3s3h 6s6h4h4c3h KdTs8c7h3c Td7c6s5s3s 
QcJd5c3h2s Kd9c7s7d2h KdQd9d9c3h 9c7c5d4c2d 
Jd6h5s5c4d Qs8c5d4c2d Tc9h4h4c2h QhJh9s8h2h 
Kc9d7d6h3d Ad7d5s4d2c QsQc8h4d3d Qh8h7d4s2d 
Jc8s7h2s2c QdJc9c4s2h Jc6c5s3d2s KsJs9c3h3d 
KsJs6h3h2s 9h8s8c3s2c KsQh9h6h2d As9d7d5d4d 
QdJhJd7s2d Tc7h6d5d3d Kd9s7c5d2h AsKd8h8c3c 
9s7d5h4h3c Js5s4d4c3c KcJd8c6c3h KcJh9h5s5h 
Ac6d4c3c2d Ad9c7h6c4c 6h6d4s3d2s Kh9h7c3c2c 
QcTs5s4s2d Qh8c7s6c2s Js8h6h4c2c TdTc8h4c2s 
8h5d4s4d2s Th9s8d8c3s Qd9s8c7s4h QsJc7d6h3d 
KhTd9h3c2h Td8s8h5c3d Jd9h8s3s2h Kc8h5d3c2h 
KhTh6d4c2h 9d6s5h4h3c 9h8c7d6c2s QhJd8s6c3s 
7h5h5c3c2s Kh8d5h4s4h Qc9d8h5c3c TdTc7d4d3h 
KdQs7s5c2h Qh9d7h4d2c AcQh7c5c2c 8c6h4h4d2c 
Jh8s8d6h3c Js9d8d5d2h 9h9c8h3h3d QcTh9h4h2s 
Qc8h6c3h3c 8c6h4h2s2c Jc8s7c6d3h 7c5d4d3h2h 
QhJh7s5d2c KcTd8d7s2d 9h7c6h6d3h 9s8s8d3h3c 
QsTc8d8c2c 9h6s6c5d3c Ah7d5d4s2s QdJd8h6c3d 
Jh9c8d5s2c Jh8d7s5s3c QdTc9s5c2c 6d6c4s3c2s 
As7s6s3c2c JcTd8s3h3d Kd7s5c4d3d 9h9d8d6d3c 
8h5c4d4c2h ThTc6c3h2h Kh9d9c6h2s AhTd6h4h2c 
QhJs6h6d3h KdQc7d5d2s 9h7d5c3s3h 8c7d4d3s3c 
KsJh9c7h2d 9c8s7c4s2c AcJs8s6d2h Ac7h4c3s3c 
9c7s5h4h3d Jh8h5c3s2c 9c8s8h3h2s Qs9s8h7s4c 
JcTs8c6c3c Jd5h4s4d3s Qh8s5c3h2s QcJh5c3d2s 
9s9h7s3c2c Kh8s6h3d2s 8h6c5d4h3h 9s9c7h3s2h 
AcKc6c3d3c Qc7s7c6h3d QdJh8c6h3h QhTh9s3c2h 
Ad8c7s5h3c Kd9c6c5c3s Kd5c4h4d3s KsQc9h8c4c 
KsJh6h5h2c Jc8h6s4s2h Jd9c7d4s2s As9d8d7d3h 
8s8h6s3s3c 9s6d5s4s3c QhTs6c4h2h Qd9c7c6h4c 
Jh7s6s4d2h 9d8c7s5h2d Ad8h6d3h2d KsJs5s4s3h 
7s7h6d5s2c QhJh7s5c2d QdTh6s6d2c 7d6s6d4c3d 
KhTc6d5d3d Js7c4s3d3c 6s6h3s3c2h KsQh9c8h4h 
Ad9s9c6c4h QdTs8h4d2d JdTs7d5d2h Ac9h8h8d3h 
Qd8h5s3d2h 9s8h8d5c2d QcTh8d7d2d Ah8h7h6h3c 
QsJh5s3c2d Qc9d7h5s4h Td8d4h4c2h 8s7c6s5s2h 
Jc8h7s2h2c AcTc7d2h2c AsJc6d5c3c AhQd7c4s3c 
Qd8s5h3s2d Td8h6s5s3s AsKs8s8d3s Ks9d6d5h3d 
AsTd5s5c2s 5h5c3s3c2s Qh9h6c4c2h 9c7d6s4c2s 
Qh9h6c5d2s Ts7d6c5c3c Kd7c6h3s3d As6h5d5c4d 
QhJd6s4c3c KdJs7d3s2d Ac8c6h3h2c KsJd9c7h2c 
JhJc3s2h2d QhTs5s4s2c 9d8h6h4s4c 9d7h6d6c3d 
Ad9c8h7c3c Jd8d6c5s2h Ah7s5s4d2d Ts7d6d4h2h 
Qc8d5c3d3c 9c6h6d5s3d 8d5h4d3h3c 9c8s5c3d2d 
JhJc8c4c3s QhJc8s4d4c Qc9s9h6s3s Qc8s7h7d5s 
AcTsTh5d2s Qd8h5h3d2s KhTh4h3d2d AhTh7s2h2d 
KsTs6c4s3s AhTh7c2s2h Kh7c6h3c2d AcJh7h6d3h 
9s9c8s6s2h QhJc8c6s2d KdQh7d5d2c AcQc8s2d2c 
Qc9d8d5h3s 9s7h5s5c4s KhTs8c6s3s JdTs7d5d2c 
9h9d7c3h2c Jc8h6d5s2c Qh9d7c4c2h Js9h8c5h2d 
Kc8h8d5s3c 9c7h6c4s3c Qc9d8s6c2c KhQh9h9c2s 
Kc9h8c5c3d Td7h6s4c3h Ts7s6d4d2d 9s8s8c3c2c 
KhTc5s3s2c As8d7c5h3d QhTsTd3d2c KdJc9c8s3c 
7h5s5h4c2c 8d7h6s6c3s Jc5h5d4d3c 9c7s6d4c2d 
Kc4d4c3h2d QhJs8s5s3s Ts9h7d4c3d Qc5d5c3h2d 
Jc8c7h6s3d Ts9d8h8c3s Ts7d6s4s2d 9d6h6c5s3s 
KdJd7c3c2c QdJs7s6s3c KcQs6d4d3h Td9d7d4s4c 
Qd8h6h4c2c Kc9s7h5s4s KdJd6d3h2h Ts8s6c5s3d 
KsQs6d6c2h Qh7s6h5h5d QcJc6c4d4c Tc9s4d3d2c 
Kc8s8h6d2c TsTh5h3c2c Qc8d5d3c2h KdQd7c6d3d 
Qd8s8d6c2h 8s7s7c6d3s Ah8d4c2s2h 8h8d5c4s2c 
QsQc8d7d3d 9d6s6h5c3c 8c7h4s4c3h 9s9h8s3h2s 
QdTc7s4s3h Kc9c6c5c4s AcKc9d4c2h Ks8c6s3d2c 
Ac8c7c3h2h AhTdTc6c2s Qd8d6h5d3s Kd9d7h5d3d 
6s6c4h4d3h KsJs5s3h3d Kc7h5s4d2c 9h9c8c6c3d 
Td8s7h5c3h Jc9h8c7c2d 9c8s7d6s2h AhKd8d5d2d 
QdTs6h6d2c 8c7d6s6h3s 9d8s6s6h3c KhQs6c4c3d 
Th8c7s5h3d JsTh8s4s2s Qc9c6s4s2c AsJd8d6c2h 
Kc8c7c5h3s Jd8d6h5c2s Jd9d5d5c4h AdKc8s8h3s 
Qh9h6d4d2h Qs6d5s4h3s QdTsTd4d2d Ah7d6s6c4d 
QcJs6d5s2s Ac7s5s4s3h AhJc9s5s2d QcTh8s4c2c 
AdJc9h5c2c JsJc8h6d3d Kd8s6d4h3c Qd6c5d2h2c 
KsTc8c7h2c Qs9d7h4h2s Th9c7d6s2h AsQc9h6h3h 
Kh9s7s3h2s Qd5s4h3d2h Jc6s5h3c2h 9h7d6h6c3h 
Ah8s6h3h2s Jh9d6c5h2s Qd9d8d5c2h 9s9h8h4h4c 
Ks7d6s3d2h Qh9h9c7h4d Kc9d8s8h5d 9d7h7d6d4d 
9d7d5h4d4c TsTc9h5d2h QhJd8d7c3s QhTh8d4s2h 
QhJh5s3d2c KsQs7d6s3s 8h8c5s4h3h 9h8s8d6c3c 
9s8h7h3c2s Td8c6d3s2c Jd9c8s5s2h KdQd8c6h2d 
AdQs9c3s3h QcJc9c7h3c JdTsThTd9s 8d8c6d4h3d 
QdJs8c7s3h KsKhKd8d5h 8s7d4s3d3c AdJs7s6h3s 
QhJs7c4s2c 8d8c6d4d2s 9s6s6d3s3h AdKh8h4s2h 
QhTc7h5h3h QcJc6h3c2h KdTsTc5h2c QsJd9s3h3c 
JdTs7h5c2s JdTc8s4s2s Kc8c7s5d3c AsTd6s4s2c 
KcQdTc3c2c Qd7c4h4d3c Ks9h7h6d3h 9s6h6c3s3d 
Qc8h7s7h5h Ac7d4c3s3c Jd9d6d5s3d Th8s8h3c2c 
Ks5s5c4d2h Ac9c7d6s2c Ad9h6c2s2d Ah9s8d5s3c 
QcJc8h6c2s 7d6d4h2h2c KcTd9d5h5d Qc9c6d5c3c 
Jh8h4d3s3d QdTc8h7h2h AdTsTc5h2s Kh9s9d7c2h 
Ad9s8h5c3c Ts8c7d2d2c Ah9s9d7c3c Kh6d6c5c4c 
Tc9d7s7h3h 9s7d6d4c2c AcQh9h6h2d Kc7s6h3s3h 
KsJs9d3h3c AdJc7h7c3c Kc9h6h5s3h Kd9d8d6h6d 
Td9d7c4s3d Kd8s6d3c2s Qd8h7s7h5h TdTc6c3h3c 
Th8d5d5c4d Ac7h7c3s2d QdTh9h2s2h Ts9c7s4d3s 
Jh8d6d5s5c AdQh9c6c3c Ah8h4c2h2c Qs7s7h5h2h 
QhJc7d4c2d Ad9s7c6c3h JhTc8h6h2h QsJd6h5d2d 
Ah9c7c6s4c QdTd8s4h2d 7c6c4d2h2d 9d8d5s5h4c 
9d6d6c3s3h Qc8h7c4h2d Js9h9c8d3h 9s9c8c6c2d 
9h7s5d4d3c Ah9s8d5c3d AcQs9s6s2h AcTsTd6d2h 
KdTh6c4h3h QcJd9d7h2s QsJs9h8s2s Qd7d7c5c2c 
QhJh7c4c2h QdJc7c4h3s Jd9c8c5c2s Ah8d6c4h2h 
AsKh9h3h3d AcJd7h4s3h As8s7s3h3d KcTc7d3c2d 
Qc7c6h6d2h AcQh7d4c2c Ac7h5h4d2d QhJd7s6c3s 
Qc8h5h3c2d Tc9h7s6d2c KhTs6d5d3d QsJc6h5c2c 
AdKs8s4h2s QhTc6h3s3d Ts9h6c5s2d Kd6c5d3h2s 
Tc8s7h5s3d AsJd7d7c3d Jc9s7h4h2c Qs9h8s5s5c 
KcQh7c5d2c JsTh7c5d2h 9d8s8h2h2c Td9s8c5h2c 
Ts9h5d4h4c AsQh7h4h3d QsJc8d4s2h 8h6c5h4d3h 
Ah8s7h2h2c KcJc5c4c3s KcJc7s7c3d AsQc5h5d2c 
AdJs7s4h3s QhTd8h4c2h Kd9c8s6d3d Jh9h7h7c4d 
Ts9c7d6h2s AsKd8h8c3h Jh9d6h3c2c 9h8d6d6c3s 
Ac5s5h3s3d Kh8d5h4h4c Jd6d6c4s4d KcTs8c6c3c 
KhTh9h6h3h QsThTd3d2c Kh7c6c5s5d 8d7h4d4c3h 
Th8d7d4s4d 9s9c8c6c3h Ts8c6h4d3s 9s9c8c6c3c 
Kd7s7d6c3d Th9h6h6d4h AcTc9c5c2s QsQd8h7h3h 
8d6d5s5h3c As9d5c4s3s Qd9c6s6h3d Ks9s7c3c2d 
Qc9s9h7c4c Tc9s8d5h2d Ah8d7s4s2d 8c5c4h4d2d 
9s7h6c4h2c Qs8c7c4c2s Ts9h6h3c2c Kc7s7d6h4s 
8s8h6s4s3d Ac5h3d2s2c Ac8d5s5d4h Th9d5c4s3h 
Td9d7d4h4c KdJh8d7c2d QdTd4s3s2d 9h6c5h4h3d 
AdQdTd5d2d Jh7h5h4c3d KcTsTh5d2h 8s8h5d4s2s 
Tc8h7s6s2d Ts6h6c5s2h Ts9s7c4h3s KcTh6d4s3s 
KdJd8h5d2s KdTc8h6c2s Ac4h3d3c2s Ah8h4s2s2h 
AcQd4c3h2c 9c8h6d4s4c 8c6h6d5c3s AsJc9h5h2d 
Kh8c5c4s3s Kh5c3d2h2d Td8s7c6c2h Jh6c5d3h2d 
Ac8c6s3s2c KcQs9d9c2c JcTs5d4h2d TsTh7s3s2h 
8h7c6h4d2s 6s6d3s3h2h Th6s6h5s2s Kh4d3s3h2s 
AhJs9s4d3s 8s6s6c3s3h Jc8c5d2s2d Ts7c6c4h2h 
9h9c8s5d3s Kh9s6d5d5c Kd5c4d2d2c Ad8d4h2h2d 
Td9d6c3c2c Ks5d3s3d2d Qd6c5d4h3d Th8d7c5d3s 
KdQh9h6h3h JsTd6h2h2d Kd9h9c6h3s Jc9h7s4c3d 
Js9h5s3h2s As6h4s3s2h AdJh9c5h2h 9s7h6s4d3s 
AhKd8c4d2d 9s7c6d4c3h QhTc9d3s2c 9s7s5c4s4d 
AdQc6s4s4h Js8h6h5d5c Jc8s7h4d4c JsJd3h2s2c 
JhTsTc6h2h KhTc8h4d3h Jc7s7h4h2c QdJd6s3s2d 
Kd9s7s6h3s 9h6c5h5d4s QhTd7s3s2h 9d9c7d4d2c 
Ks9d7h6d3d QsTs6s4c3s Js9h4h4d3d 8d7s6d5d2c 
KsTc9c5h5c QsTd6h6c3h Jh5h5c4c3c 8h6c4h4d2c 
9h8d7d5c2s Kc5s4d4c3h QhJc8s8d2h Qs7d4d4c3s 
Ad9s7c6c4c 9s7d6c4d2c Td7c6d4d3h AhKs9d3h2h 
AdJs8s4h3s KsTc9c7c2c Td6s6d5s2s QdJd9d7h3d 
Jc8c6s4s2c 9d6h6d3s3c As5c3h3d2s 9h7c5c4h2c 
QcJd6s4h2c 9c6s6h5c4c JcTh4s4h3h Kh9s6s5s3d 
KcJs8h7c2c Td7s6d4c2c AhJd6s5d3d 9c7d6h2d2c 
Kh9c7c6d3c KdJc9s7c2h Tc9h8s5h3h As6s5s5c4s 
AcQd7h4s3h Qd7h6c4h2d As7d4s2h2c Ts8s7c6h3s 
Ac6h4c3c2h AcKs8s4d2s AhQh4h3c2s AhKc6s3c2d 
KdQs5c4c2h Ks9d7s7c4s 8s6c5c4c2h Js8h8c5d3h 
QcTsTh3d2s 9s9c8c5c2h 9s7h6s6d3s 8d8c5h4h3h 
QsTc7d3d2s JdJc3h2s2d AhKh8s8h3h Td8h7c5s3c 
As8c7s2s2h Jd9c7h4d2h Jc9c5d4c3s AhJc6s5c3c 
QdJs8h4d2c Tc5d5c4d3c Qs6d5s4c3s Kd9s7h5d2c 
KsJd5h5c2s ThTc9c4s2c 9d8h5d3h2c Td9h7s3d2s 
TsTd8s5s2c AdJc8s6h2c Kh6s6d5d4d QdJh8s8c2d 
Qh9d8c3d3c AsQs8h2s2d Qh9c7d4d2h Jc9c8h7c3s 
KcQc6s6d2h Tc9h6s4d3d QcTd9s3h2d Kh7c5d4h3h 
JhTh8h6h2c Jc8h7s7h4h Qh8c6s5h3h Kh8s8c5d3h 
KcJc8h7d2c 8s6h5h4h2d 9d7s6c4h3c AhJs9d3h2h 
QhTs7d3h2d Js8s6s6d4c Kd7s6c4d3d Ks6d5s3c2h 
AdJd7s7d3d AcKd7s6h2s Jh7d6d4s2h 9d9c7d5s2h 
8c5c4s4d2d Kd9c8d7d2s Qh7s4s4c3h 9h8c5s3s2c 
Jd9d8h7d3c JhTd7c4s2h Qd9d5h4c3s QcJh6d2h2d 
Qs9s8c7s4d Jc5c4h4d3h AhQh8h3d3c Ts9h4c2s2c 
8s6s4s4d2d Th9c4h3d2c QsTc8d5h2d Kd8s8h6c2d 
9h6d5h5c4s Qd9h8c5d3d AhTh7d2h2c Td7s6d4d2s 
KhQs7h5h2c KdJh8s8c3d Th8h6d5h3s QhQd9s7c2s 
QsJs9s7c3s 9h8c7s5d2c KhTd9d4s4c Ts5s5d4d3s 
KsQcTh4d2d Th7d5s4h4c Ts8s6c5s3h AdKh4h2h2c 
Js9d8c5h2d Qs9s7h5s5d Jc9h7c3d2h Ac8h4s4d2c 
QcJs8s6d2h JsJd9d4d2h Kh9h8c7h2s Kd9c6h3s3d 
8c6h5c4s3c Th6s6c5h2s QcTc7s3d2d Ks9c6c5c3h 
Qh9h5s5c4d Th6h5d5c2d Th7c6h4s2s JhTh8s6h2h 
AsJc7h7c3c Ts9s9c4s3s QcTc4s3s2c AdKh9h3h3c 
Kc9h8s5c3c AsKc5h5d2d Qh9c7d5c2d Tc7d4c3s3d 
Jc7c6h5s3c Kd9c7s5c4c Qh9s7d6c3c 9s8h6c4s4d 
KcQc9s9c3d 9c7h5h3s2s 9c8s8h2s2d Qc8s5h5c4c 
Kh8h8d5s2c Jh7h5h4d3s QcJh7s7d4s TsTc8s5s2d 
Jd9h7c4d3s QdJd8h6s3d Qc9s7s6h4s Qh8c5d3h2c 
AhQc7s4h2h As6s5s5d4s TdTc9h5s2h 9s7c5d2d2c 
7s7d5d5c2d Kc7s6h3d3c Jh8h6c3d3c Ks9c6d5h5d 
QsJc6h2h2c KhQc6h4d2h Qh7d6s4h3c Qc8s5s3d2c 
Th9c6c5d2s 7h7d5s5d2d 9d8h7d4h2d KcQc7h7d3s 
9h8h8c7h4s Jd9s5c4h3s Qs6c4s4c2h KcQd5h4h2s 
Jd9h9c6d3d Qs9s8d7h4s Qc8h5d3h2c AhKs8s4d2s 
Tc8h6d4s3c Td9c4h3h2d Qd9s7h5c4h QdTd7h3c2h 
Th8d4s2h2d Ts9h8c5d2h AdKc7s6h2s 8c5h4s4c2h 
Qc7h7d5c3s Js8s6s6d4h Ah8d8c4c2d JsJh8h3h3d 
Jd9s9h4d3c Jc9d8c6c4c 9d7c6d4s3d 9h8d5h3s2s 
KhJd9s3h2c QsJd9s7s3s Qd8s7s4d2s AsKh9c4h2d 
Js9s4d3s3d Ac9d8h5s3d Qs9h9c5d3h Qs9s6d5h2c 
Qs9d8d5c3h QhQd7d2s2c Ks8s5d3d2c Kh9h5c4c2h 
AsKh9h3h3c Kh9d8s6h3h Ks7h7c6d4c Kh5c4s4h3d 
Qh9h9d7s4h Qh9h6s5h3h JsTh7h6c2d KdJh8s7h3c 
9h7h5s4d3h Js9s9h8s4c KhTh7c5d2h Kd8c5d4s4d 
KcQd9s9c4c Jd8d6d6c2c Td6d6c2s2c Ks8d5c4d2c 
QcTc8c5c3d Ad9s6d4d3c 9s7h5h4d3c JcTh8d2s2h 
Td6h5h3d2c Js9d7d3s2h QhTs9s2d2c 8c7s7h5s2d 
Jh7s5h4d3c Qh9h8h5d2s AcKc9s4c2h Ks9c8s5s3d 
KcJd9h7s2d AcQs9d3s3h AsKs8s2d2c 7h7d5s5c2s 
9c8c7h4c2h 8h6h4h4c2c QsTc9d5c2c Ah8s8c4c2s 
AsQh7c3d2s Qh7c6s4h3d QsJs7d4d2s As6d4h4d3h 
Th7c6h4c2h Jh9s7d4h3c QhJh8h6s2d 8c5s4d4c2s 
Qs9c8s5s5h Ks7h7d4s3c QhTc5s5d3d 9h7d6s4d3c 
QdTh8h7h3s 9d8s8d3s2d Ts8c5h5c4d Qh9c8s7c4d 
Th7c6h6d2c AdJd7h7d2s QdTh9c7c2c 9c8d7d4d2c 
Ah7c4d3d3c Qd9h7h5h4s 8s5s5d4d2d Qh9s8c7s4d 
Jd6h4s4d3h Ah9h6d4s2c Ks8s8h4d4c Kd6s4s4c3c 
Ts9h7c6d2s Qh9s9h7h4c Ts8s6s5c3h 8s5h4d2s2d 
JsTd7s5s2c ThTd9d4d2s 8h8d5d2s2c JhTsThTc9c 
Qd9h8s3s3h 9c7h6s4c2s AhJh7s7h3h Jd8c6c5s3h 
QcTs9h7s2s Ac9h5s4c3c AdJs8s4c3s KhQd6h4c2h 
QcTh7s7c3c 7d5d5c4s2s Jh5s4h4d3d KcTs8h8c2c 
Qd7h6c4d2h Jh9s6h5c2d Ac6s4c3c2s 8d5s4d4c2c 
Td8c4d3d3c Jh5h5d4d3d 8d7d5c3s2s JsTc5d4h2d 
AdKd9d2s2h JhTd6d3s3c KsTh5h4d3h Ks8s5h3h2d 
8s7h4s4h3h 9d8c7h5s2c KdTs8d8c2d 9c6s5d4h3d 
Kc8s5s4h3h Qs7d5s5c2c Qc9h9d8h2s Kc8s8d5h3c 
JsTh8h3d2c Th9c7s7d3d AdKh4h2s2h Tc9h8c6c2c 
Qc9h9d6h3h Ks9d6h5h5c QsQc8h7h2d Ks7c4s4h2h 
9s8h8d6h3h Tc7d6h6c3s Jh7d7c4c2h KhTd8s7c3s 
QcJs6d6c3c 9c8s8h5c2d KcQs7c5c2h ThTd5d3s3d 
JsTd8h3d3c KhJs9c7d2s Js8h6h5d3c AdTs8h6c2h 
JhTc4s4c3c JdTs7h4c2d 7c5s5c3s2h QsQh8c7c2d 
KdQc9c6c2s AsTs9s5s2c Th7s6s4d2d Kc5d5c4h2s 
Jc9s7c4h2h As9d5h4s3s QsJd9d7c2h AhQd7s4c3s 
Ts8d5h5d4c QdQc9h7s2h Ts6d4h3s3h AhQs8c4d4c 
9c7h6s4h3d Js9s5d4s3h Th9s8d5s3s KdQd9d5h5c 
Th8s5d5c4s ThTdTc9s9d Ks9s6s4h2h Jd5d4s4h3h 
KsTc8d6c3c Ad4h3s3d2c 9d7s6h4c3h 9h8s5d5c4d 
KsJc9d6c2h KdTh8d4c3d Ac6d4s4d3s QcTc7d3s2s 
Qd9c6s6h4h Td8s7c5c3h 9c6s5d5c4h 9d7c6d5h2s 
QsJc7c4h3d 9h7d5d4c3s QsTh9c7c2c QdJh6s5h2h 
9s9h8h4h4d 7d6c5d4s2h Qh9h7c5h5d Ah7d4h3h3c 
KsQc7d4h4c KsQd9s9c2s Kc8c6h6c5c KcQs7s4d3s 
ThTc9h4h2d KdJc8c7h3s Ts8c7s5s3d Ks9s8s6s6d 
9c6s6c3h3d Ks9s8c7s2d Td6c5c3d2h 7s6s4d2h2d 
Jh8h7c5s3h 6s6c4h4c3c 7d6c5d3s3d Ac9d7s3c2h 
ThTd5d4s3d TdTc9d4h2d Jh9h9d4s4h Td8d7s6c3d 
Ts9d8h4d4c Ad5h3s2d2c AsJs7d4h2s Ts9c6h5s2d 
Ts9d4s3c2d 9d8d7s7c4d Jh8h6h4d2d Jc9h4h4c2d 
AsQd7h3s2c AdJh7h6s3h Kc4d3h3c2h Kd9s6d3h3c 
Tc8d7s2s2d Qc8s5s3c2d KhQc7h5h2s QhJd9d7c2s 
AsQdJc7h2h Kh9c8h7h2d Ts9h7d3s2d AhKc6c2s2d 
Ks9d7h5s2c KsTd9c5d2h Jc8c6s5h2d Jh7d6s5d3c 
QcJd4d3s3d TsTh4s3c2h Jh9s8d3d2s Kh9s7c5h2d 
AsQd8c4h4c Jc6h5s3c2s Ah7h7c6h2d KsQs7h7d3c 
Ah9c7s6s3d 9h8s7s5d2c Ts9s7s4d3h 9c8d5s5h4s 
Jh9h7h5s5h Qs9s9h7s4c Jh9d6h5c2s AcQd8s4d2h 
Ks9c7d5s2h Tc9h6s5c2d 9s8d6d5d3d Qh5h5c3s2c 
Qd9d6h4h2d Jd9h9c7h3h 9c7d4d3s3c Qh9d7d6s4d 
KdTs5s3c2c Ah9d6h4h3c As9s5s5d2h AcJs9s4d3s 
