Kh9s7d7c2c 
Qh9c5s2s2d Jd9s4h4d2d 9d8s4h4d3d 9s7d6c3h2h 
KsTd6c2h2c Qh7s6c4d2s Kc4h3s3d2c Td5s3s3c2c 
KdTh3h2s2c 9d5h4c3s3h 7c5c4c2h2d Jh8s7c2s2d 
Jc8h7h4s2h KsTd7h3h2c 8c6h4s3d2c 7c5c4h3c2c 
Kc8c5c3s2d Ac5h4h3h2s Ac9h4d3h2d KsQc7s3s2h 
Kd9s8h4h4c Jh9c4h3d2s Qh9h4c3d2s KsQh8s3c2s 
8d7h6s3d2c Qc5d4s4d3d 9c5s5d4c3c Jc7s5h4h2h 
Kd7c6s6c2h 7h6d4s3c2c 9s8d7s3h2c 6c5c3h3c2d 
Qh8s6c3d3c Ts8s4h2s2c Kc9d8h4s3h KhTc6d2s2d 
Jh8c7s4c2c Kc7d6h4h2s Js6c4s4h2d 8s5s4h3d2s 
Jc5c4c3s3h Kc8d6d4d2s Kd9h7s7h2h Jh9c6h3s2h 
KsJs7c2s2d 9h6h4h3s3c Jh6c4h4d2s Kh8s7c3s2c 
8s6d4h3s2s 9c7d6d3s2d Td9c4s3c2c Td8h6h3c2s 
Ts9d4h3h2c AcTd5h5d5c Js8d7h2d2c Kd9h8h4s4c 
Qd9c8c4c2h 6h3s3d2d2c Kd5h4h3h3c Kc7s4h3h2s 
Qh8c7s4d3s Js6s5s4c2s Kh7c6s4s2d Qc7c6c3s3c 
KcJh8d3h2s AcJs3s2s2h Qs7h6h3h3c Jd7h3d2h2c 
AhQc8s3d2d Jc9s7c3c2d 9d6c4h4d2s Tc8d5s3s2h 
Ac8s4h3s2h As5h4h3h2d Kd9c5s4c2c Tc7c5d5c2h 
Jc6s5c3h2c Js8c4d3h3d 7d6h4s3h2h AsQc9d3d2d 
Jd4h3s3h2s Ad6c5s3h2h Qc8c7d4s2c Td6c4h4c3c 
JsTs7h3s2s Kc9d6c4c2c Jc9h7h3h2d Js8s6c4s2s 
Ad7c5s2s2h Ks9s5s4c2s Qs8s7h4c2s QhJsJhJd3s 
JhJc8s3s2s Qd6c5s3h2c Kh6c5d3s2c 8h6s6d3s2c 
KsJcThTdTc Kh6d5s3c2d Jh6s5c3d2h Qc8h6c4c2c 
Qs7s7c4h2d 8h7s6c3h2d Js6c5s3h2s Qc9c8c4h3c 
Ah6d4s4d2c Jc9s7d2s2h Qh9c7h5h2h 9h6h4h4c2s 
Ks9c6h4d2h KdTs8c3h2c 9d7d4d3h3d Kd8d5d3h2c 
Qd9s5h3s2s Ts8d5s3s2c Ac5h4d3s2d 8h4c3h3d2d 
As9h8c3d2d ThTc4s3h2d Jc6h5c3s2c Th9d4s3c2s 
Jd9h6c3s2h Js9s5s2s2d QsJh7d4c2d Ah9s6s5s2s 
AcTs7s3s2s Qc9h8h3s2d Ah9h5h3s2h KsQs8c3s3h 
Js9h5s3s2s Jh6d4h4c2s AsTh7c3h2h Ts8c4c2d2c 
Tc8c6d3h2c Ad9s9d4d2d QhTc7h2h2d QsJh8c3d2c 
Kc9s7h7d2d JsJc5s5h5c 9s7d7c3h2d 7s6c4d3h2s 
Ac8h5s5h5c Ks7d6c4c2h Tc9s4d3d2h Tc8c5d3h2c 
Kc8s8d4h3d Ah8s6s3s3d QsQdQc8c5s AcTh5s3d2s 
KsQc6d3d2d Tc4c3s2s2h Kc9d4h4d2h Jd8h6s4s2s 
9s9c3c2h2c Td9d7d2s2d Kd9h8h4c3s AsTh3d2h2c 
8h4d3s3d2s Ac8d5d2s2d QsTd6h3h2h JsJhJcTh2s 
Ac7s5h2h2d Kh8c4s2h2d 9h9c3s3d2c Jc9d7h4d2d 
Qh9c4d4c3s Qh5s3d2s2d As8s5s3s2d Tc8d6c3c2s 
Tc8c4h2d2c Js9d6d4c2d Jc7d3d2h2c AhJh5h3h2h 
Ts9s9d9c8c 9h8d4s4c3s Tc9c5c2h2c AsJc3h3d2h 
8d7s6d3h2c Jh6s4s4c3s Jh6d3d2s2h 8h5d4c3s2d 
9d8d6s3d2d Qh9c7c3d3c KsQd7h3c2d Qh6h4s3c2d 
KhJs7h3d2h Td4d4c3h2h Ts9c4d3d2h KhKdKcJc8c 
Th8d7s3h2c 8c7d7c3h2s Qc6d5c2s2c Ks7h5h4d2h 
KsQs8s4s2d TsTc5d3h2h Tc8h6d3h2s Qc9c4s4d2h 
AhJd7s7h7d Th8d6h3h2c 6c5h3s3d2s Ad9d6d5d2d 
QcJh6d2s2d QdTh7c3h2s Qh8c5d3h2h 9h5s5d4h3h 
Td5c3c2s2d 7c6d4s3h2d Kc4s4d2s2h 7h4d3s2s2h 
Qs8h7d4c3h Ad9s5s3h2c 9d4c3d3c2h KcJd7d3s2h 
AsJh4h3h2c Kh9s7d7c2d Jh8s7d3s3c Qc8d5c3s2c 
7h5h4s3h2c Qc5c4c3d3c Td8c4s4c2c Jc6d4h4c2s 
9c7s6s3h2s KcQs7c3c2d 8d4h3d3c2c Ac9s5h4s2d 
Jd9s5s3s2s Kc8d7c2s2c 9s4h4c3s2c Jc7c6h6c2s 
Kh8d7c4c3c Qs9d8h3d2c Jd7s7c4h2d Ts7s5d2h2c 
AcQd6d3s2d KhQh8h7h3h Ac9d4s3c2c Jc9c6s3h2c 
9c7h7d3c2s 9c8h4s4d3d Jd9s4h3c2d Jh8h3s3h2s 
AsJd4h3d2d 8c7s6s3h2d Kd9c6h4s2s KdQd7d3h3d 
Jd6d5d4c2d Tc6h3h3d2d Kd9h8c4s4h Qd8s3s2s2d 
7h7c3d2s2c 8h5c4d3s2c Ah8s6s4s3s JcTs6c3c2c 
Kh4h3c2s2d Tc6c4h4d2s Kh9d4s3h2c Ks9s8s4c3s 
Jc7d5s5h2d Td5c3c2h2d Jh9h4h4d2s Ks7d4d3h2h 
Jd7h3h3d2s 9c7d6c3h2c Tc7h7c5c2c 7s7h5c3c2c 
JsJc5s5d5c As9d8c3d2d Jh6c4d4c3c Th8d4d4c2d 
Qc7d5h2s2c QdJh8c3s2s Td8d4d2s2c Th9s4s3s2c 
KhJc7d3h2h KsQc7d3h2c Jd7s3c2s2d Jh7h6d6c2s 
6s5s3s3h2d AhTd5s5h5d KdJs8h3c2s As8c5s5h5c 
Kc8h5s4s2s Kd7h4h4c3s Ks7s6s2h2c Tc6h4d2s2c 
Jc7c6h6d2s 8c4d4c3c2d Qs6d5d5c2d 9s6s4d3h2c 
Kd9s8h4c3c Kh8d7h2h2c 9s7h6d3d2c Kd7d5d2s2h 
8h6d6c3c2s Ad9c5h4c2s 9c5c4h3d3c As6s4s3c2s 
Tc4s3d3c2s AhTc5h5d5c Jh5c3h3c2h Js8h5d3c2c 
Js7h6h3d2d 4h4d3s3c2d KsQh6c3c2c Kd9d3h2h2d 
KcTc4c2h2c Th9h4s4d2h As9c8d3d2h Ad8s5c2h2c 
AdTd6s3d2d KsKhKdTc4d 8c5h5c3d2s 8s7s3d2s2d 
7s4d3s2s2d Th9h4s4h2h KdJh4c2s2c Qd7s7c4h3h 
Ks9c5c4d2c Qc8s5c3c2d Qs5s4s2d2c Qs9c5h5d2c 
9c7s6h3h2d AcJd4s3h2h 9c8h4d4c3c Qh7s7h4c2d 
Ah8h5h3h2c Td7s5h3d2c Js7c5h5d2c Kd9h6c4s2s 
Js7h6h3c2c Ah8s6s3s3c 8s8d6h3h2h Th5h3s2s2c 
7d5d4h3d2s Qd9c5s5h2c Td7h5s4s2s Jd9s7c3d2d 
Ah9d4s3s2d Qc8c7d4c2s Td6d5h5c2d Ks6h6d4h2h 
Qh7s3d2s2h Js6s5s3c2d Jh7s6c3c2s Qs7h6s4d2s 
7h6s6h3h2d Jc6s5h3d2c Qs9s8s3s3d Qh9s6d4c2c 
6d5c3d2h2d Th5d4h4c3h Kc8s5h5d3h Ks9h6d4c2c 
Qd8d7d7c3d Js5h3h3d2d Kh9s5d4c2c Ts9c4c3h2c 
Qc7d5h4h2s Kh9c8s4c3d Jd6s5d3d2h 8d8c4s3c2h 
Qc8d5d4d3d Qs9d8d4d3h Kh4s3d3c2h Tc7d5h4h2h 
Jc6s6h5s2s Qs7s7d4h2c AdTs7s3s2s Kd7h6s6h2h 
Qc7c4h2h2c Th5h3c2d2c Td9s4c3c2h 7c6s4h3d2c 
Qc7s5s3s3h 6h5s5h3h2h Qs7h5c4c2d KdJh7d3d2s 
Js7s4h4c3s 7s7d3c2h2c Kd8d5d3c2s 9s4s4c3c2d 
Ad9h9d9c5c 8d6h4h3h2c 8d4h3h3d2s QcTs3h3d2h 
9d5h5c4c2s Qs8h7s4d2s Js6s3d2d2c KsKdKc8d2c 
Kh6s6d4s2s Tc6s5d3d2h Kh9s8d4d4c Kd7d4c2s2h 
AsKh8c3c2c KsQc7h2d2c 9s8h4s4d2c Js7s6s6h2c 
Qc9d3s2s2d Qd9c8h3c2s KsTd8d3h2d Ts5s4h4d3s 
Qh8s8d4d2c Qh7h4d3d2d Ah6d5d2s2d Th6c5h3d2s 
Th5d5c4h3h AhJs6d2s2c 9d5d4s4c3d Kh8c6s4d2d 
Kd9h4s3c2d 8c6c5s3c2c 4h4c3s3d2s Qs7d7c4h3h 
Tc8h7c3d2s Jh7s7c4d2h 9d8c4s4d2h Jc5h3s3h2s 
8c6d5c3c2c 9s7d6h3c2h 9s8d4s4c2h Kc9d8h4s4h 
Tc5c3s2s2h 8h6h5s3h2h Qc8d5c3c2h Ah9c8s3d2c 
Qd6s5s5c2s 7s5c4h3c2c Js6s6c4s3s KdQs8c4c2c 
Jh8h5h2s2h Kh9c5d4s2s Qc8h8d4h2s Td6d5s3h2d 
8s8c3h2d2c Qc8h6s3d2c Ah8s4h3h2d KsTh8s8h8d 
Qh9h8h3h3c 9d6d4s4d2h Qd7d6d5d2s Tc6s6d4d2d 
Kc9d7c2h2c 8c7d5s3c2c 9h8c6d3d2d QhTd6d2s2d 
Qh6h6c3s2d QsQdQcJs9h 9h9d3c2s2c KsTh3c2h2d 
Ad9c8c3c2h 9h7h6c4h2h Qd7h6h3s2s AcJh4d3h2h 
Kd8d7s2h2d Js7d3h2s2h 8c4h4c3h2h Qc6s6h4d2h 
Js4d3s2d2c Qs7d4s4h3s Js7d7c6d2h 8s5s4s4d3s 
Td7s5h5c2h AdTd6c3d2d KhQd8s2d2c Qh6d6c4s2d 
Ah7s6s6d2s Td9h4h2h2c 6d5d3s3d2c Qd6h4d3c2s 
Ts7s7d2s2h Kd6h4h4c3h Ah9d4c3c2d Ah7h3h3c2s 
Jc5d4h4d2s QsQhQc8s5c Ac9d4h3d2h Jc4c3s2s2d 
Ts8c4d2h2c Qc9d8s4h2s JsJhJcTc2s Ad8d5d3s2d 
TsThTc8c6h QdJc6h2s2h Qs9d5c2h2c KdJdThTdTc 
9s7c6c3h2c TsTd6c3c2c Ks8d8c4h3c QcJh6s2s2d 
As7d6h4h2h QdTc8h8d8c Ad8s4h3s2h Th8s5h3h2c 
TsTh4c3d2s Jh7h5h4s2h Js9h4s3d2c Kh8d5s3s3c 
As8c4h3c2h Qh5d5c3h2s 8d4c3s2s2c 9d7h6c3s2s 
Qs8d7c3c2d Ks7h4s3d2c Jd8h7s4h2h 9h6h6d3s2h 
KdTh4c3c2s Ks7s4c2h2d Ts9s9h9c8h 9c7c4c3h3c 
KsQh8c4c2c Qs8s7c4s2h Ts7d5c3h2s Ad6h4s4h2c 
Kh7h6h2s2c Jh5h3c2h2c KsQs7d4s2s 8c5s4h3c2d 
9h8c7d3s2d Qs5s4h3c2s Tc8d4s2h2d 9c6c4s4h2d 
Qd6d5d2h2c Ah7s6c4c2c Td6c5d3s2d KsQd6h3h2h 
Tc6s4h2d2c QhJh7s7c2h JsJhJd6s6h Ks5c4h3d2h 
Kd8s8c3c2s Tc8c4c3d3c Tc9h4c3c2d Qc8c6d3h2s 
TsTd6d3h2d KsTc4c3c2d Tc6h5s3h2d 9h6s6h3h2c 
Qc9s4s4h3d Jh9s7d3h2h AcQsQhQd8d As8h4d3d2h 
As8h4d3h2d Jd7c5s3h2d Qs8h8c2h2d Td4d3c2s2c 
Ah9h4d3h2c Js8d7h3d3c Th5h3s3d2d Qd8d7h3d2h 
7s6s6h3s2c Tc6d5h3s2s Ad9h5c4h2s ThTc4d3h2s 
QhTc6c2d2c Ks7s6s4s2d Ah9h4h2s2c Qs6c5h3d2h 
Qd9s6c4s2s Kh8h8d2h2c Js8h3s2s2h Qd5s4s3h3c 
Jc4s3s3c2c 8c6s6h3d2c 8d7s6s3c2h Qd6d4s4h2c 
Qd9s6s4h2s As9s4s3c2d Kc8s4h2d2c Ac9s4c3c2d 
Ac9s3d3c2c Kc9h8s4s4d Jh8s4h3d3c Kh8h5d3s2h 
Ks4d3h2h2d Ad7h5s3h2c Qc7h6s4d2h 9c7c5c2s2c 
KcQc7h3c2d Kh9c4s2s2c Jd9s8d3d2d 6h5d3s3c2c 
KcJc7s2h2c Kh8s5d3d3c 7h5s5h3h2c Qh9c4s4d3s 
AhTc7s3s2s KsKhKdTd6d 8h5h4h4d3h Ad9d5d3h2d 
Qh9d5c2s2c Ad9c4d3d2h Kc9h4s3c2d QcJd3s2s2h 
8d7h5d3d2s 7d4h3h3d2d 8s8c4d3c2h Jc7h3s2h2c 
9s4s4h3d2d AdTs6c2s2h JsJdJcTc8h Kd7s7d3c2h 
Ks7h5c4c2c AhJd4c2s2c KhJs8c3d2s Jh9d6d2s2c 
Kh8s5c4c2c Qc8s3s2s2c Qh9d5s3d2d Qc5c4c3d2s 
Qh6s5d5c2s Td9d3h2d2c Jh9s7c3h2h 8s7h3s3h2s 
Jc8d7h4s2h Tc9h4h2s2h Ks8c6h4c2c KsTc4h3d2d 
9c5c4h4c2s Qs9c8c4c2d Kc8s6h6d2s TsTd5h3s2s 
Qc7h6h4s2d Jc9d7c3h2c Kc8s4d2h2c KcQs8d3s3h 
Jc5c4c3h3d Td6d5c2s2h Ac9c7s3c2c 8d8c3h3d2d 
Th9s4c3c2c Qh9s8c2d2c KhJs3s3c2s Jc9s9h9c8h 
9s6s4s4d2h Qs9h8h4c2h Ks9h8h4c3d Ac8d4s4h3s 
Kc5s4h3d2h Kh7s5s5d2c JsJdJcTd8h Jc7d5h4d2d 
9d8d7d4c2d 8h6s6d3d2c 7c5c4h3c2s Ad7s3d3c2d 
Js9c7s3s2d 8h8d3d3c2d Qh8s3s3h2h KsKhKcQd7s 
Kd9d8d4s3d Kd9c8h3d2d AhJc4s3c2c 9c6h4d4c2s 
KcQd6s3s2s Qh8d8c4s3c 9d8d7d4d2h Ac6s5d3h2h 
Ah8d4s4d2c Qc9d6s4d2d Kd4h3c2h2c Kd8d7d4d3c 
KcTd7s3h2s Ks5c4h4d2c Ah6d5d2d2c Tc8d5c3s2h 
Qc5c4c3h3c AcQsQhQd8h Js7d3d2s2h Qs7d6h6d2c 
8s6d6c3h2h Th6h4h4d2c Ts7d3s3d2d Jd7c3h3d2c 
Ts6s3c2s2c Qh9d4s3h2c Qh5h4h4d3h Th7h5h5d2s 
9s7h6d3c2d Kc8s6d3s3h Jd6d3c2h2c As8h5c2h2d 
9d5d4h4d2c Ks8s5s3h2d As9c8c4c2h KsJsJhJd6h 
Qd7h5c3s2d As8d4h3d2h TsTh4d3c2s Js4d4c2h2c 
AsTd5d3d2h Kh9d4s3d2s Th6d5h4h2h 8s6h6c3h2d 
Ts8c5h3c2d 8s7s6c3d2s Js7h7c6d2h 5s5h4h3d2c 
Qd9h9c3s2c Kh8h7h4h3c 8d4h3h3c2d Kd8d5d3s2c 
Ad9s4h3h2s 9h9d7c3d2d AcTc4c3d2c 8s7c6s3h2d 
Tc8h8d3s2s AdTs6h3c2s Qd5h5c4c2s Jd9d6h3d2c 
Ah7h4h4d2h 9s5s5h4s2c Kd8c7h4s3c Tc8c4s3d2h 
Jh8c4h3s3d Ks8d6h4d2d Ac9h8h3h2d 6d5d3s3d2h 
As7s6s2s2d Tc8d5c3c2h AsTh7d3c2c Jd8s4h3h3c 
Tc5c3h3d2d Ac9s8d3h2h Js6d5s3s2h As6d5d2h2d 
KsTh4h3h2d Jc7c6c5s2c Qc8d7h3h2d KsQc9d3d2d 
7s7h5d3d2d Jd7d4s3d3c Kd4h4d3d2c Qc8h8d4s3h 
As7h5d3h2c Qd9d4c3s2h QsJsJhJc5h Qd9s3h2s2h 
Qs8d5d4d3d 7s6d4s3c2s JsJc4s4d4c Jd8h7c4s2c 
KcQh8d2s2h Qc9d4s4c2h Th6h4h3d3c Qh9s5s5d2s 
Kh4s4h3h2d Th7s7h2h2c Qs7h6h3c2c Js9d7d3d2c 
Ac9s8s3h2s Jh7d3d3c2h Kd8h6c4s2c Kh7s5s4c2s 
9s5c4c3h3d Js7h3h3d2s Kc7c6s6c2c Js8d7c4h2c 
Qs7s5s5h2d Ah9h5h2h2d 7d6s4h3d2d 9d8h5h3h2h 
AcTd4h3d2s Ks8c6h6d2c KdJd5d3d2d Kd9h4d3c2s 
Kh8h5d3c2h 8h6c4c3c2d 9s5s5d4h2c AcJd4d3d2s 
Kd7h6h6c2s Qc8h7h5h2h Kd8d6d2h2c KsKhKdQc7h 
Qh9s7s7c2s Th8h6h3s2d Qc9s6s3h2d Td8d6d3s2h 
QcJc8c3c2d 9c6s6c3h2c KcTd3s2h2d Kc9d5h4d2d 
8d7s6c3d2h Kh8s8h4h3h Td9c4h3d2d Jc8s8c3h2d 
Qd6h5d2s2d KhTh6h3c2h Jc9s7h2s2d Js8c6s4s2s 
9s8h5c3c2c 7h5s5h3d2h Qh9h4s3c2d Ts6c5h3c2d 
5s5c4c3d2h Js4s4d2s2h As3h3d2d2c Th6c5s2h2d 
Jh8d6s2d2c 9c7c4s4c3c 6h5s3s2s2d 7d6c4s3s2h 
AsTc4h3d2c KcTh6s2s2d Ad7h5h2s2h Kh5d4s3d2d 
KsQd7c2h2d Th8d8c3h2h Jh9h4d3s2c Jh6c5h3h2s 
Kc6h6d4d2d Qs9s4s3d3c Kh8h8d4h3h Qc9h7c5c2c 
9h4d4c3h2c Jc6d4h4c3c Kd8s8c4h3c Qc9d4h4c2s 
Jd6c5d3s2d AcTd5s3d2d Kc9d4h3d2h Kd7s6h4h2c 
Kc9h5d4s2d Kd8c5s4s2s 8h7d4s4d2d KsTc3c2h2d 
Qd7s6s4c2h Ks5d4c3h2d KsTc5c2h2c Kh8h6c3s2h 
Tc9h4s3s2d Qs8s6c3d2h 8s5s5d3h2c Ts8d6c3c2h 
Ks9s5s4h2s 9s8h4h4d2c Th8h4h4d2h Ks9h6h4d2h 
Tc6d5c2s2h Qd7c4h4c2h Js5h4d4c3h Td8d4d2s2h 
Kc8h4s3h2s Ac9h9c4c2c Jc6s6h4h3h Qh9c5h4h2h 
Jh8d5d2s2c Tc8d7h3c2s Kd6s3h2s2h 8s4h3h3c2s 
7h5h5d3h2c Jc5h4d3c2s Jd9h6d3s2d KdQh8c2s2h 
Ah7s6s4s2c 6c5s3c2d2c AdKh9c3c2c Ad8d3h3d2s 
TsTdTc8d6c Kh7h4h4c3h Ks7d5d5c2h 8h6s4d3c2h 
Ks9c8c4h4d Kh8d7c4d3d KcJd7c4c2c Qh7d7c6d2s 
Th8d8c3d2d Ks6c3h2h2c Qh8s7c4d3s 5d3h3c2s2c 
ThTd4c3h2s AdJsJhJd9d Js6h6c5h2h AhTd3s2d2c 
9s9d7c3s2s Ah6s4s4d2c Js7d6d3c2c Ts4c3s3c2d 
Jd6h5h3s2c 9h8s7c3d2s Td6h4h3s3h Qc8d7s7h3d 
QsJc7d3s2h Jc7d4d3c2c AcTh5h2h2d Qh9h6h4h3h 
Jc6s5s3d2h Th4h3d2s2d KhTs7s3s2c Qh8s8c3d3c 
Kh8h7c2s2h Jh6d4s4h2c AsJc7s7h7c Kd4s3d2h2c 
Ah9c5s4d2s 5c4d3s2h2d Kc9h5d4h2h Qs7d7c6c2h 
9h7d7c4h2h Kd6h6c4h2h Qs6d5d4d2d Ks9c8h4h4d 
8d6s6c3h2c 9s9h5s3s2s KhQh3h3c2h Ks9c8d4h4d 
Qh8h7h7d3h 6h5h3c2s2h Td7d6s4d2d Qs7s7d3d2s 
QsJh7d4c2c TdTc7s3c2c Jd8s4d4c3d QcJs8h3d2d 
Ac6s5s2s2h Kd9s7d3d2h Js7c5c4c2h Th7h7d2h2c 
Ks8h8d3d2h JsTd6d3d2d As7s5s4s2s Qh8h6c2s2h 
Qs6d4h2s2c Td6c4s3d2h KhQc7s3c2d 9h8d4s4h3h 
Js4s4h2s2d Jh7h5d2h2c Qh9s7h5h2h Jd5h4c3s3h 
KsKhKcTs6s Ah8s4c3s2c Td5h3h3d2d Jc4h4c2d2c 
Js6s5c3h2s Kc9h6d4s2s Kd8c5h4h2h JdTd6d2s2d 
9s8d6c3c2c 9h8s6c3s2s Kc9h6s4d2d Ah9d8c3s2c 
KhKdKcTc6c KhJc8s3c2d Jh7c5c4c2s Qc9d7d6d2d 
Jd8s6h4h2h 9c5s5h4d2h Kh8s7s7c2s Ks7h6s2s2d 
As6d5c3c2h Kh9s8s4c3d 9c5s5c4c2d 9c8s7c3d2h 
Qc9s9c3c2h Ts9s5s4s2s KdJc7d2h2d Qc9d8s2s2h 
Jh9s9h9d8s Jd6c3c2s2d Ts5h4s4c3s QhQc7d3s2d 
Jh6h3d2d2c Kc9d8s3h3d AcQh8h3h2h 8h4h4c3s2s 
9c5h4d3s3h KcQh3s2s2d Ac7s5s2h2d Js7d4h4d3c 
Qd9c8c3h2s 7s5s5c3s2s KhQd8s4s2s Qc6s4d4c2c 
Jh7s5d3c2h 8s7s5h3s2d KdQh7s4c2s Ts9h4c3c2d 
TdTc4h3c2s Ts7d7c4d2d Qs6d4s4c2s AhJd4d3d2c 
Jc5s4h4d3h Qd9d9c3d2h As9d4c3c2d Ks9d6d4c2d 
8s7h5s3s2d Ks7d6h4d2c ThTc4d3c2s QhQdQc8d5h 
Jc9c4h4c2d Kd8h7d3s2c KhJsJhJd6d QsJsJdJc3d 
Ts8h8c3d2d Ad8d3s3d2c 8h8d7s7h7c 5h4s4h3d2c 
Td6d6c5d2d 8d5d4c3d2h KhTs7d3c2d 8s7c6c3h2d 
AsKc8c3c2c Td6d3h2h2d Ts6h5c2s2d KsJd8h3d2c 
Kd7s7h2d2c Kd7c5s4c2c 7h7d6h3h2s Qh6c5d5c2c 
Jc6c3s3h2h Kd9h5h5c2s JsTs6s2s2c Qh9d5c3s2d 
KsTd7d3d2c Qd6d3s3d2s Tc6s5c4c2c QsTd7s3c2s 
Jh4h3d2s2d Jc9d7d4s2d Kd9h7h3s3h 9s8h7c3d2h 
7d7c6h3s2h QdJc8h3s2h 9h5s4c3d3c Th4h3s3c2s 
7s5h5c3d2c Qh8s4c2h2d QcJhJdJc3d ThTc4s3c2d 
Jh9c7s4c2c QsJd6c2h2c Ac7h5h3d2s 9c8c7c4s2c 
Kc8d7c2h2c AhKd8c3c2c Qs6s6c3d2h Kh9c8c4d2s 
Ks8c6d4h2d 9s7h6s4s2s Jh7s6h5h2h Kh7d4s3h2c 
8h6d6c3d2s Jh9h8h3c2h JcTc7d3c2c QhJh8h3h2d 
Ac6c5c4c2c Ac7h6s4s2s Ac9d4h3h2d Kh4d3c2d2c 
KsKhKcQh5d Qd8s8h2s2c AhTd5d3s2d Js6s5s2h2d 
JsTh6h3h2h KhJs8s3c2d Kh7c5s4c2c 8c4d3s3d2c 
KdJsJhJd5h Qc9h8s4d2s Th5c4s4c3d Ks8d7d4d3h 
Qd8h7h4h3s Qs9s8c4s3s Kc9c5c2s2h Jh9h6c4h2h 
Jd7s4s4c3h 9d7c6s3h2h Jc7s3s2d2c Qh7d4h4c3h 
Jh7s6h3h2s Jc5h3d2h2d 8h8c4s3d2h Ac5h4h3s2h 
As6s3h3c2s Kd8h8c4d2d 9d7d6h3c2d Qc7c5h5c2d 
9h7d6c3s2d Jc6c3s2s2d Jh7s6d3d2s Ah6s5s3c2s 
Jd9h4c3s2d QdJsJhJd5s KdQc8d2h2d Tc8c7d3h2s 
Qs5s4s4c3s Ts7h3d2h2d Qc6c5c2s2d 8s5d4h3h2c 
Td8s8c3s2s KsKhKd8d2s Ts9h3h3d2c KsKdKcJc5h 
Jd9c7d3d2h Th9c4d3h2h Kh8d7s3c2h KsJsJhJd6d 
Jc8h4d4c3c 9s8s4h4d3c As9d8h3c2d Kh8d3h2h2d 
Js7d6h6c2s 9d7s6s4s2s Kh8s6d4c2c Ks9s7s3c2h 
Ts4d3c2s2d Ts9h4s3s2d Th7c6s4c2c 8c7c5c3h2s 
Jd9s9h9d8s Jd5h5d3c2s 9h5s5h4d2c KcQc7c3h3c 
Ks9s9h9c8c 9s8h4s4c2d 5h5c4h3d2s Jd6d4h4d3c 
Jh7s5d4s2s Td9d3d3c2s Jh7c6c3s2s 8c5h4s3d2c 
8h5d4d3s3d Th8s4s2s2d As6s4s2s2h Qh9s6s3d2c 
Qc8d6h3s2c 9c4h4d3c2d As7d5d3h2c Qc9c8c7c3c 
8d4h3c2h2d KsQh3d2d2c Ac9d5s5h2s Qs6s4c3d2h 
8s6c5s3s2s Jh7s3h2s2d Tc5d5c4h2s Qh9c8s3c2d 
Kd9d8d2s2h 6h5d3s3c2h Tc8c4d3h2s Jc6s6d5d2d 
8c7s7c3d2h Qc7h7d5c2c AhQsQhQc5h Kd7d4s4d3d 
8s6d4h3s2c Qh7d5d4s2c Kd9d7c3d2s 9h4h4d3d2d 
As7h6c4c2d Jd6s6h4h3h ThTc6c3s2c Jd4d3h2h2c 
QsJs7d3c2h KsKdKcQh5s Qh9h8d4h3h KcQc9c3h3c 
9h7h7d3h2c Th8d5s3d2c Qd8d7s4h2d Qc9c4c3s3d 
AsQh9c3c2c As9d5h5c2c Kd7s6d2h2d JsJd6s6h6d 
Ks9d6h4c2c KsTh8c3d2c 8h7d6d3s2c Kh9h7h3s2d 
6d5s5c3d2d Jh7h5c3s2d Kh9s9d4h2h Jd7c3s3c2d 
6s5s5c3s2s Ac9d7d4d2h Ks9h8h4d3c KhQc7d3c2s 
AdTs5h3s2s 8d6h6d3d2s Jh5s5d4d2c Kc8h7c3s2d 
9h7c6c3c2s AsQh8c3d2d QhTs3s3d2s AdTc7h3h2h 
AcQs6s3d2s Th7d5h5c2h 9d6d4h3s2c KcJs3s3h2s 
KhQd8s4c2c KsJc8d3h2c Jd8s6h2s2c AsQd8h3h2c 
9d8s4d3d3c KhJc3d3c2c Ks6c5h3d2c KcJs7d3h2s 
Tc7d5s4s2s Kh8d4h2s2c AsJh4c2d2c 8s8c6h3h2h 
KdQh7s3c2h Qc9d6s4h2h AhTs6c3d2s Th5d3d3c2c 
QhJh7c4h2h Kh8c7c4c3d 7s5s4h4c2s Qs9c8h4d2h 
KhTd5d2s2d AdTs4h3s2c Ad8h3s3h2s Qc9h6h4s2h 
Jc8h8c3d2s Ks9s3h2s2h Ks7s7d3h2c 4s4c3h2d2c 
KsQs8s4d2s Ks8d7s2s2h 9d7d6d3c2s Th6c3h3c2h 
Kc5s4d3h2d JsJdJcTs2d 8d5d4d2s2h Js9s7s3c2h 
6d3s3h2h2c Qs7c5c3h3c Qd6c4h3d2s Qs9s8s4d2s 
Td8h6c3c2s Qs8c5s3s2d Ac8d4c3c2s Qh7s6s3c2c 
Jh7s3d2s2h Ks7d5d4c2d Js8d7h4d2d Jh8h7h4c2h 
Jd5s5h4s2c Kc9d8d4s3h Jd7s7c6h2s Qd6s5d2d2c 
Tc4c3s3h2s Qs8d6h3c2s Ah7h3s3h2c 9c5d4s4c3c 
QsQhQc9c5h Th4c3d2h2d Ac9c5c3h2c Kc7d4s3s2d 
9s4d4c3s2c Ks7s6s6h2s Jh7h5c3d2s JcTh6c3c2c 
8s7s7c3h2d Kc9d8s4h3h Jc9s4d3h2c 9s5d5c4h2d 
