KhQc9h7h4d 
QcJdJc6c2h Ks4s4h3d3c QsTh6c4s3s Ts9d7d5d3h 
AsKs9d8s2s Ac9c6h6c4s Js8s8h4c3c Kh8s6h4s3h 
KsTc9c7c4c AcKdTd6d2d KdQc9d5s2h Jd9h6s5c4c 
AhKs3h3d2h Kh9s7s6s5s Js8c6c5c4h QdJc6s5d2h 
AcQs9h7s3s Tc8s7h7d5d AdJcTs6h2c Js8c6c4h2s 
Kh7h6d5h5c Ts7s6c5d2c Ks7h5c2s2h QsJc9s4s3h 
Kd5h4d3c2c AcJd8d5h3d 9s6s5c4h2c 6c5d4c3h2h 
Ah6s6d5s2d As9c8s7s3s QdTd9d7d3s KsQs6h4s3d 
As8h8c6h5h Qs9c6h6d5h QsTs9s5c3s As9h4h3s2d 
JsTc8s4s3h Kd7d5s5h2s As9s6d3h3c QsJh8c7d4c 
Ts9c7c5c3h Qd9h6c4h2d Jh8d6d5d4s Kc8h8d4d3c 
AcQcTc6d2c AsQdTc4c2c Kh9c5h3c2d Th9s8h5d2c 
QdJc9s6h3h JhJc5d3h2d Jc8d7d6s6h KsQd6s4c3s 
9s8c5s4d2d Ks9c5c4s2c Js8s7h7d5s AcJc9d2h2c 
Kc6c5d2h2d Th9d7s2h2d AsKd8h7c2c KhTd7d6c3d 
Kc9d5h3d2c KsThTd4s2c KhTc9d8s2d 9h9c6c4d4c 
8d7s6s3s3d Qd8c7d4c3s 8c7h5h5d4s Jh9c6s6h2c 
JhJc7d5s3d Qs9s7c5h3d Ad9h7c5h4s KhTh9s2d2c 
JdTs6s5s3c AhJh7c3s3h Kh9d8h4s4d KsQd9s6s4s 
AdTd6h6c2s 9h8d8c5s4c As9d8h3h3d AsQh8s8c2s 
QdJs9c8d3d Kh9c8h4s4c QcJd8s6c3h AhTd6d5s5c 
8h8c6h5d3h Ts8s7h5s2h Js8h6h6c2s QcTs3s3d2c 
6d5c4d3h2h KdJc7c5c3h 5s4s4h3h3c AhQc9h7h3h 
Qd8s7d4s3h QhQcJs6d2d Jc9s8d5s5h Ac8h6s6h5d 
AhKs8h4d2h KsKhKdJd4s Td9d8s6c3d QhJh6c3c2d 
QsJc9c8c3h 9h8h7s3s3c Ad9h9c5h2c AhTs9c4s4d 
AsQd6h6d2h Ks8h7h4h2s Kh9c7c4s2h Ts9c7h5s3s 
AhJs7s7d2d Ks9h8h4h2s Ts9d7c5s3s QsJd9h6h3c 
Kd8s6h2h2d Kh6h5h3d2d KdTc7c3c2d Qd8h6c5s4c 
Kd9s8c5h3d AdJs8c2s2c Jh8s8c6d4h 8s7d5s5d2h 
AdJd6d4h4c KhTs9d8c3d Ks9s6c5s3h QsJh9c7s3s 
Jc9h8s5h5d Jh8s6h4d3s KdQh8c4h4c Js8d7h4s3h 
AhJh3h3d2d AsJh6s4s3d KhTd8s8c4c AcTc8c5c4c 
QcJd5h4s3s As8h8c6c5c Ad9h4c3d2c AhJd7c5s3s 
Jc7s7h4c3h KhTc9c8s4c QdJc8s7h4s QsJh8s5s5c 
QsJcTc7h2d Ts9s7h5s2h Kd9h5s5h4s Js9s6h3h3c 
Ts9h8h7c3d AcJd7h7d2h QsQh9d4d3c Tc9s8c5d4c 
AdKc7h4h3s QsTs8c5h3s Qd5s5c4d3c Kh3h3c2d2c 
Jh7s6h6d5c Jd9c7h4c3h KhJd8c7s3h QcJs9h9d3s 
KdQh7d6c3d QdTs6s4h3c 9c8s8h7s4d KsKhKdQd3h 
JhTd9c6h2h Kc9d8c7h3s Td9s9h8s4c KsQd9d4h2h 
9s7s7h5h2h KsKh7c4c2d Ks9c5d3c2s AdQh9c5c4c 
Kd9h5c2h2d 9h6s5h4d2s 8c7s7c2s2c KcTh9h5d3h 
QsTs5c4s3h KsJh9h6h6c Jd8s7h6c4s KhTd9c8s2c 
QcJd7d6s2s Tc6s5c4c3s 9s8h7c4s3h AhKd7c4c3s 
Js8s7h6c4s ThTc6h2h2c KcTd9h3c2s AdJs6c5c4h 
Ts9s7d4c2c KsQdTc4h4c QsJdTc6d2d JsTc9s4h2s 
JsTd8h6d3d JcTd9h2s2h Js9d6s4s3d AcQs9s4h2h 
Ad8c7c5h5c QdJc9h6h3s QcTs3s3h2c Qc8h5d5c2h 
TdTc7s5d2s Qc9h6h5s3d QcJs9h5s2d Jc8h6s4s4h 
KsThTc5h3h Ts8d7s4c2d JcTs6h5d3h Qh8h6h5c4h 
AcQd8d5h3d AsQc9c5d2h Qc7h6h5s4d Qh9c6s6d5d 
Jd9c5d4d2c 6d6c5s3s2c Tc9s8d6h2c Th6s6d4s3d 
AcJs7c3h3c KhTs5h4d3h AdQs4c3c2s QdJc9c4h3s 
AdQd8d5d3h Kd3d3c2s2c KcQs7h5h3d Th8d7d3s3h 
Ad8h6d5s2d 8h7d6h4s4h KsJhTh3d2h Qc5d4s4d3c 
KsQcJd3h2d Ac9c8c3h2h AcTh7s5d3s Qc9s7s7h5d 
AsJs6s4h4c Qc9h7d5s3c As8h3c2s2c KcJsTh5d2d 
AcTh7s4c2c Tc9c8s8h4d JsTd9h3c2s Ah9h6d3s3c 
KsQhTd7c2h AsTsThTd8h Jd9h8s5h5c 6h5d4d3s2h 
7d6h4s4d3h Qd8c6h5h2c 9h6h5s3d2s Js9h8h8d5h 
Td7h5c3d3c QcJc6h3h2s KdJs8s7s4h KcTs9s7s4s 
AdKdJs6d2d Jc9s8h7h4d AdKhJs4c2c AdQs9s4h2h 
KhQh6c4h3s KcQdTs8s3s KdQsJc5h2h 9h8c7s6c4c 
QsJc9d9c4h JhTs7c4s3s 9s8s8c3c2h KdJh7h5h3c 
Kd9h6c3h2d Jc7s7h5h5d Ts8s6h6c4d KcJsTs3d2s 
Ks9c8c3d2s QhQdTs3c2c KhQs6h5h3h Jd9h6s6d2h 
KdQsJc6c2h Qs7c6h5h4d Ks9c7c4h2s Ks7h4d3s3d 
QhTc9d6d2s Qc8h6s5d4s Jh9c8h6s4h TsTc9d4c3c 
QcTh7h7c2c KhQdTc6s2c AhJh7s3h2s KsQsJd7c2h 
TsTd8c6h3d QhJc7d6d4d AhKs9c8d2c AcKd8s7h2h 
9h8s5d4d3h Td9h8d5s2c Qd9s9h5d3c JhTc7s4d3s 
QdQcJd8d3d As7d7c5d2c 6h5d4d3c2h QcTc7d4d2d 
AsJh9d5c3c JcTc8c3h2h Qc7d5s4s3d Qs8c7s6d2d 
Ts9h8h6h3c KcQd6s3s2d KdQc6s4d3d Jd8c6c5c4s 
JdTh9c3s3c Ac9h6s6c2d Js9d9c5d4d Jd9s8c7c4h 
JcTd5s4s3s Jc9h9d5c3c Qs8s8c7c2c ThTd7s7c3c 
AcJh6d5d4s JdTd8d3s2s JcTd8c6h3c 9s8d5s4h3d 
Kc7c4s4d3d QcJd8h5d3s Jh9h6s3s3d Ts9h7c2s2h 
TsTh4d2s2d Tc9s9c6d2h AhKd8s7c2c KhQs9c5s3s 
Js9d8c7d4h Kd9d8d7d6d KcTc7s7c4c QhJs9s8s3d 
Ac9d7c4d2c Kd3s3d2s2h Ad6h3h2s2d KhJs8d4d3s 
9c8h7s5h3d Tc9c6h6d4s Ts8c7c6c5c KsQs6d4s3c 
Jd8s6h4d3s AsKd8c4d2h AhTs6c5d4d KhQhTh3d2c 
Qs5h5c4s3c Jh9s8d5c4d QcTs9h4d3d Qs6h5h5d2s 
JdTh8c4c3s TdTc9d8d2s KsTh9d8c3d Jd8h8d7c4s 
Ad7c6s6c5h Ad9d7d5d3c TsTd7s6s3c Tc9s9d5h3s 
KhQs8s4d3d QcTs9s8s4s 7c5h5c4d4c AhTs9s5s3d 
JsTc7d4d3h Tc9h6h4d2d KhTh8d4s3c 9s9c8d6h3s 
Jh8s6s6d2h KhQdJc2s2c Kd8s7c6s4s QhJs9d9c3s 
Th9d8c3h2c ThTd7d6d3s KhJh8d7h4h AsTc9h4h4d 
Td7c5s3d3c Qc6s4d4c3d KdJsJh5s2s Qs4s4h3s3h 
Tc7c6s5d2s Th9d8d6d3s JsTh9d3c2s Kh6s5c4d2h 
AsKd8c5h3c KsKhKdQd3s Ts9h9d8h4c AdTs3s3d2d 
QcTd8h5s5h TdTc4s4d2s Td9d7h4c2h 9c7h7d5s4c 
KhTd9d7s2c Ks8d7h6h6c Qd9c7h5s3d Jh8s7c4h3c 
9d8c7s5h5c TsTd9s8s2h 9s8c6h4c3h JhTd3c2h2c 
QhJs8c5d5c 7s7d5c4s3s AsJs4c3h2d QhJs6h2s2c 
JsJc9d8h2h Kh9h9c4s2c KsQh5s5c2d QhJhTh7s2c 
KhTd7d6s3d 9h8d5c4c3h AhTs7c5d3c Qs6s5d4d2d 
JcTd6d5h3d QhTc8s3s3c Qs9s7d6s4c 9c8h8d7h4s 
6d5s4s4d3c QhJs8d7s4s Kh5s5h3s2d AsQs6d5s3s 
AdQd8h8c3d QhTc8s5d2h KsTc9c8h4c AhJs8s5c3s 
KhQhTs3h2c Qs7d5d3s3c QdTd8h6s2d Js8c6c5c4d 
Jh8h5d4d3h AsKc6s5s2s KdTs9s6s4s Th7c6h6d4s 
AsKcJd7d2d Js8c7h6s2c QhJcTs6d2d QdTc7d4c2c 
8s8d6s5c3s Qd8c5h5d2c Jc8c6d4d3h Kh7s7d5c3h 
Qc8s5h5c2s JsTd9h3h3c TsTh4c2s2c KsTs3d3c2d 
QdTc6s2s2d QsJh9c5h2d Td9c8c6c3s Ah8c7s6s2c 
8c7h5h5c2s 8d8c6h6c2c QdTsTc4c3c 9s8c7d4c3s 
AsQh6h4d4c 9c8d7h4c3d Kd3h3d2h2c KhQd6h4s3h 
AhQc6s6d2h Qd7d6h5s3c Qh8h7d5h4c KdTs7s7c4s 
KhJcTd5s2s QsJd7d4d2s AcJs6h6d5d KsQs8h5d5c 
Qh9s8h5c4h Js8s6h5h2s Ad7s7d5c2d Jd9d8d6h6c 
Td9d7s4c2c 9c6d6c5s4h QcJh9h8h3d QsJd9h7s3s 
Qh9s6c4s2h QcTd9h6h2s Qh9s6s5d3c Td9d8s8h4c 
Qh9h7s4s4d 9s9h5d4d2h KdTc9c6c3c AdKc9h8h3h 
6c5h4h4c3d Ah9d8h6c2h JcTh6h5h3s Kd8h7s5c4h 
KsQd9d9c5d Jd7h7d6d3h KsKhKcTh4s AsJc7s3s3h 
AcJc3d3c2d QcJc7d4s2d QdTh5s5c4c JhTd8c6d3d 
KdTs8h6d3d AcQs8h5s3s ThTc4s4h2s KcQhJd8s2d 
AcTs5h4s2h Qs9h6h5c3d 9h8c7d6c4c AdQh8h5h3c 
8s8c7d7c2c Qh8c7h5h4s Tc9d8s7s3h Qd8c7s7h5d 
QcJs9s9h4d JhJd8h5s3h QcJs5s5h3d KdJd9h8s2d 
AhKd8c4d2s KdTc8c3d2d QhTc8h4h4d 9d6d5s3h2s 
Qs8c6d4s2d KdTd9d8c3d 6d6c4c2h2d QsTs4d3d2c 
Qh8d6s6d3s AcTc7s7c2d KcTc9s2h2d KsTh8h4d2d 
QsTh8s8d3c KcTc9c6d3c 9h8s8c5d4s KcQcJc9c2h 
Kc6c4d3d2s QcTs9s4s3d KcQs5c3d2h Qs7h5h4d3d 
Kh5c4h3s2s Qc9c8h6s4c QcJd9s9d4h Kc8c5s4c3s 
Qh8s5s5c2h KsQd9s7s4h QsTh9d6d2c Qs9s6h6c2c 
7c5s4d3s3d AcJh8s7s3d Qh8d7h4d3s KdTh6c3d2c 
9d6c5d4h2c 9d6s6d4d3s 7c6s4d4c3s KhQd9d5d3c 
Kd7h6d6c3s AdTd4h2h2d Jc9c7d5s5c KdQsTc8c3c 
JhTh9h6d2c Tc9s8h3c2h 9d7h7d6c2c AdTc7h5s3h 
Kh9c8d5h3s QhJh6c4h2c Kc9d8h5d3h 9h9c6c4s4c 
KhQh9s4c3d Jh9s8s8c5s TsTh7d7c3c KsTc9h8d3h 
9c8s5c4h3s AdQs8s5s3c KhQc5d4s3d Th9c8s5d4c 
Ah8s8c6s5s Ad9h8c3s2d Jh8d6c4h3c QsTc8s6d2s 
Ad6h3h2d2c 9s9h8c6d3h Qc9h7d5s4c KsJsJd7s2c 
KhTc8h5h4h AdTc9s4s4h QcTs7h5c3c Kc8h8c5s5c 
JdTd6c5s2h KdTsTh5s3s Jd9c8d4s2s Jc8s6s6h2c 
AdTc7d4h2d Kh8d8c4d3h Ah8d7d6s4d As8h7h6d4h 
AcJs8h7h3d As8s4s4h3h Qc8d7h6s4d KdTc6h5s5h 
Ts8d7s4h2h Td9h8d6d3c KdJdJc7d2s TsTc9s6d2h 
7h6h6c3s3d Ks8h6s4h3s KhQc6h5h3h AhKc7c4d2s 
KsJd8d6d6c Kd9d9c4c2s Kh8d7c5s3h Qs9d8d4s3d 
8h8d6h5c3h 9c8d5h5d2h AdQc9c4s2s Jh9h7d5h5c 
8c6d5h3h2d KcJcTc4s2c Jh9d8s5s4c Qs8d8c6c3d 
Jh8h6s4d3s Th9h7c4d2d 9c6d6c4c3d Ks8d7c5h3s 
Kc7d5s5h4c 8d7h6d5d3c 9s9d8s7h4c AsKs4d4c2s 
Td8h5s5h3d JsTh6c5d3c AsTd9c4h4c QsQd9h8h3h 
JhTd7c4s3c Jd9c8c6h4s Qc7s6h6d5c KcQs9d2s2d 
KsJc9c6d6c AsQh9h7h3c KsJc8c7c4d QcJs9h9d4s 
AdJs7d3d3c AcTc4s3s2c Kh8h6h5s4h 9h8c5s5c2s 
QcTc8d5s5c Ac9h9d5d2h Ad9c8d6d2s KhJhJc3h2d 
KsTd8h6s3s AcQdTd6s2d Ad5s5h4d2c KdTc6c3d2d 
Ah9h6s3d3c Th9h7d5h2d Th9d8s6s3c QsJs7s6c4s 
9d7s7h5h4h KcTs9h8d4d Jh8h6c5c2h AhQh6h6d3s 
QsJcTd6h2h JdTh4h3d2d QhJc6c3h2c Qc7h6d5h4s 
AcJd9s9d3d Jh7d6h6c5s Qc9s8h4h3c KcJhJd6d3d 
KhQdTs8s3s AdTs5c4s2c Jd9c7d6s3h JcTh9h4h2s 
AdQh6s6h2s JhTh9s7h2d KdTh7h6c3h Kh8d7s5c4d 
9d7d7c5d3h AsTh4h3s2s TsTd9s8s2c QhJd8c6h3s 
AsTsThTc8c Tc8c7h7c5d Jh8c6d4h3c Ad6d4s4h3c 
AdTs7h5c3h KdJhJd3d2s Qh9s7c5d3h KsQc9s8s5s 
Jd8c6d4s3c AdJc7d3s3d AhQh6d5h3h QcJhTd6h2h 
7h6s6c5d4h Kd9s6h6d3c KdQd8c5h3s AdJd5s4d2h 
Kh7h6c5h5d KhTd5h4s3h As5s5h4s3d JsTd7h4h3c 
Qs5h5c2s2c QsJd9h7c3d 9c8h6d5d3s QhTd8h6c2h 
JcTd9d4d2s Ah9s8h6d2h JsJd5c3s2c Td8s7h7c5s 
Qc9s9h7h2s KhQd6s3s2d Jd9d8d6s6c Kd7c5h2d2c 
KcQcJd6c2h JhThTd8h3h JhJd7s4h3c Qs8d7h6h6c 
QhQc7s6d2h Ah8d8c5d4d Qd8h7s6s6c KcTd7d6h3d 
ThTd8c6d3s Jd9h8c5s5h Jh9d5h4h2d Kd8c7s6s6h 
AdKs7h7d2d Kd9h5h4c3c KsQd9h9d5d Tc7h7c5h2s 
AsJs4d4c2h 8h6c5d3d2c Qh8h8c6h4s Th6d5s4d3s 
QhJc5d4s3s Jh7h5c3s3c AhJd7s5c3s QhQd7c5d2s 
KsTh9h7c2d AhKs6h5h2h AsQs7h7d2c Js9c6s4s3c 
Kd8c7h6c4c 9h9d8s6c3d AdTs9c4h4c KsQcJd8d2h 
Td8c7h4d2h Jd9s8d5c2h KdQd8d7h4s AcQc8s8d3c 
Kh8h5d5c2d AcTc8c5d3c KdQs6h4d3d KsTd8s5s4s 
As5s5h4s3c Qh8d7s6s6c 9s7s7d5s3c AsJd6c5d2c 
Ac6s6h5h2s Qd9h7s7h6h AcThTd5d3d Kh9s8c5s3c 
KdTh8s5s4s KcTs9s9d4s Td9s9h7c3c QdJs8h5s3c 
Jc8s5s4c3c AhQd7d4s4c Kh9s8s8d3d KsJh8d7c3s 
Th7h6s5d2s Kh9h9d4s2d QdJs9c6c3h AdJs7s7h2h 
JdTh8s6d2c KcJs8d7h4h QsTh7h4s2s JcTc9h4c2d 
Ad5h5d4s3d Ad7s7h4c2d Jc9s8h7s4d Qc8d7s7h5c 
KcQhJs3d2s Td8h5h5d2s AsJd6h6c5d QsTd9h4d3d 
9h8d8c7h5h AsTd4d3s2s AdQc8h6c3s KsQh9d4h2d 
Kc9s8h3h3c 6s6c5d3d2s Qc9c7s4s4d JsJc9h8d2h 
KsKhKd7d5s Qs7h6d5h4c Ah9h8h6h4d Qs9h9c7c2h 
Tc9s8s5d3h JsJc9h2h2d Qc9s8d7d5d 9d8h6h3h3d 
9d8h5h4d2c KcJcTc3s3c 6s6d5s5h3s Jh8c6s4h3c 
Qd9c8h4h3d QdTc9c4c3h JsTd8h5h3h QhJd9h4h3c 
AhJd6s5s4c AcTs9h4h4d Qc9d6s4d2c QdJs5s4s3c 
Js8h6d4s3h QhJdTc6s2s As7c6c5d3h KdQh9s4d3c 
Js8d6d4c2s Jh9d7s4d3s AhKs7h7c2h Kh9h8s7d3c 
QsJsJd6s2c QhTh8d5s3h KdQsTs4s4c Tc8s7s3h3c 
AdKs8h7c2c Tc9s8h3s2h 7c6h6c4h2d TsTd9d8d2h 
Jc9s6d4d3s KdTs7s5c3h Qs8d7h7c6c Ah9h6c3s3d 
Kc6c5h2h2d JdTs4s3d2d JhTs8d4s3s QcTh5h5d2d 
KhQh9s4d3c Jh8s8c2s2h Ts9h6s5s4c KsQh7s6d3s 
JcTs4s3c2c Qc7s5h4h3s Jc9d8c5s3h Qd7d6c5h3s 
Kd7d6s6h5d 9d7s7d6s2d KcQsJh4d2d QdJh9s8d3d 
TsTc3s3h2c Ts9s7d4d2h QsQc8d5d3h 8s8c7s7h2s 
Ts9s7s5h3d AsTh9h5c3h QhTc7d7c4c Jh8d7c4c3h 
QsJc8d6s3h AsTd7d4h4c AdTc7c5s3c KdQc9h6s3h 
AhQd9s5s5c KdQh9s9d2c Kc8s5d5c4h AhTc9c5c3d 
Qh9h7s5s2s KsTc6h4c2h AcTd9s4h4d KsQc9s7s4h 
QsQd8d5d2d Qc9d7s7d6d JhTh9h6s2d JhTh7d4h2d 
KsQc6s4h3s AcKs9s8s3s QhTs9s8s2s Jh6s6h3s3c 
QcTsTh8s2s KsQd9d4c2c AcJs6d5s2d KsQsTs7d2h 
Jd8h6d6c2c AdKh8s7c2c Td6d5h5c3c KdQs5d5c2h 
KdTc9c8c2s Ks9s6d6c5s JcTs8d4s3s AsTh8h4h4c 
Tc9d8h6h3s Ad8s7s6c4s JsTh7d4h3h 8s8h5h5d2c 
Jc8s6d6c2d Ah9s5s5c4c Kc9h8c2h2d Ah9d8h6s2h 
Qc6d4h4c3h Kc9s5c4h2h Kd9s8d4s4h Jc9c8c6s6h 
Kh9d8h5c3s Ac7d7c5s2c JdThTc4c2c As8d8c7h4d 
AsJhTc3c2c Tc8h5s4c2s 8c7h7c4d4c KhQc9d4c2d 
JsJhTd6h2h QcJs5h4d3d Qs7c6h5c4d JcTsTh5d2d 
QsQc7d5s2h KdTs6h4s2h QcJh7s7h2c QsQh6c5c2d 
9h8c5d5c2d ThTc8h6d3s QdJcTc7h2s Qs9d6c4d2s 
KsJd8d5d4d KsTc8h8d4d AcJh9h9d3h Th7h6d5s2d 
KhJcTc2d2c KsTs8c3c2c Kd9s9d4s2c AhKs9s8s3s 
Jc9h6c5d3s 9d8s7h5d5c Jc7h7d4c3d QsQhQdTs8h 
Ks5h4h2s2d QcJd6s5c2h AcThTd6d3s Ah9d7h3s3h 
Ac9d9c3s3c KcTh9s8d4d Ah6s6d2h2c KhTd8s5s4s 
Ac7s3s3c2h TdTc9h8d2d Js8d5d4s3s KcQd6c4c3s 
9s8h7d5s5c Js8h8d7s4c As9c7h4h3c Jd9h8d5d4s 
KdQc6s5h2c AcTsTdTc8s AhTc3h3c2h QdTc9h6c2c 
JhTh9c4h2d Tc9c6h5c4s QcJs7s6c2c KhJd9s8h3h 
Ac9d9c3c2d QcJcTc2d2c QcJc9c5d2h 6s6c5h5c3c 
KsJhJd8c3h KcQdTh7s2d 9h8h7c4s3c 9c8h6h5s3d 
AhQd7d4c2c QhJc5d5c3s Kd8s7s7c6s QsJh9d4h3c 
KdQd8d6d6c Kd7s7c5d4d Qc8s5h3s3c 9d8c7h5s5c 
Qs9s6c5s3h AsKh3s3d2s TsTh7h6h3d KcJc8s6c4c 
As6s4h4d3c Kd8d8c5h5d KdJs5d4d3h QcTh8s6s3s 
8s8d6h5h3c Js7d6s5h3c KsTh7h4d2d QdQc7s6h2d 
Ac6d5h3s2c QhJc3h3c2h ThTd9s4d3d Kd5c4d2h2c 
KcTh6c4d3c AdTc7s4c3h Qc9c7s6c4d Qd8c6s5h4c 
Jd9h6d6c2h TdTc8h6d3s 9c8s5s5h2h Kh9c8s5h3d 
6s6h5h5d3h Qc8s8h6s3h JhJcTd7s2d AdJd9h2s2d 
Td8c5h4c3h Ts6c5d4c3d Ks9h9d5s3c Kh8h5d4d3h 
KcTh7s7h4h KcQh5d5c2s Jc8d5d4c3c 8s7c6s5s3d 
Kh8s6h4h3s Ts6s6d4h3h KhQhJs6h2c Qh9c6s6h4d 
QsTd9c4h3h Ac8c4d4c3d Js9h7s6c3d KsQdTd2h2c 
JsJh6s3d2h Qd9d6h5d3c AcJd5h4c2c Qc9h5h4s3s 
KsTd6d3s2s Qh9c7d7c3d JsJc7h4s3d KdQhJc6c2s 
Ts7h5c3s3h 9c6c5s4d2s JcTh9c4d2c Ac9h7c3d3c 
AsTs7s7d2c Kc9s9c4d2s JhTh6d4c3h AsJd6c5c4h 
Kd9d8s3c2s Ts8h7s4c2c Tc8s6d5d4d AhTc4s4d2h 
QsJs5c4h2d Ks9d9c7d2c Tc9c7c5d3s 9c8h7s4c3h 
Js9d7h4d3h KcQs8h4s4h QhTd5s5c4s Kh6d4h4c2c 
Qc8d7s4s3c AhQh8h5h3c KcQhJs6s2d KhJc9c6d6c 
Jh9c7d6h2d Ts9c6c4d2d QsJd9d8d3h KhTs7s6s3c 
8s8h7d5s3c 9h6h5s3c2s 8c7s6h6c4c 9h8s8d5c4d 
JhTh9c4h2s 5s5h4h3s3h QdTd8c3d2c 9c8h5s4s3c 
AsQh8h4d4c 9d8s7h5s3c KdJs6s4c2c 9h8c6h4c3c 
KhQc6d5s2c KhTh5d5c3s Th9s9d8d4c Jc6d5c4d4c 
Jd9s7c6c4h Ks8h8c4c3s QcJs7s6h2h JsTs9s9c3s 
Js8d5s3h3d 9h8h7d3d3c 9s8c7d4s3c Ts6h5h4s2c 
Td9h8h5s3c 8d8c6h5c3c Th8d6h4h2d AdTd5c2d2c 
KdTd8c4s3h QsTc9h5d5c KsQcJh5d2d Tc8c7s5c2s 
QdJc7h6d2h 8s8d6s5h3s Qd9c6c5s2s 9h9c6h4h4d 
Ad8c6s5h4s KcJs8d7s4s Qh7s6c5s4d Tc8c7s7c5d 
Kh9c5c4s3s 9s9d8h6c3s Th8h6d6c4s Kd9h5s3h2d 
Qc7s6h3s3c Qc9s5d4s3d Qh9h9c8s2d JcTs8c4c3d 
ThTc7d5c2d Qc5s5d4c3d Kc7s7h5c3d Ts7h7d5s4c 
KsTs9d5s3s KdQc9h9d2s QsTs5d4s3h Tc9d8c5s4c 
Jh8s8h4c3c AdTc9h4s4c Kd9s9d4c2s 8c6s5d3d2s 
AsJs5c4s2d Kh5h5d2h2d KhJs7c5d2h Ac9c8c3s2s 
AdQc9c7c3h Qs7c5c3s3h QhTc6d4h3h Kd6h5c4s2d 
Ts9s7c5s2c Ts8h7c3s3c AhJc9s9c3c QcJd5s5h3c 
Ac9c7c5h5c Jc8d8c7s4h Jh9s6d4d3s Tc9h9d7s3s 
Kc7h7d5c4c Jd9c8h8c5c JhTs3c2h2c KhTc9s8d2s 
Qc9c8c6s4d QhJd9s8c3s JsJh8c6h3d Kc5h4c2h2d 
Js8d6d6c2s Ah9s9h3h3c Qh9s5s4c3c AcJh5s4c2c 
QsQh8h2d2c KsJsTs4d2s Td6h6c4h3c Qc9c7d4s4d 
KcQcTd3c2h Tc9d6h4h2c KhJd7d5d3s KsQsTs9s3s 
Kd8s7s7h6s 9d8s6c5h5c Jh9d7c6c4s KcJc9c5c3s 
Td9d7h7d5d QcJd7d4d2c KdJd9d5d3h KhTs6s5d3s 
8d7h5h5c4s Jh9d7s5c3d Ts8h5s5c2c AsQs6d3h2c 
Jh9s9c3s2h KcTsTh5s3s Kc6s5h4d2c Kc7h7d6s5d 
QdJc8h7s4h JsTc7d6h3d Qc7h6s4s4h 8c7h6d4h2c 
Ad8s7s5s5c KcJhJc3c2d Kc5d4d2h2c Ts9d8c5h4d 
9c8s5s4c2h 8h8d6d6c2d QdJh8s6d3c Kc9s8c4s2h 
Kc9s5d3s2c ThTd8h6c3s KsKdKcTc4s AsTh9h6h3c 
Jh9h8d8c5h Qh8c5h5d2c Qs7s6h5d3c AcTc9c4c3h 
Kc8s7h5d3c KsTh5c3h3c Ad8d4h3s2s KcQs9h4c3d 
Jd8h6h5h4s JdTh6h5s3h 8h7s6d4d4c AhKs9d8c2d 
AdKd6d5d2s Kd9s8c5d3h Qh9s7h6s2s Qs9d8c6c4h 
8d7h6s4d2s AcJc7h3d3c Ad9c8h3s2d JsJc9d2h2d 
Jd8s7c4d3c JhTd5d4s2c Ad8c6d5s2d AhTd6c5s4s 
JsJd9h2h2c Qc8c6c5h4c Kc9d8d3h2c Qc9s5s5d3d 
KhTc8c4d2d Ac9s5s5d4d QdTh8h7s2c KdTsTd6d3d 
5h5c4h4c2c Kc7h7d5c3s QcJs8d5h5d KhQh4c3s3d 
Ah8s6d5c4d Jd8s5s5c3c 9s9c6d3c2s JhJc8d7c3s 
Td9s6s3h2d QhJs7c5s3d Qs7h6c4h4c 9d8c5c4d2s 
KhQh6h6d2d Th8c7s7d5h As8h5s4s3d JhTh6c5s2d 
JdJcTs6c2c QcTc7h4h2h Ks8d7h7d6d AcTs8h8d3h 
Td8d5s4d3s 7d6h6c5s4d AcKd9d8d3d Kd9c5d3c2s 
KdTd9c8d3d As9d8c5h5d AdJc6h5h4s KhQd9h6h4h 
Jd9h5s4s2d Th8s8h3s3h AdThTdTc8c AcKc9c6c3d 
KsKhKdTs4h Kc8c5h5d2d AhQsTc4d2d Kh9s7h4c2c 
Ks8c7h5d3s Jc8s7d6h4s Ks9s8c7d3h QsTs8d2s2d 
KcJdJc7c2h Ts9d6h5h3c Js8h5c3s3h Ah9c4c3h2d 
KcQdJs5h2h JhJc7d4h3s KsKdKcJc4d 9c6c5h4s2s 
KhJh8s7c2d Qc8c7d6s2d QdJc5h4s3s Ah9d9c6s2h 
7h5h5d4s4h 9h8d7c6d4d Ah8h4h4c3c Tc8d7h3h3c 
QsTh9c6h2h QhTd7c5h3h QsTs9s7s3d AhQc9c5d2s 
Jh9s9d5h3h QdTd8h5s5d AcQd8s5h2d Ad8s8c7h4s 
Qd5d5c2s2c Ah8c6d6c5s AhTsThTc8s KsKh4c3c2c 
AdKh6s6d2d QhTd8h8c3s KcTc9c5h4c Jd6h5h3s3d 
QdQcJh6s2s Qc9s6s4c2d JsJc6s3h2c AcJs9h8h2h 
JsJc7d5h3d Ks9h6h6d3d KdQs9c6h3c Th9s8c7c3d 
Ts9s9d2s2c Qh9h8s4c3s Jh9s9c5c4c Jc9d8c4s2s 
Jd9s8h7s4c AdKd5d4s2d Qh7d5s3h3d Qs7d6h3s3d 
JsTdTc3h2c Kd9d6c5h5d JcTc9c4d3c KdJh9h6h6c 
AdQd9d6c2h AcJh9d5s3s QsJc7h7c2s KsQc9c4d2d 
