AhKh8h5c3h 
KdQd7s5d3c 9c7s7h6s2c 8h6s5h3s3h 7h7c6c5h2h 
JcTh6h3d2c Qc7s5d3d3c AcTc8c6c5c Kd4s4c2s2d 
AhQd8c7s3d 9h8s6s4d3h JdThTc4h2s Ks5h4d3h2s 
QhJc7s6s2h AhKcJc6c2s AcJd7h3h3d QsJc9c7d4h 
Ah8s4c3h2c AdKh9c4d3d Ah9d7s7c5d AhTh9h5h3d 
KsTdTc8h5h 9d9c7d5s3d Th9h8c5d4s Jh8h7c5h4s 
KcQd9h8s4c KcQcTc5s2d Qd9c6h6d2c Kd8d7c4s3s 
Jd7s6s5h4c 7d7c5d4s3h Kh9h9c5c2h Kd7h6c4d2c 
KdQcTc6c3c 9s9d5d5c4d AsTc8c7c3d AhKh7s3h3d 
9c7s7d6s2c Kh9c8s7d5d QcJc9h9d5c KdJsTs6s3s 
AcJs7h3s3h Kd5h5d4d3h Jh9c7d6c2h Kc8h8c6s4c 
Tc8s6s5s4h Js8s7d4s4d KdJd7d6d6c Th6c5h5c4c 
QcTs7h7d5d Jc8d7s7h6s KsKcQh8d3d 9c8s8h7d5d 
QhJh9h8s2c Ah8d7h2h2d Jd7d6s4c3s Tc9h9d8s5c 
AsQd5c3c2d Tc9c8h8c6c 9s9h8c5h4d QdTc7h5d3s 
TsTh7h6c2c KdJsTc7s2h QhJh4d4c2d AhTh7d5c2h 
Kd7s6d6c2s 9s8d6d4h3h KdQh7d3h2c JcTd9h6c2s 
Kc9s6d6c5c AhKc8c3s2s ThTd6h4s2s 9s9d6s4h4c 
Ad8d7d6c3s Kc8d7c4d2s JdTsTc4s2h Kh9d9c7h4s 
Qs9h6s4s3h AsKcQs6s2s QcJs4d3c2d Ts9h6h5d4c 
QdTsTh8c2s 9s9h5h5c4h 9h8d6d4s3s AhJc5d2s2h 
QdJhTh5h2h Th9d6d5h2h QsQd8c4s3h As9h8s6s3c 
Qh6s5c4h2c KhQhJh8h4c KsKhKc9h9d JsTs6d5s3h 
QhJh9s9c5h AdQc6s5s4s Tc6h6d3d3c Qd8d6s6h2h 
Qs9s8c6s4d JhTsTc4h2d AcQhJs3h2h AdTc9s6s3h 
KhKdKc7d6c Qs8h8d7c5s KsQc9c7d4h KsQdJd4d3d 
9s8c5d3s3d Td9s6h5c4s JsJc9h7s3s Kc9s5c4h2s 
Ts8h8d7d5d KsQc5d2d2c TsTd7s4d2c 8c7h5c4s2s 
Ks4h4d2s2h Tc9s9d7s4s Jh9s8c4s3h QhTd9d8s2d 
AhKh8h7s3h Ks5s4h3h2d Th6d6c3h3c Jd8c6c5s2s 
AdQd6c4s3d Kh4s4d2h2d Jh8d6d5c4s QsTd7h7c5c 
Qs8s7s7d6c QdTsTd7d3c JhTc7s5c3c 7h6s6h5h5d 
KdQc8s6s6h AsJh5d4d2h QdQc9s4c2h JhTs7d5s3s 
JhJd5c4h3s Ts8s6d4d2d 9c8h7d5s4d 6d5s5c4s3c 
9s9d7h5s3c KcQc7s4h3d KdQs8c6h6c Jh9d7c6d2h 
KhJs6h4d4c Kh9c6h6d5h 9h7s6h6c5d KcJs8h6s4d 
9c8h7c5c4d KsTh7c6d3d KhJh9d5h4h QsJc4h3s2h 
Js9s8c5d3h JcTh8s7h3d AsQh7s7c3s Kd8d7s4c3c 
Kc8s7s6h4d AhTh8h4s4h Tc9h9d4s4c JsTs6s6c5s 
Td9d9c8s3h Js8c6s4s4c Ac9h4h2d2c AcTs6d4d3s 
Jh9c8c4d2h Kh8s7h7d5h Ad8h8c7d3d Jd8c7c5d2d 
JhTs8s6s3d AsKh5d4d3d Kh9s6s3d2h 8s8h7c6c2s 
Qs8d6d5h4c KhTd6s6c5s 9s7h7d5c4d 9s6h6d5d2h 
AhQc9s3h2d KhJd9c5c4s Qh7c6c4h3c KsQd9d7c4h 
KdQs8d2s2h Ah9h8h5d2s As7h4s3c2c AhKs4s4d3s 
KsTc9c7c3h QhQd5s4s3s Kh6c5d5c3d KsQs7d4h3c 
Th9c8d3d2h 9d9c5d2d2c KhQc6s6h3d Ad9s9c8d2d 
Qd7d6h5h2s Qd7d7c6c3d Kh7s5s5d2h 9h9c7s5h3d 
KhQh9h7c2c Td8s6s5s4c KhQc6h6d3s JsTs7s6h2h 
KdQs9s7c4h AcKd5h4h3h Jd7h5c4h3c Jc9d7h5d2h 
JsTd8s8c2h KsQh6h6d2d KcTc5d5c4h Ad8c7h6c4s 
KsTs9s7h2d Jd7c5s4c3s JhTc9s6h2d KcQc6s6d4c 
QcJc5d2h2d JcTh9d5h2h AsTs8s8d3s 7d5d5c4h3c 
KsQc8s2h2c Jh9s9c4h2s AsJd5d5c4h JhTs8h6d2c 
AdKs8c3s2c Kc8h7d7c5c Qc9d8c7d2c KsJc8s3d3c 
8h6s5s2h2c Ah8h6d5h3c Ac8c7c6s3d KcJh6s5c2d 
KhTd8d3d2h Td9h7d5s4d Ah8h8d4s2c AhQhTh2h2c 
KcQsJh5s2s Jd8s8d7h3h Jd8h8c5c2h Qd7h6s6d5c 
Qc9s7s6h6d Ts8d7s6s4s Jc8c5s4d2s Jh8c7c6s4d 
QhJc6s5d3s AdJd6d5d4s QdTs8h6d3d AdKs8c7c3h 
TdTc6c4h2h KsKdKc7d6c QhTc8h6h3d KhQhTs6h2d 
KdTc9h8h2s JhTh6s6d2d Qh9h7s7h4s JsJdTd7d2h 
As9s9h4h2s JhTc7s4d3c TsTc5d2d2c 8s7s6s5c3d 
Jd8s7s5c4s AhJs7d6d4c 8c7s7d4d3s AdJc8d4s3d 
KhTs6d6c5d Qh8d6s5d4c TsTh8d5c4c Jd9s7h5s2h 
Ts9d6c5h4d Js9s9h4c2c Qc8c6h6d2h KhQh9h6d3c 
AdQh7c4d3d KsQhJd8c4c 9d8s6c3d3c Th9c8c3d2h 
JsTs6h5s3d QhTs6d5s3s KcQdJh8s4s AcTc6h4d3c 
KdTd6h3s2h AdQd8c6h2d Ts9s7d5d2d KdTd6s3c2s 
Kc9s7d6c3c Ah7s7h3h3d KcQsJs4s3s KhTh8d8c4h 
Qc9c8d7d3c QhTc9s7c4c Qh8s8h7d2s KhTc7s6c3d 
Kc8d7d6s4h QcTs9d4d3h Jc8s7c4s4c KcQcJc5s5h 
ThTd8d3h2s AsTs8s4s4d KdTsTh8c5c JhTh4d3c2d 
JsTd9c3h3d KsQc7s5s5h KdQdQc8d3h KcQhJc9c4c 
Kh9c8d6s5s KsQdJs7s4s Jh8s7s5c4s AhQh4s3h3c 
Ts9c6h5d4c Js9s7d6h2h 6c5h4s4h3s Kh8h7s7d4c 
JdTh9d7d2s AcJcTc3c2s 7s5s5d4d3c AdJh7h7c4h 
8h7d6d4d3h AcKdTh5s2s 6h5c4s4c3s KdTd7h5s2c 
Js8d6d5d2s KsQs8d4d3d Kd8s7d5d2s 9s9h6d6c3d 
KsQh4h4c2c 8s8h7s6h2s KdTd6c4d2c AhKh9h3c2c 
Tc9s4h4c3s Ac9c7d7c6c 9s9d6h6c3h Kc8h6h4c3c 
KcQs4s4h2h AhKdTd5d2d Kh7h6s5s2h Qd9c8d7c2d 
Js9d9c4s2d Kh8c7c6c5d 6s5d5c4d3c KdQs9s7h4c 
Ac7c6h4c3d KsJd9h5h4c KhQh9c5s2d QdTh7s7h4c 
Kh7c6d4h2c JsJc9s7s3h QcJs8d3c2s QsJc8d5s2h 
AdJd7c5h2d Jc8s8c7h3h Qs7d6s6h5c QsQh7c5d3c 
7s6d6c4s4h QcTdTc4h2s QsQd9s5s2h 8s7c5s3h3c 
Kc6d5d2h2c KdQd8s8c3s Kc8h7c4h2d Tc9s8d7h4d 
9d6c5s3s3c 9h6s6c5c2s Jd9s7h6h2d KsQs8h8d3h 
9h8s7s7h3s JcTs9d7h2s AcKhQd8d2d KcQsJh8d4d 
TsTd8h8c3c Qs8s7s7d6h AdTd9d4s2h 9s7h7d6d2s 
KdTd9d7s2h JhTc4s2s2h AhQsTc4c2d Ts9s8s8c6s 
Jh7h6c4s3c Jh8s7s5d4s QsTh5s3h2h Jc8s8d5s4h 
AhKsQc8d3d KhQh9h6c3d Qc8h8d7s5c Jc8h5h4s3s 
KsKdKcQd7c Ts7h6d3s3h KdTc9c7c3h JdTs9c3s3h 
JsTh6h3d2s KsQs7c5s5h Qs8d5s4c2d KhJs8d6s4c 
KhTc3h2s2c Ad8s8d2h2c QdJcTh6s2c KdTd7h7d5d 
KsQcJd8h4h KdQsTs6s3s KhJh7s7d2s KsJc8d6c4h 
QhTs9h4h3d Jd9s7c6d2s Jd8s7h6c4d 8c7h5s4s2c 
7h6c5d4c3c Th8c7c5c3h Qd7s6s4d3s JdTs7c4h4c 
AdQsTh4h2c KsTs7d6c2h AsJd5h2s2c 8d6s5h3s3h 
7d6h6c5d2c JdTc8s4h3c Qh8s6h6c5h Ac9c7s7h3c 
KhQhTd4h4c QcTs6s2s2c Ts8s7s6d2d 9h7s6s5s3d 
KcTc7c5s5h Jd8s8h6h2d KcQc7c5d3h QsTdTc5h3h 
9s8d6d4s3h AsKsTh6s2s KhQh7c4d2d QhTs9c4h2d 
9c8d7d7c3d JcTh9s5d2h Th7c5c4c3h KdKc7s6h2s 
Jc9h8h6h2c Qc9s7s7c3c Jd8c6c5c2d AdKc5s5h3h 
AhQc7d6c3s AhQd9s9c4d AhJd9s4d2s Qc9d7h5c2d 
AsTc7d6c2d JdTd4s3h2h KdJd7s7h2s 9s8s6c4h3c 
AsJcTd3h2h 9h8s6d3h3d AsKh9s4s3c 9h8c5s5h3s 
Ts6s6d5h3h Ac8s7d5c2c Qd8h6h5s4c Td8s8h7h5h 
TsTd8h8c2c KsQd9s8h3c Qh8s5h4d2s Ah8c7s5h2h 
Kd9d7c5c2d Qd8h5d4c2h Ad7s6h6c5c KhTh7d6c2s 
KdTc9d4d3s AhJs5c2h2d KhJs4d3s3d Kh5s4h4c2s 
Ks9s7s6c4h ThTd8h3d2c 7s7c6d5d2c Kh6c5h4s4d 
Kc9h7d6c3c 7d7c5c4d2d Jd8s6d4s3c KhQs7h4d2d 
Tc8s6d5s4s KdQh7c6d3d KsJhJc4s2s KcQdJh6s3s 
KcQh9d6h4h KhJs9d7h2c Qd9h7d6s6d Qh6s5s5h2c 
JcTd8h4s3c AhKc7h4h2s 7s5s5h4c3h QhJh9d4s3c 
AsKd5c4c3c JhTs8h7h2c 8s8h7h4s2c KhQhTh5c2s 
QcJc8c7s3s Qh8h7h7d6s QdQc8s7d2h Ah7s7d5d4d 
Js6h5s5d3d 9c8s5h5c3h Kd4s4h2s2d QhJhJd8s3h 
Qh9h8d5c4s Jc8c6s5c3s Ad7d6h4d3s Kd9s5s5h2d 
QsTd8s6s3c JsTc9d5h2c KsQh6h6c2c Qh9s5s4d2h 
Qd9c8s7h5h KdJsTh7s2c JdTh9h7h3h Th9s6s3h2c 
9c7h6h6d5s KcQc9s6d3c Ks8d7s7c5s JdTc7s5c3c 
Ad9h4h2s2d Ts9h9c6h4h Ac7c4d3s2s Kc6s6d5h5d 
Ts8c7s7h2c Tc8h8d5s5h Js8h8d6c5c QsJh8s7c4s 
AcKs8c7c3c Ts9h8h3c2s Ad9c8s8c6c QsJs7s5h2h 
AdTsTc4h3s Ac9h8s8h6h KsKh8d2d2c Qc9d7c5h4s 
AcJs5d4s4h JsTd6d4c3h Js8c6s5s2c AdQc9d7d2s 
KdTc3d2h2c Ac8c6s5c3d 8h6h5d3h3d AcJh5d4d2h 
AhQc7d4h3h Qc9s8c7s2c Ad8d6s5d3c As7d7c6s2h 
AsJd6s4c2h QdJh9h7s4c Tc8h6h3s3c AhQd9s7d4d 
AsTd6s4s3h 9d9c6s5s3s AsJsTs3s2h Qh8s7h7d5c 
AcTh9s3s2h QdQc9s4d2h KsTc9h8h2d AcQs9d3c2h 
Td6d6c5s3s Jc9d5d4c2h 8d8c7h6h2c Qd9c5d4c3d 
KcJd5c4s3c Jd8c6d4d4c 8s6d5s5h2d KcJs8c5h2d 
KhQh9s9d5h KsJh6s5s4s Jc9s5c4d2s AcQd7h4c3c 
AsJc5d5c4h KhQd8h8c5h Jd9s7h5c4h 9c7h6s6c5c 
7s7h5s4d3c 9s9h5c2h2c Qd9c7d7c3d KsTc3s2h2c 
AdKc9s6c3c AdJs7s7c4s JsTd8d5c2h AhQdTc7c2s 
KhJs9s7d3c TsTh5h5c2c QdJd7s7h5d 9d7d7c5s4d 
AsQh5d3d2h 9s7d7c5h4d 9c7d6s6d5h Qh7h7c4h4c 
KhQs9d8c4h AhJc8h4h2d KsQd9s8c3h As8h7s5d2s 
JsThTc4c2d Qh9s9h4s4h AcKdJs8h2h KhTd9h6h2s 
JcTs7h4d3s QcTdTc7c4c As8s6s5c2h 9c8s8d5h4c 
Jd8h8d5h2d Kc9c6c4h3h KhQdJs7d3c 9s8d7d7c6d 
Js8d6h5d2h AcTc8c4d4c Ts9h8h7c4d 9c8s6d6c2s 
Qs9s9c4s4c KcTh9d6d3d 9c8h7h6d4h 9c7s5h3s3h 
Ts9h8c6h4h 8s8h7c6s2c QsJs9s8h2c QsJd7d3s3h 
Tc6h5c4s4h AsJc8d4s2s KsQcJd9h2h AcKsQc6c2c 
JsTc9h5c2c Kd8s7d4s2c Jc9h5d5c2h AsJh7h7d4h 
Kc9d6d3h2c Qd9s8d5h4c KdJs6d5h2c AhTh5c4d3h 
QcTh6c2h2d 9c8s7h7c2s 9h8h7s7h6d Qc9h8c5d4s 
Kd9c8s3d3c As8s7s6h3c JcTc5c4s4d 7c6d4d3s3c 
TdTc8s8h3h QhTs9d4d3c 7h7c5s5d3s 9c7h6s6h5d 
9s9c8h5s4d Ac4h3h3c2h Jc9h7s5h2s Kd9h9d8d5s 
QsJd6s6h4s JsJc9s7s3d Qd7c6d5d4h Kh7h7d6c3s 
AhKd9h5c2h Ad9s8d6d3h AsJd7c6h4h KsQs9c6d3s 
As6h3c2s2c Ks9h8s6s5s QsQh9h5h2c KcJs8d6s4h 
Qh7h7c6c3h AcJd8h4c2c Ac4d3h2d2c KdQsJd7h3d 
QhJd9s9c2h QsJh5s5c3d JsJh9d7c4d Jh8d7d6h2s 
KsQhJd5h2h 8s6d6c4d2c Th8c5s4s3h Qh7h5s5c3c 
QcJh6s6c4c 9s8c6s6d2c QcJs6c4h3d AhTsTh3h2d 
Js9d6d4s4d 7c5s5c2s2d QcJs5c4d4c Jd8h7s7c6c 
Qs9h7d4h3s 9h9c6h4c2d JsTc8s7s3d QhQd7s6s3c 
QhJs9d5d3d QhJd6c4d2c Qh9h8c7c3h Ks8c6c4s3s 
Js8d8c5c4h QdJc5d4s4d Jc9h8s7d4c AhJc6d5s4s 
Jh8s7s6c4d JhJc7d2h2d Jh8d7d6c4s QsJs5h2h2d 
AdQh5s3s2h KhJc9c7d3s 9c8s6d3d3c QsJd9c5c3c 
AsKs8c4s2h Ks9s9h8s5c AhJh8h5h3s AdKh9s6h3h 
KhKc7s6d2s Jh9d7c5s4c 9d7s6d6c5h AcJhTs3d2d 
KhTs9d2h2c 9d8s7c6h4c 9c8s7c5d4c Ah9s8h6h3d 
AhTc9d6s4s QsTd8d6c3h Td9h7s7c5h KcTc9h4s3c 
KdJs7s3c2d Kh9c6h5h4d Jh9d8c4c3h Js6c5s5c3h 
Ac9d6c5c3s Jc7d5h4d3h Tc9c4s3s3h KcTh9d6c2c 
KcJdTd3s3d AsJc7d6h4h JcTc4s3h2h Kh8d8c6h5h 
AhKh8d4h2c Ts8c6c4s3s Tc8s8d7s5s Ts8h8d5c4h 
QhTd9h6h2s KhQd6s3s2h As8h4d3s2d 7h5h5c2s2c 
AdJd8c6h2d 9h8c7h5h4d QdTh8s2s2h KdQh8d2h2c 
Kc8s8d6c5c 9d7h5c3h3c JdTd4c3s2s Td9d8c6s3h 
QdJd4h4c2h ThTd9c7d3d KhTh6c3s2c Ac9s8c6d3c 
QhJc9c7d4s KcTd8h5d2h KdJh8c6h4s AsTh9c5d3h 
JhTh6h6d5h ThTd9s7d3d Ts9d6s6h2h QdJh6s6d4d 
Jc9s7s5s2c As6s6c2s2c Qc9h8h4s4c KsQs8h8c3h 
AcJsJd7d2h Qd9c8d5h4s Qh8d5s4h2d JdTc7h6c2h 
JsTh8s7s2d 9s8d6h4h3d Td7c5h5d3c 8s7d7c6c2s 
Jc8d8c5c2d 9s8h6d3s3d KsJh9h9c3d KsJdTc8c2c 
KdJsJc7d2h Ah8h6h5c3d KhTh7h7d2d QdJcTc3c2s 
Qh9s5s4c2h QhJs7c6c4d TsTh9s7s3c As7s4h3c2c 
Ad8s8d4h2c Qs9d8d4h3s Ad7s7c5s4s KcTs9d8s3h 
QdTc9s6d2d Ts8c6s6c3s KdTdTc4d3h Jc9s7h5s2h 
Qh6d5h5d2c KcJd8c3h3d Ah7d4h3s2s Kc7h6d4c2h 
8s7s6s5d3h Ts9c6c5d4h Td7s6d5c4d KhQc9s5h5d 
Kc9c7s7h2s Tc9d8s6d4d AcKh9c4c3d 9h9d6c4d2h 
KcJdTh5d2d Ad9s8s8c6s KsJh9c6d4h Ah8d7h5c2h 
Tc6h5c4h4d Qd9h7s6s6c Js7s7h5s5c 9c8c6h6d3h 
KsQs7s5h3c 9c8s6h4s2c AcKd8s3s2d AhThTc3h2s 
Qs8c5s4h2c Qc9d7s5c3h KsQh8c6d6c AsKdJd4d2d 
Jc9s8d4s3c AcJsTd3h2h KhJh7s7c2c QsJs9d5h2c 
AdQh9h6s6h KhJs9d5d4c KhQs9s7d4c QdJd9h5s2c 
QsQd8c2h2d KhQdTh4h4c Th9c6h4c2d QsTh9s6s2c 
KdTh6d4s4d AsJhJd7h2c Jd9h5h4d2c Td7d5d4h3h 
Td9d8d8c6d KcJhTh3h3d 9d6h5c3h3c Ad8s6s3s2d 
KcJsTd8s3s 8h6d5h2d2c KhJhTh8c3h QdTs7s6h3c 
Tc9s9c8d3h 8c6d5c3d3c Qd9d7d7c4c KsJhJc7c3c 
QdTd9h6d2c JcTsTd5d2d Qd8c7c5s2d AsKc5d5c2c 
As8h7d6h4c QdJh8s3d2h Js8s8h7s6s Ad9c8d6d3s 
Jd8d8c7c2c QsQh9h8h2h QsJc5s5d3h KhJhTh8d3h 
AcKd9c8c3c KhQh9h7s2s Js8h8d7h3d KcJh7d5c3c 
Kd7s6d5d3c Kc9c7c6h4s KdJs9s9h3c AdQd8s8d4d 
QhThTc9h3h Qc7s7c4s4c Tc9h7s6d3d QhTh9s5h4h 
8h7c6h6d4s AsKs7h3s3c 9d8d6h3h3d AhJsJh6h2c 
JcTd8d5s2h AcJs7h6h4d KsQh6c4h3d AhJcTh3h2h 
8d7s7d4c3c 7c5s5c2s2h 9s9c7d5s3h JsTh8h5h5d 
QhJh8h7c5h Qs7s6s5d4h Qh8h8d5d2d KsJdTd5c2d 
AhKc5s4s3s QhJh9s5h4h TsTc9h8h2d Qh8c7d6d5d 
Ah6d5s2h2c AdJs8c3s3c AsJd4c2s2h As8s8d4c2h 
7s6s6h5s5d ThTd8s8c2c Qc8h7s7c5d QdTh8d6d3c 
Jd8s6s5h2h Qc9c8h5d4s KsKdKc7c6d Ad8c4d3s2c 
QdJc8h3d2c KdTc9s9h3s KdJh4h4d2d 9c7s7d5d2c 
AcKs9s9h3s KsKc8d2h2d Kd9d8d5h2h Kd6h4h4d2c 
TsTc8d5h4h Ah6h6c3h3d KdQdTd5c2s KcQhTc4d2c 
KcQcTs5h5c Qc9d6c5c4h Jh9d7c5h3s QsJs7h6c2h 
JsJhTd3h2h Tc9s9h7d4s Jc8d7d5s4d Kd8c5c4d2c 
Kh9s8d7c5c Th7h5h4s3s Ac6s3d2d2c Qd9d8c6d4h 
KcQsJc9c4c QdJd9d8s2h Jc9c8s5h3d 9d7c5h3h3c 
Qs6s5c4h2h QcTs5c3d2d KdQc8h6s6h Tc9d4s3d3c 
9s9h5s2s2h QsQc8h7c2d KcTd9s3s2d KcQdJh7d3s 
AhTd9c5h2h AcJd9s7h3s Ah9c8s8c6c QhJc5h4s4h 
JsTdTc5d2d KhQs7d6h3h Jc7d7c5h5c AdQc9d5d4d 
JhTh5s5d3c AdJs6c5h4h AdKs9d4d3c KhQc9h8d3s 
9h7s7d6s2h QsTc7h5h4h Ts9d9c6h3s Qd8s8d7h2s 
KsTc9h9d4c Kh9s8c5c3s Kh6d5d2s2h Ac7h6s6d5s 
Js9h7c6h2s Jc9s7d5c4c Js8s7c4s4c KhQh8h7d3d 
Jh8c7c5h2h QhTs7s3s3h Tc9d6s6d2s KdQc9s6s4h 
KsQd7s4h2h AhJh8h5h3c Qc8s7h7c6c QdTc5d4s4h 
KhTd9s9c3c QsQc7h6h3d Ks5h4s4d2h Th6c5h4s4c 
JsTsTh5c2s QcJc4s4d2s Th9c8d4d2c Js7s7h5s5d 
JhJcTs3h2h JcTs8s6s3d QcJc9h5c4c QdJdJc8d2s 
Kh8s5s4h2s KsJc6s5d2h QdTs5s2s2d AcKd9s6d3d 
Qs9c7h4c3s Ac9s4s2d2c AdQs5h3h2s 8s6s6c4c3s 
TsTh8s3h2d Ts9s9c4h4d KcJs6c5d2h Ks9s9d8s5c 
JsTc8s7s3h QhTsTd7s3c KdJs9s5c4s Ts9d8d3h2s 
QhQcJs8d2d QdTh9c6d2d QdJc6c5c3h AdQhTh7c2h 
Tc8s7d7c2s Jd8h6c5c4s 9d8c6c4s3s AhTh9h4d2s 
JsJh8s5c2d Jh7s6c5s4d Tc8s6h4s3h KdQdTs5d5c 
KcQc7s5d5c Ts9c8h3h2s Jc9d7s6s2c Th8d7s4d3s 
KhTs4h3c2c AhKh7s6d2h Qd9s8h7c5c Kd8d8c7d3c 
JdTc7s6c2s Js9h9c4s2h QdQc5h4h3h KdJc9h9c3s 
KhQsTd5d5c Kc9s6c5c4h KsQc4d3d2c 8s7c5s3d3c 
KsTd9c3c2d QdJcTs6c2h AsTc9h6d4d QsThTd7h3c 
Td8d7d6d6c KhTd4h3c2c Td9d6c5s3h Qc8s6d6c5c 
9h9c6c5c4c Qd8c6s5c4h AsQc9c8d2c KcQc7h5c3d 
QcTd5c3h2h JsTh9h8h4h Jc8s7s7c2d As8s8h7d2s 
QsJh7c6c2s JcTh5s3h2s KsQsTh4s4c Ah6s6d4h2c 
As8s7d3d2d Tc9d6c4d2s AdKd6c2s2h JsTd8s8h2c 
QdJd4s4c2s Jd7s6h6d3h Qs9s8c5d4h 9c8h7c5d4c 
JhTh5d5c3s Ts9d8h7c4h 9s8c6c4d3d AcTs9h5c2c 
8c7h5c3h3d Ah4s3s3h2s KsTh9c5h3d KsJs8d8c5s 
Jd9h5d5c2h 9d9c8h5d4s Jh6h6c5s5d KcQs9h6h4d 
QcJdJc7s3c QcJc8d7c3d JcTc4s3s2d Th8h6d4d2d 
AsTh9d5s2s Kc9d6c5c4h Jc9d7h6c2d KhJc8h3d3c 
7c5s5c4s3h AsKh8d7d3c Kh9h5h4c3c Ad8d7d6s3c 
KdJsJh7d2c KsTs7d5h2c KhQh8s8c3s Th8h6h4d3d 
AhKh8h5s3h KhJc6h5h4h QhTh8s6h2c KsQh7s5s5c 
AhKs9h4h3c KhTh8h7h4d AcKsTh5d2d Kc7s7h4d4c 
Ks8d7h7d6c Td9c8d4d2c KsKhKcQh7c Th9s9c7c4c 
KhTs9d9c3c KcQsQc8c3d Jd6d5c4c3d 8h8c7h4c3h 
QsJc9h9d2s KcTs8c7c3d Kh8h7d4s3s As8d7c6d4h 
KhTh4c3c2d Qc8d7s7c5h QdTd8s6d3c Kd5c4h4d2h 
Jh9s6s4s4h AdJhJd6c2d 9s8s6h6c2c AhJhTh3h2c 
9h8d6h6c2d Th9h7c5c2c Ts9c7h7d5c Js9c7c5c2s 
8c7c6c5h3d KhJc7h4h2c QhJd9h4c3s 7d6d6c5s5d 
9d9c7s5c3h KdTs9c8s3h AsJh8s4s2c KsQs7s6c3d 
KsTs7s5h5d AdQd6h5c2d JhJc9d8h4h TdTc6d4c2c 
AsKh7c3s2d JdTh3s3h2d Qs7d6s6d3d Th9c7h5s4h 
KcJsJh7s3s 8s6s5h3s3h Ks9s6d5s2d KdJdTd8s3d 
AsJsJh6s2c QcTs9s8h2s Qd9s9d8d6d AhTh8h6h5h 
Jd8s7s7d2c Ks9h9d8h3d QsJd6d3s2c Ts9c5s5c2d 
Js8h5s4d3d KdJsTh7c2h QhTsTc8d2c Qh7c5d3h3d 
AdKc8s3s2c KcTd9c4h2s Qs7h6h4s3h KhJs8s6s5s 
Jh9s8s8c6s KhJd9s5c4c Td6c5d4s4c 7s6c5d4c3c 
KsQdJh9c2c 7h7c6h5c2c AdTd7c5s2d Qd8s8d7h3h 
Qd9h8d5c4s Qc8h7s6s5s Qd8c6d4h2h Td9h4s4d3h 
Qd7c6c4d3c JhTc8s4d3c KdQhTc8h3h Jc7d6s6c3s 
Tc7h5s5c3s Qs9c8s5d4h KdQd7d6s3h QhQd9h5h2s 
Qd9c6d5d4s Td8c7d6d4d KdQhTc5s5c AdJc9h7s3h 
QhTd9h8h4h AsQs9s7d4s KsTh3s3h2c AsKc9s4s4h 
Kd6c5h5c3h Ad9d4s4h2s Qh9s7h6h6c KsQcTh4s2s 
Td9d4s3s3h JhTd9s6h2c Qs8d6d5c4h KsKhKcQh7s 
QcJs8c7h4c Kc6h4h4c2d ThTc7h6s2s AdQd4s3d3c 
AdQs7d7c3d AdQs9h8c3h KcQcJh2s2c Qd8h6d6c5d 
KhTc3h2d2c QhTs6c5s3s 8h7c5s2s2h Jd7d5d4s3s 
TsTc8h8d2h QhQc7s4s4d Td9s8h3h2d AdTd6c4s3d 
Ts9d8h4h2d AcTd9s5h3d Td8d7d6h2h AcQdTh7h2s 
TsTc9d7s3s Td8d6d4s3s AhQh8s8h4h Js9h6h4s4h 
KdJs8d2s2h Ad9c8d3c2d JsJc9d7d3h QsQc9h4c2d 
KcTs9h5h4d KsTh4h2s2c KsJc7c3d2s QhQd9d5d2c 
QcTh9c4c3s QcTs9h6c2c QcJh4s2s2c AhKc7s6d3s 
AsJh7c3h3c Ts8h8c7h5h Kd9s8c6c3s Td9c6s5h4c 
KsJdTh7d2c AsQc9h8d4d KsTs8s7s4d AcQc9h3d2s 
JcTs7s7c2c Kd7s7d6h3c Kh9s5h4d2s AsKsTs8s2s 
QdJd6s6c2s QcJsTd6h2s Td9c8s7h4s Qd9c7h4c3d 
Ad8h8c3s3d Qd8h8c6s5c Ts6s6d5d3h KsQcTd4h2c 
7d5h5d4s3h Kh8c7s7h5h KhJc9s9d2h Th8s7h7d2s 
Kc4s4d2s2c QhQd9d4d3c 5s5h4h4c2s JhJd8d5c2s 
Kd7c6s4d2c KcJs7h5d3s QdTs6s2s2d Qd7c6d6c3c 
Qh9h9c8h6h AdQd4c3h3d KsQs9c5h2d KdTd6c3c2h 
QsJh8c3s2h Td9h9c7s3c KcTc4h3h2d QhJh9d9c5h 
Qh7c6s6h5d KdTc6c5c4c Js8d6c5c4h QdJh5s5d3c 
KsTc9d5h3c Kc9c8c5h2h 8d7c5s2s2d KhQcTs8c3c 
Kc9s9h8s3h QdTsTh7s3c 9d8c7s5h4s KdJh6d5s2c 
KdTc4d3s2s JcThTd4c2s 8h7s7c4c3s AsJsJc6s2h 
Kh9c8s6s3c Jh8d7d6h2c As4h3s3h2h KhQhTs4h2c 
AcTc7s5h2c JhTd8h7h3s KcJs9d5h4h KdQd7d5h2h 
9c8h6d6c5c QcTc8s6c3h AhQhTh7h2s JhTh5d3h2d 
Qd6h5h5d2s Ks9c7h6s3s Td9s6s5c4h AsKc9s6s2d 
Qc6s5s5c2h Qd9c8c4s3d 7h5h5c4s3c JdTd6s6h2h 
KdTs6c3c2d AsQc9h8d3h AcQs8c4c3h AhJh6h5h4d 
