Kh7d5c3h2d 
Ac8d6h5s5h Kh7d5c3h2c Kc8s5s3d2c Ad9d6s6h4d 
Kh9s8h6h4c Kc8d8c5c4h Qs6c5d4s3h 9s9c8c4c3s 
As7d6h5h3c Tc7s7c5d4c KdTd8d7s2h KhQd6d4s4d 
KsKhKcTc2s KsTc4h3s3d AsJh8d7h3h AcJd8s4s4h 
JhTh6s2s2c Kc9d8c7s2h AsKs8d6s3s Th9s7c4h4d 
QhJh7h5d3c QhJdJc4s2s 8d7d5h4s4c ThTc5s5c3d 
Jh8s6c5c4c 7d7c4d4c2c JhTd6h4c3h JcTd6s6h3d 
9d8c7c6s3h Jc8h7c5h2c KdQdJd5d3d QcJcTd7h2c 
QsJhTd7s2s Kh8s6d5s4s AsJs6h5c2s JdTd8h6d2c 
Qd9d5c3c2s JdTs5h4s2c QcJhTh3h2h QcJsTsTdTc 
Qc9d8d4c3c Jh8h8d6h4s QdJh7h5s3h As6s6c4h3s 
JhTh3s2s2c 6h6c5s5c2c QcJd5h4d2s QsQc8h5h3h 
Ts9s8s6h2c QcTd7c4d2c QsJh8s4c3d QsJd4h4c3s 
QdTd8d5h3s JhTc5c4s2c JcTc9s6d2c Qd7c6h5s3d 
Td9c8h6c3c Qd9c5d4c2c AhQs7h6h3h Td9d7h7c4s 
KhQcTs7h2h KsJc5c4c3d Kd9h9d7c4d Kh9c4s3h3c 
AdJc7c5h2s Qd9h6s5c4c AcTh9s6d2h KcQhJd8h2h 
AhTd6s6c4c Jh8d7h6d2d Qh9h6h5h4s Tc9h9c8s4c 
Ts9s6c5s3d Kc6d4d2d2c KcJh9d8h2s AsKd9h9d2d 
AcQh9d5s3s Jh9c7d5d4d Th9c6s3h2c Kh3s3c2s2h 
JhTc7c3h2h Ks8s8c5s4h Qs5h4c3h2s Tc9s9h8c4c 
KdJs9d5h2d QcTs8s6h3s QsQh6d6c2d 9s5d5c2d2c 
AcKs9h8h2h Ts8c7c5c4c QsQd4c3h2d 8h6d5h4s3c 
QdTh7c4c2h Tc7d6h6d4s Tc9h9c5d2s AhQc7d4s3c 
Kd9c7s7h5c Qs9c8s3h2c AhKc7d4s3d Ks6d4s3d2c 
QhJd4d3s2s QsQd7c3c2s As7h7d6c4d Ks9h8s3d2h 
Kc9h6d5s4h AsJd6c5c4c QhJsTd7h2h Tc9s7h4h2c 
Ah9s8h3h3d Jd8h6s5s4s 7s6h5c3s3d JdTd8d5d3h 
9s7s6d2d2c QdJd8s5h2d 9c8s7h6s3s JcTc6d2s2d 
Js9d6s5h4s AhJd8s7s2c Kd8c6c5s4c Kd6h4d3h2c 
Qh7c6d4d3c Ah7d7c6s4c Qs9h9d8s2c AhQd6s6c4s 
QhJc9c6d2s KcQd9d5s3d Th9h7s5h5d Ks6d5s3s2d 
7d7c5h5c2s Qc7s6c3s3d Ts9h9c8h4h QhJs6c5s2d 
KsJcTs7s2s 9c7c5d4s3h 7s7h6s4d2d 8s8h6h3s2d 
JsJd7h4c3d QdJs5c4c3c Ts9h9d8d4d Ks8h8c3s3h 
AsTd4h3c2s Tc8s7s5s4s 9h5s5d2s2d Th7s7c4s4d 
AcTd9d4d3h Jc9s6c4h2h 8h8c5h3s3h Js8s7d7c4h 
9h9d4s2h2d TsTd9h4h3h JsJd8d3s2d Ad8s6c5s5h 
KdKc7s7h7d Ts8d7s4d2d 9c7c6d6c5c Ts9h8c7c2d 
JcTh5c4d2c QcJc7c6c4s Jh7s7d5h2d Tc8d6d5h5d 
8s8h5h3s2c QdQcTs3s2s KdTd8s6c2d Th8s8d6c2s 
QcTs8h6d2h AsJs7h6s3s 9d8d7d5d4c QdTd9s3c2h 
JcTc6h3d2h AcJh8d7d2s Qh9d7d6s2s QcTc8s3s2c 
Ah8h5s3h2s 8h8c5s5h2h Jc7h7c5s4c Kh9d8h3s2d 
QsTd9h6c2c 7s7d6c4h3s KsQhTh4d2h KdTh4c3s3d 
AdTd7h4s2d AcTh6d3h3d Jh8d7h6s2s Ad9s6d5d4d 
9d6s6h5h4c KsQs5c3s3d 7s6d5h3s3c Qs9s8d6c2h 
AsTd6h6c4c Ts7s6d5h2h Qc9s7h3h3c Jd9h8h5s3c 
QhJh8d5s2h QsQc4s3d2h KsTd4c3s3h ThTc5c3h2d 
AdKd9d7d2s JhTd9s4d2d QsQd3d3c2d QhQc6d5s2d 
Jc8h8d4h2c JdJc7s5c2h QsTh5d4d3c Jc5d5c4d3h 
Tc7h6d5s5c JsThTd7d2d 9h7h6s6h2s AsQd5s4s3s 
Qs8h6s4s2h Js8s6h6d2d AhTc9s7d2d 9c6h6c4h3c 
9s9c8c5h3d Kc9s7c3s3c Ts9d8h6d3d Jd9s5s5c2c 
QhTh6h5d3h Ks9h6c5d4h Ks7h5d3s2h KhQdJd9d2d 
KhJs8h3c2c KcJd9s4h4c KsJd6c5h3h 6s6c5s5h2s 
Tc8s6s5s5d 9d8d7c6d4d QhJh7c6c2h KcTc8s6h2c 
Jd7c6s3d3c QsJs4s4c2c Qs5h4s4h2d Js9s6c5s5h 
QsJdTd3d2d Ad9h9c7s4c KhJd7s5h2c Kc7d6h2h2c 
Kc8d8c6h3s 9c6d5h5c2d QdQc6s6h2s Jd9s8d4d3s 
AsKc5h4d2h Ac9c4h3s2h Tc9h8d7d2s Kh7s5d3h2d 
KhQs9h7h3d 9h8c5h2s2c Qh5s5h4c2c Tc9d7h3c2d 
Kd9c6s4h4d KdJd8c3c2h KsJd9c6h3d KcJh8c3s2s 
9s8d7d3s3d Jd8s8d6d4h 8s8c5h3h2s KsQs9s8h3c 
Kd7s5h3d2h Th9s9h4d3h 9c6s5c3h2h AdKc7s4h3s 
Ad5h5d2d2c JsTd8d6h3d KdQsTh8h2h Ts9s7d5s5c 
Jh8h8d7c4h KcJd9h8d2s 9s9c8s5d3h 8s8h6d3s3c 
Js6h5d4s2d Jd7h6c5c2d AdTs4c3s3c AcTs9h7d2d 
Jd9s4s3s3d QhJd9s7c4c 9s9h8h4d2d 8h7c6s6c2h 
Kh9h8c3c2s Jc9h6h5h4d QdJs9s7s3h JsTc9h7d2d 
JsTc4h3s3d KsQd9d8h2c Qd8c7h5s5d QcJc7s6s2c 
Td8h5h5d3d KcTc8c7s2d KcQh9h6d3h JhJc7s5s3s 
KcJs6c4h4c JsJh4d2s2c Jc8c7h5c4c Th8c7s6s3d 
ThTd6d5c3d QhJh9s6d2c AsKc3h3d2c 6d6c5h5d2d 
AsQd5c4c3h JcTc5s5h3c Kd8s7h6c4h Kh9c7h3h3c 
QcJh7h7c2h Qc8s6c4c3s Jd9s8d5d3h Qh5d4h4d2s 
AhTs9d6c2s Ac9s8s7h2d 8s8d6h5d2c Td9d8h8c3s 
KsQcJs8h3s Jc6s5s5d3d AcJc8c5d2c 6d6c5h5c2c 
8h7c6d2h2d Ah7s5h2d2c Qd6d6c5s4h KhJh8c5h3d 
QdJh8c7c4c KhJsJc8h2h AhKh8h5s2h Ks9d8c3d2s 
KdJs9d6d4d Jd8d8c4c2c JcTc7c5c3d 8s7h6d2s2d 
Jh9d8d7c4s Ts9h9c8d3d Kh8d6s4h4c QhQdJh7c2h 
AcQc7d6c2s 6c5d4s3s2d Ks9c5d4d4c AhJs5h4h3h 
JcTd8h4s2d Ah9d7s5d4d Kh7h6h6d4s Kc8d7d6d4s 
8h8d5h3h3c KsQhJc8h3h Qd8s5d5c4h Th8s7c4c2s 
QhQd7h7c2s KcJc6h4d2s Kh9c8s8c5d Qd9d6d5d4s 
AhKd9d5d2c JsTc5d4c2h Kc8h8d5h3d Jd9s8c5h3s 
JsTs6s5d3s KsJs8s6s6c KdJs5s4s3h KsQcTc4d2c 
Kh8c5c3s2h QsJs5s4s3h JhTsTd7d2d QhQcJc7d2c 
KsQs6s4h4d KcQhQdQc9h Kc7d6s2s2c Kc9d7s5s4h 
Ad9d5h5d3c Qh5d4s3h3d Kh8d6d5c4d Qh8d8c7c5s 
QhQdJs7c2s QdJd6h4s3d Kc9c8s3s2h Ks7h6c5d5c 
JdTd7c4d3d AcJs8s5s3d Js6s5h4d2h 9s9d7s4d2c 
6d5c4d4c2h KdJd9d7d4s Ad8h7h5s3c QsJsJh6c2s 
QdTs8s6h3s Qd9h8s6d2c Ah9s8d5d4c KdQh9h8c2s 
As9h4s4d3c KcTs7s5d3s KsQc9h3c2h QhTs8h4c2d 
KcJc6d4s2h QhJs9h9c2h KcQhTs7c2c Qs7h6d4d3h 
KcJd7c4s3c Ks9h8s3h2d Js9s9d6c4s QsJc9c6d2h 
JcTh9s4h2h Tc9c7c6d3c Jd9h5h5c2c 8s8h5c3c2s 
Tc9h6h6d4h As9s5s5d3c KcTh8c6s3c QdJhThTdTc 
8d6c5s5d4h QhJd7s4c3h Ad9c7c6c4s JhTh3c2d2c 
Kh6c4d3d2h Jd9h7c6s4c AhQd6s4d3c AhQh6s4h2c 
Kd8c5s2d2c KhQc9d7d4s 6s6d5s5h2s Jc8h8c7s4c 
AdKd4d2s2h As9d7s4c2h QsQd8s5s3s Kd9s9c8h5c 
7c6d5h2h2c 9d9c4s2d2c Kc8d6d5s4d AsJd9h9c2h 
AhJs9s4c3d Ah9s7d5d4d Qh8h6h6c4d KcQsQd7d2d 
KhJd9c6s3d Qc9h6s6c3d Ah9d4h4c3s Kh7d6c2h2c 
5s5d3s3d2h Kc6d4s3s2c QsJh6c5h2d AhTs8d6c2s 
KcJc7h6d3c KhKdKc6c4h Qd7h6d3s3h KcQc8s7d3h 
Th9s6d3h2s KdTh4s3s3h KsKd8d4d2d KdTs4s4d2d 
Qs9c5s5h4d AdQc7d6d2s AdTh8s3d2d Kh9c7s6d4d 
Ad8h7d6d2s QhJs8h8c4h Td7d7c4s4d Ks9c6h4s4d 
Kh8h7h4s3s Th9c8d7s3h JcTs8s6h3s Jh7s5h3s3h 
Ks9s9h7d4s Kd9d9c5d4h Ks7d6c5h5c Ts9s8s6d2c 
Ah7s5c4h2h Ts6s5c4h2h KsTc8c6d3h Td6d6c4d3c 
JsTh8c4d2h 9d8d6h4h3d Ac6h6c4s3c AsTh8d6d3d 
JsTh7c3h2c KdJd8c2h2c Qc6h5h5c2h KhQdTd4s2d 
KsJs4s4c2c Th7s6h5c2s AdKcQh7s2s Kh9s8h7c2d 
Qd8d7d6s4d KsJh4h4c2c Js8s6h4h3h JhTs8s5s2d 
AdJhTc6c2s JhTh5d3h3c JcTsTd7d2d AdTs7s6s3h 
Td9d8s8c2h Ad9h7d3s2c 8s6s5d4h2c Ad9d5d5c3s 
Jd9h6h5h4s KcTs7d4s2d Ac6c4s4d2h AcTd5c4c2s 
KhTd8s2s2d Jh9s7d6c4d QcJd9s6h2d Qh9c8d5c4c 
KhJd5d4d3s 9s8h6h4s2s Th9s9d8s4s KcQc9c8s3h 
Ad9c5d4h2s Jd6h6c5c2d Kh6s4s2s2h Qc9c8s3s3d 
Ad8c6s6h5c KsKhKc6c4s AcTs8h6h3h Qh9c7h5h4d 
Jh8d8c5d4d 9d7d6d6c2c QhJh6d4c3h Js9d8c6h4c 
QcJd8h7h4h Qd8s7c5c4h As9s5s5h3d Jd7d7c3h3c 
Qd9d8c4c2h AsQh9c6c4c Kh9s9c6s2c 9d9c7s3s3h 
9h6h6c4h4d Jh9c8c3h2h QcJdTc3c2c Ts9s7h5s5c 
TsTh8d7c3h QhJhTh3s2h 9h7d6s6d2h KcTs8s6d3h 
JhTc5c4d2c Th6s5s5h3s Th8s7c6c3d Td8c7c4d2d 
QsJs8d5s3c Kc5s5d3s2c Ks6s6d4s2d Qs7h7c6c5d 
Kc9h5d4h4d Jd9h9c5h3h Js9d7h5h4h Ks6s5h4s4c 
QcTc6s4d2h 9d8c7h6s3h AsKd9d5d2h 7h5h5d3s3h 
AhJc9s9d2d QcTs8d6h2d ThTc9s5s3s QsJs7s5d3c 
Kh8h8c5h4s Kc7c6s3s3c AcTd5s5h4d Th9d5d4h2h 
AhTs8d4s3c AdTs8c7c2c KcQsQdQc9d Th9h4h4d3d 
Ks9c5h5c3h Ad9d8d7d3c JcTc9h3d2c Th9h8h6c2d 
6d5h4d3h2d Jc7d6h5s3c KdQsQdQc9s QhJh8d3d2s 
QdJh9h7h3c Kh9s4s4c3h Qs5s5h4c2c JdTh5s4d2d 
AsJh9d9c2d Jd8d7c5d4d AdQh9d3s3d 7d7c6c4d2d 
Tc6h5h3d3c KcTsTc7c3c Qs9d8s5s4c QcTc6c5s5c 
9c6h5c3s2s Td9h8c7s3d Jh7h6h5h4d KdQh8d6d4d 
KcJs6d4h2c 9s8h7s4h3h Kd8h8d7d5d QcJd8s8c4c 
Th9d7h3d2c AsJs7s4s3d AcQcJc4c2c JdTh8d6c2d 
Ah9d7h6s2h Ks6s6h4d3c Kc7h5d5c4c Kd9s9d6d3c 
QsJd6s3s2d KsKhKcTs2h QcTc9c7h2s Ac9d7h5h4h 
Tc7h6c5d2h AdTs5c4s4h Ah8s6d6c5s Tc8s6h6d4s 
Qs8s8d5c4s Ks9d7h7d5d AdKs9s9h2s Jd8d6s6h2s 
QsQd4h3c2d Ac9d5s3s3d Jh9h5s3d2d Jc7s6d5s2c 
QsTc6d4h3h QcTc9h4d2c AcQsJd7d2h AcKh7h3h3d 
KhJh6d4h4c Kc9h8h5d2d 9s6s6c4c3s KcTs9h4d3h 
Ts9d6d6c4d AcJc7c3s3h QhTs6h6d3h Qc8d7h5s4s 
JhTd9c6c2c Qd9c8d7s4h As8d7c4c3d Kd5h5c3c2d 
QhJc8h4d3s Jd9c8h5h4h ThTd5h3d2c AsJs9h4s2d 
9c8c6c5s4c Td9s8h5c3s AdKhTc4c2c Qs5c4c3s3h 
QdJd9d5h5c JsTs6h2h2d KhKc7c3d2c QsQd3h3d2d 
Qd8h5d5c4s QdJc9c6s2h As8h5s4d3s Ac9h9d7s4d 
QdJh3d2h2d Kc6d6c3s3h Qc9h8d6s4h Ts8h5s5h3s 
Qc7h7d6h5s Ah8h6s6h3c AdQh9c8c2c 7c6d5c3h2d 
Ac9d5c4h2s Jc8c6h6d2d QsTc8h6c3c 9c8h7s4s3h 
As8c6h6d5c Jc8s7d6d2s KhJs7h4d3h Ts9s5h5d2h 
Qs9h5d4s2d AsTc8h7h2h Ah8d4d3h2d AhQd8s8d3c 
KsQc6d3s3h 8d8c6c5c2s AhJd9s5d2c Jh9c7d6s4d 
Th9d9c8s4d Qs6c5s5d4h Tc9s6h5d3d KsTh8c2h2c 
AhQs9c7c3c Qd5h4h4d2s AsKd5h4c2h JcTs7h4d3d 
9d9c8s5c3h Jc9c7c5s3c Ad9c8h5h4s Kd9h8h8c5s 
Ks9c5h4h4c KsJd5h3d2h KdQd5h4d3d QcJh5s4s3s 
Kd8h6h5h4s JsJh5h4d3h 8c6d5d3c2s AdKc9c5c2s 
Kh8d5s2h2d JsJd9c5s2s KhJd7c5h2s KdQs9s3h2h 
8d8c5d3s3d QdJd9d7d5d AsKhQc7d2d JcTs9h7d2d 
Js7s7c5d4s QdTh6c3s3d Jh9s7s3s3h 9c8h8c5c3s 
QhTh8h8d4h KsKhKcTs2c JcTc5s3d3c Jh9s9c5s3s 
Ks9h7d6c4c KdQhQdQc9c Ts8h5h5d3d AsTd9d4d3c 
Jc8d6d4c3c AsTc4d3d3c JhTs6c3h2c Kc8d7d6d4h 
Qs9d7d6h2h KhTs7c6c3c QsQc6h5d2h Kh8s8c5c3s 
Ks9s8h4c2c Th9c6s5d3d AdKc9s8s2s JsTd8s5s3s 
QdJd4s2s2d Td6s6d4d3s 9d9c7s3h3d JhTc7s4d3d 
JdTh9s7c2c 9s9h8s5c3d Jc9s6s6h5s Qd9h8c6s4h 
KhTd9s5h2h Qh6h6d5s4c KsQc9h7c3d 9s8c6h6c4d 
Jd9c8c7h4s 7d6d5h5d4c AhQh7h6h3s Qc9h4h4c3s 
Js9c5d3s2c Kh9h7c5s3h Ks7d5h3s2h Td9s7h4d2h 
Jh9s7c5c4c 8d8c6h5d2s Jh9h5c3s2c Qd7d6d5s3h 
Jh9s9d8c3h QdJd7d5h3s Ks9d5d2s2h Ks6s5d4c2h 
Kc9s8c3h2h Kd9h5h2s2d Kh8c6d4s4h KdJs9c6c4c 
QdTs5c4c3h KsQh9d8h3c Kd9d7d6h6d Ac8c6c5s5c 
Jh9d6d3h3d KhTd9c4s3c KdTh8d3h3d 9s9c8c3h2s 
QcTc9d4c2s Ks5d5c3d2s 9s6h6c5h4d AcKd9s9d2d 
QhQc8c5c3c Ks9d8s7h4s JdTd8h6d2s ThTd5d3s2h 
Ts8s6s5s4h 9s8c6h5d2d KdQd8d5d4c Qc7h6d5s3c 
Jd9s8d5d3c AcQs7h6c2c Kc9s9c7h4c Qh9s7s5h2h 
Jc8d7d6c2c KhKdKcTd2c 8h8c6h5d2h QhTd3h2s2d 
JcTc9h3s2c Js9c8c3s2s Td6c5d4s2c KhQcTs6s2s 
KsQhTd7s2s QcJc8s8h4c Jc9s8h7d4d Jd9d5c3h2c 
Tc9s8d5s3h Qh7h7c5s2s AcTc8c3d3c Ts8c5c4d2d 
Qd7h5h5d2s QsTs9s7c2h Jc7s7c5h2h Ac9d7d5s3h 
Jh8h7s6s2s AsQs7h7c3s Td9s9h8c3h AdTs6h6c4h 
Js5s5d4d3h KcTd9s4h3s JcTd6s4h3s Kh9s8h3c2c 
AdQh9c6c4c AhKh9s9h3h Qc8h8c5s5c Ad8s6h5s5c 
Ah7d5c4h2h As8h5s5c3s Kd8s5s3h2d QdJd9c3d2c 
JsTd3s3d2s Ah9h5s5h3c QsTh6d3s3c KdQs9s6c3s 
JcTc8s6h2c Td9s9d4c3d Qd9s8d5d4c QcJd9d7d3h 
Jh9d8s7c4c KcQh7s4h2s Jh7d7c6s5c QhTh9s3c2d 
AcTs6h4s2h QsJh4d3s3c Jc9s8d7h4h KsJsJh7c2s 
JdTc5c4h2c 9d7d6c2s2c JhJcTh7h2h AhQh7s6h2c 
Qs7h6d5c3s AdKh7h3h3c AsKc6h4d3h KcJc4h4c2h 
Ah7c6s6d2h As5s5h2s2c Ts9s7s7h4d QsJs8c5h2s 
JdTc5d4h2d JsJd8d5c2d QsJd8h7s3c Kd9h8d3s2h 
8d8c7s5d3d Jc9s9c3d2d As6s4h4c2d Kh8s6s5s4d 
AdKsJhJdJc Js8d7s6d2d Qc9h8d6c2s 9h9d8s6s4s 
Qd9h6h3c2d Qh9h5s3s2d AcJc6h5d2c KsKhKcJs2h 
Kh8s8h5h4d Js9s8c3s3c Kh6s4h3s3h Qh8d7d6d5d 
7d7c6h4s3s Tc8s7d4d2s 8d7s5s4h4c Qh8s8h5h4c 
TsTd8c3s3h Th9s9d4c3s KdQs7h6d2c AhQh9d6h3h 
7h6h4d3h3d Kh9c8h6h4d Tc9c8d7h2c Ad9c7d4s2h 
Jh9s6c5c3d 8d4s4h3s3d Th9d8c6c2s Tc9c6c5h5d 
KcTd3s2s2c AcQd9h7s3s 9c8h6d5s2s KdJc4s4d3h 
Jc9d8d5d4s AhJs7s5c2d Ks9s5h3c2h Ks6s5h4c2d 
QhJh6d5h2c 9s8s6s5d3c AsJs9c4s2h AcTh8d4h3s 
9d8s8d5d3c Tc6s5s3h3c Tc9c7c6h3c Jc6h6d5h2c 
JhTs3c2s2c Qd7h7d5s2h 9c6d6c4h4c Qc8d8c7c2d 
Kc9s7s7d5s Ac9s8d4d3s KhQsTc3h2h JsJc8c3h2h 
KcJs8h5c3c Qc8d7h5s5c Js7d6c5c2s 9h9c8c4c3h 
9d8d8c5d3h QdJc9c6s3c JhTd8c3s3h KdQh8s5s4c 
8h8c5s3s2h AsKh8h7h2h Qh5h5c4h3c Ad5s4d2h2c 
Jc9c7c5d3c Qd8d6s6h4c Jc9d8h7s4s Td9s9h8c3c 
Ah9c7s5c4c Kc9d7h5h4s 9c8h6d4h2d KhQhTh2s2c 
Tc8d6s2d2c 8s7h5h4d4c 9d8c6h5s2s Kd8c6c5c4s 
Jd6s6d5s2c KhTs4c3h3d Qd9d8s3s3c KhJd4d4c2c 
JhJcTc7c2c Ah8d8c6c4s Td9d7h3c2h AhKhJh6h2s 
AsJs3h3d2c 7d4s4d3s3d Ac9c5d2d2c Ts8s5d4s2d 
Jd9d6c5h5d JhJd8s8c2c Jh9h9c6s4h As9h4s4c3d 
JcTd8d6h3d QcJh6c4d4c Tc7c6d5c4c Qc5c4s3s3h 
7s6d4s4d3d TdTc5d3c2s Qd7s5s5d3d Th9c7s4c2h 
Qd8s7h6c4c Kd8c7s6h4s Kd9c6s2d2c QcJhJc6d2c 
QsTs9c3d2h Kc9s9h8d5h Kd8s8d5d4c KcJh4s4h2s 
Jc9c6c5h3d QhQd4c3s2h QdJd8h5c2d Tc9c5s5h2s 
Kd9h9c6d4d 7d6s6h4h2s Tc8s6h6d4h Kd5h5d3d3c 
Ac9d3h3d2c KdTh7h5s3h Kd8d7d4c3c JdTs9h7c2c 
Qc9s8c5c4h Js8s7d6d2d QhJc9d7s4d Kh8d7c6s4c 
Js9c7c5d3c QhQc7d3d2h Kc9h8s3h2c As8c5s5d3s 
Js7s6s5s4c QsTs8d7s3c KcQd9s9h3c Kd9c7s3d2c 
KcTc6s3h3d KhTc8h3h3c KhTc6d6c2d QdTh9c6s2s 
QhJc5s4c2d Kc8c6d5c4c Th9h5s5c2c Qc8h6c4c3h 
QdTd9s4d2c KhQsTd8d2d Qd8s6d4d2s JhTs3d2s2d 
5c4s4h2s2h Qd5d4s3s3h AsTh9h4h3c QcTs3c2s2d 
Qh8h7h6d4h 9d7s7c6c4c Js8h8d4s2d 9h6s5h3c2s 
Jd6h5s4d2s Ad7s5c3h2d QhTs9c5h2h AcTd7s6h3s 
QdTd9c4d2h Th7s6s3s3h QhTd9c5h2h Td9h9c8s3s 
Ks6h4s3h2c QdTd6d5c3d KsQd5d3h3c Qc9h4h4c3d 
KsTc8s3s3c Js9h8h5h4c 6d5s5h4d2h KcQc9d8h3c 
9s6d5d5c2c Kd9s8c3d2s Td9s8c7c2h AhTs5d5c4d 
Td9h9c8d4d KhQhTh5h2s 7h6h5s5h4c KhQh5d3s3h 
Js8d8c5c4c Jc7h7c3s3h Qh6s6h4d4c JsThTc7c2c 
AdQs9h6c4c KdQc9d7d3s QsJcTsThTc JcTd9s4d2d 
JcTs7h3s2h Kc6d6c5c3s 9d7s7h5c3h QcJc8h3s2s 
Ks9h8h8c5d 7d6d5s3c2s Ks9c7d6h4c Kh9h8c2s2c 
KhQd9d5c3d Ah9d8d5s4c 9s7s6s5h5d Th9s6c3h2s 
QdTc6h6d3d Tc9h9d8s3d KdJd9d7d4h QhTs8c4d2h 
Tc7s7d5s2d Qc8s8d7s5h 9c6h6c4s4c 8s8c6h3s3d 
QdTd6d5h3d Kh9s9c3s3c Tc9s9d8s4s QsJsTc7h2s 
AdTd5s4h2d 7s7c6c4d2d 9s9d6c3c2d QsTh7d4d2h 
AdJd9s4d2c KhJc7s5h2d KdJh8s5d3d 9s8c6d5s2h 
JsJc8h8d2d 9h8s6d5h2c JhJc4s2d2c Kd9c6h5c2h 
KsJs8h2h2d 8h8c6s3d3c Kd6d6c3c2h KdTh8d6s3d 
JsTh7d3d2s 7h7d6c3s3h QsJd9h6c2d As9s7s7c2d 
KsQcTc4h2c AsKh9h9c2h KdJd8c3c2s KhQs9d5s5c 
As9c7h5d4h Kd9h8c5h2c Td9s7c4s2d AcJh7s4h2s 
QsTd8h6d3d Td8d5c4c2c KcQs6h6d4h KsQh5c4c3d 
Ts8s8c6s4s Kc8c6s5c4c Kh8s6h5h5c AsThTd6d3d 
KcQs7c5h2d AsQs7s6s3h Js8s6s6c3c AdTsTc6c3c 
Ac8c6s6c3h Th9h4h4c3c 8s8h7d5h3h 6c5h5d4d2c 
KdQc9s5h5c 5h4h4d2s2d AsJc9c4d3h Tc9d8s5h5c 
Kc7h5s3c2h Tc9s7s5s4s QsJc4c3h2h Jd7h6c5h2d 
Th8s7h5c3d Kh7c5h4h2c Kc8h6d6c4c Qd8h8c7d4s 
Td9d7h3h2s Kc8s8c5c4d KcQd8c6c4c Qs8s6h6d4c 
Ks5d5c3c2s QsQhJc7d2c 9c8s8h4s3c 7d7c5s3s3h 
AcTs8d6d3h KdQs9h8s3c QsQd5c4h2h AhTd5s5c4d 
KsJhJc8s2s JdTd6c4d3s KdQc7h6s2d Qh8d7c5c4s 
Qd9s8s3d2h Jc9s6c4d2d 9s9d8h4h2d QdJs8h6c2d 
KcQh7d5s2c QsQd3s3c2s Qc9s6s3h2c JsJh8d2h2c 
AsQh9c6d4d KsTh3d2s2d 9s8d8c4d2s JsJh5s4c3s 
Ts8d5d5c3c Qs9s7s6s6d 9h5s5c2h2c Ts9s9c8d4s 
9h5s5d2s2h 9d8s5d2s2c KcQc6s3s2c KdJc7h5s5h 
Tc9d8h7s3s Ah3s3d2h2c Qh8d6h4h3d KsQc9c8h2d 
Jd7c6s5h3d Tc9c6d5s3c Qs6s5c4d3h Js7s6s5c4s 
AdTh7s4c3h Qh8d8c4h3c JsTh8c6c3c Jd7s6d5c2c 
Jh8c6d5d4d 8s8h7c5s3s Js7s6d4s3d QdJc7c5h3c 
Ts6s5c4d2d QsTs8s5c3d QhJd8h3d2d Qh9s6d5c3s 
AhQd8h5h2h AsJc5d4h4d KsTd4s2s2d KsTd8d6c3h 
Ts9s8s6c2h 9c8d6h4d2h Td8h8c7h4h Ks9c6h5d4c 
Kc5s5c3h3c Kh8d7s2h2d 9c7c6c5s5d 9h8s7d6s3c 
Kd9h6c5h2c Qh7h6h5d3c KcJsJh8c2c 6d6c5s3d2s 
JsTd8h4c2d QcJd7d5s3d 8d8c6c3d2s 6h5d4s3s2d 
KdTs7c6c3c Kd8c6h6d4d Qh8s7d5d4c Kh6s6h3d3c 
JsTc8d4h2c Ac8s8h6h4d Ts9h5h4s2s 7s6s5h3d2h 
Ks9d4c3s3d Kc9h7s6d4d JsJh7c5h2d 8h8d5d3h2s 
QdTs6c4h3h Js8d8c4s2d Jc6h5h5c3h 9c5s5h2s2h 
JcTs9d5h2h Ks8h7h5c4h KcJd7c4h3c Js9d9c6h4h 
QsQc4h3d2c 9d5h5c2d2c 9s9d7h6h3h 7c6s6d4d2s 
Tc9h8d6h3h As9h7s6d2s Qd8d8c5h4d QhJh9h5d5c 
Jc7c6c5s4c KsTd8c2d2c QdTd9h4d2c KcQd9h5s5d 
Qh9d6c5s4s AsJc8d5h3d 6s5d4d2s2h Ad8d5h3d2h 
9c8h8c6s3d KdJs9h6h4h 9d8h8d6c3s QhJs9s6d2c 
As7c5d5c4h Th9c7s4h2s Kh9c7s3h2s QdQc4c3h2s 
KdQc7c4s2s Kd9h5s5h3s QhTdTc5h2h Jd9c8d5d3s 
Ad5c4d2s2h QdTsTd4c2d Kh7s6c2h2c AhKhTc3h2h 
Qs8s7d4h3d AdKd9d7d2h QhQc4s3d2c KdQsTd3d2c 
AhKs4s4c2s Td9c8s6c3c Kd8s7d5h2c TsTd8c7h3s 
Qh9s5d4h2d Qh9h6h5d5c AdQc5d4d3d Td8s7d4s2s 
QdTd7c5h5d AhJs8c7s3s Td9s8d5h3c Jc9h4h3h3c 
Ts9h9d4s3s AcKc8c5s2c Qh9s6s3d2h Qs9s9h3h2d 
9c8d7s4s3d QcTc6h4d2s Ac9d7d6h6d 5s4h4d2h2d 
JdTh9c7s2s Jd9d6s5c3d Jc9h6c5s4c AcQc3d2s2h 
AsQd9s3s3h Ks3d3c2s2c Tc8c6c5c4d Qs6d5c4s3h 
AdJs9d6d2h AdQc9s5h2c KdKc8c4c2c 9s7s6s6h2h 
Kd8d8c5d4s KdJd6c3c2c Js6c5h5c3h Ac8s6c2h2d 
Jc9c6s5d5c KsJs8h3h2d 8h7d6s6d2h Kc9d8h3c2d 
