QdJd7d5c4d 
AsKh9c6d4d AdKh8s7c3c Kh9s8c7s5s Kd9d8c4c3c 
KsJsTc4s2s As7c6d5c4c Tc9c6c5d4h Kd8c5d4c3d 
Qs8c6c3s3d Ac9h8s5s5d Kc8d7s6h6d KcQcJc8d3h 
AdTs8c7h2h QcJh6h6d2d KcJc5d3d2c JsTc9s3s3h 
9d6h6d4s3h Js9d7c6d4h KcJs6d5h5d KsTd5s4c2h 
AsTc6h6c4d QcJs9s8s4h ThTd7h2h2d 9d8s5d4c3c 
AdTh7s7d2d 9s8s7h7c2c KsQhTs4s2d QsJs9h8s4c 
Qh8c7d5d3c Td9s7s3c2d QdTh8c6s2h QcTc8s7h3c 
Ts7d6c3s3c Ks9c8h7s3d Jh9c6d5c2d Js7d7c6s5h 
JhTd8d6c2s JcTh8s4d2c Ts8s7d6s2d 9h6h6d4s3d 
AcJh7d4s4h JhTsTh3c2h Kc6d5h2d2c Jc8s8d6d2s 
9s8c7s4c3h AhQc4d3c2d 8d6s6d4d3s Kd9d8d6s6h 
KdTc6d4s2h Ks8h7h2s2c Kc8s5s5h4h 8d7s7c2s2c 
Qs9s6s5c3h AdQs7s6s4s AcJc8h8d2c Tc9c8c6d6c 
AsQd7d7c2c 8s8d6h5c3c KsQdTh3c2d KdTh6d4s2c 
KdQsTc6s2s JsTc4s3s2c KdTd5h4c2s AcQc9s3h3c 
QdJh8s2s2d AhQd8c6s3d AhTs7d3h2c JhJd7d4s2s 
Ks7d6s5s4s JcTdTc4c2h Td9s8h3h2s KdTs7h3h2d 
KhQc6c4s4d Qc8s7d6d3s Jh6d5c4c2h JcTd4h3d2h 
KcTc5c4h4d AsTc8s6s3s KhJd8s7h2c AcQc6c5c3h 
QhJcTs3s2s KdQc9s6h2d Ah9s7s5s5c QsQh7d4c3h 
QcTd8c6c2s 9s9h6d4d4c Th9s8d6h2c KdJc8h8c5c 
8c7s6d6c5c AcTh8h6d3s KhQdJc5c2c Th8s7c5h5d 
QsJs9s5d3s 7d6s5d4h4c 9c8c5h4h3h AcJs4h3c2d 
QcTs5h4s3d JdTh8h7h3c KdQs7c4h4d QhTsTh7d2c 
AcQc6c5d3c Jc9h5s5h2c Qs9s7d5c2d JdTc7c2s2d 
Kh6d5s2h2d AdKd9c5d3d Kc6d6c4h4c Qs9d8d7h3h 
KhJs7c2s2h 9s8h7c5c4c KsQc6s2s2c Kd9s9c5h4d 
QhQd8d5d2c AcTs5d3h2c KcQdTs3h2d Th9h6h5d4s 
JdTh7c6h3h KhJhTd4h2h QdJh9h7h4c QhJh9d8h4c 
KhTh6h4d3s Ad8c4d3h2h Qh9c5s4s4c KdQdJd9d3c 
6c5h4s4c2h 6c5d5c4s2d AhTc7s5c3d 7h7c5h4c2h 
KdTc6c4s2s AdQh9d4d4c Jd8s8d6s2d Jd8s8d6s2s 
KcQsQc7c2d Qd9s8d4s4h Jh9s8d4d3s KhTh8h5d3s 
QdTc8s5d3d QhTs9s7s3d KsTs7d3c2c Kh6d5c2h2d 
Ah8d4d3h2c AcJs8c5c3c JcTh8s5h3h AdQh9c3c2h 
KcQcJc8d3s 9s8c5d4c3s KcQh3d2d2c Kc8s7c4h2s 
KcQcJc6s6c QdJh9s9c3d AsJhJd8c2c Tc7h6c5d3s 
Ac9h4h4c3c Th7h7d6h5c KdQsTc3h2s AcJs7h6h2s 
Jc6s5d4d2c KcJd9d8s4h AhKh9h8d2h TdTc9s5s4s 
Qh7d6d4h3h AdQhTs6c2s KsTc8h8c5c KsQsQd7s2c 
AsKs5c4s2s Js8d7s6s4c Ks8h8d7s4c QsTh3d2s2h 
Qd7h6d5s3c AhTh7s6d2h 8h7c6c5c3s KhQsQh7d2h 
Th9s7d5d5c 9d8c5d5c3c Jh9s9d5d3c AhQc9d7d3s 
8s7c5s4c2c KdJh9d8c4d 8s7c6d5c3c KhQs9d6c2h 
Jc8d6s6h5h QhJh7d5s5h Kd7s6s6d2s Th8c5c4d3d 
KcTs6h4d2c Jc7d6s5c4c As9h6h6c3c JdTs4d3c2c 
Ts9d7h6h3h JcTc9s7h2c As6s5s5d3c Ad7d6s6h2c 
QcJs6s6h2h QsJc9d8d3h KcTh6h4d2d JdTd8d6s3c 
KcJc9s3s2c AsJh4c3s2d 7c6c4s4d3d QsJd9d8d4c 
Qh9h9d4d2s 7s7d6c5d3d Td8h7h4h2d AcJhJd6h3s 
AsJhJd3c2d Tc9s9h8d2c Ks8d5d5c4c KsTs4c3h2h 
Jd9d8h4c2c QcJd9s8h4s 8c6d5d5c2c Qd7d7c6s4h 
AhJd4h3s2c JhTs9c6d2h QcJc8h4c2h Th7h7d5s4c 
QdTsTd6c2d AhJdJc3s2c JdTd5c4h2s KhJhTh5c2h 
KcTh9h8h4d QdTd4c3s2s JdTd8h5c2d Qh9s8s4h2d 
Jd8h8d6d3h 9h8d6s4h2d KsTc9d8h2c KcJc8s6h3d 
KdTd5c4s2h KhTh6s4d3h 8d6s5s4h3c AsQd4s2h2c 
Td8s7s4s2d 9s9c6c4s2s AsQh9d3d2h Ac9c5d4s4c 
TsTh9c8d3c JdTd9c7s2d 7d6d5c2s2c AdQh9s6d2d 
AdQc9c6h4c Qs9h7c6d3s Kh8h7s5d5c Jd7h5h3h3d 
Kc9d5d3c2d QsJs9s7h4d Js9h8h6h5h KsTs4d3c2d 
9h8h6c4s2c QsQh9c2d2c Qd9c5h4d2c Js7h7c6s5d 
AhKhQh7h2d 7c6d6c2s2d Ah9h8d3h2d AsJs8h4d2s 
JhTs4h3s2h QdJh5c4s2d Qh5s5d3s3d Kc9c8s4s3s 
AcKd7s4c2c KhQcTd3c2s JsTh4h3d2d 8c7s6h5d3c 
KsTd6s4h2c 7s6h5c4d4c 9d8d7h5c3s KsTc9h3s3d 
Ad9h7c4s2d AdTd7h7d3d Kc9h7c4c3h Jd8d6d5h2h 
Kh7h5c4s4d JdTd8d6s3h JcTc7d4s3c 7s6s5d4s3h 
Th5h5d3h3d JcTd3s2d2c Td8d6h3h3c Kh9h7h6c3s 
AcJd8c5c3c Jd8s5s5h2d QhJh6s3d2s Qd9h7d5s2s 
AhQh8d2s2c JdTc8s7h2s Jc7c6d5c4s Js7s7d5d2h 
Ad7d5s3h3d 9d8s5s4d3d Ac7s6d5s4s AhJh6s4d3h 
QsJh9d8d3c Tc5s5d4s4h 8c7d6s5d3h KsQcTd6c2c 
Qc9h8h4c2s Kc8s8c4d3s 7d6h6d2h2c JhTh9c3s3h 
Ts9h6d5s5c JhTc8c7c3s Th8s8d7h5h KcJh8d6d4s 
Ks8s6h4s3h Tc9c8s5d4c 6c5d4s4c2d 8s7h7d5s4s 
Th5s5d4d4c KcQdJs6h2d Kh9d6d5c2c Qc7h6s6c4d 
QsQc5h5d2d Qh8h7d4s4d 7c5d4s3d3c Kd6s6d4d4c 
KhTd7s5d5c AdKh5h3h2c Th9c7c5s5d AhQh9d6h2s 
KdTs5d4h2c 6s5d4s4h2d 9s8s7h7d2d Kd9s8c6h3d 
Jd9c8d4c2h QhJdTs3s2s Jd9s7h7d2s KdJhJc7s3s 
Jh8s6h4s2c QcJhTh6s2h Th8c5c4h3h AhQh9d4h4c 
Qh9d8s6d4c KcJd8h3h3c AhTs7d5s3c QhJc8s5c3c 
KdJh7h6c2c 9c8d8c4d2s QsJs9s7d4h Jc9h8c4h2s 
Tc9c8s6c2h Ah8h6c5d2h QhTh5s4d3h Kh8s6c3h3c 
Qc7s6s4c3c AsJs8d8c2s Ts9d8d7d4c KdJd9h8s4d 
9h6h6d4c3d 6d4s4d2s2c 7c6s5d4c3c Ad5h4d2h2d 
Kc8s6h4s4h As7c6h5c4c AhTc7c4d4c QcTc7h5h2c 
JsTs3h3d2d QhJh7h5s4h 8s6c5c4h3d AsQh8s4c3s 
7s7h6d5s3s QcTh8s5h5d KhJhJc8h3s KhQs5h5d3h 
AdKsQc6c2c 9s8h6s6h2s AcJd8h5s2d Ks8h7h2s2d 
Ad6s5c4s3c AhTd7h2s2c 9h8s7s2s2h KsTs6c4d3s 
KdQhJs5s2s Ah8h6h4s4c 8d8c6h5s3s 9h8h6s4c2s 
9d7s7c6h4s AhTc5s2h2d JhTdTc6c2s Ts9s7s6s4c 
Ks8d7c6d3c KcTs9s8s4h Jc8h8c6h2c Jc9s5c3s2h 
KcTh5c3c2h Jh8d6d4h3c Th9d8s5s4c KsTh4c3c2s 
Qs9d8s4h4d QsTd4c2s2c Kc6c5s4c3h JhJd5s5c3s 
JsJh5c3d3c KcTc8d7s2c JcTc8d6c3h 8h8d7d6d2h 
As9d6d6c3c Ks6h4d3h2s Tc8d7d4h2c KcTs9h8h3d 
KsJc9c7h4c KhJh9d8h2c 6d4h4d3s3h Kh9d8s8c6d 
ThTd9c4s3c AcKs4h4d2s KdQd5c2d2c Js8d8c7h5h 
AsQs9h4s4d KcQdJh4d2d AdTs8c7c3c Ts9s9h6s4s 
Ts8s7s7h3h Ad6h3s3h2d Th8s6d4h4c Kd8h6s3s3d 
Ad7c3s3d2s KsQd5s4s2h JsJc7c5h3c JhTc4h2h2c 
QcTd6d4d3s JhJc9s6s4s As8h7s5s2d 9d8c5d4h3h 
AdQc8s6h3c AdJh8d5d3d Jd9s5d3s2c Qs9c5c3d2s 
Qd9c8d3h3c 8h8d6s5c2d QsQc7h6c2d Ks6s5c4s3h 
Th7s7h5d4c KcTc5c4s3d JsJhTs4s2s AsQd5h4d3d 
8s7d6h6d2h KsQs6h2h2d Ah9c7d2s2h Ad9c7c5s5c 
Kh8h8d3d3c Jd7s7h6s3h JcTc7s4d3c Ks8s7s5s4d 
KcJhJc8d3c 6d5h5d4c2h AdTc5s5h2d Qh9c8d6c4s 
KsQs9d4s2d QdTd6d6c5d KhQs7s6s4s KcQs6h2h2c 
7d6h5h5c2d 9s9h7s6s3d QcJhJc9c2c 8h8d4h4c2c 
KhJh8c4h2c 6d5s5d4c2s Qs7d6s6d3s AhKs5h4h2h 
KhThTd8h2c Jc8h8d6c4s 9s8h7h2s2c QcJsTc5c2c 
QcTc6s3s2s Td9c5h4c2d AdQcTc3s2c KdTd9d5d4c 
Th8s7d5h5c QdTs3h2s2d QdTc6s6h3d JsTs9d3s3h 
As7d6h5d4d 6h5s4c3s3h QcJcTs4c2c Qc7c6s5h2s 
Qs9c8d4c2s QdTh9d5d2c JsTh7h2s2d Tc9h5c4s2h 
Kc6h6c4d4c Kc7s6h5c3c Kc8s7s2d2c Ad8d7s4h3d 
7c5s4h3s3c Kd8h7d4c2h 8s7h5s3s3h Ks6c5d2s2c 
Qs9s8c4c3c KcQsQc7d2c Jh7s7d4s3h Tc7s6h3h3c 
Ah5h5c3c2h QhTc7s5d3c Th9c5d4c2h Kh9d5d3h2d 
8h8c7h5d3s Qs8h7s7h2c JsTh6d2s2h JhTd4h3d2h 
AdKd5s4d2d QsJc9h8c4c Td9h8c3h2d Ks8d7h6d3h 
KsJsTs9s2s Ad8s6d5d2c Qc8h8c7d2d ThTd9d4c3d 
6c5s5c4h2s KcJs9h5d3h KhTs8c4h4d Qs9d6s5s3h 
AcQd8c2s2h Ks6s6d5c2h Qc9s8d4s2c KhTh7d3s2s 
Kd9d8c4c2s Jc8s8c6s2c QsQc7s3c2c KdQhTc6h2h 
9s6s6d4c3d Jd9d6c5d4s KsQs8c7s2c Qs9d8c6d4h 
As9h7h5h5c 9h8s5h4d3d AdQh9d4s4d KsJh9h8c4d 
AhQcTs3d2s Kd6d6c4s4d Kc9s5h5c2s Qc7d7c6h5c 
Ts9c6s5s3d AcTs5d5c3c KhTd5c4c2d QcTh5c2h2c 
AdKdQd7s2d KsTc6c4d2d AsJsJc4s2s Kc7c6c5h2h 
Jc7s7d6c5h Js9c7c5h4c As8c7s7d2s Js8d8c5h4c 
Jh9h8d5s4h Qs9h8s4h4d 6d5d4s2s2c JsJcTs4s2s 
Ts9c8h8d5s Qh9h6h5d3c 8c7d6s4d2s Ah8s8c7h2h 
Ac9s7s5s5h KsJc9s6d2h Tc8h5c3h3d QhJc7h3s3c 
Ad9s9c5d3d KhQh6c4s2d Jc9s6d5s2d 9d8h7c5c4c 
KcTc7c6c4c Th7s6h5d3c Th7d6h5c3s Qs9s8s8c6s 
Ts8c5s3h3c KdJd5c3c2d KsQh6c5d3d 6s6d5s5h4s 
Js8h7c4s3h KcJc7s7c5c QdTs8c4h3d Js9s9d5c3s 
Kc8h8c4h4c 9c8c5d4d3c JcTd5s4h2c KhTc9d6c3c 
8d6h6d5s4d JcTc9d3s3c QcTc9s2h2d Kh8c7h6c2h 
9h8s7d7c5h KsQc9c5c4h KhJs9h8c4h Ts8s8d7s4c 
KhQc7h2s2c Jh9h6c4h4c KdJs9c6s3h TsTd9d7h2c 
JcTc8c4s2h AsTh7h4h4d 8d7s6h5s3s Ah6h5s5h3c 
8h8d4h4d2h Ac9c5d5c4h Jc9s8d5c4c AcTs7s5s3d 
Ad8d6d4h4c KcTd5c3s3h Jd8h7h4c3d QsQhJc7d3d 
Tc9s9h8s3d 9h9c5c4s4d QhThTd7s2c QhTh5s5h4h 
7c6c5h4h2h KhTh4d3c2c Ac8d4c3s2s As7s5h3s3d 
Td9d6h4s2s AhJh8h7h3s KsJd9d7h4d Ks9h6c4h4c 
Qc9s8h7h3s Jh8s8c6h4d QsTh9s5s5c QdJhJd9d2d 
8s8d6c5h3h 8d5s5d2s2d AdTh7s5c3h KdJc9h6d2s 
AcJh5c4c2d 9h8c7d3h3c KsJcTh4h2h KsJhTc4c2c 
Qd9d7s7d5h Ks6c4s3d3c KcJh6s6h5h Kh9s5h5c2s 
Td9c7c5h3s Jc9s8h5d4d 9s6s6d4h3d KdTd7d4s3c 
Ad9c7s2h2d KhQhJh6h6d Js7c5c3s3h KcTc7c4s3d 
Ks6s6h5c2d Ah9h4c3c2d KhJc6d3d3c Tc8s5s4s3c 
Qs8d7h5h3d Td8c5d3s3c KcQh9s9d5d JhTh8d6h3c 
Ac5d5c3s2h Jh7d6s5s4c AdTc7h3s2d Qs7c6c4s3s 
9s9h8d5c4c Th8s5h4d2d Th8d6s6h5h Kd9h6h5c2c 
Ac9c4h3h2d QhTc8h6h2s AhTc9c4s3d JcTsTc6h2c 
QcTd6h5s2c KhTh8c6h3s Ks9h9d5c4s AhJs5h4h2d 
Qc7d6c5s3h KcQd5h4d2s AcTh5s3s3h Qs8d7s6h4s 
AdTsTh7s2c JdTd9h3s3d Kh9h7h4c3c Qc9h6h4d2c 
AcQh5s5c2c QdTc9d5h5d 7s7c5d4h3s AdTs7d7c2d 
QdThTd5d2c AdTh8c7c3c Tc9h4h4d3d KcJs8s8d5s 
AcJc8c7c2d AhQs5s4d3s JhTc6h4s4h 9h9c5s5d4h 
KcTd5s4c3c 9s9d6d3s2h Jh9c4d3h3c KsTc7c3s2c 
KdQd9d7c4h QsQc9c8c3c As6c5d4d3c Jc8d7h5h2d 
KhJc7c6s2s JcTs9c3d3c Ts9h7c6c3c 7d7c5c4d2c 
JsTd9c5c2h 6s5s4d2h2d JsTh8d4c2s Qd9d8h6s3c 
Ad6s5c4c3s Td9c6h5d4d KhQd6s5c3c QcJs7d6h3c 
Jc8c7d6s2s Ac9s9h5c3c 9d8d7c5h3s Jh8s7h6d4h 
KhJsJh8h2c Tc9s6h5c4c KdTs5d3d2s QsTc8d5s3s 
AsTs7s6d3s TsTd9c8h4c AhJs5s5c2c Ac9c7c4s3h 
Ac5d4c3d2c KsTc8h4s4d KsJh9s9d2s Kc9c6d4s2d 
QdJhTd5d2d JhJd5d3s2s QcJsTh3d2d As9c8h5h5d 
JcTc8c6d3h AcTh7d5d3d Ks7s6c5s4s ThTc9h4h3s 
9h8s6h4s3h Ts9s8h6s2c JhTd7h2d2c KcQd9s8h4d 
Ac9h7s2d2c Qs7d6h5c4c 7d7c4s4c2s Kd6c5h2h2d 
Qc6s5s4c2c KhJs5c4d3s Js7s7c5c2d 9h8d5s4d3s 
Jh8c5d5c2h 7d5s5h4h3s AcJh7h5h3s KsJs9h5s3s 
JsJd9h6h3c KcJh6h5h4h QdTh7h5s2s QsTs7d7c2d 
AhJh6s4c3h 9s9h7s6c3s JhTs4h3h2s KhTs7d3d2h 
AhQh9c3h3d QsTd3c2s2d QdTh8c5s3h Th9d6h5h3s 
KcTc6h4c3s QsTh6h4h3c AhQh9d6s2h KcJd8h3d2c 
KhQsTd6s2s Kh8h8c6h4s As8c7c4h3h Js8h7d5d2h 
KhKc9s4d2s Qs7c6s4s3c QcJc9h8c3d KhQsJh6h2c 
Tc8c5c4h3h Ks8s8h6s4d KcQcJd8c3h Td9s8d8c5d 
QsJh9d9c3s AcTs8h7d2d 7s5h5c4h3c JhJd5c3s3c 
AcTd7d4h4d TdTc9d7h2s Jc9d6s5d3h Ah9c7c6s6d 
8h7s7c5h4h AsKh4d4c2h AhQh6h5d3h KhQc5h4h2d 
As9c7h2s2d Js8s8d6d2d QdJh9d6s3d 8d7s7d6h4d 
QdJd9s8h3d KcJdJc3s2c Js9c5h4s2h JsTs9d7c2s 
Jh7s6c5d4c 8c7h5d5c4s Ah8s3c2s2h Kd5d4s3h2s 
KhJc8d6d4s QsJsTs4s2d Qh9s9h4s2d Td9s6d5d3c 
TsTc7c2s2c KsQsJc8s3h KcQc8d8c5h KdQh5s4h2c 
Kc8s7d4c2s AcTc8h2s2c KsJs9d5s3s KcQs5d4s2h 
7s7h6h4h4d AhTd7d4d4c TdTc6s2s2d AsTd5c3h2s 
Ks8c7s4c3c AdKh9s5s4s JdJc9h6h4h Th9d6s5h4h 
TsTh6d2s2d QdTc5d2d2c Kc8c6h6d4s Jd9h8s5d4d 
Ad9c8h5s5h Kc5s4d2s2c KdQh9h8s3c AhTs5c3s3c 
Jh7c5c3h3c JhTd4h3h2d Qd9d5c4d3c AhKd4h3c2h 
QhQd7h3d2d Kd9s5s4s2d 7c6c5s4c3h Tc9h7h5s5d 
KsJh9s8s3d Jh7h7c5c2d KdJs6h5h5c AhQd5d4s3d 
Kd8c6h5d3s QdJd6h3c2h 8c7d5d2d2c KcJc9h8s4c 
QdJhTd7d2s 9c6s5s4d2c Th9h6h5s4c Qh9h8s6c3d 
AcKh8h6h2d JhTh5s4d2c 6h5h4d2s2d AsTs7s6c3s 
AhAdAc7s3s Ah9d7d5c4s KdQdTd9d5d Ah6c5h3d2s 
Ks9s8h4h2c Qc9h5s4s2c AsKhTd6c2d Td9s5c4s2d 
9d8d7c5s3h Td8h8d7d4c Td8s7c4d2s JcTd9d5d2s 
QcJc9c7h4d JcTs8s7s3d Ac9d8s5h4h 8s6s6c5h4s 
Kd9d8h4h2s AdJd6d4c3s KhJc8s5s4d AcJd5c2s2h 
Th9d6s6h4c As9d7c5c4h Js7c6h5s4s KsQcTc7d2h 
Jc8s6c4s2h Kc8h5h5d4d JhTs9h3c2d 9s8c6h4s2c 
9h8s7s5s4d Jd8h7h5c2c Jc9s8d4d2c TsTc8s3d2d 
Th9c7d6d3d AsQd8s2h2c Ah8s8h7h2c 9d8s7c3s3d 
9s9d8s4h2d AdQh8c5h2s Qc9c7s7c5d KsTs5s4h3d 
Jc7s5s5h3h KdThTd8d2s Qd8h7c6c3h Jc9d7s5d3d 
AsQd8d7d3h KdQs8c6c4h 8s7c6d4c2d QcTs5c2s2c 
8h7d6d6c2c QhJh9s8d3h Qs9s5s4h3h AcTd7s5d3h 
Kd9s6s5h2h AsTh8s6s3s Tc8c6h6c4s 9c8h5s4h3c 
Jd7c5h5c3h Qc4s4h2s2c AsKsQs7s2c 9d8d6h4s2h 
Jh9s9h5d3h JsJdTs6h2s KsJsJc8s3d Th8h7s7h2s 
KdQsJh7s3s Ac8d4c3h2h KdJs8h3h3d Tc9s9c6c4c 
Kd8h7h2s2d JsJd8s8c3s TsTd9d4c3d Ah9h8h6d2c 
Kd8d8c4s3c Js8c7h6s2h KsQs6h4c2d Kd6s6d5h2c 
QhJh8d6s3c Tc9d7d5s5h 8s7d6h6d5d QcTd6h5c2s 
AhTc8s7d2d 9h9d6s4s4c Jd7h5d3s3h Td9s4s4h3h 
Kd7h6d5d4d Ah8h6h6d5h Kc8c7c5d2d Kh9c6h5s4h 
KcQs9d5d4d KsQd9d5d4c KsJd6s6c4s QdJs9s8s4c 
JsJd7d5c3d ThTc6s4s2h Jh7s6d5h4h KdTd8s6h3d 
7h6d4h3d3c KcQc6h4d4c Jh9h6c5h4s 7s6s6d2h2d 
Ac7c5s3h3c Jh9d8h4d2s Qh8h8d7c2c Ac9c4h3h2s 
Qc9c5s4c3s Ts9d8s3c2d KdTsTh6c3c AhQc9d6h2h 
9s8c6s4d2c Tc8h5h4s3s QdTs6c4s4h KcTh8h3c2h 
KhTh8h7c3d AdTc5h3h3c Qc9c8d8c6c AhQs9d7c3d 
AcTc8c6c3h Jc9h6c5c2h Qc8h6d6c4s JhTh8d5h2c 
Jh9s8c4s2h Kd8d7c5s5h Ts9s5d4c2c Jc8h7s7c3h 
KdQdJd8s3c 9d8s5d4s2h Ks8s6c5d3h 7d6c5s5c2d 
Jc8d7c6s4c KhJhJd3s2h KhQcJh6h2s 7d6h4d3h3c 
KsTh9d3s3c QcJh8c5s2d Ks9c7s5s3d KhJs8c3h3c 
9h7s7c6d4s 8s7h7c5s4s KhTh5d4c2s Ts9c7h7c4d 
8h7d5h5c4s QcTh8c5c2s Qc9h8s4h2c TsTd6c4c2d 
Kh8d5h4d3h AdJc4d3s2h KdQs9h6c2d QdJh9s7h4h 
Ac9s7h4d2c QsTh7d5c3h Kh9h8d4d3d Jc9c6h5c4d 
7s5h5c2s2h Jc8d6s6h5s Kd5c4h2h2d AdTd9d6d3c 
TdTc8d3s2s 9d6h5s4d2s Ts6s5s4h3h AhQc5h5d2h 
KdQd6h2s2h KdTh7d4c3d Ah9c7c5d4c KhJh8s4h2s 
AhQh9s3h3c Th8h5h4c3c KcQcJc9c3h Kh9d8s2h2d 
Qh8c6d5h3s Ks9h9d7s3c Jh8d7d5c2c 7h7d5c4s3d 
Ac7h3d2d2c AsThTd7d2c 8s8d7d5h3c AsKs9s6s6c 
Qs7d6c5s3h As8s7c4d3s Td9c5s4c2d JsTh9s3s3c 
Qd8h7c4d3h 7h5s5c4s3c Qh8h8c7c3c Jh8s7d5s2d 
Qh7s6s5h2c KcQd9d8h3s QcTd6s4h4d 9s9c8d5h4h 
KhQd6c5s3s AdKc7h4d2d Qc9c5h4c3h 8h7d5s5h4c 
QcJd9c8s3c AdKd9d8h2d KcJh8d6c3s KsTc6c5d3h 
Tc9h6c5c3s KdTd8h7c2d KdJd8d4c2c Jh7s7d6h5c 
9h6c5h5d2d Qc7d6d5c2h Ah8d3c2h2d Ac8c4d3s2d 
KsJc9c8h4d 9h7h6c5h5d AhKd9s5s4s KcQdJc6c2s 
Kd9h8c7d3s Kc5h5c3d2h KsTc9c8c4h QsJsTs7h3s 
Ts9c8d5d4h AsQc9c6c4d AcJh9c4c2d Jd8c7s7d2s 
Tc9s8h6c2d 8d7s6c5h3d KdTc7d4s3d Qc8c7h6s4c 
Qc8h7d5d3h JcTd9s5s2h AhJs4h3d2c QcTc7s7d2d 
Jd8s7d7c2c Jd8s6h6c5c 8d7d6h6d5s TsTd8d6h2c 
AdJd8d7d2c KcQsJd5d2d AhKd8s7c3c Qs8s7h4h4d 
9h9c7c6c3d Js8h6d6c5d AhTd5s3s3d KdQdJd9d3s 
7d6c5d4s4h QcJcTh7c3c KdQc9c5c4h As6s3h3c2c 
Kd9c5s5d2c 9s9d5d4c2c 9c8h7c4h3d AdJs9s4c2c 
Jd9h5h5c2d KcQc8h7c4d Js8h7s7c3h Js9d6h5d2h 
QhTs5d4s3c Qd8c7s6c4h Jd9d7s4s3d JcTd6s5s3h 
Tc9s4s4d3d Qc7h7c6s5c Kh8s6c4s4c QdJs9s8s2c 
Qs9d5c4s2d Qd7c6h5s4s KdQdJd8c3s Qd9d5s5c2s 
AdQhJh8h2h Jd8c7h6c4s ThTc5s5d4s Th6d6c4h3d 
QdQc9c4s2h KsQd3h2s2h 9h8h7s7c2c Qd8h7h7d2c 
AdKs7h4d2d 8s6s6c2s2c KsTs5s5h2h Qs9d6d6c5h 
QsJd5c4h4c AdQs8s7s3h QcJc9s8c3h Js7c6d5s4s 
Kh5d4c2h2c 9d6h5d4h2c 9s8d6s4d3s 7h7d5s4c3d 
KdTd4s3c2c Qh9c8d7d2c Jh9c6h6d5h QhTh8s4d4c 
Jd6c5c4d4c Th8d7c5s5h KsJd7s7h3c Ad9c5d4d2c 
Th9s6d5h4h KcJsJc8c3d Ks9h8c2s2c AsQs9d6c2s 
Tc9h6s5c4c KhQd3c2h2c KsTh9c3s3d QcJc9s7h4c 
ThTd9c8s4c AhTc5s5d2h Ac9c4h4c3h 9d8d8c4c2h 
QcJc9s9c5c Td8h7s5s2h JhTsTh4h2d Ts9h9c6d3d 
Qh9s8d5h4h QhJs9h5h3h Tc9s6c4d2d QdJh9h8h2c 
Td9c6h5s5d 9d8h6h2s2d Qc9c7s4d3d KsQc7s2h2c 
JhTs5c4d2h AdQdJs3d2d Th8c7c6c4c KdQs6c2d2c 
Td9s8d4s2d Td8d6c3h3c Qh8h7c4s4c KdQd7s6c3d 
Th8s7d5d2s Ts9d8h5h4c QdJdTd7c3d AcKc8c7c2h 
Ac8h7h4s3s AcTh7c5d2c Jh8c7s4h3c Ts8h8c5c4d 
8c6s5s5c2c AhJs8h5h3h Kd8s8h6s3h JdJc9d4d3s 
KdQh4h3s2s AcJd8h3s2c KdJd9s8h3d Qh7d7c6h4s 
Kc9c8d4d2s Qh9h8h8d6h 7c6h5d4c3c QhThTd6c2h 
As8h7h7d6h As8s6h5d2s 9s8s7h5d4s Ts9c6s4d2d 
KdTc7h3h2d Kh9s9d7c3h Qd9s6s6c5h Tc9s9h2h2d 
QsQh8d4h2c Kd7s7d5s2d KdTsTd8d2h Qs9d8c7c3d 
KsQdTs3s3h AdJh7s4h4c KsQc4h4d3s Kh8d6c5h3s 
KdTs7h5c3s QsJsTs7c3s Tc9c5d4h2d KcJs9c8c3d 
AcKh8c7c2c Tc9h9d2s2h KdTd8d5s3h KdJd9d8s2c 
Tc9c8h5c4d Td8h5c4c2h QhJs9s5s3s JcTs4s3h2h 
Ts9s6s5h4c AcKcTc2s2c KhJh9d3d2h Jh9s6c5h4h 
7h5h4c3d3c Th9h5d4s2d Kd8d7s4s3s Kd7c5c2s2d 
Td8h7h4c2d Td9d5c4h2h 7s5h4h3s3d JsTh5c4d2s 
Td8c7h5h2c Kc7d6c5c4c 7h6d5h4s4c Jd7h5h5c3c 
KsQsJs9s4c Js9d8s4c2d JsTs6h3h2d KdJh7s2h2d 
JsTc8c7c3d QhTs9h5h5c QhTd4s2s2h KsQd9h9c5h 
KsQsTh7c2s QhJh6d3c2d JsTc4s3h2h 8d7h6s4h2s 
QhTc8s5h3h KhTh8d7c3h TsTd9s7c2h Kc9h9d6d5d 
Js9d6s6c5s Ts7h7d5d4c AcJd4s3c2h AdQc4h3c2h 
Ac9c5s5c4d QsJsJc9s2s AdJs8s7c3s KcQhTd3s2h 
Ad6c3h3c2d AdTs5h3c2d Qd9d7c5h2c AdTd8c2s2d 
AdJh9h4s2s AcQdTs6h2s Tc9s8s7s4h Ts8h5s4h3h 
As8h7s2d2c Jd8s8h6s2h Ts8h5s3h3c 6s6h5h4d3c 
Th8h6h6d4s Th6s6c4h3c QsJs9s5c3s Ad8s7h7d2d 
Kh9s8s7c5s 9d8c7s2s2d AsJs6d4s3c KcJd8h6h4s 
AcJh8c7c3c Kc8h7d4c2h Td8s5s4c3c 9s8d5s4d3d 
Qh9h6h5s3d 9s8c5d4d3c Qh6c5s4s4c KsJh7h6d2d 
JcTs8c6c3h AsTh8c7d2d 9c8d8c4h3h AhKhQh7h2c 
