QcJc9h5d3c 
QhTs6d5c3s 9s8d7s7h3d AhKh8d3s3c KcJsTh6d3d 
AcJh8h6h4d KcTh4h4d2c KcQsTc6d2c JcTh5s4h3d 
QsJs7h5s4c QhJh6s6c4d KdQdJd5d4d KcQs7d4h3c 
QdTs8d3c2c Ac9h9c6c3d JhTsTc7s3s AhJdTd7d2c 
QdQc8s5d3d Qc9s8s6h2h TsTh7d4s4c KdJc8d5s5h 
Js9s9d7h2h Tc7s6d5h4h 8h7c5c4h2d KdQs8d5h4d 
KhJd8h5s5c QdJh9c8h4s KcTs9s6d4s KhQc7c5s3d 
KdJd7d5d4c 9h9d7s6h3c Jd9c6d3s3c Kh5s4s4h2d 
QsJh6c4s4d KdTh7c3h2d Ad9d8h5c3d Ts8c5d4c2s 
Td9d7d6c3s JhTc9d6d3d Js9c7s7d5s Tc8s8c7c6c 
Jd9s7d6h6d QsJs7s6c4d AhQs7d5d5c Jd7s5s4s4d 
QcJc9c7d2d Td8s5c4s2d AdTsTh6h4h KcTd6d5s2s 
Tc9d8c5h4s Kd8d6s5s2d 6s6h4s4c2c Ts9s7h5c2c 
8h7h6d4d3h Jd9d8h8d6c QhJh9d7d2h KsTs9s6d4s 
QsJhJd8h2c JsJcTs8s3s AdJc3d3c2d Tc9s9h8d5d 
Kh8s7c4h3s QcJc7h5c4d Td9s7d4d3s QsTc5h2s2c 
Tc8h6h4s2c KcTdTc5s2h 8s7h7c6s5d KcJh9s7d4h 
KcQc9d7s3h Kc8s7h6d5d KsJdJc9d2d QhJhTh3c2d 
Jc8s7h6c4d Kc9d8s6s5s AcQh9s9h3d JhTs8d5h3h 
KcJh9c6d4c Ts8h8d4d3s Ks9h8h4d3s Td9s9d5h5d 
KdTs9s9h2c KhQhTd8c3h AhJdJc9s2s AhTh5h4d4c 
KdQc7h6c3s 9h9d4h4d3s ThTd8s7c4c JhTd7c5h3h 
9s8d6d5c4h QdJs8s6h4s ThTc6s2h2c Th7c5d4c3d 
KsJc9d5h2s JsJcTh8d2d KhTc8d6h2s QcTd9s8s3s 
AcQsTh5h2d Kc7s7c5h2h TdTc7d4s4h QdQcJs7h3s 
9s8s8h2s2h Th9h9d5d2h Qc9d5c3s3d Ks8s6c5s2c 
Jh9h6d6c5s JdTh8s3s2d Ad6d6c5d3s TsTc6s4d2c 
JsJd9d3h3c Qc4s4d3d3c Kh9h8c5c2h QhJs8d7c4s 
QsQh6c5d3d Tc9h8d4d2c Ah9s8c7h2h AdTh5h4s3s 
QcJh7c5h2h Ad7c6s5s4h 8c7h5s3s3h AdQhTh5h2s 
QdQc6h3h2d Jd9s7s7d3d QdJc9s8c2h KdJcTs6h3h 
Td7d5s5h3s AsTh5s2s2h KcJsJd9s4s Ac8s8d6h5s 
QsTs9c4s3d Jd9d5c4d3c AsTh6h5c4d Jd7d7c5c3d 
Tc6s5h4c3s KcJhTc2d2c Kd7d6h3s3h AcKc7c4h4c 
KdJh9c5h3s QhJh6s5c3h ThTd9h2s2c KcJh8s8h6h 
QdJhTc3s2h Ac8s6c3d2d QcTsTd2h2d Kh5h5d3s3c 
9d8c7s6h4h KhJh9h8c5h 8h8d7d4h3c QsQd4h4d2d 
QhJdTh3h2c KcQd8s7h5s Qh9d8s7c5s Ad9s7h7c2d 
Ks8d8c5s4h QsTh6h6d4h Kh8h7h6h5d Qh8s8c7h6h 
Jc9c8h6c3h Tc8s6s4h2c AcKh9h3d2d JdThTc7c3c 
Jc8h6s5d4c Jh8h7c6s4d KhQc8s4s2h JhTsTd7c3c 
Js9s7c4h4c JdTh5s3d2s 8s7h7c6d5d Ad9c7c6c5s 
AdKc5h3d2d KdQs8s4s2d AsQh4d3c2s Ad7c6d3s3h 
JcTh5d4h3s AhJs6c3h2c Ad9d6d5s4h AcKcJc8c2h 
KsJd7h7d5d Qs9c6h3s3c QsTd9c7c4h KhQhTc8d3h 
QhJh9h6s2s QcTdTc4h3c 8s8d6s6h3c Ad7s7d3s2s 
Qc7h5h4h4c Ac8c7d4s2h Kh9s9c8c4s AhQd9s6d4c 
QsJs9c5d3s AdTs9d6d4d AdJc6h5d3d Th6h5c4c3s 
QcJsTd7s3s Qs8s8h7h3d AhQs4c2h2d Ad7s7h3d2h 
9d8s7d4s4c JsTc7c6s2c AhQcTd5d2s TsTh7s2h2c 
KdTh9c8h4s QsJdTd7h3d KsQd9c6h3d QcTs6c5d3c 
TsTh7h6h4h 6s6d5s4h2d TsTd9c8d2h Kh8d5d4h3d 
KdQd5c4s3d AdJd5h3c2s Jd9c6d3h3c Ac9h9c6c3s 
JcTh7c5s3c Js8c5h4s3h AsQc8h4c2h KhQcTs3d2h 
KcQh9d3d2c QcTh6d4s3c Js8s8c7d2d AcKc9c6c4s 
Ts8h6h5d2d KhThTd7c2s Ah9h6h5d4c 8s7d5d4s2h 
AhTs8s7d2c 9h8c6d5s4c Qs4h4c3s3c 9c8d8c7h3h 
Td8s7c5c4h QhTs6h5d3h AsJh9h9c3d KhJc9d4s3h 
Kc7c6h3h3d AdKd4h4d2s Th9s5d4d3s KsTd9s7c2s 
Jc9d7s7c5c Ad5s5c2h2d Kd7d7c5s2s KcQdJd5h2d 
KcQc7h5c2h AsQdTd4d2c KsJdTd5d2h TsTc7d4h4c 
KcJd9c6s4c QhTd9c5s2h Kd8s5s4d3s Tc8s8d4d3s 
QhTd8s5h3c Ad7s7h3d2s KcTc6d5h5c KdJdTd7c2s 
KcQh7s4d3c AdJh9h9c6h 9h8c7c6d4s KhQh6c4h2c 
Ks9s8d5c4h Td7d5s4d3s Qc5h5c4h3s Jc9c7h5s2s 
KhQh7h6h4c KsTsTh5c2d KsJh6h3s2c Ks6h5s3h2d 
QhTh7c5d2d AdTh7d3d2h Kc8s7h4c3s KsTh8h8c5d 
Th7h6d5c4s Kd9d8d6c5d QhQdJs7c3s Qc9d6s3d3c 
Td9d6h4d3h QdTc6h4s3d As8h8d6c5d Qh8h7s6h4c 
TsTd5h5c4s Jc8c5h5d3h 9c8d7d5h4s 8d7c6s6h5h 
8h7s6d6c5d AsKs9s9h2d Qh9c8s8d6c QsQd6c5h3h 
Ac9s9h5c4c QhTc8s6h2d Ah9h8h5d3c 8s7s7c6c2s 
QcJc8h6c4d JhJc6c4s4c Qd9d8c7c2c KdQs7s5h3c 
Td9c6h5h2d KhJc8d5c4c KcTh8h8d5s KcQd9s6s6h 
QdJc7s6h4c Jd8c7d5h2c Qd9c8c6h2h KdQs8d4s3d 
KdQd9s7c3h QdQc8h7d3s Qh9s7c5s3c KcJh8c4h2c 
Th9s8c4c2h QhQcJs7c2d 8d7s7c5h5d Qd9h8d6c4s 
TsTh5d4s2h KdTh6c5d3d Ks9h9c8s6s Qh9d5s3s3h 
Td8h7h4d3c 8h6c5d3h3c Tc9d7h5d2c QdQc7c3d2s 
QhTc9h7d4h KdQsJd4h2d AsJs9d7c2s Qs8h5c4h3s 
QsTc9d7s3s Qs7c5c4s4c As8d6c5c3d AcTc6h4s2d 
TsTc9s8d4h KdJd7s7h5d Ad7h7c3d2c JhTc7h6s2s 
QsJhTc7h3h AcJc7s7c3d KsJhTs2s2c AcTc8d3s3c 
Jd8d7d5h4s AcJs9h5s4s AhJc9c5s5c Td8c7c6h2h 
9c8s7s7h2h 9c8h6h6c2s AhTh7h5s3h Ah9h9d5c3h 
Td9d5c3h3c Kd9s6d6c2c 9s9c8c5h5d KcTc9h5c3s 
Td7h7d5d3h AdKd7d6d3c KsJdTd5d2c AcQh9s6h4h 
KdQc8h4h2d Th9c7h4h3c KsQs6s4c2c Tc9d8c6s4c 
QhJd7d6c4s KsJd9c7h4d AcKdTd4s2d KdTc7d7c2d 
QhJh7h6s4c QdJh9c5s3c KcQd9d6h6d KsQs9c7h3d 
9s8d7d6d6c KdQd9s7h3c AsQcTh3d2c 9c8s7s6c2c 
QhJs9d2s2d Jd9d8h8c5s Td9s6s5d2s AhQs9d8d4c 
8h6h6c4h4d 8s7h6d6c5s Ks8c7d4s3c Tc8s7s4c3h 
AhTs7h3s2h Js8s7h5s3h KcTh9h6d3h As8c7h5c4c 
KdQsTd6c2d Qc8d5d4h3c Kd7d7c5h2h 9h9c4h4c3s 
KhTc6s6h3d QhQd6c3c2d 9h7h5s3s3c Td8s8h4h3s 
Jd9h7s7c5d JhTc8s5d2h AsKs9s8h4s QcTh6c5c3d 
KsJc7d7c3d 9s9c6h5c4c AsQsTs9s2s KhQdTd5s5c 
AdTh7s6s2h AdQs9c5s4s AhKh6d3h2d Kd9s8s4h3d 
QdJs3h3d2s QsTd8s5c3h Kc8s7d4c3s Kh9d8s6s5s 
KcQs7h3h3c 8d7s7d6c5d QcJsTc3c2d AdJc7c5c4c 
KhTh7h5d2d QsQhJd7h2c TdTc3d3c2h JdTc6d5h5d 
TsTd8c7h4h QsJsTh3s2d Ad9d6s3c2c Ac8d6s5s3d 
Kd6c5d4c2d KhQh7s5h2s Ah8c7d5s5d AhKh9h8d3h 
9h8s7h4s4d Kh9c8c4d3h AcJs8d4c3c KcQh8s7s5d 
Ks8c7s6h4s ThTc7h2d2c Kc7s7d3s3c QhQd8s7c2d 
QhJs9c8s2d KsJs9s8c5s QhTd8s5c3h 9s9c6h5d3d 
As5h5c2s2d AdQh9s6h4c AsQs5c2h2d AhJs7d7c4s 
QsQh8d5s3s KhQs5h4h4d Qc8h6h5s3s QcJdTh5s2s 
QdQcTd8d3d KcJh7c5c3s JhJcTs8s2s KhJdTs3s3c 
QcTs9h5c3c 9s8s7s7c4c KcJc8s6s2c Jh9h8h8d7h 
JsTdTc7d3d KhQd7h3h3d KdQhTc3s2d Jd6d5d5c4c 
JdTh8d3s2s Js8h7s6d4c QsThTc6s3s AdKs6c4s3s 
9h7s5c3h3c AhQdQc6c2c AsQh8h4d2d Ad7s4c3d2c 
9c8s6s6c2d AdJs3d2s2d AdKd9h5d4d Ts9c7c5d2s 
ThTd6s4h2d Qd8h8d7h3c KhQh6d4h2d Td8c7h5c4c 
Qd7s6h5s3h JsTs9h6d2c QhQc4s4c2c TsTc9c5h4c 
KsQhTs8d2s Th9s6s5h2s QhJcTs5d2d Kd8h7s4d3h 
QcJd7d6s4h Ts8c6c4s2d Qd7h6s5h3s Qh6h5d4d2s 
Ac9c8s5h3c JcTd9s4h3h Qd8s8h7d6d 9h8s8h5d5c 
KcTd9h8d4s 8s8h6h5c3d QsTc9s7d4s KhQsQh9h4h 
Th8h5c4h4c QhTd9s5h3h Ah9c8c6c5d 9d8s6h5c4s 
KcQhTd4h3h 9d8c7d3h3c KcQcJc4s2d QhTh8h7h4c 
Th9h7d5d2s KdTs9s7h3s QsQh8d7c4d JhTc9c6d3c 
Tc9s5d4d3s KhTs8s6s4d As6s6c5s3h KsJh8h7c2c 
AhTc8c7d2s AdTd9h5c2d AcJs9h6d5d TsTh9h2d2c 
KhKc8d3s2h 9s7c6d5h3d Jh9h8s8h7h 9s7s5d3d3c 
7d7c5d4s2c Kh8s8h7c4d As7h6c5c4d Td9h6h4d2s 
AdKhTh4c2h JhTd9d8s2d AcTh8s4h4d KcJd8s6h5s 
8d7c6s6c5h KdJhJc6s3h Js9d7s6s6h KcJd9d7h4s 
QdJh8c6s4c KdQs8d6d5d AhKc9c8s2c QhJh5d3c2c 
Jc8d7c5h4c JhTd8c5s2h Ts8d6h6d3s 9c8s7c4s4d 
JcTh9h6d3h Td7h5s4s3h 8d7h5c4d2h 9s8h7d6c4c 
Ts9s6h3s3h JsTh7s5d3s KhQd7h3s2d Qd9s5c3d3c 
Kc8s8c7d4h KdQs7d5d3c JsTd4c3d2s 8s6h5h4s2h 
QhQcTs6d2d KhQc9c8c5s JhTc7c6d3s Td8s6d4h2s 
7s7d5s4s4c Ad9s9c7c2s Js9s9h7d2d Jd8s8h7c5d 
Jc9s7c5h3d KhTh9h4s3c Jh9h8h8c7h Qh8c5c4h3d 
AdKd6c3d2c Kd8h5h4d3h QsTh6s4d3c KcTd6h6c4c 
Jh9c7h5s2s QdTc9h8s3s 9s8c7d5s2c Ah9c8s6c5c 
JhTc7s7h3d QcJcTc3s2h JhTdTc7s3s QdThTc2s2c 
AhQsQc6s2s QhTd8c5s5h Jh9h7d5c2c Kd7h7c3d3c 
JsJc5h5d4h 9s8s5d3h3d JsTd6h6c5c QcTs7h5d5c 
QsTh6s5s3c QhTc9d8c2c Kh7s7h6d2s Kh7s6s6h2d 
Kc9d6d4h2c KcJs7h6d4h Kh7h7c5d2d KsQhJc2h2d 
QdQc8h7c3s KcTh9d8h4s KdQc7h4s3d KcTh6s6c3d 
Ac9c5s5d3h Tc9s7c6c3h Qs9d8s7s6s 9c7c5h3h3d 
5s5h4s4d3d KhJs8s8d6s KdQd9s3s3h Js8c7s7c3h 
KsQd6d5d5c AsJd9d5h4d 9d6d5c3d3c AsJd9h9d3c 
Td9h7d5s3c KcTs6h6c3d KsJs9h4h2s Qs9h8c5c2h 
8d5s5d2s2c AhTd9d6s6c 9s6s5c4c3c Kh9h8s5s2h 
AcTd7h2s2c Ts7s6d5c4h Kd8d6h4h2s 9d8d6d5h4c 
Qs8d7s7d4s KcTd9d6s4d Ts9s9c7h3d AsJs9s5d3s 
JhTh9s6c2d JcTd4s3d2c KhQsTc4s3s Kc9c8c6s2s 
AcTh5s4s3h 8s8c7s7d3h ThTc7s4d4c JhJd7s5s4s 
QdJs6d5d3c 7h7d5d4d4c KsKc8d3h2s KcJc6h6d2h 
AcTh9s8h2h QsTs8s8h4d JsTh6c3h3c QhTh5h4s2s 
Kc9d8d8c2c KdQhTh7h4h 9c8d8c2d2c KdQd8s6h6d 
9h6s5d4s4h AsKc8s4h3s Qs8c7c5s3s Qh9d8d6c2c 
Ts9c8h4h2s JdTd9c3s3h AcJd9s6s5s Qd9d6h6d5c 
9s8d6h5d4c KhQh9s3s3d AsJd3s3d2s 9d8d7h6h2d 
KdTh4s4h2d AhTh9h6s6h AdJs9h6h5h TdTc5d2h2c 
QsTs8s8d4c KhTs4s4c2h 7d6s6d5c4h As8d7h5h5c 
As9s5h5d3c QcJs8h8d5h 9c8h6d6c3d KdQh7c6h2c 
Kd8d7s5s3d AsTh7c2s2d Ks6s4h4c3c AdKd9d5s4d 
KsJdTh4c2d QcJc9d5h3c AdKs7h3h2s 9s8s5d4h4d 
Ad7s7c5c4h 9d8d8c7s3s Th9s9h5h2s KdQs9h6c3s 
Qc8h5h4c3s AsTs9d2s2h KsQhJd9c2d AsQdJc5h2h 
9h8d6s5c4h Js8h8c7h2s KcQs6s5s5d Ah9h9c6s4h 
QsJc6h4s4d AdJd9d5c3d AsJd9d8d2h JsJh9d7c3c 
AcQd6h3h3d AcKc9c5d4c QdTh9d8d5d Ad7c6h3h2d 
Ad8c6d4d2c KdQh9c7d3s KcQcTsTc2c AcQsJd6h2s 
7h6d5s4c3h Ad9h9d6d3s TsTc7h5c2s As7h6c3c2s 
KsTd7c3d2s QdTc9s7s4h JdJc9c6c4h AhQdJs5c2c 
AhJh9d3s3h AcKh5h3h3d AdQd9d8d3s JhTc5s3h2s 
AcTh5c3c2h KcQh9h7d2d KcTd8d5s4h As9d6s4h4c 
AhJsJd9c2c JdTh9c5s2d ThTd7c4s4d AcQsJh6d2s 
AcKc4s4c2d Jd8h7s6h3d AdQhJc6s2h 9d7h6h5d2d 
QsQc8d3h3c AhJh5d3d2h Qd7s7d6c3c KcQcTc8h3s 
JsTs8h6d2c QdJd9h2h2d AsJd9d5h5d KhTc9h7s2h 
KcQc6c4d2d KcQs8c5d4c KcQh9c6d3c Kc9s8d7d3s 
QdQc8s7h2c KcQdJhJdJc Qd8d7h6d4s Qd6c5d4d3c 
AdTh6h5c4s Qd8s5s4d3h As9s9d6s3c 6s6c4d4c2d 
Js7h6c5d4s QsTs5d4s2d 9s9h6c5h4h Qs7d7c6c4d 
KdJhJc9c4c ThTc7c2h2d AsKd8s4h3s As8s6d3c2c 
AsQd6c3d3c Ts9c6d5d2s Ad7c5d4h2s Qd8c5c4d3s 
Ac9h9d5c4c Js9c7s7c3s AdQh6d4d3c As9h8h6h5c 
Ad8s7c6h6c Jc9d7c5s3h Ts8d7s5s4h Ad9h7s7c6h 
Qh8h8d7d3c Ad9h7h6h5s Jh9h8s6h3s KsJdJc9d3d 
KcTs4s3d2c JcTh8d3d2c Ts8s8h6h2s JcTh9c6s2d 
QsTc9d7d4h Ad7s6c3d2c AdTd9s5c2d AhJsTs7s2c 
KdQsTh8c2s Ad7s7c3d2c Ah7d6h3s3c AcJhTd3s2h 
Th7s7c3h3c JcTc8s3s3c Kh8h6s6d2s KsQdTs6s2h 
ThTc6h4s2c AcJs8d6h4s AsJc9c5d5c Js7c6d6c4d 
Jc9s9h7h2s JsTc6h6c4d KsQc7h6c3d 9s8h7h7d2d 
Ad4d3h3c2h KdQd8c5s4d KsKd8d5d2d Kd7d6c3h3c 
Th8h7h5d4c KsQsJs5s4s 9c6d5c4h4d TsTd7c5h5c 
KhQdTd8c3d Kc7s6d4s2c QsTc9h7d4h KsQc9s6h3s 
KcJs6d3c2s Qd9h8c5c2h KhJh9c5s2d ThTd6c4h2d 
AsTd8h4d4c KdQcJhJdJc Tc8d8c7d3d Qc8c7d6c4h 
Ks7s7c5h2h QsJc3s3d2c Jh9h7h6d5h Qd9d6s6d5c 
KdJh8s6c5s KdTs9h8s2c KhQhJh7c3s JsTh7h6c3d 
As7c5s4s3h QhTc6s6d5s Ts8h6d4s2h Ad7h6c3c2d 
KhTs5c2s2h AdJd8d6h4d KhQdJs9d3d AsTc5s2s2c 
Ac4s3h2h2c Kh8s7d4h3s KsTc8h4h3c TsTd5h4s2d 
Ah8s8h5h4h Js9c6c4s4d KcQdQc9c4c Qc8s5s4h3c 
Js8h7s6c4d QhJd6h5h3s JdTsTh7s3s KhQcJc5d2c 
Jc7d6c5c3d QhTc8h5s3d 9d8c6c5h4s ThTd9d6d3s 
AhTh8s3h3d QhTc8d5h3s Kh6c5h4c2h KhTsTh7c2d 
5s5d4h4d3h AdTh5s5d2c Ad7h4s3d2s Jc9c7h6d4s 
Ts7d5d4h3h Td9c6c5d2c JhTs8c5h3h Ad4d3h3c2c 
9h9d8d4h3c Tc8d8c7s5c JsTs8c6h2d Qc9s9c4d3d 
QcTs7d3d3c Qs9d7s6d2c QcJsJd8h4h AcJc5d3d2c 
KsQs7c5s2c Jh9h7d6c4s KcQd8h7h5s AdQh6c5h3s 
KsTh9d5s5c Tc6d5d4c3h KdQsJh3c2s AcQd9s6d4h 
9h8d7d6s2s 9h7h6d5d2h KcJd9h9d6d AhQc9s8s4d 
QsJd4s4d2s Kh9d7d7c2h JhJc8s7d4d AcJc5s3s2c 
8s7h7d5s5c Kd7d6s6c4h TsTh9s6s3c Qd9h8s7c5s 
As7c5s4s3d AhJs9s5d4s QsQhJd7s3s Jh9h8s8h5c 
Td9c5s4s3c Js9h9c5d5c 8s8d7s6s4c Kc9c8s8d6c 
KhTh9h3d2d Td7s6h5c4c TsTc7s2d2c Ts9s8h6s5s 
Kh7h7c4c3c 9s8s7c4d4c QsJsJh6c2d KcTd8s8d5h 
Kc9s7s7h4h Kd9d7c6d2c QcTh9h5s4h Kd7d7c6h2c 
Td8h8c4c3d KdQhJc9s2c QhJsTh6h3h KsTs6d5s5h 
QdQc4h4d2d KdJd9s8d4c AcJd5s3h2c KdJhTh5h2c 
KdJd6d5h4d KcJsJd9d3d QsTh9d8c3c KsTc9c6c4d 
9s8s7d6d2s AdTc7c3d2d QhTs7d5h5c Kc7d5h5d4h 
AdQsTs4s2h JhJd8s6s4c 8s7h7c5d4d QcJs9h2s2h 
KcTd9d6s3d AcTd7c3d2c Kd7d7c6s2c KdJd9c8d4s 
AhKh9h5h4c KcQcJc4d2s AsTc9d6h4c AcKd5d3s3d 
Tc8h7d5c2d Kc8s7c6d4c AhTc9c6s6d KcJc9d4d2c 
AsQcTd5d2h AsQh4c3d2s Ac7s5c4c3h KhTd8c6h2s 
AsTs6h3d3c QhTd6h5h3s QdJd6d5d4c AhTh9d6c2h 
8h8c7c4h3s Qd7h5d5c3h AsTs4d3d2d JdTh8s5d3c 
Qs8c7h6h2s QhJh9h7h5d Ks9s8c5s2c Kd9h6h4c2d 
AsQd5c4s2s Kd9d8c7h4s AhQcTc4c2d AdJcTc7c2h 
JsTh8s3c2c AcTs9d8s2s 7h7c5h4d2c JcTd6h3h3d 
AsJs5d3h2c QcJcTs3c2d KdQh9s8d3c QhTs5s5h2s 
QdJh7h4c2d Qd9c8c7s7h JdTh9h8c2h Ks5s5h3d3c 
QcJcTc3s2d ThTd9d3d2h Td8s5d4c3s Qs9h8s5s2h 
KcQcJc7d3h QsTs7s6h4s KdQd9d4h3h Kc9d8s7s3d 
KcTd7h3d2c JcTd6s5c3h AdTh9h6s6c JhTs7d4c3h 
KhTh9d5s2c AdQd8s6d2h KdJs8h3s3d QsJdJc7s4s 
Jd9c7c4d4c 9c8s7s6d2d ThTc7s2h2c KdJd8s8c6d 
KsTd7s3d2h Jc8c7h5s2h Qs4d4c3s3c Tc8s6s4c2h 
Js8s7h6c4d KcJc6c5h5d Tc9h9d8s5s 8d6h6d4d4c 
QhTh9s7d3h Kh8d5s5h3s QsJdTh7d3d Ah9h8h5c3s 
Qh9h5h5c3c KdTd9c5d3h 9d8s7d3s3h Th8h8c4c3h 
Kh7s4s4h3d Qh8h8c7s5d AdJhTh7c2h JhTh9d2s2c 
AhQh9s2d2c Qh7s7h6c3c 7h7d6d5s2s JcTd7c6s2s 
AhJd6s4d3s Ad8s7s5s4h QdTh9c8s3s JsTd4h3d2s 
KhJh9h8s5h KsTdTc5h5d KhQh8d4c2d 9s8d7d6s2s 
QsJdTd7c3d Qc7h7c6h3h TsTd8s8h2s 8h6h6c5c2h 
Js8d7s5h2d QhJs9c6d6c Kh8h6h5d2d KdJd8c6d4h 
Jc9h7c5s3d Jd6s5h5d4s Ad7c6s6d2h KhTsTh9h4h 
KhJdJc8d4d As8d7h5d4d AhTd7s6s2d 9s8h7h6d2d 
Kc7h6c5h2c Jh7d6s5h4c Jh9h5s3s3c KhTc8d4d3c 
Th8s8c4c3s JhTs8s8c4s JhJd9c2s2h Td9c7h5c2d 
AdTs9h6s4c KdJd5s5d2s AsTh5c4c3h As8s7d4c2h 
AhKs7h3h3c Jc9d7c4s3s Ad8d8c5d4d JsTd5h4c3d 
9s9h6c5d3d 9s8h7h5c4d AhTs4h2s2h QdTs9h7h4c 
As7d6h5h4c KdQcJd4s2d AhQc9h5h2d 9h8s7h3s3c 
JhJc5s5d4d 9s7c6h5d3h Ah9h5s5d3c JsTsTh9s2s 
Qh8h8d7c5s KdTh8d8c4d Ts8h8c4c3s 8h8d6h6c3s 
9c8s8c2s2c QcTs9d5h2c JcTs4h3s2c As9h9c5s4s 
KhJc9c8c6c 9d6c5s4d4c KhJs8d5s4s AcJh8h6h4s 
Js9d7s5h3c Ac7d6h3h2c Jc9h6c3h3d 9s8h7c6d4d 
KsQd8h4h2s Td9d7s5c2c ThTd5s5c4h QsTd6s5s3h 
AhQd8d4s2s QdTs8c5d3h QhTh7d4s2s KdQs8h5s4s 
As9c8h6c5c 7s6d4d4c3c 8h7s5s4h2d AdKhTs5s2c 
Qs9d8c5c2d Qd9h8h7s7c QdTh9s5d3d Jh8c7d6s6h 
Tc9c5d3s3d JsTs7d5c3s KhJh6h5s4h KcQc6c4h2h 
Qd6s5d4d3s JcTsTh8d2d Th8s7c5h2c Tc9h8c5d4s 
KsKh9d4c3c KcQdTd7d3h KcQdTs4d3d Ts8d7s6d2d 
KcQh8s7h5h KcTs8s5d4h QhTd8s8h4h AdJc9c5h4c 
8s8c6s4s2c Kd9d8s5h4c KsKd8h6h2h Td8d5c4d4c 
AhQc7d5s5d Jc9c8c5d2d As5h5d2s2c TdTc9d3c2d 
8d7s7c5h4h AhTc7d6d2c QsQh7s3h2c KdJsJh8h4h 
9d7c6c5h4c AcQcJc7c4c KdJh8d4h2d 7s7c5c4s2h 
Qh9h8d6s6h KcJsTs8s3d QdJcTd3d2s QsTs6h5d2c 
KdTc9c6h3c JsTs9c4h2d TsTc7h5s2c Kh8h7s6d4h 
9s8h7h6h6c AsKcTh7h2h Js8h5d4s3d JhTd6s3s3d 
AdQs4c3h2d Kh9d8s7s3d Ah7d6s5s4c 7h7c4d3d3c 
9c8h6s5d4h QhQd7d3h2s AhKhQd3h2h JsTs9d6c2h 
Th9s9d6c4c Ts7h5c4h3c As8c6h4d3s 7s7c4d3d3c 
KhJh9s5d2c 9d7h6s5s4s ThTd9c8h2s AdQs4h4c2d 
AhJsTd3c2d 8h7s7d5c4c Jd7s7h5s3h JhTc8h5s3h 
AcQs9h6s4d JhTd5s4c3d QhQd6s4d3d QdTs9c7h4c 
Th8s5c4s2h JcTs7s7c2s KhJcTc8c3d Ah7s5s5c3c 
QdJdJc6s2h KsTd8d6d4h AdJsTc3h2c Ac4d3h2h2c 
Qs8c5s4d3d Jh6h6d5h4d KsTs7s5d3h AhJs9s9c6s 
AcJs7h7c3c Ts9c7c5h2s 8c6d6c4h4c 9h9c8c4h3s 
QsQd7h5d3d Jc9c5h3h3d QcTc9s7d3c 9d7d6h5s4d 
Qc9h6s3h3c As9h8d6d5d Ks8s6d5s2d Qc9h7h6s2c 
KdQc5d4s4d QhQc8s7d2h Kc9d8h8d6s Kh7h6d3d3c 
Qh8h7d6h4c Kc8h6s6d5c AdQh5d4d2c Ts8h8c4h3s 
JcTsTh6s3s KsQd7d5h3c As9s5h4d3c AdQsQc3h2h 
JcTs7h5h5d Ac8d7s5d4d KhQcJs9c3c Th8c7s6c2s 
AcQh6c4c3d Jc7s7c5h5d Td9s7d6s2s AsJd9d9c6d 
8d6h5c3h3d Td9h9d7s3c AcTd8h8d3s Ah9d8c7h2h 
KcQhTc6d2c KhQc8h4c2c Ah7c5h4s2d AhKsTd5d2c 
Tc8h8c6h2c KdTc8s6d2h KdQh8s7h5h 8h7d5d5c3h 
Ts8s8c4c3s 8d6h5h4h2d Jh7d6s5c4h QhQc7s5h3h 
KdQdJd4c2h Ad8c6h4s3d Kc9d9c6s3h Js9h8s5d4c 
Kc5d4d3s2c AhJdTd4d2s ThTc8s7d4d Jh8s8h7h5d 
AsJd7s7c3s AhQc8d2s2h KhQh6s6h4c QdJs9d3d2s 
QhJsJd8c4c Qs8s8c5d2c TsTh3s3h2d QcTc6h3h3c 
JsTh8s4d4c AdQh9s5h4h AsTs6d3h3c KdJh8d6d5d 
6s6c4s4h2h Tc9c7h7c3h KsQsTsTh2s AhKs6d3h2c 
KcThTc5s2d AhJd9d9c6d Kc8s6s4s2c Tc6c5h4h3s 
QsQcJs7s3d 9c8c7s6s2c 9d8h8c7d3c Jd8s8c7s2d 
KcJd8d7s2s Ad9h6c5s2d AdQh9s6h4h KcJc9d6c4h 
9d8s5d5c4s KdJd6d5d4h QhTs9h8h5h 8h7h6h4s3s 
Td9h9c3d2c AdKc7d3h3d AsQs8d6s2h AsQc8s6s2h 
KsTh9c5s5d 9h8d6d5c4s Th8h7s5c4h Th9h9c6h5h 
QsJh8h6c4h AcTc9d5c2s KdTs8h7h5h Ts7h7c3s3h 
QsTsTh4s3c QdJd9s2s2d Js7h6h6d4d 7d6h4s4h3s 
9h7s5d3h3d KdJsJh9h3h Qs8c5c4s3h AhQc4s4d2h 
Qh8d7h6s2d KdQd6h6d4s KcJc7s5d5c QsTsTh4s3d 
JsTh7c5d5c AcJdTd4d2h Td9h8s4s2d QhJsJh6d2c 
KsQc8c4s2s 8s8h6h6c3d AcQs4h4d2c QsJs7s6d4c 
Qc7s7h6s4h QsTs7c5d2d Td9d6s5c2s AhTc8h4s2h 
Td8s8h7s3h AcJs9s8d3s JhJc5s5d4s KcQcJc4s2h 
