QsJd7d6s3s 
Ah6h6d5h2d AcJd6h6d4h QsQd7d2s2d QhJc7s7c6d 
As5d4h4c3s JdTsTh9s5s Ts8h7s6d6c KdTh7h4c3c 
KcJs6h6c5c QhTsTc9h2h QcJs7c6h6d QsJc9c2s2c 
9s6h5h5d4d KcTd8h8d6d Tc8d6d4c3s AhTs8c5d4s 
AsJs7s4h4c KdJc9d6s6h JhJd9s6c4d AhQc5d5c2d 
QcTd7c6c4s QhJcTh8h2s KdTsTh9c2s Js9d9c4d3s 
AcQs9s7h2h 8h8c7s5d4c AdTs6d5h2c QhJsTh8h2d 
KsJh7h5s2s QdTsTc9c5c TdTc8d3d3c QhTs6d4h2d 
JcTs6h5h4d Kc8h8d6h3c AcJc6d5c3s Tc9c7h4h3s 
KsTd9d6h4c JcTc6d6c3d Qd9s6s5d2c AhKc9d8h2h 
QcJs6s5h4s AdTd7c6d3h JdTc9d5d3s KdQh6h6d2d 
AdJc7h6c3h Ts8c7c6s2d AsKcQh9d4d JsTc9c6d6c 
AhJs9s7s7c Qc7s7d5d3c KdTsTc9c4h AsJd7h7d3h 
9d8c7s7d4s JdTs8c6h4h Qh8s5h4s4c KdQd8s8c7d 
As9h7h6d4d Qs8h5s4h4c JdTh8c6c4c QdJc6h6c5s 
8c6h5h4c3d AdKs9h6d3d 9s8s8h2h2d AhTs8s6d2d 
9d8h8d7c6s 9h7d6h6d4h 8s6s5h4c2c Qc9h8c7s3h 
Qd8s8d6s3c Jc8s8d4s4c AcJd5h5c4c JhTsTh6h4h 
KdJdJc9s3d AsQd9d7c2c KdJc8s8d2s Th9h8s5s2d 
KdTc9d3d3c KcThTd8s5d 9c8c7h5c3h AdThTc5c4s 
Th9h7s4s3c Jh9d5s4d3h KhTd9h6h3s 8s8d6h4d3h 
AcKhJh6h3s AhTc8c6d5c QsTc9s6d3s AhKcJs7s3s 
KdTs4h4d3h QsQhTh5h2d Ks7c6d5s2c AdKh9c8d2d 
Qs9s6d6c3c QsJc6h5c2h KdKcQd7h2d QdTs7h6c4c 
KdJs9c6c5h Ts9c5c4h3s QsTc9c5h4d Ah9c8c7c6d 
QcJs8c6d2d Ks8d7s5h2d QhJh9h8h6d 9c6s6h5s3c 
QcJh6s5d4s As8h8d7d5c KdJs9h2h2d Ah7c5s5h4h 
AhTc9s7c4c Tc9s7h4c3s Kd8s8d7d6h AcQsTs8s3s 
Js9h5h4s3c Jh8d6c5c3h KcQd5d3c2c KcTs8d7h5s 
JsJd7s4c3c Ad9d9c8s4d Ac9s7c4s2s AcTh6d3d2c 
KdQdTsTh2d Kc8s6s6d5d JcTs9h6d4h Qh9h7c6h5d 
AhTsTc9c3c KhJd5s4d2s As7c5s3h3d Td9c7s6s4h 
AsJs6c5s3h Ah9h7d2d2c AcQc5d5c3h Qd9h8d8c3c 
AdQs9s5c4h KsTc9h6d4c AhJsJh5h3h Qd7h6d5s4c 
AhTc7s6h3h Ad8d5s5d2s 9h9c6h5s4d AdKsQh5h2h 
QdJcTd8s3d Ks9c7d5c4d AsJcTh5c2d Ks8s7h5h3h 
AdQdJd8d6d AhJd8c6c3d Kh9h8c7s5h Kh8c7s4h4c 
JdJc7d4s3s AsQc8h5s2s Ks9d6d5h4h KsQcJd4d3h 
Tc9d6s4c3d Qh9d6d4h3c AsJs6h5s3c Kc7c6s5d4c 
KhQh5c3s2s 7h6d5h5c3d KdJc9h4c3h Kh7h5s4h3s 
Ts7c6d5s3d KcJsTc8h3c AdKs3d3c2h KhQc4c3h2h 
AhJsJd6h2c 8d6c5s4s3c KhQcJh7h5h AcKs5s5d3s 
JsJh8s4s3h KcJcTd6h2s QcTs8d7h5h 9s9h8c6d5d 
KsJd4s3d2c Kd9d8s8c4s AsKc9s4h4d Jd8c7s6s5h 
KcQh7d4d3h AdJs7c4c3s Jc7d5c4s3d AdQs8s7s4h 
8c7h7d5d3h As8s7s5d3h Ac9s6s6h5h Tc7d7c6h6c 
KcThTd9s2h QsJc6d5h4d Kh9d7h4c3c Ad9s8h6c2d 
AcKs9d4d2s Ad7c6c2d2c 9h8h8d2s2d Tc9s9c8c6d 
Td5s5d4s4d QsTh9c8d4h KcTh9c6d6c KcQhJs7s4d 
Ac7d5h5d4h Ah8c5h5d3s 9s7c5s5d4d 9h6s6h5s3c 
AdJhJc6d2s 9h9c8h6d5h Jd8d5s5h4s Td9d8s7d3s 
QhJh9h7s7c 7c6s6c3s3c Ts8c7c6c4h AcJsTd5h2s 
KcQh7s5c4c Jd9h8s8c7h KcQsJd7d4h Qd9s9d7d3s 
AdKc9d4s4h QsJdTd8h2d KhQc5h3s2s AdTc6d5s2h 
AdQs9s8s5s QhTc8h4c2c AdKd6s6d3h QsJsTh8s2d 
JsTh9h9c3d QsJh7h7d6c AcQh8h7h4s 9h9d8h6s5h 
JsJc6h6d4s Td8h7h6s3s 9h8d8c6s6h AcTc6s3s3c 
Js9c6s6h3h KcJdTh8d2s Qd8h5c4d4c KdQs6h6c4d 
KhQhJh7h5c Th9d7h6s4c AcQs9c4h4d QcJcTd8h3c 
Td8s8d6h2s KhTs8s8h3h JsJh9d7c4s AcTs9h4c3c 
AhJh6s5h3c QhQdTc6d2d TsTh8c7d4s KsTd9c6h2s 
Ah9s7d3s2h Ac9s7s6h4h QcJd9s4s2c AsJd7s3d2d 
Jc9s9d7h5c Ah9c7d5h2s KsQs7s7c4c Qc9h6d5c4s 
Ts9s6s6d3d KhQs6c5s5d KhJhTh5s2c 9h9d6s5s2h 
Th8d7c6h5h JsTc8s3d2c Ts9s5h5c4c Kh7s6s5c2h 
Jd9s9d8s4s QhTc9s9h2d JsTc8h6d4d QcTd7h6d2c 
9h9c6h5h5d JdTsTc4d3h AsJs7d4s4h QdJc6c5s4c 
JdTc6d5s2s Th9d8h8d3d Ac6c5s3s2s KcTsTc3c2s 
Tc8s7h6h6d Tc9h6c5h2d KcQhJd9d2s ThTc7s7h2s 
Ts8h6h4s3c ThTd6d5c4s KcTd8h6d4s QcJhTs8d3h 
Jh9c8h7d3d KcTc7h4h2s KsQsJd2h2c Jh9s7c6d5d 
JhTs7c6s4s Td8h7h5c3d ThTd8d7h2d AcTsTc5c4c 
As9h7s6c4s 9h6h6d3s3d 9h8h8c2d2c Qd9d8s7s3c 
QdJcTs8h3c AhJc9h6s4h QsTs8s5c4d QcJs6s6h5d 
8d7s6h5s4s KhQcTs5s3d JhJdTd7s3d JhTh9h3s2s 
Qh9c7s6s4c KcTh9h6h5d Jd9c5d4h3c AcQs9d6h5h 
AhKs9c6h3h AhKdTh3h2s AdJh8s6s3h Qs9d6h5s4c 
Th9d7d6c2h Tc8h7d6s5s Kc9c7h5d2d Qd9h8d7h2c 
AdTd8h3h2d Jc9c7c6h3h KdJs9d4s2s Qh9s7h5s3s 
JcTd9h4d3s Ks9h5c4c3s KcTd8h7s5d QhTc6s6h2c 
7h6s5h5c3s QdTs7h6s2d QcTdTc4h4c QhJd8h6s2s 
JhTd8c6c4c Ks9c8c7c3s KsTc9d6h2s KcQs9h7c5c 
KsQcJh5d5c KcJc9h7c5c Ad9d7d5s3h Ks9d6c5d5c 
9s8c7s6c2c Kc9d7d4s4c KdQcTh6s2d AcQhTh4h4d 
8s6h5d4d3h KcTh9s6d2c JhJd8s4s3d AsQc9h6d5h 
Ah9c6d4d2h KdKc8s6s2h Ac7s5h5c4c Qc9d8s8c2d 
Jc9d9c4s3d AcTs6h5c2d Kh9c7s6h2s Qs9c8s6s5d 
KcQdTsTd2d QsJd5c2s2d JsJd9c5s3h KcTh9h6h5s 
AdQcTs7c3c JhTd9s6h4h Kh9h9d6d2d KcQsTsTh2s 
JsTd6d4s2h 9h6h6d5c3d Ah9s9d8c7c Td8h6h4d3s 
KsKh8s3s3d Th8d7d6s3s AcQhTs5d2h 9d8c7h7c4h 
AhKs9d4d2s Td8s8d6c5h 8s8c5s5h4d JsJcTd4h2s 
AhTh8h6h4s JhTd9s7h3h 9s8s7c5s3c JhJc6s6d4h 
Qs9h5c4s3h Ks9s9h6h2h KhTc5h5c2s QhTsTh4h4d 
7d6s6d5s3d KdTdTc3d2c AcQd3c2d2c QdQc6c4h3s 
Tc9h8h7d5s Jd9s9d4h3s AhTh7c6h3s Ks6d5s5c2c 
KdTs9c4d3h AdKsTh6c3h QsQdJc9c3c QcJhTh9h2h 
AhKcQc8c4c AhJhJc3h2s Qd8d8c6c3s KcTh5h5c2d 
Ts8s8d6c5h QdJs7h7d3s QsQh7s2s2h AdJc6s5c3s 
JhTc9c7c4d As8s6s4d3d Tc7h6s5c3s Qs9c6c4s3d 
KcJs9c4d2d QhTh9c7d3s AsKs8c5s2h Qc9s6s5c2d 
AdThTc9h3h KhQcTh4h3s TsTc9h8h5d Kd9s6s5s2d 
JcTh9s5s3d QdTs5d4c2c QdJd9c6s6h 9s9c8d5c2d 
AsQh9c5d4h KdJc9h9c6s AhKd7s6d3d Ks8c7d4s4d 
AhJh5d4h2d AcJd6h5c2s Kd9d8h7c5d 8s8c5s2d2c 
AdTd7h6d3s KhJd7c6s5c QsQdJh9h3h Ts9s9h8s3h 
Js8s5h5d4d 9s6s6d5c3d Ad8s5h5d3c KdTs7s4c3c 
Jh9s8d6d5c Kh9c7h5c2d AcKhJs7d3d AdQsTs4s4c 
AdTc9s7h3c AhTh6d3h3d AcJc8h7c2s KsTs9c5d4s 
AcKhTh7d2h AhTc9h8h3h 9s6s6c3h3c KsJsTh6d2c 
QsQh6h4c3d QsTd9h7c5c QsTd8d8c3c Kh9h8h7s6h 
Js8s5c4c3h AhTc9s8d3c JcTc9c8h2s Tc8h5s4s4c 
KdQcThTc4c KsJd5s5h4c 7d7c6d5h4s KdJsTc8s2h 
QhTs9d5h3c AcQdTh4s4h QcJc8d5c4h Jc8d6h5h3c 
AsTs6h3s3h 9s7s7d6h3h JdTh8d3c2h Jh9d5h4s3d 
KhJd5h2s2d Js8d7s5c3c Ah7c6d2h2d AdTsTc9s3s 
Qd9s7d5s3s QsJh9h5h4d KhJs9c5s2c AdKs9c4c2s 
KcTh8d7d5s AdTc6c2d2c 9s9d5s4h3d 8h8c5h4d2c 
QcTs9c6h3c KdJc4h4c2d As6s6c5s2c Qh8s6d5s2h 
Qs9h5c4h3s As5c4h4d3s Ts8s7c5h3c KhQc9d8c5s 
Th9c8h6h5s Ad6c4c2s2d KdQh9s8h5c AdJs8c6s3c 
AhJs6h5c2d KhQs6h5h3d KcJd9c4s2s QsTd5d4c2c 
KsJsTs4s3d KcJd5s4d2s Qc9h8c7h3d Kh7d6h4d3h 
8s8h6s6c4s Ac6d4c3d2h AdKsJs6s3c KcQh4c3c2h 
8s6s5d4h2h KcJh6s6c5c 8d7c6d6c3h KdQs7h6s4s 
AhTd7c6h3h JhTs5s4c2c Kd9h6d4s3h QdThTc9d2d 
JhTs6s5d4c AhTd7h6c2s QhJc6d5c2d Th7c6s5h3s 
Qc7h6c5s4d QdJd9d4s3s Ks9h5h5c3s QdTh5d4c2c 
Ah6c4c2s2h AdKc8s6h4s Kc6h5c4h4c JhTh9s6h4d 
KcQdThTd4d QsTh9d7d5d KsTh9h7d5h Jh9s6h6c3c 
KdQc5d3h2h QhJc8d6d5d AsJdTd7h2c As9h8s6s4c 
Jh9h9c6d5s Jc9h9d4h3c Td8d5h5c4c Ts8s7h5c3h 
7h7d6h5s4c AhThTc7h2d KsQd7h6d4d QdTh8c7h2c 
Ts9h6h4c3c Td8c7s4s4c KsJh8d5d3h Qh9d7h5d3d 
Kc7c5c4h3h Kh9s8h5h4s AsTs8s4c3d KcJsTh6d3s 
KdJc7c5d2d AhTc9d8s3c QdTs9s5c4h AhQc9c7s2s 
Th8d7d6c3c AdJs6c5s3c As7d5s3h3c QcTh8c4h2h 
KcTd9c3d3c 9c8h7c6h3h QhJs6d5c4d AhTc6s5h2d 
9h6d5d4h3c Ks9d9c7c6h AsTc9d7c4c Ts8s7s7d4d 
QhJdTh8s3h QhJs7h6d6c 9h9d8c2h2d KcQc8h7d3h 
AcKs8c7h2c Qh9c7d6h5h Ac6d4c3d2s KdQd8s8h7d 
AcKc6d5c2h Js9s8h8d3h QdJs8h4d3h As9s9h8d4s 
TsTh9c8d5h 9s9h8h7s3d AdJc9s6c5h AcTd8h4d3h 
QcTsTd9d5d Qs9s9d8c6s KsKh8d6c3d 9s7c6s6d3d 
KhTc9d5d2c KhJcTh8d3h Qc9d6d4c3s JcTc9d3d2c 
Jh9c7c6h3h JhTs9d9c3s As8s6d5s5c AcTh9d7s3h 
9h8s6c5h2s KdQhJd7d5d Ah9h8s8h4c JhTh9c6h4d 
Kh9s5h4s3c QsJs8h5d4s AhKh6c5h2s QsJh7h6s3s 
8s6c5h4h3c JdTd8d5d4s QhQd6d4s3c AsKc5d5c2h 
AcTs6h3h2c Th9s8h6h5c KsTh9c6h5h Ts8s8d7h3d 
KdTh8h4h2d 9h8c6s5h2c Tc9d6h3d3c KsTh7h4d3d 
QdJdJc4s2h KsJc9s6h6d JdThTc9c5c QdJc9d6h4s 
Ts8d7h6c5c Qs7h7d5h3s 8c6h5d4h3c AhKs7d6s3s 
AhJhJc5h3h KhQh5s3d2s AdJc9h3h3c 9c8d7c5d3c 
JsJh7s4c3c Js9h5h4s3d AcKc5c4d4c QcTd7c6c4h 
KdTs8d8c4h Js9c8s7h3h QdJdTc8d2s AhKh7h5s2d 
KcQd6d5h3s AdJd5c4d2c Qh7s7c5s3h KsTs8s6c2c 
QsJh8d7s4c KcJcTc8s2h JdTc9s4c3h QdJdTd8s4d 
9c6d5d4c3s Th9c8d6s6c AdJs6s5c3c Qd9h7c5h4c 
QhQd8s8h3c Td9d7h4h3c Kc8s7c5d2s JsJh6c4h3c 
9c8s8h6d5h KdTd6s6d5c QsTs8h7d4s JdTh9d5s3d 
As7s7h3d2h Qd9d7s6d5c KdQhJs7s4c Jc9h9d6s5h 
TsTd7s6s5c AcQc9d7h3c Th7h7c6c3s AdKd6h6d3c 
KcJd9s8h4c Tc8d8c6d2h Kh7s6c5h2s Td9h7h6c2d 
QdTs5s4c2c Th8h7s5d3d KcTd8d8c3c Tc9d5d4h3c 
Jh8s7d6d5c Jd9d9c6s5h AsQs8h4s2h Ah8d5h5c3s 
AsTs9c4s4h JsTh6d5d4c KcJsJh8d4s Ts9c7c6c5d 
Jh9c5d4c3h 9s8s6h5s3h AdKd7d5c2s JsTh5h4d2d 
AcTd6s5c2h AdKh8d4s2c QsTs8s7s7d AdJdTd5s2d 
KsTsTc3s2c Kh9s7s7h2c QsQh9c5h2d JhJc8h4h3c 
QsJd5h4s4c KhQd6d5c3s Ad9d7s5c2h AsTdTc5c4h 
QcJh9c7h2c KhTc4s4h3s QhJd8h7c3c Qc7h6s6h5s 
Qh9s9h8c6h AhJs8s5d4s Jc9d7h7c3d KcTc5h4h2h 
ThTc8s5c2s AdKhQs8c3s QhJh7d4s4d QhJc6d6c5s 
KdQc6s5h5c QsQhJd7d4d KhQhTs5d5c JcTs6s4c2h 
AhQh6s6h4c AsKc6c5d3c AcTs6c3d2d 8d6s5h4s3d 
Kd8c7d5s2c AhKd8h6h3s Qd8s8d6s3h ThTc7c6c5d 
QcJs8d8c3d QsQd9h5s2c AcJc7d6c5c JdTs5c4h3d 
KdQdJh3c2s Qd7s7h5h3d 9s8s8c2h2c AcKs3h2d2c 
Kh8d7h5c2d AcTsTh6d2c Td9s9c5s2c AdJc7h5c4c 
Qh9h7s5h3s AhTs8d5h3h Jh9h8d8c3d 9d8h7s7h4s 
Ts9c5s5c4h 8h8c7s5s3c AdJdTd6h2s ThTd7d6d5s 
Jh9d8c7s5d KhJc9d8d6d KcJh4s4c2h QsQh5h4c3h 
Qc9s6s4d4c AcQs6s5h3d AcJsJd9h4h Tc6s6d5d4c 
AsKh5h4c3h AdJc7h7c3h JhTh9d6h4s AhTd5s3h3c 
Kc9d7s6s5h AhKc9d6h3h KcQh6h6c2c QhJs6c5s2c 
KsQd4s3d2s 8d8c7h5s4c KcTc7d4d2h AhTsTc6d2h 
7s7d6s5c4h QcTs6d6c2s KhJs9d5s2d AsQh9s9c4s 
KhJs8h8c2c AdQcTs5h2c QcJh8h5d4h AdTc6d3s2s 
AsKh9c3s3d QhQdTd5d2s AdKc9h8d2d JsJhTc4d2s 
Kd9h7d6c2h QcJsTc6h2d JcTc6h5s2s QdJh7s7h6c 
9d9c8s6h5h Ts9c7s4s4c Qd8c7c6s3d Ah9h7s3d2d 
KcTc6d6c5s 9c8h8c7h2s KsJsTd6c2h QsTs8d7c4s 
AdKd9s4s2d KcJs9d8h4c JhJc9d6s4c Qs9h6d5s4c 
QdQc7c6h3s KhTd5h5d2c KcJs6h4h2c KcQhTs9d2s 
QcJc8s5c4d Ks9h9d7d6c AdKsQc8h3c Kc7c6d5h4c 
Qc9s9d7c6c AdKc8s5h4h Js9h7d6c5c Ad8h7c6s5s 
QsQhTd6s2s QcJs9d4d2s Ts9c8s8c3c KdKc7s4h3s 
KsJhJd6h4h Jh9h7h6c3c QsTs8d5s4h QsJs9s9c6h 
JsTc9c5h4c 9h8c7s7h4s AcQcTc3h2d Ac9c7c6h6d 
9c8d6s5c2d Ks9d6h5h5d Ac9s7h5c2d Kd8s7c4d4c 
AhKdQs5s2s QcJhTd8s3h Tc9c7c5s3s KdTh8s7h5c 
AhTs9c4h3h QcJh9d4d2h Kd9d9c7c3d 9d8h7s6s5s 
KhKcQs7c2c KsTh9s6s6c QhJcTs8d3c 8s7h7c5h3c 
8h7s6d5s2h KdQc5h3d2h 9c6s6h5h3c KdTc8h8c6c 
JdTs6s4d2h Ad9h7s3h2d QhQc9s5d4s Ac7d6s2d2c 
QdJd7c6s6h JcTc7h5c4c AsTc9d7c3h 9h9d6d5c2c 
9d6h6d5s3h KhKcJh3h2h QhJc6d5s4d Kc8d8c6d2s 
Tc9c5s5d4s Qd9d6h6c3h 9h9c6c5s2s Jh9s9c3s3h 
Ad9h8s6c2d AsKd9h4h2d KhJc9h4s2s 7s7d6d5c4h 
KhQd8d6s3s JdTh6d5c2c AhTdTc5s5d 7s7d6h6c4h 
Tc9h7d4c3h AhQdTd5s2c Jd5d5c4d4c Jh9h8s7h7c 
QsQcTd6s2s Kh8h8c6c2c KcTh4s4c3s Js8c6h5h3s 
AdQsQd8d2d QhJd8d5c4d Ks9h9c5h5c KsKdQs7c2s 
AsQs8h3s3h 8s7d6h5d2s QcJc8c7s5h QdTs9s6h4s 
Qh8c5h5d4c Js9d7s7c4c Tc8c7h4h4d KhKdJs8c2c 
Tc9s5s4h3c QhTd9h9c2s AdJd6h5d3c KsQc8c7s2s 
QhTh9c7s3d QdJc7s7c6h QhJs8d6d5d KsQs5c3h2h 
Ac9s8s7h5s AdQsTh6c3h Td8c6c4d3h QcJc9s9c6h 
Jh9h8s8c3s QsJs7c4d4c 9c8c7h5h2s 9s8h8c4h4c 
AsQs6h3s3h Kd8c7c5d2s Jh9h7h6d3d KcJd4h3c2d 
QdTc9s7s5s Jh9d8s7c5s 7s7c4s4c3h QdJh9c4c2h 
Ac9c7d6s4c Jh9s8c6s5d 9s9c8d2s2c Qd9c7h6h4c 
Jd9h9c4h3d QcTd6h4c2h AhKd3c2d2c Qc7s7h5s3c 
JhTs8d6d4d Ks7c6s5s4h Ts9h9d5d2h JdTc7s3s3d 
8c6c5d4h2h KhTsTh3h2s 9c7c5s4h3s KhQc6h5h3s 
AdTh9d8d3d AsKcTs3h2s KsQc9s8s6s Qc9c6h5h2s 
Ac8c5h5c2h Kh7h6s5c3d Jd9s9h5d2s AdQd8h4c2s 
AsJsJh7c2s Ks7s6c5d4s Qd9h8s8d3s QdThTd9d2s 
KdQhTsTh4h AcQs8s8h2h KdJsJh6s4s Ts9h8h7d5c 
JcTc9c7c5s Ac9c7d3s2s 8h7s7d5d3h AdJc5h5d4d 
KhQd9h5c3s KdQcJh4h3s QcJh8h5s4h KdJhTc4c3s 
KsQs5h3c2h AdTc6d5h2s KhQd5h2h2d JdJc7d7c2c 
AhKh8s5h2c Qs9h8s7h4s Tc9d7h6s4d Js8s5h4h3d 
As8h8d5s3c QdJdTs8d2c Tc9c7s4s3d Ts8s7d5h3h 
KsTc7c6c4h Kc8c7h6h3h 9h9c8d5h3d 9s8h6d5s2h 
QhTh8d4d3h Kd7d6h5s4d QhJh6d4h3d Qd9h6h5d2s 
AsJc9c7d7c Jc9s8h7d5h QcJd8d5s4d As9s7c3h2h 
Qd9h5s4h3d QsJs9s4h3h AdKsJs6s3h Jc9d8h6c2h 
QhJs7c4s3c 8d8c5h5d4s QsJh7h7c6d Th7s7h6h6d 
As9d7d6c4c KdTd9s5h4d Jd9h5h4d3s JsJd8d6s2s 
As8c5s4d3h AcJs5d4h2c Qs9s7d6h5s Qs9c5d4c3s 
9c8s8h5c3h QcJcTc8h4c QhJc6s5c2s Tc7s5s5c4d 
Kd8h8c6h3d JsTc6c4s2d JcTh6c3s3h Qc9c6s6h3s 
KsTd9h6d5d QhTdTc9c5c QsJh6d5h2d JcTd7d3h3c 
QhTd6h4d2d Jd9s9c7d6d AdKs8h6c4h Qs6h5h4s3h 
JhJd6c4h3c 9h8c7s6s5s KcJh9s5s2h Ah9s8h6h4d 
AdKs6h6c5h Qs9c8s5c2c Jd9s8h6d2h Kc8d6d4s3c 
Ac8c7h7d4c AsJc8h4c3h Js9s8h7s7c Js9s8h8d3d 
9d7h6d6c3h 8s7h6d5h2s KhTs5s5h2c QcJh9s4s2c 
QhTc6s4h2s QsQc8h8c3d KsJc6h5d3s AdTh5s3d3c 
Ts8h5h5c4s AdKs9h8d2d AdQh8h8c2c Ts8s8c5c3h 
Qc9s8d5c2d QsJc6h5h2c Th7h7c6c3d QcTc8c5d4s 
QcJc9d6s6h AdTd7s4c2h Td9h8d6d5s QsQc6s6d2h 
JdTc8d3h2c 8s6s5h4s4h QhJsTs9s2s AhJs8s7d4s 
JsTd4d3s3d Qc9s6s4c3h 9d6s6h5d4h KdJc6h5s3d 
As9h6h6c5c QsJsTs6s6d AsQdQc7s2s QsQcTc6d2c 
9d7d7c6h3h As9d4s4c3c Kh9c7h6d2c QhJhTh7h4d 
Ts9c7h4s3h KdQhTd8d5d JcTdTc6h3s ThTc9d8d5s 
8h8c7d5d3c KcQhJc9c2s Kd9c5d4s4c 8h7d5c4h3c 
QcJc8d4d3d Ah9h7h4c3c 8s8h5c4h3s Qc9d8c5d2h 
TsTh8c7d4h KsTs9c3c2c Ks9d5d5c3s Qh9d8h5d2d 
QhQc7h4s4d Ac8s5c4h3d KsJd5s5c4h Jd9h7s7d4s 
KcJsJh7d3c AsQc5d5c2d Js8s8c5h3h Qc9s5d5c4d 
Ah9d6s6d5s Td8c5h4h4d QhTsTh9h2c AdTc7s6c5c 
QcJdJc7s4c 9s8s6h6c4h JdTc9s5d3d Th8s7s6h2c 
AhQh8s8c4h TsTd6h4d3h Ah9h7c5s2d JdTh7h3d3c 
KsTs7h7d4c QdTc9c6h4c QsQdJsJhJc AhKhTh2s2c 
QhJcTc9c2c AcQs7c6c3h Jc9s7h6d5d Jd7h5h5c4c 
8d8c6h4c3h 8s8c7c6c5h Jc9c8s7d5c Kd7c6c5h2d 
7d6c5s5d3c Ah8d8c7d5s Td8s6s4s4d KhJd9c5d2c 
Ah6h6c3s3d KhJh9h7s5h Td7s7d5s4d JdTc9c7c4h 
Kh9d8d7c6d KdJsJc5d2h JdTs9h4s3c Ac5s5c4c3s 
KsJhJd7c3s KdJs8h8d2h KhJcTs8c2d QhJd4c2h2d 
Ts9c6s5c2d Qh9d5h5c4c QhJd8s6h4h 8h8d6d4s3s 
QsJs8d5s4c QcJsTc8h3c 9c7d6h6c3d JsTd6s5c2c 
QdJh7c4h3c QsJh9h2s2h KhQsJd7d4c QcJc8h5d4c 
QcTc8d7h4c Ac7h5s5c4c QcTh9d7d5d AhJh9h6s4c 
AdKcTc7s2c KsTs7h4h2c Tc9s7s6d2c Qc9c7s6s3c 
AcJh8d6h3d Ah8d4h4d2s Th7d6c5h3c KcQs7s6c2c 
AsKs7s5h2c AhJd8s4d3s 9h8h6c5h3c 6s6h5s4d3h 
As7s6s5c3d KdJs6h6d5d JsTc6s5s4h Tc8d8c5d3s 
Js9h8c7d5h TsTh6h4h3s 9h9c8s6d5d QcTsTc7s2c 
QsJh9s7h2s TsTd8h4s2d QhTs9d8c4s JhJd9s7c4d 
AhTd6s6c3h JcTd7h6d4d QhTc8s5h4h Kh7c6c5d2h 
QsTh8s7s5d Ts5s5d4s4d As9s9d8c4s QsQcJhJdJc 
Ac9h8d6s2c KcQs4c3c2s Qd7h5d4h3c AdQc9h6s5s 
QsTc8s7s5d QhJs9d7c5d KhTd8c6s5d QdJd9c6d2c 
8s8d6s6h4s 8s7d7c5c3s Qc8s7h6c5c TsTc8d5s2d 
KhKdQd6d2d KhQs9h8h6h Ts9c8h8d6s AsQc9d6h5d 
QsTdTc9s2s QsJc9h5h4d Qh9d7s6h5h KcQd9h6h5s 
Qd8s6c5s2d Qs9s7c6c3s JcTc6h6c3h Ks9c8c6c2s 
Ad6s5c4h2d KsTc5c4d3d 9s8s6c5s3c AcKsQh4h2h 
9d8s7d6s3s AsJs3d3c2d AhQcTc5d2s As8s5s5c2c 
JsJc8c6h2h 9s8s7c5c2d AsKd8s7h2s KsJd6c5h3s 
KhJc9d8s4h AsKhJd5d2c KcTd9c6h6c Jc9c8s7h3s 
AsQhQd7s2s AdKc4s3h3c AcKs8h6d4h Kd9s9d5s2h 
AcThTd6s5d Kh9h8d8c4c QsTc8c7h4d QcJh8d6c4c 
Th8h5s5c4s AsKh6h5c3h AhJcTc5c3c KdQdJh2s2c 
Tc9s6c5s2d Ah9h6s4d2d Kc9d5d4h4c Kd9c5c3s3d 
Qs9s8h7h3d KcQs9h6s6d KhQcTs6d2h QcJc6s4c3s 
AcJdTs4s3s AsTc7h6s3s Kh8d7s4h4d Js9h9d5s2h 
Th9s9h4s2c KcQsTsTd2s QsQdTh6s2s QsJh8s6d2d 
AhKh4c3s2d Ah7c5d5c4d Tc9d7d6h2c AcJc7d4s4c 
Ac9d8c6c4h JdTh9h6s6h Qc9d9c7d4c Th9s8d6h6c 
JdTs9d8d2c As9s7d5c2h AdJsTh6s3c AcJsTs7d2h 
QdTc7s6c2d AsQcTc5d2h JcTd6h6c5s KdJs9h4h3s 
KdTh9d6s6d Td9s9d8d6h 8d8c7d6d5s KhKd9c8c2c 
AhTsTd6c5d JdTh9h7h4c KhJs7c3s3h QhQd8s8d2c 
Jh9d8c6s5d Ah6s4h3s2c JcTh5s4d4c Th9d7s4h3s 
KsQc6s6c2s Kd9h8h7c6h Th7h6d4d3c AhTsTc6h2d 
AdQc8c7c4h KhQc9s9d5h QdJc9c5c4s Tc8d5h4h4c 
AsQd8c5d4d Qs9c8s7c3d AdQd8h5c3d Jh9h8d7h7c 
Tc8s7s6h3h Kc9h7d6c2d QhQc7s5d3h AcThTd9h3h 
AsTd8c4c3d AhJs5h5c4h Ac9h6h6d5d Jd9h9d6s5c 
AcKd9h4h2d JsJc7c4s3s As4h4d3s3c KdQd9c4d3c 
AdJs5d4h4d Ks9s6c4d3d AdJs8s8h6s Th9d7d6d5s 
JhTh9s7c3h Jh9s5h4c3s Ac8s8d7s5h AcJh8s4h3s 
AcJd6d5s3s KdTh8s7c5h KdJd8d7d5h KhJd9s4d3s 
9h8c7h5c3c AcJh8h5s4h Qh8s5h4s4d AsQsJh8s2s 
QcJc9s6h6d AdQsJc6h6c KsQs6s5c2c AsKhJh6h3c 
Kd6c5c4c2d KcQh9c5s3d KsKcJs3s2s AhKs6s5c3s 
QdJs8d8c3c Kd9s7c6d2s AsThTc9d2h KsJd7c3s3d 
KsQc9h9d5s 8s8c7h5h3c QhTc9h6d3h Ts9d7c6h4d 
