8d8c4h3h2s 
AcQh7s3h2h Jd5c4s4d2d AdQh6c3s2s Qd6h4d3d2c 
Td7h5h4h2h As9s6s2s2h Th8h7c3d2h Ah7c5s3d2c 
8h8c3s3d2c Kd7d7c2s2d Qc9h5d2s2h 8d6c4h3s2s 
Tc8h5c3d2c Kh9h6h3s2h Ac6h4s4d2s Kc9c5c3c2s 
AdJc7h3h2s Jh8s5d3c2s Jd9c4h4c2s Kc5s3c2d2c 
Ts6h4s4d2s Tc7h6h2s2d Kc7c3s3c2s AdQc6h3s2s 
8c6s5s3s2s Qd7s7h6c2h 9h9d3s3c2c 9h5s4d3h2c 
AdQh7h3s2h Kc4h4c3d2c Ts6c4s3d2h Qc9h6d3h2h 
9s9h9d8s7h QsJsJhJc2h Js5d4s3s2h 9d5h4d3s2c 
QsTs7s2h2d Ad9c5d3d2d 9d7h4c2s2d AsJs6s2s2c 
8c4d3d2h2c 9c8s4h3c2d KdQd7s2d2c Th4h4c2s2h 
KhQs7h3d2h 5h4s4d3c2h Kc8h4h3s2s KsJh8h3h2c 
9d6s4h4c2d KcQc8c7c2c Kc9c8c4c2d Ts6h5h3c2h 
AhJc7s2s2d 8c5s5h3c2d AdQd7d3s2d Qs8h8c4d2c 
QsTh3c2d2c Ks9s5s3s2c Kd9d5d4d2c Qd8s4h4d3d 
Jd7h6c4s2s Th7c6h2s2h Js6d4h3d3c 8s8d7s3s2h 
8c5s5h3d2c Qs9s7h3c2d KsKhKdJs2c Ts7h6c2d2c 
QhTc7d2s2c QcJsJdJc6s Kh7d6c4d2d Tc7s4d4c2c 
9c8c4h3d3c AdQs7c2h2c Jd8c4d2s2d Kd9d8d4d3s 
Jh6c4h4d2h QhTd7c2s2c 6c5c3c2d2c 8s7d5h3h2h 
Ac5s5h3s2d AdQh6s3s2s Kc8s8d4s3s Jc7d6d4s2h 
AsJs9h9d9c Kd9s5d3d2d Jh7d6c4d2s Jd7h4c3c2h 
Ac8h3c2s2c Kd8s4d3d3c Jc7s7d2h2c Kc7c6c3d2s 
KcQh8s3h2d 8s8d8c5d5c 9h8h4h3h3d 8c6s6d3d2d 
Jd6s5h3c2c Qs7h7d3d2h AdQc8s3s2s Tc6c4d4c3c 
Qh6s5d2s2c Jd9s7c4h2h As6d5h3d2c Jd6c5s3d2d 
7c6s6h3h2h Qh7h6c3s2d 6d5d3d2h2c Kd8d7d4d2s 
KdJh6s3c2s Kc7c6d3c2h Tc6s4d4c2c AcJs4d3d2h 
8c7c6c3s2d Qs7h6c4d2c 8s7s5s3s2h Ks9s5h4s2s 
As9h9c4h2d 7s5h5c3h2h Jc5h4s4d2s 8h8d4s3s2c 
Kh9c8d2s2d Ah8d5c3d2s QsTh7h2h2d Jd6h4s4d2d 
AcJd7d3d2s Qc9c5d3c2c KdJh3s3c2c 7s5d3h2d2c 
Qd7c6s4h2s 8h6d6c3d2d KhKdKcTh5s Ac8h4h4d3h 
Qh3d3c2s2c Th8c6d3c2c KcTs5s3s2s Ac9s9h4h2h 
Qc4h4c3d2s Js7d7c4c2h Td7d4d3d3c Jh7s7h4c2h 
Jh5s5d4s2s Tc5s4h3h3d Js7s3h2h2d Kh9s6s3d2c 
Ah7c5s3d2s Qc5s4s3h2d As9d7d3h2c Ts6h3c2h2c 
Tc6d5h2s2d Kd8h4d3s3d Ah8c4d3s3c Qs8c5d3h2c 
Kc9h5h5d2h Jc9c4d3c2s AhJd6s3c2d Kd8s5s5c2s 
8c5c4c2h2c Qd9s3d3c2h Qc6d5d3s2d Ts8d6s3h2s 
Js7s7c4s2d Kc8d5d2s2h Kc9s7c4c2c Kd9h6c4c2c 
8h5c4c3c2s Td5c4h3s3h Kd7c6d4d2d Js9h4h3c2d 
9s9h4d3d2c KcQh6c3c2c AsJd4c3c2c AdJh7c3c2c 
Qd7s5s4s2c QdTs7c3h2h Qh7h3s3d2d Qd7s3s2s2d 
Ks9h9d4c2h Jc9d6h3d2s AhQd7d3c2d Td6s5s3h2s 
Js5d4d4c3d Ah5d4c2s2c 9s4s3h2h2d AdTc3s3h2c 
Kh5s5d3d2c Jd7h6c4s2c 8d5s5c3h2d Qc6d4s4d3d 
Qd7h5c4h2s Qs8h8d4c2c KdTsThTd9d Kc7s6c3c2h 
Qh8h7h3s3c Th6h6d4h2h 9s7h6c3c2c Ts8s5s4s2s 
Jd8s7c2h2c AdJc6h3s2c Ac9d4s3s3h 7c4d3d3c2d 
9h5c4s4d2d Jh9c6d2s2c Kh8d4s3h2c AdJs7h3h2c 
Td7d5h3c2s Qc9c8d4c2c Ac7s6s4h2s Ac9s9d4s2s 
Kc9c8d4c2c 8d8c7d3h2d Jc5s5d4h2d Ad7s6h2h2c 
Jh8c4s4d2s Ts6h3d2h2d 8s6c5c3c2c Td8s5h3c2h 
Kc9c5d4c2c Th6d4s3c2h Qh7c4h3h2c 4d4c3s3d2d 
Jd9h6c4s2c 5c4h3h2s2d 9c7d5d4d2d Qh9h9d4h2h 
Ad9s5h3h2c As6h5d3h2c AcJc8c3c2c 8c4c3h2h2c 
Jh7d5h2h2c Th8d4s3c2h Qs8h8c4h2h Qs7d3h2s2h 
KhJs3d2d2c Qd8d4c3h3d KsJd7h2d2c Qh7d3s3d2h 
Qc9h7c4c2d QdTc3h2s2h 5s5c4c3h2c Qc7d6s6h2d 
Qs6d5c3c2h Th8d6s3c2s Ah8s6s6h6d Kd9h5h3c2s 
AcJs7s3d2s 5s3h3c2s2d Qc9c8s3c2c KdQd8s2h2d 
As7h4h4c2d Ks8d8c4c3c QdTh4d3d2d 9h8s4c2h2d 
QhQc7h3h2h As7h5h3c2h KhJd8s3s3c Qs9h5h3d2h 
Js7c4s4h2d Qh8s7d4c3c Jc7s7h4s2d As9d7d4h2c 
Jc7h7c2s2d Qs7h7d6s2s Ts7c4h4c2d 9h5c4s4d2h 
Td9h3d3c2d Ad6c4s4c2c Ad9c7h4s2c 9d4c3h3d2h 
Kd5c4c3c2h Js7h4d3d2h Ac9s7s2s2h Tc6h5h3s2h 
Ac7h5d3s2h Ks7d6s3s2h Ks5s4c3s2s Kc8s8c3h2d 
Qs8s5c3s2d Jh6c5h2s2h AhQh7h4h2h Ks5s3h2s2c 
JhJd6s3s2c Js8s3c2s2c 9d5s4h3c2h Qc8s7h4d2h 
Kd9c3h3d2s Qh5d3s3h2c Jc5h4h3h3d AcQh6s3d2d 
Qc9h8s3s2d Th9s3c2d2c AsJd7h2h2c Qh8s8d4c2s 
Ah9s4d3d3c Qs6h5c2h2d Ks7c6s3d2s Qh6s4s4c3s 
AcQd7h3h2s Qc9h9d3c2c Qc9s6h3h2d 8c5c4c3s2d 
QcTd4c3c2c Jc4h3s2s2h QhJc7d3s2c As5c3d3c2h 
Ad9s4s4h3s Ks9h8h3h3d Jh8s8d3c2h Qh8s8d4d3d 
9d6h4c2s2d Qh8h3s2s2h Ts6c5h3d2c Kd6s4s3c2h 
Kd9s9h9d7s 9c8c4h2s2d Ks5d3s2s2h Qh5d3c2s2h 
KhJc4c3c2c Jh7s4s3s3c Js8c5c3h2c Jh5s5h4c2h 
Qd8c7s4h2c AhQc6d3d2d Jh7c5s5d2d 9s4d3s2h2d 
Jc7h4s4d3d 9h5s5d4c2c Ks7d6h4h2h Jh8s5d3c2d 
8s5d5c3h2c 8s7c4s4d2s Qh7h5h4h3h Td5s3s2s2d 
7h7d3s3h2h KdTh3h3c2h Jc8s6c2d2c Qs9c8h3h2d 
Jh8c7s2s2d Kc7c6h4c2c Qh7h7d5h2h 6c5c3c2s2d 
Td6d5h3d2s Qc9c7c3h2d Js9d7h3c2d KhTh7c3h2h 
Qc8h8d4h2h 9s8c3h3c2d KsJc8h3c2c KdTh7h3c2h 
Qs9h9c3h2d Qs9h9c3d2d Ac7s6s4d2s Js8c5d3h2c 
AsJh7h3h2d 6h4s4c3d2c Kh8d4d3c2c Jh9c7c2d2c 
JdJc7h3s2h AsTd6c3c2h QhJd7s2d2c Qh8d6s3h2c 
Kd8s6d3c2d Ah8d7h3h2h KhQh7c2h2d Js7d6c2s2h 
Js7h6d4c2d Ac6s4h2h2d Jc7s7d6c2c Kh7h6s2h2d 
KcTh3h3d2h Qs8d8c4d3d Kh7h6d4h2h Kd9h5h3s2c 
Jh6s3c2s2h Th4h4d3d2h Ks8c7d4d2h Jh5c4d3d2s 
Qc9s6h3s2s 7s7c4d3d2h Jh9s6h3h2h Ts8s7d3h2s 
As8d7s3s2s QhTc7c3d2c Qs8c4c3d2d 8c6s4s3h2s 
Ts8h4c3s2d Jc5h4c3c2s Js8d5c3h2d Kh9s7h4h2h 
Th9h4h3h2c Qc9d8h3s2h 8c7s4d4c2c As9d6d4c2h 
Js5h4h4c3h Ks9h5s4s2s Qc8h6s2s2d Qh9c8d4c2c 
Th8s7h3d2h 8c6h4c3s2c Kc9c7c2h2d Qd8d5h3d2c 
As8d5h3c2d Js7c4h3h2c Ah5s4c2d2c Qh8s8c3d2h 
Kh9s6s4s2s 8h5s4h3d2h Qs7c3c2s2c 8h8c3c2s2c 
Kc8c4s3h3c 9d5s4h3c2s Kh7s4c3s3d QhTc7s3d2d 
9s6d3s3h2c Qs5h3s3c2d Qd9h6c4c2c 9s8s6s3s2h 
Js8c7c2d2c Qs6c5s3s2s Jd9s7c4c2c Kd9c5s5h2h 
Tc6d6c3h2s Kd7h5s5c2c 8d5d4d3h2s Qc9c7s4c2h 
Ks8s4h3s3d AcQh7d2s2d Jc9s4h4d2h Jc6h6c2s2d 
Qc9h5s3s2s 8h5c4s3h2h Qs9d5d2h2d Ad9c4s3s3h 
Kd9s8c4s3s 7d5s5c3d2d Th8s5s3c2s 9h4s4d2h2c 
Qd8c4s3c2s 8h6h4h3c2d Kc9s9h9c7h AsTd4h2h2c 
Qd6c5h3s2s 9s5h4d4c2d Jd5d5c4h2d Ac8c3h2s2c 
Qs7s7c3s2c 8h7h4h2d2c 9c8s4h4d2d Th7h5d3s2c 
Jd7c5s3h2s KsJs6s3s2h Jh9c4s4c2d Tc6s3d2s2d 
Jc6c5h3c2d Jd9h7c2s2c Js8s6s3s3h Qd7s6c4c2h 
Js7h5s2s2c 9h8c6h3h2h Ks7s6c3s2h Jc9c4h2d2c 
KsTs7c3s2s Jh9d4s4d2c Ts6c5h2d2c Ac9s9h4h2d 
Ac6h4s2s2d Qd8d5d4d3d AsTh6c3h2d As9s9h3s2s 
Jc7s6d4s2h Tc7d5c3s2c Kh9s8s3s3d Ac6h4d2s2d 
KsKdKcJh6d KsKdKcJh5d Ks9c6c3d2h Td7s5d3h2d 
Qh8s8c4c3c Kc6h4s3d2h KhTh7h2s2h Ts4s4h2s2d 
Qs9d6h4h2h Kh8h4c3h3d Js8h4s4c2s Ah7h3s2h2d 
Tc5h4s4h3h Qs8c4h4d2s Ts8c4d3h2c 8h7c6d3c2s 
Ts5d4h4c3d 8d7c6h3c2c 4h3h3c2s2d Kd6c4c3s3c 
Ad7s5c3h2c KcJd3s3h2h Js7d6d6c2h Td6d4d3d3c 
AsQc2s2h2c Kh7h5h5c2h Jc7h7c4d2c Kh9d7h4h2h 
Tc8h5d3d2d Jd7c4c3h2h Ah7c6c4d2c Kc8d5s5d2d 
Th7d6h3s2c TsTdTc9c6d KcQh7c3d2c AdJd6d2s2d 
9d8d6d3d2h Kd7d4d3d3c KsQs9s7s2s Jc7c3h2h2d 
Kh5h3s2h2c Qd7h3c2d2c Qs5h3d2s2c Th6c5s2s2d 
KsTd3d2h2d 9h4h3c2s2c Qh9h7h3s2c Jh9s6s3d2s 
Ac9h9d4d2d Jc7c6c4d2h Ad5h4c3c2c 8s6s4d3s2h 
8d6d4c3d2h 9h8h4d4c3h 7s4s3d2s2d Qd9c8h3h2h 
KhQh7h7c2h Jh5h4h3c2d 9s4d3d3c2s AhKh6h3h2h 
Ts7c4h2s2d QdJh7h2s2c KdJh6s3h2h Qh7s6d4d2c 
Js9c7d4d2d Jh9h3s3d2c Jh8d4h4c2h Qs6d4s3s2h 
Td6h5h3c2h Ts8h4c3d2h Th8c7s3d2d Qd9d7h2d2c 
Ac7h5h3h2s Kh9c5d5c2c Ks7c6s4s2s 8s4d3d2s2h 
Qc7c5s5h2c Qd7h5s4c2h Qs7d5c4h2d Qc7d3d2h2c 
Th8d7h3h2c Ah9s6s6c2s AdJs7h3c2c Jh5s5h4h3h 
9h5d4c3s2h Kd8d6c3d2s KsJc8c2h2c Qs8d7h4h2c 
Jh9h4c3d2h 5c4s4h3d2s Kd7d5s5d2d Jc6d5s2s2h 
Kc9s9h9c7s Js9c6h3s2s Td9s5s3s2s Ts7c5c4c2c 
Kc8s7d4d2h Js8s6c3d2h Jh9d7s2s2c Th6d5d3c2d 
Jd5d4d3s2h 8s5h4h3h2c KcJs8s3h2s Ts6c5s3s2h 
8d7d7c3d2h 8c7h6d3s2s 9h6c4h3s2d Jh5h4h3d2c 
Jh9c7s3d2s 9c5h4h3d2s Ks7h6c4d2c AhJc7s3s2d 
5h3s3h2h2c Qc6s5h3h2d Ad8d6d3d2h Jc5d4h4c2c 
AhQh7c3h2h Kh9h7s2h2c Qd9s6h4h2h Qc8h7c4c3c 
Qc6d5h3d2d Th7h3c2h2c Jc7d6s4h2d Kc6d4s4h2s 
Qc9s6s3h2s Ah9c3h2h2d 7c6c4c3h2s KhQc8s3c2d 
Kh9s4s4d3c Qh8h4s4h3c Ks7d4h3h3c ThTc4d3h2h 
9c8c6c3c2d Ts8d5c3h2h Ah9d7s2s2c Ah9c6s4c2c 
Ts9c3d3c2c 8h8d4h3h2c KsJd3h3c2h Qs9s5s2s2c 
Ts9c5c3c2c Js5h4c2d2c KcJh8h2s2h Js4d4c3c2d 
KhTd7s3s2s Js9d7d2d2c 9s9d9c8s7c Qc5s4s3s3h 
AsTd6c3d2d Qd8h6h3h3c 5h4d3s2h2c Tc8s4s3h2d 
Kh4h4d3s2h TsTc4s3h2s Jh6s5d2s2c Jd3d3c2s2h 
Js9c4h4d2d Qd7s7h4d2c Ac9s6s6d2s Qd9c7s3d2h 
AdTh6h3h2s Ts5h5c4h2d Js4h3s3h2h KcTs7h3s2s 
Kc6h6d4s2s Jd7d6s4d2h Qd7d4c3d2c Qd7h5c4c2c 
KsKdKcTh2c AhTd4d3s2d KsQc8s3s3h Jd8h8c3s2d 
Kh8s8c4c3d Ac9d6h6d2d Kd9d5d4d2s Js9h7h4h2c 
Td6d5c2h2d Qd8d7s4d3d Qd6h5s2h2c Kd9d5s5d2d 
AsJs6h3s2s Kd7s4h3s3c Th6s6h3c2d Th5s4s4c2d 
KhQh8s2h2c 9c7s4h4c2d Qs7s3d3c2c QsQhQc7h5c 
Qs7c4s3s3d Js5h4s4d2s Ks7s3s3c2c Ac8d4h3s3d 
8s8h7s3s2d Qc6d6c2h2c Ah8h7h3c2h Qh7s5d4d2d 
Jd9h4d3d2c KhJc8c3s3c Qs8h6d2d2c Qc7h4c3c2h 
AhTd5s3c2c Kh6s4s4c2d Qh9d7c3h2s Jc7s7h4d2h 
KsJd8h3d2d AhJc7s3d2d KdTd7c3d2d QdJs7h4h2h 
Qc8s6h3c2d Qs8s7s4h3s 9s5d4c3c2h 8h7d6h3c2h 
Kc7c6c3s2h Kc8s4d4c2c Kc7s6h4d2d Qc8c6c3h2s 
Jc9s4d3s2h Ts5d3d2s2d Qd5s4s3s3c Qs5c3h2s2d 
Ad8h5c3c2s Qc9h4c2s2d 6h5h3h2d2c Td9h5h3h2h 
Ts6s4s4h3s 8s8h3d2d2c Qd8d3h3d2h 9c8h7s3s2d 
Jh8h4d4c3h KsJsJhJc2h KsKdKcTs4h KhTc3c2d2c 
Jh7h6d4h2c AcJsJhJd7c Kd7c4s3h3c Th7h5s5c2h 
Qd8d6d3s2c Tc8h7d3s2s Qd8h7d3s3d Kd8s7h4h2c 
As5h5c3d2d As7h5h3h2c AhJc7d3s2s Tc9s3h2h2d 
Qh6c5s3s2s Kd7s5h5c2h Qs6d5h3d2c Tc7s5s5d2s 
Jc8s4h4d2h Jc6d4h3s3h Jd6d5s3d2h Jd7h6s6c2c 
Td7c4s2h2d Kd8d4d4c3s KsJs6s3s2d Jd8c6s3h2d 
Js6s4h4c2d Ks7h3s2s2h Qs8d6h3s2c Qd7d7c5d2d 
Qc8d7c3d2c Js5c4c3d2h Kc8s4h4c2c 9d4c3h3c2d 
Js7h6s4s2d Ts8h7h3d2c AdQc6s6d6c 5h4s3d2h2c 
Qc9c4s4c2h Jc6c4h4c3c Jd8h4d2d2c Qs8d3s2s2d 
Qh4d3h3c2s 9h5s4s3s3d Ad9h7h2s2h Td4s3d2s2c 
6s5s3d3c2s Ad8d6h3d2d Ad7c5c3h2c Qs9c8c2d2c 
8d7s7c3h2d Js9d6d3d2h 9s4c3d3c2d Qh6h4s4h2c 
AsJc7h3h2h 9h8c4d3h2s Jd7s6c4d2d Qh9s9h9c8c 
9d8d4s4c3d Qd8d7s3d3c Kd8d4d4c3h Tc6h5d2s2h 
Qc7s7c5c2c Qh8d4c3c2d Kh5d5c3d2s 9h7h5c3h2h 
Kh8h3s2s2h Qd7h6s6c2h AcJs7h3h2h 7h7d4c3c2c 
9d5h4h3s2c Ah6s4d4c2c Tc5c4d3s3c KcJc6h3c2c 
KdQd9d7d2d Qd7h5s3d2c 9h7s4d2h2c Qs7s6h3d2c 
Kc9d6s4d2d Kd9d5d5c2d Jc6h5s3s2d Qs7d3d2s2c 
Ks5h5c3c2d KsJs6s3h2s Ac7s3c2h2c Ac9h7h4d2h 
9c7s6d3d2d Ks8d7d4c2h Ts8h6d3c2d Td7s6h2h2c 
Ah8c5s3s2d Tc4d3d2s2c Kc9s9d4h2s QsJc7h7d2d 
8d5s5h3s2c Qh9h7d3c2s Kh8s8d4d3d 8c6d3s3c2h 
Jd8s4h4d2d JsTsTdTc6d Js8c4d4c2c Qd5c3h2s2d 
9h5d4d3s3d Ts5h4d4c3c 9h5s5c4d2h Ks9s8s4s3d 
KcTs7s3s2s Kc9d8h4d3d Ks8h7h4c2h Jc9h3s2d2c 
Ts6s5c2s2h Qh6h6c2h2d Td7c4s4d2d Jc6c5d2s2c 
Kc8d4c3h3c AsTs3s3h2s Qh9s5d3d2c Ad6c4h2s2h 
8c6d4c3h2c Qc7h4h4d3h Qs9s7c2s2h Jc8c6s3d2h 
9d8h4c2s2d Ac7c6s3c2c Kh8c5d5c2c 5h4s4c3h2d 
8c7s7h3d2s KsKdKc6s5s 8s5h4h3h2d Jd6d4s4h2c 
Jc7s7h4h2d Td9s8s8h8d Jh8c6h3s2d 9s6c4h3d2h 
Ks7c6d4h2h 5s4h3s3c2d Jd9h6c3c2s Jh6h5d3h2s 
Kc5s4s3s2h Kh9s9c4d2c Ah6s5s3s2d Tc6s5h3s2s 
7s5d3c2h2d Jd9s6h2s2c Js4d3s3d2d Tc7d3c2d2c 
AdQs6c3c2h Kc7s6d3c2c Qc8c6d3c2h 4s4h3c2d2c 
9d6c4h2s2d Jh7h7c4s2h QcTd7h3s2s Kc7h4s3h2s 
Ac7s5s3d2s 9d8h3s3h2c Ks7c4h3d3c 9s5h5c4s2d 
Qs6h5d3h2c Ac7h3c2d2c 8s8c4d3d2h Qh9h7s2h2c 
9d6s4h3c2h 9s6h4c3d2d ThTd4c3c2s Td7d5s5c2d 
JsJhJdTs9s 9c5s5d4h2h 9s6s6d3s2s 8d7h6c3h2h 
Qh8s4s3d2d As8c6c2d2c 9s6h4d4c2h Qh6c5s2d2c 
8c5s4s3s2h Td7h6c2s2h Jh5c4s3s2d Td8s5c3c2c 
9s7d5d4d2d Qc7d5h3c2s Kd9h4d2s2c AsJd5d3d2d 
Ts7s3d2s2d Qc9s9h9c8h Jd9s6s2s2c Js7d6c4h2h 
Ks8h5h5c2h 9d5s4c3h2d As5c3h3c2d AhQsQdQc7h 
KdJs3h2h2c 4h3s3d2h2c Th7s4s4c2d Qh7d3s3h2s 
Ks8c7h4c2d 9s4s3h3d2d 9d8s4h4c3s Js9d7d3c2d 
KsKhKc8s6d Qs7d5h4h2h KdTs7h3s2s Tc8d7c3s2c 
7h5d3s2d2c Qs9s5s3s2h 9s4d3d3c2c Ah8d5c3c2s 
Jc8d5s3d2h 5d3s3d2h2d AsJc9s9h9d AhJc7d2s2d 
As9h7h4d2h Ah7c3h2h2d Tc4s4h2h2d 9c6d4s3c2h 
Js9s7d3c2s Ks9h7d3s2s Td6h5d3d2s As6c4d2h2d 
AcTh6d3h2h 9s8s7s3h2c Jc8c4h4c2s Ad8s5h3s2c 
Qc6d3s2s2d 9s8d4h4d2d Js9h6h2h2c Qd6d4s3c2d 
AsQd7h2h2c Qd8d5d3h2c 6h4s4d3c2d As8h3d2h2d 
9c4s3s2d2c Ah9d4s3s3c QsJc7c2h2d Qd5h3s2d2c 
QcJc6d3c2c Tc6s5d2h2d Ts4d4c2h2d Qs6h6d4d2c 
QhQdQc9d8s Jh9s3c2h2d Qs9d3s3h2c Ts8c7c3d2h 
Qc7d5d4s2d 9c6h4s2h2d Kd8s7s4s2c Ah7c4s4c2d 
Qs7s6d4h2s Ts5s5d4c2s AsJd7c3h2c 9d8s3s3c2h 
Kh7c4s4d3d 9h6d4s4c2d Qh7d7c3c2d 9h8s4s4c2s 
Jd7h7c4s2h Qs7c6d4c2c Ah9s5d4s2s AhQs6d3d2c 
7d5h3s2h2c 8d4d3c2d2c Kc7h6c4c2c 6d5d3d2s2h 
Kd5c4c2s2h 6d4s4h3c2h Qs9d6c3h2h KsTc7d3c2c 
KhKdKcQs4c Jd6s5d2h2d AsTh4h3d2h AsQsQdQc3s 
Qs8h7d4c3c Tc8s7c3c2d Qc9d6s2h2d Qd8d3s3d2s 
Ts4d3d2s2d 9d5d5c3d2h KsJd6c3d2d 7c5h3s2s2d 
9c5h4s4d2s Td9h3h2h2c 8d7h6d3c2d Ts9c3c2h2d 
Qh7c6s4c2d Kd9s8s4c3s Kc9s5s5h2s Jd8s4s4c2h 
9h5d4s4h2h Ks9s8s4c2s Ts5h3s2s2h Jc9s7d3h2h 
Jh6s4h4c2h KhJc6h3h2h Td9s7s3s2s KsKhKcTd2s 
Qh9c6d3s2d 9d6c4s4h2h TdTc4c3c2s Kc9s5h3s2d 
Qd7s6c4s2h Qh9c8s3d2d Js6s6c4s2d 9s4d3h3d2s 
Ks9s7d2s2c 9h4c3h2h2c 8s7s4h3c2d AdJs3h2h2c 
Js8h5d3c2h Jc8d4s4d2h 9c6s6h3h2h Ts8d7c3h2s 
Js9d6c3s2s Jh4s4d3s2d 9s9h9c7s6h 8s7d7c3h2s 
Qc7d3s3d2c 7d7c4s3c2c AsQh8c3c2c Qc7c4s4c3h 
Qs9s7s3h2d Ts8h6d3h2h Jc8d5d3h2s 7s7d3s2s2h 
Qs6c3d3c2d QdTs7h3s2s Js7c6h4d2c Ks8c4d3s2h 
Js7s6d4c2s Qs6c4c3d3c Th8d7c3s2h Ks5h5d3d2c 
Kd6c4s4h2s Qd9c8s4c2c Ad8s4h3h3c 8s7h6c3d2d 
Qc7h3h3d2c Kd9h9d9c7h As9c7c2h2c Qh7c5c4c2d 
Th9c3h3d2h Qd8d5d3c2s Qh9d6d3d2s 9d8c7h3h2s 
Th8d6d3d2s KsKhKcQd4s Qs7h7d4c2s 8d4d3h2h2d 
TsTd4s3h2s Qs9h5s3s2s Qc9d5s3h2s Kh9c5d4s2c 
Th8s6d3h2h Qd8d6d3h2s KsJsJdJc3c Qc8h4d3h2d 
Th6d4c3s2h Qd8d5s3d2h JsJhJd9h6d 9c8d7d3d2h 
Ts8s7h3c2s 6s4h4d3c2d 8d4h3h2s2d Ts6c4d3h2s 
AdJc6c2s2h Qc7c3s2s2d Ad9s7h4s2s Js9c7c2h2c 
Jh7s6c2h2d Qd9c6c2s2h Ts7h4c2s2d 8d4s3s3d2d 
KcQd9d3d2d 7h4c3h3c2c 9d8c4h2s2c Ts8h5h3c2h 
8c6s4s3d2s Jd6d5c2h2d 9h8c4s2d2c Js7s3c2d2c 
8h5h4h3h3d Jd5h5d4s2d 8h5s5h3h2d KdTc7h3s2s 
Kh8h5s5h2h Jd7h4h3s3c Th6h5c2h2d Jd7s6s4c2h 
Tc5h5d4h2s Ks7s5s5h2s 5d4s4h3c2s As6h4d2d2c 
Ks6c4h4d2d JhJc7s3d2s 7s6d4h3h2h Qs8s4s4d3h 
As7h5c3d2h Kh6s6d3h2h Qc9h5d3s2s Kh9d5c2s2d 
Td5d4s4d2h 8h4s3s2h2d AsJh7h3c2h 9s5s4s4h3s 
Qd6h4d3c2d 7d6c4c3c2s As5s5h5d3d 7c5h3d3c2s 
9h4s3s3c2c Js5c4c3d3c KhKdKcJs4c Qd6s5c3c2h 
TdTc4d3s2d 8d5h4c3c2c Qd8d5c3d2h Ad8c4s4h3c 
Jc5h5c4c3c QsTh7h3h2c KdJs8s3s2h 9s6d4c3h2c 
8h7c6s3c2d Kd5s5c3c2h AcJh7s3s2s Th7c6c2s2d 
5s5c4d3h2h Kc7d5s5h2s AhJd7d3d2s 8d6h4s3s2s 
Kd9s8h4c2h 5h4d3d2s2c Ad8s5h3c2s Th6s4s4d2s 
Qh6d5c3s2s Qh9d8s3c2s QsQhQc7c5h Ad6h5c3s2c 
Qh7c5h2s2d Jd7d6d4c2h 7h6d4d3c2d Js5s4s3c2d 
Tc5h5c4c2d KsJsJhJd3h Qs6s6c2s2d Jd7s6d4h2d 
Js6c5d3d2h AhJd4s3c2s 9d5s5d4d2d 8h8d4h3h2s 
Kh9s8s4c3s Qh7d5c4s2d Td5d3s2s2d Jh7h6h4s2d 
9d6s4d3c2h KdTc7h2s2h Kh7h4h4d2c Ks9h6c4c2c 
KcQs8d3c2c Ah6c5c3c2d Ks9h4d4c3d Ah5h3h2s2h 
9s8s4d2s2c Kd8s7c4s2s Kc8c6h3c2d Kd9s8h4s2c 
Ah6c5s3s2s 7h6d6c3s2s Tc6h6c3d2s Qh9c4s4c3c 
9c6s4h3c2d Kd8s6c2s2h 8c7h6d3s2d Ad6s4h4c2c 
9d5h5d3d2s 9c5d5c4s2c Ts4c3s2d2c KcQd7d4d2d 
Kh8d6s2d2c JsTsThTd3h Ks7s6s3c2h Ah9s9d4s2c 
Td7c4h2s2d Th8c6s3c2c Kd8d5s5d2d Kd8d5c3d2s 
Jd9s4h4c2h Jd8d4d4c2h Qd5h5c4s2h QsTc7c3h2c 
7d6d4d3s2c QcJs7d2s2h Ts8c4h3d2c Qs9d6c3c2h 
Kd7d4s4d2h Ts4c3c2s2c 9h4s3h3d2d Js8c6h3s2d 
Jd7h6s4c2s Kh7d6c4s2c KhJsJhJc2s KhKdKcJh7h 
Jh9s7c3d2d Kh9h5s5h2h TsTc4h3d2h As7c4d4c2h 
Kd8h7s4c2c 9h6d4c3s2s AdTh4h3s2h KsKdKcTh2d 
Tc8h7c3d2c QcTh7d2s2h Kd8c4s3h2d 9d8d6d3d2c 
7c6c4c3s2h 9h5d5c4h2s Jd8h4s4h2h Jd6h6d4c2d 
Kc9h6h4h2h Ah9c4s4d3c TsTc4s3s2d Kd8h7s3d2c 
Kc8s5h3c2c Jh5c4s4c3c Kc6s4s4d2s Qd6h5s3c2c 
Ts6h4h4d2h Jh6c5d3s2d Ks9c4h4d3d Jc9h4d3s2h 
9d6d5d3d2d 7s5h5d3c2s Qh7h3d2d2c Td5c4s4h3c 
Ks7s6s3d2c Ac9h7s4d2h Jh7d6s6c2c 9s6d4s4c2s 
KsKhKcJd6c 8s8d3s2s2c Ah8h6s3h2h Qs9s7s3h2c 
Js5c4h2h2d KcTh7s3h2h Qd6c5h3h2h AcQs7s3h2s 
Jh9c6c3d2c AcJs6h3d2s AdQh6s3c2c 8c7s6d3s2h 
Ah7h6c3h2h QcJhJdJc4d Kh9s8c4s3s AcJd4s3s2s 
