9d6d3h3c2d 
Ad8s6s3s2h Qc5c3h3c2c Jh6c4d3c2s Jc6d4d3d2s 
9s9h9d5s5h Ah6s4c3d2s Qc7d5h2s2h AdJhJdJc7d 
Td8h3h2s2c Td8h8d8c6h Ad9s4h4c2c Kh7s7c2d2c 
Qs7c4s4d2s 9h8s3h3d2h KdQs8s8d8c Js8c6d3c2h 
Kc8d4c3c2h Qh6d4s2d2c 8h7c4s3d2d Jh7c6d3s2h 
8d7c4s3s2s Js6h4d4c2h 9h6h3h3c2h Js7c6s3s2h 
Tc5s5h3d2c 8d7d6d3c2d Td6d5d3c2d Ad6s4c3h2s 
KhTsThTd5d Ks7d6h3c2c Jd6c4c2s2c Th8c4h3h2h 
Qd7s5h3c2s Jd7h4c2s2c Ah6d3s3d2c Ts7s5s3h2s 
Jc8c4h3c2d Qs9s9h9d7d Qh7s6h3h2d Kc7c4d4c2c 
Qc7s5d3h2s Kd8h7h2h2c Qc9h7s4h2h Qd9c7c4s2c 
9c8d7c3c2c Kh8s5d3c2s Qc7s6c3c2h Kd4h4c3c2c 
KhQsQdQc5h Ad6s4h3c2h Jd7s6d3c2d Ts8s3s2h2c 
Ks8d6d3d2c JhJdJc7h5c Qd8h6s3c2h Ad6c4h3s2s 
7d4h3d3c2s As4h4d3d2d Qd5s3s3c2h Jc8c3s2d2c 
Js6h4h3h2c Ad9h4s4c2c Kc5h3d2s2h 9s8h7s7h7d 
Jd7c6c2h2c Kc8s4h4d2s 8d4d4c3s2h Jd8h3d2s2c 
Qs7h5d3c2c QdThTdTc3h Js6h4s2s2c Qh7h4h4c3h 
Th7h5c3h2h Jh8d7s3h2h Qc8c7s4c2c Js7h5s3s2s 
8h7s3s2d2c KdJh7s2s2c Jd7s4h3c2d Tc5h5d3s2c 
Tc8c5c3c2c Ks7c3s2h2d Kd9d3s3h2d As9h6c3d2h 
Qd6c4h3c2c Tc7d6s3d2d Jh7s7h3c2h QsJh7d3c2d 
9s7d4s3c2h Ks8h7h2h2c 6h4h3h3d2c Td8c7h7d7c 
Qd4h3s3d2d 9c7s4c3h2d JsJhJd3s3h Qd7s6s3h2c 
Jc6c4c3s2d 9c6h3s2s2d Jc8s4d3h2d 8s7h4d3d2c 
Th7h6h3s2h Ks9d9c3h2d Qs9h4c3c2c AcTh3s3h3c 
Jd8d6c3d2h Qs6h4d3d2d Ac9d6h3s2h AhJc6s3d2s 
Jh8d7d3s2c Ts8h7h3h2h Jc8h6s3h2h Jd6c4d3d2h 
7d4d3h2d2c 9d8s8d8c6s Kc7s5s3s2s 9h6h3h2h2d 
Qd7d5s3d2d Kh8d4c3s3d Qs5d4d2h2d Js5h3s2s2d 
Qs9d7c4d2d Tc5s5d3d2d 9d5d4d3d2h AsThTdTc9h 
Jd7h6h2h2c Ts7c4c3c2d Kc9h7h2s2d Kc4s4h3d2h 
8c6c3s2h2c Qc8d4s2h2d Js8d7s3c2s Kd8c3h2s2d 
Jd9s3s2s2c 9s8s4s3c2d Qh6s6c3s2s 8h4d4c3s2c 
As4c3h2d2c Qh6c3s2h2d KsKhKdQs4s Qd8h3s3c2d 
Ac8s8d8c4s 9c8c3c2d2c Ad7c4h3c2c 9c8d4s3d2d 
AsTd3s3d3c Kh8c5c3c2s Jd8d4h3s2d Qc6s4d3d2h 
Kd8s7s7h7d 9c8h4s3d2d Tc5h4s3d2d Jc7s6c2d2c 
Ah9c6s3c2c Kc4h4d3d2s Qd6h4s3s2c As8c6h3h2d 
Jd8s4s3h2c Ad7s4s3c2h As7s3s2s2c Ah7h7d7c3d 
Ks8c7s3s2h Ah5s3s2s2c AhQsQdQc2d Jh8d4c3s2c 
Jc8h4h3d2h 8c4h4d3s2h Jd9c3h3d2d KsKdKc5d3d 
Jc7c5s3c2c Td5s4s3h2s Jh8c6s3d2s 8c7h3c2s2d 
7c6h3c2s2c 9c6c4c3d2c Kc7s6h2s2d Kh9s4d2s2c 
Jc5s5h3s2s Kd8d3h2s2c 6h6d6c5c4d Jd8s7s7h7d 
Kh9c4s2d2c 8d5h3s2s2c Jh8d7d3d2c Qs6c4c2h2d 
Qh8h4s3c2h 8d7h3s3d2c Jc5h3s3d2c 9d5d3c2s2d 
7h7d7c5h4c 9c7h3d2s2h Qc7c4c3s3c Jh9d3c2s2c 
Qs7c5d3h2c Qs7s7c3h2d Jc8h3s3c2d Qh6d4d3d2s 
Qh8c6s3d2c 9s6h3h3d2h 9d5h4h2s2h 9d7d6d3d2d 
As9s3s3d2s Kh7d6d3s2c 8s8h8d6h5s Jh8c4d3c2c 
Jh7d6s3c2s Ah6s6d3c2s Jh6c4s3d2c Jh7h5c3h2h 
TsThTd9h7c 6h4h3h3c2d Ac9d5s5d5c KhQhQdQc5s 
Ts7h4s3d2s 7d6c3d2s2d Ks9h7h3h2d Qc7c5h3c2c 
Jd7h4c2s2h Kd9c3d2h2d Qc9s4h3d2s Td5c4c2s2h 
Qs7c4d3h2s Qh9d4c3h2h 9s9h4d3d2d Qc7d6c3c2s 
As6h6c3d2h Qd9d4s4d2d Ah9s4c3s2d Jc7d4s3s2h 
TsTdTc6s5c As6d4s4h4d Th5c4d3c2c QcJsJdJc8h 
Ts5s5d3s2s Tc7d4h3s2h Ac9s4h4d2s Kh7s5h3h2h 
Kd7s6s3h2s Jh8s7d3h2h Qc9c3d3c2h Qd6h6c3s2h 
Ks4s3s3h2s KdQs8c3c2c KcQc8d3c2c Jh5s5c3s2s 
Qd6c3h2s2d Jc7s3h2s2h Jh7c4d3h2s Ac6s4d3d2h 
Ks8h5d3c2d 6s6d6c5h5d Kd8d4s3d2h Jd5s5h3h2h 
8h7h3d2s2h Qh9h4h3d2h 9s9d4c3c2c 8d7d3h2s2c 
Tc6h6d3s2d 9c5h3h2s2d AhJh9s9h9d AcTs3s3d3c 
Ad6s6d6c3s Th7h4s3d2h Qc8s6h3h2d Jh6d4d3d2c 
AdTh3s3h3d Ts6c3s3h2d Tc5d4h3d2s Jd5s5c3h2c 
QcJsJhJd9c Qd7s4h3d2c 9d5d4d3d2c 9d7d4d2s2d 
Ts7h5c3h2h 9s8s4s3d2h Qd7d6d3c2h Kc8c5c2d2c 
Tc7c6c3c2s 9h5s4h3h2h Qs8h6d3d2c Js7d4s4h2s 
AdQsQhQc3s Qd8c7d3d2h Kc8d4s4h2s 9h8h4h2h2d 
Qs9s4h4c2s Ks7c6c3h2c 9h8s4c3d2s AhQsQdQc3d 
Jc7c6s3d2c QdJd7h3d2d As4h3s3h3d Ac7s7h7c3s 
Ad6h4c3c2c Th5s5c3d2c Kd9h8h3h2c Ad7s4s2h2c 
Jc6c4d3s2c As4d3c2h2d QsQdQc7d4s Qs8s4s3s3d 
Qd9c4h3s2c Tc8c5h3c2c QsJh7d2d2c 9d7h3h3c2s 
Jh5d5c3c2s Ks8s5s2s2c Qh9h3s3h2d QhTs7s7h7d 
Ah7s4c3c2d QcJs7d3d2h Ks7c4d2h2d 7h7d4h4d4c 
Ac8h7d3h2h QsJc7d3d2h Kh9c7s3d2d 7s4h4d3c2h 
Ah6s4c3d2d 9s7d3d2h2d Ts5c3s3h2s Qd7d6d3h2c 
Qh6c4d3c2c Jd8h4s3c2h Qs8h6c3d2h Jc8s5s3s2s 
Kc7d4c3c2h Qs9c4d3h2d 9d7s4c3h2s JsJhJd9d2h 
9h7s7h7d6d 7h4s4d3c2c Qd8s7c3s3h QdTd9s9h9d 
8c6c3s3c2c Qc9h3s3c2c Th6h3s2d2c Kc7s6h3d2h 
QhJc7d3d2d AdJh2s2h2d Qs9h3s2s2d Ad5s3s3c2s 
Qs5s3s3c2s 9d6d3d2h2c 9d7c3h3c2s KsKhKcTs2s 
9c7s4h3d2d Qh8d6s3c2s Jd7h7d3d2c 8s7s4s3h2d 
Kc7d5c3c2c Jh8h3d2s2h 5h4h3h3c2h Qd7d6d3s2h 
Js8d6h3c2c Qs7d4s2h2c Qc7s7c4c2c 7h4h4d3h2c 
Td7c5d3d2d Ah9c6c3s2c 9c7c4s3c2d Qh7c5s3s2s 
Kh6h3s2h2d As6s3s2s2d AhJsJdJc3h 9s5s3c2s2h 
Ts7h4s3s2d Tc7s4s3s2d Qs8d6s3s2s Qs8h8c3d2c 
8h7c4c3c2s Jd8c7c3s2c Ah9h4h4c2h Ts6s4s3h2s 
Qs7d7c2h2c Ah6s4s3d2s KcQc7c3h2c Kc8s6h3h2h 
Tc5h3s3c2c Qh9c7c3s2c Jc7h4d3d2s Qh7h4h3h3d 
9d7c4s3d2d Js7s4s3c2d Ah7s6c3d2d Qd7s5c3h2h 
8d6c3s3h2d Qh7s5s2s2c 9h7c4d3d2d Kd9h5h2h2c 
QhJh7h3h2c Th6s4d3d2d As9h4c2h2d 9h5s3s2s2c 
Td5s5h3d2d Jc6s6h3h2d Qs9d7h4c2h Kd9d4h4c2d 
Ad7s4c3c2h 9h6c3s3d2s Td5d4d3s2d Qh5d3s3c2d 
Kc8c3s3d2h 8s8d8c6h6c As8s4s3c2s As7c4d3h2d 
Qs6d4d3h2d Js7h4s3d2c Qh4d4c3c2s 9c7s4h3d2h 
Qd8c7h3s3c Jc7c6h3d2s 9d5c3s3d2d Jd8d3s2h2d 
Qh9d7c4c2s JsTd7s7h7d Qd7h7d3c2d Ah7c4c3s2d 
Qd8d4c3s2d Ks7d6d3h2d Js8c4c3h2d Ac6d4s3h2h 
Qc8s6d3d2d 7s7c4s4d4c As4d3d3c2d AhTc3s3h3c 
Ts8s4h3s2s Ks8c5h3c2c Jc5h4h3h2h Ad8d3s3d2d 
7s4h3s3d2s Kh8s6c3c2d 8h7c3s2d2c Jh8s4s3s2d 
Tc8d3d2s2d Th7d4c3s2c 7s4s4c3h2d Qc9c3c2s2d 
8s7s3d2s2c 9h7d4d3s2c Td8h3s3h2c JsJdJc6s5c 
Jc8h4h3h2d Jd5s4s2h2c QdJh7c3c2c 7d4c3c2h2c 
Tc8d3s3c2c Qd6s6c3s2s Qc9h7d4d2d 7s4s3s3d2c 
8c5h3s2s2d Tc7c4d3c2s Jh8d6h3c2h KcQh7h7d7c 
Th7s5d3s2s Qs7d5h2d2c Qd7c6c2s2c JsJhJc9h8h 
Td7s4h3c2s Qh8h5c3h2h KhQh7h2s2h 8s7c3h3d2s 
Js8c6h3d2d 8h7d4h3h2c 9d6d4d3c2d KcQh7h2s2h 
8s5s3s3c2s 8c3s3c2d2c Jd8d4d4c2d KhQs7d3c2c 
Ac6d4d3s2d Jh7c6s2d2c AsJs4s3s2s 9h8h4h3h2s 
Qc8h4h2h2d Qh8s7h3c2d Jd5h3h3c2s Td7d4h3d2c 
Jh7s6h2h2c Jc7s5s3d2s Qh7h6h3s2c Qs9d7d4d2h 
Ad7h6c3s2s Qd7s7h4s2s Td5h5c3d2d Qh9c3s3d2h 
QdJs7s3c2s 9h7h3h2h2c 7c4s4d3d2h Ad7h6h3s2h 
Kh8d4s4c2d Kc8s5h3h2h 8c7s4c3c2d 8s7d3h3c2s 
Jd4h3d2s2c Jd7d6s3c2d Kd9s4c3h2s Td7s6h3h2h 
Ad8s4d3d2d Js8s7s3s2d Ks9c7h3h2h JsJhJd9d2s 
Jd9s3h3c2s Kd8s7s2s2h Qd9h4h2h2c QcTsTdTc2d 
Qd8c5c3s2c Ts7h4d3c2d Th7c3s3d2h Ts8h3s3c2s 
Kh9d8d3d2d Ts5d4d3c2d Tc5s4s3s2h Kh8s4d4c2d 
Jh5s3s3d2c As9s4s4h2s Jh8d7h3s2h Jc9h3h2s2d 
Js7c4s3d2h Js3s3h2s2d Ad8c6h3c2s Ks8h4d4c2c 
As8d7d3d2h Qc8s7c3c2h 8c5d3h2s2c Jc8c4h3c2s 
QhQdQc6d3h Jd7d7c3h2d Tc7h6s3s2d 9c8d4h3s2c 
Ah8h3h3d2h Qc7s4d3h2c Qh6s6d3c2c Jd7d6d4h2d 
QdTsThTc8s Js5s3h2s2c Td5s4c3s2h Qd7s6h2h2c 
KcQh7s3d2d QhQc3s3d3c 8s7c3h3d2c Ks9h7c3c2d 
Ks9d7h3d2d 9h9d9c8c6d Js7h5d3d2d Qd9h7s4s2s 
9s8c3h3d2d Ad6s6d6c3c Qs7d5s3s2s Ks9h3s3c2s 
Ks9c7h3d2h Jd9c4s3s2s As8h6d3d2c Kh4h3s3h2h 
Kd9c6c3c2c 9d3s3d2h2d 9c7h3s3d2c Th5d4d3s2d 
Qs9d4d2d2c Qs9h4h4d2h Ks8c6h3c2d Ts7c4h3c2c 
JsJdJc3d3c Ah9h4h3c2h Jc7c6c3s2d 9h7s3s2d2c 
8s5h3d2s2c Kd7s6c3s2h Kc7d4h3h2s 9c7c5c3c2c 
KcQd7h3h2h Qd9c4h3h2s Qc8h6c3c2c Tc7d4s3d2h 
Ks8c5c3h2d Qd7s7d2d2c Qh9h3h2s2c AdKs4h4d4c 
Jd5h5c3s2c Qd9h7c4c2s Tc7c4d3h2c 7c4h3s2d2c 
KsKhKdJc6c Js7d4c3s2h 5c4c3d3c2c Qh7h6h2s2c 
8c4s4h3d2s Td7c6c3s2c 9h8h3h2s2d Qs7s5s2s2c 
KsKdKcJd2d Th7d4c3h2h Qd8s8h3h2c Qd9c7c2s2h 
Ks7d6c3h2c Ks4s4d3s2s Ks8d3c2s2h Kd7c3s3h2d 
6s6d6c5s4c Qd6h3s3c2d As8h6h3h2d Jc7d4s4h2h 
Qd4s3d3c2d As7d4h3d2d Kc9s6d3d2d Th7h6h2h2c 
Ts6c4s3s2s AsQs7s3s2s Ad6s4h3h2h KsQs7s2s2c 
Ad6h6d6c3c 7h4h4c3s2h Ac8d4d2h2d Td7c5c3c2c 
Kd9d7s3d2d 7d4h4d3c2d 8d5s4d3d2d Qc8h4h2s2d 
Kd9c7h3s2h Kh9s5s3s2s Qd5s3d2d2c 8h8c6s6d6c 
8h7d4s3h2h Kd8h5s3s2s Td6c4c2s2c KsQc7h3h2d 
Kd8c6c3s2h 9d8c4h3s2d Jh7h4h4c2d Qh9d3h2s2h 
Th7c5d3d2d Tc7s4s3s2h Ts7c3s3d2h Jh8s3h2d2c 
Ad6h3c2s2h 8s5h4s3s2s Td6s6h3c2c Qc7s6c3d2c 
Ac9s4s4d2h Jh8h6d3h2c 7h4s4h3d2c Js4s4d3s2c 
Qd5h5c3h2h Qh7h5h3h2s KhKdKcJs2s Js8h7h3d2h 
Qh8h7d4h2h Th6h5h3c2h 9s5h4c3c2c Qd7h5h2h2c 
As9d6d4d2d 7c6s3s2s2h JdThTdTc8d AdTsThTc9h 
KsTsTdTc2d 9h7c4d3s2c Qd8s3h3c2d Qh7s6c3h2h 
7s7h7d5h4s Kh7d4s3c2d KsKhKd5c2s Jc7h6s3d2c 
Kc8h4s3c2c Ah8c6c3c2d Ad8s5h3c2c 8h6h3d3c2h 
Kc7d4s4d2h Kc7h6d3s2d Ac6h6d3d2d Qh7c6d3d2s 
Js6s5d3s2s Qd6h3d2s2c 9c7s3d2s2h Jh8c7d3c2s 
Js5c4c2h2d Ts5h5c3h2h 7h4d3s3h2h Qc9c7c3h2c 
Qh5d3h2s2h AcTsTdTc5h Jc5d3c2h2c Ks7s3d2h2c 
Ah5d3c2s2c Qd9s7c4c2h Jc6h4h2s2h Qd4d4c3s2d 
TdTc5s5d5c KsKdKcTd2d 8h7s4h3d2h Qd7s3c2s2c 
8c7c4c3d2h Td5s4h3h2h QsJc7h3h2h JsJhJd6d5h 
Td5d4s2h2c Qs7s4s4h3s Ks8h6h3h2c As6h6c3h2h 
Js7d6s3s2c 9c6h3s3d2d Jd7d6s3c2h Qh8d6c3s2d 
Qd9d4d3d2h Jh6h6c3h2d Qh9d3d3c2s Kh5c3s2s2d 
8s4s4c3h2d Ac9d6h6d6c Td4s4h3d2c Js5c3d2s2h 
Th8c7s7h7c 8c7h4h3h2s Js8d7c3c2h Qd8s6h3c2h 
7c3d3c2s2c Ah8d6c3s2d Qc6c4c3c2h Ts7s5d3s2s 
Qd7c5c3c2s Qd7c5c3h2c 7h7d7c6c5d 8c5c3s3h2c 
Jd8s4h3c2h Kc6d4s3s2s 8c7h4c3c2s 8c5s3s2s2h 
Ac7c3c2d2c 9s6s3s3d2h 7h6h4h3h2h KsKdKcQc4c 
Jh4h3s3c2d Js7h4d4c2c Qd4h3d3c2d 9c7d4s3d2d 
Ac8s7h3s2s Kh9s9c3c2c Ts5s4s2s2d 7h6s6h6c5c 
KsQs7s3c2s Kd7c6s3h2s Jc7c6d3c2h KsQs8s3c2s 
As9c5c3d2c 9d8s3s2s2c Qs7h5h4h2h KsQs8s3s3d 
Qc9s7s3d2h 9s8h4h3h2c Ah9h3s3h2h Qd9d3h3d2s 
KhKdKcQs5s 6c4c3c2d2c Kd9h7c3c2c KsKdKcQh2h 
Kh8h7h3h2s 8c7s3h2d2c 8s7d4d3d2c 9s7h3h3d2h 
9h9d9c6c5h Qh9d7d3c2d 8d6c3s3h2c 7s6s3s2d2c 
Kh8h4d3c2h 6h4h3h2h2d KsTsThTc5c Ac9s9d3s2s 
Qc7d3s3d2s Ad8c6c3c2s Ts5h3h3c2d Qc7c4h4c3c 
9h7d3h3c2s Qd9s4s3s2c Kd7s4s4h2s Ah9d6d4d2d 
Tc5d4d3h2d Qh9c4d3s2d Ac8d6s3h2d Qh9c7c4c2d 
Ks8s4s4d2s Ac6c3d3c2c Qc5c4s3c2c KsKdKcQs6s 
Jh7h6s3d2h Ac7h4h3s2d AcJs2s2h2c 8c5d3c2s2h 
QcJsJhJd8s Jc5s4d3d2d Kh9d7d3d2s Jd7s6d4d2d 
Qs9h4h3h2d 8c7c3d2s2c 8d7c4c3s2h Qh5d3c2s2d 
Kd6c4h3c2c Kc4h4d3d2d 7d4h3s3c2d Qs7h5s3s2s 
9h7c3h3d2s Kh9h3s2h2c Jc7s4c3d2h Ad9h4d3d2d 
Ks7c4h4d2c Qd6h4s3h2h Jc7s4h2h2d Ad6d3d2s2d 
Qc6h3c2s2d Qd9c7s4h2h Qh6s4d3s2s Jh7s6s2s2d 
Qh7s4d3h2c KsKdKc4h2s 8h7d4c3c2c Ts7s4c3s2d 
Qh9h4h4d2h Ks7h7d3s2s 9s7s3s3h2c Qs7s4c2h2d 
Jc8c3h3d2s 9s7s4s4d2s 9d8c4h3s2h Kc8s6s3h2d 
Qh8d7h3h2c Ks7h3d2s2c TsThTd5s5h KhQc8s2s2d 
Qd7s4c3d2h Jd8c7h3h2s 9d8d4h3c2d Qh5c4c2s2c 
8s7s3h3d2c Jd7s5s3s2h Qh6h3h3c2d 9d5s4d3d2d 
6c4d3s3d2d 9s5c3d2s2h Ks8d5c3d2d KsKhKdJs6s 
Qh8h8d3c2h 9s7d3h3c2h Js6d3s3c2h Jd8c4c3c2s 
Kd8d7s3d2c 5d4h4d3d2d JsJhJd7h5s 7d3h3d2s2d 
Ts8d3d2h2c Jd9d6d3d2d 7d4s3s2s2h QhQdQc6s6h 
Kc8d6h3h2h Ad4s4h3c2h Ts6h4h2h2c Ts8s4s3h2s 
Kc8c6c3c2d Qc8c4s3c2h KhQs6s6h6c Th6h3h3d2s 
Qc9c7c2s2c JsJhJc9h2c Qc8d3s3h2c Kd8s6c3h2s 
Qc8s6s3s2h As6c3h3c2d Js8h6h3h2d Qs8c4d2h2d 
Jc7h6d3s2c 8d5c3d2h2d 7c4d3h2s2c Td8c7d3d2d 
Qs6s3s3h2d 6s4c3c2d2c Tc6s4h3h2h AhTsThTd7h 
As5h3s3h3c Qh6s4s3s2c 8s7d4c3h2s Qc9d4s3s2s 
Jh8c4s3c2c Qd5c3s3h2s 8d7h3s2s2c Jh3h3c2h2d 
Kh8s5c3d2s Js6h4c3c2d 8c7h4s3d2h Th7h4h3s2d 
Jc8d7h3d2d 9d8s4s3h2s Qd7d6d3s2c Qd8s7d3d2c 
Ts5d3c2s2h Jc7c5h3c2c Jc8c3h2s2c Qc7s4c3d2h 
Qd6s4s3s2h Ks7d6s6d6c Js9c6c3c2c 7h4h4d3h2s 
KcTsTdTc2s Qd8c6d3d2d 8d7h4c3s2d 8s7d4h3h2h 
Ks7s4s2s2h QdTsThTd2h Qc9s7h2h2d Qc7s7c2d2c 
Qs9h7c3h2h Jh6h4s4h2h Qs9h7h4d2h 8d5d3c2h2d 
Qd9h4c3h2h Jh9d7d3d2d Td5h3d3c2d Qh7d7c3s2h 
Jh8c7c3s2c 7s6d3d2d2c 9d7d4d3c2d Qd9c7h3h2s 
Ts7c6h3d2c 8s7h3h2d2c Kh8d3s3c2h 6s4s3s3c2h 
Kh8d7h3h2s 9s5c4c2d2c Ad9s4s4c2h 8c7s4h3d2s 
9s9d9c6c5d Ts7c4d3s2s Jd5d3s3d2h Qh6c4d2s2d 
TsTdTc9d8d KdJd7d3d2h 8c7d3s2h2c Kh7s7h3h2c 
Js6c4d3c2h 8h7d3h2s2c Qd9s3d3c2d KhQd7s2s2c 
Ks8c7c3h2d 8h6c3s2d2c Jc7d6s2h2d Ah7s6s3d2s 
Jh5d4s3s2s Tc5h4h2h2d KsKhKcQs6s 9c3d3c2s2c 
Kc8s3h2d2c Ts6s6h3s2s Ac6d3s3h2h Qd8c6c3h2c 
Ad7h7d7c3c AcJd6h3h2h 9h7d3c2s2c QcJd7d3h2d 
Qc9h4h2h2d Th6c4c2d2c 9c5c3h2s2d Jh4h3s2d2c 
Kd6d3c2h2d KdQh7s3s2c Ad8s4s2s2c AcJh2s2h2c 
Ts6c4c2d2c Tc6d3h2s2c Kh7d4c3h2h Qh8s6s3s2c 
Tc7d5d3d2d Qd9s4s2h2c Jd8d8c3d2d Ks9h7s7h7c 
8c5h3h2s2d Ac8h7h3h2h Qc6h6d3s2d Qc8d4c3h2c 
Qh8s6d3c2c Qd8d5s3d2d Jd6c4c2s2h Kc8h5h3s2d 
Jh7c4d2s2c 9d7s3d3c2h Ah7c6d3s2c Qs9c7c4c2c 
QsTh7s7h7c 9d6d3s3d2d Kh8s6s3s2c Th5d4h3h2h 
Tc7c5c2h2c Qc9d4h3s2d Js6c4h2d2c 9d8s4c3h2c 
JsThTdTc7h 9s8c3h3d2h Qd7d6s3d2h QhQc4s4h4d 
AdTs3s3d3c KsQd6s6h6d Qs7h7d4d2d Js8h6d3d2d 
9d8s7s7d7c Kc9c4s3c2h KhQc7c2d2c KdJd7d3d2c 
Ad6d3d2h2d QsTsThTd5d Ac7s7d7c6h Kc8h3s2s2h 
Qh9c4s3d2s JcTh9s9d9c 9d8d4d2s2d AdTc4h4d4c 
Kh8d4s4d3d Kc9h7h2s2h Ts8d3h3c2c Ks6d4h2h2c 
Qd8s4h2s2c Ks9h5h2h2d Jc4s3h3c2d 8h3h3c2s2h 
KhQs7s2s2c 8c7s4s3s2h Ac9d4s4h2h Jd7d4h3c2s 
5s4d3h3d2d Kh9s7d3c2c QcTsTdTc2s QsQdQc6s3d 
Qh7s7c4d2s AcTsThTd9s Ad8s6c3s2h Jd7d5s3d2d 
Td7c4s3h2s Jc4s4h3d2c Kc9s4h4d2h Js5c3h2s2d 
Ks8h6h3h2d Qs7s5s2s2h Ks8s5h3s2s Qc9s4s4h2s 
Ah6d4s3d2d Ad4h4c3s2s JsTh9h9d9c Th4d4c3h2s 
Qc7c6d3c2h KcJsJhJd9h Js8s5s3s2s Jh5s5c3d2d 
As9c4d4c2h Jh7c6s2s2d Qd7h7c4c2c Qs8c4h4d2h 
Jc7s7d3h2s Qh7c4h2s2h Ah9c4d4c2c 9h8c4s3s2s 
Qd7c5c4c2c 9c8c7c3c2c Kd8c4s4c2c Jc8h7d3c2c 
7s7h7d5h4d Js7s6s4s2s Jc6h4d3d2s Kh4d4c3s2c 
Th8d3d2s2d Js9h7h3h2h KsKdKc7s5s Qc6d4d2s2d 
9d8h4s3c2s 5d4s3s3c2s Qh7c6c4c2c QdJd7d4d2d 
Js7s6s4d2s Qd7s5c3c2c QsQdQcTd6h Kh8h3s2d2c 
Kd9s9h3s2s Qc7d5d2s2d Ks8h5d3h2c 8h6s3s2s2c 
Ks7c4h3h2d KcTsThTc4s 8c7d4c3c2s Ks8c5d3c2h 
7s4h4c3d2c Jd7d4s3d2h Ks8s6d3s2s 9d7h4c2s2c 
Jd9c3s3c2c Ts7c5h3h2h Kh8h4h4c3h 8c7s4h3d2d 
9d8d4d3h2c As6h4s4h4c Kd8h6s3h2c Ts7h4c3d2h 
QcThTdTc2d 9s5d3c2s2h Jh6d3h3c2s 9s7d4c3s2s 
QsQhQcTc6d Ks4h4d3d2c Kc9c3d3c2h Jh3h3c2s2h 
Ks6h4c3c2c Ks8h5d3c2h 9d5s3s2s2c Qs8d8c3s2s 
KcQh8h3h2h Ac9s4s3d2h Tc7d4h3s2d Jd8h7c3d2d 
9d5d3h2s2d Ac4s3h3d2h Ah4c3c2s2d Jh7d7c2s2c 
Th5s5h3d2h KcTsThTc2s 9h8c4s3d2s Kc6d4h2s2h 
Ac9d4s3d2h 8h7d3c2s2d Ah8s6d3s2c Kc5c3c2d2c 
Ts6s6c3d2s Qh8d4s2s2c Kh6d6c3d2d Qh8c4s4c3c 
8s6h3h2h2c 8d7s4s3s2c Kh9h4s4d2h Ad9d4d2s2d 
Ad7s7c3c2c Jh8c6c3s2c 8s6s3h3d2s 7d6s6d6c5s 
Js8c4d3c2c Js4h3s3c2d 8c5h3d2s2c KsQc7d3d2d 
Qd6c3s3h2d AcTc8h8d8c 9s7h3c2h2d Qc8d6d3s2h 
Ac6h4s3d2s AcThTdTc7c 6h4d3s3d2d As6c4d3h2d 
KsKhKc8d5h Kh7s5c3c2c Qs4h4d3c2d 8c7s3c2h2d 
Qd7h5d3d2d Js4c3h2s2d Th7c4d3s2d Td7h4h2s2h 
Qs4s3d2s2c Jc6c4h2s2c Qs9h3s3c2s Qd8h4h4c2h 
Js7h6s2s2c Ac6h3s3d2s 7h7d7c5s5c As7c4d3d2h 
7d6s6h6d5s Qs8s4d3h2s Jc4c3d2s2h Ts7s4c3s2h 
Qs9d7c4h2h Qd9h7c2s2c Qh7h4s3c2d QdJc7d3d2d 
Jc8s8h8c7s Ah9d6c3d2s Kc7s6h2h2d 9c7c4h3c2s 
Th7h4c3h2h 9s6c3h3d2d Kd6c4h2s2h KhQd7d2d2c 
8d7d4d3c2d Jd6c4d3h2d 9h8d4d3c2d 9s5d3d3c2d 
Ad5c3s3d3c Js6c4s3s2h Qc7s5c3c2c As6h6c3d2c 
8d7h6h3h2h KhTsThTc5s Jc8s3h2d2c Ks9h9d3d2d 
9s8h4d3s2s Jd7c3s2s2c 5d4c3s3c2c Ah4s3s3c2s 
Js7d4h2d2c 9s8s3s3h2d Qc8h3d2s2c 9c8d3s3c2c 
Kd4c3s3h2h Ad7h5h3h2h Qd7d4d3s3d QdJs7d3d2d 
9h7s4d3c2d Kh7d6s3c2c Tc6d3s2h2c Qh9c7c3d2c 
Qs7d6d2h2c 8c7h3s3c2d 9h8c4d3s2d Jc4c3d3c2s 
Td7d4h3c2d Qc9s4s3d2s Qd7d4s3c2h Qh8s6d3d2d 
Jd8s4c3d2d Jc5h3s3c2c 7s4s3d2s2c 6s4s3s3h2c 
TsThTd6h5s Qc5d4d2s2d Kd7h6s3c2h 8s8h8d7d5h 
9c8h4c3d2c Jd7s7h2h2c Kc7d6s3d2h Qs7d6c2h2d 
9c7c4s3c2h Jh8s4c3d2s 8s7d4d3d2h Qs8s6s3s2h 
Ac9s7s3s2s Js8s8h8d7h Kc8s5s3h2s 8s7d4c3h2h 
Kh7h6h3h2s Qs7h6s3c2s Qd9d3h2d2c Qc6s4h3s2s 
Tc8h3s2s2d Jh5h4h4d2h 9d6s3s2h2c Kh9h9d3h2h 
Qs7h7c4h2d Ts6s6c3s2s Ah5s3s2s2d Jc7d4h3s2c 
9s7s4d3c2s 9s7h4c3c2c Qh8c6d3s2s Ac6s6h3h2h 
