KdQd7s6d4h 
Jc9h7h5c2d Tc9c7d6d2s AhKh9h9c6h Ks9c6s3h3c 
KhKd9c5c2c JsTs6s5d4h AcTh9h8d4h QcTh8h3s2c 
Qc9d7d6s5h QcJd9d7c2d KhQs8h7c3c Kc8s6d6c3d 
Qh9d8h7s2s QsJs8d8c5h QsQh9s4c3d JsTh6c5h5d 
KdJdTs8c2d 6h6d5h4c3c KsTs9c8s4h AcJd7h7d5d 
Ad8d5s4d3s Ks9d7c5c2s Ac9s6d2s2c KdTh7s4s4h 
KcQs7d5h5c AcQs8c7c4c Js7s7c5h3h KhQc6s4h4d 
KsTdTc9h5h QdTc4h4c3d QdTd8s6d4d Kh9d5h5d4d 
AhJh7d3c2c QsTc8c2s2h 9s9c6s4c3s KdJhTh4c3h 
AsTh7c4d2s Ad8h7s5h3s Jh9s8h6d2s As9s5c3h2c 
Kh9d6s3h3d 8s7s6c4d3d KdTh9h7c4s KsKcJh6h2h 
KdThTc5s4h Qs9c8s8h3c 9d6h5s4h3d Th9s6d4s4d 
AcJsJd7h3d Jc9h6h6d3c KcQhJs4d3s KdTd7h4s2s 
KcTh7d4d2c KdKc8c7c3c AcQdJc8c3c KdJdTh5d5c 
Jd9d8d7s5h Jd9h5h4h4d Ad8h7c6s5h KsJsTh8d2s 
AhJh6s5d3h AdKh6c5s2h Td8d8c4s3c JsTs9h5s3d 
AhKsJs8d2s Qc9s6d4s4c Kc7s7c6c3s JsTh8s5d5c 
JcTd9c8c4h Qd8s6d5c2s AcKh9s7d2h QdQc9h6h4h 
Kd9d7c6c2s AsKc8h5c2d AhQcJh6h2d AsTc9h8h4h 
AsJhJc7h3d KhKc8c7c3c 6s6h5s4c3c QcTs8d7c4c 
9h8d8c6c3h QhTh9h4d2d QcJd9s8d5d QsQd8c5d3h 
KsQs9s7d7c AhKhJs6h3h Qs6h5h4s4c KsThTc9d3c 
QsTs8d8c4h QsTc9c4h2h Qs9h8c6s6d Js9s9h4s4h 
9d6s5d5c4c AdJsJd6c3d Ks9s8s5c4c Qs9c7s7h3h 
KsQh9d8c5h KhTs7h7c5h Ks9h9d5h2s QhTs8h5h4d 
JhTd5d3c2h 8s7h6h4c3s JhTd5s5h4c AhJs5h3d3c 
AhTs8c6s5s Kh7h6s5h4d Ts9d8d3s3c JsTh9c7c4c 
8h8c7h6h3c KcTh8d6s5d KhQsJd9d3c AcKc8h5s2c 
As5s5d4c3h Td8s5h4s4d QhJc9d7d5d JdTc8s8h5s 
Jc9d6h6d3c AhTs8c6s4d KdJs7d3s3h KdJh7d3s3h 
JsTd6d5c4d AsTd9h9c4h Ah9c7h3c2s KsQcTh6c3c 
AhJd8s7h2h JhTc5c3d2h AsJsJd6s4s Qd9c8d7s7d 
Ks7s6c5h2c AdJh7s5s4c KdTh8s5s5h AsJs8c4s4h 
KhTh9s4h2s QdJh6s5s4c KhJdTh8h3c Ad7h7c4s3d 
Ad9c8s6c4s KdTd9s6h3d JdTh5d2h2c Ah5d3c2h2d 
Ts8d7h6h4c Jd9d7d6s5c AcTd6c3d2d AcKs9d6d5d 
Ts9c8d7h5d AhTh9h4s4c JsJc6s5d4s KcQs4d3c2d 
QhQdJh3s2h AdQcJh3s2c AcTc6c5s5h JhTd7c6d2h 
JhThTc7h3s AcKc9d9c6c KdJd6c4c3d AcTc9c6s5c 
JdTh6h6c3c 9d7c5c4h3h Th9d8d5d3h 9s8c7c5s2d 
ThTd6s6d4d AhKhJh6d2s 9s9c6d5h5d Kc8s8d4d4c 
Qc9s7d5d3s Js8c7h5d4s 7d7c6s5s4h KdTh7c6c4c 
KsThTc9c2d QsQd4s3h2h Jc9s8c6d5c Qh9c8d5d4c 
AdKh5d2s2c KdTd9s9d2c JhTs9h8h4d Qc9d6d4s3c 
AcTc7h4c3s Jd9s9c7h6h KhJsTs8c3d Qs9c8s8h4c 
KsQs9s9c4c Qh6c5c4h4d KdKcJs3h2h KcJh6d4h3d 
AhTc5s4h2d AsJsJc6h3s KcJdTd5s2h JsTc6d5h5c 
JhTc9d7d4d KdJh8d8c6d Th9d8c7s5c KsJd4d3h2s 
KcQsJc6d6c 9h8h8c5s2c KhTd5h5d2d AcQcJc9c2s 
KsTc7d4d3c QhTs9d7s4c QhJs6c5d3h KhTh7h7d5c 
AcKcQc6h6c KdQdJd9h4s Td8h6d5s2h KsJc6h4c3h 
8s7h6s5d2d KcQsTs9s4s QdJd8s8h2s 9h8s7d6d6c 
AdThTd4d3s QsJs8s6s5d AsJs3d2d2c QsQdTs6s2h 
KsQdJs9s3c KhJh9h5c4d 9h9c8s7h3c Ac8c5s4c3s 
KhTdTc9s4c Kh9c7h5d4s Tc9c8c6d3d Ac8c6d6c4s 
Jc9s5d4c3s AsKd9s7h2s Ks9s8s7s6h AsKs8h5d2s 
Kd9d7d7c6s AsTc9h9d4d KcQhJc3d2s KsQc7c6c5c 
JhTd8s8c4d Ac9s7d3c2s AhTh5d5c3s As9s7c4d3h 
KhJsTs4d3s AdJd8h4s4d Ks8d7h6s2d Jd9s6s6c3d 
Qh9s8h7d7c Ac9d8s6d4s QhQc9d6s4d KsTs6d5h5c 
KdTs9h6s4c AcTh8c3h2c Kh9s9h5c2s KhTs9d8s5c 
QcJd6c5s5c 9d9c8d7c2d KcQc9d5d2c QsJh5h4d2d 
Ad8c4c2s2d KsQsJs9d4h QdTs4c3d3c JsTc9h9d5d 
AcQsJh7h3d Jd9h6s6h3d 8d6s5d4h3s As9h8d7h3d 
QsQcJd9d2d KcJh5d4s4c Ah9c8d6c4d JsTs9c8h3s 
Qc9s7s7d4c JhTs9c5d3c AsKd5s2h2c QdJdTd8s3c 
KcThTd9c4c Ks8h6s6d3d AcJc7d3s2s QsTs9s9d5h 
Qh8d6d4h4c JcTd5c2s2d 8d7h6c5d2c Tc7h6h4s3c 
Jd7s7h4s4d KsQhJs9s3c Td9c8s7h5s Qh9s7s6d5c 
KdQdJs6h2c Qd9s9h3s3d AcQcTc6c5c KcQcTc7d3s 
QhJsTs6s3d AdJh9c7h4s KhQsTc9d4d KsQsJd9s3c 
Qc9c7h7d6s AhJsJd7d3c KhQcJh9h3s KhQsJc2h2d 
JsJd9h8c4s Qd9d8h7h2s KdQsQd6d3d QsTd9s8s4h 
JdJcTc6h3c Ac8s7s6s5h Ks8h5c4s3c KsQhTc4s3s 
Kh9h8d5d2d QhTc9s9c3d Ts9c8d8c7c KdQhJh4c2s 
QdJs6h5c3d AhQhQdQc9d Kh9d6c4h3c 8s6h5d4h3d 
Qh9d7s7h3s JhJd9c7h4s QdJh7h5s4c Ad8h8c7s6c 
Qs7h7c6h6d KsJsTs5d3s QsTd5c4s4h AsQdJd6d4d 
KsQs7h7d3h Ac8c6h6c4s Ad5h3h3d2s Kd8h7s6s2d 
8h8c6s4s3h QdJh6c4c2d Kc9d8s7d6d QhJhJc8d3s 
AhJc9h6d2s Jd6h6d5c4h QhTs8s3h3c AcJd6h4s3c 
QsJs8h7d2d QsJcTh8d2h KdJcTc4s3c QcJs4d4c2s 
As8s8c6h4s Ts9c7d4d3s QhQdJc9s3s AcKsJh4d3d 
Td9s8c5d2c KdQsJd9d3h Ah5c4h4c3h KhJhTh5c3h 
Qc7s7d6h6d KsQs9s8d4d KdTc7s6s4s QsTh9s8s4c 
Ts8d7d6c4h Tc8d7c6c5s 8h8c6h5c2h KdQcTc5c3h 
AhJhJd6s3h TsTh8d5d2s 8d7s7h5d3h Qs9c7c6h5d 
AdQdJd9d2h QhTc8s7d5s As7c4s4h2h AdJs9d9c2d 
QhJs6d5d4c QdTc8h7s5h Kh7s5h4s3h Qs8s8c5c3h 
JhTs6s5d4s JcTc9s5c3d AsKcTc5c2h AsQhJs8s3s 
JsJdTs6c3s Qh7c5s4c3h AcKdTd5d3d QdJc9s5d4d 
AhKc9h7d2h Qs9c6d4s4d AhJh8h5s2d JdTc6h5s5c 
QhJsTh8d2h 6c5d5c3d3c Ks7h6s5c2h Qc7h7d6s6h 
Ts9s7h4h3h AhQdTd3s3d AhJs8d8c6d Qh9d6c5d2h 
KsJsJc6s3d Kc8h7s6s2c AhJsJd6c2h Qd9s8s7s6c 
QsJc7c6c5d KdTs6c5c4h AcTs7h6h6d KhJs9h9d4c 
QhJc6s4s2h AhQh9c4s4d KdTsTh9c4h AcQs7s6s6h 
Ks9s9c4d4c KdThTc5s4c KdJd7c6d5d JhTd9s6s4s 
AsKsQs5s3s KsJhTh8d3c QsQc9d6d4d Jd9c7s6h5c 
AhTs9d6c5s AhJc8c3h2h AsTh9h7c3d KsTs9s7c3h 
KcJsTc5c2h Tc8s7s6h4d AdJc9h8s2c QdTc9s6d3d 
AsKh9c2h2c AhJsJh6h4h QhJc8s8d5h Ks9d7c6h4s 
QdTs9s3d2s Qd8h6c5d4s AdKhJh8c2h AsJs9c3s2c 
Ad7s6d5d5c 8s8h6h5s2h KsJsTh8c2s KcTd9s8d5h 
Ah9d7s4h3c JsTh9c7s2d KdJd8h8d6c Ad7d5c3h2h 
KsKd7s4s3s Qd9s8s5s2d QcTd8c5c4s 8h7d6d5h2h 
AsTs9s7s3h Ah9s5d4h4c Ks8c7d6s2c JdTc9s9h3d 
Kh9h8s7h5d ThTd7d4s3s Jd9c8c6h5s Td7d5s5c4c 
Jd9s5h3s3d As3h3d2s2d KhQdJc5s3s KcQc9c7d5s 
Ac5h3s2h2c Kc9s9d5s2c TsTh9h5d4c KhTd9c8d5s 
Jd9c8h8c4h AcJhTh3s3h QdJsTs9s3s KhJdTd8s3c 
QhJdTh7s3h KdTc5d5c2c QdTd9h4c3s JsJh9s4c2c 
7s6d5c3s3d 9d8s8d6d5h Qd9d9c7c2s QdJdTs4d3d 
Kc9d7s6c4h KhQcJs4d3s Ac7h4d4c2d Kc8s7d5c2d 
QcJcTc8h3d AsJsJd6h3s Qs9h7s5h3s Tc9c8c6d5h 
QcTh7h5c2s AcJh9s9c2c KsJsTh4s4d KhQcJh6s6h 
TdTc9d7s5d KsJs8s8h6c Tc9h8h3s3c 7h7d6s5s4c 
6h6d4h3s3d QsJs9d7h2d Qd9s8h8d4s 8h7s6h5d2d 
KsJh8s4c3c KcQcJh9c4s KhTc9d4s3h KhJdJc2s2d 
Td8h7d6s5d Td9d8s5h2s QhTd8c7h4h Js9h8s8h4s 
Ks9c6s3d3c Kc8c5d4h3h Ac9s8c5d4c AsAdAc9c2c 
Th8s7d6d4c Qs9h6d4s3h Ts9c6d4d4c AcKc7h5d2c 
AdQdTd8d3d Kc9s7h6c4d AcTh7s6d2c Qs9d5d4s4h 
QhTd9c7s3h KcTh9c6c5c Qh8d6s5h2s AcTh9c4d3c 
KsJs9h7h2s Ac8c7h6d2s As6s6h5s4d KsJd9h9d5c 
AdJh5h3d2d 9s9d8d5h2h QsTs6d4h2d QhQdTs8s2s 
QhQdJd4d3d KsTd7d6s2s Qh7c6h6c3d KdJd6h4h3d 
As9s6d5s2d Qs9d8d5d2s Qc8s6s4h4c QsTsTd5h3s 
KhQdJd5s2c KcQs9d8d6d AdTh7s4c2d QdJs9c7h5h 
KsQdJs9c3s KsJs9s5d4h QsTh7h5s2d AcTc9h8c2c 
KsTd7h4h4d KhJsJh6h3d Ac9s9c4d2d KcQcJh3s3d 
KcQhJd5s3s 8c7h5c4d3d Th9d5h5d3s KcJc9d8c6c 
8d7s7h6s3h KdQdJs9d3c JcThTd8s3h AhQhTh6h5h 
AdTd4c2h2c KhQhJs9h4c AdTc9h8s4s AdKc9s2s2c 
AcTc6s5c2s Tc8s8c4h3s Jc8s8d5d2c Jd9h6s6h4d 
AdJd8s7c2d AhJc6d4s3h KcTsTh8c5c JsTc9c6h4c 
9c7h5s5h4c KdQsTs5s3c 9d7s5h5d4s KhTs9c6s4d 
JdTc8c5c4c AdKdJd6c2h 8c6s5c4h2h Ks9c7h6s4d 
Ks9s7h6h2d TsTh7d5h4c KdJcTd8d5d 9s7s6c5h4d 
AdTc8s6c5c As9d5c4s4h QdJcTc5s5c AsQdTd4h2c 
Jh7d5h4d3c Js9d6h6d3s TsTc7d5c4h Qs7d7c6h6c 
As9s7s6h4c AhTs8d6s4c KsQcJd2s2h KsQd9s7s2d 
AsJc9s6h2d JsJc5h4h2s KsKc8d6h3h AdKsTs5h2s 
Jd7h7c6h4d Ah9d7c4s3h QsJd9h7c5c 9d7s7c6d3s 
JcTd7h5s5c Qs7c5c4d3s QsQc9c4d3h KdTsTh9c4s 
AcTc8c5d3s KsQdJd5h2c QhJsTd5d5c Td8s5h5d4h 
KhQdTc4s2h Ah9h8h6c4d Jc9d7d7c4d KcQsJc6h6c 
Qs8d6s5c2d JcTs5d3s2c Jh7s7d6d4h JcTs7h5d5c 
Js8c7d5h4s KcJcTh4d4c Th8d5s5d4s 9s6d6c5c3d 
Jh9c8s8h2s QhJh8s8d5c Jh7h7d5d3c Qh9s9c7d6s 
Ks9d8h6s6c Ts8s7s6c5d KcQc9s6c2s AsTc7h4d2s 
As9h9c7d6h Js9d8s6h5s AdQsTh2s2c 8d7s7h6h3s 
Ah9s8s8d3d Qd9d8h6h2h AhQcTd2s2c As9d7h4s3c 
Qc8h6d5d2c QsJc9s9d6s KsQdJh9h3c KhQd7s5h5c 
QcJd5h5c4s Qd9d8h8c4h Ks7d5s4d3s QdTc8s4c3s 
QdTc5c3d2h JsTs8c5s4s JsJd5c4c2d Ac8h7s5h3s 
KcQs7h7d6d Ts9s6d3h3d Qh9h6s5c2s JhTsTh7h3d 
KdQdJh6s3d AcKs9h7d2s 9s9h7d4h3s AdTd6d5s5h 
JsJh5d4d2s Kh7c6h5c2d Td8c5d5c4c KdQh9h6s4c 
AsQsJs9s2c KhQhJh9c4d AcJh8s8d6s KsJs9d8h4c 
KdJs9s7s5s 9s9c7c6h4d KhJdTh5h2c KdTd6h5s5c 
Ah4s4h3s2d QsJc8c7c3s Kh8h7c5c2d QhTs6s6c4d 
Th8c7c6s2h AhTc6h4c2h 9d7h6c4h4d Qs9d7h7d4s 
AsJs7d3h2h AdKc9d7h2d QcJhTd4h2s Ks9s5d5c4c 
KdQdTd7s3h QdTh8d7d4s KsKh9d6c2d TsTc8d5c4h 
Ac8h7h6h5d Qc8d7d5s3c QsJs8s5c2c QcJd8d4d4c 
9h9c6d5c4s KdQcJc4s2h QdJdTd4c3d KsJh6h6c2s 
AsJh7d6c5d KsJs9h8s6s KhTsTc6s5s KcJs8c4d3d 
AsAdAc9d2d KsQhJd9c2h Qc9h6c5d2d 9c8s8h7d6s 
AsTs9c3s3h Ad8c7h6s5c 9s9h6c5h4d JcTs6s5h4s 
AhJh9h8h3s 8s6d5s4h2h Qh9h5d4d4c QsTc9c7d2d 
Kh7d6h5s2d KdQcJc5s2h JsTs8h4s2h Th8c5s4h4c 
Ks8s8h7c3h AdJd3s2s2c 9d6h6c5s5h Jd9d7c5s4h 
QsJs8d6d2d AhTh8h6d2s QhJh8h5d2d AcQc4d2d2c 
As9h7d4s3c ThTc8h7h5d KhTs7d4d2h 9d7c6c4s3d 
Qh8h8d5d3s KcTc9h8c4d AhQc8c5s5d KhJdTh8h5h 
Jd9h8h7c3c KsQc9h7s4d QhTs8s3d2h QcTs5c4s2c 
AhKc9c8c4s Qd9h8s8h2d KdJd9s4s2s QdJh6c5c4s 
KcQcTh7c3s JsJdTh4d2c Kh8h8c7d2d Td9c5d5c3s 
KhTd9s4c3h QdQcJh6s2d AcJh5h3c2c 9s7d5d4c3s 
KhQs9c5h3d Qd8d5s5h4s QcTd9s9d3h Jc6d6c5s4d 
KhKd9c7s2c KdQsJh8d3c KdJd7h6s4d 9c8s8h4h4c 
KsQs8s7d5c JcTh9s4c3d Ah9c8s8h4h KhTd9c6h3h 
QsQhTc3s2d 9s8s8h6c3c KcQhJc9s3c QdTh6h6c2d 
KcQcJs6h3c KdTc9s6d3d JsTc8h8d5h Tc8d7h5d3c 
QcTh8s5s2h QcJc7d5s4c Tc8d7h6s4h JcTd5h5c4s 
As8h4h2s2c Td9c6d4h3h JcTs9h8h3d QsTs6h6d2h 
AcTs8h6s4d TdTc7c6h2d Ad9h6c2h2d JcTd8d3d3c 
Ac8h6d6c4c JhTd9s8s2c QdJhTh5h5c QsJdTc5h5c 
Jc9c8h7h3c AhJc8s7h2h 8d6h5h5d4h 9s9h8s5c2c 
AdJs8h8d3d Kh8c7s6c2h KhTh7d4s2s Ts9s8s6h5c 
As9d7c4s3h QsJh6c5c4d KcJh9c8s4d Jh7s7h5c3c 
JcTc6c5h4s JsTh6s6c4d KsKc8c6c3c KhTs7d6d4d 
AhQsQhQc9s Qs8h6s5c2h QdJd9h5d4c Kh8h7d5d2s 
Ah8d7c6s5d KdTc8d5d2c AcKh7s5d2h ThTd9h7c5h 
JdTs6h5s5c QsTh7c6c4d AcTd9h8h4h AhJhJc6h4h 
AcQhTc3c2s Th8d7d6c2h AsQs7c6h3s AdQs9d6d3c 
9c7s6d4s4c QhTd8s7h4h Tc9c5d4d4c Ts7c5h5c4s 
JdTc5s3c2d Th9h5c4d4c Ts8c6h5d4s KcJd8c4h3h 
KdQcJh9h3s AdKh8s8c2d 9c6s5h5c4h AsAdAc9h5h 
Kd9c7s6h4d KdJhJd2s2d JhTc9d6d4d AcKsKhKdJd 
Ks9c8s7s6s AcTh8h5d4h AdTc9s6h5c Js9c7c5s2h 
AsQd8d5h5c QdTs8s3c2d KhTd9s6s6c Ad9h8s8d4d 
Ah9d8h4s4c AhTd6c4d4c 8h7s7d5h3s KcJsTc8c2d 
AhKd9d8d4s JcTs6d5s5h Js9s9d4s4d Kc7s7c5h5d 
Ad7s4h4d2h AsTc5d4s2h KdQhQc6s3s 7d7c5h5c2h 
Ad6h4h4c2d KcJd9s9c2h KsTd7h4h3d AhQc8d4s2h 
Qc9d8c7h2h Qc9c8h8d4h AcTd4c3h2h 9c8h8c5s2h 
JcTh9d8c3c Jd9c8s8c4s Jc9d7c5d2h AsTh3s3d2d 
QsQd7d4d2s KsKcJd3h2h KhJc6s4c3s KdQc9c5s2s 
QhJc6h5h5d 9d7d6c5h4s Ad8d7d6d5c Ad9d6s6d5h 
Ts9s7s6s5d Ts9h9d5s2d AdTs7c6h6c KdJh5c4s4d 
KhQd4h2h2d KcQd8c7d2c Kc9c7h4h3d Jd6s6d5s4h 
KcTh7d4h4d Qs9h9d6d6c QhJh6s5s2h 8s6c5s4d2d 
Jh9c8h6s5h AsTc9h8d4d QsQc9d6h4d Th9s8s5s3h 
Jh8s8h5s2d Jh9h8h7c5s AcTsTh8s3d KdJhTs5h5c 
Js9s9d8s3d AhQc7c6d6c QhTs8c7d4s Ts9s9c7d2d 
Jd9s5h4d3s Qc9h8c7s7d AcTh5d4c2s Jd9h8h6c5s 
Jc7h5c4h3s 7h6d5s3h3d KdQcJd3s2h Jc8d6h6d4h 
AsKs7d5c2s AhTd8c3d3c Qh8c6h5h5c QcJcTc4d2s 
Kd9d7c4c3s AsKs9s9c6s Kd9d5h5c4c KhTh4s3s3d 
Ac8s8h7c2d QdJsJd9h3d QcTc7s6d2s AdQsTc2s2h 
Jh9c7s7c6d JsJc7s6s5s Kc6h5h5c2s KhJhTs5h5d 
ThTc9h7s5h Kd7h6d5h2s QdTh6d6c5d AcQs5s4d2d 
AhQdJc4s2d Ac6s5c3s2s 9c8c7s7h4h QhJhTh8s2d 
Kd7c5d4c3d KhJcTh8h4h AcKd7s7h2c AsJd7h4d3h 
AsKd8h5d2c AhKdJs3s3c QhTc7c5d4s Js9c7h6d5c 
QdTd8c6d4d As7h6c5d2s 8s8h6d4d3s 9d8d7d6h3h 
JdTd6c5s2c 8s8c7s6s3c Kh9c8c7h2c AhJs7c5c4d 
Kc9h7c6d2d AsTd7c6h2s AhQhJd6h2c AsQsJs8c3s 
Jh7d5d4h3c KhJhTs8h2c Ah6h6d5h4s KcThTd4s4c 
KdQsJh4c3h Jd9c8d6s2c Qc9d8s8d2c Qd9h8h7h6c 
KdJh7d7c4s QcTd9s5c4c 9d9c8s6s5s Tc9d7h4h3c 
9h9c8d5c2h QhJcTc5s5c Jc9s9h7d5s 9s9h7s5d5c 
Ks9d7s5c4h Jh9c6d6c3h AcJc9s4d2h JdJc5c2d2c 
AdQcTc4s2h Kc9h9c5s2h Ad9c7d3c2h Ac9h6d2h2c 
Qd9c6c4h3d KdJs9h8d4c 9d8c6h6d4c AdTs8h6s4c 
QcTh7h5d2c Ks7s7d6s3d KsThTd6h5h QdTd6h4c2c 
As9d7s3d2h 9h7s6s4d3h AcKs9s8s4h JdTh5s5d4c 
KsJd8c7h5c JhJc6s5h4h AhTh8h6c2d 9c6s6h5s5d 
Tc7h7c5s3h KdJc7d3s3c Kd9h9d4h4c JcTs9c8d2c 
Qs7c5c4h3s KcThTd9s4d 8h6s5h4c3s KsTh7s6s2h 
AsQs5c3c2s QdTh9h3d2h JsJc8s6d4s KhQh7h6h5s 
QhJh9c8h6h As9h9c7c6d AhKcTs6d3d Ah9s8c7s3c 
AhQh9c6h3s JsJh8h6d4h Ac9s8s8d5h Qs9c6h5c2s 
AhQs9h6h3c KdJsTs4s3c QhQd7h4h2d KdJh8s8d6d 
AcTs7s4h3h KcQcJd6s3c KhQcTd9d5d KhJh9d8s4c 
AsTh9d7d4d 7d6h6d4h3c QdTc6c5s4c QsTh8h3s3d 
JcTs9c8c4d Ah9s7c3h2s AhTd8s6d4d AhJdJc7d3s 
Kd9h7d6c2c Jh8s7c5d4h Qd8s6h5h2d AcJhJd8h3s 
Jc9s8s8d4d KcTs7h4s4h AsKd7d4d4c 9d8h8c6c5s 
KhQh7s6h4c KdQdTh7d3s 8c6s6c5s2h AhQcTs3h2h 
As7c6d5h2s Qd7s7d5s4d JsTh5h3c2s QsJs8s5d2d 
QhTs6d3h3d QhTc8s4c3s KsTc7s7d5s KdQc9d5s4d 
Th8d5c4h4d KhJs8h4d3d Ks8h7c6c2s Th9d8d5h3d 
KhQsQh6h3h Qh9d6h4d3s Kh9s7d6c4h Qh9s5s4h4d 
Kd6s6h5h3s KsQsTs4c3h Qh9s6d5d2h KhQcJh6s3h 
JdTd8h2s2h KcJc8s4d3d Qs8h6h5c2s JhTs8d8c5d 
AdQs8d7h3d KhQdTs9c3c 7h7d5s5d2s AhKs9s8d3s 
KcTd8s6s3d AsKd9c6c5c QhTc9s8s5s Ah6h4s4d2d 
Ah9h7s6h4c Kh8s8c6h3c TsTh8c5c2s JhTsTd8s3c 
AcTs6h4s4h Td9h8h3s3d KsQsTh7s3c Kh9c6s5h3d 
Qd8d7c6s5d AdTc9h7s4h JsTd8h8c4d JdTc6s4d2c 
QsTd9d9c3h 9d8s8d5h2s KcTs5s3c2d Kd9d7s4s3c 
Kd8h6d6c5s JdTs7h7c5c AcJs9s7s6s Qd9s8s7d3h 
As8h7c6d2s As8c7h6d2s AdQd7h6c3d Tc9d8h8d7d 
Kh8s6h6c5d Js9s8s7c5h 9c6d5c4d3h Jh9h7c5s4d 
As7h4s4d2d AsQs5d3d2s As3h3d2s2h Jh8d7s4h4d 
Jd9d8d7h5c 9c7h5s5c4h Th8d7c5d3h KdJcTd8d3h 
AdTc5s5h3d Ah9c8s8c5d AcKh9h8s3h KcTh8s6d5s 
JdJc7s4c3s Kd9d8s5s2s QsJc9d8c5c AsJs3h2h2c 
AdQhTh3h3c KdThTc6c5c Qh9h9d8c5s QsTs6h6c2c 
Td9d5c4h4c AcJs9c6h2d AdTd9d7c3d Ks9c7d6s4h 
AhKh9s4d4c Ac9s8s7d3d TsTd8h5h2s As9d8d7c2c 
AcKd9d8h4d KdQhTs9c4c KdQh7c5s5d KhTd8c6s5c 
JhJc5h2h2c Jh7d6d5d3h Jh9h5s4s3d AsTc5h5d3s 
Kh7s7h5d5c KhTd9h3h2d Qd9s9d7s2c QsQd8h5s3c 
KsJs8d4d2h QsTd5d3s2h KdJhJc2s2c TsTc8h5c4d 
7c6s5d3s3c AhTs8s6d4s QsTs6c4d2d Kd6d6c5d3c 
QsJc7c5d4h JsTd5s5c4h Th9c5h5c3s QsQc9d5d3h 
Tc7d5h4c3d AhJhJc6d3h Kc9s7d6h4c JhTc9s8h3h 
QdTd9s4h3c QsQcJh8d4d QhJc6s6d5c AcKh9h8d4h 
Tc9c5h4h4c Ad6d4s4c2c QhJcTc6c3s QsQc8h6c2d 
JdTs5h3s2d Kc7h7c5s5d QsTh9h7d2d Qs8d7d5h3s 
AdTd9h9d5d KcQh9h7h5s Ad5c3h2d2c Td7d6c5d5c 
8d7s6s4s4d Ac6d6c5c4s Ac9d5d4d2c QdTd6s6h2h 
KsJsJc8s6s JhTdTc8c3s KdTs6c4h4d Ks9d7h5s3c 
JcTd9c7c3h QsQdJd3h2d Jc7s7h6h4c 8s8d7h6s4c 
AhKd9h7c2h Ks9h7h5h2s AhQsTd2s2c JsTh5h3d2s 
AcJd7d6h5d AcTc6s6h4c As9h9c7h6d Js9h8h7d3d 
QdTs6d6c4h QhJd7d5c4s Jc9s7d6h5s AcKcJc6h2s 
Ks7s7d6d2c JhTc8s8d5d AhKh8c5d2h KhTsTh8c4h 
KdQcJc5h2s Kh8s6h6c3c AdQc7c6s6c Th9s9h7c2c 
AdKcTc5c2s AdQh8s4c2d KcTsTd5h3c JcTh7s4c2h 
KdJh8c7s5c Kd8s7h6h2d QcThTd5c3s Qh9h5s4s4c 
9s7d5s5c4d Th9s8s3h3c KcTs7h4h2c Qh9h9c8d5s 
KdTc7h7d2h 8s8c7h7d4h AsTh3s3c2c Kh7c5c4h3h 
AdJc9c7c6c AhKd6c5d2s JsJd8h4d3h KcJcTd4s4c 
Ac9c6d6c5h KhQc9d7h4s Qs8c6d5d2s Ks9s7d6d2h 
AhQd9s6d2s AhQh7c6s3h AdKd4s4h3d 9h7c6c4s3h 
QhTc6c5s4c AhTh4s2s2d AdKhTh5h3h Qc8h6h4d4c 
KdQhTs8s4c Ac8s4s2h2c Ac9d7h4s3c AhKc7s5d3d 
AcTd9c4s3c QsQcJh8h3d As9s9c4d2d QcJd9c7c6c 
Th9d7c5c2h AcTs3h3c2h AhJsJd7s3c AsQcJs6h2s 
Jh9s9d4s4d KsQcJs6s6d Ac8s7h6d5s Qs8h7s5h3c 
Qh7d7c6s6c AsQc4s4d2h Ah8h7h6h5d AdQd7c3s2s 
QcJc8s8d5h AhKcQs9d3d KcQd8s5s3d QhTh6d4s2s 
QcJhJc8s3d AcQhJh6h4h JhJcTc8d3c AhTc9d7d3s 
QsJh8h7s2h KdQdJc9d3h AsQs9d4h4c JsTs8s8c5d 
JsThTc8c3d AhTc9c8c4s JsJhTh7c2d 9h7d6c5h4s 
AhKs6s3c2c QhJhTc4h3h Ac8h5c4c2h KsTh8s3h2d 
Qs9h7c5c3h KsQd6h4c3s QsQcTd5s2s QcJs7s6s5h 
QdTc8d4d3c KhQsTd4h3h Ks9s8h7s5d KsQdTh4c2s 
KcQhJs8c3d Ks9s7s7d6c Ad7d6h5c3d Tc7s5s5h4c 
8c6h5d4d2c QcJsJc3d2h 9s9h6h6c4d Qc9s9h7d6h 
KsJdTc5h5d Ah9s5c3c2h Kh7s7h6s2c QcJsTs6s3d 
KdQsTh6h3c Kd7c6d5h2c AcTh7c6c4c Td9d8s6c4h 
AsQhJh3h3d KdTd9c8d4h JhTc6d6c3d AcJs7h6d5h 
TsTd9h7c5c AdKhJh8s2h Ac9d5s3s2c Ah7s6d6c3h 
QdTh8d6c3s KsJsTd5s3s 9d6h6c5h3c AsQdJh3c2d 
AhTd7s4c2h TdTc8s5h5c AdTs9d3c2h QhTs6h5d5c 
JdTh9d8d4s As4s4h3h2d Jc9d8c6s2d Kh9c6h3s3c 
KdQcJd9d3s Ad9d8h3h2h QdTc5d3d3c AdJd8d5h2s 
Ah9s4h3s3d KcQdJh2s2c AhJh3c2s2c Ac9c8c6h4s 
