KhTh9s3h2s 
9h6h5d3s3d JsTc6s6c2d As8c5s4s4d KcQcTc6c4c 
KcTd9s5c3c JsTs9s5s4d KsJd8c7c5c JcTd9s3h3c 
JhTs9d4s3s Jh9d7c5d2h Kd6c5c4s3s Qs9s8s7d5c 
QdQc7d5h3d Qc8h6c4h3d QhQc9d6s4s JdTd8s3h2s 
Ad9c6d3c2h Kh9d6h5s3c As8s6d4s2d TsTd8c4c2s 
Ac9c7s6c2s Jc9c7h7d3h Ts6h5s4d3h Jh9c6d6c3d 
Jd8h6c5d2h Ks9d8d7h4h Ts8s6d4h3h QhTh6h6c4d 
TsTh7h5s2d Kc8h7d6d5s Td9s5c4d3s KcJs8h6h3s 
Js9h6h5s2c As7c4s4c3s Kh8h7d4d3s 7h6d5h3h3d 
QhQd7c6h3h 9c7s6d5h3h Js9s6c5h4d 8c7d5d4c3d 
JsJc9d8h3c JsJcTd5c2c 9c8s6c5h4d QdTsTc5h3s 
Th7s6c5d4h KhJh9d8s2c KhTdTc6s2h QdJdTs2d2c 
8s6c5s5c3d QsQcJc7d3c QhTs5h4c3d KhJcTh6h3h 
KsTd9c7h4c QsJd6d4c2c As9d6c5d4c QcJsTd4h2d 
AsKh9d7c4c Tc8d8c5h2d QdJh8c4c2d AcJc8h4s3c 
Qc7s5c4s4h QdJcTh3s3h Kd8s8h7s4h 9h7d5s5h3d 
KsQd7d6d4h Qd9c8s7d5d Jc7c5d4s3s Jh7h5s4d3d 
Qc9d8s7s7h JsTs5d4s4c 9d7c6s5h3h Ac8h6s3c2h 
QdTd8h2h2c 9h8s6s6c3c 7d7c6h4s4h As9c7s6h2d 
JcThTc8s2c QhTd9h5h3s TsTc6d5s4s QcTc8d2h2d 
Th8d8c6h2c KsJs9c7s3h Jc8h8d7d3c KhThTd4s4h 
JcTc7d5s5c KhTh8h7d5h Tc7s6s4c3c JhJd7c5c2h 
KhTh6h6d4s Qd8d8c6h5d JdTc5d4h4d JcTd7h5s3d 
Td9h8s4d3s TsTh8d4h2d QcJh9h6s6h Ad8c6s3d2c 
QhJs7h7c5h AdTc9d5d4d Kc8s6h6c2s Qc7c5h4s4h 
9d8c7d5h2h QhTd7h5c4h Ad9h8h8c6s QcTs7d6d4d 
Kc9s7d6h5d KdQh7c6c4s JsTc8c2s2c Js9c6d6c3d 
KsQs8d8c5h Qd8c7d7c3h KcJd9d8s5d AhKhQh4h3h 
Js8h7h4s4c Ah7h4d2d2c Ks8s8h6d5s QdQc9d7s4d 
JhTc7d5c2d KsJc9s5d3s KhJc6s5c2s Ad7d6s6c4d 
9h9d6s5c3s KsQsTd9s3s JsJd9h8c3d QcTh9s9d2s 
Qd7d5h4h3s 9h7h6s5d2s AhTsTc5d4d QdTs7h5d2s 
Qc9d8s8h6h QhJh7s6c4h KcQh6d3h3d AsJc7h7d6d 
AhKd9d4s2s Js6h5h4s3d Kh8s8d7h2d KhQh6c5h4h 
JcTc8h3d2h Js9s7c5h2c Th6c5s5h4c Ac8s8c3h2h 
Tc8h8c6d5c KhTd7s5d4d QdTd6h4c3s Ac8d7s5h4d 
JsTs7c5s5h QsTsTd5c2h Th7h6s6c3s TsTh5h5d4h 
Kd8h5s4s2d Ac8d4s2s2c KdJhTs7c3c 9c8h8d7h3c 
As9h8d8c6d JdThTd3s2c JdTsTd8c2d Ac8d8c5c3s 
Qc8c7h6h3h 9d8s8c7s5h AsTd8h6h4h AhQh8s5d2h 
AsJhTc6c3c Td8s6d5d4c Qc7d6h4c3d KcTc9d3c2d 
AcKc8h2h2c Ah8c5s4d2h Ks8s8c6s5d QhQd7s7c4s 
QsTh7h4s2d Ad9h6s3d2h QdTd9d8s4h Th8c6c5s4c 
Jd9h7s5d2s AsJd7d5h5d AdQcJc2s2c KhQcTc4d2s 
Qd8s5s4c2d QsJh9h8d4c Ad9s6s5h4h AsKd5h4h3c 
KsQdTs5s3s 9c8d6h5s4h QsQc8c5h3c QsQdJs6s2h 
KhKc7s3d2h KsQc9c6d3h KhThTc7s3h Js8h8d6c5h 
QdTd9s5d3h KsJhJc7h3d Tc9s8c7c5d TsTc8d4s2d 
AsQs8s7h2d QdJc7c6h2d Kd8s8h7d3s JcTh5h5c2c 
TsTd8d4d2s Td8h8c6h2c AdJdTd6d5d Kd8h6h4d3h 
QcTh8h3h3c QhQc7d6c3c Kc5h4s4h3c Kh7c5c3h3c 
AdQs9h8s2c Th9d7s5h4h 9d9c6h5h4s KdJcTs5s2h 
JhJc6d5s3c QsJc8d6h6d Tc8h6s4s3c Jc9s8s8h6d 
Ks8h8c7s2h JdTs7h5s2h JhTd7h6h4h JcTs5s5d2d 
KcQd8h7h2d 9h6h5c3s3c KdQcJd5s5d QhJh9s9h5d 
Jd8h7d7c5s Qc9h8s8d6d Td9s8d7h4c Ac7c5d4c3h 
Td8s7d6d5d Js9h7c5c2s Ah8h6c4d3s 9s7s6c5d2c 
QcJc9c8c7c QhJhTh2s2c 9s9d6h6d3d Qc8d6c4d3h 
9c6c5h3s3h Kh9d8d5s4s Qs6h6d3s3h AhJd6s6h4h 
JsTd6s6c2d Ac6h4h3h2c AdTd8c4d2h Tc9d8h6h4s 
QhTh9h9d3s AhJc9s7c4c KhTc8s6s4d Jd9h8s6h3s 
Tc8d6d5c2c JcTs5h3h2c JcTdTc8h2c JdTd6h5h2d 
QdJc8h6s6h 8h7c5h4c3c Ts8d6s5s3d 9s9c7c5c2s 
Ah9s8d5h3h JhThTc8d3h KdTs8c6c5c 6s6d5c4s2c 
Tc9h8s6d4h Kc7h6s5s4d Kc8h6s5d5c AhJh6h6c4s 
Ah8c4s2s2h KcJd8s7s5s KhQs8d5c4s QsJh6d5d4d 
Kc9d7s4s3c JhJdTs7c2d As8s8c3d2d QsTs8d3h3d 
QsQh9h8c3h Ks9d7c6h5c QhJs7s7c6s Qh8d7d4h4c 
Js8s5c4d3d QhQd8d3d2h QdTh7s7d5d KcTd8s3s3c 
Ks7c6c4s2d KsTd6s5h3s QdTd8c2h2c QdTh5c3h2d 
QcJs5c4d3h Js9s6h5d4c AhQh3h3c2c Jc7c6h5h5c 
QdTh8s4s2h QdJs5c4s4h KdQd8c4s4c Kh7h7d5d2s 
Qd9s7s6s5h AsKs7d2h2c KdQhJh8s4h AcJsTs6s3h 
9d9c6c5h3s Ad8c7c6s5c QhJs9d9c5c Ah9s9c8d6c 
KsTh9c8s2s KhTd9s7d4d Jh9h8d5s4c Ts9s9c7s4d 
9s9d7c5c2s Ks9d9c7d6d 9s8h7d6d2h JhTd7c5s3d 
9h8h8d7c5s Ad7d4c2h2c QdJs9d6c3h Ts9s5s4h3h 
KcTh9s7d4s KsJh7d4d2s KhTd8h5s3c QsJs7d5d2h 
AdQdJd4d2s AsKh9h9c2d 8c6s5h2s2c QcTs7h6h4h 
9h9c7d5d2c Jc9d7c5s4c AhQhJh4h2d AsJs5s5h3c 
KhJs8d2s2h Qh8c5c4s2h JhJd6s5c3d Jc8d5s4d3c 
Kh8s7h5h3s QsJd9s3c2c TsTd9c7d3h KhJc7s7c2h 
KhTh5d3d2s AdQhQc8s2s Ks7s7c5c2d 9c8s7c6h4d 
QhJs8h8d5h KsJh6d5h4h AdThTc5s4s AdQs6d5d4d 
9c8h7c5d2d KcJh5c3h2c Td8h7d5h3d Ts9h8s6s4d 
KcQsQd7s3s QhJh9h9d5s KdTd5c3c2s QdQc9d7d3s 
Kc8d8c5s4h Th6c5c4d3h AsQh6s4c2d QdTd9s9d3c 
JhJc6d6c4c KcJh8d2h2c KdQc7s6h4h Ts9c5h4s3c 
JcTs5c4h4c Tc7h5d4h3c KcTs6s5s4h KsQs7h4h2c 
KdJd9s8c2h KcQsJs8s4d JcTs5d3d2c KhTs9d6c3s 
KsTh8d7s2c AsQc9d8c2h Jd9s8s8c5h Qc9s8d7h7d 
AdTh9d2s2d AhKs9d3d2s KdTc5d4h3s KsQh6h5h3c 
KsQsJsTs2s Qd7h6c4d3h QhJd6c5c4c JsTh9d8d4d 
QcJsJh9h3h AsKdJc7h2c QcJh6s3c2h AhTsTc3h2d 
KsJs7c3d3c 8c6s6d5s2d KcQd8c6h4c QsJsJh4s2d 
QsJd8s8c5s TsTc7d6d5d KdQh7s7h3s QhJs7s5s4c 
Ks9d7h6c5h Th9s7d5s4c Td8s8d3s3h 9c5h5d3h3d 
KhJh9s3d2d 9s7d6c5s2c TsTd8c6h4h Kd6c5h4h3c 
Kh8d7s6s5c AhQsJs7s3d Ah9s9c5d2h KcQd9d6s3h 
AsQhJh7h3c 9c8h7d5h4s Th8h6d4c3c JdTsTd8c3d 
Jd8c7c6d3s QsTs9s9d3c Td8d7s7c6h Ts7s6h6d3h 
QhTs5h3d2s KsQsTh9s3s KdTd6h6d4s AsKd9d9c2h 
Jd8s8h7s3d Kc8d7s6d5h Jh6s5s4h3c 5s5c4s4d3c 
9h8s7c5h2c Th8d8c7d2c 6h6c5s4c2s Ac6h4h3c2h 
Ts9c7s6c2s KsQcTd4h3d AcJs6s6c2c JdTc7s5h3c 
Jd9h9c8s5h Td8h5d4h3s Qc8h7s7d6c JhTc7s5d3c 
Tc9h7d6s4s KhQsTd5h2h KhJcTc6c3d JsTd9h4d3d 
AhKd9s7s4s Th9h7c6h5h AhQcTs3s3d QdTs9c8c4h 
Ks7c6h5h4d KdTc7s7d3h Kh9h9c4s3s KcTh7c4h2c 
AhJh9c4d3h KdJh5d3h2d As5h5d4s3c Ah9s7h3d3c 
QdJc8c7h3h AhTc8h3s2d QdTs9h8h4c Ts8c7d5h4h 
AcJh7s6c2d KsTd7s4d2s Jd8h8c6s5d KcThTd9s3s 
KsJd6d6c3c AdQcTs3s3h QsJs7h6c4s 9h8c7s5h2s 
AdQc6d4s2h QsJdTh3d2c KdTs9c8c5c 8d7d7c6h3h 
QdJcTc6h2s AsQc9h8c2d QhJd5h5d2h KcJdTh4h3h 
AsJd7c6s3s KdTsTd7h3d AdJhTh6c3h Jc8s8d5h5d 
AsKs6d3c2h KdJh8d8c4s Kc6h5h3c2d KcJc9s7c3h 
Ad9c8c5s3s 9c7h7d6d5d As6c5s5d4s QhJd9s5h5c 
Jc7d6d4s4c Th8h7s7d6c AdKc8c6h2s 8s7s7d6c3c 
AhQs7s7d4c KhQh7s4s2d KhJsTd5d2c Ac7d5s5c2h 
Th8s7d6s5s KhQsQc3s2s KcTs8d3d3c As8h6c4s3d 
QsJsTs2h2d Jc7s6s4d4c JdTd9c5s5h KsTc9h5s2d 
JsTd6d4c2c Ts9c7h3h3c AdTsTh8s3s Qs8s8c5h5d 
KcTd9s6h4s QdTc6h4h2c QhJs8s7d3d Kd8h8d6c5d 
AhTs7c6d4d Jh9d7h5c4h KsJc6h5s3s Kh9d8s8c7d 
9c7h6h6c3c Td9s9d6d4h QcJhJd9h2h Jd7s5d4h3h 
Jh9c6c5c2h KhThTd4h4c QcTc9h9c3s KhQc7s6d4d 
KcJc9h3s2s Ts6s5h4d3d 8d7s7h6c5d Jh9h7s7d3d 
Qc6d5s5c3s Qd9h5h4d3h TsTd6h5d4d QdThTd3d3c 
Jc9h8h8d6s Td9s8d6d4h Kd9s8d6c4h KsJs8c5h4s 
Td8d7s6d3s Ts9d5c3d3c TsTc4d3s3d JdTsTd9d3d 
Qd9h7h6h5s 9h7h6s5c3d Ah9h8s4d3c Ah7h5c4h3d 
QsJd9h8s3c AhTd9d4s2s KcJd9c7s4c KsJc8d6h6c 
KhKc8s7d3s AcTd9d8h2d KcJd8h7c4c Jc8s7s5h2c 
AcJs6h3h2c Jd9d6c5h4s QsTs9s8h4d AcJs8c3h3d 
KdJh6s5d3d AcQcJc4c2d QhQdQcJsJh KcJs8d7c4c 
Ah9s9d5c2h Ah8c5h4s4h QsQd6d3c2c Jc9c7d5h2d 
8d7c6c5d2c Ah7d7c6h4h Js9c7s5h4s Kc8h8c7d3d 
JcTs5s4h3d Kd8s6h5d5c KhJcTh7s2h AcKhJd2s2d 
QsQdJh3c2h AcTc6c5s3h KcQh7d6s4s Qc9s9h4c3h 
AhKsJd2d2c JdTc6d4s2s Ts6s5c4d3d TsTd8c4c2d 
9d8s8c7c3s Js9s9c5d3h JhJcTd5c2c AsKc9d4h2s 
QdJhJc6d3d Td9s9d7d5c JcTh9c5d2s AhQh8s6h3d 
Qs8c7h5s4d QdJs6s4h2h Jh7d6h6d3s JhTs9c6d3d 
Ts9s8d8c6s Kd7c6c4d2h Qs9h8c7s5s Kd8c7s6c5h 
Ac8h6d3d2c Ac8h7s4s4h Qc9h8h8d6s QdQcJc6c2s 
KsQcJs4s2d Ac8s8h5s5d QsQh8s5d3s AhQs8h7c2h 
Qc6d5d5c3h AsKc5d4d3h KdQc7h6s4s Js9s7d7c3d 
Kh8s6h5h3s Ts8s7c6d2c KsQhTd8d4d KhTc8h5d3s 
JdJc5h3c2d AhJs9d6h3h Kh6d5d3h2c Qc9s7d6s5s 
Ad8s5d4h4d QcThTd7s3c KhQs4c2h2c QdTd9h8s2d 
ThTc8c7d4c KcQc4h4d2h KhJd8s7s5s QhJs9c5h5d 
Jh8h6c5d2d Qc9d8s8h6s QdQc9h6s4s Tc9h5c4s3s 
Jc8s8d7d3c Ks7d5s4h2h Th9h8d6c4h Kc8s7h6s5d 
KsTc9d6c3h AhThTc8h2h Ah8d8c5s5d AdKd9h9c3d 
Qc7c5s4s4d Ts9s9h7s4c KcJs7d4d2c AhQs5s5d3c 
9d8s7h5d2h KsTs9s8d3h AcTd7h6s4s AcJsTs6d3s 
QhJd7c6d2h Jc6s5c4h3h QcTd7d6c2d 9s6s5d4h4d 
QdJsTc3s2h Ks8h8d7s2d Qc9d9c8c3d 8s7h5h3s3d 
KdKc9h7s2s Jd9c8c4s3d KdQdTd9s3d QsQh6h4c3h 
AcTc8d4c2s QsQh6s4d3s QdJc9c8c5c Td8h7c6h5h 
Th9d6c5c2d KsQc5c3d2d AhJh9h6s3c AcJs6d3d2c 
Jd9d8s6h6c Td8h7s6s4s QcTc6h6c4s JsJh8s3h2c 
Jh8c7h7d5s KhJs8c6s6d QhTd5s3h2s QcTh9d8c3c 
9h9c5h2d2c Qh8d8c6d2h QhJh7s6h6c 9s9h6h5c3d 
QsQhJh6h2d Ac8s8c3d2d Ad9h8s5d3d Kc7c6s6d5h 
KcTh8d2d2c Jd8s8c5s5h JdJc6h5s4h JdTd5h3h2c 
AhTsTc8s3s KsTs8s7c5s 9h6d5s3s3h Ks7c5s4h2h 
Ad9s9d7c3d 8d7h7d6s3s 8h6s6d5d2s QhJs9s6s6c 
JsTc5c2s2h 9d8s7d6h4c Ts9d9c7c5c 9s8h7s5d4c 
QsJh8c7h3c Ah8d6h3s2d Kd8c5c4c2d JdTs8s6s4s 
9h5s5d3s3d AcTd6s5c3c AsJs7h6s3c AhTc7s6d4d 
Qh8c6h5c3h Ah6s6d5h2c KhJd8c6c3d Qd6h5s5d3s 
QsTh7c6h4h QhTd6s4h4c KsJd7d4s2d QhJs3s3h2c 
Kh8h7s7d2s 9c8d7s5c2s Kh8h8c7d3d QsTh9s5s3c 
Kh9s7h6h2s Tc8h6d5d2h Th9d7d6c4d QhTd7s5c4c 
QhJsJc4d2s 9s9c8d5h5c KsKd7h6h2c Ah8c5s3h3d 
Th9h7c5d2c 9s7s6c4c3c Jd8d6s4s4c 8c7d5c4d3d 
Jc8d7d5h2c Ac6c4s3s3c TdTc8h4d2h 9c8s8d7s6s 
Js8d5c4d3s JhJd8c6s4c Th9d8h7h5c KhTsTd8d5d 
Th9h7d6s4h KdTd5c4c2d AsTh9c4h2c As9h8h8d6c 
Ts8h5s4h3c Th9c7s6d4d KcTs9d8c3c QsTc6s6d2d 
AdKhJs7c2s ThTd4s3s3h QdJd9c7d5d QhTs9d8h3h 
Ah9s9d8c6d Td9h8d4s2h KsQh9d3s3d AhJdTh5h2h 
QsJhTd4c2d AsTh6d5s3s Js9d7h5s2h QcTsTh8h2d 
KsQdTh5s2s KsTs9h3s2h Qc9c8h5h3c JdTs5s5d2d 
ThTc6h5c2c Jc9h9d8d6d AhKdTc6d2d QcJc8s4s2s 
AcTh8s3d2c Js8c7s7d5h QcJh8s7d4c KsQc8d7d2c 
Qd9h8c7s7h 9d7d6s5c2s KcTd7d6s2s Kc9d7d6h5d 
KhJd7c6d4d TsTd7d5h5d Ad8c6s3s2d 9h9d6c5c4s 
Ks8s8c5h4d KcQc7c6s6c KdTh9c7s4c QhJdTc8c2c 
KcJd6s6h5s Td9c8s6h4c AdJhTs5c2c Kh8h8d6s5h 
Qh8d7h7d3c AsTd8c7h3c AsKcJh7d2h Th7h7d4s3d 
QdJs8d7s3d AcQc4d3c2d AhTh9h9d2h Kc9c8s7c2s 
Ah8h7h7c6h Qs9c8d7s5s KcJh7h4c2h QhJd9h6c3s 
KsJdJc6c3h Ks6s5h4s2h Ks8c6d5s5h AcKc9s9h3c 
Ah6d6c5h2s JhTs6s4d2d QsThTc5h3d Qc7h6d4c3h 
Ad6d4c3d3c Kc8h7s5s5h JhTs7h6h4h Ks7d7c6s4h 
QsQhQdJhTs KcJhTd8d2s KsTs7s5s4d QhTd8h6c2s 
KcJhTs8d2d Qd7d5s4s4c 9d8s6d5c4h KhKdQc8c3c 
Kd8d7s7h2s Ks9c7s7c3s Ad9c8s8h5s 8d8c5h2d2c 
KhQs5s4d4c AhKs6d2h2c KcQh9h8d5h QhJd8c7s4h 
Tc9c5c4s3s JdJc9s8h3c QsJh9s7c4d AcJs7h6c2d 
KhQd6s5c2h 9c6c5d3s3d Kd8s7s7c2d QcJs9s8d4h 
KhQd7c6s4s JdTd9d5h4d JhTh7s5s2h 9h6d5c3h3c 
Th9s8h4d2s Th8d5h4d3c AhJs9c7s4s QdTc7c3h3d 
KhTc7s5c4c Qh8s5s4c2h Kd9h8c7h5s JhTh7c5s5h 
As4h3h3c2s JcTs9d4h3d KdTs9h5d3d 8h7h7c6c2s 
QcJs6s4h2h AdQd6h6d2h KcTs9h9d5h 9h8s8h4s4h 
Td8s7c6c4c Js8h7h4s4d KsTh9d7h4h TsTd6d5c4d 
AhKsQs6s2c QsJc7c6h2s KsJc6d5c4c KsQd9c6d4h 
KsQs5h2h2d Tc7s5d4s3c AhKh7d7c3h 9s9h5h2s2d 
As5s3d3c2c JdTd8h6d4d Jh9h7s7d3s Ah9c6d3h2d 
KcJc7h3s3h Ah6h4s3c2c Kc9c8s6s2c Kh8s8c5c2h 
Td8d8c2s2c QdTd8h6c2s 9s8d6c5h4c Qh9s9c7s3c 
Kh8s8h6c5h JdTs8s3d2s Ts7d6c4s3d Js8d7d6s3h 
Jh9d7h5s4h Th9s7s5h2d 7h7c6c5s5d QdTc7s5d2s 
AsQc9d4h2s Qd8h7h6d2c AhQc5h4s2h AdJd7h6d3s 
AdKsJh4c2h KhTc9d6s3c JhJd7s5s2h AsKsKdKc3h 
KsTd7s7c3h AdTd6h5s3d QhJh5h5d4s QcJcTd7s2h 
KsTh6s5d3s Tc9c7h5d2h KhQs7s6s4d QdJs8d4s2d 
KdJd6h5d5c AsTc4h3s3d JhTs5s5c4s Qh9h6c5c2c 
Js9c6s4c3h Tc8h8d6c2h AdJc7d6s2h Ah6s4h3s3h 
KcJc9c6c5d KhQd8s8c5h Js9h5h4d3d QcJh9d7c4s 
KsJc7s5s4s AhJsJc8c3c AsJd7c6d4h TdTc6h5s5h 
AcQs8h7d4d 9h9c7h5s3d AsJc6c5d4h Kd9s7h6c5h 
Tc8h7h6c2c KdJhTs8c2c AcTd8d6h6d AcJs7d6s4h 
KcTd8h3c2d KdJs6s6c3c Kd8d8c6h5d Kc9h6s3s3c 
QdJd6s6c5d KcJs9c7d4c Ah9h6c3c2s Ac9d5d3d2c 
9d7h6h4h3d Jd9c5d4d3c QhJd9d3d2h QcTd5c4h3s 
QdJd6h6c5d KsJd9d8h5d AdKs6h5c3h Ac9h7c6s2d 
QsTd9c5d3h JdJc5s3d2c KdThTc6s2d Qs9d7h6d3h 
KdTsTc9h3h Th9s6h5c2s Th9c8s4h3s AhKd9d8d2c 
KcJs7d5h4d Qs6d6c5d4c KhQs7s7d3d Td9s7d5c2s 
8d6c5d5c2s QhQc6h4d3h AhKsTd6s2s Ad7h7d6d2h 
AdQc8h7s4s KdQc6c5c4c AdTd8h8c2d Kd8s8c7c4s 
Jh7s5s5h3d AcQc8c7d2h QdQcTs3c2c AhTh5h4s3c 
KhQc5d4s4c KdQsJs8h4s JdTd6s5s2d Js8c6c5s3c 
AsQd9d6d5d Kd9d6c5s5h QsQd8d5h3d KhTd7s5c4s 
9h8c7c6s6d KcJc6d5s5c Qs9d9c4s3c KhJd6s6c5s 
KsQh5s5d4s Ah5s3s3h2s KdQhTd5d3d Ks8d5s5d2h 
Td9h5c3h3c Qh8s8h6h3s Ah8h8c5h3s KdTc7s5h4s 
Kh8h5c4c2d AcQh8c6s3c JdTs5h5c4h Qh8d7s7c6h 
Td7d7c4h3c Ks9c8h7d7c Ac7h5c4s3c Ts9h5c4s3h 
QdJs9s8h4c Qc9s5s4c3s KhQd6c5s2h Ah7h6d6c4h 
Td8s7c6s2d Jc9h9c8c2h AhQcJs6d3d JcTd6d4h2h 
QcJh8d7s4c Kh6c4s4h3s QsQhJh7d3h AhJcTc6c3s 
KdQs9h6h5h Kc7d7c5d2d 9h8c7d5h2d QdJsJc9c2c 
AsTd7c6h4h Js9s9d5h3c AhKsQs8c2s Kd8s8d7s3s 
QdJd8c6s6d QcTc6s6h4c QcJc7s6h4c KdTs5d4c3h 
JhTc7d3d3c Kc7s5d4s2c Qd8d5s5d4s 9h7s5h5d3s 
KhQh8c6h4s KdJs9h8c5c TsTh9s7d3c Jh7h5s4c3c 
QcJc7c5h4d Td8h6c5s4s QcTh7h4s3s QsJs7s6d3d 
JcTh8h5d3s Kd9c6d5s3h KsTd7c5h4c Qs6h6d3s3d 
Jc9d8s8d5h QcTd7d5c2d Jh8h6s5d2d KdJc8h6s6c 
Th8d7c5s4s JhTd5s5c4c Th9c5s4h3c KhQsJs8s4d 
9d8s7d5c2c 7h6c5s4h3d AdKs9h7c4c AdKd6h3c2s 
AcJd7s6c2h Kh8d7h4s3d KhQhTh6s3h Th8c6s5d4c 
Qc9c8h6c2h AhJcTs2s2d AhKdQd8s2d As9s7s6d3c 
KcTh7h6d2d JsJd9c8h3s Qs6d5s5c3c QhTs7h7c5h 
KdQh5s5c4h Qs9d8c7s5s 9h8c6d6c3d KsQd9s7h3c 
JhTs5h4h4d QhTc9d5s4s Kh5c4s4c3h KhKd7c6c2s 
Kc7c5d3s3d KdJc8s7d4d Qh9s7c6d5c Kh7d7c6h4s 
KhJd9h3h3d QhQd9h8c2h JsJcTd7h2s QsQcJc7h3c 
AsQd5s3s3c 9c6c5s4s4h QdTc7h7d5d QsTs5s5d3d 
JhJd6s6h4h 9h9c8h7c3c Th9c8s6d4c TsTc6c5d4c 
KsJs9h8c2d 9s8s8h4s4h Jc9h5h5d4d AcKhQs7s2d 
KdTs8h2s2d Ah9s8s8c6d AdTs4h3d3c Qd6c5d5c3h 
QsJcTd3c2h Ah7d6h3s2d 9c8d7c6s4h JdTc8h3d2h 
AhQc8d7s4s KcQd8s7s2d Qc9d7s6d3s Kc8h7c4s3h 
JsJh9d5c4c AcKs6s4s3h KcJd9h8s5s QdJh9c5d3d 
As9d6h5d4h AhJsTs6c3s AdKc9d3s3h Kd9h9c7h6h 
Qc6c5d4d3d AsQdJd7d3h 9s6c5s5h3h QdTs9h9c2c 
Ad7d5s5d2s Kh9s8c7s7d Ad6c4h3h2d JhTd5s5d2s 
JcTsTc3h2d JsTc9h6d3d KhTh9h8s3c KsTs9s8c2h 
Ah6s6d5c2h JhJc7d6d4s Jc7c6h4s4h Jh8d7s5s3d 
Td9s8h6c4s Js9h8d6h3d KcJd6s5d2s JsJd3s2s2d 
KsTh6h5d4h JdTs5s2h2d Js9s8d6h6c KsJs5d3h2h 
JdTs9c3h3d JsJc6d5h4d QhTd9c8c4s KsTh9c6d3h 
AsTs5s4c3d QcJs3s3c2d AhKc9s7s4s 9s8c6c4s4c 
Jc9s9d8d6d Td8c6s5h4h Kd5s4s4c3d Jd9h7s4s4d 
JhJdTs6s3s KcQs5s4h4d AhTs7d5d4d Tc8d6c4s2s 
KsQc6h4c2h Ac9h8s8d6d Th9h5h4d3d KcJd9d8d5h 
KdTs3c2s2d QhQd8h3h2d Td8s8d5c2c 9s9h7s5d2d 
Jc9s5c4c3s Kc8h8c6s4d QcJc7h6d6c QsJhTc3d3c 
KcJs6h6d5h 8c6s6h5s2h Jh9s8c6h6d 9d8s8d7c5h 
KcQd9d8s5d KcQs9h6s4d AsTc7d6h4h KhJcTs8d2d 
Qs9d9c4s3d As9d6c3s2c Ad8c6d3h2c TsTd6s5h4s 
KdJc9d6d5d KhTd8h3d3c Kc8h8d7c3d Qd8d8c6s5d 
9d8c7d6h4s KdQd8s6d4c Qh9s9d7c6c QcJh8d4d2c 
Ks7s7h3h3c Td9c7h5d4s KcJh9s9d5h Jd9h7h7c3c 
Th9s8h6h6c Jh9c7d4h4d 9d8h7s5h4c AsKs7c2h2d 
JsJh7s5c3d Jh9c8s6s5s KsQhTh4c2d AsKd7h5h3h 
Jd9s7c5s2d AhKc9h4s2d KhTh9h8c2d KhQh5s2s2c 
KdJd7c3h3c 8c7s7h5s4d KdQs8h5c4s ThTc5s5c4c 
AhKh5h4h3d AcTh9c5c2s KcQhTs4d3s 8h6h6c5c3h 
KcQs9s6d3h Kh9h7d5s3c KdQhJs4h4c AsQd6s4h2c 
QcTd9h5d3s AhKc9s4d2h AcQh6c4s2d KsTd5s4c3h 
JcTc8d6c4c QsJdTc8c2c KcJs8h7h5h Ac8s6d3d2c 
AcKs9s5s5h Tc9s8c6c4h Kd6h5h3c2d KcQs8d5s2d 
JdJcTh6s3s AcQh6d6c3c Qh8d7d6h2s 9s8h7s6d4c 
8d6h6c5c2h AhQd8s7c4c KhQdQc8h2s KdJh9h8h5c 
Td9s9c7c5c AsKdJs4s2s Jh6c5c4h3h Jd9d6c4s4c 
AsKc9c5d5c As8d6h4s3c KdQsJd5d2c AdQc9s4h2d 
AdJd9h5c2d QsJh8c4c2s QdJs7d7c5d QhQd7d5c3d 
Jh9s5s5c4c Ts8c6d4d3s QsQh7d6h3h Th8s6h4c2c 
QdTs7d5h4d KhQsTh6h3h Jd9h8s6s5s AdTs9s8c2s 
KsQdJd8d4h Ad7s6c5h4h KhJh9d7h3c QhQc6c3s2s 
As4d3s3h2d Tc8c7d6d2d ThTd8s4s2d Ad7d5h4d3c 
Tc9d7d5c2s AcKdJd3d2h Ah6h4d3h3d QcJhJd9h3h 
Td6c5c4s3d KsJh9s5c3s JdJcTh5d2d QsTc7h6c4c 
7h7d6s4h4c TdTc9h8d4s As9c8s5d3s AdKsJh2h2c 
Kd8s8d5h4c QcJhTh4h4d Th8c7s7h3s KcQsTd4h3d 
Jh9h7d5c2d AhKcQc8s2c Ah8h6d4h2d Th9h7d6c4h 
KhJd6d6c3c AsJs7d6s3h QsJc9c6d6c KsTd9h6c4c 
Ts8c7h5d4d Qc9s8s8d6h Jd9c5c4s3s Kc8d5h4h2c 
QhTd7h6d2h 9s8d8c7d3c KhKc8d7d2d Kc9s8s7h4h 
KdThTd4s4d QhJs5h3c2c Jc8d7h4h4c QsJd8h7d3h 
Td8d6h4s3s KsJc5d4d2c Th9c7d5h4s QdTs8s3s3d 
KsQc9h3s3h Ts8c7d6c2s QdJs7s5s4c KcTd9s6h3d 
AdJs6s5c4h QsJdTd6h2c AhTsTd8s3s QdJc7h7c6c 
Ts9h7d5s4s AdKc6h5s3s AcTs8s7h3d QsJc8h7d4s 
JsTh9d3s3c AcJc9c6s3h Td9d8d8c2c KdTd9h3d2h 
