Jd7s7d5s3s 
Ac9d7h6c3c KhJc7c6d4c Td9d8s7c4h 8h7d5s5d3s 
AcQsQdQc5d Qh6c5c4h2d 6s6h4s4h3s KcQhJc5c3c 
KcTd9d5s4h JhJd8h5s3c Ts8h7h5c3c Jh8c7c6d5c 
7c6s5d4d2s Jd9h8h7h6h 9s7h6h5d3c QcTs9s8s4h 
KdQsJd2h2c KsTc9h8c5c KcTc7s5d3c 9s7s7d6h5c 
QcJh7c5d4c Kd7h5c4d2c JhTc9h4h3d AdJd9s6h3d 
KsQcTc9c2c QdJhTs5h2h JhTc8h5h5d AhKc9d8d4s 
JsTh5s4c3s KhQcJh5h3h Qd8d6c5d4h 9s8s7s6d2d 
AcKd6c3h3c Jc9d7d4c3d AsTs9s3d3c Th8c7s5h4d 
Ac4d3d2h2c AcQh8d6s4s QdTs5d5c2c 9d8s6h5d4c 
KhJdTd6s3d JhTs6d5d5c Jc9d6c5h4s Qd7d7c6s5h 
KsKc8c3h2d JhJcTs4h2h 9c7h5d3h3c Kh7d5h4d2c 
KhTd7s5s4c Qc9c5d4h3h As7s6h5s4s AdKd7d3c2c 
AsQh8s7s2c 9h8s7c6s4d 9c7d7c5h5c KcQc7h4s2h 
AdKs8s6s4s KsJh6s4c3d QdJh9c6c4s ThTc9c6c5c 
QdJs5d3d2s KcJhTh4d2s 9d7d7c6h5s QcTh9d9c5c 
Ad8c7h7c5c AhJh6c2d2c Js8h6h4s4h KsQcJd9c2c 
Qd6s5c4d2s Kh8d6h5d2h AhQd5d4s3c JsTs9s7s4h 
9c6d6c5d2h Js8s8d5h5c 8d7s6s6h3d Js9h8h6s2s 
KcQhJd8c2s TsTd9h7s4s JdTs4d3s2c Kc8d5d5c3h 
8s8c7h6s2c QhJh6h5s4h AdQh8c7c4c KsJs9h5s3d 
Qd8s8d6s3d Ts9h6s6d5c 9h8d6h5h4s Qh9s8s7h2s 
Ts9s8s8h7s 7s6h5h4c2c QcJh7h4d3d 7h7d6s6c3c 
QhQcJd8s2d KcQd7c6c4c TdTc9d8d3h AhQd8d6d4c 
Tc8s7d6d2s QhQdJh9h3h QhTs9s6s4s KsJh5s4s4d 
Ac9s8h8c2c JhTh7h5s3c Kh8s7h5h4d 9h9c7c6c4s 
KcTc9d7c3c KdJdTc7s2d KcTh8c6s2d Qs9d8d5h3h 
KdJc6h4d3s Qd8h8c5d2h AsJd8h4h2d KhQdJs5s5c 
Ts7h7c4c3s Qd9h8d8c5s 9h9c7s6d4s QdTh6s4d3c 
8h7h6d5s3c QcJhJc5d2c Ad9d8d7d6d AdQs8h3d3c 
Kc9d7d4d3c Jd8c6h5s4h Qs8h8d5s2h KcJh9d7c3c 
Ts9s9h3h2c KcQs8h5c4c Jh6h5s5d4s QhTc9c8c4s 
Qs8c6c4s3h AhKcJd3c2c QsJh5s4c3s Jc8c6s5s3c 
QhTsTd8c3s QdTc9c5c4s QsQd9d2h2d AsJs9d6h3s 
Th8h7d5d3d TsTh8d5d5c QsJcTh3h2d Tc7s7h4s3c 
KsJs5h5d2d Qs9d9c6c5c AsKc7s6s2d As9s6h6d3c 
KsJsJc6d3s KhQdTs8h2h 8d7h7d4s3h Qs7c6d4d3s 
Kd6d6c4s2c 9h9d8h7d3h JsTd6c5c4c Qh9d5d4d3h 
TsTc5s4c2h TsTc9c8h2d AcQs8h7h4h Ks5h5c4h2s 
Ad8s6d4s2d JcTh7s7d4s Kc5h5c4d2d Th6c5h5c4d 
AcJs9s8d4s 8h7c5s5c3s Jc6c5s5h4s KsQdQc6s2s 
KsJs8c6s6h KsTd8s6s4s JsJdTh7c3c Js8s8c7h3c 
AcTs6s6d3d Jc8s7c5c3s 8c7h7c6c5s QcTs9c7d3c 
9h7s6c5d4c QcJs7h4h3s JcTc7s7h4c JsJc6d5s3h 
8d8c6d4c2d QsTc9s9d5s Jd9s8h5c4d KsQd8s4s3d 
Tc8h6s5d4s JcTsTd5h2c Ac9h4h4d2c Td9d8h3s3h 
KsQdJd6d3h QsQc9d6d3d AhQc8s7s4s KcQs9d8c4h 
QhJc5s5c2s Ks8s7d5s4c QsJh8c3s3h 8h7c6c4h3h 
Tc8d8c5s5h Td9h7c6h4h Qd7s7h6d3s 9h7c5s3h3c 
QcTd9d6d4d KcTs8h6s4s QsJd8c5h4c QdTh9d9c2d 
KsKhKd3s3d Qd8d7c6h4s Ks8c7s7h2h 9c8h8c5h2h 
KcQd9s2s2c AcJc9s9d2c QhTc9c7d3s QdTd7s4h2s 
Kh7h6s4s3h 8s6c5h5c3h JdTs4s3d2c Tc9s7s6s5s 
JhJd9h5s3h TsTc8h7h5h Jd8s8c7h6c 8d6s6d5c2c 
Qd9c6h5d4d Jd9d7s7h5c ThTc8c5s5c KcJd8d7s4h 
QdTsTh8c3h KsKhKd5d4s TdTc7s6s4s Td8d7c5c3c 
Ts9h8s2h2c KhJd7d6d6c As9h5d3s3c AdJd9d5s2c 
Tc8d7h7d3c Qd9d8s7d6d AdQh6h6c4s KsQc8s3d2c 
Js9d7s5c4h QhJcTc3s3c 7s6s5h4c2h KsTh9s8c4s 
9h7h7d6c5s Td9h6d6c5s KdTh7c5c4s KsKd8d3h2c 
KsJs9c6h4s Kd8c7d5d4s 8h8c7h6c2c JhTd5h4c3h 
AhKs9c4h2d AcQs8h7c2c 6h6d4h4d3d Kd9h9c8h6s 
Ks6h5d4h4d JdJc8h4h2c 8s8c6c4s2c 9d7s6h5c4s 
Jc9c8c7h3h AcJc8d8c2h Ac4s3s2h2c Ac9d5h3s3c 
Ts9s8h2h2d QcTd7c5h2h KcTs9c8d2c Ad4h3h3d2s 
Kd9h9d8d2h Js9h8c5d4s QhTd7d7c2h AdJd5s4d3h 
Qd7h5h5d3s KsTc6s3c2d AcKhQh7h3h QdJs9d5c2h 
Th8c7c5h3c AcTd7s5s5h 9s7d7c6d5h JhTc6s6d4d 
QcJc9h6s6c Ad8c7c6s4h Ts9h7h6h5h KcQc8d5d2c 
AcQc8d7c2s KsQd9d3s2d KcQc5h4s2d Qd8h7d5c4s 
AdTd9h5d4d KcTs4c3s2h KhTs5h3s2s Qd6h5d4h2c 
Tc8h8d4c2h QdJs7c6d4d Qs9h7s6c2h Ac6d4s3c2s 
Ad8s7c6c5c JdJc8h7s4h 7h6h5s4c2s QdTh9s6s3s 
KhJh9s5h3c KhJc8h4h4c JdJc7s4d2c KdQh9c5d4d 
QdQc8c4h3s Ac7d4d2d2c KsQh7d5d4c Qs9s9c8s5h 
As9h9c7s3s AcQd7s6h4s As9h9d6h3d Js9s7h5d3c 
TsTd6d4s2h Th8s8h4c2s KcTs7d4h3c Ks9h7d5d3h 
QdJh9c6d4d QcJh8d6s4s Kd9c7c4c3d Jh9s8c6c2s 
AdJh7h5c3s Qc8d7c5h4s KhTs6h5h5c Td6s5s5d4h 
QsJs8s7s5c Th8d6s4d2h TsTd9h5s3c Kc9c8h5h3c 
AdJc9d6d3h AdTs9h8c2h AsJs5c4d3s JsJd9d7c3d 
AcQcJs4c2c As9h7d6s3s Kd7s7c5s2d Ks9d7c5c3d 
JhTd6s6c4c 8s6s6h5d2d Jh9s7s7c6s JhTd8s5d3c 
As9c4d4c2s Jh8s7c6s5s Jh6h6c5c3d 8s8c7s5s4h 
QcTh9s8d2d AsJc7h6d2s AsKcJc8c3c AhJh9h5c2d 
9s9d7s6s4h Ac9s9d7c3c Qd9h9c8c6c Tc8s7h5c4c 
KsTd4s3d2c KdQhTs4h4c TsTd8d7d5d Kh6s5d3d2h 
Tc9c7s3s3h Kd8c7h7d2h AhJc9s4h3h 9s7d5s4d3s 
Qd7s6h5h3s AcJsJd5d2h 8s6h5s5d3h Ks7d5s5d3s 
Qs9h5s5h3h AsJd9s6s3c QsQd5h4c3c QsJd8c6c4h 
KdJs9c7s4h 8d7d6c5d4d QhQdJs3s2c Ac9d8h6h3d 
KdJc7c6s6c Tc8c6h4h2d Qd6h5s4d2h AhJh5s4h3c 
JcThTd8h3h KdQs9h7h5c AhKc9h8h4h AcJs5c4c3h 
As9h6c5s3s AdKh9h6s4h Js9d8h5c4s Kh6s5s5h2s 
QhJc8s3h3c Qs8d7h6c5d QsQd8d4c3h AhQdTc5d2d 
KsTs6h4d4c Kc8h6d4c3d QdJc9h5s4s 9d8c6s5h5d 
AdJd8d6c3s QsQc6h6d2s Td8s7c6c2s Tc9s5c3s3d 
Th8d6s5d4c KcJsJc5d2c 9h8h7c5d4s Kh7d4h4c3d 
9s8h8c7s6s KsTs7d5c3s KsQc9h7c2h KcQs7s3s3c 
AhQc6h6d2s KhQd6d4c2c AhJs9h6h3c AdJs7s5c3h 
QsJc9c8h2d KhJc9d8d5d Kc8c7c5s3s 9c7s7d6c5h 
9h7s6h5d3h 9c7d5d3h3c KcJc9s4c2s Jc9c7d7c4d 
KdTh8s7c2d AhJh9h3c2c Ac7s5d4d3s QdQcJh3h2s 
AsTd6s5s3h AhKh9s3s2h As9h9d2s2c Qh8c6h6d3d 
QdTs9h8c2c 9d7s7c6d5h KhJh9s6d4h JhTs8c5d5c 
ThTc7s6s4s Qc7h5h5c3d 8c6s5c3s3h AhQd9c5h2h 
Ad8d6c4s2h KcJd9s7d4h AhJc9d5s4s KsTd6h5c4c 
KsTs8c4c2s KcJsTh3s3d Kd7s7h5s2d Td8s8c4d2s 
Td8d8c4s2c AhQh8d7s2h AsKdTd6d2h Ah9d4d4c2h 
Kc6s4s4h3c Jd8c7h5s4h KhQdJc8h2s Qs7s6s6c4c 
AcQh6h5h5d JsJh4d3s2h KsJc8c3s2d KhJh9h5d3s 
AsTc6h6c3h JsJd9h8c2d JcTh9c4c3d KsJc5s4s4h 
QsJh9s5s3c 8c7d7c4s3d KdTs8c7h4c AdQc8h6d2d 
JhTh9s9d2h AhKh9d3d2h QhJdTs5d2d QhJc7d4d3c 
KcJd8s6s2d Qd6h6c5d2h KhTh6d3s2s Qh8d7h6s6c 
Qc7d5c4h3h Jc7d7c5d3d QhJs9s4d2d 9h9c6s5s4s 
JdJc9d3s3d QdTh7d7c4s As9d4h4d2s QhTc9h7h3s 
7h7c4h3s3c Qc7h5c4d3d 8d7c5c4s2d QcJh9s6c4c 
Ad8d6h4s2c Ac8c6h4s2d JsJd4s3d2h Td8d6h5d3h 
Qc9d8s8d2s As8s6d4c2h JhJd9h8h4c Qc7c6s4d3d 
AsKdTd4d2h KhKdQh8h3h JdTs9c4h4d Kh8d8c7c6s 
KdJs4s4d2s AcJh7d4c2s Ks6s6d4c2d Kh8d7c5h4h 
KsTs9c8s3d KsQc9h7h5d Ah9d7s7c5c Jc8d5c4s2d 
JhTd5h3d2d KhQdJc6d3d Ad6s6d3s2s Jc9d7h7c6c 
QdJd9h3s2s Qc9s5c4s3s 8s7s6d5h3c Qh8h8c6c3h 
8c6s5s5d3d KhQh8c5h4d AsKd5s5c2s Ts8c5s5c3h 
JsTc6s5d3h ThTd7d5s2h Ad9s8d4c2h Ts6s6h5d5c 
AsKh6s4s2d KsJd7d6h6d Qs9c5s5c3c Ks7h5h4s2h 
As8h7h7c6d Ah9s4s4c2h KdQh5s3s2h Td9s7c5d2s 
9s8h7s6s2h JcTh8c7c4c Js8c6s5h2c AsQsQhQd5d 
QsJd9d4c2c 8s8d6s4d2s KcJc7d4s2d Kh8c5h5c3d 
KcJc9c5d3h AsKdJd8d3d Qs8s8h5c2c QsJs4h3h2c 
Jh5s5d3h3d TsTc5c4s2d QhTc7s7h4d KhJdTc8s2c 
KhJhTh7d3h Qh9d8s8d2s Ks7s5d4d2c KhTs6h3s2d 
JcTc6h6c4d KcQsJc4h4c As7c4s3c2d 9d6h5s3h3d 
JhTs6h3s3h Kc6s5d4s4d KdTsTh6h3c Qc6s6d5c2d 
Qs9h6c5s4s 9c6h5d4h4d Qs9s8c6d4h Jc8d5c4h2d 
Ah4d3d2h2c AhQdJc3c2s KhQsQd6h2h Ad8c7s7c6h 
QdTd7s5d4c Ah9d4s4h2s QsQcTs7s3s Qc9s8h7s5d 
KcTd8d3h2c KsQcTd6h3h Qd7d6s4s4c KhQsTd7d3c 
JhJdTc4d2d KsKh8c5d2c AhJd7h4c3h Jd9s6d4s4h 
QdJc9c5c3s KhJs6c4h3d KhTc9d3c2d 9h6d5s4s4d 
AhTd5h3d2h AhJs9c7d4c AsQc7d6c4c Qs9h8s8h4s 
KsTsTh5d3s Qs9s5h5c3c AcQc4d3s2h 9s8s7h5d4c 
KdJh7h6s4h JcTs6d5h3c Ah6c3h3c2d Kh8h6s5d4h 
Qs8h5c4s3c TsTc8h5d4h Kh6c5h3d2d Tc9d8s6c4c 
Ks8h6c4s2c QsJhJc8c3d Jc7c5s5c4s KcTh8s3c2s 
9d6c5s4d3c Jh9d8d7d6d KsTd6s3d2c Ks8d7s5s4c 
QcJc9s6h4c Th8c7d6d2h AhKdTd6d2c Td9d9c3c2h 
JcTc6c5h2h QsJh7c5s5d TdTc7c6h3s Jd8s8c7h6s 
Th9h7d3d3c QdJh3h3c2d KcJcTs7d2c Kd8d7s6d3s 
AcTh8c4c2s KsTh9h6h5h Qh6s5c4h2s TdTc9c6h4c 
Kh8s8d5s5d Ad9d6s5c4d Qd7d6s4s4h KhQh9d4s4d 
KhJd7d6d5d Qd6s5s4d2c KsTh8h7h4d 7s7d6h6d3d 
AcKsQd4h2h Qh9s9c8h5d Jc8h7d5h2c Th9s8d6h4h 
Qh8c7h5d4s Qs9s5d4c3c QsQd6d5d3d 7d7c6s6h3d 
Ac5c4s4h3d Td8h6s5h4c AdTsTd5h2d Qs8d7s6h6c 
Ad6s4h3d2h Ad9s9d4c3h Qd7h6h6c4c ThTc9h8d2s 
Kd5s5d4c2c KsTs9d8s3c Kc8c7c5h3h QsThTd7s3c 
AcKh9h5d3h KhQd7d4h2d KsQd3s3h2h KcTd9d7d4h 
QhJh9s6c4h QdQcTc8c2c AhQh5c3h3d QdTc8s4c2s 
KcQs9c5c4d QsJh8d7d3h KsTh9h7h4c KdThTc6c3s 
AhTh5h3s2s AhTc5s4c3s AdTh9h6s4c AcTd8s4d2s 
QsJh7s5d4s Qd9d5s4h3h KhTd6h3d2s KsJd7h5h4c 
Ac9d6c5c4s Kh8s7c5h4h AsJh9s6s3c Qd9c8s8d5h 
AdQh6s6c5c AhTh9h5d2c KsQd6h6c5h KcJd9h5c3c 
As9c5d3s3h KcJd8d6s3s Td6h5h5d4s KsQc9h8s4d 
As9c8d2s2h QdTc6h4d3s Qs9d8s8c5h Ad8d5d5c4s 
As9s7h7d2c Ad7c5h4d2s 9h6c5c3s3h Qd9c8d7h5d 
Ks8d6s5d2s AdKd9s3s2d AhTc9c6d3s AsTs8d7s3s 
AhQd8h7h2c QcTd7h5s4h ThTd9c6h3h Jd9d7s4s3h 
JsTh4h3s2d TsTc9c7d4c QcJh7s6c2h KdJd9d6h2h 
KcQd6s6h4d Jd9d7d7c4c QsQc6c4c3h 8s7c5c4d2s 
Qh9d5s5d4s AdQs6h6d2c AcTc5h5d4c Qh7s6d5d3s 
JhTd6s6c4s KcJhTd6h3h 9h8d6h4d3c KcQc9d2h2d 
KhJc4s3s2h JhJc6d5c3s 8h7h7d5c4h JsTdTc5h2c 
8c7h7c4s3h QhJs6d6c4s Kd8d6h5s4d 9h9c7h6c2h 
Jd8d6s5s2s JhTs8c7h2d AcTh6c3s3d Kh9s9d8s6c 
Tc6d5d5c4h Qc9h9d6s5s KsQd7h5h4c Ts9d8c6s4s 
AsJc9d7h4d JdJc8c7s3h AsKc9c5d3c Th7d5h4c3d 
Jd6s5c4c3d AsQc8c6c4d Th8d7s5c4d Kh8d6c4c2h 
TdTc7s5h4h Th9c7h3h3c Jh8d7c5s4c Qc8d7d6c3d 
Ts8c7h6h2s Qd8d6h5d4s 7s6d5c4c2d JhTh8c2h2c 
AcKd5h3s2d AsKh6c3h3d KhTd6c2h2d Jd9d5c4c3d 
KsJh5h2s2h AdJhTh3s2c KhTd6h6d2h Ts6s6c5s4c 
Qs9h8h8c2c KcQc9d6c4s QcJd9d8s2h AcKs9h4s3d 
KcTs9c5d2h Js7s6s6c4c JdJcTs6c2h KcJcTc6c3h 
Tc8h7s6s2c QdTh7d5s2s JsJc9d3d2s AhJc9d7s4d 
KdTh8d6d4d QhJc3c2s2h QhTs8c7c4c KdJdTs4d3d 
KhKc8s5d2d Ac9h4s4c2s AcJh7s5h2s QcJc9h6c4d 
KcQd9s7h3c QhJc8h6h4d Kh5s5d4s2h AdKsQs7s2h 
9h7h5c4c3h Ad6c3d3c2s Jc8s7s6d5s AsQd8d6h4d 
JsJh4h3s2c TsTd8s5s5c Jd9d7c6s6h AsTh8d4h2d 
Jd9c7d5s4h Ad8d5s5d4h JsTc7h7d4d KcQs8d6d5d 
QhJc8d3h3c KcQc8s5s2c AdJc8h4c2h KhQc9s5h4h 
Ac9s7d6s6h KsJsTs3h2c KhJhTc7d2h Ah7h5s5c4h 
9d9c8d6h4s Ad7c5c4s3s QcTh9d6d3d KcTs9c5c3d 
9c8s8h7c6c 8s7s6s5c4s Ts6c5s5c4h 9s7s6c5s4d 
QdJd9s6d6c 9h9c8s8d2d KdJd9c5d3h Ts8c7h5s4d 
AhKhJc8h2h Td9s6d5c2c KsTd8s2d2c JsJd9s3s3h 
KhJs9d8d5d Kc8s6h4h2c Td6h5d4h3s Kd8s8c7s6h 
JhTd6s6h5h AhQh9h8s4h KhTd7s3h2d QhJsJd9c4c 
QsJc9h6s4s AcKhJs3h2h JsJcTd5h2h 9s7d6c5s4s 
KsJd4c3c2s TsTd6d2s2c KhQhJh7s7h Jh8c6h5s2c 
AsTh9s5d2s JsJd9s3h2h Kd9s8c6d4h QsTh9s9c5s 
AsJhJd5d2c Jd9h8h6d2d QcTh7s5d4s QsQh5h4h2d 
AhTd6h3s3c AhTs9h6h2d Qd7d6s4c3c QhJd8s7s3d 
Kh7c5h4c2s KhJc6c5c4d Qh9h9c8h5s AdQdTh7d2d 
TdTc6c2h2d Tc9h8c2s2h Qd9d5h5c3c Th9d8d4d3h 
QhTd9s7c4c JsJh9h3d2d QcJsTd5s2s QsTc8d7d4d 
AdJc7c6h6c QhJc9c5s4c QhTh7s4c2s Qs9h9d8s5c 
Qc8h7c6s6d KcTs5c2s2d JsTdTc5h2d KdQdJd4h3d 
AdKh9s4d2c KdQd9s6c4d 9d7d5c4c3d QcTd9d5d4h 
ThTc9s8s4d KsQd6d4h2h KdQc8d4d3c 8s8c7h5h4d 
QcTs9h9c2c Td8c7c5d3c Kh9h9c5h2c KdTc9d8h4d 
AcTd9c6c2h QcTh7c5d2d TsTc7h5d4d AhKh7h3d2d 
JhTc4h3d2c Kd8d7s7d3s AdJd8d6s3h 8s7s7c6s5d 
Ts8s6c4c2h Jh9h9d7c4s JdTsTd4h2d KcJd8d6h3h 
KdTd9s7d3d AcTs8d4s2d KsJc5s4s4d KcQs6h6d5h 
KcQs9h6s3d JhTd6c5s3h KdQsTh7c2d QsTc9c8c4d 
AhJs9c5d4c QsTc9d7h4h QdJd6d5c4d AsJs4s4d2d 
Qd8c5h4d3h Js9c6s5h4d QcTd8h6s2c Qc7h7d6c3h 
7s7c4s3d3c 9s9d7h6c4h Qc6s5c4s2h Td8h8d7s4c 
AhKsKhKc8d AhJh9s6d3h 7s7d5s5c4s AhTd4s4c3h 
AdTs7s6s5s Td9h7h3h3d Qd9c7c5h2d 8h8c7c5c4d 
Ad8d6c4h2s QhTc8d4c2d KdJc6h4s3d As9h9c6h3c 
Td8s8c6c4h Td8h8c6s5s KcJs8s3c2h As9c4s4d2d 
Tc9c8s2s2h QsJs4h3h2d AsJd8c4c2d Kc6d5c3s2s 
Th9c5h5c3h JhTd7s6d3c QcTs9h9d5h JcTsTc4d2c 
Kc8d5c4d4c KdQcJh5h2s QsTc8h2s2h KdQhQc7h2s 
Kh9h6d3d3c KsQdJh5h5c 8s8c6c4h2h AdQsJh8c2c 
AdJd8h8d2c KsKd4h3h2c Jd9c7h4h3d 8h8d7h6d2d 
KdTh9d8c4d Ac9s8c4c2s JhTd7s7h2s QdJd9h6d4s 
KcQd6d4s2s JcTh6s6d4d AdTd9d5h2c Kh9h9c7s4d 
Ah9s8d6c5d Ks8c5s4c2h Qd9c8h5h3c Ac7d7c5c4c 
QcJh9h5s4h Ah8c7h3s3d KsKc4h3h2d JhTd7h7c2c 
KdQhTh9h2h As8h7d6d5d AcKh9h5s3h Qd9s9c6c5c 
AcTd6c4s4c Ks5h5c4c2s AcJd5s4d2s 9h8s8c7h2c 
KdTh9h5s4c Ks8c6s5c2s Th9s7d5c4h Jc8d6c5s2d 
KhQh8s5h4c KdTsTc5h4h Jd8d8c6c2h Qh9c5c4c3h 
8h7d6s6d3h JsTd6s5c3h JhTs6c5d5c Ad8c7c6h4s 
As4h3s3h2c KcQsQd6d2d QsJs6h3h3d KdJc6c5c4s 
QdTc9h6h3h Ac8s7c4h2d AcJhJd4s3s Ts9h5s3h3c 
9d7c5c3h3d QhTd6s4h3c Ts8s7d4c3d JdTs4d3s2h 
Td9h7d3h3d Jh9d7d6h2c QsJsJc5h2s Ac9d8c4s2h 
QsTc4s3s3c QdJhTd3d3c AhKd6h3s3h TdTc9h5d3s 
Kd8h8c7h6s KhQd8h4c3c Jd8s7h5h2d QhJcTc3d3c 
Ks6s6c4h2c KhQs9h6h4c QsJh5h5c2c KdJs9h8h5h 
Qc6s5s4c2h QcJc9h6c4s Ks8d5s4d2h 9s7h5h3s3c 
AsQs9s5c4s KsQhJc5c2d TdTc9c8s2h QhTh7s4d2s 
Ah5d5c4s3h QcTd5s5c2s KhKd9h3h2s KsQc9d5s4s 
KhTd9c6c3s QsJc3d3c2s 9s7s6c4s3c Qc9c8h7c6c 
KhQcTs6d2c AcJd7d6h6d 9s7h6d5d2s 9c8h6c4h3s 
Qd7c6h6c4h AcKs6c3d3c AdJcTc3h2s Jh7h5h5d4d 
Qh9h5s5c3s Ks8d8c5d4c Kd7s5d4s2c AsQc8d6d4h 
Ah9h8c7h4h Qh9d6d3s3h Ac9h7s7c3c KcJs6h4d3c 
QdJh8c7c3h AhJc8d4d2c KcQc8s8c7c JhTd5h5c3s 
JcTsTh5d2c AdKsQs7s3s Kd7h5s4d2s KcTh8c6d2s 
Qc9h9d6d5d QcJd5s5c2s AsKs7h3h2s 8c6c5c4s2s 
Jc7d6c4h3h Ah9h6s5d2c KsTd7h4c3s KdJh6c4s3d 
JsJd9d8d4c KhQs9d2h2d QdJs8c6h4h KcJd8s6h5h 
Js7d6s4h3h AcQcTc5c2d JhTh6h5c2c QhTh5c3c2s 
KcJs8c4s2s AdTh9d4d2s Ks7s7h4c3c Tc7s5c4d3s 
AsKc9d8d4h Qs9d8s8h5c Ac9d6c5c4h JsTs7c5s3d 
Qd9d5h4s3s AsTh9c5d4h Th8h6d5h4c KhQcJh4h4d 
QcJd5h5d4s JsThTd8d3d JdTh8c7d2s Qd9s8s5c3c 
QdTs8s6s4s Tc6h6c5d3h AcTs5c3s2c AhJs5d4s2d 
8h8d7h6s2d QhJs3s2h2c KdJs8c6h5h Jd9h6d5s4c 
Jc9h6h6c3h Kh9h8d5h5d 7h6d6c4h3d KcTc9d4s2h 
JhTc4h3c2s Ad9h9c6c3h KsKdKc5s4d Ks9d8h6s4c 
TsTh6c5c2h AcTc8s4d2c AsQs9s8h4s 8h7h5s4c2s 
8h8c7c6h2h Kh6c5d4d4c AdJd9d5c2s 9s8c6s6c3s 
As9s8d7s4s TsTc6d5h4h KcQdTh3s3d 8s8h7s6c4s 
AcJd8d7d4d KdJs5d4d4c Jd9s8d6s2s 9h8s8h5s2s 
AsJh9d9c6h Qs7s6h6c3h AdTc6s4h2d KsQdJd9d3h 
9s7d6h5h2s QcTc7s5d2s Ah8h5h5c4d JdJcTd4d2h 
AsQcJh3h2d KhJcTd3s3c AcKhTs4d3d KsQc7s6s4s 
KhQsJd5d5c AdQs8c5s3h Tc8h7d6d2h KcJdTh6d3d 
Qh9h8s8h7h Ah8s4h2s2d AdTs6d3h3c Th8d8c4h2d 
QdQcTd8d2d KcTsTd7c3c AhQsTd5s2s JdJc9h7c4c 
Ac7s5h4h3s AhTc8h7h3h QcJc8h5s5d AdJs7d4h3d 
Jd9c8h8d5s As8s5s5d4h AhJcTc3s2d KdQs7c5s2c 
QdJd9d6s4c KcQc9h6c4s KsJc9h7c4d AsTh5s3h2s 
KhJh8d6h6c Qs9s8h6d4c Td9c5d5c3c QsJd9s7c3h 
QsJh9s7d3c AcTh9s5d4h KcTh9d6h4h JsThTd5c2h 
Td8d6h5d4c Ks8d7c5s4s 8h8d7d5c4d KhQdTs7c2h 
KcQd8d3c2s Ah8s5d4s4d QcTc5s3s2d QhTh9h4s3d 
7c6s6d4c3d Ac9h8c4h2c TsTh8s7s5s QsJsJd4h2s 
JsTd7h4d2h Td8s7s7c3d 7h7c6d6c3c 8s8h7c5c2s 
KsJsTs4d4c AdKdJc8d2d 9c8s8d7s2d Kd7h4d4c3h 
KsTc9s8h4s KcQhTh9h2h QcJs7h5c2h KsJc7c6d4c 
QhJc8h6s4h Kd7h5h5d3d KdQh7s5s4c AcQd6h5s3d 
QhJh7h6h5c Qh9c7c5d2h AcKdJh3d2d Qd9c8s8c2s 
TdTc9c6s3c KdQs8s3d2h Jc6c5h5d4d Kd5h5c4c2d 
Ts9s8s6c4h Td8s8h5s2d JhTd8h7h4h QsJc7d6s2c 
Td8c6s4s2d Ah8h8d4h2d Jc8d6h5s4h JhTc6d5s5d 
AhQdTd6d3d Qh8s5s5d3h As9h9c8d6d KhQh7c4d2c 
KcQsJc5c3c Td9h7d6c4d KhTh9d8h3c KcQc9h4s2s 
Kc7d5h4c2h Kh8s5s5h3s Jh9d8s8d2s KsTd7h5h4c 
QcJhTs5h2h Js9c7d7c6c QdTs9c8h4h QdJs8h7h3s 
As9s6c5h2d JsThTd5s2c Ah7s7h5h4h Tc9c8d8c7c 
KsQcJs2h2d QdTc9s7h4h KcQc9c6s4h KsTh8s2h2d 
9c7h7c5d5c 9s8d6s5s4c KcJdTc7c3c QhJh8c7c3c 
QcJs7c5h4c AdQc7c6h3s QsJc8d8c5c AcKd5c3c2h 
KdJd7s5d4d JdTc9h4s4d QcTd8s8h5s JhTs5h4c3h 
TdTc9s7h4s KdJh9c7h4s Jd8d8c7s3c KdJs8h7s2h 
Kh8h7c5h4d Qs7c6c4c3s 9d8s8d6s2s Jh9c8c4h2s 
TsTh9s5c3d KhQc6s6h4h QsJs9c6s4h AhTc8c5s5c 
KcQhJh9h3s QdJd7s5c3h Qc7d6h4h3c Qc9h9c8c5d 
TsTc9d6d3h AdKs9s5c3s AcKsTd4h3h KdTd9c5s3d 
KdJh6d4s3c Qd8s6d4h3h AsKd5s3s2c Jh9s9c6c5c 
9s9h7c6d4c Qh8c7c5h3c KcQsTs9s3s KdTsTh7d3d 
AcKdQd8d2s AhKdJs3s2c Td8h6c5c4s As8h8d3d2s 
Ad9h8d4s2c AsJd4d4c3c AhKs5h5d2h QsJcTc3d3c 
QcTd9h5h4h KhQh9h5s2s AdJd9d8h3d JsJh9d8c2s 
KhJd8c7d2c Kh8c7d5h4h KcJh7s5s4d JcTd7s7c2s 
Th8s5s5h3d KcJh8s6s5s 7s7d5s5h3s JsTc4d2s2c 
KcJd7h6h4s 9h6d5s3h3d 9s7s7c5s5d AdJh7s5h2s 
Qs9c8d8c2d QdJh6h5c3s QsJd6h6c4d AcTd9c6c2s 
QsJc8c7d2d 8s8h7h6c2c AsJs7s6h4s 8h7h6s4h3s 
Qd7s6d4s3s ThTc6c4h2s KdQs7c5c4h AdKs9h5c2s 
Th8s8c6c4d Ac7h4h2h2c AhJs7d5s3c Ac9s8s7s6s 
AdQh8h5s3c KsQcTh7d2s KhTh9c8h3d Jc7d6d4s3c 
