9d5d4h2s2h 
9h9d8c4c3c Tc8d6d3s3d Qd7s7h5h3h QsJc7h7d3h 
KsQs8c4s4h Kc8c7s7c2h 7d6s6h5d2d Qd7h5s4c3h 
KcTd4d3h3d 9h5h4c2s2c 8d7d4c3s2c Qd8d7c4h3s 
9h5h3d2s2d Ts8s4s3d2d Qd9d8d7d2s Jc7c6s5d2h 
9h8d6s4c2c Qh6s4s4c2c Ts8h4h3c2c Ts6d4s2d2c 
Qs7d6c4d3d Kh8c6s2h2d KcJs8h3c2d AhTd7d4d2s 
Jd9d8d4s3h Qc7d5d4d3h QcTd5s5h2d Td8s6h3s3c 
KsJs8h2d2c Qd9h5c4h3h Jh8d5h5c2h Jd7h7d4s3d 
AdQd9d3d2c Kd7h6h4h3h 5d4d3s3c2c Jc9h5c4s2c 
Ks9s6s5h2s Ad8h7c4c3s Qh9s7h5h2d Qd7s5s5h3c 
KhJd7c4d2s Qh7d6d4c3d JhTh7c4h2h 9h8h7h3d3c 
7h6c5s3c2d QdTh3d3c2s Jh7h5d4c2s Kc6s6d5s2h 
TsTd6h5h2h 8s7d7c4c2h 9h6s6d5h2h Kc9s8d5h3d 
Kh8h7h6c3h Th8c5d4c2c Ah8c5d4d3s Jd7h5s4c2d 
Ts8d7d4h2c Kd6d5h3s2d KhJd8s6d2d Jc8c4s3h2h 
KhJc8s4c3c Jh6d5s5c3c 5h4h4d2s2c KhJc4h3d2h 
Qc8h7c5c3c Qc8c7d4h3s Jd5s4s2s2d JsTd4h3s2s 
Ks7d5d5c3d 9s8s3h3d2h Js7s7c4s2c Ts8h7d4c2c 
8c6h4s4c2d As8d7c4d3d KcTs8c3c2d KsQs7d4c2s 
Kc9c8h5c2c Kd8c7s3h3d Qd9c8s4h2d Ks8s6h4c2s 
Js9d8c4h3h 9d7d6h4c2s 7d6s4d3d2s 9h8c5d2s2d 
KhQh6s3d2h Th5c4d3h2d Td8d7s3h3d TsTd5c4h2h 
Jd7c6s3d2s As6c5c4d2h Ad9s6s4c2c Ad8d6d4d2s 
7s6h6d5s2s 7c6h5c3s2d Jd8h8c6d3d Td6h5s5h3h 
Qd5s4c3c2s Ah8h8c3s2h Js6h5s3d3c Jh9c5d4c2s 
8c6s5c3h2c Tc8s3s2d2c KdJs4d3c2d KhQh6s3h2d 
Kc9h9d3h2d Js7s6c5d2h Qs6d5d4d4c 8s6h6c4d2d 
QdJc7h5s2h Ts6s5c4s3s Ah8d7s6d2d Th6c5d5c3c 
7s5d3d2s2c Jc6s5d3h3c KhQh7s4c2h Ad9h7c4h3s 
9c6s4c3c2s KdQdJd7d2c JdTs6h6d2d KcQd6c3c2s 
QhJc7c5c2c Kd9d7s7d2h Qh9c8d4h2s KcJh8d6s2d 
Kc9h8h5h3d KdJs7d4c2d Ah9c5d4s3d JcTh6s3c2d 
Kd8s7c3h3d QcJc6h6c2d Ks9h9d8h2h Qc9c3s3d2s 
8h8c6h3s2d Js7s5s4s4d Js9h5c4d2d 6c5h4s4d2d 
AhQsQdQc8h Jh9s7h3h3d KdJh4s4h2c 9h6s5h2h2c 
Ah8s8c6c2c 7h6s5c3d2s 9c8s7c4h3c 9d8c5s2s2h 
Qh5s4d3c2h Tc8c3h3d2h 9c8c4h3h2d Js9h6c4d3c 
Kh9h7h4d4c 9s8h5s4s2d ThTc6c5c2c AsTsTdTc6c 
KhQd6d3s2c Td7s7d4h2c Qc8d5d3h2h 9s6c3s3c2d 
8s8d4s2h2c Jd6h4c3d2h KdQs7d4d2h Js7s7c3c2h 
Qs7d4h4d3h 9h5s5h3s2h KcJd8h6s2h Js9c5s5d2s 
As9d8d5d2d 9h5s4s3h2s TdTc5h2s2h Jc9s8s7s2s 
Qs9c7s4h4d Kc6h6d3s3h Js9s5c3h2d Js8s8h6d3s 
Jc8c4h3h2s 9h6s5d3c2h Kc8s5d4h4d Qs9s9h6s2s 
Qc4s4c3d2d Jh8h7s3c2s Ts9c5d3h2s Th7s6h5h2c 
As6c5d3h3d Ac8s7h4s3s KdQd8c5d2d Kc6s6h5s2d 
Qs7s7d4h3c AsJh5d3c2h KsJs4d3c2s KhTs8c3h2h 
7h7d5d3s2c Jc8d7h3c2h AhJd9s4c2c Tc9h5c4c2s 
Ac9d8d3s3h Qh7d6c3h2d Qs9c6c5c2d KcJd8c4s2c 
KsQd7d4d3d KdQc4d2h2d 8s6d6c4d2d Qd7h6c4s3h 
JsJhJc7h7c Jc5s4h3s2h KsJh7s3s3d 9s6s5s4s4c 
KsJh9c6c2c Ts6d5s3s2d Ad8d5s3c2d Ts9c7c4h2d 
Ts8h8c4h2h Kc9d8s7s2s 7c6s3h3c2s Jd8h6h3h2d 
Th7c6h3s3h AhJd6c5d2d Qc9s7s5d2h AcQs6d3h3d 
QcJd7h4c2s KhJh8c3s2d Ks9d7h4s2c Td8c7c4c2s 
Tc6s5c3s2c Ts6d4d3c2c 9c7s7d5h2h AdJd3d2s2c 
Kd6s3s3d2d AhJd5s4c2s 9s6d5s2s2c 7c5h4h3h3d 
AhTc7d6d2d Tc9h5s3d2c 8d7s7d5d2d AcQc7c2s2h 
Kc9s5d3h2c AhQc9c6c2c KcTd8h4s2s KdQh9d4s2d 
Jd8s8c4d3h Ah5s5d4d3c Jh7d7c6s3s KcQd7h6s2h 
Ks8h7h3s2s QsTs4c3s2h As9s5d3h2s KcJd8s6h2s 
Kh9c8h4s4d Jd7d6d4h4c 7s5c3d2s2c AsJc6s2s2d 
JhTh8h7h2h Qs9c8d7c2c KsQs9d3s2h Js6s6d3d2h 
Ks9h8s3d3c Ac9c7h3c2d Ac8s8c3d2c Qs8c7h4s3d 
AsTh6d3d3c QsTh3s3d2c QsJd9d3d2c Ad6s5s4s3h 
AsJh9c4d2d Qd9s4s4d2d 9d8d3s3h2s Qh9c8c4d3s 
Qh9c7h6h2d QdJc9s3s2h Kh6s6c3d2h Jd7s6h6c3c 
9h8c7c2s2d JcTh6h3s2d Qh8s7h5h3h KhQh4h2s2d 
Ts9c7s6s2s Qd8h7c4c2h Qd8d7s4c3h Tc5h4h2d2c 
Qh8d4s3d2h QdTh7h3s3c Ac6s4d2s2d Qd8h4s3h2d 
QsJh3s2s2d QcJc3d3c2s Ks9c5h5d2s 8h6d5c3s2c 
Jh8d7d7c3s Tc6d6c4s3c Qc9c7c5c4c 8d8c7s4d2d 
KhJs8h4c2h Kd6s5s5h2c Kd8h5s4s4c Qd9d4s3s2d 
Ad9c7s5c2h Kc9s8c3h3d 7h7d5h3h2s 8h6s5h3c2h 
AcTc3s3h2c JsJd6c4s2s Jc9d5h5c2c 9s7c4c2s2h 
As8c5h4h3d 6s6d6c5s5d Qd7c5s4h3c 9h7h5c4d2s 
Jd9h5s4s2c QdJh7c5h2h 5s4s4c2h2d Ah9s7c4s3d 
Qs5s3h2h2c 6h5s4s3c2s Tc8d7h4d2s Kh7d5c3c2d 
Ts8c7c4c2d Qd5c4h4d2s Ad8d6h6d3d Ah9c5s3h2h 
9s8d5s4s2h Js7h6c4h4d Kc6c5c2h2d Ad6c4s2s2c 
9d7s5s5c2h ThTd3h3c2s Qc9c7h3s3d Qc9h8s7d2s 
Ks6s5c3d2s Qh6d6c4h3h QcTd3h3c2s Qc8s5h5d2c 
Qd6d5d4s2c Jd6c4c2h2d Jd7h5d4s2c KhQh8d4h4c 
Qh9s9d7s2c Ks6s5s5c3s AdJd7d4d2s Js7d7c6h3h 
Td8c5s4c2h QcJc3s2d2c Ac6d5s3s3h Kc7c5c4d2h 
9d5c4d4c2d Js8s4d3c2d JdTh6c3d2s Td7d4h3h2s 
Kc6c5s5c3c AsQh9d4h2h JdTh4h3h2c Qc7s6h4s3d 
QcTh7c4c2d Tc8d7d4h2s Th5s4c3h2c Ad9d7d3h2c 
Kd9c8d4s4h Th7s5d2s2d Kh8d6c5d2d Ad8h6c5c2c 
Ts9s6s3s3h 7d6s5c3h2s QcTc6d3c2s Td6d5d4d3c 
Td8c6s6h2h KhTh8c2h2d Kh8c7c5c3s As9s6s4c2d 
9c8c6c4h2d Qd8s7h7c2d Qh5h5d3d2h Ac6s5d3h3d 
KhTd6d6c2s QsQc7h2h2d 9h8s6s4s2d QsTd7h6h2h 
JhJc6s4c2c Kd9c8c5s3c Kd6d5c3s2d Ks9h8h5h5c 
9d7d6s5d2d 7d5s5c4d3d Jh8h6h4d3s 5h4d3h3d2c 
8h8d7d4s2d 9s7h4h4d2d As9s5s3s3c 9d8c7d2s2d 
Qc9h8d2s2c 9c8d5c2s2h 6d4s4c3s2d KsJh8h4h4d 
Tc8c5d5c2s 8h6d4s4h2c AcQs4s3h2s Ts7s4c3c2h 
Tc8h7d3s3h Qh8d7d5c2s 9c8s6s4s2d Ah9s9c7c2c 
As7h4s4d2s 8c7c4d3s2d Ah9s6c4s2c Ac6c5c4h2c 
Td8c7c4s2h Ac6s5d4d3d 7c6h5s5c2c Ks6s6h4c2s 
6c5s5h4d2d AhTc6c5c2d Jd6d6c3c2s 9s9h5d3s2s 
TdTc6c4c2s Kc8c7s4c3h Qh8c7d5s3c Jh9d7h3h3c 
7d5h3s3d2h As8c6s4s3s Kd9d5d4s4d AdJc5h4s2h 
Td8h5s4s3s 7h5s3s2h2d Tc8c7h2s2d Ad6h6c3c2h 
JdTd5s3d2d Qc7h6d4s3s As7s3c2h2d 9c8d5d4h3d 
Ks9c4h3h3c AdJh5c3s2h KhQd8c7d2d Ts8d5c4s2s 
9d8s5d2h2c 9d5h4h2h2d KdQd5d4d2d AdJc5h4h2h 
7c5s3s2d2c 8h7d6d3h2d 9c8c7d4s2h Js7s7c4s3d 
JsTh4c3d2d Qh9s7h5h2c KsQs9d3s2c Js6c5h5d3d 
Jc9d4d3h2h KdJd4d3s3d KdQc7d4d2s JcTh4d3s2s 
Ks8d5c2d2c Qh6h5d5c2s Jd9h5h4c2s KdJs7d4h2d 
Tc7s5s3c2c AdQc6s6h2c AsJs7s4d2s Kd7s5c4c3c 
AsQs7s4c2s As9h9d7d2d Ks7s5s4c2d KcJs5s4s2s 
Ah8s8d6d2d KdQh8c7h2h Kc9d6h2h2d Kh9s8c5d2s 
7d6c5h2s2h KdTd8h2d2c 6c5s4h4c3c Ac8d5s4s3h 
AdTs7h4c2c Qs8d5c4d3h 9s9d5c4c2h KhQh7c4h2s 
Qs9h9c4h3d KdQd3s3c2d 9c8d6c4h2c Qc7s7h2s2c 
Td7h5c3s3c Ad8h6s6c3c AhQh7h3d2c Jd7h4h2d2c 
AcTs7s4s2d QsJc3s2s2d Qs9h9c4d3c 8h8c7c4d2c 
JsTs7h4s2s Qh7c6s4c3c JsJh9d3d2d Qs7h6s3d2d 
Ah9c6s3h2h 6d5c4d3s2d Kc7h6h4h4d Qc7s5s4h3s 
QcTs3d2h2c 7c5s5d4c3c 6s6c5d3s2s Jh9c5h3d2s 
Qh4h4c3d2d Td9d7h4c2s JhJc3s2s2d 9h6h5s4d2h 
7h7c6c5c2c Ks4d3s2s2d AhQh8h2s2h Qd9c8h4d3d 
Td8h6c2s2h As8d7h6d2d Jh8h4s3d2d Jd9h5h4s2c 
QdTd7d6d2h KsQh7d5d2d Td7d7c6h2d AdJd6d3c2h 
Qh9s8d7s2s Qc8h5h4s4d Jh7s5s3h2h KdQh9d4s4d 
Jd8d7s3h2s Qs9c8h8d3c Qs5h5c4d3s Ks7d6h2h2d 
Qs6s5d3s3h AsTsThTd6d KdQs6c4c2c KcQs3h2s2d 
Ah8h6h4c2h 9h6h6c5s2h Ah9c7d4c3s QhTc7d6d2d 
KcJh7h4d2s Kh7c5d4d3d Qc8d7s4c3h Kh8h4h4d2d 
Kd5d4h4d2s Th8s7c4d2d As6s6d3c2s Jd6c4d4c2c 
Ah9h7h6d2h Js6s6h5s4s Ks8c5c4h4d 4c3d3c2s2d 
JdTs6s6c2s 9d8h7h2h2c QcJs7s6d2h 8h8d7h4s2h 
As6h4c3s2s Ks9s7h7d2s AdQc4c3c2s Qc8d5d4s4h 
Qh8s7d4h3c 6s5h3s3h2s Ac9c7s3d2c KhQh9h2s2c 
8d7c6d2h2d Th9d5c4d2s Js8h6s3c2c Ts5h4h3s2s 
Jc7s7d4d2s 6h5h4d3h2s AsKd7d3c2d AdKc7c3s2c 
9c8c5d4s3c AsJh5c4d2c Qd9s5s4s3c As6d5c3h3c 
Js7d6d2s2d KdQd7h4d2c Jd8d7s3c2s KdTc6s4s2s 
AcJh9s6d2d KcJc8s3h2d Jd6s4d3h2s Jd6s6h5h3h 
Qd8s7c4c2s 9d8h7d2d2c Ad8h4d4c2d 5c4d4c2s2h 
Kh8d7d5d3s 9c8d6s4d3d KdJs6d3h2c 8s7d7c4d2h 
KdTs8c3s3h KdQd7d4s2c Td6c5d4s2h QhQd6c3s2s 
Jh8h6h6c3s KdJs5s3h2s 7s6d3s3c2d KsQs6s5s2s 
6d5h4d3s2d Jd9h8c4s3s KdQd7c4d2s Ts6d6c4c3h 
Qh8h5h4s4h Qh7s6d6c3c Ks9d6c5h2d Jc9c5h3s2d 
Ad9c7s4h3s Jc9c4d3c2d 8d7d4h3c2c Kh7h5d4s2h 
Ah9c7s5c2d Ad6d4s4d3d 9h9c8d4h3h KhQh6d2s2c 
Kh7h5h4s2c Ts5s4c3c2h Tc8c5h5c2d Jc8d5c3s3c 
7c6s5h5c2c Qd9d8c3s3h Qd8h7d4s4d QcTc3s3d2h 
QsJc4s3d2s Ks8d6s2h2c Tc6h4c2h2d Th8c7s7c2c 
Jc8c4d3h2h Qs6s5s4h2c Qd8d5s5d2c QcTh5c2s2c 
Qc7s6d4s3s QdQc9s3s2s Qc9s8h7s2s AhQs7c3d3c 
QdTc7d4d2s KhQd7d4d3d 9s7s6h6c2d Kd8s7s5s3h 
Jh7c6s4d4c QhQd6s3c2c Jh9h8h4c3s 6h5s5c4h3h 
Ks6c5s2s2d AcKs9h3s2s Jc9d5s4d2h 7c6h4s4c3c 
Ah9s7d7c2c Qc9d5d4d3s Qh4s4c3d3c Kh8h7c4s3h 
QsJc6d6c2c QdTd7h4s2d Ad7h4h4c2c Jc7s7d4s2d 
Kd7s7h6c3c Kc8c4s4c2s As9s6h4c2s 7d6h5c3s2h 
Ad8h5s4s3c TdTc7c5h2c Jc8c4d3d2h QhTd3s2h2c 
9d5h5d3h2h Qc6c5c3s3d 6c5h4s4h3h Tc7s6c3h3c 
Ts6d4c3d2c Tc5d4s3c2s As7h4h4c2c Kc6c5d3h2c 
AhQc5c2d2c Qh8h4d3c2d Ks6h5h4h3h 9s6s5h4d2s 
Jd9h8d2s2d KcQcJc7c2s 7c6s5c3h2d 9s9h8c3s2d 
Td6s5h5c3c Ks6d5d4d3d Td8c7c4c2h TsTd4h4c2h 
Kh8s6d5d2d Qc8d7s3s3d 7h6c5d3s2c Kh9c3d2h2d 
Kc9h8h7d3h Js8c5h5d2s As6h5d3d3c Kd7d6d4h2s 
Ac5s5d4s3h 8s6h4s4d2c Ah7c6d5s2s Kh9d8d5s5d 
QcJs9d3d2h QdJs4d2h2d 9d9c7c6c2c Ks6h6c3d2s 
JdTd7d6s2d Jd9s5h5c2d 9c8h7h2s2h Kh9c5s5d4c 
Qd9h4h3d2d Kd9s7c4d2h QdJh5h3h2s Qs8s5s4h2d 
Qh8s7c5c3c Ac9d6h6d3d Ts8s6h3s3d Ks5s4s3d2h 
QcJc9h7c2c KdJd9h4d2d Jc8h5s2d2c 5s5c4s2s2d 
KcQs6c3c2d Qh5h5d4s2c Th9h8h4d3h Ts8s3d2h2d 
Ah8d7s4c3c Kc8h6s5h2h As7s4s4d3s Ad8c4s4d2d 
Qc9h5c3d2s Ks8d7h5h3h KsJc7c4d2h Kc5d3h3c2s 
Td8s7h3s3c Kc9c7c4h4d Qc9h8s8h2h As8c6c5c2h 
Qd9s7d5h2d Ks9s5c4s2h Jh9c8s4h3h Jd9d8h3d3c 
Ah8d5h4h2h AhKd7d3c2d QsTd7c3h3d Qd6h6c3s3h 
Tc6h5s5h3h KdJs4h3h3c Qs9h7s3s2h Kd9h7h4s3c 
QsTh8h3h3d 9c8c4s3s2h 7c6h5h3d2s KsJc8h4c3c 
Td6h5s5c3d Qc9h4c3h2h 9s8h6s2s2c 7c6h5c3d2s 
Jc6d5s5h3h AcQd4s3d2d KcTs8h4h3h Td8c4h3h2c 
KsTs3h3d2c AcJsJdJc9h Th6h4c3s2s QdTd7h4c2d 
Kc8h8d4c2s AdQh9d4d2d Qc8d7h4h2d Ac9c6c4s2h 
KhQs4h2h2d 9c8h4s3c2h AdTc3d2h2d 8d6h4s4d2c 
KsTsTd3s2s KcJd8s4s4h Jd5c4c2d2c KsJc9s6s2s 
Td8d7h3s3d Qd8h7d4d4c AcJd8s3d2h Jh7h5s2s2h 
Qs9h6c3d2s Qh9s8h4h4d Jc8h7s3c2s KdTs4h4c3h 
Th8d5c4d2s KsQc8h4s3s KsTc6d6c2h Jh7d6s6d3c 
Th8h7d4h3h 9s9d8h4d2c AsQs7d4s2s As6c4h2h2c 
Kc7c5d4s2c QdTc5s5h2c Td9d8c3h2d Jd9s5h5d2d 
Qs6c4s3c2c AhKs8s3s2d Qh9c5d4s3s Ad8s5h3s2h 
Jc8s5c3h3d KcJc4d3h2c Tc6c5d4c3c Jc9d5h4h2s 
Qh5h4s4c3d Qh7s6h3s2s AcJh6d5h2h Ac7s6d5h2h 
KsJc7c6h2c 6h4s3h3c2s QhJh9h3h3d Qs9c8d7h2d 
Th8c6s3d3c Ah6s6h3c2h Qd8s7c6h3c Kd7c6h2h2c 
Kc9s7d4s2d AcTd7s4d2d As9h6s5s2s Tc9c7h5c2c 
QsTh7s4s2c Ad9c7h4s3h Ks7d5h5d3d 7h7c5s3d2c 
KcQc9d3c2s Ks8c6c4h4d 8h6d3s2s2h Td8d5d5c2h 
Jh7d7c4s3h Qd9h7s6d2d Qs7h6h4c3h 9s8s8d4s3c 
Qd7h7d4c3s 5s5h4h2h2c Td8h6c4h2h Jc7h6s3c2s 
QhTs7d5d2c Ks8h6s4s2c Ts8c6d2s2h KdTd6s3h2d 
Qs9s9d6s2s As9s5d3c2s Ad9c5h4s3h Jh6h5c4s2h 
Ac6h4s3c2c Kd8d6c3d2c 6h6c5h4h2h Qd9s9c7c2h 
Ks9d5h3d2h Jc6h4h2s2c Td8s5c4c3c Js8h7h6d2c 
Tc9d6h4d2d KdTh8h4c2h Kc9c5h4c2d AhKs7s3d2s 
KcTd7s7h2d QhTd8s2s2c Qc6s6d3h3d KsQs9c3s2h 
Th8s7s6s2s Jd5d4d3h2h KhJd6h3s2c Qs9d7s5s2h 
KsQc7s4s2h Jd6h6d2h2d 9d5s4h3s2h JdTc6d4d2d 
KdQh7h4h3h As9s6c4d2s 8d5s3s3d2c 6c5h5d4c2s 
Ts7h4s2h2c As9c5s3s2h AdTc6s3s3h KhJh4h4d2c 
Js8c5d4d2d KhQc8s7s2d Qd9s9h5h2h Td8h3h2d2c 
Qc9s5s4s3d Ad6h6c3h2c Qh7d6d4s3d 7s5d3s3c2d 
Qs9s6c3s3h Ac9d7h4d3s Kh7h6h4c2d Qd8c5s5h2d 
9d7s4d2s2h Qd9c8c4h3s Jd9d5s5d2h Ks9h3h2s2h 
Js6h5d5c3c KcJd4s4d2h KcQc6h3c2s Js8c7h3s2c 
KhTd8s3d3c QhQdQc8h7d 9h6d4h3h2d KdJc6c4c3c 
QsTs4h3s2c QhTh7h6h2c TsTdTc8s8h Jc9s7h6d2d 
Ac9c7c6c2d 5s4s3h3c2h 8h7h7c5h2h Qs9c8d8c2c 
Qd9d8d7d2c Jh9s9d4d2c Jh5h4h3s2s KsJs8d3c2h 
QdJs7d6d2h JdTc4h3d2d KsQh8d4s3s 5d4c3d3c2s 
Qd5c4h3h2c 9h6s3h3c2c Ks7s6s4d2h QhJd5d3d2s 
Qc8s5s3d2d Ah6c4s3h2h Kc7c5s4h2c JsTd6s4s2s 
AsQc7h3s2s 9s5s5d3d2d Th8c4s3c2s TdTc7c2s2h 
9s8s4d2s2d Ad7d4s4d3d Td7h7d4s2c Td9s7h4d2d 
Jh9h4d3h2d 9h8d6d4d2c AcTh7h4h2s Qd8c4d3c2h 
Td8c6h2s2c AdTd8d4d2d 6d5c4h4c3c 8s7s4d3h2d 
9s8s3h3c2c Qc5d5c3d2c 9d8c4s3d2c Qs9h9d4h3c 
Qc7s5d4h3d KdJh6h4c2h Kd9c7d4s2h 6s5h4s4c3s 
Kh9s8s7d3s Jc9s7s4s4d 6d4h4c3h2d Ks9c5d3h2s 
Qd7c4h4c3h Td5h4h2d2c Jc8c6s6c3h AhQsQhQd8c 
Qs9c8h4s2d QhTc3s3d2h Kh8h4c3h3c Tc5h4s3c2h 
Jd8h4d2h2d KdQs7h6c2h Qh9d9c7d2s 9s7s6h4d2c 
9d5s5d3s2d Td6c5s5c3c Ac8s6d5d2d 9d8d6h4s2d 
KhQc9h4h4d Qd7s5d4h2c Kc9s6h3s2h KhJh8h6h2c 
Ac8d7s4d3d JsJd7h2h2c Qd7c5h5c3s Ac9d6h4h2d 
QdJc8s4h2s KsJh7s4s2c Qc9c6c5c2h Kc6h6c4s2c 
Ad9h5s3d2d 7s6h5c2d2c Th8d8c4c2c AsJs7s4h2s 
AcQs8s8d8c Qh8h5h5d2s AcQc6c5c2c 7s7h5s3c2d 
Qc6h5h4h3h 9s5d4d3s2d Ts7h4c3s2h KcJs9h3h3d 
As8c6h6d2h Ad8c7s6c2c 9c5c4d2s2d Kd9h6s3c2d 
TsTh5d4c2d Qd5h5c2s2d KcQc3s3h2c 8h8c5c3d2s 
Ts8s7s5h2s Ts7c6d5d2h Qc7h6s4h3h Td9d5h4s2d 
As8d5c4c3h Qs8h7d4c3s QcJs7d6s2h Js8d6d3d2s 
QdJd9h7d2d AsQc4d3c2c Js8d5s5c3s Js8s7h5s2s 
Ah9h6h4d2c Td7c5h3s3h Jc7c6c5c3c Jc6h6d5s3s 
6h4d3h3c2d As8c5h3c2h Ks5s5h4s2c Tc8c6s6h2c 
Th7c4h2d2c Jh9s9c4c2d 7s7c6d4h2d KhJs9s4d2s 
QsJs9h7s2s 9c7h4h2s2c 9h7c4c3d2h KhJs8s4s3c 
9d8h5c4d2d Td6d5d4d3h Js8s7h7c2s As7c4s4d2s 
6s6h6d5s5d Qc5s5c4h2d Kc9s5h5d4s Qs7s7h4d3c 
Ac6s4h3c2c Ah8s7s4s3d Qc8h7c3d2h 5h4d3s2s2h 
Kd7d5s4d2c Kc6h3h3c2c KhJd9h4h2h KdJs4d4c2d 
Jd8h5h4h2s 6h4s3h3d2s 9s9d5d4d2c 7s6h4s3s2h 
Jd6c4s3d2c Jc6c5d5c4c Ah8c7s4s3s Ac8d6s6h3h 
Th8h3s2s2c Th6d5s5c3h Jc8h5c3d3c Jh9c6h3s3h 
KhQs7h5h2h KdQc3s2h2c Kh7d7c6s3s KdQh6h3c2s 
AcQd7s7h2d Td6s4d2s2h AcQd4c3c2c Ah9d6h4s2h 
KcJs8s4s3h 9s7s6d4c2h AcQs4s3d2s Ad9h6s3d2d 
Jh9d8c4h3h Td8s8c4s2s Jd7c6h6d3d KsQsJs8s3s 
Ah9s5h3h2c As5h5d4h3c Ac9d5s5h3d AhQc9c2s2c 
Tc9c6c4c3c Js9c8s4d3s Qh8d8c5c2s Ah9h5h3h3d 
AcQsQhQc8d Qd7h4h4c3c Ah8c5s5d3d Ks9h5s4s2d 
9h7d6h4s2c Kd4h4d2s2d AhQs4s3d2s Ks6s5s2d2c 
AdTs8h3c2h Js9s6s5c2s Jc9c8c4d2h TsTc5h4d2d 
Ad7d4d4c3d Qs8d6c4s2s Kd9s8s5s5h KsTs3d3c2h 
KhJh4h4c2d Kd8d7s7d2c 7c6d5s2s2h Qs7s7c4h3d 
Jh6s5h3d3c Qh8s7c4c2s Qc8h7d4d2h Ks6d5h4c2d 
KdQd8c4h4d Td7h7d6c2d Kc8c7s5c3c Jd8s5h5c3c 
Jh9h4s3h2s Jc9c8h3s3c Qc9d6h3s2c QhTd7d5d2c 
Jh6h4s3c2s 8d7d4s3h2h Qs7c5c4c3h Jd9h7c6h2s 
8s7s4c3h2c Kh7d6d4d3d AcTs6s5s2h Kc9h6s6h3h 
8d7c6s6h2h Qc9h9d5d2d 9d8d7d3s3h Ac8s7d4s3s 
AhQs4d3s2s Ks7s6s4h2d As5s4s2d2c Tc8d6h4d2d 
Qh9h3s3d2s KdJc4d3d2s As9d6s2s2h Kc6c5c3s2d 
Kd9h4c3h3c AsKd9h3d2d JcTc5h3c2c JdTh6h6c2h 
Qh4c3h3c2d 9d6h6c4d3s Ad9c7s7h2h ThTc5s4d2s 
Ks7d5c3c2d Ts7d6h5h2c KcQd8s7d2d 8h7c5h4h2h 
JhTh7d4h2h Kd8c6s4d2d Qs7c6s5s2d 9d8d5d4s2c 
9s8h6s4c2s Ac9h7s4d3s AdKd6d2s2d KdTd6h3c2d 
9s9d5h3s2s AhJc5d3s2c QsTd4s2h2c Jh6s6h3s2c 
8s6d3h2s2h Qc9d5h4s3s QcJc3s2h2c JcTs3c2h2d 
Qh8h5d5c2s Kd9d7h7d2s Qc9d7s7h3d KsJh9h4c2h 
KdJh6d3c2s Jd6s6h2s2h 9h8d5s2s2c Qc8s8d5d3d 
9s8d7s4c3s QdJh6s6d2d Ts6h6d4d3c Ac8s7h4h3h 
TsTc5h4c2c KsQs6c2h2d Jd8h4s3d2h 9s8c6h2d2c 
Kd9c8s5h3s Js8h7h7c3d 7d7c3c2d2c Jh8d5h5c3h 
KcTs7h3h3d 8d7d5c2s2d 8s7s7d4h2s 5d4s3h2h2d 
TsTh6s2s2c 8h7d5h5c2h Qs8h8c5d2c 8d7d5s2d2c 
Jd7c6s2d2c 9s4h4c2h2c 6c5s4c3c2d AsQh9h2h2c 
KdJc8s6h2h KcJc9c5c2c Qs7d6h4d3d Qc5h5d4s3c 
Tc8d6s6h2s Js7s7d3h3c Qs9h7h4c2c Td9c5d4d2h 
Qc9h7c4s4d Qh9c4h3c2c Jh7d6c3h2c KdJc7c6s2c 
Jc7c6d6c3h As8c4s2s2h QhJh8h5h2h 7c5d4s4c2h 
Ah7c6s5d2d Qh5c4s4h2d AcJc8c6c3c 8d7h7c4d2s 
AcJc6c3d2h Kd8c6d4s2d QdJc9h3h2s 7s5h3s2h2c 
Ks8s6d3s2d Qs9c6h3d2s Qs8d5d4h4c 9s8d5d5c2d 
Td8c5s4s3s AdTs7h6h2h Jd9d8s3d3c Jh9s8s6s3s 
QsJc8h4d2h Js6c5h4c3c Jd8h5s5d2d QhJd3h2s2c 
Tc7d5s5c3c Kc8s7d3h3c 6c4h4d2s2c Ts9c6d4d2h 
Qd7h6c4s3s Tc9c7d5c2c Qd9s9h7d2d 9h8c6h2s2h 
9s8c5s4s2h Th9c7d3h2s Ah8s6d6c2d Tc9d8h4d2d 
6d5c3d3c2d AhJh8h6h3h 7s6d5s5h2s KcJh6s2d2c 
Kh9s6c5c2d KcQc8s4h4c Kd6d4s4h3d Qd5d3h2h2c 
QhTc7s7c2d Kd4h3d2h2d Kh7d7c4d2c 8s6c5s3d2s 
9h7s7h4h3h Td9d5c4h2d Ah9s4h2d2c 8s6c4c3c2s 
Kd9c6s6d2d KcJc4d4c2h Kc8s6d4c2c Jd8d6h6d3s 
QsJs7s4c3s AcKd8d3d2s Tc9d6s4d2d KdQs7h5h2h 
Ad9c8h4s3c 7s5c4s4d2h Kd9h7s4d2c Ts9d7d4c2h 
Kh4d3h2h2d JsJh3c2d2c Jh9h6c3h2c QhJd9d3d2c 
Qd8c7c5h3c KcQh9c4d2c As8d6h6c3h Qd8h8c5c2s 
QcJh6s6h2h 9s7d4d3h2s Tc8h7h6h2h 8c5s4c3s2s 
