QsTc8d7s7h 
9h7h6d5c4d KhJd8c5h2d QsTc8s6d5h AhTs9d8c6s 
JdThTc6s6h JhTs5h4c3c QhJs9c6h5d QhTsTd8d3s 
QsQcTd6h4h AcJh9h7s5d JcTc5s4h3s AcKs4h3d3c 
KdJh9s8d3s AcKs9c6h3d Kh7h6s6d4s QhQcTc4s3d 
JdTd9c8c2c As8c7c3s3h JhJdTd7s4c QsJc8s7h6d 
AsTsTh5s5c AdJd9s7h7d AhKh7s7d2s AhTd7d2s2h 
AhQc8h7h4d AcTs5s4s2c TsTh7c6h6d KcJsTh7c3d 
Ad9h7d6h2s As6s6c5s4c KcQd9c7c6s QdJdTd8h2h 
AdKh8h6c4s JsJh9d9c5d KcJs9h5s4h AhKd9s9c8s 
KdJh6s5d2h AcQhJh6d4s AdJc8s4h4d Ks9s9d6c4d 
KdJc7s4d4c JdTd5h4s3h Qd9c7d7c5h QhQc8d6d2h 
AsAhAcJc6c JsJd7h4s4h JhJd9s9c5s AcJd9h7d3h 
AsQc9c7h6d AsJs7d6c5s Tc9s6s6h5c JcTs9s4h2c 
KcJc9s9c7d 9s8h7s7c6c As6s6c5d4h AdKcJc4s4h 
AhKh8h6c4d TsTh9s2s2h AdQh8c3d3c QdTc9c6d2d 
KhQh6c4s3c JcTs5h4s4h JsThTc6h6d Qd9s6c5s4d 
AhQsJd6d5d 9c7h7c6h5c KsJsJc4d2d ThTd9c3h3c 
8h8d7s5s5d 9d7h6c5h4c KsJdTc6s3h Ks8s8c5c4d 
Qc9s8d7s5d JhJd9c3d3c Kc9d8h6h5d AcKcQs9c2d 
QsTsTh7d6s AcQcTc5s4c AdKsTs7s3c QdTc9c4d2h 
KsQsJsJd3h JhTc7c4s4h AhKsTh5h4h AsAhAc9s6s 
QdJc9s4c3d KhQcJc6s4d Qc9c8s8h5s KcQcJdJc3h 
QsJc6s4c3d AdKsJs5c3s JhJdTs3h2s KsJcTd6s6h 
QhTs9c4s4h AdQs6d3h2s AsTd9h8s3s KsKcJd9h3h 
AhKsQsJs6s JsTs5h4d3d QcJd9h7s6c KdQc8c6d2s 
QhJs9s8h4h KhQdJs8s8c Ad8h6h6d4d TsTd9h6s3h 
AsQdJh8c6c AdQd9d6h5s 9s9d8h8c7d 8d8c7d7c3s 
JhTc8h7c3c Tc9s8s6s6c KdKcTc5h2c KdTd7h4h3c 
KcQsJdTs3s KcJs9c8s3s AcJc7s4s4c KdTs9h8c6h 
AcTs9c7d2h AhTc9s4h4d AcKh8d5c4c QhTh6h6c5c 
AhQd8h7h4c KhKcQh9d4h AsKhJh9h4c Ts9h8c7h4s 
Kd9c7s5s5d QcJh7d6d4h AdTh8s7s7c AsQdTc7d2c 
AsQsQh8c2s As6s6d4h3h AdJh9s5h3s AhJsJc8s6d 
JcTc9d7s5h AsQc5c2s2c Ac9c8s5d4h AhTd7h6s5h 
KsQhTc6c2h Ac9d5c4h3d QdJc9h7d4h Ad8d6s4c3s 
KhQdJh9h6s KsJcTc8d2d TsTc9h6s3h Ah8s6h4s3d 
AhQcTs8s3d Jd9s8h8d5s AcTh6h5h2c Ac8d6h4c3d 
ThTd9d7s7d JsTd7c6s3d AsQc6s3d2c QcJd8c7h4h 
QhTsTh5c2s Kc9s9d5d4c QsJdTs8c5s QsJc8h7s4h 
KcJc9s8d3s KhQc8c7h4c AhJh9h5d2d JcTh8d7h6h 
AsJh8s6s3h AcTd7h5h5d KcJd9c8h2h QdTd7h5s3h 
QhQc4d2d2c Ks9c8h6h5c AdTd7h7c6d KdQsQh9c3d 
QsJcTh8c5d JsTc8h8d7c QcTd8s7h6s KcJsJc4h2h 
9d8s8d6s4h ThTc9s6h3s KcQsJsTs4d AdKs8s5c2c 
AsKsJd6s5s Th9c7s5c4h KhJcTh6h5d KhQcJh4s3d 
JhTd8h4c3d QcTs7h5s4h KdQh8c7d6d KsJc4s4c3d 
QsJh7h5d3s QcTs6d4s3c KdJs7d6h3h AcKs8s5h2h 
Ad9d6h5h2c QdJc9h9d8d JsTs5c4d3d JhTc9c8d8c 
As8h5s4h2c KsTd9h9d8d AsJs9d7s7c AcQd9h7d6s 
8s8d5h5d4h QsQc4c3d2s KdQs6c4s2d QdJhTc6d4d 
KsQc8c6d4d Ad7d6s3s3h AdJc7s7d5d AdQs8h6s5c 
Qc9s8c7d6h As7h6d5s2d AsJhTs5s2c KcQdTs8c4h 
AdQsJd7h7d JhJc9s8d6c QsJc9s9h3c AsTh9s4c3d 
Ac7h4h4c3s Ah7d6c5s5h As6d5s5h2h QdTc9d5c3d 
QhQcJdTd6d QdTdTc8h2h Kd6h5c4c3d AdTc7d6d4s 
Ad9c5d4s3c Tc8h8c5s5h Ts9d7d6d4s AhQh9h6s5c 
AsJd9c7c3d ThTc9c7d6c AhTh9c8s3h QdJd6h5h3h 
KhQsQd8c5d KdQdJsJd3c KhJhTd8h5s QsQdJs8h4c 
QhJs5d3s3h AsQdTd6h2h 8s8c7d5d4c KhQd6s4h2d 
KdQcTc8s5h KdJs9h5s4h Th9d6s6d5h AhQs8c6s5d 
QsTh7d5h4d AsQs9d8h2c Ks8s8c5d5c KdJd8c7s7h 
AhQc8c7d6c JsTd6c5c3s KcQsJh6h5h AdJhJc9s5h 
AcJsTd7s3h KhJc9h7c3h AcTsTc9c3h AdKhJc6c5c 
AsJc8c7h6d KhJc9s9c7d AcKdJd6h2h KhQc9c5s4s 
KhQc8h7c4h 9c8s8h5s5c JdTsTc8s6s Ks7s7h6d4h 
Kc9d7c6h5s Td9h8d7h4c Ad8d6c4s3c KdJsJdTh3d 
AdQhJd8d3c AsKhTh6h4d As9s7h6h3s KhKdQd4d3d 
QdQcJs6h4s Tc8s6h5c4s KsJc9d5d4c AcQs9d4c2d 
9s6h6c5s5c JsTs9c8c2c Tc7d6c5d4s AhKhTs6h6c 
KsJsJc4s2c JdJcTs7h4d QhQcJs8d5s AcTd9h3s3c 
JdJc9h7c5s JdTc7c4h4d KdJh8h5s2d QdTs9s8d3d 
AhTh8h7h6d QcTs9s7c3c QdQc8c6h4s Ks8s8c5c4h 
QsJd9s9h7c AcQd9h4c2h 9s8s6h5d4d KhJhTc7h2c 
AhQsJd9c6s Qh9h6c5d4d AhKcQs9s6s KdJhJdTs3d 
AcQhJd8s6s JcTd6d5d5c JcTc8d7s2s AdJdJc3h2s 
Ad8s6s5d2s QsTd9h9d3h KcTs9d8s6h Kh8d7h7c4c 
KsKdTc5s2s QsTc9c4s2h TdTc9s8c3s AsTsTc5c2s 
Ah9d7h6h3d QsJdTh5c3d QcJdTc3d2d Js8d7d6s4h 
ThTd9d6h3h Ks8c7s7d4d 9s6h6d5s5d QdJd7h5h4d 
KcTh8d6c3d QdJhTd3c2c QsQc9s8h5s Js9d7s5h4d 
9s8h8d5s5h As9s8d6s5c KdTs9c4d2s AhTc7h6d5h 
QdQcJc9h5c KcTd9s8h6s QdTh9h7d3d Th9h8h6s5s 
Th9s9h7d6c QhJhJd7s6h KcQs6s5c2c TdTc9c7d4c 
9h7s6c5s5h AhKs9d9c8d QdJc7s6s4c QcTh8s8h7d 
KdJc7s6d3s Tc9h7d7c5d AhQsJs9d4c Qs9c6s6h5c 
AsJsJdTs6s QsQc4s3d2c KhKc6d5c2c Ac8d5d4c2h 
Kh9d9c8d6c JsJh8h8d2d JsJcTc7h4d 9h8h8c6c4s 
KdJd9s7d6c AsJcTd4c2d QsQc6h6d5d Ah9d6s5d2h 
AsKsQs7s4h JdJc9s6h6d QsJhTc7s4d Ah9d6d4h3c 
Kc7h7d6h4c KhJdJcTd6d KcJsTs7s5d ThTd8h7h6s 
AhQh7s7h6d KsQsTs4h3h AcQc9d8s2h AhQh6d4h4d 
ThTc9d4h3c KcJdTd7d5s JdJcTs7h4c AdJc9d4d4c 
Qs9d6h5s4h Js9h9c5s4c QsJsJhTd2s KhJs7s7h3c 
JdTs8s5h2d Ad9s8d5d3s Th9h8c7d6h AdKsTh6c5h 
JsJc9d8h6c AsTs7d4c2c AsQs9c6c2c AhQdJh7s7h 
QsTh6h4d3s QdTh9h8c2c Td9d8d7h5h QsTc8c5s3d 
AsKc8d5c2d AhJhJc7h3s Ad9c6s5c2d Tc8s7c5h4h 
KsQhJd8d6c QcTh7d5c3h KcTs9c8c2s Kh7s6d5h3s 
AsQh9d8c6h QdJcTh9s5d Ad9c8d7c2d Qd8c7c6h4d 
AdJs9c5s3c KcQhTh8s5d KhQs8s6d4d TsTd7c5s4c 
AdJsJd6h4d AdTd8h6d4c KsKh8c3s2c KhTs8c6d5h 
KdJsJd5h5c JsTs8c6h5d KsTh9h5d2s KhQhJsJh6c 
AsJh9s3s3h Jh9s8d7s4h QsJh7s7h5h AsTh9c7c6d 
QdThTc6s5h AhTh8h5s4c QdTc6c4c3d AcTc7h6h2h 
AcJsTd6h5s KhTd9c4h4c Tc8h8d7s7d KhJsJh6d5h 
KsKd8c7h4h AdKh9c2d2c As8d7c5s4s As9d6c5s2d 
QhQd4s2s2d QdTh9h8d3d KsJcTd6d5h KdQhTs6h2s 
KdJs9c5s4c AdQsQh4d2d AdKdJs7c3d JcThTc3h2s 
JsJhTs3h2h AhQdTc8s4s QcTdTc5s2d AcJh8d4s4c 
JsJd8h8c5s Th9d9c7c4h KsQh8s7d4d AhKhQh8h8c 
KhTd8d5h3s KdJhTc6d3s KsTc9c7c2s ThTc7s6h6d 
Jd8d7d6h5h JsTh7d6s3h QsQdJc7c6c Js9h9d8s5d 
AsKh8h5c4d JhTh8c6d5s Ac8d6d6c4c Td9s9c7s7h 
KhJd8h5d2s Ts9h7s7c5c QsTc7h5s3c AdKs8c6s2c 
KdJh9c8s8h JhTsTd6d6c Th8h6c5c4c QcTc9h9c2h 
QsJh9h7c6d KsTdTc9c7c Qh9d8h7s6c JcTsTh7s6s 
QcJhJcTd2c KsKhKdQsJd Qs9h8c7h5c JhJc8d8c2d 
JsJhTd7h2d 9h7s7h6s5h JdTh9d4h3d QsQd8d6h4c 
QsJsJcTh2s QcJsJdTc5c ThTd7s4h4d AsTs8d7s6s 
QsJs9d8d2c Qc9c8h6h4s QhJd9s8s2d QsQhTc8s4s 
AcQd9s9c3h JcTd7d4s4c JsThTd6h6c KsJsTsTd3c 
AsAhAdJh6h AcJhJcTc6c AcKh4d3s3c AhJcTd6s5c 
AsKhTd9c3d AsTd7d2s2h QcJd7c6s4s Ts7s6c5h4h 
QhQd4c2d2c QdJc9c8s6h Kd7h6c5d3h TsTh9s7s7c 
KhKd7s5c2d Ad8h7d6s2h AhKh8h5d2d KdTc9c5h2d 
QsQh9s3c2h Kd9h7c5d3h AhKcQd9h3h KsQh5c3s2h 
Jc8s8c5h4s QdTh9d5d3h KsQh8c6c4h KsKhQd7h3h 
Jd9d7h5s4s As7c6h5s5d As6c5s5d2d AhKdQs5s3s 
Qc9h6s5c4s As7c5d4s2d KsJs9s9h7d TsTd9c5c4s 
Ac8c7h5c4s KsJhTh7h5c AdKhTc6s5c AsAdAcJc6c 
AsTc8s8h2d KhQd6d4h2c QdThTc8c3h QdJcTh8h5s 
AcTh7s6d3c AdKhQs7d2c AcQsJh6h4d Ah9h6s5s2c 
AhKhQh5s2c AhKdTd5s5c Th8d6h5c4d Tc9c8s7d6c 
AhKdQc5c3c KcTc5s4h3s AsQs7s7d6c KsKhTd7c3c 
KsJd8s5h3d Ts9c8h7c4s Kh9d7s5h3s QhJh7d5d4h 
KdTc9s8c6h TsTh8h7h6c AsJd9h9d8d QcTd6s4d3c 
QdJs9s5h2d JdThTc7c6c 9s7h6c5h4c QsJsTc7h2c 
AsKs8s5d2d Th8d7c5d4h AdQs9d6c5d Ac6d6c5h4s 
KcQcJhJc3s QhJs6h4s3c AsKcQs4h2s QhQd4h3s2d 
Ah9s7h6h3s JsJdTc9d5h KhQd5s4s3d QhJsJcTh6h 
KsKhKcQhJc QsQcTs8d5s 9d7d6s5c4s AcQdTc6c5c 
Tc9d7c5s4d QhJcTs6d4c AsTs7h7c6s ThTc9c7s7c 
AhTc9h7d2s AdKhQc7d2s QsQh8d6h3d AhKhTc6h6d 
Qs8h8c7h6c ThTc7s6d6c QsTh8d7c6d AdKs8h5d4d 
KsTd9h9c7c Jc9c8h8d6d Ah9c8h7c2h QdJc9c4h3d 
KdQd9h8s7d AsQdJc6c5c AsTh7h2s2d QdJhJd7s5c 
AhJs6c4h2s Kc9s8h6h5s QsJc9h8s2h Jh7c6s5h4s 
AhJd6s4h2d AdQhTc7h4h KdQcJd4h3s AsJc8d7h5d 
QcJs9d7c6h Qh8d8c7d6c AsKc4h3h3c KhQd5c3h2d 
QsQd7d6s2h JcTd7d5d3c AcKhTc3s2d Js9h9d7d7c 
QsTs9s9h4h Ac9c7c6d4d JhJdTh7h5c As5d4s4h3h 
AhQdTh6h3c QcJdTh8d4s KdTs8s5d3h KsJsJcTh3s 
QsJsThTc4d QhTs5s4h3s AsTs9s8d4c QcTd8s8d5s 
QsJsJd6s5c QsJh9c8c2s KsQcJcTc4h QdJh8d6s5c 
Ah9h5d4d3s AhTh9s5d5c KcJd6c5s2d KsTh8s6h2c 
Kd6h5h4s3d AsTs9d5h5c KhJhTc8h5d JhJdTc7h2c 
AcQcTd3s2h AsTs8s8c4h AhAdAc9c5c AdJs9s8h8c 
AcQsTh6d5h AhTd9h7s2c 9s9c8s7s5c AsQsTs7d3c 
Ac7s5h4s2c QsJdTh9c5s KsJs9s5d4d AhKhQs9h2d 
KdJdTsTd3h Kd9s9h8h6s AhKd7d5s2s AhQcJs8h3h 
KcQdJc6s2s KhQcJsJd6d Ks9d7s6h5c QcTs9s9d3d 
QsJd8h5s3d Ah9s7h6c4d TdTc8c7c6s AcQc9s6h3d 
JdTdTc5h2h KhQdJc8s8c AcQd8s6d5h Th8h6s5s4s 
QdQcTc9s5c AsJs9h7s7d QsJcTd9h5s KsTd8h6c5s 
AhTd5h5d2c JcTdTc7c6h QdQcJc9s5c AsQhTc8c3d 
KhKcQh4h3h KsJh8h5c2s QsJhTd7c5d KhKc8s5c2d 
Ac9d7d5c2d AhQh9h8h7s AhQcJs7c2s KcJh8s5s4h 
KdQcJd6s2s KcJd6c5h2d QcTd7d5s3c As9c7h5d3s 
Qc9c8d8c6d AdQc9h7c6s Td7c6d5c4s AsTsTc9s3d 
AhQcJd8h3h Qd9d8c6c4h QhJc6h4c3s KsJs8h7d7c 
JdTd9h8h2h AsKd7d5h2h KdQs6h4s2d AsKdJc6c5c 
QcJs7s6s4c QdJs9h8h2d JsTh9s6h3s QsTsTh7s6d 
Ac9h6d5d2c Td9h9d7s7c AhKh7h6h5d JdTs8h8c7s 
QsJh9s6s4h QcTc8d6s3d Jh8s8h5c4s KcQsTd8s2d 
QsQh8h6d4c AsJd8h7c3s As8h7s7d5s JhTs8d7h5c 
AsKhJd8h3c Kh9h8d6c4d Kd7d6c5h5c AcQhQc8d2c 
KhKd8s7c4c QcJdTd8h4s TdTc8d7d6s Qh8h7s6s6d 
Kd9h9d5s4h Ks9s7c5h3c KsJcTs6s5h QhTc8d6h5s 
QcJs9d9c7h 8s8c6d4s4c As8c7c6s2c KsTs5c4d4c 
AhQc9c7s6d QhJd9s9d2h JhJc4h4c2s AhQh9d7h7c 
Qd9h6d6c5h KcQd9c4d3h Qh9s8h7s5h AsKsQs8s8d 
9c8c6h5h4s KsTs9h4h3h JcTsTh8h6h QhTsTh6s2c 
Ks6c5h4h3s JsTs6h5h4s KsQdJs6h2h JhTd9d8d6c 
KdTd8s5d4s AcQdQc8s2c Kh6s6d5h4s Qh9s8h8d5s 
QsQhTh9c5h AhQdJs6s4c Ad7h6c5d2c QhTs7h7c4c 
AdJh8s7c3d KsJhTd7h5h QhJc9c7h3d JhJc9s9d5s 
QsTh8c7d6c JhTc9c6s3s Ad7h6d3s3h KcQh8c7s4s 
QdTh8c7c6s QsQd8h4s2d KdQh9h4s3d AhTs7c5s5c 
As9d8c4c3s KsKc6d5c2c QcTd9d4c2h Ac8d7d4s2c 
KsTc9d9c4d QdTc8s7h7d KdQhJc8s8c KhQsJh6c2c 
JsTsTc8d6s AdQcJd8d3h AcJd8c7c5c Kd7h6d5h4d 
QsQh6d6c5c Qc9d6d5c4s Ah7d5s4h2s AsQs9s9d4d 
AdKh9c8s8c JdTsTd5c2c 9s9h7d6h3s KdQcJhTc3c 
Ad6d6c4s4h Td9s7d7c5c 8s8d7c5s5c AhTs9h8c3h 
QdTh9h4d2c AsQhTd7h4h KsQdJh8h6c QsJh6s4h3d 
AsKdQs4h2s Ac9h7d7c2d AcKc7c6c5d AcTh7c6c4d 
ThTd6d5h4h Kc7s7c6h6d AhTc6s5h2s QcTdTc5s4h 
JsTc8h7h3s KhKcQh9s3h AsKcQh9c4c Ah8h6c4d3c 
AcThTc7c6c QsJdTd8c4h KhTd8c6h2d QhQdTh7s5h 
KhQhJhJd6s KcQc9h8d7c Jd8s8d7s6s AhJdTh9h2h 
JsTh9c7h2s QcJcTc8h2h AsTs8s5c4d As8d7c4d2s 
Qs9c8h7c5h Ac7c6h4h3h AhJd8s7c5s AdKhTh7h3c 
AdKh8h5s4c Ts9h9c7d7c KhJh9h9d7s KsJd8d5c2s 
Qs9s6d6c5d Ah8c7c6h2c QdTd8h6c3h QhJh9s8s4s 
AcKh9s7h5h AhTsTc8c5d QdJsJhTc4c Ac9s7h5d3c 
AcKc7h7d2d AsQs9c2h2c AcTh7c6s5c QcJs8h6c5d 
KcQsJh8h6d AhTs9d3h3c Ts7d6s5d4c Js8s7c6c4h 
Kd8s8d5s5c AcJd9d8s8h KhKdQd9c3d Ac9h7d5s3c 
Td8s8c7s7h QcJs7s6c4c KhTd9d7d2h Ac9c5s4s4h 
Jd9h8c7h4d 9s9d6h6d3h KcTs9c6c2s Kh9d7c5h3d 
Ah9s7h5c2c QdJs9d6h3h AdKd8s4s2s QhJsTsTc2d 
AcTd9h7h6s Tc9h7c5s4h JdTs6s5s5d JsTs8h6h3d 
AsQc9c8h8d Qs9s8h6c4h AhKd8d5c4s AcKsTh6d5h 
AdKhTh6h4s QhJs7h6c4c 8s8c7h5s5h KsJd9h5h4d 
As9d7s6c2d JcTh7h4d4c Kh9s7d5d3h QdTs9s7d3d 
KdJdTc8d5h AcKs7s5h4s QhTh7s5d3s AdKd9h4h2h 
JhTsTc7c6c AsKcQcJc7c Qd9d9c7h5h Qd9d6h5c4c 
JhJd9c7c3h JhThTc3c2s QsJs6c5s5c QsQhJs3d3c 
KcQdJc9c6h JdJcTs9c5h TsTc9s5s5c AdKd4h3h3d 
KhQdTc8h4s AcKdJd6s2s AdQhJs8d3d KcQd8h7c6c 
AsJcTs5s2h QsJc8h5s3c QdTc9d5d3c QhTc8d8c5d 
QdQcTs8c4c AcQhTh7s7d AcKh4d3h3d AdQd8s8c4h 
KcQd9s9h7c AdTh5h4h2d Qh9c6d5h4d QhJd8h6c5s 
AdKcJd8d6d Kc9c7s6s3d QcTd9h8h2d QdQc9d5s4h 
KsKc8h6h4d JdTsTh8h6h Ac9d7c6d2s AcQdTh5d4d 
AhJhTs3h3d KdJs9s9h7c AdQcTd6d5d KcQd6s4s3c 
Kd9d7s6c5h Ad6h4h4d3c As9d8d8c6c JsTsTc3c2d 
KdJhTs4s2h KhQd6d4h2s Ad6c5s4s2d KsJdTs7s4c 
QhTh6d4s3s AsQc9s9d3h KsKc8h5c2d AhQcJh8h3d 
AcJs8s7h6d KsQc9c4h3s KsTd7s7h3d QdJs5h3s3d 
Ah9d6s5s2h Tc8h7h5s4c AcQh8d3d3c KsJd9d9c7h 
9s7d6s5h3d AcKc8h8d6c AhAdAc9s3d JsTs9s8c2c 
Qd9c8h7c5h KcTh6c4s3s QhTs8d7c6d KsJsJc7s5h 
KsJh5h3s3d AhQcTh6h3d TdTc7d5c4c QdJs8h5d3s 
QhTh6s6h5s QsQh9h9c2d KdTs8c6d3c AsKh9c2s2c 
9s9c8h8c7d QdJs9c8c2d AdJh6c4d2h QhQd9h8s5h 
KsKd8h3h2d AdTd7c6s4d AhThTd5s5h Kh6c5c4d3h 
Th8s8h7d5s Kd6s5s4h3d QcTh8c6d5s KdKcQc8c5c 
AcQdJd8d4h Ah8s6c4h3s KhQd9s9d4h AcTd7s6h3c 
JdTh6c5c3d JhJd9h7d3d QsQdJd3h3c AhQh8c7h4d 
JsTh7c6s3h Qh9h7d6s6d Th8s7h5c4c QdTc8s6d4h 
Qh8h7c6d6c QhQcTd8c4c QsJc9h9c2s As9d7c6d5c 
As9s8s8c4c QsQcJs9h5s QcTsTc8h2h QhJc8c5h5c 
AcKd4h3s3c KdTdTc8d3c QsJcTc9d4h KsKd8c7h2d 
QdQcTd8s4d QdTs9s4d2h Kd9d8c6h4c AhThTd8h6h 
QdJsJc6c2s QsTc9s7c3s JsTh7h5h3s KhKdQs7h3h 
KsJhJc8s5d KcJhTc7c4d Ac9h9d5c2d AdTd7h4s2h 
AcQsTd7s2d QsTd8h5s5h KsKc5d4s2s QhJsJc6c2s 
JsTh9h4c2s QsJc9h8d7d QcJsJcTc2h Td7h6d5h4c 
QsJdTd9h4c QhJh9s8s2c KsJd9h9c8c 9s9d7s5h4d 
Ac8s7h7c5c AhKhJh6s5h Ac8s5s4s3c QhQcJd4s3h 
AsTh9d6h6d AhJd8h6h3d AsJs8h8d5s QhTs9c6h2c 
KhKcTh4h3h AcJdTd9d3h Qd9c7d7c5s KhQsJsJd5s 
AhQhTh5s4h KcQh6s4s3c QdJc8h6d5s AcKsTc6c4c 
QcTh7h5s3c KhJh9s7d7c KhQdJd6s5d As9c7s5h2h 
AdTs9c3h3d QhJs9h9c7d Js8s7s6h5h KcQs7d6h5s 
AcJdTh9h3h AsTs9h7s6s AcJhTs9s3s AhQc8h5h4d 
AcTsTc8c6c JhTh8d6d3s QhJh8s7c4c QcJh9c6h4c 
Tc9s7s7h5h QhTs5c4h3s AhKcQcJc6c QdJhJd7s6d 
QsQd8c6c2s AdKc8s5c2s 8s8h7c5h5c AcKdTs6d3h 
AhKdJd4s4c Tc9d8d6d6c AsTs7c6d4s QsQhJh8c4d 
AcKs9c4c2s Qh9c7c6h6c AdQcTh6s5h QdTc5h4d3c 
KsTs7d4d3c Ah9h9d7s6h KcQhJh8d5s KcJh9d8c3d 
AdKc9s8s8h QhJcTs7h4d Jh9h7s7h6s Kc8h7s6c5d 
QhJhTc7s2c Ac8h5s5h3c AhKsTd6c5d KsKcQc9h3c 
QdJs9c8d2c QcJhJd8s6h AdJsTc9c3c QhJd7d5c3h 
AsTh8s8c2d QcTs9h9d6c Td8s7s5h4d QhTc8s7s6d 
ThTd8h8c5s QhJhJc8c3c KsJh9d9c8d KsQcJd6d5d 
KsQdJs9s6c KhQc8d6d4c Qs9s8h8d5d KhJcTd7h3s 
AdQh8d5d4s QcJsJcTd3c QhJsJhTh7h AsJh6s6c3c 
AcTc7d4h2h QdJsTsTh4c AsKhJs8s6s QdJc9h7d6s 
JsTh5h4s4h AcQsTh5d4h KhKcTh5d2h JhTd5s4s4d 
AsKsQs9s5c JdJc5d5c3c KhQsJdTc2d QdTsTd7c6d 
AcKs9c8d2h AdQcJc7s4h KsTh8s5h3d TdTc9h6d3h 
KdQh9d8c7d QhJhTdTc5s QdJdJc7h6d AhTc6h5h3c 
Js9s8h5h4d KdQh5c3d2h KdTh9s8h8c KsJc7s6h3h 
KsQhTs5c3d KhQs9s4d3h QhJd8d5h5d QsQhTd7c5d 
Kh9d7d6d4h QcJs5d3s3c Js8h7h6s4d Ad7d6h3s3h 
AsQd8s7s4c 9s9h6s6h4h 9s9d8s8c3c QsTh7c5h4c 
QsQhJd4c3h JdTh5d4c3c AhJcTd7c3s KsKc7d5h2c 
Ks7d7c6c4s JdTc9s4s3c KcJdTs6h6c QdTd9c7c3c 
QdJhJdTs3d AcTsTd7c4c AsKs8h8d6s KcJcTh7c2h 
QhJdTd5c3s TdTc9h7s6s KcTh9s8h6d AhQh8s5h2s 
KhTs8d7c6d AsKsJh7c3s AcTc9s8h3c As8s7h6d2h 
QhTd9h5h3d Ah9d7h6s4c AsKdTh5c4h KhJhJd4s2s 
KsKhQh4h3h AdJd9h7s7d KhKdTs5h2h AhQhTh5d4h 
AdQh9s7h6c Kd8d7h6h6d QcJc9h6h6c AhQhJh6h5d 
JsJcTd9h5s QdTs9c7c4s QsJhTh8d4c QsTsTd5h4c 
KhQd5s3h2d KdJsJd7d5c AhTsTh5h2s Tc9c7s6h3s 
7s7h6c5c4h AhTdTc8d5s AsQhTh6h4c JsTd9h8c6h 
QhQc8d4h2c AdTsTd9d3h KsJsJhTd3s KdTh9s9h8h 
QsJs9c5c4s KhTh9s8h7h KcTh7h7d3c QhTd9h8h3d 
JhTh8s6d5c QsTc6d6c4d KsJdTc5c4h KhKc7d5s2h 
Ac7s6h5d5c KhQdJdTd4c ThTc7h5c4c JdJc9h7h3d 
KdTsTc8s7s JhTd9h3d3c TdTc9h9c5s KhTh9d8h7h 
Kh9h9c6d4c JsJc9h3h3c 9h9d7h5c4d JhTh8s6c5d 
Ah7d6c5h2c AsJc9d7c3d AcTs9c8d3c QsJh9h4c3s 
KdQdJh3c2c QsTd6s5s3d AhQdTd6d4c Jh9h8s5s4c 
KdQcTd5h3s AcKh8d6h2d QcJc7h5h4c As6s6c5h2h 
AsQs6c5s3c KsQcJhJd6d Kh7h6h5d4d Kh8h8c5s5c 
AcQd9h2h2c QhQd6s6c5c 7s7c6d5d4s Tc9h9c7d6s 
JcTc9h7c5s JsThTc6d5h QdQc8d7h5d QcJhJc7s5d 
Kc9s9h5s4c KsJd6h5c4s AsTs8h5s4d Kc9d8s6c4s 
Kh9s9c6s6c QdJs9s4c3d 9c6s6d5s5c Jh8s8h7s6h 
QcJdTd4s2s AhKh8s8d6h QsQhJsTs4s KsJh9d7s2h 
AdTs9c8d3d KhJhTs8h5c AsQs9c7s7d Ac6d6c5s2s 
AdThTc8c5s AsTs7d6d2d QhQcTh8d5h As6s5s5d4d 
Ad9h6c5h2d QcJsTh7d5h Ac8d5c4d2h QhQdTd8c5d 
TsTd6d5s4s AdQd8s7d4c KhJh9h9c7s AhKs9s9d6c 
AsQd5h3s2h AhQhTh6h5d Ah8h6s4d3s KhJcTc7c5s 
AcJd9h9d8d AhKcQs7h2d KsJs9h9c7s QdJs9h7d3s 
KsJh8s5c3h AhJhTc3h3d JsJd5s5d3s KdJhTs7d3c 
Kc9c7s6d5h AdJc8s7h5s KdKcQc9h3c QcTsTd6h5d 
JdJc7h4h4c QhTd9c8d3c QdJs7s6d4d AdKdTh4c3d 
AdQs9d6d5c KcTs8s8c3h AsKcTh3d2s JsJcTd7s2d 
AsKdQh9d4d QhThTd8c2c AdQdTs3c2h AhJc9s7c3s 
QsJhTs3h2h KsJcTh7s3d QsTc5c4s4c JcTh7d5h5d 
KdQhJd6c2c AcKd9c6h3s JsTs5h4d3h QcTdTc2d2c 
JcThTc8s6c AhQd9d7s6c KsKd8h7c2d KhJh7s6c3s 
KcJhTs6d6c KsQdJcTh2c KdJc8d5h3c KdQs9s9c4d 
JhThTc5d2d Ad7h5c4d2c JhJd9s8h3s AsJh9d5h3d 
KcJd9c8s2s 9h9d6h6c3c KdQh6s4d2h AcQdJs6s4h 
QsJh8s7c4c AsTs8s7s6h AcQd9s6s6d JhJcTc9d3s 
AsKcQh5s2s Jh9d9c5h4c Js8s6d5h4h AsKs8h6h2s 
AdKs8c5d4d AsAdAc9h3d KdQhQc4s3h As8d7s7h5s 
9s8d7s7h6h AsJc8c3d2s KhJh6h6c5c JdTsTc4s2d 
AhQs9s4h2s Ad9h7d6c2h AsQsJs5h5d Ks8s8d5d5c 
Ac8s5c4d3s QdTh9h5h3d QcJs9c8d4d AcKdTd7s3d 
