KsQh7s6h3s 
KhQh7d6d4h QhJd7h5s5d AdJc8h7d3s AhKh8h8c5d 
QcJhJc6s6d JcTd9h7s7d AsJh9s5d5c Jc8s7h6s5h 
QdJcTh7h6h AsKs8c4s4c KsJhTs7h2s KhJc9h8c2c 
AcTs9h9c5c QdTh7h7d5h KdJhTd7c3s AhQcJh9h5h 
KsJd9c6s5h Ts8h6s5h4c QcTs6c4h3s KhQcJs5c4d 
Qh8c7s7c6h Ac7c6s5h2h AsQc9d6d4c JhTsTh4s3h 
KdJs9c6d5h JsTs5d4d3h AsQc6d5s3h AdKdQh6s3d 
AsQc9s4s3c JcTsTc9c8c Ah9s7d6d5s KcJc9d8d2s 
KdTh9c7c6c JsTs8s8h7c AdQd8h8d5c QsTd8s8h7s 
AhTd9c7h3h QsQh4s2s2h AsQd8s2h2d AcJhTh6d3d 
AsKsQd8s6s Qc8s7s7d6c QdTc9h5h4c Jd8d7h5s4h 
KdTh8d5d4h Ac8s8h6s6h 9h7s7d6s5d As9s7h4d3h 
AhQc6h5s5d Th8c7h6c4h Qh9c6s6h5s AcQsQc4d2c 
AsQsJc9s5s AcJsTh3c2d KdTs5c4d3c 7s7c6s6c3h 
AcKc8c7c6d QsJc9c7d3s AhQsQh8h3d As9s6c5c3c 
KsQhJcTd3c Jh8d7c5h4c QsJs9h9c8s AsKd7s5s5c 
TsTc5h4s4c AsQs9c7s3c AhJsTs8s5s AcTc6s5d2d 
AsKhJh9h6c KsQh9s9h2d AcThTd5c3s KhQcJd6c5c 
AdQs7d6h5d AhQdTd5c2c AsQh9d6s5s AsKhQc8d8c 
JhJcTd5c4c QdJc6c4h4d JhTh9h9c2c AsJh8d7s3c 
KsKd8s8h2c JsJh9s9c5s AhKd7h5s5h QcJh9c5s2h 
Kd8h7h7d5h AsQdTd7d5c KhQdTs9h3c AsKcTd9d3h 
As9d9c6s5h AcQc8h7s7c AdKdQc5h2d KhJc7h7d4d 
Jh8h7s5c4s QcJsJd7h7d TsTc9d7c3s JdTs9h7s7c 
Ac9s9h7h5s 7h7c6c5h5d AcKhTs5c3c JsJd7d6h3s 
As9s9c8c2s AcQh8h8c2c KsJd7h6h4d QhTd5s4d3h 
Ts9s9d6d4s QsQh9h7d5c QcTc9h5h4c ThTc8h5c4c 
AhKc7h5s5h KcTh9c8h2c KcJh8s5h2c QdJd6h5s3h 
Kh9s9h8c5c KhQh9h8d5d QdJcTs7c2d AsQdTd7d5h 
KdJsTs7c4h KhQh7c5s3c KsTsTh4h3h AdKcQh8s6s 
AcQs6c4s2s KsKc9d5h2c AdKcQh6s2d QsQd8h5s5c 
AsTc8c7h5d AcKcTd5s5c Kc7s7h5c4h JdTsTd7s2c 
Kh9c7d6h3d KhJs9h7s2c AcQdJc7c5c Qc7s6h5c4h 
As9d7c4s3c Jc8h7d7c6h Kh7c6h5s3c AdTs9h9c7h 
AsJd8s3c2d QcJd9c4d3h KsTsTd9s8s 9h9c6h5d4c 
6h6d5h5d4c QhQcJc9d6c QcJdJc4s2s KsKcJh8h4d 
KhKd8s6h2c Ad9d7s6s2c Ac9s6s6h3c QsQh9h7c5d 
QhJhJcTh4s AdKd9d9c4c KsJs7d6d3c KhQhQc4h3d 
QsQhJs9d6s Ts9s9c5h5c KhQhTc9s3d JsTd9c8h6d 
Qh8d7h6h5d AhQsTc9s5s JcTc5d4d3h KcQs9s9c2h 
Qh8d7d6h4c KsThTc6s2c AcJs9h8h3s Jh9s9h6h5s 
QsTsTc6h2c AdQsJd8d6d KhJdJcTs4d AcQd7s6s2c 
QcTh8c6d2h KdQdTc9s3h KhTd8s6d4s AsQhJh8h6c 
Jc8d7h7c6d Ac7d6s5d2c AsKsTsTd4s KdTdTc9d8d 
AdQc9h5h4c KhKcQd4c2c Th8s8c6c5s KsTh9d6c5s 
AsQcJc5c4h AhKcTdTc2c Td8d7s7d6s KhJsTc6s5d 
AdJc6c4h2d KdQhTd4s2s ThTd9s7s4h Ad9h7s4d3h 
Ts9s9h6d3h KsQsJsJh4c AcKc9h9c4h As9s7d6d2c 
9s7s6h5d4d 8h7h7d6c5d AdQdJd3s2s QdJs9h6h4s 
KsTd5d4c3s AsQc6h6d5s KdTd5c4s3s AsQs6s5h3h 
JhTs9h6s2d AsTs8d5c4s Td9h8c6d4h Ad9s7c4d3s 
AdJdJc4h2s AdQcTs9s4h QsQc9s8s6s QcTc9s7h6c 
QsQh9h6c5h KcJc9h6d3d 8h8d5d5c4h AcKhTs6d2c 
AcKs6h4d3c JhJc8s8h3s AsJdTd9d4c Ts9c8s8c5h 
JsTc8s4d4c Qs7d6h5s4h Jh8s6c5c4h AcQhQc8c3s 
AhKsQc8d6d KhJdTsTd6c TsTd9s6c3c AsTh9c8h8d 
AdTs8s7h5c Jc8c7d5d4s AhJh7s5d4h AhKsTd9d3c 
KsTh9c6d5s 8h7h6h5d4d QhJhJd9c5s AcQdJd5d4h 
KsQsQc4s3h KdQsJh7c5s QsQd8c6h5h AdTc9s7d3d 
QsJsTh7s3h JdTd8h7h3s AhJs5h3c2s KsKc9s4h3d 
KsQc7s5h3h AcKdJh4s3d 9s8s8h7c5h KsQhTh7d7c 
KdQhJsTc5c JhTd6h6c4d AsTs7c6d2c KhJs9s7d2h 
AhKd6h3h2d KsTc9d6h5s KsJc9d9c8h TsTh8h7h7d 
QdQc9d6s5d Jc8c7s7d6d AsThTd6h4d AhQsJc9c5c 
KdJh7s5h4s AcQdTh9h5s KsJcTs3c2s Ah9h8d6d2d 
Qc9d7h7d6h Ks9c7s5c3h QsQd8c5s4h JdTc9d6d3c 
QsQd5c4c2d AsKhTd6d5c KcJs5d4s2c AsJsJc9s3d 
JcTsTh5s4d KcQd6c4h3h KdJcTc7c2d KdJsJh8c6d 
AsQdTh9h4c KdTd6h4s4h KhJs8c5h3s Ks9h6s5h3h 
KhQcTc7h2h AhJc8h3d2c KhJhTd3s2s Ts8s7s7c6c 
KcQd8d5h5c KcJs8h8c4s KsQsJsJd4c KcJd9h9d8s 
KhQs9s9h4d KhTh9s8s4h AdQsJc9c5c AcQdJs9h5h 
KhKd7s7d2c As8h8c7c5h AhTs7s4h2s AhQd8d3s2h 
AdKs4s4c3c KcTsTh7d6h ThTd9c8s7c QsQh9s6c5s 
QdJs6h4s4d Kd7s6s5c3d Ad9h9d7c5d AdKh9h3h2d 
Th9s8h7c4c AcJd9c5d2c AhTd8h3d2c JdTh8h7d2s 
AsQdJs9s5s AdKhQh9s3c Ts9d8s7h4h QdJcTd6s5d 
AhKcJs7c3d AhTh8d8c5h AdJd6c4s3s TsTh8s7s7c 
AsKc4h4c3h KcQsQc6c5c KdTd8c7c2s KhJc9h9d7h 
AsJc9d4d2s JdTdTc4h2c QhJh9c7d6s KsQc9c5s5h 
AcKdTs6h2c KcQsTd4s4d TsTc9h8d7d KcQhQd6h4h 
AsQhJs7s5s QcJd9s8s3c Td9h9d7c4h KdQsJhJc5s 
Ac9s9c8s2c AdQhTh8h4h KsKd6c4h2s AsKcQc9d3h 
KcQdTc4s2s KsTs9d6h2d JhTd8d5c3h JsTd9c7c6c 
AsKsQs9s9c AcQs7d5s3d QhJc9c7s3h AhKh5d5c3s 
Ah9h7c4d3c QcTsTh6d6c AsKcQh8d4h AdJhTh8h5h 
9h9d8h5s5d AhTh9h7d3s KdTh9s6c5d Ks7h7d5s4d 
TdTc9d5s3c AsKh5d3s3c AcKdJh6s5s Qs9d6d5c3s 
JdTh9h2s2d AsJs9c6s6c AhKcQd9h4h Jd8d6c5c4h 
AcJdTs3c2h AdQhJd9d5d Kc9s9c8h7d 8d7h7d6c5c 
Ah8s8h6d2s Ad8s5s4h2d KsQhJc8h8d QcTc9s6s2d 
AcQc6s4s2d QcJc6s5h3s JhTs6h6d4d AdJc9d5c2d 
QcTsTh8h6h QsTs9d6h5c 9s9d8s8d4d KhJc6d4h4d 
AsQd5h4c3s AcKs4c3h2h Qc7h6d5c4d KcQsJs9s8s 
KhQdTd7h2h AhKdTs5h3h KhKd8s6d2c AsKsTs8s4h 
KsKdJh7c2s JdTsTh5h4c Tc8c7h7c6h QcJd9d5h3h 
AsTsTd9c4s TsTc8d7h7d AsQd8h7c6d AhQsTs7d5s 
QcTd9h9d8d JdTd8d8c7h 9s8s8h6d5d Ac9c7h6h2d 
KhJhTc5h4d AdKh6s4c3d AcTh8c5s3d QsTd9h5d4h 
Ah9s5h4s3c JcTdTc6c3d Ah9d8d4s3h QhJhTs7d4c 
KcJd7s6h5c KcJsTh4s4h AdKsTh8c4h AsKcJd9h2c 
KhQsJc5s4d QhJcTc3d2d AsKdJc4h3d QhTd9d9c8d 
As9d8s7s3d Ad9c8c6h5h KsQc9d5c2s AsKh9h3s2h 
9d9c6d5s4c JsTs8d8c4c AcQd7c5c2d AhQsQc6d2h 
KcQsQh6h4h QhJs9d8d3h KdQh9c5h5d As9s9d8c7s 
QcJdJc4h2h Kh9c7c5h3s AhQcTs9s5d QcTc8s5c4s 
QdQc9c4d3c AcKcTd9c5c AhQc9s7s4c JhTs9c7s7d 
QsJcTc3c2s 9d8d8c7c5s Jc8c7h5h4d QdQcTh6c3s 
QhJcTs7h2c As8h5s3h3c KdTc8d7h2c KsQdTh5c3s 
JdJcTh3h2d Ad8c5s5d3s 9h7d6s5h4d AsQcTc5h2h 
KhQd9h8d4d KhQhJs8c5d KdTd8c7s5h KhTc9s7s6s 
7d7c6d6c4d Kc7h6d5c3d AhTd7h4s2s AhKhTh6h5s 
JsJc9h8h3c QcJsJh7h6d JcTdTc9c8c KdJhTh7s5h 
JhJd7d6s3h QdTs8s7c6s AdTh7c6d2c Kc9h8c7h4s 
AcJd9h6h2c Ac8s5h5c3h AdKcQd7h2s Jd8s6s5c4d 
JsTdTc5d4h QcJdTh9s3c JsJcTh3h2c AcTc7s6h3d 
AhTc9d7h4h KhJc8h7c4h AcQd5h4s3c KsKh9c8c5c 
KhJhTd9h5c KhTh9h8h7d JsTs9h6h3h Ad9s6s6h3d 
KsQhJdTc5c AhKsKhKdQc JdJc9c7c6s QhQdJs5h3h 
KcQc9d6s3s AsTs6d5h2d Ah9s6s6d3h KdQs8d6s2c 
AhQs7s3s3h AdQd8h8d5s KcJsJdTs3h JdTs9s3d3c 
AhTc6h5s2c Ah9c8c3s3h KcQh4s4h3c AhKhQs6d3h 
8h8c6c4h4d KdJsTsTh6c Td9s8s6h4d JcTh9h2d2c 
KdJd7s6c3c Jc9d9c6c5d KsTs8d7d2c AcKc8d8c5h 
AcTc7h6s2h KdQc8h5d3c JdTh6h5c3d KhKd6c4h2s 
AsKc8s5s4d KsQdTsTh4c KsJcTd6s5s AsKdQs8c2h 
KcTd5h4c3h KhJdTs5c4d AsTs9d4c3h JcTs9d5c2s 
AsQcTc9c7c 9h9c6h5s3c KcQc7s5h3s 9s8d7h6h4s 
AhQcTc6c5d QhJc7h5d5c QhJh9s7s4c KsQc9s8c4c 
TsTh9s6c3c ThTc9s7s6d KdQcJs7h5c AdKsQh8c4h 
AhKc7d7c3d KsQs7h6h4s AdKdTd8d4s KcTd9h5d5c 
Tc9h8h8c5s JdTh9s8c6h QcJs6d4s4c As9s7c4d3c 
KsQdJh6h5c AcQdJd8d7d JdJcTc4s2s Th9d8h8d5c 
QcJsTd7c2s KhQsJdTh2h 9s8s8d7d5c Qh9h8s7s5s 
KhQd9h9c8h KhQs7s6h3h AdKdQh8d6d AsKsQh8d2c 
KdKc8s8c2h KhQdTs2s2h AhJdTd9d4s JhTd8s7h6h 
KdQs8c5d3s JsJdTh3h2s AdTh9d8d2s KdJd9s8c4s 
QcJs8s5h3c AdJsTh4h2s KsJdJcTc3h KdKcQs9h5h 
AsJsJc6h3d QdTd9c7c4d AsQdTh3s2c Kh6h6d5s4s 
KdTc6h4h3d QsTh6s6h3c AdTd6s5c2c AdQd9h7d3h 
KsQdJd6d2s AsQsTs9c3s KdJsJh7h2d QcJsTs7h2c 
Ac8s7s5c2s As9s8d6d2d QsJdTc6h5d AdJsJhTh2h 
JsJh9s4h3c JsTd9d4s4h QhTsTd6h6c KcJcTd9c3h 
QsQc7s5h3h KcJhJdTh4s AhKdTs6s5c AsTs9h8d4s 
AhTs9d8s8c QdJhJdTd4s AdJs4h4d2s QhTd9d7c6d 
9c7d7c5s5d 8s8d5s5h4d QsJdTh5d4d KdTc8s6s6c 
AcQh5c4s3d Ah9c5h5c3s KhQc7c4h3d KhQcJc9c8c 
Js8d7s6d5d QdJhTd6d5c KcTs9c8s2c Ad9c7c6h2d 
Ac7h6h3s3c JsJdTc5s4s QdJsJc6d2c AhKdQh7s2c 
Ah7h6c5c2d JdTs9d4s4h KhQhTs9d3c QdJh6s6d4s 
Jh9d9c8c5d AdKh9h3d2h QhTc9d9c7s TsTd8s7c4c 
TsTd9d7d6c KdTh6c4c3d QhTd9c5c4d As9h8d5c4s 
JhTd9d5s2h Qs9h6h5c4s Jc8d7s6d5s QdJsJh7h6c 
JsJc8s8c2s QdJsJh7c6d KsJhJcTh3d QsQc8d5s2d 
Ac8h8d7h5d AhTd8h5s3c JhJd9d8c3c QhJs9c4h3s 
QsQcTs8s4h AcTh7c4d2d AdJd6s4c3c Ad8c5h4h3d 
KcQhJdTc2c KdQcTh9d3s AhQcTc6c5s KsTdTc7s5h 
AhKcTd5h3h QsQc8c4s2d Ah9d6s6d4h KcTh6s4s3c 
AsKsJs9c2h AhKsTc6d3s ThTc8h7h4c Ad9s9d7s2s 
Kd9s7s5d3h Ah9h7d5s2d KhTc9d7c6c Qd9c6c5s4d 
AsKsQc6d3s KcQdTh8s6s KhJsJdTd4c AhTc8h3c2s 
KcQd7d4s3c AhQs9c6h5h KsKh8d6s2c JhJd7s7h5c 
AsQdTs5s5c QsQc5h4s2h QdJd9h7c6s QcJsJh6c2s 
JhTd9h6d2s AcJs6d5c2d AhKs4s4d3d 8c7s7c6d5s 
JhTh9s6h3s KhQdJsTc5c KsTs8c7d5h 8h8d6d4h4c 
AhQdTd8d4d As8s5h4c2h AcKs9s3s2c Ad7s6s3d3c 
9s7h6h5s4d KcJs8c7s2d AsQhJs8s6s AcKh9s6c5c 
Kd9s7c6s3d AhTc8d3c2h AsQhTh6h5c KsJs7h6h3c 
KdTsTc6h6d QsQh8c5h5d AcQdTd9s4d JdTh6h5s3d 
JhJcTs4h4d AcQs8d7h6s AdQhQd4c2d Ah9c8c6d5d 
AcJh9s4s2c QcJsJh8d7d AsTc9s9d4s QhTc8c7s6c 
AdKhTsTh2h AdJs5s4d3d AdJc4s4d2c AsQc7h5c3h 
AsJhTh9c4h Jd8d7s7h6s QcTh6c4d3h AsKsTs9h5s 
KdTsTc6d2c Ts8s7d6h6d Ac9h8s5c4d AdTd9d7h2h 
AsQc7s5s2c KsQhQc6c4c QhJhTd7h3d KdJd7s6s3c 
QsTs9h6h2d AsQh9s4s3h KsQcTh7d7c AdJs9c8s8h 
AsJs9d6d2d KhQdTc7s7d Js9d8d5s4c AcKdTh5c3c 
Ks7d7c5s4d 9c7c6h5h3s AdJsJh8c6h QhThTc8h7h 
AcKc6h5d5c Qd9d8h6s6h KsQsJd8h5c KcJd8h8c4d 
QdTh9c5h5d Kd9c8d6c5d JsThTc5c4d KcQhJh9h8h 
KcTd9h7s6s JhTs9h7s2c QhQdJd2s2c KhQc9h8h7d 
AcKcTc8d4c AdQc6d5d2c AdKhQs7c3h AhTc9d7s2h 
KhJhTs7h6h QsQcJs7d5s QsJc9d6d3s KsQsJc8d5h 
KhQd7d6h3h KdQcJhJd6d 9d9c7d7c4c AsAhAc8d3s 
KsQhJd6d5c AsKcQd7c4c KhTs9c6d5h Ac8d5d5c2s 
9h9d8h8d4h AcKc7h4s3d AdQc8s8h4d QcJs9d8d3c 
Kd8s7d5s4s KsJsJc8c2c 9h7h6s5c4c JsTc9h8d6c 
KcQs9d5s5c QhJhTsTc3d JhJc8c5s3h AcQs9c4c3s 
KdJs9h6d5c QhJsJhTd5h AcQsJh9d5d AcQc8s8d7c 
Kc9d8c7d4s QhQcJh9d6h KhQc4d4c3h KdQhJc7s5h 
KcTh8h7s2c KsQdJhJc5d Td9c8h6d4c KsKd6h4c2d 
KdQc6c5s3s AdJsJc8h6s Ks7d6s5c3d Ah7s5s5h4h 
AcQh6d5c3s JhJdTc4s4d Ac8h7h5c3c QdQc9d8d7d 
AdKcTh8s4h AdKsTc8h4c KsJhTd5d2h AsTdTc8c2d 
KhTc9c4h3c KdQh8d5h5c Ac9s9d7d5s 8s8c6c4s4h 
KsTh8s5s4h QcTc9d4d3h KhTd9h8h6c AdTd8h5s4d 
QsJs6c5h3c AhJhJd8h5h TdTc9s8c7c KhQsJd7h6h 
KsKd9s4c3h KsQs9c6h3h AhTh7d6c3s Ah9d9c7d5c 
JdTc9d8d6s QhJhTsTd2c AsKcTd6h2s KdJh8d7h4d 
KhQsJc6c2s AhQs6c5h3d AhKcTc3s2s KdQcJsTd2d 
As9h8c3s3c JsTd8h5s3d AhKhTh9c5h QcTs9d6c5h 
AhJcTc6d3d KdTs5s4c3d 9d7s6s5c3d KsKh6s5d2s 
QhQcJh9h5s AdKsTc4s4h AcJs8h7c3d KsQhJh8d6c 
As9s8h7c3d AsJdTd6c3c QhJsTs9s6c Ac7h6d5c2h 
Ad9d7s6s2h AsTh7h4s2h As9s7h6h2d KdQc8s5d3c 
QdTs9s6h3h KhQdJs7c5d Ks7c6c5h3s Jh8h7c5c4d 
AdJh9d5h2d KdJdTs7d6d KcJs9h6c5d JhJc8c5h3d 
JcTs6d6c4s TdTc9d8d7s KsQhTc5h4d JdTc9c2h2d 
KcQcTh5s2s JcTc8d7h6c KhKc6s6d3d KcQh4h4d3c 
AsQcTd4c2d KdQhTd5d2h Ad8h8c7c5h KsKh8d7c3h 
KcJsJcTc4h QsQh9c7d5h AhKhQh9h9d AsQd9c6c4d 
KhQsJd9h6h KsJh7d5h4d QsJc9s4c3h KcQsJdJc6c 
As8d5s5d2h KcTc6h5d4s KhKdTd4s2d QsJd6s6c4c 
AcJcTc5c4d AhKh8s8h5c KdKc8c5s2h KsJhTd4h4d 
KhTd9s7s6s AhKcTs6d2h QcTc7h6d3d 9s7s6h5h4d 
AdTs5h2s2d QhJh6c5d3c AdQh8d3c2h Ad9d8d7s3s 
QcJdJc9s5h Kh6h6c5s4s QdJsJdTh6d QdQcTd5s5d 
QdQc9s2s2c KdJh8s7d5c QsTc9h9c8c KsQsJs9h4h 
Ac8h7s7h5s JsTh9h7c6h AsKd6h5d2h Td9s8d7c4c 
AsQh7s6d5s JsTdTc6c3s AdKsQh8h8c AsKhQh7h5h 
KcTh8d6h6d AdQc9h8s2d Td9s8d7s5s AsTd9s9h5s 
Ad8s7d4h3s KsTd9c6s2c QhJh9d7c4c QdJhJc7h6s 
AdKsTc6c5h QsTc9h4h3s KsTd8h6h6d KcQd7s4d4c 
QdJsTc5d3h AhKdQc7s3d 7d7c6d5s5c AdKdTs9d5d 
QhJc9h9c4s AhJhJd4c2s QcJd7c5d3s JdJc8s8d3s 
8d7d7c5c4s Js9s9c6c5s AdKs9s3s2d Qd9d8h6h6c 
JdTh9c4h4d Js8s7c5d4c Ks9h9c8d7s AdKcQs7h3c 
QhTc8c7d6c KdTs9c6h5d Ah7c6s3s3h AdTs9h9d4d 
KsQsTc4c2c KhKdQd9d3s Ad8h7s6d5d KsQh6s4h2d 
KdQsTc7c6c KsQhTc7c2s Ac9s9c7h5c QcJh6d4h4c 
Jd9s9d6d5s JhTc6h6c4c KcQcTd5s3h Ad7s6h5d2s 
KsJdTs7h4s AcJsTh6h3s AdTsTc8s2c TsTh9d8h7h 
AhQcJc8c7c AsKs6d6c5s Ac5s5d2d2c 9s9d7s5d4s 
QsJc9h4s3c JdTs9h4s4d JcTc9d7d2s AsTh9s9c5s 
KhTd9h6c2c Ad9h7s6s2d QcJsJc9h5d Ac9d8s3s3c 
Kc6h5c4s3h AsJh8c7s3d KhQsTd4d2s 9h8s7d6d4h 
KsQsJs9s8h AsKd6s5h3s KdKc8c5h2s JdTd9h9c8d 
JsJd8s5c3d KdKcTc4s2c AcJc9d2h2d KcJd8s7c5h 
Kd9s9d8h7c KdQh9h5d3d QhTc9s5s4c KdJdTs3h2h 
KhJd9c6h5s Ad9h9d8h2d Ts9s7s6h5h QcJh9d6h4d 
KdJd7d6s4s KsQh8c5s2h AdTs9s3s2d KsQc9h8d7c 
AdQc8c3s2d KdQs5s5d3d ThTc9h6s3s KcTc8s7d5h 
9d9c6c5s4s QhJcTs7c2h Ad7s6s4d3s QsTs9c8d5h 
QcThTc6d2h ThTd8c7s7c TsTh8s7d4d KcTc6h4s4h 
JcTc9h6c3h QsTh9h7d6h KhQdJc8c7c AhQsQh9d2h 
AhJs9d5s4d AdJdJc4s2h QsQdTs5s5h AdTc7d4s2s 
8s8h6h4s4c JsTs5h4h3c KhQs9c8d7s Kc7d6s5c3s 
KsJd8c7s5h KcTc9s8s3c QcTd9h9d7s KsTd8d7c2s 
TsTh9c7s3h AhQhQc9s2h QsTs9d8h5c KdQc6d4c2h 
QhJd6h4c3d AdJd9s6s2s As7c6h3s3h KhTd9d8h2h 
KcQs8h5c3s AcKdQh7s3d AdQdTdTc6d AsQdJd4h2h 
QsTd9d9c8d KsTc8d6c4d Ad9h7h6s2d QsQcTc7h2h 
8d8c7c5h4h KhTc9d6s5h TsTc8d7c4d Jc8h7h5s4c 
KsQd9c5d2s AhQs9d6h5h Qh8s8c7h5s KcQhJd6d5s 
QhQdJh9h5c KdJh5d4h2c KdQd7c5c4d AcTc7s6d2s 
KsKhJh5h2d AsQhJc7c5c KdJsJcTh4c Jc8c6d5h4d 
QcJd9s4c3d AcTs9h9c4c KhTsTc6h5d AsJd6s5c2c 
Th9s9c8h5c AcTd7c4s2s QdTd6c5s5c KdQh9s5s3d 
AhJh9h8h7d KhQc7c4h3s AdKdJd9s2c KhQdTs7c4h 
9s9c7h5s4c QsQd5c4d2c Kc6s5c4d3d AsTh7d6s2d 
AdKd6h4d3h AsTs7d6h3c AcKc5d4d2c AsJsJh6c3d 
JsTd8d7s2c AcKhTd9h2h AcJsJc5d3c 9h7d6d5h4s 
KdJcTh4h4c QsJh6s4d3h AcQhJd9d5d 8s8h7h5c4c 
AcJh6d5c2d JhTdTc9s6c Td9s9h8s5h AsKdJd9h6d 
KsTh9s6c2c JsTh8d7s6s AsJs9c2d2c KdQs9c5c3d 
KdQsTd9h2c Kc9s9c8d5d Ah7d6d3s3h KsKcTs4d2s 
AdQcJh7h5h AcJdThTd4d KcJh9s9c2s AcKsKhKcQd 
Ac7h6d5d2c JhTd8c7h6h KsQd4d4c3s JsTd8c7s6s 
8s8c6c4s4d QhJsTc5h3d JsJc9d8d4c KcQs5s5c3c 
KdJcTc7h5c AdKcThTc2c QsJdTh7d2s JsTc8c7s2d 
Ac7h6s5h2c KdTd6h5s4c Ad9s7d4h3s KcQhTs7d4c 
AsJd8h7s3c 9h9c6c5d3h As8d5d4c2s JdTh9d7s7c 
AcKdQh7d4d AcQsTs9h4s JhTdTc6d3h KhQhTd7c4s 
KsQdTc2s2c AsKdJc4h4d Js9s9h8c5c Jd8d7s6s5s 
Th9s7h6s4s KdQhTs7s2d KcQs8s5d5c Jd9s9d8h8d 
KdKc9h5s2c AcKh7c5d5c KdTsTc7h6c JsJd9s7s6h 
KsKcJs5s2h AsKhJd4c3h AsKs7d4c3h KcJs7s7d5d 
KsQs8d8c5d KhJd5c4d2h QsTs8h5s4h Kc9d7c5d3h 
AcJs9d8s8h AsQc8c3h2s AcQc7h5d4c QsQhJd6d5d 
8h8d5d4s4h As7s6d5d2h KdQdTc9h5s 9d9c6d5h3c 
JdTc9d4h4c QdTdTc6h2c QcTh9s5s4h AsTs9s7d7c 
QdTc9s9c2s QcJcTs7s3c AcTh6c5s2h KdJh9c8d2c 
AhKhQc6h6d QhQdTc6s3h Kc6d6c5s4s AhTh6s5c2s 
AhTc6h5d2c QcJsJd9d7d JsTc8h5h5c JdTs8c5s5c 
KhTdTc6h2d QcJsJcTh5c AhTc8h4h3c KsQhTs4s2h 
KcQdTh9h6h KhJd6s4s4h JhTd9d7c6d QsJc7c5d4d 
QhQdJs6d4d KcQd9s8d7h QdJh9s6s3d AhKcQh8h5h 
KcThTd7s6h KsKhJd4c3d Kc7s6h5c3h QsQc9h7d5s 
ThTd9d5s3h AdJdJc9d3h KcJc8c7s6d KcJhTc7d3s 
Qc8h8d7c5h JdTh9d7c6d JcTh9s7s6s AcQs9h8d5s 
KhQd8s5h2d AsJh4s4d2h AdTd9h8c4d KdJc9c7s2d 
KcTsTh6h2c TdTc8h7c4h Ts9s8d6d5s KdJh8c7d5s 
Qh8s7h6h5s Ac9c5h5d4d Qs8h7c6s6h QhTh9s6c5d 
Kc9h8d6d4c KdJd7c6c3s KcQsQc9h3d 9c7c6h5h4d 
KdJcTc7s5c AcKhTd6s3h As8h7h7c5c KsJs9h9d2h 
AhTd8h3d2s JhThTd4d3h Ks9s9h8d5d Jc9h9c5s4h 
9s9d8s5h5d KcTc9s7h2s KdQs9d8s4s QdTs9s9c2c 
AcKcQs7c3d KhJhJd6h5c KhQh8s8c5c JcTh8h7c2s 
QsQdTd7c2c 9h8h8d6c5c KhKc9h4d3s AhKs5d4c2h 
QsJh9d9c8d QcJh6d6c4d JsJh8s8d3d QsJdTc9d6d 
Ah9d8h7h3d QdQcTc7h2h JhTc9h4s4c Ad9h9d5d4h 
JsJh9h9c5h KsJhTc8d6h AcQdJd5d4s QcTc9d4d3s 
QsTc8s8h7s Qd9d8h7h5h Kd9c8h6h4d QcTsTc6h2s 
JsTc5s4c3h JsTh9h5d2s QsJd5d4s4d KhKc9d5s2h 
QhQc9c4h3c TsTd5h4s4d AhKsJs9s6c Qc9d8s7c6h 
Qd7s6h5d4h QcTc8d6s5h QsJdTd9d6c AhTc8s3c2h 
KdKcJs8s4h AsQc6h5s3d KhQsQd7h4c KsQh4s4d3h 
QdTc8d6c2h KdQcJh6h5s AsKcQd6h2s AsKhQc8d6d 
QhJs9c5h5c KdJs7c6c4s KcJs7d6s4d JsTs8h5h3d 
KdJsTs7h4c AdJh8s7d3c AsQc9h6d4s AcTh9d7c4c 
Ah9c8d5s4h AhTs7s5s2h 9h8s7d6h6d KcJc8c7h6s 
AcJsTc9c5c KsTsTd8d3d QdJd5s5c4s Ah7d6d3h3c 
KhJc9s9h7h KhJc9c8d7c KhQs6h4s3h Ah8s7h4c3s 
JsJd9s8h3h AsKh8c7c5d QcJhTs7s6s AhJc9d8s8c 
QhJc6h4s3c AdKh9c4c2d QsJh9s5h2d KdQhJc6h5h 
AdJsJcTh2h AdJs9d7s2d AsTd7h4h2s 8c7d7c5d4h 
KsQhJhTc4h 8d8c6c5c4d AhQsTh5h5d Qs9d6s6c5c 
AdTh7h6h2d AcJsTsTh4s KsQcJs7c2d KdQhQd4d3c 
Ks9d7c5c4s Ks6s6h5c4c AsJh6s5c2c Ac9s7d4c3s 
QhJh9c8c3d AhQsJd9d5d KsTs9s8s7h Td9d6h6c5c 
QhQc9s2s2c KsKhTd4d3c KdJd9h6s3s JdTd8h8c4c 
AhKc8d5d2c TsTh9s8s7c JsJd5h5d3h AhQc4h4d2d 
QdThTc9c7c As9c7d4s3d QhJhTd7d3h Ac9d7d6s2c 
AdJc9h4h2d AhKsTd6c2h KdQs9d8d7c AcTsTc9h3c 
AhKh8c5s3d AsAdAcKd8d Qc9s6s5h3c Kd7c6h5d3h 
KsJc7s7d4d AcKsQs7s5s AhKs5c4d2h Jc9c7d5d4h 
Ad7h6c5d2h AhKh6d5h5c Ts8s7c6d6c 9s7h6h5c3s 
AsKhQd6c2s JhTs9d7s7c AsKdQh8c6c KcQs9s9c4h 
