KdQdTd5c3h 
Qs9s9h5s4h Qs8s6h5c3h 9s9c8h8d5h Ah7h6d4s4c 
Th9d6c4h4c KdJd9c6d5s 9s8s8c5c3c AhTd7h5s2c 
Tc9s9d4s3c Qd8h6h5c3d 9h9c8h6d2c Kc7h6h4h4c 
KcTh6s3s3c AsJsTs2h2c JhJdTs7c3h Ks6s5h4d2d 
QhTsTh7h5c AcTs7h6d5s JsJh5h5c4d AdJc7s5d2h 
KcJh8h7s7d Qh9s9c8c2h Kd8s8d6c5h QdTs7s6h2d 
JsTh5s4s2h AdKcQs8h4h AsTs7h5c2d AhKs8c4h2d 
Kc6d5h3h3c AcQc8h8c4s AdQs7s6c5s QsJc7h7c4h 
QcTh8h6d2d Jh8h7h7d5d KhJd9h6d2d AcKh8d4s3c 
Ks6c5h4s2c Qh9h8d6s3s AhQhJh9c3h AcQh9s4c3d 
KdJd9d6h5c 8c7s6c5s3c AdKcQh8s4s KdJs8d5s3d 
QsJsTh7d4s KcQs7s6h4d Td7h6s5s5d AsQcJh5c2d 
Qd9s8s8d4h QdTc9h6c5c QsJs9s7c4c QsJd8s8d2h 
QcJdTh7s4s AhKc8s6s5s Ks8h6c5c2s AhJs7c6s5d 
Jh9h8d6d2c JdTs9d4d2s Td9s9h6c5h QdTsTc6h5h 
Qh8h8c5c4h 7d7c6c5c3d KsQs4d3d3c 9s7d7c6s4c 
KsJd9s8s5h QhJsTd8d4d AsJs6s5h4c KhJsJh9h3d 
KhJd9h8h5s AsJc6c3s2d Qc8c7h5c4h AsJsJd5h2s 
As7s5h3s3h 7h7c5h4c3c Ks5s5d4h3d QcJd6c5s2s 
JsTh8c4h2c 9d8d7d5h4h KhQh6d4c2d QsTh9d6c4h 
Js7s7h5h4s AhTh7h7c2c JhTd7h7d3h QhQd6c3s3d 
QsTc8s7c3c KhQs8s7c6s Ad9d7s5h5d AhQsTd5s3s 
KsJd7c5s4s AdQd8d6c5d AcTsTd6h6d AsQs7c5s3h 
Kc8s6d5h4c JcTsTd9h2d Ah9c7h6s6h Jc9h9c8c7s 
AsTs8d6s5s JdJcTh7s3d AsQc6c5d4h AcKsJh9h2h 
7c6h5h4s4c KcTd6d5c2c AcTc8h4s4c KhQd9h6s2s 
Ac9s9d5h3c AdTd8s7h2d Ad8s5d4s3d KdTc9c8h5s 
9s9c6s6d2d QdJd8d7h4h KdJc9s3c2d JsTs8d6s6c 
AcKdQh9h3h AdKd6c4d2c 9s9h8s6c2h Kc9h6h6c4h 
Th9s9h8d2d QsTd6d3s3h QsQd7h5h2d QdJhJc9s3c 
AdKc7s6h4s Qh9h8s6d3d KcTd8c6c4s QdJsJd7c4h 
Ac9d8c6h6c Jc9s8c6s4s Tc7h6d5d3c KhJdTc8s4c 
Ac8h6s5d3c QsTc9h3s2c KdJs9h3s2d JhTc6d4c3d 
QdJs9d3h2s KcQc7h7c6s QhTc9s6d4c JhTc8d4d3c 
QdTsTc9h4d QhTc9s6s5s QsJdJc4h3d AcKdTs5c2c 
QsQc6d2s2d QhTh7h6d5s QsJd7c4s3d KsTd5s5d3s 
KsTd9d8c5h JsJd8h4s2d KsTd9d2s2d KsJsTs9s3d 
Qs9h8s5h5c JhJd9s8s5c 7s7h6d4s3h Qs6s6c5h4h 
Js9h7h6d5c QsJhJd4c3d Qh9h9c6c2d KdJh7h4d3d 
AdJc8s5d3d AdJs3s2s2d JsTc9s4s2c AsKd6h4s2c 
Ac9d7c5h4c KcQsQd8h4s Kc6d5h4c2d JcThTd9s2d 
Ad9h8s7c6h AhQh9c8s2h 7d7c5h3h3c Kd9h8s7d2s 
AdKsQc6h2s AhTc7h5s2d QcTd8s6s5s QdJs5d4d2s 
Jc9h9d6c3h QdTsTc7h4d 9c6d6c5h4d Ts8s7d6c3c 
KhQhJh7s3s KsTs8c5d2d Kc9d6c4d3h KcJsTs4d3h 
KcQsQh9d3h KcQsQc9d3c KdJhJd9d3c JhTh8c5c2c 
9s8d6c5d3s Ad8d6s5d4h AcTd6c5s4c AhQh7d7c2c 
QsTh7d5h5d QdJh8h5c4s 8s8h6c5d4h AdJsJh8d2d 
KsQdJh8d5d Ad9d9c4s2c Js9s7h6d3d AhTd3h3c2d 
KcJs7d7c6c Ts9s8c7h3c Th8s7h5s3c Qd8s8h7s7c 
QsTd9c8h4s 8s8h6s6c5s AhQs9h6h4d KdQs9d2s2c 
QhTc9h7h5d AsJc9h9d5c JsTc9s7d4s Kc8d6h5s4c 
AhJhTh8s2h AdKs8s6h4s Jd9s6s5d3s Th9d8d7s7c 
Kc8c7h6s5c JhJc4h2d2c AdTd6s4h4c Ad8c5s3d2c 
AsKd7s4s3h Qh9s6s6d4h JcTc6s6h3s AhTs3h3c2s 
AcTd6h6c5c AhQcJc4d4c AcQdJh9s3s AhQd9s4h3c 
KdTd6s4h2h Ac7s6c4d3h Ks9s6h5c2h AsKc6d5d4h 
Jd8c5s5d4c KhJd8s6c5d KdQsJs9s5c KsJs9h5s2h 
8s6c5s4h4c AsQc9d8d6d JdTs6h4s3h KdQcTs6d3d 
KhTc7c6d5c AdQc9h7c5c KsQhJd8h5h KhQc5s3s2h 
JsTsTc8d4s KsKcTc4c2c AsKhJd3c2h 9c8h6d5d3c 
QcTd8h5s4c Kh9s8d5d3h Kd6h5d4s2s 8c6s5c4s4h 
AhTh9c7s2h AhQsJc5s2d Jh9h8h6s4s AsJc4s3c2c 
KhTc8h6c2h KcQh3h3d2c AdTs7h3h2d Ah9s7h5c4h 
QdJcTh5s3s Th8d7h5d3c AsTs9c3s2c KhJdTs8c4s 
KsQs9d5c2c Ad9d7d5h4c Kc8c6h5d2h AdKsJd4d3d 
AsTc7c6h3h QcTh7d6h5s Tc8c7s6d3d QhQc9d5c4c 
Kd6d5s4s3d Js7s7c6h4c JcTc8d3s3d KdQdQc9s4d 
JhJd8d4c2h Qs8s8h5h4s AcKs4c3d2h QdTc9d7d5h 
Kd8c7d5d5c QhQdTh7s2c 6s6d5s4s4d KcQc9d7c3d 
KsQs4h3h3d JdTh9c8c4s Ac5h5c3h2d JsTs7s6d5h 
AhJd9c6d4c AcTsTd7d2s QdThTc7s4d KdQhJc8s6s 
9d8s7c6d3c JsJd8d4s3s 8s7c5d4s4c KsQhJc8d6d 
JdTs9c6s5s QcJh5d4d2h Kh6h5c4s2s KcTs6d6c4h 
AhTh5c3c2s KhQsTd5c4c KsTsTc5s4h Ts8c7h5s5h 
AsKcTd7h3h KdQsTc5s3h KcJd9c8c5h 9s9d8s7h6s 
AhTs7c6d5s KsTs8h8d6s KdTsTh7d3c 9c8d6h5c3h 
KdQs5h4s2h KcQc6s4d2s JsJdTs2s2h KhQh7c5s2c 
KcJh9c8s5c Qs6s6d5c4c QdTs8s8d3d AcTc8d7h2c 
KdQsJh4d2c KcJh9d6h3d AhQc9d8d6d AsKcQd9h2d 
KsQd9s2d2c KdThTd9s3d AsKcQh2h2d AhQd9s9d7d 
Ad9s9h5c3d AhQs6s5c4d KhJd8h7h6h KhJh9c7d4s 
Qc9s8c5d3s JdJc7s6h5h QdTsTd5h5c TsTd6s3d3c 
Ac9s8h7h6d KcJsTc6c4c Kd9d9c8c3c KhJc7s6h2c 
JcTh9s6d4c Ad7h5d2s2h AsQc9d7h6d KhTh8s8d3s 
Ks6s5h4s3h AsKh4c3c2h JcTs8d7d5d Kc9h8h7s6d 
QcJd9h7d3h Td9c8c7s2s Th9s9d4h3s AdKs7d4d3c 
7h7d5s3s3d KhJc9h8h5s KdJh9h3s2d Jh8s8c7s4h 
JcTs9c3h2h Ad9s7d6d6c QsQcJd9s4s AcKh4s3s2h 
AsKs7s6d4s Qd9d7h5s3h KhJs7c5d3h QsJc7h6d5c 
9h7h6c5h5c KcJh6c5c4d JcTs5s3s3c As9d8d7c6h 
AcJcTd3s2c Kh6c5h4s2s KcQd3c2s2d KsJs9c7d4h 
9d6s6d5h4s JdTd9d8s5h QcTsTc8d4c 7h7c5c4h3h 
QcJhTd5s2c Qh9d8c7h5s Kc9s8c5d3d QcJsTd4h3d 
Ah7d5d3s2h AcTd7d6s3s AcTc9h9d2c Qc9s8d6d4s 
JsJh8c6s3c JhJd4d2h2c AcTh6h2s2c QsJd9h4h3d 
QhTs7c5s5c AcQh9s5d2c JcTc7h5d4c AsKh4s3d2c 
Ac6d5d4c3c JsTs9s8c5d Ac7h5s3d3c QhTs8c6h4h 
7c6d5c4c3d KdJh6d6c3c Qc9c8c7d6s AhJs9c6s4c 
JcTc6s6h3h 8c6d5c4s4d KsQsJc7d4s QsTs8h6s4d 
Th9d8h5h4d TsTh7s3h3d AhTc6c2h2d KdJd9c8d2c 
Js7c6c5h4h QsJs8s8h4h Jh9s8s5d3d QcTs8d6s4s 
KdQs9h8s6s KcQhQc9c4d Td8c7s5s5d QcJsTd3h3c 
Ks7s5c4d4c JhTc8h7h4d KdQh8c6c2d QhThTc5s5d 
KdQcTh9s5h QdTsTd9d4c QcJs7d4c3s As9h7s6s6d 
9d8s6c5d3c As7d6s5d2s Jh9c8c5c3h AsTc3s3d2c 
AdKs7h6c4h KdThTd5d4s AhKc4s3s2c KcTc5d4s2d 
QsJh9h6h2s KhTc6d3h3d Kc6c5h4h3c AcQh9s5c4c 
QdJd8d6s5c KdJsJh7h4c AhQc9d4h3s KcQh9c2h2d 
JhJc8c7s3s KsTc7s4d2c Kd8h7c6s6d AhKcTd5h2h 
As5d4s4d2d Qh9c7h5c4c JsTc8c6h2h AsKdTc7c3c 
JhTc9s5c3d JsTd9d5h3c QdJh8c7h6h AcQc7s5c3d 
KhQh7s7h6d AdKdJd8d5d KcQd8c5d2c AsKd9c6h4d 
Qs9d9c5d5c QdJhTh8c3s QsTc9d8h4s AcQs9d7s5s 
Js9d8d7c3s QhTd8c6s5s QdTh8c6d4d KhTs6c4c2h 
AhJd5h4c2s JdJc9h5s4c QsQh7c5c2s 6c5d5c3h3d 
KdQsQh3c2s Js9h6h5s3h AsTh6c2s2c KhKc7c6d2c 
Kd9c6d6c4c AsQhJd5h2c QsJhTc7d4d QhJhJc6d3s 
9s8s8h5h4h AsQcJd5c2h JsTsTc7d3h QdTs5d3s3h 
Th7h7d4h4d QsJd8h7d6d Td9d8c7h3c AhKdQd9c3d 
AcQsQh7d3d 8d7s6d4s4h As9h7d4h2s Ac9c6s6d2d 
KsQsTs8h4d Kh9s8c5c3h AcKsQc6h2c Th9c8c5s5h 
AsQcJd8c2h Ah9s6s6h2s QsJdTs4h2c Kd7d6c4h4c 
AsKc4h3h2c AcKsQs6s6h KcQdJh8s6s Ts9d9c8h6c 
AdQdJd9c3d AhAdAc6c3c QhTd9c8s4h KcQd8d7c2d 
Qd9d8s5s4d Ks7s5h4h4d Jc8d7d7c4d Jh9c8c7h2s 
KdQc6c3d2s Kd9d6h5h2s KdQsTs7s4h AsQs9h7s5s 
AcTs7c5h2d AhJd8d8c6s Ac5d5c3d2h AcTh9h8h5s 
8h7d5s4s4h As9h9d5s4c Qc9s7d5s5c KdQdJd9h6d 
KcTs7h4c2s KhJc9c8d6c Kh8s6s5c4c KhQc5d3d2h 
QsJc6c3s3d Ks9c8d5d3s AsKhQs6c2s QcTd9c7c5h 
KsJh9s8c5s AhTsTc6s6d AhTh7h4d3s QcJhJd4d3s 
Jc9s7c5s5c 8d7d6h4s4h JhTh8d4s2s 9c5s5d4d4c 
JsJd8h6s3h KsTh6s6d4c Kh7h6c4d4c QsJhJc8d4h 
Ts8d6s6d4d QdJsTh8h4h KsTc9h4c3h AcJh8s7s2h 
Td9s9c6d2c AdJsTc3s3h Kh9s8c6h2s KcQs8d6h6c 
Kd6s6d3s3h KhJs8h6d5h 9h7h7c5c4c AcThTd6s6h 
QcTd8d6h2h JdTs9h5s3c QdQcJh9d4d AsKc8d4h3s 
JdJc5d5c2c JsJc9s7h2h AsQs8d4d3s AdTc3h3d2c 
AhAdAcTs4s AsThTd9c5h AhQs6d5s2d Qd9d9c6h2c 
Kh9d9c8d3h Ad9d6s6h2s Kd8h6d5s3h As8s8h7c4s 
JdTd8c6s6d KhQsJs9d5s KhJd7h5h4s KcJd9s6d3s 
AcTd9s7h4d KsJd7s5s4c AhTs8d5s3d KdQcJs7c2s 
AsJc8h8c5c QcJs7d6h5s KhJdTs9s3s Kd8d5h5c4c 
AdKsJh6s3s QsQcJc9h4c KsJh9h8c6h KcQc9d5s2s 
KdThTd3h2h QhTd9h6h4s QhJcTd8s2h KhJsTs6d2d 
AsTs7s6s6h 9s7s6h5s5h AcQhJs8d2h Ac9s8c5c4d 
QcTd8h6h5h QdJsTh7c4c Kh9s7d7c6h Jh9d6c5d4c 
QdJcTs8s4s As8s6d5h2c JhTc7s6h5h Jc9h6d5c3h 
JdJc7h5c2d JsJh4h2s2c JdTs6h5d4c KsQhJd8c6c 
AsQcJh8c2d KcQh8h7d6h QhJc7s4h4c Js9d6d5h4h 
QcJc9c8s2s AsTh5s4s2h Jh8h7c6s5d JsJc9h9d4d 
AdTsTc7s2c JcTsTh9s2s JsTs8c6c2s QsTs9d6s6c 
8s7h5d4h4d As8c6h6c5h KsQcTs6s4s QhTc6h4c2d 
Kc8d6h4d4c AsTd7s5c2h QdTh8s7s3h Tc9c8d5c4d 
KsTd8s6d2s AhJd4c3h2c QcTs8h6d5d Td8s8h7d6c 
AhQh9h7c5h KhTs6d3h3d QsJh6h5c4d QsJc8d6d2s 
KdJdTs8d5d QdJhTc5s3s KcQc7d7c6s 8s7d6s4d4c 
QhQcJs3d2c KcJd7d4c3c Js9c8c7s2h AcQcJc5h5c 
KdJcTh9h2h KhThTd5d2h 9s8s8c7d4c QcJc8c7s4s 
KdJc9h6c3h AhKs9d8s2c QdJs8c7s6s AcKh9c4d3s 
KhJd8h7h3d Kc8h7d6s6c AhKs8s6d4s KcQcJs7d4c 
QdTc9d7d2c TsTc9s4s3c KsJs9h7c4d QdTd9c6s4d 
QsJh9d4h2s QsTc8s5c2c Qh6h6c5d4c JdTc9s6c4h 
QdTs7h4h4d KdQd9h9c3h AsQsTh2s2d Ah9d7c4d2h 
Jc9h8s8h7d KhQdTc9d5d AcKs8h4d3c KsJd7s5c2c 
KsQdJd6h2h Ac7c6h4s4d AsQcJc4d4c QhTc6s4c3s 
KcQhTd5h3s 9d7d7c5d3c AcKcTs5c3c KsJdTc7h3d 
KhQhQd9c4h AdTc6h6d5d QsThTd9c2s AsKcQh8d2c 
AcKsJc7c3c KsQcJd8c5c 9h9d5h5d2c JsTc5h3h3c 
8s8c5s5c2s QcTh9c6c4d AhTc6c2s2h AdJd7d5s2s 
Kc9h9d8c3h Qs9s9d8d2h AsQd9c4s3h Qc7c6s6h4h 
7h7c5s3s3h QcJs9d2s2c Jd9d8c7d6h AdKsQs9c3s 
KdQhTs9c5s QdTc8d5c2c AcKcQc8c6c Qh9d7s5h5d 
Js9h8h5s2c Qs8h7s7h5s 8s6h5s5d4d AcJcTc3s2d 
JdTd6s6c3s AcJd6d3s2c AdQcJh8s2c AsKd8h7c4h 
QhJdJc8s4c AcKs9c5d4c AdJh8h8c5h QsQhTd9d2d 
KsJs9c6s5h AhQhTd2s2h Js7s7h6c4h Tc8d6d6c4d 
KhJsTd9s4s Ad7d7c2h2c JhTc8h6s6d AcKdTh5c2c 
KdTd9d6s2s AcJd7h5c2s AhTh7d5c2s AhJd7h2s2d 
KdQdTd8s4c JhTd7s5s4c QdJdTs7d2s KcJsJh7h4d 
QdTsTh9s4c KcQdTs5d3h KhJd9h6s2s JdTd7s6d4c 
Kd9d7h5h3d AcKdQs8h4h AhTsTd6s6c KdJs9h2s2d 
QsJh9d9c6s KcQhTs5h3d Kc8h7d6d4h KcJsTs8h4s 
9s8d7d5s3c Qh9c6c5d4d AcKhQh6s6h Qh8s8h7s4d 
KsQsJd7c4s Qd9s9c8d2s QdTd8h7h2h 7s7d6d4h3s 
JhTh7h6c5d QsThTd8c4d QsTsTh5d5c 7s6s5h4s3h 
AhQcTc5c3s 9s7s5d5c4c QhJh8h7d4d QsQh9h3s2s 
Qd8s7c6c4s KsQsJh7h2s Ac8c6c5d2d JsJc6s4c3c 
KhJdJc7s4d KcThTd6h4s AsKsTs8d3s KhJsJc4d4c 
KcQcJs7s2c TdTc9d4d3c 7d6c5c4h4d AhTsTc9d5c 
AcQsJd9d3d KsQs9c7c4s QhTh8s6h4c AsJh8d8c5d 
JhJd8s7d2s JdTh7h7d3d AdTd7d5s5h KhJd7h7c6h 
8s7d6s4h4d 9c8d7c6d3s KhJc4h4c3c QdJc6d5s2s 
Jc9s7s6s4c AsKc9d6h2s QhJc6h5h2c QsTd5d3s3d 
Ac7h7d6c5c Ad9c8c7h6s QhTs8s8h3h Kc9c7h5h3c 
KhQd7h4s2d KcQsTs7s4h JsTd9d8c4h AhJc8d8c5c 
QdJh8s7h6h QcTs7h5c4d Qc9d8s7c5h As9s7s5h4c 
Th9s9c8d6s QhTh9s6d4h Ad9c8s7s6h AsTc8h5c3h 
KcJs9c8h5c KdTc7d4s2c QsJc8s4c2d QdJhJd5s2c 
AdQdQc7h2d AhQcJc9s2c KcTc8s7c3s Js9h6c5s3h 
KsJdTd6c2c 9c8c7d5h5d KdJs8d6h5d Jc9s8s5h3h 
KsQdJc6h4h QdTsTd7c5d KcQdTs5h4h As9s8c3d2d 
Qh9h8h6s4s Ac9c7h5c3s KhTh5c4s2c Ad5c4s2d2c 
AdQhTh5h5c AcQh7h2h2c KsTsTd5s4h JdTs7h5s2d 
QsJsTs4c3h Qc9d9c6h2d QdTs9d3s2h AdKsQc6d2d 
KhQcTd5c3s 7h6d5h4h3d JsTsTc9s5d Kc9s9c7s4c 
9s9h8h5h4s AdKh6s5c4s KdJhTs9c3c TsTh8c3s3h 
QsQc7d7c2d KsJcTh9h3h As8h6c2s2c KsQs8c5h4d 
KsTh8c6s4s KhKcQd7d3d Kc9s8h6c2s Ts9h9c6s2c 
AhJhTd3s2h JsJd9s7h2h KcJsJd7s4h AcKcJd7h2c 
QhQd9c4h2c AcKc9d6c5c AcQsJd6h4h KdQhTs5c4c 
QsJs7c6h3h AhKd4c3h2s KcQd9c6s2s QhTc9c4c2h 
QhThTc7h5d 9c7h7d6c4d 9c7s7h6h3c KdTd6c5d4s 
KdQc6d3d3c QcJc7h6d3d JhThTd7h4c Jc8c7d6h5s 
JdJc7h7d2c Js9s7c6s4c Qd8h7h5s4s QcJcTc4h3d 
JhTh9h8c5s AcKcTc9c6c AdQsJs9h2s JhTs8c7c5c 
Qh9h8c5d5c AhQdTd5d3s Tc9c8s8h3s Ah9s9h4d2s 
JdTd8c4s2s QhQc9s4c2s QdJd8d6c5s Td9h9c8h7h 
KcJd7s5c4c AdJdTd2s2h KcJh8c7c6c QdJc8d4c2h 
Ad7h6h5d2d AhKd9c6h4h QhJd6h5h4s Ts9c8s8h4c 
As9c8d6h3s Qs8c7h6h4c Ah9h9d4c2d AcKh8s6s5s 
AhQs8s6s5d AhQs9c7s7d AsJsTd4s3s AsTc8c5h3h 
Qh8s5s5c4h 7h7c5d3d3c Td9h8h7s7c AdQc9h7d2s 
JcTs9d3c2d KsTs8h8c3h Ah9d8d5s4s Ts9h8d7d2s 
KsQdTh5d3c AhQdQc7s3s JcTd9c6c5c KdQd7s7d6h 
Js9c6d5s3c AdTd6h5d4s KsQcTd8c5c Ts8c6d5d5c 
KcJc9s9c3s KdQhQc8s4c QsQhJh8d4h KdKcQh8h4h 
Ks8d7h6s6c KcJsJd9d6d AdJs8s8h3h AhKd8h7h4h 
JsTs9d8s6s KcQsJsTs3s Ac9c8c7d5c JhTh8d5d2d 
Kd8d6s5c2s AcKdTd4d3h KhQh8c5s4d KcJh9c6s2s 
KcQcTd8h4c Qd9c8h7s6h QhJhTh4c3d KhQs9c3s2h 
JcTd8c7c4s QhTd9c6c5c 7h7c6s3h3c Jc9h9d6c3d 
JhJdTc7s3d JcTc9c5d2d 9s9d7s7c2c ThTc8h2s2c 
KsKh8h5d2h KsJc9c3h2s AhKs8s6c4s Qh9c8s6h3s 
QsQhJh9c4h Qh8d6s6d5s QhJs7h4d3s KcJh9s7h5h 
Qc9h8d7s6d 7h7c6s6h2c Qh8s6s5d3h AcJc6c5d4h 
QdJh8s6s2d 7h7d6s6d2s JcTd9c3s2s JhTd8s7s5s 
QhJcTs4d3s Jh9h6h5c4c AsQdTc5d3d Th9s7h4c3s 
AcQc3s3d2s JcTd6h5c4s KcQsTh6c3c Ah7h7d2s2d 
Ts8c6h5h5c AdQhTd4d2c KhQd9d9c6d JdTh5h5d3h 
AdQc9s7c5c KcQs6s3c2h Kc8c7h6d4s AcTc9s7h2c 
Jd9s6h5h3s Kd9s6d4s3h 7h7d5s3s3h Ad9d8h3c2c 
AhKd6s4h2c Ac9h8d3h2c 9h9d6s5d2h KsJs9s9d3d 
Ts9c8s8d2d QsQhTh9h2h QsTd8h6s4s KhJcTd5s3d 
QhTc8d8c6c KcJh8c7s4d AhTc7s6d5c AcQh7c5c3d 
AsTs7d5c2h Td9s8h7h2d AcQsTs5s3d AcJhTh7h3s 
JcTd8h6s4h Ks8s7h5h3d 8h8c7s7d5d Jd9s9c6d3c 
8h8d5h5d2h QhQcJc9d4c JhTc8s5c4d 9s8d7d5s3h 
QdJdTs7c4d Qd9c7c6c3d Tc8c7h6s3s AcJs7d5s5h 
Qs9c8h7s5d Jd9c5s4d4c JhTc9s6c5c JsJd8d7d3s 
Ah9d8s7s6c KdJc9h8h2c Th7c6d5d3h 9d8h7c6d3h 
KhJhTd4s4c AcQs9d4c3h KdQdJh7s4d KdJsJc7h4c 
AdKcTh7h3h JcTdTc7s3h 8s7d5c4s4d KdTd6s4c2c 
AcTc7d5s2h Ad7d6h4s4c 9s9d7h7d2h JcThTc7d3s 
Qd9s9h8s2d Ts9d6s6c3d Tc9s8c7h7d AsJs9s5d5c 
AcKhJd9d3d JhTh9h8d5c KsQd5c3c2s KsQcTh7h5h 
KcTs9d4d3s AsAhAc6h3h JsJd8s7c3c KsQsQc9h3s 
JcTc7c6s5d AdJd6d5s4c AhKdTc7s3s QsJhTc8c4c 
TsTc6s3h3c Th9s9d8d7d Ks9d6c4s4c KsJd9h9d2h 
AcKd4h3h2d 7s7c5s4c3c AhKcQc7s3c AhTh7h6h6d 
KhJs7h7c6h Jd9h6c5c3h JhJc7h3h3c Ks9d6s6d4d 
QcJsJd8h4s 8h7s5d4s4h 7s7d5h3h3d QdTsTd7h5d 
Kd6h6d3s3h Ks9d9c7s2d Js9s8s6d4d AhQh8h6s5h 
QsJcTh5d3d AdKcJd4d3d AsTh9d8h4c QhQd7s7d2s 
AdTd5c3c2h Kd8d6h5s2h KhJd9d9c2c Td9c7d4s3c 
ThTd8c7d2h JcTh8d4h2d AdJh7d2h2c Th9h8d8c4c 
Kd9d7h6d5s 9h8h7d5h5d KsQc8h6s2h QsQd9d3s2s 
KhJc6d5h4h JsJc9h8s5s KdQh7s6s5c As7d6s4h3c 
JhTc8c6d2d QhJc6h5d2d Kh9h6d5s2d KcTdTc4d2d 
Qd7s6s6d4c AsQs7s6s5h Th8d6s5s5d 9s8d7h6s3h 
Ah7d5d3c2h Qs9s8h6c5s Js9s6s6d5d AdQd8h3h2c 
Jh9c6c5h3c KsTc7s4h2c Th7d6c5c3h AcKdQs8s3h 
Jh9d6h5d3d AsTc6s5d4s Ac8d7h7c2s Td9h8c7c2d 
JhTs6d4h3d Kd9s7h6h4s KhQh7d5s2d Jc9c8c6s4s 
KsTc7c5c2s AsQsQh7c2s 9h6s6h5d4s AhTh8d4h4c 
Ks9s7h5h3s Jd9d8h7d6s KsJc8s8h2c KdQsQd9h4d 
9s6s6h5c4h Qc9d7d6d3c AcKd4c3s2h QhJd5h4h2d 
QsTd8h5c4s KcQs8s7c2s Js7h6h5d3s KhJs9d3s2h 
Th9c8h5c2s AdKhJc6h3h AhQdJc5s2d AsTd9d8d6d 
QdTc9s3d2c Ad8s8h5d4d ThTc7h3s3c JcTh9c6c5c 
Th9c8c7s7d AdQd3s3c2s QdJs8h5s4c Ks9h8d6s2h 
Qd8d8c5c4d KhJs9d5h3c QcTc9s8c5d JcTsTh5s3d 
KdQs8c6h6d QdJs9c4s2d JhTc9s8s4d AsQh6c5h2c 
JhTc9h9d3s AhTc4d3c2h KsKd9h8c4h 7s7c6s4d3c 
ThTd6h3d3c AcKdJh3d2s Ah9h8s3c2s Ad5s5d3s2c 
6h6d5h5d2d 8c7c6d4s4d JcTh9c5c2h KhQh7h6c3c 
AcTh4s3h2c QcJd5d3c2s QdTs8h7h3s QdTs7c5d4h 
AcKs8h6h5h Kh8h7d7c6s 9d9c6h5c2d Kc9c6h5h2d 
Tc9d9c7h5s Jd6h6c4d4c AsQs7s6s5d AsTc8c5d3d 
JsJd9d7s2d JsJd8s4h2d JsJc5s5h4d AhJdJc6d4s 
KdTd7d6h6c QdJc7s4d3c KsQc9s2d2c AhTc9h5s3h 
QhJs7c4s4h KhJs5h3s3h KhTs9d4s3d Jc9s8s7d3c 
Qd9h8d6c3c Kc9h8s5s3c JdThTd5d4d Qs6s6h5d4d 
AcKsQh8d2s Ac8d8c7h4c Kd8d6c5h2c KhJhJd9h3c 
KsTh5s5c4d QhJc8c5s4d Qh9h9d5h3d AcJh7s5d2c 
Ah7c5h3s2c AsQsTc2s2d AcTc5h3h2s Tc7s7c4s4c 
Ah6h6c5c2h KhTh8d7h3d JdJc8h4d2c AdQd7d6d5c 
AsKd4s3h2c KcJc8d5d5c QhTs6d5h2d JcTh7c5c4s 
KsTs7s6d6c 9c7d7c6s6h KdQcJc9c5h Qs9h6h6d4s 
JsTd9d8h4c Th9h6s5h4s KcTd9h4d3h Ad8s8d7c4d 
Ts9h9d4s3h QcTsTc5c4d AcQc8h3h2s Ks9c8h8d6s 
Th9h8d7s3d 9s6s6c5h4c Kh7h7c6d5s AcKdJs3d2h 
KhQhTh8d4c Jh8s5h5d4s 8s8d7h7c5h Qs9s8s7d6h 
KdQd8c6s2s AcKsQd2h2d KdQcJcTc3c Ks9h8h7c6d 
AsJhJc6d6c KhQsTc5d4d Ks9c7s6c2h Qs9s8h5h4s 
JsTd9h3s2h JdTdTc7d4s QsQh6c2h2c AcTs8s6d3d 
Qs8d7s7d4h JcTd9s3c2s 9d7d7c6s4s QsQhTs9s2s 
AsQh9h9d7h JhTd8s5d4c QsJc5d3c2s KsJhTc9d3d 
KdJc8d5c3d AcQhTd8s3s KdTc9c8s5h AcJc9d4d2c 
KsQh9s6d2d Kc6h5s3s3c AsKhTd5s2s AsQd8d6d5h 
Ah9h9d6s3c KdJd9h6d5c KsQdTd7d4h JcTd6s5c4h 
QcJh7d4h4c JcTs7s7c3c KhQsThTd2h QdTc9d3c2s 
AhQhJh5h5c JsJh9d9c4d KsQs8c6h2h AsTd7s5h2c 
AhJc7d6c5s JcTd7s6c5c AcQh4h3c2c AdJh6h3s2d 
KsQd8c6c2s AsQc8d7c2d KhTd9c7d2c AdTs6s3c2d 
QcJsTh3d3c 9h9d5h5d2s KsTsTc9h3s Th8s8h7s4h 
AhKsQd8c2s ThTc8d7h2c Ah9c8d3c2h Tc9h8d7d2c 
Qd7d6s5s5h JdTc8d7d4h QhQc9s5h4h Ks6s5h4c2c 
AdKdJd9d3s QsTs8d7d3d AhQh7d5h3c QhJs6d5c4s 
Ks8s7h6c5s KdQsTh8s5s QsJd8c7d6d QcTs8s8h6s 
KdTh4h4d3c 8s8c6h5d4s KdQcTh7h5h KcQcJs7h4c 
QcJd6c5h2h Ts9c8s5s4c Ac9d8h7s6d ThTc8h2d2c 
Qc9h9c6h3h Ac5d4d4c2d Tc9s8s7h7d AsJh8h8d3d 
ThTc7c3s3h Ts9d9c4s3d AcTs9h8s4d JsJh9h7s2h 
