9c8c7d5c2d 
Ts8c6h3s3h QcJcTd6s2c Qh7c6h5c2d KdJs9h5s3s 
KsJc7s3c2d 8s7c5d4c2d AdTs8c2s2c AcQd4s2s2d 
Ah9s7c5d4s Kh9d6h5h5c 8h7d5c4d2c AsJhTd3h2h 
AcTh7s6c2c Qc9c5h4d2h 7c6h5s5c2s Th9s6c5h3d 
KhTh9d4s4c Kd9c7h7d4s Tc8d6d6c2c KsJs9s8d3h 
JdTc8c5h2c 8s7s7c5s2c Ks7s7c5s4h QsJc8d5h2s 
Kc8c7c6s4c Ts9h8d6h3c ThTc5s4s2c KsTd8c5h4h 
KhQdJd2s2c KdQc9d5d4d JcTh6h3c2s KdJh9c4c2h 
AsJh8h5c2d Qc8h5h4h2c Th9h8c7s3d Kh9c6h5s5h 
KhQh9c7h4s KhJc7s6s4s 8d7d7c5d2c TsTd8h3s2d 
AsTd9d6c4d QcJs9s8h2s QsJc7h6d4d Ad8s7c6h4s 
KhQc5s5d3c As6c5s4h3s Td9h9c5d3s QhJs9d8h2h 
Td8s8h7s4c Jd9d9c7s3h Jd6d5s5h3h AcTd6s2h2c 
QcTs9d7d4d AhJd9s6c4d AhKcTs3c2c AcQc9c6d4c 
KdTh7s6h3h KhJdJc9s2s Kd7s5d5c2c Th9d7h6h4h 
QdTd9d6d5d 6c5d4h3h3d Qc8h6h6c3c Jh8d6c5s4d 
KsJc9c6h6d KcJd8h6s3c KsJs5d4s3c QhTc6c5s5c 
Qc9h8c4s3s Kd7c5h5d2h AhQd8d7c2s KdJsJh8s3c 
Jd8h8d7h2d AsKc7c6c3c KdJc7c3d2h KhQsJh8h2c 
JdTh8c7s3s 7c6h5d4s3s QcJs7c6d2d KhQdJd8s2c 
AdKs8s4h2c Jd9h5c4h2d 9h8h5s4s3d Td8d6s6h2s 
KcTs7c6h2d 9c8d7h4h3c 6d5d5c4s2s QcTc6d4h4c 
JcTd7h6h3s JcTc8s7c2h Jd9c8d2h2c 9d7h6d5h2d 
8h7h6s6d2s KhJh8c4c3h QsTs6h4c3s Th8h8c5h2c 
QcJd5d4s3d Qc8s8d6h4c Js9h9c6d4s QhTh8h6d2s 
AdKc9h5s5h TsTc8s3h2c KdTd8s5c2h AsTs5d3c2h 
AhTd8c5d3s JsJd9h8c3h JhTd5s5c3h KsJd8h4d3h 
Td9s8h7s4s KcTh7d6h3h JdTc7d3h2c Th8d7h7d3h 
Jh9c5h5d2d ThTc5h4s2s Kd9d8s6d4h Js9h6d5c3s 
9c8h7c6s4c Kh7c5s5h2s Jh9c8d5s4c AdTc7d5d2h 
As8c7s7h3s 7s6d4h3s3d KdJc7s6s2c AsQs9h7d2s 
8s8c4s4d2c KcTs5h4d2c Qd9h8s7h2s QsJsTs3s3c 
Kd8d8c4c2h KsKdKc8s6c Th9s6h4d2s Ah8h6h5s4h 
Jd9s8h4d2h KdJh8s7d3c QdTs7c6s2c KhQc9s5c4c 
QhTh9h9c3h As9c8s4s4h KsTh6d4d2h QdTh7s6c3h 
JdTh7s4h3c AdQd7d5s2c 7c6d5c4h3c Qd7h7d5c4s 
Tc9s8s3c2c AhTd4h3h2d JhJc5h5d3h AdQh9h5h3c 
KdJsJc4h2c 9h8s7h2s2d Td9s8h6s3c QcJd5c4h2s 
QhJhTc6d2h AdJsJh5h2h JsTs9d5s2h KcJh8s8d4c 
JsTd4c3c2s Ks8c7d6d3c Jd6h5c4c3h Qs8s7s5d4c 
JcTc6h5d3c JhTs8c7d3d Kc9d8s4c2d TsTc7h5h2s 
JhTc4s3s2h Ts9c7s5s4h Qc9d7h4d4c Jd7c6d5s4d 
AsQh7s5s2c KhJs9d6d6c JdTc7h5s3h AdQc4s2s2c 
Td9h6s5s4c KsJc7d6d2c KdQcTs6s2h 9s9c7h4s4d 
KcJs4c3s2c Jh8s7d7c5c 8h7d6h6c2d AsTc8h7h2d 
KsQsQd8c3s AsQd8d6h3c QhJhJdJcTc Jd9d9c8s3h 
JdTc3d3c2c Ks7d4h4d3s KsKhKcQh8c Th8d6s4s2d 
Js8c7d7c5h Ks8s6s6d3d 7c6h4d3h3c KsTd8h5d4d 
AcQd9s4c3c KdQh8s8c5h KcTh5d4h2d KsQdTc5c2h 
Ah8s8d5c4d Kc8d7d5s3s KhJc6c5d5c QsJs8s6s6c 
Js9h9d6c4s AhQs6s5s3d Jd8s6d6c4h QdJdTs6h2d 
QsJs6c4c2s 9s7h7c4h3s AhKc9s4d4c KsJs9s6d3c 
QdThTd3s2c Tc8c7h4h3c KhJc5s4h3h Qh7c6c5s2h 
9d8s5d4s3c Kd7d6h6c2h AsQc6s5s3s KdJs9c7s4s 
Td9c7c5s4c QcTc8d6s3c Kc8d5c2s2d JsJd6h5h4h 
Qs8h6h5c2c 8s7d6c5h3d KdJd9d8c3h 9d8h6c4d3h 
Qd9d6d5c4h Th7c6d6c5s Qd9s8h6d3c KhQc9h5h4h 
KhJh9h5h4s Tc8h8d7h4s JsTs8h3h2s Kh7h7c6s2s 
KdJsTc6h2c Jc7h6c5s4c AdQs9c3s2c KcTc5d4s4c 
KsJh6h5c3d KsKc8d4d3h Kc7h7d6d3h Js9c7h6d4s 
KcJd4c3d2c JcTh8h6s3d QsTc7s6s3h QdTd8c6s3d 
Ah8h6h5c4h AcJc4s4c3d AdKd7s7d2h AsQd6d4h2h 
9c8s7d5c4c Jc8c5h4s2s Kc7s5c4s2s Kd9h8h7h5s 
JcTs8d4c3h JcTh7d3c2h 6d6c5c3s2s 9s8d5s5c2d 
8h8d4s3h3d KhQsTs3c2d Td9s9d3h3d 9d8h8d7d5c 
Td9h7h5c4h AhQc9s3c2s Jh9d7h5h3s QhJs8c3h3c 
AcJs9h6s4d Js8s8h7h2s JdTh6s4h4c KdTd5h4s4d 
AdQc9h9c4c AsJcTh3c2c JdTh6s5c3c AcQd8d5h2s 
KdKc8d4d3d Ad9c7s7c6c AhQs8d4h3h JcTs8s5h3s 
AhKs8d8c3s Js8c7h6h4d Kh7d5s4h3c Qs9c5c4s2c 
Qc9d6c4d3c Jc9h9c3d2h QhJc5d5c4c Jc9s9h6c4d 
6s6d5d3c2c AdJs9s6c2c 8d7h6d5d5c AcQh9s8d3d 
JdJc9h8s3s 7s6d6c5c2s 7d6s4s4h3d 8s7c6s4s2c 
Ks8d5s2h2d KhTd7h4h4c KdTd9s4d3c KdQd8d7s5d 
QhQc8d6d3d Ts9d6h5d4d JhTs4c3c2h 5h4s4d3s3d 
Td9d9c4s4d AhQs9d7c4c Qc8h6c4d2h KcTc6d5s2h 
TsTc7d6h3s Qs8s7s6d3d 9c8h6s4c3h QsTc5d4h4c 
Qh7d5s5d4s 9s7s7h5c2c AhKc9c7s2c KhTs8s5d4s 
Jc8s6d5h4s Qs9d5d4s2d Js7d6h5c4c Kd9s8h7s3h 
Ks8s7d5c3h Th8s8h6h5h KhQcTs6s2d Jc9c7h5c3s 
Qd8s6d4c2s 8d7s7h6d4c QsQd8s5h2s QhTd5s5h4h 
Ks8h7d7c4s JdTs7c6c3h Ad7d4h4c3s JhTd8s5c3s 
KsTc6d5h3c Jd9s8h6h6c Tc8s8c7c5d Qc9h8h7d5h 
Ad6s6c5d3d AhKd8s3c2h Jc9h8c6s4d Ad6c5d4s3d 
KhJh9h4d2d Qh8d6h6c2d Kh7s5c4h3d 9h7c6s6d5h 
TsTh8d3h2s Ks9h7s5d4s Th9d6d6c5d QsJd9s8s2h 
KdTc7d4h4d JdTh9h4s4c Qc8s5d4d2c Ad8h7c6s4s 
AdJs7d3s2d QcTc6s6d3h Ts9d8h6d3c AdQc6c5c3h 
AsJh9h6c4d 6c5s4d3s3d Ks7d5s4d2d Kc6s5c4d3c 
KcTs9d5h4h AdJc9h6c4s Kd9s9d7d4h KsJd9c7h4h 
Qh9s7h4s4d AhTd8d7d2c 8d6s5d4h4c TsTd9c8h3h 
Kh9s7h6h3d 9d7c6s6h5d AdKc9s4h4c AcQd9s9d2h 
AhTd9d6d6c Jd8h7s7d3s AhKh7h3d3c Qs6h5s3h3d 
AdQc9s7h4s AhQh9d7c2h JsTh5h3c2c 9d8c5d4c3s 
KhJd8c6s3h Kh8h7c5s3d Ts8s8h7d4s Qh8s6c4c2h 
8h7s7h5h2s KdJs9h7h3c Ad8s8c5h4c 9h8h6d4d3c 
Jh8h8d2d2c Td9c7s5h4s Kc7c6d4d2s Kc7h7c6d4c 
JcTc9h6c3c Th8d7c4c3d Kd9s6c4c2d Kh7h6d6c2c 
Th7s6s5h2d JdTs5c4h3h Qc9h9d7s5s 9c8c7d4d4c 
Ts9d6d6c5d KdTh6d4d3c KcQcTs2h2c AsJs8h3s3d 
KcTs8s8d4h KdJd9h9d3s Jd8s8c6d2c Th8c7h7c3h 
Qc7h7d6s5c Ts9c6d5d4h KcTh6s5h3d Qh8c5d4d2h 
KsQhJs5s2s JhTc7c4s4c AsKh9d4h4c AsJd9d6h4c 
9d9c7s6d3d Jh8h5c3s3c 9d8d5s4s2c Jh9h8c4d2c 
Qs8d6s4h2d Ac8d7h6s4d AdQh9s3h2s JcTd8s8d3h 
KhJd9s7s3c Kh7h7c6c2c Kh9d8d4s2h JsTs6d5h3s 
Kd6c4c3d3c Qd7d6s4d3s AhTs8s7d2s 6c5d4c3h3d 
AcQh6h4s2s As7h7c6d5h AdJh6s4d2c KsTc6h6d4h 
Ts9d6c4d2s As9d7h7d6d Js7d6s5h4s Ts9h8s5s4c 
ThTc9c8c4s AcJh8s7d2h Qd8s6s4d2c KcJc9s9c5c 
Qs9d5s4d2c 7d6c5s4s3s AcJs9s6d4h JdTd6s5c3d 
8s7c6d5h3h AhTh9h7c2h Ts9d7h5h4h TsTd6s5c3h 
KhJh5s4h4c QhQdJs8s3s TdTc9h6s2d QhQc8h6d2h 
Kc7s4d3s3c Kh7s7h6c4h Kh9s8c4h2s Kd9c6d5s3d 
KcQs9c5c3h Td8c6h3h3d Qd7d7c4s3c AhQc7h5h2d 
7d6h5d4h2d AhKh8c4s2h Ks8c5s5c2c Qd8h5s5d3h 
Qh9s9c7s5s KsTh6c4c2h AhKd9h6s2h KdJs7h6h2s 
AcKh9s4h4d KsJc9d5c3c JhTs5s3c2c KdQcJd9d3d 
9s7s7c6d4h KsQs9c8s5s KhTc9s8d4s Jd9h9d7d4c 
QdJc9h8d2d ThTc9d8s3s 8s7s6c5h5d 9s9d8s7s5s 
5s4h4d3h3d Qc9h6c5s5d 9d9c7d3s3h Th9h6d4c2d 
Qh9d7d6d5d Jc9h6s5d5c AsKc9d5h5d 7h7d6h2d2c 
Jd8h7h7c5s KhJc7h2s2c KcJcTc6h2d 8s7h5h2s2d 
AhQs7d7c4c 6s5s4c3c2h Ts9c6d6c4h Jc9s9c7c4h 
Tc8s7h4h3s QhJd9d8s2d Jh9c7s5s4d Jd9h6d4h4d 
Kh9s6h6c4d QdTs9s4h3s KsJh9c6d6c KsQh7d2s2h 
QdTh9h6h2s 6h5s4h3s3c KdJc8h7s4h Jd8h7s6c4c 
9c7h6s6d5h KcQsJc8c2h KcTh9h9d5h Qh9c7h4d4c 
Qs7s7h5d4c JdJc9c5c3c 6h5s5h4c2c 9c8s7h5c4c 
Jc9h9c7d3s Th9h8c7s4h AhQd9c4h3h Jd9h7c5c4s 
Jd8h8d4h2s AdKcTh3c2c As7s4c3h3d Jd9d7s7h5d 
9d8d5h4h3c Jd7c6h5s4s AcQd8d6s3h Ah8d8c5c2d 
Kh9c8c7s2s JdTh8s8h2c Ah9d7h5h3h Tc8s6d4d2s 
KhJc9s8d4c 8c7c6h6d2h KhJc9c8s3d Ks9c7s6s3h 
9c8c5h4h3d Qc8d6c4h2d Qs9s5h4d2h AsTh6s6d3s 
AsKd9s6s3s Js6h5s5h4h JcTs5d4c2h KcJs9d8h4s 
KsTsTh8d3s Kc7c5s4s2s 8s8c4d3s3c JsJd7c6c4c 
KdJs9s6h6c AhKh7h4s2c QcTc7c6h3s Ts9h7d5d4d 
QsJdTh6c2h AsKdQd3d2d KdJs7d2s2h Ts8s8d7c4s 
9c6d6c4d3s QdJc5h4c3c Ac9s5d5c4c Kd7h6h4d2h 
Kd6c5h5d3s Js9h7c5h3d QhTh6d4s3h AhQc9d9c4c 
AsQd9s6s4s Kc9d9c8s5c QsJd7s6c2c KhQsTc5c2d 
AhQd8c4h3h Kd8d5s4s2s AcJh9s8d2s JdTh7d3c2h 
QdJc5c4s3c Td9h7c5c4c AsJs8s4s4d Th9h9d3s3h 
AsTh9h9c2h Tc9h7s5c3d Jh7s6h4s4h Js9s7h5s3c 
Jh9c7h5s5d AhTc8c7s2c AsTc6s6h3s Jd9h9d4h2h 
Qs8d7d6h3h Qs9h9d7s2d QsTc9d7c3c Jd8s6c5h4h 
Qh8c6c4h3h QsJc9h8h2d As8h8c6d5d Kc9h6c5s3c 
Ad9h8c6s6h QdJd9h8c2d Ks8h7h5c4d Jc8s8h7s2h 
Kd8h7h5c3c QcJc8c6c4s Jc7d6s5h4h AhQcTs7c2c 
Th6d5d4h3d Tc8h7h5c2c JhTd8c5s3c Jd9h8s6s6c 
AcJh7s5s3d AsQh7s5s2d Ks9d7s5c4s Js8s8c4c2d 
JsTh9h4h4d AdTh9h3c2c JsTs7d6s3h Kh9s7h6h3c 
QcJd5c4s2h JsJd9s5s3s KcJc9d6c3s KhTh5c4s4h 
KdQh8s5d5c QcJh9s6h3h KdTh6h3d2h KhJc6d4d2c 
Ks6h5s4c3s Jh9c8d2h2d JcTc9c6c3s QhJs3s3h2s 
Jd9h8d6d6c AcJd8s6s4h KsJhTc6s2s QhJc5c4s3c 
AcTd8h7s2h QsJs9h8c2s 9h9d6h6c2s JcTs4s4h2h 
AsQs9s6s6h QsJh5s4c2d QsQh6s5d2s TsTc8d5d4d 
Tc8s7c5s2s QdTd8s8h2c 8h7s7c4s4d QdTc4d3s2c 
JhTd8s8d3c Qh8s5d4s4d Ts8h8c7d5s Ts9h9c5s3d 
JdTd6h4d2h AdJd5d4h2s Qs9s7h7c5d Jh9d6s4s4d 
JsTd7s3d2h 9h9d7c5c4c Qc7s7c4h3s 6s5s5c4h2h 
Kd9s8h4d2s JsTsTc6s3s QdTd6d6c2c 9d8h8d7d2h 
KsJc9d4d2c KdJsJh8h3c Qs9s6c5s4h Jh7s7h4s3d 
Kd9h8s7h3s AdKc9s6s4h QhTd9h2s2c AcKc8h4d2c 
AsJsJc6s3s JsTd7c2s2d AdJcTs3c2c Ks6c5s2h2c 
AcQc9h7s2c Kd8s5c3d3c As8s6h3d3c QcJs9d5c2h 
KhQdTc7s3s KhKdKcQc6h AhTs6d2h2c AhTs9s8s2s 
Jh6s6h5h3s AdTs7c5d2d 9s8d7d4s3h KhJh9h5h4c 
JsTc7h3c2s AsQd7h5s2s Jc9s9c8h3d JhTh9s6h3h 
QsJs7s7c6s Jc7h6c4h4c JhTh9d5h2s Th8d7h4d2s 
QhTs9h4d2c Qh6h6c5s2s KcTs6h6d4s AdQc8s8h4h 
8h7s6h5h5d Jd8d5c3h3c Jd9d5h3h2s Jd9h9d7d4s 
QdTc9c4s3c Qh9s5s5d2h QhJd8d8c4s Ks8d5c3s3c 
Jc9h6h6c2d AdKs7c3h2d JsTs5s4s4c Jh8h8d6d3h 
KhTc6d5s5c Jh9s8h2s2d KhTdTc8d3s Qd9d6c5s5h 
QsQc6c5h2c AcJs7d5d3h KcTs9d8d4d AdTc7d3h2s 
AdKh8h4c2s Ts7d6d5s2h Jc8s7d6h4h QsJsJhJdTd 
KdThTc2s2c KsQd9h8c3s AsKd8s8h2s Qd9c5s5c2d 
8c7h6s5d3h Qd6c5d3h3c Kc8d7d4c2d AdKd6d4s4d 
Jc8s8h6c2h AdJd5d4h2c QsQd8s6s3s TdTc9h5d3d 
KdJd9h9d3c TdTc8s3c2d Jd9d7h7c5d QsJh9h3c2c 
9h9d7c6s3s 8h7s7d4d4c Jc9d8h4c2h 7h7c5s4s3d 
Td8s8c5h4d Qc7c6d5h4c JhTc9h4h2s Ts9h8c7h4h 
8c7s6c5d5c Ah9h6h5c3s Ks9s9c7s4h 6s5s4d4c3d 
Kc8d7s4s2c Ks9d8d4d3s Ks9c7s5h4s Ks9h9c8d6d 
Kd7s6h4s3h KdQdTs4c2d QdJs6d5h2c Jd8c5d4c3d 
KsJc9d6h6d KhTc9s3d2h 8d7h6s6d2h AcJsJc6c3c 
Kc8s8d5h5c QhQdJd7d3d Ah9d5h5c4h KcQh8s5d5c 
Th9s7s4c2h Jd9s8h4d2s 6s5h4d3h3d QdJh9h8s2h 
JhTd8d6c3s Kd6s5h5d3c Jh8s7d7c5d 9d9c8c6h4c 
ThTd9h8h4s Kd9h9d8c5d Ks7h7c6c5d 9h8h6d5s5h 
ThTd7c6c3s JsTd9h5c2h TdTc9h7s3s Kc8h7c6d3s 
Ts9c7d7c5c 9h7c6h5c2h KsTsTc8d3s 8s7h5h4s2s 
9d8d6s5h3c Jh9c7h5h3d Ts9s9c3s3d Ad5d4d3h2h 
QsQc8h6h3h KcQh7d4c2d QdTd5c2s2c Qh8d6d4h2c 
AsKc7h6h3d AcKh9s3c2d Kc9c8s6h6c KdJs6h4h2s 
Td9s8d5d4h AcKsTd4d2h KdQd9d5h3s 9s8s7h4h3d 
Jc9d5s4d2c QsTs6c4s4h 7h6s5s5d2d Ah8d6c5h2h 
QhThTc3s2d KhTd8s8c5d Td7h6h5d2c Kc8c7c6s2s 
Jd9c5h5d2h Kc9h8h4h3c KsQhTh6c2h 6s5h4d3s3d 
8d7s7c6d4h AdTc6d3d2c Jc9d5d2h2c TsTc6h5h4h 
QcTc6d4s3c Kc8s6d5h3c Jc9s9h5d4d KsJd9c7c3h 
Kc9s7d7c4h 7d6c5c4s3c QcJhTs3h2h AcQs9h7d4h 
Jc9h7s5s4d AsQc9c6h3d Kh8d6d4h2d 9s9c8c6c4h 
QdTc5h4s3c AhJsJhJd8d 8s7d6s5s5h Kc9h8h7s2s 
AdJd4h4d3s KsQd7d5h5c KdJh5s4d3d 9d8d6s4s3h 
Qs9s9c7s2c AcKc5h2s2c Tc8c6s6h2s Jc8h7h5c2h 
JsTh8c6c3d TsTh5d4h2d Th7s6h5h4c Ad8d6c5d2h 
KsJc5h4s3s Tc8d6h3h3c Jh9s9d6h4c KdQs7c2s2d 
KcJhTh7h2s KdJc8s7h4s AhQd9c5d3d QcTd8h8c2s 
Kh7d5c4s4h KdJc8s6h3d QhTh4s4d2s As7d6h4d3h 
KcQsJc5c2c AhQd9d6c3s Kh8d7s7c4h Kd8d5c4c2c 
KdQc8d5h3s Ks9s8c4h3h Jh9s6c5h5d Ts9d8s4d2d 
QhJh9s8c4h KsJh7s6s3c AcKsQs3s2s JdTsTc3c2h 
AsTc7d5s2s Jc8c7c6h3h AsTc9h6h4h Ts9s7s6h4s 
Js8s7h7c3c Kh7h7c5h4s Ad8s8d6d3c Qh9h6h5c4d 
KdQc9c5s4c AdTs6h2d2c AhTc7d5h2h AhQs8c4h3h 
Kd5c4c3d2h KcQs5s4s3d Qs8h5d4h4d Ah7s5h2s2h 
Kc9c7c5d3s Qh8h7h5s4d Jd8h6d6c4s Jh8s5h4s3h 
7c6h5c4s3c Jh8c6s6h5d QdTc9h7s3s QsQd4d2h2d 
KdQc7h4d3s KhTh5s3s2s JsJc9d5h3h ThTd8s3h2d 
Ks6d5s5c3h AhTd9s6s4s KsTh7d6d3c 6h5c4d3d3c 
Tc8h8c4s4d Kc8c7s5h3d AcQh7d5c2c Js9d6s6d2h 
KcQd5s4h2d Ks9s8d6s4h AhQsTc7s2s AhQh7h5s2c 
KcTc8s7c3d QsJsJh6s3s QsTh9h5c3h 8c7s6c3s3c 
JhJd7h5h3s AhTs8s7c2s 8c7s6c5d3h KhJd7h6h3c 
AhJs8d7c2s JdTh8s8c2d KsTd6c5c4c KhTd5d3h2h 
Kc7h5s4s4h 9s8h7s7h2s Kh9h8s6h6c 8h7c6h5d3s 
AdKc9d6s2d JdJc6s6d3h AsQc4c3d2d QcTc5d5c4s 
KsJd7d6d4d QsQh8h5d2h Tc8s5h4c3s 9h8d6h5s5h 
JcTh4s2s2h QcJd6h5s3s Ks9d5d3c2s Qd8h6h4d2s 
AdKs6s6c2h JhTd8h4c2s TsTc5s4h2h KsQc6h6d3s 
9s6h6c5s2h 8d6d6c5h4s JhTd3h3d2d KsJs6d4d2s 
Ts8d7d5s2s AdKc9h8s3s 9c7h7d2h2c KcQsQc7c3c 
Ah8h4c3h3c KhTd5c4s2h QhQd9c7s4c KcQcTs4h2c 
JhTsTc3d2h 8h7h7d5d2h TsTh9h7d3h 9d8h7d6s4d 
JhTd8d7d2c JsJd7s4d2d KcQdJc8c3h QdTh5d4d4c 
Ks9h6s5s5d Tc8c7d4d3c Kh7d6c5d4d Js9s7h5s3d 
KhTd5c4d2c KcTs7c4c3d 9c8c6d5s5c 9d7s7c5s4h 
9c8h8c7c2h 7c6s5s4c2s AsJh9d8c2d Qh8d6s4s2h 
KcTh8c4d3s Qc9c7h5d2d KhQsTd6d2c AdQsTc3c2h 
AhQd8d7s2c AsJc8h6h4d JdTc8h8c3s Tc9c8c7c5d 
9c8c7d4d3s AsJs8s7h3s QcJs7c6s2c KhJc7c6c4c 
TsTh3d2s2h 6d5d4s4c3s KhJc9d4d2c AcKs7h4d2s 
KcJh4h3c2c AdQsTh3h2c JcTh8h4s2d Qh9c8c7s5c 
Qd7c6h5d2h AsKd8s8c2s Ah8h8d6h3c 9s7s7h4d3d 
9h9d7c6d3d Ks7c5h4c3h Tc9h6c4s2h JcTh7d4s4h 
KhJs5c4h3h KdQs6h4d2c KcJcTc5s5c Ts8h7d4d3h 
KhJcTs4c2c JhJc7h6s3d Qd9c7s7h6c Ah7h4s4c3d 
AhKc7d6d3s Ah8s7s7d2d Jc8s8d6c2d 9h7s7d5d4c 
QsQc7d5h3h JsJd5s5c3s AhKhTh6d2h KsTh6d6c4c 
KhJd6c4c2d Ah7c6s4c3s KdTh9s8s4s Jc9c7d5c3h 
KdJd5h4d3s KsJc8d7h4d ThTd9d8d4c QsJc5h5c4c 
Kh7d5h5c2c QhJh9s8c2h AcTs9s3d2d AhJh8s5h3h 
TsTc5h4h2c QhJc6h5d2s QsTs7h4c3d Tc7h6c5c4d 
KhTh8c5s2d JhTs6h5h3c 8s7d6s5s5c AdTs9s8s2s 
KcQdJc7s2h As9s6s5c3d AcKd9s6d2h Ad9s8c6s6h 
Qs9s5c4h2c QhJc8d5s3c QsQhJc8c3c KdTc9h5s4s 
Ts8h7s4h2c KsTc9d9c5c 9h8h7s4s4h Qd9s8s4h2d 
JsJd5d3d3c 6h5s4c3s3c Tc9h4h3h3c KdJhTs6c2s 
Ad7d4h3h2h Qh9d8c7d2c Td9s8h8c5s KsJh7s6s3d 
AhTd8d5c3s Qs9c8s4h3h KcQdTh6h2s AcQh9d7s4s 
7s6c5h4d3d KsJc7c3s2h Ac8h6d5c2c AsKs7s4c2d 
KcQdJc8c2h ThTd9c5h3h Kc9d8h4c2d AsTc9c5c4d 
QhTc9c7c4c KsTc7c5c3d JdJc9d6h2s Ad7d7c5d3d 
Td5s5c3d3c QcTc9s9c3c QdJh6c5s3s 5h4s4c3s3c 
KcJsJh8h3d Qs9s8s8h5c JsJd6c4d2c Qs9h9d6c3s 
JcTs9c4c2d KsQd6d5d3d Jd8h6c5s4s Ad7h5d3s3d 
Ts8s7h4h3s Kc5s4s3c2d TdTc9h7s3h QsTd8c3s2c 
KcTh7h5h3d Jh9h9d7c3s KsQhTc5c2d Js8s8h2h2d 
JsTs6c4s2c Qs9c5s4c2d QcJs9c8c2d AdTc6s6d3d 
Kh6h6d5h4s QcJs6d5h3h 9h8h5c4c2d 6s5s4h3h2d 
Kc8s7h7d4c Th9d6c5d4d 6c5h5c4s2s KsJsTh5s2s 
Js9s9h4h2h QhJc8d8c4s Td8s8c7d4h Th8h6s6c5d 
Jh9s7d4d3s Qh8h6h5s2s QsTsTh3d2c KhJs6s3s2h 
9s7s7c6h4d AcQh9s9h2d KcTh9s5d4d Td8h6c4c2h 
KdTd5h4d4c QdJc9h6c3c QhTc7d6s3c Th9h8h6d3s 
JcTs7h3s2c KsJd9h8s4s AhKs9c6d4c Js9c6s6c2h 
Ts6d5d5c3s Jh9s9h8d3c QdJc9c8s2c AsJcTc3h2c 
QsTd7c6d2c JsTh7c4h3d Qh9d5h4d2s Ah9s9h4h2s 
KdJs9h8c4s Kc9c8h4d3d 9s8d7d4s3c 7d6c5d4h3d 
Ts9h4s3h3d Ks9c8c7c5d Ts8s8c7s5d Ks7d5h4h4d 
AsKh8h5c2h KcTdTc3s2h KcQh8d3h2c 9c8s7c2s2d 
AhTc6s6h3h Js8s5d4d2d AcKd8d4s2h Ts9c6d5c4c 
QcTd7s6h3d AcQs8s6d3h Ks7d6s4c3h QcJd6s5h3h 
Ks7h5c4h3c KdQhJd8d3s Jc9h8c6d6c Ts8h5s4h3s 
Qc9h8s6c3d AsQc9c6d3h TsTh7d6d3c 7c6d5h5c2h 
Kd9d8h8d6d Tc9h6s5h4h Qd8d7h5s2h KsKhKdQh8s 
KdQh8c5s5d Th8s8c7h4d Ac7h6d5d4d JcTd6s4h4d 
Qh5c4h4d3d Ts8c5s5d3d JhTsTc3c2d QhJsTd6c2d 
Tc6h5h4c3h JhJc5c3s3c AhQh5h5d2c 9s8h7c4c3s 
AdKh4h3s2c As9h8s4s4d KhTs9c8c4c QcJhJd3c2c 
9h7s7c5h2s QdTh7c6s3h 9d8h7h7d2d KdQh8d5s3c 
Ts9c8s7h2d Jh9s9h4s2s QhQcJs8s3s AdQs9h8c3c 
AsKsQh8s2s 8c6d6c5h4s Js9h6c5s5d QdTd4s4c2s 
Js9s9c3c2h QhTc9c6c2d QdTs8d8c2h Qd8s8d6c4d 
Ts8d7d4s2c AsQh9c4s3s AcKc6c4d4c JhTd7s4d3c 
9s9c6s4s2c Qc8c7c6s3s QsQc6d3h3d 9s8s8c7s5d 
TdTc8d3s2c AcTs8h7h2d KcQs9h8d5d KsQd9c5d4d 
KhJhTh9h4h Jh9c6s3s3h Jh9h5c3c2s AsJs5d4c2s 
AdJd5c4h2d AcKh9d6d4s Qd8h8d6c4d QhTh8d7c2s 
JhTh6h4s2s Jh9s9d8s5s AsKs8c5s3s JsTs6s4h2h 
QcJhTs6d2s KcTc9h4c3d 7s6h5h4d3h Th9c8c3h2h 
QcJs9h8c2c AsJs8d3s3c AcQh8h7s2d 7d7c6c2h2d 
Th9d7h5h3c Ad9s5d5c4d Jc9d8h5s4d Ts9d9c6c3c 
AhKd8d4c2s Kd9d8d6d5s Tc9h8s7d4d KdJhTh2s2c 
JhJd8d5d3s KcJs8h7d2c KcTc7s4h3c AsJd9h5d3d 
KcJd7d3c2h Td9d8s6d4d Tc9s7s5s2c AcJs8h5s3s 
AsTc9c6d4c KsKdKcQc8s Qd7c6d5c2h KcJs7c6c3d 
AhKs9c6c4d KcJsTd6c2c AcQsTh6s2s Td8h7h4h3d 
QcJc9s8h4c Ah7s4h3d3c Kd7h4c3h3d 9s7h7d5s2h 
Kc7h6d5h4s Td8s8d7d5c QsTc7s5s4s QsQc8h6s2s 
AsTc7c6d2d 9c7s7d4s3c Qd7d5c4c3d KdQs8c7s4h 
9c8c7h4h4c KhJd8d5s4d KdTh9d8d4d JdTs8d7h3d 
9s8c7s2h2c AsJd9c5d3d Ks9c8d4s2c Qs9s6s5c4h 
QsTs6d4s4c JsJd7d6h3c 7h6d5s4c3c Td9d6c4s2c 
JsTh7c5d3c Th8s7s4h2d QdJh7d6c2c KsQh7c2s2h 
KhJs9s9c4d 9d8d6c4c3h Th9s7s5h2s KhJs8c7d4c 
Qc9s9h7c2s Ks9c6s5s5d KsTc5d4h2s QsTh9d7c3c 
