AcQdJh7d3s 
KhJc7h4c2s 8s8h5d3s3h AdKsQc3h2c 8s8d6c5s4s 
AdKh8s8c3d Kd9c6h4c3d Qd9h7h7d4c Ac9h9c7c4d 
AdJd8d6h6c AcJd5s5h3c KcQs5s4d2d Tc9s7c6c5d 
KsTsTd8s5c AsQsTc3s2h Ts9s8s8d7c KdTsTc7c4h 
KhTh9h7h5d Jc9c6d5c4d KcJsTh8h4h QdTc9c8h5c 
AhQd4d4c3c Kc9s9c8c6h JsJhTc8c2d AcQsTh7c2c 
Qc9s9d7c3d 8c6h5s4s2h KdTh9h5c2c QhJh9c8d5h 
AsJhJd9d3d Tc9s7s4d3c Ks9s8c5s4c 8s6s6d3h3d 
AsTh8d5d4c AsTc9s4s4d KdJs8d7s2d QcJs7h6s3h 
AhKsJh6h2d KsJc9c2s2h 9d8h6s5s2d KsJs8c4c3h 
Tc8c6h5h3d QsTc9s7h5s 9h7d6h4s3d JdJc5c4c2d 
KdQd8c5c2c QdJh4c3d3c Td8d7s6d5h JcTd8d6s4d 
Jh9d8c7h5h Tc8d7d7c4c As8h6c5d2s Js9s9h8c3c 
8h8c6c5s4c Ks6s6c5c2d AsQd9c4d3c Ks7h6d5d2s 
Ts8h6h5s3c 9h7s7d4h4d KhJd8h6d2d TsTc6d3d3c 
Qd7c5h5d4h KhQsQd9d4d Kh9s6c5h2s QhJd4h4d2s 
QhTs9s6c3d KhQh9h8s7h AsJh9d7d6d KhJc9s4s2h 
QdJd6d5h2h QhQd9s6s4c JdJc7s7h4c QdJh4h4d2c 
AsQsTc3s2d Jc9s8h8c6d JsJd8c6c2s Ts9c8h7s5d 
Th9h8s7s2s AcKcQc9d3c QhJs7h6h3s AdQc8h4d3s 
AcQc9s8c2h KhQh7s6h6d AdTs9h3d2c KhJd4h4d2c 
KdTd9d9c6d QhJd8c7c5s KcQcJh4s3c 8d6c5s5d4c 
Ac9s6h4c2s Jh6s6h5s4s As9h8h7h5c KsThTc6s4s 
JcTsTh4d3s AhKs9d6c5d KcTs9c6h4c Jd9s5s5c4d 
KsQc9s4h4c KdQd6s6c4h 8c7s6c5s2d JdJc4c2d2c 
JsTh9c6d3s QsQdTc8s2s Js8s8h4h4c Ac8c5d3d2s 
JdTs9s9c4h AhKc8h5h2d KcTh6c5d3s AcQcJc7h7c 
QhTs9s3s2h JhTh4s3s3c QdJsTh4c3c QsJcTs6h3s 
KcQd9c6s6c Ah9h9c8h7h AsQcJh9c2c JcTc7h5d2h 
QhQc9s3c2s QcTs8h8c5d KdJhTd6s2c Kh9h9d6h3d 
Td9s7h6h6c AdKcQc3s2c KsQsTs5s4h QsQd8h4s2h 
Jd7s6s6d4c JhThTc5s3h As8d6s2d2c 9c8d8c4s4d 
9d8s6s5h2h AhTh9s7h2c JdTd9h3h2h Jh9c8h8d4c 
AdQcTh7d2d Qs9s9d7d3d 8s6s6d3d3c AcQsTs4s3h 
9s9c6s6c2c AdKcJc5c2h QsJd9s6d2d QcJs9c8c6c 
8s8d7s5h2d Jd8s7h5s5h KhTd8h7h4c AsTc7s6s3h 
AcQd7c5h2s JhTc8c6s4c 7s7d6c5s4h KhTh4s4d3d 
8s8h6d6c4h 9d8s7d6h3s AsKh8c5c4d KsQs8c7s6s 
QsQc5h4s2d 8h7h5d4c3d KhKcQh8s3h KsTs6h3h3c 
AsQh9c6s4s AsTs9h7s2c KdTs8s6h3h 9c8s7h6s3h 
8s7s5c4h3c 8h8d7d5s4c KsQdJh9c4d Js8d7h5h5d 
AhKc6h6d3h AcQcTc6d6c 9d8s6d5h2s Qd9s9c7d3c 
AdQsJc9h2h QdJd6h5h2h KhJs7h7c5h JsTs9s7c4d 
KcThTd9c5c AdQh9s4h3s Td8d7s6h6c AsKd8h8c5h 
JdTs9h8c2s KsTd9s6c4s AcJc8h4s2d Kh9c6h5d2d 
AdJh5c4d2s KhTh9d8h5s 8s6c5s5d4c 9h8h8d4s4d 
AdJs8s5s4h KsQc9s4d4c AdTc8h6s4c AhKd9d5s5c 
QcTh4s4c3h Qc9h9c7h4h AcJs7c4s2c JsJd6c3d3c 
QhJh9c5c2h JcTd5d4c2d JhTs8s6d4s AhKcTd6s2c 
Js9d8s5d3d KcQsJd9h4s JcTdTc4h4c AhKh7h5s3h 
Kc9d6d4s3c KdJh9d3c2h Ks7d5d4d3s KsJc8s5c2s 
9d8c7h6s6c AdJd9s6d6c KdJc9s6d4h Kh6s6h4c3c 
Jh9h9c3d3c JhJd8d4h3d Ac8c6d6c3d AcJsJd4d3h 
Ts9s9h7s6s KcQdJd8d6d QdJcTc8c5c Jh9h9d8c3c 
KsJh9d4d2s QcTs9s8d5s AsKc8h5h4d KsQc6s4s2c 
JdTs9h8c2d Ad6h4s4d2h KhJs7c5h5d QdJd8h7s5d 
Ac9s7c4d2d Js9s9d6s6h Td8d5h4s4h AcQsJd4s2h 
KcJcTsTc4c 6h5s5c3s3c Qd6c5h4d3h Ah7d7c4h3s 
JcTc5h5c3h KsJhTd8d4d Ad9d7h6d6c JsTdTc2s2h 
KsQcJh9c4d AsQc9d8c4h KhTc7h5c2c QcJd4s3s3c 
KcQs8c5h2h AhTh6c3d2c Kd9c7c5h4h TdTc7h5s5d 
Jh7c5s5h4c 9d8s7h6s6c QcTh7c4h3h Th9s8s6d5s 
JcTc7h5s2h KcTs7c5s2s JhJc8d2d2c QcJd8d4s2c 
TsTd7c6h5c QcTsTh7h2s QhTs7s7h3h Qd8d7h5s5h 
Ks9h7h6d2s QsQhQc9s9c Jh9d8s8h4d 7s5s5c4s4c 
Qs9h8s8h3c QsJs7h6d4c KsQsQhQdTh 9c8h6h5d2c 
AsKh8d7d4d Qs8d6s5c3d AdTh9c3d2s KcJsJc9c2d 
Kh8h8d6s3d JhTd9h4c3s AhKd8c5s4c QdJhTh4h3s 
AcKc5h3s3c JhTh8d4d2h AcKh4s4d3h Ac9c7h6d6c 
JcTh9h4s3d AsQsTs6s6d Ks9d7d6c2s JdJc8s6s2d 
JcTd9h5s4h KcQh6s4s2c KhQhTh3s2s AsJd9d5c4h 
Th8h6d5d3s QcJs6h5c3d QcJsJh7h4d KsTs7h5c4s 
KsTs8c6d4s QsQd8h7s4s Ts9s6h6d3d Qd9h8h7d2s 
AhKcJc8c3d JdJc9d7h4s QcTd7d6c2h AcTd8h5h4s 
AhJs8d5d4c AsKh9s5s3d Qh9c8c7h2d Tc9d9c4d3c 
Ah8h7s7c6h Ac6h4s4c2h 7s6h6c3h3c Td9s8c5s3c 
QsTd7s4d3d AdTd4h3s2h 9h9c8h7d3c JhJdTh4c2s 
9s8d6d5h2s Ah8s6c5d2h QsTh7d6d2s QhJd6c4d2h 
KsTs7d6s5s 8s8h7s5c4d KdTh9s8c2d Ks7s5s5h4h 
Kh7d5h5c3c KhKdQd8d2s TsTc7h7d5d Qs9h8d7s7c 
AsKs5c4h2s QcJcTd4h2s JcThTc7c5c QdQc7s6s4h 
KdTd7c5s4d QdTh9h8s5h AsQcTd7h3d 9c8h8c5d3d 
AsTs4d3h2d Kd6s5h3s3d QdTs6c5h4s Qh7d6d5h3h 
QcJd9h3c2d JsTs8d6c4s JdTc8c6c4h Tc7d6h5c3d 
Qd8d7c5s5c Qc9s9c7s3s Ts9h8h7s3s As8s7s6h6c 
ThTd8d4h2s AhKsJs8s3c KcQh9c4h4d AsTh8s6s5s 
AhKs9s5s4d Jc7d5h5c4d 9s8c6s6c4d KdTs9d4s2d 
JsTh5h4s2h AcQd8h6h5h Qh7c5s5h4s 7c6d6c5h3h 
9s9h6h4c3c AdTh9d4d4c Kc8h7h6c2d 9s7s7h6s6d 
KcQs7d6h5h KdQhTd7d5d QsQh7c5s3d QcJc7c6s5h 
KhJd9d2s2h Qd7s5d5c4c KhQsQd9s4s 9s8d8c7d4c 
JhTs7s6s4c Ks8h7d5s2h 9d7h7c5d3c QdQc9h3c2h 
AcQc9h7c3s Ad9h5c4c2d AdQc9d8s2d Qd9s7s7d4c 
Kc7d6h6d5h Ks7d5s5c3d Ad6h4d4c2h JsJcTc6c4c 
AdTc8h6s5s Ts9d9c7c2s AsQc9c4d3d TsTc5c4s3h 
Jd9s5d4s4c JdTsTc9h2h QhJc9s7s2h Kd9d7c6h4s 
9c8d6d6c4h JhJd8d5d5c KhQs6c4c2h AsKhTh7h3h 
QcJd9h5s3c QdTs9s3s2d KsQs9d7h5s KsTc8s7s4h 
JdTc9h6s3d Jd7c6h5h3d AcKdTd2s2h AsKd8h7h4h 
AdQc4s4c3s Qh9d8d8c4h JcTh8h5h4s Td9d8d8c7h 
KhKdJs8s3s KsJh8d6s2d QsTh8s8d5c QsJs9d7s3d 
KsJhJd5c3d Js8c7d5d5c KhTd9s8c2h Jc8c7h5d4s 
Qc9d7c5c4d AsKsKdKc4h Kc9h5c4d3h Th9h7c4d3d 
Tc9d8d4s4c KhJd6s5d4c Ad9c8h5c4h AdJs8c7d3d 
QhQd6d6c3d JdTh7h6d2s AcTs9c4d4c Qh9h8d7c2d 
QhJd9s8c5c Js8s7d5h4c 9h9c8s7c2h KhJh8s4s3c 
Th9d8c6s5s QhTd8d7s3s Js7c5s5h4c Ac9d8d7d5s 
AsTh6h3h2s Ac9c7h4s2s AhKh4s3h3c KdQs7h6d3c 
KsQhQc9c4c QhJc8s8h2c QcJdTd8d5d KdJhJc9c2s 
Tc9s9c7c6c Ah8s6d5c2h AcJh8s6c2d AhKc9h5h3s 
JsJd8d5h5d AcJs9d7d6d Ks9c8s5h2h AhJc9h3s3d 
Td9c7d7c4c TdTc8c7d3d Jd8s8d6d4s Js9h8c7c5d 
Kh9s9h8c5d KsKcQd7h3h QsJs8d6c4h AdKsJs6s6h 
AcQd9d8s4h QdJc6c4d2d 8s8d6s5s4c 8s8h7s5d2h 
KdTs8h7s2h TsTh5s4h3d 9c8d7c6c5s 8c6h5c4h2d 
Qc9s5d4d4c JdJc9c8c6c JdTh9s8c2h Th9s7s7h4s 
KhQdTh4c3h 9h8h7d6h5h QsJsJd7d2d KcJs7c4s2h 
As9d8c6s2h Jd8h7d7c4h Qh9h8h6s5d Qs9c8d5d2s 
JdTd5s4d2s QcJd9s4s4c Kd9h6d5c2c AsTs6d3c2d 
QdTs9c4h3d QdThTc7d4s As7s5h3d2h KdQdJs5h5c 
8h8d6d3s3h Td9s9d8c6d QhTd7s6c5c QcJhTd2s2c 
AcJh7d5s4d Qc8s8c6h5d AcKc3s3c2s AcKs3s3d2d 
9h8d8c7c4d 9s9h8h6d6c AhKd8h5s3h AcQd8h5c3c 
QcTs4h4c3s Kd9s6d5h2h AcKc4h3d3c QhQcJd8h3s 
Qc9h5h4c3d TsTd9s5d2d JcTc7h6s6c AsTd6s2d2c 
AdJc7c5h4c AcKc5c4d2h AdTc7s5h2d Kh9h8s5s4h 
KsTsTc9s2h AcKhJh6h6d AhTs7s7d4c Ah8d4s4h2s 
QsJs6d4d3d QcJh6h6d3d AsTh6s2h2c As8d5s5d3s 
9c8h8c4h4d Qs6d6c5c4s AsQc8c5d4c AdJs9s5h4c 
JhJd8d5s4d Td9d8h6d3h QdTc4s4d3c JhTsTc9d3d 
KsJc7d6d3c Qc9d5s4s4c QhJdTh6s3h Th9c8s7d5h 
Kh9d8s8d5s Qh8s6h5c2c Jd8d7c5h3c Ah9h9c5h2c 
QhJd9c3h2d Kh7s6d5h3c Ts7h6h4s3c Jh9s7s6d3d 
QcJs8s6s5d Qh7c5h5d4d KdTd7d5s4h AsKh3h3d2d 
QcJd4d4c2s 8h8d7h5c4s QsTsTc8s4h JhTc7s5s4s 
KcQc9d7h5c KsTh5d4h4d QhJc7s4s4h Ts9d9c7d2s 
QcJhTs4d3d KdQcJh9s4c KsTh9h7d2d QdJs4c3d3c 
QhQc5s4h2d AdKc8c7h2s AcQh9d6c4c KdQh9d6s6d 
Jc9s9h4c3h AsKd5s3s3c KhQdJc9s4d AhKh9c6s3h 
AdKsKhKd4c QcJs8s4c3s AcKsJs6s6d QsJc7d6d5h 
AdQc8h6h5h JdThTc9s4s JsJc8s7d2d AdQhJh8c3h 
KdQcTh8d2s QsTd8s8c5h KsQsTs5s4d QsTh7s4h3h 
Ts9c8h4s4c Ks8d7d5s3s QsJh9c5d4h QsTd7h6s4s 
AcJsJh9h3h Qs8h6s5d3h AsQh7s5c2d JsTs8s6h5s 
Jc9h7h7c3s KcTs9s7d2d AdQh9s8h4c JcTd5d5c2h 
Qd9d8h5s3s Kd8c7d5c2s JsJd5d4d2s AcKs5d4s2h 
Jc9h8s8c3h AdQsTs4s3h Kc9h5h5c3s ThTd9h5s2s 
Qh9c6c5d2h KhTd9s7c5c AdKcJc8c3s 8d6d5h4c2h 
QhTh5h4c3c Td8h6h5d3c QcTs7c4s3s JdTc5s4c2s 
Qs7s7c5c4c 9c8s7h6s6d Jh7s6c5h3c KhJc8s8h3c 
Jc9s9d4c3s KcJs9d4c2d AhKd8h5c3h Ts9d7c6h6c 
KhQs9s7d7c KdKcQc8c2h KhJs6d5s4c KsKcQs8s2h 
Qs5h5d3s3d QdJh9c5s4h Qc6s6h5s4c AcKc9d6h3c 
QcTd6h5d4s 8h6s6h3s3d KhJd9h7s3c KsQhTd9c5c 
AcJh9h8h5h KhTc7s7d6s 7d6s6h5d3s Jd5s5h4s4h 
As9d4s4h3d QcTh6d5h4s KcTc7c5s4h Ad9c7c3d2s 
TsTd8d2s2d KcTd6c5s4c KsJh7c6d5d KcJh8h6h2c 
JhTd8h3h3d Jd8c7h7d4c Ad9h5h5d3d Kc9d7d7c3d 
Kd9d5c4s3c QsQhJd4d2c JdTd7d6s4h Jh8c7d5d5c 
KcTc7s5s2s Ah9s5s5h3h 9h8c7s6d6c QcJc7s6d4h 
9c8h6d5c2d AhQs9h8d2h Kh6c5d3h3c Jc5s5d4s4d 
AsTs4s4h3h KhJd5s2h2d JdTs5s5d2h QhJd9s6d5d 
KsQd9h2s2d 9s8c6h6c4s Qs9s8s8d7h Jh9d9c7s6h 
AcTh9h8d3s AhTs8d8c5d KdJc7h7d5d Ah8s6h5h5d 
9c7c6d4s3d Qs9h9d6h3d Js8h6c5h5c ThTc9h5d2d 
Kh6d6c5c2h KhThTc8s5h 9s9h8d7s2h KhKcJs8s2s 
QcJc7c6d5h QhQd5d3d3c Kh8s6c5h4d 9s9c8h7s2c 
TsTh7c5s5d KcQd8d7d2c QsJs8h7d5s Jh9d8c7h3c 
KcJs9c3h2s KdJh9h8h6s AdKdJd4s3d 8d6h6d5h3c 
QcThTc7c2h Qh7d5h5c4c Jh7d5s5h4d AcQc7d5c2d 
Js9d8s5d2d JhTs6d4s2h QcJd9s3c2d 8d7c6d5d4h 
AhKd9h6h4c QsJc8h8c6d Th8s7h5d4c QhQdTs7c3s 
Kh7d6s6d5s QdJs9c6s5s AsQs9c8s2h KcQs8d6d3s 
Qs9h9d8s4h QcTs7s4c3s KhJc7s6s3c KhTh8d5d3h 
Qs9h9c7s3c QhTs9h3s2s Td9d6s6h3h JcTh5c3s2h 
QdJc8c4d3c JdTc8s7s4s Kh8s7d5h2s Jc8d7h7d4h 
As9d9c8h7d AsKh9h5h4d Js7h5s5c4c Tc9c8s7s2c 
AsQhTc4c3d KcTc5s3s3h Qs9d8s8d3h Ts8s5c4d4c 
Kh9h6c4c3s TsTc8d7s3d 9d8d8c4h4c 9s8c7d5c3d 
JsJc4s4c2s AdKdQdTd2d JsTc9d9c4h KcTc7d5s2s 
KdQd6s3s3c QcJd8s6h4c Kd9d5c4c3s AsKs4s4h3c 
AcKcQc7c3h KdTs7c3d3c JdTsTh5s3s AsKs9h6d4s 
AcQsJd8d3h QdTh8s5c4h TsTh8s6s5d 7s6h6d5s3d 
QhJdJc6h3s Ad9h4s3h3d JsTs8d4d2s Kc9h5s5c3s 
QhQc7s6s4d 6d5h5c3h3c JcTh9c6c4d TsTh5c4s3c 
KdQsJc9h4s KcTsTd9c3c AdKd5d4c2h KcJh7c4h2s 
KcTd7s7h6s TsTh9s5c2c AsJdTd8d3d Jh9h5c4d4c 
Ah8d5d3s2h KcQdTh8c2s AsQd9h9c6c QhQcTd3s2c 
KcJhTd5s3s AdQs9s4h3h Ad9d9c7h4d KcQh9s9h2s 
KsJd7s4d2h Th9d8s8h3d KhJh5c4c2c 8h6c5h5d4c 
As6c5c3c2s Qh9h8s5d3d KhQs8d7s5c Jh7s6s6h4d 
Jc9s5c4s3c As8d6c5h2s KsKd9c8h2c AhQs5h5d2c 
JcTd9s8h2s 9h8c7h5d3c QhTs9h3s3h AdKh5c4h2s 
Jd7s5d5c4s 8s6d5c4d4c Ah9c6h4c2d KdJs4s4d2c 
AsKs5d3s3c JhTd7d6h2s QhJs8s4h3s AcKdJd5d2h 
8s7s6s5d3d Tc9c8h7d5s KdTh9h4s3s AcTh9d3c2s 
AhJh9s6c2d KcQh8s7d5h KcQh6h5s4h AdKc6h4s3c 
Js9d8h7s2h Ks6s6d5d2c KsTh7c6c4d Ah8s4h4d2d 
9h9c8d7c2h Ts9c8d6h5h KhQsJd9s4c 8s7s6s5h3h 
Ts9c8d7s5h 9h8h8c4d4c AhJh5d4d2h KhQsJd8s4c 
As9c8h8c7d KdJh7d4s2h QsJd4s4d2h TsTh8h7s2s 
AhKsQc6c3c JdTs9d4c3h AhQdTh3s2h Ts9h7s6s5d 
AdKh4c3h2c Jc7c5h4d3h QsJc9h6c5c KdJhJc9c4s 
AcQcJd3c2s Ks9c5s5c3d AcKs9d6h5d JdTh8h5h4s 
Th9d8h6d2d QsQhTc3d2s AhKcTs4s3d Jd7c6s5s3d 
Qs9d8c7h6h KsJhJd3d3c JhJd8s6s2d ThTc5h4c3d 
Th9c7d6s6d Jd9d7c6c3c QcTsTd7d2s QhJh9s9h2s 
TdTc8d7c2c KsTsTd4d2s QcJd7s6s5h AsJc8d7c4c 
AcQd4h4d3h 8c7s7h6d6c AdQcTs7d2d AsKs9d6c4s 
AhQs9s8d4c KhJc7h5h2c Js9c8s5c3c Th9c8s3h3c 
Kc9s8c6h2h Kh9s8s8d5d KsKhKcTh7s 8h6s6h5s3c 
QhTh8d7h2d 9c8d6s6d4c AsTh7s6s5s QdTs7d6d5c 
Jh7c5h5d4d AhKh4h4d3c Ac9c5h5c3h AdKcQh6h3h 
Jc8s6c5s5c JcTd7d6c2h As8s5s4h3h AcKs9c5h5c 
AhQh9s8h2d KcJd7h5s5c KsQc8d4c2s TsTh8s5h3h 
QhJs8s6s5c QdJd7d6s5h Ks7h5s5d3d QdTh7h7c6h 
Td8s7d5h4c KhJd4s3s3h AcJc9h6d2s QdJdTh8s2d 
Th9s7s4d3h 9c8h8c5s3h QdJdTh8c2d QdJdJc7c2c 
QdQc8s6s4h Qh9s9d7d3h TsTh8c2h2c AdTs6d2s2h 
Ks9s5h4d3h AdKd7d5h3d Jc8c7d5s3d Qd8h6s5s3d 
AhQs9d9c6d KdKc9h3s2c KsJh8h6c5d AsQc8d8c6c 
TsTd7s3s3d 9c8h7c5s3h 9h8s7s5s3h AhQdTc8d2d 
Js9c8d7h7c Jc8h7d6c5s Ah8h6h6c3c JhJc9s9h9c 
JhTc7h3s3c Td7h6s5d3h KhThTc8h5d Js7d5h5d4s 
Kh9d7s5h4c KhQhJs4d3h JdJc8h6d2h AhJd7s5c4s 
KhQsJs8s6s QsQc7h6h4d KdJd7c5s4d KcQc5d3d2h 
8s7s6d5c2c Ks7h6c5s3d Ad8h6d2h2c AdQs4s4c3c 
Td9d8s7s2d Js9h8s8d4h Ks9s5h4c3h KhQc9c7c6c 
Kc9h5h4s3c TsTd8d5s2s AcKdTs6h2d Ad8h6s5d2c 
Td9s6s6h3h AcKd8c5c2s QsQcJc8d2h KcQc6h6d4s 
AdTd7d5c2c JdTsTh9c2c KhQhTh3c2c Ad9c6d4c2s 
QdJd9d5s2s KhJs7h7d5h KsJdJc9c2h QcJc9s4c3s 
QsTc6s6c2d KsTc6s6h2c Qd9c8h5h2d QcJc6h5h2h 
Ks6s6c5c3s AsJs9d3h3c 8h8d6h3s3d TsTc8c6h4c 
KsJhTc6s2d KhQd7s5c4d JsTs4h4d3h Jh8c6d6c5d 
Jd9h8d5h2h QdTd9s4s2s Td9h8c4h4d Ah9h7d5d2h 
Kc8d8c5s3d 9d7c6d4s3c KdQd9d8h7d QsTc9s6s3h 
QcTc9h4h2h QdJc8s7s5h 8h7d6h5d2c Qc9d8d5c3d 
JcTh7h6c2d As7c5d3c2s QsJs9s5h2h JhJdTc9c2c 
KsQcTs7s5s AsJd6h3d2s Ts9h9c7s5d Kd7s5d5c3s 
ThTd7s6c4h 9s9d8s7c5h Th9s9d7c5s 9h8s7d6s3d 
Kc7s6s4c3s Th9c7s6d5s KhJhJd5c3h QcJh6s6c3s 
AhKd9c8c6c KdQh7s6s2d AsKc3d3c2d JdTc7d6h6d 
Ks7s5s5d4d KcJhJc9c2d JhTh9s6c4h AhKd6c4s3d 
Jc9h9c8c4h 9d7d6s4h3s AsJh8h5h4c Qh8s6d5d3h 
JcTc4d3s3d AsAhAc7d4d KdTc8h4h2d Jd9c6c5d3d 
Tc9s9h7d5h KsJc4s4c2h AhQcTd7s3d Js7s7d6c4c 
8d7h7d6d6c AsKhJh3h3c Ac6s6c4h4c 9s7s7c6s6d 
QcJh9h9d5s Kc9c5h4h3s AdJsJc6h4c TsTc8h7s3h 
QhTs7h6h5c Ac9h8d6c2s 8s6s6h5s4h KsKcJd8d3d 
Jc9s5s5h4c KhJc7h4c2d KsKhQc6c2c TsTh9d7d5c 
9s8d7s6s5h JsJc8c4s3c 7c6h6d5c3h Qc8h6d5d3c 
Ks9s6h4h3c Ac9s5d4d2c AdJd7s7c4d AcJsTs4s4h 
QsJsJd4s3c KsTd6s6c2d KdQdTh7d5d JsJd8d7c2c 
JcTc7c6h4d Ad6s6d4s3d QcTs9d7h4c QhJc6d4c2h 
Qd9s8h7c6c KhKcQc8d3c AdKd9h6s3d KsJd9c8s5s 
KsTs9s9d6s QsTc9h7s3d AcTc4h3d2h JhTs8h6d4h 
Ks9h8s7s4h QdJs7h6h5c Jc9h5h5c3s Ks6h5c3s3h 
9c8d7h6d3h Tc9s5h4s4c KhJs7c5h3d Qd9c6s6d3s 
Kh9d5h5d3c QhQc8s4c2s Ts8s7h6s5d ThTd8s6d5d 
JdJc6d5d2c AcJd9s7s6s JhTs9c8d2s QcJc9d8s5c 
Ah6h6d4h4c Td8s8d6h3h QhTs9d6s4s QsQdQc9d9c 
QdJc9s4s4d QcJc7d6s4h AhQcTh3s2h KcQh8d7h5s 
QsQc6d6c3c QhJd6s5h3c JsJc8c5h5c 9d8s8d4s4c 
AhKd5c4d2s KsQhTd8s2c Ah9h7s4c2c AcKsJh4h3h 
8c7h7c5c3h Qd9d9c8h2h AhKhQd6h3h AcJc8s6c2s 
AhKs8s7d2c QdTs9d7c5d 9c8s7d6s3d Kh8s5s4s4h 
Ks9c6h5s2c KdTs6d5h3c TsTd8s4h2d KdQdTc5d3s 
Ad8c6d2s2c QcTh9c7s5c 9c8d6s5s2c KdTs6h6d2s 
AcKdJd3h3d QsTs9d9c3h Tc8s6d5c3s KdQh8s7c5h 
KsQd9d7s2s KdQh9d4h4c QhTh8s4d2d QsQh6h5c3h 
KsTd9h9d6d AhKcQs6s3s KcTsTh9c5c AsJs8h4d2c 
JcTc5h4c2h Jc9c8s5d2s Jd8s7c5s5c AhKs6d4c3s 
AcQcTc5h3c KsTs4h4c3h QdTs7s7c6s 9s5s5d4h4d 
9h6s6c5s4c QdQc9d4s2s Tc8h7c6d3d Qh9s7s5h3s 
AhQcJc8c3s Ah9h9d7s4h KhTh7d6h5h JcTs7h5h4h 
AhKh5h4s2c JcTc9d5h3c 8s6s5d4c3c KhQhTc6h4h 
KcJh4d3d3c AcQsQd9h3h Qc9h9c8d2d Qd5s5h3s3d 
KdQd6s3s3h Jh9d8s8h6c Kc9s8s7s2c AhTc9c6d5s 
Jc9s8d7c3d QcJc8h6d2d 8d7s7d6h6d 9h8h7s6h5h 
AcKc5h4c2s Qs9c8h7h3s KcQd9h2d2c Kd7d6c4d4c 
Qc9s6s5h2c Th7d6d4h3s KdQhJs9c3h Jc9s6d5s3d 
KsQh8d4h2s KsQcJh9d4c AcTc9h7c2d Ah9s9h7h4c 
KcQc6s6d4h KsJd8s4d2c QsQhQd9s9d KcTs7s7h6s 
AsQc8h8c6c TsTh9h5c2c Qc9s8s8c3h Qh9s9d6d3s 
QsJh7c6d5d KcTs5d4d3s QdJh9c7c5s AcQs8d6d5d 
Tc9s8h5s3h 9c8s7c6c5d JsTs9h6d4s AcQcTh3d2c 
AhKc9d8d6d AhQsJc5d2c KsKd8h6h3c TsTc8s7c3c 
8h7s6h5s2c AcJd9d6s3s Ks8h5h4c3s 9s7d7c5s3c 
Jc9d8h7c3h KhQsQc4c2c QdJh9s5c3d AhQh9c6h4d 
Js9d9c4s3c AhJh9c6s2d QhTs9h7c5h 9s8h6c5c2s 
JdTsTc9h4h Qc8s6h5d4c AcTs9s6d5h AcTd9d6s5h 
Jd8d7h5s4c ThTd8d6c4d JsJh8d6s2d JhTh9h7c4d 
9c7h7d4h4c Ks8s7c6s5h KdQc9d3s2c Kh9h6s4s3c 
QsJsJh7h2s KsTs8c6h4s QsJs9s9c2c KhTc9c5s2s 
AsKh5d5c4c Ah9c6d4h2c 8s8h7s5c2h QsJdTd4c3d 
Kc9c5s4s3h KhKdKcTh7c AsQs9h6s4c Qd9s9h6d2h 
QhJc9h6h2c Tc8h7s6d5c JdTh8h3s2d KsQsJd7s7h 
Jd8h8d4s4h Kc7d5h5c3h Qc8c7s5s5d KcJs6s5h4d 
Ad8s5c3c2d Ts9d8s6d2d Td9h8h6s2s JdTsTc4h3c 
KsQh6s4s2h AdKsJc6h6c Qs7h6h5s3s Ks8c5c4s4c 
AsJc5h4s2d KcTh9c6s4c Jc8c7s5h4d TsTh9h5s2h 
AhKsTc6d2s AsQsTd3s2h JhTc8h6d4h JdTs9c8h2c 
AsKh9s5s5c KdQsJc9h3s KdJd9h4c2c JhTs7h6h6c 
Tc7d6c5s3s KsTc7h7d6d 9d8s6h5s3h JcTc8s6d4c 
Tc9c7d6s4h Td9h7s6s6c JdJc6d6c2s AsQsTs7s3h 
JcTsTd5d3d KhJdJc9d2s Kc9c6s4s3s 9s9d8s7s6h 
AdTh7s5c2d Jh9c7h7d4c QhJhTd6c3h AhKs9c6d5c 
Ts9h9d7d2h AhKcJs6s6d AsTh9h8d3c Js9d8h7s3h 
AcJc8d4s2h QdTc9h7s4d JhJc8c7s2s Jc9s9h7h6h 
QsJsTd4c2h Jd8h7h7c4c Jd8h6c5h5c Ac9s5h2s2c 
QhJsTd4c3c Qh9h9d7d3d 9d8c6s5d2s AhQsJd8d3c 
AcQh8s5c3c Qh7d5s5h4s As9c5h4s2h AhJdJc6s4c 
KdJd9s4h2h KhTsTh8c5h Tc8c6d5s3s JcTc7c6h4s 
Jd7s7d6s5d AcKd6s6c3c QsJc9h7h5d AdQc9c8s4h 
9s9c8c5h3h JhTh7s6h6d Kc8h5h4h4c 9s9d6c3s3c 
KcQcJc8d6c Qs9h9d8s6s 8h6s6h5h4s AhTh7c6h5h 
AcJsTs4s3h ThTd5d4h3c Qc8c7s5s5h Qd7h7d6h4d 
Tc9c8d8c7h Js7s7c6h4h ThTd9h5h2d Ac9d8h6c2s 
KhQd7s6s2h AcQc5c4h3s 8s6s5h4c2h 9h5h5c4s4c 
QcJc8d6s2s Jd9s5h4h4d KhTh7h5c4d Qc9h8d7s7c 
QdJs6c5d3h JhTd9s8c2h Td9s9c7s2d AhKs4s4c3d 
AsTs5s4c2c AcJsJh9s3s KdTh9h9c6h Jc9c8h5s2h 
9h8c6h6c4s AdTd4s4d3s QsJd8c6h4s Qh9c6h6c4c 
