Kh9s9d8s4c 
JsJhJd9d9c Ad8s6h3s3h Jh7s5h4h3c Th5s5h4s3s 
Kc7h5d4c2s Qd8h7h4s3s Kh8h7s6d2h 8s7d5c3c2d 
Td6d4s4h2s AsJc5c4h2d AhQcJc7c2c AhKcTsThTd 
8c6h5d2s2c Kh9s8c7c3d Qs8c5s4d3h Ac5h4d3c2c 
Kd9h7h5c3h QcJh5h3d2s Jc9s8s7d3s Th6d5c4s4c 
AcJs9d4d3d Jd9d7s7d3h 7s5d4h3s2d Ks9h9c5c4d 
Jd6h5c2h2d AhKsThTdTc AhJc5h3s2h AcKc9h3c2s 
Ts8s8h7s2c Ks8d7d7c4d KhQc6d4d3d AcQd7h7d3d 
8s7s7c5h2s Jh9h9c4h3s JcTs6s5s2h AdQs5h3s2c 
KcJs9s4s3d Kh8h7s7c2d Jc8c5s4c3d AhTc5s3c2s 
Kc9c8s4c2s KcTs6c3d2h QsJd7d4h4c KcJs9h4d3d 
Th5c4s3h3c AdQs7s5h2s Qh7s6c5s3d 9c8c7d6c2s 
Ts9s9d4s2c Qs8s5d5c4s QhQc7d5s2d 9c6s6c3d2d 
Ks7s7d2d2c Kc9h4h3c2s KdJs7s4h3s 8d7c6h3s3c 
KsQh9d5h2h Qh9s9d8c3d 7h6s4h4c2s 9s7d6c5c2h 
9h7h5h5c3d KhTs8d7d3d Th7d6s4h3h Qd9s8d5c2d 
Ah7h6s6d2h KcQd9s6s2h 9s9d3d3c2c KcJh9d7d2s 
9d7c5d3s2s AcQh7s3h2s Ks7d6h4c3c QhTs6c5d2d 
KcTs8d4c2c QhJs7h7d3c KdTd7d5c2s TdTc8c6c2c 
Kd6s5h5c4c AcQd6h4s3s AdKc9d3h2d KhJd8d4s3c 
Qs8h8c5s2d Ad9s8h5s2c Th8d5d3h2c Qc7c6s6h4c 
Kc9c6c5s2d Ts8s8c3h3d 7s6d4d3s2c Qc8s6c4h3d 
Ad8s8c5h3s 6c5h3d3c2h Jh8d6s2s2h KsJc8s6h2s 
Qc9s7s2d2c KsTh9h4c2h Qh3s3h2s2c Ts6d5c4h4c 
QsTh8d4h2h Ts9c8c4h4c 7s6d6c3c2d 7s5h4s4d2h 
As6s5s4s3h Jd8h6h2s2d 9s8d8c5d2d Jh9s8c6s2d 
9h7d7c4d2h Th8d8c2s2c 7d5s5c3s2c Js7h6c4c2s 
Ts7h7d4s2d Jc6h5s2s2c QsTh8c4h2h AhTd8h8d8c 
Jd9d7d6d3s QdJd8h4s3d 8d7s5d3c2s Td6c5d4h3s 
KdQc7c6s2h Jc7h6d4d2c Jd7h5d4d3c 9h9c8s6d2d 
KdJh6h3c2c 9s9h8c6d2d Qh8h7d6s2c 8c7d5d4s2h 
QhJc8s4h3h Kd9d5s5d4h QdJd8d4c3h Ah7h7d2h2c 
QhTd6c5s2s Jh6d5s4d3c Ks6d5d4h3d Kd9d8c5h2d 
Kc5s4d3c2h 7h7c6c3h2h Td9d7c5h2s 9c6d5s5c4c 
AhKc9s6d2s Ah8s5s5c4s 9h9c7s5h2d Kc7c6h5c2d 
AdTh4s4d2d AhJd7s6s3s Js8d5s3h2d Js9h9d4c3d 
QcTc8c5h2c Qh9c7h3c2d Ah9h7h4d3h Ad8h7h7c3s 
Jc9c8c6h4c Kh9d6c5s3s QdJh7s4h3c AdQh8h5h2h 
JdTh7d6d2s Td6c4d4c2h AhQs4s3s3d Td6h5s4s4c 
QhJd7h4h3c Jh9d8h8c2h Js9s8s8c3d Jd9s6s6h4c 
KcJs8c6h2c Th6c4h4c2s Td8s8c6d2h Ts9d7s6h2s 
Tc8s4c2s2d 8s7c5s4s2h Kd6c5c3h2h KdQs5c3d2d 
JdTh4d3c2s Jd9c4d4c2c Qd6s6c5h3d Th9d9c4c2c 
AdTc7h3s3h 7d6d5d4h2c Qs7s6s4h3c 8c7s4s4c2h 
Qc3s3c2s2h QhTh3d2h2d JdTh8h4h2h Kc8h8d7c3s 
6h6c5d4h2s QhTdTc3c2c QdJs8c6c2h KdTd5d4c3d 
9s6s6d3c2c Jc9h5s4d3d QhQd9h3c2h Td8h7c6s2c 
AcQh8h6h3h Kc6s5h5d4h 8h7s4h3s3h Ah9d8s6c3s 
Ah7h7d2s2h Jc6d5c3h2d QdTc7h5s2d QcJh9c2d2c 
AsTc5d4c3c Qc6h5d4s2c Qh9s9h7c2d Qs7s6s4c3h 
JsJd5d4h2d 7h6c4c2s2h Jh9h6c3c2c Jh8h7s5d2c 
8s5h4c3s2h Js6s4h4c3c AsTh9d6d2c AsJh4s3c2s 
AhQd9s7c2s Kd9d6s5c2d 7c5d4c3d2c Qc6s5h5d4h 
JhTc6s3s3d Qs8c4s4c2h 8d7s5h3h2d Qh9d9c8s2c 
AsKd9s3c2s Kc9s5s4h2h 9h5c4c3s3h Jc6c4s4h3s 
Ks7h6c3c2s 9h8c4h3s3c Kc7h5s5d4s 9d8h8c6d3d 
Ks6d5d4c3d Qh4h4d3s3c 9h9c8d7s2s KsJc4d3h3c 
Kc9c8h6s2c KsTs8d4s2h Jh7c6c5s5c 9c6h5s5c4c 
Td5d5c4c2s Th8h8c4s2d Ks9c6s6h2d Qh9d6h4h3c 
KsTs8c4s2d 9c5d4h4d3c AcQs5d3s2h Qs5d4c2s2d 
TsTh7s3h2s Tc6s6d5c4c Qh7d5d5c4s AhQs9s6c2s 
KcTs5h3c2d As9h6d5d4d Qd9h4d3h2s Kd9s8d5d2c 
QcJs9c4d2c QcTs8h4d2h AhQh5h4h3h AsTd9h5d2d 
AsTs9h3s2s KcJh9s5d2s TsTc5h5d2s 9h8h4s3s3d 
Kd9c5d3c2d QdTh5s4c2c 9h7d5h2h2d AsAhAdAc5h 
Ks9d5s5h4s AhTc6c5s2d Js7h5s5d4s Js9s6d4h4c 
Td9s9h4c2h AcQc9c4s4c JdTd6c4s2d KdJd9d4h3d 
QdJs9d4d2c As8h7d5c2h Qc7d6s5h3d Qs7s6h4s3c 
Qc9h5c4s4d 8h8c6d4d3d KdQs5c4h2c AhKs7c3d2s 
Tc9c7d3h3c 7d6s4d4c2s 9s8s8d7s2c TsTc6s4s3h 
Kh6c5d3d2c AdQs5h4h2c Js9c6h6c3d 8h5d4s3h2d 
Jc8h6h2s2c Js8d7c5d3d Ad7s5h4c3h AdKc8d3s2d 
QcTc8c4h3c AhJc8h3h2s 8h7d6d5c2d AdQc6h6c3c 
Tc8h7s5s3s KsJd8c5h3c AsQc9d7h2d KdQh9h8h3s 
KdJc8s6h3c Ah7s4c3d2h Qs9s6c5s2d 8d6s6h5c3d 
Js7d6d5h5d AhTs8s8h8c Tc9s9h7h2h QhJd8s4h3h 
KcJh8d6h3s TsTd5c4c3h AhJh5d3h2c 8s8h7c4s3d 
KhJd7c5d2s Kc9d4c3s2d Jh8c5d4s2h AsQs9s4s4c 
Ks9d9c8c4h AhJc7d6d3d Qh9d9c7c4c AsKhTsTdTc 
AsJd8s3s2h Jd8d7c3d3c Qd9c6c3d2d QsQd8h4h3h 
Tc7s5s4d3h KdQc5c4c2c Jc9h6d3c2d AhTdTc4s2d 
8s6d5h5d3c AcTs6s5d2h 9d8d7s4s2s AdQd5d5c2d 
8h7h5h4h4d TdTc9c5c2c 4s4h3s3h2c 9h8d8c3s3h 
AcKc9s3c2h AcKd9h6s2h Jd6s4d3s3c Jh6d4h3d3c 
Kc8d7s6c3c Ac5c4h2s2c Ks8d7d3h2s JdJc8c6h2c 
8h5s4s2s2h Ad6d4s4h3d Ts9h6h3h3c AcQd7s7d3d 
8s7c4d4c2s Qd8s5d3c2s AcJs6h5h3h 8s7h7c4h3d 
9h8h6d4c3s Ah8c6s3d2h 9c7d6s5c2h KhQc9c7c4c 
9h9d7d2s2c AsJc7h6h3h Th8s8c6h2d AhTs7h3h2d 
Jd9h8s6s3s 9d8s7h6h2h 9s8h8c7d3s Kc9h7c5d2c 
Js8d7h4d2h JdTd8d3h2s JhJc8s7s2s JdTc6c4h2s 
JhJc6s4d3d Qh9d6s5h2h 8d5s4d3s2h AdTh9s5h2h 
Qh9s7s2h2c 9d6d6c3s2s Js6d5h3d2s Qd9c7s4d2s 
8d5s5d3d3c Qd9s5h5d4d QsTs7d6s2c Kh6c5s5c3d 
KdTs8h7h2h QhJd5c4s2c QcJc8s4c3h Ks9s8c4s2c 
AhTd9s5d2d TsTc8d4c3c Js6d5s3c2d Kh7s6d4c3c 
Ks9s8s6h4s AsQh9h6c2h AhQs7s3c2c QdJc6h3s3c 
Ad8h7s7h3c AsQd5c3h2d Ks8s8d3h2d Kh9c8d5d4s 
Qh7h6s4h3c KcTc9c3s3h Jc7s6s5s5h Tc9d5h4s3s 
Ks4c3d3c2s JhTc8c4c2c Tc8d7s6h2s KcQs9c7c2h 
Ks9s8h4s2h 9d6s5d4d4c AsKdTsThTc Js7d5s5c4s 
KdTh8c6s2s KhTs6c4c3c 9c5d4s3d3c KhTs9s2s2d 
Qc9d8c7c3s JcTh6h4s2d JsJd6h4c3c KcQc9d7c2h 
QdJd8c7d2h Qc8h5c4s3d Ks6d5c3c2d 7d7c6c3d2d 
Ad8h6s3s3h 6h6d4h3h2d Kc9s9d7h4h QdQc6s2s2h 
KcJh9s6s2d KcJd8c5c3c Qc8d5s5d4h 9h8h6c3s3d 
Ts7s7h6s3d 9h8s7c5h2h JhJc6s5d2d KcQs5s4s2s 
AhJs8d4s2c Th9d5c3s3d 9h9c7d5h2s Tc9d7h5d2s 
AhTh6d6c2h Jh9c6d6c3s QhTh7h6c2d Kc7h6d3d2c 
KcTc6d6c2h 9c7s5s4h4d AcQh6s4d3d Js9s9h7s3s 
Ts6h5s4s3d KhQs6s4c2s TsTd4d4c3d AsKs7s4s3s 
Jd8d5s4d3h 8s6c4s3d2d ThTd8c7c2c Kc7d5s5h4s 
Td8s6h3d2h Qc9s6h5c2c KsJd9h4c3c Qd3h3d2h2c 
AhQh9h4h3s Th8c7d6s2d Qh7h5s5d2s Kh8s7c6h3h 
QcTc4s4c3d KhJd6s6h2c KhTs9s3d3c Qd8d5h5c4d 
AsQc9d4d3h KdJc9s7s2h Qh6h6d3d2c AhKh7h4h2s 
AhQc9h9d9c Ah9d8s8c2c QhJc7c4s4d QcTd5h4c2c 
8d6d4h3c2c Kd9c5h5d4d KcJc3d2d2c Jd5h4s4h3s 
KsJs6h2s2h AdTc8c6c3c AdQc7s6c2h 8s6s5d3h3c 
9s9c3d3c2d 7h7c6h3c2c Td9d6c3s3d QdTh6h3s3c 
Ts9h9d4d2c Td8s4d2s2h Ad9h8h6c3s Qc8h8c5c3d 
Kh7c5s5d4s 9s7c5c4h4d 8s8c7h5h2d Js9s4h3h2c 
Qs3s3c2h2c AsTh6h6c3d AcKcQc6c2c Jc9c7c6c3d 
QhJc8d5d2d Ts6c4s4c2d Jh9d5h3s3c 9h7h5d3h2d 
QhJc8s6s2d Jh6c5d3h2c KsJd4h3d3c Qs7s5h4s2h 
Th9c7s5c2d QsJh9s4s2c AdTh9c5h2h As8d5d5c4d 
7c6c5d4h2c Kd9h7h5s5h Ts7s5h4s3c KdQs3h3c2d 
ThTd9h5h2h Th6c5s3c2h 8d6h5h2s2c QdTc5s4d2d 
AdQd9d4d3c KhTc5d4s2c Kh7s5s5c4s Kc9d5d4h2h 
QcJc7c4h3d AdQc5s3c2h Qc9c5s5h4c KsQd8d6c3d 
Jd7h5d5c4d QdTs6h5c2c 9s9h8d6d2d AcKs9d5h2h 
Qh9d8s6c2d Ad8c7s2s2c 9c8s8h7d3c As9d8d7c2d 
Jc9s8d8c2c AsKc9s3h2s 9s8d8c5c2c Qs6h5s5c4s 
Qs9h8h8c3d JhJd7c3s3c Ks6h5d5c4d AdJs6d2h2c 
8h7s5d3d2h QhJc4h4d2s Ts9h5d5c3c QhJc9h4d2h 
Kc8s8h5c3d Jh9c8s6c2d QcJs4s4d3s Jh9c7h4s3h 
9d8d4s4h3s 8c5s4h3c2s Td9s9d7d2d Kc7s6d4h3h 
Jc9s8h7h3h QsTc3d2d2c Qs8d5d2s2d AcQd8d4h3d 
AhJh5h3h3c 9s9d8h6h2h Ts9s6h3s3c AsQsTs7s2s 
QdJh4c3s2d Jd9d4c2s2c AdTh4h4c2c Jh9h5h5d3c 
8c7d7c3s2d 8c7h6s3h3d AcTd8d4d2h Jd8d7c5h2s 
Jc7c6c5d3c Kc5h4d3s2c Js7h5h5c4d Qc6c5s4h2d 
KcTd8h5d2s Jd7d5c3c2s KcTs8s6d2s Qc9h7d6d3d 
Kd8d8c3c2h KcJh8d5s3d QcJh6s6d3s Qh9h9c3c2h 
Ks8c6d5d3h KsQhJc7d2c 8d7s7d6d3h 8s6c5d2s2h 
AsQd5h4h2c Qh8c7d3h3d JhTh7s3h3c AsQs9s4s4h 
Jh9c6d6c4s Qs9h4s3h2c AsQc9h5d2h Qc8d5c4s3h 
Tc9d5s4d3d KdQh9h5s2h KcJs8h5d3h 8h6s6d3h2s 
Th9c6c3d3c Jc9d5s5h3d AhJs7d6d3d AdQc8c4h3c 
Kh9c6h5h2s QcTc8c7c3d 8c7s5d3c2s Tc8h5h3c2s 
9h6s5h5c4h Js7d6d4s2d Th7s5d4d4c AcTs8s4s2h 
KhQd7d6s2c Ah8s6d5c3s Js7h5d4h2d AdKd8d5d3d 
QdTs9h4s2s JsJh8s6c2s QsQh9h3c2h QdJh6s3h3c 
KhJd9c5c2c Kh8d7c6h3h KsQc8s5s3s AsTh5c4c3d 
Ah8s6c5d3s Th8s6h4h3d 8s5d4s4d3d 9s8s6c3h3d 
Kh9s9c6d3s AdQs6c4c3h Qh8s8d6c3h As7d6h3c2s 
Td9d6s3d3c Tc6s5d5c4h KcJd6h4h3s Jc9c8d5c3c 
Qs8d5s4h3c 7d6d5s5h3d 8d7h5d3h2s Jh7d4h4d3d 
Kh8h6s6d3c AhKs7c3s2d Qh8h5s5c4h Js9s6h3h2h 
Ts8d7s7h2c JsJh7c3d3c 8d5d4c3c2s AsQs7s5s2d 
KsQd8d5h2d KhTd9d3d3c AdTc9s5c2c KdTh5c4s2h 
Td5h5c2h2c 9d9c7s3s2d 7h6s4s4c3d 7s6d6c4s3s 
Jh8h8d7s2c Kd9c6d5d2h Ts5s5c4c3c Th8d7c6s2c 
Tc8h8c4s3c Ks9c4c3s2d 9h8d4h4d3c Qd8d8c2d2c 
Kh8s6c4s2c 9h8d7h7c4h Js6c5s3h2c Qd8d7d6c3s 
Kd8h8c6s4s Kh8h6d2h2d Tc8c5d3d2h Qd9d8d5s5c 
Th9s7h6c2h Qh9h6s5h2c Tc6s4h3s3h KsJc6d3c2d 
Ks8d6c4d2c KdQd9h7d2c Ad9d4s4d2s 8s8c6s4h2s 
QsJh6c4h2d Jc6s5d2d2c Jh9h7s7h3c Ac7c4h3s3c 
6c5c3s3h2h AdQd4d3s3d Jc7d5h5c4c Kh9c4h4c3h 
Kh7h4c3s2c Qs8d4s4d3d JcTd7h4d2s Js9s7h3d2d 
Ts7h6d4s3s AsQd7c6d2h Jh9c6c4s2s Kd7d4c3c2s 
Ks8s6d2s2d Jh6c4h4c3c Jc8h5h4s4d Jc9c4h3h2s 
Tc9c6c4d4c QhJd7h7c3s 9s9d5c2h2d AhTs8s4s2d 
KhTh9h3d3c Tc6d4h3h3d Td9d9c7d2d AdQs9h5c2h 
Ts9h8d5h2h QhQd7s6s2c Kh9d9c5s5c QcJh8s4c3c 
KhJd7d4c3d KhQd8d6s3d 9d6h6c5d3d AhQc8c4d3c 
Jd9s9c4h3c AdTh5c4h3h Tc9s9h4h2h Qh6d5s5c4c 
KhTs5c4d2s AsQh9d5c2d 8d8c7s4c3h Ts7s5c4s4d 
Qd9c6d5d2h Qs9s9h3h2s KhJs9d5d2d Qd9c7s7h3d 
9c7d5s4d3d 8h6c5s4c3c Js9h8c7d2h Kc7d5s4c2h 
QsJd5d3c2h QhTs5h3d2c 9h9c8s6c2c Js9d4d3h2s 
Tc9d3s3c2d AcQd4h4d2s AsQd7h7d3d Td8d6s6h3c 
9d8s8d7d2c KsQh8h6c3h Jc8c5h4c3s 9h5c4s3h3c 
Td6h6c5d4d Jc8c6d4s4h JsJc8d4s3s Kd9h9c4s4d 
KhJs9d6d2c Jh8s8d5d3d QdTs6h6c2d QdTd4d4c3h 
AhQs6c4d2s 9c7d6c4c3h Ts5s4s4c3c Jh5c4d4c3d 
AcJd9d4h2s KcTh9h9d9c 8h5s4h2s2h 9d7h6d4d3c 
Kd9s9c8s4h Jd7h6h5s5h Ac7c4d3h2s Kd6s5s4c3s 
AdQs7s3h2h 9d8h7d7c2s AcQs6d4d3h Kh7h7d2s2d 
AhQs6d4d3c Qc9d7s5d3d Qc9s9h8d3s Ts8c4c2s2h 
Kc6s5d3d2s KhJc6c4s3c 8h5c4h3c2s Jh8s5h3d2s 
9h6h6d3c2c Jd7h6h4d2h Td9d7d4h4d 9d8d7c4c2c 
QsTd6d3h3c 9d8h8d7d2s Kd9c8h5s4s Kh9s8c5c4d 
JcTc7s5c2d Ac9d7s4h4d ThTd8h4h2s Qd7s7h5h4h 
QsJs7s6s4s QsJd5h4c2c KcQd5s4h2s AcKh7s3d2h 
Kc9c5d3s3h Jh9c8s2h2d Ah9d8d6c3s Kc8s8d5c3h 
Ad7d6s6c2d Jd8d6s5d3h 6d5s5h4h3c QcTh8s4d2s 
KcTd8d6h2d Qs6d4h4d3h Kc7d5s4h3h Ah9h5d2s2c 
TsTd8h3h3c Qh9s7c4h2c Kd6h5h3c2c QsTs7c6s2d 
KdJs7c5h2s Ad7s6d4d3d Qs6c4s4d2d Tc8s5c4h3d 
7s5d4s4h2d Kh8h6s6d2c KdQc7c4h4c 9c8d4c3h3d 
QhQc8d3s2c 9h6h6c3s2s Tc7s5c4h4d 9d8c5s3c2s 
KcQd6d4h2d Kh9c8h5h2s 6d5h5c4h3s KdTd6h6d2s 
QhTc6d5d2d Kh9c8h5h2d AhQh9h5h3h KdTs7s6s2c 
Kc6s4c2s2c AcQs9s9d9c Ad9h6h5h4s Ad9s8c6s3s 
Ts9d3s3h2d Ts7h6c4s3s Jh9c8h7h3h Kh6s5s4d3s 
9d7s4s4d3d As8c5h4h4d 9c7s7c4d2d AdKs7h3c2s 
AhTd9c5d2d Jh9h7h7c3s Qs9c7d4c2s KdTc8h6s2s 
Ts6c5s4s3d KcJd8c4c3s KsQs9s8h3s AsKh9d5c2c 
AhTs9d2d2c Ac9s6s5d3h Ks9s8d5c2s KcTd9d3s3d 
Qd6s6h5c4c Th8h7c6d2h Jd8d5h4d3s 6d6c4h4d2d 
KsQh8d7h3c KcJc6h3c2h Ac8s7s7d3h Qh9s9d7s3c 
KhJd8d4c3s KcTh8c3s3d Qs9h9c8d2h Js9s9d2s2c 
Ks8c7c3d2s 8h7c6c5s2c AcJs8d6d2h 8h7c5d4c3c 
Kc8s8h6d4d QhJs8d6d2c KcQcTd3c2c KhTd8d5s2c 
As5d4s3s2c AcTd5h3d2h Kd7s5c4h3h AsJd4s3c2s 
6h6d5s4d2c 9h7s7d4d2h Qc7s5h3s3h JdTs5c2h2d 
Qc9h7s4h2c Kc9d4d4c3c Jc9s5c4d3c 9d8d4h4c3c 
AdTc9h2s2h 8s6s5c3h3d Jh9d7s7c4s KsJd7h6h3h 
AhQd9h9d9c Jc8s5c3d2s QsJhTs7s2s 8h7s5s4c2d 
Qc9c7c5d3c Td8d5s3s2h AcQsJs7s2s QdQc7s5h2s 
Tc8s5d3c2s 7h7c6d5s2h Qs7d5d4s2s KsQc9c8c3h 
9s5d4d4c3s Ks7s7c4c2s Ts7d7c4s2d As8d8c5h3d 
Kc9d8s5h4h KdTs8h4s3c TsTc8c6c2c 7s7h4d4c3d 
6d5c3s2s2d Ks9s8c6h2s Kh7d6d3h2d JhTh6s4h2d 
Kd9d6c5s2d Jh6c5c2h2d 9s8d5d3d2s AsKd5h3h2c 
9c8s7s6h2s Qc9c8s8d3c Qd8d8c5d3h Td9d7s6c2d 
Qh9s8h7h4h Jd7s5s5c4h AhJh8h6s2h KcQd9d5d2s 
8d7h4s4h2d Jd8s8d7h2c 9d9c8h7s2s Qh6s6h3s2d 
Ks7d5c4h3h AhTs9d6d2c Ts7s6s4h4c 7h6h5h4d2c 
KdTs5h3c2d Kh7s5d5c4c Th9c5c4s4c QsJh9c6d2c 
Kh9h8d5c2h Qh8c6h4s3d Kc6d5d3h2h As9d7h4d4c 
KhJd9s4c3c 9h8d5h3d2d 7d5h4c3d2h KsQh8d6s2s 
8s7h5s3s2h 9d8d5s5h4d Th7c6d4h3h AcThTd4s2d 
Jd8d7h5d2s KsTs5s4c3s KhTd6s4s3s KsQd8d5d5c 
QdQc8d3s2h KdTsTh6h2h Kd7d6c5d2h AsJc9h4h3h 
Ts8s7h4d3c KcQh8s3s2h Th8s8c4c3d 9s8h4s3h3d 
Ac9h9d8s2s Qs9c7c2s2h KdJs8s4c3h JcTd8h2s2h 
QhQc8h3s2d QcTc6c5d2c KdQd7h2s2h 9s7s6h4h2h 
8s6s4d3c2c 9h8s7d6h2h 9h8s7c4s4d Jc8c5s5c4c 
Td9c6h5s2c KcQs9s7s4s KdTh9h4c2h Kd9s4d3c2s 
Kh8c6s5s3d Td8s7h7d2c Kc9s6c5c2h QhTh6h5h2c 
Qd7h5d4s4c Qs9h9d8c3h Qc8c7d7c5c 7d6s6c3s2c 
Ts9h9c7c2c Qc6d5s5h4s 8h7s5h3s2d Th8s7d5d3d 
AhTc5d3s3c JhTh9h3h2d Qd9d6c5d2s KhJs7d4d4c 
Tc9c7h6d2c 8s6h6d5c3s KsQh8h5d2h Ac6h6c4c2s 
Qh5s5h3d2d Ah5c4d3d2c 8c7h5d4s2h Ts9d9c4d2h 
AcTh8h4h2s 9s9h7c6c2d 9d6h5s5d4d JsJc6d4c2h 
9d7c4c3d3c Qh8h5d5c4h KhTd4s2s2d KsTh8d8c2h 
QcJh4d4c2s Jh9h4s4c2c Ts6d4h3h3d AcKs7d3s2h 
AdJs4d3h2d Jc6h5s2h2c Js8c7d5s2h Jd9c8s7s3s 
Jd6c5s2s2d Ad6h6c5s3h KsTc7h4h3h 9c7s6c2s2c 
KdQd9c5d2d KsJd7c6c3c 7d5h4c2h2c AdQs7s5c2s 
QcJc4s4h3c 8d6s6h3d2h Th8c6h3c2s QhTd8c5c2c 
9h9d8d7d3c AdJd5d3h3d Js6h5h2s2d KsJc4d4c3h 
Jh5c4s4h2s KsQd8s8h2c Qh9s6s4c2c 9c7h7c4c2h 
Jc9s9c7c3c AdTd7d3c2h Jd5d4h4d3h Tc9s5h3s3d 
Qs7c6c5c3h 9c6c5h3s3c QsJh8c7s2s KdQs8s6h3s 
AdKh7s3h2c Ts9d6h5c2d KdJs7h4h4c 8c6c4d3s2s 
Ad9d6s3c2h QhJh8h7c3s 7h7d6s5s2c AsKs8s4s2d 
KdJc9h5h2h Th8s7c5c3c Qs9d9c5h2s Qc8d4d4c3d 
Jd5c4h4d2h KsJs9s9d2s AhTc8d4s2s AcTh7c3c2s 
KsJs9s4c2h KhJh6c3h2c Jc7c5s4h4c 9s8s5d4h4c 
8c6c5s5h3c AcTd7d5h2s Kc6d4c2d2c QhQc9h3s2h 
Jh9h6s4d4c QsQd6c4h2c Ac8d6h5s3d Th7s7h5c3h 
As7c6h3d2s KhQs3d2h2c Qs7h5s4s2h Th5s5h4d2s 
Ad7d4s3d3c 9s5c4c3s3h KsJd6h4c3h As9h9c6c4c 
Js9c4c3s2h KdJc7h6h3h AhKc7d3s2c 8h7s7h6h3c 
Tc9d6h6d2s Jc9s5c3h3d TdTc5s4d2h Js6h5d3s2h 
Kc9c6d5s2c KdTd6d6c2s Jh8c5s4d3h QsJh7s7c3d 
Td8d5c4h3s AsQh7h7d3h Ad6h6d4d2s As5c4d3s2s 
AcJc6s2h2d Jh6s5c3s2h QdJd8s7d2c KsQh8c5d5c 
KsTd8d5h2c 9s8d7d6h2d JcTc8h8c3c Td5s5d4h2s 
AcTh7h3s3d AhTc7h3h2s 9d8d6d5d2s KdJh8h4s3c 
AcQd4s3d2h Qs6c5h5d4d JhTd6d4c2s Js9c8d7d3d 
9h8h4d4c3d Tc7s7h4c2s 8d7h5c4h2s Tc8c6c4d4c 
9d7s7d4d2s AdQh6c4c3s KhJh8d3h3d KdQs9d3h2c 
AdKc8s3h2c QsTh8d3s2c Kh8h7s3c2s JsTs6h4s2c 
As5c4s3s2h Td9h5c4s3s Jd9h7s4h2s 9s6s6d3d2d 
Js8s6d4h4c QsJc9h3d2s 9s8d7c5s2s Qs5s5h3c2c 
AcJh9d4d3d As8h8d5c3h 9s9c4c3s2h TsTh5d4c3c 
KsQh8d7s3s Qc9d8h5s3h AdQc9h7s2h Qd9h6h4c2c 
AsQh6h6d3h AcTh8d4s2s Jd7s6h4d2h KdJs7h6h3h 
Qd6c5c4h3s AsTd9c6c2h TsTc8c4d3c Ks9h5s3h2s 
Ah9s9d5c3c Ts9c6h5d2c JhTs6c3d3c 9h9c7d5c2s 
Qd8s4s4d3s KhQs5s4s2s Kc7c5h5c3s JsJd7d3h2h 
AsJh9c4c3c JhTh7d3s3h KhTc9h9d9c QhTd9c4d2d 
Td8d7c6h2d Js5h5d4s2h Jd9d8d5d4d Jd7d5s4d3h 
Ts8c4c2s2d Ks6s4c3c2s QdJd8d7h3s AsKh8s3s2d 
Kd7h5c4s3s Jc7h6s4c2s Ts9h8c5c2c KcQc5s3c2h 
7h6h5h4c2d QhJs8c5c2c AhQh7s5h2h 8h8c5c4c3c 
Tc9s9h4s2s KcJs8c5c3c Jc9d8s6s3s QdQc9c3s2c 
Qc9h7h4c2h AcQc7c5c2h KhQh7s6d2h Th9c8h4s2d 
KcQd6s4s3s QdJh9d7c2d As8c5c4d4c 9s9c7h5c2d 
KhJs9c5c2c QhJs9h2h2c 8h6h4c3d2c 6d5s5c4s3h 
QsJc5c3d2h Tc7s7c3h3d KhQh7c6s2h Td6s5d4d3h 
KcJd6d4d3h Jh9d6h5h3h Th7s5c4d4c AhQc6c5c2d 
AdTh8h8d8c Jc9h9d4s3h Ts8s7d6c2s KsJc9h5d2h 
Ts9s7h3s3d KdQdJc6d2d Qd8h8d4s4d Qs8h6s4d3c 
Js5s4s4d3d Qd8h5s5c4s Ks7d5h4s2c QhTd6c5c2c 
JhTh9h5h2h Ks9c7s5d2s 8h5s4s4h2s AhKs6c4c2c 
Qc9h6c4c3s Ac3s3c2h2c QsQd9h3c2h QsTh5c4d2d 
9c7s6h5h2d Ad6s4d3d3c As9d4s3h2c Td8s8d7d2c 
AdKc6s4s2h Qd7d6d5d5c Qh8d4d3s3h KdJh9s4c3c 
QcTh5c3d2s AhTc7d3s3d KcJh6c3s3d KhTh7h7c3h 
Js9c7h3s2h Jd6h4d3s3h Kd9h5d3s3c JcTc7c5c3c 
Jc6d5h2d2c QsTc9d4c2c KdQh6s6c3c Ac9s7s6s4s 
KcJd9s7s2h KdQc5s5h2c AsJc6h5h3h 9s9c7c4c3d 
QdTd8d5d2c Ah9d8c5d2s Qh9h7c3c2d 9d6d5s3d3c 
Kd9d6d5h2c Ad8h6d3d3c 7d5c4d3c2d KsJh9d4c3c 
Js9c7s4s2c Kh8c6c4s2s Qh8d5c3h2c QcTd8s3c2h 
Kd9s7s5h3s KsQsJs8s3c Th8c7h5d2s KdTh9h3s3c 
Ts9s7c6h2s KhQd8d6c3d Qs8h5h2s2h Ts6h4d3h3d 
Kh9d8c5s4s 7s6d5c4h2d AdTs8s6s2s QhTh7h6c2s 
Qc8h6s6d4h Tc9d5s4h3h Kd8d6d5s2c 8s7c5s3d2c 
QsJs8s4d3c Th5h5c4c3c Tc9h3h3c2d JcTc9c5c2c 
AdTd4d4c2h Ah9d9c5s3s Qh9c7c4h2c Jd7c5d4s3d 
