Jc9s8c5d3c 
AhJs9s8s3s KhTsTc6c3c KsQh7h6h3c AdTs9c5h3c 
Kc8d7h6d4s KcJs9h6d4h As8s7h6s2d Js8s6d4h2d 
QdTc6d5d3d KhQc8c5s4c KsQdJd9d4d AhKh6h6d2s 
Ah6d5h2s2c TsTd9h4h3c Qd8d6h5s3c QcJc9s9c2h 
JhJc6c3h2d JdTh5d3s3d Ks9h8s6d2c 9d9c6s3h3c 
AsTc3s2s2c Js9s7d7c2d 7d7c6s4d2c QhTd8h5h3s 
QcJs6d5d3d Th8h7d6s3c AhKh8h4h4d KdTc9h5h4h 
QsJs7d6c3h AdJs6s5h3c QsTs9h5s2d KhTs8d4h2c 
Qd9s6h5d3d AsJd9s6h2s 9d9c5c4h4c KcTs5c2s2c 
6d5s5d4s3s Kd6d5s5d4h QsTs9s9c4s JdJc6h5h3s 
QsJsTs9s3s 8c6h5s5h4d Qh9c5h4s2s KdQh8s4h3s 
QsQd7d6c2h Ac6s6c2h2d Kh6d4h3s2d AsTs7c6s2d 
QcTh6c4d3c QsTs7c5s2c As7d5s3d2s Jh8s6c4c3h 
Qd9s8h5s4c QdTd7c5d3h AdKd6d6c2s Jc8h7c4d3h 
9d9c8c5c4h KsJdTs5s2s AcTs7d6s3h KhQs8s3s2h 
Td7d6h5h2s Ac9c5s5h2d Qc8d8c4s3d KdJd7d4h3c 
Qh8c7c5d4s AhTs6d5h2h Qd8c7d6c2c AhQd9s4d4c 
9s8h6h5h5c JhTc7c4s4d Ks7c5d5c3d JsTc7s4s4h 
QdJc8h5d3d KdTc8d7h2d JhTd9h8h4h KcQs8d4s3d 
JdTs5h5c3c Jd8h5s4s3h Qd8s7s5c4h AhJc8s5s3d 
KcQsJh8h3d AcTc9c7c3c KdQcTs8h3h JhJd7d6c3d 
Td9d6d5s3h Jc7h7c6c5s QsTs8h5s3c Td9s7d5h3d 
KhJd8s4d2s QdJc9c7h4c KhTdTc8s2c Ts9d6s5h5c 
TsTh7d6h3h 9s9d8h4h3d Ts8h6d5h5c Ah9s9h4d2c 
9s9h7h4c2s 9s9c8d4c2s QsTc6s3s2c 9s8d5d2s2c 
Ts7d7c6d2s Tc9c7d6c3c QhJc9d6s2h Ks6c5s4s3d 
JhTh8s8c3d 7h7c6c4s3d Qc9h9c4d2d As9c8c6h6c 
Kh7c5s5c3s 6d5s5h4h2s QdJc9s9c4c Ks9c6h4s2h 
JdTh5s5c3c 9s9c5d3s3h KsTs9s5h2d AdQc8s6h2c 
KdQhQc8c3c Ah7d6d5d4c JcTh9c8c4c AhQc7c4d3s 
KdQs8s3s2d 9s8c5c2s2h KdTd4s2s2c KsQd6s4s4c 
9h8d6d5d5c Qc9d7h3d3c Jd8h6h4d2s KsTc5s3c2s 
Qh8s6s5s4c Js9c5c3s2d Qd8d6c5h5d JcTs8c5c2h 
9s8h7d5s3c AdKsTh5h2h Kd9c8h6h2c KdQh9d5s5c 
Th8s8h4h4c Ad9h6h4d2d Qd7c6h6c3h Qh7s7d4d3h 
Qh8d5h3s3d 5s5d4s2s2d Jc7s5h3s3c Qs8d7s7c3d 
9s9d8h7s4c KdJs8h4s2h Kc9c8s8c5d KdQsJs6s3s 
KcJh5s4h3d Ad8s4s3s2d JhTd7h4s3h QcJc9d9c2h 
QdJs9s9h4s Kh9c6d3h2c JhTc9h5h2d QsTd5c4h4c 
Ks9d8c7s2h Kh9h7s3s3h Jh8h7h5s4h JsJc5s4s3d 
9c7d6c5c4c Jh9d6d5c4s 9d8d5s4c2c Ac9h5d4c2s 
8h7d5d5c2c KcTc5s4h3c Ad9s9d4h2c Td9d7h7d3c 
Qd9c7s3d3c KcTh3h2h2c QcTc7c5s2s Ts8d7s4d3s 
KdJh9c8h3s Td9h6d3h2s KsQcJh7s2d Qh9d5d4d2h 
Jc9s6c5d3c JhTd6s5s3s 6c5s5h4d4c QsTs5h4c2d 
QhTc5s4h2d 7d5c4s4c3d 8s8h7c4s2c Qd9s7d6h3c 
AdTc7s6h3h QcTs4s2s2c 9d8d6c4c2c JcTh8s6d3s 
Ah6h5d2s2c Tc9d5s4s2d JhJc9c4d3c JdThTd7d2c 
QcJh9d8s4s AsQdJc3h2h KdTc6s5s3h AdTd9d7d3d 
Jh9h7d3d3c Ah9s7d6s4c QsTc7s7h3d Qh9d6h4c2c 
AdKc5c4c2c As6s5h2d2c AdQhJc7s2c Jh7h7d4c3c 
KdQs9d4c3h KhQd8s5c2h Jh9s5h4c2c Qc9d6s5d3h 
KdQh8h5s4h Ts9h8d5s4s AsQh8s4c2s Qc8c7s7d5h 
KsQh9d6c4c Qd8c7h7d3c KcQh8h7s4h As9c7s4h3s 
KdTsTh8d2d JdTc9c3h3c KdQcTc4c2s 7h6s4d3s3d 
KdQs8h4s3h AhKh7h5h2d AsQc8d2d2c AcJd6c4h3c 
Th8s5s4s2h Th9h8h8d5s ThTd9c6s2c Js7h7c5d4h 
JsJdTs6s2c QhTd8h5h3c AsQs6s3d2d KdJs8c4s2c 
KdJs7d5h2c JcTh6h4s4h Ac6s3c2s2h 7h7d6d4c3s 
Qs9h8c3s3h 9d8c7d6h3s Qs9c7s7d5s KcJs5s4h4d 
Qs9d8d6h6d KdQd8h8c5d KcJh6c5c3c Th8d7c4d2h 
Kd9c8c3d2s Ad8s5d3d2s Qd9d8s7h4c KhQd9h8c4h 
Td9s6d4s2s Qd5s5d4s3s KhTd7s5h2c JcTs5c3d3c 
KcTd7s5h2c Tc9s6c5h5c ThTc8s7h3d QcJd9s8d2d 
Ad7s7c5s3h KhQh5h4h3c TsTh8s7c3d AsQs9d8s2s 
JhJc9s6d2h JcTd9h5h2h 9s9d6c4d2c Kh8s6s5d2d 
JsTh9c6c2d Ts9c7c5d3c Ac9s3s2h2c Kd9s8s3d2h 
JhTc8s8d3h Js8d7h7d3h 9c7h7d6d2h Kc6d5c4c3s 
ThTd8h7c3s Js9h4h4c3s Tc8h7s7h5h AhKd9s6s3c 
AcTc7c6h2d Ah9d3d2h2c KdJd3s2s2c TsTd9c8h4h 
AdJsJdJcTh KcQcTs3h3c JsTsTc7s2h Ah8d6c2s2h 
Qc7h7d4d3c Jd9c7d6d4h KdQh9s8h4c Tc9h6s5s4s 
KdJh9h6h4s QcTs6d4h4d Jh9s8d5s4c Jh7s7d3h3d 
KsJc8h6h6d KhKdKcJc5d JsTc8h8d3s Th9s7h5c3h 
JhTs9h6c2h Qs9c7s7c2d JhTd8d7d3d KhQd9s3s2d 
Kc9s7c4d2s KdJh9s5d2d AcQh7h6h3s Th8h7d5d2d 
KhQs6h4h4c 9h7c5h5c2d Jd9d6d5c2c Ah8s4h3s2s 
9h8d7h5s5c 6s5c4d2s2c QcTc9c5c3s 9h8s7h5d5c 
8s7h6c4s4d Qd9s7d6d2s QsTh5h4h4c Jd7d6h6c5s 
KhJs6c5c3d Kc8d8c4h3h 9s8d6s4d2h AcJs6d5s3h 
JcTs8c5c2d Ac9c7d4d2c JcTc9c4h2d Qd7c6d5c2c 
9s6h6c4h3c 9h8d8c6s4h Qd9c5d3h2c QhTd7d4s2s 
KsTs7d2d2c 6c5h4s3h2c QcTs3h3c2h Qs8h8d4d3s 
ThTd9s8d4d KcJd8d6d4s Ad9s7d4h3d KdQdTc3h2d 
Td9c6c4c2d Qc9s6d5s3h Ts9s6s5d3c Ah7s6s5s4c 
Jc8s7d4s3c KhTh5d4c3h KdQs8c4s3c QcTd9h4s2d 
9h7s7d6d2s Jh7s6s5d2h Qc8d6s6h5s As7h7d4s2c 
AhJc8d8c3s KdQc8c5h4c 7h6s5d4h4c Ac6s5h3s3h 
Td9h8c7h3s Jh7s7h6s3h Th9s7c2h2c Th9h9c5h3d 
JsJh9d6c2h Ah9h7c3h3d KhQh8s5d2c QsTh7c3h2s 
Th9d7h2d2c Qs6c5h4d3s AdQs5s5c3s 9h9d5c3s3d 
7s6s5c3s2c 9h8d6h2d2c KdQd5s3h2c 9h8c6d5s3s 
Qc9c8s4h2s JdJc5c4c3s Jc7h5s3h3c Jh8c6s6c5d 
9d8s6d2s2h Jh8s7h5h4h JcTs3d3c2d Kc8h6d5s4h 
Tc9d4d4c3c Jh8s7s7h3s KsQc9h3h2c Ac9c5s5d2h 
JcTh9h4s2h Jh8c7h5s3d AdQcJh7s2h KhTd8h7c2h 
Ad8h6s5c4h KdTsTh6s3s KhJc6s5s3d Qc9s9c5h5c 
Tc9d5s5c2s Qh9c6d5c3s QcJh5s3d3c Qd8s8c6s2c 
AdQh9s4h4c Tc9s5d4d2s KhQh8h6h4c Kd8h7s6c4c 
AhKdTc4s2s Qh9d6h6d2h 9s9d8h7d4c KhJc6h6d3s 
AhTsTc4s3d AcJc6d5c2s 8d7h6c4s4d Kh9c8h4c3c 
KhTs9s8s3c Jd8s7s4c2d KdTs9d6c2d Ad9c4c2d2c 
QcJs9h6d2c Kh8c7c6s4c JdTh9d8d4d Qh5s5h4s3s 
TsTc3s3d2d Kc9h8s8h2s Kd9s6d4s2s Jh8s6s6c5d 
KdQh5s4d2d TsTc9h8d4d Td9c8h6c2s JcTh7c5c3c 
Ac7s7d4c3c As6d3s2d2c Ac8h7s6h2s 9d8c7h7c5c 
9c7c6c5c4d Th8d5h5c2d KsKdKcTs5c Kh8s7s6c4s 
Kc9h8s6h2s KsTc3s3d2d QcJc8c5d3s QhJc6h3c2h 
AsQd9d6c3d Th7h6c5c2s 9d8d6s4d3s Ks9c6h5c4d 
Jh9c7d6h3s QhTh7c4s4d AhKs5c4c2d Ks8d6c5s2h 
Tc7d6s6c5c AcKc9c6h3c QhJd3d2h2d AhTh7h6s2c 
8c7h5s5d4d QcJs3h2h2c 6s5c4h3s2h 9s8h5h2s2d 
QhJh9c5h2s AcQs8h5h3d Jh9s8d5s4s Kd9s6c4d2c 
AsKhJc6c2d 9s9c5h5d3d KdQs6h5d2d AsQs7h2s2h 
JsTs9s4c2d Jc9s8h5d3c 7d5s4s4c3c JhTs4h3s2s 
AdTs7h6s3c Tc8h7s7c4c Js8d7d7c5d AhQh9d7h3h 
AsJd9c3d2c As9s9d7s4s Ah7c6d6c4s Jd9c8d5s3d 
Ah8s8c6s2c JdTd4d4c2c KsKc8s3d2s AcJs8d6d4d 
AcTh7s6h3d KdQd4s2s2d AdKs9s3h3c AsKh9d6d3c 
KcQh5d4s4d Th8s7d3s3d JdTc9c3s3c Jh9d6d4h3d 
Kh8c5c3h3c 8s6c5d5c4h As9d5c4s2h Tc9h8s6d3d 
KdQc5s4d2d KdJsTc6c2h KdQs7s5c3s KsJhTd6d2c 
Tc7s7c4h4d Kc8d6h5s4d Qd9s7c3s3d KsJs8d3c2c 
JhTh5s5h3c KcTsTh4s3d QcJc8s3h2s Qd8d6d5d4c 
JhJc5c4c3d As7c6h6c4d Ac8c7c4d3h Qc6s6d5h5d 
Qs9d7d6s2s QdTc9h7h3h AcQd9s4h4d Kh9h7h7c2c 
KsJcTd6d2h Kh7h7d4s4c QcTd8d7d4d KsKhKdJs5d 
Qh8h8d7h5s QcTh9c6s2c As9h9d2h2d Td6h5d4h3d 
Qh9c6c5d4s 9h8c6d5h3h Ts9h5s5c2c AsKd9h6h3c 
KdJd7d4c3h AhTc5h3h3d Ac8c7d6c2s QdJc9h5s5h 
6h6d5s5h2c KdQs8s5c4s 9h8s6d2h2d Qc9h8d5c3s 
JdTc9d8d4d JhJd9c6s2h Ad6h3d2h2c 9s9d5s5h3s 
Jh9s7h6h4d KcJs6h6c3d Qs7s6s4d3d Ks9h7h4s2d 
Ac9s7s5h2h JcTd8c4h3c ThTd8s6h2c KhJsJh6d2h 
AcKhTs3d2s Js9s5c4c2c Js9h7d5s3s KhTs9s6c2d 
Jh8d6h6c3d AsQh9h6d3h Ks9d7c6s2h 9d9c8d5d4h 
Jh8s5c4c3s KdJs8c5c4c AcTc4d3c2d 8d6c5h4s4d 
Kc9h6s5c3c JsTd9d7h2d 9d7d6d5d4c AsThTc4h3d 
7s5h5c2h2c 8d7d6h5d3c KdQdTd3s3c AcQd8c4h2c 
Qd8c6s6c5h AdKh8h7h3h AsKh5c4c2d 9d7d5h4h2c 
Qs8h8d6d2h QhJh9h4c3d AhJc9d5d3d AdKc5h4h2s 
9h9c6d4d2c JsTd9c7s2s QhTh8h8d5h JsTh6d5d3d 
Tc7h7c4s4d KcQdJs8c2c KcTc8h8d3s KhTsTd4d3c 
Tc9h8h3h2c QsJcTc6c2d 7h6s5h5c2s Ad9d9c4h2s 
Qh8s6c5s4s Ts9s9d7h3s KdTd9h8d2d AcQcJc7s2c 
QdTh8s6c3s Qs8h7c5h3c Qs9d6h5c4d AhQc7s6c3c 
Qd9c8s7d4h KsTc8h8d2s AcTd7h4s4h Kc9s9h8h5d 
AcTd5c3s3c 9d8d7d5c3h Kd6h5d5c4d JsTs7d3h2d 
KcQhJs6c2c QcJc9s5c2d KcJd5d4h3s Qc8s7h5s3h 
KcQd9c8s4c KcQc4s2s2c KhQd6h4s4h KcJh8d5d4d 
Jd9d8s4s2s Qh7s7c4h3s 8s6d5h5d4c Ah8s8d4h2c 
Jd8d7d7c2c Jc9c5d4d2d Ts9s7s5h5d 9s9h6h4c2c 
Th8s5h5c2s QdTh9s5s5c QhTh9d5h2c Td9c6d3s2c 
Jc8c6h4d2h KsJdJc3c2h KsJc8h5h4h Ah6h6d5c2h 
9h7s7d6s3c 8d7s6d2s2h KdJd8h5s5d KdQcJs8d2d 
AhTd5d4s2s 8c7d6c2h2d QdJh9d5c2d 9d8h7c6s3d 
JcTc7c5s3c Qs8c7c5d4h 9c8d5s4s2c JsTdTc6h2d 
JhTc8h5d2h 7s5c4h4c3h KcJc9c5h3c Th9d6h3s2d 
KdKc7c3c2h Js9c8h5c4d Jc7h6h5s4h 7d6s6d2s2d 
Jc9h6h4d3d Ad7c5s5h4h KhKc6s3d2s KsQhJc8h3d 
7s7d5h4c3h 9d8d5h4c2h Kc9h8s5d5c Td9s7s6s4s 
Kc9h7d6c2s QdJh9d6s2c Kd9h5d3s2s Kc9c7s7c2s 
Jd8c6h6d2c Ks9h8c6c2h QhTh7d5h2d Jd9c8c3d2s 
KcTh8s4c3d As9h7s6s4s KcJc9c6c5c Js8d7s4h3d 
JhTs6s4s4c Td9c7h2h2d Td8h6d3h3c Qc9c6s5h3c 
Jh9c8h7s4h AcTc5h3s3c Qc7s7d4c3s AhTs6s5s4c 
Ts8c7s7d4s AsQhQd6c2c ThTc3s3h2s As7h6h6c4d 
Jc7h6c5h2s KdTs7h3d2h 9h8h7h5d3s KcJc8d5s5c 
Qh6s5h5d2s QsTd9s8s2s Kc9d6d4d2c KcJc8h5s5c 
AdQsQhQd6s KsJh6c3c2s Kc9s8c6d2h Jd8c6h4c2d 
Qd9s6s5c4h KhTd6s5s3c 9s9d8s5s4h QhQc4s4d2s 
Qh7d6c5s4d Jh8c7h4c3d 9c8s8d6h4c AcQdTd3d2h 
Tc8s5h5c2s KdJc9h8c3s Kd8d6h3h3c Tc9h9c8s3c 
AdJc8s6s4s Jc9s8h7c4c Jd9c8h7d4d KcJd6s5s3h 
KdQhTd7d2c AhQs7d5d3c AhJs5s4d4c KcTc7d3d2d 
Td9d6d5h3s KdJs9h5h3h KcJc3s3h2s As8c5h2s2d 
KdQd8d6d4h KsJsJd6h2s KsQc9s7h4s Ts7h5h3s3d 
Tc9h6h4h2c 9d8h7s5s5c 7d7c6h4c2d KdQhTd7s2d 
Ac8s8h3s3h QsQdTh7h2h 8s7d6h5h3h AhTc7d4s4d 
JdTs9s7h2s 9s6d5h4s2d JsTh7s4s4d QdJd9d4s3c 
KcJc3h3d2h TdTc9s6h2s As7c5d3d3c Jh8d7d7c3c 
KsQh9c3c2h KhKc7h4h2h Kc9s8s6d2d AdQs9d6d2h 
JcTh6d5d3d Jd9s5s3d2c Ks7d6d5d4h KhJh8h8d4c 
QsQh8s7d2s QhTc8s6d3d Qc9s9c5h4c KsThTd4d3c 
Jd8h7s4h3d Jc9h6d5s4d 9s9d5s4d2s Th9s7h7d3c 
Qd8d7s7c5h AhJs4c3d2h QdTs7c4d3h KsKh8d4d2c 
Ah8h7h4c3d JhTd9h2s2h JcTsTd6h2s AhKd9s5c3s 
Qs8d6d5d4h TsTc8s7d3h Th9c6s5s4s KdJc8s6s6h 
AdKd7d5d2c Ac9d3d2h2c JsTd8d4h4d Tc9h8h3c2h 
Kc9d7d4c2s Js9c4d4c3s Kc9h7h7d5s KsTh3s3c2c 
Kd8h6c5c2h Ah6d5s3h2c AdTh5s3d2c KcQd8h4d2h 
AsJhJd6s2s As9s9h4d2c QsJc9c7d4c AdTdTc6d3d 
Td9s8s5c4s 9s9h8d7d4c KdTs8d7d2h KdJcTc8c2c 
QdQc8c7c2s AhTc8s3c2s KdJh9s9h2c JcTs9d5d2d 
JsJc6c3s2d Ks8s6h3h3c QdQc8s8h2s AcJd5s5d4d 
Ah8s6c5d4s JdTd8d4h3s Kd9c6d3s2c ThTd8c6h2s 
Kh8s5s3s3h Ks9s7s7h2h KhJd6s3s2h AsTs4d4c2h 
9d7s7d5d4c Ks7h5h5d3d KdQsTs8s3s Ah9s9d2s2d 
9h8h8d5h4s Td9s9h5c3c Ks6h5h3s2s Ac8d4c3d2d 
Th7d7c6c2h AdQc9d6d2s AdQh5h4h3c KcQc9h9d2s 
QcTd6s5h3s Tc8d7s3s3d Jd9s8d7c4d QsJd5c2d2c 
Qd6c5c3h2d Js9h7s6d2d JsTc8s5s2d KdJd7d4s3c 
9s8s6d4d2d Kh6c4h3s2c AdTd7d6s2h Tc9d8d3d2c 
Td9c7h5s3h KsQd8c5h2s Kh9c8d8c2d Ah9d5s4h2c 
Kd9d8s5h3c Kh8s7d3s3h Kd8h5h3h3d Kh6d4d3s2h 
Qd9d7d6h4s AhTs7d6s3c KcJc8s5h5c KdTc9c8c3h 
TsTc9d8c4c QdTc5s4d2h KcTs9s6h2d KdTsTh8c2h 
Qs9h8c5s3d 9d9c5s3h3c QhTs6c4s3d AhQs7s6s3d 
KdJh8h6h4s 7s7c5h4d3h QsJc9d9c4c Js9s9h6d3c 
Ac9c7c6c4d 9c8c7d7c2d Tc8c7h6d3s JsJd8h3s3c 
Jd8s5c4s2c As8h8d5s2s 9s8d6s2d2c AcKc9s3d3c 
JdJc8s7c2h Tc9d8s6h3d KhQh9c4h4c Ah9c8d5s4d 
8d6h5s5h4c KdTsTh8c2s Qd9d7s6s2d QcTh8h6h3d 
Ts8h8d7c4c KdJc9d4h2s KhJsTd3c2d KcJs9d6h4d 
6s5c4c3s2h 8s6s5h3h2d Ac8s8h7d4d Tc8d7h3h3d 
Tc9d8d5h4d JsTd7s4h3s KcQh7h6h3s Kd9s5d3c2c 
Qs7c6s5h5d QsJh9s5c2s QdTd9s4h4d JdJc9h6s2c 
QcTd8h6s3s Kh8s6s3s3h Kc8d5d3d3c JdJcTd6d2h 
Jc8s8h7s5s Qc7h6s6h3s Qd9s6s5h4c As9s7h4h2s 
Js8d5s5c4h AcJh4s4c3c AsTh8c3c2h Jh9d8s7h4h 
AhQd5d5c3d TdTc7s4d2s Qd6c5s5d2c Ts9c8d5c4c 
KdTc3s3d2s KdJc8s4c2s QdJd8s3h2s AhQsJd3c2c 
8s8h4s4h3h QhQd7d6c2s 9h8s5d4d2h AsTc8h3h2c 
Kd8s7h6c4c KdTh6s4h4c ThTd7c4d2c As8h4s3s3h 
Tc9h5c4s2s Ah8s8c7d4d 8s7s7c4d2c Js9h8d5c3s 
Js8h5d4h2d Jh6c5h5c3h 8h8c7s4h2s Js8d7s7d3d 
TsTh9c8h4h QcTd7h5s5d Kh9d4c3h3c Jc7c6s6d5h 
Qc8s8d5c4c KhQdJd6d3d Qs8d7d5c4h QcTh9d5s5d 
Qd8c7c6s6h KsQsTs7s3c 9s9c6d4d2s KcQs5h4h4d 
Kd8c7s6c4h Jd8s6s4d2h KsJh9s4d2c Kd9d6s6h3c 
9s8c7d3d3c Ad9h7d4c3d Ac9h4h3d2c QsTc7d3c2s 
Jh9s7c5h3h Ts9c8c3d2d Jc9c8h5c3d 9s9d5d4d2s 
QcTc9c7h3c TsTd8h7d3c JdTs8s7s3s QhTs7c5s5d 
Ah7d7c4h2s AsJd5d4h4c QhJs7c6h3d Td7c5c3h3d 
KdJs5s4c3h Qc9d7h7c2h Ad9d7d6d4h Ts7d5d3s3h 
JcTd8h4s4h Js7d6d5c4d Qc9s7h7c5c Qc9d7d4d4c 
KdQhQc8h3h ThTc6h6d3h KhQd7d5c3d KdQhTh5h2c 
Tc9h8h3s2s Th9d8c5h4h KdTd7c3c2c Qd7h5c4h4c 
KhJh8c3d2d QsQh7h5d2c Kd8d7c4h2h QdTs7c3d2s 
Jc9h8d5h4h QhJh9s5h2c 9d8d8c5d4h As9c7h6h6d 
KdQc5h4s4h 7c5s5h3s3d Kc7s7d5s5h AhJs8h5h2h 
Jc9s9c8h4d Jc9s4s4d3c AsJd8h5h3c 8h6h5s3s2d 
KhQd4s2s2d Kd8s6h5c4s Kh8h7s4c2c KsTc6d5d3h 
Kh9c5h3d2d AcQsQhQc6h AdQs8s6h2c Kc9s8c4h2s 
9c8h7s7h5h AsJc9s6d2s QdQc7c5s2h 6s5d4c3d2s 
Jd8c7d4s3c KhJs8c2h2c Th9c8s5c4c 9c6d5d4s2s 
As6s6c4s3d Ks7h6h4h2s Jh8c6d4c2h QdJc5s3h3d 
KsQs8h8c5s AcTc5d3h3c Ah9h7s3h3c QsJd9s5c2s 
AdKs8s4h3s AcKhJh6s2h QsTd4c3s2c KdJd9h5c2d 
ThTd8s6d2c Ad9d7h4d3s AcTc9d4c3c 9s7c6s5s4s 
AdQc5c4c3h Qc6d6c4d3c Jd6s5h4d2s QdQc8d3h3d 
Ks9d6c3s2d Qs8h7c5s4s JsTc9c4h2c JsTc8d4c2h 
Kh9c8d6d2c Js8d7s5h3c JcTs7h7c3c JcTs9s4h2s 
KcTs9d5h3d Js8d6s6h2d Kh6d5c3s3h JsTd8d7h2d 
AdTc6c5h5c JsTh7s4s4c KdJsJh3h2c Kd9h9d8c4s 
Kh8h7d4c2c Jh9d6h5s3h Ad9d6c4d2c JdTd5d5c3h 
KhQd6h4c2s Td9h9c5d3d 9d8c7s5d3h 8s6s6c5s4d 
As6d4h4c2s Qd9s6d4c2c Th9s7c5d3c KdQd7d7c4s 
Qh9s9h5c3h Tc9s9c8h3c Kh9s9c5h4d AcTh6h5h4s 
7s7d4h4d2s Qc7s7d4d3c Ks9h7d6s2c QsQd7s6c2h 
KsTd8c4s3h Jc8s5h4s2h AdKhTs5s2s Jc7h7c6d4s 
AdTh4h4c3c 9h8d5h3h3d QhQd8d3d3c Qs7h6s5c2h 
AdQsTs3s2c KhTh9h9d2h As9h4s3c2c Qd6s5s5c3c 
AhJd6h3h2d AcKs8s4h3s 8d7c5s2d2c KhTh9h5c2s 
Js6d5s5d3s Th7c5c3s3h AhTd5h3s3h KsTd7d7c2c 
Ac8c7c5c3s KdTh9h8c2h 9c8c5d4h2h Js7s7d4c3c 
AdJd5d4s4d Kh6s6h2s2d KsJd9c6h2s 7c6d5s5c4h 
QhQc4s4d2d 6h5s5d3d3c KcJs8d6h4d JdTs8c4h4c 
8s6s5d3d2c Kd9c8s6s2c QcTh6d5s3d KhTsTd8c2s 
Kd9d5s3c2c AsTs7s4s3c QdTs9d3c2h Qd8h6s5h4h 
AdKdJd8d3d Qc8h6s5d3c As9d7h6d4c Ah7h6d6c3h 
AhKd8d7d3d KhJc8c7s4c KdQc9s6h4s AcTc7c4c3h 
KdJs9c5d2d JcTh8d4h2s JdTd7c2s2c QhTs6h5h3h 
9c8h6s2s2c KhJd5d4s4c AhQs8d6c2s Qh6c5s4d3h 
Kd9d8c5h3s Jc8d7h4d3c Td9s8h6s2c Qd9s8d6d4c 
QhJd8h6c3s QcJc9h5c2d Kd6s5s3d2d 8s7d5s5c2c 
Tc6h6c4s3h AdKcJs6s2h QsQh8s4d2c QhTd7s3d2h 
AcJd6c4s3c Ks6d5h5c3s QdJh7c6d3s KcJs9s8d2h 
QdTh7s4d3c Ts7h7d5d4d KdTh5s4h4c Js9d7s5s5h 
AdKs9c6c3h KhQd8s5c4s JsTs7d2d2c Kc8s8c4d3d 
KhJd8s2s2h Jc8d5h5c4s 9c7d6d5h5d Jc9s7c5h5c 
Js9h9c7d3s KdJd7c6d3s Ad7d5d4d4c Jc9d6d4c3d 
KhJh7h6h5h Qs6s6h4h3s AcJd4s3h2c Jh9c7s6d3h 
9s9h5d5c3c KhJd8d6d4s 9d8s6h2h2d KcTc4d2h2d 
KhJs9c5h2h Qs9h6h5d4c AsTs7s3h3d Jc9h7c6s2s 
9s8d7c6c3h QsJs7s6s6d AcJs9h5h3h As7h7d5d3c 
9c8c7c5d3s QsQc7h6h3h 9c8s6d2d2c ThTd3s3h2s 
AdJc6c5h3s Ad8s8c5d2d Ks9d8d6h2h 8d7h5c4s4h 
Ah8d7c6d2c AcQcJc7h2c AhTd4s4d3s QcTd7c5s3c 
Qd9c7c6d2d Ts9d9c8h2h Jd9c7s6d3h Jd9d8d7d6d 
Tc9s8d6c3c Qd9d9c5s5d 9d8d5s4h2h 8d7h5s5d4d 
AdTc9h6c3c Js8d7c5s5h KhQd8d7d4s Ks8h6c5d4h 
KsQdJh8h3c Td9s7d5c3d JdTc9s7d2d AsQcJh3d2d 
QhJh9s5h2d 9d9c5c3d2c 8s7s7h4c2h QsTc5d4s2h 
JhTd8h4c3h Ad8h7c4h3c Kd7s5s5c3c Kd9s8s8c2c 
Kh7h7d3h3d KhQcTh7d2h Ks6s6h2h2c JdTc9c4h2c 
KhJd9c6s2h Ks9h8c6s2d Jc9h8h3h3c Td7s7c5h4d 
9h7s7d5s3c Js9d6d4c3c ThTc8c6c2s KsKhKdJd5h 
QhJc9c8s3c AsTd5d4h2h Qh9d6s4h2s As7c6c5c4h 
AhJd6d5c3s 9s6h6d4d3h Qs8c7s5s3c 9h7d5h5d2c 
Jd9h8c7s2d AcKc8h8d2c As9c8h6h6d Qc9h9c5c4s 
Qs9d7s6s2d Jd9c7d6d2c AcKh6s5s2d Jd9h6h4c3c 
TdTc9s8d4d Ad6s4h4c2d KcJs7c5d2h Ad7h5d3h2d 
KsQhTh5h2d 8d7s6s4d2d 8h7h6c5h3s Qh8s7s4h3c 
AcTd7s4s4h Js9d7s6h2h Qd9d9c8s4h Qd9s6c5c4h 
AhJs9d3s2d KsJd9c5s2s Kh9d6s5h3h QsJs7s6s6c 
Ac6h4d4c2s AhJs6h4d3h Qc9c6d5s3c JcTc5s5c3d 
KsQh6c5s2s JhJd8h6c3s AhQs8c2s2c Ah6h6c5s2h 
AcKd9d3s3h JsTh7h4c3h AhKs8s4d3s JhTd8s8c3h 
Qs9s9c6s4h AcQc9h7c3c Ks9h6s3d2h QhQc7c5s2d 
Td8h6d5s5d 9s7s6s5c3s Ad9c6d4d2c AcJh9h7s2d 
Kh9c6s5h3h 8d6s5s5h4c Kd8h7h3s3d JdTdTc3d2h 
Jd7d7c6d5s AsTd5s3s3h Kh8s8c7d5d Js9c7s6s4h 
As9c3c2s2h QdQc8d4s2h KcQcTc7c3h KsJs9s3h2h 
Qc9c8d4h3h 9d9c8h4c3h Kh8h8d4s3s Ah9h6d4h2d 
Kc9s7s7h5d Js7c6c5h2s Qd7d6d4c3c Ah8d8c6c2d 
Td8h7h7c5h AcKsTh4d2d KhJs9h5h3h JhTh4h4d2d 
KsTh9h9d2h AhTsTc5d3d 9c8d5d2s2c 8h8d7d4c2c 
QsQh7s6c2d AhKc8s7s3s KhTd9c5s3c Ah7h6h5s3h 
KhJh8d5s5h QdTd5d4s4c As8h7h6h6d Tc9c6c5h3s 
Jd7h7d4s3s Tc8h7h5h2c Js7d6d5c2s KsThTd8c2d 
