8h7h7d4c3s 
8h7d5h3h3c AcJs9h2h2d KhJd7s4c3s 7c6s6h4c2d 
8d6s6h4d3c KhJc6d4d3d KsTc4s4h2d Ac7s7h5s2d 
Th7s6d6c3s 8h7d5s5c3d QcJs5c2h2d Tc9d8h4s2c 
Js9c5c4c3h 8c7h7d5d2d 8c5s5c3d2s Ts9s6s5c2h 
Kc7s7c5h2d QsJh6d5d2d Jd9h7s7h3h JsJc3s3d2s 
9h7d7c4s3c Th7d5h5d2h 7h7c3s3h2s QdJd5d4c2d 
Th9c5c4s3c Qh8d4h4d2d 8h7h7d2h2c Ah8s8c5c2d 
7h6d4s4c3s Ts9s7c4s3s QhTh9h2h2c AhTd9c4s2s 
7c6s6d3c2s 9s8s8c7d3s KsKhKd9h4s 8s8d6h4h2h 
Kh7h4c2d2c Tc7s5h4c3c Kh8h8c5h3s Jc9s8h6s2s 
Ts6s5s4h4c AdJc7c3h2h Kh8c4s2s2h Kh8d6h4s3h 
AdQd9d3h3d Qc8s6h3s2c 9d7c6s5d2d JdJc8s4s3h 
8h8c7c5s2c 9h6d5s3d3c Qd9d7h5d3d 9h8d7d7c2s 
Jc9s5s5h3s KcJd5d3h3d Ts5s5h4s3h 8s8d7h4c3c 
Qs7s6h6c3d AdTdTc3d2d Ad9d7d4d3s Qs8h6d5h3c 
QdTs8c3h2d Qd5s4s4c2c Qc8h8d3h3d KsQs6s6c2d 
KcQhJc8c2c Ad8s8c5h2s 8s8c3d2d2c 8d6d4h3h2s 
Kh9d7h5h2s KdJs7h4c3h KdJd8d5s2d KdTdTc4d2d 
JhJc8c4c2s Qh9d7d5d5c JdJc8s4c2c Ac8c6s5c2c 
Jc8d8c3d2h Ac8s7s5h2s 9s8d7c4h4c JsTh6s5s2s 
Qh7c5d3h2c Ts7h7c2h2c 7s7h6c3c2h JsJc8s4d2s 
Th7d5c4h3h AsJsJhJd5h KdTh6h4h3h AsTs7s6s2h 
KhJh9d4s2h Th6c5s5d4h Th8h5h4s3d Ks9d8d7d4h 
AsTc6h4d3h Th7h4s4d2s Qh7h4h4d3d Ts9s7h4s3s 
8d7d6h3s2s KdTs8c6c2c AsQc6d4d3d Th9h5s5h3d 
8h7h6d3s2s AdJsJdJc4s Td5h4d4c2c 9h7c5h3h2c 
Js9s5s3h3c As8c7c5h2c 8h8c6d4h2h KcTs6h6c2c 
Qs6d4s3c2c 8c5c4h3s2s AcTd9s4d2d Qh6c4s3h2s 
QcTc6s6c2d JcTh5h4h2h AhTs9d3s2c KhQs8h7h3d 
Tc8c6h4s3c Ks6c3h2s2h QdJd9c4s2d Qh9h7h5h3d 
AhJd6s4c3d Js7d5d5c2c 6s5s4c3s3d KcJd5h4h2s 
As8h6d5d3d Qc8h8d6s3d 9d5s4d3s2h 8h7c5h3s3h 
Qs9d7s4h2h 8d5s5d3h2s Js8h7c4h4d QhQc7c4c3c 
KsKhKd9s4h Qd9c8c6c2h 9d7s6d3d2s Ks9d6s4h3s 
KsTd8d8c2d JhTs5s5c2s AdTh8h5h2h Ts9s4h4d3c 
9h8h6h3s2s KsQh4d4c3d 8s7h6d4d3d Jh9s8d6s2s 
AcQd8h6s2h Jd9d9c4s3d Kh7h6s6d3h AcJc9c2h2c 
Kc7s6h4s4d Ad7s6s5s3s AsKh3h2h2c Ts6h6d5d4d 
Qc8c7c5s5d JhJd8h4h2s JsTd6d5h2d KsQs4s4h2c 
Ks8d8c7s2h Kh5h4d3s2c Ks6h4s3d3c QsTc5h4d2h 
Qc6s5s5d4h 7h7d6d5c2d Js9s9d8s4s QcTc8c4s4c 
JhJd9h3h2s 9c6c5c4c3h 8h5s5d2d2c 9c7d6h3h2d 
Qc8d7c5h2s 7s7c5d4h2d ThTd4c3s3c Qs8d8c6s2h 
Qd8d5c4s3h Kd7h7d5c2s As7c6d4h3d 8c5d4d3h2h 
Ks8s7h4s4c KcJh7s6c2c Th8c6d4c3s 9s8h5h5d3c 
Qc7s5h3c2s QsQd8c4h2c Td5c4h4c3h KdJh8d4d4c 
Ah9d9c4c2d Td7s6h6c3s Td9d9c6d2d Ks9h4c2s2h 
Ah8s7s5c2d Qd8c6d3c2s Qs8s7h5c2d Kc9h6c2h2c 
8c7h5c2s2d QhQc7h4h3h KhJc7d7c3c 8d8c3s2s2d 
JsTh6h5d2h Ts9h8c4s3s Qc7c5c4s2s Ks6d3h2s2d 
JdJc8h4d2d AsTc7h3s2s Ks8d4s2h2d Kd8h5s5c4s 
KsTd4s4h2c Jc9s7h3d3c Js6d5s3s2d Ks8h4s2h2d 
AsQh9h4c2d KdTc4c3s2s Qh8c6d4s2h KsTc8s3d2h 
8s5h4h3c2s JhJc9s3h2h Kc9c6c4h4d JhTd7s4h2h 
KsJs4d4c3s Jc8s4s2d2c Qs9d7s7h4s AcTs7s5s2d 
8c5h4h3d2c JdTc6s4h2h Tc7s7d3h3c Tc8h4s3c2h 
KhTc9s5s2s Qh6h5s5c4h Kc8s4h2h2c 9h7d6h5h2c 
Kh7d6c4d2c Kc9s8s5s4h 7d6s5h4h2h Ts9h6s6c2d 
9d9c8s7h2s 9c8d7d4h3s Ks8d8c3d2s KsJc9c5c2c 
Qs5c4s3s2c 6s5s3s3d2d 8s8c7s3c2c Kh9d4h2s2d 
Qh8h7s5d2c Th8d8c7c2c Td9d7d4c3d Ks7h6h6d3c 
QcTs6d6c2c KsQh8d8c3s KsQd4d3c2h 9c8h5c3s3d 
Qh9c8c7d2s Ac8s7h5s2d Th6c5d3h2d 8c7d5c3h3c 
8h8d7h2s2h Ts9d9c4h2h 9d8d6d4c3s KsTh4s4d2c 
6c5d4c3h2s Ac6h5c3c2d KhQc8h7s3h QcJh9h7d2h 
ThTc4s3c2s QcJd6d4d3d QcTc7c6c3c Ac9s8d5d2h 
JsTsThTd8d Kd5d5c4d3s QhJh5h3s3h AcQh8c4c2c 
Ks9h6s4c3s 8d7d6c3s2s Ac9h8s5d2h Ad8s7h7c3c 
As9d6h5c3d Qs6h4s3c2h 9d8d6d6c2s KcJc9s4h2c 
Ac7h6s4d3s Tc9c8s3d2h Qc9h8d8c4c Qs9h4d2s2h 
Jh8s6h4d4c KcTh5c2s2d Qc9h7s3s3h Jd5s5d4c2c 
Jc5s5c4c2s KhJc8c7c2d QdTc4s2h2d Ts9s9d6s2s 
Kd8s8d6d2c Qc9c5s3h3c AsJh9c6d2h Js9h5d4s2c 
JcTc4c3h3c Th8h5h5d4h JhTs7s6s2c Ks9d8c4c3d 
Td8h5s4d2c 7s7h3s3h2d QdJd8h4d2s Ks9d8c7c4c 
Td5h4h4d3d Jh7d5s2s2h QsJh7h3h2s Ts5s5d3h3c 
Qd9h6c4d3d QhQd8h4h3h 9s8c6h6d2h KsTh8d6d2d 
As8h8c4s2s Js9s5h3s3c KdQc8c6c2h Ac9h8d5s2h 
8h7d6c4c3c 9d7h6d3h2d 7h5h5c3s2c Td8s7c5d2h 
Kd6s5d2h2c Kd9s9c6h3h Ts9d5d4c3d AdJsJdJcTd 
Tc6h5s3c2s Kh4h3d2d2c AcJd5h3s3h QdTs7h6c2s 
Ah6h5s3c2h 9s7c6c3d3c 8d5d5c2h2d Qc8d6h3d2c 
Jc9d5h5d3d JhTc6d4s2s Kh9c8s4s3c 9c7h7d3h2d 
KhTh9h6h2h Jh9d6h5c2h AcJd8d4d2s Kh9h6d4h4c 
Kh8h5s5c3d Th6s5d5c4h Js5s4h3d2h Qc7s5d5c3h 
AdKd6s6d2d Jd8d8c3c2h 8d7c6h4h3h Qs6h5s5c2d 
AhTd5h3h2s Th9s8c4h2h AsQs6d3s2c ThTc6d5h2h 
AcTc7d6c2c Qh7h5h4c2c QdJs7c6h2d 6h4h4c3h3d 
Kd8c5s5c2s KdQh4s4c3s Ad9h6c5s3s KsJc6s4s2d 
Kc7s5h4h4d Jd9c6h6c4c QhJc8s8h3h QcTc9c2s2c 
Jd8d8c3c2s 9s9c8h7s2s JhJc8s4s3d As8d8c7c2c 
Ts9s6s5c2d KhQsQhQc3c Qc8h6d3d2c AsTd7d5d2c 
AdKc9c4c3c Ks9c8s5s4s Jd9d8s4h3c 8h7h6d3c2d 
Ac7s7h5h2d AdTd5d3c2s JsJh8c4c3d Jc7s7d4h4d 
KcQd7h4s3s 7s6h4c3h3d Jd8d7s4h4d 8s5s4d3c2d 
QdJd9h4c2d JsTc6c3h3c 9h7s7d4c3s QcTc6d6c2h 
KdJs8s6h2c Qh9h5h3c2c Qh8h7c5d3h QcJd6s5s2s 
Td8d6s4h3d Js8h6h5d3h KdQh8c5h2h KhJs8h8c2h 
Kc8h5s5d4s 8s7h7d5c2c As9c6d5h3c Tc8s8h4d3s 
5s5c4s3d2d Ts8d7c4s3h JsJc5h2h2d 8c6s5h2s2d 
Qh7d5s5c4c 7h6c5s4c2c Qs9h8s8d4s Ac9d8s6h2s 
Ah7d5c3h2h Qs6c4h3s2c AsTd4h2h2d 8d5s5c2h2c 
KsQs6s6d2c Jh7d5d2h2c KdQc8h6c2c Qs8h6s6d2c 
Qd9h7h3c2d 9s7c6s3c2c Jc9d6s6d4d 6s6c5s4s2h 
KsQc9c8c4c KcTd8s4s4h Js8s7s6h3c 9c8s8h7d2c 
5s5h4h3c2c Ah5h4d3h2c Th8h8d5h2c JsJc6c4h2d 
8d6c4d3c2s As8d4s2h2c Jc9s9c4d2h AhQd9s4s4c 
Js9s8h8d3s 9c8h6s6d2s KcQd4s4h3s Js8d5s3s2d 
As9c6c5c3d 9s7c6s3s2c Jd7s5h3s2d Jh9c5c4c3s 
QcTsTh7d2d Tc8c6c4h3s AhJd5c4d2d Qd7c6c2s2d 
AdJh7s4s3s QcTc7s3h3d Qh8s7d5h2c JhJd8h4h3h 
Ts8d7s6s2h Kc7d6s4h4d Qc8h8c5d3c Qc6s6c5c3d 
Td8s8d5h2d AsTc4d2d2c JsTs7s6d2c Jc8s6h5s2d 
KcTd9s3h2s Td9d8d7d4d KdJs9h4s4c Qs6s5d5c4s 
QsJh8d6h2h JhTd5d5c2d 7h6d4h4d2h QdJh9s7s2c 
Qs8d6s3d2c 7c6s5h4s2s Tc6c5s4d3c Ts9c5d4h2s 
Qh9s7c3s2h QsJs7c3d2d Kh9h6s4h4d Td8h6d4c3d 
8h7d5c3h2c QcTd4s3h3d KcQd8c7s2c AcJc6c5d2c 
Ac9h9d6s3h Kh9h8h5d4h Ac9h7h4s4d 9h5c4h3c2s 
7c6h4c3s2s AcJd7c2s2c Js9d6d6c3d KcJd8s8c2c 
Qs8s7c5d3s KhJs8c7s2s Jh7d7c4s4d Ac6s6h5h3h 
Qc9h7d6s2c AhTs9d4s2s 9h8s7d7c3d 6s5h4s3d2c 
8s8h3c2s2c Td6s4d3s3d As5s4d3s2c 8c6c4s3s2h 
Kh9s8d4d3s 9d6s5d3d3c Ks8s7c3d2d QsJc9h7h2d 
9s8c7d5d2d AsJd7c4c3c Kc8c5h5d3s 9s8c5c4h4c 
Ts7s4d4c2c Tc6d6c5s3h Jd9h7h5c2s Ks9c5s4d3s 
Td6h5s2s2d QsJh8c3s3d 9s8h8d7c3c 9c8c4h4d2d 
Ac8s8d5d2h 8h7s7d2d2c QsTd8s3h3c KhQd8h7c2h 
Qh6c5s4d3d JhTc6s4d2d JcTd6c5c2c AsJd7h5h2c 
Js9s9c7s2d QhTs7c2s2c QsJs8s4c2d 9c6c5c3s3h 
Ts9h7d5s2c Jh8h5d3d2h KdQs6s4s2c Qh9s8s6s2c 
QsTh9h3d2h KhQh9d9c4h Qh6c4d3c2h Jh9c6s6c4c 
Js8s5c3c2s Th6c5s2s2h Kd7s7d4d3h Jd9s9c7d2h 
7h6s4c3s3d KhTc4c3s2s AcQh6d4d3d Jd6s4s4d2c 
QcJc5d5c2s Ks9d7s4d2s Kd7s4d3c2c 6d5s4d3h3c 
9d8h8d7d4d JdTc8c3c2s KsQs4s4d2c 9c7c6s3h3c 
As6d5s3s2h Th5s5d4h2d Th5d4d4c2h Tc7d7c2d2c 
QsQc8s4s3s JhTc5d3c2s KsJd9d6d2c Tc8d7s4c3h 
KhTd4h4c2s KcJd5c2s2h 7c6h6c4c3c Kc8c7d3h2h 
Ac9c7c4s2h Ac9s7c2h2c Qs6s6h3c2c 6h5c4d4c3s 
QsTs7d3h3c Qc7d4d4c3c Ks9s5h4d2c Kh9s6d6c4c 
Kc9s4c2s2h AhTs7c6d2s KdQs4h4c3c Kc9h9c7c2s 
AcKh3h2s2h 5c3h3d2h2d KdQsQdQc8s QsJd7d4h3d 
Th9d4h3h2d Td5c4s4c3s AsJd8c6h2h QhJh5c2s2d 
8h8d7s3h2d JcTd5s5d2d AcQs8s3h3d KcQd4d3s2h 
Qs9h6c4s3s QsTc6d6c2h KhQc9c4s3c Ks7c6s5s2h 
Qc9c6d4c3s Th7d6s6c3h AhTs8s5s2s JdTd4d4c2s 
Th8s5d4h2c Ac6d5h2h2d KhTs5d5c2h QdJh5d3c2d 
7s6s5h4s2c Ac7d4h3c2s Jd9d8d7c3d Kh9d8s8d4c 
Jd9s7c3h3d QhTh6d5h2h Qs9c7s6s3s JdJc9c3c2h 
KhTc8c5c3c AcQd9d4s2h Kh7c6h5h2d 8h8c7s3h2c 
Jd9c8h6s2h Qs8s8h7d2c Td8c7d6d2h QdJd6d3s3c 
9c8s6s3s2c Jh9c7d3s3h Jh9c5d4h2s Qc9d6h5d2s 
AhTs7h3c2h KhQh5h3h3c JdTh6s6h2c Js9s9c8s4s 
JhTh6h3s3d KcJh9s7h2h 9d7c6h3h2c Jc8c7c6d3h 
7s7c6d3d2s KdQc8s5h3s Ts8h8d6c2c JsTc5s5h2s 
Qc8s8d7h4d Ad9c7c6c3c KsQd8c6d2d KcJs8d8c2c 
Jh9h9c7h2d Qc9h7d7c4c Tc9c8d4h3c 9d8d7h7c3s 
KdTc4h4d2s Td9h7d4d3d Th9h6s5h2d QhQc3h3d3c 
9c7s7d3s2d QdTs9c3s2s 6h6c5d4c2c Jh9h7h5s2c 
Th7s5s5h2h 8s8d5h4h2h KsJs9d4c2s KdQd9h7s2d 
QsJs7s6c3s AsTd7d3d3c Ts8h8d5c3c Kc9c8c5h4c 
KcJs6d4c2c Qs9s9c6h2s 9s8c7c3d2d Jd9d7d5c2s 
KsJs7s6d2h QhJh8c4h2d 9h9d7s4h3h KhTd7s3h2c 
9h9c5d4s2c AdTh7h5h2c Jh5h5c4h2c AcQd8c3s2c 
Jc8h6s5h2d As9c7c4h4d Jc9d8c6h2c Tc8s7d5c2h 
9h7h6s3h3c 8d7d6s3c2c QdJd9s4c2d AcJh8h3s3d 
Ts8d5c4s2h Ks7s6s4s4h 9d7s7h3s2h AdTc5h4s3h 
QdJc7s4d3d Ks7s4c2h2c Js9h3c2s2h Kd4d3c2h2c 
9h9d4d3s3c QhJh6d5h2h Ts9c5h4h3h AhTs5s3c2c 
9h7s6s3s3d JhTs8s2s2c JcTc5c3h2s Qd6h4d3c2c 
QsJs8s5c2s Th9d9c7h2h JdTs6s6h2c 9d8s8c7h3h 
JhJc3h3d2h Tc8d7s6h2h Th9s7c5h2d 7h7d6c5d2d 
Qd9h7d3h2h 9s7h6s3s2h AsTc9d4h2h Tc9c6h5c2d 
Jc8h8c3h2s TsTc4h3s2h Jd7c5h5c2h Qd7d5s3c2c 
Qd9d7c4s2c Th5s4h4d2d AcJs5h3h3d Td5h4h4c3c 
JdJc5s4h2h ThTc4d2s2h KdQh8c6s3s Tc9c5h5d3c 
QcTc8c4c3d Td8h6c5s2s 9c7d5d3h3d Js9s9d4h3s 
Td8s6h6c3h QhTc5s5h2h Kh6d4d3h2h 4s4h3h3c2c 
Qc9d6s4c3c KhTc4h4d2s Kh7c5s4s4d Tc8s6h6d3c 
Ah9s6d5d3c Qs9h6d3h2d KcJs8c4h4c 9h7c6d3d2c 
8s7c6h4h3h 8h8c7d3h2c Kd9s9c7h3c 8h7s6s3d3c 
TsTc6h4d2c TdTc9d7d2d Ts9d6s4s3s JsJc9c3c2d 
7s4h4d3d3c 9s9h8c4h3d Ks9s9c7s2h AhQd6c5s2c 
Ks7c6d4h4c AhQc8s8d2d Qs7h6s4s4c 8c7d5h4h2s 
Qd6h4d3s2h 9c7d5c3c2d 9h8d5d5c3s 8d7h5d3d3c 
9h8h6s6h2d Qs9s5s3c2c Th7d7c2d2c Qs8c4s4c2c 
Js9c8d8c3c 9c6s5h3s3d Ts8s6c4s2h Jd8h4d2s2h 
Qc6c4s3h2h JsJc5h3d2s Kd9c4d3h2h Qh8s7s6c3d 
As7c6c5c3c Tc6h5d4s3s 8d7c6c5c2c AdQs8c4s2s 
Qc8s7d5s5h Qd7h5s5c4s KcQc8d3d3c Ts6s5s3h2h 
Td8h7d6d2s Kd6d5h5d2s 9h9d8c7h2h 9h8d7d4s4c 
KhJs8c5d2c 7s6h5d4d2d Qs9s7h4c2h TdTc6s4h2c 
Js6s5d4h3s KcQs8c7h3c Qc9d7s2s2c Td9d7d3s3c 
Qh7d5s5c4s JsTh6c5c2c JhJc8c6c2c Th8c7s5h2d 
KdJd4s4h3d Ts6s5c4h4d Qd9h8s8d4d Ac6h5s2s2h 
JhJd6h4s2c Kc7d7c4c2d QhQc3s3h3c KhQd7s7h3h 
Kc9c6s4h4c As8s4c3c2s JsTd6h5h2h KdTs5s4c2h 
Jd9h5h4h3c Ac8s8d4c2c 9h7d7c3c2d Qs9h8c4d3s 
Qs9s8s6c3s Th9h7s7d2c KhTc7d3h2s Qs9s5s3d2d 
Tc8s8d7s2s Ah8d6s5d3c Kd9c8s7s4s KcQhQdQc3h 
Kc9d5h4c3c QcJc6s2s2c 9h7c6s3s2c KcQs7h4c2d 
QdTs8s7s2s QcJd7d3c2c JhTd5s5c2s KhJs5s3s3d 
QsJc9c7d2c KdJh5s4s2c KsQc6c4c2d Ks7c4s3d2d 
QsJh9h4c2h QcJd7h3c2h JcTc4d4c2h 8h8d7d3c2h 
6d6c5h4d2d QhJs4c3d3c 8d5h4h3s2d KdJc9c6c2h 
QsJs8c4s4d 9d8s6h6c2c JdTh5s5d2d Td8c6s6d3d 
9h7d6s5h2h AcTs7s4d2h JhTd6d6c2s Qh7c6c2s2h 
9c7h6c3h2h Js8c6s4s4h 9h9d8h4c3s Kh8c6h4d3h 
JhTd4s4c2h Qd8c7h5s5c Qh9c8s5d2c JhJd7c5h2h 
Qs8h8c7d4c Js7s7h6c3s QcJs5c3h2c AdKs9s4s3s 
Jh9d7s4d4c Ac7s5d3c2c 8s8d6c4h2c Ts9s6s6c3s 
7s6c4c2s2c AhKd3d2s2d Kh9s9d7c3d 9h8h8d7s3h 
8c6h4d3h2c Kd7d4c2h2c AhTc5h3h2s QhJd9s4h2h 
Jd8h4d2h2c Ts8h8c6h2h 8h7s6h6d3h 9h7d7c3d2c 
Jd9d7s7h3d JsTc6h5h2h 9d5h4d3h2s Js8d6s4h4c 
Tc7d6d2s2c Ts5d5c4s2c Js9c5c4c3d QsJs8s8c2h 
Ks9c8s8h3s Jd7d5c2s2c Ts7s7d3d2h Js5s5c3c2h 
Ks7s7d5h2c As8h7h6c3h KcTs8h6h2h 9s6d4s4c2c 
Qc7h5d5c3s Jd7d7c4c2c Jh9d5h3h3c AsJd6h6c3d 
8c7d7c3s3h 9d7h6h3h3c AcJd8d4h2d Kc9d5s4d2s 
Qd8h6s6d2c AdQc6s6h3s KhJs9d4s4c 8s8h7s3s3c 
AdJd4s4h2d 7h6h5s4h2d 8s8d7c2h2c Tc9c6c3h3d 
Jh7c5c2s2h JsTc7h4s2s As9h8d4h4c 9h7d7c4s3d 
TsTc6d4h2s Jc9s8h6d2s Ah7c4d3h2s Qs7d5c3s2d 
9h8d5d4d4c Ad7s6h4c3h Ks9d9c6h3h Kc9s5h5c3c 
ThTd9d3d2c Kh7h5h5c4h Ks8s7h3c2c 6h5h4d3s3h 
7c6h5s4s2s 8c6s5d2s2h Ah7s5s4c3s KsKdKc9d3s 
Kd9s4s3h2d Ah8h4c3c2h KdTd5s5d3d Ks5h4d4c2s 
8s6s4d3d2c KdQc8h8d3s KdTc8h6h2h Kc8s5s5d2d 
9c7h6s3h2c 6s5s5c4d2h KhKdKcQsJs JhJd3s3c2d 
Ks8c6s2s2c Qs9d8s8c4s AcQd6h5s2h 9d8c5c4h4c 
KhQd9d7s2d Js8h8c6d3h Qd8s7s4d2d Kh8s6h4c3h 
7d7c6s3s2c 9d8c4s4d2s Jd9d8d7h3d 9h9d4d4c3s 
QcTd8d4s2d Tc8s8h7h2h Tc9c7h4c3c Ts8h5c4s3d 
AcJd5s3s3h Qc9c5s3d3c Kc7d5h4s3d QcTd7c6s2c 
Qc9s8c4d3h Kd8c6d4h3d Kc6s5s4s3h AhKc6s4d2d 
8h8d3s2s2h Ah8c7s7d3d 7c6d4c3h2h JsTd6s4s2c 
8h6h5s5d2c 6c5h4h4d3s Kd8s7d3h2s Qc8c6s6d3h 
9s8c5d5c3h Ks9h8h5h4c KcQs6s4s2d KsKhKd9d4h 
KdQs9c8c2c AsQc8c4c2h KcTs8s8h2s Qs6d6c5c4c 
Ac7c5c3s3c KcQd9d7h2d Kc8c7d5c2s QsQc4h3h2d 
KdJc8d4s4d AdJs7s3c2c Ts9h5c4c3c Td9s5h4h3h 
Tc8d6s4d3h Ac8d6s5s3s QcJd7c6c3c KhTc5c4s2d 
QhJs9d3s2c Th8s6c4s3s Kc5h5c4c3s Th9s7d5h2c 
As9h6h5h3c Tc8h8c5d2c Ad6c5s5h3h Ac9h6s5d3h 
Qh6h5s5d4h Jc5d4d4c2c 8h6s6c4s3d 9s8s8h7d3s 
Jc7d5h4d3s 9h8s5h5c3d Qd7d6d5d4d 9h9c4h4d3s 
Qd7h6h4d2d Qh8d7h5c2s Kc7h7c4c3s Jh7d5c3d2h 
9d8c6d4h2s Ks9s5c4h3s Jc8d5c3c2d Js7s6h6c2h 
JhTh5h4h2h Qd9d7d5d3c Kc9c5s4d2h Td9s7d4d3d 
KdQs7d7c3d JhTh5s3h2c Qh7c6h4s4h 8d8c3c2h2d 
AdQh9s7c2c Qd9d8d5d3s QsTs5s4s3s KdQc8s8d3h 
QcJh8s3d3c Js8d8c6h3c Qs9s8s5s4h JdTc6c3h3c 
KcJc7c5c2h KcQd8d6d2h JhTs5s5d2s Td8s6c4s3h 
KhQd8s8d4d Js5s5h3h2d KsQs9d7h2s Th8c6s4c2d 
9s6s6c3s2c Jd9h9c7s2h KsKdKcTc8h JsTd5s5h2s 
Qs9c7s4d2d QcJh8c7d2c KhJc7s7c3c Tc7d5h4s3h 
Jd9s8h8c3s 9d7c6c3h3c Kd8d8c6s2d 7h7d3s3h2s 
KsJd7s4s3s Qh9h8h6h3d AdTh5h3c2c Td5s4s4c2d 
Ac9c7s5c2c Jc5h5d3s3c Jh9s9c5h2h KhJh9c4h2s 
AhJh4h3s2d JcTc7c6d2s Qh9s6h4d3h 8h6c5c4c3c 
KcQs9d7s2h KsQh9h4d3h 7c6h4s4d3s KhQcJc7c2d 
Qd9d5c3h3d QhJs7c4h3h Td8h5c4d3s Tc6d5c4h3c 
Qh8s8d6h2c KdJh7c4s3s 7h7c6s3s2c Ts8s6s4c3h 
9s8h6s6d2c Qd5h4h2h2d Qs9d7c3d3c Jd8d4h2h2c 
KsQc9d5h2h Qs6s4d3h2h JhTc6c3d3c KdQd5d3s3d 
Th8c6d5c2c Kh9d9c7s3d Kh9s8s8d4c Td7d6d4d3c 
KdTs9c4s2s AdQs8c4h3h AcKd6h4s2h QhJd7s3h2s 
Qd9d7c4h2c Jd9c5d4s2h Qs9s5h4c2d Kc9s8s4d2d 
8d7d5s5h3c Tc5c4h4d3h Qs9h7s7c4s Ah7h5c2h2d 
JhJd9c3d2d QsTd7h5s2s 9d8d7s7c3h Qs9s8h7c2s 
AhJc9s6c2d 9s7d5d3h3d AhTh7h6s2h 8d7d5h4d3d 
Jh9d8d6s3d Td9d7d4h3d Qh8c6h3d2c Jd9d7d5h2c 
KsKhKc9s4h TsTd4s3s3h 8c7s5h3s2h QhJd6d4d3d 
Qh7h7c4d2c Ts9h5h5c3h Jh8s8c6d3c Ah8c4h3h2c 
4d4c3h3d2c KsTc7h2s2d 8h6s5d2s2c Kh7s6c4s2c 
9d9c4s4d3h KdQh8h7c2s AcTh9d3h2s JhTs5c3s2s 
JcTd6h5h2h 7h6c4c3d2d Ac8h6d5d3d Ah6h5h3s2d 
8s8h4s4c3d 9s6s5s3h3d QdTs7c6h2s Ts8d6s4h3s 
AsJs5s4s2d QsJh8c4h3h KhTs7d2h2c 5s5d4c3h3d 
Ac7c5d2s2c QcJd8s6d2d 7d6s6c3c2d Ad8s8h5c2s 
Th9h4c2h2c Kc8s4d2d2c Jd6d5c4s3d Ks9d9c4s3h 
Qc9c8d7s2c Th7d7c3s3h Jh8c7d5s3d AdTs8s4s3s 
Qc9d7h3d2c Kd7c6s4c2s Kh6s5d4s3s Ts9h7h7d2c 
KsQh8c2h2c 5c3s3h2s2h Jc5s5c4d2d 9d7h6c3h2c 
8h7h7c3s3d 8h8d7d5c2d Ad7d5d3s3d Jc7s7c6c2s 
KhQh8s4d4c Ad8h7h6s3h KdJh9s4c2h AcKh6d4s2d 
AdTs7c6c2h JhJc5s4d2d Td8c6c5c2s 8d5h5d3c2h 
AsJh7s2s2c QcTd6s6d2h Td9d8d5d2c Qs6c4s3c2h 
8d5h5d3s2h 8c7h7d5s2s 7s7c6h5d2d AcTd5d3h2h 
Jh9h6d6c3h Kc9s8h5h4h Kc7c6s4d2h AhTd8d2s2d 
Qh7d6d2s2h Qd6h6d3c2c 8s7h5d5c3h 8c5d4h3c2h 
AcJc5s4c2c 9s8h7s7d3c Qh9h7c6h3h QcJc4h3d2s 
AcQsQhQdJh Ah5h4d3s2h Ks8s8c6s3h 7c6d4s3h3d 
9s8s6s4d3h KdJs8h7s2s KdJs8h5h3h Jd4d4c2d2c 
KsQdJd7d2h Kd8d7s3h2h As8h8d7h2h As6s5c3d2s 
Qc8c5h4d3s Qh9h7h5h3c Js8s6s5c2h Qc8s8h7s4s 
Ks9d4c2s2d AcTsTh3h2d 8d8c6h4c2c 8d6h5h3s3h 
Qd8c7h5d2s QcJc7h5c2s JhTh7c6s2h Qs8h7d5h5c 
AdQh9c4s4c QsThTc7h2h Kh8h7c3s2s 9d6s5s4c3s 
KdQc6c4c2s 9d8d8c7s3d Ad8h7s7c3c Kc9h8h7h4s 
Jc8h8c4s3d AcQh8h3s3d QhQd9c4s2s Ks8s7c5s2d 
KhJs9c7d2d Jh8d8c5s2d QhJh5h3h3c Jc7d5s5h4d 
JhThTdTc8d As8d5h2h2d Ks8s8c5s3h JsJd8h4c3c 
As9d9c4c2d KcJd8s4c3c Td9d5s4d3c Ah5c4c3s2s 
AhJd9s6c2d QhTs6s6c2d Jh6s4s4h2d Ks8h6h5c3d 
7s7h5c4d2c Td7s6h6c3h JcTs6s6h2d AsQd8c4h3h 
Th8h4h4c2c Ac9s6d5h3h Td8d6c3c2d JsTc8c3c2h 
KcJc8d8c3h 8h7h7c4h3d QhJd7d4d3s 8s6d4s3d2c 
AcQh8h4h2s Ad9c7s2s2c AsJsJhJc5c AhQc8s8c2c 
AcQs9d4h2s Qd9s9d6h2d QsJs6s5h2s KsJs8s8h3d 
Qd9s7s5s5h Kh5h4s3d2c 9d7s7c3d2c Jc5h5c4d2d 
AdJd3s2d2c Jd9h9c7s2c Js9s8c4d3h Jh9d6s6d3d 
Ts8s7h5s3s Qc9s7h3s2c QhQd6s4s2c QsJd7s3s2d 
KsJs9h4s4c AcQd8s3c2c QdJd7d6c3d Ts5d5c4s2d 
KcQh4s4d3s QhJs6d5d2d JsTd7d6d2c Jd9h6h5s2c 
Js8s6d2d2c QdJc8s3h3d Qs9d8d6d2c KdQd4h4d2s 
