Qs9h6s4s3s 
Qc8h7c6s2c KhQs8h8d2h 6c5c4c2h2d Jc8c7s6c2h 
AsQd7h7d2d As9h6d4h4c As7s6d3s2c Kc7d6s6d3d 
KsQd8c4d3d 9d8h4d3c2h Td8s7h3h3c Qc8h7h3c2d 
Ad7c6s3h3c Jd8d7c3c2s Jc9d5s5h2s Qc9h8c4c3d 
KsTs7s3h2c Ah8h7d3h2s 9h6d4h2h2d QdTh4c2s2h 
8h6s5d3c2c Ad9h5h4s4h KhJs9s6s2s 6s5c4h4c2c 
Qh7d6c4c3c Tc9c4s4c3c 9s8h6h3d2c Tc9s7h4s2d 
Td9d6h3d2s 9h8h7d3h3c Ks7c6s6d2s Ks9h8h6d2h 
8h5h5c4s3d AsKs7s4s2s AdJc6h3d2d QhTs7d5c2d 
9h9c8d4s3s QsTh5h2d2c 9h8s6d4c2s Qs9s6s6h2d 
7h5d3s2s2d Qh9d7h4s3h KsTc4d3h3d Qs7s6s4s3h 
Ac9s7d4d3d Td5h4c2h2d Ad9h5h5c3h AhJsJhJd8c 
8h6c5s3s2s Qh8d7s4c2h Qc7s4s4c2s 6s6c5s3s2h 
Qd9d5d4c3d Jc5h4h3s2s As9c6c5h2d Kd8s8h7s2c 
Qs8d6c4h3d Jh7s6h2s2c Tc7s7d3d2s 8s7s5s5d2c 
Kc6s5c4c2c AdJd5d2d2c Qc9c5c4d3c Ts9s5h3d2c 
AcJd8s3h2d AsJd5d5c2d Ts8h5s3s3c KsJd9d6d2d 
KdTc5s4s2s Qs6s6h4d2c Qc8h4s3s2c Qh9c3s3h2c 
QcJd4s4h2s Kc8s5s4s4h Td9c8s3s2s KcTc4h4c2d 
8d5c3s3c2d Qs5h3d2s2d Qh8h8d7s2h Qh4s3s3c2h 
Qh7c4c2s2h Kh8h7h6h2c Qc9c7c6h2s QhTc7s7d2c 
Kd7d5h3c2s QdJh8c4c2c Kc7h4c3s3d QdTs4s3c2h 
KhTh4s3h2d QdJc6s6h2c ThTc4c2d2c KdJd6d6c2s 
8h6h6d4h2h KdTd7d3h2c 9c8c7c4h3d Tc8c7d7c3c 
Qh9d6d4c3d 6s4c3h2s2c KhQd8d4d3s Ad5c4s4c3h 
Qs9h6h4c3h Ac9h5h5d3h Tc8s3s2s2c KdQd7d5d2s 
Ts7h6h3s2h QsQh7c4d2c Ts8h5h5c2d 8d7d4h3h2c 
QsJd3c2h2d Kh8d8c7c3s Kc8h8d6h2s KdJc7h4s2c 
Qc8s4c2s2c 8s7h4d4c3c Qh9h8s4c2d KsQd9d2h2c 
Ah8s6s5s3s KsQh7c3h3d KdTs4s3h3c JdTs6d3h2c 
Ts7c6s3c2c QsQd7h3s2c Qd7s5c4d2h Qh4c3h3d2d 
Ks5h4s3c2s Th6s6c4h3d 9s6c3s3d2c 6c5h5c4s2c 
9h8c7d2s2c 9s6c5s4h2s Ts3d3c2s2c Td9c7h4h2s 
AsTd6d6c2h Qc7h5d4h3h Th7s7c3c2s 7d6d5d2s2c 
6d4h3h3d2c 8d5h4s4d2c Ah9s9h3h2c Qc8h7c2h2c 
Kc7s5h3s2h KdQh8s7c3c AdJs9h4h2h QcJc8s7c3c 
Kh9s5d4c3d 8d6h3h3d2s Ts6d5c4s2h KsJc8d6d2d 
As8d7h3s2s Tc9h5d4s2s Jd8h8c7d3d Jc5d4c3c2d 
Qc9s9c3h2d KdTs7s4s2h Qc8c5d4s2c Kc8d6d5d2s 
Kc9h8c4s4c Qh9s9d7c2d Ks8d3s3d2c Jh9h7h7d2s 
Kd9d6d4d3h 9s8h7h3h3c 9s7d5c4d2h JdJc6s4h2s 
Th7h7d3d2d Tc5c4h2h2d JdTd8d3d2c JsTs8h3s2s 
Th5h4c2d2c QhTd5d2s2c Kh9d8c3c2d QsQdQcTs9h 
Kc9s7s6d2h 9s9d6s4c2s Ks9c7s3s3d Tc9s5s4h2d 
Jh7d5s2s2d Qc8s7d3d2c KcJc5c3c2s Qs8s6d4h2s 
Js8d7s6s2c Ks9c6s4d2s KcQd8h6h2h Qd8s7h5d2d 
AsTh8h3d2h KdJh8s8c2c Ac8s6d4h3d Js9s7s6c2h 
Th7d5h3d2d Jc6c5s4c2h TdTc4c2h2c Qh8h4d3d2c 
Td9h7s4s2s Ah8c6c5c3c 9c6d5d3d2s Jd8c7s7h2s 
JhJc4s3d2h Js9d7s7c2s Td7h6h3c2c Td7h4d3c2h 
Js8h6h3s2h 9h5d5c2s2d KcJs5h2s2d Tc8s5c3h3c 
KcJh8h7h3h QdJd7s4h2d Qd9s7s4c3h Jh8s4c2s2c 
Jc9h7d6d2s Ks9h5d5c4c 9c8c7d4s3c Kh7c3h3c2d 
Qh8d7s7h3h As8h7h5h2h 7c6s5h3d2d 8d6s4d2h2c 
Th6s5c4d2h QcTc7h7c2d Ks9c7c4h4c 9h8s7d2s2c 
QdJh4h3h2c Qs8s6s4c2d Qs9s4d3d2d Kd8h7s2d2c 
JcTs3c2d2c Kd9h8s8c2c Kh9c8d3d2c Td9c6d2s2d 
8s6d4h4c3s AcTs6s6h2d 9d6s5s3s2c Qc7s4d3s3d 
KdJd8h4d3d Td8d7d3s2s AsTd6c5h2c KdJd9d3s3d 
KhJh4d2h2c KcJd7s3h2c Ks7s5h3d2c QdJh4h2s2h 
Jd8h8c7h3h Kh9d6s5c2s Ks9c5c4h3d KhQs9d2s2c 
Th7s7c3s2c Qc7s5s4s4h QsQdQcTh9d KdJh9s3s2c 
Kd7h6s5c2c KsJc8d4h3d 9h8s8d4d3d KcQcTc7c2c 
Kh8s8h6h3h Jc9c7c6d2h Qd7h4c2h2d KdTd4s4d2c 
Kc8s7s5d2h AdTc6c3h3c 9c8h8c4s2c Kc8s8d6d3h 
Jh9s6s3s3d Qs9c8s4s3h Qc6s6h5c2c Kh9s8d5s2c 
QsJs7c4d2s 9d6c5d4h2d Jc7s4s4c2c Kc8h5c3s3c 
Kd9h7s5s2c 5c4c3d2d2c Tc7s4d2d2c 9h6d5c4s2s 
Tc6s6c3s2s Kd9s8h3s2h Kc7d5s3h2c Jd8d6s3s2s 
8s7c4h4d3d 8h7s6s4s2s 9c8d5s4d3d 8s6h3s3h2c 
Qd8h7h5h3s KsQc9d7h2d Qc9c7s5h2c 9h8h7c4s3h 
Qs7s6c3h2c AdJd8d3c2d Tc6h4h3c2c Kc8s7s6d2h 
Ah6h6d4h2h Qh9h5s5h3h Kd8s8c6s3h 9c6c5c3s3c 
QdJs7d6h2d 9c5c4h3h2h Qd6c5c4h2s Td9d6h3c2d 
Ah7s4d4c3s As8h5d4h3c AhJh4c3h2h AsQh5d2d2c 
Jc6d5s4d2h Ts6s6c3c2c KsQs7h7c2d Kc7h3h3c2d 
Kh8s4s3h2s Ts9s5s5h2c Kc9d6s2h2c AdJh8h3s2c 
Qs8d7h6h3h QcJc5h3c2c Tc9s7s4s2h Ts8s7s3d2d 
JsJh7h4h2d Qh6d4h3d2h Kd9h6s5c2s Js6c4h4c2h 
9s8c6h4d2c 9s6h5d3c2h Qh9s4d3h3c Qs8c4d3d3c 
8d6h5d3s2c Js8h8d6c2h Qd8d6d4s2c 9c7d4s4d2c 
Jc9d8d2h2d 5s5c3h3d2s 8s6s3h2h2c Jc9c8h4s2c 
Kh7d3h3d2c Tc7h6d3s3d Jd8h8c7s2s Kc9h8h5h2s 
Ad7s6c5h2s 7d5h5c4d2s AsJd5c3d2h Ad9h5s3h2s 
9c6d5s4s2s As8s6d4s2s JhJc7c6s2c 5s4s4c3s3d 
Kd9h4d4c3s KcQs7d3s3h Qh8h5s4c2h Kc7h7c6c2d 
8h7c4h3s2c Js6d6c4s3h Jd8c6h6d2d KcJs4d2s2h 
Qh7s6s4s3d Ks9s8s6s2d As8h5d4c3d Jh9s7c6d2s 
Qh8h6h3d2d Qc6h5c3s3c 8c6h6c4s2c JhTd7d4d2d 
Qc9h5s3c2d KcJs4h4d3h 5d4d4c3h3d Js8s8d4s2h 
8c7c5s5c2h Ts8d6d4d3d Ks9c4d4c3d 9d8d5c4d3d 
Js9s8h4d2s Jd8c4s3s2c AhJh8h3h2c KcQc8c4s2d 
9c6h3h2d2c Qd7d5d4s3d Js8h8c6d2h Jh6c4d4c2d 
Qs8d7d6c2h Qs9d8c7c2c As9c5d4d3h Qh9d7h3s3c 
Kc9d6d4d3h KsTh8c4c2c Jc8s6h6d3d 9h7s6s2d2c 
AcQd7h7d2d Kc7d3s3c2d Jd5s4s3s2d AsQc6d4d2h 
Js8s7s5c2s Kc9h4d4c3s JdTs7d3h2d Jc8c6s4d2c 
Ks7d3s3d2c Qs6c5s3s3d Jc8c7s4h3c KsKdKcQh9s 
Ah7h4h3s3h Ks9h7h4h4d 5d4s4d3s2s QhJh8s7h2h 
Kd8d6s6h2d KsQc7h3d2s 7h5h5d4s2c Kh8c7s2h2d 
8h4s4c3d3c KsJc4h3c2d Th5s4d2s2h QcJc7d5c2c 
9c7c4s4d3h 6d4d3h3c2c Kh6s6c5d2c KdJh9s4h2h 
Qd8h7h6s2c KcJc7h7c2d 9c8d5d4d2s KsTc7s4s2s 
7d6c5h3s2s As8s8d3s2h Ts8h7s4c2s KdQs9s2h2c 
5s5c3h3d2c Js8h6h5h3h Ks7h5c2h2c Ts9s7c4d2s 
AcKd8h3d2d Jh7s4s4h2h KhJd7c5c2c Jc8c7d3d2h 
8c5d5c4h3s AdTc6s4h2c QsJc4h4d2d AsTd8d3h2d 
AsQh6d4c2d 6s6c5d3h2d Kd9d6d4d3s Th8d5d5c2s 
AhTs8s3s2c Kc9h8s3d2c 5s4c3h2h2c Qh8c6d6c3s 
AcTd6s4h2h 9h8c5s3d2h Qd7d5s5d4d Kh6d5d4c2d 
Jh4s4d3s3c Qh8c4d4c3d Js5d4s3s2d Td9s5h5c2c 
Js8h8d4c3h 7c6h5s3d2d Jc7d5c4c3c Jh8d8c7c3c 
KdTc8c3h2s Kh9c8s8d2s Kc9h6h5s2h Td7h7d5c2s 
Qc4h3s3c2h Qs7s6h3c2h AsJs8s3h2s KdJc8s8h2h 
Kc7h5d3h2d Ts7h5s3s3c Ah8s5c4d3c Jh6c4h3s2s 
8c6s5h3h2h Th6d4h3h2d Jd9d6d4d3h Jc8h7s4c2d 
Jh6d4h3s2s Qd9d5d4d4c Ad7c6h5c2c 6d5c4h4d2s 
Ah9c5d4d3s KhQh7s7d2c 9d8s5h4h3h Jd9d6s4d3d 
9h8c7d4c3c Td5s5d3s2c Qc9d3c2h2d Qc7c5c4s3c 
As9d6d3h2h Kh9c6c4s3c Jc8c6d6c2s Qh8s7d6c2s 
KhQc9c4c2s Tc7d4s2s2c Jh6h5d4h2s Kc8s7h2s2h 
8s5d3d3c2c Jc8c6d4c3h Jh9s5c2h2d Qd6h3d3c2c 
Jh8s8h3d3c Ks9c7h4c3d KhJs8s7s2s As8c7d3s2s 
Jc8d6c3c2d 9h5s4c2s2c Kh8d5h3s3h Ac8c7h3d2c 
AcQh9d2s2d QhTs5s5c2s Jd8s6d3s2s Kc9s5h4h3d 
Ks9d6c5h2c Ks8d8c7s3s 6c4h4c3d2d KsJdTsThTc 
Ts9s6c3d2s Ah9s9c5s2d Qd6s6d4h2c As8s6h3c2s 
KsTh8h5h2h Ts9s7d4h2s Kh7d6c5s2s 8s6d4s3d2d 
KhTh8h5h2h QsJc4c2h2c QdTd6s2d2c Ks7h4h3s2s 
Qs7s7c5h2d Td6s6d5h2c Td9c4h4d2s QhJh7s6h2c 
As5d4d4c3h 9h7h4h4c2c Qh7d5d3h2h Kd7d7c2d2c 
Kh8d8c6d2s KsTh4s3s2d Qh5h4s3d3c AsJs6c3d2s 
KhJc7c5c2c Qd8d7h2h2d QhTc4s4c2d KsQs9h7s2s 
KhQs8c6c2c Qd6c5d3h3d 8c6c4h4c3s AdKh9h3s2h 
QcTh5h5d2h Kh9d8s5c2s Tc8s7c4d2c Kc7s5d3h2c 
9d6h5h4h2s Jd6h5d4d3d Ts8c3d2s2d Td9d4s4d3d 
Th9s6d4d2d Jc8h7c6c3c 9h6s5s4c2s QcTs4h2s2d 
Jd8h4c3d2c Qh9s3h3c2s Jh9h7s7h2c Qc8d4h3h3d 
ThTd3s2d2c QhTh6c2s2h KcJd6h4d2d Js8c6s3c2c 
Jh7h6d3c2c Tc7d4s4c3h QhTs7c3d3c Qh9h6h6d2s 
Js6d4h2s2h Ac9h5s4h3d Ah7d6s5d2d Ts3h3c2s2h 
Ts7h6c4s2d Js9s7c5s2s Jc6s6h5d2c Qh8h7d5h3h 
As9h6d5h2c Qc8s4s3c2h KdTd5h5c2d AcJs6s5h2s 
Qc8s7c2s2c Qd9d7d6s2c 6d4d4c2s2h Kc9s7s4s4d 
Kh8s8d5d3c Kd8d5d5c2s Jh6c5h4s2h 9s8h5h4c2h 
9d9c8d3s2h KsKdKcQh9c 9d5h4s2s2h 8d5s5d4c3h 
Jc5h4c3c2h AdTs6s3s3h Jc9c8c3s2d 5d4s4d3s2d 
Ah8h8d3h2s 8h6h3d2d2c 7h6s3c2s2c Jd6h4s4h2s 
AcJc4s3c2c Kc6s5d4s2s Th7h6s4c2d Td7c5s3h3c 
QcTh8s3s2d Td8c6d3h3d Jd8h7c6h2s Kd8c4c3d2c 
KhQh3c2s2h KdJd7h7d2c 9c6d5s5h2c Td9d4h3c2s 
Jc8d7c3s2s Kc9c8h3d2s Js9d7h6h2h KdTd9d4d2d 
KhQd7d4s2c 8s5s5c4h3d 9s9h5h3d2c As9d7h6d2c 
Qd9d7d4c2c Jh6c4d2h2d Kh8c7s2s2c KcQd4s3h2h 
KcQc8s4c2h Qh9c8s7s2s KdQs8h7c3h Ad9d6c3h2d 
9d6h5c3s2h Js8c6c3s2c KsJd8d8c3d 8s6h4h4d3c 
AhTh6d4h2h Jc8s7h7d3h AcTc6c4c3c Js4h4d3h3c 
Qh9d7c4d2c 8d4s4h3d3c AhTd4s3s3c Qs9c7h4c2h 
7d6d5c3d2h Qh6s6d4d3c QcJd9d4d2d Jc6h6c4d3s 
8s7d4d3h2h Jc8d7h4d3s AcQd8h3s3h KhQd9s3d2c 
6d5d4d4c2s QsJd8d3h3c Td8s7d4h2d QdJc9c4c2c 
Kh6s5s4s2c 9s7h5c4d2s Kc4c3s2s2c Th7s5c3c2s 
Ks7h6d5c2c Ts9s5h4s2c Js8c6d6c3h Th9h6c3s2h 
Jh7d4c2h2c Qc8h7d4s2c 9c8s7h4s3s Jd8d7s6d2h 
Qc8s4s4h3h Jc8h6s6d2c QhTc5c2s2d 8s6d6c4s2s 
Js7h5c3h3d AhTs6c4d2d Qd7s7h4d3c Qh8h7s2s2h 
Jh8h6c4h3s 7h6h3s3c2s Qh9h4d3d2d QdJd7h4s2d 
9d8s7c2s2h QcJs6h6d2s Tc9h7c4c2d AcQh9s2s2d 
Ad9d5d3h2s Kh6s5c4s2s AhTh3h2s2d Jh9d7d6d2c 
Kh7d5h3s2c Jc8d7h4c2s KhQs6s2d2c Jc8d5s5d3d 
Ks9d8d5h2d Kh9c4s4c3s KhQh7h5h2c 5c4h4c3h2c 
AhQs7d4s2s Kc9h6h4d3h As6s4d3s2c 6h6c5c3c2s 
5s5d3h3c2s Qd7c5d2d2c Jc7d6s3h3c KcJd8h8d3d 
Td8s7d2d2c Js5c4s3s2c Qs8h7s5c2s 8h7h6d2h2c 
As8d5d4h2c KdQd5s3d2d 8h7h5h5c2s Th9s4h4d2c 
6d5c4s4c2c Qs5d4c2d2c Tc9c6s6c2c Ts9d5h2s2c 
Qh9d5c3h2s Ad8h7c6c2c Tc9d6c2s2c Ad9h6c3c2h 
9s8c7c4c3d Jh9s7s6s2d QdTd6s2h2d Tc9s5d4h2h 
Tc7s6c3s2s AhTd8d3c2d Jc6c5h4c2d As8s8c3s2h 
Qc7h7c6d2s Kh9c7h3h3d Tc8c5s5h3c KcThTdTc7d 
KhQd9c7s2s As8h5c4h3d Kh8s6s4s4c KdTc8c4c3c 
9s7d4h3s2h KcTc7h4c2c AsTd6d4d2c AdTh6c5s2c 
AcQh7s4h2h 9s8s7h4d3s 7h6h5h2s2c 9c8d6h4s2d 
Qc8s4h3s3h AsTc6c4c2d Jd8s7h7c3h Qs8c7d4h2s 
Kd7c5c3s2s Jc9d5s5h2d Qd8c7s6d2d 7s6h5c3d2d 
As8s6c3d2s Kh8h5s5h2c Kd5s5h3c2d Jc8c6h6c2s 
Kd8h7h6s2c Ah8s5h3h2d 8s7c6h6c2c Jh8d7h6h2c 
Jc9s6h6d2c KcJs5d2s2h Jc8d6d3c2c QsQdQc3s3d 
6c5c4d4c2h Jh7d6s3h3c QcTh4s2h2d Td7h6c5h2s 
KhQd3d2s2c TsTh7c5d2d Ks9c5h4h3d Ad7s5h4h2c 
QdJc7c4h2s Tc9d5d4s2h JhTs3h2h2c 8d5s3c2s2d 
Kh8d7d6s2c Td6s6c4d3d QcJd9s3s2s Tc8d6c3s3c 
Qd8s6d3d2s 9d6s5s4h2s Th9d5c4s2s Ks7d6s3d2s 
Qc9c7s7c4c Kh8d6c5s2s KcQs8h4s3s Jc9s7h6d2h 
Jd9d8h2s2d Td6c5s4h2d Ts8h6s3s3c 8c7s4s4h3d 
JcTh7c3s2c Kd6s6h5c2s 8s8d4s2s2h 6s5s4s2d2c 
Kh9s7s5c2d Qs9s9c3d2h Th9c5c4s2d Ad7d6d2s2h 
KcQd8h7s3h Kh7s5d3c2h Ts8d7s4s2h QdTh4h3c2s 
KdJh7s4c2h Qd4h3c2d2c Ts9d5h5c2d Ks7h5h4h3h 
Jh8s5s5c2d Jd9c6c5c2c 9c7h4s4h2c 9h7d5s4d2c 
Qc8h4s4h3s AhJs8h3h2h Qc5s5h4c2d As9d7c6h2d 
Th8c7h4h2d Js6s5d4s2h KsQd8d5d2d 9d8d5s3c2h 
Jc7s7d2s2d KhJh8d4h3h Ts9c5s4d2s Th8h7h7d3h 
Kc9s8s6h2s Ks9c5d4d3h Td8c7s4s2h Qd6h4h3s2s 
Qc8s7c6d2c Ac8c7h3c2d KsTc8h4h2h KsTh5c4c2c 
AcTd7d6d2d Qh7h4s4c2s Ts7d7c6s2h 9s8c7c3d3c 
Tc7h5c3h2h Tc8s7h4c2c 8c7h4h4d3s 9c8s8d4s3s 
QhQc8s8h8d 8c7c5h5c2s Kd9d5d4c2h Td8s7d6d2d 
7s7h4c2s2d Kd7c3s3d2c Qh8d4h3c2c Qd9c3d2h2c 
AdJd8d4d3d KsJc5c3c2d Ts9s7c3d2h Qh9d3h2s2d 
Qh8c7c5c3d QcJd7s3h3d As9c3h3d2s AhTd6d4d2c 
As8d7d6d2c 9s9h8s4s2c KcQs5d2h2d 9s9d8d4d2h 
QdJd7s3s2d Qh6d5c4s2s Td8d7s5d2d KhTd4h3h2s 
Jd9h7c6c2s Td8d7d4d3h Ac9s3h3d2c Qs9d7s4h3s 
Qc8h6s6h3d Qs8s6h4d2s Qd9d7c5s2d KhJh9h4h2d 
Qd8d6c3s3h As8c5c4d2h 9c5d4s2d2c KdTd8c3s2d 
Jd8h5h5c2s Qs7d6c4c3c 9d7d4h4c3s As9h9d4d3c 
Kc6s6h3c2d 8d7h4h3s2s Kd6h4c2h2c Kc9d6d4h3d 
Jc8d4c3h2h Jc8d4s2s2d Th8d7s4h2h Qs7c6s5d2s 
Ah8s7d3h2h Qc8d8c7c2h Qs7c6c3c2s Ah8h8d3h2c 
Ad8c5s4c2c Td9d5d4h2s 7d6d3s3h2h KcJc4h2d2c 
Th6d4d2h2d QsJs7h6s2d Kd8s8d3h3c KcQd5h3h2h 
Qh8s8h3h2s Jd8h7c4d2s Ad8d6h6d2d Jc8h4c3s2s 
Qc7s5h4c2d Qh9h5h4d3h Qs9h7c5s2s Td9c7c4c2s 
Kd8h5d3s3d Th7d6h3d2d 9s9c6h4c2c Js5d3s3d2c 
KcTs7c4c2c 8s7d4s3h2d Jh8d6h6c2h 9c7d7c6h2c 
Ah8s5c4s3d Kh9s6c4s3d 9d8s8c3c2h Ks9d8d8c4d 
Qh6h6c3c2h 8d6s4h4c3h Tc8s6s4s3s 7h6h3s3d2s 
Ts6s6h3s2h Jc9s6s3s3d KdQs6s3s2h Tc6c5s4c2h 
Td9h6h4h2c Qc8h6h4h3s QdTh4c3h2s Kc6h6d5s2h 
Qc7h6h4h3s 9c8c4h3s2h Jc9c6d3s3c Ks9c7c6h2d 
Qd9s4h3d3c Th8d3c2h2c Th9d7d4d2s QcTh7h4d2s 
AdQc6s4h2s As7d5c4c2h KhQd6d4d2d Qh6d5s4c2c 
AsJd6s3s2h Ac7d5h4h2s 8d6d5d3s2h Jd8s7h4h3c 
Jd8d7d4h4d Jh8h6c4s2h Js9s6c3s3d 8d7s7h4c2s 
6d6c5d3d2h Qs6s6c4d3s Qs9h7c6h2d Ad9s9c5s2h 
6h4h3s3c2c Ac9h5s3h2s Td8h7s4s2c QdJd6h2s2c 
QsJc7s6d2s Tc8s7d3h3d Kd8h3h3d2s KdJh6h3s3h 
9d6h3d3c2h Qc8c7d5c3c Jc7h5c3s3d KsTd7s2h2c 
Td7h6h3s3h 9s9d8d4h2d Kh9s6c2h2d KcTd4c3c2h 
Kh9d7d5s2c AhTc5c4c2s 8h6s3s3h2d 9s7s4c3c2d 
Jd6s6c4d3h 9s9c5h4h2h 9c6s6h4d3d Tc6s4c2s2c 
KsQd9d4d2c 8h5h5c4h2s 9c6s6h4h3h QhTc7c6c2c 
7h6c5s3s2d Jc7c4s4h2h 9h8s8c3s2d Td8s7c4c2h 
Ts9c8h3c2c KdJd8d6s2d 9s9d8s3h2c Kd9s6c4s4h 
Tc7s5c3h3c Ac9h9c3c2d Qs7s6h3d2d Jh8c6d6c3s 
JsJh7d6c2d Tc6d5h4c2s Jd9c5s5h2s Ks8h6c5d2d 
9h8d8c4d3d Ac9s5s4s4h Ad8s7s6s2c 9d7d4s4c3h 
Qs8c4h3h3c Th8h8d4h3h Kc8s4s3c2s QcTc6d2h2c 
Qd8h8d7d2c 8h8d5c3s2c Ah7h4h3h3d 9c8d4d3h2c 
KhQc7c4s2d Td9c7h4h2h Ac8d5s4d3h 9h8d5d4d2c 
9s8s7d4s3c KsTh5d4d2d 9c8c7c4s3d 9c6h5h4d2h 
Ks9d7d5h2c Qs9s8s8d2s Js8d6d6c3h AdJs6d3h2d 
8h6h3c2s2c Kc7h5h4h3h Qh5d3c2h2c Qh7h6d3c2c 
KdQh9s7c2s Qd9s8d4d3h 8d6s4d3h3d KhQd8c4s2d 
Kc8h8d7d2s Jd8c5h4h3h AsJh9d3h2h QdTd8d5d2d 
Qs9h5d3s2c Qh9h8s4d2c Kd9s6s4s3c KsQc7d3h3c 
Jd7h7c2h2c JsTh7s3c2s 9h6d5d3s2c Tc9c7h4d2c 
Th8c7s3s3d QhJh7c4d2h Qd8s6s4s3c QdJd8d7d2s 
Ts8s7s5s2h KhQs8h6h2h QsQc7d3c2h Qc9c7d7c4c 
Kh8d7s4s4c Qd9d6d4d3c Jh8s6d2s2d AsTh7h5h2h 
Tc7d7c5h2s Jc5s5c3s2c Ts7d6d3h2h 6s5h4c3c2c 
Ad7c5d4d2d Js8h6c2h2c QdTs8c3c2h Ts8h5s3d3c 
9s6d5d3c2h 9s9c6d4s2s 9d7s7c6c2c As8h7c6d2c 
Ks7s5d3h2c 6c4d3s2s2d 6s5s4h4c3s QhTc7s7h2h 
Ks5s4c3h2s Jc5s4s3d2d KdQd7d6d2c Qs8s7s7h3c 
Jd9s8h4d2d Jc5h3d3c2d Ks9c5h5c4c Jh8s8c4d3s 
Kd7c5h4d2d KcJd7d5d2d QhTc8c3s2c 8c5s5d4c3h 
QcJc9d3c2c Kd9d8s7d3d Th7s7c6h2d KdQs9h7h2h 
AsQh7h4h2d 6s6c5h3d2h QsJs7d3h3c 8c6h5d3s2c 
Kh8s6s5s2c Ah7s6d5s2s Qc8d7s7c3c 8h6s5d3h2c 
Th9h7c4d2h AdTc6h4s2s KsJc8h4d3d Kd9s8c5h2h 
Qh8h4c3c2d Jd9d8c4d2h 6c5d4h3h2h Kh8d5s5h3h 
QdTd3h2s2c KcQh5d2s2d Qh8c7h7d3h Tc9d5s4h2s 
Td6h6d5c2s 6d5s4d4c2h Qs7c4h3h3c AsJd8d2h2d 
Jc8d7s4c2h Td9c7d4d2h Jh8s5d4d3d 8d7h4d3s2s 
AcTh6d4s2s Js9d6h6c2s KhQc5c2d2c Qh9d7s6d2c 
QcTs7d7c2c Js9d6d3d3c 9h8h5d4h3h Ah9s9c4s3d 
KdQd8s4c2d Jc6h4d2d2c As9c7s3s2d 8d6c5s3s2s 
Td7h5s3h3c KdJc5h2s2c 9h8h3s2s2h 9s8s8d4c2s 
AhQh7h4h2s 6s4s4h2d2c 9d4s4h3d3c Qd8c4d3s2s 
Ad9c5c4s3h 9d8d7d2s2c Qs8s7h6s3s KsJc6s6d2s 
8h5d3d3c2c Kc8h6h5d2h 8h6h4h4c3d AcJh7h4d2h 
Qd8h6s4c3h Ts7h5c4s2d As7d6h5d2d Qs8h6h4h3c 
Kc8s5c3h3c Qs7h5d4s2c Jh8c6s2s2c Qh9c5s5c3c 
Jc8h7d4d3s KsTs5d5c2s Jd7s6h3d3c Tc9c4s3d2h 
Qs9s5s4d2c 9d8h5s4s3s AsJd5d2h2c Qd6h4d2h2d 
Qs9s7c5d2s Jh9c7c3s3c Ts7c5h3d3c Kd9s5h2d2c 
Kh8h7c3s3d Td8d7c5d2d 6s4c3s3c2h Th7c6c3s2s 
As9h9d6d2c Ts8c5s4s2s KdJc9h4s2s QdTd7h7d2c 
JhTh8h3h2s 8h6s3s3h2c Tc6c5c4s2d Ac7c4c3d3c 
9c8c7c4d3h AhJh6d3c2h AsKd6s3s2s Jd9d8d3s3h 
As8c5d4h3h KsTs8s3d3c 9h6d5s4s2s 8c7s6s6d2s 
Jd9h8c3d2s Ks9d5c4h3c AdJs6d3d2h 8s7h7c4d2d 
As9d7c5c2c 6c4d3d3c2h Td9d5h5d2s Tc9c4h4d2s 
KcQd9d2s2h Qs8c5h5d3d TdTc3h2s2d TsTc3h2d2c 
AhJh5h2h2d KsQs3c2s2d Jd9c6h4s2d Qc8h4h3s2c 
Ac8c6h3s2c 9s8h4h3d2s Kh9c8c5d2c Kh8h5h5c2d 
Ks8s6c3s3h Kh9d5c4s3c Ac8s7d6h2d Qd7h7c4d3s 
Qd9s7c5d2d 8c5h5d4h3s QhTd6d4d2d Ac9d5h4h3s 
KsJs7s3h3d KdQc9s3c2h KsJd5h3d2d 8c6d4s4h3s 
Tc6h5d4c2s Ac9c5c2s2d Td8d4c3d2c 9d8d5h3c2s 
AsQh8c3d3c 9h9c5s4s2s Js9s8d4s2c QdJd4d2s2h 
9h6d5s5c2s 6s4c3h3c2h AhTd7d6d2d 9d8s5c4s3s 
Ah7d6d5d2c Td8c6c4c3c JsJc4h3d2s Qc6s6d4d3h 
Ts8h3c2s2c Qd7s4s2d2c AcQhQdQc3s KcQd5s3s2s 
Qh8d7s5h2h Ac8s7s6s2d Qd7s7d5h2c Kd9s8s8c4s 
AsQd7d4d2c Jd8s8c7s3s 9d7s6s2h2c Qh8h6s4c2h 
KcQh6h3h2d Qh8h8d3h2d Kd6s6h3d2c Kh6c5s3s3d 
Ts8h5s5c2s Jd8s8c4h3s QdJd7s3h3c 9h8s5h2h2d 
Ks7d3s3h2d 9c6d5d3h2s Ts8c7d4c2c Js7c5h2h2c 
Qc7c6c4c3h Jh8h7h6c2d Ad9h7c5h2h QdJs8d4d2d 
9d8h5h4s2h AhJd9s3d2d AsTd8d3d2h Ts7s7d3d2s 
Qh9d5h4h3h 6c5s4s4h2s Qs8s7c4s4h Qs6h3s3c2c 
Qs6c5h4h2d Js7s4h4c2h KdJd3s2h2c Ts6c5h5d3c 
