JsTh6s3h2s 
8c7s4d4c3d Kh8h7h5c4h 8h7c4h4d3d AcQsJh6d2d 
Qh9s9c6s3d QdTh9s4s4c KhQc7d4d2c 8s5c4s4h3h 
QhJc9s9d2d ThTc7h4d2d Qs9h8c3s2h KdTs8d5h3d 
Qd9h8s7c2d Jh8c6c3h3d Js6s6d3s3d 6h6d4d4c3s 
KdTd8d5s5h QcJc7d4h3s QdJh6h3s2s 9c7s6d6c3h 
9c7c6s4d3h Jh8d7s7c4s Qs9c8h6c4c 9h6s5d3h2d 
Jc9s7s6s4d QhTh8h6d2h 6h5h5c3s2s 9s9h6h5h2d 
Qc6h4s4h3c Js8c7d5s3h KcJh9d6s3d KdQdJd7d4d 
AdJs5h4s3c Ac9h6s6h5h Qd7s5c4s2d 9c8h8c4c2h 
Js8h8c6s4s QdTh7d6s2c Th9c8s6c2c QsTsTd4s3s 
Ks7d6s4s3h Qh7s5s4d2h 9d7d6s6c2c KdTh8c7s3h 
8d5d5c4c3h Ad9d7d3c2c KhTd5s4c3d Kh9c7c3h2d 
Qd9h8d3h2c Ks6d4c2s2c Jd9h4h4d3h JdTc7s7h3s 
Kh8d8c7d2c QdJc7h5s5h Qh6h5h4d2d AcJh6d5s3h 
KcTsTh6d2h QcJc6h6c4c Jh9c7c6s4c 6s5s4h2s2h 
KhJsJd3h2h 9c8c7d5h3c Kd9c7c3s2d Qs9c8h6d4d 
JsTd6s6h3s QhTd9h6h2h AhJcTsThTd KcTs8d6h3s 
Td9c5c4d2c Ac9h9c6c2s KdJs6c5s2h QhQc8d4c3c 
7s7c5s3c2s Qh8h8c4d2c AdQhJd7d2d KsTs7d7c3s 
8c6s5d4h2s JsTh5h3h3c KhTh8h3d2d Td8c7s4h4d 
9h7c5h3c2s Ts9d6h2h2d Kh9c7c3d2h JsJd6d5c2h 
8h7s7c5c3d Qs8h6h4d3d Th9s8c7c2c Qc6c5s3h2s 
AcJdTsThTc 9h7h5s4c2s JhJc8s5h2h Qd7h6d4c2h 
9c7s6c4h2s JcTc7c4d4c AcTd8d6d3h Ts8h4s4d2d 
AsQh6c4s2s KcJh9h8h4d Th7h4d4c3c Kh7d5c3c2h 
Ah9h7h3s3d QdTs7h6h3h 6d5d5c3s3h Jd8c7s7h4h 
Ts8d6d4h4c Kc7h6c4c3d Td9h8s6d2d JhTd7h2h2d 
Js9s9c3h3d KhQc4h3s3h Kd7d5c2s2c Qh8s8h2s2d 
Js9s9c5d2h Kh9h5s5c4d Th7s5h4s2c Js9h7h4d2s 
Tc9h8d6c2c Jc8c7h7c6c Qc6c5c4h2h AhJd9c7s2d 
JsJh8d5d3c Tc7c6s4d2d Td9d7h4d3c Qh9d8h5c2s 
JhJc9s7h2h KdQs9h9c4s Qs9d8h7c2s Th7c6c4s3d 
Ac6h5d4c2c AcKc8c6c2h Kc9h8h7h5h KsTs9s5d3s 
Jd7c6h5h4h KhJd9c6c3s QcJh5c4c2s QhQc7h4d3h 
AsKc8d5h2d Ts6s5h4h2h QdTh8c4d3d KcJs9d7h3h 
KcTs8h7s3d JsJh8s8h8d Kc9d8h7c4c KsTh8d7h3c 
Jd9h9c3d2h Kc9s9c3s2h Jd9d8c6h2s Jc9s9h8s2d 
Qc9s7s6h3d QsQd6d4d2h QdTd9d4h4c KcTh9d4s3s 
KcTc7c5h5c QhQd8d4d2c KdJc7c4s2s QdJh6h5h2s 
Ts8s7h6s3d KhThTd4c2h KcJd8c4s3h QdJd9h4c3d 
Qh8h8d4c2d Qd7h5c4c2d Tc9c8c5c4h KdTh8c7h3s 
AsQd8h7d3d Ts7h6h5d3c Kd9h7c5s4s QcTh8s5c2c 
Ts7s4d4c3c Td6s6d5h2h Qd9c8s5s4h AsJhJd4c2c 
Qs9c8s3d2d Ac8s7h3s3h KhJd9c4h2s Ah6d5s4h2h 
QsJd9c8c2c Kh8s7h7d4h TsTc3c2s2c AhQd8s5s3s 
Kd7s6d4s2d JdJc5h4c3c Ad9h9d6d2c Jd8h5d4s4c 
8s5s5h4h3c Ts9d7h4h2d Qh8h8c4d2d 8s8c5s4d2h 
AhJh9s4h3h 8h8c5c4s2d Ac9c7d3d2c KdTc9d5s2d 
9h6h6c4c3c Jc9d8d6s4d KsJc5d4h4d Tc8s7c6c3h 
9s6d5s3d2c AcKh4h3h2d As8s5s4d3h Jd7s7d3s3d 
AhQs7c6c3d JsTs8d7s2s Qc8s5s2h2c Jd9c5c4h2h 
KsJc5s3d2h Qc7h6h6d5s Ks7s6c4c2s Qd9s8h4h3s 
AsThTd7c2d Js9c8h7c3d Kh8h8d4c2d KdTd6d5h2c 
Ac8s8d6d4d AcKh8s4h3h Kh9d8h5s5c KhTsTc7h2h 
Kc9c8c5d4s Ts9h4s4c2h Ad8d7h5d3d AsTc8s6s2s 
AcTd8h5s2d KdTd7c4s2h Kc6s6h3c2s Th5h5d4d3s 
Kc8h7s4d4c Kh9h8d5s2c QdJc6h2h2d Ks9d8c7s4s 
AhKsQs7s2s QhJs8d5h2h 9d7s7h5d3c Qd9c8d4c2c 
9s9c4c2s2d Ac8d6h6d4s Kc9s7h5d4d QcJd8c7s2h 
AcQd6s4c2c Qs9h8d7c2s Qc8s5s2d2c AsJh3d3c2s 
Jh9s9c6s3d KcJc6h2s2h 6s5c4c2s2c QsTd8c7c2h 
Ks9c7c3s2h AdQs9h6h3c Ks9c8s5d2h 8d7d7c5d3h 
KhTd7c6h2h Qc6c5d3d2s KsTsTh5s2c AsQh8d4s2s 
7h7d5h3d2h Jd9c7c6c4h AcJc9c4h3c QhTh6h3s2s 
AcKs9s9h9c 8h7h5c4s3d JsTs7s4s4h Tc8c5d4d2c 
8s6h5c3c2s AhTc6s3h2d JdTh7s4s3s Jc9d7s7d2s 
8h6c5s4d2c AcQh9h5h3h Ts7h5s4h2c Kh9d6s5h2c 
JcTd8c4s2c 7s6s5h5d3c AdKh8s6c3s JcTh8s4s3s 
QsJd9h7h4h Ts9h8c7c2c Js5s5d4c3d Ts9h8c5d3d 
9s9d8h7s3c QsQd8c4s3s Qc7s7h6d5s Td7s5d3s3d 
KcJs9c4h4d Ac8c7c6h2d Kd7s7c6s5s TsTh9c8c3c 
9s6c5d3c2s 9s7s5d5c2d KcTc7h4d2s Ac7s6s3c2c 
KcThTd6s2h 9s8c7d6h3c As8d8c6c4c QcTc9d7c2h 
Js9s9h8c4s KsQh6d2h2d KdJc9h5c2s Js9d9c6c3h 
Qh7s7c5h2s Jd9c8s2s2c Kh7s6d6c5s Qh8h5d5c4s 
QhJhTh6h2d Ts9s9d7c2h KhKc9s3s2s 9h7s5d4d2h 
KsJd4h3s3c Td9h6d3h2d Jh9s9c8c2d AcKcQc9c2c 
JhTs8s4c2s QcJs9d4h2c 8d6s5h5c4h AhKc4c3c2d 
Th7c5h4c2d AsJs7h4s2d QsTd6h4c3h 7c6h5c3s2s 
Ac8h6s4s3h Ad8s6s6c4h 9h7s5h3s2d KcJc5s5c3d 
KdJh9d6d3d AsJd7d6d3c AsKs8h2s2d Js8c6c4h3h 
9h6d5c3c2d 7s7c6h6d2d 9c7c6h4s3d Qc9s5s2d2c 
Ks8h8c6h2c Jd9c8s7c3h QhJs9d4c2h AdQcJsJhJd 
Ks8d5h4h3d Qs9d7d6h3c AcKcJc7c2c Jh9s9c8s2d 
Qc7h5s4h2c Ad6h5h4c2c Ks9s7s6d4s KdQsJc3c2c 
Ah6h5s5h2c Js9s8h5s2c QdTd6h5d2s KhJd7c5s3c 
ThTc6c3d2h QcJd8s3s3d TsTc9d4s2h 9d7s7c6h3c 
Ks8d7s7c4s As9d6d6c5d Th7h6d4s2s KdTdTc4s2d 
Qs8h8c7h3c AdTd3h3c2s JdJc8c7c3h Td7s6d4s2h 
9s7h5s3h2d Kd8h8c6h2c KhTc7d4c3s AdQh4d4c2d 
Td7s7c6s2c 9h9c8c4s4d JcTd5h5d3d Qd7d6d5c2c 
Qd9h8h3d2h QhQc6c4c2s Qh8c6s4h4d 8d6c5s5h4c 
AsQh8c4s2s QcTsTd7c2h AhJs8d8c3c Jh8d6h6d2h 
QhTh8s6h3h AsKd9c5d2d Js8h8d6s4s Tc6s6c4h4c 
9c8d8c4d2d Kh7h7d6h2d 9d7s5d4s2c Qd6s5c3c2d 
Jc7h7d5h4s Tc9c8s5d2h KcJc7h6s2d QhJc9d4s2h 
Qs9h5s5h2h Ac6d5d4h2h Jd9c4d4c3c KhQs8d7c4d 
KhQh9c7s3h KdTd9d5s3d Tc7h6s4s3d Js9h5h4d2d 
QsJc8h5s2s Ac8d8c5c3c KsTc7d5h3d Td7c6c4s3h 
Tc7h7d6c2d KhJc9c7c4c Kc7d7c6c2d QdJc8c6s3h 
QcTc5d4s2c KsJd7h4d3c Kh9h8c5d2s AdKc8s4s4h 
Ts9s9c6h2s Js9s8c5s2d QhTh9d7h2s 8h8c5s5d2s 
KhJs9c8c3d TsTd9c8c3c KsQs8c5h3s AsKc6s3h2s 
Jd9h8d4h2d Th6s6c4h2s Qh9c7c5d4s Td7h6h5s3c 
8h4s4h3s3c 9c8d7d5s5d Qs9h8s4h2h AdKh9s6s3s 
KcJhJd6h2s Js9h7d6h2d Ac8c7c5h3c Jh6h5d3d3c 
TsTc9h8h3h QdJh8c6s2h AsKd8c5h2c Qh9c7c5s4d 
9s9h7d3h2s 8s8d5s3d2d Th8s7d6c3d JdTs7h7c3c 
KsKh8d4d2d Jc9s9h3c2h Kh8s8d7s2d QcTc9c4c3s 
Kc9h6d5c2s Td8c6s4h4c Tc9c8c5s3d 9h8s7s5s4s 
KdQh8s5c3h As9d7h7c4c JhTd8h7h3h Js7c5c4s2h 
Td8s7h4d4c JsJc6c5d2h KcJc6h6d3s JsJhJc8h8c 
Kh9c7d5s4s Qd8s8d4c2c Jc9s9h8c3d AdKc7s7h3s 
Qs7s5h4h2c Ah6s6h5h2c 8c7d5h4h3s Td8h6h6c4h 
9h9d5s3s3c Kd9c7h5s4s AhTs5s5d4s QsJd9h4c2s 
Td6s6c4d2c KhTh5d3d2h Qd8s7s6s4h QdTs8h5s2c 
9h6c5h5c2h Tc8h7d6h3s Jc8d6d3s3c JhJc8c6d2s 
Ts9h8c5d5c KhJs8h3s3h Ts9h8c5c3d KdJh6d4s2c 
JsJc8h5s2s Jd9s8s7s4c 7h7d4d2h2c 9h7d5d5c3s 
JcTc5d4c2s Tc5s5c4d4c Kh9d6s6c5c 7c6h5d5c3s 
Js8h7s4h3h Ks7s7d5s3h 8h8c6h3s2s QcJs9h8h2h 
Ts9h7s3d2h Kh9h7d7c3s KcQc6s6c3d Jd5s5h2h2d 
9h6s5d3s2h 9h6d6c5s4d Jh9s7s6d3c KdQd4s3h3d 
KsQh9h6h4h KcJh9h8h4s Ks9s9c6h3s Kc9s7s3c2d 
AsJd7s3c2h JhJd8s5s3c Jh9d7c6d2c KhQc4h4d2s 
QdJh7s4d3c Qh7h6c4d2d 9d7d5s4h2h JdTd4d3s2s 
Qd9s8d3c2c Jh8d5d5c4s JcTs7s3d2d QhTs9h4h2c 
Qd9s5h3h2d Jd9s7h6d3d KsQc8s3c2c Jh6h5c4c2h 
Qd9c6h5h3s AcJd6s6c3c Jh8d7c6c4c Js9s7h6s3c 
Jh9h8c6s3d AsJc6s5s3s Qh9d5s2h2d Ts9d8c5h5c 
Td8c6s6c4c QsJh9d9c2c JsTc8d4d3d QhJd9s9c2c 
QhQd8c5s2c KdKc9h3s2s 8s8c5c4d3h Qs9h7h5c4d 
KdJd6s6d4d KsQd8h5c3d Kc7h5c3d2d AdTc6h4s4c 
QhQd7h4s3h KcQdTc8c3c JdTh5s3s3c Qd5s5h4h2d 
9h9c8c4h2c 9h8d7s6c3c KcJcTc6c2d 8d7h6s5d2c 
8h7h7d5h4h AdTd9d3d3c JhTs9s6c2s 8h6d4s3h3d 
KsTh8d7h2c Qs8d8c4d2s Th7d6d5c3s Kc7h5c4d4c 
KhQd8s5c3d Ac8h7c5c3c Kc9s9h4s2c 7h7c5c3s2s 
JhTc8h4s2h KcQc6s6c3h Ts9s9h5s3s KhTdTc3h2s 
Qc6h5s5h2s Qd9s7s6c3h AdJc8s8h3s JsTc7c3h2h 
Ts8h7d6d3d KhJh8d8c4h KcJd9s6h3s Ts9c8s7d3s 
Kh9s9h3d2s Jd9c7c4s2d KsJsTs4s3s 9c7h7d4s4c 
9c7c6s6h2h Ts8s5d5c2d 9h8h8c5d3h QhTd8s5h2h 
KdTs8h6c3s Kc8s7d4h4c 9c7d5c4d2s QcJd9s8s2s 
9h8c7d6h3h 9h9d8s3d2h KhTd9s6c2d AhTh8h4s3h 
AdTd7c4d2s Kh7d7c4h2d 7c6s5d3c2s AdJc9s6h4h 
Jd7d6s5d4d Kh9c8h5h4d Kc9d5h4s3c Ah9c5s5h3h 
Kd9c7s2d2c QsJd5s3s3c Tc7s7d6s2d KsTh9c4c3c 
Qs7d7c6h5c QcJcTc6c2s QhTs8d4s4c Qs9h7h7d5h 
AhQs9d6c3d KdTc9d4d3d KhQc8s6c3d Td6s6h4d2h 
QhTh6h6c3d AdTs7h6s3s Js8s5c3c2d 6h6d4s4d3c 
Ah8h5h4c3s AsTs7c4s2h 9h6s5s5h2h Kh6c4h2d2c 
Jh9c7c5s5c KdJs7h2h2d Qh9s5h2s2c AhKd8c5s2s 
QcJh8d7s3c AdKs7s4s2h KsTd8h8c4d QsTh5h4c3h 
Ad9c7s7d2d Tc9d8s7h2h 6h5h4s4h3s QhTs8d5s3s 
Th9s7s3h2s Kc9s9d8h3c JhTd7s7c3c Qs9h8d5d4c 
JdTs7s3c2c QhTc3h3c2c 9h9c7h3c2s AdJd9d4d3c 
KsThTd6d2c Tc7s6h4c2s 9s8h7d5d3c Ts9d8c6s2s 
QsTd5d4c3d QdJd6h6d4d QsTc3s3c2c QsTh5d4c3c 
KsTs8s3c2c 7d6h5s5d3c QhTc9d4c2s AsKd6s3h2s 
QhJs9h7h3d Ts7d6h5d2h Th7s6d5d2s 9c7h4s3s3c 
AhTh4c3d2s QdJs9h7s2c Ah9c8d2d2c Ks9s8s5d4h 
Qs9d7h6h4c QhTs9d5d2d 8h6s5d5c4d 9c7d5h5c2h 
KhQh8s4h2s Qh9d9c5s4d AcQc4s2d2c AdKh9c5h2h 
JsTh8h6d2h KhJc6s6d3h KcQc9d7s3c 9h6s5h3s2c 
Kd9d9c3h2c KdJhJc6s2h Jd8s7h5d3c Qd9s8c4c3s 
QdTd8c7d2h 7c6s5h3c2s QsJs9h4d3s Jh6s6d4h4c 
9d8c7c4d3c 8s8h5d5c2d QdQc6d5d2d 8c7d5d4h3s 
KdQs9c7s4s Tc9d8h5s5d 9s9d6c5d2h 6d6c5h2s2c 
Js8s6h4h3s Ah9h6d3s3h Jh9d9c7s3d Kc9s6s3s2c 
9h8h8c4c2c Ad8d7d6s2c TsTh6c3s2h QdTd8d5h2s 
Ks7s6c4d3s JsJc5h4c3c QcTc8d4s4c 8d6s5c4h3h 
Kd7h7c4d2h KhQc9h8h4s Qs8h8d4h2s AcKs9c4h2c 
KdJdTd7d3d Kh8h5d3c2c KsTc6s5s2h Qh8h8d7h4s 
9s6d5s3d2h AsJc9s3d2s AhKh8d2h2c Ah9s7d5c3s 
JsJd5s4c2h 7h7d6s6c2c 9h9d6s5d2c KsJhJc6d2h 
QhQd9c3d2s JsTc5h3h3d Qs8d7c4d4c KsJc9s5s2d 
QdJs8h7c3d Qs6h4h4c3s JhTs7d7c3c Kh7h6c4c2h 
JdTs9h3c2h 9s9c6h5s2d Kd9s5c4h3d Qc9d8h5c2s 
Ks7c5s4s4d QsJd6h2s2h 8h6s6h5c3d Qc7s7d5c2s 
Qc7c5s4d2s Qc9c7h5s5d 9s8d7h5c3d KdJc7h2h2d 
KcThTd3c2s Qd9c4h3h3d QdJc3h2h2c Qh6c5h3h3c 
KdQc8h7s4h Td9c8s7h2h Kc9h5c3h2h Qs8h6s3h3d 
AhTh8c4h2h As8d6h4h3d 9h7c6h4c2d KsQh9c6c3d 
KhTd9s4c3c Tc8c7c4d2d KdQdJd7d3s QhTd6d4s4d 
Ks8d8c6c2d Jc8c5s3s2h Ad7s6d3d3c KsQh8h5d5c 
QsJd3c2d2c KdTh6s5d2d QhJc8d6s2c JsTh8d8c3d 
AcKc8c3h3d Qd9s9c6s4s KdTd6d5c2s Th8d6d5s5c 
8c6c5h3s2h TdTc5d4s3h KhJd7h6s2c Qc8c6h3h3d 
Ts7d6c4c3h QsThTd7d2c KsQs9s9h5s AcTc8d4c2c 
As6d5h4s2s 9h9c8s7d3c Ah9s6h3h2s KsJc8s5s2d 
Qh9d8s4h2s 9c7s5c4d3h Kc7c6d4d2c 9d8d5s4s2s 
Qh6c5c4d2d Jc7d5d4c2h QcJc5c4h2d Ah6d5d4c2c 
KhJd5s5c4s QcJc9c8c3h KsQs4c3s3d AsQd9h4d3c 
Td7h7d6c3s AhKh5h4h3h Ks9d7c2s2d KsKhKcTd9c 
Kc7h7c5c3s AhQs7s5d2c Jc9h9c5d2s AdKc6d3s2d 
Tc9h6d2h2d AsJc5d4c3h Tc9s6h3s2h Kh7s7c6c5c 
AsTc9d7c2c 8s8h5s3h2h Ts6h5s5c2c Js9c8d7s2h 
QcTs7s7h2h Kd7h5d4d4c 8c7s7h5s3d QcTsTh7c2d 
9d7d5h4c2c KdJc4s3h3d KdJsJc6h3h 9s7d4c3s3c 
QcTc9h7c2s 7h7c4d2h2c Tc9s8d5s5h QsJd9s7s3h 
9s8d5d4s2s 9d8d8c4d2c Ts8h5s4h2h KsQs9h3h2s 
AdQc9c5c3c Tc9s8c7c3h QdJs8c5s2h KcTsTd6h2s 
Ks6d6c5h4h 8h7s7h5h4h JcTc9c4c2h Kc9d6s6h5d 
JcTc8c5h2c Jd5s5d4c3s Th9s6c3c2h 9d7s6d2s2h 
7d6c5s3s2d Jd8h6s6h5h 9d9c8c7s3h QsTh3s3h2h 
KsJc9c8c4h Ts8d4s4h2h AdQh8s5h2h Ts6s5d4d2d 
KdTc6h4c3s Kd9d5c2h2c Td8c4s4d3s Kc9d7s2d2c 
QcJs8s6d3h Qd9c8d3c2h Jd8s8d5c3h QcJh8d3h3d 
Kh9h9d5s4h QhTd8c4s4d KcQd6s6c2h Kd6s6c5h4h 
Kd7d6d5h5c KsTsTc4h2s Kh9s8h5d2c Kh6s6d5c4c 
QcJh8d6s2h Qd9d6d5h4d 9d9c4d2h2c Ah7d7c5c3c 
JhJd8c5h2h Tc9s7s3c2s QhJhTh6c2h Kh8d7c4s4h 
Td6s6d5c2c KcJd9s7h3h 7h6s6c4s2h 7c5h4h4c3h 
AdTd8s3d2c AdQh8h7s2h Qh9h5d3h3d Qc8h7d7c4s 
9h9d5c3d2c Ad9h6h5c2c JhTc8s6c2c Ad9d6h5d4d 
KcQc9d7h3c KsJhJc7h2d KcTc6s6d3c Ks9c8d7s4s 
9h8d7d6d3c 9d7s7c5d3h Qh7s5c4s2h Ks9s8d5h2c 
JsJh8d5h2h Kh9c7c3h2s Qs6s5s4c2c Kh9c8s3s2h 
KsQc9h6h3d QsQh8h4h2c Jc8d7h4d2c JdJc6c5s2h 
8h6c4s3h3c AcQc5c3d2h JhTs7d4d3d Qh8d8c6d4d 
KdTd6h6d3s QhJs5h3h3d AsThTc7d2c AcQcJc6h2c 
Qc9d8h4c2h AsKd5h4c2c AhTd5d5c4d As8s5d4s2h 
AhTh9h3h3d KcTd8d5h3s JsTc7c3c2s Ac5h5d3s2c 
KhJc5s4s4d KsTd8c7d2h 9h8c7d6s3s As9h7h6c2c 
Kc7d6s6h3c QcTd8d4s4h KcJh8c4s3d 8s6d5c4h3h 
Ks9s9d4d2d 9d7c5d4c2h JdTh8h5h3h Kd9h5s4c3d 
Kc8d5s4s3d QcTh9s7c2c JdTs8h8c3c AhKc7c4c3c 
AsQd8c5c3c QsTs9d7s2c KhQdTc3s2c Jc6h5d4s3c 
KhTd8h5s3h 9d7d5s4c2c QsQh5h3c2h Th7s6s4c3d 
Qh7s7d6h5h AhQs9s8s3s Kc9s9h8d3c KcJc8s8d4c 
AsJd9s3c2s Kd4s4h3s3h AdJh9s6c4c Kh6d4c2h2c 
AhJc9d7s2c Qd9s8h5h4c AcJs7h3d2c KsJs7h3h2d 
QcJh9c8c2c Tc9c6s6d3h As9s7s3h3c Tc8d4s4d3c 
Ah9s8d6c4d 9d7c6d6c2c AdTs6d5h2d Td8d7s3s3d 
Td6s6d5s2c QdJh8s3s3h QdTd8d6c2d AdKh5s4c2c 
Qd6h5h5d2d KhTh8s5h3c Th8s7c4h4d Jd9s8s3s2d 
AsKd8c5h2h AdKh8c5s2s Qh9h8h5c4d KdQh4s3h3c 
KcQd9h7d4d QhTc7h6d2s Qh6c5c4s2s 6h5s5h3c2c 
AdJc8s8h3c Qc9h4s3s3c Ks7h7c6h5h AhKc6c4c2d 
JhTd9d6c2d QhJs8c7d3h 9s9d6h4s3c Kh7d5s3s2h 
AdJc9c8c2c Kh7s6d6c3h Kd7s6s4d2d 7c6h6d5c3s 
Ah9d5h3d2h KsQc9h8d2c Jc9s8d7h3c Jh8s6s6c5s 
Ad9c3h2h2d KcJs9d8s2s KhQc8h7d3s Th8c7h6h3d 
7s7d4h2s2d Jc9h5d3d2c Qc7c5d4s2d AsTd8h8c2d 
AcQc9s9c3c Jh6c5s5h2s Tc9h9c6d2c Tc7h6h5c2h 
KsJs5s5d3h QhTc8s4d4c Qc6s4s4h3c KdJd6c2h2c 
KhTd7c4s2h QhTh7s7h4h Ad8d7s3d2s Kc9s9d8c2h 
JsJc7s4d3h TsTc7d5c3c Tc9h6s6c4c Qc8h5h3h3c 
Tc9s6d3s2d 9d6s5d2s2h As8c5d5c2d Tc7c6h4s2s 
Jd8h7s6h2s KsJh5d4d4c 9s9c5d3h3d QhTd8s4d4c 
QsTh9d4d4c Th7h7d5s2d Qs8c6d4s4h KcThTd6d2s 
Qh6s5s4d2d JhTc6c4s3c Jd7h5h4d2s KhTs4h3h2s 
QdJh7s5s5c Qs6s5c3c2h Kh7s7c4h2s QhTh6s5h3h 
Jc9h7s5s3s As9h9c7c3d Qh7s5h3s3h 9d9c8s7h3c 
AcQc5c3h2d Jc7s7h5s4d 8d6s5h5c4c KsQc6h2h2c 
Ks9c8c3c2s AcJhTh6h2d Ad9d6c5d4d AcQhJd6s2s 
Jc9c8h6d4c Js8d6d4c3c KhTc7h5h3h 9c8c5s5c3s 
7h7d5d3s2s KdTs8d5d5c AsJd8h8c3d Qh9d8c5s2h 
AhQd8c4h2h Tc7h6s5h2s QhJc7s5d3s Ac9h6s6h5d 
Jc9c7d6c3s 7d5h4h3h3d Qc7c6d5s3c KdTs9s7c2s 
KcQc8s8c3s 7d6d5s3c2c Qs9d7h6s3s Th9h8h5c3d 
Js8d7h6h4h Tc7h6s6d4h 8s7h6d5d2c 9h9c5d3s3d 
8s8d6s3c2c Th8h7d6h3c Qd9h6c5c3s Jc9h8h7h4d 
Jd6s6d4s3s KcQc4h3d3c 8c6h5s4d3h AsKd8d4d3c 
KdTd3c2s2c Qh9s7d5d2s AcJsJh4d2d Th7s6d5s2d 
QsQc5s3h2s AdJh7s3c2d Js9d7h6d2h Qh7h6h5c4h 
Qs9c8c2s2c KdQd6s2s2d As6h5s4c2s Jd9d6h6c2h 
8d8c6d5d3d Ts8s8h3h2d QcTsTc4c3c As9s6c3s3d 
KsJc9c5h5d KsTsTd5s2c Jc8c6h6d4s 8c5d5c4h2d 
QhJd7s5c3s 8h6h5h5c4d AsKh9c6d3d QdTh9s5s2s 
9d7d5s5h2s Jh6s5d4c3h KdJdTd4d3d AcThTd7d2d 
Kd9s9d6h3d Kh8s8h5d4h Qs9d6h6c4s Ts8s5h5c2h 
Js7c5c4s2d Qc8h8d6h4h Ks9c6h6d5d Qh8d7c4d4c 
Ad7h6d3s3d Kc9s5d5c3h Qh8s5c4s3c Ac5s5d3h2c 
Tc7s7h6s2h Tc7c6s5d3h AsJs8c2s2h Jc6h5s5c2s 
Td8h5s5h2s Td7h6c4s4h AdTs6c4s4h QdJc8d7s2h 
7s7c6c4s2c Qs9h7h7c5h AhQh8h4h4c Qd9c8h5s2d 
AcQh6h4s3h KdJc5s5c3h 9c7c5h5d2h Tc9s6d3d2c 
Kh7h6s6h5h Kd7d5h2h2c 8d6c5s3s2d QdJc8c6h3s 
9d8s6d5d2h 9s9h8c7s3d KcQc6h3c2h 9s7d5h4h2s 
KdJs9h5s2c QcJd7h6s3d Td8c5h5c2h Qs8s8d4d2d 
QcTs8h8c2c KhTs6s5s3c Js6d5c4h3s KcJd6s6h3c 
AcKc7h7d2c Kh5s4h3s3h JhTd8d4s2d QsTs9s8s4s 
Kc8h8d7h2d 8s6d5s4s4c JdTh9s3h2h Ac8c5s4c2d 
9h8s8d6h4h AcQs7s7d3h 8s8h5s3d3c KdQc9s6s3h 
JdTd5h4d2c Th8h5d5c2d AcJd5h4d3s QsQc8h6d2h 
Th9s9c7s2d Qh9d9c6c4c 9s8s6d2s2d Jc9c8d6h2s 
Jc8s7h7d4h JdTh7s7c3c KhQc9d9c4s AhJc8s8d3s 
QhJd5h3h3c 9h8h6s5h2c Kd6c4d2s2c 8s5s5d4d3c 
9s7h5s4c3d Qh8s8h4d2s Qc6c5d3d2h Ts9h9c7h2d 
Jd8c7h6c2h AhJs6h5h3h 6s5s5c3h3d Jc8s8h6s4s 
JsJd8s6h2c Th9c8d5d3s QcTs9d3h2c 9c8c6s4s2c 
AhJh9c4h3h QcJs9h7s2d 7h6h5c2h2c Kc6h6d5h2d 
7s7c5c3h2h JdTs9c4h2h Ts7d7c6c2d Qs9h7s5s2h 
9s8d7d6d3c 9h5s5h4s3d KsTh9s5c2s KsThTc6d2c 
8s8h5s4c2d KsJs8h3h2h Th9h7d4h3c 9s8d7c6h3h 
Qc9d8c3h2h Tc9h8s5s5d AdKc8h4c3c 9d7h4c3d3c 
KhTc6d4c3s AcKd4d3d2h AsTs8s4d3s 7c6s5s3d2d 
KsTh7c5d3c QsTh9c5c2c KcTs7h6c2c Kc9d9c3d2s 
Qc8h8c3h3d KdTc6d5d3d Jc7s7h6h5h 9s8d7s5s5c 
Js9s9d5h2c 9s8c7h6d3c Ks7h4h3s3h JhJd7h5s2c 
TsTd8c6h2h QdTd6s6d3c Qc8s6s6d5s 8c6c5d3s2d 
KcQc9c5d4c Ad8d5d4c2h 7d7c5c3h2h 9c6d5d5c2c 
Jd9s7s3c2d Ks8c7s6s4s AcTd7h4h3s AcJc9c5c2h 
AsKcJs6s2s Tc7d6h5s5h Kd9d8s5c4d 9c7d7c5h3c 
QsJc9h9d4d KdQh8d7s3c AhQc8d5c2c Kd8s7c5d2h 
Qs9s6s6d2d Kc8h5s4s3h 9c6c5h3d2d AcJc8d2s2c 
JhTs5s3s3c 9h8s7h4s3h QhJd5s5d3d KhJd4s2s2d 
JcTs8h8d3d Ks9s9h4h2h Jc9h8h5d2s KhQd9s9d4c 
QhJs8d6c2s QdTh8c4s4h 8h5s4h4c3c Qs9d8c4s2c 
9s8h6h5h2d 9h9d7s3h2d Ks5c4s3s2c Qs9h5d4s3c 
Th8h7s3s3h JhJc6c3h2c 9c7d6s6c3h Jc8h8d6h4h 
Kc6c5h5d4c QdJh9c4s2d 9c7h7d5s3s Tc9h8s6h2h 
Jc8h7s7d4d 6s5h4s3s2h Th7s6d5h2d Qh9c7d6d4s 
QhJh5h4d2s 9d8s5s4d2d AcJc9h4c3c KhJc7h6d2s 
9d9c8s7c3h QsTs9d6s2s Ac8c5h3s2d Ad8h5h4c3c 
Ad8c5c4s3s 7h7d6d4h2d Qc7s7d6s4h AsJdJc7c2c 
As5h5c3d2s KhQhJh4h2s QdTd5h5d3s AhKs9d5s2s 
