Kd8s4h3h2s 
Jc8c4h3d2s KhTc7h7d7c Qs9d8d4d2d Qc6s5s2s2h 
Jc8c7h3d2s Kd7h5s2s2c 7c6s3d2h2c QhQdQc8c4d 
9s5c3h3d2s Ts7s4s4c2h Qh9c7s4d2c 9h6c4c3s2c 
Qc8s5s3s2d Qh6c4h2h2d Qs8s5h3d2s Ks9d4h3d3c 
Ts8s3h3c2d Qc8h7d3s2c Jc7s5d3c2c QhThTdTc8h 
Jc9c8c3c2c 8s8d4c3d2d 7c6d3s2h2c Kc6c4c3c2s 
Qs8s7d2s2h 8c7d6s3s2s Jh8h6h3d2c Kd9h4h3s3c 
Jd8h5d3d2d Qc9c7h3d2c Kh9d6c3d2s 9c5d3h3c2s 
AsTd6h3c2h Qs7h4d3d3c 8d7h7c3c2c Jd8h4d3s2d 
Ts7s7c3s2d Kc8c4c3s3d Kd9s3c2s2c Kh8d8c4s2s 
7d6d4d2d2c 9s4s4h2d2c QhJc7h2s2h 9d5h5c4h2h 
8h4s3s3h2s 9s5h5c3s2d Ks9d4s3s2c Jc6d5h3h2h 
Kd9h7s3c2h 6s4h3d2d2c TsTd4s3s2s 9c7d4s4d2h 
9d8c7s3d2d Qs8c4d4c3h Ac9d6d2s2h Jc6d4s4h2c 
Js8s4h4d2s Ts7h6h3h2c Js5c4c3c2d AsTd4c3d2d 
9h8c7s3h2h 9h6d4h3h2s Kd7s5c3s2s Jc9s8s8d8c 
Qs8s4d4c2s Js8s7s2s2c Td8c4s3d2d 9d6s4c3h2s 
Qc9d3h2s2c Kd7d4h3d2s Jd8c4s4c3c Qc7c6d2h2c 
QcJs8s8h8c Ks7d5d3c2h KsJc8h3d2d Th7s4h2h2d 
Jc6s4s4d2h Kc8h7h4h3h 9s7d4h4c2c Kd9s6c3h2h 
5d4d4c3s2d Ah7c3d2d2c As8c7h3h2d Tc7d5c2s2c 
Kh5s5d3c2c 9c4d4c2s2h 7h6h3s2d2c Jc8c7h3s2d 
Qc5d4h3s2h 9c4c3h2h2c AdTs3s2h2c Kc8h7h4h2h 
KdJs8c2h2c Td7s4h3c2d Qs9h4d4c2h Tc6d4d3h2d 
JsJh7d3d2d Jc7s3s3h2h Jc7h5c3c2s Td7s6h3d2d 
Ah5c4c3c2c Kc9h6h3h2d Qc8h4c2s2d 9h8c7d3c2c 
8h6c4c3c2c 9s6h4d3d2c Jh8d4c2s2c Js7s6s6c2s 
9c6d4c3c2h Ad7d6d3d2h As8h7h3c2d Qd9d7d2s2c 
Ah8d4c2s2d Qd8c7h2s2h KsJc8d3d2h Qc8c5c3s2c 
Kh6h6d3h2h Qc9d7s4h2d 8d6d4d3d2h Ad8h7s3c2c 
Qc8h8c3c2d Jh6d4s4c2c Ts7h6c3d2c Qh8s5c3s2s 
Jd9s6h3s2s Jd6s5d3d2d Jc7c5c3h2d 9h5d4s3c2c 
Kh6s4s2s2d 5d4s4d3c2d Jh9c4d3h2h KdQh8h3h2c 
Ks7d7c4c2c Ac6h5s3h2h Td8c4s3h2s Qd8d8c3h2s 
Ts8s4c3s2h As7h4s4h4c 9s8h3s2s2d Jc6h6d2s2d 
8h5d5c3h2h 9h7h4s3c2d 9s9h4h3h2d 9c8c3d2s2c 
Ad4d3s3d2d Ks8d4h3h2d Qc8s4s3h3d AcTd3s3h2s 
Jh8d4s3c2h 7c6c3h2d2c Ks4s3s3h2c Th6d6c3h2h 
9d6s4c2h2c Ad8c7s3s2h Tc5c4c3h2d Jh7h5c3s2h 
Tc8s4d3h2h 5s4c3h3d2s Jd5h4s3h2h Qh8h8d4h2h 
Kc8s7s4s3s 5c4s3s2s2h Ts8h4h3h2c Kc8s8d4h2s 
8s7s6s3s2c 9c8s3h3d2c Ts6c4d3s2s Ks9h7h3c2d 
9h4h4d2s2h Ts7d7c3s2s Ad9h6h2s2c QcTd7h3h2s 
TsTh4h3h2h Jc7d5d3s2h Jc5s5c3d2c Ac4c3c2s2c 
AsTh4c3d2d Qd7h4d4c2s Js6h5h3d2h Qd6d6c3d2h 
Kh8c4s4c3d KsKdKc5h3c Ks9s4s4h2d Jd5h4d3s2d 
Jc5h4h2h2d Js9s7s3d2s Kc8c7h3s2c Jd5c4s3h2c 
Jh9s4s2s2d Ah9s6d2s2c Tc5h4c2s2c Kc8s7h4h2h 
Jd5s4h3s2s Qc9c3h3d2s Tc6s6d3d2h 9h7h4d2s2c 
Kc7d4d3s3d Th7c6s3h2h Ts7c6c2h2c Qc7s4h3h2s 
As7h3c2h2c Ks7c5d3c2h QcTsThTd8c 7s5h3c2s2d 
Kh7h6s3c2h 7s6s3h2s2c Ks5s3s2h2d AdJhJdJc2s 
Ac6s5s3s2s Jd9c3h3c2s 9c8c4s3d2h Kh9s8s8h8c 
Ac7s5d3h2h 4d3d3c2h2d Tc8c6c3c2d 9c4s3s3c2c 
9d5s5c3s2h Kh8c4d3d2c 5h4s4h3h2c JdJc6c3c2c 
Qs9s4s3c2d Qh6s4s3c2d Qs7s7d4c2s Th7h4s3c2d 
6c4c3s3d2h 8h7d6h3h2s Qd6s6h2h2c Qs6s6d3s2c 
Jd8s6h3d2d KsQsTsTdTc 9s9c4d3s2s ThTc4d3s2s 
AsTc3h3c2c Ks8h6h2h2c Qs9s7d3s2c Ts8h3c2s2d 
Qd8d6h3s2d Qc8h4s3d2c 9d7s4s4h2c Qh9c7h3s2h 
As8d7h3h2c Qc6s4c2h2c QsQhQd8s4d Jd8d7d2d2c 
AsTc5c3c2c 9c8d3s3h2d Kh9s4d4c3s Qc8d3h2h2d 
Ac9h6d4s2s Ac9h6h4h2s Qh8s7d3h2c Kh9h4c3d2h 
5h5d4s3s2s 8h8c7d3s2s Jc8c4s3d2h Qd8d7d2s2c 
Tc4c3d2d2c Ac7d6s3h2s Kd9c8c4c2s 5c4s4d3c2c 
Qd7s4h3h3c 8d6d3h3c2s AsJh6h3h2c AsTs6s3s2s 
QhTh7h2s2h Qd6s4h4c2h 9s6d4d2d2c Kc9c8s3c2c 
9h8c4c3d2s Tc4s3d2s2d 9h5h3s3h2c 9s5d5c3s2s 
Jh9s4s3c2s 8h7s7c3h2d 8d7d7c3d2d Jd7h5c3s2s 
Kh9s9c3s2d Kc9h8c3c2c AdTs6c3h2c Qs8s5s3s2c 
Ac7h4s4h4c 9h6c4d3c2c Tc6s4c3c2d Th6s5c3c2c 
Ts7d4c2h2c Qs7h5s2s2c Ad5h3s2h2c Jc8s7s4s2s 
9s5s3s3d2c 8d6c3s3h2h Kd7h6h2s2c Ks8s4d2s2h 
Qc6d4s4h2h Ks7s4s3h2c QhJd7c3d2d Kd7d4s3c2d 
Jc9c4c3d2h Ad9h6h2s2h KcQh8h3h2d 8s7s4c3s2h 
8c7s4d3s2h Td7h4s4c2s 9s8d4h3d2c Jc8s4s3s3d 
Kd8h6c3d2d Kh6d4d3d2s Js9h3d3c2c Qd7s4c3s3h 
Ts6h4d3h2c Qh9h7d3s2h Kh8s7d4c2d Jc6d6c4c2c 
Qh6s4c3s2d Kh9c8s3d2d Js7d3d3c2c Jd6h4s4c2c 
Ac9d5d2s2d Jh9c4c3c2d As9h6d4c2c Ah9d5d3d2s 
Ac9s7d3d2d 7d6d4c3d2d KsKhKc7h6h Ah9c5s4s2s 
Kc9h7s4s2s AdQh7c3s2c Th6c4d3h2h Qd9s9h3s2s 
Kh7h4s4c2h As5h4h3h2h KhJs7s3d2s AcJs6s3s2h 
Kh8d6d2s2d As7h5c3c2c Qc6s6h4s2s 9s4s3s3d2d 
Qc5h4h3h2s Jh6h4s4c2h 9d7d5d4d2d Ks7c4c3d3c 
Qd9c8s3c2c Qc8s7s4s2d 9d8s8h8d7h Qd8s4c3h3c 
6h4h4c3h2d Qc8h4d3c2s Qh9s6s3s2s Kc6c3s3c2d 
Kh9s8d3s2c Tc5c4d2s2c KsKhKcQc7c Jh7c5s3c2d 
Td6d4c2s2d Ts7d6d3h2c Td8s4d3c2d Js5c3s3d2h 
Jc6d5d2s2d Kd8d7d3s3d Ah9c4s4d3s Js7s6d4s2s 
Td7s5s2h2c Js7c6h6c2c Ac9d7d3d2s Ad8c6d3d2d 
Kd8d4h4c3d Tc5s4d3c2c As5c3h2d2c Td8h4h3s2h 
Th8d4s3c2s Th6s4d3d2c Th8h3d2s2c Qc7h5d4h2h 
AhTc3c2s2c Ts8d3s2s2h Kh9h5c3h2h Ah6s6h6d4d 
Ad9c6s4s2s QcTsTdTc9c As9s6s3d2s Ac5h4h2s2h 
Qs4s3c2h2d Jd9s4s3s2c AdJh3h3d3c KsKhKcQh7h 
Kd9s8h4s2s 9c5h4c3d2c TsThTc9d8h Ah7h4h3d2h 
QdJd7s2h2d Js9s4s3h2d Qs9d8s8d8c Jd6s5c3c2c 
Th7h6h3s2d 8h6s3h3d2h Ac9d4s4h3s Ks9d8c4c2c 
9s8s3h2s2d 9s7s4c3h2d Qs9s4c2s2h Kh8s7d2s2c 
Qs9h7s3d2s 8h6c3d3c2s Jc8h7s3c2d As9h6h4h2c 
As8d6h3c2c Th7h5s3c2h Ts8h7c3c2c Th8c4h3d2h 
Kc5h5d3h2h Jd8d6d3s2c Ts8d7h3h2c Qd5h5c3s2c 
8d5s3c2s2h QsQhQdJh9h JsJc7d3d2h Ad9s4s3h3c 
9s9c4d3c2c Ks8c4s3d2h Tc7h4s4h2h QsQhQd5s3h 
JdTsTdTc5c Qd6d4h3d2c Qh9h4c3s2h Ac7h6c3c2c 
Kh8d5c3c2s Qh8d5c3s2c Qs6d5d3d2d Tc6c4d3s2c 
Jc8h4c3s2c Ts8s3h2d2c Jc6c4s3c2h Ad9h9c3c2s 
Th7s7d3c2d Jh6c3s2s2c Th7h4s2h2c Ac8c4c2h2c 
Kc8s6s2h2d 8c5s5h3s2s Qc9h7c4s2c Jd9s9h9d7s 
9h5s4s4d2s Js6s4h3s2d As7d6d3c2h Qc7d7c4h2c 
Ks9c8d3h2c Kd9h7h4s2h Qc8h3s3h2s Qh8d4c3s3d 
Jd9d3c2h2d Jh6h5h3d2h Jd6c4d2s2h Td6d5d2d2c 
Js9s6c3s2s Ks9s7s4h2s 6d4d3h2s2c KhQd8d3d2s 
Ac9s7s4s2s 8c7s7h3s2s Qs8d7h4d2c 9c5s5h3s2d 
QcThTdTc9c Qd6d4s3d2c Jd7c6h4c2c Qd9c4s4h2h 
Ad8s8c3c2c Th6c4s3s2d Ac9c6h3c2c 6c4s3h3d2h 
Ac8s7s3d2h KcJh8s3d2s QhJh7s2h2c Qd5c4h3h2h 
Kh8s7c3d3c 8h6s6h3h2h 8d5s4s3s2s Tc8c4h3c2s 
Js8s7s4s2s Ad9s5h2s2c Qd7s5d4d2d 5d4h3s3c2c 
Jc5s4c2d2c KdJc7c3s2c Td7s5s2s2h Ks9c4c3h3d 
Kh9c7s4d2d Kc9c4d3s2c 8s5s4s3d2s Kd9s8c3c2c 
Js7s5s3s2d Ac8d7h3h2s 9d5s3h3c2d Qc8d4h3c2s 
Kc8h8d4s2d 5d4s3d2h2d 9h5h3h3d2s Ad8h5h3h2c 
Kc4c3d3c2s Qh9s4h3d2h Qs7h6s2s2d Qs6d6c2h2d 
Jd8d7s3c2h Td5d4d3h2s Ks7h7d4h2h 9c8d4c3s2h 
Ad7d6d3s2d Qd8c4c3s3h 5h4d3s3c2c Tc5s4c3c2h 
Kh7d3s3h2c 9s6h4s3s2d QdJd7c3h2d 7c6c3s3c2h 
Ac7h4s2h2d Qs7c6h3s2d Ah9d6c4c2c Ts5s5d3h2c 
Jh5c4h3d2h Jh6d4d4c2s Td5d4h4c2d 9s8s8h8d7d 
Kc9d6h3d2d Qd8d6s3c2d Tc5c4s3c2h AhTc4c3c2s 
6h4d3s3c2c 9h7h4s2h2c Kd7s6s2h2c Qd5d4s4d2d 
Ad7c6s2h2c Ks8d6c2h2c KsKhKc9c5d Kd7h5c3h2h 
Qd7d5d2s2c Kh9c6s3d2d AsTh4d3h2h 8d5s3s3h2c 
Tc6s6h3c2d Qs6c3s3h2d Ks9d9c4d2d Qd7d6d4h2d 
Js6d5d2h2c 9h8s8h8d7s KhQs8s2s2c Qc9c7d3c2s 
Kd8c7c2s2h Jh6h4h3h3d Td8c3h2s2d Qs8h5c3c2c 
Th7d6h3c2h JcThTdTc5d 9d4h3s2s2d Ah8s8c3c2d 
Kc8s8h4d3d KhQh8h2h2d 7d7c6s6h6d Qh7h5h5d2h 
Jc7d3d3c2c TsTh4d3c2c Jh9h7h2h2d Th8c6c3c2c 
AhKs9h9d9c Jh8d7h3c2s Js8h6s3s2d Ah9d6s4c2c 
6d4d3h2s2d Ts5c4d3h2c QhJs7h2h2c Ts5h5c4d2d 
Jc5h4h4d2h Ks7d5h2h2c Kh9d5c3s2c Th5h5d3c2s 
Ts7s6c3h2s Js9d4d3c2d Ac7h5d3h2h Jd9s8s8d8c 
7d5s3h2d2c Th6h4s2h2d AdQh7s3c2c Th8s7s3c2s 
AsQd7c3h2h Ac6d4h2s2d Kc9h4d3s3d AcTd4s3d2d 
Th7s7h3d2h Ts8h4s3d2s As7s6s4s2s Jd6s6h2h2c 
7c6h4h3h2h Tc6d6c3c2s 6s5s3s3h2s KhTsTdTc9s 
KdJc7s3h2h Qd6c5c3c2c 8d5h5c3s2s Qd7h4s4c2d 
Jc6d4h2s2c As9d5d4d2d Tc6h6d3c2c 8d5c3s3h2s 
Ad8h4s4c2c Js8s4s2h2c Js6c4h3d2s Kc9h5s3d2s 
7s6c3h3d2c Jh9h3s3h2d Ks9d7h2h2c QsJs7d3h2s 
9h4h3c2h2c AhKc5s5h5d AcTd4d3d2h 5d4h4d3s2d 
Tc7h6d3c2c QhTh7h3c2h Qs9s7c3s2h Ts8d6d3d2d 
Kd7h5s2h2c Kh7s5d3c2c Jh6h6d4h2h Tc7s6s3d2h 
Qd9d7s3h2d QhQdQc9d3c As8h7d3d2c 9d4h3c2h2d 
Qs7h7d2s2c Qs7h6s2s2c Ks7d5h3c2h Ks9s7c4s2s 
Kd6s4s2s2c Js6s4s4c2h Qh7s7c6d2d Ts7h6s3s2d 
9c6c4d2h2c Tc5s5h4s2s Th8c3h2s2h QsQhQdJd9d 
Td7h6c3h2s Ts7d4h4c2h Kc4c3d2h2c Ks9h6d3c2h 
9c6s4c3d2c Js8h4s3c2s Ks7h7c4h2h Qh9d7h3h2s 
Js7c5d3s2s Ks9h4h3h3c Qs8h7c4d2d Qs7h4d3h2d 
Qd8d4s3h2c Ks9h8d4d2d Qh4s4c3d2h Kc7c4s3c2d 
Ks9c8s8h8c Js7c3c2s2c Ah8d7s3s2c 9h6d4c3s2d 
9h6d4c3d2d Qh9d4h3h2s 9s8c4d2h2d Qc5c4c3c2h 
Qd8h4d2d2c Kc9s8s8h8c Jd9c6h3s2s Jd9h7s3s2s 
Js8d4s3s2c 7d3s3h2d2c QsQdQc8c4d Qh9c3d2s2h 
Ts7h5d2d2c As8s3s2h2c 7c5s3c2h2d Jh5s4s2s2d 
JsJdJc8d6c As8h7d3c2c Kc9h8h4h2s Kd9d3s2h2c 
Kd9s7c4c2h Kh7d5d3c2s Ks8h4s3c2d Qh8s4h4c2h 
Qd9d7d2s2h Jc6c4c3d3c Kh9d7c3s2d Kd8s5s4s2s 
Jc9s4s4d2s Ad9s5c3h2h Js7s5h3d2s Th8h4s3h2d 
Jd9d6d2s2d 8d7d6d3d2s 9h6c3h3d2h Kd7d4h3s2d 
Kh8d7s4s2s Jh8d4c2s2d Jc8h4s4h3h Qs9d7d4h2c 
Qc7c5c2s2h KhJh7c3h2h 9h4h3h3c2c Ac8h7s3d2d 
AhTs4c3c2c KhQc8c3s3c AsTc6d3h2d Ts6c4s3s2d 
Jh7h7c6h2h Kc4c3h3c2d Qd9d7c3s2d Qd7d6h2s2d 
Jd8d6d2d2c Ks9s4c3d2s Qc6s6h3c2c 9c8c7c3c2h 
Ts8c4c3d2c Kd7s4s3h3c Qd9s7d4c2d Tc8c4c3c2h 
Ts7c4s3h2d Jh8d8c3s2d Jc6s6d2h2d 9d6h4s3h2h 
9h7h6h3h2s Qc7c5c4c2s As9h6h4d2h Ks9h5h3c2h 
Qd8c5c3h2s 9d5s4c2s2h Ah9s6s3d2c Ah7s5d3c2c 
Kh6s6c3d2c Kh7c4h2s2h Td6s4h3h2c Ts7c6c3c2d 
Kc9s5d3h2d Ad9s7c3h2c 9s5c4s3s2h Jh5c4s3c2c 
Qc8d7s3h2c Qh9h7d3h2c Qc9c4h2d2c Jh7h5d3c2h 
Ts7c6c3d2h Tc6c4d2s2c Qh7d6s6c2c 6s6h5h5d5c 
AsQsQhQc7s Td8h3d2s2d Qs6s4s4c2s 9s5s3s3d2h 
Kd7d6d2s2d Th7h4c2s2h Jd8d5d3c2d Tc7c5c4c2c 
Kc7h5h2s2d QhTd7c3c2s Jc7d4s4d3d Kh8c7c4c3c 
Tc8h7h3s2h Ac9s7d3h2h 5s4s4d3s2c QhJh7c3h2d 
ThTdTc7s7d Ts7c5s2s2d Ks8s7c3d2s 9d6s4s3s2h 
Ad9s9d9c8h 9s8s4h4c2s Qc9c6c3s2c Js7c5h3s2s 
Kd7d5d2h2d Qh8c4s4d3s Kc9s7d4h2d Js7d6c4d2d 
Ad9d3d2s2c KdJh7c3s2c Kc8c7d3s2c Ac8h4s4h2h 
5d4h4c3d2d 9s8h3s3d2c 7d3s3h2h2c QsQhQc8h4s 
Qc9d4d3s2h Ks9h9c4c2c Kd7c6c4c2c Kh7h4s3d2h 
Kc9h8h8d8c Qc7s5d3c2c Kd8s7s3s3c Jd9d7d4d2d 
Ah7s4c2s2d KcJs7s2s2h Ts5c4h3s2d Qd5c4h4c2c 
Ac7c6c3c2h AsJd6d3h2d Qh7s7d5c2c Jc7s5s2s2d 
Kh9s7d3s2c Js8h5c3c2c Tc5s4d4c2c Ks4d3s3h2s 
7h3d3c2s2d Kh9c7c4d2c Qc8c5h3d2c AdTh3h2s2h 
Kh9d8h3h2h 5d4s3d3c2d Qc7h7c6c2c 5c4d4c3c2s 
Tc5h4d3c2s 9s6c4c3c2d Ah9s6d2d2c KdJh8s3s2c 
Ac9s6d4h2h Qc8d5d3d2s QsQhQd5h3d Tc8d4h3h2s 
9c8h3s3d2c Tc7c5h3c2d Ks8h4s2s2d Jc5h5d3c2c 
Jc7s5h3s2s AcTc6c3c2c KdJh7c3h2h Kc7d3s3c2h 
Kh9d4h4c2h Kc7c4h3s2c Jh5h5d3s2h 8c5s5d3s2s 
Ah8s7c3c2d Kh7s7h7c6c Qd8s8d4d2d Js5c4s2s2h 
Js8d6d3c2h Qs6s6d4s2s Th7c4d4c2c Js6h5d3h2h 
Td8s4h3s2c Js7h5s3s2d Ks8h8d4d2d 6c3h3c2s2c 
Ac8s7d3h2s Qs8s7h2s2c Th8c4s3s2d Kh6c4s4d2c 
Td6s4d3d2h KhTd7h7d7c 9h9c4c3c2s 9d8h3d2d2c 
8c6c3s3d2h Kh7c5s2d2c Qd8h7h4h3h Qh6h4c2h2d 
Kd9c6h3c2s KhJs7c3d2c Qd8h5s3s2c Kd9s6s3c2s 
Kh8c5c2d2c 9c5h4s3h2h KsJs8s2s2c Qd6c4s4h2h 
Qh7d5s5c2s Js8c4s3d2h Td7h5d2d2c Kc6d4s4h2d 
9d6d4h4d2d Qc5d4s3d2d Kh9c6c2s2c 9d6s3c2h2d 
KcTh7h7d7c Qc7c5c3s2h Ts8h7c3d2c Qd7s7c5h2h 
Ks7s4s3d2h Kd8c3h3c2h Qs7s7h4c2s 6h4h3c2h2d 
Js5c4d3h2h As7c6c3h2d 9h6h4h3d2c Kd7h4h3s3c 
Jh7h3s3h2s Qc7h5s5d2h Tc7c6c3h2s 7d6d4d3s2d 
Jc9c7c3d2c Jc9s3s3d2h KsTs6s3s2s Qd7h5d2s2d 
Qc9c4c2s2h Qh8s7s4s3s Ts9s9h9d7h Ks9c8d3h2d 
Js6h5h2d2c Tc8c6d3c2c 8s5d5c3h2h Qs8h7d4h2c 
Jd5s4s3s2h 8h7h6h3h2s Ah9s5d3c2d Qh7c5h2s2h 
QsQhQcJd8h 5h4s3d3c2h Qs7s7c4d2s Jc5h4s3c2c 
Ac5h3s2h2d Jh5s5d3c2h 8c5h5d3s2s AhQc7d3s2d 
Jd5s5h3c2d Jh9h4s4h2h AhQsQdQc5d Ac7c6c3d2c 
Ts8c4s3d2s 9h6c4s3c2c 6s4s4c3d2s QhQdQc5h3c 
Td6c4s4h2s Jc9h6d3h2h JhJd7c3s2s Tc8c7c3h2s 
Qd6d4d3h2s JsJdJc8c6d Js8h7c3d2s Jd9h6c3s2s 
9h6s4c3d2s Qs9s4c3s2h Jc7s6s4d2s 9h8h4h4c2h 
Jc8c7c3d2s Qs8c4d3h3c Kd5s3s3h2c Qd5c4s3h2s 
Td6h4s3c2c Td6s4h3c2h Jd7d5s3c2d 9s8c3s3h2d 
Qh9c4h3d2h Qc9d4s4h2h Qh9h9c3h2h Kc9h7h4d2h 
8h5h3s3h2c 8c7d7c3c2c 5c4h4c3s2c Ts8c4c3c2h 
Qs5h4d2h2c Tc8s5h3s2s Qd7s5d2d2c AhJc6c3d2c 
Ks9c4s3s2d 8s5c3d2h2c KsKhKcQs7s Tc5c4c3s3c 
Kc8c4c2s2d Kd9d4c2s2d AhQd7s3c2c AhTs4d3s2s 
Th7d6d2d2c Ah6s6h6c4c Th5c4h3h2s Js7s4c2h2d 
Ah9s7d3c2c Kh6d4d3d2c Qs8c5h3d2h Qc8c5c2s2c 
Qh7s6s4s2d 9c8s3h2s2d 6c4s4h3c2c 5c4h3s3d2h 
7c6c4s3c2c Kd9h4c3s3h Kd8h7c4s2c Qd5d4d3h2d 
Jh5s4d3c2d Jh9h4h3h2d Qc7d6c2s2h Kd8s8h4s2s 
AcJh8s8d8c 6c4d3s2h2d Qc9d7c3s2c 5h4h3s3d2c 
Kc7h5d3h2s 9c6h3c2s2c 9h6c3d3c2s 6h4s3s2d2c 
QdJc8s8d8c 5d4h3d2s2d Js9c6d3c2c Qd5c4h3h2s 
6d4s4d3c2d 9s5d4c2s2h Kh7c5s3d2c Js7d5c3s2s 
Kd6s6h3s2c Ks8h7d4d2d Qh9s7h3d2h 8d3h3c2s2h 
Kh5d5c3c2c 7d5c4c3c2c As9h5c4d2d Kd9c3h2h2c 
Js7d3d2s2d Qs8c5d3h2d 9s4s4d3d2s QdJd7h2s2d 
JsJhJc8c6h Qs8h7c3h2c Th4s3h2s2h Kc9d4s3s3h 
Ad5c3h2s2c Jh8h7d3c2s Qd6s4s3c2h Kh8h7h3h3d 
Qd6s6d4d2d AdTc4c3c2s Ts6s4s4d2s As7s7h7d4h 
Qc6s5s3s2s 9c6s4c3h2c Jc7h5h2h2d Ac7h4c3c2c 
Qc9d7s3h2d Td7h4s4h2h 9h5h4h3d2s KdJs7s2s2c 
Td7c6h3s2h Td6h4c2s2h 8s3h3c2d2c Ts7h5c3h2d 
Qd8c6c2s2c Qs7d6h4c2c KsQd7c3d2d Jd6d4c3s2h 
Ks9c8h4c2c As9c6d2h2d Tc8h4d3h2s Kh8s8d4c2c 
9c6h4d3d2d Jh7h5s3d2h QsQhQc9h2c Th6d4c3s2d 
Td7c5d3d2h Ah7c5d3c2c Qh8s5c3s2d As5d3h3c2c 
As9h6c4c2c Qs9s4d2s2c Qd9d4d3h2c Ts7h7c3c2c 
Js8h6c3s2s Qd7c6c4c2h AsTd6c3h2c Td5s4d2h2d 
Th7d7c3c2c QsQc6s6h6d Jd7c5h2s2c Ks8d4d4c3h 
Tc7s4d2s2h QsQhQcJs9s QcJs7c3h2c KhJc7d3s2s 
9c6c4c3s2d Kh9s5c3d2d Kd9c6s3c2c Ks4s3s3d2h 
6h4s4d3s2s Ks9h8d3c2c Ac7s7d7c4s Qd7s7h6c2c 
Kh6c4d3c2s 9s6s4h2s2d Kc9s7s4h2s Td7d6s3c2d 
Qs8h3h3d2d Qd8c3s2s2c Jh7c4s4c3c Kc9d8h4d2d 
Td7h4d3s2c 9h8h7s3h2h 8d4c3s2s2d 5c4c3s2d2c 
Jc8d4d2s2d Th8d7d3s2d 9d5h4d3d2c Jh7d6s4d2d 
Ts6c4h4d2c Jd5d4c2s2d Qs7c5s3h2s Tc8d4h3s2h 
Jc7h6h4h2s Js7s6s5s2s 9c8h8d8c7h Jh6s6h3c2d 
Jh8h4h3h3c Tc5d4c3h2c 9h6c4s3h2h Tc6s6d3c2c 
Kh9s6c3c2d Js8h6h3c2d Kc6c3d3c2h 9s9c4c3c2h 
Tc7d5d3d2s 9c8h3c2s2d Td5s4s3s3h 6h6c4h4d4c 
8h6s3d3c2d Jd9s3s3c2h 9c4c3s3c2s Ks9d7c4h2c 
Ks7d5c2h2c Kc7s5d2h2d Jh9h6h3s2h Ah9c6s2s2d 
Jd4d3s2s2d JsJh7c3c2c Qc9c8c3d2c Jd9d3d3c2h 
Ad9h6c4c2c Qc4c3s3h2d Jd6s4c3d2h Qh7s4c2h2d 
KhKdKcTs6s Ks9c6h3c2d As8d4h4c2c Kc9s3h3d2c 
Qc7h4s4d3s Jc9h4h3h2s 7c5d3s3d2d Ks9h4s3s2d 
Qd7c4h4d2s KsKhKd5s3c Td7d4c3h2s KdTh7s7h7d 
Ac9h6s3s2d Qh6d6c4c2c Qs7h6h4d2h Jd7c5c2s2c 
KhJs8d3d2c 9c6h3s2d2c Ks9c5c3d2c QcJc7h2d2c 
Jc7d5c3c2h Qh9h7c3h2d AdTc3s3h2s Td5h5c4h2h 
Ac6s6d3h2h Ac8c4c2s2c Qd9d7h3d2c Kh9s6c3d2s 
KcJh7h3d2h Kh6c4d2s2c Jc8c7d3h2s 8d5h3h3c2s 
Ks7s4s3c2d 8s6h3h3d2c Js6d4h4d2c Td8h4s3s2c 
Ks5h5d3c2h Kd8c5c2s2c Qs5h5d3c2h Ts7d4s3h2c 
Kc6s4s2h2d 5h4h3c2s2h Js8c4d3h2s Qc8h5d3d2s 
Jh7s6d4s2s Kh8d5s2s2c 9h6c4s3c2d Ac9h6d4s2h 
Th5h5d3s2c Td5d4h2s2d 7s5c3h2s2d AhTc4c3c2d 
Kc9h9d4h2h Qs8c5d3d2d Qs8d5d3d2c Td5s4s3c2h 
Qc7s6c4c2c Ah9s4s3d3c 5s4s4h3c2s Qs7h4d4c3d 
Ad8s7c3h2c Ks5c4h2h2d Qs8s8h3d2c Tc4c3h2h2c 
Qh8c7d4d2d Tc6h4d2s2h Tc8c4c2s2c Jh6s6d4d2d 
Kh8h4s2h2d Ks8h3h3d2d 9c6s4c3c2h Ts7s4d2h2c 
Th7s4d4c2s Qd6h4h3c2s Js5d5c3s2h As9h6c3d2d 
Ks7c3s3d2h Jh7s5c3d2d Jc9d7d4d2d Jc6s4h3c2d 
Kh9c7s3c2d KsQc7d3c2c 8s7d6c3s2s Jh6s4h3d2c 
8c7h6c3c2s Qc7d3c2h2d Js5s4s3s3c Jc8d4h2s2d 
Kd7d5d3d2h 9c5s4s3s2d Jc7c6c4c2s Ts4h3c2h2c 
9s7s6s3s2c Jh9c4d4c2c Th7d4s4d2d Kh9d8d4d3d 
Kh9d8s3s2c Kd9c6c2s2h Ac8h7s3d2s As9h7d3c2c 
KcJs6s2s2d Kc9h7h4h2s Qh7h5d3h2c AcTd4d3d2s 
Td7c5h2s2c AdTc6h3h2h Jh7s7h6h2h QhTs7c3c2c 
Kd9h4s4c3h 8c7h4c3d2s Jh6s6c4c2c 9s8d3c2h2c 
Qs7c6s3d2h Td5d4c2h2d Kc7d4s4c2c 8s7s6s3s2d 
Kd9s4s4h3s 7c6d3h2s2d Qh8h5h4h2h Kd8h6c2s2c 
Ks4c3s2s2h Ts7d7c3c2h Ad7s6s4s2s Ah6s6c3d2d 
Th5c4s2h2d Td3d3c2h2d AhTs6c3c2c Jh9d6c3c2c 
