AsJs9c5s2s 
Kd9s7d5d4d Kc8c4s4h3h Ac9d8s7h3s 9h9c8s5c3c 
Jd9c5c3h2h 9s8s7s7d5s KhTc8c5d5c Jd7s6d5d5c 
QdTd8d5h3d QcTc7s3s2h Qh6s5h3c2c Qh7s6c4h4d 
QhJc7h3c2d Tc8c7c5d3s AdJc8s6c3h As9h8d8c3d 
Kc8d6s6h5h AcKh7s3s3d AdQh9c5c2s Js6h4h4d3s 
7h6s6c4s3d Tc8h7h5d3s Kd8s5d3h2h Qc9h7s6h3d 
Td9d7d4s2s JhJd6s6c3c Kc8d7s5d2s JcTh6d3s3c 
JcTc6c3d2d Jh6h5d4s3c AsJh6c3s2d AdQc7d4d2h 
KcJs8c6d3c JdTs8s7s2s AdKh9d4d2s Ks8h6s3c2c 
JhJc5d4h2s Td9h5c4d3s Th9h6c4h3s AdTs6s6c2c 
AdQs6s4s3c Qc9d7c3d3c Js8c5h4h4d 9h6d6c5s4s 
7h6h5s5h3d 9s8d6d3s2h Kc8s4s4d2c QsTc5s3s3h 
QcJd5s4s2h TsTc8h5d2c Jd6h6d4s4c 8d7c5s4h3c 
9h7d6c4c2d JsJc7d4s3s Jc8d5h3h3d Ad8h8d4d2c 
Kd7c6h6c4s Ah9h8s2h2d QcJh8s3s2h KsJh7h3s2s 
KcTd8s7h3h Kd7d5s4h3d Kc8h7d7c3s Kc9c6s5c4c 
Qd8h6c5s5c Td7c5d4s2c QhJh9h6c2d 8d6d6c5h2s 
Qd9c7h6h3s JcTs7h2s2h Kd7d6c2h2c QhQc7d2s2h 
Ac7d7c3c2d 9d6s6h3s3c Js8d5s5h4s QhJs5d5c3d 
JcTd4s4h3c Qd7d7c5h4d Js7c6s3d3c 9h9d4h2h2d 
Td9h5s4d3c Kc9s6h5s4s 8d6h4h3h3d TdTc4c3d2h 
Jc9c8c7h2d Js8h6s5s3d Kh9c6s5d4s Qc9h9c7c3d 
9h8c5c3s2h Td8h4s4h2d QhJc5s5d3s AsQc8h7c2c 
Tc9h7c4c3d Ts9c6s4d3s Ah9s7d7c3d Qh8d5d4s2s 
KhQsJd6c2c KdJs4h3s2h Ah5c3s3h2d QcTs8s7s2h 
AhTh9h6h2s KcTd9h3s3d Js8c6s4s2c Ad9s8s5c3h 
AcJs4h2s2h KsTd7d4h4c QsJd8h6h3c AdKcJs6h2h 
9d8h6s3d2h QhJhTh7s2h 9h6h6d4c2c KhJc9d2s2h 
Jh9s8s8d3c KdJh8s4d2c Ad9d9c3s2h Th8s6s4s4c 
9d8s8h6h2c AsTs9s4s2h JdTs8d2h2c Th8d6h4h4c 
Qh8c5s5c3s Qh9s8h3s2s Td7d5d4s2s AhTh6s2d2c 
QdJs5s4c2s KhTc6h4h2s Ad7s5c4c2s Qh8s8c7c5c 
AsKd9d6d2h Ah4s4h3c2d QdTc7c3d2d Qc8c5d2h2d 
AsKs9s4d2h Td9c5h4d3s AhTd9c5s2d QcTc5d3s3c 
9c8h5d3c2h Qh7c6h5d3h TsTh8s7c2s KcThTd7s2h 
KcTh8s3d3c Kh9c8h4h2c 9h8h7h6d3c Qd7d7c5h3s 
8s7d6c5d2d Qd9h6d2h2c Th8s8d6s3c ThTc8c7s2c 
Jh9s9d4h4c KcQs9d4c2h 8h7s7c5d2c Ad9s8c7h3s 
Ks7s6c2h2c 9d9c8c3s3h 9c7d5s4h3c Qc9s7d6d3h 
AdQc8d7d2d 8d7h6s5c2d Qd9s7d7c4h Qs9d7d5c3h 
6h5s5d3d2s As9c6s3d2h Tc8s6c4d4c Qs9s9h7s3c 
JdTd8d4d3h JsJd6s4c3s Th9h6c5s2d AsJh9d5c2d 
AhQc8d6d2s Ts9d4s3d2h QdTc4s3c2s 9h7d6c4s4c 
9s8c7h6h3h AhKh5h3h2d KsJh9d4c3h KdJd8d5d4d 
AdQcTc3c2c Ts9h6h6c3h Td7s7h6c3s Qc7d6s6d5d 
Td9s8d5c3d AdKs6c5c2c 9d8c7d5h2s KhQc8c6d2s 
Ts8h8d5h3c Qd7d6h6d4s 9s9c4d4c2d Th7s6s6h2h 
Qs8h8c7d5d Qh8d8c2h2c Qh9s7d5d4d KdJd4s4d3h 
Ad9c8s6c4c Jh9s7h3s2d QcTh8h7h2s 8s5h4d3h3d 
Jh8d6s6c4s KcQs7s7d2d AdTs6s5s3c 9h7c4h3s3c 
AsJc5h5d3c Tc8d7c6s3c Kh9h8s5h2d Ks8h8c6s3d 
QhTs8s7c3s Ts7s5d3s3d Kh6h5h4c2s AhQd9s5s2c 
KcQhJc6c2c 9d7d6c4h4d Jh9c8d8c2s Jh7d6h3d3c 
QdTd7h3h2c 8d6s5d5c3h KdJh9c4s3c KhTc8h5h2d 
Tc9c8h3s3d KdQd8h8d5d Js9c8h7d3d Jc7d6s5h5d 
QsJc6d3d2c Kc9d7d6d4s QdTd7s3s2h Ah7h6s2d2c 
KcTd6c5s2c AhKh7h3c2d Kc8c6d5c3s QcTs8h7d3d 
KcJh7d7c3c KsQc9c5c3c ThTd8s5c2d 8c6s5c4h2c 
9c5d5c2d2c Qh9d6s4h3c KdJs9h8c3c Ks7d5d2s2d 
Kh9h7c3d2d 9h9c8s5s3s KdJs8h4d2c As8s6d5s3s 
Kc7h7c4s3d Ts8s7s6h3d QdTc8h7s3s KdTh5c3h2c 
Qc7s7c6d4c KhTs6d4c3d KdQh6s4c2h KdJc7c6s3c 
QcJsJh7c2d AdKs4s4d4c 9d9c6c3s2s KhQsJd7s2c 
Tc9s6s4h3d Kc9s9h6h4d JhJd5c4h2s QsTh5s3s3d 
Qs8s7h4h2c Kd9d8s8c2h 9c8d6h5h2h JcTs5s5d2h 
Ac6c4h3d2s Qs8h5d4s4c AcTs6s6h2h Jc6s5h4s2h 
QhJs4s4d3c Kh7h6h4d2d QsJd7c3d2s KsJd9h9c4h 
Th9d6h4h3c AhJc7s5c2d AsQh8c6d3c KcQc6s4c3c 
QhTs5h4c2h Jd6h5s3s3h QsTh8c5c3c Th5c4h4c3d 
Qs8s7d5s5c Jh7c6h3d3c Qc7h6c5d3c KhJc9s2h2d 
9h7c5h4s3h KcQdJc6c2c Ts9s6s4d4c Td9h9c6c2c 
AdQh9c6s2h AcTh6d4c2c Qc8h8c7c5c KdQc7s7c2s 
QcJd9d8d3d QdTc7s6h2d As9s5h4s3d JhTc8h2s2d 
8c7s5d4h3s AdTh9s4s3s Ks8s7s6h3d QdJh7d3h2s 
Ad7d4h4d3c Jd7h6c5s5h TsTc9s8s3s Jd6c5h4h2c 
Ah9h9c3s2d Th8d7d5c3s Ad9h8h7h2c Ts8s5s5d2d 
KcTd9d4d3s 9h9d8s4s4c KhQs9c8s3s 8d6c5h4s2h 
9s8c7s4c2c QhJdJc7h2s 9s7s4h3h3d AsQcTc3c2c 
QdJs8h6h3c AsQs7h2d2c Ac8d6s4c3c AsJh9h4h4c 
QdJh8s6h2c QsQh7c3h2c Js9h5s5c4s Ks6c5h4d3h 
KcTh6s6d2c Kc7h6h6d4s Tc6d6c4s2s AdJs5s3h2h 
8d7h5d4c3d Ks8s7d6s3c KcJh7s4d3h Qc9h6s5d2c 
AsTd9h2d2c KcJc8s4h3c 9s7d5h3d2h Th9h8h6d3h 
As7d6h6d2h 9s8d6c5c2c KcTd6s4h3s 8h6s5c4c2c 
9c6c5d4c3h QhTd4s3d2s 8h8c6s4c3c Kh7s6d5s5c 
KcTc6c4c3s QsQd7d5c2d KhTh8s5h2d KhQcJh7h2d 
KdQd8d5s5c QhJh9s3c2d AsJd7c6h3h Ah8h4s4d2c 
Jh9h7h7c2c Jd7c5d5c2s Kd9d6h5d4d Qd9s6c3d2c 
Kd7s7h5h2s QsTc8c7c2d Kd7s6c5s3h 8s8h5d2d2c 
Ks8d5c4s2h 7h6s5d3s2h KsJs7h4s3d 9s8h6s3d2d 
KdJh9c3s2d Ac9c8c5d3c Qh9h8c5d3h As9c8c5h4c 
Jh9s8s7c3d Qc9s8c7h3d QdJdTd8d3d 8d5h4d2s2h 
AdJs5h5c3s 8s5d5c3h3d Kc7c5d4h3c QhTs8s7s2c 
Th6s5d4s2d QdJc4h3s3c Th7c4d3h3c 8d7s5d4h3d 
8h7d6c5s2h Ah9h5c3s3h Qh8h7d5s5h Qh6s5h3d2d 
Ac9d8s6d4d Qc9c7c5d3h Ts9d6s6h3s Qs8h7h5d2d 
9c6c5d3d2c Jd8s8h7s4s KdJs5h4h3h Kd8h7c5s2d 
Qh9s7d5h3h Ac9d6c5c2s Kd9s6c5h3c Td8h8c6h3s 
Ah9h4c3s3d Ad8d6d4s4d QhJh9d5h2h Tc9s8d5h2c 
Ks6c5h5c2h Qs7c6h4s4d KsJd8c4s2h JsTs9s3c2s 
QcJhJd7s2d Js9d6d5d5c 8h6h5d4s2h 9d7d5s4h4c 
AsTs9s6s2c AdTd8d4c2d Qd8d7c4c2h Ac9d9c3s2h 
Qh9h6h5h3s KcQc9h6c2s Ks8d6h6c5h QdTd7c3c2s 
Qc6s5h5d4c As7h5d4d2h Kd8d8c7s3h Qc7d7c5h3s 
Kh8c6s6d5c KhTh8h5d2s KhQh4h4c3d KdTd8d5c2h 
QsTd5c3h3d KcJh5c4c3c QcJc8s5c3c KsQc8c5d2h 
Jc7d7c6h2d Qc8d5h5d3h KsTs8c4h3s Kd9c8d4d2c 
KhQsJs7s3s As9c8h8c4c QhTd8c5s2s Ah8h5h3d3c 
QhTd6s5c2d KsQhJd6d2d Ad6d4s3s2d AsJh9s3s2d 
AsQs8s7s2h JsTc8d3h2s AcKd8h6s2s TsTh7c4h3h 
7d7c5s5h2d Kh9s9d7d4c KsTs5s4s3c KcJc5s4h2c 
Th9s6s6c3s Tc9s6c4c3h AhQh4d3h2s KhQc8s5d2c 
Qh6d4h3d3c KdJc7d5d2s QhJs9h6d2h Qs7d6h5d2h 
9d8d7d6c3h Ad9d6d5s3d QhJd9c6c2s Ks8s8c7h2d 
Qs9d6h4s3c Ts9d6d4c3h Ad9d5h3d3c QsJhJd7c2h 
Kc8d6s3s2c QcJh4h3s3d Jd8h5s2s2d Kh7h5d5c4h 
Tc9d8c5h3c KcJd6s3s2d Ac9d8s7h2h Jc9s5s3d2d 
Ah7s5c4c2s Jd8s4s3h3d Tc9c8c7h3d KcJh4h3s2s 
Kh9s8d8c5c KcQc4h4c3s AsTd8d5c2d Jc9c8c7h2s 
9c7h5h5d4h Kh8c5d4h2s Js8s8d4d2s As9s8d2s2c 
Th7h7c4s2c Qs9c8c6c4h KdJs9s9h4s AhTs6c5c3d 
Qh9h6s6c3d KsQd9d5d4d KdTd8s4d3c Qs8d6c5h5c 
QsJh5c3s2d AcJc7c6s2d KcTd6c4c2s Jd8s5c3s3c 
AhJsJd7c2c 9h7h6s4h4c Tc9d6d4s3h KdQd9s6d2h 
Ts6h4h4c3s Js8d5h4s3c Tc9d6h4s4h Th9h7h4d2d 
KsQc7s4d3s Kd9s7s6s4h JsThTd6c2c Ks7c6c3s2d 
Tc7s6s4s2c QsJd6d5c2d Jc7h6h3h3c Jh9c7d6s3c 
9s8h7c5s2d QdJh5s4h2h KcJc6s6c2s AsQh4s2s2d 
Kd9h6h5c4h Kd8s5s2s2d 9d8s5h5c4s Jc7s7d6s2c 
JdTs5s5c2h 8d8c5d4h3d QdJs8s5h2s Qh7s6d5s2d 
8h6c5h3h2c AsQd8s7s2s Jh9d5s5c4c KsQc8s5s3h 
Jh9d8c7s3d Jd8d6d5s5c Qh7s7h4h3s Kc9d8d6s4d 
8h5d4s4d3s Ts9s8s5d2c AcJs8d4s3h Th9c6c4c3s 
Th7h7d4c2c Ac9s8d4s3d 6h5s5c3c2h KsQh5h3c2d 
JcTh7s2s2h AhKc9c4d4c 9s8h7d4s2h Qc9h8c5d3c 
JsJd5c4s2h Jd8h5c2d2c Jd9c5h3h2c AsKd8h6c2c 
Ad9d5s5h3d Jc7d7c6c4h JsJc5c2h2d KcJs9h8d3h 
KdJd8d7c3h 7c6d5s3d2c Tc9d5d3s2s KdQs6h4c2s 
AcKc9c4h2s 8d7c4s4c3d AsQc4s2s2h 8d7c6s4s3h 
Qd9s8h7d3c Kc6d6c3d2d Qs6h5d2s2d Kc6s6d4s4h 
Qd8s5s4h2h Jh8s6h5h3c Jc9h5d3d2h Jd9s7h6s3s 
QdJsJh7c2h 9h8h7c5d2s Ad7c6s4s4h Kd8h8d6s2c 
QhTd8d7d2c Ts7h4h4d3d Jh9h8s7d3h 9h7h4s4c3c 
8h6h5d3h2d KhJs9d6h2h KsJc8s4h4d KdJd8c4s3d 
Qc7h6h6d5h AhQh6c4s2h Ah9c8s7d3s Jd9d7s4h2s 
9h8h7c5s2d KdQd8c7d4d Kh5c3h3d2c ThTc9h8h3h 
8d6d4s4c2c AsTc8c6c2h As8c6h6d4h QsTc8c6c3c 
Ac5d4h4d2h 9h9d6d3h2h 9s7h6c4d3h Tc8s8c7d3h 
Ah9h7d6h2s AhJh7s6d2h JhJc8c7d2c Ad9s8h4s3h 
9c6s4s4c3s Qd8s6c5h5c Qd9d7d5s3h KcTd8d6d3s 
KdQc6h4s2c KcQcJc3c2d 9d8s8h5c3d AcKh6d5d2d 
TdTc8s7h2s KcTc9h2d2c Ac7s5c4c2d KsJsJh8s3s 
AhTc6d4h2h AdQc8h6h2s JsTh6s4c2d 9c7s5h3s2h 
Th7d7c4d2h Ah9c8s7d2c KsQd7h7d2h AcTc9d6c2c 
Ad4s3c2h2d Th9c5s4s4d KsQd8s3s2d Jd9h7d7c3s 
QhJd7d7c4d Qc9c8c4s2s Tc8s4d4c2s Ts9c5c3d2d 
Kh7s6h2s2c KhQcJd6s2s KsQh8s5s3d KdJd7c4d3h 
KcQd9s5c2c KhQh7h4c3d Jd7s7h6h2d Td8s6s5c2h 
Td9h5c3h2c 9h8s8c7s4s Jh9d8s6c2h 9h9c4s4h2s 
JhJd9h3c2s AsTc6d4s2s AsTc8c4d3c 9s7d4s3h3d 
JdTs7c5s2h KcJh7s6d3s KdQdJd3d2h QdJc9s6s2h 
Ts8d8c6d3h TsTc8h5c3c 9s8h6c3s2h Th9d9c8h3h 
Kd9h8h6h4c Ac8c6d5c3c Kd8d5h4s3c Qc9h6c3d2d 
AsKd8h5h2h AcQh6d3d2h Ts7h5s4c2c 8s6h4s2h2d 
Kd6s6h3s2d Qs9s9d8s4h Jd8d7h2h2c AhQc9c4c3d 
Jc9h7h6h3d AsQh4s2s2c QhJsTc7d2d Ac9d6h4h3d 
9s8s6s6h4d KdThTc4d2d Qd8h7c5d3s KsThTd4d3d 
QhTd7s4h3h AhQs4h2h2d KhQh7s3c2c 7d5d4s3c2s 
KsQs9h5s3s AsKh9h6h2d QhTh7c5h3h Jc9d7h2h2c 
Qd9d7d6s4d Jd7s7c5d3h QhTs8s7s2d AdQsTs6s2s 
QhTh5c2h2c KcJs9h8d3d QdTh7c6s2d AdJc6h2s2d 
Qh8d7d4h3d Th9s5h3s2s Ad8h7h4s2s Kc6d5d4h3s 
Qs8s7c4c2c QcThTd5s2s QhJc8c5d2c Kh6h5h4c2d 
8d6s6c5s2h Tc5h4h4c3d 9h7h5d2s2d 9s8s7d5c2h 
Ah9d8s8d4d As7d6s6c2s Kh8s5d3d2h Th8s4s4d2h 
Ac8h7h4s2s Qc9h8d5s4s ThTd9d8d3d As7s4s4h3d 
KdQs7d6d3d KsJs6h3d3c KdQs9h8s3s Tc9d6s4s4h 
JhTh8h7h2c KsTh5d3h2d 6h5s5c3c2s 9c7h7c2h2c 
Jh6h6c5c2h KsQs7h4s4d Kh9s9d6c4s Js8s6s6d5s 
KsThTc7d2h Ac9d6c5s2c Ts6s6d4c2c Js9d8d3h2h 
AsJs7s6d2h KhJc8d4s3h Qs6s5s5c4d Qd7h7d4d3h 
KsJc9d8h3d Td9s9h7d2c Jh9d8s6h2c JhTs7d5s2c 
Qc7d6s4h4c QcJs9d7h2c Jc8d4d3s3c Jc8c5c4h4d 
As9d8h6d4d QsQd6c4d2d KsTsTd4s2h 9c6d4s4d3s 
TdTc4c3d2s AcTd6s6d2s Kd7h6h3d2s Tc8s7h6d3s 
JsTd8h6h2h AcTh9d5s2h Th8c4h4d2c Ks7h6c5h5d 
Kc8h8d7c4c Qd8d7s4s2c Qd9h9d8c3d KhTsTc4c3c 
KcJd9c7h2c TsTc8s3s3h TsTd8c5h2s KdTc9s3h3c 
Ts9d6s4c3s AdJc6c5h3c Jh9s9d5c2h AdKc7d2h2d 
AcTd9d3h2s Qs9h9d5s3s Ks9h6c5h4h As9h9d4s3s 
Ac9h8d7s3d AsQs6c4s3s Ac8c7h3d2s AsJc6h2s2d 
AcJh7d6s3s Ah8s6h6d2h TsTd5h5c3h KhJc9s6h2h 
KcQcJc3s2c QcTc5c4s2d QsJc8c6d3c 9s7s6h4s4c 
AhKc7d2s2c 9s7h7d6s3s KcTc9c4c3s Ah9d6h3c2s 
Tc8d4s4c2d Kd8s7d4h4c Qh8s8c7s5s KsJdJc4h2h 
9c6s4c3s3d Js9s8s7h2c 8d5d4s4h3s 8d5c4s3s3c 
Ts9c5d5c3h AsQd9h5h2c KsQhJs6s2s Th8d7h2h2d 
9s5s5h4d3h Qs9s8s4d2d QdJd6h4d3d QdJc8c4s3h 
Qs8s7h5s5c Qs5s4h3h2d Ad9c5d3h3d AhTsThTc7s 
Td9h6d4d3c Td9c8s8d3d Js7s7c6d2c Js7s7d6h2d 
KsQc9d8d4h TdTc5h4d3d JdJc6d4s3d QsTc8h4d3c 
QdTs6c3s2c Qs6c5s3d2d KdQd6s4d3d Qh6c5s2s2h 
AdTs9s3h2c Qh9d6h3c2c Kc9c7d7c3h Kh8s8c6d3h 
Tc9c6c4d3h Kd9d8c5d2s Jd8s7d5c3d Jh8c6h5h3s 
9s6h4s4h3h JsTs8s4s3c ThTc7d4c3c KdJc4h3c2h 
Ks6d6c3d2s KhJh9d6h3h Jd9d6h6d2h Qs9s9h8d4s 
Td9s7c6s2h Td9d6d4h3s AsTc8c6c2d Th8h8d6h3c 
Ad7d4s3s2d AhTc9d4d3d Ah8s8d6c4c Qd9d7d5c3h 
QsJs7s6h3c As9h8h5d3c 8s8h6c4h3h Tc8d8c7s3h 
AhQh4c3h2d 9h7h6s4c2s 8s5d5c4s3d KsQs8s8h5s 
9d7s5c4h4c TsTd4h4d3c QcJc9h6c2d As9s8s4h3c 
9d8s6h5h2h Kc8d8c7s3h Td7c6h5s3s ThTc7s4c3c 
KhQd6d5s2d Ts6s6d5h4c KhQs8d7d4d 8h6c4h2d2c 
7h5h4d3s2d Kc9s8s6d4s Ts9s6d5h2c KcTs8s8h3d 
JsJd8s7c2s Qs9s9d7s3c QcTh6d2h2d Ac9d7s7h3h 
Ts9h5h3s2h AhQs8d6d2c 9s6s4h3s3h KhJd6s3s2d 
JcTc4h3d3c Ad9s8h4d3d QdTc7s4h3c Js9h9d7c4c 
KhTh4s4c3d KdJs9h3c2d 9d7h6s4s3c Qd9d4h4c3c 
Ad9c8h7s3c AsKh6s2s2d AdTs9h2s2c Ad7d4s4d3c 
QsQc7s5d2s AdQs8h5h2c KsJc6h3h2c Js9d7c2s2c 
9d8h7c4d2c Qh9s5h5d3c Th7d6c5s3s Th8s6s5c2d 
Ts9c5d4c3h Qs9d8s7c3h Kd6c5s4h3s KsQd7s6s2h 
KdQc7d4d3h TsTh4h3s2d Ks9d7s5h2c Ad6c5s4c2s 
AdKs7h5h2h Qc9h7h4c2s Js9c6h4s2h QhTs6c5d2s 
Qh9h9d8h4c Js7h4s4c3h 9s9h7s4d3c As9d8h8c3c 
AcJc4h4c2d AsQd9d3h3c TsTc5d4s3s Ac9h8h6d4h 
AsKd9d6d2c Qc8s7s5h2h KsQc8d2s2d AcTc6d2s2h 
8h6c5d4s2d Ad7s6s5s4s Ac9d5s3c2h Qh8h5s3s3h 
QsJd9s6h2s AhJs9d6d3c Jd8d5d4h4c Th8d5s5c4s 
KdTs8c3h3d 9c8h6d5d2d Qd9s6s4d2d KdTsTh4d2d 
Jh9c8s3c2s Td9d6s6c3d KhQs8c2h2c AsJd6c3s2h 
KsTd9h5c2d KhTh7h6d2s Th8h6c4s3d AdQh6h4h3s 
Qh9h9c8h4d KsTh6c4d4c KcQd6d5h2d TdTc8c7s3c 
Qd7d6s6d4h 8h8d5s4c2h QhTh8h5s5h Jc8s6h6d4h 
Kd8h7s7d3c AhJs7h6h2c AhKd9d6d2c KhJs9d3c2h 
JdJc6c4s3c Ad9c6h4c3h AsQsQdQcJs As7s4s4d3c 
JsTh6h6c3h KhJs9c4d3c QhTs5d3s3c KcTd8c4s4c 
KcJd8c6h3c JsTh7c5h2d ThTc8s5h3h Qd5h5d3s3c 
JhTs8h5h2h AsQs7c3s3d KhQc8c6s2d KdJd6s3h3c 
AcJd6s2h2c 9c6h5h2h2c Ad8s7h5c3c Th7h4c3d3c 
Jc9h8s5h2h Th8s7s5d3c AsKd9h2d2c TdTc8c3s3c 
AcTh8h6h2d Td7d7c4h2h Th8s8c5s3d Ks8h8c7s4s 
Js9c5s5h4s Kd8d5s4c3h KhJsJh8h3h AsQc5h5c2d 
Js9s8s7c2d KsJc7c6h3c 9c8s6s3c2d KsJd8s7s2c 
QsJc9c4h4d 8c6c5d4s2c JsJc8c5c2c Ad5c4s4c2s 
Ks9h8d8c5d Jd9d7h4s2h JcTc9h7c2c Qh8s7s5c2c 
KdTd9s2h2d AsQc9d6h2c AcJh9h5d2h 9s6h5h5d4c 
KhQd6c4s2d Kh9s6h3s2s Jd9s8s8h3c KsQh9d8h3h 
KcQc7s3h2h Kh9h9c8h5h 8c6d4h2h2c QsQd7s6h2s 
Ac7s6s6d3h Js9d7s2d2c Qd5s4d3s3d JhTs5h3c2d 
Jc7s6s5h3d AcTd8d5s2d Jc8d5s5c4c Qh7c6s5c2s 
QsJh8h4d3c Kc8d5h4c2s Jh9c8h8d3h Kd8h4s4h2d 
TsTc9d7h2d Ts9h5c3h2c Qc9s6d3c2d Jh9s8s8c3d 
Jc7h6c5s3c Qh7h6d4d2s Qh9d8d5d4s Kh8s8c6h3d 
8d5d4s4c3c 7s7d6s3d2h Kd8d7d6s3h 8c7s5d4h3d 
Tc9d6c4h3c Kh8s7s7c5s Ad8d7c4d2s 6d6c5c4s3c 
Js9d5d5c4h Jc8d6c5c3h As9s8c2s2d Qd9c8h4h4c 
Ah9c7d6d3d Ts9c7h6c2d Jc9s9h5d2c AsKh7c5d2c 
Js9c8d7h3h Tc9c8c7s3d AhJc9d7s2s KdJd6c3s3h 
AdQs8s3h2h Js9c8h6s2d KsQs9s4h3d 7h6d6c4s3d 
9d8h8d6d4d 9s9d6h3d2h QhTsTc5d2d KcJd8c7c3s 
Th6h6c5d4s 9c8h8d5s3c Kc9c7d3h2h AhTc7s6s3s 
Ac6c4d3s2h 9d6s6d4h2h 9s6h6d3d3c As8d5h4d4c 
TsTc4d4c3h Kd7c6h5c3c KsTc8h6d2c KsJc8s5h2s 
Kh6s5d4c3d KdJc9s3h2d KdTc6h4s4h KcTc9d3h3c 
KdThTc7s2h Qd9s8d6d3c Qc7h6d5h2d KcQh9c5d2c 
KhTd8s3h3c Jd8s6s5s4s Ah6h4d3d2h KhTh8h5c2s 
QhJh5s3h3c Ah9s8s6c4s AdQs7s4h3s 9h5h5c2h2c 
Ad8h8c7h3s TsTc9c8c3c KdQd9h6d2s Qc8s5s5c2c 
Kd8s8d7h3c QhTc6d2d2c Js5d4s4h3d KcJh9h6s2d 
QdJs6s6h3c KsTc8h7d3d QdJs8s6c3s 8c7s6d5s2s 
Qd9c7d3d3c Jd9h8h7c3s JcTc9c3d2c QhTd7d3h2h 
KhJd5h4h3h Qs7c6s6d4s Jd9d8s7c3d QsTc8h7c3c 
JdTc5h5c2s KsTd8h6c2d JhTc9c6c2c Jc8c5s5c4h 
Kd8d6d5s3c Ac8h7s5d3d AcJs8s4d3h 7s5s4d3h2d 
JsTs9c7s2s QcJc7c6s3d 7s6c5s3s2c Ah9s6h5d2h 
Qd9s8h4s4h ThTc9d5c2c As9h8h7h2d JhJd6s6c3s 
KsJc6c4h3d QdTh7h3d2d Js8d6d5d4d ThTc9s5h2h 
TdTc8h5h3s Kh9s8c6d4s 9h8h7h7c5h Jc9c8c7d2s 
TdTc6h5h3h Jd9h8s7c3c Qd9s9d8c3d As9d5s3h2c 
Kh8s8d6s4c AcKd7s2h2d Qc9h6d5c2s Ac9h9d8h2s 
9s8s7d5h2c Ad9d8d4c3s 9s9d8d5c2d 9c7c6s4h4c 
As9d8c7h3c KhQh7d3c2c KhJs5h3h3c 9s7h5h5d4h 
JsTc6d3s3h QdTh6s3h2s Td9c7s6c2h Qh9d6h3s2s 
QsJhTc7d2d 7s7d5h5c2s Th8c4s4c2h Ts8h8c6c3d 
AhJs5s3d2d QcJh9c6s2c Qh8c7c6d2d Jd5s4d4c3s 
9s7c5s4h3s KdJd3h3d2h AdKhKdKc9d Kh9h7d6h3h 
Ah9s6h3d2c 9d7c6s4s4h Tc9h6d3d2h Ts9s4c3h2h 
Ah9c6h5s2h Jh8c5d4s4d Kc8h7h7d5h Qc8d7s4d2c 
Td6c5s4c2s 9d7s5c3s2d Kd9d8c5d2h KdQc8h2h2d 
JdJc8d2s2h KdJh9s9c4s Jh8h7c2d2c Ah9d7s7c3c 
Ad7d4d4c3s Ts6d5c3d3c JsTc8h3d2s 9h9d8s6c3s 
Td8c4h4c2d 9h8c7h5d2s Qc8s8h6d4d As9h5s3d2c 
AdTc9s4s3s Jh8d8c7c4c KhTh8d5h2s AcQsTs6s2s 
Jc7d5d5c2s Js9d8d8c3h KsKhKd4d3s AhTc9s2d2c 
Tc7s6h5d3d AcQc8c7c2d Kc9d6c3d2d Ah5h5d4h2s 
Qs9d7s7d2s As9h9d8h2c Ah8h6s4h3d KdJd8c4h3d 
AcKd8s6h2h KsTd5s3s3c Qc8h7h5d2d 9d9c6h5h2s 
9c8s6s3c2h KhQd7h4h3c Ac9s6d5h4s Kd9c6h3h3c 
As7c5s4s2d Jh5h5c4c2s Ts9s8d5h2s Ah8h5h3s3c 
Qd9c6s5d2h Qh9c8h6h3d 8h8c5d4s2c Jh7d7c4s4h 
9s7d6c4c2d AsTc6d5d3h Th9s9c5c2d KsJc5h4h3h 
Kh9c8c6c4d Jh9s8h7h3d KsJh9c8d2d AdQc7h6s3s 
9s5d5c4s3c Qc9h6s4c3d Jh8s5d5c4c QdTh8h7s3h 
Jh7c6c3h3c Qs7s6h4d2h QdJh8c3c2h Qd9d5c3c2c 
7d6s4s4h2d Th9d9c7s2d KsTd6h4c3h 8d6s6d5h2c 
Qd7c6s5c2s Qh9c7d6c3s Qc9c6s6d3h 9d8s8d6d4d 
Td9h8d3s3c Ah9c6h3s2d 8d6d4s4d3s Kc8h8d5d2h 
QdJh8h4c3s 9h8s8c4h4d QhJh9d6h2s KhJh7h5s3h 
Ad8d4s4h2c Kh9c7s5d2h Qs7s5d3s3d KhTd8d8c3s 
AcQh6h4h3d QsJc5d4c2c QhTdTc5s2s Td7c6h4s3s 
KcTh5d5c2s 8h5h4s4d3s QdJd9s3c2h 7c5c4s3h2h 
Kc8s8c7h3d Jh9h6s6d4c KhTd8s5d3c AhJc9d6s3d 
AcKd9d6d2s KdTh5s5d2c QdJh8c6c3s 8c5h5d3s3d 
KdTh9s7h2h AdJd7s6d2h Ah9d7c6s3d AdTh9h3c2s 
QhTc6s2s2c JsJc5h4d3h Qh9s9c5h3h Js9c8h7c3c 
AcJs9d5h2d KcTh9c7c2c Qd6s5d3h2h Ts8d4s4h2d 
Kc7s4s4c3c Qd8s7s4d3s 9h8d7h5c2s Jd9h9c3s3c 
Tc9d5s3d2s KsJd8c4s3h QhTh5h4s2d Ah9c8s6c4c 
