8h5c3c2h2c 
KcJc9c4c2c As8h6c3d3c QcJs8h2h2d Th5s3d2h2d 
Qd7c6c5c2s Ad9c5c4h2c Jh8c3s3c2s Ah9h5s4h2h 
KhJd8c2s2d Qc9s6c3c2d Ad8s8c4s2s 9s9h9d6s6h 
Kc5c4c3h3c AcQh6d3h2h 9h8h6c3d2h AcQd8h3s2h 
Ts6h4d3h3c 9s9h7c4d2c Jh9c4s2h2d Jh5s5h4h2c 
AhJs7s2d2c Kd8d5d3h3c KsQh9h4h2h KdQd8d5d2d 
KcQs6d3h2h Kd9c6d3h2d Ks8s4s3c2c 9s8h4d3h3c 
QcTc6c3h2c Qd7d6d4s2h Kh5s4d4c2d KhTd6d3d2c 
Jd6h6c5d2d AhJs5d3d2c As7h6c4d2d Qs9c7h3h3d 
Jh8d7c4s2s Tc7h7c4s2c JdJc7s3c2c 9h9c3d3c2s 
Jc8h3h3c2c Ac6h5d2s2d Jc9s7d4h2d Qs6d4h4c3c 
Jc5h4h4d3s 7h5s4c3h2d Qd8s8h4h3c Qd8d6h3d3c 
Qc9d8s3h3d Kc9c8c4s4c AcJs9s3s2s Ks9h6s3d2s 
TdTc7h3c2s Qd6d6c4h2d Ad7h4h4c3h Qd8h5c3s3c 
Ks6h3s3d2c Qc9s4d2h2c Kd6d4h4c2d Kd8s5s4c2s 
9s4h4d3d2s Qs8s8d4s2h Qc7h6h5d2h Jh7h4d3s3c 
Qh5d5c4c3c 7h4c3s3c2s 9c8h4s3h3d Ts6s4h3s3c 
Qh8c7d4d3s Td7s4h3h3c 9s6d4h3c2s 8d6d4d3s3d 
8c6d4c3h2s Jc8h4d3h2d Kd9d8d4h4d Td5d4s4d3c 
JdJc6c3h2c Kd9h9c4h3s KdJs5c2h2c Th8s4s3d3c 
AsJd3h3d2d QdJs7s3s3h Js8h7s4s3s 9d7s7c4h2s 
Th6d4s3d3c AhJd7s3d2c Th9s4d3c2s Td9c3s3h2d 
8s4s4c2s2d 8s7h3d2s2d Qd9h4d3d3c KhQsQhQc9d 
6s6c3h2h2d KhTd8s3s2c Qc7s5h5c2c 8d5h4s4d2d 
QsTh4h3c2h 7c4c3h3d2d Qc7d6h3h2d Qd9c7h4h3h 
Jd6s3d3c2s Js8s4c3h3d Jd9d6d3s3d 7c6h6d3c2s 
7c5s5d3d2h Kh8d6c4c2s Jh7s6s5s2d Qc8s7c6c2c 
Kc9c6h6c2c Ac5d4d3h2s QcJd7s4s2h 7c5c4d4c3c 
Ah9s6d4c3d QdTd6d3s2d KhTs8s3s3c Kc7d5d3h3d 
Ts9c3h3d2s As9h6c4c3c QsTc3s3h2s KhKdKc6s5h 
KsTd6h3c2h KcTc3c2h2d 9h8s6d3h2h Qh8h7s7d3h 
Ts5h5d2s2c Jd7c6c3d2d Jd6h4s3s2h Kc8s5s4d2s 
Qc8d6d4h2d Jd7c4d3c2c Qd8s5s5h2s KcTs6h3h2h 
Ks5d4h3h2c Js8d6c4h2h Td9c5d4d2d Tc7s5c4h2c 
Qs8h3s3c2h KhQd6c3s2s Qs9h9d4c2d KhJs8s2d2c 
Qd6d5d4d2s Js8d4s4h2c Qc9s5s3d2h 9h8s6d3c2s 
Th8c5c2d2c Jh7s4h3s2h Qh8d5s3s3c Kd6c4h3s3h 
Qs7h6s6c2s Qc7h5d3s3h Ac5s4s4d3s Ad6h5d3d2d 
9h5h4h4d3s Ts9c5d3c2c Ts8d4d3h3c QsJh8d3d2c 
Kh7h4h3d3c Kd8c7h4s3s Qh8c3h3c2d Jd7s7d6d2h 
TsTd7c3s2h Th9c4d2s2d Qc9d8h4s3s Jc7h6s5d2d 
Kd5d4d4c2d 9s7h5h3c2h Td7s4s3s3h Jh8d7d4d2c 
AdQs7s7h7d Kc9c7s4d2c Kc7h5h4h2s Js9s6h4d2s 
Qs8h7h6h2c TsTc7s4s2s Qc7c5s4c2h 8s4s4h2d2c 
Kc7h5c3c2d AsKc7c3c2c Qd8s6h6c2s 9s9c7c3c2h 
Kd9c7c4c3c KdTh6h3h2c Kd8s6c4c2h Qs9c6s3d2s 
AdTs4h4c2h JsJh7s3c2s KcJd7h7d2d Ad9h6h3h3c 
QsTc3s3d2s Qs8s5h2s2c 7s5h5d3h2c QhTd6d2s2c 
Qh6h5c3h2s QhQdQcTc9c KsJs7s3d2c 9d8d6c3h2d 
Ks8c6d4d3d As8s8h8d5d 7c6s6d3c2h KcTs4d3h2s 
Qd8d4s4c3h 8d7d4s2h2d Qc7s6h6c2c 9h6s6d3s2c 
9h5h4s4h3d Kc5h4s3h2d Jc9h5s2s2d Js7d6s4s3s 
7d6h4s4c2d Kc7d7c2s2h QsTs3s2d2c AsQc3d2h2d 
AcQc7c2d2c 6d6c4d3d2s KsQc9h3d2d As8c5c4c2c 
Qh9h4s4c3h KcTs5d3h2d Td7s7c5c2c Ad7h6h4c2s 
QhTd6s3c2c Js7h5h4c2h As6d4d4c3d Ah9h5h4c2h 
Qd7c6s2s2c Jc7s7h5d2s Tc5s3s3d2c Ks4d3h2s2c 
Jd9d6h4c2d KcJd6c2h2c Ts5s5d2s2c KdQh7d2s2c 
Qc8c6c4s2c KhJd8c3h2h Jc7h5s4h2d AhJd5c3c2s 
8d5c4c3h2s AdJc6s4h2h Th9s5c3c2c 8h7d5s3h2c 
Jd8c3s3c2s 8h8c7s3c2d Qs7h7d4c3h Qc8c7c4d2h 
Tc6s4d3h3d QhTh3d3c2h QdTd3s3c2d Kh7d5h2h2c 
9c6h6d4s2s Ac5s4s3s3h 9h8s7s3c2d 9s7s6s4s2c 
Kc6c4h3s2c TsTd4s3h2c Tc8h6d3s2c Js9s7h4c2s 
Td8d7d4d2h Qd9c4d3h3d Ad5h4c3h2s Qc8h5d3c2s 
Qh7h5h4c2d KdQd7h7c2d Qd6s6d4c2d Qc8d5h5d3d 
Ah6c5d2s2d AdJc7c2s2c Kh6h5c3h2h QcTc7d3h2c 
Ks7s5s4c2s JhJdJcTd5c Tc4h4d3c2h 9d7d3d3c2c 
Kd9c7c6c2c 9s9d4c2h2c 7h5d4c2s2d Qs8c7h7d2h 
Jh9s4d3d3c 9d8c4h4c3s KhTc4d4c2c Jd6s3h3d2s 
9s7d7c4s2h TsTc6h3c2c Jd9d7c2s2h Qc6d5h3c2c 
Kc9c8d4c2s KsQh8h8c3h Tc7d4s3s3h KdJh5c2s2c 
Qs9s5s3h2c Qc8h6c2s2c AcTc6c3d2c Ks9d7h3d3c 
AdKc7h3h2h Ks8s5s4s2d KhJh4s4h2h 9c7s5c4c2c 
Th6d3d2s2h Kc7s7c6c2c KsKdKc6c5h 9s9c5d3d2d 
9c7d6h3s2c Kd6s6h4s2c Kh9s7c3d3c KcJc7c3d2h 
7d4s3s2d2c Jd7d6h4c2s Kc9s7c4c2d Qs9s5d3h2s 
KsQs7d2h2c 8h7c4c3c2h 9s8d7c4c2c AsQd7d2d2c 
QsQc7s3d2s KsKhKd5c4s Td7h3s3h2d AdJc7c3s2h 
Ts8c5d3h2c KcJc4d4c2c Qc9s3s3h2h Qc6h6c4c3c 
Ks9h6d4h2c Qh7c6d4h2h Kd9s4c2h2d QcTs7c4c2c 
Ad7d5d3d2h Js8h6h4h3h Qh5h5c4d2h KsKhKcQh8d 
Td8s6h3d2c Qc7c5s4h2c Qh5s5c4c3c QdTh7s4s2s 
KcTd8d2s2d Jd7s4c2s2c KsQs7s4c2s Jc8d6d4d2h 
Ts7h3d2s2d Td9h6h3h2h Qh9h4d4c3h 7c5s4d3c2h 
Js9s7h4s2c AdTs8s3s2s AsJc3c2h2d Jd7s5h4s2c 
Qs8d6d4h2d KhQs6s2s2d Jh8c4s3c2s KhJh4h3c2h 
Qc7s6c4c2d Qs8c7c6c2d 8s8d6c3c2h QcJh4h3h2h 
Js7s7d6s2c Jh7d6h6c2s Jc8h7s4c2c JsJhJcTs6c 
AdKc8h3s2h Kc7d5s4s2h QsQdQcTs9s Ks5s4s4c2s 
Jc8s3s3h2h KdTc6s3s2h Js7s6d3s2d Qd9d8h3c2d 
Js8s7s6s2d 7c5s4c3d2c AcJh4c3c2c Jh8s5c3h2d 
9h6d6c3h2s 8d7c4d2h2d Ks8d4s3d2s Tc6s6h4d2h 
Td9s5h3h2h Qh6s4d3d3c 7h6d4s4c2c As7c5c4h2c 
Ac7h5d2s2h Qh8c3h3c2c 9h8c4s3s3d Tc8c7c5c2c 
Kh9d8h3c2h Qd8h3s3d2h JdTd7d3d2c Qh9s5d4s2s 
Jc8c7c2s2h 7s5s4s4c3s 8s6d6c3s2h Td9s3h2s2c 
Qc8s8c2h2c Ah5s4d4c2s Kh9d9c4c3c Ts8d5d2h2c 
Qh6s4d3c2h Kh8d5d4c2d KdTs8s3s3c Js7d6h3h3c 
Js6c3s3d2c JdTd3s3d2d Qh7h6h6d2c Qc6c5h4c2c 
Qc5s5c3h2d 7c6s3c2s2c Qc9c5d2s2c Qs7s5h4d2s 
AsQh6c3h2h Td9s7h3s2s AdJs3s3c2s Jh8d6d4d2c 
8d7h3d2h2c KcQs8h8d3h KsKhKd6c5h 8h7s4s4c2d 
Kh5h5c3d2h Ts7h7c4d2c Kc5s3c2h2d Tc9d5h3d2d 
KcQc6c2h2d KcQh6h2s2h Td5d4h4d3c Qc9c7c5s2c 
8d7s4h2s2c AhTc5s3c2d Ts7h5s4d2s Qs9s8d3s2h 
Tc7s5s4s2d Kc7h5c3d2c 7c6h4h4d2h Th7s7d4c2s 
Ts5h5c2h2d Th7d6c4c2c Kh8c4h3c2h Qd9s8d3d2h 
JhJdJcTh6d Jc5s3c2s2h Kc6c4d3s2c Qh8h3d3c2d 
Th8d6c3s2h KdTs6c3h2c Qc9c5d3s2c Th6h3h3c2c 
9s7s6s4s2d Jd8s7c4h2h ThTd6s3s2c 4d4c3s3c2h 
Kh9c6h3h2s Ks9d7d3h3c 7s5s5c3h2d Qh9s6h2h2c 
Th8d5d2s2c Qc7d6h3s3d Jh8d5c3h2h Kc9s6s3h3d 
Ac9s7s2h2d KdTh8h3s3h Jc8c6h2s2d Jc5s5h4c2d 
Kd7s4h2s2h QsTc4c3h2c Js8c6c4h2c AdJc5h3h2s 
Js8h6s3s3c AcQh7h4h2h Jh8s3s3h2h Js8s6s6d2s 
Jd7d4s4d3c Ts9s5s5h2s JsJdJcTd5c AsTc5d3c2h 
Kh9d4d3c2c Qc8h4d4c2s 9s7s6s2h2c 9s5h5d4c3d 
Tc7h5h4h2d Js8c4h4d3d Th4h4d3c2d Js8s7s2h2d 
Kd7h4c2h2c Qd9d7s4h2c QcJs8c3c2h Tc7c6h4s2c 
7s6s4s4d2c Js8s4s4h3c Kd9h6h3s3c KdJc5c3c2c 
8c7d5c3h2s QhTd5d3d2d JhJc7s4s2s Th7d3s2h2d 
Td7d6d5s2d QsJh7d4h2h QcTc7c3h2s Kd6c3s3d2h 
9h7h6h4h2s AdQs6h6c2c 7h6h4d2s2h Td9c6c3c2c 
QsQdQcTd8h Qc8c7c6s2c Ah9c6d4s3d Qh8d6h2s2h 
Tc9d7h3h2h Qh8s8h7h3h KhQs7s7c2s Td7d6c4s2d 
QsJh7c4h2h Kh8d4c2d2c Jc7s6h5h2h KdJs8c2s2h 
KsKdKcQc6h As9s7s3s2h Ts7s4c3s3d 7s4d3d3c2c 
Jd8d7s2h2d 7c6s4c3h2d 8h5s5h4h2h Kc4d3s3d2s 
Qh8h8c2h2d Kd6d6c3s2d Js7c5s4d2s 8s8h5s3s2s 
Qh8h6d4h3h Jd5h4d3s2c KdQd6d2s2c AcKd7s3s2s 
7s6s4d3h2c AsJh5d3c2c As9s4d3c2s AdQh7h7d7c 
Qs8s5s5h3s Jh4c3c2s2h Kh7s7d6d2d Qh8h6s3h3d 
9c7s6s2s2h QcJh8h3h2s 7s5s4h3c2s Kd8d5d4d2h 
Tc7s3h2h2c 8h4s4c3h2c KhJc6s3d2c Qs9h4h3c2c 
Kc7c5c4d2c Kh7d4s2h2c 8h6s3s2s2h Td4h4d3h2h 
Ac8s6d3h3d Tc7s4d3h3d Jd7h7d6c2d Js6c5d5c2h 
Qh7c6s3d3c Jh7d5s3h2c Kd5h4s3s2c Kd8d5d3s3c 
ThTc6s3s2d 7h5s4s4c2s AsJh8d3c2d 7h6c4d3s2d 
9d7s6d4h2d 9s9d3h2d2c Qh9h7c4s2d JsJh6d3h2h 
Js7h6s3h2h KdQc9s3h2s KsQd6c3h2c Th8c4s3s3d 
As9d6h4c3h Tc7c3h3d2h 7s6h4c3h2d Js7d4s4h3s 
Kc5c4c2s2h Td8h5d2d2c 7d6c4s4c2c Kc9c8d4c2h 
Ks8s7h3s3c 9h7h7c4s2h Qs6s4h3s3c Js4h3h2s2c 
Ah7s5d2s2c Qh8d4h4c2s As8h6c2d2c Kc8d8c3s3c 
Qs5d5c4d3d Qd7h4d3s3c Ac7s7d4s2s Ad9s8h4c2h 
9s7c6h3d2s 9d7s6s3h2c KdJc8h3d2d Ks9s6s3s3d 
Jc7c4h4c3d AhKd7c3c2c Ts6s6c2s2d Kh8h6s2h2d 
8d7c5d3h2s Qs8c3s3c2c JcTc7c3c2h Th7h3s2s2d 
Kh8d5d5c3d Ts9h7c3h2h As9c5c4d2h 6d5c3h3c2s 
Qc9h8c3c2d Js9c6s4h2s Kh6h5h2h2c Kh6s6c4d2c 
Kd9d5c2s2d QsTsTdTc6c Ad6s6c4s2s Jd8c7d4h2d 
7h7c3s3h2d Ad7h7c6s2s 9c8c7s4c2c Qd8c7h2s2d 
Ad7c6s4h2h Js7s4s4h3c 8d7d3h2h2c Tc8d5h3s2c 
Kc8c5h2s2c KhJs8c3s3d QsTs7s3d2c Qh8d7d6d2s 
Tc6d4h4c3c AsQsQhQd6c Tc9c6c3c2h Ah8c6s4d2d 
Js7s6c4d2h Kd7s7h6c2h Qd9h7c4c3c JsJh7d4d2d 
Ad7s4c3s2c Qs9s5d2s2c 7s5d4c2h2d Jc5h5d4c2s 
KcJc4c3d2c Ts9d7h3s2s Js8c6s3s3d Ts6h6c2d2c 
Qs8c3d2s2c Ks9c6h6d2h Qs9c6d3s2s Ks9c6s3s2h 
JsJh6s3c2s Td8d7d3h3d 7h4d3h3d2s 9s9d9c6s6c 
Qs6s6h4c2s KsKhKd9h8h Kc6c4c3d2h Tc9s6s3s2s 
6h6d4s3c2c AcTs5s3h2d Jc5d5c4c2s Kc9h5s4s2d 
As7h7d6c2c Tc7h3s3h2c JcTc6c3d2c Kd8h6d2d2c 
KcQh9c3c2c QhQd7h3s2h AhTh6h2h2c Js8h7c4c2c 
KcQd8h4h3h 9c5c4s4c3d Js7h7c6s2d QcTs6h3d2d 
9d5c4s4d3h Jc7s5h5c2c Qc6h4s4c2d AcJc3c2d2c 
9d5c4h4c3c AdJc7h3c2s 7c6d4s4h2c Th9d3s2d2c 
Jh9h5h3d2h Kd6h5d3d2d 7c5d5c4c2c Th6s4h4c2d 
QdTd4h3d2d Jd6d5c3h2s 8c4s4c2h2d 9s7h7d4c2h 
KhJc8c4c3c Kh9h4s4h3d 7c6h4s4d2d QhJs8c2d2c 
Qs7c5d3h3c 7h5s4d3h2c Qc8c5c4c2s Ks9h6c4d2h 
QdTd3d2s2h Tc4d4c3d2h Kh9c5c4s2d 9c5s4s4d3h 
Ad9c6s6h2s Th5s3s3c2h 8c7c4s2d2c Qd5s5c4c3c 
Ad9d4h4c2d Ts5c4s3h3d Qd7d6d4c2h TsTd6c3d2d 
Qc9h8d4s2h KhJh7h3h3d KsJs4s3d2s 9h8h7c3s2d 
As7h5h4c2h Kd8h8d4d2s 8h5c4s4d2c Jd7c6s5h2h 
Tc7h3d2h2c Js9h7d3s2c Qc7c5d4c2s 8h8d7c3h2s 
Qs4h3h3d2d 7d5d4h3c2d AhQc7c2d2c Qs8c6h6d2c 
9h8h7h4h3c Tc7c5h4c2s Jd8d6s4d3d Qd7s7h4c3h 
Jh9h4s4h3h Ac9h8d4d2d Ah7s7c4d2d 9d7c5s4s2s 
Qd6h4d4c3d Qh9h6h4h2d Th6s5d3c2h Kc8d8c5c2c 
Js9s4h2d2c QdJc8c3s2c Ac5h4d3h2s Qs8s5d2s2c 
AsQc7d4d2d KhKdKc7d2h KcQc7s2h2d QcJd8d3d2h 
Qd9d5d3c2s 9c7h6s4s2s QhTd7d3c2s 9c7d6h3c2s 
Th7d7c5d2d Kc8c6d2h2c 8h7d3h3c2d Qc9h7s4c2d 
Qd7h6s6c2d Kd8c6h6c2c 8c7h4d2s2d Jh5d3h2h2d 
Qh7c6s2s2c Th8h5h4h3h QhTs4c3s2s 9c8h8c4c2c 
Ts7s4d3s3c Qs5s5c4d2s 9c8d4h4d3s As9s7s4c2s 
Js8h5s3s2c Qd7s6s5h2s Jd6c3h3d2c Kc8c6c4c2d 
Qc6h6c4s2c As7h6h4d2c 8c7h4h4d2s Qs9s5s3d2h 
Qh6h6c4h2d Jc5c4h3s2d Qh7h6h6c2s Kd6s4d3h2d 
9s5d4s4c3h KhKdKc8h3c Kc7s5c3c2d Qc8h5h5d2h 
9s8h4c3d3c AcJc5c4c2c 8h5d4s4c2h KcQh7d4d2s 
AdQs8h3c2h Kc9h4h3s2s Jc7c6d3d2c Ah7h6h5h2h 
KsKhKd9h7h Qh4d3h3d2h QsTc3c2d2c Jd9d5d3h2d 
Jc7s6c4c3c Qd9d8d2s2c 8s5h5c4s3s Tc6s6d4h2s 
Kd6d4d3h2c QdTh3h2h2c KsJd4s3s2s Qc8h8d4h3s 
KhTd6s3d2d Kc9s7s6s2s Qh6h3d2h2d Qs9d7h3h3c 
8s7d5d3h2d 7c5d4h3c2s Qc8h5s5h3h KhQs9c3d2d 
KsTh5h3h2d 8c7d4h4c2s KcQs8s8d3s AcKs8h3d2h 
Tc9h5s3h2h Kd8d4d3s2s Qc9d7s3s3h Ts8h5c3d2h 
9h9c7d4s2d AcJd9d3d2d QsJs7s6c2s Kd8h5h4c2h 
As7d6c4h2h Jd8s6c4h2s Td5h5d4c3d Qs9s5c2s2h 
KcJs8s2h2d Kc8c6c4c2h Jh8h6h3s3d Ac7h5s2h2d 
Qc8s7c5c2c Kc8c3d3c2d 7s4h4c3c2h 7s5d4h3c2c 
Kd9d8d3h2c Kd8c5d4d2d QdJc7h3s3h Kh7s5h3h2d 
Qc9c7d4c3c Jd5s3s2s2d 9d7d4s4h3d Jc8d3d2s2c 
Kd9d7d3d3c 7s5d4h4c2s 7s4s3h2h2c Ac8s6s4h2s 
Jh9d6h4s2h Th4d4c3h2c 8c7s4c2d2c 9s9h6h3h2h 
Js5d5c2h2c Jd7d6d5d2s Qd7s6s5c2s Qs6c4d3h3d 
AcKh7s3d2s Qs8s4c3c2s Qc6c5s2h2c Tc8c6c4c3c 
5s5h4c3d2h As8c7d4d2d 9d7h6s3d2c QsQdQc5c4s 
8d7c3c2h2d Qs9d4s3s3h Tc8d5d2s2h Qd7s6h3s2h 
Kd6d4s4h2d Jh9h8h2s2h Td7d5c4d2s Qs6s4d3s3c 
Jh7h6c3h2c Th9c3h3d2s Jc7d7c6h2c 9c4d4c3h2d 
7d6h6c3s2c Kc7h4d2h2d Qs4s4d2s2c AcQhQdQc2s 
Qh9h5d2h2c 9s9c7h4h2h Kd8s5s5c2h 9h7s5c3d2c 
Kd5d5c3s2d 7d6h6c3d2s Kh5s3h2d2c Qh8s6h2h2c 
Qh6s4d4c2h 9s9d3h2s2c Jc6s3h3c2s 7h6h4s3c2d 
Th7h3h3c2c 8c7c4d2h2c Jc7c6h3d3c Jd6h3s3d2h 
Ks7c5s2s2d Kc8d6c3s2h Td4s4d3s2h AcQd6s6h2s 
Kd7h5s4s2c Qd9h6d2d2c 9s6s6c4h2s Ah6d6c4d2d 
Jd9s7c4c2h KsJh6s2s2c Qc8s4c3s2c Kd6d4s3c2d 
Tc9c7h3c2c Jc8s6h3s3d KsJc8d2h2c Jh8d4s4c3c 
Qd7h6d4d2c Ts5h5c2s2d QsJsTsThTd Qc5d4s4d3h 
Kd7h5h3s3h 7h6h4h4d2s Ks5d5c4d2d 7h6c4h3s2d 
Qc8s8d7d3d 9c6s6c4d2c KsKhKc6d5h Jc5c3h2s2h 
7d6d4d4c2h QsQhQdTc8h KsJd4d3h2d Ac9c5c4c2h 
7s5s4s3d2c ThTd5h3h2c KcQh7s3c2c 9s8c7d4d2d 
Qs8s3h2h2c 8s7s4d2h2c QdJh8s3s2c AhJd6d6c2d 
Tc8c5c3h3c Th7s3h2s2c Tc5d4h3s3c Jd9c6s4c2h 
Tc8c7c4c3c 7d5s4h3d2d Td9h4c2s2c Kd9d4s3c2h 
JhJdJcTh5c Th6h4s3h3c 7d4s4d3s2h AdTsThTd2s 
Qs8s7s6h2s 8c7c4c3s3c Ad9c5c4s2h Qc7c6c4h2s 
7d5h4s3d2d 8h7h4h4c2d Kc8c6s2h2c 9c7h5s3d2s 
9c7s6s3d2h 9d8s5c3d2d KsJh8h4h3h 7h5c4d2s2h 
Ks8h7h3c2c Jd5c3c2d2c 9s9d8h3h2h KhKdKcQd7s 
Qd8h3d2s2h Kh8s6c4c3c Jc9c7c3s3c QsQhQcTc8d 
Qh9d8c2s2d KsTh6c3h2h KdJd4d4c2d Qs6h3h2s2h 
KhJs8d2s2c Qs9s5d2s2h 9d7s4s3s3h Jc4s4d2h2c 
Qs6h4s3s3d Kd8h8d4s2d 7h6s4c3d2c Jd9s7h3d2c 
Qs9d7h7c2d JdJc7c3s2c Qh5s4d3d3c Kh8h8d4s2h 
Jh9h8h4h2d Js7h4s3h2h 7h4h3s3c2c AcQh6c3c2c 
Js9s5s3h2s Qh9h5s2h2d Ks7s7h2d2c AdKs8h3c2h 
9h7c6d4d2d KdQs8c4c3c Kd9h5h4h3h 8h7h4h3s3d 
AhQh8d3h2h Js8d7c4h2d KhKdKc9h8h TsTd7h3s2c 
Jh7d7c6s2h Qc8c3h3d2h Ks6c5c3c2d As5d4h3d2c 
5s5c4d3h2c KsJd6h6c2h KsQh9c3d2d Ts7d7c5d2d 
Qc8d7s7h2d Tc7s6h6d2h Ks5h4d4c2c AcJs3h2s2d 
7s7d3s3h2c KsQd8c4c2h Qh7c5d5c3c Ks9s4s4c3d 
Qs9s7s5c2s AdTd4d3d2c Qd5d4c3d2h Qs8h4s3h2s 
KhQh6h3h2c Ks9h7d4s2s 7h7d4h3c2s Kc9d6s4h2d 
Jd7d4d3h2h 9c5c4d4c3h Jh7h6s3s2h Ad6h6c4c2c 
Js6d5s2h2c Kh8s7s3d2d Ad6s4s4h3s Js8d7s3s3h 
Jd7d4h4d3c Qs9h4d2s2c Ts7d7c4h2d Tc5h5d2s2h 
AhKs7c3d2c Qh9d6h2s2h Td7d6h2d2c Ks4c3d3c2d 
Kc8s5d4h2d 8h7d3c2h2c Qd9d5s3c2d Td6d5d4d3d 
Jh7h4h4c3d AcQh8s3d2s 8c5d4d2s2h AsJc7c6c2c 
Qc6s4h4d3h Kd9d4h4d3c AdQs3c2h2c Js8h4d3h2d 
Kh9h7h3s3h 7h7c6h3s2h Jc7h7c6c2d Qd9c8s3h3c 
Tc6h4s4h3d Td7s7c5s2s Kd7s7h6s2s QcTh7s3d2h 
KsKhKc9s7s KsQc9c3c2d 9c5h4s4d3c Jd8h3d3c2h 
QhJs7c4s2s Tc7c5d4c2h Ad8d4h3c2d 8c5d4s3d2h 
Tc4d4c3d2d 8h7h6h6c2h Qh8s7d7c2c JsTs7s2s2d 
Th7h6c4d2h 9s8h6d3c2c AsTh6h3d2c 9c6s6h3h2d 
KdJc7s7h2h 8s7c4c3h3d 9s9h3h2d2c KdTc8c3h3c 
Qh8d7c4c3s KdJc6d2s2d 9h9d7h3h2s Qd6h4s4d3d 
AcJh7h3s2d KhQh9s3h2h JdTc6s3h2h Qh7d7c3s3d 
QhTs6h3h2h KcJc6c4c2c Jd9d8d2h2d Th7s5c4d2s 
Th7s4s3s3c 8s7h4d2d2c JsJh4h3h2h Ah8d7s4s2s 
Th6h4s4c3h Qh8h6h4c2h Jd8c6c4h2c JsJd7d3h2d 
Kd8s8d3h3d AcJs7s2s2d Jh9h7h3h3c Qs7d4s3d2d 
Th7h4h3s3c 8h8c3s3h2d 9c8c6d3c2s 9h7s7c4c2c 
Qh9h8h2d2c 9c6d6c4c2s Ks8c6h4h3h Ks7d5d4d2c 
Jc4h4d2s2c KdJh8s3d2d 8c7h3s3h2c Qc5c4h3c2d 
Ts9h4d3c2h AcKs7h3d2d Qd8d8c4d2s 9h8c4d3s3c 
Td7s6s6c2s Qs9s5s3c2h 7d6d4h4d2c KdTc6s3s2s 
KsJh4s3s2s Kh9d6h3s2h Td7h3h2s2d 9c8h7d4d2d 
Qc7h4c2h2c KdQd9d4d3d 7s6c4h4c2c Qd8h7h7c3h 
9d7c5d2h2d KhJc8d2s2c Qd5c4d3d2s QdTs7s3c2h 
9h7s5d3s2c Qd9c8s3d2d Jd7s5c3d2h Qh8d7h4h3s 
KsQc7h4h2d Ts8h6h3c2h Ks9c6s3d2s Tc7h6s6d2h 
Ad9d3s3d2c Th8h8c3s2h Js7c5h3s2d Ts9h7c3s2s 
Js8s6c2h2d Qc9c6s3c2h Kd7d5h3d2c KsQs7h2d2c 
Qd5d3h2h2d Js5s4d4c2h AsQsQhQc2d Qh8h7h6d2h 
Kd8s6d2h2d Qs7h4s2s2h 8d7s5d3h2c Ts6c3s3c2c 
QdJd6s6d2d Jd8d7h2s2d Jh9d4s2h2c Kd8d4h3s3c 
AdTh4s4c2h KsKhKc6d5c Td9s5d4d2d KhJc4c2s2c 
Qd6s4c3h2d Kd5h4s4c2s KsQh8d4d3d 7s5c4s4h2s 
QhJh7h6d2h 9h8d4d3h2h AdJc3c2s2h QsTh7c4c2c 
Qc7h6h5s2h Qh6h5c3d2h AhJd5h5d5c AsJs5s4s2s 
Td7c5s5c2h 9h8d6d3s2d Qh9c8s4d2c 7h6d4s4c2h 
AsTs4s3s2d Ac8d5d4d3d AdJc8s3h2h Kh8c5s5c3c 
KhTh3h2s2c Jh9h7s4h2d 9h7s6s2s2c Th9d3h3c2s 
Ts9h4d2d2c KsJs6d2s2c Qd5d4h2s2c KsQh7s7c2s 
As6h5h4h2h KhQc4s3s2s 8d6h4c3c2s Kd8h8c4d3d 
AsQh6d6c2d 8h7s4d2d2c Kd7d5s3d2c 9h8h5h4h3h 
Qc8h7d3s3c Jc9d7h3c2s Ad8c6s3h3c KhJc6s3c2d 
5h5c3h2s2h Th6h5h4d2h 9d8h4h4c3s Td7d6s4c2d 
9s7d5h3d2c JcTh6d3d2d Tc7s3c2s2h Kc7h5h4h2d 
Ah9d6s4c3s 8s7d5s3h2c 9d8d7h3s2c KcTh6h3h2d 
9s6d4h4d2c 8s5h4h2h2c 7h5c4d3c2s Jh6h4s3d3c 
7s7c6s3d2s 9h6d5h3h2h 9s7s3c2s2c KhJs8h3h2c 
Qs5h5d4h3h JsTs3s2s2h Th9s4s3d2c 6h5h4s4h2h 
7c6h5c3c2c Ks8s5s2h2d Kd6s5s3s2c Tc7h6c4c2c 
Ks7c5d4d2h 9d6h6d4d2s QsTh7h3c2d Ts8h4d4c2c 
Kc9d7c4c2s 8d5c3d2d2c KcJd6h3d2s 9c6s6d3c2h 
Qh9c8d4s3s Kd8s5s5h3s KsQh7s2d2c QdTd6d3c2d 
Jd5s5h4c3h AdQc3h2s2h Jh9h5h3c2h 9s5h4s4d3c 
Kh8h4s3d3c Ts7h5c4d2h Qd9d5d3h2s Ts7h3s2h2c 
Th7c6s4s2s KcQs7d3c2c Th8d5c3s2h KsTc8d3h3d 
6s6c3c2h2c As7d6h4c2c Kd9d9c3d2s KdQd8d4h4d 
Td5h5c2s2d Th7h6c2s2d KcQh6s3d2d Td6h5s5c2h 
Jh5d4s4d3c KsKhKd7s6c 9s6h6c4d2d Ks7s5h3c2s 
