Qc9d8c6d3d 
JsTdTc8h4h AhQh8h7d4h KdQdJd8d8c AdKdJs6c2d 
Th8d6h5c3c Jh8s5h4s4c KsJs7d6d2c Ad8s7h5c2d 
9d8s7h6h2d 8s7d6s5c2d Qc9h7d6h4d Td9c8s7c5h 
Ac8c7s7h3d KcJc9h3s3h QdTd7h7c6d AcQc5s4c3h 
Kc9h9d8d7s Ts9h9d8d6d JhJc9h5h4s QhJh5h5d3d 
6d6c4d4c2s Jh8s8c5h3c TsTd8c7s2c KsJs8d5s3d 
Kd9h8d5h5c QcJs7s6d3d KdTc6h4c3h KsQdJd7d5d 
QhQd9c5c4s Th9h7c6s6h Ad8d6h2h2c JsTs5s4d2d 
AdJhTs6h6c Qs9c6c5h3h Ac7d4d4c2h Ac5s5d3d2c 
JhTs9h7h5h AhQs6s6c3c Jc9d8h8c7c Jc9s9c7s2h 
QdJs8h4h4d QdTs9s6s4c Jc9c5h5d4d KcThTd7s3c 
JcTs7d5d2c KhTd5h3d2s Kd8d6c4h4c Qc8s6d5c3s 
QdTc5c4c2d AhKcTd8s2d KdQd6h6d3h Jc8h8d6s6h 
QhQc9h7d3s Th9d9c8d6d KdQhJc7d3s Ts8h7d6h3d 
QcTd8d8c2c AsQcJc3d2h Ah9s9c5s3c KsTdTc7h3s 
Jd9s8h6d3s 9d9c5s5c2d AsQdTc4h3c 9d8c6d6c3s 
KhTh9c6h3s KhQh7s5d3c Kd9s9h7s4h KcJc8s6c5d 
JcTd4h4c3h KsQsJc9s5s JhJd3s3h2d KdJdTs6d3c 
JhTs9c7h4h AsTc9d6c5h QhTd9d3h2h JdJc7h7d4d 
Th9d6h4s3d 8s8c7s6c3s QdJhTs5h5c AsTs9s4d3c 
Ks8s8c7d6s Kh9s9h6c5h Ad7d5s3s2c KcTs9c7d4c 
Jd7s6c5d3s AdKhQs3s2c QdJs8h7c5c Jc7s6h5c3s 
Th9h7s4c3s KcJs7s5h4d QsJh8h7h5c As8s5c3h2c 
ThTc8c6c4s KhQc8h4c3c As7d5s3h2h Ah9c7s7c4s 
AdTd5s2s2h QsTd6c5s4s KsTh4s3h3d Qd8s8c6s4c 
Kd9h8c5d2c QcJs9c7d5c As8s6c2h2c Tc9c8c7s2s 
8c6h5h5d4c Ks8h8d6c5s QsJc9d4s2d Ts9h7s5s5h 
Jc9c8d7h2h Jh9s8h6d3d 9h8s7h7c4s KsQdJc6h3d 
QdTs8d4s4d QcTh7c6h2d KhTd5h4h2d JdTh9c7s4h 
KcQh8s8h7h Ac8h8d7c4c 9s9c5d4d3c 9d7c5d5c4h 
KhTh9d6h3s KsQh6d5c4c KcQs9c6c5c TsTd5h3h3d 
JhTc6c5c4d Th9h8d8c2d AhTd9d6c2c Ac8s8h5c2d 
JsThTd5s3s Kd8s8h6c5d AcJh7c5c4c KcQdJd8s4h 
QdJh9c8c5c KhJdJc9h4h KcQhTd5h3h Kd8h6h4h4d 
AhJc9d4d4c Qc9d9c7s5h KhTd9d6s2s KdJh8d7d2h 
9s8h7h7c6d KsJs4c3h3c Ah8h5c3d2c QcTc8d5d3c 
AsQdTs4s3s 8d6h5h4d2s Ah8h6h6d5c KdJs7s6s5h 
QcJhTc5d2c AdQd5s4d3h AsKd7c4s3s QdJhTd5d5c 
KhQd7c3h3d Td9c6h4h3d Ah9s8d8c7d Ks9c5c4s3d 
Jc9s8c7h2h QdJs8s8h2d AdJc8h5s4h AdKs6s4h3c 
JhJd9s5s5c 9h9d8c7c6c Kh9d5s4h3d AsQs6h5s3c 
9c8s7s5s5c Kh9s6c5s2h KcTd9c4h3s 9h9d5c4c3h 
AhTc7s7d5s AcJc8h5s3c Ac8c6s6c5d JsJh9c4c2h 
Qs8c7h6c3s Kd8c6d4s4c Kh9h9c7h3c Qh9d9c6d2h 
Qs9c8c6s3c AsKh9c8d2h AcJs9c4d2h KsJs9c4h4c 
8h6h5d4d3c Ts9h6s4c3h KhTdTc5d4s Jh9h6d5d4h 
Ks8c7s7c3d QcTd9h4h4d 6d6c5d4c3h 9h8s8c7h4c 
QcTs8h8c4d Ks9s9d5s4d Kh7d6h4d3d AdQhTd7c2d 
AhTh6d5s5h KdQh9s6s2h KcTh8c7s4c KdQhTsTh3h 
AdQdJd7d3h JcTd6d3h3c JhTc4s4h3s JhJd8c5d4d 
KcQs8s8h7s Ad9c5s3c2d KhJs8c4h4c Kc9s9h7s4h 
Ad5h5c3d2h AcTs8s8d5s 9s7c5s4h3c Ad8s4h4d2s 
Td9s7d6c5d AcKs9d6c2h KhQh5h4d2d KhJsTd7c3d 
KdQs6h5c4c Kc8s7c6d2d KhQh7d5s4h QcJd7d5s2c 
KhTsTd7c3h QsQd8h4h2s QcTsTd9h5s AdQs9h4s4h 
KsTc7s3h3c QcTh8s6s4s Qs9d7c6d4c KhQdTc5h2s 
Jd9s6d5s3d KhJd5h4d2h 9s8h8d7s4d QdThTc9s4h 
Ah9d6h6c4s Tc8s8h6c3s Jc9s9c5d2d Qh6h5d4s3d 
Jc9h9d7h3d Ks8s8c6s6h 9h8h8d6s5c 8c6s5s5c4c 
AhTs5s4h2h AsTc6c5h3h AcQd7s2s2c JsTd6s5d2s 
KcJd7d4c2s KsJd8s7s2d JsTc6d5c4c AhTh7h5s4h 
JdTsTc7s3h KsTs7d5h3c 9d9c8s6d2c Ts8s7d6h5s 
JsJd6h4h3s QsJcTd3s2h AsJd5h5d3h 9h8c6d4h4c 
Qd8s7d7c4s 9s9c8s5c2h Qh9c6c5d3d TsTc8c7h3h 
7h7c5h4h3c QsQc9s3h2h KcJc8h5c3h QdJsJc4s3s 
8c7c6h5d2h 9s8h6s6h3c QsTd9c6h3d Jd9s8s8d3c 
QsQh8c5d3s As9h8d8c7d AsQcJh2d2c QcJs8d4d3c 
JhJc7s7c4c QdTd8c7d5s KcTc9h9d2s AdTh9c8s4c 
Ah8h5s3c2s QhJdJc4c3c QsJh8d6d3h 9d9c8d6s3s 
AcJhJc9c3c QsJdTs4h4c KsQc7h6s2h Th9s6s6h3h 
9s8s8c6d5h Tc7s6d4s4c QdTc8h6h4h Ad9s5h3s2d 
QdTc6h5s4h KdTh8s4d2s Ts9d7c4c3d Ad7c5d3s2s 
KdQcTs5d2h 9d8s8h6s3h QsJcTs5d2s Qh7h6d5d3d 
Th9h8s8c2s AsJc9h9d5d AcJc8h5c3d JhTs9h9c2h 
KsQhJc6c3d QdJh5d3c2h AdKsQh6s2c Qh9s9h7c5d 
Tc9s9c6c5d QsTs7h7d6s QhQdJs9s4s ThTc8h6s2s 
QdQcTs7c3c QdJc9c5h4s Th9c8h5s2c QcJd5h3c2d 
QcJs9h5s4d 9s8h8c6c3h KcQs6h6d5s QsTh6d5s4s 
Td9c7h6s4d KdJd6s4d3s Ks8s6h4h4d QsJd9h6c4s 
QdTc9s4s2c KdQcJc7s7c AdKc9h6d2s TsTd6s6h5s 
QcTd9h6h4s KsQs7s5c4h 8s7c6s5d2c KhJhTs8c3h 
Js9h8h6s4s TsTh9s8c5d Td9c8d6c2d KhQcJd6h3h 
JsJhTs8s2c KdQh8h7d3h Kc9h6d4h4c JsTc8s2h2c 
QdTd8s7d5h TsTh5s3s3h QsQhJc5d2c KcQd7c6s4c 
QdTsTh8c5c QsQh9h7c3d Ac9d6h6c4s AsJc4h3s3d 
Ad8s4s3s3d KcJsJd7c4c JdTc8d2h2c Td9h7s4s3h 
AdJh9s8h4c 8s8c6c4s2d Jh9h9d4d3s AhKd8c4s2h 
KsTd4s3d3c 8h8c5h4c2s AcTh8d8c2c AdJs9d4c2h 
8s7s6c5h2c QsQh7h5d3c QhJsTs9s4s Kc8d7d6d3c 
Td9s9d6h4c QdQc8h4h2c QdTs9h6c3s Qc9d8c5s2d 
AcJd8d5h5d KsQd9h9c7c Ks9h9d7d4h KcQc9d5h3s 
Qh9s9d5d2h QsTs6h5s4d Qd9s9d8s2s AhQd6s6d5c 
AhQc6s6d5c Jh8d8c5h3c Kd9c6h6d3h 9s9c6d6c4c 
AsKdTc4h3c TdTc8h7h2c AsJc8c5d5c Jd9s9d4s3c 
Ts7d6c4s4d KdJh5d4h2d Kc9h8c5s5h Kd8h5c4d4c 
Ts7h5h4c3s Qd9d7h5h3h AcJc9c6c5d Jd9d5h4s3h 
Jd8s7h5s3d JsJd3s3d2h Kd8h8d7h3s Td7h6d4c3h 
KhQcTs7d3c KcJc7h6h2s QcJd9d5h4s Jh9s7c6c5d 
JsTc7c6h6c Js9s9h8h2h JsJc8d5c4c As8s5d4h3c 
9s9d8d8c2h KsQcTh8d4h Kd8c6c5c2d KhTs9d7d5d 
AdKs6s6h4s AhJc7d6d5s Ad8h5d4d3h QcTc9d3h2h 
AhTh9s4d3h KsJh9h7h5c Tc8s8c7s3h QcTh6d5s4d 
9d8h8c7h4d AsKsJc6h2s KhQcJs6s3d AhQhJh8h3s 
JdJc9h4c2h Th9h8c6h5s AdTc9h6d3d 9s7d5s5d4h 
KsQcTd8c4c JhTc8h2d2c KhQdJc4h3h KsJs9h4h4c 
Ks9d7s7c6s AsQc8d6h6c Qd9s9c6c2d AhJs6c3h2s 
9d9c8d7s2c JsJcTd5h2s KsQd7h6s2h JhTs9d6s4s 
KhTsTh8h4d Kc9d8s8d3c Qs9s8h8c2h AhTh8h3d2d 
KsJsTh2d2c QcTs7h6c2s AdJhTc6s3h Td8s8d7s3c 
Kh8c7s5s2h Ad8c4h4d2c 9c8h8d7c4d Td9d7h6d6c 
AhQh5h3s2s TsTd7d5c4h Qs7d7c6s6h Ks8h7s6d2d 
QhTs9c7d5c JsJh6s5s4d QhJdTh4s4c Qh9s8h8c7h 
Ah9h8h5c4d KhTsTc9c5d JsTs9d5c2h Th8h8d7d3s 
JhTh7h6s6c 9h9c8d7d6d AcQs9c6d2h Td9s7c4c3s 
KcQsJc7d4c As9h8d7h5h Th9s7h4s3d KdTh9d6d4c 
8h6h5s5c4c KsQd7h3s3d QhJdTh5h5c AhQs7d5c2h 
Ac8c5s3d2s KcQs7c5d3h Kd9s8s7s6h QdThTc9s5h 
QdQc9c3h2h Qh7h7c5c3d QcTs8s4h3h KhJd8d7d5s 
AdKsJs6c3s AsKhJh5c2h Kc8s6s5c2s Ts9c6s6h3h 
AsQh8s5s3c 6s6c5c4s3d Td8s7h6h3d QhJsJc9d4s 
QcJh9d4c2d QhJcTh5s5h KhJh6c4c2d QcTd9h8h5s 
QcTd8c7s5c JdTh9s6s6c AcJs9d2h2c KdJc9s7d3h 
Jc8s5d4d4c 7d6s5s5d4s AcQh9d8s4h KhTd8h6s6h 
QhTs5d3h3d QcJc5d4d2c KcJc8c7c6h Ad9s7s7c4c 
KhQdTsTc4c JhTsTd9d4d AsTc8c6d4h Kd8h7h7c5c 
QhJcTc6s3c QcJc6d5h4c As9s9d4d2d Ad9s8d3s2s 
Td7s6c4s4d As5h4h3s2h AsQd9c4d4c AsKh6h4c3d 
AsQsJs8s4s KdQsJd5h5c Js9s9d7s5h KsTd6s5d2s 
KdTh6d5h2d AdKdTd6s2c AcQhTc7d2c Jd9h9d4h3s 
QdTs5h4h2d KcQhTh8s4h Td9d8c6d5s QhJsJd9c2d 
KcJhTs8c2c KdQhJs7d3c KcQs4s3c2s QdTs6c5s4s 
QdJh6c5s5h KdJhTh6c3s QcTs6d5h4d QdThTc8s5s 
KhQh6h6c3c QsTd8d6d4c AcJs8s5s5h KdJd8h4c3h 
QhTh8c5c3h Ts8h7c6c3s KdQs9s8c2c Jd9h8h6d2c 
QcJs9h4c2h Qs9h8s6h3h Qd9h6d5s2h QsJc7c6h3h 
9s8h8d6d3h TdTc8c7c3d Jc9d7c6c5h AsJd9d4c3c 
Td8c6d5c3d JcTc9h7c3d JhTh7c5s5d KdQc9h6h2c 
JsTc7s6s4h Ac8d7h6s5h AhJh6d5h5c Jc9c8s5h2h 
9h9c8s6s3h QhJc7c5d2h 7c6h6c3s3h KcQs7c5c4h 
KsJh6s3h3c KsTc8s6s6d KsQc9d5s4h QdTh7c6s6h 
Td9d6s4c3s QhQd9d6c2s QcTc6s5s2c QdJc9s3c2d 
9s9c7c4s3h 8s8d7s5c3d QsQc9c7d3h Jd7d6s5h3h 
Td8h7d5c3c KhQd7s6c5s QhJh9c4c2s Kh9d5d4h3c 
8d8c7d5s3c KdQd9s5s5d QcTh9d5h2d QsJc6d5h5c 
AsQsTh6d2s 9h9d7c5s5h Jh9h7d4c3d QhQc9h5s3h 
QdJdTd5d3c KdQdJd9c5d 7s7h5h4h3s Qd9h8h7c2d 
KhQhJd7h5h Qc8c6h5h2d Jh9d8h6d2c Jc9s9h8c7c 
KcJs7h6s6d KcTs7c4h2h QcJd9h5c3s Jh9h7c4d3c 
JcTd9h7s4s KhQcTh6d2s QcJs5c3d2s JcTs4d4c3d 
AdJd9s9d2h QhTd9h7c3s TsTh9c7h5h Qc8c7s7c5s 
KdQhTd6c2s AhKs6s6c4s AdQh9c7c5c KsQs7h7c6s 
8h8c5c4h2s Qc8c7d7c5d Js9c8c7d6c AcTdTc3h2s 
KsJsTd8s4s KdTh6c4h3c AcTc9c4s3h AhTsTd9s4s 
Th8s6c5s3h Kh9h8h7d7c QdTd8d7h5s QsQh4h4c2d 
KsJhJc9d4h As9d8c6c4d QcJs9d4c2d 8c6s5h4c3s 
QhJdTh5s5h QhTs6h4c2c QdTh9d3s2s 9s9d8h6s5s 
9s9h8h8d2c QsJhTd8c2h QcJdTc8c3s JcTh5d4d2h 
KhQs9h9c5d Kh9h7d4c3c QcTd6s6h4c AcJc9d9c2s 
JcTh7h6h6d AdKcQs7s3s KsQcThTc3c Ts9d7h7c6s 
8s8d6s4d2h QdJd9c7s7d KsJc8d7c5c Tc9h6s6c3s 
As9c6s4h2c Jc9c8h7s2s Ah9s9d8s3d JsTs8s4d2d 
KcQsJs7s7h KhQc9d6s5s KdQhJs4d3d AcTs9s7s5s 
Kc9c7h5h5c AcKhQs7h2d Js7d6c5s5c Qh6s5s5h4d 
AcKh8s5c3c Kh9d7s5c4h QdJdTd5h2s KsQh4h3s2h 
AdKh4d3s3d Jd9s8s6d4d AsKsTs6d2h 9c8h7c5c3h 
KhJhTh8d5h KhJc7c4s3s QdTc9h4h4c 9s9c8s5c2d 
QhJc8c6c2h QsTs6c5d3h TsTd8s6d2s 9s9d5h5d2s 
KcTc8c7s4d QdQc8s4s2c QdJh6d4c2h KsQsJs9d5s 
9d8h6c4h4d AhKhTd6c2h QcTd9h9d5s Th9h7c4s3c 
ThTc8d7d3h KhQs9h9d5c Kc9c7s4d3d Kd9s9d5d4s 
AhQh5c4h3d QhJh9d6c4s AcQs6d6c4c AdKh9s9c6c 
AdTc6c5s3s ThTc9s4s2h Td8h8d7h2s QdTh9s7c5s 
QhQcJs6s3s KhQcTd7s3c QsJsTs5c2d Td7d6c4s4c 
Qd9s6d5h2s AdJh8s6c5s 9d8s7s7c6h AcQd9c7h3c 
KsJh7s6s4c 8h7d6h4h4d KsJc9s6h4d KdQhJs6s3c 
QsTc6h5c4c Th8c6d5c2h Js9s9d7s3d KsQs8h6s3h 
8d7s6d4h3s QdTs8h7h5c KsQhJs7d4s Jh9d7c6c5s 
JsJd3s3d2c JcTh7h6d2c QsJhTs5s5d AdTd7s4c3d 
KhQc9h6h5h QdTc9d3s2s AcQd8s6d2s 9d7s6s6d4s 
Ah7h6s5h3d KsJhTd7c3d AdKc8h7s2c Qh9s6s6d3h 
Ac9s6h6c4d AcTc6s5h5c Ts9h7h6s2h AsJc4d3s3h 
TsTc8d7d3s Ts9h6s6c3c AsQd9c7c5c JdTc7h6h5h 
QsTd9d6d4c AdKsQh3s2s KdTs7h6c4h JdTd9d6s4h 
9d7c6d4h4c QhQcTd7c3c KsTc8d6d5h JdTh6h3d3c 
Kd9c7h5c2d KhKc9s3s3d Js9s9h8h3s 9h6s6h5s4h 
Kc9d8h7s6s KsJs8d6s5h QcJc7d6s5c QhTh9s3d2d 
Th9h9c6d5h Kh9h6c5d2d JsJcTs8s2h Ad5s5c3d2s 
9h9d7h6d2s KhTc6s6c2h QsQc8s6d3h Ts7s5c4d3c 
8c7s5s4c3h QdTsTd9c5d 6c5h5d3h3c Tc8d7c5h3h 
Kd9c6s4d4c Tc9h9c6d2d KhJdJc9s4d QhTd9s7c5s 
9d8c7h6h2d Ks9s6d5h2h KdQc5s5h4d AhTc9s8s3d 
Jh8s5h5d4d Jc9c6h6d4h Th9s9d6s2d AhQs6s6c5d 
KcQc8d7s5c Tc9s6d6c3d AsKc6h6c4c QhTd7s6d6c 
QcJh6d5h4h AdQd5d3h2h Qd9h8h5s4s AdJs9h6s3h 
Qd8d7c6d5s Td9c6s6d3s JhTd8h2s2d 6h6d5h4d3c 
KcJd8h4h4c JhTd6d5d4s AhJs9c4c3s 9d7s5d4h3s 
QhQc9c3s2s JdTc7c6s6c JsJc5c4d4c Jc7d6c5h3h 
AdJh9s6h3s Th9h9d7d2h JsJdTh5c2s QsTs7d6d2h 
AhJcTs6d3c KcJd7d6h5d Ks9s9h5s4h 8h8d7h6s5h 
KhQs6s5s4c AhJs9c6s3c KhTd7h3d3c Qs8h8c6c4h 
QcJh8d4d4c QdJs6h5s5c AsJh6s2h2c QsTc6s5s2c 
Kh9d5c4h3d AdTdTc6d3s KsKc9h6h2d KdQdJs6d3c 
Jd9h9c6s6c Ts9c5s5h3c QsTdTc9h5c Jd9c5c3s3d 
JsTs6h4h3h 9h7d6s6d4s KsQc9h9d7d Ts9d8s4d4c 
8s7s6d5s4c Jc9c5s5h4h AsKhQd6h2c KdTs8c6c5h 
6s6h4s4h2c Ks9c7s7h6s AhKsJc8c2d 9c8s8d5d3s 
Td9h9d6s4c Th9s9c8s6s JsTdTc7d3h KhTs7d6c4d 
Th8h7s6d5h AdKh9h7c2s AsQs7d5s4s AhJc6c2h2d 
AsKs6c5h2s AcKh8s7d2h JcTd7s6s5s AdJs4c3h3d 
QhQd9d7c3s QcTh7d6d5s Ks8h7s7d5c QdTd9h3s2s 
KhQd9h7d2h JdTh6s5h4h KsTh7s6h2s AcTh8s8h5h 
KsQs8h7d2h AhQdJd9d4d TdTc7c6d2s QcTd9h5d2h 
Kh8h7d6s6c AsQs5c4s3h 7s6h6c5c3s Ts9d8s6d2s 
QhQd8h6c3s TsTc5h3h3c 9s9d6s6h4s Jh9h8s5d2d 
Qc8s7h6s3c KcJdTh7s3h Kc8h8d6c5s KhTs7c6d4d 
QdJhJc9s4c Js9s9h5d2d KdQh7d5s3c Th9h9d6s5h 
AcTs8s4d3d KcQdTs9h3s KsQh7s5s4d Th9c6h4s3c 
AsTc8s8d2s JsTc9h9c2d JsThTc9h4h Ks7d6c5d3c 
AhJh5c4s2d Js9s5d5c4c KsKd9h6h2c Qh9d6h5d2s 
Qc8h7d7c4h Kh9d8h7h7c QsTdTc9h3d Qd9s9c5d2c 
8h6s5h4s3d AsKsTs4s3d QhJdTs7d3c KsJsTd8s3c 
AhKcQs7c2d Th9s8h6s2h AcKh7d4s2c AcTs8d8c2c 
QcTs7c6d2s Jd9h8s8h3d Ts9c8c5h2s KsQhJh7h7c 
QsTs8h5h3s Qd9h9d8d4h Ac6s4h2s2c Tc7d5d4h3c 
Jc8c6d5s3s KhQdTc9s3c KcJsTs6h6d KcJc7s7h3s 
AdJc9c4h3h Jc6s6h5s4c AsKdTh5c3c AcTc8c3d2d 
Qc8h6c5h3h QsTd9s4s2d QsJc9d5c4h QhTc5c4h2c 
QdJdTh2s2c KcQdTs8h4s AsKsQc5s2s KcQd8h8d6s 
9s9d8d6c3c QsQhTd7s3s TdTc5s3s3c QsTh8s8c4d 
As9d7c5s3s AcQs5c4c3d QdTsTc9h2s JcTh9s7h4h 
AdQs9h8c4s AdKs9s9c4h Ac9h8s7h2s Ks9s7s7h4h 
Ts9s7h4h4c QhQd8d7s4d Ts9s7s7d4d JsJh5h4h4d 
Jd9d5s4h3s JdTsTd2d2c Td9d8h6d5s AcTs9h8d4h 
9c8s8h6h3s AhQd7s7c3h Jc9d7h7c3h AdTsTc5c2s 
QdTs7c6s5s KdQsTh9c3h QcTs5s5c3c KhTdTc6h3s 
QhJh9h5c4d Kd7h6c5h3c Ks5s5d3s3d JdTh5c3d2h 
Js8c5h4s4h QcJd6c4h2d Ah9c6h4d2c AdQh9c5h2c 
Ah8h5d4c3s KsQs9h4h2d TsTc5d3d3c Jh9h8d5c2c 
QcJdJc7c5c Kd9s9c7c4s Ah8d4d3h3d AcTd6h6c4c 
AdKcTc8c3c As8s5h4d3c AdKdTd6c2h AhKs8h6d3h 
Ac7d4d4c2s QsTd8h7h5c QcThTd9s5h QsQhTc7s3s 
QsTs6c5c2c As8s6s6h5d QcTs9s5d2d KhQsJd6c3s 
Ac9d8d6h4h AhKd8c5h3h As6h6c5c4h Qc9d8d5h4h 
Tc9c8d7d3d KcJh5c4h2c KdTs7c6h4c JdJc6s5s5h 
JdTd9s5h2c 9s9d8c6s3c Ts9h8s5c2h 9d7d7c6c4d 
Kc8c6s4s4d JdJc6s4s3c AdJd7c2h2c AcJs6d3c2s 
8s7h6s5c2h AhKh6s5c2h ThTc9h8d5s 8s8h6h4d3s 
9s9h8h7s2d JdTs6s5s4h AsQc7h5s2d QdTs7d6h2s 
JhJc9d4d2h QdJs8h6s6c AcKd8h5c3c 8h8d5h4c3d 
KcQs7h7c3h Jh6s6c5s4h QsJc6h5c4c Kh9s7h7c6h 
Qd9d9c8c2c KdQsJc4d3d AcTh9s8d3d Ac9h8h6d4d 
AsKh8d6s3s QhQdTh5s2h Jh8c7s5s3h 9h6s6h5s4d 
JcTs6s5s4h TsTc7s5h4d Qd9h6h5s3s Qh9s9c5h2s 
AsQdTh4c3h KcTd9d6h2h 8c6s5s5h4c QdJs9s5h4c 
Ks9h8s8h4h Js9s8h8c7s AhKsKdKcTd Jd8s6s5d3c 
Jc9s9d8s7s KsQh9d5s4c KcJh9s8h6h QhJc6h5d3s 
KcTsTd9s5h Kd9s8s8c3d Tc8s8h6s5d AdTd8s8c3d 
KcQd8s7s2c QhJh9c6d4s KcJdTd6d4d Qd9c8c7s2d 
QdQc9c6s3c Tc9s7s4s4c QsJc9h4s2h Kd8h7d4s4h 
JhJd6c5s5c Tc9h8s6c5c QhTc9d4d4c KsTh9s7d4s 
AhQd9d6d5s AhKd7s4c2h 7d6h6c5h3c Tc8s8c7s3d 
Jh6s6c5c4h KhQh7d5s3c KsQs7s6h5s AdQcJh4h3h 
AhJcTd6s6c KdQh9h6s2s QcTc8s8c5d AhJs9d9c5c 
Tc8h8c6s4d QhTs8c7c5d Td9h9d6s2s AcJs9h2d2c 
AcQh8h5h4d QhTh6d4d2c QhJd6h5c3s Ad7c4d4c2h 
Th9h6d5h5d QsJc8h7s5s Js8c6s6h4h AsQh5d4h2d 
AcTs8d5s4h Js9c8s6c2d QhQd8d7c4d QcJs8d7c2d 
AdKc9s6d2h KcQc9s8s2c QcTs7c6s2d JhTsTh2h2c 
KcQc8h7s5c QdTd6s5h3c AcQc6h6d3s JcTc9c6s4h 
Qh8h7s7h5s Qh7c5c4h3s Jh8s8h6d6c QsTh9c8c5d 
KcQcJd9c5c QsJsJd9s3c KcQh7s6d5s QdJd8s7s3h 
Qc9c8d7s7h QhTdTc9s5d QdQc7h6d3s TsTc6h5d5c 
Jh9c8h7s2s QsQc8s4h2h QdJs9s7s2d KdQd9c5s3h 
KhQc6d5c3s AcKhTd8s2d AhQsJd6s6c Jd9s8d6s2h 
Qs9h9d5h2s QhTs8s6s4c Ac8c5s4h3d AdQd8d5d4c 
QsJs6h5c4s 8h7c5c4h3s KsTs9d7s3c KcTd9c7h4c 
Tc8s7d6d3c 9c7s7c5h3h 9c7d5d5c4h QhQd8h4s2s 
QsTh7s6d2h AcTh8s8c2c Qh7c5h5c4s QhJcTd3h2s 
AcQc5c4s4h QhJhTh5h4h Ah9h9c5c2h QsTh5c3s3c 
KsJh9c3s3c KdJs7s5h4c KhQc9s6s2c KdTd6h5c3s 
AdQh8d5d3s Ks8s8h5s4h QhTh9s9d5c Td7d5c4s3c 
KdJdTd8s5d Jd8c7s5c3d QhQd9d6c3d Kc9c7d5d5c 
QcJd9d5s4h Qs9s9c8c3c Qd8d7h6d5s AhKcJs9d2d 
AhThTd3s2c JsJcTd5h2c KsQdJc7s3h KdJc7s6h6c 
QdTc8c6c4h Qs8s7h6s5c KhJd7d5s4c JdTh7s6s5s 
QcTc5h4h2h As9c8h7c2h AsTs7s6d5s Jh9h6s6c4s 
8s8c5s4c3s AdJcTc6s3h AdKh6s6h3c AcKh4c3s3c 
AdQc7h7c3h Kd9d6c4h3c QdTd6h5d4c QdTh9d5c3s 
JhJc9h5h4d AsQc7h6h5h As9s9h4s3h KdQh7c6h4s 
AhTs8c5s4d Jd9d8s7c2s Kc9c6s5h4d QdTc8h5c2h 
9s8c7d7c6h Qs8h6h5h3s Ac9d9c4c3d AdTd7d7c5d 
AhJd8d8c2c JhTd6d3h3c AcQh9d6h5h Ts7s6c4d4c 
AsTc8c6h4d AhQh5h4d4c Ts8h8d6h5c AcKhJh5d2h 
KhJsTc8h2h QcTc9s9d5h KhQs8h7h3s 9s8d8c7c4s 
JhJcTs8d2c Qc8h7s5s4h KhQc9c6s2s QcTd7s5h4c 
Jd9h8c6d3h KcQdQc7h3c AcJh8s5d4s QhTs6h5h2s 
Td7d5c4h3c Td8c6s5c3d Ts9s8h6s5c ThTd7d6h2c 
Ts8c7h4s4c Kd9s6h5h4s Ad7h7d5s2c 7c5s5h3s3c 
JhJc6d4s4c QsJs9d4h4d Kh9h8h7s7c 6h5s5c3s3h 
AcJc9c6c5h Td9s9h6h2s QcTh8h7c2c QcTc8s4c3s 
KsQsTd4s3h AhKhTs6d2h Jc8s8h5c3h QdTs9c8c5h 
QhTs7d6c5d AdJc4d4c2d KdJh9d6h2d KcQs7h6c2h 
KcQc7h5s3d KsKhQh8d2h JdTs8c6c5c JdTh7h6c4h 
AsKcJh8h2d QhJsJd6c3s AdJs9h8s3c Jd9c8d8c3h 
7h6h6c3s3c AcQs7h5c2d AcTd8d4h3h Jd9d6c5c4d 
9c7d6c4s4d QcJd9s6h4c AcQcJc8c4c ThTc7h5d4s 
KhQdJc6h3h 8d7d6c5h2c KcQsJh6h3d Kc8s7s7c3h 
AsQcJh4h3h 9d9c8d5c2s Ts9s8s7d2d AcTsTh5d4h 
AcQsJh6s6d AsTc8d6h5d KcJcTs6c3h KhTd6d3h3d 
Qc9h6s6h3c Qc8h7d5d4h 9h7d6s6h4d AhTs9h8h4h 
KdJsTh7c3h AdQc8s6h6c KhQcJh7s4h KhJs8s4s4h 
QsJc9d3c2s QdTs6h5d5c KcQcTc9c5d 9s9c7s4c3d 
QcJc5s4s2c QhJh9d2s2d 9d9c7h5s5c KsTd8c4s2c 
7c6s6c3s3h AsKs6h5c2s AcJc6d5h5c Jh8h6c5d3d 
AhTh9c7h3h QsTc9d5c2d QdJs9h4d2h AcTc8h3c2h 
AcTc9s3d2h QdJd8h5h2d Qd8c7s7d4c KcJc9d3h3d 
AdTh7s6c5s KcTs9c4d3h 7d6s5h3s3h AhKs8d8c4s 
QsTd7c5h4s AdKdQs4d2d Td9h9d6s5d AdTd7s7d5d 
AdKh6h6c3s KsQs8d7h2d TsTc7c5d4h AcQs9c5h3c 
Kc9d7h7c6c QhTc5d3h3d KcQc7s5h3d ThTc9d7c5c 
Ts9s8d8c2d Tc9c8h8d2h Ah8h6s6h5d Ks9d6h5h4d 
AdJc8s7h4s AdQd8s5d4d KcTc9s4h3d QsTc8c7d5c 
KsKdQh6c2c AhJc9c4s3s AdTh8d5d3c KsTs8s7c4h 
Ad8d7s3s2c TsTh6d6c5h Qs9h6h5c3c AhTs9c6h3h 
