KsQh9h4h3c 
9c8c7h3h2d KsQdTs7s2s QcTc8c6c2c 5s5c4h3h2c 
Ts9h6s4c2d Ac7d6d4s4h AhQs7d4c3c 6s6d5s4h2s 
9h7d6c5c2c 8s7c5c3h2s Js7s7d5h3s Jc8h4h4c3c 
AhKd8d3s2c Qs9c6s3s2c Tc8h6d5h2s Kh9s9c5d4d 
Qd5c4c3d2c KsTd6d5c2d JhTd7s7c2h AcQh4s3d2h 
Ac9c8c6c2d Ts7c5h5c4c Td6d5s5c4h QdTc5h3s3h 
AhTd9d5d2s Qc9c8c7d2s QhJc8c7c3s Ks7s4h4c2c 
Td8d6h4s2c Ts9h7h3d3c 8d7h5d4s2c KdJs8d4h3d 
Jd5h4h4d3d Js8d6c5s2s KdQs8d7d2h 9d8d7s5c2d 
9h8h8c7h3s Tc6d4h4c2h AcJs7h6d3h Th9s6c5d2c 
6d5d4h4c3s Jh9h6h4c2c 8h6h6c4d3s Ah9c6d5s3d 
QcJc9c4d2h Td8h6c4c3c 7c6s5c4h2c KhQsTs3s2s 
7h7c4d3c2h AsTs5s3s3c Js8s8d7c3h KsJd7d4d4c 
Kd9s8c7s4s Kc7s7d5d3h 7s6d6c5h2c AcQd9s3c2c 
Ac8c7d7c2c 8s7s7c6h2d AdKc8h4h3s AhKs9d6d2c 
Tc8h5s3c2s Tc8d4c3s2d Qc9s8d7h4h Ad6s5h3d2d 
Jc9c7d4s3c Qh7c6d6c4c Td7d5d4c3s Td9s5d4d3c 
Kd7d6d4d3s QcTh8c4c3c AdTc9h6c2c Jc9s9h5d2d 
AdQs6c4s2h Kh8s8c7s4s 9d6c5h5d3d AdQc6h5h2s 
QdTd8h4d3d Qh9h5h5c4s Th8c6d4s3d Js6h6c2s2h 
AdTs9s4c2s KdJs6d4h2d Js9c8d7c2c Jc9h8c4d3s 
9s8h6h4h4d KhQh8h7c3s Qc9h5d4c3c Js6s6c5d4s 
Qh7h5h5c4s 8d5s4h3h2d KdTh9c2s2h Tc9c6s4c3c 
Jh6d6c4c2h 8c6h5s2s2d Js9h8h8c4h Js7s6s4d2d 
Ts6s5h3h2c Jd9h5h4c3s 9c7c6s4c2s AsJd5h5d2c 
Ad7h4d3s2c Qd7d5h4h2d Qs8s5c4s4h AcTh9d6h2h 
Kh3h3c2h2c AdTc5d2h2d Ac6s5s5d4s Kd9s4s4d2s 
9h8s6c4d3h QcJc5d4c2c 9s8c4s4c2d QhJc8c7c3d 
Jc9s8h8d2d QdJc8s6h2h Qs9c4c3d2s Kd7s4s2d2c 
Kh8d7h3h3d Jd7c6s4d3h Ah7c6c4d4c Th8h8d4c2h 
JsJh6c3d3c 7s6s6d3c2c 7d7c6s3d2c Js9h7d5s2s 
Ts6h5s2h2d KhTd9c4s4c Qd9s4s3c2d QhJc8h4d3h 
AdJs8s6s2h 9c8h6s4d3c AcQs5s5h2s Kc9d8d6h3s 
Qs6d4h2s2d Qc9c7h6d2s QdQc8c7c2c Td6c5d2s2c 
8d7s5h3s3c Kh9s4s2h2c JdTd5s4d2d KhTs9s5s2c 
KsQcTc3c2c Ac9s8h8d2s Jd9c7c4s3h Qs7d4d3s3h 
QdJc9c4c2h Qh7h5h4s3c Qd8d6s4h3c 7c6s4s3h2c 
KdTc4h3h2c JdTs5d3h2d 7s6d4s3d2c QhTs5c4s2s 
Qs9h8h7h4c Ac9s8s5h2d AcTh9h2h2d Tc8d4d4c2c 
QsQd7d4h2c Jc8c7h4c2h JhJd9h3c2h 6h5h4d4c3s 
KhTdTc3d2s AsKd8h3s2s Ts7s6h5s3s 9d6s6d5c2h 
QdTh8d7d2d AsTd6c2d2c JhTc8h3d2h Qs9d8d5h2c 
Th9h5c3s3d Jh9d8s8c2s AcKs9d4h3d Td6d5s3s2c 
QhJh9s4h2c 9s9d7c2s2h 9d5h5d4s2h KcTc9c5c3c 
KdJs8c5h3h Ts9d7c5h2s 8d6h5s5c3s 6s5c4d3h2c 
KcTd8d5d3s AsJh9c4h2d Jc6c5s5c4h Ts6d5s5h3c 
QdTh6s3d2c 4s4c3d2s2d 9h8s8c7d3c 7d5c4d2d2c 
Jd9h6s4d3c KhTh6d3c2s Qc8h7c2h2d Ks7h4c3h2s 
9c8s8d7s2s Jc8s6c5h2c QcJs9s2h2d JsTd4h2s2c 
9c8h5s5c4c 7s6h4h3d2s Kh4c3s3h2c Td9h9c7s2s 
Ah9h6h6d2s KhJh6h5d2h Kh7d5c4s3c KcJd7c6c2s 
QsJs8d5s2s 8s7h5h3c2c Ac9c8c3d2h KsJs6s5c2s 
Qc5s5d3d2c Td8h7h6s2h KcTs7d6h2s Tc9h8s4d3s 
KdQd7c4h2s Jh8c5h3d2d Qd7d5h5d4c Th6s5s2h2c 
Ah8d7c6s3d TsTd7h3s2h 9d7d6c5d2s 8h7h6s4c2d 
Th7h5s5c2s 9h7s7h4d3c Jd9c4d2s2c JcTh6d5h2h 
Kd6d3s3h2h As9d5s5c2s 9s9h4c3h2s AcQd8s6h2h 
Kh8d6s6c4d 6h5s3s3c2h As4h4c3d2s QsJs8s4h4d 
Ah9c5s5h2h 7c6h6d4h3h Js7d6s4h2h 9s8s7s5h2c 
Jc8h5c4s2d Tc7c5c4d3s Kc9h9d5d3s Kc9c6d5c2h 
Kh6h5s4h3h 8s8h7s3h2d Jd9s8s8h4s TsTh9s4s2s 
Ts8h8c5c2d AdKc8h3d2d Td8d7d6c2h KsJs8d2s2d 
7s5d4s3h2d KdQc6d3s3d AdJh6s4h3c AcTc7h3s2c 
8s6h6c3c2h Ks8c7h7d4c QcTh6d4s2d Jc7s7c6h3d 
Js6h6d2s2d Qc8h7d5s5d QsTs9h3s2s 8s7d7c5h2s 
AdJhJc6c2c Qh7c5s5d4c Ts8d6c4h2c Qh5h4h3c2c 
9c8d7s3s2c Kd8c5c4s2s AdQc7s4h3h JsTs4d3h2c 
QhTh9s3h2h Jd9h9c5s2s AhKs8s3s3d AsJc8s4s2s 
5d4s4h3s3c 6h6c5d4s2s Qs9h8c6d3d Jd9d6d6c3s 
8h7s6s4c2d Qs9d4d3h2s Tc9c6c4h3c 9h7d7c5d2s 
9d8h8d3d3c 9d8d5h4d4c QdTd8c4d3d Qh8h5s4h4d 
Ts8h7d5d2c QhJd8h4c3h Kh8s8d5d4d KdJd9h6d2d 
9s8d7c3c2s Tc9c6c4d3c Jd9s5s4c3s Tc8d6s4s3s 
JsJd8d7d2d Jc9s8d4c3h Kc9s8s6h3d AdJc6s4s4h 
9d8d7h5s2d AcQc8c3s2d 9d6d5s5c3h Jd8h6s5c3c 
QdJh8h4h2c Qc8d7h5s5h 9s9h6c2d2c Jc7h6s5h3h 
Td8c6s5h2c Jh6c4d3h3d Ac6d6c4h2c 7h6h4c3h3d 
Qs8c6c3s2d JhTd5c3s2d Jc8s6s5s3h 9h7h6c5h2d 
Qs9d5h3s3c Qc8s5h4d2c 9d8d7h3h2c Jc8c7s4c2s 
Qd8h7c6d2s 9h5h5c4s2c Ad9d9c6d3d AsJs8h3c2s 
Qs9c8c4d2d ThTd8d5d3d KcTs4c3h2d TdTc8d7d2d 
AhJc7d6s3d Qh8s5s4s4d 9d8h8c7s3h KdTh6c3d2s 
8s8d7h4c3s Th8d6s5d2c QsTd7h7c3h Ts6s5c4s3d 
8h6d4d3c2c Jh8s8c5d2h Th8s5c4c3d Ks9h8h7c4h 
Jh7s6h4d3c Jc9c8h8c2s 7d6d4s3h3d Th9s5h4h3d 
QdJs8c4s2h JcTd5s3h2d Tc9h8d3s3d 8c6s6d5c3c 
8c7h5s3h3d QhJh7h4d4c 9h9d7s2h2c Qh5h5c3c2c 
5d5c4c3d2h JhTh5h5d2c 9h7c6d3s3d AdTs5s4s3c 
KcTd6s3c2h 8h7c5d3s3d Kh9h6s5h2d As8h8c5h3h 
Kd6c4h3s3d Kh7d6s6h2c 9h6h5s5c4h Qs7h6d3h3d 
Ks8s5d2s2d QhJh7s4h3d 9s7h7d5h2c Ac8h8d7s3s 
QsTd8s4s3s KcTs9s5d2s Jh9d7h3d2d Tc9s8h4d3d 
Jh7h7c6d3s AcKh9s6s2d Qs8d7h7d4c KcQs9d5d2h 
JdTs6h5c2c Kd6h3h3c2d Ts6c5d4s4h Qd8s8c7d4d 
AsTc9h6h2h Js9c6d5s2s AhQs5c4d2d QdJs9s4s2h 
Jh8s7d6h3c AhTh7d3s2h Kc9c8d7h3c Qs9s7s6h3s 
Th8c5h3s2s AsTd9d2d2c Kd9h5d2h2d JhJc9h7h2h 
Jh8s6s5s3d KdQd7c5h2d JsTd5h3c2d 9s8h8d7h2h 
Kd8d6h6d4d QsJs5d4s2s Kc8h8c7c4c 9d8c6h6c2s 
Ks7d4h3d2s KsJc5d4c2c Jh6s5c4c3d Jd6d5h4d3s 
AsTd9c6c2c AhTd8c4c2c 8c7d5s5d3h 9c8h8d7s3d 
KcTh7s3h2s AhTdTc6d2d AhJc8s4d3d Js8h5s3c2c 
8d7s7d6h2c AdTd7h3s2d JcTh5c3c2s AhKs7s6s2s 
JhTc6s5d2d 7h6h4c2h2c AsQs8s3c2d AsQs6d6c2s 
8c7h5h3d2c KhTh6h6c3h Jd8h8c5d3d 8s8h7s3c2c 
AcKh7h2s2d JdTc7s6s2h Qc9h8d7s4s Qh9s9c4d3h 
8d7c5s3h3c KhTh8c2s2d Ad8d7d7c2d QdJh9h6s2h 
KcQs6d3c2h TdTc7s7h2h Tc9c8c2s2h AdJh8d4d2d 
9h9c7d2s2c AdTc9c6c2s Qs7h5c2s2c Kc9c8d6c4c 
Jh7s5h4h4c 9s7c6s3h2h 8s7d4h2h2d 7s7d5d4d2c 
Qs9s7h2h2d Td6d5h3c2c Kd6d6c5h2d Tc7s7h4d3h 
Kh8s8h7h2d QsJs7h4s3d AsQc6d5h2h AdQs5s3s2c 
AdQc9h3d2d Qs9c6s6h3s 8c6s6c5c2d Tc9h9c4s2c 
KhTsTd5s2s KcQc8c7d2s KsQc5d4d2d Qc7d5d5c2d 
Td9h9d4c2d 9d6h5s5c3h AsJh9d4h2c Tc8s8d5d2h 
Kh9s9c5s4s AsKh8d4c3c QdJc7s7h3d 8d7h5h3s2d 
Ad9s6h5c3h AdJs4c3d2d Qs6h5s3h2s Kh7d7c6s2h 
Ad9d6s2h2c Ts6s5h3c2h Ts6s5c3h2c Qh5s5d3h2s 
9s8h8c7d2h Th9h5d3s3c Qd8s7s7h4c Jh8d5h4s2c 
KdKc7h3h2h 7d5h4s2s2d KdJd5h3s2d KsThTd3h2c 
Kc8c4s4h2s Th9s5d3h3c As9c8d3s2s 7s6h4d3d2h 
KdJs5s4c2s Jh9d5h5c2s 8c7h6c3s2h TsTd6d5d2h 
Kc8d5h5c2s AsTc5c4c3d QdTh4s4d2c Jd7h7c6h4h 
Qc8c5c4h4d Kc8h4d2h2c QdJd8c7d3h Qs8s5s4h4d 
Tc8h7h3c2d Qh8c7d3h3c Jh9d6h6c3h As7d6c4d2c 
AhJc9d4c2s Ts6d5d2s2h Tc9c7h7c2d 9s9h5s5d2s 
KsJs8c2s2c KsTh5c4c3c 6d5s3d2s2h Ad9h9c5c3c 
Ks8h7c3h2s KdQh6h5h2h Th9s5h4h3c Js6c5d4d3h 
Th9d3d2s2h 9s9d5d2h2d As9d6c5h3c 8h7c6s3s3d 
Ad8h8c5c3c QhJc5s3d2c 8s6c5h2h2d Td9c6h4d2s 
Jh8d7s5c3d Qs8c7s3d3c KsJs5c3h2s Ad8d6d5s2d 
Jd8h5d3c2c 8d8c7h4s3c QhTd7c6c2s JcTc7h6c2d 
Td8d7d4c3s 8d7c5h5c3s 6h6c4s3s2h Jd8s7h7d2c 
QdJsJh7d2d Qs9h6h6d4h KcQs9h8d2h KcTs6d3c2h 
KsQs8s7c3h Jh9d7c5h2h Td8h7s4c3d KdTh9h5s2h 
As9d8h4s2s AhKd8s4c3c 8d7h6d3h2h KcQd7h6c2c 
Qc9d9c5c3c KsTdTc5c2c 9s6d5c4d2h 9s8h8c5s2s 
Jh9s8s8c4s 9c8c5c4s4h Kh9h9d4h2d Jc9c7d7c4c 
KcQc4c3s3h 8d6s6c3s2c 8s7s6s6c3d KsJc8d5h3h 
JcTc7h6c2s 8c7h6c3h2h AdThTc6c2c QhJs9s6c2s 
TsTh9c3d2c 9c6c5s4d4c 9s9c5c2d2c Th8d4d2h2d 
QcJs9s3d2h Th8d7h6c2h Tc6s5s2d2c Jc6h4s3s3c 
QcJs8h6h3h JhJd8d7d3d AdKh8s4s3c KhQs7c6d2s 
6s6h5c4d2d 8c6s6h3d3c JsTs9s7s2s Qh7s5s5h2s 
Kd9d8c7h3d Ac9s8h6d3s Kc7s7d5h2c Td7h6d2s2h 
Th6h5s5c4d Ts9s8s4d3c Kd9h8d5c2d Ts8s8d6s3s 
Qh8h6s4c3d KhTsTc3h2h KsTd9c5h2h Tc7h7d6c3c 
Js8s8d3h2d Ah9d8d5c2s AhJd6d6c3s Kc7s5d4h3d 
7d6s4h3d2s Kc7d4d2s2c Qh9c7s6c3c 9h8d5s5h4h 
Kh9s9h8d2h QdTs7h3d3c Qd9s4s4d2c KhQc8d4h2s 
9h8h5s4h4d Kd7d4c3d3c KhJs5d4s2s Ts8h8d5h2c 
5s4h4c3h3d Qh9h7s5c2d KcTc6c3s3h QdJc8h6h3h 
Th9s7h7c2d JsTc4d3h2s Ad6s5c3c2s Jh7s7d4h2d 
Jh9s7d5h2h 8c7h5s5d3s Th6h5c4h3d Ts9s6s5s4s 
KhTc7d3c2d QdTs5h3c2d 9h6s4s4h2c 9h7c6s5s2s 
AdTd7c3s2d Ts8d7s4s3c QdTc8d5d2d AcThTd6d2d 
QsTc4s4d2h QdTs5h3h3c Kh4s3c2h2c Kd7s4s2h2d 
Ts9h8d4d3c KdJc6h5h2s 8h7h7d3d2s Td6d5s3h2s 
Ac8s8d5s3s Kd9h4h4d2h AcTs8s3s3h QcJh9h6d2h 
Ac8h7s7h3h KcThTd3h2s AdTh9s6h2h Ks9c6s4s3d 
Jh6c5h2s2c Ts8d6c4h3h KcJh7h4h3s KhJd5d4d3d 
Jh7d5h5d2h Th8s7h4h3c Kh7s5s5c2c Jh7h7d5s3h 
Kd9c8s6h3c Tc8d8c2s2c 8h7d5d3s2s 4h4d3s2s2d 
Qs9d5c3s3h KsKdKc5s2c Qh6h4s3s3h 9d8s8h7c2s 
Jc6h6d4d2c JsTs4c3h2d Kd9d4d4c3c KhJd9h4h2c 
Jc9c8d8c2h Th8h8c6h2h ThTc9d3s2d QsTd6c5d2d 
KdJh7h4s4h KhTd6d5s2d JcTs7d4d2h 8c5d4d3d3c 
Th8s7s7d3c KsQs5d5c2s KsTd8c4h3d KdTs5h5c3s 
KcQd6c3h3c QsJc8h7s3s 8d7s6s6h3s Ks9s8h7c3s 
9c7s7h5s2d Kc8s7d4d3s Td9c4c3s2s Kc6c5c4d4c 
Qd8s7c3s3d Td8s8h5h2c Jc8c7h5c3c Ts7d4s4d2c 
Kd5s4d4c2h Qd9s6h6d3d JsJh9h3c2h Tc6d5h2d2c 
Ts8s6s4d2c Qh9d7s6d3d JhJc7s4d3d AsKs8c3d2s 
Td9c7h3s3h 9s8h6s6c3s Kc9s9h6h4h QsQh8s7s2s 
8s7s5s5d3h KdQh9c6s2c Ac7c6s4d2c KcQh9s8d2s 
KhJd8c2d2c KcQd7h3d2h Ks6s3h3c2h KsTd9h5c2c 
9c6h5s5d3h Qc7c5d4c3h Jd8h8c6d2s QcJd8s7c3c 
Qs9s6h5d2s QcJd9d4d3d Qs9s8s7c2h Jd6s6c4d2c 
Th8h8c4d2h Jh9d8s6c3c Kc8d8c4c2d Kd9s6d4d3c 
AsJd9c4d2h Kc9h4h2d2c Ks8d7d3s2c Qs9h8d5c3c 
Ks9s8s4d2d Th7d7c6h3h Jd8d8c5d2s Ks9c6d5s2s 
Td8s7d4d3c 9s9h4c3s2h KcQc8c7s2h Kc7d7c3d2s 
7c5d4s3d2s As9c3s3c2s KsJc8h6d3d Qc8s5c3d2d 
8d8c4s3c2d Qh9s7d6s3s 6h6c4d3d2h 9c8s6s6h2d 
Qs9s7c6h2d QdTh7c3s3d Qs9d9c7h4h 8h7s7h6d2c 
Kd9s8c6h3s 8c7d7c3d2h QhQdQcTd7c 9d7s7d4c3h 
Ad7h7c4s3h 9s7d5d3h3c KcTd8d4h3s Jc7c6h4s3d 
Qd8s5d4c2h KsQd8d5c3d AcQs9h3c2c Qh7s6c3s3c 
Qc4s4h3d3c As8c5c4h4d Jh9s6h4c3d Td6s5d2s2c 
Kh8h4d4c2c Ac7h6d4d2h Qs9s7s6d3s 8h8d3h3d2c 
AcTs8d4d2d 9s8d8c6d2d AhQc9d6c2c Jd8s6c5d2d 
Js8h6s5d2s TsTd5c2h2d Kd7h5d4c2s 9s9d5h4h3h 
6s6d4d3h3c KcQd8c5h2c AhTd9c6c2c AhQh6d6c2h 
QdTd6s3c2h Td8h7d6c2d Ah8s8d7c3c QsQdQcTc7s 
AsJs6d4h2s Kd8h4s2h2d KhTs7c6d2s QsJd9d7d2h 
Jh9s8s7d2s Kd9c7d4d3h Kd9s9h6h4h Td9d7d7c2h 
Ks9d8h6c3d 9d7c5c3d2d AhJd9d3s3d 9h8h7d3d2c 
Jh7h6c4s3d AsJc9h4d2c 9s9d7d3s2d Ts8d6h4c3h 
9h6h5c4s4h 7d5s4h2h2d Kh9h8s3h2s Jd6h5h2h2d 
7c6s6c3h2h 8h8d7d3h2s 8h6s6h4c3d Tc8h8c7c3s 
QhQd6h3c2h Qc9d8d5d3s Qh8h7d2s2d 9c5s5c4h2h 
9s8c6h4h3d Jh8d7h7c2s Ts8d4c2s2c 9c8d6h6d2s 
Tc9h3h2d2c Kc7d4s3s2c AcKh8h3s2d QcJc9s7d2c 
Th7h5s5c2c Tc8s7c6d2c QsTc8s4s3s TdTc7s5d2h 
Qh9h8s8h3c Td9s8s5s2s Ad9c6h5s3h 8c6h6c5c2s 
QsJc8c7c3h 7h7c5h4h2d Kh9h6d4s2c Kh6d3d3c2h 
Qs7h5c3h2s QsTs8s7c3s 7d6h6d5d3d Qh9c8s7d4d 
AdTh9s6s2s AsQs8s3h2c Qd7h4h3s3d KdJc7h7c3s 
KsQh6d6c2s Ts9d4s4h3c JcTh4s3d2c Td8s6h4c3h 
Qd7c5d4c2d 7h6h6d4h3c Jc9d5d4h4d Ks8d6h4c2s 
Ah9c6h6d2h AsQd7d3h3c Ts8h8d4s3c Ah9d5h4s2h 
Kd9h3h3d2c QcTc8c7s2c 9s9h7d2h2c Kh6s4c3h3d 
KhQs6h3c2d AsKs8s3d2h KhTd9s5c2c QhTc6d4s2d 
Ad9h8c4d2d Ad7h6c4h2c KhTc9c5s2c As6h5c3c2h 
KhTc7s3c2s Kd7s6s6h4s 8c7d6h6d3d 9d7c6h5s2h 
9c6h6d3d2h Jd8s6h5c3c KhKd7c3c2c KsQh4c3h2d 
Tc7s6c2s2d Jd8s6c5c3h Ks7d7c6s2h Kc8d7s3c2d 
Qh9s8c6d2c Jc6h5c2s2h Jh9s8c7s2s Js9s7s4h2h 
Th9d4s4h3c Kd7h5s5h2s Kd4s3d2s2c Qh9s7c6s3s 
Kh9h8h5s5d Jc6h6d4h2c QcJc8c4s4d KhJd8c7s2d 
Kc6c5s4c3c QdTh6c5h2h AcTs8s3s3d As6d5h3s2s 
7c5s5c2h2d Jh7c5h4s4h 8s7d6s3h2d Js9d6h6c3d 
Jc8d5c4h2s Jc6c5c4d3h QsTs9d3s2s Jc9h7c2h2c 
Qd6h4h3d2s Qh8d6s3h2d QcTs6h3c2d KhTsTc5c2c 
KhTdTc5c2c Kd9h6h5h3h AhTc9c6d2c Ts9d8c4h3d 
JdTs7s5c2s Td7s5h5d3c AcKdJsJhJd KdTs4d3c2h 
KhTh4h4c3d Kd9d5h2h2d KhTd7c3d2c Kh7s5h4d2c 
Ad9h4d2h2d Jc9h6s5c2c Jh9s8h4c3d AcJh7s6d3s 
Tc7s5s5h4s KcTs9s5h2s Ks3s3c2s2c KhQc9d6s2d 
QcJc9h4s4c KdTh6c5c2s Qh9s7d5d3d KhQd6s6c2h 
JdTh7h5s2h KcQc9d3h2s QsJd8d7d3c As8h7h7d3h 
KdJd5c3s2d Qh7h7c4c2s Jh9c8h4d3s As9h8c6d3h 
Td9d8d4s4h Jd9c6s6h3c Ts9c8s4s3h 8d6s6h5c2d 
Ac4h4d3s2c KsTd8h4d4c Qd7h5c2d2c TsTc7d3s2d 
KcQhTh3h2h QhJd7d4s4d Qc9h9c6c2d Kh9d8s8h4h 
Kh7h6h6d4h KcTs9s3h2d KcJs6d5s2s Ts9h7h3h3d 
AsJc4s2s2h 7s6s4h3c2h 9h7h7d5s2c Jd6s6h5c3d 
9h7s6s3h2h 8h6d5c3s3d KhJs5c4s2s Ac8s8c5c2c 
KcTh7c5d2c Qh8d7c2h2c Jh9s8s7s3c Kd8d7s4c3h 
Ts6h5s3h2c As9h8d6c3h Ts8d6c4h3d 7c6c4s3h3c 
Tc7c6s2s2d Js9d5s4s3c KcTs5h5d3d 9s7s5d3s3c 
KcJh7s7c2d KhJh8s5h3h Qd9h8h5h3s Jd7h5s4c3s 
Qh9c5h3s3d Ah9s8d8c2s Kh4c3h3d2c Ad7h4d3c2s 
7c6s5c4d2c Kc7s5c3s2c Qs8d7s2h2d QsJc5s4s2s 
Jc7d5d5c2c KsTh6c3s2d Js9d4h3d2s Kd7d5c2d2c 
Qh8d7c6h2s TsTd6h5c2d Kh6d4c3s3h Qs7s5c4c2s 
Qd9h8c7s4s 9d5d4c3s3c KhJs8s5s2d AsQd8h3d3c 
Td8c6c3h2h 9c8s4s4h3c KhJs9s8s3s AhKd7d2s2c 
Jc9s4s4c2c Jh7h7c5s3h AsTd7h5d2c 9d8s8c6h2h 
Jc8s8c5h2c Kh9h8c7d3h KcTh7d6d2s Tc9d5s3h3c 
Qs7h6h6d4h Kc9c7h3h2c Ks7c5s4h2d Js7h7d6h4h 
9s7c6d3s2c Kh6s6c5c3d JsTh7d6s2s Tc9s3s2d2c 
Ad9c8h8c2c AhKc4s4d2s Ts8d6h4c3d KcQh9s9h4h 
Qd9d6h6c3d Ks8h6c4d2s Kc8c7d4h3s JhTd7d5s2d 
KdTs6s5c2s Js6s5s4h3d QhJd6h3s3c Th8c6h5d2h 
KhTd6c3h2s JcTh6d4h2s Jh8h4s4d2s AdJs6h2s2h 
Qh9d8d4s2s KsQh8s7s2d 9s7s7d4h3c KhJc8c5c3c 
Jh7c5s4d3s Ts8s7h3h2d Jh7s6h4s2d Kd9d8c4h3s 
Ts8c6d5h2d 9d8s8c7c2c 9h9c4s3c2h 8h6d5d3s3c 
Ac8s7d6h3s Kh9s8s7c4s KcJs7s4s3h Ah9c8h3h2d 
Qd8c7h7c4s Qd7d5h4d3c JcTc7s6c2h Ks8c7h7d2s 
Tc8s7s3c2h KcJs7s4s4d KhJd7s7h2c 7s4h4c2s2h 
Jd9s6h4d3c QhJs8d6c2c KhTh4h4d3c AhJd8d6d3c 
Jc9d6s4c3h Td7d5s2s2c Kd7c4h3h2d Jh6s6h5c4h 
Th8s4s4d2d Ks9s8c7d3s JhTc4d3s2h 8h7d6d4s2c 
Tc8d6s5h2d Qd8c7s2s2d AdJh9s4h2c 8c7h6s3s3d 
Ac7h5s5d3d Ts8c6d5h2c AcKs8h4h3d Qh9c5d3c2d 
Jd8s6h5c3s Js8c6h5d3d JsTd7c4c2h Jd6h6c2h2d 
Qh5s5d3s2h Ac6h6c4s2c 9d7h6c5c2c Jd7s7h5h3c 
9s7c6d5h2h AcJd4c2h2c Qh6c5s4s3d Th8s8c5c2d 
9h8s8c7c2c 8h8d7d6d3d Ad9h5s5d2d Th8h6c4s2d 
Jd8c6c5s2h QdTh9h3h2s AdTh9c6h2h Td8s6d5d2c 
KdJh5h4c2h QhTd5s4d2d Jd7s7d6c3h Ts8c6h5c2d 
Qh8d6c5c2s Js6d6c5c4h Jh6h5h5d4s KhJs5s4d2s 
Qs8h4h4c3s 5s5h4s3h2d KcQs6c3h3c KcQc8c7s2d 
8h5s4d3d2h 8h7h4c3h3c QdJc8c7c3s 9s8c6d4d3h 
Qc9s4s4c2d KdQc7h4c3c Ts6d5s5c4s 9s6d4h4d2h 
Jh9c6h4s3d 8c7c6d4s2h 9h7c5c3h2h 6d5c3s3c2s 
9h7c5c3s3d KhTh7h4d2s As6c5d3s2s JcTh7s5h2h 
Kh8s6c4d2h Jc9s8s7s3d Th8d6h3s2s Qs9d9c3c2d 
KsTd7h6c2d Tc7s5c2s2h Th8c5s3s2h QsTd7s4h2c 
QhTs5d3c2h 9h6h5c4h4d QcJs5c4c2c Jc6c5c4s3h 
AdKc5h3s2h Js9d5d4d4c KdJc8h2h2c QsTs6d3c2h 
AdTc9c2s2c Ks9c8c6c4c KdTs9s5s2h KcQd6s6h2c 
8d7c6h4s2c AhJh5h2d2c Js9h5d4s3s KdQh6c5c2c 
Ah6h6d4c2h Jh9s6d6c4d 5s5d4h4c2c Ks9c6s5d2s 
AdTd5h3c2d Qh5h4d3d2h Qd8s4d4c2s Qh6c4d2h2c 
KcTd9h3s2d 9d8c5h3s3h Kd9h8d3h2d 9d7s5s3h3c 
Js7h7c6c4c 8c7s7d5h2c Jh9d7s2s2d Ts9d9c7h2h 
KhTsTd3h2h 9s8c6c4d4c Kh7d5h3h2d KsKhKc5c2s 
Jd7h7d6h2d Td8c6d5h2d Jd7c6d4s2s KhTc6c4s2d 
KhQh7c5h2s Td7s5s5h2h 9d9c5c2s2h Js8d6d5d3c 
Kh7h4s3d2d Kc8h6h6d4h Jh9s5h4h3c KsTc9c4h4c 
KdTsTh3d2d Kh9s9h7h3h Qs8h5c4d3s 9s8h8d6d2d 
Ad9h8s6c3h AdKs4h4c2c Kc7d6s6d4d KcTs8d5h3d 
9c7h7d5h2s Kd9h6c5d2d Jh6s6c2h2c 8s6s6d5s2h 
Ks6d4h3h3d Qh9c8d7s4s Ks9s7h4s2h Jd6d5h2s2h 
9h8d8c6d2d Th9c7s6h2h Jc9d8h8d4d Th9d7s5c2h 
8d5h4s3s2d 9c8s8d7h2s 8s5h4c3c2s 9c8d6c3d2d 
Th6d5h2s2d KdQdJd8d2c Ks9s9c8d2s AsKh9c4d3c 
KsTc9c5c2d Ks9s4s4c3c Qh9d9c4s3h Kh9h8s8h2d 
KcJs8s5s3s Jc9h4d2d2c Th8s6c5s2d Kd4s3d3c2s 
Tc9s8h3h3d Ah9s4h2s2h Td8d8c4h2d Tc6c5d3d2h 
9s7s7d4d2s 9d9c4h3c2d KdQc6h3s2d 8h6s6d5d2d 
8c7c6d4h2s Th8c6c5d3c Qd8d5c4s4d KcQc9d8c4c 
JhTs6c4d2s Js9h7c5s2s Kc9c7c4h3s KsThTc3c2d 
Td6h5c2h2d AhJd8c6s3s AsTd9h6d2d Jh7s7c4h2c 
7c6h6c4c3s Jd9d7h4d2h Qd5h5c3d2h Kh9h8h8d2s 
KcJc8s8c2h Qd9d9c6d2h KhQc6h3h3d Jh7s6h4c2c 
AsTc9c4d2c Qs8h7c2s2c 7d5d4c3c2c AcKd9h5h2h 
QdJs5h3c2s AsJc5h5c2d AsTh6c2h2c Qh9s9h5h3h 
AsJh5h5d2c Tc9d7c5s2h KdQs6h3d2c KhJd9h4s4h 
AsQh6c5d2d Th8h7h6d2c Ks7d7c5s2h KdQs8s5c3s 
AsQd4h3c2d 9s7s7c5d2h Jh6s5h2s2d TdTc9h4h2h 
Ts7c5d4h4c Kh9d8h5c2h Qs9h6s4s4d Th6h5c3c2d 
QsQhQcTs7h QcJs7s4s4d Jc7h7c6h2c KsQd9h3s2c 
Qh8c7d6h2s 9d5s4c3s3c Qd9c8c5h2s AsQh5d4c2c 
