AcQs7s6d3s 
QsJsJd4s2s KcQs8h8d5h JcTc9h2d2c Th9c5d5c2h 
Th6s5s4c2h Td8h7d2s2h AsJc9h6d3c Ad9d8s3h3d 
Qh9d8h2s2d KhJd9c8c2s 9h7d6s6h4c QsQd7s3s3h 
KcQhTh3s3h Js8h5d4s4c Kc7c4h3h3d QhQd8s5s2c 
7s7c5s4s3d AhKc6s5d2d As9c7s3s2c QcJc5c4h4c 
Kh9d7s5h3h Td8h7d5d2h Jc8d6s4s2c KhJc6c5c3d 
Ad9c8s8h4h KcQc5h4c2s 9d8c7d6h3d Kh9s9h4s3h 
Th7c6d5h2c JhTs9s2s2d Qs6h5h3s2d AhJc9s7c2d 
Qs8c6d5d4d Kc7s5c4h4d AsTd8s5s3s QcTd7s7h4s 
KdJc8c6s4c Ah9h7h4s4d AhQh8s7h3h KcJdTd4d2d 
Jh9d9c7c3s KcJhTd7h2h 6d5c4s3c2s QdJs9h4d3d 
Qh8s7d5s4c JdJcTh6s2h Jc7d6s3s3c QsJs5d2s2d 
9s7d4s4h3h Ac6d5c3h3c AdTc9c3s3h KhJd8h5h5c 
Js9s6s4d3d JcTc6c5d5c 9s8c7d5h3d QhJs6h3d2d 
9d9c8h7s4c Js8c7c6h2h Qd8h8d4h3s Ac8c5d5c3s 
JdTh5c4s2h AhQd9d9c3d Qs8s7c4h3h AhJs5h4c2h 
As9h8h5h5d QsJd8h5c2d AhTs6s5d2d Jd9s5d3h2s 
Kc9s6h5h2s KsTh9h4c3d Ad9d8s3d3c KcJh8s7s4s 
Jd8s8d3s3c JhTsTh6h2d QhTh5s5d3c Jh9d8c7h3s 
Kh9d9c5s3h QdTd9c5s2d 9d7c6h6d2h 9s8h7s6d3s 
Th9h8h6h5h JdTd5h4s2d Qc9c8h2h2d Tc7h7d6c5c 
KdQd9s7d3h AcTh8s5s3d JdTh9h2h2c Qd8h8c5c2h 
Ac7s6d2h2c KcQh6h6d3s Ah9h7h7c4h JhTd9s5h2h 
Jc9d8s5c2h KsQs7s5h5d KdTs9d5h5d 6h5d4h2s2d 
Kh9c8s8c6c AhQc9d6c3c Ah8s6d5s4s Jh9c5c4c2h 
Kh9h7s6d3h JdJc6h5h3h KcTc8h3h3c QhJh9s7c3h 
7d6d5c3c2h Jd9c7s5h3h KsJc9h6d4d Qh7s7h3s3d 
Td9d5h3s2h Ac7s6s5h2h QcJh8c5s3c Tc7h6h5d2c 
AsJs9c6s2d Ac8h7d6c2c QhJc7s7h2c 8d8c5h5c3c 
KdJd9h9d2c Ac8d6d5d4s 9d9c8c5h4c AhTh6c5h2s 
Qs9s9c8d3h KcTd9s7h2d JdJc9s6s3s Jc9s6d5s5h 
QsQh8h4d3h JcTc6c5c3h QdJd7c4c2h Qh9h8c7h5h 
Kc9h8d6s2c Ah9c7c4d3d JhTh6h4s3c QhJc9s9d3d 
KcTc7d4h4c KsQdTc6h2h Td8c6s3d3c Td9h8c7d2s 
JcTd5h4s2d AhKs9s5s3s JdTc8h5d2d Jc7h5d4h2c 
AcQs9h9d4d Jc9s9h7d4s Qs9d8s2h2d 8c6h5d4s4d 
JdTh4d4c3s KhQhJh5c2h Kh8d8c7s5c AcQs7d5d3d 
QcTh9s5d2h KsKhKcJh3s Ts7d6d4s2c KdJc9h5s3s 
KsTdTc8h3d 7s6s6h5d3c 8s7s6d4s4h KhQs7s5s5c 
AcJs9d6h3s Ts7h7c6s5s 9s9h8s6c3d AhQc3h2s2d 
8s8d6s5s3h 8h6s6c4h2s 9h7d6s6h2s Td8c7h2h2d 
Ah7c3s2h2c 8s6d6c5h4h Qs7c6d5c4c Jh9h4s4d3d 
KcJc7h3h3c Js9d9c6h3d AcKh7d5s2s Td6s5d4s3s 
QsTc8s5h3s Jh7h5h5c3c KdQdJs8d2h KhQc8s5d4d 
9c8c6h5d3c Qd6h5h3d2s QsJh8d4s4c QsJs7s5s4s 
As9h8h8c3d As7h6d5h5c QdJs6h6c4c TsTh8h7d2c 
Kh6h4s3d2s Tc9h6c2h2d QcTc9s5d2c 5h5d4h2s2d 
KsJh9c6d4d Kd9h8s6c2d JcTd6c2s2d 9s8d8c4s3d 
6s6d5d3s2h Tc6s5h3s3c 9h9c3s3c2h QhTs9c3h2d 
8d7h5d2h2c Ah9d8s5d4c AdKhTs6s2s Js9s9h4s2h 
QsTs9s4h3s Ts9s8s6h4s AhJc8s8c2d 8s8d5h5d3d 
QhJh6c4h4d QsJd8d5d3c Ac8d6h6d3h QdTh4h3d2h 
KsTd7c4c2d Tc9d8d7s2h Ah9d9c6h3h KhJs9s5c2d 
Tc8h7s6c3d QcTc9s7d2c JsJd7d3s2c As9d8h8c4h 
AdQc8c7c2h Qs8d7d6h4c Ah9h9d7h2c Kd5d5c3h2h 
9c8s5s5c2c Qh6d5d3h2c 8c7s6s5s5h Qs9s7h3h3d 
AsJc7h6c3d KcTs9d8h3h KcTd5h3s3c 9h8c7d4c3d 
Ac9s7h5d4d KhQh7c5d2s Js7d6h5s3c Ah9h8s8h3h 
KcQc9c7s3h KcQcJc9h2c Td8d6s4s2d KdJsTh7c2c 
KdQh6d5c2d Kd9c6c2h2d AhKc8c6s2c 7s6d5h5c4h 
JhTc8d4s3d Td7s6c5d2s AsTs6s5c2d AsJsTs6s2d 
Qd9h7d5s4d Jh9c5c3s2h AdTs9s7c2s KdQdJc8h3d 
Js7s7h5c2h 9d8d5s4s2d Qh9c6h5s5h Th9s8c7h2d 
KcTs9h5h3h As6h6c4h4d Qc8s7d4c3d ThTd6c5s3c 
KhQc5h4h3h Qh8s7h5d4h Tc9c8s6d2c QsTsTc4s2d 
Kd9s8d7d4c As9c7c4h3h QcTh7d3h3d 6d6c5s3h3c 
Ts7h6h4s2d QdJh5s4c3s KcTs9s4h3d Kc9s7c3s2d 
Kd9s5s3s2d Th9s5h5d2s KsJc7d6h3c JsJhTc7c2c 
AhKh3s3h2d Jh9d8s7h3c KsQd8h8d3h Jc8d6d6c3d 
KdQh9s8s5s JsTdTc3d2d AcJsTd6h2d KsQhJh6c2h 
Ac7h3h2d2c 9s8s7h5s4s Ad6s5s4h3h Tc9h7h7d3s 
KdJs7d4d3h KsQc6s5h2s Qs9h6d4d2s Qc8d7s7c2d 
Jh9d6d5s4d Qd5d4h3c2h QhQc5h3h2d AhQs9s4d3c 
Ad6s6h4h3s JdTdTc6d2h Jh6h6d4d3c QcJc9d3d2c 
Kh8c7h4c2c AsKc6h5d2h Ad7d6s2s2d AsQc6h4d3c 
QhJs8s5s5d Qs8s8c7c3s Qc8d5d3h3c AcQs9h7s2d 
9h8s8h6h4d Js9h9c6d3h 8d6h5s4s4c QsJc9h4s3s 
AhJs7d4d4c Jd7s5h4s2d 8s8h6d3h2s Jh9d7d6h2h 
Th9c7h4s2s Kd7h5h3d2c KsJh8h6d4h JhTc6d4s3c 
QsTs7s7d5s QcTc9s5h2c Ac9c8s5c4c KsQd7d5h5d 
KsQc9h7s3s QhTc6c4s4d Js9c8h6s4s KsQc8d8c3d 
Qs9h7h6h6d JdTs3d2s2d Qd9c8h4d2c KdKc9d4d2d 
7h6h5s5d2s AdJd7d3s2s JhTd6d6c3s 9h7d5d4c2h 
AdQc7c6h3c 9d9c5s4c2s Js7s7c5d2c Kh9s7c5h3h 
AhJc7d6c3s Tc8h5h3d3c AsJc8s7s2s KdQcTs6h2h 
Qs7h6h5h4c KdQs9c8d4d 6d6c5h3c2d Th8h7c2d2c 
AsJs6s5c2d Js8c5c3s3c Jd8h7s6h4h JhTs6s3s2h 
QhJh9h9d3c 9c8c6d2s2d Qh9s8c2s2h Ks9s6s5d3c 
Kh9d7d6c4s Jd8s6d6c5d KdJd8h6s2c 7h6h5d5c2c 
9d8h8d6d4c 9d8h8c4d3h QcTc4s2s2d Qh9h9c8d3s 
AsQs8c3h2d Jd6d6c4c3h 6s6c5c4h4c Ac9s5c4h4c 
8h8d7s7c2s QsTs5h5d3c Qs7d6d5s2s Qs9c5c3s2d 
KsJcTh3c2c Js9d6h6c5d KdQh7s3s3h Kh8h8c7h4d 
Th7c4h4c3d Qc8c7d4h3h Jd9h7s5s5c AdTc9h5c3c 
Js9h6s6c2c AsQc9h6c3c Qc9s7c6c4h 8d7s6s5h3s 
As8h5h5d3d 8c6d5d2d2c TsTh8c5h3d AsJd9s4c2s 
JcTs8s4s3d Ac9h7s3s3h Ah9d8s6d4c JhTc9d3c2s 
KdQc9s7d3d 8s6c5d4h4d QhTd9d5s5d JhJc4c3c2h 
9h8h6c2d2c 9h6h6c5c2c KdJc7c6h3s Qd9h6s4s2d 
Js8h6d4d2s KcTc6s5c3c 9d8d8c4c3c Ac8s6h5h2s 
Jd9c8s7h4s As6d5s3s3h 8s8d4h2s2h Kd9h9c5s3d 
Js9c6s5s5h TsTc8c7h2d Jh9s6h5h5c KcJd7c4c3h 
JsTh7c6c3c 8h7s5d5c4s AhKd9c7s2c Ad9s7d5d2c 
Tc7s7c6c4h AhJd8c5s3s QsQd6c4h3h KsTs8h3s3h 
9s7c6s6d4h Tc8s6d5h3c Kh6s5c4s2c QcTh9h5s5h 
QsJh8s5s3d AsTs8s8c2s Qh9h8c3d2d Th8c7h2d2c 
QcTs7h3s3h Qs9d8d8c5h 9c7d4s4c3s QcJh9s4d3h 
Tc9d4d4c2s Jc7c5d5c3d 7s6d5h2s2d QhJs7s5s5c 
9h7d5d4s2h 9d8s7h4s3h KhTh8c6h2d Jc9h5c3d2h 
QdJd9c7h3d QcJc9c7h3s 9s8s8d7c4h QsJd9c8h3h 
KhTh7s7h3d Th9h8s5d5c Jh7s6d5h5c AcQdJd6h2d 
Kc9h6h5d4s QdJc9s7s3h AcTc6c5d2h JhJc8d6c2s 
KdJs9c8h2s Ac8h4d4c2s Js6c5c4d2s Ts6d5h5d3h 
KhJh8s6d2c Th9c6c2s2h KdQd5h4d2s 9s9c7s6s4s 
AsKdQhQdQc 9d8d7d7c6d 8s7s6s6h5s KsQdTh8c2c 
JhJc8s3c2s Jc8c7h4h2s QhTh9c5s5h Kd8c6s5c4h 
AhTs8c5c3d KhTh6s4d2c Ts9d8s8h2c As8d6h6d3h 
Jh9h8s3c2s Kd8s6h5s4c Qd7h6c5h4h QsJh9c6c4c 
Kd9c8h6s6c KhTs8h2s2h KcJs6s5s3d AdTc6h5h4s 
KdJh5c2h2c 9h7d7c6s4h Tc9h6s5c3c AhJd8h3s3h 
Jd7d5s5d3s KdTd9d7d4d TsTd6c4s2c AsTs6d5s2h 
Jh9s9h7d4h Ts8c6h5d3s KcJd5s2s2d Ks9c8s7s4h 
Td8d6c5h5d AhKh3d2h2c Jh9d6c5s5d TsTh5d3h2s 
AhJh8h7c2h JdTh7c3s3d JsTh9c5s2s Ah9s9d6h3h 
9h9d3s3h2d 9d8d6c5h3d Ad9c3s3d2c Jh8h6h5h4s 
TsTc7h3d3c Kh5d5c4s3h Qh9h8s7h5h Jd9c4h4d3c 
KhQs5d3c2h AcJd9h6s3d KdQdJh8s3d Jd8h5d4h2d 
Kc8d6h5d2h Ac9h7s5s2h Ad8h7d4d3s AcTh7s5h3h 
QdTh5c3s3d AdKh9c3s3h AcQc5h3c2s KcJh9c7c4c 
KhQh7s7c4h Td7d5h3h3c KdTs9h5c3c AsQh7c4h3d 
QhQc8c2d2c KsKhKdJcTd KsQd8d8c2c KhJc9d8s2c 
Kd8c6h5c2h 7h7c5h4h3d JsJd9c6d2h QcTh8s5h3d 
AsKh7d5c2c Jh8d7d4h3h 8s7s6s6h4d KdTh9c4d2d 
KcTd9s7d2h 9s9d5c4h4c Ks9s9d6c4s Td9d6h4h2d 
Jd9c6h6d2h Jh9c5d2h2d AhJh3s2d2c Jd9h6c5s4h 
9c8d6d5s5h KdJs9c8c2h Qh7h7c3d3c AcQc9h9c4c 
QdTs8d5h3d KsJs5s3d2d Ks9h9c5d3s KdQs7d7c2c 
QcJc5c3s2s Qs8c7d6h6c KdTs4s4c3c KdQd8s4d3s 
8h7d5h2d2c AhQs9c8c3c QhTc7c5d5c Ac8h7s6c2c 
Jc9d8d3h2c 8d7d6s4d4c JdTc6d2s2c KdJs9s5h2c 
JsJh9s4d2c 7s7c5c3d3c 9d8h7c6d3s Js9s6c5h4s 
JdTc9c6c2s Tc8s5c4s2c KcQhJh6h2d Qh9s8d6h4h 
KsQsTh8s3s Th9s6h6d3c 7s6c4s3s3c AhQc9d9c3c 
Tc8c5d3h3d KsJsJh6s2c Qh6d5h4c3s AsQc5h4d2c 
AdQh9s8c2c TdTc9c7c4c Ac9h7d5s4s JsTs6s5s5d 
Qc8s8d7h5d Qh9h7d6h2d Tc7s7h6s5s KsQs9d3s3d 
KsJh7c6h3d Ac9d7d5d4h JsTh3h2s2h JcTh6d3h2d 
Js8s7h5h2s Td6d6c5d3c Jd9h8d7c3s KhQd6h5c2h 
JsTs5c4h2s KhQdTs6c2c 9s8h5d2s2h Ts7s7c6h2h 
8c7c6d6c4s QdJd5h2h2d Kc8h6c5c4c Tc9h8s6s3s 
Qs8s7c4d3d KsKdKc5s3c Td8d7s2s2h Kc9d6d5s4h 
JhJd8c6h2s Jh9h9d7c4h Kc9s6d5d2s Ks8s5s5h2h 
Qh9c8s6h4h AsJh8s3s3c Th9d6s5h3h KdThTc8s3h 
Td9s9c4c3h 9h8d6h5h4h 9h7c6h5h3h AhJc8h3h3d 
Ad8s7d4d3h Kc7d5s5h3c AhJh7h3c2c KsJc9h8d2c 
AdQh9c8s2s AhQd9d4c3s Qs9h6s5s5c QhJh9s9h3c 
Qh7c6c5h2h 9h8h8c7s4d Qd9s6h4d2s QsQc7c3d3c 
QdJh6h4s3c QsTd8c3c2d JhTd8c4s3c QhTd6d3s2s 
Jd6s6d4s3h KdTd7d7c3s Ts8h5c3s3h 9s8h6h5d5c 
Th8s6c5d3h Kd8c6s5s4h QdTs8h8c2d JcTh6c4c3d 
Qc9d7c4d4c KdQd5c4d2s QhJs6d6c4d AcTc7s7d2c 
Qd8s7d7c2s QcJs8d4h4c KcQc6d5h2c KdQhJh7c3h 
KdTc9h7s2c KsTh7d4d2h Qs7s7h4d3d KcTsTd8h3s 
Jc9d6s5s4h QhTsTh4h2d Th8s7d3s3h KdJs6h4s2h 
Jd7h6s5d3c KsJc8c2s2c As9s5c4h2d Qc9s9d4c2s 
KcQcJd6h2c KcQs9h5d4d QdJh7d7c2h 8s7s6h4s4d 
AsJs3d2h2c Ts7h7d6h5h KsTs7d4s4c 9c8d6h5s3d 
JhTs9c3d2s 9d9c5c3s2d Kc6c4h3s2h JhTh8c4h2d 
9h8s8h4s3h Jh9d8s7c4s AhJd7c2s2h QdTh7d4s3c 
7c6c5s5d2d QhJh5h5d3c QdJh8s4d4c 8c6s6h5d4c 
KsTs9h4s4d As8h6h5h4c 8c6h6d5s4s KcTc6d4s2h 
QhTd4h3c2c Qs9h8h8d5c Jh8h7s6d2s KcQd8h6s4h 
Ks8s5s5d2d JhJd9d4c2s Js8h7h6d4h Ac9h9c3h2c 
KhQh9s7h3d KsQh6s5c2s 9s6s5c3c2d QsJs6d6c3h 
Jh8c7c6c2h Kd9d8h4s2h QcTd4c3h2h AdTh9h7h2c 
Th9s4s4h2d Ah7c6s2h2d KsTd8h7s3s Ts8s7h7d4s 
QsJc8d6s2h Td8c7d6s3h 9h8s5s4d2h AsJh8h8c2d 
AsTd7h6h3c Kc8s8h7d5s KdTh8d2h2d Jh9d5d3c2h 
8c6s6h4s2c KcTh8c6c2d Js8s6s6d5c Kc8s5s2d2c 
Ah9d8c6d4s Ac9s8d6s4h 9h8s8d5h4c JsJd4s3h2h 
QsTh7s4c3d KdJc9c3h2h KcJc8s3d2s Jh9c4h4d3c 
QsJs5s3c2c KsJh9d6c4c Ah9c7d5d2c 7d6s5h2s2h 
QdTs9h6h2h KcJd9h7s3h Kh9c8s6d6c KhQcJc6s2c 
KsJh9c7h3h Js9d7c5h3h Ks9d8s7s4c KhQh5c4h2d 
Ac8h3s3h2c KhJdTd7c2d KhJh9d5h2s Qc8d7d6s4h 
KdQhJh7h3s KsQh5h4d2c QsTh8d3h2d QdTc9h4s4c 
KsJc9h8h2d 9s7c5c4d2s KcJsTs4s2s KdJhJc8s2c 
Ad9d5c4h2s As9h8s5s4s Kc9d8h8d6d Js9s9h8s5s 
QcJsTd7h2d Qd9h6c4d2h KsTs7h4s4d Td9d5c3h2c 
AcJc7c3d2d Qh9d9c4c3d JhTh9c2s2h Td9s6h5h5c 
Qs7s5s5d3d QcThTd3c2s QdTd7s3s3d JhJd9d4s2c 
Kh9d6c5c2d QcTs4s3c2s 8h8c7s6h3d Qh9d7h4h4d 
Jh9d5s3d2h JcTd6d3d2c Qd9d5s3c2s AsJd9c4d3h 
9s7d6s6c2c QdTd6h6d4d 9h8c6c5s5d QcJd7c5s3c 
As9d5h5d3h 8s6h6c5d4d As9c7c5c4h AdJd9d4s2h 
9d8d6d4s3s QcJh9d9c3c QhJh5h5c3s Js9h9c7d4c 
9c8d8c6c4h JcTs8h5s2s 9s8h6c5c3c Th9d8c7h2s 
Qd9h8s8h5c Jd6s5d4h2h KdTs7h4h2s JsTh8d5h2h 
Kh8s7c5d4c KhJsJc8c2d JdJc9s7h2d QdJs9c8h2c 
As9h8h7c3d Kc9d7s4s4d QhJc8s5s3d 8h8d6d5d3s 
QdQc8c4s3c KsQc8h6d4h KcTd9h4h3s Jc8h8d7h4s 
Qh9h8c2s2c KsQc7d3d3c Qh9c6h5h5d KcJc8c7c4d 
AhTd7d4c3s KcQc9c6h6c AhQs8s7s2d KhQc5h4d2h 
KhTd9s4s3c 9s7h7d6c4s Jh8h6s6h5d KcTs8c7h3c 
KdTh8d5d3c KsKhKdJd3s KsQhTs3c2s QcJsJc4c2c 
Jc9s8s3d2c Ts9c7d5d3d KsQhJs8d2s AcJdTs6h2s 
9d8s8d5h4d Th9c6c2h2d Jc8c6h4d2d KdJs8h7h4h 
Kh9d8s6c2h KsTh8d6s2s 9d8d6s5h3d KsTh9c7h2d 
KhQdTd7d3d JsTd8c4h3c KhQh4s3s2h Td9d8h8c5d 
KhJh9d5h2c QsJs7c3d3c QdTs9d4d3d As9s4d3c2c 
AsKc7d5h2h QcTh6h3d2d Jc9s9d6h3s 8h7s6d2s2h 
Js8c5h4s4d Tc9d8s5c3h 9d8c6s5s3s ThTd8c6h3h 
KhTd6s6d4d KdQh9c8c5c QcTs7c5h5c Qh7d6s5d4d 
QhTh6h4s3d Jc9d7c6s4c Tc9c7c5d2d As9h7c5c2h 
6d5d4s3c2s Ad9c5d4h4d 9c8c7c6s6c QhJc9d9c3c 
Qh8h8c4c2d QsQh9s7s2c Jd9c6h5c4s Kc9c7d4d2s 
6s6c5s3c2h JdJc4c3c2d As9d8h8d3c QdJc7d5s3d 
Js8c7d6c4c Qd8c7s7d2s QhJs8s5d2c 6h6d5s3h2d 
QdJc9h8s2h Ah9c7h5h2s QdTs9s5s5c Jh9c5c3d2h 
AcKsKhKc5c KcTs9c4h4c JdTs7s5s3s Ac8d7c4c3s 
8c7s6s5s5d Ah8s4d3h3c Jd9c6s5h5c KcQc5h4c2d 
TsTc7d3h3c QsTd7h6c3h JsJh4d3d2s Qc9s6d4c2s 
JsJd7d3s2h Jc9s8d6d4h 9s7d5d4h2s Jc8c7d6h2d 
KcJd6c3s2s Qc9h8c6d4c JhTs4c3c2s AcTsTd4c2c 
Ts6d5h3s3d QhTc3d2h2d JsTh9d7h2h AcJh6d4c3c 
Ac9d8d7h4d JsTd6s2h2d QhJdTs7c2s Jc9s5h3s2c 
AsTs8s6s2h JdTd6d5d3s AcJh7s4d3h 7s6h5d5c4d 
8h6s6c4c2h Jd9h7d6s4d Qs9s8h7s5s Ah9s8d8c4c 
QsTc7h4c2h AdTs6s5c2c KcQc6c5s3c 9s8h5d4s2d 
QcJd8h5s2d Kh9h8d6s4h Th9h7h5c2c AhTh7h4d3h 
JcTd9s3h2d JcTs9d4d2h Ad7h7c2s2d Qc9h7h6s6h 
Ad9c7c5c4h 8h7s6s5c3s Jh9h6d4d2c KcTc6h5c3c 
QdTc9h6h2h 8d7c6c5s3c Jh9d9c6s3d QdTc5s5h3d 
Th8d7s3h3d AdQs6d3c2h QcJs8h6c2d Qs8c7d6c3d 
Kh5s5h3d2d Js9c8s4c2c 7h7c6s6d2h JcTh9s5c2c 
JsJdTh3c2c KhQh9c7s4h JdTh6h6c3s Qd8h6s5s4s 
7c6h4c3h3c 9h8h7h6s6h Qc8d7h7c2d 8d7c6c5h3c 
9h8h7d2d2c Th9d6d2s2h Jc9c8h4h2c KhJs5s5c4s 
Ad9s7d5d2h Ad9c7c4s3s KhQh9s7d4h Ah7h5h5c4h 
QsJd6s3d2d JcTh9d4s2d Qc7c5d5c3d Jd9s8c6h4s 
Ac8c5h5c3d Jc9d6d5h4d 6s6h5d3s3c Td8h5d4h2d 
JdTs9s6s2c Ad7h7d5d2s Tc7h6s5s4s KcJd9h8h2s 
QdQc4s2s2h Jc9c8h3s2h Td9s9c4d3h Kc8d7s7h5s 
Kc9d4d4c3s Qc7s7c5s2d KdQdTd4d4c AhTs7d7c3s 
Td8c5c3h3d JdTsTh3h2h Td9d7c5h3d 9h6d5d3h2c 
AsJhTc6d2c JcTh7c5s2d AcKh9s3h3d JsTd9d2d2c 
Ts9h8d6d3d QsQh6d4c3d Kd9c8s4s2d AdKcQsQhQc 
KsJh5h5d4h AdQhTc7c2c Jd9h8s6s4c Ad9c4h3h2d 
QsJh8h3h2s Ah9d8d7c3s KsJd9c8c2h KdJd8d7d5d 
As9s5h3h2s KhJs9c7c4c 8h8c7s7d3h 8c7d6d5h3d 
7d6d5s5h2h Jc9h8h4d2d QcJs6s4d3h KdTc9h8s2s 
KsQc8h5d4d Jh9d5d3s2h 8s6h6d4s2h Qh8h7s7h5d 
Ts8s7c5s4s Jc9h8s6s4d AsKc9h3d3c Qc8d7h5s4d 
KdTs8h7d3d JcTd7h3s3c Qs8d7c5d4h Js7h7d6h5c 
KsQdJh8s3s JhJc9h8h3h QsQd9d7d2h TsTc7c4s2s 
Ad9d5h4s2c Qc5d4h4c3d AhKc6d5s2s QhTc5h4d2s 
QcJc5h2h2c KcTd9h7s2d 8d6h6c4c2d Ac9h5h3c2c 
Jh9d6h5s5h QcJs8c5d3c JsJc7d5d3h Qs7d5s3d3c 
QsJh7s3s3h Kd7d5c3c2s KsJs8d6h2c As7s6h2s2h 
9s8c6h5d3h Jh9d7h7d2d Ac8h5h5d3d KdJs9h7h4h 
Kc6d5c2d2c Qs9c7s6s4h JdTc8h5c2c Qs8s7h7c3h 
KhQd8s8d2s Td6s5c3s3d 6s4h4d2s2d QcJs7c5c3h 
Kc5d5c4h3s KhQc9c8s4d Ah5c4d2s2h Qd7s7d3s3h 
Ac8s7h7d4s JdJc4c3s3c Qh8d7s6d6c KsTs9c4s4d 
Ts6h5h4d2s Kd7d4s3s3h QdTd8s4d3c JsTs5d4c2s 
KhTs8h6h2d TsTd9s5h2c QdJs8s5s5c ThTd7c3s3d 
9d7s7d6d5d KhQdJd7s3d 8d6c5d3s2c QhJc8c3h2c 
Jh9d7c6d3s QsQd8s4c3s AsJc7h4d3c JdTh9s4c2s 
Qs7h6d5c4d QsQc7d5d3d KdTs7c4c2s Qd8s8d4s2h 
Th8d7h7d2h Qc8d7c4h3d Jc8c6s6c5h KdJd6h3s2s 
Qd9c6s4s2d Tc8d5d3s3c AsKh8h6d2h Qh5h4d3c2d 
As6h3s3h2h QsTh3h2s2d Jh9s7s6d4c QhTd6h5s2c 
9c8h8d5c4s Jd8d7h6c2h JhTc6h4h3s Jc9c8c6d4s 
Qc9d8h4c2d QsJsJd5s2s 8s7s6s6h4c TsTd8s5c3h 
QsTd7c4d2c Tc6h5c4h2d 8h6h5c3s2s Kh9c7c5s4d 
QhJc6h3c2c QcTsTc5d2c QhTc9c5s5c Qd9d5c3h2c 
Th9s6h3s2s Qh9h8s3d2d KcQc6c5h3c KcTd9h5h3h 
Ah9s5h4h4c QsJd6d4h3c AcTc8c5s2c KsJc9h8c3c 
Jd9s9c7h4c Kh8s8c7s5d Ts9c8d5s3h Tc8d7s6h3c 
QsJh9c8h3h Kc7s7h6d5d AsJc7d6c3h 7c6d5h2d2c 
Ad7s5d3c2h 9s9d7s6s4s KdQdJc8s3d 6d6c5h3d2c 
Jd9c8d3h2c AcQs7h5d3h Qh8s7c5s4d TdTc3c2h2d 
KsJh9h5c2d Tc7s6s6c2h ThTc3h2s2c Kc8s6d5s4h 
Td7s7c6h5h 7h7c5h3s3h QdJs7s5s5c 9h8h7s4d3d 
AdQd5s3d2c AhJh6h5s3h Ac9h8s8h3d Qs8s5c3d3c 
QdTsTh6h2c AcJd5c4h2c QcJd6c4c3h 8d7s6s5s5h 
KcJs6h4s2h KhQdJd3s2d Tc8d6h5s3c Td7c6s5d2c 
QsJc8s5s2h Th9d5h5c2d TsTd7c4c2s QdJh9d9c3d 
9d8h8d7s4c 9s7c6s5s5d AhJc8h7h2h Qc7h6s5d4s 
Kh9h6h5d3s KdQc9s8d4d KhTs9c7s2d 8c7d5c2h2d 
QhTh5s5c3d Qh8h7s4c3c KdJc9h6s4s Qc9c7c5s4d 
AsKd9d5d3d Jc7h6d5h4h Ac6h5h4s3s KcJsTs7d2s 
Th9h8h6d4h QhJs6c4d3s AcTc5c4d4c QcJs8c5c3h 
Kh8s7h4s2s Qd7d5d5c3c QsTc5h5d3s As9d6s4d2s 
AcJc8c7d2c Tc9s6h5c3c Ts8c6d3s3c AcQc8c4d2h 
Tc7c5d3s3d Ts9c6c2s2d Td9s6h3s2d Jc9h4s4c3h 
QhTh9c5h5d Ad7h3h2s2d 7d6h5c2h2c As8d4s4h2c 
9c8c6d5c3s KdTd7s7d3c KdQd8h4d3h JdTc9c6c2h 
Qs9c7c6h6c JsTd9c3h2d AdTd7s7h2d Th7d6s5h2d 
Kd6d4s3h2s Jc6c5d4h2h AsJd8h8d2c KsQs7d7c4s 
Td9h7h7c3s KhQsJs3c2s Qs8h7s5d4s AhQh8s3h3d 
AcKc3h2s2c KhTd9s8s2s Jc9s9d7h4d QdJs6h4c3s 
KdQcTh4s2h Ad8h6s6c5c Qd8d7c4h3h Kc8c5h5c2h 
QdTsTh3c2d 7h6s5d2s2h 8h7s5h2s2c Ts9c8c7h2d 
JsTs8s8d2c Kh9d4h4d3d 7h7d6c4d3s AcTd9s5d3d 
9h6s5d4d2s KhJd8s3h2s QsTh7s5s3c JsJd6s4c3h 
Qc9d6d5h4d KsJsJd6s2h AdQd8h3s2c KcJs9h8s3s 
Th6h5c4s2c KhJd6h3c2c KdTc5c4s4h Kc9s6s2d2c 
Qc8s7h7c2h Jc9h9d6s4d QsQc9c7c2h KsQs8s4h3h 
KdQd5d5c3s Jd9h8c3h2d JsTd9c7d2d Ts8d5d3s3c 
JdTs7d5h2c Ad9c5d4s4d Ac9c8c4s4d Qh8s8d5s2d 
Ad9s7s5s4h Ts9h6d4s3c AcJs8s8d2h Ts9d6c5h5c 
QsTc7s4h3d As8h7c6s2s Jc8c7d4d2h AcTd9d5s5d 
KdTh9s8s3s AcQd9s8h2h QhQc7c5c3c KsTc9c5c3h 
KhKdKcJd3h AsJc8s3s3h QsJc8h4s4d Jh7d7c6c5s 
QsTs4d2d2c Ks9h8d4h2s AsJh6s5s2c Th9c6h2d2c 
KdTd8h3h3d Jd9h7h6c4s KdTd7d7c3h TsTc8h6c3c 
Jc9s8c7c4h AsTc7c4h3d Ad9c7h3h3c TdTc8d5h3s 
8d6c5c2d2c KhQdTc5c2c AdKh9c5c3s Ks9s5c4c2c 
Kc9c8d7h2s As7h3s3d2h Td9h6d6c3s JcTd9s7d2d 
AdQs7h5h3h QsTc4c3s2s JhJc7h3c2d Ac9s7c3s2c 
