Qd9h7d4s2h 
KsJh9d5d2c KsJh8c5c3d 7d6s4s4c2c KsJs7s6d3s 
AdQc8h6h3h JhJd9h4c2h AsJh5c4c3d JhJc9c4s2c 
Th7s6s6d2d Qh9c8d7d4s Js9s7d4c3h 9h9c6s4d3s 
QdTs8s4s4c QcTs6s5s2d 8c7s6s5s2d AdTc9c4h2s 
8s8c5s4h2s Jd9h9c8c4c Kd7c6h5h3h Th8d7s6c2h 
AdTs8h4s2c Qh8s7d4d2h AcJs6c3d2h Tc7h4h3h3c 
Kc9d8s6c2c AsKs9c3d2s Kh9d8d5s4c 9d7c5s3d2c 
Qs8c6h6d4h Qc7c4d3h3d Ah7h6c4h3h Js7s5h4h2s 
Qs9d7h5c3h Jc7c6s4h2s As7c6d6c4c KcJd9c8c2c 
QhQdJs7s2s 9h8s6c3h2c AhTd9s5c2s Js9h7s5d2c 
KdQs9s5s5h Td8d7s6d3d Ac6c5h2d2c QdJc7s4h3c 
Jh6s5s3c2h Kh5s5d3d3c Qd9d7d5c4d Js9s6s6h4d 
Qc7h6d5s5d KhTc6d3d2c AcJh4d3d2h Jc6s5c3d2d 
Ts7d5s5d2c KsQh7d5c2h Qs7d7c4c3d KdQc7c5c3c 
Ts7d6s4h4c KdTc8s7h2s KhQs4s4d2c QdJs9d3d3c 
Kh9h9c5s3h KcJs7d4d3h Qs9h6d4s4c QhTd7d4d4c 
QhTc7c4c3d TsTc8s4d2h Qh8d6s6c4s QdJd8s8h3c 
Kc8c6d4h2s Kc8s6d4d3s KcTc8c7c2h Ad6s6c3h2d 
Ah8c7c5s3c QhJc9h7h2d Jh9s9c5d2s Ks9s6d4s3h 
8s8c6h3c2h Ac9h9d3s2c KhTs9h2h2d Qc8c7s3s3d 
6h6c3c2h2c KsTc8c5h5d KhTc5d5c3s QhJh7h4c2c 
8s6s5c4h3s Th7d6h4s4c Tc9d5c4s4c AdKh8s3h2c 
8s5c4s4c2s AhJd4h4c2h Td6h6d5d4s QcJd6s4c2h 
8s7s4h2h2d Qd9c8c4h3h KdTh8d7d3d KcTh7d4h3h 
Ks9h8c7d4h JsTh4h3d3c KhJc9h8h4h Ts9s8h3s3d 
KdTh5s4h3h Jc6h5h5c2h Js7c5d4d2c Kh7d6d6c2c 
9c7c6d4s4h AsJs5d3h2s Qc7c6s4h3d Kh8s6d3s2h 
Th9s8d2h2c AhKd7h3h2c Jd7s7c6h4s 9d7d6d4s3h 
Ts9h7c6d2d 8s5h4d2s2h 9s6h4h3s3d QhTc8s7s3s 
QsJc8s4s4d KdTd7d6d3d AdTc7d2h2d KcTd8s3d2s 
Js8d7h5s3s KhQd9s4h3h Ks8s7c5s3h Qh8h8d7c4h 
TdTc6s3s3h AhJc8s4c3c QhJc5c4c2d Ac9s9h8d2h 
Qc6c5h4s3c Ks7h6h5h5c QcJc8h6d2c 8h8c7d5s2h 
Qh9d8h5h3c Jc9h6s3h2c Qh7c6s6d4d Td9c8s2h2d 
6d6c5h4s3h Ah7h6h4h3s AsKh8c3h2d JhTh5d3c2s 
KdJc6h4c3c 7h5c4d4c2d KdJh5s3d2c KdJh9s5s2c 
Qd8d7h6c3s 8h7c5h3s3d AhJd6s3c2h 8c5h4d4c3h 
QcTd8h8d3d 7d6d4s3s2h KhTs8d7c2c Ks9d4s4h2h 
Kd8d4h3h3c KhTh7c3c2h Js9s8s8h4c Qc7h6c4d3s 
Ah7h5s5h3h 9d7s6d3h2s TsTc7d3d2c AcTc6h6c2d 
8s7h6c4s3s 8h8d5s4c2c Qd8d7h4c2c KdTh6d3s3d 
Jh8h8c5d3h JsTh6s3d3c KhQs5h3h2d KcTd5h5d3s 
QhJs9h7h2d 9s9h6c4c3c Js9s6h3d2h Jd9h6d2h2c 
QsJs9s4d3s Jh9s6d4d2s JsJc6c5h2c Th8s8h6c2h 
QcTc6h4d2c 8s6s5h4c3s 7s5s4h4d2d Qc7s7h5d4d 
Td8d6d5c2h Kh8d5h2h2d AhQc9h3h2d TsTc7d7c2c 
Ts7s5h5c4s Kh9h6s4h3d 7h6d4s4d2s Kd9s9h5c4s 
QcJc8c7c4c AsJh6c3d2s AsKd9c7c2c QsTd9c3s2s 
Js9h9d8h4h Jd8d5c4s3h Tc7s6s4s4d 9d8h5c4s4c 
9h7c6h3s2c TsTd9s6s2s QcTs9c3h2c TsTc7s7h2s 
Th7c6c4d4c Ks9s8h7s3d Ks9h7h3h2s KcTs9c3c2d 
AhQh7d4h2s QhTc9s3c2d ThTc7c3h2h QhJs9d3h2c 
Qc8s6c2s2h KcQh6s4s4d Th7s5d4s2d AdQd4s4h2d 
9s9d4h2s2h Kd9d8c5h3d Qd7s6h6c4h Qd8d8c7h4d 
Ah9s9c6d4c AcJc6h3c2h QcTh5d3c2s Th8c6c3s2h 
Kh9c8h6h2d Qh9h7h6h4s KhJs6h6d3h Ah9s9d7d3d 
QcTh6s3h3d QcJh7s7h3d QcTs8h7h3h 8d6c5s4c2c 
KcQhJd7c2c Kc7h6h5s5h Kd8s6s4c3c AhJd9s6d3d 
9c6s4s4c3c Ts7d5s4h3c Th6s6d5s2d Th9s9d5c2s 
Kh9s7h3s2s Jc7h6h4c2s KdQc9s4d3d AdQd4s4c2d 
KhJh8d7h3s Ac9d8c4s2c 8s8c7d6h3d Qh9d6s4h4c 
Jd9d6d5s4d QcJs7d6h3h AsJsJdJc7c KsQh8h7d3c 
Kh7c6c5d5c QcJd6s6d3d KcQs6d4s2h Th9c6h5d2s 
Ac9d6s5d4h Td7h6d4d4c Kc8s6d4s3d Jh9s9d8c2d 
9c7s5c4c2s Ah6s5d4d4c QhJd9h7h2c Qs9d5h5d2h 
Ks8h6h4c3c Ac5c3s2h2d 7s6s5s3s3c QhTh3h3c2c 
Qs9s6s4c2c KdQh6c4s3c JhTs7d6c2h AhKh9h4c3h 
KhTc6h3s3h Jh8h6c5d3h KhJs7h2s2h Tc5h4h3s3c 
Kh5h3s2s2c Jc9s7h7c4c Ts7d6s4s4h AhKd4s3d2d 
Kc7s5h5c3c 7c5d4c2h2d 8s6d6c5s2h Qc9h9d5c2s 
QdTs6s5s2c Jh9s6h3s2c Js9h7h2s2h Kc7c5s3h3d 
AsQd9s3s2c 9h8d7s7d4d KcQd8h3h3d 8c6h4d2h2d 
Js9d7h3d2s QcJc8c5c3d JcTd8h3s3h QsJs9s5s3s 
TsTh4c3h3d Qs7d5d4s2d Kh8c5s5h4h 9d8d7d7c4h 
Tc9c8h3d3c KdJs9s5s2c 8s7s5s5c4s AcTh7h3s2s 
KdTd9d7d2c Qc7d6s6h4s AsTc9d4h2c KhQd9d6c2d 
As8s6c4s2h 7c5d4c3s2s 8d5s4s4d2d Jd7d5s4s2d 
KhJd6s6h3h Ts9s7s3d2d KsTsTc3d2s Kh9h6c3c2c 
Qs8s4d3h3d KsQc5d5c2h 8c5s4d3d3c Jh9s7d3s2h 
Kd9s8c7h4h Ks6c5h4h3d Jc7c4s4d3d 8h7d5s5h3c 
Ks7d7c5h4h 8s7h6d4c3c QdTs5h3d2c Jc5s4s4c3s 
Js9d6d3c2s Ac8s7h4s2h Qc9s7s4d2c KcTc6h3d3c 
Ah5s4c3s3c KhTd9h2s2h Td9s8h2h2c Ks8s6d4c2h 
AdQh8c7s2s Jh9d9c5s2c AhJs9c6d3d Tc8c5s3h2h 
KhTh5c4d2h 7s5s4c3c2d Ks6d5h4s2s QhJh8s3s2h 
KdQc8s6c3c 7d6s5d5c3d Ac9c6h4d3c 9s6d5h4c3d 
Qs9c7d5h5c 9s8s5s5h4c Ah9h6d4s3h 8h8c5c4d2c 
Ac9c6h4s3c Qc9s9h5d3d Th9s8s6s2s Js9h8s8d4s 
Qs7c4h3s3c 7s7c6c3d2d Qs8s4h3h3d Ks4c3s3c2c 
JhTs7s4d2c Js9d7c5h2s Td7d6d4c3s Js9c8d6c3h 
Qd9s8c6c3h Ks9s5c4s2c Qs9s8h5s3c Td7d5s5h4d 
KdQc9s8s3h 9d8h4s4d3s KcQh8c6d3c 8s8c5c4d2c 
KsTs7c4s3s AhQd8s7c2s KhJh9c8h4h Qs6h5s4s3c 
Th9s3s3d2h KsQhJc7c2d QcJs9d2s2h AcKh7c3c2d 
Ac9s7s6s3h KcTc5h5d3c 7c6c5s4h2d 8s6s5d4h3s 
Jc9d4c3d2s Js8h6s6d4s AdTh8c3s3c KhJh9h5s5h 
AsJsJhJc7c JcTc6s4c3c 9s4s4h3s3h Ad7d6d4h4d 
AhTd7h2h2c Kh7s6d5d3d Js7s5s5h4c AsTd6h4d3c 
AcTh8s5h2h Ks9h6d4s3s KdQh9h8h2c Qd9d8s6d2c 
TsTd7h3h2d Jd8d8c5h3d Jc9s9c7c4c Kh9d8c7s4s 
Qs9s8d5s4s KcJdTd6d2d Jh7h6d4s2d KsTd4s3h3c 
8h8d6h2h2c Jd9h8d5d3d AcTc6c5c4c 9d8s7s4d2s 
Ts8s5d2s2d Qc7c6c5s5d Tc9h5s5c4c Kh8s7d4h3c 
QhTh8c3s3d TsTc8d4h3h Qd9d8h5d3c Jd7c5c4c2d 
Kh7d6c5c3c JsTc8c3h3c 7h6h5h3s3h Qc6h5c4c3s 
Qs9s9h8s3d TdTc4h3s3d 8h7h5h5c4h Kd9h9d5c3d 
Jd9d8d5s5d 7c5h4h3c2s Ks5s4h2s2h Jh9s9c8c3c 
AhKh9h3h3d Ac7c6c4h2s QdTh8h5c2h Kh8d6d3d2h 
AsKd9h5h2c JsTh7d5c2c KhQs6d4d4c Ad7s6h4s4c 
Td5h4s4h3d 9c5s4d4c3d 9s7c5c2s2c KsQh5d3h2c 
Qc7s7h5d4s Jd9h6c4s4d Qd8d6h2s2h Kd8h6c4h3c 
KsKdKc7s4d KcQs8d3d2c KsQd8h3s2h KdQhJs7d2d 
Tc9c8h4s3d 9s8s8c3s2c Jh6d6c4c3d Js9s9h5d2s 
8d5s4d4c3s AdQs8h7c2h QsQh7d4h2c Js7c6c5s2s 
KcJc8s7c3h QhJh8c6d2h Qd7h6s6c4c Th7d6h4s4h 
KdQd9s9h3d KdQs7s7h3c Ah9d6d5c4s QhTh7s5d2c 
KhTd8c7s2c KcTd7d4s3d Qh9s9h3d3c Jd9h9c6c3c 
JhTh4s4d3h KhKdKc7d4c Tc7h5s4h3d Ac9s6h5s4d 
Kd8d6c4h4d 9c7c6c4s3h Jd9s6h4s2h Tc9h8s4c2d 
Qs6h5s4s4d Tc9c5d5c4h 8s8d7c5h2s Jd7h6s5s5c 
KhQh6h4h4c Qh6s6h2s2d Qs9h9c5s2d Kd8h6c3d2c 
9s9h8c7c2d Qc9h7s4c2h KsJc7d4h2s 9h7h5d3s2s 
AsKh7h7c2h 8s5h4s4c3h QhJd7c4s4h Js8s6s5d3h 
Ad6s5h4h4c KhQh7d4c3h Kc9d8c6c2s 8d6h5c4h2h 
Qc9c8s5c3h AhKd8s6c2s 9c6s4s3d3c As7s6s4s3d 
Ad5s4h3s3h Ac7h6s4h4d KdQh8h7s3c KhQd5c4s2s 
ThTc7d7c2c AdQh7s7c3h Kd7h6s3h2d Qd5h4s3d2h 
Ad9h6d3d3c Td8c6d5s3d KhQs8c3s3c Qd9s8d4d2s 
KsTd9s2s2c Jc9c6s6c4d 8h5s4c3s3h KsTc8c6c3c 
AcQd7h7c2c Jc8d6h5c2s Kd9d6d5h3d 8s7c6d4s3s 
KhQs6d4c3d 8c7s4h4c2s 9h7d6s4d3d QdJc7h6s3s 
KdJc9s8s2s 7h5h5c3s2s Ac6c5s2h2c Th6c5d5c2d 
7h6c4s4c2s 9s5h4h4d3d Jd9h9c5c2s Kd5d4s4c3h 
AsKsKhKd8s Ts8c6d6c3h KdQs7s5s3s KcJhTh6h2h 
QdJc7s7c3h 9h7h5d5c4h Qs8s6d5s2h Td9h6c3s3h 
Tc9h8d2s2d Jc8h5s3c2h Qh8c6c5d5c Ad8d7s5d2d 
6s5s5d2s2h Js6h6c4c3h TsTh8c4d3d Td8h6h4h3c 
KhJh7c6h3h Ks5s4d4c3h Ts8c5c4h4c KhQc9c8d4c 
Td7s5s5d2c KhJd8h8c2s QhJh7h4s2s Td9s7c3s3h 
QsJs7d4s2d JsTd6h5c2h Qh9h9c4h2c JdTd6d4c3d 
Kc8d6d3d2c Jc7c6h5c3s Th9s9c5d2c QcTs6h4d2s 
Th9h5h4s3c 9c7d6s5h2d Td5h4h3s3d 9h6c5c4s4d 
KhJc7s4d2h Th8h6s2s2h QhJh3c2h2c Kh9s9h5c3h 
9d7c5d4d2c Tc8s8h5h3h Ad8s8d2d2c Ah7d4d3h2h 
Qd8d5c3c2s AcTd6c4h2c KhQh5h5c2s Jd9h9d5d3d 
Jc8d5d3s2c Th9d7d6c2s Qs8h8c4c3h Ad9h6c5h4h 
7d5h4d3c2c JdJc8s7h2h KsQh5h5c2d Qs7h6c5c3d 
8h6h5c4d3h Ah7d6h4h2s KsTs9s7s2h Qs9s6h6d4s 
AhQh8h4s3h AdJc5s4s3h Qh8h6c2d2c AcJd5c3c2s 
JdTc4c3s3h QhTh7d5c2s Th7s6c4d3c Js9h7s7c4s 
As8s8c2s2h Jh7c6s5s3d 9s6d5c4h3d KsQd7h7d3c 
Ac9c8h4c2s Kc8s8d7d4h 9c6d5h4s4d Qs7c6h4s2h 
Ts7c5h5d4c KcTc7d4c3c KcTc5d4h2c AcKc9c3d3c 
7c6s5d4h2d Ah7h6s4h3h Tc9s9h5c2d QsTd8d4c3d 
Jh8d6h6c4h AdKs8c6c2c KcJs9c6d2c Jc9d8s6d3h 
Js8h6c2s2h Qh8h7c4d2d AcQh7d5h2h QcJs8d6h3h 
Kd9s8s5c4h Ks5h5c3h3d 9h8h6d3s2s Qh8c7d7c2d 
Th9d7d3h2h 9d5c4h4c3h QhJc7d4s3c KsTs6d4s2c 
Kh7c6s3h2s Ad8c6s4c2s Tc9c8s8h2c Ad7c5s4h3c 
7s5h4h4d2d Ks9s8s5h3d 9d8s7d6h2c Jc7c5d4d2c 
Kh9d8s6c4c QsTc5h4c2d AcTs8s6d2s 9d7c6c4h3c 
Jd9s7h7d3d Tc9h7h4s4h Jd8h5d2h2d Ac6d5c4c3c 
Ad6c3d3c2d Ad9h6d2s2c JsTd4d3h3c KdQs8h3d2h 
Jh6s6c4s3c As9d6h5c4c Ad7h6c4s4h Qc7h6s4c2s 
KcQc4d3h2s Ks9d8d5c4h KsTc5h4s2s AsKs9s3s3h 
8s6h5c4h2h Qd8s4s4d3h Qd7s7c5h4s Ad5d3h2s2c 
Tc9c5c4d3h 9d8c6h3c2h AsQs7s7c2h Js8c6d5s3s 
Js6s5d3c2c Td7d6d4h3c QsTs8s4d4c Th7d6h4h4c 
Ts5d4d4c3s KhTs7d4s3s Jd9d8c7d2h Qs8s7d3h3d 
Tc9s8h2h2d KhTc9s3h2h QcTd8s7s3s Ac9d8c4c2h 
7h5h4s4d2s AdKd9d3d3c Qh8h6s5h2d TsTd8h5c3h 
KhTc8s6d3d 9s8c4s4h3h 7d6d4h3h2c Jd8s6h2s2d 
9s6s5h4d3s Tc8s6c5c3d Jd9h6d5d2s Jh9h6h5h3c 
JdTs7h5c2c JdJc8s6c2c Qs8s7h6c3d Js9h8d7c3d 
AcTd7d3h2h Th7s5h4s2s Kc9d8h6c2c AdKh9s9c2s 
7d7c4s3h3d Th9h5s5c3d AsKs9d3c2s QhQd7h7c2h 
Th8d6d6c3s Kh5d4c3s3h KdJd7s7h3d Ks9s9h5c3s 
Jh8d7h2d2c 9s9d6h4h3h Js9s8s5s5c KcJs3s3h2h 
Js9c6d4h3s Kc7c6d4s4c Jc7h6h5s3h AhQd8c6c3c 
QcJh8c6d2c JsTc6s5h2s KhTs8d7s2s KhJd8d8c4d 
Jc7d6h6d4s Ah8s8d3c2h Qs9s5d3s2d Qc7h6s5s5d 
8s5h4c2s2h 5h5d3s2s2d Js8d7c4c2d KhTd8c7s2s 
Qd9d6c3c2c QsJc7s2d2c Kd6s5h4d2d AhJs4h4c2h 
AcKh9d5s2d KcQs8h3h2c KhJc9d5c2c QcJs6s6d3s 
8d7c6s4d3d Th9s7s6c2d AsKh8s8h8c Jc9d8c7s2c 
Ad9d6h4d3c 8c5h4s3h3c AsTh7h7c2d Kd7c6s6c2s 
TsTh4s3d3c Td9s8c4h4c AhTd8c4c2s QcJd8d5d2d 
QcJd7s6h3h Qh9s8h7c4h TsTh5s3s2h KhTh6c3s3h 
Kd7c6h3d2c 9s9h6c4d3c QdTh6s4h2c Ks7h7c4d3s 
7h4s4h2s2c AdJd8d4c3d Kh8d7s4h3c Kh9s7d5c3d 
Tc9s9c8c3c 8d5h4s4d3h AhQc9c7d2c Ts9c8d4s2h 
AsQc4d3s2s 8c7h6s4c3c As8s8d2s2h 9h7c6c3h2d 
Ts9c8d2h2d Kc4s4h3h2c JsJc8c2h2c 8d6c5h4s2s 
Ts9d8c4s2h Kc9h8c6s2c 8s8h5s2s2c QcTs9c3d2c 
Kh9c7d3d2h Qh9c7s5d5c Ts7h6s4s4d 9d7d6d4c2c 
Jc6h5c3h2s Js8d4h3s3d 9s7d5c4h3d AhTs9s4d2c 
Ks5d4d4c3c AdQd7s7d2h Td9s6c4s3s 9h8h6c3d2d 
Qd8s7c4c2d JcTd5d3h2s QhJs8h4d2c 8d7s6d6c3h 
Jc8d7h5c3c Kd8d6h3h2s As8s8d2s2c 8s7d4d2s2c 
Qc9c7c6c4s Kh5h5c3c2h JhTh6s3h2s 7s5c4s4d2d 
8s5h4h3s3c Ac7c5h5c3c As9c6d5h4h Qs8s7h4s3h 
QsJs9h4s3s ThTd7d5d3d KhJc8s5s3d Js7h6c3h3c 
Kh7s7d5h3h 9h8s6s3c2c AsQh6s4s3s Kh8h8d6h4h 
Td9s6h4c3h Qc9d8d7s4h Ks9h7c3h3c KdJh3s3h2s 
AsKc6d3h3d 7d6s6d3s2h Js9d6h3h2s KdTs8c7s3s 
Kh9d6c4d2c 8h7s6c4d3d Jd8c6d2h2c Jd5s5d4d3s 
Jc9h5s4s4d Ad7s7h2s2h Ac9c6d4c3h 8s6h5d4h2h 
9s8h7s6d2c 7h5c4s4c2s Qs9c8c7h4d Tc9h7s4d3d 
9c7d5h4s4c Kh9c7s3s3c 9h7c5s5d3c 8h6d5c4d2d 
Ks9d5d3s2s Jh9d6h2s2d Qs7c6s6h3d Jh8d7d4h2d 
JhJc8s6s3d Tc9d7c4h4c As8s6d3c2h AsTh8d5h2h 
QdTc6h4s2c KsQs9s8s4d KhJsJc7c2c Qs7d6c5c2d 
Ts8s8h6c2s 9h8h6d3c2c 9s8c7c4s2c KhTs7d4c3c 
Ks7s6c4s4h Th6s6d5d2s AcTh7h7d2s Tc6s6d5d2s 
Jh6s6h5c3d 7h7d6h3s2s 9s8h7d7c4c QdJd6d4d3s 
7c5h4h3c2d Qh8h7c5s3d 9c7s6c4s2c KcQs4s4h2d 
KcQd8h3c2h Kd7h5c4h2c Ac9d6d4s3s KhJd8c7d2s 
Qh9d8d4s3s Td8h6h6c3s Ks9h5h3s2s KsTh9s3s2c 
AcTs7c2h2c KsQcJd7d2h JsTs4h4c3s Td7c6c4h4c 
JhJc9d3s2c 7h5d4d3h2c 8d8c7h5s2d KhJh8s7h3c 
QsTc5s5d2h Tc9d8c5h2c 7d7c4s4h3d KsJh8s8d2c 
KdJs5c3d2h Qh7d6s5c3s Jd8h4h4d2c 9s7c6s3h2c 
AdJs3c2s2c Th8d6h5c3h TsTh6d4s3s JdTc7h5s2s 
Td9d8h3s3d Js7h7c6d4h Js9h9c8h4h KsQs9h4c2d 
KcQh5s5h2d TsTh8c5d3c QhQd7c4h2s JcTc9s6c2c 
9d8c7d6h2s Jh8c5h4h4d Jc8h7c4c2h Ts8s5h3d2d 
QsQc6c3d2h 6h6c4s4d3c KcQs8c6c2h 8d5s4h3h3d 
Ad7h6d4d2s Th9c8s2d2c Td7d5h5d4s KdQd9d8d4c 
Tc7s6c4h4d Qs8d7s7h4s KdTh8c7s2c Qs8d4s4d3c 
8h7d6c4s3s KsQs4d3c2h QcJd7s4h3d QcJs6c4c3c 
Tc7s6s6d4s 6s6h5c4s3s AcJs9h6s3s Jc9s8c5c3c 
8s8c7d3h3c Qc7h5d4s4c 9d6d5c4s3d KdJs6h6d3d 
QcTc7c4s4d AhTc8d3s3d QdJc8d6s2d AsJd5h4c3h 
9d7h5s4h3c Jc9s7h3s2c 9d7s5c4h4d Th8h7d6h3h 
Ah8c6d4c2d Jc8d8c5h3c Jh7d6d4h2s KdJcTc6c2c 
As7s7d6h2s Ks8c5d4c3d 8c7c4d2s2d QdJdTd7d2c 
KdJd9d5s2d Ac8h7s3d2c Js8d6h5s2c QcJs9h4d3d 
Js7d6d5s2s Jd8d5s4c3h QsTh6c4d2h QhJd8d6d2c 
QcTs5d4s2h Jc9c8s8h3d 9h7s6d4s4c Kh9d8h6c2h 
Th6s5h3c2s Ac7s6c4c2h Qh8s6c4d3h Kh7c6d3c2h 
KhQh7c4s3h Jh9h6s6h4c Kd5d3c2s2c KhJc8s8c4c 
Qd8h7c4c2d 8s6h6d3h3c TsTc6d4s3s 8h5c4c3h3d 
Td7s5s5d2h 9d7d6c3c2h JcTs7h6d2c Qc8s7c6h3d 
KsQh8h7h4h AsJh6s3d2c Kc9h6h5h4s Kd7c6d3s2s 
Qs9c8s6h3s Kd7d6d4h4c AsQh9s7s2s Th9c8s4s4d 
KcTc8s8h2c Jc7s6s6d4h Kc7d6h5h3h QsTh8h7h3h 
Jc9s9d8h4h Ts8d5d4d4c 9h7d7c4c2d 8h7s5h5d3c 
8d7d6s4h3d KdTc6s3s2c Jd7s5h4h4c Kh7d6d5d3c 
KsJs7s5h2d Th9h9c8h3h Qh8h6s2s2c AdQh8s8c2h 
8h6h6d5s3h KhQs4d4c2h 9c7h6h4s3h Tc9h6c5d2s 
Jh9d8c7s2s Js6c4s4d3d QdTs7s4s4c Tc7s6s6h2h 
QcTs7s5s3s Td8s7s6c2h QcJd8d6d2h Kc9s7c3c2s 
9d7d6d4c3h JdTd8d4c2d Tc9c8c6c2d JhJc3d3c2s 
KcTs6h4h3d AdTh6d4s2d QdTh7h4s4h Jd7c5h4s4h 
Jc8c6s5d3c KdQc5s4h2h Kc9h6d4h2d Ah9h6h3d3c 
QdJs8c4h3s Qc7s5s4s2c Jc7s6d5d3h 8c5h4s2h2c 
9d6h4h3s3d KsJh9c5c2d Js7s7h6d2d 6h5h3s2s2d 
Jd9d7s4c3h Ts6h6c5h2c JcTs7c6h2d Tc9s7h6d2d 
AhJd7s7c3c Kc8s6d3c2d Ad6s5d4d3d Ac8c6s3h2d 
KhJc6d4c3c Kc9c8h5s3c KsJs7h7d3s QsTs7c5h2d 
8s7d4s4h2d Ks8d7c4s3h 7c6d4c2h2d Ac6c5h2s2c 
AdJsJh3c2c AsQh8c6c3c KsQsTs3s2d Kh8h6s4h4c 
KhTs4h3d3c QhJh8s8d3c QdJs7h5d2c Ah8h8c2s2h 
Kd9h7h6h3s AdTc8h5c2c KhQhTh3h2c KcQs8h6s2d 
Ks9c8s6d2s KdJc4h3s2d Jh9h8s8h4c QsJsTs7s2c 
Td9h5s4c3h Ks8c6h4c3h KsQh9s4d3s QsJs3s3c2c 
7c6c5c3h3c QcTd7d4s4d 9s7d5c3s2d KsQd9h9c3d 
QsQd6h3c2d AdQh7c5h2h Ks8s6h4c2d Ks7c6c5c3h 
Qh9c8d5d4d Kh9d4h4c2c KsJc8h5d2c Th7d4d3h3d 
Jd8c6h6d4d KcQd7s5h2d QsJh9s3s3d Js9c7s5d2h 
Jc8d5d3h2c KdTc8s3c2s KcTsTc3h2c 8h7s4h4c2s 
JsTh6s5c2s 6d6c5h4h3h Qc8s7h5s2h KdQc8s4h4d 
Th7h6h4c2c 7d6c4d2s2c AdQs8c5h2h KsJd7s2s2d 
QsQd8h3h3c QhTh6c4d2h KdQc8h4s4d Kh8d6c3h2d 
Ad9c8s7c2c Qd8h7h5h4h KcJc6s6c3d Jc9s8d7c2c 
Qc8c5s3s2d Qs8c6c5d5c KhTd8s5s5c Jh8d7d4d2h 
7h6s5d4c2d 7h7c6c3d2d 8s6s5h5c4s Qs9d8s7c4s 
JhTs6h3d3c Ac9d6d5s5d Td8s8c6h3s Jh8c6s6h4h 
QdTc9s3c2h Ac8s7h3d2c Kh9c8h6s3h AcTh9d4s2h 
KdTc9s6s2s Ts7c6d4c2d Jh9h8h8d4s Qh9h7s6h4h 
Kd8c6s3d2c As7s7d6c2s Td9s8h4h4c AdTs8c5s2s 
Kh9d6d5d4c Js9s6s6d4c QcJh8h5h2h KsJd9h8h2h 
JcTc8s2d2c Tc9d9c5s2c 6h5h5d2s2h 9d7d6s6h3d 
KhJs9s5s2d As8h7d3s2c AcKc5c3s2c Js8d6s6h4s 
QsJs8s5s3d 8d8c6c3c2d Js8h6d5s2c Kc9s9c5d3c 
Qc7s6d6c3h KhQs8c4h3d 8d7s6h4c3c AdTh5s4c3h 
9h7h6s6c3h 9d5h4s4d3s Jd5h5c4c3h Jd9c6h5s2d 
Js9s8h6s3d Ah8c5s5d4c Qh7d7c6s4d 9c8d8c3c2d 
9d9c6s4c3c Th9c5h5d4h Ah8d7s3h2c AdJs6h3c2d 
9h8d6s3d3c QdJs8c4h2d 9d9c8s6h2c Ts8d5d2s2d 
Jh9d6h3d2c Jd9c8s8h4s Js7d6h6d4c TsTc7s3d2d 
8h6s6h5d3h Jc8d7s4s2d QsJh8s6d2s KsQc9s9h3s 
KcTs8h7s3s Ts7s6s6d2d 7c6c5d4s2h 7d5s5d3h2h 
ThTd6h3d2h Qh9s7h4d2s Kc8d8c4d3c KhQh7s4c3h 
Tc7h6c4s4d Ks7d6d5d3h KhQsJh8h3h 9d7s6d4h4c 
Ks9d4s4d2c Qh8s4s4h3c Jd7h6h6c5h JcTh7s4d2h 
Ks9c5c3s2s Ts9d5s5h4s 9d8c4h4d3h 8c6s6h5c2d 
KdQs5h3s2c Td7s7d6d4d TsTc4h3s2c Ac9d6h5s4h 
AhJs6s4d4c Ad6d5s2h2d 8d5c4s4d3c Jd9s8d5h2d 
Th9d7c4s3s 8s8d6d2d2c AcKh9s7s2s AsKs9s3s3c 
7c5c4h4d2h KsTh8d7c2c KcQs9s5s5h Ks8d5s5c4s 
9c6h5s5d3d Td7h5d4c3s KcQcJc8h3c Js9s7h4d3c 
9c7c5h4h2c 9d8h7c6s2c Kc5d3c2s2d QcJc5c3s3h 
Kc9s7h5d3h Jh9c6s4d3h Qd9h9c2s2d Kh8s6s3s2h 
Jh9s7d2s2h AdJh5d3d2s KsQc7h7c3d Qh9d9c5s3s 
Js7h6d5d5c 9d7d6d4c3s Th9h9c5s2h Td5s4s3h3d 
Jh9h6s3c2s QdTh8s8c2s Jc8d4s4c3s KhQd5s3d2c 
Qh7d7c5s4s Jh8c4s3h3c Qs7c6s4h2h Td7c5d5c2h 
Kh9h8d7h3s QcJs9h3c2d Kd9c7h5s3h Kc7h5h4s2s 
Tc7h6h6c2h Jd8d6h5s3d Kd9c8d6d2s Kd4s4h3h2d 
KcJc8d7c3h 9d7s6c4s3s 9c7h6h4d3h JdTd5d4d2h 
KcJs9s5d2s TsTc6c3s2c TsTh8h4c2d AcTs8h6s2s 
Qd8d7c4c3d Kd9c8h7s4c Qd9d6d4c2c Ad9s9c3d2h 
Ah9h8s6h2h 9c7h5s4d4c Kd9c8s7h4h Jc9s8s6h3d 
Ts7h6s6h2h AhQs3h3c2h Th7s6c4s2c KcQh5c3c2d 
Ad7c6h4s4c Tc8s7s6d2h KhQc9c8s4c Tc7s4s4c3c 
Ac8s7d6s3h KsJc8d7c2h Kd8h6c3h2d Js9s6d3c2d 
Jc7d6s5s2d Jc7c5s4s2c KdTc8h5s5h KcQd9d8d2s 
