Jd9c8d3h2s 
Ad8c7s5h2s 8h6h5d2s2c 9h8s6c4d3c KhTh7h3s3d 
Kh6h5c2s2d Ad9d7c2h2d KdQs8s6c2s 9d7d6h6d3d 
Js8d6d2s2d Js9c8s5s2s Kc9h6s4d2c Qd6d5h2h2d 
KsQd7h5d2d As9c5d4s2s 9s8d3s3h2d KdJd6h5d2d 
Qc5h5c3c2h KhTs9c3s2d QsTh9d3d2d Td9d6s6h2c 
Th8s7d5s2c Kh8h6h4s3c KsQd5c2h2d 7d6h4s3d3c 
AsTd5h5c3h QhJd7c4s4c Js8h8c7d2s 8d8c4d3s2s 
Qs9d7d3s2h Ts7d5d4h3d Qd8h5s5c3d Ts9s5c3s3d 
AdTs7s5h2s 7h7c5c4s2c 7s7c3s3h2c Qc6h5c4c3c 
KdTd7h4d2s KhTdTc3s2c Kd8h5c3h3c 6h5c4d3s3c 
Jd7c6d4h2c Qd6d6c5s2h KhJh9h4h3s Qs7c6d2s2d 
KcQs5s3s2d Ts6h5d4h3c Tc8d7h4s3d QhJd6h4h2c 
Ah8c4h3d2s AhTs9c6d2d AsQc8c7c2c QsTc7c5d2h 
JdTd7h5d2d Qd9d6s4c2h 9c8h4s2h2c KcTd7h4c2c 
Jh9d7h3s3c AdTh4d3s2d Qd9d8s4h3c 8d6d5d4d3s 
KcTc7s4c2d Ks6c3s2h2c Ts5s4c3d3c Kd6d5d3s3h 
KdQh8s7d2d Qs9c8c3d2d Kh9s4c3h2c Ts9h4c3h3d 
Kh9h5c3c2h Qs9h8c3c2h KhQh8s3h2s Td6d6c3c2h 
QcTc7s3s2c KsQs8d7c3s QdJh7h5s2c KhQs7d2s2d 
7d6h4c3h2d As6h6d3d3c Jc9h4c3h2c Qs9c8c3h2h 
9s8s7s7c2h QcTh6d4d2d KdQc9s4c2h AdTs3s3c2c 
KsTs6d5s2s Qd9h8h5h5c Kd9d6d4h3c TsTd8h4c2c 
JhTc7c5c2c Kc7c5c4h3c AhJc6h5h2h Jd9d8d6d3s 
Td8s4h3h2d QhJs8d4d3c Ks9h6c4c2h JdTh6d4c2d 
AsQd7h4c2d Jd8s8d3h2h KsQh7c6h2h Kd9h8h4c3c 
Jc9c8h7c2c Kh7d6d5d3d QcTs7c5d2c Th6c5h3d2d 
Jh7s4s4c3c Ac9h8c3s2c 7h5c4s4c3d AhKs8d4d2d 
Qh9h8s7d3h Qc8d6h5s2h Qd6d6c5h3d Qd9c8s8c4c 
JsJc7s5h2s Td6d6c2d2c Ad8s8h7c2s Ad7s7h5c2s 
KdJd4d3h3c Ah7d6s6c3s Qd8h6d5c2d Ks9h8d6h2c 
KcJd8s7h2s Tc9s6s4d2h 7c6d6c3d2d Tc6h5d4h3h 
JdTs6d4h2d ThTc7c5s2d QsJh9c7d2c KdQh5c2s2h 
As9c7c4h3d KsTd7h6d2d AdKs9c6h2h Jc8d6h5d3d 
Tc9c7c5h2d 9s8d7c3d2s AhQd8h3h2s Ad8h6h4h4c 
AsQh6h6c2d Qc8d5s4c2c Qh9d6d3c2c 9d9c8c6c2c 
JsTh6s4c2s Qd8h6h5s3h Tc8s6h4h2d Ad8h7c5c2s 
Js9d6h6c3h Th9s6s5s2d Js9s8s5s2c Jd8s8h3d2s 
9h9c4s4d3d KdTc8c4c3s KhKdKc4c2h QdJc7s3s2d 
JhTd4h2s2c 8h6s6h4c2d AhQc7d5d2s AcKh8s8d2d 
Jh9c8s6s2d Ah9c5h4h2d 9d8c7h3d2c Ts8s4c3h2h 
Qc7h5h4s2s KsTd5h4h2c AcTsTh4h2h Th8d5d3d2h 
8s6c4s3c2s Jh9s6h4h4d Qs9h8c5d2d Qd9d4s3c2s 
Jh8s8c7d2h KcJc5h5c2d KcTh8d3s2c Ad9c5d4d2h 
KsQc9s5s2s Js9d7c6s2h JhTc6c4d2c 8c7s6h3s2c 
KhTd8c3h2s As8s7s6s2h Ks9c5h4h2c Ac7s5c3d2c 
Kc8h7c4s4c QdQc7h4d2d Jc7d6s6c3h Th7h5s5h3d 
8s7h6d4h2c Qd9s8s5s5h 9c7c5c4h3c 8s7s6d4s3s 
Qh8d5c4s4c QsTs7s7c3s KcQs4d4c2c Qh7h7c4s2s 
JsJd8h4h2c Td6s5h5c4h Qh9c8s5c3c QcTh8s4s2s 
Kh8c6h6d3h 8s6c4c3s2h Jd8d7h4c3s KcJh5d4s2d 
Qc6d5s4h3d QsJs8s8h3c AsKh7c4d2c JcTd5h2s2d 
Kd7s7h4h4c KdTh7s6h2h 9h6s6c5d2h Kh9h5d4s4h 
Qh6h6d5h4h 8s6c4c3s2d Tc9d4s3h3c Td8c6c3d2c 
Ad8s7s7h2c Kd9s9h4c3d Qc6s6h4d3c Jd8s8c7h2d 
9d8d5s5h3c Qc8s4s4h2c KcQd8d7d3s AsTc9c4c2h 
QsJd7c5s2s QdTs9h3c2c 9s9d7h4h3h 9h8c5c4c3d 
KdJh4d2s2c QsQh7s4c2s Td8s8c2h2d 6d5h4c3s3h 
7h6s4c3h2c Qc8s4d4c2d TsTc4d3d2s JhJc6h2s2d 
KdJd5s5d2h QdJd4d3d3c QhTc4c3s3d 7d6h6d3h2d 
Qc8s5c3s2s 7s7d3d2s2c AdJdTsTdTc 9s9c6s2s2h 
Kh9c7h2h2c Kc7h5s5c2d Ah9s8d3d2s 9h9d4s4c3s 
KcJc9c7c2s As6h5c4d3h 8h7s4s4d2d 5d5c4h4d3d 
Kd8d6d4s4c Tc7d5d4s3d AdKh9s6c2c KdTc4h3d2s 
QcJd8c4c2h Qc9d7s7d4h Ts8s7s5s5d Qs8c7h5d2s 
Ah8c6s5d3d AsTh7d6h2c 6s6h5c3d2s KdTc8h3s2d 
Qh8h6s4d2c Jd7d6s6h3c Th8c7d4s3c 6h5d5c4d2s 
QhTh7d4s2c Td9s8d4h3d Qd6c4c2h2d Ks9h4c3s2c 
9h7h7d3h2d Js7d7c6d3h QdJc8c7c2h KsTh4s3s3c 
Jh9h9c7d2h KhQc9s8s4s AhJs7c5d2d Ks7s5d3s3c 
As8s8d6s2s 9d8h7h3d2h Tc8c7c5d2h Js8h8d7c3s 
Ks8d7s4c2h AcTd5h5d3d KhTd8s3c2h TsTc4h4d2c 
Kc8d6s6h2c AhQs4d2s2c 9s9h7d5d2d Kh8c7c3c2h 
Qc9h6h4h3s As8s4c3s2c Td8s7c3c2d 8s6h5s4s2s 
JdTd6d4h2s 6s5s3c2s2c KdQh6d6c2d Td9s3s3c2c 
Td8s7s6s2c 8s8h3s3d2d Td9c5c3s3h QhTh7h7c3h 
5h5d4c2s2d KsTc7d6c2c Tc6d5s3c2d JsTd4s2h2c 
Jd6s5c4h3s AdTc7s4c2h KcTsTh4h2h Qh8s5c4h2h 
Ad8c4d3h2s Ts9d6s5h2s Ac7d6s4d3h KsTh8d4d2c 
As8d6d4h4d Td8s7d6d3d QhJc9d3s3d Td8d5c4h2s 
8s5d4c3c2d KsJc8d6c2h 9s6h6d3h2s KdTs8c5c3c 
AcKd9d6d2d 9d8s6s6h3s Jd7c6s6h4c 8d5h5d3h2s 
Kc7c5c4d3c AhKc5s3s2s Kc9c5d4h4c JhTd7s5s2s 
Js7d5d4c3d Th6d6c5h3h QhJs7h5h2c QsJh7s6c2d 
9s7h7c5s2d Kh8s7d5h2h Qs8s8c6d2s Qs7h5d3d2s 
Ks9h6d4c2s Ts4h4d2s2d Ah8h8d6h2h 7c6c4s3s2c 
AdKs9h4c3c 9h9d8h6h2h KcQh7d4s2c Kh9c4d3d2h 
AcTh7h5d2h Qs8c5d4h4d QcTd4s3h2c AsJs7h2s2c 
Th5h4s3s3d KdTc8h5h3h Kd9c6c4s2s 8c5d5c3d2s 
As8d7d7c2h Kh8d7s3h2s Kh8h5s3d3c Jh7c6h6c2h 
Qd9h8c7c2s Tc8c6d4c3h KsQs8d3s2d As6c4d4c2d 
QdQc7s4d2d AcTs9d6h2h 8d7c6h4s2s Tc9c3s2s2c 
Qd7d6h6d2h TsTh6c2s2d Ad8s6s5c3s QcJs4d3c2h 
7h6s4c3h3d Ks8h5c3h3c Jd9d8d6d3c Ac8h4s3d2c 
Ts9c6h5s2s Kh8h6s4c3h Td6h4s4d2h 8c7s7d6h2d 
As9s5h4s2c Ks9h4d3d2s Jh8h6s6h4h Qd8s6c5h2s 
KdQc9d5d2d 7d6c4s3d2s Ad8c6c5s3c AcQc7h7d2c 
8s8h7h4h3c 7c6h6d5d2d Ad8c7s6c3c AcTd4c3s2c 
AcKh7d4d2s 9c8h4h4c2h Td8c7d4s3d Kd7d5d4c3d 
6h5h4c3d2s KsJs6h4s2d Jc9c7h5s2c 7d6d4h4d3c 
KsJd6s3s3c KhTd4h3h3c 8d6d5h2s2d QsJd5s5c2s 
As9d5d5c4h Th7d7c4h3s Ks9s4h3h2c Ks9h9d5c3d 
Ts8s7s5h2d KcTs4d3c2h As7d7c3h3c AdQd7s7c2d 
8d6c4h3h2d 5s5h4c3s2h Ad8d7d6d2c KcTd7c4s2c 
Ts8c5s3c2s Kc6s6d5h3d Kc6h6d5s3h Qh6d4d2s2h 
AcJc7c3h2d Qs7h5s3d2d 9h8h5s5d3c 8h5c4h3d2d 
AcQh6c3s2c Kc9h6s4s2h Qs9s7h4c3d 9s8s5h5c3d 
KdJd8c4d3h KcTd9h3d2s JhTc3h3d2s Jd8h8d3s2s 
9d5c4c3d2h Kd9d5s3s2d Js9s8c7s2s Kh9d9c5s3d 
QdJh8d4d2s Qh8h7s6h3c Tc8s7s5d2h KcQd5h2s2d 
9d5s4h4d2h Qd9s5d4d3h ThTc7s2d2c Ts8d7c5h2d 
Ts6s5c4s4h Qh9h8s3h2s Qh8h6d4c2s Qs7h5s4c3s 
Jh8d7s5h2h Qs7c6d5s2h 9h9c7s5s2d Ks8d7h3s2h 
QhJh9h3s2d Ad8h4d3c2s KcJd8c5c2c Tc8c7h5c2s 
Ad7s7c5h2c KhQs7d4d3c Ad9s8h6c2s Qd7s7d4h4d 
KdQs6h2d2c AsJc7d5h2h AdTd8d2d2c Qh8d7s7c4s 
8s7s6s5d2s 9s9c7c2d2c Qh9c8s7s4s Jc8d6d2d2c 
AdJc6h5s2c Kd8s7d4c2h 7c5h5c4c3d QcJd6h6c2s 
9c7s7d5h2d Ks6h4s3d2c Ah7s7d3d3c QsJc7s5s2d 
Qh9d8s3s2d Qs9h6h4h3d AsTh4d3s2s Js8s7d4c3h 
8c5h4c3s2s KcJh9d6s2d AcTh4c3s2c 9h9c7d4d3d 
Kh7c4s3h2s Ad9c8d3s2d Kc7h6c5s2c 6c5h4s3s3d 
As8c6h5d3d Jd9d5h5d3d 9c8d7s5d2d Tc6d5s4d3h 
KcQs7h6s2s QcJs8c4c2h QcJd7c6s2h KsJc4h4d3c 
Js9s8d8c2s Js9c7h5h2d 5s5d4h4c3c Jd8h7d7c3s 
Qd9d6s4h4d Qh9d8s7h2h 6d5d4h3s2c QhTc9d3s2s 
Th8d7d5s2c Ad8s7c5c2h 9c6s6c5c4c Jh8s5s3h2h 
Ks7d5d4c3d KcQd8h7c2c 8s7s4d2s2d 9s9h5s4c2d 
KhTd8d4c3d 6c5c4s3h3d Ac7h5d4d3d KsJd8d7c3d 
Th8c4s3s2h QhJc9c3d3c 8h6d5s5c2s Kh6d3h3c2c 
Td9c6s5d2d KdTs4d3d3c Jh7h6s6c3d Ts8d6c4c3h 
Ks8d6h3h3d KsTd3h3d2h Td8c7s4h3c Tc8d5s4h3h 
Jd9d8s7d2d Ts9s6h4d2c Qd6c4c3d2c Qs7s6s5s3d 
Qd9c8s7s3h AhKc8h4h2h QhJc7c2h2c Td9h4s3h3c 
9s9h7d6c2c Ks9d7s6h2s KhJd8c5d2d 8h7h6s3s2c 
Th9s8c4s3s Kc9s8d6s2h Jc6h5s4d3h Jc9c6d5s2c 
KcQh7s2s2h 9h7d6d5s2d 9c8c7s7c2d Tc9c6d4h2c 
Kd6h4s4h2s 9d8h7d6d2d Qd9d9c5d2h Kh8s7h5h2c 
Kd9d4s3s2h QdJc9h7s2h KhTc4s3h2d AdQd8d5d2d 
Td7d6c3s2c Qd9d7s4h3c Ks8d7c5d3h QdJd8h8d3s 
Kh9s4d3h2d 9d6s6h3s2d 9h8h7s7h3d Kc6d5s5c2c 
QhTc6d3s2h 8s8d7h6h2c Jc9s9c7d2c Jc9s8s6h2s 
AcJc7c3d3c Ad9s8d3c2d KcTc6s6h2c Kc9d8s6d2h 
As9c7c4h4c 9s6c4s4c2c AcJc6s6c3c 8s7h5d4h2h 
Qc9d5c4c3h Qh7h6h5h3d 9h8d7h4s3c Ks6h4s3c2d 
Qs8s6s5s3d Td8s8c7h3s Js9h7d5d2c JdTc7h6s2s 
Ad7c6s6h3s QhJc7s3s2h QsQd7c4s2s Ks9s6s4h3c 
Kc9d7s7h3h AsKh7c4c2d Kd9h7s7h4h Ks8d7c6c3h 
Td8s8c4d2h KdTc8h3d2s Qd7h7d4c2c QsJs4c2h2d 
KhTsTc5d2d KcQs7d4h2c AhQd8c4s3c AdTh6c4c3s 
9s8c5c4c3d 8c7c6d4c3c AsQs7d7c2s 8h8c7c4c3s 
AcJs4h4d3s AcJd7s5h2s Qh9d8d6s2d Js8s5s4c2h 
Qc6s6d5d3h JsTd8d3c2d QhTs8c3s3d JsJd6s4s3s 
QhJh4h3h3c 9c7h6h5s2h 5s5h4d4c2s Tc8h6d4d3s 
QhJh9d2h2c AcQh9d6d2s 8h7s6s3c2c KhQc8d7h2h 
Ks9h9c5d3h Qs9h8c5d2c Qc9d9c4h4c Tc9s8s4d3s 
KcJh6d3s3h Js9h5d4h3h 9s8h7d3s2h Kd9s9h6s3s 
Qd7s5c3h3d TsTh6d2s2c 9s8c6d4h3d QsQc7h5d2d 
7h6d4s3h3c Ac8h7s6h3h JcTs8d3s2s Qs8s6h3h2h 
KsKc8d3d2d Th9s4c3h3d 9h9c7s5s2s 8d6s5d4d2d 
8s6s5s4s3h Ah8c7s7d2d Qs8s8c4d3h QsJd8d7c3d 
JhJd3h2h2c KdTh8s8c3c Qc8s7c5h3c QsJh7c5s2s 
Qd9s5h4c2d Jc7d7c5c3c Th8d7h6h3h AsQc9c3d3c 
Jc8h8d6h3s 9h8s8h7c2h 9h8d6s6d3d Js9h7c6s2d 
KcJc5s5c3c 5s5h4c3h2s Td9d6s6d2c Th9s6s5s2c 
Js7d5h2s2d Qc7s5c4d3c Ks6d4s4h2c Jd7s6h6c4s 
AsJs9c6s2s AsTc7d5d2h Kh9c4s3h2s Th7s6c2s2h 
Ts4h4c2h2c Th9d6d4s2c Qc8c5h4s2d QhJd4s4c3s 
AcTh9h4h2d Kc7d6c4s2h Kd9h6s6h4c Th8d5d4c2s 
9h8c6c4s3d Qs9d8s8h3s Kd6c3s3d2s Qc5d4c2d2c 
Td6s4s3d2c Js8s6h5s2c Ah8d6d4d4c KdQh8h3s2s 
9h8d4c2h2d Jh8h6s5h2c Ac4s4h3s3d Qd7s5c4d3d 
Tc8d7s6c2c Kh8d6c5s3c JhJd8c6c3c KcJh8s6h2d 
Th8h6c4h3d Kd8c7h6h3s JcTs6s4h2s Js6c5h4s3s 
AcQd8h4h3s Jh7s5c3h3d Qs7d5c3c2s Jd9h7d3d2h 
Kh7s7c5d3s Kd9d7d3c2c Qd9s9c8c3c 9d8s7d4h3c 
Ac7s7d5h2s 9s7h6h4h3h Tc6s4s3c2h Th7h7d3s2d 
Jd8d8c3s2s Td8s6s3d2s ThTd6s5c2c KhQcJs7s2s 
Qc6s4s2d2c QdTh9c3s2s QhThTc3h2h Jd9h8s4h4c 
ThTd5d4d2c Jc7s7d6h3c Ad4d3h2s2c 6h5s4c3c2d 
AsJd6h5c2d AdJh8c4h2h KdQc7h2h2c Qc9h6s6h3h 
AhJc8s6s3s Ah6s6c3d3c Qs8d6h4d4c JhTd6d4d2s 
7s7c4s3d2c Td9s6d5c2d Qs8c7h7d4h Jc8h4d2d2c 
Qh9d7d7c4s AsThTc5d2d KsTdTc4d2d Qs7s5s4h4d 
7s6c4h3c2s Ac6s6h3h3d KsJh8h8c3d QcJd7h5s2d 
Ad8h7s7h2c Kc8d6s5d3h Js7c5h3s2h Kd9s9d6c2d 
8s7d5d3s2s AhKs4d3c2d Jc8h7c5c3c Kc6s4c3h2d 
Ts8s6s6c2h KdTc8s3h2d AhTsTd5c2c Kc8h7h5d3s 
Qd9c5h2h2c Qh9d8c5s2s Js9h9d4h3h AdTh5d3s2d 
Qh8d6s5d2c Kc6h5s5c2c Jc9h7d4s4d Kd9h5d4c2s 
KdQd8c6d3d Ac7s7h3h3d 9h9d7s5s2c QcJc8h8c3d 
Tc8h7s5h2d Ks9s4d3d2h KcQs8d6d3h AdJhJdJc3c 
Kc8c6d4s3c 9h8h6h6d4h AcQd4s2h2d Tc8h8d7d3d 
Ts7h7d4s3c 8d6c5s5c2h 9c8h6h4d3s Ah9h7c2h2d 
JsJd7d6d2h Qh9h6h4c3s KsQh4d3d3c AcJs7d5h2d 
Ts9c4h3s3d Jd9s6h6c3h JsJd7d2h2c ThTd8d3c2s 
Ad5h4d2d2c Js5d4h3s2h Kh9c7h6d2h 6h6c5s3d2c 
8d6s4d3c2s Qs9d5h4s2c 9h6c5c4d4c As9h7h4c3d 
Qh9h5d4c3h QsJc4h3s2d Ts7d7c4d3h KdJd9h3d3c 
Qc9d8s8d4d AdJd7d4d3d Ts9c8d4d3d Jc9d7h5h2s 
Ks9c4c3s2c KdTc9c4c2s 9h8c6d4s3d QcJs7c5c2d 
AcKh9h6h2h Js5s4c3c2c QhJh9d6h2h Kh9d7h6s2h 
9d8h6s6c3h KdQcJs7c2c QcJc6c4h2d Qd9c7s6d2h 
Th8d5s4c3c KsJd8h8d3c 8s7s4s4c2c AcKh8d4d2d 
7c6d4s3s2c Qd9h8c6s2s Qh9d8s4h4c QsJh7d3d2s 
QcJh7d4h3h KsQd9c6h2h Qc7s6h6d4s Qd9c4s3c2d 
JdTs6s4s2c QdJd5s3h2d KcTh6d4h2s Kd9s7h7c4c 
Jc9c8c6c3d 9s9d7s7h7d JsJd8h6h3h Ts9d6d5d2c 
9d8d8c7s2d As8c7h6h3h QcJc4c3h3c KcJs6h6d2c 
JhTs6s4d2s Jc8s5s3c2c Jd7h6d4c2h Tc8c6c5s3c 
7s5s5h4s3c Kd7c6c5c3c 8d8c7s6s2h Qs8d6d5c3d 
9h7s7d4s3c KsTh6d5c2d QhJd3s3h2c AcQs7s7h2d 
Ts6d5h5c4c Td9d6h6d2s KdTd7d3h3c Td8d5d4s4d 
9c6h4h3c2d Jc8c7h4s3d KdQc5c2s2h 8d7d6s3s2c 
QsTs5s4h2s Qc9c8s7c2d AhTs7c5c2d Kc4s4h2s2h 
Kc7h5h4s3h QcJc5d3h2c Kd8d7c5h2d AcTs6h6d3h 
7h6c4d3h2d Qh8s6d3h2d Qs8h6h5d3h 9d9c7c2h2c 
Td9d6c4h2d QdJs4h4c3h 8c6d4s3s2c Jh9d7d3c2c 
TsTh9h9d9c Ts9c7d5h2c 9h7d7c3d2h 7h6h6d3d2d 
7h7d3s2h2d Ks6d3s2h2d Qd9d6s3h3c Jd9d6c5h2d 
9d8s6h4s2c Qs8h7d6s3s Qh9c5s4h2d 9s8c7s4s4h 
Qh9d8d8c4d JhJd5h3c2s AdTc7c6c2h 8d6s4h3h2d 
KcQc8c5d3c Ts5s4h4c2h 9h7s7d4d3c 9s9d6d5d2d 
Jc8h7d7c3s Ac9d7d4h3s Th7s5s3c2h QdTc7s3s2c 
8c7d5d3d2c Qc7d7c5c3h As6c5h4d3c Ts7h6c2s2h 
Js5s5c4c2s Jd9s6s3d2d Kd9h7c4d3d QhTd6s4c2c 
Ts8h4h3d2s 9c8c7h3h2c KhJs8d5s2s QcTh7d3d2h 
8s6c5d5c3c Ts9d6d4c2h Qs6h4h2s2c 7s7d5d2h2d 
Qs6s6d5h2c Th8h4c3d2d Qd8c5s4d2d KhQs7d4c2h 
QsJh6h5h2h QhTc6s4s2s 8h7d6c4c2s Ac9s7d4h3s 
Qh8c7h6d3h QsJh9s3s2d 9c8h7s5h2h Jh6s6h5d3h 
Qh9s5h5c3h AcJh8s4d2d AhKd9c4s3s KhTc9s4s2s 
Ah9d6d5c3d KhQd5d3d2c Ah6h5d3h2s QsTh7c5d2h 
9d8c4s3s3c KsQd8d3c2c Ks9s8s6s3c Td8d6s4d3c 
AdQs5s4s2s Qs6h6d3d2s Ah4h3s2d2c Ks9c4d3d2s 
JhJc6c2s2d KcQh7h6h2d Kc7d4d3h2c Jd8d5s5h3c 
Ts7c5h4c3c KcJc8s4d4c Qd9d4d4c3c Kc9s9h2d2c 
Qs6s6h5s4s QhJh8h6h3c Qs9h9d5h2c Kc8h7h5s3d 
Ks9s9h7c2s Td8d7h3c2h 9s8s8c6s3s Qs8h6d4d4c 
Th9h7d5c2h Jc7c6s6h3d Jd9c8h6h2h KdQh8c4h3s 
KhTs8d4c3d KdQh6c2s2d KcTh5s4s2d 8d8c4c3s3h 
Ac6c5h3c2d QsQd7d4h2d AsTh9c6d2d 8d7s6c4c2h 
KcTc7h4c2s QcJc9c3h2d Jh8s8h3c2c KsJd8c7c3c 
Qc8h7c5s3c Qh9d9c4h3s Ts9s7s5c2d Qs7d5d2s2h 
KcQh4d3s3d Ah9s8d6s2c Jh9s9h5h2h KhJc4h2s2d 
Js8d6s6c3h 8d6s6d4h2c QsJc9h7d2h 9d8s5s4s3h 
9h6h4d2s2d Kd9s6s6c3h QsQdQc9h9d As9s9h9d8d 
JsJc6h4d2c Jd9h7d4s4d Ks7h7c5d3h QdTc5s2h2d 
KcTs5d4d2h Td9d3s2s2d KsTd9c3d2h JsTc8d3c2c 
9d7s7h5d2c Qd8h7h3h3d Kd8d7d5d5c Ts8d7c4h3d 
KdJs5c4h2h 9d8s6d3d3c Qh9h4c3s2c 8h7s6s3c2h 
KhTs6c4s2d Ts8h8d7h3h Ah8s8d7d3d Ks7d4h3s2h 
QdTd7d4h3d Jh6c5h4s4d 6h5s4d3c2h 8d6s6h2h2c 
Qh8d6d5c3d Qh9s8h8c2h Ts9s6h4d2s QdTh4s3d2c 
Qh9s4c3s3c Kc8c5c4s4d 9h9d4s4c3c Ts9d8c4c2h 
Td9d7h5c2d Tc6d5h4d3s AhQc6d6c2s Qd9d4s4d3s 
9d8d6d6c4d Kc7s5h5c2d QdTd5d5c3d 9h5c4s4h2s 
Qs6c4c2s2d QdJh7d2h2d Td5d4s4h2h As9d8c3d2c 
Td8h7d4s3d AdJc6d5d2d Ah7d6c4d3s Jh8s6h2s2h 
Jd9s3s3d2h Ad9s9h9d8h Td6s5h4s3c Ad8s8d6d2d 
9d8c7d6d2d Kh9h6h4d3c JhTc8s3d2s AdKh8s4s3s 
Qd7h6h5s5h AsQd7c5c2h KdQd9d9c3d 7c5h5c3h2h 
QsJs9h2s2c As7d6h6c3c JdTc7s6c2c 9s8h4s3s3h 
ThTd8c4s2s Ts9c8c4c3h Jh7h7d5h3h KhTs6d5c2d 
KhQd4h4c2h Qd9d6h4s4d Qc8d7d5s5d Kh9d7s7c4c 
8d6s6d3s2s Ts9s3d2s2d QhJs4d4c3d KdQs5s5h2s 
Tc6h5d4s3h Qs8s5h4d3s AsJs9c4s2s Kh7s4h3d2s 
Qc9d7s4c3h KsTc8h5h3h 7s6s5s4s3s Qs7h5h2s2d 
8c7c6d3s3h Jh8c7s2s2c KsTc8h3s2d Ks9d9c6d3d 
Td6h6d3h2s Td9s9h4d2d KdJd8c4d2h Kc9s6d4h2c 
Kh8h7h5s5h 7d7c4d3s2s KcJc8d7c2c AdQd7s7h2d 
Qs9s7h7d3s Td9h8h4s2h 9s8h7s4c3d KdQs6h6d2d 
8h7c6h5h2h Ad9c7c4s3h AhKh9s4h2h Qs8c5d2d2c 
Qd9h5c4s4h KsJd8s4s2c KsQs3d2h2c Qc8h8d5s2c 
QhJh5s3d2h AhTd7c4d2s KcQs7d2s2d Qc7d6d5h5d 
Qc9s5d5c3c 9d6s6c3c2d Td7s5s4c3s Td6s5s4h3s 
Jh8h7s4c3d KsQc7h4h3d 8s8c4s3h2h Th8s6d4d2c 
AsKc9c4d2c Qd9s5h2s2h Kd9h9c5s3h Ts6h6d5s3s 
Td8d7h4c3d 8h6c5d5c3c Qc9d8s5d3d Qs9c8c6d2c 
JhJd7s2h2c Qs9h8d6c2c Ad9h9c6s4s Th9c8c4s2c 
8c5d4c3s2s KcTh8s3d2c Ah8c7s6c3c 9h7c6h5s2h 
AcTd5h4h3h Td8c7h5s2c Qs7h5s3c2c Jh5s5h4s2s 
9s9c7h6d2d Qs9h7h3s2c KsTs7s3d3c JsJhJc9h8c 
KhTc8c4s4d Qh8h7c5h3s Th8d5h5c2s Jh9h8s5h2h 
Kh8s7h4c2d Jd7s6s6c2c Ac8c5c2h2d KsTc8c4d3c 
QdJd6d4s2h JsJc6c2h2d KhJs8c7d3d Ac8h8c6c2c 
QcJs5h4h2h Ts9s7d5h2s Js7h7c6d3s Ks9s4d3c2d 
Qc7h5h3d2c AcTh9h4h2s Qc9c8s7c2h Qd9s5h4s4c 
7d7c4c3h2h Qh8h4d4c2c Qd8h7s7c4s QdTd5s5d3d 
KhJd5s4c2s As8c7d6d3d Kc9d8h7d3s Qc9s8h7h4h 
Th8d6h4h2s AcKs9s4d2s 9s8d4s4d2d Qd9d8s3d2s 
9h8c4s2h2c Js9d3s3d2c KcJd6c3s3c QhJh6h4d2s 
Qh5s4h2s2h 9c8d7c4s3h Jh9c7h3h2c QcTh9d3s2s 
Qs9d5s5c3s Kd8c7d5d2s KcTd8h4h2s AcQh8c3c2s 
8h7d5d3h2h 8d6d4c3c2c 8s6h4c3c2s Jd7s5h2s2d 
Qh6s6h5c3h KdQd6d6c3d Qs9c6h6d3h 8h7s5s2d2c 
7s7d5c4h2s Ah9d8c6d2s Kc9h5c4s2d KdJh8d5d2d 
Qh7s7h4c2c Th8c6c5d2c Td8d7d5c2s Td6c5c4s3h 
Jd9s4d3s2d Ks7d7c4h4d Qc6s5d4h3s Kc8c7d5h2c 
Td8s6c4c3h AcQd8h4s3h KdTh6c4h2s Ts6d5s3d2d 
9c8s4s4c2s Th9c5c3s3d AcTh5s5h3h Qd9c7d5s2h 
8c6d4d3c2h 8h7c5c3s3c Ah8d3h2h2d KcQh4c3c2d 
Qs9h8s8c3s KdTc9h2s2h Kd8h7d3c2c KhQc8c7c3s 
KcJs7s3d2d Th9s4d3h3c Td8s8h4c2h Qc6s6h4s2h 
Tc9h5d3s3d 9s8s8h7c2s Qd6h6d3c2h KcTd7s6d2d 
Qc7d5c4s4c KsJd8h7h3h Td9d5s3h3d Qd9s9h3s3c 
Qh9c7c3h2d Ah8d6d5c3d Jh7s7d6c3h QhJs4c3h2d 
Ac9d8d7d2d QcTs4s3h3d 6d6c5h3s2c Qs9s8h7s2d 
Jc9s7c3h3d Qs8s4d4c2d Qs8s5d4c3s Ks6s5s3h3c 
Jc7d5d4h4d Th6s6h2s2h JdJc8h4h2s Tc8c7d3s2s 
8d7d7c4s3d KcJh8c4c2s 9d8c7c3d2c Js9d8s7s2s 
KdQs6s6h2c Td7h6s4h3h Qh8s8h6d2h 6s5h4c3c2d 
Td8h6d4d2s Td7s5c4c3c Tc8s5h5c2d AsJh8d4c2c 
AcTh7d5d2s Kc9d8s6d3d Tc6d6c3d2h 8d6d5s2h2c 
AsTc5h5d3d QcThTdTc8d QhQd9c4c2c Jd7h6d4s4c 
Jc9c8s7c2c QhQd7s5s2s Td7h5h2d2c Jc9c7s5h2c 
Qd9c8c3s2s Kd8s7d5d3d Ad9s7s4s4c Tc9d6s6h2h 
7d6h6d3h2h Ah9c8d6c2s AcQd9s4s3s Ts9h8c3h2d 
