Ac8h8d6s6d 
JhTs4s4d2h QcJcTc5s5h JcThTc6s3c Tc9d7s6d2s 
Ks8s7c5d4s QhTh9d8h4c KhQd9s5c4d KdQd9c8h5d 
Ts9h5c4h4c Js9c5h4s3h Kc6h5d5c2h As8s8d2s2d 
8d8c7d6c2h Jc9s9d2s2d AsKhQd8d2c AhJh6h5s3d 
QhTd7s7c5h Qh9d5h5d4h QhJh8c7s2c QsJcTs4s2d 
9h8s6d4h4d Ad9d7d7c4h AdKc7c6s3c AcQs9d4c2h 
KhQcTh9h5h QcJh8c3d2h AsJs7c4h3s Ts9c6d5c2s 
8d8c5c4s2s QhQcJh8d3h QcJh8d7s5d Qh9d8s8d7d 
KhQdTs2h2c Jh9d6h6d4h Qc9c6h4d3d KdTsTd7d3h 
KcJs6d5h4s KcQc4s3s3c AsKh8c2h2c QdTs7d5c2s 
KdJc6d4d2c Kc9h9d6d3h AhJcTs7d2s JsTs5h4h2s 
KhJc7h6d3s 8s6h6d5s3d QdTdTc6d3s JdTs4d4c2c 
Jd9h6c5h2d As7h5d4h3d KcTd9h8h5s KcQs9h7d4c 
QsQc9c8c2h Ac9s8c7d2c Ts7c5s5h4c Qs7h6h4s3c 
QhQc8h6s3h Kh8h7d6s2d Qc8d7h6d5s KdTd6s3s3d 
KcTd9h7s2c Qs9c7c6s2d JhTd7d3h3d JdTh4s4h2d 
9d8d7d6c5d KdKcTs3h2h AcTc7c5h5c 8h7c5h4c3d 
Kc9s7s5c2s KhJh8s6h3s QhJdJc8h4h Qc7s6s6h3c 
QdJc8c5c4h QdJh8h8c5s Td8h6c5h3c AcJc7c6s2s 
KsTs7c3h3c Qh7h7d6s3d Tc8h8d7s6s KhKc8s5d3d 
QsQh8d5s2c 8s5h5d3s3d Kh8h7c5s4h 8h7s5c4c3s 
Qh9s6h4d3d ThTc6s4d4c Ts9c5s5c4s KhJs9d7s2d 
AdQd7s6d4d Th8d7d6d5s Jc7d5c4s4d KdQc7c5c4h 
QhJhTc4h2s AcQh8d7c3c Ac8c6s3s2h JhTc8s3c2h 
QcJh6d5c3c Jh9d6s5h2d Jd9s8s8d3d Jc9s6s6h4h 
Qd9s7h6c5c KsQh9d7c4s Ad8c5d3c2c Th9s6s3h3c 
JdTs9h7c3c QhTc9h8s3h KhQd7s7h5h QhTh9h8c5h 
QcTd7s4d3s KcJdTc4h4c Qc7s6d4s3c QdQcJd8h2d 
JsTs9s6d5s 8s8d5c4c3d Kc8c7h5d4c Qc7s6h5c4d 
AsTh8c6s2s 9c7d6h4h3d AcQd9s3s3d 7h7c6h6d3s 
QcTc9c7s4d QsTh6d5c4c 9d8h7c6h2c JsTh9d7c3c 
KhTs9h5h4d Kc9s5c4s2h AdKs7d5d2h Js9s5h5c3c 
QcJhTd3s2c AdJd9h4d3c KdQhTd9d5d AcTs8h6c2c 
Kh8h7c6s2c KsKd8c6h2c Jc8d7d6s3c 8s7c6d4c3d 
AdKc8d5s2d JhTh6s6h5c 9s8h8c6h2c 9d6d5s4c3c 
QhJd8d8c2c Ts7d5s5h4d QcJh4h2d2c AsQs7c3c2h 
TsTd9h6d3c JhTc4h4d2d Kh8c6c4h2s 7s7d5h5c4h 
Th9c5d4h3d Jd9s8h6s5s KsQh7s7c4d Ad7d6c3h2h 
9d9c6h5s4c AdQd7c3c2c JsTh8s8d4s Kd9s9d7d6d 
7s7h6h5d2s AcQsJs5s2h As6c4c3d2s ThTd7s6c4s 
QsQd8d6c3d Ac9s9h5c2d QsQd8s6c3s KsJcTs5h2s 
KsKh6h3c2h Ah8s5s3h2s KcJc9h6d3s JhTh6s4c2s 
JsTh7d6s2d JhJd7d4c2h KdTh8d6s3c Qd7s5c4d3s 
Th9s5h4s3c QdJs9s9h6s JdTd9s8h4d QhJcTh4h2s 
Ac6d4c2h2d AhKdQd5d2d JsTd7h4h2s KcTd9s7h2c 
Td9h6h6c2d Kc9d8s8h7h KdJh8c5h3c 8c7h7d6s5h 
KcJsTh6s3d Qc8s6d6c3s AhTd8c3h2s 9s7d7c5h5c 
QcJh8s8h5d 9h7c6d4c3d Ks8c7d7c4d Td9s9c5s5h 
Qc9h9c5h2h Qc7s6h4s3c Jd8s7d6d5h AhKdJs4d2d 
Td7d5s4s3h AsQh8c7c4d Ac7s7c6s2c Ks9c8h6d4s 
KdQc8s5s2c Ts9s8h4d3d JhJc7h4c2s KsJd6s5s5h 
KcJs8d6s5s Qd9c5h5c3d KhTd9h5s4h Td9h8d4c3c 
8s7h7d6c5h 8s8c7s4d3c QcTd9s8d2h AsKs9h7s2c 
Ah8h7d3c2d KcJhTc5s2c Qh9s9d8d4s 8s7h6h6c3c 
AhJdJc7c3c 9s9c8s6s2c Jc9d8h6h3d KsTs8s8c2c 
Qc9d9c4d3d AhQc8d5d4s Ks8d6c4c3s Qc8s8d4d4c 
Jd9d8h8c6s KsJd8d5h2h QcTd9c8h4c KsTh9c7h3d 
9d7h5s4d3s AdJc8h6c4s Qh8d7c5d3h Qc8s8h5c3h 
KdJd9d6s5d Kc8s7d7c3s QdJs9h4s4h KhTs6h6d5h 
Ac8s6d3c2d Td9s8s5c2c AdJh8s5s4s Jh9c6h6d3c 
Qd8c7h6c5s JsJh7c6h4h 9h8s7s7d4h Jh8d6s5h3d 
AdJd5s5d2s KsQdTh2s2c QsJsTs7c3d Kd9s9h4s4d 
QsJc8s3d2c Qs9d8h7h4d ThTc7s6c2h AhKs8h5c2h 
QsJhJd8s4s Ks9c8c6s2s Js7h5s4h4c QhJd6s5d3c 
AdQc8d6d3h Qh8d8c5d3h Jc8s8h6c5d Qh9s6d6c5h 
KcJhJc4d3c KhQs7h7c5h AcQdJd6d3h AcQc7s7c2s 
AsTs8s5s5h KhTd6s3d2h KdTh8s5d4d KhJs3s3h2d 
Js8h7s6c3h 9c8s7s7c2h KhKd6s4c2c AsJsJc8s2s 
Qc8h7d6h5s AsTd3d2s2d JhTh9h6s5h 9h7d6h4d3s 
AsJdJc5c3c Td7d5c4s3s Kc8s6h6c3s KhJd9h5c4h 
AhTh5h5d4c QhJd7s6h4c KsKc9s9h9d AhJc7d4h3h 
QdQc9h5h3h QcTh7h4d2c Ah9h5h4s3s QcJh5h3h2c 
Jh9c5d4h3d KsTd6s4s2d Qs9h6s4c3c Kc9s7s5d3d 
AcQdTs7d2h QcJs9c8d2h 8s6s6h5d2h Js9d8h8d3h 
QsJc8s4s4c QcJcTd4c2s QhTh9d8s3h QdJh5h5d2h 
AsTs7c2s2c Qs9c5d5c3s AhJs8c6s4d Ac7s6d4s4d 
AcJdTh4h2s Qd9c6d5h4s Qc7h6h4c3d 9h9d6c5h3s 
Tc8d7d7c3s QhJc7s7h6h QdTc8d3c2h AdKsQs4s2s 
8s8c5h4h3s As7s6c3h2h AdQd6c5d4d Kc9d9c8d3c 
Jc9c8d7c5c Qh9s8h6h2s Jh8c6d5c2h KhJhTc7h2s 
Kd9c6c3s3d Ah6s6d4h3c KdJdTd5s5h Qd9c8h7c2d 
AcQc9c7c5c Jh9c8d8c3d AdJd9d6c5d AcJh9s8d4d 
9h8s7h6d6c QhTh9s8h5h Kh5h5c2s2c KhQc9d7c5c 
QsTc9h6h3d KdKc6d3d2h AcQhJd4s2d KsKh4s3s2s 
AhQc6s6c5c Ad7d4h4d3h Td8h8c5d2c AcKdJd9d2d 
Td9h6s6h2d TsTh8h7h4c Ks9c7c5d3d Qs9d9c6c5h 
KdJd8h6h3d AdJs8h8c4c Qh7d6d4h3s As6c4c3h2s 
AsQh7d6s2c AhJsJc8s2d JdTh8s3h2d AdQd7h3h2h 
JcTh9s6d4d Kc9h5s3s3c AsJd7h4s3s QdTc7s7h5d 
Qd9s8c7s4c 9h8h7d6s2d KdQh7c6s4c 9h9d8d6d2h 
9h7s6s5h2c QhJd7d6h2s QsQd7c2s2c QsJsJh8c2d 
KhTd9h8h4s 8h8c7s5h2c Qh9s6s5h2s 9d8s7s7h4d 
Ad9s9h4d4c KcJc4s3d2s KhQsQh5h2h Tc7c5s4s4h 
Th9d5s4s3h KsQdQc9h4h KsJs9c6s5s 8h8c6d5d4d 
As8c5s4c2s Ks8c7s4c3d QcTc9s7c4h JhTd6d5s2s 
8h6h6d5s2d KsJh9s9c3d QcJhJc8s2d TsTc4s4d3d 
AsKhJs6d2s Ts8s6c5d2d AhJh9s4h3d KsKd7s4s2c 
AhTs9d8s3s JcTs9d8c2c 9s7d5c4s4d Ac5s3h2h2c 
KhTh7s7h4c Tc9c6d5d2s Kc9s9h6h3s JsTh9d5c3c 
As9h7h6c5h AcKdQc3c2c KdTs6h4d3c 9s9c6d5s3h 
KsJsTd5h2s QsQc9c8c2d JcTd7h7c2d Kc9d7d5h3h 
QhQd5c4s2d QhJh9h6h5s AhQd7h2h2d As8h7d3s3c 
8c6s5s4d2d Td7d5c4c3h Ah9s8h7d2h KsKc6s3s2d 
8h8d7h4c3c As8d7s3c2c Qc9c8c7h6c Qc9s9c8s2c 
AsKcJc6d2h QcJc6s5c4c KsJhTs5c2s Qh9s8c7c4s 
KdTd8h4h3d KdJs5d3s2s QcTs6s5s4h KcJsTc4d4c 
AcQd7d6s4d 9h9c8h7d2d Ah8h6s3s2c QcTs6h5d4d 
Tc6s5d5c4d QsJh8h5h4d 8s6h5s4h2s As7s5d4h3s 
KcJs8d5h4s KcQh7h5h4s QhQcJc9c4c KdQsTc8h4h 
KdJc9d4d4c Jc8c7s5s3s QsTh9s5d3s JsJc9h6c3d 
Ah8c7h4s4h KhJsTc6s3d 8h5d5c3h3c QhTs9c7d4s 
AcQc5h3s2d QhQd5s4c2h Jh8h7c5c2s QsJsJc8d2h 
Jd8h8d5c2h JsJh9d6c3h KsJsJd3c2h Qc7h6d4h3c 
Kd7h7c4d3c 9h7s6d4d3s TsTd5s4d3s AhJd9d8c2s 
QhTc7d4d3c Qd9s8s7h4h JhTc9s8h2h Kh9s6d6c5h 
QhTd5h3d2c QcTs9d8s2h AhJsTs2s2c 9h7h6s4d3d 
KdJdJc3h2s AsTh8c7h3d QsJd6s4d2s QhTc7d5h4h 
QhQdJh8c2h AdQh9h6s4c JdTc4s4d2s AcKh8s8h4h 
AdQh8d6d3s QdTh8h7s4h 9c7c6s4d3d KcJd7c5h5c 
Qh9s5h4d3d Td7d5h4h3s AhKc7c6s3c Ts7h5s4h3s 
Ad8d7s3c2s QsJdTc6s2h Kh8h5c4d2d AsTc7s4d3s 
QdTd5s4h3c KhJc6h4s2s Th8h6d5d2c AsJh5d3h3d 
QsTs9s8h5s Js7h6s6h4h 9s9d6c5h4s Qs6s5c4c3s 
KcJh9d9c3s KdJc9c5h4s AsQd9d6c4h AhTs5c4d2h 
KdQdJc4d2s Tc9s8c5s2c AdKc8h6d2d Ts7s5h4c3c 
QdJsTh7c3h Qs9s8s7s6h AhQs9s7c4d Jd9c7h6s6d 
AcJs8h8d4h AdTd8h5d2s Js9c6d5c2s QcThTc6c3s 
KcJsJc4d3c JcTd9c8h4c Ts9c5c4s4d Jc9h8h8c3c 
KhTd9h9c4h AdJh5s3s3h 7s7c6s6h3d Ad9h6c4s4d 
KdQc6d5h3d KdJh9c7d4d 9h9d8h7c2c JsJc9s8d2h 
Jh8d6s5d2h AdQc8s5s4h Ad9d5s2s2h QsJsTs5h5d 
Kd9s9d8d4s KcTc7s7c4h Td8d7c6s6d Ad9s9c3d2c 
JcTd7h4h2c Qc9s8s8c4s KdJhTd4s4d JsTh9h8c4h 
Qh8s7d6s5c Tc8s7s6s5d AcQc8d6c4c KcJh8d6h5h 
AdTc4d4c2d QsQc7c3h2s QdJh7d4c3c 9d9c7h6d2h 
9c7h5d4h4c Qc9d6d5c2d KdJd8s4h2s KhTd8d3h2s 
AdQhTc6h2s As8s7c3h2c AsTd9h8d3d AsQh8c7s3s 
QdJd8c7h4s 9c7s6s5h4d AsQhTh6c2d Tc8s7c5d3s 
6h6c4h4d3c Ad8h8d3s3c QsJd8s7s3d Ad9s7s6d2d 
Td9d8s5s2d Ad9d7h7d4s KdTd8s6h3c Ad9s8c4d3h 
KhKc7s5d2s QsTs9s7c4d QhTh7s6d3c AcTd9h5d2h 
Td8d6h5c2c Ts8h7d6d5d Ah9d9c5h2s AhJs9d6c5d 
QdTh5d3h2s KsQsTs9d4s 9d8d6c5h4s AhJh8h5h5c 
JsTh9c5d3d Qs9s6s6c4c 9h8c5c4s4h Qh9s9d6d5c 
9d8h8d7s6d KdTsTd6h2c JdTh9h8h3c Qs9c8c7h5d 
KcQd5h5d2h Tc9s5c4s3h Tc8c6s5s2h AcTs9h9d4s 
Js9h8h7c2c Ks8s5c4d2d 9c6s6c5c4s Kh7d6h5c3s 
KhJs8d5c4s JsTd5h2s2d AdJsJd7d3d JhTh9s6c3h 
AhJh7h6h4c 8s8c5h5d4c KdJs9s5c4h ThTc8d7d4s 
KcQs7s5s4h 7h7d6d5d4c As8h8c6d6c KcTs9d4s4d 
Jh9d8d6d5c Qh9s5h4c3c KsTs7h6s4s Jd7s7c4s4c 
Js8s8c6h5d KsTh8h3s2d 8d5h5c3h3d Jh8h7c6c3s 
Qs9c8s5s5c Jc9s8h6h3s AdJsJc5s3s KsJs7s6d6c 
KsQc7c5c4d As6d6c3d2s QhQd7c2d2c 8h7h7c5d2c 
KsQd8s6s6c Qh7h6c5c3h Ac7c4d4c3d 8d6d6c5h2c 
JdTd5h5d4s KcQsJs5s2d QcJsTs3d2h Ks9h8s5s5h 
Qh7d5s4h3d AhJc7d5d4d Ah9h7s7h4c QdJd8s6d2s 
Js8c7s6h3c Tc8d7s6c2s Ad9c7s7c5h AsJdTc4c2h 
QsTd9s9h3s 9d8s8h6d2s AdTd8s4d3h Jc9d8d6d5s 
JhTc7d6h3s Js9c8c7s3s KcQs8s5h2h Js8s8h6d5c 
QhTh5s4c3d KdJdTc7d2s AhKd7d6c3d Qd8c6s6d3c 
8s5s5d3h3d KhJd7s7c5d 8h8d7d4s3h Kc9s9c6d4h 
KdJc9c5s4h Qs6h5d4h2s Th8c6s5s2h Kc9d8s8c5h 
9h9d7s6d4c AdQs9c3s3c Jd8d7c6s3s QhTh9d6s2c 
6s6c4d4c3s Ac7s6s3d2c KsKc4c3c2c Jh9h5s5d3s 
QdQcJc8s2c 9c8s8d5s2c 9c8c6s5h4d KdTd5s4c3h 
Qh9d7d5c3c 9d8c7h5d4s KhTh8c3s3c JsJd9c6d3h 
Ks9h9d6d3h Jh9s9c2s2c As9s5h5c4d AdJhTc4h2s 
As9h8d5h3d Js8s6c5h2c Qh7d6s5h4c KhTh6d6c2c 
Qd9c5d4h3c Js8c6h5h2s KcQs8d2s2c Th8s6c5c2h 
JsJd9c6h3d Kd9s7s5h3h Qc8s6c5s2s KcTh9d8d5s 
AsJh9h8c2d KcJd9c5h4c AcJdTh4d2s AhTs8h4d3h 
Ks8s7c5h4s KhQhTsTh3h Ac9s7s6c2c KhQsJs7s4c 
JhTc6d5s5h KdTh8s6c4s AcTc5s5c4h 9c7s7c5h5d 
Ac7d6c3d2s AsKcTh5c2c QhJh6c4c2c Ad8d6h3h2c 
KhKcTs3d2d Qs9h9d8h4d QcTd8d5s4d AhKd5s4s4c 
Qs7s5h4c3h Jd9c8h6c5c 9s9c7s5c2s Tc9h8c6s6d 
JsJd7s5c2c 8s8h7s4c3h TsTd9d8h5d AsQhTh7c2d 
Qs9d8s8d4d KsJc7c6s2s QhTd9d3c2c KsTs7s7h4c 
8c7d5h4h3c Ad6s4d2s2h Jh9d6c5h2d JhJd7d5h2h 
JcTsTc8c2h KsKhKdJh7s Tc8c6d5d2h Td9s6s3d3c 
KhTd7s7d5c Jc9h8s8h3s AcJs7s7h6s AsTd8c6h4h 
KcTd6h3d2c QdTd9h9c2s Kh8c5h4d3c KcJd8h5s4d 
AhQs8d5d4c Jd8d8c5c3c KsQdJd9h3d Ad9h7d6d2h 
AcTsTd3h3d Js8c7c6h3s Qs7h6c5s4d Kc9s9h5h3s 
8c6s5s4h2h Jd9s9d7h2s JdJcTd8s2d As9d9c7d6d 
KhTs8s7s5c JsJd9c6s3h AcJd7h6h5h 8s6s6d5h2d 
9c7d5h4c3h QdTh9s6c2d TdTc9h6d3s Qh9c8d6d5d 
QhTh9h6d4h KhQs8s5c2c Jc9d6s5c2d QsTh7d4h3d 
QcJh7s6d5s AcKd8s8d4d Qh9s8s8h4s AdQsJc8c3c 
KhQc8c6d4s 9h9c7s6c4d Ah8s7h3c2c QcTc5s4d3h 
KdJdTh7d2s AdJsTd7d2d QdTs8s7c4s Kh8s7h4s3c 
QhJdTs3c2h QsJh9d8s2c TdTc7s7h4s Ac8s6s4c2c 
Tc9s9d6c5c KcTc7s6c4c KcTh8d5d3h AdQhTs6h2c 
Ks9d7s6s6c 9s8d7h7c6c Js8s8d7d2c Js9s5d5c3c 
AdKdJd8h3d KcJs8c4c3s KhTsTc6h3h Th9h8s5s2h 
Ks6s5h5c2h QdQc4s4h2c AsKh4s2d2c 8s8d7c5d2c 
KsJd8c5d3c QhJs7d6h4c QsTd9c5h4d 9s8d8c5d2s 
QcJhJd7d4d Js8h7s5h3s Ks9s8s7c3c Td9d6h5c4s 
QcJd7h5c4c KdQhQc9s4s KcQd9s4c2s TsTd9s4s4h 
AcJh5d4c3c JhTd4s4h2s JhTd6c5d2c Kd9d7c6s2s 
TsTh5h4c3c 9d6s5s5h3h Td9d5h4h3d Tc9d5h4h4d 
TdTc7s7c3h QsTs9d8h3s KsKd7c5h2c AcJc9d5c4c 
Qd9c8d8c3d AsJh9c8h4h Ah9c8h7s2h TsTh9h3d2d 
Tc8s6h5h2c Ah9d7d6s5d AsJc9d8h3c 7s7h6h5s2d 
QdJc7d5d4s ThTc8h7h4s Ks5h5d2s2d Kd8c7c4d3h 
Js9c7h5d4c Ad9h9c3d2c AdJc7d4d3h AdTs8d4c3d 
JsTs7s7c4d KsJd3s3d2c KsQh8h4s3h QhTh9h5c4d 
KhJhJc8d3s AsQc9d9c5c 7s7c6s5s4h Ks8c6s6c3h 
8s8h5d4h4c JhJcTc8d2c KhQc9d6h4h Th8s7c6h4h 
AdKdJd8c3d AhJhTh2s2h Jd9s8s8h3h Qc7h7c6d3h 
QhJc6d5h3h Qc8d7h6s4c KhTd9h5c4h KsJh9s9d3c 
KhJhJd3c2s KsQc8d8c6c KhJsJh4d3h JsTc6h5s2h 
AsTh8s4c3s JhJdTd8c2d ThTd4d3h3c QhJh6h6c5d 
KsTc6s6d5s Ks9h6h3s3c 8h8c6s5s4s QsTh7h6h6d 
QcJh8c7c6c Qs7d5c4c3s Jc9d9c7h2d AhQcJd6c3c 
TdTc9s5c4h 9s9h7h6c2s KhJd3h3d2s KcJd4s2d2c 
QsJhTd3c2s 9d9c7d5c2d KdTh9s4s4h Ad8d6h3h2s 
Jh7d5h4d4c AsJsJd8s3s 8h8d5h4c2c KsJs5s5d3d 
Th9c7d3h3c Ac8h7c4d4c JhJc6d4c2h Qh9d9c7d6d 
QsTc9d5h4c As9c7d6h5h Js9d8s8d3s JcTh8s8c4c 
QsJd7c6h5c 9s9h7c4s3c JcTh7s6c3d KcQd6c2h2d 
As8h5s4h2s KcQh8c6d6c Ad9s7d7c4d Th9c5d4d4c 
QhTs9h8d3h As7s5c3c2c 8s8d7c5s2d QdJhTc7c3s 
Kc7s7d4c3d JsTh9c8s2s QhJc7s6h4d 9h9d6s5d3c 
Js7d7c4d4c AdTh4s4d3c KcJs9d8h3c 8h8c7s5c2h 
Tc9d8c5d2c QhJh6s4s2s KcJcTh5d2c Jc8s6d5d2c 
Qc7d6d4s4c KcJc9s8h3d Th7h5c4d3d KsJd9s4s4d 
AhQs8h6h3c Qs9d8d7h5c 9h6s5s5d3d Ad9s7s7h5c 
AdQd6s5d4d KdThTd9d5d TsTc8c7c4h Qc7h6s6h3c 
KcQh6s5s4s QhJs8d7c5d Qh9s7s6h2c Qs9h8s7h3h 
KdTs7s7c5h KhTh7h7d4s KdKc9s9h9c 9h8c7c6c3h 
Jc9s7c4s4d KhKcQd8d2d AsQd7d6h4d Qh7s7h6s3c 
KcJsJh8d3c KdJh9c3d2c Td9s9h6c4h QhJd7h4s3s 
As8d5s3d2d QsJd9d6d5d KhTh6h5h4d Ks6d5c4h3s 
KdJd9c8s3h Js9d7d4s4h 8d7c6c4h3h KdQc8h8c6c 
QhTd6d5d4c Ks9d9c6d3c AdJc9h6s5h TsTd9h6s3c 
KdTh5h4d2d QdQcJd8h3d Kh8s6h6d3s 9h5s5d3s3h 
KhTd8d3h2c QcTd9h5h4s Ac6s4c2s2h Kd9d8s8h5c 
Td9c7d5h4s AhJh5s5h2s Jh9c7h4s4c Qs6s6c5h3h 
QsTh7c5s4s QsJh8d7c5d Qd7c6s4s4d AcQs8h8d2c 
Qc8h8d5d3c AsQsJh7c2s KdJs8h5s4c QdJh7c6d4s 
ThTd5h4s3s AdQd7h6s2c Kc7c5d4d3c KcQc6s6d2s 
KhQsQc9d4d Kh9d5h4d2s Js9c7s4h4c QcThTd4s4h 
AhJd7h4h3c 8h7s5s4s3h 7c6c4h3h3d KdJh8d6s6d 
Tc8d6s5c2s As9c8s7h2s KhTc8c5d3d Qd9d9c8c4d 
Qd8s8h5s3d KcJd8d4d2c Jd8h7d6s3h KdQsJs7h2h 
Ks8d7s4d3h KdQdJd5c3d JhTh6d4d2c Td9d9c3h2c 
9s7s6d4c3c Th8d7s6h2d KdQd5d4s3h JhTd9d8s4d 
AdTd6s4s2d JhJd8h7h4c Ts8s8h4c3c JhTs9d5d3d 
QcJhTs6c2d KcTs8c6d3h KhTs9c8c5d Ks8d7s7h3d 
AsKc8c7c2h TsTh9c5s5d 9d6d5s5c3c AdKdJd3s3d 
QcThTd9h4h QdJdTc7d3s KhJh9s6h6d 8c7d6d4s3s 
KsTsTc9s5s Ah9h7h7c4s AdTs5c4h2d KsQh9d6c4h 
JcTd9h8h3h Jc9h7s5d4c KdTs6d6c5d Kh8s6s4h2c 
Qd7h6h6c3d Td6c5h5d4h Js8h6d5h2s KhQcJc9d3c 
QsJcTh3d2s KdKc8c4s3c Kd8s6s4c2d QhTs9d8d4d 
Ac8h7c3d2d AcKc8c6s2d Qd7d6s4s3h KhKd9d5d2d 
KcJd9s6s2d Ah7h5c4s3h 8d6h6d5c3c KcTh9c5c4d 
9d6h6c3h3c KcJd9s7d2s QdJs8d7d6d KsTc9h7c3d 
KhKdJs7s2s AhJd7h7c2s Jh9h8s7h5h Ks9d8s8c5h 
KdTc8c6s6h Ac7c5h4s3c QhJdTs6h2c KdKc8d4h3d 
AcTh4d4c3s Jh8d6c5h3d JdTh6s5d2s AcJcTc7s2c 
AcQhTh5d2h ThTc6d4s4h AdTh9s5h2s Qs8c7h6c5d 
QhQd8s5d2c JsTc9h8h3h Ah6d6c3c2h Js9c8h6c5c 
9h8s8c6h2s JsJc9d5h4d 9d7s6c4c3s KsQhJh5h2d 
JhTd8s8h4h Tc9h5d4h4d AhKcJh6s2h As9d6d4s3s 
Js8d8c5s5h 9d8d7s6h2s Ad7c4c2s2d Qd7h6h4d4c 
JhJc5c4s2s JhTd9c8c3c JsJd9h6c3d AhTh4s3c2c 
Kd7d5s4s3d 9h9c6s5s3d Ks8h5h4h3s QcTs9c8h4c 
KsJc5s3d2d KsQsTs9h4s AsJhTs7s2s 9h9d6c5s4h 
AcTc7s7d2h Th9s7h5c4d KcJc4s3h2s JcTh9s8s3s 
Jd9c7s4c3d AdTh5c4s2d AsKdTc5d2d AdQsJs6s3h 
QhTc5c3s2h JhTd4s4h2d Jd8s6d5s2h QhJs8d5d4c 
Qc9h8s7c2h QsJd7s4h3h 9h6h5d5c3c Tc8s8h6d5c 
JhJd7c6d4d KsQsTs6s6h QsTh9s9c3s JsJdTd3h2c 
9s8d7c5s4h AhKsJs7c2s Js9d7s4h4d Kd8s6d5c4d 
KhQhJh9d2s 9d9c7h4c3h 9c8c7c6c5s Ks8d6d4h2s 
QsQd9d8d2h KhJc8d6c5c QdTh8s3s3d AdJcTh4c2s 
QsQd9h5c3c Qc8d6h6c3d AcJh8s5s4s Ad9s8d7c2d 
AdJd7h4c3d Ad9d7h6d3c KcJs8h5s3h 8c6s6d3s3c 
Kh9s8d8c7d QsTh7s5s4c Tc9d7c5h4s KdQcJc5s5h 
9s7s5c4d4c JcTsTc9c4c Qs9d5s4h4d KhJs4s3h2d 
KdQh7d7c4s 7c6d5d3s3c Tc9c8c6s2s Ad9c7d3c2c 
TsTd7h6c4h AsJs9h4s3c Kd9h9d4h3s AcTd8h3c2s 
8h8d6c4s4d KhTh7s7c2c Ks9d8s7d3s 7h7d5h5d2h 
KsTh8h3s2c AsQhJd6h3h KcQd8d5s2s Ac8c7d3h2d 
AcQc7d6h2s Tc9h8c7d5c 9h8d5d4s4h AdTs8c3d2h 
Jc9d8c7d2c AhTd9s7c3s KdJd8h4s2h KcJc8s4h2h 
Qd7c5s4s3d TsTc9d5s4h JsJh9h8d2c Ks8s6s5h4d 
Qs9s8s7s6c QsJc6d5h3c Ks8h6s6h3d AdQd5c3s2h 
8s8h5c4c3s Qc9d8h8d7d AsQs7d4h3s QcJs8c7c6c 
Ad9c8s7d3d KhQc9s7d4h Th8d7c6h4h KhTh8s6d3c 
Qd9s7d7c4s AhTc9s5s2c Ts9h8s4d3d Td9d6c5h4s 
Jc9h8h7h5s AcQc4c3s2s TsTh6d6c5c Jc8c6h5s2h 
KsQsJs9c2d QcTs9s3d2d KdQsJc8c4h KsJsJd8h3c 
AhKc5s4s4d KcJd9h8s3c JsTsTh8s4s 8s6s6c5d3d 
QdTh9s6s3c AhKd8h5s2h Td9d5h4s3h Th9d9c6h5h 
Jc8d5s4s3c AdKd9h7d2s QdJs7d7c6d ThTc9d5s5h 
As9c8h5c3h AsTd8h6c4c Jd8h8d7h2s 8h8c5d4d3h 
KhJc9c5d4s KsJs8c4h2c AcQdJh2s2h AcJcTc4h2c 
JdTd7d7c4h AsTd9c8c2h AcQc6c5c4h KsTc8d7c5c 
KcTs9d8d5h Th8c7h5d3c Ad9h5d3c2c 9s8h8c6c5c 
Kd8h7s4h3d 9s6s5h5c3c Qs9s9c8c2s KdTh9d8d2s 
QdTh9c8c4c Ac9s9d3c2s AcQh7c6s2d AsKh5d4d4c 
As9s7s7h4c QhTc7c6c2h Ks8h8d7c5s 9h9c7d6c2d 
QhQc7h7d3s AsQc8s6s3h QcJs7s6c2h Jd8h7d5s2s 
AsJc9h6d5h AhKh9d7h2s Kd9s5c3d3c Qs9s6s6h4h 
Kd9s9h6s3h 8s8h7c6d4h JsJc9h7d3c KsJs8c4d2c 
QsJh8h8d5c Ts9d9c6h4c AhQh4h3s2s Ts9s9c3h2c 
KcTc5s4h3d 9s7s5c4h4c KdTh7c4s4d Jc8c7c6h5d 
Qc9h8h5c3c AsKs6s6h4s Kd9c8s8h7s KcQcJc9d2h 
KsQc8h5h2c Qs7s6d4d3c 9d6c5s5c3s Qh8s8c5h3c 
QcJsJc8h2d 9d8c7s5d4h Ts8h8d5s2d JhJc8d7d4s 
AdTh6h6d2d AcQs7s6h4s Td9h5d4h3s 8s6h6c3s3c 
KsJs8h7s4c KdQdJd8s5d 9h8s8d5s2h AdTs8h6d2d 
Ah8d7h3c2c AdKs8s8h4s KsQdQc7h2s Td7h5d5c4h 
KcQdJd7d4h Ac9h6s4c2s JdTh8c3h2d Qc6h5c4h4c 
KcJc9h6c5c 7h7c5h5c2c Ac9s7d6h5h Ac6s4h3s2c 
JcTc6h4d2h Ad7c4c2h2d AhQs7s5s5c 6d6c4h4c3d 
KsTh9s9c4s Td7c5s5d4c JdTc5d4s3h TsTh9d5h5c 
TsTh4h3s3d QsJh8d5d4c Th9c8s7c5c AhTc9s5c4d 
KsQdJd5d2h Ah8s8c6d6c AcKd8d7d2h AsQhTd7h2c 
