QsJc8s5c3c 
Qc7d6c5d4d KcTs8h7c5d Qs8s8h7h5c JhJc9h8c4h 
AcKsJd4c3c Ks6h6c5c4s QdJcThTc6s Ac9h6c5h5c 
KdJs9d4s3c AcQdThTd4d KdQcJc7d2s Tc9s9c7d3s 
Tc8d6h5h4c Ac8c7h6s5c Ah8s7s3s3h KsJsJc5d3h 
KcTh8c5h4c JsJc9d7c6c AhQsTc4h3h KhKcJh7d2s 
JsJdTh9c6c Ac9s8d6h6c 8s8d7d6s4d AdKdTd8h2c 
AdTh6h4c2d Kh9s6c5h3s KsQc9s6d5h QsJhJc6c2s 
KdQc6h4h4d AcTh8s8c4c Qs9c7s7d5d ThTd9c7h4c 
As7d6c5s3h Ts8s8h6s4h JdTs6c5s3d AhKc6d5s2h 
JcThTc6h3c KsJhJdTc3h KcQhTd7c2d KcJs9c8s4s 
AsKh9h7h5d AsKhQc5h2d Ac8h5c4d3d Ac8c7h6d5c 
QhTd8c6d2h AhQcTs4h3h JhTh9s7c2s Jc8s6c5d4d 
KhKdJd7c3d AdJc7h6h4c AhKdQd5s2c As8d6s6d2h 
Ts9d7s6h3d AdJd9s3c2s AcQsTc7d3c QsJdTd9c3h 
JsJhTc8s4d KhKc8s7h3d AcJc9s3h2s AdThTc2s2d 
Kd8d7h7d6h JhTs9s4h2c QsQhTs9d3s KdJdTs6s2s 
JsTd8s7h7c Td9c7d6c3s QsTsTc7s7h KhQs7h6d3d 
AsQh9s6h2s JhJdTd8s4c Ac9h7d6c2h JhTh8s7s2c 
Kc9d8h8c5h Ad8h7s4h3d KdQdTsTd6h KhJs9d8c5h 
AhKhJc9h2s JcTh7c6s3h KcJh5d5c3h QsJsJd7s7h 
KdQsJh7s2d Jd9s9c5d5c KsJc8c7s3h JsJd9h6h4d 
AdJs9c5c4s QsJdTs6h4s QcTc9h9c7d Tc8s7c6c4s 
QsJsTh3s3h KcQc7d6c4d KsQcJcTd5c JhJd5h4s3d 
KdQh9h7h4d KsQcJc7h5d AcQc5d4d3c AdTs9h7d2c 
AdQcJc6h5c QsTd9c7d6h KdJc9s7c2d AcJc9h3s2h 
KcQd8s8d4c As7s7c6d4h 9s9c7s6c3h Tc8h8c6c4h 
AdTd9h6d5s AhKh9h7s4d AcQc5s5d2s AsKhQh8h8c 
JsJhTd8s5c KhKcQh8s4h JsJh9d6d4s AsJs8h5s2h 
Ac7s7c6h4d AhKd9d7d5c QdJdTh3s2s JhJdTd8c4s 
JsJhTh6h6d QhJc5d4d3h Ac6h5h4c2d As7d6s5d2h 
JdJcTh9s6h KcQcJc9s2s KsQh9s6c5d AdJc7d6d5h 
9d9c8s8c2s Ts9s8h7s6c AsKc7h7c6c Kc9h8c7d4d 
AdQhTs6s2h AcKcTc8d2h Ac6c5d4h2d As8h7s6h2h 
Kd9h7s6d3h As6d5d4s2c QcJc9d6h3d As8d7h4d3s 
Jh8d8c6c5h KhQs9s9c2h As9d5d4s3c 9h9d7h6d3c 
AhQcTh3s2d KcJs8s7c3d KhQdQc5h3h Ac9c8c6d4d 
KsKdTs6s3s JhTs7s4d3h Kh7s6h6c5s JsJd7s6d3c 
JcTd5d5c4c TsTd9s5d4d AsJd9s9h5s KhJdJc9s5h 
KsJh8s7h3c AcKcQc6d3s Kc9h7h7d6d QdJhJd3h2h 
KdQs5d5c3c Ah7h5s4d2d Qs9d9c5s5d JhTs8h5c2s 
KsKcTc7c3c Ah8h8c6d4s AsQh7c2s2h QhJs8s7h4s 
KhKcQd4s2d AcJh8s5c4c KcJhTc6c4s KhQdJs8c6d 
AcKhTs6h4h 9c8s7s7d6d AcKdJh8s4h QsTsTc7d3d 
AhKcQs9d3c AcQs6c4d2d AhTd8c5d5c Ah9h9c7h6d 
JsTc8h7h2s Ac9d5s5d3c KhQd7s7h6c AcTc5d4s2d 
QhJs6c5s3c AdJsTc5h4c QcJhTc6s4c Kh7d6s5h5d 
AhJh8s3s3d Kc9c6d5s3s AsQsJs6d5s AdKhQs9c3h 
KdJd5c4c3s KhQs8h8d4s KdKc8s5h2d As9d8s4d3h 
QhQcTc9s3c Ah9s7d6c4h QdJh9h8h2d AhTc7d5c4d 
AcJs5c4s3c Kc7s6d6c4d QdTd6h5c3h QcJc8d7h4d 
QhJh8c7c4s QdJc9c8d3d AcTs8h6c4c KcTsTh6d4c 
AdJd8h5d2h KsJd9c4s3d As9c8h2s2h KcQhTh7c2h 
Tc9d8d7h6d AsTh9c8h6d Ks9h7s6d3d KhKcTs5d3d 
Th8h8d7s5s KcJs9s8s4c Ad8d7s6h5d AdQh9s6d4c 
QhQc7d7c3d QsQc8c4d3s AsTh9c8c7c KdKcTc7s2c 
AcQcJc6s5c AsJsJh9d4s Kc9h6c5s3h AhJc9s9d8d 
KsKc9h4d3s KdTsTd5h4c KcQs7h7c6d KdKcQd4d2h 
QsJdTh5c3s KcJh9d4c3h AsQs9h6d5s QcTc6d5s3d 
JdTsTd6h3h QcTc6d5h3d QsJsTd7d2h KcQhJd5c3s 
AdQc5h4h4c AdQd9s6d5c AcQs9c3s2d QdTh8c6s5d 
JhJd8d5s2h KsJhTh9h6d KsQc9s7d4d KcQc7d6s3s 
AcTd7h7c5c AsQd6s6h4c QdTsTc9h6s QcJs9s8c3c 
KsQhQdJc2c Ah8s8c5s5c JhTs9d2s2h As9c5h5c3s 
AsKs9s6h3h QsQc8s4h2c KsJhTsTc6s AdTc9s8s6h 
KcQd8s6d2c AsKsJs5h5d AdQsTs9s3h Jh8c7s6s5c 
AsKh7d5d2h AsKd8h5c4d 9d8d7c6s6c AdJs9c8s2c 
Ad9c7d6s5d AdTs7c6d4d AdJcTsTc3c AsKc8h8d4s 
QsQd7c5s2d AcKd8h6d3h QdJhTc7s5d AdJh9h5c4c 
AdTs7s7h4h KsJsJc9s7s KsQh9s9d4h Kh9h9d7h5d 
AdJcTs7h4h KsTc9c7d6c QcJsTd9h2c KhJc8s7h3c 
QcJh8s6s4h AhKhJs4d3h QsQc8c5c2s KdQcTc7s5h 
AcQc7s6s3c Jc8s8h7c5s KdQd8h6s5c KsKcTc6c3c 
Ad8s7s3s3d QcTs8s5h3c AsQc5h4h4c KsJcTsTh6s 
Ad9d8s5h5c JhTh9d7h7c KsQdQcTd4d JcTh8d7d6d 
QhTh7s6s3c KdQdTc7d6d KdQc5d3d3c JcTd8c5h2d 
AsKh6d5c2s KsKcTs6s2h QsTsTh8c3c As9c6s6c4c 
KcQdJsJc5c KsQh6d5d2s AhQsJs8c6s KhKdTh7h3h 
QdJsTc8h5s KhJh9s6d5c As9d9c6d6c AsJcTh7h4h 
AcJhTd9d2s KsJhJc6d5h As8d5s4h2d AdKd9c6h3s 
KhJdTsTh4h As8c7d4c3s AsKhQc8c5c KsTh9d8h7h 
Td8s8h6d5s JsJhTc9h4d KdQhJs9s7s KcQs9s9h3c 
KsTdTc4s3d TsTd7s4h4d AdQdTd7d5h QcTs8c6s3s 
QhTs9d7s6c JcTd6c5h5d QhTd6d4h3c Qh9s9c6s5c 
AdKdQs9h3d QsJsTh4s2h QcJhTh9s3d AsQdTc6c2d 
KsJhTs9s5c AsQh5d4h4d KdTd8s7h7d AdKh3c2d2c 
Ad9s7c6h4d KhQsTc8c6c ThTc7h5d4d JcTc9c7s6h 
KcTs7s6c3c QcTd9d9c4c KdJh8c7s7d KcTdTc8s2s 
AsKcTc8c3d Ad7s4h4d3h JcTd8s7s6s Tc9h7c6h3s 
JsJhTh9d6h Kc9h7s6s3c AhTh5d4c2d JsTsTh4h2c 
AdKcTs8c2h AsKdTs8s2h AdTh6c5h2d Ts8h6d5d4s 
QsJc8h6c4h KhQd6c5c2h AhKsQc4h2h KsTc8c7h6d 
QdTh8s6s3d Qc8h7h6d5d AhJc9d5d4c QhQdJc9h6h 
AsKsJd9c2s JhTh9c7h3c QdTc9h7c6s JhJdTh6h6c 
KsJs7h5s5h Jd8s8d6s5d AsJs8c5s4h AdKs8c6s3c 
Ks9s9d7d3h Kc7d7c5h4h AhQdJs5c4c KsQs6c4h3h 
AcJdTsTd2d 9h9d6s5s4d KcQcTh8d5s KdTd7s5s5c 
QhJd8d7h4d As7h6d5s3c JsJd9s8d3s Tc9h8d7s6h 
KsTc6s6c4s QsJd9s6c2d Ad9h7h7c2d As7h4s4d3d 
QdJhJc6c2d QdThTd7c3c 9h7d7c5h5c KcTd9s8d7d 
QdJs9d9c4c Jd9s9d5c3s KdQc7s5d2c AcQc9s6d5c 
QdTh6d4h3s KhJs9h7h6c Ad9h5d5c3h 9d9c6s5s4c 
JsJh9d8s4d Jc8h7s6s5h KsQhQdTd4d KsJdTs9s5h 
ThTc9s7c4s Ks9h8s6h4d KdJh8c7h3d AdQcTsTh5s 
Ac9d9c5d2s AsKcJc8c4h JhJc8h7d6h JcTs6d4s4c 
KsQd6s4s4d AcQd7c6s2s KhKd9c4s3d AcKcJc3d2d 
AdJd9h3s2h JcTd7c6h3d JsTh8c7s3h JcTc9s7h7c 
AcKd9d8d6h KdTs8s7h6c AdKd7s5c2h AsAhAc9d4s 
KsQc6h4s4h Jd8d8c6s5c Th8h7s5s4c Jc8h7h7c5s 
AhKhJs9h2d KhQsQh8d2d Td8h7h5s4s KdQdTs7d6d 
Ts8h8c6s5h Ac9h9c8c3h KhKdQs9d3d QhJc6d5h3d 
KsTs9s8h8d KcJcTs7d4c AhJcTd5s4d AcQh8s6d5h 
Ah8h7c6h5d Ks9s8d6d4c KsQcTh9d4s 9s8s8h5h5c 
KhQh7c6h4c AsJsTs9s6d AhKs5h4d2c QsTs6c5d3c 
JhTc8h5h5c AdQh8c6s5h AcTh7c6d2d AhQdJc7d6d 
9h7h7c6d5c As8s7h6s5c Ad8d8c6h2h JdJc5d4h3c 
QdTc5d4s3c AdQdTc6h2s QcTsTh7c3s AhKcTh5s5h 
KsQhTs5s4c KsQcTh6c5c AcTh9c7c6c QhTs9s7s6c 
Js9s9h5c3h KdQs9s7s3d AcJc8d5c4s KsQh5s5d2h 
JhJd4s3h3d KsTc5c4s4c Td9h7h6d3c AcJsTc3d3c 
AdTd7d6h5s KdTs7c4c3d JhJd8s5h3d AsQc9s8s7s 
ThTc9c8s4h QdTs8h5d3s Kh9h9c7h5c KhQsJd9d7d 
AdTsTc8s6h KsJsTs9c5d AcJs7d6d4s AhTd4h3d3c 
QhTh9h5c4c AdJc9h5h4c AcTh9d7s6h As8h8d7d6h 
Ah9h9c7s2s AcKsQc7d3c Tc9s8d7h6s QhTc9c7c6s 
As9h5h5d4s Ac8h6h4c3s AsJhTs9s4s JsJhTd9s3c 
KdQh9c7c4d KdTsTh4d3h AhKhQd5h2c Qs9h8d7h7d 
Kh9c7d6h3c AsKdTs4h2c AdKd9d6s3s KhQhTd9h7h 
QhQc5s3h2c JcTc9d8s5h AcQs6d3s2c Qs8c7s7d6c 
KsQhTh7c5d QsQd8h5d3h QhJd9d8h3h Ac9h9c8c5s 
KhQcJd5h4h KsJs5d4d3h QsJsTs8h3h AhJcTh3h3d 
Js8d8c6d5s KsJsTd7h3c Tc9h8h7s6h AcKc7s5d3c 
KhTsTc4h3c KcQsTh5c4c AcTc7c6h5s ThTd6h5h4d 
TsTh9c3s3h AsKdTs8s2c Ad9h9d7s2s QsJs7h6h4d 
KcQh9d9c3h AdKsTd8d2c AhKdTh8s2h JsTh8h5s5h 
KsTd9d7c6d QdJd7c5c3h QsQc5d5c3h Tc9h8s7d6d 
Ad9h5s5d3h JdTs6d5s5c Td8h7d6d4h AdQh5h5d2d 
AsQd6s4h2h As8s7d5h5c AcQdTs6s2d Ah7s6c5h3d 
As9d7h7d2s AsKc8d5h4c KsJsJh8d3d KsKc9c5c3h 
QcTc7h6h3d QsJh8s5c2h AsQdTs3c2h QcJc6s6c5s 
Ts9h8s7h5s KsTs7s7d5d 9s7h6h5c4c KcTsTd4c3d 
KdJc9d7d6s AsQh9c6s4d 9h7s7h6c5s AhJs8h4s3h 
QcJh9h8c3c AdKh9h8h6c KsThTd4s3h QsJd9c7c4s 
KhTs6s6h3d KsKh9c6c3d Ac5c4s4d3d KdQcTh5d4d 
AhJdTh3s3h QdJhTh3d2d KhJhTc9h4s KcQs8c6h5d 
QhJh9h8s8c Jc9h8d6d6c QsJs8c7d4c JhTh7s4d3s 
KdKcQsQhQd AdQs7h5d4d AsKhTd6h4h AhQcTs6s2c 
AhKcQc8d8c AsKh9d6c3s KcQsJd5c4c QsQcJd2h2c 
AsJs8c5s4d Ah5d5c4h3d KhQcTs8s6s AsKs9c6d4h 
KsJd8h7s3d AsQhJd7c5c JhTs5s5c4c AsQc9d6s4h 
Ts9h8h7c6h As7s5d4c2c QsJdTd7h5c QsJh9h8h2s 
KcJs7s4h3c KsQhJh8h3s KdQs6s4c2d AcTh7s5h4s 
KdJd9c6s5h QsQh8s4d3h KhQsQh9d5h Ac7h7c6s6c 
Js8c6d5c4s Ah9c8h4s3c KhQc6h5d4s KcJcTh7d4c 
AsKh8c6h3c AcJc6h6c4h Ad7d6s5s3d Ah9c5s4h3c 
KdQdTd6s4h QcJh6s5c3s AcKcQd5c2s KhQhTsTc7h 
AcKd8s6d3s AhQc9h7h2c Ts9s9c7d3c Ac7h5h3h3c 
KdJd9s9h3h Ad9c6d6c3c As9d7c6h4s JdTs8d5h2s 
QsTd9d8d8c KsJdTsTc6s QhQd7c5h2d Qc9d7h7c5h 
9s9c6s6d4d KhTsTc6s3c Kc9s6c5h3s JcTd6s5d3c 
Qc8h6h6c5s KdJh9h8d4h Qs8d7h6s6h AsTd7h6s4s 
AdTh8d6s4d KdTdTc8s6d JhTd8h5c2d ThTc9c8d4h 
JdJcTh8c4s KhQcJcTc5s TdTc9d7c4c AsThTd2s2c 
AhTh9s7d2c JsJc9s4d3c KcJh8c6h4c QdQc5s3c2d 
Kc9h9c6h3s AdTs8h6d4d Tc7c6h5d4h AhTd7c6h4h 
Ac9h9c7c6s AsQhTs6c3s JcTc7h5h5d ThTd5h4d4c 
JcTsTc6d3d KhQhJs8s3s AhQhTh9h4s TsTh9h8c4s 
AsQd9c7s3h QdQcJh8c4s AhKh6s6d2s Ad9h5s4h3d 
KdQcJcTc5h Jc8c7s5d4d KsJs9c7h6s QcTd9d7d6s 
AhQh9s6h5c QcJdTs6s5h KsQdJcTd4d AsKs3h2h2c 
AsJc5h3c2s QdTh9s7d7c Ah5h4d4c3d AhTd8h5h2d 
As8c7s5h5d AdKc9c8h5c Ad9s7h6d4c KhKdQd8c4d 
AcKh8h6h5d QsJh8h8c7d KdQh9d7s4s As8h8c7c6h 
JdTsTc8h6h Jc8s7d6s6c JdTh8h7s7c AcJdTc3h3c 
AdKs8h7d2c AcQc9h6s5c QhQdTc8c5s Kh7d6h6c5d 
AsJs7s7d5h Jc9c7h7d5d QhTc7h6s3c QdJdJc7h7d 
KsKdJs7c3s Ac9d5h4c3d JsJdTc7c2s QhJc8c7h4c 
JhTc9s8s6d AhKc9c7c5d AcKcJc8c6d AhQsTd6d2s 
KdQsTh8h6h 9d8s7s7h6h KsKcQh9c3c Qc8d8c7d5s 
QsQh7s5d4c AhQh9c6s4d KcTd6d4h4c KsQh8c6s3h 
JhJcTh6s6h KcQhQc9d5c KsJd5c4s3c AdKd9h6c5d 
QhJs7s7d5d Ah7h7d6s4c KhThTd5s2d TsTh6s6h3d 
AdKdQd9d6s QhJc8s6s6c Ah9d8h6h5s AhTd8s6h4h 
KcTd8h7d4h KsKhJs4c2s AdKhTh6s6c AsKs9c6d5s 
QdQc9s9h5s JcTd8h7s6s QhJhTd7d2s Ah9h9d7s2s 
Kh7s6h6d4d KdJdTh7c3s KcQh9s4c3h AhKs5c4s4d 
AsKsTs6d5s KsJs9d7c6s Js8h8d7s5d QsQd8h5s3h 
KsJc8s7c3d Qd9h8c7h7c QhJc9s8d7s AdTd8s3s2h 
9h7d7c5h5d KdJcTd4s3h AhTd8d7s6d Ah9s5c4s3h 
QcTh8d5c3h AcQdJh7d4s JdTdTc4c2h Ad9d8s8d3s 
AsQsTh6d3s AcTs9h4c3d KsJh9s6c3c KdQcJc7s5h 
KcQd5s5c3s QsTsTc7h3h AsJs8h5s4c KhTs9s4s3h 
JsTd5d5c4c Td9c8s7d4c Ah7h7d6c4s KsJd9d6c2s 
KsJs9d7d4s 9h8s7s7d6d JsJc8h6d6c AhTs7d5h4h 
AsJh5d3s2h AcKc7d5h2s QsJd8h7s6c JsJcTh8c5d 
JsJh8h5c2s KdQh9d9c4h JsTdTc9s7s KsJh9s7c2h 
Jd7c6c5d4h JhJd9s4h3d AcKc3h2h2d Ah8c7s4h3s 
JhTc8s7d6d Td8c7d5c4h AhKh9d6h3d QsThTc7s3h 
KdTh8s7s3d JsThTc7h5d AdJsTh5h4h Ah8s5s5h4h 
QsJh8s5h5c AcTs7h7c5c AsKsTh6s3c KhQdJc9c7c 
KdQh6d4d3h QsQh8s5d5c KhKd9h8h5h AhQsJc7c2s 
KsKcJd8h4d JdThTd6c5s JcTd7c6s3d AsQd9d8h7d 
QhJd9d8s8c 8s8h7d6s4d JhTh8d7c2d Ad8c6c5c2d 
KcQh8h8d4c 9h9c7c6s3h Th9d7d6c3h JhJdTc9d3s 
7s7c5s5c4h AsKsTd8h2s QdJdTs6h5d KdJd9h8d8c 
AdJsTh9h2c AdTd9s6d5c Ks9d8s8c5c Js9c8d6s6d 
Kc7s6d5d5c KsTh6s6h3d KhQs5h5d2s JcTd5h5d4h 
QhJd8s8d7c Js8h8c6c5s AdQhJc5s3h KdQcJhTc2c 
ThTc6d5c4d AcQcTh6d3c KcJh7h4s3c AhQsTs5s4c 
KdJc7d7c4c KsJd8d5s2h 9d8d7c6h6c Jd8s8c7d5s 
KsKh9d4c3s JdTs9c5d5c QhTh6s5c3s AhKd9d9c2c 
QhJh8c6h6c KdTc7d6c3d AhJs9d9c8s 8h8d7c6h4c 
QsQd8s4c3d KsKhJd4h2h KcQsJsTh5s 9s8s7d7c6d 
JsJhTc5d4c Kc7d6h5d5c AdQd9d7c3c AcQd5c4s4h 
AcQhJd5s4s AcJd9h7d4h JsTd9h7h2s AcTh6h4d2c 
AcKc9s6d4h JsJd9d7c4c AhQh7d6h4s AsQcTc9c3h 
KhJh9d8h8c AdKcTs5h3c QsJsTc4c2s QsJcTh9c5d 
AcTh9s8s7s QsJhJd6d2s KsQd9s9c3d KcTc8s7d7c 
AcTc5s4d2s KcQhQd6s3c JdThTc9d7d 9s7s7h6c5h 
JcTh9c7d5s KsQh9d7d4s QhTs8c6c3h QcJsTd7h6h 
QcTs9h7s6d QdJc9d6h2c AsJcTc9c6h KsQdJd6s2s 
Js9c8s6h6c AdKs9c6h4d AhTs7h7c5h As8s7h6d5s 
AcQhJs7d5d AdTc8c7h6c KsKhQh4h2c KdKcTc6c2s 
QhTd9d9c4c AsQs5h3d2h Tc9h7s6h4s AsQd5s4h4c 
AcTd7s6c4c KdQsTdTc2h Ac9s8h6d6c KcJh9s8c4s 
AdJh6c5s5d KcQhQd2s2h Ac8s7h4c3h AhKs5d4s4c 
AcQcTh9c5c JdJc9s4d3c QhQdJc4d3s JsTs7c4h3c 
JhTs7h5s5h KdTdTc5c2s KdQsQc2h2c QsJc8c6h4h 
KdQsJc7c6h Qc9h9c8h5h KsJh9d5s5d KcJc7d5d5c 
JsTs9s9d3d AcQcTc7c5s QsJhThTc6d QcJd8s8d7h 
KsQcTh5s3d KhQs7h4s4c AhQcJc8s6c JhTd9d8d2h 
KdQcJdTh2d Kh7s6c5s5h AcJh9h8h7d Js8s8c6c5s 
KdTh6h4h4d Th9s8d7h4s JhTc8s7s6s AsKd9d7d5h 
AcTs9d8d6h AhKcQd4h2h AhQhQd6h4h Qs9h9d6d5h 
Jc9d6d6c5s AcTd7h6c5c KcJs8c7s3d QsTsTh7s7d 
KsQs6h4d3d JsJh9c8s4c As9s5c4h3h AhTh9h8c3d 
AcKsQs6s5s KcQs7c5d2s AdTs9c7h6s AhKs7d5d2s 
Kh7s6c5h5c QsTd9d8c3c AcJh9c7s7c 9s9h6c5s3h 
KsJd9c8h5s KcQs9c6d5h As6h6d4d3s Tc8h7c6c4h 
JdTs9h5h5d KcJcTh9c4s AhKd5h3s3c AcQhQc8s3c 
Ah5s5c4h3c AhJs7s5h2h AcQs8d8c5c KcQcTc9h6c 
Jc9c8d6c5d KdJc8c7d3h QcTd9d4c3d KhJcTs4h3d 
JdTh8s7c6c AhQd9h9c7h KdKc4d3s2h AcKs7h5s2h 
Jc8h8c7s5s QdTs9s9h4h AhJh7h7c5d Th8s8c6c5h 
9s9d6s6h3d JhTs6d4s4h Jc9s9d5d5c KcQhTc5c4d 
QcJcTc8h3h AhQs6s6h3h Qd8h6h6d5s AdKc7c5c4s 
AsJsTsTc3s QcTs6h5c3h Ah6d5d4h2s AcQc9d6d3c 
Tc8h8c7s5s 9s9d6c5s3d AsJd8c5s3h AcKs7s7d6s 
KdQhTh9h7h As8s7c6h2h QsTsTd7h3h QdQcJs4d3h 
KsQsTh7s6s QsJdTh9d5c Ah9h9c6d2c AcQh9h8h7d 
Td9s7d6h3s AsQdTh6h2d Td7d6h5s4h KdJc6d4h4c 
KcJs9h8d7d QdTs9h8c6h Qh9d9c6d5c KdTh9s8s8c 
Kd8d7d7c6c Jc9s9d5s5c AcJsTc9c4c QdTd8s7s4d 
KsJsJcTh2s AdQhJs7s2h AsKdTd7d5d QcJsTh5d3c 
JhTd7d4s3h AcJh9c7d7c AhQsQc9h2h KsKcTs7s2d 
JcTs8h7c3s QcTsTh7c3h KcQs6d5c4h KdTh6h6d3c 
KdJdTd9s6d JsTd8h7c6c KhKcTh6h3h Kd9s7d6h3h 
KcQc7s6c4s KsQhTd7s2d KdJhTh5h4s KdJs8d7s3c 
AhKdQh6s3h AdJc8s5d4d KhJhTd9h4s AsTd8c6s3h 
Kc9s7d5s5c Ad9c8c6c2d Jh8s6h5c4c KsTsTc5s3c 
KdJh9d7d6c Ad9s7s5s2d KdQsJs7h5c As9s9c6d2c 
AdJc9s6d4h KhJcTh6h4s QcJdTs6c5c AsQsTd5s5h 
QhQcJc4d3s AhTc7h7d5h Ac7c6h5s2h KdJh9d7d6s 
Kd8h8c7s7d QcJdTh7s4c Ad7s7d4h4c JsTh8s5d2h 
As9c8s4h3c QcTh9h9c4c Qs8d6s5h4d AsTs7s6c5d 
Td8s8h6d4h Jh9h9c5d3c TdTc6d6c3h KcJd7s4d3c 
JcTc8s4s3h AsQd9h7s3c Ac9d6d6c3d KcJs9c4s3d 
ThTc7h4d4c JcTd9h9d7d AhKdJs5c4c Ah9s7s5s2h 
JcTh8h7s7d AcTd7s5d4s KsQs9h8h2d KdQhTh3d2d 
KhJh9d8c5s KhQsJcTs2s AsKc9s3c2c QsTs9c5c3c 
QcJhTd7s6s KhJhTh8d3d KcQhJdJc5c KdKcQs5d2d 
AsKcThTc3c KsQc8d5d4c AdJd8c7d2c QhQd5c2h2c 
KhQc6d4h4d AdQh8s8h4s Tc6d6c5s5d Td9h7s6s4d 
Th9d7d6h3c KsQh9h4s3c 8d8c7d6h4h Ah8c6c4s3h 
AdQcJh5s3c Kd7c6h6d4h 9h9d8s5s5h JsTc8h7h6h 
AdQdTc5s5d AdKd6c3c2s JsTc9c8d2d AsJdTs5h2s 
AhKcTh8d2h AdQs8s8h4h QcJdTh6c5c JhTh7c4s3c 
KdJd9c8s8d AcTc7s4h3d KhJs9d4h3s KhQh7s5s5d 
AhQh9h9c7d As9h7d5s3c KdTh7d6d5c KsQhQcTh4h 
JdJcTs7s2d Th9s7h6c4c AdTh9c8h6s Ah7h5s5h4s 
9h9c6d5d4h AsQd6c3d2s KsTd8d5c3s KcTsTh6h3s 
KsJhJd7h3d QsJd9d8h8c Jd8s7h6h5s As9d8s8c7s 
QhQc8h5c2h Kd6h6d5h5d QcThTd5h3d QhTsTc7h3s 
9s9d7d6s3c JcTd8h7c3d Ks9d8s6d4h Tc8d7c5d4h 
KdQc7d4s4c AhTs8s7c6s KsQc8h8c4s AdJhTh5h4s 
KdJsTs5s4h ThTc9h7c4c Ad8d7s6c2c AdJh9s6d4c 
KcQhJsJc4c KhJs7s7h4s QhQc7s6s6d KsQd8d8c4s 
Kc9d8d7c4h 9s9c6h5h4c Td8h7c5c4d Ad7c6d5c2s 
As9d7h6s4c Td8h8c6d5h KdQs7h7d4h AhQh8d5s3c 
Ad8s8d6c2c AcJs9h9d3c Ad6d5s4c2s KdTc7h4d3c 
AcJhJc7c5c AcKhTc8s2c KdQc5d5c3c AdTc9s7h6c 
KsQs9h5h3h AcTc9h7s2d AdKd9c6h5d JdJc9s6s4d 
Ac9c8h5s5d AdKdQd9d6c KcQcThTc6s AsJdTh7h4h 
JhTh9s7d2s Th9c7h6d4d KsQc7s5d2c AdQh9d9c7d 
AdKdTs6d3c JhJd9s4d3h Kc9d9c6d3s JdTc9c8c2d 
KhTs9s4h2d AdTs9c8c6h KcTdTc5c3d QsTc9h7c6d 
QsThTc9d6c KsTh6h4s4d KdKc8s5h4h KsQs9h5c3c 
KsQhJcTh4h QhJd8s6s4d JsJhTd8s4c Td8c6h5h4d 
JhJdTs9d4c KdKc8h5s4s Ah9d6h5c2d 8s8c7s6d4d 
QhTh9c8h4c KhQs6h5d4c Ts8h8c6h5s KhJd9d9c5c 
KcQc9h5s3s KcJd8c7d3s Qh9d9c5h5c KhJdJc7d3c 
KsQc7s7h6d AsTd8s8c4s As6h6c4h3s KhQdTc6c5s 
AdJc9h6d4s AhQhJh9h7d KsTc7c4s4c JhTd9c7c2h 
AhKcTh5h5d JdTc9h5h5d Jd8s8d7c5c QcJdTd9h3s 
KdQcJsJd5d AhTd9c7d3c AsTd7d5s2d Ad9d9c8d3c 
KcTd6d6c3h KdJc8h7d3c JdTs5s5c4c QhQd5s3h2d 
KhJd6d5h3h AcJdTh7s7d QsJs9c6d3c QhJc8c6d4d 
KcQcTd5s4c Ad7d7c5h5d KhJsTs9d3c KcJsTh7d4s 
AhKd8h6h6c JsJcTs9d6s Ac8s8d7c5c AhTc9h7h4s 
AhJh8d7h2d KdQhJd7c2h KhQs9d5d4s AhQc6s6h4d 
JsTs9s7d6h Ks9h8h6c5c 9d9c7c6h3d Th9c8h7h5c 
KhTs6s6h4h Ac9c5d4h3h QcTs9d7s6h KcJc9h8s5d 
KcTc6s4s3d AsTh9d8d7d KhJsTc7d4s Td8c7c6d5d 
AcQc9d9c7h QhThTc7s3s AhJs9d8d2s AhKsQs5d2c 
ThTc6h5h4c KcQh5d5c3d AdJs9h9c3d AsQh8h8d4d 
Qs9s6c5h4c AdQsTd9d4d AhJd8c5h3s ThTc9h4c3d 
KsTsTc8h6s KdQh8d6s5c Kh9d6c5h3d AdKdJh9d2c 
KdTs8s7c6h QcJc9d6d3d KsJd9s8h4h JhTs8h5d2s 
KdQdTc8h4s As6d5d4s2h Ad8h8c6d2c AhJsTh5c2h 
AdTs9c8c7c QhJh9h8s8d Td8c6h5d4h AhKcQd5c2s 
AhQd8d3h2s QcTh8d6d3c KhQhQc9d5h QcJdTs8h4d 
QsJhTc5d3s Ad8s8d6c4h AcQhTs5s4d Ah9h9c6s2c 
As8c5s4h3h KdQsTc5d3h KcJs8c6s4c Ts9h7h6d3s 
AdJh7h5d2d Ad9d9c6s2c Ts9d7d6h3s Ac9h8d2d2c 
KhJs9d8s7s KhKcTc7c2s AcQdTd8d5d Ad9s7d3s3c 
JdTc9s2d2c Ks9h8h7s5s Tc9d7c6h3d 9s7h7d6s5h 
KcThTd8c2h KdJsTs5s4c AhJsTs5s4d AhKhQs9d3h 
KsQcJsJh5s KhQc8d8c4h Ks9s9d6d3c AsJc7c6s2d 
KhKdJc5c3c KdKcQd8s4d KhJh9c8d5s AsKsJh9s2c 
