QhJh4c3h3c 
ThTd9c7s3d AhJh9d7h2c JdTs8d7c2h Qd7h5h4d4c 
KcJhTs4d3d AdJsTh4c2h Kh8d5h4c2c Ah6h5d4s2c 
Js7d6d5s3s As9s7h3h2h KdTs7d4h3c JcThTc7d3c 
KhTs7h6h3c Qh9d8s5s5d 9c7d6s5d4h KhQdJd7s4d 
Qc8h7s6c3s KcQhJd9h4h TsTc5d4h4c Kd9c8s8h5d 
KhKc9c4d2c KcTd8c3s2d Ad7c6c4d2d QdQc6s6h3s 
AhJd8s8c4d TdTc9s8d3h KhKd7c5c2c JdTh9s5d5c 
AsJs5s4d4c Jh8d7c6s5s AcKh9h5h3d QdJc7d6h6d 
9s9h6d5c4c Ad8d7s3h2h Qs9s8h7c3c Ac8c7d5c4c 
AsQsJs6s3h KsJh7c6c5c AdKs9s5s3c AsJd4s3h3c 
9s9h7c6d4h Jd8c7s7d6h KdTc8h6s4s QhJcTs8c2c 
Kd8h8d5c2c QdTs7d4s2c Tc9d7d6s3h KdJh8d6d4s 
QdJdJc6d3h 9d7s6s5h2h Ts8d7s6h2h Ah7h6s3s2c 
Js8s8c5c3s Ad8h7s5c4s KcJh8c7c4s Th9s6d5s2d 
AdKs8c6h2s 7s6d5d4c3h QdTs7d6h3c KcQcTc8c5s 
AcQd7s5s4s Qc8c7h6h2s QsQd5s5h2s As9d8h6c5c 
Jc7c5d4d4c KcQsQh7c2d AcTc8h3s2d 8s7c5c4d3d 
Kc6d4d4c3s AcJc9d3h2s As9s8s8d5s AcQc9d8c4c 
Th9s9c4h2s KdQhJs9h4h Jd8h7h4h4d 7h6h5s4c3d 
Qh8c7h6s3s JhThTc5h3h Kc7s5h4h2c 9h9c6h5d4h 
Qs9h6h4h3s ThTd8d4c2c JdTc8s5h5c Jh8d5d4c3h 
Ah9h6d6c5h 9d8s8h6c5c Jh7d6h4s4d KhTsTc8d4c 
AdJcTh6s3s QhJdJc3h2s QsJh9c3h3c JsTc7s3s3c 
Ts9s9d4h2h 8h7d6h4d2c AcJdTh5s2h QsQdJc3s2s 
AcKd5d4s2d AhJh9h7h3s AsKc6h3d2s AdJc9h5d2d 
AcJs9c3h2d AdKd9c7s2d QsJd8c7c2d Qc9c7s7c6h 
Qc8s6c4s4c Jd8d5c4d4c Tc8s7h5c2s Ah8h5s3s3h 
JdTsTc8d2h AhQs9d8c2s Qs9d7c6c5h JcTh7s6d3c 
QhJh9d7s4c AcKsJs7s2d KcTd7d3s2c AhJh9s9h3h 
8s8h6h4s3s QdJsJd7c3h Jc9d8c6c5c KdJcTs8h3c 
KcQd8d5h4s Qd9s9c8h6h KsJs8s5c4h KcQc9s7d4h 
Kc9h7d6h5h 8h8d7c5h4h Js9d8c5d2c Qs9d8s5c2c 
Tc8s8c4s3s KhJc8c5d4s 9d8h5h5d4d AdJh9h9c4s 
As8s5s4h2h Ah8s7d7c6d JcTdTc6c3s QdJs5d3s2s 
AsJdJc6c4c AsQs9h9d3s Tc9h8d4d3c KsQhJd4s2s 
Ks6c4s4c3h QsJh9d6c3s Ah9s6s3c2h QhQcTc3s2c 
TsTd9h6h4c KsQh8c6d4h KdTh9s7c3h TsTd9h5c3s 
AdJsJc4s3s Kd6h6c5s4d KhJh9h7d4s KsTh4c2s2h 
Qh7c5s4h3s Kh7d7c5s4h QsJh9h3s2h 6s6c5d2s2c 
9s9h5s5c2c Js7h6d5d3h Kh5h5c4d2c Tc9d5c4h3d 
KsJh6d5d4c Kd9s5d3s3c QsTd7s6h3c KsQhTc5d3d 
QsQc7h4c2h 9h6h6c5h3c 7s6s6c5c2d 9d9c8h7h2d 
QdJdTd6h3d KcJh9d5s5c Ac8h7s4d2c QcJd9s7h4c 
Ah4h4c3s2s KdQs9s4d2d KcTsTh8c4c JdJc6d5h3s 
Qs8h8d6s3h AdTc7c6s6c Td8d8c6d4h Kd8h6c4d2h 
JdTd6s3s3h QhTd8c7c4s Td8s5d4s4d AsQc7s3d2d 
9d9c8d7d5s 8c7s7h6s3c JcTd7s6h3c Jh8s7c6d5d 
AsKd8d4h4c 7c6c5h4h2d AcQs7h3h2c As6s6h3d2d 
JhThTc8h3s AsKdJs5s2s AdJc8s2h2d QdJh7d6h2s 
KsJd8d5c4h QhQcJs3c2c Qc9c8h8d6c AcJsTh6d3h 
AhJh9d7h2s QcJhTd8s2s KhJs8s8d6c 9s7d5s5d3s 
Td9h5h5d4h AsKs5d4s3s AhKhQh2h2d KsKc9h7h2h 
7d7c6s5h4h KdJd6d5s3c Th8s8d6s2h KcQcTc9h2c 
AdQs7h3h2d KsQc5h4d3c JdTc7c6c2d Js8s7h4h4c 
AcQs6c4d4c TsTh5d4s4c AsJs7c6s2c Ac9c7c6h2h 
Jc6h5d5c3h Kh7c5d4d2h KhJh6c3d3c KcTh9s8d5h 
Kh5h4c3s3c JhThTd8h3s QdJd7h7d6s 8c7s7d5h5d 
Tc8h6c4d3h Ts9d7h6c4h QhQdTs3s2c KcQh7d5h3s 
KsTs7h7c5s 8s7s7d6d3d KdJsJd5d2h KdQc7s5s2c 
Td9h5s3h3d QhQd8s6c2h JsTh9d8d2d Qc9h6h4h4c 
9h7h6c5c2s KcQd9d4c2c AcJc7c6d3s QhQd6d5s2c 
KcTs8h7h4d AsKdTc6c3c QhTs9c8c3d JsTs5c3d2c 
KsTh7s4c3d JhTc6c3h3c Ac8c7d3s2s 9h7s6s5c2h 
AcQc8d7h3c KhJdTd8s2c Ah8s5h3d3c Jd8s7h7d6c 
QcTd9h7c4c Js8c7d5c3d Ad9d6s6c5d AsKhJd8c2d 
AsQs9d8s4s QdJc9h5s4h AdQh7s6c3h 9d9c8s2s2c 
JdTh9s9h3h JcTh9c7d2s Kc9c7h4s4h Ts9h8h6d6c 
Kd9d5c3s3c Js9s8h7s2h Tc8s6s6c3d 9h9c8c7c5s 
KdJh8d7d4c JcTs5s3c2s JcTh8c6d3s QdJd4c3d3c 
Js9h6d5s2d Jc9s8h8d6h KdQsTh5h3h QsTh7c5c2s 
Tc7d6c4d3d AhKd9c7d2s 8s7h7d5d5c KsTs6d5s2d 
KsKd9c6c2c QhTd9s8s2c ThTd5c4s4d AdJh6d3h2h 
JhTd9c5s5h Qh7s7c5h3c KdQh8h7h5c KsQcJc9c2h 
Js7h5s4h3h 7c6d5h4d2c Ts8s8h7h3s KcTc7h7d5c 
KdQd9h9c5s KhTc9d7s4c QhTc7d4c2h 9s9h7s6c3d 
QhTs7d5s4c AsKh8s6s2d AhTc7c6s4c Qd9s8s8c4c 
KcJc5c4s2s Jh6d6c5d4c Qh9c5s3h3c Qc6h5h4c3c 
JcTh8c7s2d KhJhJc5h2s Ks9h5s3h3c Kd9s5d4s3s 
Kh6s4d3h3d Jc8d7h6c3d JcTc9d7h2s KcJc8s5c4d 
AhQd7c5c4c Qs8c7s5d3c TsTc9c6c4h 9h8s5s5h4h 
9h9d7s6c4d AsQc9h8d3c QdJd9s7h4c KdKc8s4c2c 
As7c4d3d2s QhQcJs6h2h QdTh7c4h2d AcTh6d5h3d 
AsQsTs3s3h QdTh7s5h4c Jh6s5d4s4h QhTd7d6h2h 
QdQcJs8c3c QsJcTs4h2s Qh8d6h4h4d KhJc9h5h3s 
Th9s8c4h2s KhQc7d5d2c AcKh8h5h3d AsKs9d7h2s 
Ah6d6c5s5d 8h8c6h4c3h Qh9c6h5h2c Ad8c7h5s4h 
KhTs9h9c3h AcJh9s8d4s AcTs6c5d3c 8d7s5s4h3h 
AhJsJd4d3d AdQh7c3c2d Jc8c7d5h2h QsJh9s6c4s 
As8s6d3c2d KdQdTdTc4d QcJcTd4h2c KcJh8h8c2c 
Ts9d8d4h2s QsTd5h5d2s Tc9s8h6d4d Qh9h8d6s6c 
JhJcTc5s2c AcQsJc8c2c KsQcJs8d2h JdTs7h5d2h 
AdJh8h4s3s Qs9s7s5h3h Js6c5h4c3s KhQs7c5s3d 
ThTd8d4h2d KhJd8s7d3s As9d8h8c5d Qc8h7d6c4s 
AdTh8s5d2d KcJc7c5d2d Ts7s6s5d3d JsTs9s7d4s 
KcTh5s4d3c AcKcJc4s2c As6d4s4d3s KcQd7c4d2c 
KcTs8d7h5h Ts8d6s5h4s Kc9h7s6h5h Jc9s7c4s3h 
AhKs9s5s3d 7c6s5c4h2h Ac9c7d7c5c QdTs5h4h2s 
Qc8h7d6c3d QhJd9d6s6c KhQs7s7c2h Jd8h7s5h3s 
Qh9h7h7c6s JhTd9d7d3c QhQc5s5c2c Kc9h9c2s2h 
JdTsTh8d2c 8c7d6s6c3s Jh9h9c5s5d QcTc6c5c4d 
KsQcJs5h2s KsJs7h5h2s AdKh6h5h2c Kd9s9h8h7h 
QsJdTd8d2c QhJc9s8h4d KhJc8s6c3s KcQh8s6h4d 
QhTh7h5c4d AsKcJd6h2c KsJh7h6c4d QsTh8d5c4d 
As9h6s3d2h 8s6c5s4c3s TsTh8h4s2h AhJd9s9d4c 
QhTd7s5d4d Ad7c5d4h4d Th9d8d4c2h Qs9c8h8d7c 
8h6c5h4h2c QhJd9s8c3h AsJhTc4d2c 9s8c7d6s2c 
9d7c6c5s2d AcJh6d5s5h AsTd9d7c3d Qs8d7s5h3h 
As7s6d3d2h Ac7d5d5c2c Td7d6c4d3c Kd9d5h3h3c 
AcKh6s2s2h Tc9h5c4d3h QdQc9h6s3s 8d6s6c5s2d 
Ac9s6h5c4c KhQsJs9c4s Ks9s9c5d2d JhTs7s4s2h 
9h8s7c6h2s Jd9c8s8c7c KsQc3s3c2s Ac6h4c3s2s 
Th9d8d4h2c Tc9d9c7c2d Ks9c7h5d3s QdJc9d6h4d 
AhKcTd6d3d KhTc7d6h3h Tc9d8d4s3s Qd9d8s6s2d 
QhThTd5h5c QhTd7c5d4d Th7s6h6c3c 9d7d6h5h2h 
AdQd8s4d4c JdTd8d6d4s Jd8s6h4h4d AhKd8c6s2d 
Ac9s8h5h3s KsJc9d8h2s AsAhAd8h2h Td8s6s6d3c 
AdTs6h5s3h KsQd7d5c4d Js8s7c5d2d Ac6c4h3s2h 
QdTd9d5c3s KdQc8c5s4h Jd9h8h5c2c QhTs8d5c4d 
Ts9h8h7c5h Jc6h5d5c4d Ah6h4s3c2s KdQd9d8h6d 
Jh9c8h6h5h AcKdJd7d2h Ah9c6h5h5d AhQc9c8c4s 
9s9d8s7s5c QcTd8s7s4h JdTh8h7h4h Qc9c7h7c6d 
KhTh8c4h3c Qs9h6h6d4d Ad9h6h4d2h QhQdJh8h3s 
QcTd7c6s2s KsJs9s7d4h QsQc9h8h4d 8d7s7h5s2h 
Jd7c6d4h4c KcQhTh4h3d Th9d8s6c4c QsQcJc7d2h 
Kd6d5h3c2h Jc9s7c4h3s Ts8s6c5c3c 9s6d5c4s4c 
Td7d6s4d3s Ac8s8c5d3c JsTd8s7c2h 9h8h5d5c3d 
KcTh6s3c2h Jd6s5d5c4c Qh8d7d6s5c KdKc8s4d2d 
KcTs9d7h4s Ts9c5d4c3d Th9s5s5c3c AcKsJd6h2s 
AhJh9h7h3d Ac8h7s5d4s AhKd8h3s3c QsTh6s5s5c 
QsTh7d4h2s Ah7d6h5h4h KhQsTd5c3c Qs8s8c7d6s 
KcJc9s9d5c Ad6s6d3h2h Jc7d5h4h3c Td8h8c7d3h 
AsQd8h5h4h Jh9d9c7h5h Ts9s9c7h4d Ad9d7d7c5d 
QhJsJc9h3h QhQd3d3c2s AhQd8h3s3c Ah8s5c4h3d 
Ts9h9c8c5d JsJc9c8h4c 9h6s5h5d4s QsTd9h7d3c 
8s7d7c6c3s AcTd9s7d3d KhTc4h4d2c KhJdTc4s3s 
Ah8c7s5s4d Qc8h7c6s4d Ah9d8c5c3d Ad9d6h3c2h 
QsQh6h3h3c QhTd7s5d4c Kc9s8s5c2c KcQd7d5h2h 
QdQc5d4h2s 8c6s6c4h3h Qd7d7c5d4c 8h7d6s6h3d 
Kd8c6s4c2d QdJd9d6h5d Ah9h6d3s2d KhTc5s4d3h 
Td9h8d5d2h QhTd8s7s4c Th9s9c7s4d Th9c5h5d3d 
AsKcTh6h3h QsQd9s2h2c 7d6s6d5s2c KsQh8h5c4d 
Js9d9c7s5s AcQc7s4d4c Kd7s7h6h2d KsTc9h5c2h 
QcJsTh2h2d Td9h5c3h3d JhTc7s5h2s Kh8d7h6d3h 
KdQhJh7s4h Qs9d7d4c3s Th8c6h5s4h KcTh9s5h2s 
Ad9c7s6d2h Jc9h8c6c3h QhJh7s6h3s QcTh7s4h2c 
Js9h8s6s3h AhQd9s2h2c QcTd6d6c2d Ts7c6d4d4c 
JhTh7h6h6d JdTc9s9c4c 9s9d8d7h3h Tc9d6s5d2s 
Ac4s4c3d2d AdTs7s6c4s AhTd7c6s4c TsTd6c5d2s 
KcQs9h7d5h Td8s6s4s3d Tc8c6s4h3s Qd7c6d4s3s 
KhTh8s5c4h KcJc6c5s3d Ac4s4c3h2h 9d8h8c5d2h 
Ah8d7c5s4c KcQhTs5d3d Qs9c6c4s4c Th8s6h6d3d 
Jh8d7c5c4s 6d5s5h2s2h KhQdJd9c4d KdJh6s4d4c 
Ks8h6h3s3c Qc9c8d6d2c QdJhTh8h2c KcTc6s4h3d 
AsTc7h6d4h KcJdTc3c2s Th8d7s5c4h 9c7d7c3d3c 
KhTh6d4c3s Kd9h9c7s6s Ah9s5h4s3h As6s6d3c2c 
9h8c7s7h2s 8s7d7c5s4h KdJd8s8c3s KhKd8d7d2d 
8d7h7c5c2h 9h7c6c5c4d AcQs7d3d2c KdJd6h5s2c 
Jd6s5d5c3s QsQd6s3s3h 9d7c6d4s3s Js9c8h8c7c 
AcTc8h3d2s 9c7d5c4h3h KsQc8h6d4c Kc8d5d4c2s 
KhTh8s5d4h 9d9c7c6h3s Jc8d7s5d3s JhTc9h6s3h 
AcQh7h6h4d Kc5s5c4s3s KdQsJs7h4s 8h7h7d3d3c 
QhJc9d6c4s KdJsTc8h3s Kc7s5s4d2c QhThTc6d2s 
QsJs9c3h2c ThTc6d5c2h AhKd6c2d2c Jh8c7d6s5c 
AdQc5s4h3c AdJs7d6d3h Qs9s8d8c3d QdQcTs7h3h 
Ks9d8s6s2d Ad8h8d5c3d Ad9d7d6h2h QsTd6s6d2d 
QsJhTc2d2c QcJc8d4d4c JdJc8h6c4c 7s6s6h4h3s 
KsQsJc5s2h KsTs5c3h2c 7s6s6h5h2c Ah9d8h5h3s 
KsQsTh3d3c Jd8d7c4s4c AhJd8c4c3d AsQd6s4s4c 
AdQd9s9c3d QsQhJc6h2h KsTs9d8s2c Th8s6c5h3c 
KcQd8d7s5d AdJd9h8d3d Ts9d5d5c3c KhQhTc8h3s 
KdTd9d5s3h KcJc9c8h6c JsJd8c5h4h KsQd9d4s2s 
Ac8c5c4h2h JhTc5h4s4d TdTc8h4h3c JsTc9d7d3d 
QhQcJd3h2h QhJd8h8d2h QhQc7s4h2s Js9h9c7c5c 
QdTs6h5h4h Qs8h8d6s3d AsTc5s4h2d JhTc7d5s5c 
AcTh6d5s2c Jc6d5h4d3c KsKh9c7c2c KdJh7s4d2s 
AdKc9s6c4c AcQs9d2h2c KdTd8d7d5c JsTh6d6c5h 
8s8c5h2h2c KdJd8h7s3c Kc8s8d5c2s Tc9d5h4d3h 
AcKc9s7h2c Ks9c8s6h6d Qh8c6s5h4h Th7h7d4d3c 
9s7s6h5h2d Js9d8s7s2d AdQs8d4d4c Ac9s9h7c4c 
AsJs9c7s2d Th9s9d4d2s KcJd6d6c2c KsJs8s7d3d 
KdQh7s5s2h As7c5h4d2s QhTs5c3h2s JcTh7s6s2h 
JsTs9d4s3h Ts9h7h6d3c Td9h9d7s4c AdJdTs6d2c 
Ts7c6h4h4c AcQd9d8d4s Ad9d6h4h3d KdQhTd2s2c 
QhTd6d3h3d Ad8s8c6h3d Jd8h5c4d3h Ts9h9d4s2h 
KsQhTh4h3d 9s9c8d7d2c Qs8c7s6d4h AcTc3h3d2d 
QhQd6s6c3c KsThTd8s4s Ks9h8c5h4c 7h6s5d4s2h 
Tc9h8s4h3c QhQc9h3h3d Qh8h7d6d2s Ts7s7d4h3h 
QsQhTs3d2s KcTd9d4h2h QhTd6s6c5d KsTc9s9h3s 
Kd8d7c6h6d TsTh9s3d3c KcQsJd8h4d Qs9d7h6h5c 
Ac6s6h5h5d Ac5h3s3c2h AdJc9h8c3c Jc9h8s5h2s 
AcKc9c4s2s JcTc8h7d3s KdQh8h5c4s Kh6s5d3s2h 
Qd8c7s6d3s KhQcTs5d5c KdKc9h6h2h 9c7c6s5s2s 
AdTh9s8c2c Jh9d7c4h4d QsTh6h3s3h Th9c8d6s4s 
KsJs8c5d3h KhTc6c3h2s Tc9s7d6c3h Ad9h9c8d4d 
Qc7s7c5c4s KcTd8h6s4s QsJc4c3s2h 9h7d5s5d3s 
KdTc7d6d3s Th9h8d4h4d 8s6s6c5h3c JsTd7c5h5d 
QdQcTc3s2c AhTc8d5h2h 7d6s5c4s2d JdTs5d4h4c 
AcQhJh5s2h KcTs8d6h4h KsQh4s3c2c QsJs7h7c6s 
QsTc8d5h4d 7h6h5c4s3d Qh9c6d6c4d KcTd8s8c5c 
Kh8h8d5d3d Qh8s7h6s3s KhKcJh7h2h QcTh6c5s5c 
JsTd8h8c5d QsQhJs3s2d Qc7s7h5c3h KhQhTh9d5h 
Kh7s6d5s5d Jd9s6c4s4d 8h7d6c4d3h Kh8h8d5c2c 
Qs8s6s5d3d 9h7h6c4c3h Jc7h5d4d3c QcTh7s5s2c 
KhJs8c5d4c Ts8h6s4d3h KhQcJd9c4c Js9c8h8d6d 
JdTd6c5s5h AsJc7d5h5d AhQcJs3d2s Tc7d7c4d3h 
Ks9s6h5d3c AhQd9d8c2s KsJsJh5s2c AsKd8h6c2d 
AsQcTc8c2c KcTh9d7s3h Jh9d8d6h2d JsJh8h8d3c 
KcTs6s3c2d 7s6h6c5h5d Ac9h8s6s5d QdJd9s3c2s 
KhTd9s7c4d Th8c7s5h2c KcQcTc5c3s Kd6c5h3c2d 
Jd9c8s8h6s KsTsTd5s3c AsJhJc4h3h KhQh6d5s2c 
QsJs9c7c2c Kh9d8s8c5h JsJd5s3h2d Kc6s5d4c3h 
AcQcJc6c3h AdKh8d6d2s QsJc9s6h4s Jh8d5s4h3d 
Td9c7h6d2h KcQdJh5s2h QdJd8d7d7c QsJs9d6h3c 
AsQh7s3s2h Jd8s7d4s4c QcTh8s3c2h QdTd7c5c2h 
AdJd9h6d3s JcTd7c4h2h KhQdTd4s3d AdTh9c7h3h 
KsQc8c7d5c Ks8d7h6s4s Ac7h6h3c2d Ac9s7d6h5s 
KsKd8d4h2d AsKd6h3h2d TsTd5s4c2d Th9h9c5s3d 
KhJh7s5s2h Kd7c6h5h5c KdJs6c5c4h KsJc7d4s2d 
Qd9h9c4h3d AdKhJc8s2c Js7c6s4d4c 9c7d5d4s4c 
Kc9s6c5h5d As8c7d5d3c AhJh9s7h2d AdQc8d4s4d 
Tc9s9h4c2h Ad7c5s4h2d AsQd7h7c5h KsKd8c4d2d 
AhKc8h6d2h JsJh9h8c4h Qc8s7c6s3s JdJcTh3s2c 
AsTc9c7d3c AsTh9h5d2d 8c7s7h5s5d Qh9h8s5s2s 
Qh8d8c6c3h QsJs9h7d4c 8c6s6c5d3s Jh9h9c2h2c 
AcKsQh6s2s 6h6d5h4d2c JdTd9h4s4c KdTc8s7d3h 
Ac8h7c5c3d Ad7s4h3h2d AsJsTs8s2s Kh9h8d6c4s 
KcQd9h7s5h Ac8c7d7c5c Ks8c6s4h3h Kc9d8s5s4d 
QsJh9c5c3d Tc8c7h4h4c JdTd9s9d3c TdTc9s8h2d 
QcTd7d5d4s QhQc9d7h4h KcQs8s7s5d KhJs7h4s2s 
KhJh9d5s3h Qc9d5s5c3s QhJdJc6d3d QhTc5s4s2c 
KhQc7h4c2h QsJhJc8d2s KsKh8s4s2c KdTs9c7h4s 
9d7s6s5s4c KcQs9s9d5h KdJc8d7d4s KdTd7d6h2h 
KhJs7d6d5d KhQc8s6d4c JsTd9d9c3d Qs9s8c7c4s 
JsJc7d5s2d Ts9s9d7c4h Jd9s8d6d5d KcJd7s7c2d 
AhJhTc6h2s 8c7s7d6s3c Tc9s8d4c2s Tc8s7d5h4c 
Tc7s6d4d3s QhTc7s5c4d AcQc8c5s5c Jd7d5h4h4d 
KdKc7h5h2h QhJs9h6d4h AsKdJh8h3h Ad8s8d5c3d 
9h9c8d6d2h QsQcJs3s2d AcQs8c4h4c KdQd8c7h4s 
AcQc8s4h4c Qd8d7c6c2s Kc8c6s4h2s Qd8c6s5d4d 
Qd9d7d7c6h KsQdJh4s2s AdJsTc5h2c AdKs6h3c2d 
JhTs9h7c2d Qh9c8d5d5c AhKs9c6s4s Qc8h6h4h4c 
Ac8c7h7c5c Ts9d8d7h5d KcJcTc7c3h 9c7c6s3s3h 
QsQc6c5h2d 8h6s5h4s3h Qh8h7s6s2c AhTc7c5s5c 
AsJhTd4c2d Js9h9c6h2s KsJs8c5s4h Js8c7c5h3h 
KsQhJh9d4h KhQc8s6c4d 9c8h8d5c2d KsQc7s4c2s 
Jh6s6h5d4d QsQcJh3s2s JcTs9h8h2h Ad6s4d3c2c 
As9s9c5s4d AhTs7s7c4s QdTh8c3h2d KsJs8d5s4h 
AsKcJc7c2d KhQd8d5s4c Ad7s6d5d4d Ah8s5h4d2c 
9h8h5d5c3c Jh9s8d8c6c Jh8c6s5h2s AsKcQc6c3c 
QdTc8d3h2c 8s7h7c6c3s Jh8d7h4s4d Qs6s6c5s4c 
Th7s7h4d3d KdQs7c5h4h Jc7s6h5h3s JdTd8s6c3h 
KhTs6s3s2h Jc5d5c3h3d Ts8c6s5d4s Kd9h7h3d3c 
KdTc9s8h5h KcJd9s5h5c 9h7c5h4h3c QcJsJh9c4c 
ThTd9c5s3d Ks6h4s4h3d QcTc7s6s2c As9s6d4d3s 
Qc8d6h5c4c KdQs5s4h3c AsTs7h5s3s Qd8h8c6d3c 
Jd8h8d5h3d 8d6s6h5d5c KhTc4s2h2c Th8d6s5s3d 
Ts7h6c4h3c JsTs5d3c2d AhJc6h3s2s Jd8c7h5h4s 
KdJs8s8c6h KhJd4d2h2c QsTs9s5c3d QdJd7d7c6h 
KhKc8c4s2c KdJs7s6c4h Js8c6h4s4c Ac8h7s3h2c 
KhQd7h4d2h Ah9c6h2s2c Qh8c6s6h5d Qd9s7d5s5d 
Jc9h7s4h4c QcTd9h8h3s Ah7c6h3s2s 9h9d7d7c4d 
Th7c6d4d4c AhQhJh6h3s Jh6h5d4s3d Jc6s5h5c4h 
Ts7h7d5h3d QhTh9s9h4c 9h8s6d5d4c Th8h8d7s2s 
JcTs9d8s2s 8h8c5c2h2c AhKsQs6d2s KdTh6h2s2d 
AdTs9s8s2c 8h8d6c2h2d KcQsJs9h4s AcQs7c3d2d 
Ad7h5s4c2d Th6d6c5d4c AdJs9c5h3s 9h8s8c7d5c 
9h7c6s5h2c AsJc7c6d4h Td9h7s6d3c QcJh9d3h3d 
KdQs8c7c3s Jd8s5d4c3s KhKc7c5c2c Ts9h8d7d5d 
QhQcJc3c2s KhQc9c7d5c As7h6s3c2c Jd9h7d6s6c 
QcJc9s7s2s 9s9c7d6h4c Td9h8h4c2d Kd9c6d6c3d 
6s6c4d3s3d Jd6c5s4d3c JhJc8d6h4h AhTc7s7d4s 
9d9c7h6s4d AcJd9s5h3d AcJd9h7d3s AcQh7h6h4s 
KdJd9d8s6d KhQhJd5h2s 9h8c5h5c4h KsKh8s4c2s 
Kd8c6d5d4h Ts8s8d7h2h 9d8s8c5d2s Kd8s6h4s2d 
Ks9s9c2h2c JsJd7h7c4h KsJhJc3s2d QhQcTs3s2d 
AdQh8s6s6c QhJd7c5c2h AcJd7c6s3c Ah8h7c3d2d 
KhQhTd8h3c AcTs9s5d2d KcJc5d3d2d AhQd8c5c4c 
AsTc7c6d4c KsQsTs9c5s Ad7s6s3d2h Td9h9c4d2c 
KdTs6s3s2d AdQcTc8c2c KsQs9s8d6s KdJh6d3c2h 
Qh8s7d6h3d AhKhTc7h2h Ts7s5s5c4c AhTd7c6d4d 
Qd6h6d5d4h QsTd9h9c3c JsTc6h5d4h KsQhTd5c3c 
Kh9s7d6s5s Qs9c5s5d3d AsJs9d8s3s Kd8h7c6d4d 
9s9c6c5d4c Jd8s7s6h5c Ad7s6s4d2d 6c5s5d2s2d 
QdJs9h8d4c QhTh6h6c5d KhTd5s4c3h 9c8h5h5c4c 
AdJd9s7d2c AhJdTs6c3c KsKhKd2h2d 7h6s6h4s3h 
Jd9h9c7c5c Ah9s9c3c2h Jc8h5h4s3c 7c6h6c5s5d 
KsQdJh6h3h QcTd7c4d2h Ad6c5d4s4d AhKc5c4s2c 
9d7s6c5d2s Ts7s6c4h3h Ks5s4h3h3c 8h7s5s4c3c 
JsTsTd6s3h Ts8h8d7s3h AhJsTs6s6d KsJc9h8d2s 
Js8h8d5d3h Qh9c8s8c4s 9s7h6h5d2d AdJc9h5s3c 
AcKh8c6d2c Ah8c7d3c2h Ac8d7c3h2d KcQdJc5h2c 
Jh9c8c6h2c 9s9h8c6c2h KhTs6d3h2s AsKdJd3h2d 
AdQh7s6s6c Qs9d8c5d5c Jd8c7s6h5c Kd9h8d6s6c 
QcTc9c5h3d Td8c6s6d3c AcJs9h5c2c QcJc9s6h3d 
AdJd9s6d3c KhJcTh3h2s KcJh7h6s4d Qc7s7d6d3c 
QhJsTc8d2d AsKdTh6h3h Qc8d6d4d4c Td9c6h6c5s 
QhTsTh6d2c AdTc9s7c3c Jd9s7h4d3h JsTh6c5d4c 
QsTd7h5h2s Qs9h8s5s3h Ad8s6s3c2d 8d7s7h6d3h 
QcTd4d4c3c AhQh8s7d3h AcKs9h7s2d As9s6d5h3s 
Kh9c8c5h2h Ks6s6h3s3h KdJd6s5h2c KhJc9d5s5h 
AdKh6s5s3c QcJs8h8d6h KcQd7s5h4h QdQc8s8d2d 
Js9h7h7c5d 8h6h5c3d3c QhQcTc3d2c Jc8h7d7c6s 
9s9c7d6c2s Kd7h6s5s5h Th9h9c5d3s KdJsJh9c4c 
JcTs9d7h2c AcJh8h4s3s Jc8s8h5s3h Ts9h6h6c5d 
AsQh7d3h3d Tc9h5c4s3h 9c8c7s5d2d Jh6d5c4h3d 
Jh7d6d5h3h KdQh5c4s3h QhJd7h6s6h AdQs7d3d2s 
QdQc8s5h2c AsKsQs3c2s KdJs7c6c5c Ad9h6h3c2d 
Qh8d8c6s5h Kc7s5s4h2c Kd9d8s6c4h Jd7c6h5h5c 
KhQhTh5h3d Ks9h8h5s2s 7h6d6c5s5c KdJc8d6d4s 
QsJc8c4s2c 8h7s6h4s2c JdTc7s5d2s KsJs8c7d3h 
Js7d5s5d4d 8d6s5s5c3d KcQsTd5h3h QcJd8h4d3h 
QhTc7d5c4s Jh8h8c7d2c Kc8d7d6d2c JcTs8s7d3h 
Tc7s5s4c3d QhQdTh3s2h 7s6h6c5d5c 9s7s7d3s3d 
QcJsTc4h2c Ah9h7h7c3d AdQs8h5h4h 9s9c8h7h2s 
Js7s5h4s4h QcTd4d4c2s AdTd6s5d3c KcJc6c5h3s 
Qd7c5s4d3s KsQdJd7h4d Ac8d8c5s3c Js9h7h5c2s 
AcQc7c6c4h KhJsJh7h3d ThTd9s5c3h Qh9s6s6c4c 
Jh7h5s4s4h QhTc8d7d4s 9s9c8h6h2c QsQc8s8d3s 
As9s6h4h2h AcTd7h6d4d QdTc7h5s4c 9s7d6s4h3h 
AsJh9d7h3c Kh6s5c4h3d 9s7d5c4d4c Th9c5s5c3s 
AcQs7c3c2s Ac9d8s5s3d 8d6s5d4d3s JsTs8c6d3h 
Qs8s7c6c3h As8c7d3c2s TsTc8c4d2d Jc8s8d5s3d 
