8d8c6s4s2c 
QsJc7h7d5c Js7h6c4c3s Ts9d4s4d3c AsTd9d8d4d 
AdJh8d6d3c KsTs8h8d5s Ks9d6c5s4s KhJdTd3c2s 
Jc9s6d5c4h Jd7c5d5c3d KcJsTh7d2s Jc8d7s6h6d 
Ts7h5h5c3s AdJc9s9c4c AhQc8s8h3h QhTd9c4s3d 
KdQd5h5c3s KhKdKcJh6d KhTc4s3h2s Jh9d8s8c5s 
AdTh9d4c2d KdQsQh7c2h QdTd7h7c4s Jh8s6d5d3s 
Tc9h9c8d4s Jd7h6c4d3c 9s9d6d5h3d KsTh9d4s3s 
Js9h9c6c2h QsJd8c7d4h QcTd4h3c2d 7h6h5c4s3h 
KcJs9h7d3s QdTc8s4h4d QsQd8h6s3s AcQh9c4d2s 
Qh8d6h4s3d Kc9d8d4c3s ThTc6s5d3c AsQd9h8h4h 
Th9h8h7c5h QhQc8c5c3d KdQd9c3c2s AhJc9d7d3s 
QdJs8c7s4h Ts8h6h4h2s Ah8h6c5h4h Ts8h6d4s2d 
KcTd7h5h2d KsKhKdJd6s AdQcJs7s3s QdJh6c5h3h 
Ks8d6d5c3c JhTs7s5s5d Td9h9c8s5c Qc8s7c6d6c 
KsKc4h3d2h Ks9c8h4s4h KhJc9d6s6c Qs8s8h7h2c 
Qd9c8s7h5c AcQc9c7c6c Kh5h5d4d2d Ks9h9c8h2c 
QhJs7d7c5s Jc6c5h4h3h Qh8c6h6c3c QsTc6h3h2s 
Kc7s5d4c2s Qc9d8h8d6d Ah9h8h5h5c AsTs9d5s3s 
AdJs7c5d2d AcQs9d5h4d Qs8h7h5c3c Jd9s9d4s2h 
Qs8s6s5c4d AsKcQh8h3h 7h7d6h5c4h 9s7s7h5d4c 
KdThTd4s3d AhQsJh3h2h Ah7d6c5s4c 9h8h7d7c3d 
8s7d5s5h3d QsTh9c7c3d Qd7s7d5h5c 8d6h6c4h3c 
KhQdJc3s3c QcJc9s3s2s KcJh6s5h5d Th7c5c4h3h 
JsTc6c5h3d KhJs7c3h2s Qc7s6h5h2c KcJc6s4d3h 
AsKs4d2s2c QdTd9h4c3d JdJc9s6h4s QdJd8h7h3d 
Qs8c6s6c3c Qc9c8h7h2c As9s8c4d2h KcJs6s5h5d 
8h6s5h5d2d JhJc7c6c2h 9s7h7d5s5c AhQc6d4h3h 
8h7s5h5c3s JhTd9d3s3c QhTh8h7s5h AhKh5s3h2c 
Kc9s6s6c2s KhQh7s7d4c 9s9d7c6h3d KcTh8d7d4d 
ThTc6d5d4s QhJh5h4d3s Js8d6d5c3c AcJd9h5h4h 
JhJc9c5c4c JsTd8s8c3h AhJs9s7s3c AsJdTc4d2d 
Jd7d5s5h3h AsQs9h5s3s Js7s6h5d4s 9d9c7c5s4c 
9d8d8c7s5d AhTh9h7h2s Td9c6c4h2d AcTd9s5s3h 
AcJs9d8s2s Jc9h7d3h3c AcQdTd4h2d KcQc8s7d4c 
AcKc6d4c2s Jc9s9c4h2s Js6s5d4d4c AhQh8s3d3c 
QdJs5d5c4d KhQc7d4d2h Ad9c7s6s5s QdTd8d7s5d 
As8d6h5d3h KdQhJd3s2d AcJh9s5s4s AcJc9d8c2c 
Ks9h5s5h2c KdJc8c6h4s Js7h6s4h3d Td9c7d6d5d 
5s5d4h4d2h 9s8d7d5s2d Th9s9d8c5d AcQs8d3s3d 
JcTh9d4s2c AcTh6s5d4h 9h8h7h5d4c KcQh8d6c3s 
Qd9c8c7s7c AcTs9s5h3d QcJh9s3s2h AhKd5c4d2d 
Qc8s7s7d4d 9h8s5h4s4h KsTs8c2d2c Kh6s4s3h3c 
Kh9s5h4s4h AhJdTc3c2s AsTs4s4h2h KhTc9s7d3s 
Kh9d5h5d3h As7h6c5d4c JhJd9c4s3h 8d6s6c5s4h 
QdJd5s5h3c QhTh8h7c5h Th9c7s7h4d Td8s8d6h4d 
Qh8s7d4s4h Qc9h5h3h3c QsJh5c3s2c 9c8h8c4s3h 
AcJs5s4d2d KsKc9s3h2s 8c7s5d3s3c Jd9h6s4d3h 
QcTc9h4s3c 9h7s7c5c2s KcQsTd4s2h 9d7h7d6s2h 
As6h5d4s3s Ts9h7d5h5c Js8s8h7d5s AsQs7c4h2d 
KsJh3h2s2h AdKc6c5s2c JdTd9d8s3d KcQdJd4d2h 
Kh6d4d3s3h JsTh8d7d2c AdQsJs3h2s JhTh6s6d4h 
Qc9c5s3s3h Js8c6s5s3c Kc5s4c3s2d KhQhJd7c3h 
KcQsJc6c3c AhQs9h8h2h Ks8h7d4h2s 9c6h5c3s3h 
KhQs8s8c5d TdTc9d7d5d Qd9d8h8c5s 8h7d6s6c4c 
9h9d6s4d4c QsQh5s4s3s JhJd9c8d3d 5h5d4s4h2s 
Kh7d5h4s3c ThTc9s8d3c 8d6s6c5c4h Jd7d5h5c3h 
Td8d8c6h4d Js8s8c5s4h 9d8d5c4h3h Qs8h7s5c2c 
QhQd6s6h2h 9s7s6s5h4d Ad8s8h6h3s AsQh5d3h2d 
JsJd9h6s3s JsJd9c6s4s Th8d6s4h2s Kc9s9d7h5d 
Kd6d5c3c2c Qh8h8c5d4s QsTs9s5s4c 9s7h7d6s5s 
Ts9s7d3s3d Kc7d5c4s3h Jc8c7s6c4d AdQhJs7s3s 
Kd9s9d7h3c 9s8c6c4d2d QhJd7d5h2d Kc7h7d6c2h 
AcJd5d4s2s AdJc9h8c2c AhQc9s8s4s Ks9d5s5d2h 
Tc9h8s4c2s 9s8c5c4s4c KsTc9c8h2d KhTc5s3h2s 
Ks9s9c5d3h AcKs5h4s2s Kh5s5d4h2s KsTs6s6h2h 
QcJhJc8c3d Kd8d6d6c5h JhJd7h4h4c Ks9s8c6h3d 
KcJc8d6c2d Jc7h5s5h3c Jc8c6h5c4d KhJc4d3h2d 
Kd5d5c4c2c AsKs6d4h2s KsTs8c3c2d AcKsKhKd4c 
Js8h6c4h3s 9s9c5s4d2c 9h7d7c4d3c Jh8s8d7s5c 
Qd8s6s6d3s KhJhTd6h2c Ac8c7s7c3d QdJsJh5s2s 
Th8h6d4s2d Kc9h8s4c3h Td8s8c7h4d AsJh8h5d3c 
Qd9d8c7c2d Kh7d5h5c4s 8s7h5d3s3d Kh8s6c5c3s 
QhTc9d9c3c Kc8s6s5h3h AsQs8s8d2c 9d7c6c5s3c 
JcTh7h5s5h 8d7c5h4c2d Kh9c6d4h2c QsJs5c4s4d 
QdJh6s4c3d Jh8c6h5h3c JcTc8h3c2h Jc8c7d6d2s 
AhKd6h4h3h Tc9h4h4c3s AcTc6c4s4h Th9s7h7d2d 
KdTs9h6c3h KdJcTc8s2c 8h7s7h2s2c 8d6s6h4h3s 
9d6c5d3h3c Tc9d7s6c3c Kd7c6s5h4c Ad9c7d2d2c 
QhTc9h5s5d KhQdQc7s2d Jd8c6c5s3s QdTs8d7h3c 
8s7s7c6h2c AcQh7s4c2d Qs8h7h7d4d 8d8c4d3s3c 
AsKd9c6s2s KhQc7d6d4d Qc9d8s5d2s Qd7s7h4s4h 
KhQs9d7c4s JcTd7c6s3c KdTs6h6c5s AsKh9d5c4d 
9s9h5h5c4d QdJd8d8c3c Qd8s8h6d2h Qc6d6c4s3d 
Ks9c8s5h4d Kc9s9d8d2s JhJcTh5h2h TsTh9d8c3h 
9s8h8d7h5h KdQh8s6d3c AdKs9h3c2d KsTc4h2s2h 
AhJd9d5s5c 9h7d6s5d2s 8h7d6s3h3d AsQh7d4h4c 
Jc9d7d4d3c KdJs8c5d3h JcTs8d6h3c AdKs6h5h3h 
9h6h5h5d4d Jh9s6d5h3c Ks9d6c4s2d Qc5d5c4h3d 
KhQc9h5s3h Js9c6d4c3s QhTh9s3d3c Qs9h8h8d6h 
KhQh3d3c2c AsKs8s7s3c Tc9s9c6c3h AdTc9c5s3h 
Qc6h6c5d5c AcQd3h3c2s Qd8h5h5d3c 8s6d5s5h2h 
AdKc5c4c2h KcQh9d7d5d 9h8s6s4c2c JcTs5d4h4d 
AsQd9d8h3d AdJd5d3h2h KcQc8h7c5c 6d6c5s4h4c 
KhJc6s5d5c Qs7d6h5h2s JhTh8c4h4d KhTh8c3s2s 
KsJhTc7d2h JhTc3h3c2s Kc9h8d7s5h Jh9s9c6s2c 
AhQc5d3c2d QhJsJc7s3d Td7s5s5h3d AcQh5h4s4h 
Kc9h6d4c2h 9h8h8c7d5h Ks7h7d5s2h QsTsTd8s2h 
Ks8d6h5d3h Jd7c5s5d3s 9h7h6h5s3c As7h6h6c3c 
7s6d6c5h4h TsTh6c5d3h 9s8s7s5d4h Jd6h5h4s4d 
AcQs8s8d4s KhJc6h2d2c AdQd8s3h3c 9d9c5c4d2h 
KdQd7c6d3s Th9s7h7d4c KsQcTc4h4d As8d7h7d3h 
KdTh8h4c3c Tc9d6c5h4c AcTh9s6s6d Ks8s6d4c2c 
Jd9h8s3s3d Td9c7s7d2s Tc9h7s7d5s Th9c6c4s2h 
AsQd6c4d2c KhQc8h3c2s Jc9d7d5c2c 6h6c5h4s2s 
8s8d7s6s5s QhJh5s4h4c Qh8d7d5h2c Kc8h6h5s3s 
8d7c5h3d3c Td8h8c7s4d QsJh8s8c4d AhKd5d4d2s 
AhTs8c4h2h Ad7d5h5d3c QdJs5h5c4s Jd8c5c4c3d 
KdQh8c4d2c As7c6d4s3s KhQsTc4s2d Tc9s9h8d5s 
JdJc9c8s3c AcQh7s4h4d AsJd6d5h2h AsKc9h5h4d 
Th9d8c5s4c Td9s8c4d2c KcQhJs8d3h 9d9c6h4s4c 
KdQs7s7c5s KcJd9s9h5s Qc8s8h7d6d Js8s8d5s4c 
AhTs9d9c2c QsQdTh5c2c JhJc3s2s2c QhJd7c5s4c 
QdJs7c5d3h Js6h5s4h3h Qs4s4d3d3c 9d8c7d4d4c 
JsJh7d5s3s Kh8s7h4d3d 5h5c4s4c2s Ks9h6d4s2h 
KdJs9h9c5c Jh8d7h6s6c QdQc7h5h3s JdTd8s3d2s 
Ts9d4s4d3h KcTc8h8d5c AcTs9c6h2c QdJh5h4s3c 
Js8s6h5s4d Jd8h5s4h2d Ah8h7s7h3c KdTs7h5h2s 
Ts8h6c4s2c KsQs9h5s3c Jh8s7d5d4d 7s6c5d4h3c 
AsJc9d5d4d AhQh7h4s4c Td8s6h6c5h JhJcTd3d2s 
Ks8s6c4d2d JcTd8d3c2c KcQc7s6c3h Jh5s5h3s3h 
KsTd9h4s4c 9h8c7h5c2c KcJs8d6h4s AsKs6s4c2d 
QsTsTd8s2c AsTh9d9c2d 9h9d7h5s4h Kd6d5h3h2h 
Jd8d7s6s2c QsQc8s8d8c Jc9d7s7d2c 9s7h6h5c3h 
9c8s8c4h3s QhJd7d4h2c Jc8s7s6h2c Kd8d6s4s3s 
QhJc6s4s2c TsTd6h5c3s QsJc4s3h2h QsJd8s3d3c 
6s6d5h4d4c AcTc6c4s4d JcTc9c8c3h AsKhJh5h2h 
AhTs9d5d3c Qh9h6c4c3c 9c8d8c7h5c KcJh9s3s3h 
Qh8h6h5c4d Ks9s9c7h3d QsQc5s4s3s JsJdTs3c2s 
As8d7h5h2d AdJc9c8s2c As9c8c7d4h Ac7s7d5h4h 
Qs8c7h6c2s AcJs7c5c2h AhQc8s3s3c KsQd7d3s2h 
AhTc9h6s2h JcThTd6c3c Qs8h8d7d2s KhJc6d5c3s 
Kh9c7s7c3s QcTs7c5d3h Kh8s8c7d6d 8d6h6c5c4s 
Jd9s7c5h4h As5h4c3s2d 9s9h7s5c4s 6h6c4s4c2h 
QcTc7s5d3h AcJd9d8h2d AcQd8d7d4d KcJc9d8c5c 
Jd9s5h3s3h Jh7c6s4h3s QcTd7h4h2c Ac8s6s5d3d 
KdTd4h3h3d 9s6h5h5d2s AhKh8c4h3d Qh9d8s8d6d 
AdKhQc8c3c AsKsJs3s2c Ah9c7c4h2h Th9s7d5c3s 
As8h8d6h3d 8s7h5d4d2h 9s8d7h5c4c Th8h7h6d6c 
JdJc7c6c2d KdQd9s3s2h KsJcTc4h2c JsJc9h5h3d 
As9h8h5d2d 9h8s6s5d4s Td9s8h6h4h KcTd8c3s2s 
Jd8d6s6h5c AhQs9s8d3s AhQh7d4c2s Jc8s8c7h5c 
Ac9s6d3h3c Tc7s6d5c4c AcKs7h4s2d 9c7s7h6c5c 
Qs9s5s5c4c Ad7s7h5c4c AdKc8s8h4s 9d7s7h6d5d 
7d6s6c5h4h KsTc9h7h3d Qd8d6s6c3c KhTc9d7s3d 
AdJs5s4h2h 8d6c5s5d2s Ks9s5h4h2d Kh9c8d4h3c 
KsQc5d3c2d QcTc7h4h2d As5h3s2h2d QhTc6c3s2h 
QhJc8h3s3c JdTc9s5c2h Ts9s6h6d5c AhJs7d5h2h 
KcJc9c7s3d JhTh4d4c2c AdKd8h4d3s JdJc9h8s4h 
AdQhJc7h2s QsTc9c7h4c KcQs8d6c3h KdTc8h5s2d 
Ks9d8d7c3c Js8d7c5h4h QsJc8h5d3s KhQsJc8d3s 
KcTc8d2h2d Qd8h5d4s2s KhTs9d4h4c Jh8s8h7d5h 
As7h6h6d3d AcQcJc3s2c Th9d7c5c3s Qd8s8h7c6c 
QcTs4s4h3h Jd8c6d5d3c Jh9s9h4c2s KdQc7c3s2d 
Ks9d8d6d5c Ts7s6s4h3h QhQc6d5d3d 9d6h6d5c2c 
KcJd8h7h4s QcTh6h5h3s 9s8s7h7c5d QsTs7c4c2h 
KcJd6h5s5d KhQd6h4s4c Ks8s8d7s5h 7s7d6d5c4d 
JcTsTc7h2d Jd8s8h6h5c Ad9h6c5c3h Kc9s9c7h3d 
KhTc8c6d6c 8s8d7s7c2h AdTc9c8c4c Jh8c7s5s4s 
JsTh5d4d3c Qd9d8d5c2c Jd8s8h7h6h Td9c8c7c5c 
Qd8c6s4d3s Ad7d7c4d3s Tc9h8d7d4s KcTc6s6c2s 
9c7h7d6c5c AsQs9s7s6s TsTd9s5s3h Ts9d8s8c5h 
KsKdQh7h2h QhJsTh6c2h 8h7h7d2s2d KsQc7c4s2s 
Th6s5s5h3d AcJs8c6c3d KdTd8s3s2h QcJh5c4s4d 
QcJs7d5h4d JhTd8s6c3h Td9h9d8c4s Tc7d6s5c4c 
Qs8s5d4c2d JsTc9d5c2h Ts8h7h4s3h KhJdTc4s4c 
As5d4s4h2c KsJc7h5h4h Qc8h6c5c4s AsJcTh5h2h 
Kc7s7c5h3d AsKc5c3h2d Ad5s4d4c2h 9c8c6s4s2d 
Qc4s4c3s3h 8c7h5s4c2s Jd9s8h3h3d Td6s6h5d5c 
Jd8d7d6s5d Td6d5d5c4c JdTsTd7h2c Kd8h7d4c3c 
Kd9s9c7c5c Ks8s8h6h2s Ah8c7d6h3h KhKcQd7d2d 
Ks9c8s7h4d Qs8c5s4d2d KsQc7h4h2s Td9c6d5s4d 
AsJcTd4c2c KhQc7c4h2h KsQsJs9c3s AsKh9c5d4c 
KsJc8h5d3s JsTc3s3c2d Qh6h6d5c2d AhJc9s7s3d 
8d7h6h6d3h AsJc5s5h3s Qd8d6d5c4h KsJh7h7d4c 
AdJd7s7c2h KcQcJd7s3c 9h8c7c5h2c KhQs6h3c2c 
9h9d8h8c2h AhJh8h6h6c 9c8s8h7s5s QcJs8d6s4s 
JsJd9s8c3s 8d6s5h5d2h JhTh5s4c3h Ac7h7d5s4s 
QcJhTs3c2c Jd6s6h5h3d JsTc7c5h5c AdJs8h6h6c 
KsTh9h3c2c QsTc9c6h2d 9s8h7d5c4c AsKh5d4c3c 
QdTc7s4s2d KcTs7d5d2s 8s7d6d3s3h JsTdTc6s3s 
As9h7h7c5h QsJh8s3h3c QhTsTd7c3d Js7d6s4d3d 
JsTh5c4d4c AcJh9d4d2h Kc7d7c5h3s Kh9d5h5d2s 
9h8h7s6h2s QdJh9d3h2d AhJc9h3s3h AcJc7h6c4c 
Ts8c6d6c2s 8s6h6d4s3d KhJc6c5s5d Jh7d6h4d3d 
AcQdJh7d2s AsJc9d8h2h 8s7h6d6c4c QcJs7h5h4d 
Qs8s6h4s4h Jc9s9h5c3d KhJd9s6d6c Kc9s8s6s5h 
KdJc9s9h5h QdTs9h4s3c QdJh7c5h4h JhJd9h8c3h 
AcKs6s4h3s KcTd5s3c2s Ad5d4s3d2s Jd8h7s5c4c 
AsKhTh3d2h 9s9h5s4d2h KdTsTh9h3h JcTsTd8h3h 
AcTs9h9d2h KhQc9s9h5h 9h9d5h5c4s KsJs8s6h4d 
TsTd6d5h2h KdJcTc5h5c QhTh8h7d5h Ks9c7s6d4s 
QsQc6s4h2d Qs6s6c4d3c Qh9s8s7s6s Jc6c5s4s3s 
AcJhTd3d2s Qc8d5c4s2s Qd8d7s5s2h 8d7h6h3d3c 
KhTs9c6d3d Kd9s9d5h4c AdQd7c4d3h AcQc7d7c3s 
Jd9s6h5c4d Ah6d6c3d3c Ad7d6c3s3h 9h7c6h4c3h 
KsJc6d5h3c Qs8d6s4h3d Ts7s6s4d3d Js7d5d5c3s 
QsTc9d4c3h Ad8d7h6d3s 9c7d6d6c2h QcTs6s3h2c 
Th8h7d5h4s JsJd9c4h3s Jc9s6h5d4c Jh8s7s5s4d 
Ks9d5d4s3s KhJs5s5c4d KhQh9d3d2s KdTc9c3h2h 
Td8c6c4h3h QcJh7d5c3s 9c7s7c6h2s KsKhQh7h2h 
KhJs8s6c4d JhJc9d6h4h KsQcJd9d3d Ac6s6h5c4c 
Qd9s8h6c4d QdQc8s3s2d Jh9s8h8c5h Qc9d8d7d6d 
KsQdJh7s3s Kh8h5d5c3d KsQh5d3h2d KdJc3c2d2c 
6h6d4d4c2h Ts9d7s6s5s AhTh5s4h3c TdTc7c4s2d 
KhTdTc8s4s AcQc7s4h2d KcJc9s8c5c Qs9c8h7d5c 
Qd8h7h5s3s AdKc7h4c2s KhJd6s5d5c KcQs9h7h5h 
QdJc9h6c3s KdJc9s7s4h Kh9s9h5c3d Td7c5d5c3h 
JsJh7c5s3s QhTs4s4c3c AdQh7h5h3c Ks7h7c6s2h 
Ts9c7s7c2c KsJs9h8s5s 9s7h6h4s3h Jc7s5d5c3d 
KhJc7s5s4s Ks9h9c6d4s QdTh9h9c3h JhTh9h6h5h 
AsJc6c5h2h KhJd7s3h2d KsQsTh5d2s KsQd8c4s2c 
JsTd9d3h3c Td9d7s6d2s Qd9h8h7h7c Qc8d8c5c3d 
QdTs9d7c2h Ac7s6h5s4d Jh6h5d4d3d Ks8h6h5c3c 
Js7d6h4s3h Ac8s6h5s3h AhKdJd8d2d Th7d5s5d3h 
AhKc8c5c2d AsKcJc8c2c QcTs8s6h2d Ts8s8h7s3h 
QcJd5s4h3d 9s8d7d6d2s Jd9d7s7h6d KhJc8h7d2s 
JsTd9s8s3s Ad5c4d3d2c Qs9d8c6h6d 8s8h6s6d3s 
TsTc6d5d4h AsTs9d4c2s AdKhQc7h2h Tc8d6c4d3c 
JsTc8h6d3s AhJh8s6c3h 5h5d4c3d3c Kd7c5d4s3h 
AcQh7c3s3d AcJs8s6s6d Qs8h6s5s4c AdJsTc5c2c 
QsTc8s2s2c JsTs6h6d4s QhJh9c3c2c Js9d8d3s3c 
Jc9h8h2d2c QsJh5h4d3c Qh9c8d6s4h Qd9d9c5s5h 
AsTs6s6d3h KhJh7c6h4h 9d8s6h6d3s 6s6h5d4s4c 
QdTs4s4h3h KdTh9d7d2c KsQd7c4c2s KdJcTd6h2d 
Qh9d8s6c4h AsQd8h8d4d 9s7s7h5h2c QsJc8h6c4c 
QsTc8h8d5c JhTh6s6c4h Td9h8c4d2c AsTs6s6c3d 
AsQc6d4c2d QdQc8h3c2h AdKd9s6c2d Th9s7h6h5h 
Jd7s5h5d3h 9h8h5c4s3s Jh8d5d4c2h AsKh7c3h3d 
JcTh9s4d2c Tc6s6d5h5c 5h5c4d3d3c Td9h7c5c3s 
KhTd9c4s2h QcTd9d7d5d QsJdJc7c3h Kh8h6s6h5c 
KdJh8c7c4s Ad7h6s4d3d KdTh7d4s4c AcQdJd6s2h 
KcJsTs5s5h AsKdJd8d2d Qh6h6c5s5h Qc8s7h6s2c 
7s6h5d4c3d KhJd5h5c3s 9c6s6d4s3c AdJs5s4c2c 
Kh9c5c4h3h QhJd7c5c2d Td6h5c4d4c 9s7s6s5c4d 
Jd9s9h6s2h AhQc4h4d3h 9s8h7s4s4h AhTdTc5s3c 
Qs8s6s5c4h Jc9d7d6h6d Ks8h7c6h5h KdQdJs7c3d 
8c7h6d3h3c 9d9c8c5s4h Th6s5s4h4c AhJh8d2s2c 
QsJh7d7c5c Kd7c5h4d2c KdJdTd2s2c AhJh8c6s3h 
Jc8c7h6c4s 8d7s6c3s3d AhJh5h3s2s QcJh8d6h4h 
Jc7d6s4s4c AhTs9d6d6c Qd9c7h6h2d AhQd9h8h2h 
AsQsTs8s2s Ad9d6s4h3c 9c7s7c5h4d Kd8c6s5c3s 
KdTd9h7d2s AdJh9s8s2c Ad5h3d2s2h JdTdTc7h2s 
QsJsJd8s3c Qh9h7c6s6h AsTd5h5d3h JhTd8c7s3h 
Js9d6c4s3d KdQc4s3c2s JhTc5s4h3h QsTsTh7c3s 
QsQh8h5h3c AhJsJc6d3c As8s7c6s3h Tc9d7h7c4s 
JhTh4s4d2d KcQd8s4c2s AsTd9s6h2s KhQc9s8s5d 
TsTh7s4d2h Jc8c7h6h2s Jh8s7h6s3h Th9c7s5d5c 
Kc9c5h4h2d AdJc6h5h2c Ks8s8c7s5h KsJh6s6c2c 
AdQc8c7c4c Kh8d5s5d2h Th6d5d4s4h JsTd8c7h3s 
9s7s5c3s3c KhTh9d9c5h Tc7s7h4d4c KcJhTs7d2h 
KcTh9c5s5d Tc9s9h3s2c Js9d6c4s3c JsTd9c4h2s 
7d6d6c5h2h 7d6s5c4h3c Kd9s8s8c4c KhQdTs8s2c 
AsKs4h2s2d 9h9c7d2h2c Qh6s5s3h3d Ks6c5d4s4h 
AsQh5c3h2c Qd8d6h4c3c Kc9h8c5s4d AsJs7h7c2d 
QcJsJh5h2h Ad8c6d4s4d AdQd9h5d2c Qs8d7d5c3c 
QdTd9h7s2c QsJh7s4d2h AdJsTc4s2s KdQh7h3c2d 
9h6c5c4h3c QsJs9d3d2d QhTs9s9c2s KsQc7c3s2d 
Ah9h6d4c3s KhJh8h6s4d Jh8s5c4h2s JcThTc7d2s 
Ts9h8d7d4c Ts6h6c5s5d KsJd6h5d5c AhTs9c6h2h 
JdTh8h5h3s Ac8d7h5h4h Ah7h5h5c3s Qh8h5s4d2s 
KsTd8d6h6d Tc8h7h4c3h Td7c5c4d3d 9h8d8c7d5d 
8c7h5d3h3c KcQhJd3s3d QhTs6h6d3c QcTd5h4s3c 
Jd9s6d5s2d AsQd3s3c2h Ah7c6c4s3s Qd7h7c4h4c 
AsJd8h6c4c AhKs9c3d2h KhTs8h3d2d Qs8s6h5c4s 
Ts9d4s4h3h 7d6c5s4h3s AhQc7c5c3d Qd7c5d4c3c 
KcJc9d7h2s Ad6s5h5d3d QdJsJh7h3c Jh8h7s6s2c 
Kc5c4s4d2s Ac6s6c5d3c JhTs5s4d4c JhTh8h5s5h 
Kc9c7h3h3d Jd6s5d4s3s Jd8d8c7h5d JsTs8d6h3s 
AdQc8s3s3c KsQhJs3c2s QdJs9h7c3d QhTh9d4c3h 
KcQc3h3d2d Kc8c5h5d3h 8s7d5h3s3d QdQcTd7s2d 
AdKd6d4c2h Ts8d7h5d2s 8d7h7d2h2c JsJhTd4c2c 
AhKc5d4c2c 8d6h6c4d3c 9s7s7h6c2h Qh6s6h5h3s 
Qh8d5h4c2c QsQh9d7c4c Ah8c6s6d3h 8h7c6s6d4s 
8h7h7d6c2d 9d6h6c4c3d Jd7s6d4s3s 9s8h6s6d2d 
9s8s7s5h4c AcQd4c3s2h Ks7h6s5d5c QdTs8d7c3h 
AdKc9s5c3c KdTs9s9h3s AhQd3h3c2s Ad7h7c3h3c 
KdJd9h8d5d KsQcJs3d2s KcTh5d2d2c Ad8h7s7c6h 
KdQc6s5c3c AdQdTd5s2d AdTc5h5c3h QhTc6d3d2h 
Js9d7s5d2d KhTc9s9c3c Td6d6c4c3h QdJd8h7d2h 
JcTd9c3s3h KdQd8s7s2d AcJsJd6h3s Kd8d5h5c3c 
Th9s7s7c2h Ad5c4s3d2h Kh9c8c7d3d Ac6s5h4c3c 
KcTd8c3h2h Jc7s5s5d3c 9s6h5s3h3d Qh8s6h4d3s 
Jh8s6c4s3h KcTc8s2s2h Qs8d5s4h2h Tc6s6c4s3d 
QcJs9d7h3c Qd8h7s6h2d Kd6s6d5s2d 9c7h5h4h4c 
9s8s8h6d4c KsJc9s5h5d KdQcJd3d2s Qc6h5h3d3c 
KhTc9h7h2s 7h6h6d5c2d Ah9d6s5s3d AsKd5d4d2c 
As9s9h6c3s 9c8s8c6h4d Jc7s6d4d3c KcTs4h2h2c 
8s7s7d6c2d KhQd7s4s2h Ks6s6c5s2c Kd9c5d5c2h 
Jc9h7h5c2c KhJh9h8c4d Th9c7d5s5c JsTc7c3d2s 
Jh9h7d7c6h JhJc9d5d3d QdJs5d4h4c Jc8s7d5d4d 
9c8h6s5c4c KsJc9d6h6c KsQs9c6h2d QhQd8c6h3h 
Qc8d6c4s3d Qs8h8d6s2d 9c8h6h5s4h 9h8s8h6c4d 
AdKc9h6d2d Ah9s6d6c3h JsTh8h3c2c KdTs7h5d3d 
AsTs9h4s2d QsJc7c5s2c AsJc9c5h5d Td6c5c4d3d 
Th7s6c5h4h KsTs9h7s2d JsTc8c5c3d Ad5s3d2s2c 
8d7h6c3h3d 9h8s6d5s4s Jc8h5h5c2s Tc9d8h7h4s 
Ks8d5h5d2s Qh9h8d7d2h 9s9c6c5d3c AsQs7h4s3c 
AdKd6d4s2c KsTc7s5d3s KhQs8s8d5c JdTh5s4s4c 
Jh7h5d5c3d JsJh9s5s4s KhTh5d2d2c AdQcTc7c2s 
Kd9h7d6d4s Kd9h7h7c6h QhTs8d7h2c Ad7s6s6c3c 
KcJc9c8d4s Qs9c6s4s4c 5s5h4c3h3c Th9c7s6s4s 
8c6s6h4h3s Th8h7d6d2h KsQdTd4h4c 9s9c8d4s3c 
Ac7h6h4d3d AsQs3h2s2h 9h9d6s5d3d JhJc9d6c4c 
Tc9h8d6d4d Js9h6d6c5d KdQd3s3c2c QsTd7h7c4s 
KsJs7s7d4h 9s8h7d6c4h QsJd7s4c2d Kh9d8s7c5d 
Qs8d6h4s3h 8h7s6s6h3s 9h9d5d4s2h Jc8s7s7h3c 
7c6d6c5s2d KhQc9c3c2h JhJdTc4s2s KsQs9d6h2c 
Ah9c4h4d2c Td8s7c4d3c AdJh8h6h6c AhQd5s3d2s 
JcTs5d4c3c QhTh7d5c3s Ac9s6c5d3c Tc8h7s4c3s 
AcJh9c3d3c AcTd9s6d4d KdJhTh3c2s KhJc8s5d3h 
7c6s6c4s3s Ac9c6c4d3d Jd6c5c4h4d JhTd9h6h4h 
AcTsTd2s2h Kd9d6s4d3s KhJc7s7h2s KcQd7h4h2c 
Kd8h5d5c2h JcTs8s3c2c 6h5h5d4s3s KdTsTc9s3s 
Td9s8s6h4s AcKh9s8d4s Jh6d5h4d3d Ks9c6d6c2s 
AdJh9s9h4h JhTh8c4s4h Th9c7s7d5s Ts6s5s5h4h 
KdJc7c5h3s QdTs6s6c2c 7s7c5d2d2c KsTs9h9c3s 
Ts9d6d4c2s Qh9c8c7c6c QhTs8s6c2d KsJs8d5h5c 
JdTh9h5s2c Ad5h5c4s4h AsJs8s4h3d AhQs9d8d3c 
KcJcTh6c2s JsJc9h5h3h KdTs4h3d2h Ac8c7d7c3h 
KhQc5d3c2d Kd9s7d6c4d AcKh7s3h3d Jc8s6s5h3h 
Qd9d5d5c4c TsTd6c5d2c Jd8h8d7c5d KhKdKcQd5c 
