QdJh5d4s3s 
JdTs8c5d2s ThTd7d6c3h KsKhJd4c3c KsJs9s8d7s 
KcTd9h7d4h KhQhQc8d5h QsTd9s7c5h KsKc9d8s2s 
KcTc6d4s3d QdTs9s5c2d Ah9h8s7h7c Tc9h6s6c5h 
Ac9s9c8d5c QdJd8c7h6s AhTc8h3h3c JdJc9s7h6h 
JcTh8h6c2s KcJc9h5s2s Qd8h7d6c4h Qs7s7h6h5d 
JdTd6h5s3h AdTd8s6h2c As8c7c5h4h JsTc8d7s2c 
JsJh8s5s3h KhKd9h8h4c AsKs8h6c4s AhJs9c7s6d 
KhJsJd7s6s KhKd9s8d2d AcJc7c4s3s QdJcTs9s2h 
JcTh7c5h3h TsTh9c8c3s KsKcQd6h3h KsQcTh4c2h 
Kh9d6h6d3s AhTdTc8s6d AsTsTc7d3s JdTc8s7d4h 
KsQcJd8d3c 7h6d5s4s3d AhTd6h5c2c AcTs6d4c2s 
Tc9h7d6c3d AdJd8h8d4s Kh8c7h6h6c Kh9h6c5d3c 
QsJd8d5s2h AcKdJd9s3d KhQsQcTs2s KhQd9c8s8d 
KhTs9s6h2s Ah8s7d5d4s AdQdJc5s2d QcJsJh8c5d 
Kh8c7h6c4h KcQs9h7d5c AsJcTs6s6d Jd7h6s5d4h 
AdKcQs6h4h JsTh7c6s3c KcTc9c5s4s Jh8s7s6d4h 
Ts9c6h5c4s 7s7h5h5c3s QcJdTs3s2d Kc9c6s6c5s 
Ad8d5h4s2s QsJdTd6h5d AhKh5s5d4h AsQdJh7c4h 
KdQd9c7s3c AdKcJc9h3c AsQd6c2s2d AdJc9s8s5h 
AsQc9h9c7d 8s8d5s5d4d AcKdJh6s3d QhQdTh6c3h 
QhJsTs7d4c Tc8s8c5d4s QcTh8s5c2h AhTs4s4h2c 
Kd8d6d5h4h QcJhTs9s6s AdQh8s8h7c AhKhJd5s2h 
QhJh9d9c7s JsJc9h6s2c AhQs8c5c3s AhTsTh6h5d 
AdKh9s7c6s AsJc8s5h2d QdJc9h9c8c AhTh8d6c2s 
KhJd7h4s3d QsQh8c6d4s KhTh8d5s5d AdTd5s4h2h 
KcQs7c6d4h 7d7c6c5c4d KdJdTh9s4d QsJd8s5d2c 
Tc9c7h5s4h AcKhTs4c3c KcQcJs9c6d 9s9d7c6d3c 
QhTs9s7d4d JdTdTc6c2s QcJc6s4s3h AsKcJc9c2d 
Js9s7c5c4c QhJh6d4d3c QcJhTc9c3s AdTsTd6d5h 
QsTc8h7h3s KsJd8d7c6h Ts9d6s6h5h AdKs6s5c4s 
Jc9s7d5d5c AdTs4s4d2h KhKc8d6d4d KhJh9c7h3c 
Kh8c7s6s5c KhTd7h5d3h AcTd9d6h4h QhJh9s8c3c 
AdQd8s7c4d Qc9h7h6s4c AcTh8c3h3c KsKhQd3c2d 
AsKsTs7s6s 9c7d6c5d3d KhQsJsJc7s AhKcTc8c4c 
KsKh9c6d4c AdJs9h9c2d AcJd9h8h5s KcQdJs7d6d 
Ts9s9d7d3c As9h8s4h2d Kd9s6s6d3c AdTs9d8d6d 
QhJd8d5h2s TsTh9s6c2h KhQhJs8d6h AsKdQd4d4c 
AsTh6h3s3h JsTd8s5d2h KdQs9c7h5d KsTd7s6h6c 
Ad7h7c6s4d QcJsTd8s5s Ts9c6s6d5d 7s7c5d5c3s 
KsJc5h4s2c KcQdTd6s2s QsQh9c7c2s AhKs6s5s4c 
QsQd9c7d5d AcKhTd8d4d AsQcTs3s3d AhKh8c6h6d 
QhJhJcTh3d KdTs9h7d4c 9d8d7h5h4c KcQd9s4d3c 
As8s7d6d3s AdQd7c6h4d KhQc6h3d3c AhQs9c7c3s 
AdJsJcTh6h KsQsTc4c2s AsKh9s9c5s AsTs7h5s5d 
JsJc5h4s3c 9s8d6s5h4h Ks9s9h6d3h KdQh9s7c5d 
KcJdTs9h5d JcTdTc7h4s QdTc9c7s4s JsJd8h6s5c 
Ah8h8c5c3h Kd8h7c5d5c AcTh8d4s3c QsTh6c4s4c 
AsJd6s4h2d JhTh8d8c7h Ah8d5d3s3h KdQd9h7s3h 
AcTs7d2s2c KdKc9d8d4h Ad8s8c4c2d QcJd7d6c3h 
KsJcTd6c4h KsJd8c7d2s 9d8s8c5s5c QhJdTs7c5d 
AhJc8c3h2d QcJh8c5h2d QcJcTh6s2s AhJh9c3c2s 
JsJhTc5c4c QhTc8h8c2s KcQc7d6s4h JsJc8s5s3c 
KcTs9s7c2c AcTh9s6s4h QcJd9c6d3d KdTs7d5s3d 
Ad8h7d4h3h AsTsTh7c3s Tc9h9d5h5d KcJcTc8h5s 
QcTsTc6d6c Qd8h7d6h6c QcJsTc8d4c JdJc9s8d6d 
Js9d8s8h5h Kc8c7h6h4c Qs9c8s6s6c KhKcQc8c4s 
AdKhJc6h4h As7d5s5h2d KcQsQh5c2d QsJs9d6h3h 
AcQs8c6d4c KsQd7s4d3d AsQsTd6s5s AsTd5c4c2s 
QhJd5d4h3d QcTd7c6c3d QhJdTd6c5d Js8h7h6h4s 
Td9s9h7h4s KsTd9c5c4d AhTs9s6c4c KcQd7d6c2s 
KhQdTd8c3c AdQdJh5s2d Ad9s9d8h3c AdQc8h5h3c 
AcQhTd6s4d 9s9c7s7c3s Kd8c7d6d6c KcJh8s7s4h 
JdTh8s5d2h QhQd6s5s2d AcJh8c7d2s KsKd7d4h3d 
AhKsQd6c4c QhJd9d9c8d AcQc9d6s6h KcJdJc8h6c 
Ad7s7h6c4d Qc8h7h7d6d Qc9c8s6s6c AdJcTh8s3h 
QhTs6s4s4h AdTd7s7h3c Jh9d7h5s4s TsTh9c7c3h 
TsTc5d5c4d Ah9h7c6d2d KhKcQs8d2h KcTs8s8d3c 
AdKsQh9c2s JsTs9c7d2d Qc8s8d6s5d KhKcJd4s3s 
KdJc7c6d3c KdJc9c8d2d Ad8c5h5c2d KsQcJh6d4c 
QcTh9c5h2d AhJd8c2h2c AsQsQh3c2s KdTc9h4d4c 
As8c7d5d4c KhQd9d8h2d JdTh7d6s3s KsQdJdTc3d 
AcQh9h9d7s JsJh9c6h2s QsJhTc5c4c 9h7d6c5d4h 
KdJdJc7h2h AhKd8h5h5c AdKcJc8s3h AcKd8c5h5c 
Qc9h7d6h4c Ks8h7d5s5d KsJsTs9s6c KsKd5c4c3c 
KsJsTh9d5s KsTs8h8d6c JhJdTs9c4d KcJdTs7h3c 
KsQh8d7h3s QsQc8h6d5h Ah8s7h5c4h AhQc9d8d2c 
8h8c5h5c4c JhJd7s6c5d AcJh9s9d7h KcTd9h4d4c 
AhJh7c6c3h AsQc4s4c2s AdJsJh8c4s KsJsTc5s3d 
Td9h8s6s4h QhQcJh4s4h JdTd8h5h3h KsJs9d5h2h 
KdQc8d5s2c As9s8h6h4s KsQhQdTc2c AdQh9s9d6d 
KdQh7d6s4c Qc8s7h5c4s QsQh8h5c3c Ks9d6s6d3c 
QsJdJcTd6d 9d7s6d5s3s KcQhTs5d4h KsKhQd8h2c 
KhQhTc6c2h QcTd9s9h7d Ac9c7s7h2h Js7s6c5d4d 
Qd9s8s6h4d JdJc8c7s5c Jh9s9c5s4h AhJdTh6h6c 
KsQh7h5s2d KhTh9d6c4s 9d8c6s6d5s AsKhQh4h4c 
AdQsTh7h7c Ad9d7s7h2h AdKdTd9d3s QhJh9h9d5d 
AhJd7h5s5h AdKcQc4s4c QhQcTs9d5s QdJdTh7s5d 
KsQsJh9d6s AcKs5h3h2s KhQsJcTc5c Ks8d7s6d4s 
AsJs9d9c2h KcTd7h5c4s QhTdTc7d3c Ks8c7h6h5c 
JdTs7d5d3s QhTs8d5s3h AcTc9c6d5s JsJc8h4h4c 
QhJsTh6h4c Ac7h5s5d4c As9s8d4d3c Th9c8d7d6d 
Qh8s7h5c4s AcQs9s9h7d AsQhQd7d3c KdJsJh7c4d 
Qs8h8d6h5d JsTc7s6d3d QdJd9c8h2h AcJs6h6d5c 
AcQs9d6h3c JdTh8h6d2c Ac9c8c7h2h KdQdJc7s4h 
Tc9s8h6h4s AsKc7h5d3c Tc8s7s7c5h Kd9h8d6c4c 
KhQdJdTc3d AsQs8s5d2d JhJcTd5c3s QcJcTd6h2h 
AhTs8c4d3h KdKcQd7h3d AhKdJs5d3d AsKc7d5s2h 
AcKc8c6s6h JsJd7c6s5h QhJdTc7d5s JsTc7s6h3h 
JdTh7h5s3s AdJd6s5s3d AcQs8c4s2c KsQs8c7c4c 
Qd9d8d7s5s QsQc8c7c5h QhTs8c7c6c AhJcTd5h2h 
As8d6h5s5c Kh9d9c7d3h Ad8d6h6c5s QcJdTs6d5d 
KsKh8d6d4d Js7h6s5h4d AcTd9s6s4d KhQs7h5s2c 
KhJcTd8h5h QdJsTc8s5s 7s7c6d5d5c KhKdQs6s2c 
KhQcTc7c2h Th9s7c6h3s Ad8h8d5h3d Ks9c8c5s4d 
AcTh8s7h6h JcTsTh3c2h QsJc9d8s6s KhJsJcTc4c 
AsKh9d8h5h KcQsJd3d2s KhTc7h7c3c AsQcTh5d3c 
QhTh9d5h3d AcJc9s3s2d Qh9h6c5d3c As9s7d5h3c 
Tc9d9c7d3s AdQdTh6d5d QdJdTd8h4s KcQdJs4h3c 
KcQc9h8h3d JhJcTc6s5c Kc9c8s6h5d Qd9h7s6h4d 
KsJcTs9s3d KsJdTc7c5c AdTs5c4c2d QdJd9h6c3c 
AhQc8d4s4h AsTd9s9h3s JhJc8s4s4c AcQc7h6s2h 
Ts9c8s7h6s AhKsTh4h4c AdKdTd7h2s Qh7s7h6s5d 
KdTc9s6h4d QdJc9d8s5h KdQsJh8c6h KcJc6h4h3s 
KdThTc7c3h JsTs8d6h5s QsQd8s5c3c Tc9d8s7s4d 
Qs7s7h6h5c AhJs6c5c4s QhJc8c7c4h Qs8c7s6d4c 
QsQhTs9d4s KdTs9c3d3c QdJd9s8c4c QsJhTd7s5s 
Kh8d8c5h5d JdJc9c5d2c QsTc7h6d5s Ad9h8c6d4s 
AsJhTc9h6h Kc9s6s5c3s AcJd9d8s8d KcJs7c4h3s 
AsJd8c3s2c AdKsJh6c3s QhJcTh6h4s KhQh9c7s3c 
AcQcJs3h3c JsJc8s8c3s KdQdQc8s5d AcKh6h6d4s 
QdTs6s4s4d QdTs5s5d4d JhTc8h7c3h 9s9d8h7s7c 
QcJd9h8h3d KhKcQd8h4h KhJhTh9c2s KdJdJc3s2s 
9s8c6s6d5d QhQc8h5d3d KhJdTc9s4d JsJcTd6h5d 
Qh9h8h7c5c 9h7d6s5s4d As8d5d5c2s AdTh5s4s2d 
JsTc8s7c3s Qd9s7s5h4d JsJh8d7d6c KhQdTs4d2s 
Kd6d5s4h3h AcJc7d6d3c 8d7s7c5s4c AsKdQc6h4h 
AhJsTd9c2d Ks8d7c6c5d AsKc6c5h4c QcTh5h5c4c 
JcTh7h5s3s AcQs7h3s2c QsQcTd9c4c QcJhTsTd4s 
KhQsJd4c3h AcKhJh7h7d QcJhTd9h4s QdQc8d5s3s 
AsKdJh6c3d AsKc6c5c4d Kh8d7d5h4h AsKh8c5h5d 
KhQd9c4d3h KdQdJh3d2h JsTc8h5s2c QdJd9h5h2c 
AhKc5h4d3h 9s8h7c6s4c AcKh9s9c5c AcJhTh7s3d 
Ah8h8c4c3c JhJd9c6h2d QdJhTh9c2s QsJhTc8c4d 
Ah9d9c6d2h Jd8s7s7c6c QdQcJh7h5s QhTh6c5c3h 
AhKhJc5d2h KdKcQd8d4h QcTh8d7d6d QhQdJh5s3h 
QdJc8c5d2h KcTd9h5h4d AhKs9c6s5s Ah9c8d6h5h 
As9h8s8d2c AhQsTd5c3s AhTd7h4c3s AdQhTs9s2c 
AhQc8d6h4h AcQdJs5s3h QsQd8c5h4s 9h7c6d5c3h 
KhQs8d7s3h Jc9d9c7d3h Td9h9c5c4d Td8s8c7d5c 
9s7s6d5c3c TsTh8h4s4h Ks8h8c5s5h KhQhTh7s3s 
KdTc8d7h7d KsQs7d6c4h AcJh8s5c2d KsQdTd6c2c 
As9c6d4s3d QdJcTs9s6s JsJh8s3h3c Ks9s6c5h3c 
KhJh9h7s4s Td7s6h5d4s KdTd7s4s3s KhQd7d6s5c 
Ts9s9h6h3s 9s9c7c5d4d AsKhJd6c3h QsQhTs4s4d 
KsQsQd8h5s KsQd9h8d8c AsJh8h6s2s Kh6d5s5h4s 
QdTd7h6c5s KcQdJcTc6c Kc8s7s5c4c Tc9d7h6c3d 
8s8c5s5c4c JcTh8s8h7h As8d6c4s3c Ks9d6c5s3c 
AsJc8s5s5h KcJhTc8d5c QcTd9d7d3c AhKd8c6c2d 
QhTd8d7s3h QhQc5h4h4d QdJs5c4d3c AsTsTc4d3h 
9h9d7c5d3h QsTsTc9h3d AhJc9c7d6s AhJd8h5c2s 
AcTd9c6d2c AsTd6c4s2d QsTs5h5c4c Td8s6s6d4c 
AsQsJc8h3s JhTh9d6c5s Jd8d8c6h5h KhJhJd8s6h 
QsQcTc9c3d JcTh8h8d7h JsJc8c7h2s AcQh9s6d3c 
KcQdTc8c6c AsJhTd5s2s Tc9h9c7h3d QcJhTc9c3d 
Ts9s9h8c7d AsQh6c2s2h JhJc7c6s5d AsQhJc6h2c 
KsQdTs7c2c AdKs8d6h4d AdJs9s8s5h QcJs9s9d7h 
AhKh9d4c2d KsTh9c7h4c 7c6c5d4s3d As9h6s5s4h 
KsJs8d6h5c AdTs8d5h5d AsQc9d8h8d JhJd7d6s5c 
Ah9d9c7s4h AcTc9s9c4d Jd9h8h5c4d KcJc8d6s5h 
QcJs9c8c3s AsAhAd4c2d QdJhTs9c4h JdTh9d4s2h 
AhKhTh7s2d QhJh9s8d2d JsTsTc8d4h JhThTd9c4s 
Ts9h9c7d6h AdJc9c8c5h AcKs9h9c5c KcQcTd6d2c 
KsJsJd3c2c QcJcTs6d2d AhKdTc8s2d AsQh9s6s2h 
Kh9h8d5c4c AdQc7h6s3d 7s7c5h5c3s AcQsQd7d3h 
QcTs9s5d2c QdJd9s9c7h KdTd6s5s5d Td9s6h6d5s 
9s7d6h5d3s KhJhJc8d6h KcJsJc8h6c KdJc8c5h4h 
KdKcQs9h4s KhJhTc5h3s 9s8c7h5s4h Ac8s8d6s5d 
KhTd7s5c4h AhTd9d6c4c QhJsJc5d5c AhKsQs4s4c 
Kh9c8h7h6d AdThTd6d5c KdTc9c7d2d Qc8s7d5c4s 
AsQsTc5s4s QdJdJc5d4h 9c7s6d5s4c KdTsTc7s3c 
Ac9c7c6h5s JdJcTs6d4h Ah9s8c6h5h KhJc7c6h3h 
AsJd8s7h2c Qs8h7d5d4s QsTs5h5c4h Kh7s6s6h4s 
JdTh9d6c2h KdJsJc7h6h QsQh8d7h5h JdJcTh5h4h 
JsTsTd6d2h KsQsQc8s5h AcJs7c5d5c KsJh8d7d4h 
As9s9h6d2d QcTc7s6h5d QsJdTh9h2c QcJh9c8s5d 
JdTd9h7c2c QhJs8s7s4h Tc9s9d5s4c KhQhJd9s6h 
Ah9d6s4h3s AdKs8c4h4d QsJh8h5s2d AcJc9s9d2h 
Jd9s8d8c5c QsQc9h5c4d KdQsTs8s6s As8h7d6h6d 
KhTc9c8d4d Qs8s8c6d4c QhTs8h5s2c QcJhTc8s4c 
JhTsTd3h2s Ad9d7c6h4s KdJsTh6s4c KdJh8h7s6c 
8h7s7c5c4s Kd8c6d6c4s JhJc7s6c5d KdQsQd9d6d 
QsTs5d5c4d As9h6d4d3s AdKs9h8s5s Kd8s8d7s4c 
KdQs7d5s2c AhKcTd4h3h 9h9d7h7d3d AhKh8s6h6c 
Ad8s5s5h2d KdKcQc7s3c KhJhTs6d3c As7c5c4s2h 
KsKd9d4d4c AdTd7d5c4h Ad9d8c7h2s JhJd9c7s6s 
AsQd9s9h6s QcJsTh8h4d QcJh9s9h8h QhQc5h4s4h 
KhTh8d8c6s Ks9s8d5c4c QsTdTc7d3c AcQhJd5s5h 
Jd9c7h6c4d As8s8d4d3d QcJhJc5s5d JsTs6d5h3d 
JhThTd7s4c KhJdJc7s4h JhTs8h5d2d KhQcJdTd5d 
9h9d6s4h4d QhJsTc7d7c JcTh8h7s5d QhJdTs3s2d 
KsQh9c8h8d AdJc9s9h2d QsQcTd7d5h JsJh7d6c5s 
Jd9d9c7c3s 7s7d6s4h4d AsKcQc6h6d QhTs8c6d4h 
KcTs9h7c4d KhKcJs6s3s QsJdTh9h6h QhJsTc7s5d 
AcJdTs9h2s 9d8c7h6d4h AhJs8d2h2d JdTc7s6d3s 
AdJhJc7h4s KsKdJc4h3h AcJc8s8c4d AcJs8c5d2h 
QhQc9d7h5h Ac8s8d4s2c AdQh4h4d2d AdQd7h4h2s 
JcTs6c5s3c KdQdTc8c2d AsQcTd7h7d KcQh9s7h6h 
AdQcJs5d2d Jd9c7c6s4d AhQc9s7s3c KcQcJh7d4s 
9h8d7h6c4c AhQh7h6d4s AhQh6d4c2d AdKd8h8d7d 
AhJd9c7d6s KsJsJh8d6s QsQh6h3d2s 9c8d7d6h5s 
9s9c6s6c3c AhKhQc7s3h AhQd7c6s3h Qd9h7h6d4s 
AcJdTc6s6c KcJd7c4s3d JdTd6s5h3h KdJh9c4c3d 
AdJc9h3d2h AcJc9c6d5h AdJsTs8c2h KsKdQs3h2s 
Qc8c7c6d5d QsJdTh9d4c KsJd9d8s2s KsJhJcTs3s 
Ac9c7h6s2s AsKhQh6d6c Tc9c7d6d4c KhJc9d7s6d 
AsQs7d6h4s Td8h7d5c4h AsQcJs8h3s AcTh4h4c2s 
KhThTc4s3s AsJc8c3s2d KsTs9d5c2d AhTh7d6h6c 
AsJh9h3h2s Ad5d5c4c2s Kd9s8d7d6h KdJc9h7s6h 
QhJsTc9s4d Ac8c7d4d2s Td9s9c5s4d QcJsTd7c5c 
AcTs8h4d3c Jd8d7h5h4d JsJh5h4s3c KcTd6s6c3d 
KhKcJs4d3d KsJsTs8d5h AcKsQh7d4d KdJdTd8s5h 
KdQhTh6c2c AcTc5d4h2h As9c8d6s4h AdKs8d2s2d 
KhJsJh3c2c JcTsTd5h4d Qs9d8c7h6s KsTdTc7d3c 
As8d7s6h5s JdTc7c5s3s AhKc6c5s4c AhKs9d8s5s 
9h7s6h5c3c AhQh8h7c3c Ac9c7d6s2s Ts8c6h5h4c 
KcQhJcTc6c KhKc8s6s4s AcJhTs8d2h AsKc6s5h2d 
Js8h7c6c4s JcTs9s2s2c QhJsTd8d4c QsTd8d4h3s 
Ad9d9c8s3h Kh9h8s5c4c Qh8h8d5d4s QsJhTh7h2s 
AcJs8h3c2h Jh9h8s5c4c Jd9s7d5s4s QsJdJcTc5c 
KhTs9d7h4c QhTc8c4h3s QhJhTh8h6c QdJsTc6s5s 
AsTh5d4d2s JdJc8h6s5c Ts9d9c7d4c JhJd8c5d2h 
JhJcTs5s4s Jd9h7d5c4c QcJdThTc5c AsQhTc9d5d 
AsQd8d8c7h KhJs8h7h6d KdJcTs5h4s KdTsTh7h3s 
As8d6c4d3s QdJs8s5d2c AhJc7s7c4s KsTc9h4c2s 
QdJc8d5c2h QhJcTc7s4d Th9d6s5h4d As8s7d4d2h 
KsJsJd7h2h QdJh8c6s5h KdQh8d5c2h AsKdTs9s3s 
JsJhTh6d5h AhJc6h6c3c AcTc8d6c2d AhQh8h7d3d 
QdTh8h8d2s QsJh9s8d2d AdQdJs8d3h QhJd9h8d4d 
QhTc9d5h2c AdTd9d8s6d KhQh6s5c2c JhTh9c7d2d 
KdQh7c6s6d Td8s6c5s4c KhJcTdTc3s KcJc9c7h4h 
Qd8c7h7c6h QdTs9s7s3d 9s7h6s5h3h KsQd5d4s2s 
AdQhTs5c3h JdThTd9c4s KcJd9h7s6h JcTh9d7h5s 
Kh8h8c5d4c Ah9h9d8s3c QdQcJc4s3c AsJh8s5c2d 
Qh9s9h5s5d QhJh9c6c4h KsQc6s5h2h AhJh9s9c3d 
Kd9c8d7h4c QhJhTh8s4d KsJsJd7d2d JhJdTs5d3c 
AdTd7s5h5d Ad8s7s5c4c QsTs5h5d4h QcTd8d7h3c 
AdKc9s7d2h KcQcTd5d2c KsJsJd8c2c Jc8s7c6d4s 
KhKcQs6d3d AcQdTs9h3h Qc9d7d6c4s QhJh9s5s3h 
KcQhTd4h2d AhKhQd4h2c KcTd9s7d4s Kc9h9d7s6c 
QcJd5h4d2c QdJsTh6h5h Jd8c7d6s4c KdQh6d5s2s 
KcQc8h7h4h AcKc8s6d4c Qd8c7s5d4c AhJsJd6c3h 
JsJhTd7c4d KdTc8s8c2d JhTc7c4h3s Ac8d7h5s3c 
KsQdTs7s7c QsQd7s7c2d Td9c8h6h4c Js8c7c6d4s 
QhJh9c5s5c KsQd7s6h4c AhQh4s4d2s As8h7c5d3s 
AdTh6d4s2h KsQs6d5s3d 9s8s7d5d4h JsTd7s6c3c 
Ac9h8d8c2s QcJdTc6c4h JdTdTc5c2c JhTh9d7s2s 
Kc9s9c6d3s Td8h7c5d4c Kd8c7h5h5d JdTs7s5h3h 
QcJs9c8s3s QhTh9s5s5d AhQsQc8d4d KcTsTd5d3s 
KdQd8h7h4h KsJcTh3c2h AsJh6d5d4h AdKdQh7c3d 
JsTd7s7d3c JcTs8s6c2h Ad9h8s8d2c AcQhQd8s3h 
QhJcTsTh2h As8s6h6d3d AsKcJc7h7c AdKhJs5h3h 
KdJd9h7d3h AsTh9h6d4d KsQhQc5h3h QhJcThTd2h 
KhJd7h5c4s Ah5h5d4d2s KcQhQc4s3c Ac8s7c6d5c 
KdJc7d4h3c AdQcJs7s4h QsTd8d4s3c AsKd6d5h4d 
QdJc9d6c3c QhTc8c4h3d Ac8d7c6s5c AdJsJc7h5h 
AsKc8s4h4d AsQc8h5d3s QdJs9c8c3s JsJd8d3s3c 
Ac9c8d7h7c AhKhTc3s2d QcJhJdTd2d JhJdTc6h4s 
QsJs9c8h3h AhKs8h4d4c Ac9c7c6s5h JhJd7d6c5s 
Jc8h7s6s4c KhQs7s6h2c AhJc8h5h5d KsQdTs8h4c 
QsJcTh9h2d KsJs6h4h3d Jh9s6s6d5h AhJsTh6h6c 
AcQd8s4h4c Jd7h7c5d5c QsJhJd9h6h AcKdJs5d3d 
KhJcTh8d5h Qs9c6h5c3s AcKh5c4s3c QsQc9c6h2h 
KhJhTd6s3c QsJc9d7d4c AsJc9h9c7d AhQd9s7s3d 
Qc9s9c7h7d AdTsTh4c3d KdQsTd7h2h Qd8h8d6s4h 
JhTh7c5c3c AhTh7c5h5d Th8s7c5h4c As9s7c5h3d 
QcTh9d8d6d KdJdTd9d6c AsQhJd7d4c QsJhJc5h5d 
KsTc8c5s2h Td9h9c5h4d KsQhQc5s2d Qs9c8h7d6s 
QsQcTh9d5h KcJsTh5d4h QsTd9d5c3c Ts9h9d6d3h 
Th9s9c5s5c AdQs9d6d2s Th9c7s6h3c AdTd6h6c5s 
KcTs9d2s2c 7d7c6d4s4c JcTs9c4d2d AhQhJc3h3d 
AcJc8c7d5c QsQdJd4h4d KsJsJc8h6s Ah9h7h6d5c 
AhQs8c6h4h QsTsTh7s3h QhJsJd6s4c AhQd9c8s7s 
AcJc9c4h3h JsJd8d3s3h QsTc8d8c4d 9d7c6s6c5s 
TsTc9s7c3s AdQhJs7c4s AdQhTc7s7c AcJd8d3c2s 
Kc8s7c6s4c QdTc7h6s5d JcTc5h5c4h JhTh9c6d5s 
KhJhTh9d2s QcJc9s8h4h AhQd7c6h3s AdTh8s4c3d 
AhQh8h5c2c KcQhQdTh2h Kd8s8h5s5d KdKc7c4h3c 
QdJdTh7c5d JhTd8h5d2c AcJs9h3c2h JsTc7c4s3h 
QdJd9h9d5h 9c8c7d6h4h Jc9s9h5h4c Kh9c7h5d3c 
AsKs6d6c4s KdQcJcTh3c AdKhTs5s4c KhJhTd2h2d 
Ah9h8c7h7d QcTh9h5s3s JcTc6s5h3s KdJc8s7c2d 
Ad8h7d3s3h JcTd9c6s2d JsJc7h6d5s Jc7c6s5h4h 
KsQsJd7h4c Ad8d7h7d5s QhQcJc4d4c KhTs8h8d3d 
AsTs7d7c3h AhQsJc5s5d KcTc9h3s3h AhQcTs9s2d 
QsTd9h8s5c Kh6c5s5h4s KcTc9d5s2d Ac8s7d6s6d 
KdTh9d5s5h KhJsJd6h5h Js8d7d6c4s QsJs8c7d6h 
AsKs8c6h4s JsTh8d7s4c Td9c8d7h6d Qs9h8d7c6s 
Qc8d7s7d6s AcJhTs6h5d AcQc8h7s4c Kc9h6h6c3d 
Kh9s8h7h6c KcQcJsJh5c KcJsTs5h3d KsTh8s7s7c 
Ac8h7d6c2d Ac7c6s5h5d AdQs8s7c5s 7h6h5d4s3d 
AcJsTd5c2c KsQsTd3h2h As5d4s4d3d JhJcTs9d2h 
AcTsTc4s2c Qd7s7d6s5h AsKhJh9h2d Qc9d6h5c4d 
9d9c7c5s4s QdJh8d5h2c Td9c8h7h4c Jc9d8d7c4s 
Kc8s7c6s6c Qh8s7c6h4s Ts8h8c5s4h QhJd9d8h3d 
AhKsTd8c2s As9s9h5d2d AdTs6d4h2s JhJcTd5h3s 
KhKd7h4s3h KhJd8d5s4s Tc9d6s6c5d KcJhTd9s4h 
JsJh8h5h3s AcTh5c4h3c KsTd9d6s2d AcKcQc4h2s 
AsQhTh9d2h 9s7h6d5h4s AhQd8s5s3d JcTs9d7s2d 
Tc8s8h7c5s KcQhTc2h2c AhJhThTd6h KhThTc4c2s 
Ah9s6d5h4c KsJc8d7c4d AdTd7s5d5c KcJh7c4d3h 
AcJsTd9s6s JhTd8d7s5c QsTh8h7d3s Th8s7d5h4d 
KsTc9h7s4d JhJdTs7s5c JdJc5s4d3c TsTh9s7h3s 
QcJs9c8h2h QdQc9s5d4h Th8s8d6d4s Jc9s7h5h5c 
JcTc7s6d3d AsQs7d7c6s AcQd9h8s8h KcJh7h6c3h 
QdJhJcTs6s AsQsTh6s5s JsTc9c6s3c KcJc8s8c5s 
AcKcQd4c2h Ad8h7d4h4d AdQsQc3d2d JsJh9d7c6c 
AhQh7d6s2d KdThTc5d2c JdTh8h7c5s AsQhQd8h3c 
AcKs7s7h5s QdJsJcTs2s KdQdTs8s2d QhTc9s5s3c 
QdQcTd6d5d AhKcTs8d2c AhKh6h5d3c AsQd8h6s4s 
QdJc8h7s6d QhJsTc6s5s AhTh9h8h6d QsQh7c6d4s 
JhTc9h8d5s Jh8c7d7c6d AsKcQh6d4d Ah9h9d8s6h 
Qs9d6d5d3s AhKd9c7h2s AhKdTs4d3c Kd9c8c5d4h 
KsQc8s8d7h AdKsTc4s3h Ah9s6c5h4d KsQc8c5h4h 
KsTdTc7c3d Jh9d7h5s5d Ah5s4s4h3s AdTh9s9d3d 
Qd9s7s5c4d KsJd9s9d4d KdJhTs7c3d ThTd7h5c3d 
JhTh9h8s3s AdKdTh3c2s QcJd4d4c3s AhJd9c8s5d 
AsJd4d3c2s AsKcTd4c3h QsJsTh8s6s QcJc9s8h2h 
AdKd5s4d3h KhQh7d6c4s AsQh7c6s3d QcTh8s6s2c 
Kc9c6s5d3s QcJc9s9c5s KsTsTc4d3d JcTh7c6s3s 
AhQc7s6d3h KdJh5d4s2h KdQdJc3d2c AhJdTs9d3d 
KhKdQd3s2d JcTs7c5s3s AcTc9c6s5h Ah8c7s6h2s 
AsKs6s5h3c QdTs9c5d2s AhKc9d7c4s 9h7c6c5h3h 
9c7h6c5s3s Jc9s7c5s5h JhThTc5c2c Th8s6d5s4d 
QsTd7s7d4d AsKh7d5s2c JsJh8d6c5s QhJc9s8s3c 
AhQsTs9d3s AsTs7s5d4c As7h6s5s3h JdTc7h6d3h 
AdJsJd9d2h QsJhJd5d5c JhThTc8s4d AdKsJc6h3s 
QhJhTd7c5h QcTh6h4h4c Kd9s6s5d3s AhJd9h8c4h 
QhJc9c6d4d AhJs6h4d2s Ks7h6s6h4h QhJcTd5d4d 
