Kd8s3s3d3c 
9d5c4s4d4c Ac7s7h7d3s TsThTd6h2s Qd7d3h3d3c 
Qd6h4h4d4c Th9h4s4d4c Tc6h2s2d2c 9c8c2h2d2c 
JsJhJdJc6c Qd8h8d8c5d Jc6s6h6d4s Js6s5h5d5c 
Td8s8h8d2c JsJhJd7s2c 9h7c2s2h2d Kd4h4d4c3d 
Kh8s8d8c3h QhTc5s5h5d QhJd5s5d5c 9h9d9c3s2d 
9s8s8d8c3c 9s8s7s7h7d 8s7c4s4d4c 7h5c2s2h2d 
JsJhJd5s2s 9s5s5h5d3h Td8d4s4d4c Qh3s3d3c2h 
Jh7s7d7c6s QsTh6h6d6c TsThTc5c2c 9c7s4s4d4c 
Tc4c2h2d2c 8d6s2s2h2d 8d7h2s2h2c Ts8d2s2h2c 
Jc7d3s3h3d Qd5d4s4h4c 9h8c2h2d2c 9h6h4s4h4c 
5s5h5d4h3c Ac7s7d7c2c Jh5h4s4h4c Tc8s8h8d2h 
Kd6c5s5h5c Kc8s8d8c2d QhThTdTc2h Qc7c3s3h3c 
Qh9s9h9c5d KcJc7h7d7c 5d4s4h4c3d 8s5s5h5c3s 
Qs8s7h7d7c Kc7c6s6d6c Qd9s9h9c3c 9s9d9c6s3s 
Qh8c5s5h5c QsTd3h3d3c Qc4h4d4c2c 8h5d4s4h4c 
KdQh4s4d4c Ks5h5d5c2s 7h5h3s3d3c Qs4s4d4c2s 
7s7h7c6h4h Ad9d2s2d2c Qs3d2h2d2c 9s8s3h3d3c 
9d4s4h4c3s 8h8d8c6s2d Qh2s2h2d2c Kd6s6h6c2d 
Qc4c3s3h3c Qc6h2s2h2c 8d7h7d7c3s 9s6h6d6c3h 
Kh8h8d8c4s 6d3s2s2h2c KsJc7s7h7d Jc7s6h6d6c 
ThTdTc6c2s Kc3c2h2d2c Qc7h7d7c4d Jd8s8h8d3h 
Qc7h2s2h2d Kd6s6h6c4d 7c5h5d5c3c Qh8s8h8c3d 
Qh9s9d9c5s Kd8s8h8d3h As6s6h6d6c Qc3h3d3c2s 
7c6c3s3h3d Ac9c3s3h3d Qh4c2s2h2c 9s3d2s2h2c 
7c3s2s2h2c 6s6h6c3s2c Jh7s2s2d2c Qc8c2s2d2c 
9d6s6h6d2d Ah7c2s2h2d Qh6h6d6c2c Qc5h2s2h2c 
Kd4c3s3h3d 7s7d7c3h2s 8d6s5s5h5c Ac7s2s2d2c 
JsJhJc4h2h Qs9c4s4h4c Jd7s3s3h3d Kh5s2h2d2c 
9h4s4h4d3s AsTd2s2h2c Jc9h2s2d2c 9c6s6h6d5s 
9s9h9c7c2c As5s5h5c2s 7s5s3h3d3c 9h5s5h5c3s 
Th7c4h4d4c JsJdJc7c3c Jh7s7h7d3s 9s5s3s3d3c 
Js9d4s4d4c 7s4s4d4c3c Kd5d3s3h3d QsQhQdQc8s 
Ts6h6d6c2s Th7c3h3d3c Qh4s4h4d2h Qh9s9h9c4c 
Ad7d3h3d3c 9c6d3h3d3c QdJc3s3h3d Ac9c3s3h3c 
Jd7s7h7d6c 6h4c3s3h3c 7c6s6h6d2c Ac8h8d8c2s 
9s9h9d5c2h Jc9s3s3h3c Jh5c4s4h4d Ks6h2s2h2d 
Ad7d4s4d4c Js5s5h5d3c JsJdJc9s3h Qs3c2s2d2c 
Ts9h2s2h2c 8h5h5d5c4s JsJhJdJc9c 9s9h9d5s3s 
Qc3s3h3d3c AhJc3s3d3c QsQdQc3h2c AsTs6s6h6c 
QsQhQc9c4c Ks8s8d8c2c Kh7d6s6d6c 6s5s5d5c4s 
ThTdTc8s4c Js4c2h2d2c Jh8c4s4h4d Qc8d6s6h6c 
7s7h7c4h3d Qd5s3s3d3c QdJh3s3h3c 7d6c3s3h3c 
ThTdTc4s4h 7d3h2h2d2c Td7s7h7c6s QhTd6s6d6c 
Jh4h2s2h2d Js9c3s3h3d 9c6s6d6c3c 7d3h3d3c2d 
Td6d4s4d4c Qh7s7d7c3h Qh7s7d7c6h QsQdQc8h4h 
QhTs6h6d6c 7s7h7d6s3s 9h5c2s2d2c Jh4h4d4c2h 
Jc5d2s2h2c 7d6s6h6d2h QsTs7s7d7c As8c4h4d4c 
KhThTdTc4h Ks8s8h8d2h 7h5c3h3d3c Qs4c2h2d2c 
Qs7s3h3d3c Th4c3s3d3c 5h4s4d4c2d Tc4h2s2h2d 
As8h8d8c5h 8d6d3h3d3c 9s9h9d4d3h 9c7d2s2h2c 
7s7d7c4c2h 7c6s6h6d4s Qd6h6d6c3d QsQhQc7c4c 
Ks5h2s2d2c Js5h5d5c2h JsJdJc5d4h 9s4s3s3h3d 
7h6s6d6c2h Qc7s7h7c2c Kh7d2s2d2c TsTdTc7h3s 
7h3s3h3c2h Ac7c2s2h2d TsThTd7c3s 9s7h7d7c5d 
Jh6c4h4d4c 8s8h8d3d2s JsJhJd8c4d Jh9h2s2d2c 
Kh6s6d6c3d 9d7h3h3d3c 5c4s4h4c3d Qd7h6s6d6c 
QsQhQd6h3h Js5s5d5c2s 9d8c4h4d4c Jc8d2h2d2c 
Js7h7d7c2s ThTdTc6s3h QsQhQd9c5c Qs9s9h9c4s 
8s8h8d7s2c 9s9h9c7s2s Ks6s6d6c4h AsTs3s3d3c 
Tc8s5s5h5c Qs6h3s3d3c 7s7d7c6h2c Kh8h8d8c3d 
Ks6h6d6c5c 9d4s4h4c2s 8s8h8c6s4d Ks9h8h8d8c 
Kh8s8d8c2s Qd9d7h7d7c 8c3s3h3d2d QhJh6s6h6d 
Jc6h4s4d4c KsKhKdKc6d Js6s5s5h5c 8c3c2h2d2c 
KhJh2h2d2c 7c6c4s4h4c 9s9h9c7d2h JsJhJc7d3c 
9s9h9d7c2h Kc7s7h7c6c 8s3s3d3c2d JsJhJc7c4c 
Qc7s5h5d5c 9c6s3s3h3d TsThTdTc8s 4d3h3d3c2d 
Qs9s9h9c2d TsThTc4c3s Qd8s5s5h5c Qc7h7d7c4s 
Th5s5d5c4s 9c7h7d7c2d 5d3s3h3c2s QhTh6h6d6c 
KsQh7h7d7c QcTsThTd3h 8s4h4d4c3h Qh9d2s2d2c 
Th6s5h5d5c Ac4s4d4c3c QcJh6s6d6c Ts4s4h4d2c 
As9d3s3h3c JhTd5s5h5c Qs4h2s2h2c Qs8s8h8d6s 
8h6d3h3d3c Ad9d6s6h6c 5s5h5c3d2h Jc8d3h3d3c 
8s3c2h2d2c Ts3h3d3c2d 9s9d9c5d2s 9c5h4h4d4c 
5s5h5c4d2h Ks6s6h6c2h 6d5s5h5c4h Jd4s4h4d3c 
Qs5h5d5c4s Td8h5s5h5c Th7c3s3h3d Jh8s3s3h3d 
QdJs7s7h7c 4s4d4c3d2c QsQhQc5d2s KsTsThTc4s 
Jc6s6h6d3d Qh4c2h2d2c KhJd5s5d5c Qh7s7h7c4h 
Ks6s3s3h3c 9c5c4s4h4d AsQc7h7d7c KcThTdTc2c 
Jc5s2s2h2d Jc7s6s6h6d 9c6s6d6c5h Qs5d2s2h2c 
6h5s3h3d3c Th4h3s3h3c Jh5s5h5d2h Jc9s9h9d4d 
Js4d3s3h3c 7h4c3h3d3c Qs8d4s4h4c ThTdTc4s2d 
Ks9d8h8d8c Qd9d7s7h7c Ac5h5d5c3c AcTc4s4h4c 
As8c7h7d7c 9s5d2s2h2c Ts4s4h4c3s 5d4h3s3h3c 
Kc6s5s5h5d Kc6d2h2d2c 8s7c4h4d4c Td6h3h3d3c 
Qd9d2s2h2d 6c5d2s2h2c Ts9s6s6d6c Td8s8h8d5d 
Kc9s2h2d2c Kc4s4h4d3d QsQhQc4d3d Js9s9h9d5c 
Ks2s2h2d2c Jc8s8h8c5c Tc3c2h2d2c JsJdJc9h4c 
QhJsJhJdJc 5h4h2s2d2c AcJd7s7h7d JsJhJdJc9d 
Ac7h5s5h5d Kc9s9h9d2s Qs8h8d8c4h Tc6s6h6c4d 
9s9d9c8h5d Qs5c2h2d2c QsQhQd7d4d KdTsThTc4h 
JhJdJc6s2c Kc8c2s2h2c 8s4h2s2d2c JcTh5s5d5c 
9c8s2h2d2c 9s8s8h8c4h 9c3s3d3c2d KsTh3s3d3c 
9d7s7h7d3c 6h6d6c5d4d Th9s6h6d6c Kd8c3s3h3d 
Qc8s8h8c2s 5d3s3h3d2h Qs5s5h5c4s Jd5s5h5d2c 
Kc7s7h7d4h 8c4s4h4c2s 9h6s6h6c5d Qh7d4h4d4c 
8s7c3s3h3d Kc6h6d6c2d Qc5s3s3d3c Tc5s4h4d4c 
9d6s6h6c4h Ah4s4h4d2h Kc9d7s7h7d Js5h2s2h2d 
Td6s6h6c2d KhTd3s3h3c 9h5s5h5c4s 5s3h3d3c2s 
JcTc6s6d6c 7s7h7d5c3s AcJh3s3h3d TsTdTc4s2d 
6c4s4d4c2s Jh8s3h3d3c 8d4c2h2d2c Jc8s8h8c4c 
Ad8s8h8c5h QsQdQc3h2d 6d5s5h5c3s Ts6s6d6c3s 
7s5d3h3d3c 7h5s2s2d2c 8c7s3s3d3c Td9d4s4d4c 
Jc6s2h2d2c Qh8s8h8c2s 8s8h8c7d4s Ks5s5h5d3c 
Ts8h8d8c5h Qc8c2h2d2c QdTsThTc4s Js8s8d8c5h 
9d8d2h2d2c Jd9d2s2h2d Jh6s6h6d2h Ts7c2s2h2c 
7d4d2s2h2d TsThTc6h5d Jc7c3s3d3c Ac8s8h8d8c 
8d5d3s3d3c 9c6d3s3h3d KhJh3h3d3c Th6s6h6d2h 
Qd8s2s2h2d 8d8c2s2h2c 8c5s5d5c4c 6h6c2s2d2c 
As6h6d6c4c 9s9d9c3s2c 9d6d5h5d5c Ah6s6d6c5d 
ThTdTc6s2s Kh6h6d6c3h 8c6c3s3h3c Qc9d4s4h4d 
Qd7d2s2d2c 7c6c5h5d5c Jh7s7h7d2h 8s7c4s4h4c 
8d7h5s5d5c Js7d3s3h3c 9d5c4h4d4c Qc8s8h8c4d 
QcJs3h3d3c Kh6s2s2d2c QsTc6s6h6d Jd8h2h2d2c 
7c6s6h6d4c Qd6d5h5d5c Js4h4d4c3s Td5s5h5d3h 
Kh5h2s2h2c 8s4h2s2h2d 9c7c4s4h4c 9h9d9c8c5s 
Ah7s2h2d2c Ts9d3s3h3c KhQd3s3d3c Kh9h2h2d2c 
Qh9s9d9c3h Qs4s4h4c2c QsQhQd3h2h 7d5s5d5c3d 
Th8h2s2h2d Jh9s9h9d9c 6s6h6c5s3s Kc8d4s4h4d 
Jc7s7h7c4d 8c6s6h6c5c Td4h4d4c3d ThTdTc3s2c 
6s5c4h4d4c 7s5s5h5d2c 5h5d5c4s3h 7d6h2s2h2c 
Ad9d4s4d4c Kh4s4d4c2d Qc7h7d7c2c Qs8h8d8c7d 
JhJdJc5s3s QhQdQc8c3c 9c6s5h5d5c Ts5s4h4d4c 
Kh9d5s5h5c QcTd4s4h4c QsQhQc7c4d Js7s4h4d4c 
KsJc5s5h5d 6c4d3h3d3c Kd8s8h8d4d 8s3h3d3c2c 
TsThTc8c3d QhTh4h4d4c 8c5s5h5d4s Qh9s9d9c5d 
JsJhJc4d2d 5s5h2h2d2c Jc7s7h7c2d Ad9c6s6h6c 
Ts9s9d9c5h Td8h3s3h3c As6h4h4d4c 9d7s5s5h5c 
Qc5d3s3d3c 6s6h6c3h2c Jh8s8d8c6c 9s8c2s2d2c 
Jd7c3s3h3d Kd8s8h8c7s 9h6s6h6c3d 7s6s6h6c4d 
Ks8s2s2h2d 9s9h9d6d4c Ah9s6s6d6c JsJhJd6d4d 
9s8s8d8c4d 6h6d6c4s3h ThTdTc4s3h Tc6c3s3d3c 
9c3d2s2h2c 7h6s6h6d4h 4s4h4d3s2d Ts6s6h6c5s 
QhQdQc6c2c Qh4s4d4c2d Ks7h7d7c6c Kh9c3s3h3c 
Jh5h5d5c2s Kd8s8d8c2s Qd7s7h7d2d 8s8d8c3c2h 
Ac7d3s3h3d Jc7d2s2h2d 8h3h3d3c2s Ac7c3h3d3c 
9s9h9d6s3c 9s9h9d9c6s Td6d3h3d3c 6h3s3d3c2d 
KdJsJhJd2d Ah8h4s4d4c Kh7s7h7c2h TsTdTc7c3h 
6s6d6c5h3h Ad8h8d8c4d Jd9s9h9c2s Jh8s8h8d4h 
Ah9s9d9c6s Tc7h7d7c3s Th9h9d9c3s 9s9h9d5c4d 
9h5s3s3d3c KhJh7s7h7c 8c5h5d5c3h 8s8h8d3s3h 
Qh7h5s5h5d Js9s9d9c4s As3h3d3c2h Td5c2s2d2c 
8d7d5s5d5c ThTdTc3h2d ThTdTc5s5d Ts9s9d9c4s 
Qc7h7d7c6c JsJhJd8c3s Tc5d2h2d2c 9h9d9c8h4h 
KhTsTdTc5d 9h6h3h3d3c Kd9s9h9d6d Ks9h3s3d3c 
AhJs6s6d6c Qs9s9d9c4s Kh6s6h6d2h Tc9h5s5h5c 
Qd9c3s3d3c Ts7s2s2h2d Qd7c3s3d3c Kd6s3s3d3c 
Ad4d2s2h2d 6c4s2s2h2c Jc4s2s2d2c 8h3d2s2h2d 
8d4s4d4c2h Kh7h7d7c3d KcTc3s3h3c 6s6d6c5c3h 
Qs9s9d9c2h Kd4s3h3d3c Qh5d3s3d3c 9d5h5d5c4d 
Qh7c3s3d3c Qc4s3s3h3c Jc4s4h4c3s Ks9h9d9c2d 
7c6s6h6d4h 7d6s2s2h2d QsTd2h2d2c Qc6d2s2d2c 
Th4d2s2d2c Qh8d4s4h4c Qs6h2s2h2c Kd5h2s2h2c 
Jc8c2s2d2c Qc5s5d5c3c Ah8s7s7d7c 9h3d2s2d2c 
Jd3s2s2d2c Ks9s5h5d5c 8s8h8d4c3c Td5h2s2h2c 
Jd8s8d8c2h Tc7s7h7d4s 8d6h4s4d4c Qd6s4s4h4c 
5s4s4d4c2c Kd8s3h3d3c QsQhQd6s3s Kd3h2h2d2c 
Qh7h3s3d3c Tc5s5d5c2d QcTsThTd2d Ks4d2s2h2d 
9s9h9c7s5s Qs6s6h6d2s AhTc2s2d2c TsTdTc8h4h 
8d5c2s2h2d QdJc6s6h6d QhJd6s6h6c As6h2h2d2c 
QdThTdTc4d Kd6s6h6c2h Kh6h3s3h3c 8s8h8d6c3c 
Kd7h7d7c3h 7s6s6h6c4s 9c8h8d8c3c 8d7s7h7d3h 
6s6h6d6c4h 9s9h9c4h3s 6h6d6c4d2d 8c5s5h5c2d 
5h4s2s2d2c 9s5s5d5c2h 9h3s2h2d2c 9s9h9d9c6d 
Ks6c2s2d2c Kd9h9d9c3s TsTdTc7s3s Jh3h3d3c2s 
4s3c2s2d2c 8h6s6h6c4h Kh9s9h9d9c Jc7s7h7d6d 
Tc4s4d4c3c Ah5s5d5c2s 7s7h7c5s3s 8c7h7d7c3d 
QhQdQc7h3s 7h4s4h4d2h Td6s3s3h3c 9s7d2h2d2c 
Jh7s7d7c3c Tc8s2h2d2c Th6h6d6c3s TsThTc5s2d 
TsThTc7d4s Qd9s9h9c6d Ts5s5h5d3h 9h8s3s3d3c 
Tc8d4h4d4c Jh6c5s5d5c 8d6d3s3h3d JdTs5s5h5c 
Jc6h6d6c3c QhQdQc5c3c Kd9s9h9c3d 7s7h7d3d2d 
Ts8s8d8c5s 9s6s4h4d4c 7c4s4d4c3s Ks8s7s7h7c 
9h7s7h7d4h Ad6s6h6c2s As6s6h6c2s 9s3c2h2d2c 
Qd5s4h4d4c Jd6s6d6c3d KdJd4s4h4d Jc5c4h4d4c 
Qd3s2h2d2c 8h4c3s3h3d 8d6s6d6c2s KsJd6h6d6c 
TsTdTc8h4d Ts8s8h8c5d Qd9d6h6d6c Kh6h6d6c3s 
9s3h3d3c2s Kd7d4s4h4d 9s9h9d3d2d Td8h3h3d3c 
Jc7c6s6d6c Th8s8d8c2h Ts8h8d8c3d Kc9d3s3d3c 
JsJhJc6d4c Kh8c4s4h4d Kd9c6s6h6d 5s5d5c4h2d 
9c6s6d6c2h 9s7s7h7c2c ThTdTc7c5s Ah6s6h6d2h 
JhJdJc6c2d Th8c2s2d2c 7d6s6d6c4d Th7s3s3h3d 
6d4h4d4c2c Kc6c2s2d2c Jh8s8h8d4c Th6d2s2h2d 
9c4d3s3h3c 9h9d9c4s4c QsThTdTc5c JhTh6s6h6c 
TsThTd8s4c Ad8c2s2h2d Tc6s6h6c2c Jh9d7s7h7c 
As5h5d5c2h Tc7c6h6d6c Th3h3d3c2s 8s7d6s6h6c 
Ks8h8d8c2c 8h8d8c5c3s 6h6d6c5s2d 8s8h8d7s4s 
9h8s8h8c4d AcTc2s2h2c 5h4c2s2h2d 7s5h5d5c2h 
Qd7d2s2h2d Ts6s6d6c3h Ad6s3h3d3c 9s9h9d9c2c 
6d4d2s2h2d 8c7s7h7d5c TsTdTc2s2h Qs5s2s2d2c 
TsThTc7c4c JsJhJd6c3h Ks7h7d7c5h Qh8h8d8c3c 
Qs8d2h2d2c As9s9h9c3s Kc8d3s3d3c Qs7s5s5d5c 
Qd8h3s3d3c 6d4d3h3d3c Qd9d3s3d3c Ts6s6d6c2s 
JsJhJc5d4s QsQdQc5s2h Jc7s7h7d2c Qh9d7s7d7c 
5h3h3d3c2h 9s9h9d8c3s As7d5h5d5c Qd9s9h9d7d 
8d4d3h3d3c Kc8h7s7h7d 7s7h7c3h2c 7s7h7d6h3h 
Kd9c5s5h5c 6s6d6c5c3c Ad8s8h8c2c Qs6h4h4d4c 
9h9d9c7s4h QcJs3s3h3d 9s5d4s4d4c Ad5d3s3d3c 
Kh9s9d9c4c KsKdKc7s2s Ts9c5s5h5c Kc8d7s7h7d 
KcTd7s7h7d JsJhJd5d3c 8s7h4s4h4d TsThTd6d5d 
Qs4s4h4c3h Kc9s3s3h3d 7d4h3s3d3c Qc7h2s2h2c 
Kc6h3s3h3d Jh9s9d9c6c Ac9s9h9d3s Ts9d2s2h2c 
7s7h7d4c2d Qs8s4s4h4d Qc9s9d9c4c Td7d6h6d6c 
Qh7c2s2d2c Jc8h5s5d5c 6c4c2s2d2c Th9s9h9d2h 
AdTs3s3h3c Jh4s4h4d3h Ts9s9h9d3s Ks8h8d8c5c 
Jc7h4s4h4c 6s4s4h4c3h QsQhQc7d4d Qd6h6d6c3s 
8s4s2h2d2c Kd3h2s2h2c Js6s6h6c4s 8h7s2s2d2c 
Qs9h9d9c4c 8h7s7h7d5h Kc9s5h5d5c Ks8s8h8d3d 
QhJd4s4h4c Jd9s9h9c2d Qh7d2s2h2d Ks6s6h6c3s 
KdTc5s5h5c Ah7s7h7d7c 7h4h4d4c3s AsTh2s2d2c 
Qs6s6h6c2s JhJdJc5s4s 9s9h9d9c3h QcTsThTd2h 
Jc7s7h7c6c Th5s2s2d2c QsQhQd9c3c Qh3s3d3c2c 
Th5s3h3d3c ThTdTc7d2d 9s9h9d6s2s Th6s6d6c3h 
AhJc2s2d2c 6s6h6c2h2d 9d6d4s4d4c KsQd7h7d7c 
Kh6h5s5h5c 8c7s7h7d4h Ks7h7d7c3c 9s9h9d6d3c 
Qd7s3s3h3d 7h7d7c5s2c Jd9c2h2d2c Kh8d3s3h3c 
Qh7c5s5h5d JsJhJc4d3h Kh6s6h6c4d Qd8h2s2d2c 
4s4h4d4c3s 9d7d3s3h3d Th6s6d6c4s Jc6s6h6d5d 
As9s9d9c3h Jh8s8d8c4s Ac9s6s6h6d Tc8s2s2h2d 
9s9d9c5d3h QsQhQd6d3d Qc6s2h2d2c KsJd4s4h4c 
9s9h9d4h3d Ac4h4d4c3c 9h7s7d7c2d KsJs7h7d7c 
8d5d2s2d2c Tc9s4s4d4c Kc8s4s4d4c QsJs7s7h7d 
Tc5c2h2d2c 7h5s4h4d4c Qc8h2s2d2c 8d5d3s3h3d 
Qh9s9d9c3c 9s8s8h8d2c Jd8d5s5h5c KsKhKc6d2d 
7h4h2s2h2d 9d8d4s4d4c Jh6h5s5d5c Ts7h7d7c5h 
Qd7d2s2h2c Jd6s6d6c4d 9s5s5h5c3d 9d6s6d6c4d 
9s9d9c8h4d Js6c3s3h3c 6s5h2s2h2d Tc6d4s4h4c 
As7s7d7c2s 9h4c3s3h3c Jh8s8h8d6h 8s6h6d6c5h 
Th5d2s2h2c JsJhJd6c2h Kh7h7d7c3h Qc9c6s6h6c 
TsThTc7h2c Ah5s2h2d2c Qh6s3s3h3c 7s6h2h2d2c 
Td8s8h8c3c Jh9h2s2h2d Ks8h8d8c2h As6d3h3d3c 
7s7h7d4c3s Qd9d5s5h5c 9s9h9c3h2h 9s9h9c3c2s 
Tc7d2s2d2c Jc6d5s5h5d 7s7h7c6h2d Jd3c2s2d2c 
5h5d5c3s2s Td8h3s3h3d 8h5s5h5c4d Kh7s7d7c6s 
Ts8h5s5h5c JsJhJd5c2c QsQdQc6c3h KhTs4s4d4c 
Jd3d2s2h2c 7d5h5d5c2s Qs8c5s5d5c 5d3h2s2d2c 
Td6d3s3h3c As5s2h2d2c Tc6s6h6d3h 8h7c4s4h4c 
Qd9h9d9c3c Kh9c4h4d4c Qc6s6d6c2d Qh5s5h5d4h 
7d3s3h3d3c 8d4s4h4d3d Qs8h6s6d6c 8s8h8c5c3c 
6d5s2h2d2c 8d5h5d5c4d TsThTc5d2d JsTd2h2d2c 
5s3s2h2d2c Ad5h4s4h4c 5d4h2s2h2d QhTsTdTc2s 
Kd5h2s2d2c Ts6s5s5h5c Ad7s7h7d3d QsThTdTc5d 
Qh9s5s5h5d 8c7c4s4d4c 5s4h3h3d3c 8s8d8c7c2d 
Th9h9d9c3h Kd9h9d9c2c 9s9d9c7s4h TsThTd6c3s 
Kh4s3s3d3c Ts8c5s5h5c Ks8s8h8d4c As6h6d6c2h 
Qd9s5s5d5c Tc6h3s3d3c 8h6c3s3h3d Qs4h4d4c3s 
9c8h8d8c4h 9h6c4s4h4d Kh6c4s4h4d 9c8c4s4h4c 
8h4h3s3h3c Kd8h3s3h3c As8h8d8c4d KcQh8s8h8d 
Jh7s7h7d2d KsTc2h2d2c 7h7d7c3c2c Ks7s7h7d4c 
Kc8s8h8c4c Jd5h4s4h4c Td6c2s2h2c 7c5c4s4h4d 
8s8h8c7h3h Qh9s2s2h2d Qc9d5s5h5c Td8d3h3d3c 
4h4d4c3d2h 7c4s2h2d2c Qh6h4h4d4c Td6s6d6c3h 
9s7h7d7c4h 8h8d8c5d3d QhQdQc9s5s Jh8h2s2h2d 
Qh5s2h2d2c JsJhJd5c2s Qs4s4d4c2d 4h3s3d3c2c 
As7h7d7c2c KdQs4h4d4c 7h7d7c4h2c Jh7s7d7c2h 
7s6s6d6c2d Th7s2s2d2c Qc9s4s4h4c Tc7s7h7d6s 
9h9d9c8h5h 4h4d4c3s2c AhTd3s3d3c 6s6h6c4s2s 
8h8d8c5c3c Qd8s8h8c4s Td8c5h5d5c TsThTc4d2c 
JsJdJc4h2c Tc8s8h8d6c 9s5s2h2d2c 8c4d3s3h3d 
Js9s2s2d2c Js9s4s4d4c 9h6s6h6c2c QhQdQc4s2s 
Jd5s4h4d4c QhQdQc7d2s Ts7s7h7c2h Qc9s2s2h2c 
JhJdJc5h4s Qd6c2s2h2d TsTdTc5h3d Jd6s4s4d4c 
9d7c6s6h6c 8d7s4h4d4c KhQh4s4d4c Js7s7h7c4s 
5h3s3d3c2d Ks4s4d4c3h TsTdTc8c4h Ks9s9d9c4s 
QsQdQc7d2h Ad6h3s3h3c Ks6h6d6c5h QsQdQc7s4s 
Ts3s3h3c2s Td6c3s3h3d TsThTc8h5h Ks6s6h6d2h 
Qh4s4h4c2c 7h7d7c6d2d Kh7s7h7c4d Kh5h5d5c2h 
8h8d8c7s3h QsQhQd9d4d 8d6s6d6c5d 5s4h4d4c3d 
9s9d9c5h2c QcTd5s5h5c Ts9h9d9c2h Kh9s3s3h3c 
9h8s8h8d6h KsKhKdKcJc Ks8s8h8c3d 5s5h5d5c4d 
6h5h5d5c2h Ks5h3h3d3c Ac7s7h7d6d 6s6h6d5c4c 
Tc8s8h8d4c Jd9s9h9c4h As7c2s2h2d Kh8s8d8c7c 
QhTsThTd2h 9c8s8h8d8c 6c3s3d3c2c QdTsThTd5d 
6h4h4d4c2c Ts8s6h6d6c Kd7h7d7c4d Qd7h7d7c3s 
Kd7s7h7d2h Ac4c2h2d2c 7s7h7c6c4c 6s6h6d5d2d 
Ks9s9h9d4h KsTc2s2h2d 9h9d9c5h2d 5c3s3h3d2d 
9s6h2s2d2c 7s3s2s2h2c Qd6h4s4h4c Kc8s3s3h3c 
Ac3s3h3d2h TsTdTc7d2d 9h9d9c8c5c 6d3s3d3c2h 
TsThTc8h4h Tc7c3s3d3c 7d6h6d6c2c TsTdTc8h2d 
8d7d6h6d6c Tc6s2h2d2c 9h9d9c7c3s 7s6h6d6c3s 
Jd9h5s5h5d Td6s2s2d2c Jc9h5s5d5c 9d7s3h3d3c 
Kh6s6d6c5c KhKdKc8d2d Qd8s8h8d2c Jd9d7s7d7c 
Kd9d5s5h5c 7s6s6h6c2d QsQhQc8h2d 9d8d7s7d7c 
Ks9s9h9c2d TsThTc8c2c Kc4s4d4c2s Td9s9h9d4c 
9c7c6h6d6c 9h9d9c7h3s Ts3h2s2d2c 7s7d7c4d3d 
7s7d7c6h2d Qd8c5s5h5d 7c4h2s2d2c Td8h6s6d6c 
Th6h2s2h2d ThTdTc8c3c 6d4h2s2d2c As9h9d9c5c 
Kh9h9d9c2d 9s9h9c4d3c Td9s9d9c5h ThTdTc4h3c 
8s7h3h3d3c As9c2h2d2c QsQhQd7s5s Th8s8h8d3c 
Ts6s6d6c2h Tc8c2s2h2c 9c6s6h6d4c 8d7s2s2d2c 
QdJd7s7d7c Ah9d4s4h4c Ts8s8h8c4s JsTh2h2d2c 
Ah5h2s2d2c Kh4c2s2h2c Kd5s3h3d3c Kc9s9d9c4d 
ThTdTc7s3s 6h5s5d5c3c Kc8s8h8d2h Td8s8h8d2h 
As9d6h6d6c Ks5s2s2d2c JdTs2s2h2c Kd9s6s6h6c 
Qh7s7h7d5c 4s3h3d3c2s 8s8d8c4s3s Qd5s5h5c2c 
Qc7h7d7c2d 9d8h8d8c5s Tc5d2s2h2d 9s9h9d5c4c 
As6h2s2h2d 8c6c2s2d2c Kd9c2s2h2c JhTc5s5h5d 
TsTdTc6d4d JsJhJd6c3c QsQhQd7h3h Jd7s7h7c6s 
Kh9s9h9d2h Qh3s3h3c2h 9h9d9c8s4h Ad9h3s3h3c 
QsJc2s2h2d Th8s8h8d3s 7s6d3s3h3c Qh8h8d8c5s 
9s8c4s4h4d 9d8h8d8c2s 9h7s2s2h2d KcJc5h5d5c 
ThTdTc4c3d Jd8s8h8d4d Ks8s8h8d3s Ks9h9d9c5h 
Th5h4s4h4c 9d8d3s3h3c Td8c7s7h7c Qc8d5s5h5d 
QsQhQc6c2d 6c4d2s2h2d Kh9h4s4h4d Qh9s9h9c2d 
Qs6c4s4d4c 7c4s4h4c3d As7h2h2d2c Th9s3s3h3c 
Kd5c2s2h2d Jc9s9h9c4d 6d3c2s2h2d KsKhKd7d2d 
9s9h9d9c5d 7s6c3h3d3c 5c4h4d4c3s As8s8h8d8c 
Ah6s5s5d5c JhJdJc6c2h Ad5h5d5c2d As6h3s3d3c 
4s3h3d3c2h KsJs3s3h3c TsThTc7d4h Ts7d4h4d4c 
Td6d3s3d3c Ah8h8d8c4h Qd7h7d7c2h Kd3c2h2d2c 
8s8d8c7h3s Jh7s7h7d4h Kd5d4s4d4c Qc3h3d3c2d 
As8s8h8d4s 9s4s3h3d3c 8d6s6h6c3d Ac7d2s2h2d 
Kc3c2s2h2c KsJs6h6d6c ThTdTc9s2d 9h6s6h6c2d 
Ks3s3h3d2h 9d5d2h2d2c Qd4h4d4c2h QsTc6h6d6c 
Kh5s5d5c2h QdTs2s2h2c 9d3h2s2h2c 9h4d2h2d2c 
