Qh9s7d5s2s 
AsTc5s3s2s AsTs4s4c2s 8d5c4d3s3h Qh7c5s3s3d 
9d7h5c2s2h Td8h4s4c2d 9s6s5s3h2s Kh7s6d3c2h 
Qd8s4d3d2s 9h8h5s3h2c QhJs8c3d2s Jd7d7c4h2s 
Kc8h6h6d3h Qh7d6s5c2d As7c4d3h3d Tc9d7h3s2h 
Kh9h5h3d2s 7d6d4c2s2h As7c5c4c2h Ks9d7d7c2h 
Kd5c3s2s2c QhTd7s4c2s Qd8d5s3h2c Kc8d7s6d2d 
KhJs9d3d2d Kd7s7c5s2h 8c5s4s4d3s Jc6s5d3c2h 
Th7d6s4c2s 9s8c7c4d2c Js9c8h3c2c 7s5s4d3c2h 
8c6s3c2s2c Jh6s6d4d3c 7c4d3h3c2h AdQs9h4h2h 
Qd8h8d4s2d Qs9c7h5d2h Js8d6c4d2d 9h9c6d3d2d 
Jd8c7c6s2c Qs9c4h2h2c Tc7h6c4d2c JsTs7s6s2s 
AdQh7s3h2c 8s8h6h3h2c Kd8s6h3d2c Jd7d5s5c2h 
Ts9c4s4d2s 9s5s5c4s3d Js8c6h6d2c Qd9s6c4h2s 
QsTd3h3c2d Jd6c4s4h3d As9d8d4h2d Qd8d6d6c2d 
AdJh8s3s2c Qs8c6d4h2h AhJh4h3d2h Qs7c4c3s2c 
Kd9s7h4h4c Qd7s6c5c2c QsJs8s2h2d Qs9s8h3s3d 
JsJh8s3s2d KcTd7h4h2h KdQs7s4h2s KhQd9s3s3c 
7h5h4d2h2c KhQh6s6h2h Ks8d6c4h3c Ts5s5d4c3h 
Ad9c8h4h2s Kc9s6s6d2h Ac5c3c2h2d Jh9h7h4d2c 
Td7h5s4h2c Qs9h5c4d2h KcJs4h4d2h Qc9s6d4d2h 
KcJh9d3s2s Js9d7s6s2s Qc8c6d6c3c 9c7h6s4d2d 
AdJs4s3h2s KsJc7d4c2c KsQc9d4h2d Ad9h4d2s2d 
8h5c4d2s2d 8c5c4d4c2s Kd4h4c3s2d QhJs5s3s2s 
9h7h5h3s2c Jd8d4s3d2s 9d7s6c4c2h Qc8s3s2d2c 
Jc9h7h4d2s Ts9d3h3c2d Td8s8h3c2h Qd8h3c2d2c 
QsTs7s3s3c KhQs7s3c2d Jc9h6c4c2d 9c7d4h3h2d 
As5d4c3c2h QsTc6c3h2c QsTs4s3c2s KhTc5d5c2c 
9h9c8c3c2s AcKs9d3d2h Ac8h5h3s3h 9d5s3h2s2h 
Ac7s6h6d2h 7d4s4d2h2c As7h6d4c2d Ah9d7h7d7c 
As8c6c5c2c Qs8s7s4h3d 9s5s5c4s3h Tc7c5c3s3c 
Ah7c6s6d2s Jc8d8c3h3c Kc8d5h4d3d Jd9h5c3s2c 
9c7s5c4c2d Tc7h4c3h2c Td9s6s3c2s 6h5d3d2s2c 
Kd8c5h4s3s Ts8h8d3d2c Ah8d6d4d3s QsJh7h7c2d 
Ts6c3d2s2c Qh8s5h3c2d Kh9d5h3s2h 9s6h6d4c2s 
JhJc7s3d2c 9s6s4d3s3c Js8c4s3s2c 9s6d4h4c3d 
Ks7s5s3s3h 9c6d4h4c3c Qc7d7c4h3c 9c6h4s4d3h 
9c5s5h4s3s Ac8c6c2h2c Jc9h7s4d2c Js8h5d2h2c 
Qd7c6h5c2c Kd9c6s3s3h Qh6s5h3d2h Jc7h7d5c2c 
Kc7h6h4d2s Td9s4d2d2c Qd9d8c4d2s AhJd4s4d2d 
As4s3h3c2s Ad8c6s6c2c 7s6h4c2h2d KsJs8c3s2d 
9s8c7c4h2c 7h6d4d3c2s Tc7h6h5s2h 9s7c5c2h2d 
9d7c4h3s3c Kd9s6s6c2h Ad8h7h2s2c Ks9s5c3s2h 
Tc8s4h2d2c AhJc4s4d2s 7d4s3h2s2d KdJd8c3s2d 
Jh7h5h3s3c KcTs8h2h2d Qh7d5h4h2s Ks9s8s3d3c 
Jd8c4s4d3h Th9s7c4s2s 9d7h5c3s2s Qh8c3c2h2d 
9h9d8c3s2c Qs9c5s3s2h 9d7d5c3d2s Jd8d3h3c2c 
Ad9h6c3s3c Td7d6d3d3c Th7h6s6h2d Qh8c7h3s2s 
Qh8h7s7d2h Jh9d4d3s3c 6h4h3h3d2d Th9h4c2s2h 
AdQsQhQc4d KdQs9s3h2s QsJs4s2s2h AsJc5d2h2d 
Jd4h4c3d2h Kc8s8h7d3d Jc9c6s3h2d Kc6s5h3h2d 
As5c4h4d3c QcTs3s3d2h ThTc5s3d2h 8h6c4s4d2s 
9h7c6c4d2c Ad8c7h4c2c Kc9s7h4h3h Jc5h3h3c2h 
Tc9s5h3d2d 9h7h5s3c2h 9s5c4h4d3h 9s7h5s3s2c 
Kc4c3h3d2s Kc8c5s5c3c KhKdKcQd9d Tc8c5s5c3c 
Jd8d8c3s3d 7s5h4c3c2c Jd7h7d5s2d Jc6d5s3c2h 
9s7s5h3c2s Js8s6s6d3s QsTc7s5s2s KsJh9d3d2d 
9s9h7h4d2h Jd6c5c3s3h Ks8d5c4h2d Tc6c5h3d2s 
7h5c4s3d2c 9c8c5h3c2s JcTd7s3s2s QsTc4d3h2d 
Qs7s6c4d2h 8h7c3h3c2s Qd6s5s5c2h Tc6d4s4h3s 
Ac7d5c3c2c As8d8c4h2d 9c5d5c4s3c Js9h5h2h2d 
Ac6h4s3h2s KdJc3s2h2c QhTc8s3s2s Ad8c6c5c2c 
Td6c3s2s2d Ah8c6c3s3d Kd8s5d3c2h Th6s5d4s2s 
Js4c3s3c2d AsQc3h3d2d Kc8h5d4d3d Js8d3c2s2c 
Js7h7d5h2h QdTc4h3h2h As9h6h3d3c Ks7d4d4c2c 
9h9d9c8s8c Qc8h5h4h2d KhQs7s3d2c AcQh6h2h2d 
Qc8h7h5d2h Tc9c4h3c2s Qd8h4d3d2h Kh5d5c3h2h 
Kh8h4d4c3s Ks4c3s3h2d QhJs8s2s2c Tc7s6h4d2h 
As8h6h6d2h 9s7s5s4s2d Qs8h6d3d2h KhTc8s3c2d 
QdJh8h2s2h Ah8s6s6d2s Tc9h5d2s2h QcJh8h2s2h 
Qh6d6c4s3s As5s5h5c4c Kh9h5s4h3h Qh6d5c4d2d 
Jc9d8s3h2s 9s9h8d3c2d Qd8d5s2h2c Kd7s4s4h2h 
Qd9s9d4c2d Qc9d5s4h2d Ts7h4h4d3h Tc7h5s4d2c 
Jh8h5d2h2c Ks9c8h4s2s 9c7d4c3c2d Td8c4s3h3c 
KdJs8c4h2c 9c7c6h6d2c Jh6d4h4c3s Jh7d6s3d2s 
KsQs8h3d3c Js8s6c3s3h Th6s5c4c2c Js7h6h5c2h 
8s7h4s3s2h Ad9s7s6h2s Jd9d5d4c2d Jh9d8s3d2d 
As7s4s3d2h 8h7d5s3c2d ThTc7d3s2c KsQd9c4h2h 
Js6c4s3s2c 9s8s8c3s2d 9c7c4s3d3c Ah7h7d7c5d 
Kc7s7c4h2c AhJh3s3h2h Qs5c4h4d3d 7h6c5c3c2c 
AsKc9d3d2h Jd9c7h4s2d Tc9h5h2h2d 9s7s4c3c2c 
9h7c5h4h2d KsJd4h3d2d QcTd4s3h2s 9h9c7h4s2h 
Kc9s4h4c2d Jc9d6d4s2h Kc8d7s7h2h Qd8c7d4s3d 
QsJd6s3s2c Qd9d8h4s2d Td8c5h2s2h 8d7h5c3h2s 
Jh5s4d4c3h 9h6s6c4c2d Th7s5d4s2c Qs9s8h2s2d 
TsTh5c3d2s KdTs7h4h2h KsQc8h2s2d Ks7d6h5c2h 
8c7c3h3d2h Ac8c6c3d3c QhTs4d3d2d Qc8h7s7c2c 
Jh9d5d3s2d Kc8d6h6d2s Td9d5c4d2d Qh9d7d4c3d 
As8c7h4c2c QdJh8h3h3c 9d9c4d2s2d Js8s3d3c2d 
Qd9d7d6h2d Jd8h8c4s2c Qh7d7c4h3h Kd8d5h5c2d 
KsKhKd2h2c KhTc8d2s2d Kd8s7h4h3c 9s7h7d4h2c 
8c6d3c2d2c 8s7h5d3c2d Ks5c4h4d3h Td7h7c5d2d 
Tc9c4c3s2h Jd9s5s2s2c Js8s7c4s2d 9s9c8h3c2c 
KcTs6s3d2h Ks8s5h5d2s QcTsTdTc9h JcTh6s3d2s 
Qs7d4d3h2s Qh8h5c3s2d TsTh3h2h2d Kh8d6s4s3c 
9s8h8d4d2d AsKd6c2h2c AsKd6h3h2h 7h5c4s3s2s 
QhJc6c3c2s Tc9s7s3s2h Kc8d6c4c2c Th8s4d4c3c 
Qc6h5s4h2h 8c6c4s4c2c 9s9h8h3h2d KsKdKcTc7c 
Kc9c8h4d2c Ts7s6s6c2h AhJd4s4c2s KsJc9h3d2d 
As8d6d4d3c 9d7h4c3h2c Ks7h6c3s2d Qs8c7s7h2s 
KdJd8s3c2d Kc8s4d4c3h Kc8h6s4d3h 8h5d4s2h2c 
QhQdQcJd3c Ks7s4h3s3d Js9d6d4c2h 9c6c4s3h3c 
Qh8d6s4c2c KdJd8d6d3d As7h6h6c2d 9d8s7h4c2c 
9c5d5c4h3c KsQc9c2h2c As5h4h3d3c Qd7d4h3c2c 
As5c4h3h2d 8d5d4s4d2h Js6h4s4d3c Js7d4s3h2d 
Jc8s6h4s2s Th9s7h3c2h 9s8c5h3d2c Jd6h5d3c2s 
Qc8c6d6c2c Js9d7s4s2c 9s7h5d4h2h Jh4s4c3h2s 
Kd5d4s2h2d Jd8s7c4c2h Tc6h5s5c2c 7h4d3s3h2s 
Jc7s7h3h2s KcTd4s4h2s 9d7h3d2h2d QsQhQc6s5c 
Kh8d7c5c2c KcJd7d4h2d Qc8s7h5d2d Jd9c8h3s2s 
Kc8s6d4h3h 9c8c6c4d2c 7c5s4h4d2d AdJc4h4c2c 
Jd9h7s4d2c Ad7d4d3c2h Ts8c4h2s2d Kd8d5d5c3d 
7c5s4s2h2d Ts7c6h4d2h 9h8s7d4c2s 7h6c4c3s2d 
Ks8h6h4d3h Jh6h5d5c2s Ks9s8d3s3h AsTs7c3s2s 
Qs9c6d4d2h Kh7h5s5d2h Js9c8h3d2d Js4d3c2s2d 
Qd9c8d4d2h Jd7s5c4h2h Td6c5h4s2h Ks8d7c4c3h 
Kd4s3d3c2h KsQhTsTdTc Jd6d6c5s2d Js9c8d4c2c 
Jh8c7d4d2s Td8s8h3h2c Td7d4d3c2c Ad5d4c3d2d 
Jd8d3h3c2h Kd8h6s6c2s 8d6d4s4c2d Qc9c8h4d2c 
AhTsThTd5d Qd9s7d3d3c As7c4s3h2s KcJc8d2s2c 
KcTh5h5d2h 9d7s6c4h2s 9s7h6c4s2s 7c6h4d4c2c 
Jh8d7h3s3c 9s5h3c2h2c Ks5s5c4s2s 9d9c6s3h2h 
Td9s4c3h2h 8d7h3c2h2d Kd8h6s4s3c 8h7s5s3c2d 
7c5c4d2h2c Qs8h5h3h3c 7h4s3d2s2h Th6d5d4d2s 
KcJs9h3h2h AsTsThTc3h Js7s7c4s3s Jd9h6h6c2h 
Ks8c6h4h3d 9c7d4h4c3c 8c5c3s3c2s KdJh7s7h2c 
Tc9h5h4h2h Ah7c4h3d2h AhJh4h3s2h QsQc7s3s2h 
Jc8c6c4h2s Jh5c4h4d3h Tc5h5d4c3s 9c8s6d3h2d 
As8h4c2h2c Jh9s7h4h2d KhJc7s3s3d Td6h6c4s2d 
As9h8d4h2h Qh8s4h3h2s 9d9c6s3s2s Qh9d8h4h2c 
Ks8c6h6d2h 8s5d4c3h3c 9s7h6d4d2c 9d7s4h3s3c 
QhJh8s2h2d Th6d3c2h2c Qc9d7h6d2d Kd5s4h4c3s 
Kd8h8c5c2c Kc6h5s3d2s KsQs6d3s2s Kc9s6d3h3d 
Qh9c6s6c2c KhJc7s7c2d AsJh4h4c2h Ac8d7s2s2h 
8c4s4h2h2d Qh9h8h4s4c Jc6d4c3d2c AsTsThTc5h 
Ad8d6d3d3c Qh9d7c5s2c Qd8s5d4d3d 8h6h5h3s2h 
Qs9h6s4d2s Qd7h4h3d2h Tc7c6h5c2c Qh6h5h3s2c 
Qs8h3h2s2c KsTh7h4h2h Td9c5s2h2c 6h5c3s3h2d 
Ks6c4s3s2d Qh7s6d5c2s Jc8s5d2s2h KdQc9s4h2s 
QhJs8d3c2s Qh6c5d4d2d Kd8d7s7d3d Kd8h6s6h3h 
Ac9d4c2s2c Ad8c6h4s2h Jc5c4s4c3h QhTs3s2d2c 
Kh7d6s3h2c Tc9h8c3c2c Ad7h7d7c5h Kh8s5h2h2c 
Td6s6h2d2c 8h7d4s3s2d 9h5h5d4h3c Jd6c4h3c2h 
Ks7s4c3d2h KcJc5d5c2c KsTc6d3h2c QsTc4d4c2c 
Kh8s8c6c2c Th6d3d2h2d 9d7h4s4c3s AsJh8h3d2h 
As7d5h4h2h Jh9d7h6h2h Jd6h4s2s2h 8d7s5s3c2h 
6d6c4c3h2c KhQc9h4h2h Jd7d5c4h2d Ks7s4c3s3d 
Tc6c5c4c2s Tc9s5s2s2d Js8c7d4d2h Ad8s7c4h2c 
Ac8h6h4s3h Js9d5d3d2h Ac9c7c4c2s Jh9h5h4h2c 
Jc9h7c2s2d Th7h4h3d2d 9d7d4c3h3d Jd9h6d3c2s 
KsJh8d4c2c 9h7h5s3h2d QcTh4s3s2d Js4d3h3d2s 
Ah6s6h6c5s AhJs4s3d2s QsTd6d3h2d Ah7d4s3s3c 
Kd9d8d5d3d QhJs8s2s2d 9h7s7c4c2d AsQs8s4s2s 
7h5d5c4d2d 9h8d6c3s2h Kh9c7d5d2d 9h9d7s3h2c 
9s7c5s3s2d Jh5c3h3c2c As9s8s3d2s 6s6c3h3d2h 
Js9c4d4c3h Th8h4h3s3c 6d5h3c2s2d 6d5h3s2h2c 
QsQdQcJs3d Jc8h5h4h2h AsTsThTc5c Ts9d5h3c2c 
Ah8c6c4s3c 9s8c6s3s2d Td8d6d2h2d Qd7s7h3s2d 
QdJs8h3c2s 9s5d5c4s3h AcQh8h3h2d QsQd8d3d2d 
Qd8s8c7h2s Kd8s8h7c3c Kh8c5c4d2s Jh9s7d4h2h 
Jh9c4c3d3c QhTd5s3s2s 7s6c4d2h2c Qd8s8c7h2c 
KcQc8d4c3c KcQs9s3h2s Js8s7c4s2h As8d6h4d3d 
AsTs4s2s2h Js6s4c3s2c Ks8d6h6d3d Jd6c5s3d2h 
Qs9c5d4h2c Jd9c4c3s3h Ts9c5h3d2h Ts6d5d4h2d 
Jc5d5c2s2h QdJh7s6c2s Tc9h6h3d2h 9s9d6h3c2h 
Td7d6h4d2c Kc7c4d3h2s JsJd4h3h2c 9c7c6s3h2d 
Qh8d7c5s2s Td9c7h4c2c QdTh7s4c2s Qd8s7h7d2d 
Kc8s5d4s3s Ah9s7c6c2c Tc8c4h3d3c Kd8s5s4h2c 
KsJc3d2h2c Kc9h7h4h3s Qc8s4s3c2s JhJd4c3c2s 
KhQs8c2h2d Kc7s6s3s3h 9c8c5s3c2h Kc7s7c3s2c 
Kd7h6c5s2c Qd8h8d4c2d Kd5s5d4d2d KdTd5d3d2h 
Jc9h6c3s2d Ac8s6h4h3h Jd9s6h3d2c Qh6s6c4d3s 
QcJh7c6c2c Qc9h7s5d2d KhQc8s8c2c Qc6c5c3s2h 
QsQhQdTs2d Qd9s7d7c2d Th6h5h5d2s 9h7d4h3s3h 
Kh7h4d3s2c 9c7d4d3d2c QcTs3s2h2d Ts6s5s5c2d 
Ac8d4h2h2d Jh9c6h4h2s Ah8h4h4d3h Jc8h8c4c3c 
KdTc4s2h2c Td8c6d3s2h QdJd7d3s3c 7s6h4s4c2d 
8h6h4d2s2h Kh6d5s3c2c 7c5s4d3h2d Qh8c3h3d2d 
AdJs4s2h2c KdQc8c4c2h 9h7c6c4s2c 8s7c4d3h3c 
Ad9s6h4h3c Qs8c7h6c2c 9d8s8d3c2d 8c7s5s3h2d 
6h5h4h3h2s KsJc7h4d2h Ks7s6c2h2d 7h5s4d4c2s 
Qd5h4d3s3d Qs7s7c3h2h Qs7h6s3h2s 9s7h4s3s3c 
KcTs4h2s2d Js7h7c5s2s As8h7h4h3h Td7c4c3s2s 
8d5d3s3d2s KhJhJdJc9s QsJs8s2h2c Kh7h4s3d2c 
8d6s6d3h2c Qc9h7h4h3d Jd9c4s4c3h Ah8c7c4c2s 
9h9c8d3s2d 7c4h3d2h2d 9d7d5s2h2d Jh7h4d3d2c 
KdQh9s4c2s Jc8s4s3h2h AcTs6s6d2s Ks9c8s4s2h 
KdTd7h2d2c KsJd3h2d2c Kd9h7s7h2c JcTh7s2s2d 
Kd9h4d4c2s Qh8s6c3c2s 7h4h4c2s2d Qs8d4s3d2d 
Kh7h4s4d2c Kd9d8c2s2d 9c8d7c4h2c Kh9h5d5c2h 
Qh7c5s3s2c KhJh6c3d2h Jc6h4h3s2s Kh8c5c4s3c 
Tc6h3h3d2c 7s5d4s3s2c QsJs4s2s2c Kd7h6h5c2h 
Ah4s3h3d2h KcTs6h3d2s 8h6d4h2h2c Ad7c4d3h2d 
Kh7s6d3s2d Jc7s4c3h2s Ad8c5c3h3c Js4s4c2h2d 
Jd8d8c4d3d Kd8s6c4h3c AhJs6s4s2c QcJh8h3s3h 
Qd6h5c4h2h Kd8h5h3s2s Jh6c4s3c2s Qs8h7s4d3s 
Kc8c7c5s2c 9s6h3c2h2c As8h7d4h2h TsTc5d3h2s 
As8d6d4d3h Qh7d6c5d2d Ad7s6c4h2c JcTd7h3d2d 
QsJc4s3s2s 9h7h6d3c2s QsJs8c2s2d Ts8d6s3c2h 
7s5s4d2h2c 7c4s4c3c2s Jc9c7d3s2h Jh5c4d3s3h 
QcTh3c2d2c Qs9d8h4c3h Ts6h3d2s2d Js4h4d3s2h 
Qc8d6h4h3h 9s5d3s2d2c Qd9c7c4s3c ThTc7s3d2h 
Kd7d4s3d3c 9s9d8c3s2s 9c7h4d3d2h Th9h7s3h2d 
Ah7s7d6s2s Js6d6c5h2d Jc7c5s5d2h Jd8d4h4c3s 
Jh7h7c5d2h KdTd8d4d2d Ts9s7c3s2d Kd9s3d2s2d 
Ts7c4d3c2d 9c7c6h3s2d Th7h5h3h3d Tc7s6c4d2c 
AhKs9d3d2c Th7c6h4s2h KhJh9h3d2h Js7d5c4s2s 
Kd8c6s6h2h Td7d4d3s2s Qs6h6c4d3h Ks8d6c4h3h 
Ks5h3d2h2d Td9c5d3h2d Qd7s7d3h3d KhQd9c3s3c 
Ad9d4h4d2c Kc8c7s3c2s QhTsThTc9d JhTc7s2s2d 
7h4c3s2s2c Td9s4c3s2h Tc8h4h4d2s KhTd8s3d2c 
QsQhQdJd3s Ks9h9d5c2c QdJc7h7c2s Qs9h5d4c2d 
Jh8h6d3s3h Qs6s5s3h2c Qd5d4s4c3d Kd7d4c3h3d 
As8d5d3h3d Js7c6s3s3d Ts7s6s3s3c Ad9s5s4s3c 
7d5s4c3c2h 9h7d5h3h2c QdJh6h3h2s KdTs6s3h2s 
Kd9c7c5s2c Ah7d5h3h2h QdJs4d3d2d Qh8c7c5d2c 
QcJc4c2h2c Ts7d4s3s2d KsQs8s6s2s Ks7c6d5h2d 
8d8c6h3c2c JdTh6c3s2c 9h7s5s4c2s As8d6d5d2d 
6d4c3d3c2d Jd7h7d4d3d Js8c4c3s2s Qs9h7c6c2c 
Qc9s5h4d2s Ts9h7c3c2d Ks6d5d3h2c Kh8c6s4d3s 
As9c6d4d3h 9h9c8h4h3h Qs9s8s4s3d 9d7d5h3c2d 
Qh8d8c4h3h Ad9h7h6s2h 9s6s4c3s3h 8s6s6c3h2d 
Tc9s5c3h2c 8s5d4s3h3c Kd9c5d3s2d Ac7s4h3c2c 
Jh8c7s4d3d Qc7c4d3h2h AhTh7c3h2h Js7s5s4h2d 
Qh9h8c4d2h Td7c6d4s2d Tc9s5c2d2c Kd8s7s7h3s 
6s4d3s3d2s Th7d4h4c3h Qh8d4s3h3c Qh9h7h6d2h 
Jh8c5h2s2h 9h8c7s4h2h Jh8d4h3h2d Jc9h4h4d3h 
Kc8s4s4d2d Jc8s6s4s3d Kh8c7s7c3c Qh6s6d5s2s 
Qs6h3h2s2d Qd9c8h4s4h Qc8s8c4d3c Js7s7d3d2s 
AhTh5s3h2h QcTs4d3d2h 8s8h8d7h7c Qh8s8d7s2s 
Ts6h6c5c2c AsKh7d2d2c 9c8h8d4h2h Jd8h5c2s2h 
Kc6c4h3c2s QhJh7h3s3d Ac9s8h3s2d 9d8s7d4d3d 
Kd8h6s4c3c Tc7s6s4s2d 9s7c5h3d2c Tc7s4h3s3d 
Qd9c8s4s4h 9h8d7c4s2s 9d5d5c4s3d JhJc8s8h8d 
Qs5s4s4d2c Js8h6c4h2h Td5h3s2h2d Jc9c7d3h2s 
Th6h5s5h2d JsJhJdTc9d Qc9d4s2s2d AsQdThTdTc 
Qd7h4h3s2d QsQdQcTs2d Ts5h4d4c3s 6d4d3h3d2h 
8h7c5s3d2h Js8h4h3d2d Ah5d4s3s2c QhTd4c3c2s 
Ts8s4d3s3c KsJh6c4c2c 8c7s4d3d2s Jc8c7h6c2c 
Kh8c5h3s2d As5h4d3d2c JsTc7d3h2d Qh6h5h3c2d 
Qs7h7c3c2s Kh9s9c5d2d Qs9d8h4h3c 7h6s4s2d2c 
Ks9h9c7d2d Qs5h5c4h3d 6d5s4d3d2d Ks9h6h3h3d 
Qc7d5c4c2h KhQd8s4c3c Ah8s3h2d2c JhTd7s3c2c 
Ah7c4d3h2h 9c8d8c3s2c Jd6s4c2s2c Jh9h5d4h2h 
Th9h4d3s2h Qd8s4h3d3c AsJs8h3s2s 9s9c7h3d2c 
KsKhKd2d2c Tc7c4c3h2h AdQh9s4s2s KsTd5s3s2s 
Jd7c6h3s3c 8h6h3s2s2h Qc9c8s3h3c Ac9h8s3h2d 
8h7s4h4d3h AcKs9s3s2s Jh9h4d4c2s AcTd5s3h2d 
Jc8s6c3h3d Kc6s6d4c2c QsQh7d3s2s Ts8d5d5c2d 
8d5c4s3s3h AdQsQdQc8d KcTc7h2d2c Kc9s7c2h2d 
AhQd8c2s2c Tc5s5c4h3d 7d5c4s3h2c 9d5h4d3d3c 
Th9s7c3c2d Qc3s3c2h2d QdTs6c3c2h Jd8h8c4c2c 
7s5s4d2s2c QcTh7s4h2h KcJh8c3d2c Ks7h5d4h2c 
Js6s6h5d2s 9h5c3h2s2c Ac9s8s4h2s Kc8c5h4c2c 
Kd7c6s3s2c Kd8h6c3s2d As8c7h2h2d Ac9d7d5d2d 
KsQd3d2h2d Ac5c4s3c2c Jh8s8c4d2s Qc9d7h5d2d 
Kh6c5c3s2d 9s9c8s4s3s 9s8c6h3c2d 9s7d4h4c3d 
9c7s4s3s2c KdJc6h6c2c KdQdJsJdJc Qc8h5d3s2c 
Qc9d5s4s2s Ks8h6d4c3c QdJs6s3s2h As7h6d3s2s 
Jc9s8s3s2h Qc9d8c3h3c 6s5d5c3c2c 9h6h4c3h3d 
Th7s7d4c2c Th9s5s2s2c 9h6h5h4h3h QcTs4d3h2d 
Th7d5c4s2c Qs8s5h3d2c Qh7s5s4s3s 9c8h7s4d2d 
9c7d5c4c2h Jc9h7s4c2d Td9c6s3h2s KdTh5s5h2h 
Jh8h8c4h3h Kh7c6s3h2d KhTc7c4c2c 8s5d5c4c2c 
Jd8d4c3c2d 9c8c6c3s2d Ks9h9d7c2c 9s9d9c8h8d 
KhTh3s2h2c KdJs8d3h3d JdTd4d3d2h QcTs8d3d2d 
Qc8d7c3d2d Ts6h6c4c2d 9d8c4h3s3d As7h5d4c2h 
9h6d4d3s3c Qd8s6h4c2h Th6d5c4d2d 9h9d7s4h2h 
KdJs4s3s2c Ad9c6c3s3h Qc6s6h4d3h Ac8s7s2h2d 
Jd9s8h3s2s Td6h6c5h2h Js8d5c3h2s Jh8h7d4h2c 
Qh7c6d5d2s 8h4s4c2d2c Ac8s5s3s3d Kh8d4h3h2d 
Kd5d4s2d2c Td9h6c3s2c AsQh8d2d2c Ah7c5d4s2c 
Jc6d4s2s2d 8c5c4h4c2d Qc9h9c4s2c Kd4h3d3c2s 
9c8h8c3c2s 8h7h5d3s2h AsTs7d3s2s Jh7h5d4c2h 
Ts7c5h4d2h Jc7d6c3h2h Qd6s5c4s2s 8d7h3s2s2h 
Jc4d3s3d2c 9d6s4h4d3d Ad7c5d3d2d QhQdQc6c5h 
Kd8s7c6s2s 8d6h3d2h2d 8d6d3h2h2d QdTs7c4h2c 
Th9d4c3d2s Kh5s5d3h2h Td8s4c2h2c Jc8c3h3d2d 
Jc9d7h4s2c AcQd3s3h2s AhQs8s3s2c 9h7s4c3c2s 
Js6s6c3c2s Qc9d8c4c2s 8s5s4c3h3d Ad4h4c3d2d 
KsQd8c4h3h Qc8h7c3h2h 9d5s4h4c3h 8s6h4h2h2d 
QhTc5s3s2s KdQc9s3s2h Jd5c4h4d3d Jh8h7s4h2d 
Js8c4s4d3h KdQd5d2h2d Jh6s4s3d2d 7h6c4c2s2d 
AdJc8c3c2h 9c5d4h3s3c Qh8s8d7c2c Ks6d4s3s2c 
9h7d4s4c3d QhTh4h3s2h Js9h8c3d2c Ah8d6d4s3d 
Qs7s6d4h2c Tc9s6s3d2s Ks8h7d4d3c Qc8s3s3d2c 
Kc8s7h4h3d Kh9h5h3c2d Ah4c3s3h2h 9c6s6d4s2h 
Jc4h4d3c2h 9c7d4d3c2d JsJc8c3c2h 7h5s4s2d2c 
AhQh8h3h2c 7h6s4d2s2c Kd8c6c4s2h Td7d6s4d2c 
KcQd8h4s3s Qs6s5s3c2h Ad8c7h4s2h Th8h7s2h2c 
Qd4s4c3s2c Jh9h7c3d2s QdTd4s4d2d Jd7h5h4s2c 
Ts9s4c3d2s Ts9c5s2s2h 9s9c7h4s2s JhJdJcTc9s 
Qc8c5s2h2d 6s5h3d2d2c 9d7s5h3c2s Jd7c5s4h2h 
Jd9c4h4c3c QdTh3d2s2d QcTs7s4s2s 8s6s5s3h2s 
Jc7h6h4h3h Qc8h7d6h2h Qh9h8s4c2h JsTh6c3h2h 
Js9h6d6c2c JdTc7h2s2h Kd8c6s6c3c Qc8s8h4c3c 
Td6s3d2s2h KsTc4d2h2c AhJd6c4d2d Kc8s5s3h2h 
Jc4d4c2s2h Kc6d5s3h2s Kc8h6h6d2s Js9d5c3h2c 
Tc7s4c3h3c QdTsThTd7s AdQh3h2h2c Jd8d4h3d2h 
KsQc7d4c2c Kh8c5s4d2c KdQh8c4h2h Qh9c6d4s2c 
9d7d4h3d3c 8d6d4d2s2h Td5c3s2d2c AhTd7h7d7c 
Jh8h4c3c2h Ad5h4s4c3h Th9s5c2s2d 7h6h5s3h2h 
QdJh8d3c2d Qd8c5c4c2s QcTh6s3s2d Ts8c4h4d3c 
Js8c4c3h2h KhQs9c4d2c 9s6s3d2s2d Qd6h5d3s2d 
KdJs4s3s2h QsJc7s6s2s Js7d5c4h2d 9c6c5c4c3c 
6h5s3c2d2c KdTc4c3s2h Kd7h7c6c2s 7c5c4h2s2c 
QdJd8c2h2d 8s7d4s3s2d 8s8h6s3s2d Th9c5s2d2c 
KsJh5h2h2d Jd8c5h2s2c Qs9s9h4d2s Qs7c4s3d2d 
Jh5h3s3h2s AhJs4d4c2d TdTc5h3s2d Ks6s5s3s2d 
Qh9s6c4d2s 9d8c7s4d2d 9s9c8d3c2c Jc7h7c5d2c 
9s8c7h4s2s AdJh8h3h2s Jc5s4c3h3d Ad8s7s4h2s 
AcJs5h3d2h QsJc3c2h2c Ad6s6h4h2c QcJh6c2s2c 
Td7c4d3s3d 8c5d4s2h2c KsJd8h4c2c Jd9s8s3s2c 
9c7s5s4h2s Kd9d5d3c2s 9s7c3s2d2c AdTh5d3d2d 
Js7h4d3s3c KsQd9c4h2c AdTs7h2h2c Jc8d6h4d2d 
Qc7d6s5d2d Qd8d7c4h3d Qh9d9c7c2c Qd7h6c5s2h 
