AdKh8d8c3d 
Js8h7c6s3c KhQsJs7c3d 9s9c6h6d3c QsTc6d5s3s 
QhJdTh3s2h Qs9s9d7h5s Td9h9c6c3s JsTc4h3s2h 
AdJs5h5c2d Qd8d5h4h3c Jh9h7s5c4h 9s9c7c6h4c 
Kd9s8d6h6d Qh6s5h4c2s AdKsKdKc7h AsTh6c4s2d 
QcJsJd7h4h 8h7c6s6h5d Tc9d7s6d3h KcTs6c5c4c 
Qs9h8h7h5c Qs9c7s6d4h 7s7d6s5s3c KhTh6c5h3d 
KdJs6h5c4c Ts8s8c5c2c JcTh8d7s2c Kc9h8h8d7h 
8d8c5s5c3h AcTd9d5h4d KhTs9d6d4d JsTc5s4s3h 
Ad9d8s4s2d Td8h7d4c3c AhQd9s8d3d AcKh7h6s2d 
KdTd7c4s4h AcJhTh4d2h AdJd8s4d3c QcJhTh8h3h 
8s8c6c4h4c Js7h6d4s4h 9c8h7d7c6c Kh8h8c7d5h 
JcTh7d5d3s AdTc9s6h6c AdJd5s5h2c TsTd9c2s2h 
KcQhJh5s5h JhTs8h5h3c AhKh9h6c4h AcJh9d8s3s 
QhTh8c5d3s KdQsTd5h5d AhKd5c3d2s KsJh9s6s4d 
Td9c6d5h4s AhKd7s3d2s Qh9c8s4s4h KcJs8c3s2h 
KhTh6h5s5d Ts8s7s6h5s 8c7h6s6d5h QdTs7s6s4s 
QdTs7s5s2d KcJs8h7d4s KdJd4s3s2h Js9c7c5d4h 
As8d7h6d6c QhTh9h6c2d AcQh9s5s4d AsJh8c5h3d 
Jh8s8h5h5c JcTc5h3h2h KhQcJd7s3c 9d7d5s5d3s 
JdTd6h4s3c Kc9s6c5s2c KcQsQh4d2d Qd9d8s7d3s 
KcTs8d5h4s KcTd9d7d5d KsTd9d7d5d Kc9c6s5c4h 
Kd9c8d6h6d AdTh5d4d3c Td9d7h5d4s Ac8d5h5c4c 
AcTsTc5c2h JdTd7h4h2h AsTd9h6d6c 8s7h7c6d4h 
AdTd7h3s3d ThTc9d8s4h JhJd3d3c2c Jc8c5s4s2d 
QsJcTc6c3c Jh8c7c6d3d Ac7c6s4d3c Qd9d9c7d5s 
KsQd8d2s2c Th9d7h7c2d 9d8s6h6c5h KsQh9s6s3d 
Ks7s5d4c2c AsJcTd7d2d Kc8h7d7c4s AcJs8c4c3h 
QcJhTd4s2s QsTc7c5c2s KhJd8c6h4h KhQs4h4c3d 
AsQh8d7h3c Th9s8s5d4c AsQd9c5h4h JcTc8h8c5c 
JsJd9c7c4h AcTs7d5s2d AdJs6d4h4d AsQs5h4s2c 
AcKdTs5h2s JdTc7h7c2h TsTd9h5c4h TsTh9c6d3c 
Jc7s6h4s4c Kd8h6d5s5c QsJd6h5h5c Ac9s9d4s4d 
Ks7s6s5h3d AcKs8d7s2s Js8c7h5c4d Jh7h6s4s3c 
KhQs8c7s2c KhThTc3s3h Jd9h8c3h3d QhTd7s5c3h 
9c8s6s6h2c Jh7h7d6s3d KdTsTh6c3s Qs8s6d5s2d 
JcTh8s5d3h Qc6h5d4d3h AhTc6h4s2d 8s6s6h5s5c 
QdJd9d5h4d JcTd8c5c3h 9s8s8c4c3d QhJd6c4h3s 
AhKd9d6s3d 9h7d7c6s5h KhJh5h5c4s 8h6s5s5c2c 
9s7c6s5h4s Ac9s9c6c4d KsTd6c5d2c JsTh8s3s2h 
KhJsTh6h2d QcTd8h8d5d Qh8c6s5h5d JsTs6d4c3h 
QsTs6c4s2c KsQc8c2s2h Qc8d6h5h3d Ks8c6s4c2d 
AsKd9h5c4c QhQc9s8s4s Ks8s8h5d5c AdQs6d4c3d 
QhJc5s2s2h 8s8c7c4s3s QsJhTh7h3c AcJd8s5d3h 
9s9d8s5s5h KhTd7h5s5h Jd7h7d6c3h Qh9d7c5d2h 
Ts8c5d4c3s Jh9h7s7h5d AdJh9h7c4h KcJd5h2h2c 
KdQh8h2s2d JsJc3d3c2d KdQh5s3d3c Qs8s7c6s6d 
Qc9s9d8h5s Qh9d7h6s4c KdThTc7s3h Kd9h7d3s3h 
AcKh8s7h2h 9c8h8c5s4d Kd5c4d4c3c QsQcTs7s2d 
9c8h7d3d3c AdKhQh9h2h JcTc7s4h3d 9h8d6s6c5h 
Ad9s9c6c5h KdThTd8d3s JdTc7s7c2s Jc8h7d5h4s 
QdJc7h3d3c QhQd5s4h2h Qh9s9h7d5h TdTc4s2d2c 
KsKhKd6d5h Kh8h7h6s4c AhJh8c6h4h Js8d7s7c2d 
As7c4d3c2s KhJc6d5s2h QsJs7h5s2h 9h7c5h5c3c 
QcJs9h5d2c Td7s6h6d5c Js8s7s5h3h QcTh7d6c3c 
9h7s6c5h3h 7s7d6h5c3s KsJdTc5h2c 9h8s8h5d4c 
9h8d6s6d2s JsTs8s8c5s AdJh7h6s4h 8h7c6s5s3d 
Ah8s8c6s5d Kc9d5d3d3c AhKh5h3s2d Qh9s9h7h5c 
Qh9c7h6s4d KhTd7d2h2c 9h7c6s5d5c Ts9h7c6h3d 
9d8d6s4c3c Tc9s9c8d5c Ac9s9h8s6s Td8s8d6d5c 
9s7c5s4c3c 8h7h7d4h3d Tc8s8h4c3h Kd7d5h4c2c 
8c6d5h5d2h QdQc8c3s2s Jh8d7c6c5c TsTh9d7d4d 
KsTd6s2h2d AdJsJh7c3c 7c6h5c4s2h JsJh3h3d2d 
AdTh8c7s2h Ts9h6d5c3s 9h8c5h5c3s Jc9c7h5c4d 
KsQh7s5d3s Ah8h4s2s2c Js8h7h6c3c KhQs5s5d4s 
AcQh9d8h3h Ah7h7c4s2d 9s9h7d6h4h Kd9h5h4d2c 
As7h6s6d3s Kd8c7d6d4s Qs8s5h4s4h Td8s7d4h3h 
JdTc7d4h3s Qc9c6c4d3d Kd8h6d4s2s 9d8c7d6d4s 
9s8h7s7c6s QdTd9d3s2s Th9s9d6d3c AdQc4s4c2s 
KcQh8h2d2c JcTc4h2s2h KhTd4h3s2d AdTc5d4s3d 
AcTh5s4c3c AsJc7c6d4c JsTd5c3c2d Jc9h8d4c3h 
Tc9d7c6s3c 9d9c8s8d4d QsJd7h3s3d 7c6s5s4s3d 
KcJc7s5c2s QsThTd8h3c KcTs7d6c2h AdJd8s6d4d 
Ah7h6h5h4c QcJs9s5h3s QhTh9h6d2s Ts8s7h5h2c 
KhQh8s8d2s KhTs7d7c5d Qc9s6d5c3h AhKd6s6c4c 
Ah9s8s3h2h KsQd9h5s3s JhJcTd7d2s Td9d8h4h2c 
Qc9h8h7h5d QhQdTh6h2h Tc9c8h7c4s JsJh9d5c3d 
Th9d8s6h3c KhJc7s5c3d QdJh9c5s2d QhQc5h4d2h 
QsJh6h6c4d KsJd8d3h2s KdTsTc7h3s Qs8d7h7d6c 
9c7c5c4s3s Th9h7c6h3s QhQd9h6h3h AdQs9h6s3c 
Jd9c5s4d2c As9h9d8d6d 9s9d7s2h2d JhJc8s5d3c 
KsQh9c5s3s TsTd5d4h4d QdTd9h6d3d Qh8s6d6c5h 
KsQh9s7s5s KsTd8s5h2c QcTh9d4s3d KcTs8d4s3d 
AhKd8d7s2d KsJc8d7h4c KhTc7h5h3d Jc7h7c6s5d 
JhTh9c3s2d Qd9c7d6h4s Td8d6c5c2c Ah9c6d6c4d 
Ac7s5d5c3c Jh9d5c4d3c 9c8h5d3h3d AcKc6c4c3s 
Ad9c6h6c4h Qd8h7c5s4d QdJs6s5s4s AdTh9h7c2s 
KdTs6c5s4s JsTh5h3h2s KdQhJc9s3s KdTh7s7c5s 
Ks7h5h4c3c Ts8d6d4s3d QhTs4c3s2h QhJs6s5s5c 
As6s5d4h3s AcQs6d5d4h Jd9h8d4h4c QhQd8h7s3c 
KsQdJh3d3c Jc7c6h4d3d Jh9s8s4h3c KdJd9s6c2h 
QsTh7c5d3s QsQh9d6s2s JcTd7d6d4d KcQd8h7d2h 
QdQc9d5s2d Ac3h3c2h2c AcKh8h4d3s AhTd9c6d3s 
Jc9c7s5h4c Qs6d5s4h2d Th8s5h4s2d JhJc9h6h3d 
KsTh9d4s2c AhKc7s2h2d Td8d6h6c3h Qd9d6s4d3s 
AcJd8d6h4d Ah7s7d5c4d QhJs8h7h5h Kc6d5s5c4h 
7h7d5d2h2c Qh8s7h5s2d Tc9d8c3d2h Th8h6c5c2c 
JsTs6c4h3d KhJdTc5s2c Jh9c7s5c4d QdTd9s9c5d 
Tc8h7s5s2c KcQc8c6c5d Qc9c6d3h3d Th7s6c5s4d 
AdTc6s4d2h Td8h8c7c5s KdJd9c7s4d Ks8h7h4d2s 
AhQs8s7c3d KsThTd6c3h Jh7h6c4s3s 5d5c4d4c3d 
AcQc7c5s3c Jc8s7h7c2s KcQsJs8s5s Qd8d5h4c3h 
Qd9s7d6c4h Kh9c5c3h3c 6d6c5s5h4d JsTs8c4h2d 
Jd8c6d5h4d Jh9h7h7d5s QsJd9c6h3d Ts9h6s5d4c 
9s8s6c4h3h Ts9h9d7c4s KcTsTd7h3s KdTh7c2h2d 
7d6s5h4d2s As9c8c6h3h 8h8c5h5d3s KhJs4h3s2s 
8s8h7h5s2h JsTc9d7c2h QdQc5c3s2h JcTs9d4d3d 
QsQh6h5h2c JdTh7d6d3c 9h6h6d5s5h 8d7s5d4s2h 
QcJs7s6s6d Kc8d5h3d3c Qh8s6c5h5d Td8d6s5s2s 
Th9h8c7h4s KsJh9h6d4c AhKhQh8c2h QsTh8d3d2s 
9h9c8s8d3d Tc9s9d6c3h Td8c6c5h4s QhTh7s7h4c 
Jc7c6d4s3s Td8c5s4c3d QsJc8c3s3h QhQd9d6d3d 
Qc8s7h5d4c Kd5s4h3h2d Ah9h6c5h3d JhTc8s6c3d 
Jc8s8h6c5c QhTc9d7s3d KsQs9s9h6s Ts9c8s6d3h 
Jc9d8c4s4d JsJh9s5d2c KcJs5s3c2c KhQsTh5c2h 
Jc9c8h6c5c JhJc9h4s4h Kd9h9c7d5d Ts9d5d4d3s 
AdTs5d4d3c Qc8h8d6c5c Qh8d7d6c2h AsJh9h7d3h 
7h6d5c4c3s JdTd7c3d3c KsJd7h5c4c TdTc9d3s3d 
Qh8s5h4c3s Ad9h8h6s5h Jc9d6c4h3h JsJc7d6s3h 
Ks9h9d6d5c JsTs9h8s3s 8h8c6c4d4c JsTh5d3d2h 
6s5h5d4s3d QhQd9s8s4s AhThTd4h2c 8d8c7h4s4d 
Jd9s5c4s3c Qs9c7d7c6h AsKd7h2s2c KsQh5c3s3d 
Ks9s6h5s4d JcTs5s4d3s KdTc8c2d2c KsTd9c2d2c 
AcJd7d6h4d QhTc4s3c2h QhJh9d7h2d KcQs9s5d3h 
KdQd7h5c3d Ts8s8d5d3s KhJh7d5h3c Jh8h8c5h5d 
Ac8h7h3h2c 9d8s6h5c4c 9s6s6d5s5h QhQd3c2s2h 
8h8c7d4s4h Ad7c4s3c2d AdJs8h5s3c AsJs7s7c4s 
Th9s6h5d4c Kc8s8d7d6d Js9s8h6s5s Th8s8h5d4c 
Js9c8d3s3c Td9c8s2s2c ThTd4d4c2h AsKdQs8s2s 
QsQh5c4s2s 7c6s5h4s2h 9h8s7d6d4c Js8h7d5h4h 
9h8s6d6c5h Ad7h6c3h2d AdTh8h5h4h 9h8d7s7d5c 
7s7h5c4s2h JhTh7c4d3s 9s9c7s6h4s AsKc9h5d4d 
Kh7h6h5d3s JhTd9c4c3c Kc7d6d4s2c Kc8c6h5s5d 
Kh9c8s5h4d AsJc9s7s3s TsTc9d7d3h 8c7h6h4c2d 
As9d8s7s4s KdQs7c5s5h Jc9h8s4s4c Tc9s9c4h3d 
AsQc9d4d2c AhKh9h5d2s Kc9c7d5c4s AhTs6h6d2c 
QdTd7h7d5s Th9s8s5c4d Ah9d8d6s3s AhTc9s5s4d 
KhQs8h5h4d AdJsJc5h2s KhQh7d5d2h Jd7h6s4h4d 
AsJc5s3s3h Qc6h5c4h3h KsTs6s4h2h QsJc7s7h4d 
QcTh7h6h4h Tc9s9d5d4h 9c8d6h5s4s Ac9c8h5d2c 
Qh8h7s7h4s Ad8c5s5h2d 9s9h6d6c3h QhQd9h6h2s 
JsTs7s4c2c AdTsTd4d2h QsTc8s5s4s Kd7s7h4s4h 
Jd9h6d4c3h Ks7h6s4h2c Th8d6d5d2h Qh9d6d5h2h 
QdJc3d2h2c KhQc9d3h2d Qd9d7s6d5d Td7c6h6d5s 
Td9d8s4s2h 8d7d6c4s2s AhKs7s4s3d Qd9h6d5h2d 
Qs9s6d4s3d KhTsTh8h3d AsKh7c6d2h KcTh8s5d3c 
QhQcJd8c2c KsQsJs3c2d Ts9h8h8d5c ThTc7s7d3c 
AhTd8c5s5c JcTs9h7s2d AhKh6d3h3c AdTh9s5h4h 
AcJs8h8c2c Td9h5h4d3h KsJd8s6h4s Ts9h9c7d4s 
Td9s8d6c3h JcTs6d5s3s Ks9h9d7s5s JhJdTs5s2s 
Kd8d6s4s4d AsJc8d5c3h Qd8c6s5h4h Ac8c5h4d4c 
As9c6s5d4s KdTd6d5s5h AsTc8c5c4c KcQsJh3h2d 
KhJh9d6c2s Ts8c6d5c2d JhTc5h4h3d AdKh7c6s2h 
KcTsTc8c3h Ah8h8d7s3h Tc9c7c4h3h KcQh9d5h3s 
Js9s6c4d3d QdTc6s5d3d Tc9s8d5h4c As7h4h3s2d 
Th9c8c4h3h 9d8h7c4h4c KsJc8d3s2c AsQhJh8h3h 
AhKd7d6s2c 8s8d4s4c3c KhJsTc7h2h Jc8d5d4c3d 
Td9s9d3h3c JsTc8s3s2c KdJsTh7d2d As8s5d4s4c 
KhTc8h3c2c JcTh7h7d2d Qs8s7s7c4c Qd6c5d4h2c 
JhTd8c3c2d Ac8h7d6h3d AhJdTd4s2d KhThTc8s2h 
AcQc7s5h2c KhQd8s7d2s Ad8d4c2s2c KdQd6c3s2s 
JsTh9c4c3d 9d7d5s4s4d 8s7d5s4d2c KdTc7d5d3h 
AsQd9h6d3c JcTh9d2s2c KsJc9c6d4h Td9h8h3d2c 
QcJsTd4h2h Kc9s8s7s6s AcKs7h3s2h QsJc9c5h3c 
9h7c6h5s4h KsQd9d7d5d QcTh5c2h2d Qs8h8d6h5c 
KdTd6d5s3h AcKcJc8h2c AhJc8h4h3d JcTd9s4s3s 
KdJh5s4c2d KsQc8s7s5s AdKd9d6c4d Kc9c8s4s3h 
JhTh9c6h4h AcQs9h5h4d AcQc4s4c3h AhQs9s9c4d 
JcTc7s4d3h QdJc6s4d3h AdKd6d4d3s KhJh5s4d4c 
Jc9c7d5s4c Th9h9c4s3d Tc8s7c5h2h AdQs7h6s2h 
Ts9c8d2d2c AcKc7c6d2s As9d7h7c6c Ks9c8h5s4d 
AdQd9c7d4d Qh8h7c6h6d KcTh8c3h2h 8d7h5h4s2s 
Td9d9c4h3s KhJh7s4d2d KsQd6d4c3h AcJh6s3d3c 
AcKc9d2s2h AcJc9c8c2h AcKh3c2s2d Ah8s6c3h3d 
KsTs8h4s2h Jh9s8c5h4d KhJh4d3s2s Ah7c4c3h2d 
9d8c7s5h4d KsQs8h5s2h KhTc6s5c2s 8h8d7s6d4d 
AdJcTh3c2s Jd8s8h6d3s TsTd4s4c2d AcJd8d6s4d 
9s8d5s5d3h Jh8s5h4s2d AsKh6d4c2h Ks9s7s7c5d 
JcThTd7h2s AdJc8c6h4c JhTs5d3d2s JcTh4d3c2h 
AdTsTh9c2c KdJd4s4d3s Tc9s9h6c4c KdQs8s6s4c 
KhTs8c5d4s QsJc8s7s5s Jc9s8d4c3d QsJh8d3h2s 
Qc6h5d3d3c QhJc9h9d2s Ac9c6h5c3s Td9h7h5c2c 
9d6d6c5s5d QsJhJc3h2d 9d7s6h5s3s QdJhTd7c2s 
KdQd7d5d4c Qh8h6d5h2d QdTd8c5h3s Ad8d7c2d2c 
9d8s6s6h3d 8h7c6s6c4d JdTh5d4d3s JhThTd4h3h 
Tc9h8c3h2d QsJh5c2s2c 7s7d5d2s2c JdJc9c5s2h 
Kc9c5h4h4c AsQs7h5c2s 7d6s5h4s2h 8s6d5h5d2h 
Ac9h8h3c2c KdQd7d5s4d QhTd9s5h5c Td8h7d5c2c 
JdTc8c3c2d JhJd9s5c3s QcJsJd3s2h QdTs8s8c5s 
Js8c7s5s4d AcKd6d5d3d Th5h5d3s3d JhTh9h5s5c 
9d7s6h6c5c Js7c6h4s4c Kc9c6h5h2c QdTs4h3s3h 
QdJs8h5s5c Ts7s7h3h3c KhQc6c4d3s Qs8h6c5c3h 
KdTh9h8s5h KhThTc3h3d Jh7c5c4s3s 8h7s6h4h3s 
Kc9c6c5h2h AcJsTd6s3s Ah9d8d8c5d Ad9s6d3h2h 
9h9c4c3s3h Qd9h6s5c3d Qh8h6c4c3c As9c4s4c2d 
Qc9h7h7d6s KsQd7s5h3s JsTd8s3s2d KdTs4c3d2s 
AdKdQd8h2d QsTh8h8c5h QcJs6d4s4h Ts8h6s6d2d 
JdTd8h5c3d KhJh9s4s4h QdJh9s5c2d QcTd7s7c2s 
AcKc7c6h2s Td9s5s4d3s JdTd9h6d4d Ah8s7d2h2c 
AhQs9s5s4d KhQc9s8c5c Ah9s9h5h3c QsQd9h6d2d 
Ts7d6d3s3c Th8d7h5s2s JhJc8s3h2c AsKcJc6c3c 
JdTs9s5h5c KsJs4h3c2c Tc8d8c6c5s AhJh7h6h6c 
QcTd4d2h2c AsTd9c7c2h Jd9s8h3s3d JdJc9c6c3h 
KdTc5c2h2d Kd9h7s5d4d AdQc9h6c3s Ts9c7d5h4c 
QcTd4s3d2c ThTc5d4s4d JcTd8s7h2c AhKsTd2d2c 
Ts9c8c3s2d KdQhTc8s3c JhTs8c3c2s AdKd8c4h3d 
7d7c5h2d2c QcJc7s5c2s KhJc7d5d2c 7h6h5c4d2d 
Ac6c5d4h4c KcTh9s9d2d QdTc6d3c2c JsJd7c6d3h 
KhJh5c4s4d QdJh8s6s4s KsJd8h3s2d KcTh4d3c2h 
KdQs8s2d2c JsJh5c3h3d Jc8h8d6c5c QsQc6s5s2d 
Kh8s7s6d5s QhJs9c5d2h QsQh9h5c2h QcJd9s6h3d 
Ac6c5h4s3c AsQd8s6c2s TdTc6c5d2c Th9c8h6s3d 
AcJh9s8d3d 8c6s6d5c2d AcJdTh5d2d KsJh7s4c3d 
As8h6s3s3h KhTc9s9c5d Qd9h9d5s4c Ah9h8s5c2h 
KcQc9h9c6c 8h6c5c3h3d QsQh9s5d2s 9d7h6s6c5c 
Qs9c7s6h4d Ad9s9h8s6s Jd8c6d5s4d QhJh7c5s5d 
Qh8d5h5d2s Jd8d7c6c3d Ts9d8c7d4h Js7s6h4c3c 
Ad7d6d4c2c 9h8d7d7c2h KhJh7c4d2d AdKhQd8d2d 
Js8h7c5d4h QsTh6d3h2s QcJd9s8d3h AhKs8s4s4c 
QhJh8d4d3h QdJc9s8c3h KdQhTd7s2c QhTs9c5s3s 
TsTh5s5h2h AdKh6c4h2s TsTh6s6d3c 8d8c4h4c3h 
As8d7c6h6d KhQcTh5d2h AcJd9d7h3d ThTd6h4h4c 
Qs8d6c5c4h 7s6h5h4h3c Qd8c7d5c2s Ts8h8c3h3c 
7c6d5h4h3s 9d6s6d5h5d Jd7d7c6h3c Qd8c5d5c2h 
JsTh6h6d2s Th7s6s3h3d Ks9c6s4s4c 8s8h7s4h3h 
Td8s6d4s2h JhTd7h6h3s Th9d9c5c4s Qh7c5h4h4c 
KdJh9c4h4c Td8s8d5c4h Kd7s6s6c2d 8c7s6s4c2d 
Qh6s5s5d4d 7s7h5s2h2c Js9d7d5c4h QcTc8h5d3s 
QdJs6s6c4h 7d6s5d4c2s AcJd9s8h3s Jc7s5s4c3s 
Kd8s6d4s2c Ts8h6s6h2c Ad8s7c2h2d Jd7h7c6c3d 
KdTh9c8h4h QhTd8h5c2s AdQs6h5h4c Ts8d8c7d5h 
AdKc8c5s3c AsTsTd4h2s JsJhTc5c2c KhQd9d7d5d 
ThTd9h3s3h Ts7d6h5d4c QsTc6h3c2s QdTc9s5h5d 
Kc7h6h4s2c KcJc9s6h2d QsQd3h2s2c Td8s8h6d5d 
KdJc6d3c2h AcTh9d5s4d JcTc8s8d4c KcJc7d5c3s 
8s6c5d5c2d QhTh7c6s3h 9c8s7d6d4h AcQhTs5s2s 
Tc8s8d6c5c QsTh7c6s3s Ah9c8d8c5c JhTd7d6c2c 
KhTh9s8c3h KsTd8h5h4c Jh8d7d6c3c AdTs7c5c2s 
9c8d6h6d3c Td9h8h5s4c Kc9s9h6h5d AdJc8s5c3h 
AsQs9c5d2s AhQs4s4d2d JsTc7c4d2d QcTc9c3d2d 
Jh9h7h7c5s KcQhJh3s2d Kd8h8c7c6c QsTh8s5s4s 
As9s5s5c2c Td9d8h3s2h AcQh9h8h3s Qc9d7s7d6h 
QdTd9d7d4c QsQd7d4c2c Ks7c6c4h2s AdKh8h4h4c 
JhTh7h4s2s JhTs8c5h2d AhQs7h4d3h Ah6s6c5c3s 
Js8d8c7h5d KhTs6c5s2c QdQc8d3h2h QdJc9s7h4c 
JhTh6c4c2h Ad9d5d5c2c Ac9s6s5d3d Jc8d7h6c3h 
9d8d5s4c3s AhQs9h5d2h 8c7h6h4c2s Jd9d9c8d5h 
Kh8d6h5h2d 9h9d7c6d4d Th9s9c8h5d JsTs7d3s3d 
Kc8h7h6s5h AhKd6c4d2s JhJc9c4s4c KsJh6c5d4d 
Td9d8c7d4h AdKs6s5s3s Jd8s7s5c4h QsJc9s9d4h 
AsTc6s6h2d Ah9c8c6s5c JcTs4h3c2s KdJs6d3s2c 
Tc9c6s5h5d KdTd9h8c3d As6s5h4c3s TdTc8h8c3c 
AcKh6h3s3d Jc9h8s4c3s 8s6s6d5s3d QhJh8h6s6c 
AcTsTc4c2d Tc8s5c4s2d AhQcTd5d2d QsJdTc7h2s 
6h5d5c4h3d KhTc8d5s3h Jh8c5d4d2h Tc8h6s5h2s 
9s9d6c2s2c Kd8h6h5d2d Qs9h9d8c5h AdKd5d3c2s 
KcTh7d2h2c Kc8d7d6h5d Tc8d6s6h5c QhTc9c8s3c 
As9h6s3d2d KhTs5s2h2d AsQcTc4c3c 9s9d8d8c3d 
KcQs7d5h3s KdTsTh6d2c 8c7c6h4d2d KhQh8s6h5h 
QcTsTd8s3s AdTs6h4d2c QcTd6d2h2c Qh9c8c7c5d 
KdJsTh6s2c QcTs7d7c2s QdTd7d7c4h KsTsTh3s3d 
KcJh8c6s4c Kc8s8c7h5c KcTs6c2s2d 8c7s7d6h4d 
Qc9h8s6s2h KhKdKc6d5h KdKc7s6s2s Ac8s6c4h3d 
KsQs7c5c2s 9h7d5h3s3d Kd9c8s8c7c AhQdTs5s2s 
Td8h8c7h5s Ac9s8s6d3d AdKd8s8d3c AcQh8h7d3s 
AsKcTh2h2d KdThTd8c2d TsTd6s4s4c AcJh9h7d3h 
QhTd8c3c2h Tc9h9d5d4s 8h7h5h4d3d AsJc9h8d3d 
AcJdTs6d3d KsQh9c5h3d Th8h6s5h2s QdTh8s8h5h 
Ts9d9c5s5h Th8d7c5c2h As8h5d5c2s KhQcJc3d2s 
Ac8d7s2h2c QhJd5s2s2h Qh9h9c7s5h Kh7s6d5c4d 
Ts8h8d7d5c Kc9d5d4s2c KcTs7d6h2c AsJhJd7c3c 
Kd9d7h5d4c AsKc9h3c2h KcQh9d5c3c QsTc8d3d2s 
KhQd7c5s5d JsTs7s5h5d 9h8d6s5c4c AdQcTs5s2s 
Js8h6s5d4s 8h7h6c5h2c 7s7h5d2s2h AcKs9s6d3s 
JsTd8h5c3d Jd8s5s5d3c QdJc8c5c4c KsQs7h5h2s 
Tc8c6c5s2s AsQs4s4h3c 9h8d7h6h4s QhQd5d3s2c 
KdQs5c3h3d AhQs5d4d4c Jh9s6h4c3c KsKd8h6c2c 
8s7c6c4s2d AdTh9c5c4s Ks8h7s7c4d Th9d8s8c5c 
QsJh8h3s3c Js8d7s5s4c Js9d8h3s3d Qh9d8d7d5s 
AhQhQdQc3c KcJd8d7d5d Jc9d5c4d2s KsQhJh8h5h 
Kc8h7h4c3h QcTs6s5s4s KhTs7d6h2c Jc8h7d5h4h 
Kh8s7h6h4c KsJh9h6c4d AcQh9h6s6d QdTd7d6d6c 
AcTc8s7c2c Js9d8s4d4c JdTh5s3s2h JdTd8d5s2c 
Ts8d6s6d2h Ks8c6s5h5d Jd9d6s4c3c KdJdTs3d2c 
KsKc5d3d2d JsTc4c3d2s KdQd8d7d6d Js9s7s7h5c 
QdJs8c6c4c KhQsJd7c3s AsKsTs5h2s AsQc9c8c2h 
QhQd9c6h2h JsJdTc7c2h JcTd8h5c2s Td9d7d4c3c 
KcJh9c6c4s Jd9s7h6h6c 7h7d6h5h3c AhTd6h4c2s 
QsQh5d4s2s 9s8s8c5h4d Qs9c6d5s3h KcQsQc4c2c 
KcQc6h3s2s 8c7h6d6c5s JdTs7d6d3h AcQc4d4c3h 
KdQs9c5s3h QdTh9s5h3h QhJsJd7c4c KcTs7s6s4s 
Ts9h7c6d3h QsQc7d7c3c AdKs8h5s2s KhQsJc6s2d 
JcTc7s4s2s Ah9h6d4h3d AcTd9h6s6d Ah9s9c6c5d 
KhKc8d6s2s AsJcTh7d2d ThTd9d3d3c KcJh8d3c2h 
JcTh9s7h2d KdQc9d2d2c Ah9h9c5h3s 9s8h6d5c4c 
Ac7c6c4d2d Qh9c7s4s4h 9s8d6h6c5h AcQsQd7d2d 
Jd9c8d4s4c 9s9d7d2s2c Ks9c5d4c2s AdJd7h7d4d 
AcJd5c3s2h AdQh9h5h4c 8c7c5s4h2h AcJs9s5s4d 
Kc7d6s5h4s QsTs9s6d3s QdJc6c5c4c As9h9d6h6c 
Ah9h6h5d5c QdJc6c5h5c JhJc5d3s3h Kd7c5h4s3d 
Kd9d7s7d5c AdKc8c7h2c JhTh9s3d2c Td8d6d5c2c 
Kd7d5c4h2h JsThTc7h2d JsJd8d4d4c Jd8c7s5d2c 
QcTh7s7h5d 8d7c5s5d3s Td9h8c2h2c Tc9h9c6d3c 
Ts9d9c6s4s As8s7s6h4s JdJcTs7s2h 9h7h5h5c3c 
KsJh8c6s4s JdTc8s3s2c Qh9s7d5s2h Ad9c8d5h2d 
As9c8c3s2s Jc8s7d6c3d 9c8h6s6c5d Kc8s5h3s3c 
KdQsJh9c3c KsQh5h5d4h JsTs7d6d2s KcJh9d4h4d 
Td9d7d4h3h Ts9h9c5h4d Th8d6h6c2c QsJs8c7c2s 
9d6h6d5s5d KsJdJc6s3s KcJd9c7s3c KhTd7d7c5d 
JsTc7c5h3c 9c7d5c3h3d KdTs7s6s4s Kc5s4d3s3c 
QdTd9d3c2c AsTh9d6h6c Ks7c6s4c2h 6s5s5h4h3c 
AcJhTd7s2s Ks8d7d4c2s Ks8h6s4d2d Kd8h7c5s5d 
7s7c6h5d3s KhQcJd9s3s AdQh6d4s3d AhKsTc7d2d 
Qh8h5d4d3c KsJh7c4d3s Ah9d6c5d3c Jd8h7c6d3c 
Qs9d6d4h3h KdTc9h7s3s QdJc3d2s2c Ts9s9d8c5s 
KhJs5c2h2c KsQs7h4s4h AsQh7s7c2d 7h6c5d4c2d 
As9h9d8h6h AsQcTs4s2s KsTh4s2h2c KdQcJd4d3d 
Ts9s7h7d2d Ks9s6s6h3h Qs8d5c4c3s Qs6h5s4d2d 
Kc5d4c3h2d JhTs7s5s3c KcTsTh7d3s As9s6s5d5c 
AsKhTh3h2d Qc9d8d7c2c ThTd5d4s4d Ah8d6s3h3c 
QcTc9s9h5c QsQc8c7h3d QcTs8s8h4s Ad9c6d5h4d 
KsTd7d7c5d 9d8d6h6d3h 8d6c5s5c2s Jc7d5c4d4c 
QhTs8c3c2h KcQsJd9h3h JcTc9d5h5c QsTc9d8h2d 
JsTc8d5s2h Ts8h6s4h2d Td9h7h5s2s AcJc8s6c3h 
