Kc9s9d4c3d 
QhJd8h7s2s KcTh5d4h3d Ad8d4s4c3s AhTd8h6s2h 
KcTc8c5s3s Ks8h6s6d2d JhTs9h9d3h Ad8d7c5d3s 
KsKc7d4s2s 7s6h5h5c3c Js9s9d8s7s KsQs8h7d2d 
QsJh8d2s2h Qc8c6h4d3h AdQh5c2s2d AhKd9d9c3s 
QhJd7d7c5s AsQh7c5c4d Kh7h7d5s4c Tc9s5s4s4c 
KcQc9c7s3s KcThTd7s5s Ts6h6d5s4d KcQsTc7h3c 
AsQh8c4c2h KcJd7s4s3d KhQsJc6d3c Qs8s6d4h4d 
As6h4c2s2c Td8c6c5d2s Qs7d5h4s4h 9s9d5s4d3d 
Qh7s6d5c4h KhThTd7h4h KhQh7s6s2s Jh9d9c7d2h 
KdQd7c6c2c QcTh9d4c3s QsJh9s6s5s Th9s9h7c5h 
QhJh9c8d4s AhTdTc4h3h 9h8d7h7d4h QdJs8c7s2c 
KhQcTd8c3s JsTd8h2s2h QdJh8s2h2d AhTh7s7h4h 
9d8d5s5h4s JdTh6d5h2h JcTh5h5d4s Ah9d7s5c2h 
QcTs6d5s2d AhJd9h6s6h AhKsQs9s4s 8s8h5d4s3d 
Th9h9c7s5h KsJs9d5s4c QdTh6s6h5c Jh9s9c8d6h 
Jd6h6c5d4h KsJsJc8d2h Ks9d7c6d5h Td8h7d6h2s 
Qs8c7h5s3c AdTh8d6c2d KcJd7h6s3c AhQc9s9h3h 
8d7s5s5d3c Ad9d5h3c2c AsJh9d9c6d AcKd9s7h4s 
AsKcTh8d2d Qd9s9h8c6s QdJc8s2d2c AsQh6h3s2s 
Qs9s9d4d3h AcTd9h8h3h KsQd5c4h2s QhTsTc7c4c 
Ac6s5d4c2h KhQsJd9d4c AcTs9d6d5h AdTh9s7c4c 
AcJh7s6h6d As8c6s6d3h KcJc6s6h5c AdQcJh7c3c 
As6s6d3c2d KdQh6s5c3h AdQdJd8c2d KdQc9c4s3s 
Jd9s7s6s5h KsTd8s5c4s KhJc8c6c5d 7s7c5d4h4c 
9c7s6s6d3d Th7h6c4d3c AcJc7d4d2c Js9h9d7h2s 
As9h5h4s3s AcTh8s6s4d QdTd9d8h3c As6h5c4s2d 
Qs9s8c7s7h 9s7d6h4s3h QdQc9c7h3c Qh9h8d7s2s 
AhKdTd2d2c QhJh5c3c2d Qd5d5c3h3c Kc9h9d4c3h 
QhTd9s6c4c Ts9h7h7d5c Kh9s8d7d4s Jd9s9c5d4h 
QcTdTc7h4c QcTd9c7c4h KsThTd8s2c Td9c8c6s4h 
8h8d7c5s5c KhJd7s4s4d Jd9c8d8c2c AdKh8h6c3s 
9s7h6s5d2h Tc7d6h4d3c 9s8s7s5c3c AdJd7s4c2h 
JdJc7d6d4h QcJh7d6s6h JhJd8s4d4c JhTd6c3h3c 
KhTd6h4c3s Ad8h8d4s3c AcJc8s5c2h Th9s9h5s2s 
AsKc8h5h5d Qc5h5c3s3h KhTd8d6s4d QhJc7s7d6s 
Ah9d8h7h3c AsQdTh4d2c Ac8s8h7s6d AhTc9s7d4d 
AsQh6d4s2c KcJd8c7s4c AcJdTd5d2h Ad8d8c4c3d 
QdTd9s8c4d Kd8s6c5s5c AcKc6s2s2c Qs7c6s5c3s 
AcKs7c5d2c AcQdTs4d2h Ac9c5d3h2h Ac6d4s2s2c 
Kh7c6s6c4s AdQc8c6h6c Qs8s6h5h3h Kd9s7d5s2s 
9h8c6h6c4c 9h9c8c5c3h AhTc9d8s2c 9h8d7d6h3d 
QsTd9d6d3c AhQsJd7s3s AdQcTh7s3s QsQc7s4s4h 
AsKh8c5d2h Qc9s8s6s5h KcTc7c6h3d QsQhJc4s2s 
QhJc6h4h2c KdTs8h5d5c AcQcJc5h2c AsQd8s5s2h 
Kc9d7c6s3h Kh9h7s6h5h KdQd6c5s3d 9s8s7h6c2c 
8d8c7s5h5c AhKh9h7d2c AdKd9d7d4s KcQh7s6s6d 
QsJc8s4h3h KcQdTc9c3c AcQsJd8s3s Qs8d8c6h6d 
JdTh6s3s3d KsTsTh7s4s KsTd5s4h4c KdQd9c4c3d 
AhJs9c8c3d AhKsTd8c2c JsTh8d2s2d Td9s7c6d2s 
KcJd7s6h3c AcTs7d5s4s KdQcJh9h4s 9s9d7c5s4h 
KsQh8d6c5c QsQd8s6h2c KdQdJd4d3c KdJc9s6d4d 
Qd9h8h6c5h KhJcTc7s3c 9c8h8c7c6d KcJd9s9h6d 
JcTh9d6h3h QhQcTs4d2s AdKd7c6d2s Jh9s7c6c5c 
AsTc9c8h3c QcTd7c4d3c AdQc8s7h4s QsJdTc3h3d 
Td9h8h6c4s KsTh8h7d4c TsTh7c6c4d AsQs8s6h3c 
Ac8c6d4d3c QhJd8c4h2c AsTh8c4c2h As9s9h5c2d 
KhJdTsThTd KhJcTsThTc Td9c8c4s3d Th8h6s4s3c 
As7s7h5d3s AhQd8d6d6c Kh8s6s6h2c KhQd8s7h5h 
Td8d7d6s3s QhJd5s5c4h KcJhTh9h2h KsQd6h5c3d 
8h8c7s6c5c KhJd8d4h2d AhQs8h5h2c Td8d5d5c4c 
AhJd5h2h2d Qs7c5s5c4c Ts9c7h6s2c Jc9d8d6s3s 
KcQc7d5d2d QdJh8d8c2c AdKhQh8h3s Ad4s4h3s2d 
Ad7h5d4h2d 8c7d6c4s3s KdTd9d9c5h KhJh5s3d2s 
AdTh5d4d4c KsJh9s9c5s KhJh9d7h4s AhKsJs4s2c 
Qs6c5s4h4c KsThTc8c5d Jd7s7h5d3s Kh9c8h6h3c 
KcTh8c4c2h Jh8s8h4s4h AcKc8s6d2c AsKc9d9c3h 
Qc9c7d6c3d KsQc8d7h4s QhTs7s7c3c KdThTc8h5s 
AcJd7s5h4h 9s9h7d7c3s Th8s6s4c3h JsTc5s3c2d 
KsJh8s7d4s 9d7h6d5c2h 7d6h5h4s2d QsTd6h6d5c 
AdJh5d4s3d Td7h6d5h3h QhQc9h7h4d AcQd8s6d4d 
Ah7s4s4c2h Jc7c5d4d3s Ad9s9c7c5h KcQhJc3s3d 
Kd9s9c3s3d Qs9d8s7c2d Kc8h8d5c3h Qs8s7c6h3c 
9d8d8c7c3s QsTh8d5c4c Jd8d7c6d5h KhQs8d6c5c 
AsQh8c6h4h Ad8d5h4d2h Qh8h6c4s4c KcTd8d7h4s 
9h8d7c6h2c AcKc9h9c4s AcJd6c5s3c JdTh9s7h3h 
9h9d5s4d3s 8s8d7h5d5c JdJc6d4c2h Jc9c8s6h2s 
KdJs7s7d2c Ks8h8d5s3d KsQcJh8d3s JsJc7s6s4h 
Ah8h7s5h3c Kh5c4s4h3s AsQsJh6s3s Js8c6s5h3c 
KhJc9s9h5h JsJcTs8s3d KsTd6s4h3c Ah6s4d2h2d 
AhJc5h4d3h KhQd8s6s5c QhTs4s3h2d 9c8s7c6d2s 
QsJc8d4s2d Qh9c8c6d3d Jh9s6s5d2h 9s8d7d5c2s 
ThTd9h8h5s Qc7s6d5s5d QsQd7s4s4c AsQs7h7c4s 
QsJsTc5s2d QdJsJc8s4s QcJhTd4s4d KsQhTd7h3c 
KsQc7d6d5d TsTd9c8d5d AcQsJc7c2h Qd8d7s6h3h 
Td9s9c7h5h 8s8d7h6s5s KsTd9d6h6c 8d8c7c2h2d 
KcJh7s4h3s AcQs6s5s4h 9d8c7s6h4d Kd7c5c3h3d 
TsTd6s5h2d QcTd9d8d5h 9h8s5s5d4d Qh8s6c5s5c 
AdQdJd6s3d 9c6s5s5d4c QsQc9c8c3h KdTd7d6h3s 
Kc7h7c5d4s AcKh9s7d4s Td8s7h5h3d 8s8d7s2d2c 
Ts9c8c5s2s QdJh7s7h5c Ts9c8h7d5c JdJc8h8c2s 
Jc9s9c6d2s Ac8h7h3c2d 9d9c7s5d2c Ac6c4s2s2d 
Kc9d5s4d3c KcTh7s7c4c KsTd9c7s3s Tc9h6d4d3h 
QdJc8s8d2s AdQc6d3c2d 9d6h5s5h4d QdJcTs5h2s 
QcTs9c8d2c KcJcTd4s2c 7c6s6c4d3d KsJs7h6d2d 
ThTc6h5d2c Th8s6h5s3s AsQc6c5c4h AdTd6d4c2c 
Ts9h7c6c2s Jd8s8d7h5c AsKd9c7c4h Kd9h7c6s3d 
AhJc8d5h2h Jh9d7s6s5s AhTh6d4h4c AsTh7d3h3d 
KdJd6h5d3s QsQd9h4c3s KhTs8s7d2d AsKs8d6c2s 
8c7h5h5c3d Th8h6h5d3d Td9c6s4s3c Tc8h8c5h2d 
KcQsTd8s3h AsAhAc6s2s Ah8s4s4h2s AdJh7s6h6c 
Jc8h8c7d5s AhTd9d5s4c Ks8h5h4s3d KsQc6d5h3c 
9s8c7h6s2h AcTd8s8h4h KdTs5h3d2s Kh9c5h5c3c 
QcJh8c4d3d Ts9h9c6h4d QsQdTc7s2h AcTc7h7c4c 
Jc9c8h8d2d Th9s7s4d3d Kd9h8c7d4s Jc8c6s5h3s 
KsTc8d5s5h Tc7s7h6h3c Ad7d4s4c2s Td9c8c5c2d 
KcTs8s7h2h AdTs9h6s5s JsTh7h7d5h AdKhJd6d3d 
Ad7d6d5h2h Qd9s9d3s3c AsTs6h4s2h Ac9c8d8c3h 
KdQs8s4s4d 9d7s6s6c3c Jh8s8d7h6c KhKc9s2s2d 
Ad8s5s3s2d KdTc5s3d2c KdQdJd5h2s As9h8c6h5d 
Tc8h7d6s4h ThTd9s6c3d Td8s8c6d5h Js9h8c6d5d 
Ts9h9d4h2s KsKd9d6d2d AcQh6d4c2s Td8d6d5c3c 
Ad8h7h5c3c JhJd9d7d4c QsJhTd8d3d QsTc9d5c4h 
AdJc6c4d2d Ts9s7h5c4d KsKd3h2h2c Ad8d8c4h3s 
JsTh9d9c4s Qd8c6s6c4s Tc9s8c6h4d QhQd9d8d3s 
Jh9s5h4d3d AhQhJd6h3h AsTc7h6h5h As9d6s5c2h 
KhQsTc3h3d KhJc6h4c2h 9s6s6d5d4d AdQs8d5h2d 
Js9s9c4c3c Jd9h9d4h3h KhJc5c2h2d Jc7c5h4h3s 
Qd7s6c5h4d AcJs9s7d3h QcTs9c5d4c AsThTd4h2d 
Qs7s5h4c3c Ad9s6c3s2d Jd8c6d5c3h Ah9s9h4s3h 
Ac8d8c3d2h 9d9c7h5d2c As7s7d5h3s Jd7d5s4s3c 
QsJs8d4c2d Qc8s7d5c3s Qd9h9d5c2c As9d8c6d5h 
Qs9s6h4c3h Ad7d6s2s2c Tc9s9c7d5c JsJd7d6d4c 
9h9c5h4c3c Kh8c5s4c3h 9s9c5d4c3d Ac8s8d7d6h 
KcQdTh9h3h AcKc8s6h3c KhQh8s7s3s KcQc9d4d3c 
Ad7s4c2d2c Ts8h7s6s4c Kh6h5s3s3c JsJc6c4s2d 
QdJdTh6c2s QdJs4s3c2d Ac4s4d3s2c Jc7s5s4h3c 
Ts7s7h6h3h JdTh8d5c3s AsTd7c6s2h 9d8c7d7c4d 
JdTsTh4s3s AsThTc7s2s QcTh9h6h3d KhQc9d4d3c 
KsKc9s6s2s 9d8d5s5h4h QhTd7h5d2c Ah9s8h4c3d 
JhJc7h5h2c 9c7h6h6d3d QcTh8d7h4s Qd7d7c4h4c 
AsKd9d9c3h KsQd8c6h5h Qc9h8h6h5s QcTh5s5h3s 
JhJd8h6h5h KsTc5h5c2s QcTc9c8h2d JhJd7h6h4s 
As6c5h4s2d Ts8s8h7d3d AhQc8h5h2d KsKd5c3c2h 
KhQd7s6s6c JcTh6s3s3c Js9d8s6h6c KcTs5d3s2c 
AcTs9h6s2h Qd9d6h5c2c KdTc8c6c5h KsQhTc3s3d 
Ad9c5c4d3d Qs8s6c5c3c AdQc7c5h2h AhJs7s5c2c 
KsQsJh5d2s Ac6s6c3h2s QsTd5d5c3c Qc9d7c5c3d 
AcKd5c4c3c AsQcTh4c2d Kd8s8c7s3d AdQd5c2d2c 
8h8d7c6h5h JdJc9c5h4c Ad9s7c6c3s Ts8d6d5s3s 
KsJd8c4c2s JdTs9s8h3s AdQc9s9h5s QcTs8h8d4c 
AcJs9h9d6h KhKc9h4h2s Ts9d6d5h2s KhTdTc7s5s 
As7h6s2h2d KsQd9s8s5h KcJs9h9d6s Qs9d7h7d3s 
KsQsJs4s3h Ts9c5s4d4c Jc9c5d5c4d KsJd5h3s2h 
QhJs8h7d2d AcTd9h9d4d QcJd9c3d3c Qs9s7d7c3c 
QdJhTs3h3c KhJdTs8s3c QsTs9s8h2c AdTsTc4c2s 
7h6h5s5c3c Kc8s7h6c2h 8c7c5s4h3h Kh5s4s4h3c 
JhJc9h5s4h KdTd9s2s2d As8c5c3s2h AsQd7h7c6h 
AdTh8c5s5h KcQcJh5c3c 8s7d6c5d2c Td8h8d5s3s 
QsTd8h5d4d Kc8c7d5h2d JdTs9h8s3s QsQd7s4s4h 
KdTs7d3s3d AcKc7d5c2s QhTd7s3h3d AcKc9s9c4d 
Qs9s6d4c3d AdJs9h8s2c Td8s6d5c3s AcKd8s6s6h 
Js7d7c5s3d Kh9c8d7d4c JhJdTc5s2c KsTh9h7c4h 
AcJhTc6c3c Ah9d5h4c3s JdJc8d3s2c 9d7s7d6d3s 
QhQcJd4h2h Qh8c7s5h3c Th7h7c5d3d AdQdJs6d3d 
Ts9h7s4h3h AhQs7h4h4d JhTc9d8s4d Ad9d8h7s3d 
Ad8d7c5d3h AhTc9c6c5d QdJd5h3h2c 7h6c5d3h3d 
KdJd5c3h2c 9d7c6s6c3s KsThTc7h4h Td7c6d5c3c 
JdTh5h5c4s Tc8d7c6c3d 9s8s7d6h2h Jd8c7s6c5h 
Tc9d8s6s6h Ac9s9c5d2h Qc6d5c4s4d KcJh8h4c2h 
QhJhTd6s2c Td9h7s7h5c QhQc9d8h3h KhJdJc5d3d 
Qd8d6c4s4c JcTh9d6h3s KhJhJd8h4s Ks8c7h6s2h 
AsQc8s6s4s Jc8c7s6d5c Ah7s6h2s2d 9h9d5c4h3c 
8d8c5h4c2h 7h6s5s4c2h AhQs6c3h3d AsJdTd5d2h 
AhJd6h5c3h Js9s9d6c2d Kh7d5d3h3c AdKh5d4d3d 
9c8h7h6c3h Jd8h6d4s4h JsJd9s7s4h Kc8d6s5s5d 
Qd8s8d6s2c Ac8c4h4d3h 9s8h8d2s2h JhTd7h5d2d 
QdTs9d8c2d 9h7c5s5c3h Th8c7h6h3c AsQdJh8d3d 
Td8c7h6s6c QhJc8s7c2s AhTc9s8c4c Qc8c7s6d3d 
Jh9s9c8c6d Jd8s8d6s3c 8c6s5h4s2h JdTc6h4h2c 
9h8d5s5d4s KhQc8c5s3s Ad9h7d5s2c 9h9c5c4h3c 
KcQc6c5c4s Qs8s8c5c2h KsQdJc8h2s As8d4d4c2s 
Jd9h5s5h3d KhTd6h6c2c 9s8h5h5c4s Kc9h5c4s3s 
JsJh6h6c2c KsKh3d2d2c Tc8s7c6s2d Ad9s7h6h3s 
KsQcJh9h4d AhKdJs6d2c As6s6c3h2c QsJd9s3s3d 
AhKcJs6d3s Kh9d9c4h3c Js9h8h6d3d Js9c5c4s3s 
AcTc8d4s3c Ks7d6h5h3d AdTc8h5s5c Ah8h8c3c2s 
AsJd9s6s6h KcJh8c7d4c Qs8s7s6h5d QhQc9c7s3c 
QhJhTs3c2h QhTs6h4s2h KhTh7h6h6d Ah6h5d4h2d 
KdQs8d4s4d Ks8s7h5c2h QsJdTc7s3s AsKdJd4d2c 
KcTc9c8d4s QsTc9c6c3h Qd9h9d5s2s QdTsTc3h3d 
Ah8d7d5c4s Ts9c7c6d6c Kc8d7c5s4c QsTh9s8d2s 
AdQhJh8h2c QsJd7s4s3d KsTc8s4s2c 8c7d6h5c2d 
Qh8s8c7d6h Ac9c5h3h2s AdQs6c4h2d QdTd9h3d2h 
Qc9h5c4h4c KdTd9d8h4c KhJs6s5c2c 7s7d6h5s2d 
AsJd9d5c3h Kd9h7s6c5h 7s7h6d5h2s 9d8s7c6s2d 
AhJd7c5c2d AcTd8d5d4s AsJd9h7h4c Ts7h6c4h3s 
KhTsTc9c5c KhTs8s8d2d AhQhJh9h4h 9h8s8h6h6d 
AsKs8s6s6d JdTd9s9d4c QsTs9h8d4s KdJs5s3d2s 
AdQs7s5h2h AcQh8d5s4d KhJh8h7s2s Kh9h9c3d3c 
QcTsTh6s3d KhTs5d4s3d Jd9d7h6s5d Kc9d5h5c3d 
Ad9s8d7d3c Tc9c8s6d6c KdQd7s6s2s KsKh9h7h2h 
JsTs7s6s5d QsJh8s4c3c KsQhTd8h3c Kd7c5s3d3c 
KdKc9s4h3s Ts8d7h6d6c Jc9c8h6d2h Kc9h8d7s7d 
JsJcTd6h3d Ks8c6h6c3s Jd9d8h6c5d Ah9s7h5c2d 
QhJc6h4s2s 9d9c4h4d3c KdJc6d4c2c KdJc9s5d2h 
8c7s5h4s3h Qc9d7h7d3c Qs8s6h4d3h Kd9h9c4d3h 
As9c5s2d2c KdTc4d4c2s Qs9s9h4c3h AhKc9d9c3s 
QdQcTh4s2h 9s8d7s6c2d AcJs8c7d2c Qc9c6h4s3h 
QdJh6d3h3d QsTh9s7s4c KhJsJh8d2c AcJhTh6s6d 
9d7c5h4d3c JsJc6h5c2h AcKh8d5s5d QsJcTd7s3s 
KhTs8s7c4d AsJh8s4s4d Ks8c5c4h2s AdKs7d5c2d 
Jc6d5d4s3c As4d3s3h2h QdJh9s9c6h AcJhTd5d2s 
Tc9s7d6c2s AdKd5s5d2c JhTsTd4d3d Kh8s5s4h3d 
Ks8d7d6h5c Ac9s5h5d4c Th7d6s4d3h AcTh7d5h4h 
Qs9s9d7s4d JdTc6s4s2c Tc9h7s6s3d Kh7d6c5c3d 
KdQh8s6h2s QdTd8h8d3h KdQd7c5c2c Qc9d7s7d3c 
AdJc9s6s5h JhTs6h5d5c QcJd8d6h6d QdTc8s5h4h 
Js7s7c6s6d QsTh4s4h3h AhTd9s8d4d QsJc8c4d3d 
QsTsTh7s5s Jc9d6d5s2c JsTs7c5d3h QcJh4h4d3d 
Th9s6s5c2h Ac9s8c4h3d Jd9c7c4d3s Ts9h9c4h2s 
KhJh6c5h3s AsQh8d8c4h Ad8s8h5c2d KhJs9d5h2c 
Ts7c6s5c3c JdJc8d3h2c KsTd8d6c2c AdTc9s6c2s 
AsJd6d3d2s AcTc7s7d3c AsQd8d5h5d AdQh4s3s3h 
8d6s6h5s3h AhQc7d5c3s AcTh8d5h4h AhTh6c4h2c 
Qh9h5s5c4c Td8d6d5s3s Qc8s7h5c3s Td8s8d7h3h 
JsTd9h8d3d QdJc7h6s6c KcTsTd8c2h Js9d6s6d3c 
Qh8d7c6s5c AsJs7s4c2c AcJh6s6c3d KcTsTh8h5d 
Ad8h8d6s2c Js8s7c6s5d KhTs9c5h4h KsTd9h6c5c 
Ks7d6d6c4c Kc7d6s6d4s Kc8d6s6d3c Td9s8h6h6c 
JhJd8c4s4d KhQsTd8s3c Qd7d7c6d4c KhTh9h8d4c 
QhTc7h4c3h TsTc8h7c4c QhQd9c8d3d QhJdTc8c3c 
KhQh9c7c2c QdTh7s3h3d QhJh9s8c4d AdQc8h7s4h 
KdJh9s9d5d As8d6s3d2c 9d8h8d7d6c KhQs8c6d5d 
KhTd8d7s4c QhJs6h4h2s KhTh6h5c2c KhJs5c4d3h 
Ah9c8h4d3s Tc9d7h6c2d QcTc9c8d3h 9s8d6c4d4c 
Js9s9c6d5s Jh9h9d7s5h QcJd9s9h6d AdKcQh6h2s 
AdKsQs8s3h Qs9c7s6h5s 7d6s5s4d2c Jd7d5c4c3s 
KhQhThTd5h AcJc7s4h2d Ks8c7c6d5h Kd9h7d6c3s 
Td9c7c6s6c AsJd6c4d4c AcJd9d7d4s 9h7c6d6c3d 
KhJhTd4c2h TsTh8h4c3c Ac4d3h3c2h AdJd7s3h3c 
TsTd6d5h2s AhQc7d5d4s QcJc5h3s2h KcTs7h7c4c 
AsJc7d5d2c AhJh7c3s3d Th8c6h5d3c 7h6d5d4s2h 
JcTs6h3h3c Th9h8d4c3d Kc9h7d6d3h Qh7d6h4d3c 
QcTd9s6h4h 9h8s8h7h6c JcTsTd8h2d TsTh9h8h5d 
KdQsTc8s3h Js9h7h6h5d KsKh6c4d2c 9s9c8s5c2s 
Tc9d8h7s5d QcTs9c4d3h QcJsJd9d4d Ah8s6s2s2h 
JhJd6d4s2h KsJd7h4h4d Kd6h5d4c3s KcTsTd7h5h 
QhJs7h6c4d Ac8h8d7d6s KdJc4d3h2c Qh7d6c5d5c 
TsTc7d6d4h KdJcTh4c3c Ah8h4s4c3c Ks9c7s6h3d 
AhJd8d6c3c 9s9c5c4s3s Ah8h6c4c3h TdTc6d5s2c 
AsKd7c4d3d Jd9c7c6c5h QsJdTc8c3c TdTc8s6c4c 
AhQhJh8h2d AcQcJc8c2s Th7d5c4h4c AhJh9h5h4d 
Ad7c5h4d3d AsJd8s7h2s AcJs9d6d5h 8s8c5h4s3h 
KhJhJd8h4c Ad8s7d6h2c AcJcTc6d6c 9h8s8h5s2h 
Th7h7d5c3c Ac7s5h4c3c AsQdJs7s2c Js8c6s4d4c 
AhJh6d3s2s KdTd9h9d5c Qd9d5s5h4h AhKh8s6d3h 
Kc8h6d6c2d 7c6h5h4c2d 8h7h6s4d3s QsTd7h7d3h 
Qs8s7c5d3c 8h8d7h5d2s Jd7d5s4s3h KhJd6c4c3d 
QhJc7d7c3h AsAdAc5h3h Qh9h7d7c3d KsTc8c6d5c 
Ks8d6c5d5c Jh6c5c4s3h KsQhTc9c3c KcQcJc4c3h 
TsTh8h5h4d AhJs8h4h4c KhKd8s7s2c As8d5d4s2s 
Kc8h7d7c3d Qh9c7h5h3c AsTh8d5h2d AdJh9c5h4s 
Th9c8c5h2h Kc7h5h3d3c Qd7d5s5h4h KsJc8s7s5s 
QhTs5d3s3d QdJhTh7h4h QsTc6d5c2d AhKcQd5s2s 
AcJc7d4s2h JsTh9d6h3c Qc9d7h6d5s 9c8c5s5h4s 
QsJc9s4s2c KdQsTd7c3d KcJc7s6h3d JsTc8h8c5c 
Jd9s9c7s2d AsTs8c4d3s JdTc9s7c3c Qs7s6c5d4h 
Jh9h9c4c3c AsThTd9h2h Kh9d5h5d3d KdQd9c8d5h 
KcQc9s7h2h Jd9d8c7c3c KdJh5s4d3c AcTsTh4c3c 
9s7c6s5h2c Kd6s6d5d5c JcTh9d5s5h JdJc9s3h3c 
KcTh5d3c2h QdTc6h5c2h 9c7h5d5c3d Kh9c7d6s3h 
Ac8c6d6c2d AhKc8s7c3c KdTc8c6s2s Ks9s9d3d3c 
7h7d6c5d2h As8c7c5h4d KcTh9d5c4c Kh7h6h6d3d 
Th9s9c5s2h 9d8s8h6d5c Td7d6s4s4d 8s7h5s5h3c 
Kc8h6s6h3c AcQd6s4c2h KsKc9h4c2c 9s7d5s5c3c 
KhJs6h6d4c Jd9h5h4d3d QsTs7h5d4s Qc7h7c6c4h 
KhQh7d4d3h AdJs9s7s4h KsQh9s8s5c AcKc9h9d4c 
Qc9s9c4h3s KhQs9s4s4h QsJhTh4h3h AdQc7s7h6h 
Jd9s9h8s6c QdTs9h9c2d QsTc9d6h4h QdTh8h5c4s 
AsQcJh8c3c AhQc9h9d3h Td9h5s5h3d QsJs5h3d2h 
KcTh9s5c4c QhTd4s4h3s JcTsTh4s3s 9c7h6c5d2h 
7s6c5h5c3h As8c7c5h3h Kh8s7h5d4h KcQd8d6h2h 
AcKcJc5h2c Js8s7h6c5s Ks8s8c5c2h Ah8s6h6c3d 
JcTh8c5d3s KsJc5c2s2h QhJd9s9c6s AcQs9h6s6d 
AsKdTd2h2d Ks8h6h5s3s JdJc9d3c2d Ah9s9h7h3d 
AcQs8c7c3h As9s8s8d3h JhJdTc8h2h KsTsTc6d3s 
QsJs9h8d4c Js9d6s5h2h KdTs8s8h3h Qc8h8c5s3s 
9d7s6s4h3h AsTd9c8d4d KhJsTd5s2c KhQh8s7d2d 
AhKcJd6c2s Kc9d5h4d3c Kc6c5d5c3d Js9d7s7h5c 
9h8s8c6h5d Kd9s5h5d3s AsQd5h2s2c Qd9d9c5h2h 
AhTh6d2d2c AcQd5h4s4d Ah9h7c6c2h AcTs9s9h4s 
Qs7h5c4s4c QdJsJh8h4h JdJc9s5s4s QsJdTh8c3c 
KcQc9c8d2d Qs7s7c6s4c QdJhTd4s4d AdJc7s5s2c 
8h8c5s4h3s AdTh8c5c4c JsJhTd5c2d Qc8s6s6h4h 
KsKd8c7c2h QsJh8c7h2c 7d7c6s5d2c QcTs9s8s5h 
Qs9c8c6c5d AdKc7d5s2d Js9s9d7c5s Th9h8d4d3c 
JdJc6d6c2c JhTh8h6s6d KsJd7d3s3h QsQd7d4d4c 
Ts9c8h6c4d Qc9h8d6d3h KhQcTh7s3h Ts9d7c6s2d 
Qs9c8s7d2c AcJh9s8s3d AdJc9c7h3s 8h6s5d4h2s 
Js9s7d6h5s JhTc7h5c2c 9h8d7c6s4h AsKs9s7s4c 
Ad9h7c6c3h Kd9h8c7s7c AhJc8h7s2h Qs9c8c6d5c 
KcJcTs7c3c 9h7h7d6h5s QhJh8d4s3d AsQc9c6h2h 
Ks8d6d5s3s AsQsJs6h3s Td7h5s4s4d 9c7h7c6c5d 
Qs8d6h6d4h AcKh7d4h3h AhJcTd7d2s QdTh8s5h4h 
QsQd9s8s3c Js8h6d5h3s JhTd7d7c4s Kh7d6s6d4s 
As9s8s7c3h Kh8d6h6d2c Jc9d9c7h5c Kh8h8d5d2c 
8s8c5s4c3c QdTs5h3s3h QsJc8s8h2h JsTc7s5s4s 
Kh6s6h5h5c KcQc8s7d2d AsQh9s9d3s KdJs8d7h4d 
Ac9s9h7s5d AcJd9c6s6c 9h7h6s6c3s 9d8d7s5h2s 
QhQc7d6d4d AdQcJh8c3c AdKdTd7d2c 9s9d8h3h3d 
JdTsTh8c2s Th9c8d6c4s AhTdTc4d2c AsKs5s5d2c 
Th7h6d5d3h Ad8s7s7c5h Ah7h7d4d2h AdQc9s9h5h 
KcJc8h7h3c QdThTd7d5d KhQsTc8s3d AdKh7s5c3s 
AsTd8h5d2h AsTh9c6h5h QcJh9c7d2d JdTs4s4d2h 
Td7s5c4d4c Js8s7h6s5d Ts8c7s6s4h KsJc6c4s2s 
Jc9d7s7c5h AcTh9s7d4d AsTh9c7d4d JcTc9s9d3h 
KcQc6d5s3c Js9h5s4c3c KhJh6s5h3d QhQd8d5c2s 
Tc7d6c5d3c 9h9d7h4c3c JdTs6d5h5c 6h5s5h4c3s 
AdJcTc6s6h Js8d7h7c6s KdJsJh7s4s KdJh6d5s5c 
AhTd8h5h2s QdTd9d8s3h AsKd9d7h3d AdKs8s6c3h 
Tc8s7d6h4s KsQd8c7s5s As7h5d4s3s 7d7c4s4c3s 
KsKc9h4s2s AhKs9c7c4d As9c7d5h2s KcTs8c4c2s 
Tc8h6h5c2s Qd9d8c7h7d QdTd6s3s3c As7h6s5c2d 
Qh9d8c7c6c Ks9c8h7h6h KdTd8h7c3s KsTc7s7d4s 
Th9s8s4c3h KsJsJh8d2c Ac9d8s7s2d QhQc8h5s2d 
Ks9d8s8c6s QcTd7s6s5s JsTs7s5c4s QhJs8s6d6c 
As9s7c6h3s KcQh4h2h2c AcQc7d6c3h As9s8c7d3s 
Kc7h6s6h4s Td9s8h4d3s Tc9c8s7d5c JsJh8s3c2h 
6h5h5c4d3c AdJc6c2d2c KdThTc7s5s JhJd8h6h4s 
Qd9s9h8c5d KcQd7h6h5h Jc9c8h7h3h QcJdTh7c3c 
9s7h6s6h3h Td8h6h4s3d As9s9h8c3s Th8c7s7d6h 
QcTs7d6d5d QsQc9h6d3h AdThTc6c5c AcQs9c6h3c 
Ah8c5c4h2h KcTs7c3s3c AhTh6s4h2s 8h6d5c4h2c 
