Ts9c8c6h2c 
Jd8d7s7d3s KhJc9c4d3s Qh5h5c4d2c AcTc8h6c3c 
Ad7h4d4c2s Jc9h9d8s4c AhQc9s9c2c 6h6c5d4c3s 
Jc8s7d4c2d 9s8c7h4c2s 9h8s8d5h3c Qc9s7h6h2s 
9d8c7s4c2d QsQc5d4h2d Qd8s7c6s4s QhJh5h5d4h 
9d6d6c2h2c 8d8c7s5s3h KcTd9c4s2c 8h7c6c4s4c 
AhJc8c5c2s QcTh9c2s2c Js7h5h4d2s Ah6h5s4c2h 
JhJc7h6h3s Ks6c4c3s2h Qc9c8h4h2h Kc9c7d4s2s 
8s8h7s6d3c QcTh8d7c3c Qh7d6d5c4d Jc9h8d8c2s 
JsTd8c4s2s 8s6s4c3d3c Qs9h8s4c2c Qc7s5c4s2d 
Qh6s6c5h4d QhTc7c5s5d AhQdJd7d2s KcTd4c3d2c 
QcTc5h3s3d Ts6h5d4h2s KsQd9h5c2d Jh9c5h4c2h 
9d8h7d5s3d Ts7h4s4d3d AsJd6h4d2h Qd8h7s7d5d 
KcTd9c4c2s JdJc7c5c3c AcJh9d6c2c KsQh9c6c4c 
TsTc7s5h3s KhTd6d4s3c Kh8s7s3s3h 6h6c5h3h3d 
8d6h5h4h3s ThTd7d5c3d Ad9s9h7h4c Ks6s6h3c2c 
TsTc6h5h3d Ad6d5h4s2d 9h7s7c5d3h 7h6c5c3s2h 
Qh8h5h5d3d Th9c7h5s5h Jd9s8c5s3h Js6s5s5d3d 
Kc9s7h6h2s AcJh7d4h3s Qh7c6c5c2h Qh9h8d4s2s 
Jd9d4h3s3h QcJhTd6d2d JhTd6d4d3c Kh9d8s5h4h 
Kh9c8s5h4h Ac8c3h3d2d Kd9c5h2h2d 8d7h6s2s2h 
Ts9c8s7d2s Ah9c6d5h2h JdTc7c3s3h 8d7s5d2s2d 
9c6s5s3d2d Tc8s4h3s3c KsJh8c6c4c Td8d6h6c4d 
AcKs7d4h3h QcJc9d4c3s Ah7s3s3d2h QhJc9h4d3h 
Th9s9d6c2h 9h9d7d5d4d QcTh7s5d3s Td9h6c5c3c 
KsQc6c4c3d Qd9c7s7d2c Tc9d5h5d2h Ks8s8d7h4s 
QhQd8d4d3s Jh9h8d7s4h Qh8h7c5c2h Js9h8d8c2s 
KcQd6d4h3d 9c7d7c2s2d Ks7s6d6c3h Jd9c6d3d3c 
Kc6c5s5h2d Ks8h7c3s3c KhTd7d5s5d As7h6d5h3c 
KhTc9c6d2c Jh9d8s7d4d KsQsTs8c3s QsTc9h7c2d 
Tc9c8c7h2s Ac8d7c6s2c JdTc8h4d2d AcJd8d5d2h 
Ts8d7d4c2c Ac9c6s6c5c QdTs9c4c3c ThTd8c3c2h 
9d5h5d2h2c QhTd7d3c2h QdJd9s9c3d Qd8s7h6s4s 
Td9h9d4d3s Ts9s9d8h2s QcJd8c7s3h Jd7h6h3d3c 
Jd8c5h2d2c Ts7h6d4d2s Js8h5h4d2d Jd9d7s5d4d 
Qd8h6d5s5d Td9h8s4c3d QsJc7h5c3c QhTs8d5c3d 
Ac9s8d7s3h AcTs7d3s3h Qh9c6s5d3d Qh7c6c5s4c 
Qd8s7s4d2c 9s7c6h6d4h QsQhJs6s2s AsTd9c4c3h 
Ts9h9d8c4s Qd5h5d4c2h QdJd6s4d3h QsQh4d3s2c 
Tc9h5s3c2h Js9s7s6s6c Qd4s4c3s3c Js9h8s3d2d 
Kh7h6s6d4h Ts9s6c3d2d Qd8h6d5c2s KcQd7h3h2c 
QsQc9d5d2d Jd9d8c3c2s AhJs6c4s2c AcQd9s5d2h 
8s7s6s5s4s 7d6d6c4c2c QhTc8s7d3c TdTc9s5c2h 
KhKc6s3d2d QdJc7d6d4d QdTh8c5s3c QhTs7d5s3c 
Kc9c8s7c4d KhJd8c6s4s 8h5h5d4s3d KhTh9c4s2h 
QhTd8d6c2d Th9h9d8h2s QdTs4d4c3h AdJd8h8d3d 
6c5h4h4d2d Jh7h6d3d3c Qd8d7s6s2d Qd8h7d5h2d 
QsQh7h4h3d AdQs6s6c3h KhQc8s5h2d 8s8c7s4c2c 
KhTs9h5h2d Ad9s7h5h3c Qs6s6h4h2c Ac7s3s3h2c 
Jh9h9c7h3s AsQc3d2d2c 8d8c6s5h2h AdJd5s5d2c 
8c7c5h5c4s QdTsTc6d2d JhJc6h3s3d Ah8c6d6c5c 
Kc9s9d4c2d AcQs3d2s2d Kh9s8d5d2s Kh6h6c3d2d 
KdJh7d3d2h 7s6c5c3d2s QhTc8s7c3d Qc6s6c4s2d 
Ah9d8c7d3s Js9c8s3h2h QsJc5c4d2h Jd9d8h7c4d 
Jh8s7d5c3h QhTc9h4d2h KsQcJc8d3c KcQd7s3s2c 
KcJh9d6h3h 9s9c5h5d3c AhQh7d3d2h Kh5s5d3h2d 
AhQd8c5s3s QcTc7s7c3h Kc9d7s7h5h AhQh9h6h3c 
KcTs5s5d4h Ks6s6c4c2s Ah8d3d2s2h AhKh8s6h2h 
Qc9h8c5s5d QcTh8s8h2d QsTh7c5c3d Qh9s6d5s3s 
Ah9s7c6d4s Th9s8h7h2c Jd8s8d4d2s QdTh7h2d2c 
KhJs5h3d3c Qd8s6d5h5d KhTd9c7s2c QdTc6c4h3c 
ThTd7d5s3d 9c8s6d2s2d AcTs8d5d2h Tc9c8c6c4d 
KhJd6s4h3h Jd8h7h7c2c KhJs9s4d3c TsTh8d6c2h 
KhQs9h7c3h Tc7d4s4c3s 9s8c7s7d4h JsTh7h4h3d 
Td9s8h8c4d KhJs6c5d3c Qh9s5h3s2d Th9h6c3s2c 
KcQdTh3s3h Td9h7d4s4c 9h8c6c4h2c AdTh8h6s2c 
QhTh7d7c3s Kd9s9c4d2c Jc9h8d4h3d AcQd8c4c2h 
6c5h4c3h3c Qd9d8d6d5d Kh6s6d4c3h AhJs6h3s2h 
9d6d5c4h3s QsTsTdTc9c Qs8s5h4s2h Ks9d7c6d2c 
AdKsJh3c2c Kd8s8d2s2c QdTc5s3s2c Jd8h5h2h2d 
9c5s5c2s2h JcTh9d3c2c Qh7h7c6s2c 9d5s5h4h4c 
Th9h7d4s3c AdQc8d4d2h KcQh6d5d3d Qd9s9d6h2c 
KcTd4h4c3s Ah6h4d2s2c Tc7s7h5s2c Ah7s6h5h3h 
Th9c7h4s4d AsTs8s3c2h KhJd8h5c3h Jh8s8c6d4d 
QhTdTc4s2c Qd5h5c4s4h 7d6h6c5s3s Jd9h5d3s2s 
AhQd5s3h2h AcJs9d6h6d Th8d4c3h3d JhTs8d4h2h 
9d8d7s4s2c Js9c6d5h3c Kh8s8d4h2s Jh9c8h2h2c 
Qs9s9c7s5s 9h8s7h4s2d Jh9c8s7c4c AsQd6s4s2c 
Th9s9h8h3c AcJs8h7d3h Jd8s7h5c3d KcJh8d6c2s 
Js8s8c6d4s Jd8h6d5d5c QdTs8d6d3d JdJc7c6c3h 
9h9d8c6h2s JhJc7c3s2h KsJhTd6h2h Jh9c7s5d3s 
QhQd9s6s2s Jc8s6c5d5c Jd9s8c7s4s Qc9d6s6d2s 
Ks9c5h4c3h Qs8c7d7c5h Jh7h7d5h4c QhJs6s5c2d 
AhTs6c4c2s Kd9c8h5h2c QsTs8s7h2c QsQd9c4c3c 
Ts9s9d8s5s 9c8s7c4s2h Qc7d7c5s5c Qs8c6c5c4c 
Ts6d5s3h3d QsTs7s7c3h KsTd7h4h3c AsQh8c7c3d 
Tc7h6s6d4d KcQs7s6h3s QhJs7s6s4s 9h8s5h4s3h 
8c7c6c4s2s AcKc9d7c2c Qs8c6d2s2c Td9s6h6c4c 
Tc9c8c7d2s Ks9h8h4s2h KdJs9h8h4c QdTs6c4c3h 
Tc7s6h5c3d Ks7h5s5c3d Jh7h6s5h5c 8c7c6c4h2h 
9h9c7h5h4h QdJs9c4h4d QhTh7d6h3h JhJc7c5c3c 
Ts9c6d6c3h Ks9h5d4d3h Js7h6d5s2h 8s8h7h4h2s 
KsJcTh4d2d Qc9s8c4h2h AcJd9d6s3h KdQd9h5d2c 
KcJs9c4c3d AcTh6d4d2h JdTc9c3s2c JdTd9d5d3d 
Qs9d9c8h2s AsTh4s4d3s Ad9c8c4h3h KhJs8c6h2d 
Qs9h8c6d4c Kh8d8c4h2c QhJd6d5c2s AcJd7d4s4d 
AcKhJd3s2s Td9h7s7c4d Qc8c5h4c2h QdTs9d7d2c 
Jh9h4d3s3d Ac6d6c5c4c Th9d8s7c3s AhKc4c2s2d 
AdKc8s6s3h 9s9d8c7h4c Th7s7c5c2h KdQc7s3s2d 
Js9s9d7s3c Ks9h8c5s4s TdTc6h5h3s AcJh9d6s6d 
Ks9c6s5d2h Jh9d8d7c2s Th8h6h6d2d Ad9s9c8h4s 
QhTh9h5d5c Th9d6s5s3s AsTs8s5s2c Tc7c6h3h3c 
KcTd9h6h2s QdQc4h3d2s QcTd8h8d2s Th8d6s5s5c 
9c6d5h3h2c Kc8s6c2s2d Qh7d6h6d2c 8d7s7c4s2c 
AdTc5d4h2d Js9d6s6h4c KhTs8h4d2c Qh9c5d3d3c 
Th8h6d6c4h KsQh6c5c3c QcJc8d4h3s KdTd9d4s3d 
QsTc9s4h2s 8c6d5h4d2s JhJd6s4h3c Qc9c8s5c4d 
AhQc8c6c3s 9c8d5h4c2d QcTs8d4c2h Qd9h7s6c4h 
KhJd8h5s3h Ks9s6h4h2h JdThTd7s2d 7h7d6h3s3h 
AsKc8d7d2d Kc6s4c3d2d QdTc6c4s3c QdTs8h7d3d 
AhQc6s3d2h Kh8h5s5c4d Ac9d6h5c2c 9h8s8d5s3c 
Jd9s5d4s2d AcQh8d7d3s 9h8d8c5d3s Kc9c6s4s2s 
KdQd9d6d4h 8s7s6s4h2h Qh9h6s6c4d Qd8s8h6s4c 
Th6d6c5d2h Kc9c6h4h2h Ad9h6d2h2d Th9c8c6s2c 
QdTh9h6c2h Qh7s6s6h2c Ah8s6d5d4d Kd9s7h7c5h 
Kc7c6s6h4c QhJh7d6h4h Ah6c4s3h2d KsQs6s5d2c 
Js9s8h7c4s Qh5d4h3d3c 6d6c5s3s3h AhKc9s7s2d 
9h9d6h5c2s QhTd7c5s3c 6d5s5d4h4d Qs6s5h3s3h 
QsTs7h7c3d KhQc7c6s3c 9h8c6c5s2d Jh9d7d4h2s 
Jc6s5c4d2s JsTc6c4c3h Jd7s5s4c2d Qh9h8c3d2c 
KhTd7s3h3c Jh9h5s2s2c QcJd9h8h4h AcJs9s3h3d 
TsTh9s6s2c Ad9s8d4d3c Ac6s4d3c2h 8h7d6c2d2c 
TsTd6s3d2c KhJh5h5d4h AsJh7h4h4c AsTh7c3h3d 
JsTc7d3s2d AsJs5s5c2h AdJd7s2h2c KcJd8h6s2c 
Qd9d8c5d4s QdJd8d5s2h KsJs4c2s2c Kd8d7h7d6d 
TsTc9c6c2h QsTh4h4c2c Jh9d8h5h5c 8h7h5s4h4d 
QcJh9d8s2s QcTc5c4c3s Kc6s5d4d2s 9s8h6c2h2c 
Ts6s6d5c2d Qh9h9d7c3s Ac8s7s3c2c QhJd8c5d2d 
9d6h5c4h2c 8s7s7h5d3c AdQh5h3h3c QhTs9h2h2d 
Ac9d7d5d3s KdTc9d4d2s Ts9h8c7d2h AsQd9s2s2h 
KdTc9c8s3c Ks6h5c4c2h KcJsJc4c2c Ks7d5s3d2h 
QdJc7s7h4c Ks8d6s4h4c Tc6h5d3d3c 6d5s5d4d4c 
Ts8c7c6h3d AsTh8h5c3h Js7s6c5h2h JsJd5h4h3c 
AcTc8c5c2h As3s3d2h2c KsKdKcQc2s 9s6s5c4d3h 
QcTh8d6h2h Kc6h4h2d2c KdTc7s3h3d KhQd9d6s2c 
Js9s8s4d3d KcQh8s7h4h 8s6d5s4s3h Td7c6s6h5c 
KhQhTh8h2s KdQc9c8c5c Ac9h7s6s2h AhTc7s2s2c 
AsTd4c3s2h QhJd8d8c4d Ac9s9d8h4d KhQh9h4d2d 
8c5s5h4h3s Tc9d8c5h5c KdTh7d2h2d Ad7c6h5h2c 
Jh8c6h5h5d AhJh6d6c2s JdTd9d5h5d Ts7h6c4c2s 
AcKd4s4h3s AdTs5d4c2d Ac9h7c4c3d KhTh8h6c2d 
AdQd8d5d2s As9h8c7h3d ThTc9h3s2d QdJcTh6h2h 
Kh9h6h6d2d 9d8d7c5h5d Th9s9c6d2h KhJh9s4d2c 
QcTc5d3s3h Qc9h6h6d2d 9d6s5c3d2s 8s8c7c5c3h 
Jc9s4h4c3h Td8d4h4c3h KcJh6s5s3s JcTs9c3h2c 
JdTs9s3c2s KsTc7h4s2d QdJs9s5c2s KdQs6s3c2c 
JdTc8d3s3h QsJs4s3d2d Qs9h7h6d4c AsTd8h5h2c 
9s9c8s7s4d Kh6d4d3h2c KhJd9c5s5d QcTd8c7s3c 
Ts6d5c4c2s QhTs8c7s3d Kc5h5d3c2d 9h8d7d4h3h 
QcJc9s9d3c QdJd9s9h3d JdTh8s4c2s JdTd6h6c3s 
Tc9h7c5s5c KdJd9d6d4s Qh8h7d7c2d Js9s5h2h2c 
QsJh9c7d3c 8s8d6h5d2d AdKs8c5c3c KhTh9c5d2h 
9s9d7d4h4d AhKd4s4c3s As6d5s5c2s KcJh5h3d2d 
QcJd8h5d2d Ah7d6s5d3c AdQh8h6h3c Qh7h6d3s3d 
Ac8c5d2s2h AdQc9s5c2h QcTh7d2h2c Td7h6c5d3s 
Ks9d8s8h4c 8h7s7h5d3c Jc8h7h6c2h KhTc8d6c3s 
AcKh5s3h2h Ts9c7s7h4s AsJd9h6c4h JhTh8h8d3c 
Kh7s5s4h2h Ac8s6s6d5s AsQh8s4s2d 8c7c5s4d4c 
Tc7s6h6c4c Td9d7h5d4d AcTd7s2s2d JhTd8c5c2c 
JhJd6c4h3h 7s7c6h4h3d Jc9s9h8d4c Jc9d8d7s2h 
AhJc9c6d4c KdTd6h3h2d Kc9s6c5d2h JdTs8c4h2c 
Qh9h8c4d2d JdTd6d4h4c Qd7s6s4h2d Kh9h8s5d5c 
KdQd6c5d2s Kd9d7h5s5d Ks9h6s5d2c Qc9d8h6s2c 
TsTh8c7s3s QdTd7h7d2h As7h6d5d5c QsQhQcJc9s 
Ad9h7s5s3c 7c6s5h5d4s KhQs8d7s4s QsTs5h3h2s 
QhTsThTd9s Qc7s6s5h4s Ts9c7h7c4c Td8s7s6h3c 
9s9d8s7s4h AdQc5c3h3c KsTs9d4h2s 7h6s5s3c2h 
JsJd6c4d3d QcJh9h9d2h Th9d8c4s3h Js9d8c5h3c 
Kh6s4s3h2d KsTd9h7c2h KcQd6s5s3s QcJs9h4d4c 
AhJh6s2s2h Qs8d7d4s2h As8s8c6h2s QdJh5c3s3h 
Kc7d5c3d2s Ts7c6s6h4s Tc4h4c3h3d Jh9s6c5d5c 
AsQcJh7c2c Jc9d8h8c2s Ad8c6s6d3d QsTh5d3h2d 
9d6h5s3d2h Kd9c8h8d2s Qd8h7s4h3d Qh9d6s2h2d 
QhJs9h4d2c Jh9h9d7h3c Qc6c4h4d3d AcJc6s6h2d 
Qs6h5s3h2d 9d8s7d4s2h Qd9s9c6h4s Ks9c8s8h3d 
Tc9c8c7s2h Th4h4c3s3c 6c5s4d4c2d QhTh6h4h4c 
Qs7s6h3h3d Qh6h5d3c2c KsJh7s3s2h Qh9h8s3d2s 
Qd9d8c4c2c Kd6h5d3h2d Qc9s9h8c4d 9s8c5h4c2h 
Ad8h5d4d2c JhTd7d4d3c QsJd8h8c4h Jc7d7c5c4h 
KhTsTd4c3s AsTd9d4h3d Th9s8c7d3c QdTs8c7s3h 
Kc9s8s6h4d Kd9c5h4c3h 9h9d8s6h2c QhJd9d9c2d 
Tc9h9d7s2c AhJh8h8d3h Th9h9c8h2s QdQc7c3h2h 
Jh8c7d4h2c Kc9s7d5s4h KhTc9h4h2s AcTh8c3s2c 
AdTh8s5s2c Jd9d5d4s2s JdTd8d7h2d KhJh5d3s2c 
AcKs8h5h3h QcTs8c6c3c QsJc7d5c3c KcJh9h4s3d 
AcQh7d2s2c QdJhTh7h2c 6s6c5s3s3d JhTc7c4c3s 
KcJc6c5s3c KhQs6s4d3s KhTs6h6d3h Ad9s8h7s3c 
QcJh8s8h4h QsTs3h3c2h Qs9d6h5d3d Tc7h5d4d2c 
Qs7h5s5d4c Ts9c8h8d4s KdJc8s6s4s Jh9s9d8h2c 
8h6s5d4s4c AhKs9d5d3d Kh9d8h8c2s KdQs7h3h2d 
Ks9s9c4h2h Kd9s8h8d2c Qc7d7c6s2d Ad8s8d6h2d 
KsJh8s5s3c Ts9c8s7s2d Kh9h8h6d3s KdTs9d8d2d 
AsQdJh7d2d ThTc5s4c3d QhJc9s5d2s JdThTd7c2d 
Ts8c7h6d3d Ks9h9c4s2h QdTd7s6d3d 9h9d7h4s4h 
QcTd8s7d2h 9h8h7s3s3h JhTs8h8d3h QsJs6h4s3d 
KsQs6h6d3s AcKd8h6h3s KhQh6c5h2s 7d6h5d4d4c 
QsJc8h8c4c Ad8h7c5h3s QcJc9s9h4c KsKc9d3d2h 
AhJc8c4s4c AhKdTc6s2s AcJd8h7s3h KhQs6c3s2c 
Kd7d5s3h2s KdTs9s6h2s KsTd9s5s2c JcTsTd7c2c 
9h9d6c3s3c Jc9c8d5h3c TsTc7s5s3d Th9s6s2s2h 
AsKh8d7d2d Th9s8h6c3h QdJc8h6s3c Jc7h6h3d3c 
9s8c7c4d2s As8s5s3h2h AhJd5c2d2c Qc8s7s7c3s 
Th8c7s7d4d QhQd8h4h3s Tc9c6s6c4h Tc9s9d4d3d 
Jd8d6h5d5c KcJhTd3d2d JdJc8h4d3s AsJc9c6d4c 
JcTc8c4h4c QhTd7h3c2d AdKs6s3s3c AhQh7h6c2d 
Qd9c7d5d3s KsTh9h8c3h Kh8d6d2h2d AcJd7d6s3h 
JdTc9h4h2h JhTd8s4h2h AcJs7s4s4h QhQc4d3h2s 
AdTd5d3h3c AhQd9h4h2c QsJd9d5c2d QsJs6c4s3h 
AsKdTc6h2h Jc9d8d7h2s AcTd8c5c2c KsTh9s4c2s 
Td9d9c8d3h Tc9d8h7s2d KcTh7d5s3s Qc8c6c4s3s 
KcJh8s6d2c KhJsJc4s2s KdJh7s7c3d 8h6d5s4d2c 
KhQs6d3s2d KcJc8d8c5c KdQs9c5c3h AsQhTd3c2c 
QsJc9c5h5c Kh9h4s4d3d Jh8h8c6s4h Kc9d7d7c2c 
AhJh9d7h2h QcJh7h5h3d Jh8d7h7d2h QdJh9h5s5h 
Ah9s9d7s4c Ad9d6s4h4d JsJd6c4d3h Ts9h7c5h3h 
KdJh9d4d3s Kd9s7h5s4c As8d7h5d3c KhTh8d4s4c 
KsQd7d6c3d QhTc5d4c3c Ks8h8c7c3h Jh7h7c5h4s 
As8d8c6s3s Th7c6s6d5d 8s7c5s2s2c Kc9c4h4d3h 
JhTc8s4s2d KsJd7c5d3d KcTh4c3h2c 9d8s6c5c2h 
AdQsTh3c2c Qd7d7c6s2c Ah9s6d5h2h JcTd9d3d2h 
JcTd9h3c2c QcJc9h9d2c QcJh6h5d2s Kc9s9c5h5c 
AhTs8s6d2c Tc9c8s7h3c Tc8c6h6c2h 9h9d7d4s4d 
9d8d6h5s2d Ks9h7h2s2c Jc9d8h4h2d Ah9d3h3d2d 
JsJc7c6c3h AsQs5h3c2s KhTs6c3h3d Jc7c6d6c5h 
AhQsJc7s2s As8s5c4s3h QhQc7c3s2s KdTsTc4h3s 
KsJh6s4c3s Qd9s7h6h2s 9s6s6d2h2d AhQh5s3d2h 
Ad8h3h3d2h Qd8c6s2d2c TsTd6d3s2c AhQh7c3c2h 
AsQs7s3d2d 8c7d6h2h2d AsTc8c5d2h Qd7c5h4d3s 
9d8h8d5s3c Qh7h7d5s5h KcJh7s7d3c 8d6h5c4h2s 
Kh7s7h4d2s Qc9h8h3h3c As8s6d2h2c Ts8s6d3s3d 
7h6c5c3d2h KdQc9h6h4h 6h5c4s4h2s Qd9h5s3h2d 
Kd9s7s7d2d Js8h7h6s2h QdJh7s4s2d Jd7d6c5h3s 
Jh8d8c6s4d Ts9s9c4s3d Jc8c7h5d3s Jh9c8c4c2h 
QdTh8s5c3s Ks8c7c6d6c QcTc7s7d3h Js8s6d5s4s 
AsTd7d6c3d QsTd8c7s3s Kc8s7s6s6h Jc9c8d5h5c 
Ks9s9h4c2c Ad9h7c5c3s QhTd7s5s3c AhTs8h3c2h 
Kc8d7d6s6d Kc7c5h4h2c QhTh5d3h2d Ad9d6d4h2h 
9h9d5s5c3h QsTd7d5h5c Kd9h8s7c2d AhJs8c7d3c 
Qh7c5h4c2s AdQs6s6h3c 8c6s5c4c3h 8h8d7h6s3c 
KdJh8d5c3d AsTd5c4s2s Jd8d7h6h2d JsTd9h3s2s 
QhTd5c3d2c Ah9d7d6s4c KsQc6h5h3h Th7h6h6c5s 
Kd8h7c4h4c Ks9s6s6d2d KcTs6h5d3h QcJc8s4d3h 
Ks9d5c4d3c AdQd7s6h2d KdTh9d4d2s Ts9s8s5c4s 
Qc6s6c5s2c Js9h8s5s5c 8d8c6h5c2c AcJc9d7c2c 
KdQd9s8c4d JhJd8c6s2h Td9h8s8h2c Ks9s8c5h5d 
Ks8s7s7h6s Kh9h7d6h4h JsTh8d6d2c Ah7c6s5c3d 
Qh9h7c5s4h QdQcJd6d2d QdTs7h2s2d Th9h6h6d5h 
9h8h8c6s2d Kd9c6s3s2d AhKd8s5s3s Ac6h5d5c2c 
9s9c7d7c2c TsTc3s3c2c AsKh4h3d2h KcQs8d7s4s 
Ac7d6h5s5h Th8d7c6s3s KhQs8c5h2d AcTh9s4d3s 
Ks9c7s5s5d QdJh8s8h4h Th6d5d4h2d AdQc5h3d2d 
9s9c7d4s2c AdQs9d2d2c 9h8h8c3s2s Jd9h9c8s2d 
AdTd8d5d2c Qh8d7h7d3d Td6h4s3h3d Td5h5d4s4c 
Jd9d7d6h6d Kc9h8s8c3d Ah8c5h4h2s KhQcTd3s3d 
7h6s6c5d3s Ah9c8h4h3d KdTh6c3s3d Ks9s8d7s4c 
8s8c6s3h2c Ah8h7s3h3d 9s8d7s4s3d 7d7c6h6c2c 
KsJh9h4d3c Jh8d7c5s3h KcQs9d5h2s Ks9d7c2s2c 
QcTh5d3d2h Th6c5h3s3c KsJh7c5h3h QsJs8s5d5c 
Th9c7h5h3h QsThTd4c2d 7s6h5h3c2s Tc6s5h4h2c 
KsQc9h6h4h 8d8c5s3h3c Th8s5c4s2c Tc7c6d3d3c 
KsTc9s8s2s QhTc7s5d3s As7s6d3s3c Jd8d7s5c3h 
9s9d6d5c2h Jh6h5s5h3s Ts9s8s7h2d Jh9s9c8d4h 
QdTs4s4h2h 9d8s7s4h2h KdJd7d5d3c Ac9h6c3h2c 
AhQc8d5s3s Jd9d8s5c3d JhTh8d8c3h Jd8c6d5s5d 
JcTd9d3d2s JcTs8d8c3c Qs9d5h3d2s AhJd8d6c3s 
Jd9c6h5s5h KhJh7h4s2s JsTs4d3d2s Ks8c7c4s2s 
7c6s6d5h3s JsTc6s3s2c KsTs9c5d2s Js6c5h3s3h 
Kc8h8c2h2d Ad8s7s6h2h 9h6h5d4s3c Ah8h8d6s2h 
QdTd5c3c2d Jh6d5h3s3d KcJh8s6s4s Js9c7c4s2h 
KhJd9h4s3h Tc9h6s4h4d KcJcTc7c2h AcTh3d3c2s 
Qs9d7h6c4h 6d5c4s4d2s Ad9d6s5c2d AsJs7s4c2d 
Qd9h8h3s2d KhQd9c6c4c KcQs6s4d3s KsQh6d5d3d 
6s6c5d4s3h Jh7h6d5h5c 9s9d7s4s4h Td9c8s4h3d 
AdJd7d4c2s Ts9s8d5s4s Qh8s8c5s5d QsJc5s5h3s 
As9c7c6h4d KhQh6d5h2s Qc8c5d4c2d Ts9s6d3c2c 
Jd8s7s6d2s Jd6c5d3s3c 9h9c8c7c4d AcTd4s4c3c 
AsQs9s9d2s Ac9s7c2h2d JdTh8s8c2c Ts9s6s6c4d 
Kh8h7c3d3c QhTd9s3d3c KhJc7d7c2d QsQh8h4h3c 
Qc9c7d5h4c KsQsTs6s2d KhJcTd6c2c AhJd7d7c3s 
Tc7c6h6c5d Js8s6c4c2c KdTd8d6s2c 8c6h5c4c3d 
Qs9c8c5d4h AhTs5c4h2h AhJh4s4d3h KhJd8h7h4h 
Qs4d4c3d3c Kd9h7s6h2s Th6d5h4c2c AsTs4d2h2c 
9d6s6d2s2h 9d7s6s6c4h Ts9s6c3d2c QdTd7h4d2h 
AdJd7d4h2c JdTc7s7h3c QhJh7d6h2d Tc6h5c3s3h 
Jc6d5c4h2d QsTs7s7c3d AhTd8d5s2c Qc9s5h3s3h 
Kd9h7h2s2d QdTc7c3h2d JhTd9h3c2h Td6c5c4d2c 
AcKd4d3s2d QdJdJc7h2s KhJs6s3h2h Td7h6s5c3d 
8d7c5h2h2c QdJc9c5h2c QhTc9h2s2h Th6h6d5c2d 
Ad9h7s6s2h Kc8h8d4h4d Tc9d5c3h2d JdTs8d3h3c 
Kc9c7h5d5c Ks7h7d4h2s JdJc6h5c2s KsJc9s4d3s 
KdQd9d8s4h QdTh8h6h2c KsQs9h6s3s Jc7d6s5c2d 
JsTs7s7h3c Kc6h4h3c2d Kh9h6d4s3c Tc9d7h4s4h 
KhTh9s5h2d Js8d7s4c2d 9d8s7d4d3s Tc9s8h5h4h 
Qc9h7d7c2h AdKs8h5h3h Jc9s7s4c2h Ts7h7d5d2s 
QcJc8d7c4c ThTc9h6h2d Tc6h5s4s2c Kd8h7d2h2c 
Td8s6h5h5c Tc9d8c7c2h Ad9s7h5d2d AhKd4s4c3c 
QsJs9h9c3s Qs9s8h5d5c Tc9h6s6d4d Qc8d6d5d4d 
JsTs8s8d3c AsJh9h6d4h AdQd5h3c2d Jc9d6s5d4d 
Ad9d6h5s2d Js7d5s4d2c Kh8s8c4h2s 8d8c5h3d2c 
8s7d5s2s2d 9h7d6s6d4c AsTd7c3h3d Qh9d8d3h3d 
Ac9c6c4h2h 6s5s5d3s3h KhJd9h4c3h Tc9s8c7c2d 
AsTs8s3d2h Td8d6c5s3h QhTh5c3s3d 9s8s7d6s3c 
6s5d4s4c2c QcJd5h4s2d Jd9s8d2s2d As9d7c6c2d 
QdTs7s3c2d As8s8c6d2s KcJsTd3d2d KsJs5d3h2c 
KcQdJd8s3d KsTh4s3h2s 9d9c6s4h3d Th7d6c5c2h 
9s9c8d6c2h As9s9h8s4s Js9c7c6d2d Jh8h7d5c3s 
Js7s6d5s5h Jc9c4h3h3d Kh8c7c6s6c AcQd9c4c2s 
9c6d5h4d2h AsQs7h3h2s Ks9h8h6d4c AcQs6d5s2h 
QhTd8s5s3c AsQh9h9c2h Td6c5h4c2d 8c6d4d4c2h 
Kd9h7c5h4s ThTc8d7s2c Qh9c8s6d2h Qh8c5c4h2h 
Ts9d8d6d2h AcTh5c4d2c 7s6s5d3d2d JsTc5c3h3d 
Ts9c6d4h4c Qd9d7s7c2c KdTd6s3d2s QsQhJc7h2h 
Kh9c7s7d5s KhTc7s7h2d 9h6d5s3h2d JdTs9d3c2d 
8c7d7c5s3h Qd9d9c8d5d Qs6s5d4s2d TdTc8h7s2d 
9s7s7d2d2c Ts8d7c6h3h QcJd6d2d2c Qh9d5c3d3c 
9c8d5c4c2d 8c7s6s4s4d Qh7s6s5s2h Ks5h4h2s2h 
AsQs7s6c2h Ac9h7s6d4h JsJd6c5s2h 9d6s5d4s2s 
JhTc8h7h2h AhTd6h3c2s Ac9d8h7d3s QcTc3h3d2d 
QdQc7c4c3s QcJh9s4d4c KcTh9c4s2c KsQs9c5s2d 
Qc8h6c5s2d Qd5s4d3s3c Th7c6d4d2h 9d8s7h7d4c 
Th8d7d6c3s Ad9c8h7c3s ThTc6s4d3h QsQh8c7d3c 
