KsJs8d8c2d 
AdTh9c6s5s KsTd9s7s3h Jh9s7s6c5s QdTc9c8h2s 
Th7d6h6d5d AhJd7d5d4c Qc6s6d5d3c Ts8d7s4s4d 
ThTc7h6h4d QsTh8h5h4c AhTc9s9d3s Kh9s7d5h2s 
KdQsTc5h2s AhJd7d6c3c JdTh9d6s6d Ks7c6c5h3h 
AsTs8c5s3h JsJd5c4s2c Js9c7d6h5d QdJh8s5h4h 
AcQs9d5s5h Ad9s7d6d3h KdQcTs8h5h KcQc6h5c3d 
AdTsTc8c2h AhJc7c5c4s As8s5h3c2c Td9s6h3h3d 
KsTs7c4d2c Qs9d8h7h2s QdJd9s4c2c 8c7s6d4d3s 
Ac9c8h4s4d QsTs8s6d4s Ts9s7h6h2s KsJs6d4h2d 
KsQh7s7d2h AhKc8h6h4h Js9h9d6c5s Kd9h9d8d3h 
JsJc6c5d2d JhTd9h8s3h Th8d6h5s4c 9s8d5c4s4d 
AdKd9d9c3h KhTs6c4d3h QcJc6h5d5c AdQc8c6c5c 
9h9c7h4s3c QsQh6d5s2c QsTs8h7s4c Qd8s6d4s4h 
JdTd9d8c4h QhJd9h4d2d AhTc9s8d3s KsJc9d6d5d 
KsJcTh8s3s Kh9h9c7s2s QsJdTh4s2s QdJdTh4s4d 
JsTd8h5s5c 9s9c7d5s2d As9c7d6d5h KhJd8c4h2c 
Jh9d9c7h2d KsJh7h5d4h JsTd9s8c3s KhTs8d7s4c 
Kd7s5d4d3s KdQdJs9d2c 9d5s5d3s3c AdKhJc6d2d 
KhJh6c4s2c Qs9s7h7c4c Qc8s8c4s4d KsJc7h6h2s 
AcJd7s3c2s Ks7c6c5s2d AsQd8s4h2c KhJsTd8h3h 
KdTh9s7s4c Ad9d9c6d2c Ah9s5h3s2c QhJd7s7h5c 
KsQs9s6c5s JhTd8s3h2d JcTc8s8c6c As6h6c4d3s 
Qd8h6h5d3h QdJh8d7c4s 9c7d5h4h3d AdJsTc4h2s 
Kh7c6d5h2d KcQh5d5c3s Qd6s6c5d3c JdTc7s4c2d 
AsJc6h4s3d KsJc9c6d5c AcKcQs9c2c AcKcQc6c4c 
KdQd9d6c5d QcTd9s6h3h KdJcTs8h2c JhTh8s8d5h 
JdJc5s4d2s KcJs9c8d2h Qs9s8c6c3s Qd8d8c4s4c 
QhJdTh5h2s Ah7d6h5h3s Qc9s6c4d3s AdJh5s4s3h 
Ah9h7c3s2c Kd9h7d4s4h QhJc9s7h2s KhKc8c4c3s 
9h9d8s8d4c AhTd7d5d4s As9d9c8h5c QhTs8c6h3d 
AcJs5s4d3d QcTs6h5h2s Qc9d7d6h5d JcTc9c8h4d 
KhQd9s5c3h Td9d5h4h3c Qd9d9c6h2h As9h7h6d5c 
QhJh7d4c3d QdTsTd9d5d KhQsQh7h3d JdTs8d8c5d 
KcTc7d4d2d 7d6h5d3s3h KhTc7c6d6c 8s7s7d5d3d 
QdJs5s2d2c KdQdJc9s3d QdJc6c5s2s KcQcTh4s4d 
Td9d9c4s2c Th7c6s4h3s 9h9c7d5h2d KsQdTh5c2d 
Td9s7d4s3d KsQc9d4c3d QhQcTs4h2h KdQc6s6c5c 
KcQdJh8c4c 9h8h7c5c3h KhTh8c4c2c Jh8s7c6h5h 
JsJc8c4d2d Ts6s6c5c4h AcQs9h9c2c JhTd8c3h2d 
Qd7h7c5c4h JhTd6h5s4h AhQs8c4c3s Ad8h6s6h4s 
Jh9h9d8c5s KdQd9s8d6d AsTc8d5h4h Ad8s4c2s2d 
AdQdJc6h2d KdJd7h6d4s JsTd6c5h4h KdJd8c5d2c 
Js9s6c5c2d 8d7c6h4d3c JsJhTc6s3s KsThTd5d2h 
KcQs9h5d3c AdTs9s9h3c 9h9d6c4c3h Qd9s9d7d6h 
Kd7s5h3h3d AsQhQd7c2h Kh9c7s6s2h Td8d7h6h3h 
AcQd7s5d2s Kh6h6c5s2s QsTh7d4h4d KcJd8c4d3c 
Js9h8h6c2s Ad8s7s3h2d ThTd8h5c2c JhJd5h3d2s 
KhQd7s4d3s JdTh7h4c2d KsTh8d6h6c AdTs9h3c2d 
Kd9d9c6h6d AhQsTc8c2c AdQs5h3d2c AcJhTs2h2d 
Jd9s8h6c5h Tc9c5d4d3s Tc8s7c4s4h Ac8h6h6d4d 
JsTsTc4d3s AhJc6d4h3s TsTc7c6c4d JsTs9h7s5s 
Kd9c7d4h4c AhTh9h9d4h Qh7h7d5s3d KhQdTs8c5c 
AcQs8h4c2d QhJc8s5d4d QcTs9h6h4h Qd9s8h8d6d 
8s8c5s4d3d JdTd9d7c5d QsTc7d6h4d QsTs8c5d4s 
AcTsTh8s2d Ad8s7d6d2s KhJd9c5h4h KsQh7d5s3c 
QhQc8c5c4c JdTd9d8s4h AsQdTc8c2c Ts9h5h5c4c 
Jd9c5c4d3c Tc7c6d5d3d 9h8d8c7s6s TsTc9h3s3d 
QdTc6s5s2c KcQs7s7c2h QhTh8c7h4d AdTs8s6h6c 
KdQs7s3h3d QcJd5s4d2s KdTs6s5h4c JcTc7d6c5c 
KdJd6c4s2c KdQsTh9h2h KhQcJs8h4h AdTs7c5h4c 
KdJs9s7c2c QsTc6h5h2c JhJcTs7s3d Ah8d7s4c3h 
KdQs8s8c3d AcKs9d6h3s KdJs9d8c3h 8h8c5c4d3d 
KhTs5d4h3c Kh9c5s4h3s JdTh7s5d3c QsThTd8s4s 
8c7s7c5h4d Kh9s5c3s3h AcKd8d7d3s Js8c6d5s3d 
Td7h6c4c3d Kd7h6d4h4d QsJhTc5c2d Qc8s8c4s4h 
Qh9s9c5s3c QsQc7s6h3s KhQc8d8c3h Ad7s6s5h3h 
QsQh9s4s4c QhJc8d5s4s Jc9c8d6s2s Kc7s7h6s4h 
Kc7s5d3d3c KcTh8s6h6d AcKhJd5s2d JhJdTh6h3c 
QhJh7h7d4d Td8c6d5h2h 9s9h8d5d2s KsKd9s4s3s 
JsJcTh6h3d KdQd4c3s2c JsTc9c6h3d 8c7s7c6h3s 
AhQs5c3h2d AdKs6d3c2h Ac9d6d3c2s AcKs7s7h3d 
AhJc4h2h2c Kd9h5s3h3d QdTd7h4h4d QhTs6c5c2s 
KsTc8h7c4d Td8h6d5c4s AcQcJc7d2h QcJh6d6c2h 
Js9s6d5d2h Jc9d8s7s3d QdJhJc5c2s Qc8c6d5h2h 
JhJd9d3h2h Ks9h7c6h2s KcJc8s8d2s JcTd9s9h5d 
KdJh9s6c5c TsTc7s6s4d KsTs9s5h2h QsJs9c6c2s 
Js9d5s4d3d Qc9h7s6s3h JhTh9d9c4s QcTd5s5c4h 
Js9d5s3h3d QcJs8h6h2s Jc9h8d8c3d AsKc9d6h5h 
Td9d8d7s3s KcTd7s4d3s Ad7d7c3c2h KhJh9c3s2c 
Ac9s9d8h5s JsTs6s4c3c Td9c7s6d4d QcJhJd5h2s 
KsQhQc8c4c JhJc9s8h3d AcKhQs9s2s AdTsTc7h3c 
Ts8d6d5d3s Ks8c6d4c3s KhJs8d5h4h Jd9s9c6s5h 
KcJd8h4c2h KsJc9h6d5d QhJd8h7s4c JhJcTs6s3d 
QdTd9s8d2h AcJd7d4h3h KhQh8c4s3c JsTs8d7h2c 
Qc9d8s5d4s AhKcQs9s2s AcKh9c7c2d Js9s9d5c4h 
AdTc9s2s2c AcJd7h3c2h Qc8d7d6c3s KsQs9s6d5s 
QsJh8d5h4h AhQd8s7d4d Ah8h7s5c3h JsJc4h2h2c 
Jd9s5h5d3s QcJc4h4d3d KcJc7c6c5h JdTs9d6h6d 
KcQsQh9s3s KsKd9c5h2c AsQc8h4h3c KdKc9h5h2s 
AhJcTs7c2d Kc9d9c7h2h 6s6h5h2s2c KdKc8d4d3h 
AcJh9d8d4s KcQcJd9s3c KcQc8h4d3h KsQs6c5s3h 
Ad7h6c5d3d 8s8h7s6c4d ThTc7h4c3h KcQsQh8d3c 
AcTh7d5s5h Jh9s5h5d3s AhTc7d5s5c Js8h7c6d5c 
8d7c6h4d3h JdJc6d5h2h AhJd7d4s3s QdJc9s7d2s 
KsQcJd9h4d KdQh8c7d2c KdTh7c5s4h Qd9d8c7s3c 
Qh8h6c5s2s QhJhJc5h3h 9c8c6h6c4h AcQc8c7h3s 
KcTh7s6s5s KdJc9s8c5c Qh7c6d4h4c Ks9h7h4s3h 
QdTs9c8h2s KsJs8c5s2c AhTc9s9c3d KdJs6s4c3c 
KdQsJc4s2h Ks8c5s5c4c AhJc6s4h3d Td9d6h4h3h 
Ts9c5d5c4d AhQs9c5s5d AhKcJc7c3c KhKd8s7s3c 
Ah6c4h3s2c AcKs6c3d2h QcJdTd8s3d QdTd8d6d5c 
QdJsTs9s5s AhKsQc7d3d KhTh8c5h4s Td8s6d4s3h 
AhQc5s3h2d Qc9s7d6d3s Th9d8h6s5h KhJs9c3c2h 
KsQsQh6d2s Ks6c5d5c2s KcThTc6c3d As5d4s4c3h 
Jd9d8c6h2h JsTh7s5d2d Kc6s5s5h2c QdJd9c8h2s 
9h8s6h5s2s AcJcTc5c2d 9d6h6d3h3d AcTc6s6h5c 
KcJh9d5s4h JsTc7s6d4s JsJc8s4c2c Ad8d4h4c2c 
As8h8c7d5c 8d6h5h4s4d Td9d7s6c2c 9h9c8d5d2h 
Th9d7s4s4d JhTsTd7c3d KhJh5c3h3c Jc9d7h6d5d 
8c7h7c5s4d Ac6h4c3d2h KdTh6s5h4c Th8h7d6h4s 
9d6c5d4h3c AcQd5h5d4s AcTsTh7h3d AsJs9c6s4d 
AcQd5s3c2h JsTd4d4c3c KdTs5d5c2s KcQc9c6d5c 
KhTc9d6h2s Jc9c8s6d2d QdTs9s8c3h AdKhQd9d2d 
JcTd4h4d3h 8d7c5h4c3d QhJc8h4c3h Kc9d6d4c3d 
QhTs9c6c4c Qd9d7s7h4h AdKsTh4h4c Th7c6c4c3h 
KhTs8s6d4c AdTh8h5s2s KhTs9s6s6d Jc9h8c7h3h 
9c8h8c6d2d QhJh9c6h5h Th7s7c5s3h AhTc7s5d5c 
AdQdJh6s2d 6s5s5d2d2c QcJcTd4h4c 7c6s5c3s3h 
Ks7h7d6h4d Th9s8s6s5c QhJc6c4h2c QhJcTh3s2d 
KsQd9s8h5s Ks9d9c6c4d AdKd8d5d5c TsTd7c6d4d 
Jh8c6h5s2s QdJdTc8d3h AcQh8s4s3h KsJhTc7h3h 
AcTc8h6c2d QdJd9h4c2c Qc9h8d6h3d KdJc8s5d4d 
KcTs7h4s3h Th9s7h6d2d JdJc9h8c3s Ks8s6h6c3c 
QhJs6s5c2c JhTc7s7d4h AsJs7s4c3h JdJc9d4s4h 
Ks6h6d5s2h JsJh9c5c4d As9s9h7s5s JsTd7d5s2s 
KcQd6s5h4s Ac9h9c3d2h JsJc5s4c2c JcTh9d9c5c 
TsTh6s5s5d QhJh8c4d3d QhQcJc4d2c QdTd8h6s3c 
AsTc9h9d3h QhJsJh5h3h QcJsJc9c2h Th9s8c6h4d 
KcJh7h5s4h AhQs8s4d3d Jd9h8h6c2d QcJc9h9d6c 
Ah9c8c7d7c JsTc6s4c2h QsTd8d5d4h Js9s7h5h2d 
QcTh8s5s4d TdTc9c7c5h QhJd5c4d2c Ad8c6c3d2h 
Ac9s9d7d5d Tc7h6s4s3c KsJs8h6h2h Ad9h9c8h2c 
AdQh8c4d2s QdQcJh7s3d QsTs9s6h3d ThTc4c3h3c 
Th7h7c6s3c Qh8s6c4h4c Qs8d6s4h4d QcTh8d5d4s 
9h8s8c3s3h Kc8d6c4d3h AsKhJd4d2c KcJh7h5h4d 
Kh8c6d4c3h KhJh9s7h2s Kc8c7d4h3d JdTh7d6d5d 
JsJhTc6c3d JdJc9d8h4s KcTs6s4d3d QhTd6c5c2d 
AsQsJh6c2s 8s8c6h3s3h Qs8c7s6c3d QsTh8h3s2d 
KsTh6h6d3d Kd9s5c3s3d KcQcTd4h2s JsTs8c7d2h 
Kd6s6d5c4h AcQsJs8d2s ThTc9h4h2c QdTc8h5h4s 
KdQs8h7h6h AhTs9s7s4c AhQs8c7s4s Qd8c7c5d3s 
Kd8s6h4s3d JsTh9c8d2d JdTd8d6c2c Ks8d6s4d3d 
Ah9s9c8d5c 9d9c8s6d2s Ac9s7c5d3c KcJhJd4c3c 
Jh9c8s7s3c AdThTc8c2s AsTc9d9c2h Qc9d6c4h4d 
QcJh6s6c5c Jh9h9d5s4c QsQc9s8s4d AdQh9s7h4c 
KdTh6h4c3c 9c7h6s4c3h TsTh9d5d4c Ks9d7h4s3h 
JcTd7c5c2d Ks9s9c7d2d AdTh8c6s6c AsTd8d5c2c 
Tc9s7h6h5h 8d7c6c5s2s JdTh6s5c4c KhJc5s5c3s 
AdKdJd6d3c QsJsTd8s3c KcJhJd8s5s JhTs7h6d4h 
9h5s5h3s3c Th7h6s6h4s KdJh6s3s3d Ad8d7h7c2s 
KhJh8s8c2s Kc7s6s5h3h Ts6s6d5d4h AhTc9c6d5c 
KcJc5h4s3d 9c7d6c5d2h AsKhQd8h3h Qd9c8s7d3s 
KcJc5s4h3d Qd8s8d6c3s Jh9s7d6c5d JsTd6d6c5h 
Kh9h9d7h5s AhJc7d3h2d Ts8h6h5d3d QsJsTd3s3c 
QhJd8h8d3d Qd8h7d6d5c QcJsJh4d2c QhTdTc5s5c 
Tc9c8c7d3d Th8s7s5h3c Tc7d6h5h5d Qd9s9c5s3c 
TsTc9c6d3h Jd8h6d5c2c Tc8c7d6d3c Ac8c7s5h3c 
KcQd6s6c2s KsQc5s5d3h AhQd5h3c2s AhTc8d6s6d 
KcJc7s4s3c Js9s6h5h2c AdJs9h6d4d KhTs6s5c4d 
KcJd8d8c2d KdJdTs5d2c AsTs5c4h2d JcTs6h6d5c 
TsTd9s5h5c QsQc9s4s4d Js8d7s6h5s Ks9s5h5c3c 
KcQs9h9d6d KsKdKc9s7c TsTd8h4d3h KcQdJc9s2c 
KcJh7d6d2c Th9d7c4d4c AcTh7d4c3c QhJc9h5d4h 
AcTs7s6s5d KcTd5s5c2d AdJhJc6d3d Kd8d6s5d3s 
KcQdTh9h2h JcTc8c5h4c AhQsJc6d3c QdJsTd5d2h 
Ts9h6d4h3d Ks7c6d5s2d 9s8h8c3s3c AhKs9c6d3s 
QdTh4h3h3d JdTd7s6d5d AsQc5d3s2h AcKhJh4d2h 
JsTc9d4s3s As8d4c2s2d AdTs9s9h2c Ts8h6s5d4c 
KdTs9d7d3h Ks6s6d5c2c Tc9d7d3h3c JhTs9s6c3d 
QsTd9h7d5d Ac9c7h4h2h Qc9s9c7h3h QcTc8h5s4c 
QsQd6h5s2c QcJcTs8c3d KcJhTh9h3h Ah8c7d3h2c 
AhTc7d6s5s Tc8s6c4s3h Jc9d8d6s5d KsJh8s6h2s 
KcJc9d5h4c Ac6s6h4d3c QhTd9s9d4c KhQcJs4c2d 
QhTc9d7c5c 8s7h6d4d3h AsQd5s3h2c As8c7h5d4d 
KcTd7h4d3h Kc9d7d4c3d KcTc8h5h2c KdKc7c2h2c 
9s8d8c5c2d QhJh9s9c6h KcJc5d4d2c QcJc7s7d6h 
AhTc9s9c5c KcQdTd5h3d Js9d8d5d2s AsQs8s7c3h 
KhTh8s5s2h 9d9c8h5h2c KsTc9h7h4d JdTh7c6c4c 
QhJc8d8c6c Ad6h4d3c2h AsJh6c4s3d QhJd7c4c3h 
JsJh9h8d4c Th9d8h5h5d KcQsTh8s2d KcQhJd9h2s 
Tc7s5c4d3d AhQh9s9h3c QhJc6h6c2s KcQd4s4d3s 
KsTd9c8h5c QsQh9s8s4d AcTs9s7s4h 9s6c5s4d3d 
JdTh6d4h2s Ah9h6s4s2c Js8s8h6s6c KsQcTd8h5h 
Tc9c8c7d5h KcTh8s6h5h Th8h7s5d4c KcTc7s5h5d 
JcTd7d4s2c AhKd7d6d3c QhJs9h2s2c JsTc8h8c4d 
KsTd8c6h6d AcQh5s5h4d As9h7h4h2s Jh8s6s5c2h 
8s6s5d5c3d Qc6s6d5s3c QcJd8s8d6d KsJcTd8s3s 
Ad8c7c3h2d KdTs9c6s6h Tc9c5h4h3s KsJhTd4c3d 
KsTc7d4c3d KcQd8s8h7h Ac9h9c3s2s 6s6c5c2s2d 
As9h7s3d2d Ac9c7h3s2h Qc9h6c4d3h KsQcJd9c2h 
As7d4s4c3h AhKhTh7h3h AcTs9h8d3h Ad9d9c3s2s 
Qd9d8s6s3d AdJsTd6h2d QdJhTd3c2s KsQdJs9s5s 
AcTc3s2s2h QhTdTc8h4h AsKcJh6h3d Qh9d7h6d3h 
AsQc7h5c2h Tc7s5s5d4d Kh8h7d4s3d KdQd4c3h2c 
Th7s6h4c3c Th7s6c4c3h Qc9s9d7s4d Ad8h8c7s5h 
Kh9s9h6h5c Jh9s9h8d5c KhQc7s5c4c AsJhTs6c2s 
Ac9d7c6c4s 7h7c6d6c5c KcTsTd9c2c KcJsJd9h3d 
KcQcJs9h3c AdQc8h7c4c KsQhJd4h2c QsJc9s5s4h 
Jh8s6d5h3d JhTs9h8h3c QhTh8c4h2c Kh9d7c5d5c 
QsJd8h7d5d JhTs4d3s3d Ks9s8s6h3h AsQsJs7d2h 
9h9d8d8c4s QsJh5h2s2c Kh9h5c4s3s 8c7h6s4s3c 
KsQh8d7d6d AhKcQc3c2d Ad9c7d6d4h QcTc9s8c2d 
KsJd8c5s4s Ah7s6s5c3c JdTh7c5d3s Kd9h7c5d2h 
QhQc5d2s2h AdKc8c5c4c 7s7h4s4d3h AdJd9s6d4c 
Kc8h6c4h3d AdJsTh7s2c JsJh5c2s2c KcJc8d5d2c 
As9s7d3c2d Ac8h7s3c2h JsTc9c5d3c KsQd9s6c4s 
As8h7h3d2s AdKs9h8s4s KcJc8s8h2h JhTs7s4c2h 
KcQhQd8h4h KsJc9h6h5h Ts8c6c5c3s KsTs7d6d2s 
Jh9h8c6h5d Tc9c7d6h2d 8h7h7d6s3d KcJh5d3d2c 
Jh6d5h5d4s Tc7d7c6s3d QsJs9c8h2d Qs9h8h6s2s 
Ah8h6c4s4d Td8d7c6c3d QcTc9c8c5d QcJd7s5h4d 
AsQh7h7d6h KsKc8h8d2d KdTc6s6c3s KcTd8c7s2h 
Td8s8c6s3c 9c5h5c3s3h JsTc9c8c4d QcTsTc7c4d 
Ac9s9h8d5s Th9h8h8c4c KcJd8c5s4c 8c7s6c4s3d 
KsQdJc9h3c Jc7s6s6c5c QdTd8h5c4d 9d9c5d5c2c 
8d7h7d5s4c AcKs9c7c2h QsJc9s2d2c Jd9d6s5s2c 
9h8d6s6d4s TsTd9d5h5c AsJc9c8c6c QsQcJd4h2d 
Jh9h7d5d2c KdQsJc6d2h AcQcJs7c2d KhTc6c5s4d 
AdQd9h9d3s Js8h7s6c5s Js8c7s5h4d QsQdJh7c4c 
8h7s6s5c2c QdQc7d6s3d 9h8c7c5d2d Kd6c5c4d2c 
KcTc8h5c4d As7c6c5d3d 9h9c7s5c2s AsTh8c5d4c 
QhJd8d8c6d QdTh7h6s4h 8d8c7c6h4s KsKhKc9s7h 
JdThTc6h3s Ts7h6c4s4c KdQd6c4h3s Tc9s8c5h2h 
JhTd7s4d2h Qc9h9c7s3s KdQhJs9h2c KsJh9h6d5h 
7h7c4h4d3c As6s6d3d2h JdTs8h5d5c Ah6s5d3h3c 
KdQhJc5s2h AhJcTh6h2d AhKd6h3c2s Kh8d5c4c3h 
QsJs8h4c3c JdTs7c5d3h QsJsJc5s3s AhKc7c6c4c 
Qd9s9d2s2c QcJd9h2h2c KdTh7h6h6c Ah9d9c8c5s 
Jd9d5c4h3h Kh9h9c6h5s AcJhJd8s2d Jc9c8h6s2s 
QdTc9c6h3c QsQcTd8h2h QdTh9s7h5h AsQs8s7h3d 
Ad9d7c3h2c QcJc8h7d3d As9c5s3h2c Kh8h6d6c3c 
JhTc7d5h3s AcKd8s6d3h Kd9d5c4h3h Kh8c6d4h3c 
KhJh6s4d2d QcJh9d7h2d Th8h7c5c3h AdTc8h5s4h 
9d7d5h4h3c QdJs9d5h4d Js9h8h6d2s KsQs6s5c3h 
KsTc6s3s3c KhTs8d6s5s QdJsTh5h2c AdJhTs7h2c 
JsJc9d8c3h Ac7d6h6c4c QhQd7c3d2h 9s9d8h8d4c 
QdJhTs5d2d KhQhQd7h3c AdTc7c6s6h QdTc9c8h3s 
KsQd4h4d3h AhKh6h5h3s Th7c5h4d3d QdJc8s5c4c 
JsJcTh6s3s JcTs7d7c5c QcTs7d6h6d Ac9c8h7c3s 
KhTd6h3h3d 9h9d7d5h2s 9d7h5c4c3h 9c8s8c6h2h 
KsTd7h6h5h KhQh9h6h5d JhTc6c5h2h KsQsJc9d3s 
AsJc9d6s2h AsKs9s9h3c JsJc4d2s2d Ad8d4s3s3c 
KhKdKcJh8d Ad8c7h5s4s AhTc9s9c2d Jd8d7c6h3c 
Jh9d8c7c3d ThTc8s6s5s QhJsTc6s3s 9c8h6h5c2h 
AdKs8s7s3h KdQsTc9h2h AhKdJd7d3d KhQh7s6d3c 
AhKh9s9h3c QdJs4d3s2c KdKc8s7h2s QsJc8h7h2s 
QdJh5s4h2s Tc9c8d4s4d 9d7c5d4s4c KdTh9d5s3d 
KhTc9s6d6c Qc9c8s6s3c 9c6d5d5c3h QsJd5d2s2h 
KcJhJc9d2c AdQcTc5c3c QdJd9s3s2h KdTs8h7s4c 
Tc9s8c5d2d QsQhTd4s2s Ac8d4s2d2c Ad9h6d4s2s 
KcQhQd8d4d AcJhTc6c2s AhQdJs3d2c AdKsJs4s3s 
QdJs9h9c5s Kc9s9c7h2h KcTs9c7c3d Ks9c7d6c3d 
QcJc8s8c5h KsTd8s6s5s AcQcJc7s2d KcQs4s4d3d 
Ac6h6d4s3c QcJsTd6s3s QsTs8c6d3h 9c7s6c5s2d 
Ks7s7h6d4c KhJc9s6c5c KdJsJh8c5c Js7d6h5d3h 
AcQs9d6d5d QdTd9c8d2h KsJhTc8d2h KcQd4h4d3h 
AhJc7s7d5s Ks9s8s6c3c KcJd9d6s5d KcQs7h5c3d 
Tc8s5s4d4c Ad8d7d6h2h Th7d6c4c3h QsJsJh8s4d 
AcKhTd4s4d Js9s8h7s5c Th7s7d5s3h 9d9c7d4h3c 
AsKd7h5s2s AdTs8c5h4h JdTh7h4d2d QhTc8h6h4h 
Jd8h6h5c2d QsJh6s4h2h JhTs9d4h3h AsJsTh7s2s 
Kd9s7c6s3c KcThTc6c3s JcTh6h6d5s Jh9d8d6c5d 
AsTc8c6h6d Ks9s9h6s6c AcKs7s6s3d JdJc8s5s4h 
QcTd8c3h3d ThTd9s7c4h JdThTd4s2c QhJd9s7d2s 
Kc7s6h5c4c KcQdQc6h2c Qc9s9h7s4h Js8s6s6d4d 
AdTc3d2s2c KhTd5s5h2d QdJhJd5d3d Jh9d5h3s3d 
Ah6s6c4d3h JhJc5s4c2s As7h7c5d2s Ac6s4c3h2s 
QhQc9c8c4s QhJs8d5s4s KhTd9s7s4c Tc9s7s7c3s 
KdKc9s5h2s Ts7c5h5c4h QsJs7c4c3d Ts8h7s4s4h 
Ks9s9d7s5h JsTh7d4h2s Jd9s9c7d2s QcJd6h3h3c 
AdTc7s6h5h KhJc9c3c2h QdJdTs8d3c QdJc8c7h5c 
7h6d5h5d4h AcKc9d6c3h KhQh9h6s5h AhKs7s5c2d 
QsJd8d7h5d AdJs4d2s2d KdQd8h4c3h Qc9h7h6s3s 
Qc9c5d4s3d KdQc9d8h5d Qh9s8d7d2h KhQd8s8c7s 
AdTs7s5s4c AhKhTs4h3h QcTsTd8c4c Th9d6s4d3s 
Td8h8c5d3c AcTs8h6c3c Ts8h5h4s4d KhQc6d5s4d 
QhQd9h5s2c QsTdTc5h5c AhKdTs3h2h JcTs8d3c2s 
KsKc7c2d2c AcJsJd8h2d Tc9h7d4h4d KcJc5d4s3h 
QdQcJh7s4s Ad5d5c2d2c AhKh9c4h2c AdTsTd7d3d 
KsQd5s5h3c QhJh9d8s3c JcTh6c4h2s KsJs9h5c4s 
AhTc7d4h3h Qs8d7d6s3c 9d6s5s5d3c JcTc9c5h3d 
AcJsJd4h3s KcJsTd8h2s KsJd8c4s3c TdTc7d4c3d 
JsJcTs6s3d Jc6s6c4s4c KsQdTc9c2c As9d6s6c5s 
Kh6s5s5d2h QsQh6d5c2s AsKs9h6s3d Ts7d6h4s4h 
AcJdTd8d2d Qd8d6h5c2c AsJc9s7s4s KhQcJd6h2s 
KcJsTh4d3h JhTd6h4d2s As6s5s5c4h Ah6c4h3d2c 
KdQdJh8d4c QsJh5s2h2c Ad9d8c7d3s JsJd5s3d2h 
8d7d5c4c3s Ad7c4s4d2c KcJsTh7s3s Ah8h4d4c2d 
KsTd6d6c3c KsQd6s6h2h AcKs8s7s3d 9d8c7d7c4c 
Ac7s6d6c4c QsTh7c4h4c QcTd8s5s4s JhJc5d4h2d 
AhQh6h4s2s AcTc5d4h2s KdJc9s6h5h KsJs8h5h2s 
JhTd8s8h5h QhTh9c6d3h KsJsJd9h2s AhTs9s8c2d 
AcKdJs4s2h AcJh7s7d5d QcTd6s5s2d AsQcJc7d3c 
AsQd5c3s2h QhJh6d5s5h AsQs8s7s4h As9s8s6s5h 
QsThTd3d3c 9d8h8c5h2c Th9c7h6d2d KcTsTd4c3h 
8h8d5d4c3c Kh9h8h6c3c JcThTc5d2s JdJc9c8h4s 
6s6d5h4h3d AcQhJs5h2h QcJhTh9h5h KcQh6s6c2s 
AcKh7h7d3s JdTc6d4c2h AsQs9c6d3s Jc9c5h4s3s 
AhQh8d5h2s Qc9s8h7h2c Ac9d7d6h5s AhJd9s8s4c 
KhTd8c6s6d JdTh9s4d3d AhJsJd9c3c AdQdJd7s2c 
Qd8d5h4s4h AsQc9h5d5c AdKcQh8c3c Qc9s6c4s4h 
TsTh7s5c4s QdJs8c7c2d AsJcTc8c2c QhQcTh4h2s 
AdKhQh3h2s QdJd7c4c3s KdJc7s6s2d 9h8h6d4s4d 
QcTsTh3s3d Qh9h8c7d3c JcTc7s6c5c 8d6h5h4s2d 
AcQc8c7s3d Tc8s8d5s3d Th8h7c6s4h JdTh9h7s3h 
QsJsJd8s4c Kd9d7c6h2c AsTc9d9c5c KsKc9h5d2h 
QsJc7h4h3s JhThTd5c2s Ah8c7s3h2c KcJc9d3s2d 
KcQd5s5c3h Ts8s7d5c4h KdTs6s6c3c Ah8h7h6c2c 
Ts9c7s7h6s JsJc8h5h4d KdQd9d6h5d JcTh9d4s3h 
Ac9s7c6c5c KhTd8h7s2c AhKs8d5d4d AhJsTd7s2c 
QsQdJh4c2h QsTd9h8c2d KcQd8h6s5h AhTsTc6c4d 
JhTsTh5d2c QdQcJc4s2c KdJc9s5d4d KsJs5d4h3c 
Jc8d6c5s2s QsQd9s5c2h Kd6s5d4s2s JcTc9c6c5d 
Ks9s5h4d3d AdKh9c5h4h QsJh9c7c2h Js8c7d6s5s 
KdQd4h3c2h 9s8s8c7h2c QcJs8s7h5s AcKcTd4c3c 
QsJc8d6h4c Ah7c6d5h3h QsJd9h7s2h As9c5s3d2c 
AdTc7h5s5c AcThTd8d2s AdTh9c2h2c KcJsJd8s4h 
KsJd8s6d2s AcTs3c2s2d QcJh4c3h2d Ac9c8s6c4h 
JsTd9d7c3d Ks9s5h5d3d Kc9s9c5c3s AcQc7c5c4s 
AdJh9s6d4d KdQsQd6d2h QdQc9c8c4h Ac9h9d8h2d 
KdJs8c7c3s AhTd9s6s2d QcJd9c2h2d Ks9c7d6s3h 
8h6c5c4h4c Td9s7d6d4h 8d7h6s4d3h Ah8h8c3s2c 
As9h7h6d3d KcQh9s9d6d QhTs9d8c2s JdTs6h6c5d 
JdJc4c3h2d Qs9d8d8c7h QdJc5c2s2d AsKc8h6c3d 
Kc6s5c4s2s AcTd9s3h2c JhTs9d8c2c KdQhJd8c4d 
