Jc8c6c5c3c 
Td9d6c2h2d KsQc8d7d3d Jh9c7s7d2s Jc6h6c3s2s 
Qc8h5s4d2d 7c5d5c4c2s JhTs4c3c2c 8h8d5c3h2h 
Kh5s5d4s2c Qs9d8h4c3d Ts9h4h4d2c Ac7h5s5h2h 
Qc9h7s5s2d Qc9s7h4s4d Jc6d5s3h3d 8h8d5s3d2d 
8s6d5h3d2d AsTh4h4d2c Ad9d8d4d2s Ac8d6s3d2s 
8s6h4s4c3s Ac6s4d3d2s Tc5h5d4d3s Ah9c6s5d2s 
KsKhKcTd6c Ts9c5c3d2h KcJs7h4h2d 8h8d7h4h2h 
Jd6c5s5h2d 8c6h4s2s2d Td7s5s4c2h Ac6s4s4h3d 
QsQhQcTc5h QsTh7c3s2d 9c6d5s2h2d Th9d6c3c2c 
7d5h5c4s2s 9d7s5s5h2s 9c5d3d2s2c Ah8c6s3c2s 
Kc6c4h4c2s KhQd6c3d2d Jc8c7c4s2h Th7s7h3h2s 
Kh5s4s4d3c As8h6c4d3d Ad9s6s5s2h Jc8s6d4d2h 
Qc9d7s4h3h KdQc8s7s2s Kd8c6s6h3h 7s6c4s2h2d 
Jd6d4h3h2d Kd9h7h4c3h Kc5s3s3d2d Jd8c7s7h2c 
Qd5h4s3d2c Qd9d8d3h3c Td6c4s4h3d 9s9d7c4c2h 
9d6s6d3c2h Th9s5s3s2c Th7h6s6d2c AsTd6h4c2h 
Ks8h3d2s2d Qs8h7d4h4c AhJd5d2s2d Tc5h4s3h2s 
QcJd7s6h2h Qc9h9c3d2c Js7c5s4s2h Ks9s5s3s3c 
9c7h4d3s3d 8c6h4d4c2c 8s5h4s4d3s Js9h5c4c2c 
Kc9c6d4c2h Qd9d5c4h2d Th7s4h3d3c KcQh9s4s4d 
Ah6h5h3h2s Jh9c8c4c2d Qc9d5s5c2c Qs8h8c7s3s 
Qh8d7d6c2d 9h6s5c3d2c 8c6h5s3c2c 6h5d5c3s2d 
Qs9c4d3c2d AhQc5s3s2s Jc8h7h4s3h Ks9h7d2s2c 
KdJc3d2s2d KcTc7s3h2c Kh6c5s5d2d Qs6d5s5h2s 
Qd9d5c4s2d 8c5d4s4h2h Kh9s5h4h3h Ac6h6d3c2c 
QsQdQcJc2s KcJc6c3h3c AsQh7d4d2c Qc9c6c3d2h 
Ad8h8c4c2s Js7h6d5s2s Qc8h8d3h2d Jh8d3h3d2c 
8d6h4h4c3h JsTc6d3d2h Td9h7d2s2d Kc8d5d4d3s 
JsTs4h3s2s JsTc3c2h2c 8h5h4s3h3d 9d8d6c4d2d 
Js5d5c3d2c KhQh4h3h2s Ad8c6h4s3s Qh8d5d4c2d 
Qh9h6c4h2d 9s8s5h3c2s 9d7h5d2s2c Ad8d6d3c2h 
9h7s5c4d2s 9c8c5d4h2c Ah5d4c3s3d Jc8c5h3d2s 
9h6c5d3h2h Ad9s7h6c2c Qc7s4h3s2c QcJc7c5h2c 
9c7d5c4s2c 9d8c4c3h2h Jd9c6d4s2h Ts7s7d5s2h 
Qd9d8s4d3c KsQc9h4h2d AdQc5s3s2s 8c5d5c4c3h 
Kh9h5h3h3d KcJd8s4s2s KsKhKd8s7c Jh9h5d3c2h 
Th9d4s4c2d Qc9c8c6c2c Qc8s8d5s2s 7c5c4h4c2s 
Qd9s7s3h2h Qd8s6c4s3s Ah8s5s3d3c Ks9c7h4c3c 
Kc6s6d4h3h KcQc4c2d2c 8c7d4s3d2c QcJc8c4s2c 
QcJc8c3d2s As8h7c4c2d QhQdQcJc2h Qs9c8d4h3c 
Qs8d7c4s3s Ad5c4s3s3h 8d8c7h4h2h Kd8h6s4h3c 
AcJh4d2s2h Ah8s5s4s3d As8h5h4d2h Kh8s3s3h2s 
Jh4d4c3d2h Qd8d6d4d3c Jd8d5d4c2d AhJc7s6s2s 
JcTd3s2s2h Th8c5c4c2c QhTh3h3c2s Jh7d4h3c2c 
Kd9c5c4h4c Kc9d7s3s2d Jh9s7s7c2s KcJsJhJcTc 
QsJh7c6d2d Qc7h4d4c3s ThTc3d3c2c AcQd7d6d2d 
7s7c6h3d2c Th7h5h5c3h 7h6h5c3d2h Kh8c4d3s3h 
7d6h3d2h2c Qc6s5c3h2d Qd8c5h5d2d Kh9h7h4s3h 
QhTh6h3h2s Qs6h6c2s2d QdTd8h3d2d Qh6c5h3s2d 
Qs8s6s4c3s Ks9c5d4s2s AcQh7s6s2s Qc6s5s3h3d 
AcJh4s4d2h Qc5c4s3h3c Kh8s8d5d2c Th6d5s4h2h 
Kc9s9d3s3h QsQhQdTh5s AcQh7s2h2d Jh8s3s3h2s 
As8d5d4c2d Ac9h8d4h3s JsTc7s2s2d Kd9s5s5h3s 
KdJd6d3s2c 9d8d5h3s2d 8s6d4d4c2d AcTsTdTc4s 
Jc9s6c4d2h Ks6c5h5d2h 8h7s4h4c3d AdJh7s4s2s 
Jh7s7c3c2h Td8s3h2s2h QdTs6h2h2c Kh6c4h2s2h 
AdJh6h4c2h JcTs3d2h2d Qh7s6d5c2d Tc5s5d4d3h 
Qc9s8h4c2c KdTd3h3d2c Js8c7d3d2c Kd5s4s4c2h 
Jh9h7s4c2d Js9s8c3d2s Kc9c7h4c3c Js6h6d4s3s 
Ad8d3h2s2c 9s7s4c3h3d JhJd7h3s2c Th7s7d6c2d 
Tc8h4c3s3c KhQh8d8c3h KcJd7d3h3d Qh9d7s4s4c 
Tc7h6s5d2h KhJc8h4h2h QcTh7s5s2s Qd5d4s4c2h 
QcJc7c4h2s Qd7c4h3d2h Ad9s7h6c2h 8s6d4h4d3d 
JhTs3c2d2c KcQc6s2h2c AhTc5d2s2c QsQh7d4d2d 
Kd8h6s6c3h 9c6c5s3c2d 8c5c4h4c3s AcJs5s3h2s 
KdJd5d3c2d Js6s6h3h2h As4h3s2s2d Tc5s5d4s3h 
QhJh5h2h2c Qs9h7c6d2d Ks8c5h4d3c 9c7c5s5c2h 
9c6s3s3c2s Jh9s5s5d2s Ks7s4s4d3h 9s6h5c3h2h 
6d4h3s3h2d 8d6d4h4c3d QdJd7s7d2h KcQs6s3d2s 
Jc8s5s3h3d Qc7s7d4d2s KdTd4d2s2c KsQc8d4h3d 
Kc7s4c3d3c Tc6s5c4d2c Tc7c4h3h2c Jc8s5d3s3h 
Qd9h7s5s2c KdJs3d3c2d Js6c5c4c2h Tc9h8h3h2h 
Kh5d4d4c2s KhTh3h3c2d 8s6s6h4s3s Jd6h5s5c2d 
Kh8d3h3c2d Th7s6c5d2s Qc6h4d3d2h 8d7d4d3c2c 
8s7s6s2s2c Qh8s8c4h2d 7s6h4d2s2c TsTh5c3s2d 
Jh8c6s4d2s Kd7c4h4d2s Qs9c4h4d3s Qh7s6s5d2c 
9s7d5c4h2c Jd5s5c4d3h Qc7s5h5c2d Qd9s7h4h4c 
Js9s7d4c2h 9c7s3s3d2d Tc9h7h3d2h Ts5s5d3s2d 
Qc6s3d2s2c Js8d5h5c2d Kc8d7c6c2c Js7s6c4s3s 
Qs9s7d4s4h Ah5c3d2d2c Qd6d3h2h2c Js7d6d5c2h 
Jh9d5c3s2s Td8c5s2h2c Ad8s6h4c3c Ah9d5c4d3d 
Kc8d3s2s2c As6h6d4h3h QhJd7s6s2s Qd8c7h6h2h 
9d6s5d4d2d 9h9d7h4h2s Qh8h4s3h2s As9d6c5c2h 
Ks9c3s3c2s Jd9d7s4h2c Th9d7d3s2d QhTd6s3d2d 
As5h5c4h3h Qs4s3h2h2c Kh8s6s3c2c JhJdJc8h7c 
Ts9d5d3c2h Kc5s4h3h3d KhJs7c6d2c Ac9s8d4d3h 
AdKd8d3d2c JsJhJc8s7h QdJh7d4d2s Js7h4d3d2s 
Qs6d4h2h2d 8d5c4d3h3d Ad9h6c3s3h Jd9s7h7c2h 
Qs7h6h5d2c Qh8c5d4s2s Jd8h7c3h2c Td7h6d6c2s 
Kd9d7d4c2s Qs7s7d3h2d Ac5s4c3c2c QdJc6h2s2c 
QcTh4s3d2h AhQd7c2s2d JdJc7c3s2h Js8h7d4d3d 
AdJc9h3h2h As8d7h4c2d QcJc7s4c2h Qc8c4s3c2s 
AdJh7s6c2c Jd7h7c3d2c Jh7c6c3h2c Qc8s6s5s2s 
6d6c5s5d5c 7s7h6c3d2s QsJc8s2s2d Qs5s5h2s2c 
5d4s3s2s2d 8c7d4h4d3d Jd7s6h5h2c Kd8h3s3h2d 
AcTs7h3s2d Kc7d4s4c2h JdTd7h3c2d AdQc4s3h2h 
Kc9h8c4d3c Ts9h7s3s2c Tc6h6c4d2s QdTc7h3d2s 
JhJc6s3h2d 7d5d4d3h3d Kc5s4d3h3d JdJc7c4c2c 
9h7c4c3s2s Kh9h4s2s2h QcJc8c3s3h KcJh9d3s2d 
Ks9s7h4s3s Js8s5h4s2s Qc7c4d3d2s Qs9c7d4d3h 
TsTh3d3c2c QdJh7s6d2d Ts9h4h4c2h Ad7h5c4s2c 
Th8d3s2s2d AsTh5h5c2h Ac5h4c3c2c Qs9h8s4s3s 
Qs5h5c4s3s Ks9d5h4d3d QhTh3s2h2c Qs9c7h3c2h 
Ts8c5s2h2d AhJc7s4s2d Jh8h7h4c2d Qs9h5d2s2c 
9s7s5c4d2s KsQh7h3h3c QhJd8h2s2h Qs8s8d4s3h 
Jc9c8d3s2c AdTh7c3h2s Td8h5d2s2c 9d7c3s3d2s 
9d7d5h4d2s Kc8d8c4c3s 6c5d4s4h2d Th6c5s4h2h 
Ah7d3s3c2h Tc9s4s4h2d Jh7s7h3s2s Kd9h7h5h2s 
Kc6s4c2d2c 8s5h5c4d2s 5h4s3s3h2s Ad8h5h4c2h 
8s5s4d2s2c Qc9d7s4h4d Qs7s7d3h3c Td9c4s4h2c 
Jd8s8d6d2d 8h6c4c3d3c AsJc7h2d2c 8s8d5c3d2d 
KcQd6d3s2d Kc6c5c3s3c 9s8d4s3d2c Ts7d6h5c2c 
TsTh5d3h2c Ad4s4c3s2c 6c5s5c4c2c ThTc3s3d2s 
AhJs4d2s2c Js8d6c4c2h 9s5h3s3h2s Qs9c7d6h2c 
Qh9s4c3c2s 9c6d5d2s2d Jh9c6c4c3c Td7d6s5c2d 
Ac9s4s4d2d Qc7s4d4c3h 8d5d3s2s2c Jc7s4c3d2d 
JcTd7c2s2c Ks9h9d5c2d Kd6c5s5h2c KcQh9h9d9c 
QhQc7d4d2d AdJh6h3s3h 9h7h6h6d2h 8s5s4d4c3s 
8h5d3s3h2d AdQs9h4h2c Kc8s8d7s2s Ad8c6c3s2s 
Jc6s6d4h3d QhJh7c3s3h Kh9h6s4d2h Qd9h8c4s3h 
JhJd7h3c2s 9s8h4c3h2s 9s6d4c3h3c KdTs6c3s2h 
AhQs6s6d2s AsJd5d3d2h QsTc6h2h2d KdQc4h3s2h 
Js9s8h3s2d AdJs7c6c2h As9h5d4c3h 7s5h4c2d2c 
Tc8d7d5d2d Kh9c7s2h2d 9h5s3s3d2d AsQd9d3h2d 
QdJc6d3s2d 7h4d4c3d2h 9c6h5h2h2d Kc9h6s3h3d 
Kh9c7s3d2h AsJd7h4h2c TsTd5h3d2c Qs6d4h3s3c 
Kh8h5h4c3h 9h7h5s4d2h Td5d4h3d2h Qd9s5s5h2c 
Ac8c6c3h2s KsQh8s3d2c Qd9s6d3c2h Tc8c6h2s2c 
8s5h5d4c2s Jc9c5d3c2s Jc6d5h4s2d 8s5c3s3h2c 
As8h6s3c2s 8c6h4s4d3h JhTs6c3c2d Qd9c7c6c2h 
8c7d3s3c2s Jh9c5h3h2d QsJd7h6d2d Ts6s6h4c2s 
6c5c4c3h2c Ad9h3d2s2c Jc9d8s4d2h AsQc6h4h2h 
Kd9c7s3h2d Qs6h5d3d3c Ks9c5h4s2s Jc9s5h3d2d 
Kh7s3s3c2h QsTc6d2h2d Th8h5c2s2d 9h7d4c2d2c 
As9h5c4d3h 9c6d5c4c2c Td9s4s4c2h Ah9d8s4d3c 
KhJsJdJcTc KsQs7d3c2h JhTs6c2s2d 7c4d4c2s2c 
KdJh3d2s2d 7c6d3h2h2c KhTs5d3c2s 9d7c5c3h2s 
AcQh7d4s2s JhTs3s3d2s Qh9s5d4s2c As7s6h4s2s 
Jd7d4s4d2s Kc9s5h4c2c Jh8s7c3h3d QsQhQdTs3h 
Kc8d7c4s2c Ac9s6s5s2h 8c6d4s4d3d Ks8d8c7d2d 
Ah5h3d3c2h AhKs6d3c2d AcJs5s3d2s QhTc7s3h2d 
AdTc6h4h2s 9s7h4d3s2h Jc9h5s4h2h Ac9h6s5h2h 
9c7s6c3d2h QdJd7h3s3d 8d6h4d4c3d Jd9c5h4h2h 
AhTs5s5d2s Th6c5c4c3c 9c7s5d4c2c 6h5d5c3s2h 
Qd9d5h3d2c Qd8h6s4h2c Qc9d8c4s3c Jd9d6s6h2d 
Tc7c6h5s2c QhTs7c3h2d Kc9c4h2h2c QhQc6s3s2s 
JhJc7d4s2d Jc8s4c3s2s Qs8c7h4s3s Ah7d5s5d2d 
Qc6s6c5d2c Kc5s5d4d3d Qc8s7s7d3h Td5s3s3d2c 
Js8h7h5h2h Qs6s3c2d2c Ks5d5c2h2d 9s7c6h4c2c 
KsTd7s3s2h Qs9h6s3d2c Jh8d7d4c3d QsQhQdJh6s 
KsJs3h2s2d Kd8d5d4s2d 9c7s6d4s2h KhQd7d7c2s 
Kd9h7h6c2h Jh8d7c6c2c Qs8h5s5d2s Kc8h8d5h2s 
KsQc8h7h2h Jd6s4s3d2d Ah7s7h4h2h AsTh5d5c2c 
Td9c5h3h2s Jh9h7s4d2c 9h5s5h4c3d Jc9s8d3h2s 
Ks9c7h2s2d QcJd6s3c2c Tc9d6h3d2d Jd9s9d3h2d 
Jh7c4d3d2h Kh9h5h5c2d JhTs6d2s2c KdTc3h3d2d 
KsJd6h4c2h KhJh6s3h2d Js8c5h3h3d QdJh7s6s2s 
9c7c6d2s2h Tc7s6c4d2h Td8s7s2h2c AhQd5s3s2s 
Jd6d4d3h2h Qc9s8d3h2c 8c7c4h3s3d Kh9s7d3s2d 
Qs6c3d2s2d Ks7d3s3d2d 9h7d4s3s3c Ah7d6d3s3d 
Qs8d5c4d3d Qc7s6c3h3d 5s4d3s3d2d 7s6d4d4c2h 
Jc8s7s3d2d Jh7h4h4c2c 8d6s5c3d2d Qh8s7d4h2c 
Qc8s8h4d2c KhJd6s4c2s Qc9s8h4s3d 8s6d4c2h2c 
Td6h6d5d2s Th8s6d2d2c QsJs8s4h2s Qh9c7c3d2d 
Js7s6d3h3c Jd9d6h6c2d Ac9s8h4s3s Ac8h6d4d2s 
Jc8s5c3h2d Jc9c7c6c2h Ts8c5d2s2h Jd6h5s5d2d 
Ts7d4h4c3h Qh5s5h2h2c Qh9d7s6c2d 9s9h5c3c2d 
Tc7d4s4h3c QhJh7d7c2s Kd5s4d2d2c 8s7d4c3d2s 
7s7h6h4h2h 5s5d3c2s2h Kc9h7h4d3h AhKs9c3d2c 
Jd9h8s4s3s Kd8h3h3c2d Ad8s5c4h2h Qh9c5c4s2d 
Qs9s5h3s2c Jc9s9d4c2c Jh8s7h3s2h 8d5s5h4c2h 
Qd6h4s3d3c Qh7s7h3d3c Qc9d5h2s2c Qc7d5c4s2c 
KhJd8s8c3s Qs8h8c3h2c Kh9d5d3d3c KsQc5c3c2c 
Qc7d7c4c3h 5s5h3d3c2d Th9d6c2s2c Qh9h8s4h3c 
AcQh4s3s2d KsKhKc9d6s Td9h6s2s2c KhJd4d2s2c 
Js8c7d6d2d Qs8c7d4s2h QhJh8h3d2s Ah8h4s2h2d 
KsTc5c4c2c Qc8d7s4c2h Ac9h8s4s3d 9s8d5h3c2c 
KsTh7h7d2h Ks8d5s2h2c KhJh6h3c2d 6c5c4c3d2c 
Jc6h6c3h2h Ts9h5c3d2h 8s6c4h4d3c Qh7c4h3c2s 
Kd9c6d4d3d 7c4s4c3d2s 9c8s8h3c2d Jd5s5d4d3h 
Ts7h4h3h2s Ts9c4h4c2c Jd7d4h4d2h 8d7s7d4d2d 
Tc7c5c4d2s AhJs4d3s2c Js8c3s3c2d 8c5s5h4d2h 
QhTs7c5c2c Kd9d7c3h2s Tc7s5s4d2h Ac7s7d3s2d 
KhTs8c2s2d Ad9h4s4d2d Kh9d5d5c3d Qd9h7c4s4c 
6h6d5s5h5d 6s5d5c3s2h Qh7d4h2d2c Tc7h4h3c2h 
Kd8s8h7h2h KhTd6s3d2c Qc7s5c4d2c Qd8d8c3c2d 
Qh8d7d6s2d Jh7s6h3d2s Jh7c6d5h2h Qh9h8h3s3c 
Jh4d4c3c2h Jh9h5d3h2s AcJd6h3s3h Ks6c5d5c2c 
Kh6s5s5c2s Ah8s5s4c2s 5s5c3h3d2h Qd8s7h4h4c 
Qc7d6c3s3c KhQh8h7s2h Qc7d5s5h2c Ac9s9h5h2h 
QdJd4d3c2d Th8s3c2s2c Qs7d5s5h2c 9h8c4c3h2c 
Kd9s5d5c2d 7h6c4s2h2d KcQh8d7d2d Jc7c6s3s2h 
Qd8h8c3c2h 9h8s4h3s2d Jh9d5c4d2d Qd7d5d3s3c 
Jc9c6s6h2c Kd9c8d4h3d JcTd4c3c2c Kh6d6c4s3s 
JdJc6s3c2h 6h5s5c3h2d Qd8h8c3h2c Ac9s6d4s3h 
ThTd6d3d2c JsTh6s3s2d Kc6h5s5d2h AsJd7h4c2h 
8h7s3h3d2d Qd8h5s4h3h KcQc8c5c3c Ks7s3d3c2c 
Qh7h7d5h2s Qd8h7s7h2c Kh7d7c3s3c 7h5s3s3h2h 
Ad6s5h4h2h KsTd7s3s2c Jc8h5s5d2h Jh7c4h3s3d 
JsTc7c3c2d 6h5c4s4h2h Kc9s8c4h2c Kd8s5s5h3c 
Ks8h5d3c2s 9s8c7d4d2h AcJs6s4d2s 9c7c5s4d2c 
Js7s6s6c3s JdTh4d3d2d Ks9d8s4s3c KcTc7c3h3c 
Qd8h6s6h2h Kh8d5d4d3s 9s8c5c3d2h Kd9s5h3d2d 
Ah8c5c4c3s Kh8s7d6c2c 9c4d4c3s3h Td9s6s2h2c 
Qd8s5c4h2s QcJc8c4h2c 9d7c4h3s3d Qd8s6h4s2c 
Th6d6c4h2s AsJh7c2h2d 8s8h6h3d2h Jh8h5h4d2h 
TdTc6c3c2h Td9c8c3c2c 6s5d5c3h2c Ad9s4s4h2h 
9c8d5s4d2d Kd9h9c5s2h Qc8d8c3s3h Ks8d7c5d2d 
7s5h5d4c2h Qs8s6s4h3s As7d5h5c2c Ac9s9d5h2h 
Qh8d5s4s2c Ah9d7s6c2c Kd8c3s3c2d 8h5c3s2s2c 
KdQh9h7h2h Kc8s5s4s3d Ac5c3s3d2c Ts8h8d3c2s 
KhTd6c3d2s Kh8s3s3c2h Ad9d4d3h3c QcJc7c4d2s 
As7c5d5c2c Qh8c7d5s2d Kd7s3s3c2d Ac9h9d6d2d 
As5c3d2d2c Kh8d6s3s2d KsTs7s3s3c Jc7s6c5d2c 
Qh8c7s5s2d Js7h6h5c2d Ad8h6s3d2d Jd9c5s3h2c 
Tc8c5c3h3d Kc9s6c4c2d KhQc7c3s3c 8d7h4h3d2d 
9s7s6s6h2s 8d7d5h5c2d 8d5h5d4d3s Qh5s3h2s2h 
KcJh3s3c2c Kh7h3d3c2c Qs8h5c4d2c AdJc4c3h2s 
Kc9c4c3h2h AhQc6d6c2c As7s5s2s2h Th9c4h3d2s 
AhQd8d2d2c Tc7s7c2h2d As7s4c2s2d KsQd9h4d2d 
Ts9s7h3c2s Tc6h6c4s2d 9h5s5c4d3d Kd8d7h4d2c 
Jh9c5h2h2d 9s8d7c4c2h 6s5s4d4c2s 7d6c5s3c2c 
Ks8h3h2s2c 9h7c6d2s2c QsJh6c2h2d Qd6d5h3c2s 
Kc7c6c5c2d 9d7h6d3c2s 7s7c6c4c2c Qh9h5s5c2h 
Jc8h4d3s3c 9h5s5h4d3c AdQc9c3h2c 9h7s5d4c2s 
Kd8s7h6c2h Qc7d6c3s3h ThTc7c5c2c 9c6h5d2s2h 
Jc8c6s3c2s 9h7s4c3h2s QsQc7h4h2h Kh7s6s5s2c 
8c7c5h3s2d Kh7s3s2h2c Jc6h5h4h2s Qs7s7h5d2s 
AdQh7c4c2s 6c5h5d3c2s Jd8d5c3s2h Jd8h6h4s2c 
Tc9d7d2s2d KcQh8s4s4d JdTh7h3h2s KsKhKdTc6d 
QsQhQdJd4h Qs6s5c3h2d QcTh4d3s2h 9h7s4d3h2s 
JhTh4h3d2h Qs4h4c2s2d KsJh7c4c2c TsTh3s3d2s 
Qs9h7h5h2c Th7h5s5h3h Qh7d6h3h3c KhTs8s3d3c 
9h7d4s3s2h Kc5s5d2s2h Td7s7h6c2h QcTc8c3c2s 
Qc8c5s5d2c Qs9s4c2s2c Qc9d6c3h2s Ad7s5s5h2s 
6h5d4h4c2h Jc9s7s7d2s Jh6h4h3c2c 9c6s3s3d2d 
Td8h6c2s2c Js9d5s3s2h Ad5d3s3h2d QhQdQcTd3c 
Qc4c3s2s2h KdJd5d2s2c QcJs3h3d2s Js9c6s4d2h 
Ks5h5d4s2s Ks6h6d4c3c Qh9d8h4c3h Qc7h7c5c2d 
Jc8h7d3s3c KdQs7s7h2c 8s5h5d4s2c Ts6h5h4h3h 
Ad6c5c4c2h KhQs5s3s2s Ah4s4d3d2s Ad6d4d4c2d 
Ts7c6d4h2h Qs7h7c4h2c As8h5d4d3d KhTh7d3c2h 
Td6d4h4d3s 8h6c5d3h2h Kc5h3h3d2d Kd8s8c7c2c 
9c6h4h3h2c Kc8d7s6h2s 9s7d6h4d2d AdJh4h3c2s 
9h7c4d3h2c Kd8h5c4h3s Kh9s5c3h2h Qc8s8d4c2h 
Jd6d5d5c3d KdJs7c6h2h As9h7d6c2c Js7d5s4s2c 
Ad8c5c4c3s Qs6d6c5h2c Jd9h8s4s2s Kh9c8h4h3s 
QdJh3h2s2c 9s6d5h3h2h Th9h6h3s2d 7s7d4d2d2c 
JhTc7c3s2c AdJs7h2s2c Tc6h6c5c2s AhTc5s5d2d 
Ts6h6c4s2d Ad9h6s5c2c 8d5s5h4c2s 9h7s3s3h2h 
KhTc4d4c2s Td7c4c3d2d Ad9h7c6s2s QhTh5c3h2h 
Kh9d7s4d3d 9h7c4s3h2c KhJs7c4c2d 9h9d8c4s2c 
Qd7d7c3h2c Kh9d7c6d2d Jh8d6s3d2s KcQh8s7s2s 
KhTc7h2h2d KdJd3d3c2s AhJc4s4d2c 8h3s3d2h2d 
QhJh7h5s2h 9d6c4s3s3h AcKd9d4d2d Th9c6s2s2d 
AcQd7s4h2h QcJh6c3d2c JsJd4s3c2s Qh7h5h4h3c 
Ts9d5s3s2h Jh7d5s3s3c KcJh5s5d2s Kc8h7h5d2h 
Jd7h5s5d2c Qs9c8h4s2s Qh5d3h2h2d Kd8c5s4c3h 
Kd7s6d4d2c Jh8h8c6h2h Js5h5d3h2d 7s5d4s3c2h 
AcQd6h6d2d KsKhKcJd7s AdJs5s3h2s JdTs6s3s2h 
QcJs7c3d3c Qc7s4c3s2h Tc6d4s4h3c AhTs5d5c2c 
Tc9c7c5h2c 7d7c6d4d2d Tc9c7s3h2c QdJc7c6c2s 
Qc9h5d4h2s Ts8s5d3s3h Qc8s8d7h3s 8c5s5d4h2s 
Qd9s7h4c3s JdTc7c2h2c 8s5h5c4d3d Ah7c6h3d2h 
Ks8h6h3c2c Jc9h8d3c2c AcQd9h4h2s Jh9c8s3h2h 
AhQd7s4s2c Jd9d6s6d2h Jc7d6s5s2h Kh8s5d4s3c 
KsJs6s3s3h Tc8c5h3s3c Kc5h4h4d3s Jh8s8h4d2h 
Jd8c5c3s3h Jd9s5h3c2c 9d8h7s4s2c AsTd7d3h2c 
AcTs7d3s2h Qs8h5h5d2c Ks9s5s5d2h QhTh5h3c2h 
Qs7c4h2s2h 8c7s3h3c2h Qc6s5h5c2c Qc9d7h4s3s 
Tc9s5d3d2h Jd9c8d3d2s Jc9s6h2d2c 7h4h4c2h2d 
QsJs6c3h2s 7c6h4h4d2s KdJh5d3d2d Js9h4s4d3s 
Kc7d3d2h2c Qs8c5d5c2h As8d5c4c3c Jc8s7s4h3s 
9d7c3d3c2d Qh9d7c4s4c JcTh7h3d2h 7h7c6d3h2s 
QhJd7s6h2h AsQc4h3h2d Qs4s4d3d2s 8s5d3s3d2s 
AcKc7c3h2c Qs5s4h4d2c Ts8d5c2h2d Kh9d5s3h2h 
9d8d4c3c2d Td8c5c3h3c Jc9d5c3c2h Js8c6s4d2s 
Ac7h7d3d2h Kd8h5h4h3s Ac5h4h4d2s Jc6d4d3c2c 
Ac9d8h4h3s Jh8h7s3s2h Ad9s5s3s3h Ks8c6c5c3c 
QcTs4h4d2h Ac4h4d3d2h Qh7h6h3d2d 9s6d5d3c2d 
9h6s5s2s2c Qc8d7s7d2h KsJs7d7c2s Td6d4d4c3s 
Td9s7c4h2h 9d9c8h4s2h Td9s7s5s2s Kh8d5s3c2h 
Qs8h5d4c2d Qd7h4s4d3c 9c7d3h2d2c AhTc5s5d2s 
Qd5s4c2h2d AdQc7h6h2h Ks9h9c5d2c Qh7s7h3c2s 
Ah9c8c4d3c Kc8s7c2h2d JhTd3c2s2c 8s5h4s3s3d 
KsJd8d6d2d Td5h4c2h2c Ts9h7h5h2h 9s7c5h3h2d 
Kh9s7s6d2s 7h6h5h2h2c Qc9s5h2d2c Td9c5c3c2h 
Ah6s5c4d2s 8c5c3s2s2h QcJd7d6d2s Kh9s7d6c2c 
9h7h5h5c2d As7d5h5d2d Ks5h4h4c2d Jd8h7s4h2c 
6d6c4h3s2d Kd5s5c4s2h Qd9d6h4d2s 8s7s5c3h2d 
9c7c6c4h2d Th9d4s4c2h AsQc5d3d2d As8h6d6c2h 
JsTd4c3c2c 9c6h3h3d2d KdJh6c4s2c Kh9d6h4h2s 
KcTs8s3h3d QdJd8d4h2d Jh9s7d6s2s Ks9s8d4h3s 
7d5s4d3h2c Jc9c4c3h3d JdTc3s3h2h JcTs7s3s2d 
Jc8s6h4s3s Qc7d7c3d2s Td6c5s4c2h Qh6c4s2s2c 
Jc4c3s3h2s Ah8d6c4c2c KhJc6d4s2d 8h8c6s3h2d 
Jc7c6c4h4c Jc6d5d4s2d QcTc7c5c2d Qc6d6c5h2c 
Qs7h7d4h2d 7c5h3h3c2c JsJh7c3s2d AcQd6s4s2s 
Js9c4h4d3h JdTs3s3c2s Ah9h6c3h2d 9s6s5s4s2c 
Js9h8h4h2c Jh8c3h3c2s Td9s6c3c2c Kd9d4s3d2s 
QhTs7s7d2s Ah5s4c3d3c QhQc8d3s2s QdJd6c3d2s 
Kc6s5h5d2s Qc7h4h4c2c JhJd6c3d2s 9c7d4s3c2d 
Jh8h3c2d2c QsJc8c3h2d Jd7h6d5c2d Qh9h6s4h2d 
KsJh7h3h3d Js8h7h4c3h Ts9c7d3h2c KdJs3d2d2c 
Qh9s6d6c2d AsTd7c3d2h AhTs7s3d2c Qh7s5h3h3c 
9s6s5d3s2c Th9c4s4d2h Jc6s5h4d2h AhJd7c6s2s 
Ks8h8c7d2c KdQd6h2s2d Th7s6h4c2d AhJd7s4s2c 
QhQd6s3s2s Jd6d5h5d3d QhJh4h3s2h Qh9d7c3d2c 
7h6s5d3d2d Qd9c5c4h2s Ac8s7s3s3h Ad4s4h3h2s 
Qc8d7h4c2s AcTs6s4d2s Qc8c6c4h3c Th7h6d5s2h 
AdJc4c3s2h KcTc8c5c3c Qh6s3s3h2s Jc8h6c4d2c 
Ks8d6d3c2c Kd6d4s4d2c KcQc9c7c3c 9c7s6h2s2d 
Td8c5d2s2h Jd7c4h3h2d QhQdQcJh4d 8d6c4h2s2h 
JhTc3s3c2c 9c8c5d3h2c 9h6h6d3c2s Kd9d7s3c2h 
