8s6c4d3s2c 
Qd8h7c5d3d Qs9s9h4d3s Jd8c4s4c3s QdJh6c4c2s 
9h8d7c4s3c QhTh8h2d2c AhJd7h3s2h 8c6c5d5c2s 
Qh9c6c4d3s 8c7d6d4d2h 8s8d7d4h3d Qs9s8s5d3s 
QhJh5h3s2d 8h6d5h2h2c Qd6d5s3h3c 9h8s7h7c3h 
Qs7h5s4s3d AcKs4d3h2h AdQc7c6s2c Ks6c5h5d3h 
9d8s4s4d3d Jh9s3s3c2h Ts8h7c4d3c Th9c8h4d2h 
Jc5s4s4d2d AsJc7s3h2s JhTd4c2s2d JdTd3h3c2s 
Tc8h5d4c3c As8s5s5c2s Js9s9h8s3s Jc7d5d3c2h 
Qs8c6h5c3c Qc8d5h5c2s Kh7s6d4c2h AdJc8c6h2c 
Kh6c5c4s4c Jc6h5h4s3d Qs8d6s5s3s Qc8h8c6c2d 
KhQc9s4s3d 9h6d5h4c2s Td8c7h6h2h KsTc8c5h2c 
Ts9h5d4c2h KhQd8d7d2s Js9c8c7c3c 9c8c7d4s3h 
Kd9d7c2d2c Qs9s9h4c3s JsTh6d6c2h QsJc7h4h3d 
Jd5c4h3h2d KdQc8s6s3s Jc9h3s3h2c Qs9h8s7s2d 
KdQd9d6s2d Qh6h5s4h3h KcQs4d2s2h KcTd4h3s2c 
Jc8h7s3s2c Qc7h7d6d2h Jh8d4d4c3c Qh9c8s7h3h 
Kd8c5d4d2s Jd7c5h3d2c Qs8h8c5s3s 5d4d4c3c2h 
KcJs8d7s3s Ts8h6h4d2c 9d6h4d3h2s Kd7d6h6c2s 
QhJh6h6d3h TdTc7s6s2h JdTs4s3h2c 7s7h6s2s2d 
AhKs6s6h6d 6d5c4h4d3s Qc9s9c4h3c Jh9h5h4d3h 
Qc5h3h3c2d Th8h4c3s2c Qs8s6s4d3h KdJc9h4c2s 
Js8s8d6s3c Ad5d5c3d2h 7s7h7c6s6h Qh9c7c5c3c 
AcTs8d2h2d Ts8d7s5s2h 9d6c5d4d3d JsTd7s6h2s 
Js9s9h6s2d Td7s7d4h3d 9d8s5h4c3h Qh8s7h6h3c 
Js8d5c4s3s 9c7s7c4c3h KcJc9c3s2h Ah6h3s3c2d 
Jd9d7s5d2h KsTd8d5h2d Ks7c6h4d2s Ah7d6s4s3c 
9s5h5c3h2c KcJs8d6s3s 9d7d6h4d3d Qh9s6c4d3c 
6d5s4h3d2c Tc8h6d5d2d Th9d6c5c2c Qc6h6d2h2d 
8s6s6h2s2d Kc8s8c4h4c Ac9h8s5h2h AsKh6s6h6d 
Kc8s8d3c2d 7c6s4h4d3s 9c8h6d4c3s Td8c5s5c3h 
KcJc9h3s2c KsQs9s6s2d AdJs9s4s2h Ah6d4h4c2h 
KcTh7d6d2d Jh8s8d7c3s Qd4h4d3d3c KhTs3d2s2d 
KcQc7s7h3c QcJd6c3s3c Jc8s7d4h4d KhQc9s4d3s 
KhQd7s4c3s Th8h4d3d2c Jd6h5c4s2d Jc9c6h4c3s 
QcJh8d8c2c 8d6d5d2h2c QdTc8s2h2c JdTh5h3h2c 
TsTd6h6c2h 7d6h6d4c2s KcQc7h7d3c Jc7d5d2d2c 
Qh7s5c4s4d 9s8h4h4c2c Th9d4d4c3s KhQh8h5h5d 
As6d5c4h3c Kh9s8c6c3d KdQc9s4s3h 8h7c6d4h2h 
Td9d7c5d2h Js6c5h5d4d Tc9h5s4d2h QsJh7d3h2d 
KdTh8d2s2c Js8h5h5c3d 9d8s8c7s3s Ac6h3s2d2c 
Tc9c7c6c2d As7c5c3d2d 9s8d6h4c3c AsQc8h4h3h 
Ad7d6h5d2d KdTd5c2s2h Qh7c6h4h2c AcQsQhQdTs 
Ah8h6h3d3c Qs9d8h6h2h KsJc8d7h3d 9h8h6s6h3d 
AdJc6s6d2d Jd7d5d4s3d Kc7s5h4s3s Js8s5c4h3s 
Qh8d6s5d3d KhTs9h4h2h 9h5s5d3s2d KdTs7s4c2h 
Ah6c5d4d3s KdJs6h3d2c AhQd6h2h2c Jd7h5d3c2c 
8c7c6c4c3h Ad6s4d4c2d JcTh6d4d2s JcTs4h2s2d 
Jd7s5d3c2c Jc7c5c4d3c AcKh7d6d2d Jc8h7s7d3c 
AcJc4c3h3c Jd9d6d5c2s KdQs5h3s2s Jc9h4c3s2s 
AcTh6d4h3h Kh8s6d4h3h Qh9h6h4s4d 8s6s6d2s2h 
KsTc9c3d2c 6s5d4h3c2c 7h6c4h3c2h QcJs8h7d3h 
Qh8s7s5d3c Jh8h5c4d3h Ts7s6c3h3d Tc8s6c4h2c 
Qs9c7h7d4d 9s8s6s6h3d Kc8h6h5s3h Th9s9h5h2h 
7s5s5d3d2s QhJc8d7s2d 8h7h7d3s2s Jh8c7c6c3d 
Kd9s7d6d2h KdQd7h3s3c KhQsQhQd5s AhJs5s3c2d 
AdTs6h5s2c QhJd8d7s2d 9s5s4h4d2d Kh9s8c5c3d 
Ac9s6h6d4h Jh8s6c5c3c QdTc6d5d2d Td9s7d5c2d 
Tc9c7c6c2h Jc9d8c4h2s Qs9h9c8h2h Kh8d4h4d3h 
Jd9c5h3s3h Qh9s8h7d3h 9d8c6c4h2s AhQs8d4d3d 
Ad7h5h5c3h 9c8h5s5d3d Td6c5s3c2s Qh7s7d6s2d 
Qs8s6h4d3s Jc9h6h3s2s Qs8d8c6s2s Qh7d5s5c3h 
Js5d4c3c2s Js6s5c4s4h 8s7h7d3h2s Qd9h8s7h2c 
9s8d5c4h3h Tc8s6h3h2s KcQs7d4h3d As9h8d5d2d 
QhQc2h2d2c Ts8d6c3s3h Td9s5s4s3s Ts9h6d5c2c 
AsTc8d2h2d Qs9c7h7d4h Jd8d6s3c2s QhTh7s5d2h 
Ks8s8d7s3c Qc6h5s3d3c Td7h6h3s2d KhJd4d3s3d 
Qh7d6h5c2s Kc9s6h6d2c Ks8d6h4s3s Qc7h6c2h2d 
Jd9s8s5s2s Ks7d5h4d3d Ks8s8h7s3d Jc9h9c8c2c 
AdTc6s3c2s Th9s8h4h2d Jd9h6s4h4c Ac9s8s5d2s 
As9c6d5d3d AcJh6h5h2d Ad8h4s3d2c QcTc7c3h2h 
9d8c4s4d2c 8h6d4s3h2s Ad9d4s4d3h Ah9c8d6d3d 
QcTc7d5s2c Th7s5s4s3c 9s8c6h4d2s QsTc7c3d2d 
AcTd7h5s2h Jd8c6h4s2d 9h8h5s5c3h Qh7c5h3c2d 
Kc8d7d5s5d Th7s5c3c2h QdJs7c6d2h As7c6h4h3h 
Tc7d4h4c2d Jc9h9c6c2s Ac9d7d5h2s Jd8d4h4d3h 
9c7d7c6h2s Tc7s7h3h3d Qh8d7h7c3s Ks7d4s2d2c 
Ks8d7d4c2c AcTh7h6s2h 9d8d7c4s3h KhTd9h4h2h 
QhJh4s4h3h QcTh8d2s2h 8h7h5c4h2d Qc8s5d5c3h 
Qh9c7s4d3h 9h5c4s4c2h Qd8c5s5d3h 5d4h4d3c2h 
QdJc8s4s4h Qh9d9c8d2d KdTc6h5s2s AsTc5h4c2d 
8c6h6d4s3h 7s6s6c4h2d 7h4s4d3h3c Js5s4c3c2h 
Jc7s5c3d2s QcTs4s4d3s Ts8d7s3c2c Js7d6d6c4d 
8c6h4d3c2d 9s8d4d2s2h 9d6s5c4h2d QsQh9c3c2d 
Jh9c6s4d3c QhTh6h4h3h Jd7c6h4d3d JhTs6c4c2d 
7c4s4h3d3c QhTc8s2d2c AcTh7d5s2s Jd9s6h3s2h 
Qd8c7d6d3h Kh8d7c6s3d Ks9h9d5c3c 7c6h5s2h2d 
Th9s9h3h2d Jd6s5s4c3h 9s6s6h5s3s Ts9h6c5d2d 
Th9s6c5d2d Qc8h7c6s2d 9s9d8d4c2h JsTc7s3d2h 
KsTh8d4d3c AhKc2s2h2c Ah9d8d7d3d Jd6h6d4h2d 
KdTh7s7d2d Qs8s6s5h3s Td5s4s4d3s QsJd7s3h2h 
8s7c6c2h2d 8h7c5d5c2s QsQc2s2d2c Kh9d8c6s3s 
QsTs9s3s2d QcJs8h4s2s Ks9h8c5c3d 9d8d4h2s2h 
JdTs9s9h9d Qd9d9c5s2d 9c5d5c3d2h Tc8h6s3d3c 
AsKc6c3c2d KcJh8d6s3d Ks9h9c4h2c QdJd8d6d2h 
Tc7s7d4c3c Jd7h6h6c4h Kc8d5c4c2h Tc8d7h4s3h 
Td7s7d6d3d 6h5s4c3s2d Ah6s5s3c2c Ac8s7d5h2h 
Qc9s6h3h2s Tc7s6s3c2d Ad9h8s6s2s Jh9h6s4h3c 
AdTc6s4h3h Qh8h7c4h2c 4s4d3d2s2h Jd9s7d4d3h 
QsTc5s3s2d QsJd8s4c2s Ks9h7d7c2s KsJh8c7d3c 
9h8d4h4d2h 7c4h4d3s3c 8h8c7h6d2h 8h6h6d3d2h 
Jd8d4d4c2c KsJc7h3c2h QdTs5d3d2c QcTc6s2h2d 
9c8d5h3s3c Kh9c8s7c2d AsQh7h4d2c Qd9s8h8c3h 
Jc9c6h5c2s JhJdJcTd7c Th6h4d3d2s Qc9c7s3h2s 
AdTc9c3h2c JdTh7c4c2c KcJh7d5h2h Jc7d7c2h2d 
Js9c6h4d3c KhJh5d3h2s QdJc7d3s2s QhTc6s4c2c 
JsTs4h2s2c 8d7h6c3c2h Qs9h7d7c3d 8d7h5s4d2d 
Jd9c7h5s2c KcTd9h3h2s KdTc9c3h2c JcTh7c5c2c 
7d6s4s3d2d Td9c8c2s2c AdQs7s6s2c JdTd5s2h2d 
9d7d6d4d4c Qs9h8c7d2h As9s7c4s3s QhTh6s2d2c 
Qc6d5s4s4h KcTd8h4s3s Jh7h5d3s2s 8d6d6c2h2d 
Jh6s5h5d4h 8h8c7d3c2d Qc8c6s6d2h Tc6c5h2s2h 
Kd8d5d4c3h Js7d6s4h3s QsJc8h4h4d Jd8d4d4c3c 
KcQc9d4c2s Qs8h7h5d5c 7c6h4c3h2c Ad9d6h6c2d 
As9s5s4d2h Ts9d8c4d2h Ts6h6d3d3c QdTs7s3h2h 
As9c8d6d2d Js7d5s3c2d KcTd7h2h2d Jh8d7s6h3h 
AdJh8s2h2c KcTd9d5d2d AsJc8h2d2c 6d5c4h3d2s 
Qh7s7c5h3h KsTd8c4h2d KcJc5c3d2s QcJs8h7d2h 
8d6d5s5d2h Jh9d6d5d2c KhJsJc7d2d 9h5d4s4d2h 
Th8d4c3h2c Ks8s5s4d3h 9d7c5d4d3d 8s7c5h2h2d 
AsTc6h4c3c Ac9h7h5s2d QcJd8h7s3h As9s5h4c2s 
Qd9c8h5c2s Kc8h6d5d3d QcTh6s6d2h Td8c6s6d2d 
Jc6d4h4d2c KcJs7h7d3d Qd9d4h3h2c Js9c7h6d2s 
Js7h7c5c3c Qh9s7h4s2s QcJd6c3h3c Qc7d6c5h2s 
AdTc7s5h2h 6s5h5d4c2h Jd8s7c3c2d Tc6d5d3d2c 
KcQhQdQc5h Ac8d4h3c2s Kh9h9c5h2s KdQh9h4c2s 
KdTd8s8d3d Th7c5h3s2c Kd9d7c5d2s 7h5s5c3c2h 
Qs7h6s4c3s QdJc8d6d2d QsJc8c7d2c Js8c4s3s3c 
QsTs8h4s2s Ts8d6h4h2h 8h7s7c2h2d 9d9c6s4h2d 
Ac6h5s4s3d KdJd6h3d3c Jh8s6s4s4d 5c4d4c3d2s 
Ts5s4s4c2c 7h7c6h2h2d JdTd7d3h3d Td6h5c3h2c 
QhJh6h6c3h KhQh8d4c3h Tc9c5s4d2h Th9c6d5d2d 
Ts9c5s3s3h Qh9d7d4h2h KsJh6h6d3h JsTc7s4h2s 
AcJc7c2s2d AdJc9c3s2h TsTd8d7d3d Td5s5c4c2s 
AcJh6d3d2h KsJh8h6h2c Ad9h7h5s2c Tc8d6c4h2c 
9h6h5h4d4c KcJc7h4c3c QdTh5d3d2s JsTs7s4c2s 
Th7c5s3s2h Th7h7d4s3h 6c4s4h2h2d KcJc7c6c3c 
Jc8d8c6c3h 9c8d6c3s3h 8d8c7s4c2h Js7c5c3s2h 
Js7s5s4c3s JdTs7s4s2c Tc9c4s3h3d Ks9d9c7c3c 
KsTh6d3h3c AsQh5h2d2c Jc9s7h6d2c Ks9s9c5s2h 
Kh9h4s2s2d AcTs9d4d2d Js7s6s5s5h 6c5h4s3d2s 
8d7h6h6c2s AdTs7s6h2s Qh7s5d4s4c AcJc9c7c2c 
Jh8h6c3c2s QhQc7h4h2d Qs8c7s7d3h 9c8h5s5d3s 
Ts7s6h3d3c KhTs9s5s2s Kd8s6c5h3h AdTh9c3h2h 
KsTc7d6d2d KdTs6h5c2c Jc8s4d3s3d KdJc6s3h2d 
Td9d8d5s2d Ah9s6d5d3d Jh9s6h6d2c 9c8c5h4s3d 
KsJd8s8c3s Jh8h7c6d3h Th9h8d4h2c 8c7h5c4d2c 
Jh6h6c4c2h Jh5s4c3c2h 9d5d4h4c2c Js8d5s5c3h 
Th8s5c4d3c KdJh8c7h3h Jc8d4s4d3s 8c6s6h4d3h 
8d7h7c3h2d KdTs7h7d2d QcTd5c4c2c Jd8h8c7s3h 
TdTc6s5s2h JhTh3c2s2d Ks7c6d4h4d Jd9c6s6d2h 
Th8c7d7c2s 9d7d7c5d2h Jc7s6s4h2h Ts8c5d4s3s 
Qh8s4s2h2d Th8d7c3d2h Kh8s7c6s3d Qd8s5d5c2h 
Ad9d4s4h2c 9h8h7s4d3c 7s7h6d2s2c AcQc6h3d2c 
Js9d7c5h2d Jd9c3h3c2d QhJd8h7h2h 8h7c5h4s2h 
9s8h6d4s3c Qd9s9d7d2c Qh7c5h3c2s 9s7s6s3h2h 
9h9c4h3d2c KhTs5s5d3s Qs6h5h3d2d Qd7s7h6h2s 
7d6c5s4d2d KcJc8c5c2d KhTc8d5s2s Ts7h5c3c2s 
Ts9h4d4c3s JdTc4h2s2c Qc7h7d3h3d AdTs5d4d2d 
Ac6s5h4d3h Jd9h8d6d3d TdTc6d5s2d Ac7c5c3s2h 
Jd9h9d6s2d Td9c8d4d2h Qh8c5h4d3h Qs9c6h3h2c 
KdJd5d3s3d As8s6h2s2d 8c6s6c2h2c Kd9d7c5d2h 
8s6s6d3s2d KdQd7s7h3d 9c8h6d4s3s Ac8c5h5c2c 
Th6s6c3c2h JsTh6d4d2c 8d7h7c6s2s Ks9s7c2s2c 
Qc9h4s2s2c KsJs7h6c2s KhQs9c4d3c QsJs6d3s3h 
KsQs9d4s2h Kc8s7d5h3h Ks9d8c7c2h 9h8d4s4d2s 
KdTh3s2s2h Th9d3s2s2d Th7h5d3d2s Tc9h5h4h3h 
Jd9h9c7d2d Kh8c6c5d3c 9s9d6c4h2d KsJs7h6d2s 
Qd7c5d4d3s 7h6s5h2d2c Js9d8c4s2h Qd8d6h3h2s 
KsJd7h7c3c 8s8c7c3c2s QhTs6d4s2s Jd8h5d5c2s 
9c8h4h4d2d Tc9s6h6c2c Tc8s5s3c2s KhQd8h4h2c 
8s8h7s4d2c Qc9s9h8d2d Qs8h6s3d2d Tc9s3d2s2d 
Ks6d5d4h4d Qc8s8c3s2h AhKs7c6c2c JdJc6h6c2c 
JsJh8c4c3c JdJc9c4c2c AcJs6d3d2s KhJs8d3h3c 
Ks7h6c4c3d QsTs9s6s2s Tc6c4h3h2s Js6h5s5c4s 
JsTc6h4c2c Qh7c6h4d3h Ks8c6d4s3s JcTc6s3h2d 
Kc8s8c7c3h Qc9s5h4s3d Ks9s9d5s2c Th8c7s4d2h 
KhJc8d6c3c 6s5h4d3c2c Qc7d5h4s4h JsTh7s4d2s 
Kc6s6h5h3h KsJc9d7d2d JsJdJcTd7s AcJh5h3s2d 
KsQc9h4h3d Kc6d6c3c2d KsQs8s5s5h KhQhQdQc5d 
Jh5d4d2h2c Jc9h5s3s3d Kh9d7h3d2h As8h6d5h2c 
9h8h6h3s3c 9d9c4h4d3d AcTh8s2s2d 7c6s6c5d2c 
Ks5h4h3c2c Qd9h5c4h3s KsQsQhQd7d QsJs7h2h2c 
Kd7s7c5c3c Ah8s4s4c3c Jh8c6c4s4c AdJc8h2s2c 
Kh8h8c5h2s 5h5d4s4h2h QsTs5c3s2d 9s5c4h3s2h 
Ts6s5d2h2d Kh8s7c4c2s Jh8s7c6h2d Kh8d7d3h2d 
Qd6d4s3c2s 9d7d6d4h4d AhTs6d4s3s Jc7d5h4d3d 
KdQc9h4s3h Kc9h4h3h2c Jc8s6d4h3c Th6h5s5d3c 
7s6s4s3h2h Jh9d7h4h3s Kd9s4s3s2d 9s7s7c6h2d 
KsTc5h3d3c Qc7h5c3h2s 8h8d4s3d2s 9d5d5c3c2h 
Jc7h6h6d4h AcJd6h3h2d Kh8d6d5s2c Qc8c6c5s3c 
Jd9c8h6c3c Js9s9d6s2h Ts8s4h3h2c Jc7h5h3c2d 
7s6h6d5c2c QsJc9d7d2d 9s8c6d4h3h Kd9c8c6h3c 
Js7c5c3s2d Qc8d5c4s2c QdQc7h6h2h Qd9d4s4c2s 
9s5h5c4s2h Js6h5c3c2h Qc9c7h7c3d 9s8h8d7h3h 
8h6c5h2s2h As9c8c7c3c Js8c6h4d2s Td7s7h3s3c 
Qd8c5s3h3d KdTd8d4d3c KhJs6c5d2d JcTh7s7d2d 
QsJh8c7d2c QcJs7d3s2d JsJd9h3h2c Jc3h3d2d2c 
AdTc6h4s3s KhJs9d4s2c 8d7s6c4h2d Jh9s8d6h2h 
As7s7h5s2s Tc6c5d2s2d JcTc3d2s2h 9s8c7h7d2h 
AsJh9h4h2c QsQd7s2s2h Jc6c5s5c3d Jc9h7s7c2d 
6s3s3d2h2d JcTd6s4s2h Kc8c5c4s3d JdJc8s4h3s 
9h8c7s7d2s Td8s6d4h2d 9c8d4s4c2d AcKc3s3c2c 
7s5s5h3h2s Td9s9d5d2d Qc6h5c3s3d Ks9h8c2h2c 
AhQs9s3d2c Qs9s9h4s3d KhQc8s6d3s Jd7h6c4h2c 
KsJs6s3h3d 9d8d7s7h2d Th9h7h5h3h Ah9h5h4c2s 
Jh9c6s5d2c JhTc5c3c2s KcJd5c3c2s Qd8d7d4c2c 
9d5h4c3d2c Qd8d6d4h3s KdJd9s3d2h 5d5c4h4c2c 
Ac9h8h5d2h QsJh6c4c2d As8d6c5d3d Qs8s8h6s2d 
Qh9c8d6d2d AdTs9c4c2c Qd9h8h7c3s Qh6c5c3d2d 
Td8d7d4s4d KdTs4c3h2d Th9d8h4h2c Qc7s6s5s3s 
Kd8s6c3h3d Th6h5d5c3s 5s3s3d2d2c AdQd7h6d2d 
Jd7h6s6h4h 9c6c4s3d2d AsQd7c4d2h 9s8s8d4c3s 
Jh8s5s5c3d Jd8s8h5s2s KsJs5h3s2c Jc9h6s5d2h 
8s5d5c2s2h JcTs3h2d2c QsJh6h3h3d AdJs9h4h2c 
Qs7h6s5d2c KcJd8s8d2h 9d8s5h4h3c Kc6s6c3c2s 
8h8d4c3s3d Qs9d7d4s2s Tc9h6d5d2d 5d3h3d2h2c 
Qd9h9d4c3d Td6d5s5c3h QcJh5d3c2c KcQhQdQc5d 
Qs9c7d4h3s KsTc4d3h2s Tc8d6h4h2h Kh6s6h5h3h 
8c7h6h4h2s Kd9s9h5c3c Kh8d4c3h2d Qh9c7h4c2c 
KcQc9c8c3d QhJs5h2h2d KcJc7s7h2d 7c6c5s5h2d 
JdJc9s3h2h Qd5h3h3c2d QsJd8c7h3h QsJd8h4d2d 
QsTd7d6d2h 8s8c7h3s2h Qd9c6h4s3h Ad9h5s4s4c 
QdTs6s4h2s 8s7h5c2d2c 9s6c4h3s2c KcTd5h5d3d 
QcJc7c6c3s AcJd6s6c2c JsJh6s4c2s KcJs9s6d2s 
Ks9c8h7h2d QhTc4s4c3c Jc9h9d6d2s Qc9s7c3h2h 
Kd5d4h4c2s Td9d8d3s3d 9d5s5d3h2s KdTsTdTc8c 
Ad9d5h4s2d Td8c7h4s3h 9s8h5d5c3h 9h7s6s5s2s 
Ts8h4c2h2c KhJd7c4c3c TdTc5d2s2h Kc9h8c4d2s 
KdJd5d3s2h QcJd8h8c2c 8s6s6h4s3d 9s9d8d4h2c 
KsTs8s4s3h KcQh5s3h2h KdTc8h4s2c QcTd7c4c3c 
Kd9c5h5d2s QhTd4s4c3s JsJh7s4c2d Qh8c7h6h3d 
7s6d4s3d2s QdJd7s3s2s As9s6h6c2s JcTc7c3s3c 
AdJc9h4c2c 8s5h5d2s2c Qh8d5c4s4d KcJs9c3d2c 
Js8h6c4d3s Qc8s7s5h5d Jh7d6d4h2h Js8s6c3h2c 
QdJd6s4d2h Jd8d5h3d2h Th8s7c3s2h Ts8d5c4s3s 
8d7s5s4s3s 8c6c5c4c2c Th7d5s3h3c Js9h8c3d3c 
JcTh9h9d9c Qd9h5d5c2s Jd5d4c3c2d Jc8s5c3s2c 
AsKsThTdTc KdTh7c6s2c Js9d6s6c2h Ad6s5h4c3c 
AdQh9c5c2c KcQc9c6h2c Qc9s8h7s2d Tc9s7h7d2h 
7s6c5h2d2c KsJd9h7h2h AhKs6s6h6c QcJc7h2s2h 
Kd8h7s4s2h As9d7d5c2h JdTs4h3d2c Qh7h6s5d2c 
QsJs8s6s2c Js8s5s4h3d 7s6h4h3s2s QsJh8d7c2d 
Kh9d5h5c2s Qd7h5c4c3s Qd8s6h5c3h Ks9d4d3d2s 
AcQs8h6h2h 9h8c7h5h2h Jh8c4s3s3c AsQh7h4c2d 
Kd8s4s2s2d As9s7h4s2c Ks7c5d4c3c Td8s7s7h2c 
Tc5h5c4h2h Ks8h7h5h5c Qd8h8d5d2s Qs6h5c3s3d 
Tc9s9c5c2c Th7h5s3s2d Qh9c8s7c2d Jc9s9c8c2c 
Kh9d5h4s4h Ks6h6d5d3d Jd6h5s5d4d KhTd6s3d3c 
Ts9h7d7c2d Kc8d7h5s3d QcTd7d3s2s Jd7s6d4c3d 
JhTh7h4d2h Ts9d8h4c2h 8s6h5h2h2c Qh5c3s3c2h 
KcJc9s3c2d KhQd8h4h2s 9d8h4h4d2d Ah9c8c5d2c 
8s7c5s4d2s AsQc8h6h2h Th6h4d3s2d Td7s7c3h3c 
AsJh8h6d2h AsQd7d6c2d Td5c4h4d2c TsTd6h6c2c 
Ad8h6c5h3h Tc9h7s5d2d Qh9c7s7d3s KsJd7h4h3h 
JcTs3s3h2d JsJh7c5d2c Ks6h5h4h4d Td8h7s3h2d 
KhJd7s7c3c Kd9s5d5c2h As9c8h5h2h Td6d5h5c4d 
KdTsTdTc8s Tc9c8d4s2c AcKh9s6s2s Qs7s5h4s4c 
KsJh8s7s3s Qs9h7s3c2c 8h7h7d6h2c Ks8d7c6d3h 
9d8c6s6h2d 9c8h8d7h3h Ac7h6d4d3s KdQc7c5h2c 
Js9s8s7c2s Tc9d7c5s2c Qh8s5d3h3c KhJs8d6s3s 
KhTd8c4c3s AcJc6c4c3s AhJs9d4s2s AsJs4s2h2d 
Kd7h4d2s2h Ks8c5s4s2d KdJh5d3d2s Jh8c7h6h3s 
KhTs8s5d2s Ts8c7d4h3d Jc8d7s6h3s As6s5d4s2s 
Js8c5h5c3d Td9c8s4h2s 8c7d5h4h2h Ks7d6h4d3c 
Jc7h5s5c3c KhTc7s7h2h 7c5d4d3c2c Kc7h5d4h3h 
Js9d7h4d3c Kd9h5d4d4c Qc7d5s5h3c Kd9d7h6c2d 
9s8c7s7h3s Qs6d5s2s2d Jh9d6h4c3h JhTs7d7c2d 
KdTh8h5c2h Jh8s8h5h3h AdTs9h4h2h Th9c5c4c3c 
AsQh9d5d2d Qs8h5s5c2d AcQd3h3d2s Ts7h5h4h3d 
Kd9d5s5h4d KcJd7s4s3s KsJs5s3h2d Js6h5d5c4c 
Qh7d5s4s3c KdQs8h4c3s 9h8h7c5h2h ThTc6s4s3s 
KsQs9d4s2c 5s4h4d3s2d 9h8d5d3d3c AdQh9h3c2s 
Jd9h7s4h3c Jh9d4s2s2d AsJc3s3d2s Jh9h9c6s2h 
Th7h6d3s3c Qc6s5s3h2h Jh5h4d3d2h Td6d4h3c2h 
8h8c7c6c2s 6h5c4d3s2s KsTh9c3c2d Js5d4c2s2c 
KcJh5c3d2c Qh9s8d6d2d QdTc4s4h3h Ts9d8d3h2c 
7h7d6s2h2c Qd8h6d3c2c Qc9h7s7d4s Td8h5h3d2d 
JsTs7s4h2s Qh9s6c5d2c TsTh7d6s2s 9d5s5h4d2s 
9h8d7s7c2c AsQh9c7c2c Th8c7s7d3s QhTs5h2d2c 
Jc9d5s3s3h 8c7s7h3h2c TdTc7s6d2d Ts8c6c4h3c 
AcJd9h4h2s Td8c5h4d3d Qd8h7c6s2d 7d6c5s5d2h 
AhTc6s5s2d 8c7s6h3c2h Kh9c8s7d3s Qc8d7h7c3s 
Tc7d7c3h3c KcJc6s4h2c JsTc4d3s2h 8c7d5c4s2c 
Qh6h5h5c3d Td8s6h3h3c JhTd7h3c2s Jc9h6c4d3c 
JcTh6d4h2h 8s7s7d6s2c Qd7d5h4d4c ThTd6c5c2s 
9d7s7d5d2h Kc8h7h4d2d Kd7s7h5s3s JhTs7h5h2h 
9c8h5s3d3c Td8c6d4s2d AhJh5s5h2h KdJd7s3s2d 
Th8h7s7h3c Td7c6c3s2d Kd7s7d3h3c AsTh7d5c2c 
Jc8s5d5c2h KhTc6d5s2s Ah9s8c6s2s 9c7h6h5h2h 
KhJsJhJdTc 9c8h5c3s3c QcTs6d4s2s 6c3d3c2h2d 
6h5s4d3s2c Qc9d4s2s2c Ks9d6h6c2s AsTd6h3d2h 
Th9d7s7c2c Ah6d5d3s2s 9c8h6h4s2d 9c5d5c3h2d 
8c7d6h3c2h 9c8c5d4s2h AcJs9s4s2h Ts8d7c4h3c 
Qc9c6s3c2s Jc9h6d5s2h 8s7d6c2h2d Kh8s5h4h2d 
AdJc6h6d2d Td8d8c5d3d Tc8s5s3c2c KsQc7s3h3d 
Jh7d5h3s2d Js7d6d4h2h JsJhJdTh7d 8c7s5s5h2d 
Jd9c7s4c3h KcJd8h6h3s Kd5c4c3h2h 8c6d4h3c2h 
Qh8h7s4s2h Ks9s7d6c2s 9c8d4h4d2h Qs9s7d3c2d 
Qd9s9d3d3c Td9h8d4d2s KhTd5d3s3c KsJc8s8d3s 
Th7s5d3d2h KcTh7d6s2d 7s7h6c4h2d Kd9h7d3h2d 
Jh9s9c7h2h Th7c5h3s2s KdTh6s3h3c Ac7c5c3d2h 
Ts9c8c2h2c JsTc5c3c2d Js8h4h4c3c Js6s6c4c2s 
Qc9h7d3c2d 8h7h6h4s3h QhJc6s4s2d Qc9c7h3s2h 
7s5c4c3s2s Jh6h5s4h4c Qs9h5s5d2c AsJd8h4c2h 
AhTd6c5d2s KsQh8s4s2c Ts7s5c3d2d Jh8s4s4c3c 
Qd9d8h5d3d Qd8d7s4d2s AdQs5s2h2c 9c8s4s4d2d 
KcJs8h6s3s Qc9d8d5d3d Jc9d6h4h3s Jc7s5c2s2h 
QsJc5h5d2d 8d7d7c3c2c AcTs7d5h2h Jh9h6h4d3s 
Ks8d7h4h2d Jh7s7d5s3s 9d8d5c4s3h Js8h4s4h2s 
JcTs4s4h2s Qs9s9c4h3s Ah6h3d2s2c Qh9s9h7h2c 
Qc6s5d3h3c Jh6c5h5d3s KsJd7h7c3h Th8d5c4d3s 
QhJh6s6h3h QdJh8c7h2h 9c7s7c4h3c Jc8h8d7s3d 
Qd9h5c4s4c QcTc8c5c3c 9c8d4s4d2s Js9c7d5h2c 
Jh8s8c5s2s Qs9c4d3s2d Qh9d8c7d3s As6c5h4d3d 
Jh7h5h5d3s Ts9c7s5s2h 9h7s5s4s3s Jc7d5c3s2s 
Qc8s8h5d3h JhTd4d3s2c Kc8h7s5d3h Tc7c5h3h2s 
Qs9c8s5s3s AhJd8s2d2c 9h9d6s4c2d Qd9h5s4s4c 
