KdQsJs8s3s 
Ac9d6s5d3h Tc6h4h4c3h 9h7c4d3d3c Kd9h7s7h2s 
Qc9h8d5s3h ThTc8c5s2c KcQsJh8h3h Qc9s7h5h5d 
Jc8d5h4c2s 5s5d4d4c3h Qh9c7c5c3d KsQh6d4h2h 
JdTd8d6s2d QdJs9s4s4c Kd6h5s5h4c Qc9c8d8c2h 
QsQc9d3c2c Kd9s7h6h3h 9s8c7c6c3c KhTh8h4s4c 
Th9h5d4c3h 8h8c7d6s2c As9d7h6c3c Jd9d5c3d2c 
ThTd8s5s2s AsJc9d7d2d JdTs4h4d2c KsQd8h7c3d 
Jh9d7s3s2h JdTc6d4d3d 8c5d4s2s2d Js8h8d4h4c 
QhTh6c3h3d KsQd9d8h3d 6s5h5d2d2c AhQc5s3s3d 
KdTh6c2h2c KsQsJs5s2s AsJd6d5h2c KsQs5s4h2s 
9d7h5d3d3c KhQc3s3h2d Th6d5s4c3h KcQc6s4h2c 
Ts6h6c2s2h Ah9s9c4d4c 9d8d6s6c4d AdQh8h7h3h 
Jd8h7s5c2d JsJdJcTc8s 9d7c5h3s3h KhTh8c4d2h 
Kh5h4c3s3d AsTs7s2h2d 9s8h5d4h4c Jc9c7d4d2d 
Ad7h7c6s3h Th7s7d2s2h Qh9h9d7s3h Qc9d9c8h2c 
KsTd9c5h2c Td9c4d3s2s Ah5h5d4c2h AdJs8h4c2s 
Kd8h4d4c2h Kh9c7s3h3d Js4s4h2h2c 9d5s4s4d3c 
9d8c7s4h4d AdTc8h4c2c 9s7d5c4h3h ThTc8s5c2c 
Td9s6s4h3s Js8c7h3h3c KcQh6s4h2h KcJs5s3h3d 
QdJd9d7h2c AsJs8s4h2s 9h8c6h6d3s ThTd7s4c3c 
Js9s6h2h2d 9d8h4h3s3d 8c7c6c5c2s KcTc4h3s3d 
Jd9s9c6h2d 8c7c6c4s4c Th9c8d5s2s TsTc9c3h2c 
KdJc8c5c3s QdTh7d3d2h Qc9c7d5c4c Jh7c6s6d4d 
Ac5c4s4c2h Jd7h6c5s3h 6h6c4h3c2h Td8s8d5h3d 
Ts5d4s4h3h 9c7s5d4h3d AhQc5d3s3d QdJc8c7s2h 
QcTd9h3s2h 8s8d7c6h2s Th8c5d2d2c 9d7s5d3d3c 
JsJd9d6d2d KsJs8s5s5d QsJd9s4s3s Qh9s5s5c4d 
KdTs6h3c2d 9h8s8h2h2c Qc9h7d7c3s 7s7h4h4c3h 
Ad5c4d3h2d KsJc8c6d3h Ac7s7d3h2c KdTd5h3d3c 
JsJh6d6c2h Kd8d6h3h3d AsJc6c5d2h AdTsTh3c2s 
Kc9h6s6c3c Td8s8h7c2d Jd8s5h3d2h QdJh8h6s2h 
Jh8d5h4s3c Kc8s7s5h5d AcQh9c4c3c KcTc8s6c2c 
QhQc9h7h2h Kd8s8c5h5c QdJs6c5h2h Ad9c7h6s3s 
Ac6h5c2d2c KsJs7c2d2c As9h8h3d2d JcTc6h5d2c 
Kh7h6d3s2s Ac8d7c3s2h KdJh9s4s3s 8c7d6c4s3c 
Tc8h5c2h2c 7d6h5s4d2c Ah9s9c5c4c KhTh9d5h2h 
Qs9d8c5d3h AcKs7h6h2d 5h5d4h4c3s Kd7s7h6d3d 
Tc9s6d5h2c Jh8c4h3s3c Kc8d6c4h4c QhJc8h7h2d 
8h7c6c4s3c AsTc8c4h2c TsTh6h3h2s KhJd6d4d4c 
JdTh8d3d3c Ts7d6d5c3d 5s5c4h4c3d Tc8d7h6c2s 
Ah9d8d8c2s Qd9s8d7c2h Td7s5s4c2c Td7h7c4h2c 
9h7s5h3h3c Qs7d5s5h2d 9s9c8s7s2h JdTd6s3s2d 
QdTs5c4c2h Ks7h5h4d3c TsTc6c3d2d Qd6d4h4c2h 
6h5d3h3d2c Ks9h7h5h3d Ts7c5s4s2c AdJc9h4s3s 
9c8d7s6d2d Ah9c6c5d4c Qs9s9d4c3h Ac8h6d5d3s 
QsTc8d4h3h Jc9c8d6h2c KdQh7d6c2d Th9d5h3d2h 
TsTd8c6c3c QcJs6c4h2c 9c7h5c3d3c AhQs9c7c2d 
9d8h8c3s3c Qs8d5h5d2h AhQs9h3d2h Qh9h8s8h4d 
AcQd6h4s3h Qh8c5h3c2s 9s8c4c3s3h Ks9c8s5s5h 
Kc7s7d3s3d KsJd7s4c2h Kh9h9d8s4h Qh7d6s6c5d 
Qd9c7h5s5h Kc9c5c3h2h AhTc8d4s2c 8c7h7c5s2d 
AcKs7h3c2c Ks9h6s6d3s 7s5d4h3d2s Th9s8s5s2d 
Th8h5d4h4c 9d8s7h4d4c Qs9d6s6c2h Ks8c6s4s4d 
Ac7h5h5d3s Qd7c5h5d2c Jd8d5s3c2c QdJh9s4c2h 
Ts5h4d3s3d KhQh9h7d4h 9d5d4s4c3c Jd8c7s7h4c 
KhJh9h8c2h JsJd5h4s2s 8h7h6s6c3d Js5d4d3s3h 
QsJs9c7s2d Th7d7c4d2c JsJc7d3d2c 7s7h4h3h3d 
JhJc4c2d2c AdKs9s3c2h Kd9c7s7c2s QsTh7c4d3d 
Tc9h7s4s3s KcQhJd8d3d As7s6c4s2h Tc9s6h5s2d 
JhJd4d2s2d QdJs9c3h2s 6c4s4d3s3h KcJc4s4h2d 
KhQc9s4d2h AdKd7c3d2h Kd9c7h3s3d KdTh8s5h3h 
QcTd8d7s2d 9d7h6h4h3s AdTh5s3s2h Jd8c5s3d2s 
Kc7s4h4c2s Qd9s9c8c3h Qc9s6h6c2d Jh9d5c4s4d 
8s7h4s2h2d 9c8s7d6h2h As7h6d4s2s KdJh7s5d2d 
8h4h4d2s2d Jc9d5h4h3s Kc8s8h5d2c Ks9c7c5c3c 
9c7c5d4c3h Js9c4h4c2s Qs9h8d5c3h Qd6h6c4s4c 
KhTc5c4c3s 9s7d6d5d2c AdJs6s5h2c Td6s6d5c4d 
Kc8s7c4h3d KsKc7h3d2h As8c7h5c3c AdTsTh3c2h 
Ad9h8h8c2s 9c8h6h3c2c Js8d6c5d3h Kc9s8d7c3c 
Ts9c6d5c2h AsQc6c4d2h KcQs8d5c2c Td8h7h5h3s 
KdThTd3d2s Qs9c8d5s2s Jd9h7s3s2d KcQc5h3s2c 
KsKdKc6s3d TsTh9d4c2c 7d7c6s3d2s KhJh8h4s3d 
KcTd8c4c2s Qd7d7c5c2d Kh8d6c5h2h Kc8d4s4c2d 
Td7c6c5h3c Kh8d7h4d2h Qh9d8c6s3c Jc9h6c4h2c 
Js6c5s5d4h Jc9c8d7s2c Ad8c6s6c4c Tc6s6c5d4c 
8h7c6h4h3d 7h7c4c3d3c As7d7c4c2d AdQs5h3h3c 
Js8d6s3d3c QdTc8h4s3s Th9h6h4h3d Ac7h6c3d2s 
QcTs9h4h2h Jd9c5s5d3d QcJd9h6d2d 9h7c6s3h3d 
Jc9d6c3d2d KhQc9s8d4d 9s6s5s5d4c 9s8s8c4s4d 
Ah7c5s4c3d QdTc7d5h2s Qs9h6h6c4d KsJd8d6c3h 
AdKd4d3c2d Qc8c6s5h3c KcJh6h5h3h Kc9h7h4c2c 
8s5h5c3s3d Qd6h4d4c2h Kc9c8s6d3c KcQc5c3s2d 
QdJhJdJc9h AhQs8d6c3c KdTd8s6d2d 7d5h4s3h2d 
KdQd8h5d2c Qc8s8c5d3h KdTs6c3h2d Ah7s7c3d2h 
Ts6d6c5h4s JsTd4d3d3c 6h5c3h3d2d AsJh3h3c2c 
Ad9h8c6c3s Kh9d6h5h3h Qc8d6h6d4d Qd8s6c4s2c 
JcTc9c6d2c Js8h4c3s3c AhKh7s2h2c 7c6d5s4d2h 
QcJc4s3h3c QcTd8s4h3h Jh8d6h3h3d KcJc8d6c2s 
Th9h5c3c2c KdTc9s5c2c 8d7s4d2s2h Th9c6d5c2s 
KdQc5h5d2d KcJs9s6s3s 9s7c6d3s3h Ah9d6c5d3s 
As9d8c5h2c Kc6d5c4c3c 9c5d5c3s3h Ts5c4s4d3d 
JhTs6h5h2c Jc9s7c3d2d QdJh9s6h2h 9c6d6c4d2c 
KcQs9d4h4c Qs8h7s4c2c AcKc9c5d2c Tc6d5c3d3c 
AsKs9s5h2s AsQd6h4c3h KsQh7s4s4c Td9s7h6h2h 
KdJd8h8d4d KcQd9s8h4h Qh9d7d5d3s 9h5h5d3s3c 
Jd9d5d4c3s KcTd8s8d2h AdQdTd4d2d 7c6d5h4c2s 
Qh9h7c3h3c Kd8c6h4h2c Tc9h9c5c2s JsTh4h4c2d 
KhTc6c5c2s 7s6h4c2h2c AcJh6c4s2c 9d5d4s4c3s 
KcQc5d2s2h Qh9h9c8d2h Td6d6c5h4d Jh7c6s5d3d 
Ks9s8s8d4c QsJs6c3h3d Kc9c7s4s2c Kd9d8c6s3d 
Td7h5d4d4c KcQc6d3s2h Ac9h6h6d2d KhJd8d5d5c 
Ks9h9c7c4c Kd8h8c5s2d Ts8s8h7c3s AhTs8c4c3c 
KcTc9c5h2c AcQc9c2h2d Tc8h7s5d3d Td9c7s6h2c 
Tc9h8c7c2c QsTsTd6s2s Jh4s4d2h2d Ts9d7s6s2h 
JdTs7h7d2c KsJs7s4d4c 9s9c8h5s2s Jc8h7d5h3s 
7h7d6s3h2s Kd9d9c4h3s Ah9d6s5d3c QdTd7s4d3d 
Qc7d5s5c2d KcQc8s4d3h KdTc9s3s3h QdJd6s3h3c 
JdTd6h5c2d AdQc7c6h2s 9h8c7h5h2d Ah7h6h6c3h 
Qh9c7c5s4c Ks8h5h5c3c KdJd7s5h2d 9c8d6s3s2d 
6s6h5c4d2s Qs8d8c6s3h Qh9h5d2h2d QsTs8d5s3s 
JdJc8c4s3c Jc7c6d4s2s Ts7d6d5d5c KdQc6h6c3c 
TdTc8s5d2d AdJs4s3h2h Kc8s8d6s4s Ah9s6s6d2d 
JsJc7h3h2c Ah7h5s5d2h QdJd7c3c2h KdJc7d4h2s 
9c8h4d3h3c Jd8h7c5s2d Th9h5d4s4h 9s7d5s5c3s 
AcJd4h4d3s Ks9h9d7h4h QhQd9c3h2h As8s6s5s3h 
Kh9s6h3s2h 9d8h6d6c3s JsJh8c7c3c AhJc4s4c3d 
9c6c5d5c4s Jc9c8s6c4c QhJh8h5h2s QdTc4s4d3d 
QsTs5d3h2c Qs9c8h6c2d 8c5d4h2h2d QsJd8s7s2c 
QsJs9s9c2s KdTh9c5h2h Qd9c8h6c3s Td9s6c5s2h 
AhQc6c4s2d 7h6d5c4s2h Jd8d5s2s2d 7s6h5d4d2c 
6h5s3s3h2d Ts9c8c5c2d Qh9d7h6h4h 7c6s5d4c2h 
Th9s3c2h2c JhTh8h6s2h AhJc8d4d3s KhJsJh6h2h 
KsJs8s6c2d Js9h8d6s3s Js8c7h6d3s JsJhJdTd8s 
Jd7h4s3s3d AdQh6h4c2s Kc6c5h3d2s JcTs7h5c2c 
Jc8d6h5d3s QdTc6d4d2h AdQc5c3h2s 9h7h6c2h2c 
AdQh8s4h3h AdJc7c5c2s 9d9c6s5h2s Qc6c4s4d2d 
Tc9h3s2h2c Kd7c6s6d3d Kh7s6h3d2s Th7d5s5d4c 
KhQs8h4d3c Jd9c4s4c2d Jc9c5h4s4c Jd9h8c6d3d 
Jd8s4s3s3d Tc9s7h6d2h Jc9s8h6c3c 9c6c5d5c3s 
Qs6c4s4d2c Qd8s4d3s3c KsQs6c3d2h Ks9s8c7h2s 
9h7d5d4c3d AsQs9s4h3s As6d6c4c2d Td9d3s2s2h 
QhTh6c3s3h Qd9d8h3h2d AhTsTd3c2s AhKh8h4c2h 
Ks9c4s3c2h Qs6s5h4s4d JsTd5s4s2s Ts7s6d6c3h 
AdJc8s8h2h Ks6s6h3s3d Jc9c7d3d2h Ac5s5d4c2c 
Js8c6h6d4c Js9s4h3c2h QdTh7h2h2d Td9c6d5d3d 
KdJd4c3s2h 8h8d7c2s2h Qc8c6s3d2d AdTs6c5s3s 
Qc9c5h2h2c Qc7h7d6c3s KsTd8d6d2h Th8s7s5s3d 
AdTs5h4s3c QhJc8d8c3s AdTh8s4c2h 9s5c4d3s3d 
Qd9d5s2s2d Th9s5c4c3d JdTs8d3d3c JsJc7h3h2s 
Jh8d5s3d2h 8h4s4h2s2d Kc9d8c4d2c Ks7d6s3d2d 
Qs7c5s5d4s Qh9s7s5s4s Jd8h5d4c3s As7h6s3d2c 
Js9s5s4h3d Kh9s6c5c3c Qc9h8c5c4c AhKs7d6d2c 
9h9c8h7h2s TsTc6s5d2h JcTc8c3s3d QsTd7h5s2c 
9d6h5s4d4c Td7h6h5h5c Qh9s7s5c3s AsQh7c3h3d 
Th9d3s2h2d 9c8h7s7d4h 7d7c5c2s2h Jh7h5s4h2s 
AdKc3s3c2c Th9d3h2d2c 9h8d7s6c2d Ah4d4c3h2s 
Td8s6h4d3c Qh8d4s4h3d Ts9s3h2h2d KhQs8s6s3c 
QcTd7h5c2s QsJh9d4h2c KhJc8c7d2s Ts7h6h4d4c 
Js9h7d3d2s AcTs9d5d2h Ks8d6h6c3s QsTs9s4s4h 
KdJd8s8d4d Qd9c7c5h4c Kc9c8h6s3c KdTsTd3d2c 
9s7c5s3c2s Ks8h8d5d4c 9c7d5d4d3s Qd8s4d4c3c 
KhQs9s7c2d 7d5s5h2s2c Tc9d7s6s2h Ah7h6h6d3h 
Kd9s9c7c3h Ks8d7s4h3c 9h7c5d4h3h Tc7s5c4c2s 
QsQd7c4h3c Ks8h5h5d3d AhTd8d3s3c Ts9c8c5h2c 
AcJc8d6c2c Ts8h8c7d2h Ac8h7d5d3d KsJs8d6h2s 
Js7s7d4s4h QhTs5s5d3s Ah9d6c4h3h AsTd6c5d3d 
8c7s7d6s3s QcTs8s7h2s Qc8c5s3d2s KhQh6c3s2d 
KsJh8c5h2d KsTc9h5c2c Td7d6h4c3d JsJh5s4s2d 
QhJs8d8c3h As8s8h7s2s Kd6c5d4h2d KcQdJd8d3d 
Kh9h8c5h5d JsJd6s3d2d AdTd7d3d3c Jc8d7s5h2c 
JcTs7s5s2h KdJsJc6s2s 8h7d6h4c3h JsJd7h3h2s 
8h6h5h4h2c 9c7d5h3s3h 7c6c5c4d4c AhJh8s6h2h 
9c7h5h5c2h 9h7s5d4h3h JhTd6h5h2c Jd8s6d3s3d 
Js9h8h5d2h Ad9c6c5h4c AhQs6c4d3c Kd5s5h4s2h 
AhKs3s3c2s Qd9c8c6h2s Th8h7h5h4h KdQd5d3c2s 
JdTh7s6d2c 9d5s4s4d3h QdJc5s3h2d Td9d5s4c3d 
AhQd9c2s2d AcKsKdKc7c Ks6s5s4h4d Ts8h7s5d3s 
KhQh5h3s2c Ac7s5d4s3h 9c5c4h4d3h KhQc9c7s3c 
Ks8h6s6d2c Js7d7c6h4h 9s7c5d5c3c 8s6s5s4d3s 
9h5s5h3d3c 9d7h6h3s2d AdQs7s6c2h Ad8s8d7d2d 
7d6s5d4d2h 9c8h7d4s4c Tc8d8c7s3c 9s7c6d6c3c 
Kh7s4h4c2s Th7d5h4s4h Ks5d5c4c2d Th8d6s5s2c 
KcQd9h4s2c JdTc5s3h2d Th8d7s5h3h JsJc8c4h3c 
Tc7d6d4d3h Ac5s5h4c2c KsTd6c5d2h 8c7h5h4h3d 
JhJd8s6c2s QsTh7s5c2d 9c5c4h4d3d Td9h5d3h2d 
9c7c5d5c2d AdQd9d3h2c AhJc6c5s2d 9c7c5d3s3h 
Kh8s7s5d5c AdJs5d2h2d Jc7c6s4h2h As8d8c5d3h 
9s9d8h5d2d Jd5h4h3s3d Ks8d4s3h3d Qd7s6s5h3s 
Qd9c7c5h3c AhKhTh6h2h 7s5d5c2h2c Td6s6c2d2c 
Kd9s4d3s3d KcJh9d4d3d TdTc5h3s3h Qh9s9c4c2s 
KcQsTd3h2h Qh5h5c3s3h AcJs8d6d3h 8d5h4s2s2h 
Jh9c5d5c3s QcJc8d7s3c KhJs8s5d3s 6h4s4d3s3c 
AdQd9d3c2s 9s9c8c7d3c Qd7s7c6d3h 9d8h7d4d2h 
Qs8s5s5h4c QdJd7d5d3h Ts8c7c5c3d Jc7s6h5d3s 
QcTs8h4d2s 9c7c5s4c3h Qh8s4c3h3c Ah9d9c4s4d 
Qd8s6s6c4s AcTd7d4d3d Jh9d5s5h3h Jc7h6s4h2c 
7h6c5s4h2d 9d6s6d4d2s AsJh8d4c3d Ad7s5c4s3h 
Kd9h6s5s3s Kc9s7c5c3c KdQs8s6s3c Ks9s9d6s4s 
QhJh9h5s2h 9s7s5h3d3c JcTh8s3c2d JsJc4c2h2c 
QcJh9h4s4h Jd8c5d4h3s 6h6d5s4c2d 8s8d7d3h3c 
Jd9s8h8c3h JdTh5s3d2c AcQs8h6d3d 6c5s5h2h2d 
Qd9h6h6c4s KdTd3h2h2d Th8s6s4d3c AsJs5s3d2c 
KcTs8c4c2h AcKs3s3d3c 7h7c6s3c2s KdJh8h6c3s 
Jc9s8h6d3h Ks9c7d3s3h Tc8c6h3s2h 9h7d5c4h3h 
Qs9s8d7s3h 9c7h6s6h3h Kd8s8h5s5c Jh9h5c3h2c 
Kh9h9d8h3c Qs9h8c5d3h QhTs6d5d2c QhQd7s4c2h 
9h7c5s4d3s KcQc8c5s2h 9h7c6h3c2d KhQc6d6c3c 
QsJs9s7c2h As7s6d3h2c KsQs5d3h2s 9d8d8c6d2h 
Ac6s6c2h2c Qc9s8s6s3d Ks9s5s3c2c 7c6d5c4c2h 
KhJc8c5d3c Qh9d7s5d4d 9s8h6h3s2s TsTc8h5h2h 
Jc8d5c3d2s KdQh9s8c4c 7s6c4d2d2c Ts7h7d4h2d 
Kc9s7s7d2d AsQh8d7d2d Qc9d8h6d2s Ks7c6h6d4c 
Kd7c5c4s3h KhTs6d2s2d Ah9h8h4s2c KcTs6h2s2h 
AcTsTh6d2h Ts9s8h7s2s Ac8d6h5h3s 7h6c4d2h2c 
Qd7h4d3s3h Jc9h7s4s2h AsKs7d3s2c Qd9c8s5h3c 
Js5c4c3s3d Kh7d6h3d2d AdTh7c4c3c Ts7h7d6d3d 
Kc7s6s3s2c Ts6c4s4c3c AsKs9s3c2h KsJc8c7h2d 
AsQh6c4d3c KsQd9d7h2c Qd5c4d3c2d Jh7s6d6c5s 
TsTd7h6s2c KdTc9d5d2d Jh7c5c4d3s Jc9c6d3h2h 
Js4s4c2h2c Jc6d6c4s2d ThTc4s4d3h 9h7d5h4h3c 
Qs8h8c6s3d KsTd5c2s2h AhKh8d3h2s KdQd8s2s2h 
Kd9d7c4c2d QcTs7c5d2h Jc9c4d3s2d JhTd8h2h2c 
Jd8c6d3d3c Jc9s5s5h3d QdTc7s5d2h Qs7h6d5c3c 
6d5s3s3d2c KhTd7h4h3h Kc8h7s6c2c QsTh6h4h3h 
6c5s3h3c2h Th9h8d2s2c QcJc6c5c3c QdJs6h4c2s 
KsQh4h4c3h Js4h4c2s2h QsTs5s3d3c Qs9h9d4h2d 
Kh7c6s6d4s Qh9h5s3s2h 9d8h4s4d3h KhQd9s8c2c 
KdTd5s4d2h 9d9c8d7d2h KcQh9s7d2h AhQd8c7c2c 
Th9s7d4d3c Js6d5d5c2c Tc8h7d5c3c 9s8c7h5d2d 
KcJc8c5s3c Ts8h7d5s3s As7h7c6d3c Jh9c5s4s3d 
KsQc3s3h2d 7d6s6c4h3h Js9c7d4d2c Qs9d9c7h3c 
KhJs9c4s3s Qd9s8c7d4d Th9d5d5c4d Jh9h9d6h3h 
Tc9h7c3s3c Kh7d5s5d4c KcTs8h6s2s ThTd9c5c2c 
KsQc9d7h2c 9h8d4s4h3d Td5s5h4h3s KhJh4d3c2s 
Kh8d6s5h2h Qs7h6h5c3d QcJs9h3d2s KcJc8h8c4c 
QdTc9d5d2d KcJc8h6c2d Kc9s8h7c3c KhJsJd6s2s 
8h8d6s2h2c Tc9h6d3s3d KsTd8s4s2h Jh7s6d4h4c 
As9h8h3c2c Qc6s5h5c3d Jc9d6c4d2c Qd8s8c7c4h 
Ts8h7h5h3c KsQdJh8h3h JsTh6s5s2d AdJs6d4c2d 
KhQc9s4h4d Js9s8c6h2s Ts7d5d5c4h Jc6h4h3s3c 
AsJh8s3d2s JcTh8c3d3c QcTc6h3d3c Qh8d8c6h3s 
QcTd4s4c3c 8h7h6s6d3c AsKc7h3s2s Kh9s6h6d3h 
QdJh7s4h4c As9d8h8d2c 8s7d5c4h2c Tc9d3c2h2d 
8c4d4c2s2d KhJd9c4d3d 9c6h5s4s3s QdTh6h5s2h 
Th7h6d4s4h KsQs8d5c2s Jh6s4s3h3c AcKs5d3h2h 
7h5c4d3c2h QcJc9h6d2c Qc7h6h5s3d Th7d5h4h4c 
Qc8h5c3h2s Tc8c7c5c4c Ts9h6c5d2s AdTs8c6c2c 
Qc7d6d5s3h Qd9s8h6h2c Ks6h3h2s2c AdQs7d2h2c 
KcQc6d4s2c Th9d8d5d2c 9h6s6d4h2d Kc6s5d3h2c 
9c6s6d4c2s AcTs8s4d2s Jd8c4h4c3d KhTsTc7s2s 
7s6d5s4s2h KsThTc7h2h JsTh7c5c2d ThTd6h3s2s 
KhThTd3h2s Kd8c4s4d2s JdTd6c3h3d AsTc8d4d3d 
Ts9s7d3s2d Td5c4h4d3c 9c8d7s4h4c KhQc4d4c3c 
Kd5s5h4c2d Jc8c6h6d4c 9s8h4s4d3h AhTd7s3s2d 
9h7h5h4c3s JsJc5c4c2h 8c7h7d4s3h TsTd4h4c3s 
Tc9c7c6c4c 9s9c8d6d3d AcQs6d4h3d 7h6s4c2s2h 
7c6s6c5d2h QcJsJdJc9d 9c7s5h3h3d QhQd4h4d4c 
JhJd6s6c2h KsJs7c5h2s KsTh5d2s2c QdQc8h7h2h 
Tc9d7h4h3s QhJd8d8c3s Ts9s5c4s4d Qh9s9c8s3d 
KcTh5c4c3c Jh8s4h4d2d Ad9h7c6s3s QcJd9h3s2d 
9s7d6h6d3d ThTd7d4s3d Qc6h6d4s4d AsKs9s6s3s 
KsJs8d6s2h Td7s5h5d4d Jh9d7c4c2d Td7s5d4h4d 
Qh7c6d5s3s Tc9s4c3h2h Ad6s6h5s3c As8c7s4s2h 
QhTs7s6d2c 8s8d7h6d2c Qh8d7h4d3h Ks6h6c4s2d 
Ks8c5h5c3h Jc8d7s3s3d KdJd4h3s3d QhTd7d6s2c 
TdTc6d3h2h Qd9d8h3h3d Jh9h6c2s2c AsJh8s3c2s 
QsTh9c3d2c Kd8d6c3d3c Kh6c3c2s2h AhKc7s3h2h 
Kh8d8c5d4s Qs9s5c3c2s Qs9h8d5s2s Th8s8d7c2s 
5s5c3s3c2s 7c5s4s3d2c Qd9d8h8d4s 7s7h6c3h2c 
Qd9s8s6h2c Td7s7h4s2h QcTh8s8d2h Jc7h6s6d4s 
AhJh8c6h3h Kc8h6c5c2s QhJs8s8c3d Tc8h8c5s2d 
Qc9s8d7c4c 9d7h6h3d2h 9d8s8d6d2c 9c6h5c4s4d 
Qs9s6s6c3h QhTd9h5h2h QsTh6s3s3c AsKd3d3c2d 
Jc9d7s3c2d Ks8d6s4s4h Js7d6h6c4c QhQc9s9h9d 
Jc9d7s4h4c 9d7h6h5c2s AhQc9s5d2d Td6d4h4d3h 
9c8s7c3h2s Js8d5h5d4d Ts8h7h5c3h 9s8h8d3d3c 
Ad9d8d5d2s AcJd8s6h3s Tc9c6c4c3s Td8d6s3c2s 
As9d8d3h2h Ah7h6s3c2d Ts9s7s6c2h 9c8d8c6c2s 
8c7d5d4d3h 6s5d5c2h2d KhTc9s4c2d Th9h5s4h4c 
Qs9s9d4h3c Qd9s8c5s3h KcJs6s5d2s AdJd5d3s2c 
Js7s7h6h2h Kh9d7d7c2c Ad6d5c4d3d Qs8s5h3c2h 
AcQs7h3s3d Qh9d7s5s5c 9c6h5h5d4h Ac7s6c3h2d 
AcTc7h3c2s JcTc6d3s3c Td8s6h4d2c JcTh7c3s3c 
Tc6d5c4s4h Th9d5c4s3c Jd9c8c5s2c JhJd5s4d2d 
Ts5h4s4d3h QhJh6c3s3d 9s8d7s5s2h 8c5s4d2s2d 
9s6d6c4s2d Qc8h7h2s2c 7h6c5s4d2h Jc9s9d6h2c 
8s7d5d4d3h Ts7d5s4s3h Qd9s7d7c3h AsTh6c5h3h 
AdTh9c5c2s AcTd5d4s3h AcThTd6s2h Kh6d5h4s2h 
AhQs8h4h3h Th9h8d5h3h Ks9h7h5h3h KsTh6h6d3h 
Kh9s9d5c2h Ks6c5d3s2h Td9s7s6s2h Tc8s8c5d2h 
9c7c6d2d2c Jd9c8h5h2h AdKd9d5c2d Jd9s7h3d2s 
Qh8h7s7h4d Kh9c7c5c3s QcTh8s4d3s 9c7d6c3d2s 
Js9h5h5c3d Ad7h7c3d2s Qd6s6d4d2s Jc7c6s6h4c 
QsTs7c3c2c AdJd6d3s3c QhJsJhJc9c Kd8c6d3c2c 
Tc9c7c5h5c As9c8h8c2d 9h7d5d4d2h 6s6c4h4d2d 
JhTh7s4h2c QcTs8h4d3d Kh6s5h4h3h AdKd9d5d3d 
As9h6c3s2d QsQh9d7c2c Ad7d6h4d2c Kh7h6s3c2s 
QcJc7h3h2d 8d6d5d4h3d KdJd4h4c2s 8c6d5d3d2c 
Td9h9d5d2c Td9s8c5h2h Ad9d8d4c2h Ac6s6d5d3h 
KhTs6d3c2h 8s7s7h5c2d Kc7c6d3s2d 7c6h6d4s3s 
Qh9h5h5d2d 9d6s6c4d2c Ts8s7d5c3s Qc9s9c7h3c 
AsKs8d3s2c 9d5h4c3d3c Td7d6s4h3d Th7h4d3h3d 
Kc8h6c3h2h 8s6s6h3h2d Ts9d9c4h2s Kd8h7s6d2d 
8c6c5c4c2d Jd9d8s3d2s AsQh6s3s2d AsJc8h4d2c 
Jh9h8s6d2h Kd9s9d8d2c Qh7d6d5s3d KhQdTs3c2c 
TdTc6d3s2s QhTd7d6c2s QcJs8s8h3d JsJd8d4h3d 
Td8c6s5s2h 9d9c7c5c2h Jc9s7d3c2s QhTd7c5h2s 
Qc9h6s6c2d QhJs5s5d2c KcQh7c4s4c Kh8d6h4s4h 
Ad7h7c4h2c Qc8h6d4h2d Tc9s7c3d3c AsTc6s6d2s 
Jc8h5d3c2d KcQd9s7h2d Kh8s7c5d5c Jc9h7d3c2h 
Kd4h3h3d2c Qc9d8h5s5d 8c7d6c4h3c JsJd6h6c2d 
Jc9h8h5d2h Kd9d8d8c5d QcJs5d3h2c QdJd8d5d2s 
Js9h5s5d3s Js7s7c4c2d QhJd9c4c3c 9d8c5d4s4d 
Qh7s6s6d4c Ac9s7s7h3s 7h6s5h4h2d KhTh5s4h2d 
Js7s5h4h2h KhKd7c3s2s AdQc7c6s2h Ks4h3h2s2c 
7c6h4d2h2c As8s6h6c2s KsTd6c2d2c Td9s7d6d2c 
9d7h6c3c2d Th8d6c5c2s Qd7s7h5h2s 9c6d5s4c3c 
KcJc7h2h2d 9c7d5c3s3h KhTs9d5c2d Jh8d5s5d4d 
KhQs9s7d2c KcJd8s5d2h AsJc9s9d9c 9c5h4s3s3c 
QdJs8d7h3d Ts7c6c5h3c Ac9d8s6s4s KhJc6c5s2c 
7h6c5d4s2s Jc9d8s5h2s Kh6d5s3c2h Ac8h7c4c2d 
Kc7s5s3c2c QhJh7h5h3c KdTs8h5c2s Kd7d5h4c2s 
8h7s5d4c2d Qd8c6c5s3h KdJd9d5d2s 9s7d5s3s3h 
Th8h8d4c3s 9c7s6s5s2h Qc6s5s3c2s AcTc7c5c2h 
Qc9h8d6d2s KcQd3h3c2s KdQc8c6c3h KsKhKc6s3c 
9h8s7h5h2d AsKd5c3h2h AdJd4c2h2d 9s6c5s5d3h 
Th8d8c6h3h AcQc7c5d2c 7c6h5h5d3h JcTs4h4c2d 
Qs9s8s7s5s Qd9s8c5h3s Jh9h5c4s4h KcJs8s5s3h 
